11417
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Dix-neuvième extrait>,<>,<>
dieu,dieu,21
éclairera,éclairer,15
un,un,71
jour,jour,21
/.,/.,P
je,je,51
les,le,52
chéris,chérir,17
même,même,60
davantage,davantage,60
",",",",p
en,en,81
proportion,proportion,22
des,de,81
des,le,71
maux,mal,21
qu',que,52
ils,ils,51
m',je,51
ont,avoir,17
faits,faire,12
/.,/.,P
je,je,51
n',ne,60
ai,avoir,17
pu,pouvoir,12
rester,rester,14
dans,dans,81
ma,mon,73
patrie,patrie,22
où,où,60
j',je,51
étais,être,18
retourné,retourner,12
",",",",p
et,et,82
où,où,60
une,un,71
illustre,illustre,30
reine,reine,22
m',je,51
a,avoir,17
fait,faire,12
l',le,71
honneur,honneur,21
de,de,81
vouloir,vouloir,14
contempler,contempler,14
ces,ce,74
faibles,faible,30
marques,marque,22
de,de,81
mon,mon,73
apostolat,apostolat,21
/.,/.,P
et,et,82
quelle,quel,75
récompense,récompense,22
plus,plus,60
glorieuse,glorieux,30
pouvais,pouvoir,18
je,je,51
recevoir,recevoir,14
de,de,81
mes,mon,73
travaux,travail,21
",",",",p
que,que,83
d',de,81
avoir,avoir,14
obtenu,obtenir,12
du,de,81
du,le,71
chef,chef,21
de,de,81
notre,notre,73
religion,religion,22
la,le,71
permission,permission,22
de,de,81
célébrer,célébrer,14
le,le,71
divin,divin,30
sacrifice,sacrifice,21
avec,avec,81
ces,ce,74
mains,main,22
mutilées,mutilé,31
/?,/?,P
il,il,51
ne,ne,60
me,je,51
restait,rester,18
plus,plus,60
",",",",p
après,après,81
un,un,71
tel,tel,75
honneur,honneur,21
",",",",p
qu',que,83
à,à,81
tâcher,tâcher,14
de,de,81
m',je,51
en,en,52
rendre,rendre,14
digne,digne,30
:,:,p
je,je,51
suis,être,17
revenu,revenir,12
au,à,81
au,le,71
Nouveau-Monde,Nouveau-Monde,20
",",",",p
consumer,consumer,14
le,le,71
reste,reste,21
de,de,81
ma,mon,73
vie,vie,22
au,à,81
au,le,71
service,service,21
de,de,81
mon,mon,73
dieu,dieu,21
/.,/.,P
il,il,51
y,y,52
a,avoir,17
bientôt,bientôt,60
trente,trente,72
ans,an,21
que,que,83
j',je,51
habite,habiter,17
cette,ce,74
solitude,solitude,22
",",",",p
et,et,82
il,il,51
y,y,52
en,en,52
aura,avoir,15
demain,demain,60
vingt,vingt,72
deux,deux,72
",",",",p
que,que,83
j',je,51
ai,avoir,17
pris,prendre,12
possession,possession,22
de,de,81
ce,ce,74
rocher,rocher,21
/.,/.,P
quand,quand,83
j',je,51
arrivai,arriver,19
dans,dans,81
ces,ce,74
lieux,lieu,21
",",",",p
je,je,51
n',ne,60
y,y,52
trouvai,trouver,19
que,que,83
des,de,81
des,le,71
familles,famille,22
vagabondes,vagabond,30
",",",",p
dont,dont,52
les,le,71
moeurs,moeurs,22
étaient,être,18
féroces,féroce,30
et,et,82
la,le,71
vie,vie,22
fort,fort,60
misérable,misérable,30
/.,/.,P
je,je,51
leur,leur,52
ai,avoir,17
fait,faire,12
entendre,entendre,14
la,le,71
parole,parole,22
de,de,81
paix,paix,22
",",",",p
et,et,82
leurs,leur,73
moeurs,moeurs,22
se,se,51
sont,être,17
graduellement,graduellement,60
adoucies,adoucir,12
/.,/.,P
ils,ils,51
vivent,vivre,17
maintenant,maintenant,60
rassemblés,rassemblé,31
au,à,81
au,le,71
bas,bas,21
de,de,81
cette,ce,74
montagne,montagne,22
/.,/.,P
j',je,51
ai,avoir,17
tâché,tâcher,12
",",",",p
en,en,81
leur,leur,52
enseignant,enseigner,13
les,le,71
voies,voie,22
du,de,81
du,le,71
salut,salut,21
",",",",p
de,de,81
leur,leur,52
apprendre,apprendre,14
les,le,71
premiers,premier,72
arts,art,21
de,de,81
la,le,71
vie,vie,22
",",",",p
mais,mais,82
sans,sans,81
les,le,52
porter,porter,14
trop,trop,60
loin,loin,60
",",",",p
et,et,82
en,en,81
retenant,retenir,13
ces,ce,74
honnêtes,honnête,30
gens,gens,21
dans,dans,81
cette,ce,74
simplicité,simplicité,22
qui,qui,52
fait,faire,17
le,le,71
bonheur,bonheur,21
/.,/.,P
pour,pour,81
moi,moi,51
",",",",p
craignant,craindre,13
de,de,81
les,le,52
gêner,gêner,14
par,par,81
ma,mon,73
présence,présence,22
",",",",p
je,je,51
me,je,51
suis,être,17
retiré,retirer,12
sous,sous,81
cette,ce,74
grotte,grotte,22
",",",",p
où,où,60
ils,ils,51
viennent,venir,17
me,je,51
consulter,consulter,14
/.,/.,P
c',ce,52
est,être,17
ici,ici,60
que,que,83
",",",",p
loin,loin,60
des,de,81
des,le,71
hommes,homme,21
",",",",p
j',je,51
admire,admirer,17
dieu,dieu,21
dans,dans,81
la,le,71
grandeur,grandeur,22
de,de,81
ces,ce,74
solitudes,solitude,22
",",",",p
et,et,82
que,que,83
je,je,51
me,je,51
prépare,préparer,17
à,à,81
la,le,71
mort,mort,22
",",",",p
que,que,52
m',je,51
annoncent,annoncer,17
mes,mon,73
vieux,vieux,30
jours,jour,21
/.,/.,P
en,en,81
achevant,achever,13
ces,ce,74
mots,mot,21
",",",",p
le,le,71
solitaire,solitaire,21
se,se,51
mit,mettre,19
à,à,81
genoux,genou,21
",",",",p
et,et,82
nous,nous,51
imitâmes,imiter,19
son,son,73
exemple,exemple,21
/.,/.,P
il,il,51
commença,commencer,19
à,à,81
haute,haut,30
voix,voix,22
une,un,71
prière,prière,22
",",",",p
à,à,81
laquelle,lequel,52
Atala,Atala,20
répondait,répondre,18
/.,/.,P
de,de,81
muets,muet,30
éclairs,éclair,21
ouvraient,ouvrir,18
encore,encore,60
les,le,71
cieux,ciel,21
dans,dans,81
l',le,71
orient,orient,21
",",",",p
et,et,82
sur,sur,81
les,le,71
nuages,nuage,21
du,de,81
du,le,71
couchant,couchant,21
",",",",p
trois,trois,72
soleils,soleil,21
brillaient,briller,18
ensemble,ensemble,60
/.,/.,P
quelques,quelque,75
renards,renard,21
dispersés,dispersé,31
par,par,81
l',le,71
orage,orage,21
allongeaient,allonger,18
leurs,leur,73
museaux,museau,21
noirs,noir,30
au,à,81
au,le,71
bord,bord,21
des,de,81
des,le,71
précipices,précipice,21
",",",",p
et,et,82
l',l',94
on,on,51
entendait,entendre,18
le,le,71
frémissement,frémissement,21
des,de,81
des,le,71
plantes,plante,22
qui,qui,52
",",",",p
séchant,sécher,13
à,à,81
la,le,71
brise,brise,22
du,de,81
du,le,71
soir,soir,21
",",",",p
relevaient,relever,18
de,de,81
toutes,tout,75
parts,part,22
leurs,leur,73
tiges,tige,22
abattues,abattu,31
/.,/.,P
nous,nous,51
rentrâmes,rentrer,19
dans,dans,81
la,le,71
grotte,grotte,22
",",",",p
où,où,60
l',le,71
ermite,ermite,21
étendit,étendre,19
un,un,71
lit,lit,21
de,de,81
mousse,mousse,22
de,de,81
cyprès,cyprès,21
pour,pour,81
Atala,Atala,20
/.,/.,P
une,un,71
profonde,profond,30
langueur,langueur,22
se,se,51
peignait,peindre,18
dans,dans,81
les,le,71
yeux,oeil,21
et,et,82
dans,dans,81
les,le,71
mouvements,mouvement,21
de,de,81
cette,ce,74
vierge,vierge,22
;,;,p
elle,il,51
regardait,regarder,18
le,le,71
père,père,21
Aubry,Aubry,20
",",",",p
comme,comme,83
si,si,83
elle,il,51
eût,avoir,19
voulu,vouloir,12
lui,lui,51
communiquer,communiquer,14
un,un,71
secret,secret,21
;,;,p
mais,mais,82
quelque,quelque,75
chose,chose,22
semblait,sembler,18
la,le,52
retenir,retenir,14
",",",",p
soit,soit,82
ma,mon,73
présence,présence,22
",",",",p
soit,soit,82
une,un,71
certaine,certain,75
honte,honte,22
",",",",p
soit,soit,82
l',le,71
inutilité,inutilité,22
de,de,81
l',le,71
aveu,aveu,21
/.,/.,P
je,je,51
l',le,52
entendis,entendre,19
se,se,51
lever,lever,14
au,à,81
au,le,71
milieu,milieu,21
de,de,81
la,le,71
nuit,nuit,22
;,;,p
elle,il,51
cherchait,chercher,18
le,le,71
solitaire,solitaire,21
",",",",p
mais,mais,82
comme,comme,83
il,il,51
lui,lui,51
avait,avoir,18
donné,donner,12
sa,son,73
couche,couche,22
",",",",p
il,il,51
était,être,18
allé,aller,12
contempler,contempler,14
la,le,71
beauté,beauté,22
du,de,81
du,le,71
ciel,ciel,21
et,et,82
prier,prier,14
dieu,dieu,21
sur,sur,81
le,le,71
sommet,sommet,21
de,de,81
la,le,71
montagne,montagne,22
/.,/.,P
il,il,51
me,je,51
dit,dire,19
le,le,71
lendemain,lendemain,21
que,que,83
c',ce,52
était,être,18
assez,assez,60
sa,son,73
coutume,coutume,22
",",",",p
même,même,60
pendant,pendant,81
l',le,71
hiver,hiver,21
",",",",p
aimant,aimer,13
à,à,81
voir,voir,14
les,le,71
forêts,forêt,22
balancer,balancer,14
leurs,leur,73
cimes,cime,22
dépouillées,dépouillé,31
",",",",p
les,le,71
nuages,nuage,21
voler,voler,14
dans,dans,81
les,le,71
cieux,ciel,21
",",",",p
et,et,82
à,à,81
entendre,entendre,14
les,le,71
vents,vent,21
et,et,82
les,le,71
torrents,torrent,21
gronder,gronder,14
dans,dans,81
la,le,71
solitude,solitude,22
/.,/.,P
ma,mon,73
soeur,soeur,22
fut,être,19
donc,donc,82
obligée,obliger,12
de,de,81
retourner,retourner,14
à,à,81
sa,son,73
couche,couche,22
",",",",p
où,où,60
elle,il,51
s',se,51
assoupit,assoupir,17
/.,/.,P
hélas,hélas,60
!,!,p
comblé,comblé,31
d',de,81
espérance,espérance,22
",",",",p
je,je,51
ne,ne,60
vis,voir,19
dans,dans,81
la,le,71
faiblesse,faiblesse,22
d',de,81
Atala,Atala,20
que,que,83
des,de,81
des,le,71
marques,marque,22
passagères,passager,30
de,de,81
lassitude,lassitude,22
/!,/!,P
le,le,71
lendemain,lendemain,21
je,je,51
m',je,51
éveillai,éveiller,19
aux,à,81
aux,le,71
chants,chant,21
des,de,81
des,le,71
cardinaux,cardinal,21
et,et,82
des,de,81
des,le,71
oiseaux,oiseau,21
moqueurs,moqueur,30
",",",",p
nichés,niché,31
dans,dans,81
les,le,71
acacias,acacia,21
et,et,82
les,le,71
lauriers,laurier,21
qui,qui,52
environnaient,environner,18
la,le,71
grotte,grotte,22
/.,/.,P
j',je,51
allai,aller,18
cueillir,cueillir,14
une,un,71
rose,rose,22
de,de,81
magnolia,magnolia,21
",",",",p
et,et,82
je,je,51
la,le,52
déposai,déposer,19
humectée,humecté,31
des,de,81
des,le,71
larmes,larme,22
du,de,81
du,le,71
matin,matin,21
",",",",p
sur,sur,81
la,le,71
tête,tête,22
d',de,81
Atala,Atala,20
endormie,endormi,31
/.,/.,P
j',je,51
espérais,espérer,18
",",",",p
selon,selon,81
la,le,71
religion,religion,22
de,de,81
mon,mon,73
pays,pays,21
",",",",p
que,que,83
l',le,71
âme,âme,22
de,de,81
quelque,quelque,75
enfant,enfant,21
mort,mort,31
à,à,81
la,le,71
mamelle,mamelle,22
",",",",p
serait,être,16
descendue,descendre,12
sur,sur,81
cette,ce,74
fleur,fleur,22
dans,dans,81
une,un,71
goutte,goutte,22
de,de,81
rosée,rosée,22
",",",",p
et,et,82
qu',que,52
un,un,71
heureux,heureux,30
songe,songe,21
la,le,52
porterait,porter,16
au,à,81
au,le,71
sein,sein,21
de,de,81
ma,mon,73
future,futur,30
épouse,épouse,22
/.,/.,P
je,je,51
cherchai,chercher,19
ensuite,ensuite,60
mon,mon,73
hôte,hôte,21
;,;,p
je,je,51
le,le,52
trouvai,trouver,19
la,le,71
robe,robe,22
relevée,relevé,31
dans,dans,81
ses,son,73
deux,deux,72
poches,poche,22
",",",",p
un,un,71
chapelet,chapelet,21
à,à,81
la,le,71
main,main,22
",",",",p
et,et,82
m',je,51
attendant,attendre,13
assis,assis,31
sur,sur,81
le,le,71
tronc,tronc,21
d',de,81
un,un,71
pin,pin,21
tombé,tombé,31
de,de,81
vieillesse,vieillesse,22
/.,/.,P
il,il,51
me,je,51
proposa,proposer,19
d',de,81
aller,aller,14
avec,avec,81
lui,lui,51
à,à,81
la,le,71
mission,mission,22
",",",",p
tandis qu',tandis que,83
Atala,Atala,20
reposait,reposer,18
encore,encore,60
;,;,p
j',je,51
acceptai,accepter,19
son,son,73
offre,offre,22
",",",",p
et,et,82
nous,nous,51
nous,nous,51
mîmes,mettre,19
en,en,81
route,route,22
à,à,81
l',le,71
instant,instant,21
/.,/.,P
en,en,81
descendant,descendre,13
la,le,71
montagne,montagne,22
",",",",p
j',je,51
aperçus,apercevoir,19
des,de,81
des,le,71
chênes,chêne,21
où,où,60
les,le,71
génies,génie,21
semblaient,sembler,18
avoir,avoir,14
dessiné,dessiner,12
des,de,81
des,le,71
caractères,caractère,21
étrangers,étranger,30
/.,/.,P
l',le,71
ermite,ermite,21
me,je,51
dit,dire,19
qu',que,83
il,il,51
les,le,52
avait,avoir,18
tracés,tracer,12
lui-même,lui-même,51
",",",",p
que,que,52
c',ce,52
étaient,être,18
des,de,81
des,le,71
vers,vers,21
d',de,81
un,un,71
ancien,ancien,30
poète,poète,21
appelé,appelé,31
Homère,Homère,20
",",",",p
et,et,82
quelques,quelque,75
sentences,sentence,22
d',de,81
un,un,71
autre,autre,75
poète,poète,21
plus,plus,60
ancien,ancien,30
encore,encore,60
",",",",p
nommé,nommé,31
Salomon,Salomon,20
/.,/.,P
il,il,51
y,y,52
avait,avoir,18
je,je,51
ne,ne,60
sais,savoir,17
quelle,quel,75
mystérieuse,mystérieux,30
harmonie,harmonie,22
entre,entre,81
cette,ce,74
sagesse,sagesse,22
des,de,81
des,le,71
temps,temps,21
",",",",p
ces,ce,74
vers,vers,21
rongés,rongé,31
de,de,81
mousse,mousse,22
",",",",p
ce,ce,74
vieux,vieux,30
solitaire,solitaire,21
qui,qui,52
les,le,52
avait,avoir,18
gravés,graver,12
",",",",p
et,et,82
ces,ce,74
vieux,vieux,30
chênes,chêne,21
qui,qui,52
lui,lui,51
servaient,servir,18
de,de,81
livres,livre,21
/.,/.,P
son,son,73
nom,nom,21
",",",",p
son,son,73
âge,âge,21
",",",",p
la,le,71
date,date,22
de,de,81
sa,son,73
mission,mission,22
",",",",p
étaient,être,18
aussi,aussi,60
marqués,marquer,12
sur,sur,81
un,un,71
roseau,roseau,21
de,de,81
savane,savane,22
",",",",p
au,à,81
au,le,71
pied,pied,21
de,de,81
ces,ce,74
arbres,arbre,21
/.,/.,P
je,je,51
m',je,51
étonnai,étonner,19
de,de,81
la,le,71
fragilité,fragilité,22
du,de,81
du,le,71
dernier,dernier,30
monument,monument,21
:,:,p
il,il,51
durera,durer,15
encore,encore,60
plus,plus,60
que,que,83
moi,moi,51
",",",",p
me,je,51
répondit,répondre,19
le,le,71
père,père,21
",",",",p
et,et,82
aura,avoir,15
toujours,toujours,60
plus,plus,60
de,de,81
valeur,valeur,22
que,que,83
le,le,71
peu,peu,60
de,de,81
bien,bien,21
que,que,52
j',je,51
ai,avoir,17
fait,faire,12
de,de,81
là,là,60
",",",",p
nous,nous,51
arrivâmes,arriver,19
à,à,81
l',le,71
entrée,entrée,22
d',de,81
une,un,71
vallée,vallée,22
",",",",p
où,où,60
je,je,51
vis,voir,19
un,un,71
ouvrage,ouvrage,21
merveilleux,merveilleux,30
:,:,p
c',ce,52
était,être,18
un,un,71
pont,pont,21
naturel,naturel,30
",",",",p
semblable,semblable,30
à,à,81
celui,celui,52
de,de,81
la,le,71
Virginie,Virginie,20
",",",",p
dont,dont,52
tu,tu,51
as,avoir,17
peut-être,peut-être,60
entendu,entendre,12
parler,parler,14
/.,/.,P
les,le,71
hommes,homme,21
",",",",p
mon,mon,73
fils,fils,21
",",",",p
surtout,surtout,60
ceux,celui,52
de,de,81
ton,ton,73
pays,pays,21
",",",",p
imitent,imiter,17
souvent,souvent,60
la,le,71
nature,nature,22
",",",",p
et,et,82
leurs,leur,73
copies,copie,22
sont,être,17
toujours,toujours,60
petites,petit,30
;,;,p
il,il,51
n',ne,60
en,en,52
est,être,17
pas,pas,60
ainsi,ainsi,60
de,de,81
la,le,71
nature,nature,22
quand,quand,83
elle,il,51
a,avoir,17
l',le,71
air,air,21
d',de,81
imiter,imiter,14
les,le,71
travaux,travail,21
des,de,81
des,le,71
hommes,homme,21
",",",",p
en,en,81
leur,leur,52
offrant,offrir,13
en,en,81
effet,effet,21
des,de,81
des,le,71
modèles,modèle,21
/.,/.,P
c',ce,52
est,être,17
alors,alors,60
qu',que,83
elle,il,51
jette,jeter,17
des,de,81
des,le,71
ponts,pont,21
du,de,81
du,le,71
sommet,sommet,21
d',de,81
une,un,71
montagne,montagne,22
au,à,81
au,le,71
sommet,sommet,21
d',de,81
une,un,71
autre,autre,75
montagne,montagne,22
",",",",p
suspend,suspendre,17
des,de,81
des,le,71
chemins,chemin,21
dans,dans,81
les,le,71
nues,nue,22
",",",",p
répand,répandre,17
des,de,81
des,le,71
fleuves,fleuve,21
pour,pour,81
canaux,canal,21
",",",",p
sculpte,sculpter,17
des,de,81
des,le,71
monts,mont,21
pour,pour,81
colonnes,colonne,22
",",",",p
et,et,82
pour,pour,81
bassins,bassin,21
creuse,creuser,17
des,de,81
des,le,71
mers,mer,22
/.,/.,P
nous,nous,51
passâmes,passer,19
sous,sous,81
l',le,71
arche,arche,22
unique,unique,30
de,de,81
ce,ce,74
pont,pont,21
",",",",p
et,et,82
nous,nous,51
nous,nous,51
trouvâmes,trouver,19
devant,devant,81
une,un,71
autre,autre,75
merveille,merveille,22
:,:,p
c',ce,52
était,être,18
le,le,71
cimetière,cimetière,21
des,de,81
des,le,71
Indiens,Indien,20
de,de,81
la,le,71
mission,mission,22
",",",",p
ou,ou,82
les,le,71
bocages,bocage,21
de,de,81
la,le,71
mort,mort,22
/.,/.,P
le,le,71
père,père,21
Aubry,Aubry,20
avait,avoir,18
permis,permettre,12
à,à,81
ses,son,73
néophytes,néophyte,21
d',de,81
ensevelir,ensevelir,14
leurs,leur,73
morts,mort,21
à,à,81
leur,leur,73
manière,manière,22
et,et,82
de,de,81
conserver,conserver,14
au,à,81
au,le,71
lieu,lieu,21
de,de,81
leurs,leur,73
sépultures,sépulture,22
son,son,73
nom,nom,21
sauvage,sauvage,30
;,;,p
il,il,51
avait,avoir,18
seulement,seulement,60
sanctifié,sanctifier,12
ce,ce,74
lieu,lieu,21
par,par,81
une,un,71
croix,croix,22
/.,/.,P
le,le,71
sol,sol,21
en,en,52
était,être,18
divisé,diviser,12
",",",",p
comme,comme,83
le,le,71
champ,champ,21
commun,commun,30
des,de,81
des,le,71
moissons,moisson,22
",",",",p
en,en,81
autant,autant,60
de,de,81
lots,lot,21
qu',que,52
il,il,51
y,y,52
avait,avoir,18
de,de,81
familles,famille,22
/.,/.,P
chaque,chaque,75
lot,lot,21
faisait,faire,18
à,à,81
lui,lui,51
seul,seul,30
un,un,71
bois,bois,21
qui,qui,52
variait,varier,18
selon,selon,81
le,le,71
goût,goût,21
de,de,81
ceux,celui,52
qui,qui,52
l',le,52
avaient,avoir,18
planté,planter,12
/.,/.,P
un,un,71
ruisseau,ruisseau,21
serpentait,serpenter,18
sans,sans,81
bruit,bruit,21
au,à,81
au,le,71
milieu,milieu,21
de,de,81
ces,ce,74
