11240
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Vingt-neuvième extrait>,<>,<>
rendez,rendre,17
la,le,52
moi,moi,51
/!,/!,P
lorsque,lorsque,83
l',le,71
âme,âme,22
flotte,flotter,17
incertaine,incertain,30
entre,entre,81
la,le,71
vie,vie,22
et,et,82
le,le,71
rêve,rêve,21
",",",",p
entre,entre,81
le,le,71
désordre,désordre,21
de,de,81
l',le,71
esprit,esprit,21
et,et,82
le,le,71
retour,retour,21
de,de,81
la,le,71
froide,froid,30
réflexion,réflexion,22
",",",",p
c',ce,52
est,être,17
dans,dans,81
la,le,71
pensée,pensée,22
religieuse,religieux,30
que,que,83
l',l',94
on,on,51
doit,devoir,17
chercher,chercher,14
des,de,81
des,le,71
secours,secours,21
;,;,p
-,-,p
je,je,51
n',ne,60
en,en,52
ai,avoir,17
jamais,jamais,60
pu,pouvoir,12
trouver,trouver,14
dans,dans,81
cette,ce,74
philosophie,philosophie,22
",",",",p
qui,qui,52
ne,ne,60
nous,nous,51
présente,présenter,17
que,que,83
des,de,81
des,le,71
maximes,maxime,22
d',de,81
égoïsme,égoïsme,21
ou,ou,82
tout,tout,60
au,à,81
au,le,71
plus,plus,60
de,de,81
réciprocité,réciprocité,22
",",",",p
une,un,71
expérience,expérience,22
vaine,vain,30
",",",",p
des,de,81
des,le,71
doutes,doute,21
amers,amer,30
;,;,p
-,-,p
elle,il,51
lutte,lutter,17
contre,contre,81
les,le,71
douleurs,douleur,22
morales,moral,30
en,en,81
anéantissant,anéantir,13
la,le,71
sensibilité,sensibilité,22
;,;,p
pareille,pareil,30
à,à,81
la,le,71
chirurgie,chirurgie,22
",",",",p
elle,il,51
ne,ne,60
sait,savoir,17
que,que,83
retrancher,retrancher,14
l',le,71
organe,organe,21
qui,qui,52
fait,faire,17
souffrir,souffrir,14
/.,/.,P
-,-,p
mais,mais,82
pour,pour,81
nous,nous,51
",",",",p
nés,né,31
dans,dans,81
les,le,71
jours,jour,21
de,de,81
révolutions,révolution,22
et,et,82
d',de,81
orages,orage,21
où,où,60
toutes,tout,75
les,le,71
croyances,croyance,22
ont,avoir,17
été,être,12
brisées,briser,12
-,-,p
élevés,élevé,31
tout,tout,60
au,à,81
au,le,71
plus,plus,60
dans,dans,81
cette,ce,74
foi,foi,22
vague,vague,30
qui,qui,52
se,se,51
contente,contenter,17
de,de,81
quelques,quelque,75
pratiques,pratique,22
extérieures,extérieur,30
et,et,82
dont,dont,52
l',le,71
adhésion,adhésion,22
indifférente,indifférent,30
est,être,17
plus,plus,60
coupable,coupable,30
peut-être,peut-être,60
que,que,83
l',le,71
impiété,impiété,22
et,et,82
l',le,71
hérésie,hérésie,22
",",",",p
-,-,p
il,il,51
est,être,17
bien,bien,60
difficile,difficile,30
",",",",p
dès,dès,81
que,que,83
nous,nous,51
en,en,52
sentons,sentir,17
le,le,71
besoin,besoin,21
",",",",p
de,de,81
reconstruire,reconstruire,14
l',le,71
édifice,édifice,21
mystique,mystique,30
dont,dont,52
les,le,71
innocents,innocent,21
et,et,82
les,le,71
simples,simple,30
admettent,admettre,17
dans,dans,81
leurs,leur,73
coeurs,coeur,21
la,le,71
figure,figure,22
toute,tout,60
tracée,tracé,31
/.,/.,P
“,“,p
l',le,71
arbre,arbre,21
de,de,81
science,science,22
n',ne,60
est,être,17
pas,pas,60
l',le,71
arbre,arbre,21
de,de,81
vie,vie,22
/!,/!,P
cependant,cependant,82
",",",",p
pouvons,pouvoir,17
nous,nous,51
rejeter,rejeter,14
de,de,81
notre,notre,73
esprit,esprit,21
ce,ce,52
que,que,52
tant,tant,60
de,de,81
générations,génération,22
intelligentes,intelligent,30
y,y,52
ont,avoir,17
versé,verser,12
de,de,81
bon,bon,30
ou,ou,82
de,de,81
funeste,funeste,30
/?,/?,P
l',le,71
ignorance,ignorance,22
ne,ne,60
s',se,51
apprend,apprendre,17
pas,pas,60
/.,/.,P
j',je,51
ai,avoir,17
meilleur,meilleur,30
espoir,espoir,21
de,de,81
la,le,71
bonté,bonté,22
de,de,81
dieu,dieu,21
:,:,p
peut-être,peut-être,60
touchons,toucher,17
nous,nous,51
à,à,81
l',le,71
époque,époque,22
prédite,prédit,31
où,où,60
la,le,71
science,science,22
",",",",p
ayant,avoir,13
accompli,accomplir,12
son,son,73
cercle,cercle,21
entier,entier,30
de,de,81
synthèse,synthèse,22
et,et,82
d',de,81
analyse,analyse,22
",",",",p
de,de,81
croyance,croyance,22
et,et,82
de,de,81
négation,négation,22
",",",",p
pourra,pouvoir,15
s',se,51
épurer,épurer,14
elle-même,lui-même,51
et,et,82
faire,faire,14
jaillir,jaillir,14
du,de,81
du,le,71
désordre,désordre,21
et,et,82
des,de,81
des,le,71
ruines,ruine,22
la,le,71
cité,cité,22
merveilleuse,merveilleux,30
de,de,81
l',le,71
avenir,avenir,21
/…,/…,P
il,il,51
ne,ne,60
faut,falloir,17
pas,pas,60
faire,faire,14
si,si,60
bon,bon,30
marché,marché,21
de,de,81
la,le,71
raison,raison,22
humaine,humain,30
",",",",p
que,que,83
de,de,81
croire,croire,14
qu',que,83
elle,il,51
gagne,gagner,17
quelque,quelque,75
chose,chose,22
à,à,81
s',se,51
humilier,humilier,14
toute,tout,52
entière,entier,30
",",",",p
car,car,82
ce,ce,52
serait,être,16
accuser,accuser,14
sa,son,73
céleste,céleste,30
origine,origine,22
/…,/…,P
dieu,dieu,21
appréciera,apprécier,15
la,le,71
pureté,pureté,22
des,de,81
des,le,71
intentions,intention,22
sans,sans,81
doute,doute,21
",",",",p
et,et,82
quel,quel,52
est,être,17
le,le,71
père,père,21
qui,qui,52
se,se,51
complairait,complaire,16
à,à,81
voir,voir,14
son,son,73
fils,fils,21
abdiquer,abdiquer,14
devant,devant,81
lui,lui,51
tout,tout,75
raisonnement,raisonnement,21
et,et,82
toute,tout,75
fierté,fierté,22
/!,/!,P
l',le,71
apôtre,apôtre,21
qui,qui,52
voulait,vouloir,18
toucher,toucher,14
pour,pour,81
croire,croire,14
n',ne,60
a,avoir,17
pas,pas,60
été,être,12
maudit,maudire,12
pour,pour,81
cela,cela,52
/!,/!,P
qu',que,52
ai,avoir,17
je,je,51
écrit,écrire,12
là,là,60
/?,/?,P
ce,ce,52
sont,être,17
des,de,81
des,le,71
blasphèmes,blasphème,21
/.,/.,P
l',le,71
humilité,humilité,22
chrétienne,chrétien,30
ne,ne,60
peut,pouvoir,17
parler,parler,14
ainsi,ainsi,60
/.,/.,P
de,de,81
telles,tel,75
pensées,pensée,22
sont,être,17
loin,loin,60
d',de,81
attendrir,attendrir,14
l',le,71
âme,âme,22
/.,/.,P
elles,ils,51
ont,avoir,17
sur,sur,81
le,le,71
front,front,21
les,le,71
éclairs,éclair,21
de,de,81
l',le,71
orgueil,orgueil,21
de,de,81
la,le,71
couronne,couronne,22
de,de,81
Satan,Satan,20
/…,/…,P
un,un,71
pacte,pacte,21
avec,avec,81
dieu,dieu,21
lui-même,lui-même,51
/?,/?,P
o,oh,93
science,science,22
!,!,p
ô,oh,93
vanité,vanité,22
/!,/!,P
j',je,51
avais,avoir,18
réuni,réunir,12
quelques,quelque,75
livres,livre,21
de,de,81
cabale,cabale,22
/.,/.,P
je,je,51
me,je,51
plongeai,plonger,19
dans,dans,81
cette,ce,74
étude,étude,22
",",",",p
et,et,82
j',je,51
arrivai,arriver,19
à,à,81
me,je,51
persuader,persuader,14
que,que,83
tout,tout,52
était,être,18
vrai,vrai,30
dans,dans,81
ce,ce,52
que,que,52
avait,avoir,18
accumulé,accumuler,12
l',le,71
esprit,esprit,21
humain,humain,30
pendant,pendant,81
des,de,81
des,le,71
siècles,siècle,21
/.,/.,P
la,le,71
conviction,conviction,22
que,que,52
je,je,51
m',je,51
étais,être,18
formée,former,12
de,de,81
l',le,71
existence,existence,22
du,de,81
du,le,71
monde,monde,21
extérieur,extérieur,30
coïncidait,coïncider,18
trop,trop,60
bien,bien,60
avec,avec,81
mes,mon,73
lectures,lecture,22
",",",",p
pour,pour,81
que,que,83
je,je,51
doutasse,douter,18
désormais,désormais,60
des,de,81
des,le,71
révélations,révélation,22
du,de,81
du,le,71
passé,passé,21
/.,/.,P
les,le,71
dogmes,dogme,21
et,et,82
les,le,71
rites,rite,21
des,de,81
des,le,71
diverses,divers,30
religions,religion,22
me,je,51
paraissaient,paraître,18
s',se,51
y,y,52
rapporter,rapporter,14
de,de,81
telle,tel,75
sorte,sorte,22
que,que,83
chacune,chacun,52
possédait,posséder,18
une,un,71
certaine,certain,75
portion,portion,22
de,de,81
ces,ce,74
arcanes,arcane,22
qui,qui,52
constituaient,constituer,18
ses,son,73
moyens,moyen,21
d',de,81
expansion,expansion,22
et,et,82
de,de,81
défense,défense,22
/.,/.,P
ces,ce,74
forces,force,22
pouvaient,pouvoir,18
s',se,51
affaiblir,affaiblir,14
",",",",p
s',se,51
amoindrir,amoindrir,14
et,et,82
disparaître,disparaître,14
",",",",p
ce,ce,52
qui,qui,52
amenait,amener,18
l',le,71
envahissement,envahissement,21
de,de,81
certaines,certain,75
races,race,22
par,par,81
d',de,81
autres,autre,52
",",",",p
nulles,nul,52
ne,ne,60
pouvant,pouvoir,13
être,être,14
victorieuses,victorieux,30
ou,ou,82
vaincues,vaincre,12
que,que,83
par,par,81
l',le,71
esprit,esprit,21
/.,/.,P
“,“,p
toutefois,toutefois,60
me,je,51
disais,dire,18
je,je,51
",",",",p
il,il,51
est,être,17
sûr,sûr,30
que,que,83
ces,ce,74
sciences,science,22
sont,être,17
mélangées,mélanger,12
d',de,81
erreurs,erreur,22
humaines,humain,30
/.,/.,P
l',le,71
alphabet,alphabet,21
magique,magique,30
",",",",p
l',le,71
hiéroglyphe,hiéroglyphe,21
mystérieux,mystérieux,30
ne,ne,60
nous,nous,51
arrivent,arriver,17
qu',que,83
incomplets,incomplet,30
et,et,82
faussés,faussé,31
soit,soit,82
par,par,81
le,le,71
temps,temps,21
",",",",p
soit,soit,82
par,par,81
ceux-là,celui-là,52
même,même,60
qui,qui,52
ont,avoir,17
intérêt,intérêt,21
à,à,81
notre,notre,73
ignorance,ignorance,22
;,;,p
retrouvons,retrouver,17
la,le,71
lettre,lettre,22
perdue,perdu,31
ou,ou,82
le,le,71
signe,signe,21
effacé,effacé,31
",",",",p
recomposons,recomposer,17
la,le,71
gamme,gamme,22
dissonante,dissonant,30
",",",",p
et,et,82
nous,nous,51
prendrons,prendre,15
force,force,22
dans,dans,81
le,le,71
monde,monde,21
des,de,81
des,le,71
esprits,esprit,21
/.,/.,P
“,“,p
c',ce,52
est,être,17
ainsi,ainsi,60
que,que,83
je,je,51
croyais,croire,18
percevoir,percevoir,14
les,le,71
rapports,rapport,21
du,de,81
du,le,71
monde,monde,21
réel,réel,30
avec,avec,81
le,le,71
monde,monde,21
des,de,81
des,le,71
esprits,esprit,21
/.,/.,P
la,le,71
terre,terre,22
",",",",p
ses,son,73
habitants,habitant,21
et,et,82
leur,leur,73
histoire,histoire,22
étaient,être,18
le,le,71
théâtre,théâtre,21
où,où,60
venaient,venir,18
s',se,51
accomplir,accomplir,14
les,le,71
actions,action,22
physiques,physique,30
qui,qui,52
préparaient,préparer,18
l',le,71
existence,existence,22
et,et,82
la,le,71
situation,situation,22
des,de,81
des,le,71
êtres,être,21
immortels,immortel,30
attachés,attaché,31
à,à,81
sa,son,73
destinée,destinée,22
/.,/.,P
sans,sans,81
agiter,agiter,14
le,le,71
mystère,mystère,21
impénétrable,impénétrable,30
de,de,81
l',le,71
éternité,éternité,22
des,de,81
des,le,71
mondes,monde,21
",",",",p
ma,mon,73
pensée,pensée,22
remonta,remonter,19
à,à,81
l',le,71
époque,époque,22
où,où,60
le,le,71
soleil,soleil,21
",",",",p
pareil,pareil,30
à,à,81
la,le,71
plante,plante,22
qui,qui,52
le,le,52
représente,représenter,17
",",",",p
qui,qui,52
de,de,81
sa,son,73
tête,tête,22
inclinée,incliné,31
suit,suivre,17
la,le,71
révolution,révolution,22
de,de,81
sa,son,73
marche,marche,22
céleste,céleste,30
",",",",p
semait,semer,18
sur,sur,81
la,le,71
terre,terre,22
les,le,71
germes,germe,21
féconds,fécond,30
des,de,81
des,le,71
plantes,plante,22
et,et,82
des,de,81
des,le,71
animaux,animal,21
/.,/.,P
ce,ce,52
n',ne,60
était,être,18
autre,autre,75
chose,chose,22
que,que,83
le,le,71
feu,feu,21
même,même,30
qui,qui,52
était,être,18
composé,composer,12
d',de,81
âmes,âme,22
",",",",p
formulait,formuler,18
instinctivement,instinctivement,60
la,le,71
demeure,demeure,22
commune,commun,30
/.,/.,P
l',le,71
esprit,esprit,21
de,de,81
l',le,52
être,être,14
dieu,dieu,21
",",",",p
reproduit,reproduit,31
et,et,82
pour,pour,81
ainsi,ainsi,60
dire,dire,14
reflété,reflété,31
sur,sur,81
la,le,71
terre,terre,22
",",",",p
devenait,devenir,18
le,le,71
type,type,21
commun,commun,30
des,de,81
des,le,71
âmes,âme,22
humaines,humain,30
dont,dont,52
chacune,chacun,52
",",",",p
par,par,81
suite,suite,22
",",",",p
était,être,18
à,à,81
la,le,71
fois,fois,22
homme,homme,21
et,et,82
dieu,dieu,21
/.,/.,P
tels,tel,52
furent,être,19
les,le,71
Eloïm,Eloïm,20
/.,/.,P
quand,quand,83
on,on,51
se,se,51
sent,sentir,17
malheureux,malheureux,30
",",",",p
on,on,51
songe,songer,17
au,à,81
au,le,71
malheur,malheur,21
des,de,81
des,le,71
autres,autre,52
/.,/.,P
j',je,51
avais,avoir,18
mis,mettre,12
quelque,quelque,75
négligence,négligence,22
à,à,81
visiter,visiter,14
un,un,52
de,de,81
mes,mon,73
amis,ami,21
les,le,71
plus,plus,60
chers,cher,30
",",",",p
qu',que,52
on,on,51
m',je,51
avait,avoir,18
dit,dire,12
malade,malade,30
/.,/.,P
en,en,81
me,je,51
rendant,rendre,13
à,à,81
la,le,71
maison,maison,22
où,où,60
il,il,51
était,être,18
traité,traiter,12
",",",",p
je,je,51
me,je,51
reprochais,reprocher,18
vivement,vivement,60
cette,ce,74
faute,faute,22
/.,/.,P
je,je,51
fus,être,19
plus,plus,60
désolé,désoler,12
lorsque,lorsque,83
mon,mon,73
ami,ami,21
me,je,51
raconta,raconter,19
qu',que,83
il,il,51
avait,avoir,18
été,être,12
la,le,71
veille,veille,22
au,à,81
au,le,71
plus,plus,60
mal,mal,60
/.,/.,P
j',je,51
entrai,entrer,19
dans,dans,81
une,un,71
chambre,chambre,22
d',de,81
hospice,hospice,21
",",",",p
blanchie,blanchi,31
à,à,81
la,le,71
chaux,chaux,22
/.,/.,P
le,le,71
soleil,soleil,21
découpait,découper,18
des,de,81
des,le,71
angles,angle,21
joyeux,joyeux,30
sur,sur,81
les,le,71
murs,mur,21
et,et,82
se,se,51
jouait,jouer,18
sur,sur,81
un,un,71
vase,vase,21
de,de,81
fleurs,fleur,22
qu',que,52
une,un,71
religieuse,religieuse,22
venait,venir,18
de,de,81
déposer,déposer,14
sur,sur,81
la,le,71
table,table,22
du,de,81
du,le,71
malade,malade,21
/.,/.,P
c',ce,52
était,être,18
presque,presque,60
la,le,71
cellule,cellule,22
d',de,81
un,un,71
anachorète,anachorète,21
italien,italien,30
/.,/.,P
-,-,p
sa,son,73
figure,figure,22
amaigrie,amaigri,31
",",",",p
son,son,73
teint,teint,21
semblable,semblable,30
à,à,81
l',le,71
ivoire,ivoire,21
jauni,jauni,31
",",",",p
relevé,relevé,31
par,par,81
la,le,71
couleur,couleur,22
noire,noir,30
de,de,81
sa,son,73
barbe,barbe,22
et,et,82
de,de,81
ses,son,73
cheveux,cheveu,21
",",",",p
ses,son,73
yeux,oeil,21
illuminés,illuminé,31
d',de,81
un,un,71
reste,reste,21
de,de,81
fièvre,fièvre,22
",",",",p
peut-être,peut-être,60
aussi,aussi,60
l',le,71
arrangement,arrangement,21
d',de,81
un,un,71
manteau,manteau,21
à,à,81
capuchon,capuchon,21
jeté,jeté,31
sur,sur,81
ses,son,73
épaules,épaule,22
",",",",p
en,en,52
faisaient,faire,18
pour,pour,81
moi,moi,51
un,un,71
être,être,21
à,à,81
moitié,moitié,22
différent,différent,30
de,de,81
celui,celui,52
que,que,52
j',je,51
avais,avoir,18
connu,connaître,12
/.,/.,P
ce,ce,52
n',ne,60
était,être,18
plus,plus,60
le,le,71
joyeux,joyeux,30
compagnon,compagnon,21
de,de,81
mes,mon,73
travaux,travail,21
et,et,82
de,de,81
mes,mon,73
plaisirs,plaisir,21
;,;,p
il,il,51
y,y,52
avait,avoir,18
en,en,81
lui,lui,51
un,un,71
apôtre,apôtre,21
/.,/.,P
il,il,51
me,je,51
raconta,raconter,19
comment,comment,60
il,il,51
s',se,51
était,être,18
vu,voir,12
",",",",p
au,à,81
au,le,71
plus,plus,60
fort,fort,30
des,de,81
des,le,71
souffrances,souffrance,22
de,de,81
son,son,73
mal,mal,21
",",",",p
saisi,saisi,31
d',de,81
un,un,71
dernier,dernier,30
transport,transport,21
qui,qui,52
lui,lui,51
parut,paraître,19
être,être,14
le,le,71
moment,moment,21
suprême,suprême,30
/.,/.,P
aussitôt,aussitôt,60
la,le,71
douleur,douleur,22
avait,avoir,18
cessé,cesser,12
comme,comme,83
par,par,81
prodige,prodige,21
/.,/.,P
-,-,p
ce,ce,52
qu',que,52
il,il,51
me,je,51
raconta,raconter,19
ensuite,ensuite,60
est,être,17
impossible,impossible,30
à,à,81
rendre,rendre,14
:,:,p
un,un,71
rêve,rêve,21
sublime,sublime,30
dans,dans,81
les,le,71
espaces,espace,21
les,le,71
plus,plus,60
vagues,vague,30
de,de,81
l',le,71
infini,infini,21
",",",",p
une,un,71
conversation,conversation,22
avec,avec,81
un,un,71
être,être,21
à,à,81
la,le,71
fois,fois,22
différent,différent,30
et,et,82
participant,participant,30
de,de,81
lui-même,lui-même,51
",",",",p
et,et,82
à,à,81
qui,qui,52
",",",",p
se,se,51
croyant,croire,13
mort,mort,31
",",",",p
il,il,51
demandait,demander,18
où,où,60
était,être,18
dieu,dieu,21
/.,/.,P
“,“,p
mais,mais,82
dieu,dieu,21
est,être,17
partout,partout,60
",",",",p
lui,lui,51
répondait,répondre,18
son,son,73
esprit,esprit,21
;,;,p
il,il,51
est,être,17
en,en,81
toi-même,toi-même,51
et,et,82
en,en,81
tous,tout,52
/.,/.,P
il,il,51
te,tu,51
juge,juger,17
",",",",p
il,il,51
t',tu,51
écoute,écouter,17
",",",",p
il,il,51
te,tu,51
conseille,conseiller,17
;,;,p
c',ce,52
est,être,17
toi,toi,51
et,et,82
moi,moi,51
",",",",p
qui,qui,52
pensons,penser,17
et,et,82
rêvons,rêver,17
ensemble,ensemble,60
",",",",p
-,-,p
et,et,82
nous,nous,51
ne,ne,60
nous,nous,51
sommes,être,17
jamais,jamais,60
quittés,quitter,12
",",",",p
et,et,82
nous,nous,51
sommes,être,17
éternels,éternel,30
/!,/!,P
je,je,51
ne,ne,60
puis,pouvoir,17
citer,citer,14
autre,autre,75
chose,chose,22
de,de,81
cette,ce,74
conversation,conversation,22
",",",",p
que,que,52
j',je,51
ai,avoir,17
peut-être,peut-être,60
mal,mal,60
entendue,entendre,12
ou,ou,82
mal,mal,60
comprise,comprendre,12
/.,/.,P
je,je,51
sais,savoir,17
seulement,seulement,60
que,que,83
l',le,71
impression,impression,22
en,en,52
fut,être,19
très,très,60
vive,vif,30
/.,/.,P
je,je,51
n',ne,60
ose,oser,17
attribuer,attribuer,14
à,à,81
mon,mon,73
ami,ami,21
les,le,71
conclusions,conclusion,22
que,que,52
j',je,51
ai,avoir,17
peut-être,peut-être,60
faussement,faussement,60
tirées,tirer,12
de,de,81
ses,son,73
paroles,parole,22
/.,/.,P
j',je,51
ignore,ignorer,17
même,même,60
si,si,83
le,le,71
sentiment,sentiment,21
qui,qui,52
en,en,52
résulte,résulter,17
n',ne,60
est,être,17
pas,pas,60
conforme,conforme,30
à,à,81
l',le,71
idée,idée,22
chrétienne,chrétien,30
/.,/.,P
-,-,p
dieu,dieu,21
est,être,17
avec,avec,81
lui,lui,51
",",",",p
m',je,51
écriai,écrier,19
je,je,51
…,…,p
mais,mais,82
il,il,51
n',ne,60
est,être,17
plus,plus,60
avec,avec,81
moi,moi,51
/!,/!,P
o,oh,93
malheur,malheur,21
!,!,p
je,je,51
l',le,52
ai,avoir,17
chassé,chasser,12
de,de,81
moi-même,moi-même,51
",",",",p
je,je,51
l',le,52
ai,avoir,17
menacé,menacer,12
",",",",p
je,je,51
l',le,52
ai,avoir,17
maudit,maudire,12
/!,/!,P
c',ce,52
était,être,18
bien,bien,60
lui,lui,51
",",",",p
ce,ce,74
frère,frère,21
mystique,mystique,30
",",",",p
qui,qui,52
s',se,51
éloignait,éloigner,18
de,de,81
plus,plus,60
en,en,81
plus,plus,60
de,de,81
mon,mon,73
âme,âme,22
et,et,82
qui,qui,52
m',je,51
avertissait,avertir,18
en,en,81
vain,vain,30
/!,/!,P
cet,ce,74
époux,époux,21
préféré,préféré,31
",",",",p
ce,ce,74
roi,roi,21
de,de,81
gloire,gloire,22
",",",",p
c',ce,52
est,être,17
lui,lui,51
qui,qui,52
me,je,51
juge,juger,17
et,et,82
me,je,51
condamne,condamner,17
",",",",p
et,et,82
qui,qui,52
emporte,emporter,17
à,à,81
jamais,jamais,60
dans,dans,81
son,son,73
ciel,ciel,21
celle,celui,52
qu',que,52
il,il,51
m',je,51
eut,avoir,19
donnée,donner,12
et,et,82
dont,dont,52
je,je,51
suis,être,17
indigne,indigne,30
désormais,désormais,60
/!,/!,P
<Page 55 Partie 2 Chapitre 2>,<>,<>
je,je,51
ne,ne,60
puis,pouvoir,17
dépeindre,dépeindre,14
l',le,71
abattement,abattement,21
où,où,60
me,je,51
jetèrent,jeter,19
ces,ce,74
idées,idée,22
/.,/.,P
“,“,p
je,je,51
comprends,comprendre,17
",",",",p
me,je,51
dis,dire,17
je,je,51
",",",",p
j',je,51
ai,avoir,17
préféré,préférer,12
la,le,71
créature,créature,22
au,à,81
au,le,71
créateur,créateur,21
;,;,p
j',je,51
ai,avoir,17
déifié,déifier,12
mon,mon,73
amour,amour,21
et,et,82
j',je,51
ai,avoir,17
adoré,adorer,12
",",",",p
selon,selon,81
les,le,71
rites,rite,21
païens,païen,30
",",",",p
celle,celui,52
dont,dont,52
le,le,71
dernier,dernier,30
soupir,soupir,21
a,avoir,17
été,être,12
consacré,consacrer,12
au,à,81
au,le,71
Christ,Christ,20
/.,/.,P
mais,mais,82
si,si,83
cette,ce,74
religion,religion,22
dit,dire,17
vrai,vrai,60
",",",",p
dieu,dieu,21
peut,pouvoir,17
me,je,51
pardonner,pardonner,14
encore,encore,60
/.,/.,P
il,il,51
peut,pouvoir,17
me,je,51
la,le,52
rendre,rendre,14
si,si,83
je,je,51
m',je,51
humilie,humilier,17
devant,devant,81
lui,lui,51
;,;,p
peut-être,peut-être,60
son,son,73
esprit,esprit,21
reviendra,revenir,15
t,t,94
il,il,51
en,en,81
moi,moi,51
/!,/!,P
j',je,51
errais,errer,18
dans,dans,81
les,le,71
rues,rue,22
",",",",p
au,à,81
au,le,71
hasard,hasard,21
",",",",p
plein,plein,30
de,de,81
cette,ce,74
pensée,pensée,22
/.,/.,P
un,un,71
convoi,convoi,21
croisa,croiser,19
ma,mon,73
marche,marche,22
;,;,p
il,il,51
se,se,51
dirigeait,diriger,18
vers,vers,81
le,le,71
cimetière,cimetière,21
où,où,60
elle,il,51
avait,avoir,18
été,être,12
ensevelie,ensevelir,12
;,;,p
j',je,51
eus,avoir,19
l',le,71
idée,idée,22
de,de,81
m',je,51
y,y,52
rendre,rendre,14
en,en,81
me,je,51
joignant,joindre,13
au,à,81
au,le,71
cortège,cortège,21
/.,/.,P
“,“,p
j',je,51
ignore,ignorer,17
",",",",p
me,je,51
disais,dire,18
je,je,51
",",",",p
quel,quel,52
est,être,17
ce,ce,74
mort,mort,21
que,que,52
l',l',94
on,on,51
conduit,conduire,17
à,à,81
la,le,71
fosse,fosse,22
",",",",p
mais,mais,82
je,je,51
sais,savoir,17
maintenant,maintenant,60
que,que,83
les,le,71
morts,mort,21
nous,nous,51
voient,voir,17
et,et,82
nous,nous,51
entendent,entendre,17
",",",",p
peut-être,peut-être,60
sera,être,15
t,t,94
il,il,51
content,content,30
de,de,81
se,se,51
voir,voir,14
suivi,suivi,31
d',de,81
un,un,71
frère,frère,21
de,de,81
douleur,douleur,22
",",",",p
plus,plus,60
triste,triste,30
qu',que,83
aucun,aucun,52
de,de,81
ceux,celui,52
qui,qui,52
l',le,52
accompagnent,accompagner,17
/.,/.,P
“,“,p
cette,ce,74
idée,idée,22
me,je,51
fit,faire,19
verser,verser,14
des,de,81
des,le,71
larmes,larme,22
",",",",p
et,et,82
sans,sans,81
doute,doute,21
on,on,51
crut,croire,19
que,que,83
j',je,51
étais,être,18
un,un,52
des,de,81
des,le,71
