11958
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Vingtième extrait>,<>,<>
lui,lui,51
a,avoir,17
donnée,donner,12
/.,/.,P
pardieu,pardieu,93
!,!,p
cette,ce,74
lettre,lettre,22
me,je,51
fait,faire,17
pousser,pousser,14
une,un,71
idée,idée,22
",",",",p
une,un,71
excellente,excellent,30
idée,idée,22
/!,/!,P
ah,ah,93
/!,/!,P
Dantès,Dantès,20
",",",",p
mon,mon,73
ami,ami,21
",",",",p
tu,tu,51
n',ne,60
es,être,17
pas,pas,60
encore,encore,60
couché,coucher,12
au,à,81
au,le,71
registre,registre,21
du,de,81
du,le,71
Pharaon,Pharaon,20
sous,sous,81
le,le,71
numéro,numéro,21
<Nombre 1>,<>,<>
un,un,72
<Fin nombre>,<>,<>
/.,/.,P
“,“,p
puis,puis,60
se,se,51
retournant,retourner,13
vers,vers,81
Edmond,Edmond,20
",",",",p
qui,qui,52
s',se,51
éloignait,éloigner,18
déjà,déjà,60
:,:,p
“,“,p
bon,bon,30
voyage,voyage,21
!,!,p
lui,lui,51
cria,crier,19
t,t,94
il,il,51
/.,/.,P
-,-,p
merci,merci,21
“,“,p
",",",",p
répondit,répondre,19
Edmond,Edmond,20
en,en,81
retournant,retourner,13
la,le,71
tête,tête,22
et,et,82
en,en,81
accompagnant,accompagner,13
ce,ce,74
mouvement,mouvement,21
d',de,81
un,un,71
geste,geste,21
amical,amical,30
/.,/.,P
puis,puis,60
les,le,71
deux,deux,72
amants,amant,21
continuèrent,continuer,19
leur,leur,73
route,route,22
",",",",p
calmes,calme,30
et,et,82
joyeux,joyeux,30
comme,comme,83
deux,deux,72
élus,élu,21
qui,qui,52
montent,monter,17
au,à,81
au,le,71
ciel,ciel,21
/.,/.,P
<Chapitre IV>,<>,<>
complot,complot,21
Danglars,Danglars,20
suivit,suivre,19
Edmond,Edmond,20
et,et,82
Mercédès,Mercédès,20
des,de,81
des,le,71
yeux,oeil,21
jusqu',jusque,81
à,à,81
ce,ce,52
que,que,52
les,le,71
deux,deux,72
amants,amant,21
eussent,avoir,18
disparu,disparaître,12
à,à,81
l',le,71
un,un,52
des,de,81
des,le,71
angles,angle,21
du,de,81
du,le,71
fort,fort,21
Saint,Saint,20
Nicolas,Nicolas,20
;,;,p
puis,puis,60
",",",",p
se,se,51
retournant,retourner,13
alors,alors,60
",",",",p
il,il,51
aperçut,apercevoir,19
Fernand,Fernand,20
",",",",p
qui,qui,52
était,être,18
retombé,retomber,12
pale,pale,22
et,et,82
frémissant,frémissant,30
sur,sur,81
sa,son,73
chaise,chaise,22
",",",",p
tandis que,tandis que,83
Caderousse,Caderousse,20
balbutiait,balbutier,18
les,le,71
paroles,parole,22
d',de,81
une,un,71
chanson,chanson,22
à,à,81
boire,boire,14
/.,/.,P
“,“,p
ah,ah,93
çà,çà,60
!,!,p
mon,mon,73
cher,cher,30
monsieur,monsieur,21
",",",",p
dit,dire,19
Danglars,Danglars,20
à,à,81
Fernand,Fernand,20
",",",",p
voilà,voilà,81
un,un,71
mariage,mariage,21
qui,qui,52
ne,ne,60
me,je,51
paraît,paraître,17
pas,pas,60
faire,faire,14
le,le,71
bonheur,bonheur,21
de,de,81
tout,tout,75
le,le,71
monde,monde,21
/!,/!,P
il,il,51
me,je,51
désespère,désespérer,17
",",",",p
dit,dire,19
Fernand,Fernand,20
/.,/.,P
-,-,p
vous,vous,51
aimiez,aimer,18
donc,donc,82
Mercédès,Mercédès,20
/?,/?,P
je,je,51
l',le,52
adorais,adorer,18
/!,/!,P
depuis,depuis,81
longtemps,longtemps,60
/?,/?,P
depuis,depuis,81
que,que,83
nous,nous,51
nous,nous,51
connaissons,connaître,17
",",",",p
je,je,51
l',le,52
ai,avoir,17
toujours,toujours,60
aimée,aimer,12
/.,/.,P
-,-,p
et,et,82
vous,vous,51
êtes,être,17
là,là,60
à,à,81
vous,vous,51
arracher,arracher,14
les,le,71
cheveux,cheveu,21
",",",",p
au,à,81
au,le,71
lieu,lieu,21
de,de,81
chercher,chercher,14
remède,remède,21
à,à,81
la,le,71
chose,chose,22
/!,/!,P
que,que,52
diable,diable,21
!,!,p
je,je,51
ne,ne,60
croyais,croire,18
pas,pas,60
que,que,83
ce,ce,52
fût,être,19
ainsi,ainsi,60
qu',que,83
agissaient,agir,18
les,le,71
gens,gens,21
de,de,81
votre,votre,73
nation,nation,22
/.,/.,P
-,-,p
que,que,52
voulez,vouloir,17
vous,vous,51
que,que,83
je,je,51
fasse,faire,17
?,?,p
demanda,demander,19
Fernand,Fernand,20
/.,/.,P
-,-,p
et,et,82
que,que,52
sais,savoir,17
je,je,51
",",",",p
moi,moi,51
/?,/?,P
est,être,17
ce,ce,52
que,que,83
cela,cela,52
me,je,51
regarde,regarder,17
/?,/?,P
ce,ce,52
n',ne,60
est,être,17
pas,pas,60
moi,moi,51
",",",",p
ce,ce,52
me,je,51
semble,sembler,17
",",",",p
qui,qui,52
suis,être,17
amoureux,amoureux,30
de,de,81
mademoiselle,mademoiselle,22
Mercédès,Mercédès,20
",",",",p
mais,mais,82
vous,vous,51
/.,/.,P
cherchez,chercher,17
",",",",p
dit,dire,19
l',le,71
Evangile,évangile,21
",",",",p
et,et,82
vous,vous,51
trouverez,trouver,15
/.,/.,P
-,-,p
j',je,51
avais,avoir,18
trouvé,trouver,12
déjà,déjà,60
/.,/.,P
-,-,p
quoi,quoi,52
/?,/?,P
je,je,51
voulais,vouloir,18
poignarder,poignarder,14
l',le,71
homme,homme,21
",",",",p
mais,mais,82
la,le,71
femme,femme,22
m',je,51
a,avoir,17
dit,dire,12
que,que,83
s',si,83
il,il,51
arrivait,arriver,18
malheur,malheur,21
à,à,81
son,son,73
fiancé,fiancé,21
",",",",p
elle,il,51
se,se,51
tuerait,tuer,16
/.,/.,P
-,-,p
bah,bah,93
!,!,p
on,on,51
dit,dire,17
ces,ce,74
choses,chose,22
là,là,60
",",",",p
mais,mais,82
on,on,51
ne,ne,60
les,le,52
fait,faire,17
point,point,60
/.,/.,P
-,-,p
vous,vous,51
ne,ne,60
connaissez,connaître,17
point,point,60
Mercédès,Mercédès,20
",",",",p
monsieur,monsieur,21
:,:,p
du,de,81
du,le,71
moment,moment,21
où,où,60
elle,il,51
a,avoir,17
menacé,menacer,12
",",",",p
elle,il,51
exécuterait,exécuter,16
/.,/.,P
-,-,p
imbécile,imbécile,21
!,!,p
murmura,murmurer,19
Danglars,Danglars,20
:,:,p
qu',que,52
elle,il,51
se,se,51
tue,tuer,17
ou,ou,82
non,non,60
",",",",p
que,que,52
m',je,51
importe,importer,17
",",",",p
pourvu,pourvu,81
que,que,83
Dantès,Dantès,20
ne,ne,60
soit,être,17
point,point,60
capitaine,capitaine,21
/.,/.,P
-,-,p
et,et,82
avant,avant,81
que,que,83
Mercédès,Mercédès,20
meure,mourir,17
",",",",p
reprit,reprendre,19
Fernand,Fernand,20
avec,avec,81
l',le,71
accent,accent,21
d',de,81
une,un,71
immuable,immuable,30
résolution,résolution,22
",",",",p
je,je,51
mourrais,mourir,16
moi-même,moi-même,51
/.,/.,P
-,-,p
en,en,52
voilà,voilà,81
de,de,81
l',le,71
amour,amour,21
!,!,p
dit,dire,19
Caderousse,Caderousse,20
d',de,81
une,un,71
voix,voix,22
de,de,81
plus,plus,60
en,en,81
plus,plus,60
avinée,aviné,30
;,;,p
en,en,52
voilà,voilà,81
",",",",p
ou,ou,82
je,je,51
ne,ne,60
m',je,51
y,y,52
connais,connaître,17
plus,plus,60
/!,/!,P
voyons,voir,17
",",",",p
dit,dire,19
Danglars,Danglars,20
",",",",p
vous,vous,51
me,je,51
paraissez,paraître,17
un,un,71
gentil,gentil,30
garçon,garçon,21
",",",",p
et,et,82
je,je,51
voudrais,vouloir,16
",",",",p
le,le,71
diable,diable,21
m',je,51
emporte,emporter,17
!,!,p
vous,vous,51
tirer,tirer,14
de,de,81
peine,peine,22
;,;,p
mais,mais,82
/…,/…,P
-,-,p
oui,oui,60
",",",",p
dit,dire,19
Caderousse,Caderousse,20
",",",",p
voyons,voir,17
/.,/.,P
-,-,p
mon,mon,73
cher,cher,30
",",",",p
reprit,reprendre,19
Danglars,Danglars,20
",",",",p
tu,tu,51
es,être,17
aux,à,81
aux,le,71
trois,trois,72
quarts,quart,21
ivre,ivre,30
:,:,p
achève,achever,17
la,le,71
bouteille,bouteille,22
",",",",p
et,et,82
tu,tu,51
le,le,52
seras,être,15
tout,tout,60
à,à,81
fait,fait,21
/.,/.,P
bois,boire,17
",",",",p
et,et,82
ne,ne,60
te,tu,51
mêle,mêler,17
pas,pas,60
de,de,81
ce,ce,52
que,que,52
nous,nous,51
faisons,faire,17
:,:,p
pour,pour,81
ce,ce,52
que,que,52
nous,nous,51
faisons,faire,17
il,il,51
faut,falloir,17
avoir,avoir,14
toute,tout,75
sa,son,73
tête,tête,22
/.,/.,P
-,-,p
moi,moi,51
ivre,ivre,30
?,?,p
dit,dire,19
Caderousse,Caderousse,20
",",",",p
allons,aller,17
donc,donc,82
/!,/!,P
j',je,51
en,en,52
boirais,boire,16
encore,encore,60
quatre,quatre,72
",",",",p
de,de,81
tes,ton,73
bouteilles,bouteille,22
",",",",p
qui,qui,52
ne,ne,60
sont,être,17
pas,pas,60
plus,plus,60
grandes,grand,30
que,que,83
des,de,81
des,le,71
bouteilles,bouteille,22
d',de,81
eau,eau,22
de,de,81
Cologne,Cologne,20
/!,/!,P
père,père,21
Pamphile,Pamphile,20
",",",",p
du,de,81
du,le,71
vin,vin,21
/!,/!,P
et,et,82
pour,pour,81
joindre,joindre,14
la,le,71
preuve,preuve,22
à,à,81
la,le,71
proposition,proposition,22
",",",",p
Caderousse,Caderousse,20
frappa,frapper,19
avec,avec,81
son,son,73
verre,verre,21
sur,sur,81
la,le,71
table,table,22
“,“,p
vous,vous,51
disiez,dire,18
donc,donc,82
",",",",p
monsieur,monsieur,21
?,?,p
reprit,reprendre,19
Fernand,Fernand,20
",",",",p
attendant,attendre,13
avec,avec,81
avidité,avidité,22
la,le,71
suite,suite,22
de,de,81
la,le,71
phrase,phrase,22
interrompue,interrompu,31
/.,/.,P
-,-,p
que,que,52
disais,dire,18
je,je,51
/?,/?,P
je,je,51
ne,ne,60
me,je,51
le,le,52
rappelle,rappeler,17
plus,plus,60
/.,/.,P
cet,ce,74
ivrogne,ivrogne,21
de,de,81
Caderousse,Caderousse,20
m',je,51
a,avoir,17
fait,faire,12
perdre,perdre,14
le,le,71
fil,fil,21
de,de,81
mes,mon,73
pensées,pensée,22
/.,/.,P
-,-,p
ivrogne,ivrogne,21
tant,tant,60
que,que,83
tu,tu,51
le,le,52
voudras,vouloir,15
;,;,p
tant,tant,60
pis,pis,60
pour,pour,81
ceux,celui,52
qui,qui,52
craignent,craindre,17
le,le,71
vin,vin,21
",",",",p
c',ce,52
est,être,17
qu',que,83
ils,ils,51
ont,avoir,17
quelque,quelque,75
mauvaise,mauvais,30
pensée,pensée,22
qu',que,52
ils,ils,51
craignent,craindre,17
que,que,83
le,le,71
vin,vin,21
ne,ne,60
leur,leur,52
tire,tirer,17
du,de,81
du,le,71
coeur,coeur,21
/.,/.,P
“,“,p
et,et,82
Caderousse,Caderousse,20
se,se,51
mit,mettre,19
à,à,81
chanter,chanter,14
les,le,71
deux,deux,72
derniers,dernier,30
vers,vers,21
d',de,81
une,un,71
chanson,chanson,22
fort,fort,60
en,en,81
vogue,vogue,22
à,à,81
cette,ce,74
époque,époque,22
:,:,p
tous,tout,75
les,le,71
méchants,méchant,21
sont,être,17
buveurs,buveur,21
d',de,81
eau,eau,22
",",",",p
c',ce,52
est,être,17
bien,bien,60
prouvé,prouver,12
par,par,81
le,le,71
déluge,déluge,21
/.,/.,P
“,“,p
vous,vous,51
disiez,dire,18
",",",",p
monsieur,monsieur,21
",",",",p
reprit,reprendre,19
Fernand,Fernand,20
",",",",p
que,que,83
vous,vous,51
voudriez,vouloir,16
me,je,51
tirer,tirer,14
de,de,81
peine,peine,22
;,;,p
mais,mais,82
",",",",p
ajoutiez,ajouter,18
vous,vous,51
/…,/…,P
-,-,p
oui,oui,60
",",",",p
mais,mais,82
",",",",p
ajoutais,ajouter,18
je,je,51
…,…,p
pour,pour,81
vous,vous,51
tirer,tirer,14
de,de,81
peine,peine,22
il,il,51
suffit,suffire,17
que,que,83
Dantès,Dantès,20
n',ne,60
épouse,épouser,17
pas,pas,60
celle,celui,52
que,que,52
vous,vous,51
aimez,aimer,17
;,;,p
et,et,82
le,le,71
mariage,mariage,21
peut,pouvoir,17
très,très,60
bien,bien,60
manquer,manquer,14
",",",",p
ce,ce,52
me,je,51
semble,sembler,17
",",",",p
sans,sans,81
que,que,83
Dantès,Dantès,20
meure,mourir,17
/.,/.,P
-,-,p
la,le,71
mort,mort,22
seule,seul,30
les,le,52
séparera,séparer,15
",",",",p
dit,dire,19
Fernand,Fernand,20
/.,/.,P
-,-,p
vous,vous,51
raisonnez,raisonner,17
comme,comme,83
un,un,71
coquillage,coquillage,21
",",",",p
mon,mon,73
ami,ami,21
",",",",p
dit,dire,19
Caderousse,Caderousse,20
",",",",p
et,et,82
voilà,voilà,81
Danglars,Danglars,20
",",",",p
qui,qui,52
est,être,17
un,un,71
finaud,finaud,21
",",",",p
un,un,71
malin,malin,21
",",",",p
un,un,71
grec,grec,21
",",",",p
qui,qui,52
va,aller,17
vous,vous,51
prouver,prouver,14
que,que,83
vous,vous,51
avez,avoir,17
tort,tort,21
/.,/.,P
prouve,prouver,17
",",",",p
Danglars,Danglars,20
/.,/.,P
j',je,51
ai,avoir,17
répondu,répondre,12
de,de,81
toi,toi,51
/.,/.,P
dis,dire,17
lui,lui,51
qu',que,83
il,il,51
n',ne,60
est,être,17
pas,pas,60
besoin,besoin,21
que,que,83
Dantès,Dantès,20
meure,mourir,17
;,;,p
d',de,81
ailleurs,ailleurs,60
ce,ce,52
serait,être,16
fâcheux,fâcheux,30
qu',que,83
il,il,51
mourût,mourir,18
",",",",p
Dantès,Dantès,20
/.,/.,P
c',ce,52
est,être,17
un,un,71
bon,bon,30
garçon,garçon,21
",",",",p
je,je,51
l',le,52
aime,aimer,17
",",",",p
moi,moi,51
",",",",p
Dantès,Dantès,20
/.,/.,P
<Nombre 7>,<>,<>
sept,sept,72
<Fin nombre>,<>,<>
ta,ton,73
santé,santé,22
",",",",p
Dantès,Dantès,20
/.,/.,P
“,“,p
Fernand,Fernand,20
se,se,51
leva,lever,19
avec,avec,81
impatience,impatience,22
/.,/.,P
“,“,p
laissez,laisser,17
le,le,52
dire,dire,14
",",",",p
reprit,reprendre,19
Danglars,Danglars,20
",",",",p
en,en,81
retenant,retenir,13
le,le,71
jeune,jeune,30
homme,homme,21
",",",",p
et,et,82
d',de,81
ailleurs,ailleurs,60
",",",",p
tout,tout,60
ivre,ivre,30
qu',que,83
il,il,51
est,être,17
",",",",p
il,il,51
ne,ne,60
fait,faire,17
point,point,60
si,si,60
grande,grand,30
erreur,erreur,22
/.,/.,P
l',le,71
absence,absence,22
disjoint,disjoindre,17
tout,tout,60
aussi,aussi,60
bien,bien,60
que,que,83
la,le,71
mort,mort,22
;,;,p
et,et,82
supposez,supposer,17
qu',que,83
il,il,51
y,y,52
ait,avoir,17
entre,entre,81
Edmond,Edmond,20
et,et,82
Mercédès,Mercédès,20
les,le,71
murailles,muraille,22
d',de,81
une,un,71
prison,prison,22
",",",",p
ils,ils,51
seront,être,15
séparés,séparer,12
ni,ni,82
plus,plus,60
ni,ni,82
moins,moins,60
que,que,83
s',si,83
il,il,51
y,y,52
avait,avoir,18
là,là,60
la,le,71
pierre,pierre,22
d',de,81
une,un,71
tombe,tombe,22
/.,/.,P
-,-,p
oui,oui,60
",",",",p
mais,mais,82
on,on,51
sort,sortir,17
de,de,81
prison,prison,22
",",",",p
dit,dire,19
Caderousse,Caderousse,20
",",",",p
qui,qui,52
avec,avec,81
les,le,71
restes,reste,21
de,de,81
son,son,73
intelligence,intelligence,22
se,se,51
cramponnait,cramponner,18
à,à,81
la,le,71
conversation,conversation,22
",",",",p
et,et,82
quand,quand,83
on,on,51
est,être,17
sorti,sortir,12
de,de,81
prison,prison,22
et,et,82
qu',que,83
on,on,51
s',se,51
appelle,appeler,17
Edmond,Edmond,20
Dantès,Dantès,20
",",",",p
on,on,51
se,se,51
venge,venger,17
/.,/.,P
-,-,p
qu',que,52
importe,importer,17
!,!,p
murmura,murmurer,19
Fernand,Fernand,20
/.,/.,P
-,-,p
d',de,81
ailleurs,ailleurs,60
",",",",p
reprit,reprendre,19
Caderousse,Caderousse,20
",",",",p
pourquoi,pourquoi,60
mettrait,mettre,16
on,on,51
Dantès,Dantès,20
en,en,81
prison,prison,22
/?,/?,P
il,il,51
n',ne,60
a,avoir,17
ni,ni,82
volé,voler,12
",",",",p
ni,ni,82
tué,tuer,12
",",",",p
ni,ni,82
assassiné,assassiner,12
/.,/.,P
-,-,p
tais,taire,17
toi,toi,51
",",",",p
dit,dire,19
Danglars,Danglars,20
/.,/.,P
-,-,p
je,je,51
ne,ne,60
veux,vouloir,17
pas,pas,60
me,je,51
taire,taire,14
",",",",p
moi,moi,51
",",",",p
dit,dire,19
Caderousse,Caderousse,20
/.,/.,P
je,je,51
veux,vouloir,17
qu',que,83
on,on,51
me,je,51
dise,dire,17
pourquoi,pourquoi,60
on,on,51
mettrait,mettre,16
Dantès,Dantès,20
en,en,81
prison,prison,22
/.,/.,P
moi,moi,51
",",",",p
j',je,51
aime,aimer,17
Dantès,Dantès,20
/.,/.,P
<Nombre 7>,<>,<>
sept,sept,72
<Fin nombre>,<>,<>
ta,ton,73
santé,santé,22
",",",",p
Dantès,Dantès,20
/!,/!,P
et,et,82
il,il,51
avala,avaler,19
un,un,71
nouveau,nouveau,30
verre,verre,21
de,de,81
vin,vin,21
/.,/.,P
Danglars,Danglars,20
suivit,suivre,19
dans,dans,81
les,le,71
yeux,oeil,21
atones,atone,30
du,de,81
du,le,71
tailleur,tailleur,21
les,le,71
progrès,progrès,21
de,de,81
l',le,71
ivresse,ivresse,22
",",",",p
et,et,82
se,se,51
tournant,tourner,13
vers,vers,81
Fernand,Fernand,20
:,:,p
“,“,p
eh,eh,93
bien,bien,60
",",",",p
comprenez,comprendre,17
vous,vous,51
",",",",p
dit,dire,19
il,il,51
",",",",p
qu',que,83
il,il,51
n',ne,60
y,y,52
a,avoir,17
pas,pas,60
besoin,besoin,21
de,de,81
le,le,52
tuer,tuer,14
/?,/?,P
non,non,60
",",",",p
certes,certes,60
",",",",p
si,si,83
",",",",p
comme,comme,83
vous,vous,51
le,le,52
disiez,dire,18
tout,tout,60
à,à,81
l',le,71
heure,heure,22
",",",",p
on,on,51
avait,avoir,18
le,le,71
moyen,moyen,21
de,de,81
faire,faire,14
arrêter,arrêter,14
Dantès,Dantès,20
/.,/.,P
mais,mais,82
ce,ce,74
moyen,moyen,21
",",",",p
l',le,52
avez,avoir,17
vous,vous,51
/?,/?,P
en,en,81
cherchant,chercher,13
bien,bien,60
",",",",p
dit,dire,19
Danglars,Danglars,20
",",",",p
on,on,51
pourrait,pouvoir,16
le,le,52
trouver,trouver,14
/.,/.,P
mais,mais,82
continua,continuer,19
t,t,94
il,il,51
",",",",p
de,de,81
quoi,quoi,52
diable,diable,21
!,!,p
vais,aller,17
je,je,51
me,je,51
mêler,mêler,14
là,là,60
;,;,p
est,être,17
ce,ce,52
que,que,83
cela,cela,52
me,je,51
regarde,regarder,17
/?,/?,P
je,je,51
ne,ne,60
sais,savoir,17
pas,pas,60
si,si,83
cela,cela,52
vous,vous,51
regarde,regarder,17
",",",",p
dit,dire,19
Fernand,Fernand,20
en,en,81
lui,lui,51
saisissant,saisir,13
le,le,71
bras,bras,21
;,;,p
mais,mais,82
ce,ce,52
que,que,52
je,je,51
sais,savoir,17
",",",",p
c',ce,52
est,être,17
que,que,83
vous,vous,51
avez,avoir,17
quelque,quelque,75
motif,motif,21
de,de,81
haine,haine,22
particulière,particulier,30
contre,contre,81
Dantès,Dantès,20
:,:,p
celui,celui,52
qui,qui,52
hait,haïr,17
lui-même,lui-même,51
ne,ne,60
se,se,51
trompe,tromper,17
pas,pas,60
aux,à,81
aux,le,71
sentiments,sentiment,21
des,de,81
des,le,71
autres,autre,52
/.,/.,P
-,-,p
moi,moi,51
