11942
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Quatre-vingt-dix-huitième extrait>,<>,<>
autour,autour,60
de,de,81
lui,lui,51
/.,/.,P
-,-,p
chut,chut,93
!,!,p
en,en,52
voilà,voilà,81
assez,assez,60
/!,/!,P
tu,tu,51
as,avoir,17
raison,raison,22
",",",",p
dit,dire,19
Levaque,Levaque,20
",",",",p
qui,qui,52
baissa,baisser,19
également,également,60
la,le,71
voix,voix,22
/.,/.,P
c',ce,52
est,être,17
malsain,malsain,30
/.,/.,P
une,un,71
obsession,obsession,22
des,de,81
des,le,71
mouchards,mouchard,21
les,le,52
hantait,hanter,18
",",",",p
même,même,60
à,à,81
cette,ce,74
profondeur,profondeur,22
",",",",p
comme,comme,83
si,si,83
la,le,71
houille,houille,22
des,de,81
des,le,71
actionnaires,actionnaire,21
",",",",p
encore,encore,60
dans,dans,81
la,le,71
veine,veine,22
",",",",p
avait,avoir,18
eu,avoir,12
des,de,81
des,le,71
oreilles,oreille,22
/.,/.,P
-,-,p
n',ne,60
empêche,empêcher,17
",",",",p
ajouta,ajouter,19
très,très,60
haut,haut,30
Chaval,Chaval,20
d',de,81
un,un,71
air,air,21
de,de,81
défi,défi,21
",",",",p
que,que,83
si,si,83
ce,ce,74
cochon,cochon,21
de,de,81
Dansaert,Dansaert,20
me,je,51
parle,parler,17
sur,sur,81
le,le,71
ton,ton,21
de,de,81
l',le,71
autre,autre,75
jour,jour,21
",",",",p
je,je,51
lui,lui,51
colle,coller,17
une,un,71
brique,brique,22
dans,dans,81
le,le,71
ventre,ventre,21
/…,/…,P
je,je,51
ne,ne,60
l',le,52
empêche,empêcher,17
pas,pas,60
",",",",p
moi,moi,51
",",",",p
de,de,81
se,se,51
payer,payer,14
les,le,71
blondes,blonde,22
qui,qui,52
ont,avoir,17
la,le,71
peau,peau,22
fine,fin,30
/.,/.,P
cette,ce,74
fois,fois,22
",",",",p
Zacharie,Zacharie,20
éclata,éclater,19
/.,/.,P
les,le,71
amours,amour,21
du,de,81
du,le,71
maître,maître,21
porion,porion,21
et,et,82
de,de,81
la,le,71
Pierronne,Pierronne,20
étaient,être,18
la,le,71
continuelle,continuel,30
plaisanterie,plaisanterie,22
de,de,81
la,le,71
fosse,fosse,22
/.,/.,P
Catherine,Catherine,20
elle-même,lui-même,51
",",",",p
appuyée,appuyé,31
sur,sur,81
sa,son,73
pelle,pelle,22
",",",",p
en,en,81
bas,bas,21
de,de,81
la,le,71
taille,taille,22
",",",",p
se,se,51
tint,tenir,19
les,le,71
côtes,côte,22
et,et,82
mit,mettre,19
d',de,81
une,un,71
phrase,phrase,22
Etienne,Etienne,20
au,à,81
au,le,71
courant,courant,21
;,;,p
tandis que,tandis que,83
Maheu,Maheu,20
se,se,51
fâchait,fâcher,18
",",",",p
pris,pris,31
d',de,81
une,un,71
peur,peur,22
qu',que,52
il,il,51
ne,ne,60
cachait,cacher,18
plus,plus,60
/.,/.,P
-,-,p
hein,hein,93
?,?,p
tu,tu,51
vas,aller,17
te,tu,51
taire,taire,14
!,!,p
/…,/…,P
attends,attendre,17
d',de,81
être,être,14
tout,tout,60
seul,seul,30
",",",",p
si,si,83
tu,tu,51
veux,vouloir,17
qu',que,83
il,il,51
t',tu,51
arrive,arriver,17
du,de,81
du,le,71
mal,mal,21
/.,/.,P
il,il,51
parlait,parler,18
encore,encore,60
",",",",p
lorsqu',lorsque,83
un,un,71
bruit,bruit,21
de,de,81
pas,pas,21
vint,venir,19
de,de,81
la,le,71
galerie,galerie,22
supérieure,supérieur,30
/.,/.,P
presque,presque,60
aussitôt,aussitôt,60
",",",",p
l',le,71
ingénieur,ingénieur,21
de,de,81
la,le,71
fosse,fosse,22
",",",",p
le,le,71
petit,petit,30
Négrel,Négrel,20
",",",",p
comme,comme,83
les,le,71
ouvriers,ouvrier,21
le,le,52
nommaient,nommer,18
entre,entre,81
eux,ils,51
",",",",p
parut,paraître,19
en,en,81
haut,haut,21
de,de,81
la,le,71
taille,taille,22
",",",",p
accompagné,accompagné,31
de,de,81
Dansaert,Dansaert,20
",",",",p
le,le,71
maître,maître,21
porion,porion,21
/.,/.,P
-,-,p
quand,quand,83
je,je,51
le,le,52
disais,dire,18
!,!,p
murmura,murmurer,19
Maheu,Maheu,20
/.,/.,P
il,il,51
y,y,52
en,en,52
a,avoir,17
toujours,toujours,60
là,là,60
",",",",p
qui,qui,52
sortent,sortir,17
de,de,81
la,le,71
terre,terre,22
/.,/.,P
Paul,Paul,20
Négrel,Négrel,20
",",",",p
neveu,neveu,21
de,de,81
monsieur,monsieur,21
Hennebeau,Hennebeau,20
",",",",p
était,être,18
un,un,71
garçon,garçon,21
de,de,81
vingt,vingt,72
six,six,72
ans,an,21
",",",",p
mince,mince,30
et,et,82
joli,joli,30
",",",",p
avec,avec,81
des,de,81
des,le,71
cheveux,cheveu,21
frisés,frisé,31
et,et,82
des,de,81
des,le,71
moustaches,moustache,22
brunes,brun,30
/.,/.,P
son,son,73
nez,nez,21
pointu,pointu,30
",",",",p
ses,son,73
yeux,oeil,21
vifs,vif,30
",",",",p
lui,lui,51
donnaient,donner,18
un,un,71
air,air,21
de,de,81
furet,furet,21
aimable,aimable,30
",",",",p
d',de,81
une,un,71
intelligence,intelligence,22
sceptique,sceptique,30
",",",",p
qui,qui,52
se,se,51
changeait,changer,18
en,en,81
une,un,71
autorité,autorité,22
cassante,cassant,30
",",",",p
dans,dans,81
ses,son,73
rapports,rapport,21
avec,avec,81
les,le,71
ouvriers,ouvrier,21
/.,/.,P
il,il,51
était,être,18
vêtu,vêtir,12
comme,comme,83
eux,ils,51
",",",",p
barbouillé,barbouillé,31
comme,comme,83
eux,ils,51
de,de,81
charbon,charbon,21
;,;,p
et,et,82
",",",",p
pour,pour,81
les,le,52
réduire,réduire,14
au,à,81
au,le,71
respect,respect,21
",",",",p
il,il,51
montrait,montrer,18
un,un,71
courage,courage,21
à,à,81
se,se,51
casser,casser,14
les,le,71
os,os,21
",",",",p
passant,passer,13
par,par,81
les,le,71
endroits,endroit,21
les,le,71
plus,plus,60
difficiles,difficile,30
",",",",p
toujours,toujours,60
le,le,71
premier,premier,72
sous,sous,81
les,le,71
éboulements,éboulement,21
et,et,82
dans,dans,81
les,le,71
coups,coup,21
de,de,81
grisou,grisou,21
/.,/.,P
-,-,p
nous,nous,51
y,y,52
sommes,être,17
",",",",p
n',ne,60
est,être,17
ce,ce,52
pas,pas,60
/?,/?,P
Dansaert,Dansaert,20
",",",",p
demanda,demander,19
t,t,94
il,il,51
/.,/.,P
le,le,71
maître,maître,21
porion,porion,21
",",",",p
un,un,71
Belge,Belge,20
à,à,81
face,face,22
épaisse,épais,30
",",",",p
au,à,81
au,le,71
gros,gros,30
nez,nez,21
sensuel,sensuel,30
",",",",p
répondit,répondre,19
avec,avec,81
une,un,71
politesse,politesse,22
exagérée,exagéré,31
:,:,p
-,-,p
oui,oui,60
",",",",p
monsieur,monsieur,21
Négrel,Négrel,20
/…,/…,P
voici,voici,81
l',le,71
homme,homme,21
qu',que,52
on,on,51
a,avoir,17
embauché,embaucher,12
ce,ce,74
matin,matin,21
/.,/.,P
tous,tout,75
deux,deux,72
s',se,51
étaient,être,18
laissés,laisser,12
glisser,glisser,14
au,à,81
au,le,71
milieu,milieu,21
de,de,81
la,le,71
taille,taille,22
/.,/.,P
on,on,51
fit,faire,19
monter,monter,14
Etienne,Etienne,20
/.,/.,P
l',le,71
ingénieur,ingénieur,21
leva,lever,19
sa,son,73
lampe,lampe,22
",",",",p
le,le,52
regarda,regarder,19
",",",",p
sans,sans,81
le,le,52
questionner,questionner,14
/.,/.,P
-,-,p
c',ce,52
est,être,17
bon,bon,30
",",",",p
dit,dire,19
il,il,51
enfin,enfin,60
/.,/.,P
je,je,51
n',ne,60
aime,aimer,17
guère,guère,60
qu',que,83
on,on,51
ramasse,ramasser,17
des,de,81
des,le,71
inconnus,inconnu,21
sur,sur,81
les,le,71
routes,route,22
/…,/…,P
surtout,surtout,60
",",",",p
ne,ne,60
recommencez,recommencer,17
pas,pas,60
/.,/.,P
et,et,82
il,il,51
n',ne,60
écouta,écouter,19
point,point,60
les,le,71
explications,explication,22
qu',que,52
on,on,51
lui,lui,51
donnait,donner,18
",",",",p
les,le,71
nécessités,nécessité,22
du,de,81
du,le,71
travail,travail,21
",",",",p
le,le,71
désir,désir,21
de,de,81
remplacer,remplacer,14
les,le,71
femmes,femme,22
par,par,81
des,de,81
des,le,71
garçons,garçon,21
",",",",p
pour,pour,81
le,le,71
roulage,roulage,21
/.,/.,P
il,il,51
s',se,51
était,être,18
mis,mettre,12
à,à,81
étudier,étudier,14
le,le,71
toit,toit,21
",",",",p
pendant,pendant,81
que,que,83
les,le,71
haveurs,haveur,21
reprenaient,reprendre,18
leurs,leur,73
rivelaines,rivelaine,22
/.,/.,P
tout,tout,60
d',de,81
un,un,71
coup,coup,21
",",",",p
il,il,51
s',se,51
écria,écrier,19
:,:,p
-,-,p
dites,dire,17
donc,donc,82
",",",",p
Maheu,Maheu,20
",",",",p
est,être,17
ce,ce,52
que,que,83
vous,vous,51
vous,vous,51
fichez,ficher,17
du,de,81
du,le,71
monde,monde,21
!,!,p
/…,/…,P
vous,vous,51
allez,aller,17
tous,tout,52
y,y,52
rester,rester,14
",",",",p
nom,nom,21
d',de,81
un,un,71
chien,chien,21
/!,/!,P
oh,oh,93
!,!,p
c',ce,52
est,être,17
solide,solide,30
",",",",p
répondit,répondre,19
tranquillement,tranquillement,60
l',le,71
ouvrier,ouvrier,21
/.,/.,P
-,-,p
comment,comment,60
!,!,p
solide,solide,30
!,!,p
/…,/…,P
mais,mais,82
la,le,71
roche,roche,22
tasse,tasser,17
déjà,déjà,60
",",",",p
et,et,82
vous,vous,51
plantez,planter,17
des,de,81
des,le,71
bois,bois,21
à,à,81
plus,plus,60
de,de,81
deux,deux,72
mètres,mètre,21
",",",",p
d',de,81
un,un,71
air,air,21
de,de,81
regret,regret,21
/!,/!,P
ah,ah,93
!,!,p
vous,vous,51
êtes,être,17
bien,bien,60
tous,tout,75
les,le,71
mêmes,même,52
",",",",p
vous,vous,51
vous,vous,51
laisseriez,laisser,16
aplatir,aplatir,14
le,le,71
crâne,crâne,21
",",",",p
plutôt,plutôt,60
que,que,83
de,de,81
lâcher,lâcher,14
la,le,71
veine,veine,22
",",",",p
pour,pour,81
mettre,mettre,14
au,à,81
au,le,71
boisage,boisage,21
le,le,71
temps,temps,21
voulu,voulu,31
!,!,p
/…,/…,P
je,je,51
vous,vous,51
prie,prier,17
de,de,81
m',je,51
étayer,étayer,14
ça,ça,52
sur-le-champ,sur-le-champ,60
/.,/.,P
doublez,doubler,17
les,le,71
bois,bois,21
",",",",p
entendez,entendre,17
vous,vous,51
/!,/!,P
et,et,82
",",",",p
devant,devant,81
le,le,71
mauvais,mauvais,30
vouloir,vouloir,21
des,de,81
des,le,71
mineurs,mineur,21
qui,qui,52
discutaient,discuter,18
",",",",p
en,en,81
disant,dire,13
qu',que,83
ils,ils,51
étaient,être,18
bons,bon,30
juges,juge,21
de,de,81
leur,leur,73
sécurité,sécurité,22
",",",",p
il,il,51
s',se,51
emporta,emporter,19
/.,/.,P
-,-,p
allons,aller,17
donc,donc,82
!,!,p
quand,quand,83
vous,vous,51
aurez,avoir,15
la,le,71
tête,tête,22
broyée,broyé,31
",",",",p
est,être,17
ce,ce,52
que,que,83
c',ce,52
est,être,17
vous,vous,51
qui,qui,52
en,en,52
supporterez,supporter,15
les,le,71
conséquences,conséquence,22
/?,/?,P
pas,pas,60
du,de,81
du,le,71
tout,tout,21
!,!,p
ce,ce,52
sera,être,15
la,le,71
compagnie,compagnie,22
",",",",p
qui,qui,52
devra,devoir,15
vous,vous,51
faire,faire,14
des,de,81
des,le,71
pensions,pension,22
",",",",p
à,à,81
vous,vous,51
ou,ou,82
à,à,81
vos,votre,73
femmes,femme,22
/…,/…,P
je,je,51
vous,vous,51
répète,répéter,17
qu',que,83
on,on,51
vous,vous,51
connaît,connaître,17
:,:,p
pour,pour,81
avoir,avoir,14
deux,deux,72
berlines,berline,22
de,de,81
plus,plus,60
le,le,71
soir,soir,21
",",",",p
vous,vous,51
donneriez,donner,16
vos,votre,73
peaux,peau,22
/.,/.,P
Maheu,Maheu,20
",",",",p
malgré,malgré,81
la,le,71
colère,colère,22
dont,dont,52
il,il,51
était,être,18
peu,peu,60
à,à,81
peu,peu,60
gagné,gagner,12
",",",",p
dit,dire,19
encore,encore,60
posément,posément,60
:,:,p
-,-,p
si,si,83
l',l',94
on,on,51
nous,nous,51
payait,payer,18
assez,assez,60
",",",",p
nous,nous,51
boiserions,boiser,16
mieux,mieux,60
/.,/.,P
l',le,71
ingénieur,ingénieur,21
haussa,hausser,19
les,le,71
épaules,épaule,22
",",",",p
sans,sans,81
répondre,répondre,14
/.,/.,P
il,il,51
avait,avoir,18
achevé,achever,12
de,de,81
descendre,descendre,14
le,le,71
long,long,21
de,de,81
la,le,71
taille,taille,22
",",",",p
il,il,51
conclut,conclure,19
seulement,seulement,60
d',de,81
en,en,81
bas,bas,21
:,:,p
-,-,p
il,il,51
vous,vous,51
reste,rester,17
une,un,71
heure,heure,22
",",",",p
mettez,mettre,17
vous,vous,51
tous,tout,52
à,à,81
la,le,71
besogne,besogne,22
;,;,p
et,et,82
je,je,51
vous,vous,51
avertis,avertir,17
que,que,83
le,le,71
chantier,chantier,21
a,avoir,17
trois,trois,72
francs,franc,21
d',de,81
amende,amende,22
/.,/.,P
un,un,71
sourd,sourd,30
grognement,grognement,21
des,de,81
des,le,71
haveurs,haveur,21
accueillit,accueillir,19
ces,ce,74
paroles,parole,22
/.,/.,P
la,le,71
force,force,22
de,de,81
la,le,71
hiérarchie,hiérarchie,22
les,le,52
retenait,retenir,18
seule,seul,30
",",",",p
cette,ce,74
hiérarchie,hiérarchie,22
militaire,militaire,30
qui,qui,52
",",",",p
du,de,81
du,le,71
galibot,galibot,21
au,à,81
au,le,71
maître,maître,21
porion,porion,21
",",",",p
les,le,52
courbait,courber,18
les,le,71
uns,un,52
sous,sous,81
les,le,71
autres,autre,52
/.,/.,P
Chaval,Chaval,20
et,et,82
Levaque,Levaque,20
pourtant,pourtant,60
eurent,avoir,19
un,un,71
geste,geste,21
furieux,furieux,30
",",",",p
tandis que,tandis que,83
Maheu,Maheu,20
les,le,52
modérait,modérer,18
du,de,81
du,le,71
regard,regard,21
et,et,82
que,que,83
Zacharie,Zacharie,20
haussait,hausser,18
gouailleusement,gouailleusement,60
les,le,71
épaules,épaule,22
/.,/.,P
mais,mais,82
Etienne,Etienne,20
était,être,18
peut-être,peut-être,60
le,le,71
plus,plus,60
frémissant,frémissant,30
/.,/.,P
depuis,depuis,81
qu',que,83
il,il,51
se,se,51
trouvait,trouver,18
au,à,81
au,le,71
fond,fond,21
de,de,81
cet,ce,74
enfer,enfer,21
",",",",p
une,un,71
révolte,révolte,22
lente,lent,30
le,le,52
soulevait,soulever,18
/.,/.,P
il,il,51
regarda,regarder,19
Catherine,Catherine,20
résignée,résigné,31
",",",",p
l',le,71
échine,échine,22
basse,bas,30
/.,/.,P
était,être,18
ce,ce,52
possible,possible,30
qu',que,83
on,on,51
se,se,51
tuât,tuer,18
à,à,81
une,un,71
si,si,60
dure,dur,30
besogne,besogne,22
dans,dans,81
ces,ce,74
ténèbres,ténèbre,22
mortelles,mortel,30
",",",",p
et,et,82
qu',que,83
on,on,51
n',ne,60
y,y,52
gagnât,gagner,18
même,même,60
pas,pas,60
les,le,71
quelques,quelque,75
sous,sou,21
du,de,81
du,le,71
pain,pain,21
quotidien,quotidien,30
/?,/?,P
cependant,cependant,82
Négrel,Négrel,20
s',se,51
en,en,52
allait,aller,18
avec,avec,81
Dansaert,Dansaert,20
",",",",p
qui,qui,52
s',se,51
était,être,18
contenté,contenter,12
d',de,81
approuver,approuver,14
d',de,81
un,un,71
mouvement,mouvement,21
continu,continu,30
de,de,81
la,le,71
tête,tête,22
/.,/.,P
et,et,82
leurs,leur,73
voix,voix,22
",",",",p
de,de,81
nouveau,nouveau,21
",",",",p
s',se,51
élevèrent,élever,19
:,:,p
ils,ils,51
venaient,venir,18
de,de,81
s',se,51
arrêter,arrêter,14
encore,encore,60
",",",",p
ils,ils,51
examinaient,examiner,18
le,le,71
boisage,boisage,21
de,de,81
la,le,71
galerie,galerie,22
",",",",p
dont,dont,52
les,le,71
haveurs,haveur,21
avaient,avoir,18
l',le,71
entretien,entretien,21
sur,sur,81
une,un,71
longueur,longueur,22
de,de,81
dix,dix,72
mètres,mètre,21
",",",",p
en,en,81
arrière,arrière,21
de,de,81
la,le,71
taille,taille,22
/.,/.,P
-,-,p
quand,quand,83
je,je,51
vous,vous,51
dis,dire,17
qu',que,83
ils,ils,51
se,se,51
fichent,ficher,17
du,de,81
du,le,71
monde,monde,21
!,!,p
criait,crier,18
l',le,71
ingénieur,ingénieur,21
/.,/.,P
et,et,82
vous,vous,51
",",",",p
nom,nom,21
d',de,81
un,un,71
chien,chien,21
!,!,p
vous,vous,51
ne,ne,60
surveillez,surveiller,17
donc,donc,82
pas,pas,60
/?,/?,P
mais,mais,82
si,si,83
",",",",p
mais,mais,82
si,si,83
",",",",p
balbutiait,balbutier,18
le,le,71
maître,maître,21
porion,porion,21
/.,/.,P
on,on,51
est,être,17
las,las,30
de,de,81
leur,leur,52
répéter,répéter,14
les,le,71
choses,chose,22
/.,/.,P
Négrel,Négrel,20
appela,appeler,19
violemment,violemment,60
:,:,p
-,-,p
Maheu,Maheu,20
/!,/!,P
Maheu,Maheu,20
/!,/!,P
tous,tout,52
descendirent,descendre,19
/.,/.,P
il,il,51
continuait,continuer,18
:,:,p
-,-,p
voyez,voir,17
ça,ça,52
",",",",p
est,être,17
ce,ce,52
que,que,83
ça,ça,52
tient,tenir,17
?,?,p
/…,/…,P
c',ce,52
est,être,17
bâti,bâtir,12
comme,comme,83
quatre,quatre,72
sous,sou,21
/.,/.,P
voilà,voilà,81
un,un,71
chapeau,chapeau,21
que,que,52
les,le,71
moutons,mouton,21
ne,ne,60
portent,porter,17
déjà,déjà,60
plus,plus,60
",",",",p
tellement,tellement,60
on,on,51
l',le,52
a,avoir,17
posé,poser,12
à,à,81
la,le,71
hâte,hâte,22
/…,/…,P
pardi,pardi,93
!,!,p
je,je,51
comprends,comprendre,17
que,que,83
le,le,71
raccommodage,raccommodage,21
nous,nous,51
coûte,coûter,17
si,si,60
cher,cher,60
/.,/.,P
n',ne,60
est,être,17
ce,ce,52
pas,pas,60
/?,/?,P
pourvu,pourvu,81
que,que,83
ça,ça,52
dure,durer,17
tant,tant,60
que,que,83
vous,vous,51
en,en,52
avez,avoir,17
la,le,71
responsabilité,responsabilité,22
/!,/!,P
et,et,82
puis,puis,60
tout,tout,52
casse,casser,17
",",",",p
et,et,82
la,le,71
compagnie,compagnie,22
est,être,17
forcée,forcer,12
d',de,81
avoir,avoir,14
une,un,71
armée,armée,22
de,de,81
raccommodeurs,raccommodeur,21
/…,/…,P
regardez,regarder,17
un,un,71
peu,peu,60
là-bas,là-bas,60
",",",",p
c',ce,52
est,être,17
un,un,71
vrai,vrai,30
massacre,massacre,21
/.,/.,P
Chaval,Chaval,20
voulut,vouloir,19
parler,parler,14
",",",",p
mais,mais,82
il,il,51
le,le,52
fit,faire,19
taire,taire,14
/.,/.,P
-,-,p
non,non,60
",",",",p
je,je,51
sais,savoir,17
ce,ce,52
que,que,52
vous,vous,51
allez,aller,17
dire,dire,14
encore,encore,60
/.,/.,P
qu',que,52
on,on,51
vous,vous,51
paie,payer,17
davantage,davantage,60
",",",",p
hein,hein,93
/?,/?,P
eh,eh,93
bien,bien,60
!,!,p
je,je,51
vous,vous,51
préviens,prévenir,17
que,que,83
vous,vous,51
forcerez,forcer,15
la,le,71
direction,direction,22
à,à,81
faire,faire,14
une,un,71
chose,chose,22
:,:,p
oui,oui,60
",",",",p
on,on,51
vous,vous,51
paiera,payer,15
le,le,71
boisage,boisage,21
à,à,81
part,part,22
",",",",p
et,et,82
l',l',94
on,on,51
réduira,réduire,15
proportionnellement,proportionnellement,60
le,le,71
prix,prix,21
de,de,81
la,le,71
berline,berline,22
/.,/.,P
nous,nous,51
verrons,voir,15
si,si,83
vous,vous,51
y,y,52
gagnerez,gagner,15
/…,/…,P
en,en,81
attendant,attendre,13
",",",",p
reboisez,reboiser,17
moi,moi,51
ça,ça,52
tout,tout,60
de,de,81
suite,suite,22
/.,/.,P
je,je,51
passerai,passer,15
demain,demain,60
/.,/.,P
et,et,82
",",",",p
dans,dans,81
le,le,71
saisissement,saisissement,21
causé,causé,31
par,par,81
sa,son,73
menace,menace,22
",",",",p
il,il,51
s',se,51
éloigna,éloigner,19
/.,/.,P
Dansaert,Dansaert,20
",",",",p
si,si,60
humble,humble,30
devant,devant,81
lui,lui,51
",",",",p
resta,rester,19
en,en,81
arrière,arrière,21
quelques,quelque,75
secondes,seconde,22
",",",",p
pour,pour,81
dire,dire,14
brutalement,brutalement,60
aux,à,81
aux,le,71
ouvriers,ouvrier,21
:,:,p
-,-,p
vous,vous,51
me,je,51
faites,faire,17
empoigner,empoigner,14
",",",",p
vous autres,vous autres,52
/…,/…,P
ce,ce,52
n',ne,60
est,être,17
pas,pas,60
trois,trois,72
francs,franc,21
d',de,81
amende,amende,22
que,que,52
je,je,51
vous,vous,51
flanquerai,flanquer,15
",",",",p
moi,moi,51
/!,/!,P
prenez,prendre,17
garde,garde,22
/!,/!,P
alors,alors,60
",",",",p
quand,quand,83
il,il,51
fut,être,19
parti,partir,12
",",",",p
Maheu,Maheu,20
éclata,éclater,19
à,à,81
son,son,73
tour,tour,21
/.,/.,P
-,-,p
nom,nom,21
de,de,81
dieu,dieu,21
!,!,p
ce,ce,52
qui,qui,52
n',ne,60
est,être,17
pas,pas,60
juste,juste,30
n',ne,60
est,être,17
pas,pas,60
juste,juste,30
/.,/.,P
moi,moi,51
",",",",p
j',je,51
aime,aimer,17
qu',que,83
on,on,51
soit,être,17
calme,calme,30
",",",",p
parce que,parce que,83
c',ce,52
est,être,17
la,le,71
seule,seul,30
façon,façon,22
de,de,81
s',se,51
entendre,entendre,14
;,;,p
mais,mais,82
",",",",p
à,à,81
la,le,71
fin,fin,22
",",",",p
ils,ils,51
vous,vous,51
rendraient,rendre,16
enragés,enragé,31
/…,/…,P
avez,avoir,17
vous,vous,51
entendu,entendre,12
/?,/?,P
la,le,71
berline,berline,22
baissée,baissé,31
",",",",p
et,et,82
le,le,71
boisage,boisage,21
à,à,81
part,part,22
!,!,p
encore,encore,60
une,un,71
façon,façon,22
de,de,81
nous,nous,51
payer,payer,14
moins,moins,60
!,!,p
/…,/…,P
nom,nom,21
de,de,81
dieu,dieu,21
de,de,81
nom,nom,21
de,de,81
dieu,dieu,21
/!,/!,P
il,il,51
cherchait,chercher,18
quelqu'un,quelqu'un,52
sur,sur,81
qui,qui,52
tomber,tomber,14
",",",",p
lorsqu',lorsque,83
il,il,51
aperçut,apercevoir,19
Catherine,Catherine,20
et,et,82
Etienne,Etienne,20
",",",",p
les,le,71
bras,bras,21
ballants,ballant,30
/.,/.,P
-,-,p
voulez,vouloir,17
vous,vous,51
bien,bien,60
me,je,51
donner,donner,14
des,de,81
des,le,71
bois,bois,21
/!,/!,P
est,être,17
ce,ce,52
que,que,83
ça,ça,52
vous,vous,51
regarde,regarder,17
?,?,p
/…,/…,P
je,je,51
