11703
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Soixante-sixième extrait>,<>,<>
mathématiquement,mathématiquement,60
calculé,calculer,12
la,le,71
résistance,résistance,22
de,de,81
cette,ce,74
chasteté,chasteté,22
à,à,81
la,le,71
seconde,second,72
puissance,puissance,22
/.,/.,P
il,il,51
était,être,18
donc,donc,82
tranquille,tranquille,30
de,de,81
ce,ce,74
côté,côté,21
/.,/.,P
aussi,aussi,60
ne,ne,60
pouvait,pouvoir,18
il,il,51
s',se,51
expliquer,expliquer,14
cette,ce,74
disparition,disparition,22
/.,/.,P
c',ce,52
était,être,18
un,un,71
chagrin,chagrin,21
profond,profond,30
/.,/.,P
il,il,51
en,en,52
eût,avoir,19
maigri,maigrir,12
",",",",p
si,si,83
la,le,71
chose,chose,22
eût,avoir,19
été,être,12
possible,possible,30
/.,/.,P
il,il,51
en,en,52
avait,avoir,18
tout,tout,52
oublié,oublier,12
",",",",p
jusqu',jusque,81
à,à,81
ses,son,73
goûts,goût,21
littéraires,littéraire,30
",",",",p
jusqu',jusque,81
à,à,81
son,son,73
grand,grand,30
ouvrage,ouvrage,21
de,de,81
figuris,figuris,92
regularibus,regularibus,92
et,et,82
irregularibus,irregularibus,92
",",",",p
qu',que,52
il,il,51
comptait,compter,18
faire,faire,14
imprimer,imprimer,14
au,à,81
au,le,71
premier,premier,72
argent,argent,21
qu',que,52
il,il,51
aurait,avoir,16
/.,/.,P
(,(,p
car,car,82
il,il,51
radotait,radoter,18
d',de,81
imprimerie,imprimerie,22
",",",",p
depuis,depuis,81
qu',que,83
il,il,51
avait,avoir,18
vu,voir,12
le,le,71
Didascalon,Didascalon,20
de,de,81
Hugues,Hugues,20
Lie,Lie,20
Saint-Victor,Saint Victor,20
imprimé,imprimé,31
avec,avec,81
les,le,71
célèbres,célèbre,30
caractères,caractère,21
de,de,81
Vindelin,Vindelin,20
de,de,81
Spire,Spire,20
/.,/.,P
),),p
un,un,71
jour,jour,21
qu',que,52
il,il,51
passait,passer,18
tristement,tristement,60
devant,devant,81
la,le,71
Tournelle,Tournelle,20
criminelle,criminel,30
",",",",p
il,il,51
aperçut,apercevoir,19
quelque,quelque,75
foule,foule,22
à,à,81
l',le,71
une,un,52
des,de,81
des,le,71
portes,porte,22
du,de,81
du,le,71
palais,palais,21
de,de,81
justice,justice,22
/.,/.,P
-,-,p
qu',que,52
est,être,17
cela,cela,52
?,?,p
demanda,demander,19
t,t,94
il,il,51
à,à,81
un,un,71
jeune,jeune,30
homme,homme,21
qui,qui,52
en,en,52
sortait,sortir,18
/.,/.,P
-,-,p
je,je,51
ne,ne,60
sais,savoir,17
pas,pas,60
",",",",p
monsieur,monsieur,21
",",",",p
répondit,répondre,19
le,le,71
jeune,jeune,30
homme,homme,21
/.,/.,P
on,on,51
dit,dire,17
qu',que,83
on,on,51
juge,juger,17
une,un,71
femme,femme,22
qui,qui,52
a,avoir,17
assassiné,assassiner,12
un,un,71
gendarme,gendarme,21
/.,/.,P
comme,comme,83
il,il,51
paraît,paraître,17
qu',que,83
il,il,51
y,y,52
a,avoir,17
de,de,81
la,le,71
sorcellerie,sorcellerie,22
là-dessous,là-dessous,60
",",",",p
l',le,71
évêque,évêque,21
et,et,82
l',le,71
official,official,21
sont,être,17
intervenus,intervenir,12
dans,dans,81
la,le,71
cause,cause,22
",",",",p
et,et,82
mon,mon,73
frère,frère,21
",",",",p
qui,qui,52
est,être,17
archidiacre,archidiacre,21
de,de,81
Josas,Josas,20
",",",",p
y,y,52
passe,passer,17
sa,son,73
vie,vie,22
/.,/.,P
or,or,82
",",",",p
je,je,51
voulais,vouloir,18
lui,lui,51
parler,parler,14
",",",",p
mais,mais,82
je,je,51
n',ne,60
ai,avoir,17
pu,pouvoir,12
arriver,arriver,14
jusqu',jusque,81
à,à,81
lui,lui,51
à,à,81
cause,cause,22
de,de,81
la,le,71
foule,foule,22
",",",",p
ce,ce,52
qui,qui,52
me,je,51
contrarie,contrarier,17
fort,fort,60
",",",",p
car,car,82
j',je,51
ai,avoir,17
besoin,besoin,21
d',de,81
argent,argent,21
/.,/.,P
-,-,p
hélas,hélas,60
",",",",p
monsieur,monsieur,21
",",",",p
dit,dire,19
Gringoire,Gringoire,20
",",",",p
je,je,51
voudrais,vouloir,16
pouvoir,pouvoir,14
vous,vous,51
en,en,52
prêter,prêter,14
;,;,p
mais,mais,82
si,si,83
mes,mon,73
grègues,grègues,22
sont,être,17
trouées,trouer,12
",",",",p
ce,ce,52
n',ne,60
est,être,17
pas,pas,60
par,par,81
les,le,71
écus,écu,21
/.,/.,P
il,il,51
n',ne,60
osa,oser,19
pas,pas,60
dire,dire,14
au,à,81
au,le,71
jeune,jeune,30
homme,homme,21
qu',que,83
il,il,51
connaissait,connaître,18
son,son,73
frère,frère,21
l',le,71
archidiacre,archidiacre,21
",",",",p
vers,vers,81
lequel,lequel,52
il,il,51
n',ne,60
était,être,18
pas,pas,60
retourné,retourner,12
depuis,depuis,81
la,le,71
scène,scène,22
de,de,81
l',le,71
église,église,22
",",",",p
négligence,négligence,22
qui,qui,52
l',le,52
embarrassait,embarrasser,18
/.,/.,P
l',le,71
écolier,écolier,21
passa,passer,19
son,son,73
chemin,chemin,21
",",",",p
et,et,82
Gringoire,Gringoire,20
se,se,51
mit,mettre,19
à,à,81
suivre,suivre,14
la,le,71
foule,foule,22
qui,qui,52
montait,monter,18
l',le,71
escalier,escalier,21
de,de,81
la,le,71
grand'chambre,grand-chambre,22
/.,/.,P
il,il,51
estimait,estimer,18
qu',que,83
il,il,51
n',ne,60
est,être,17
rien,rien,52
de,de,81
tel,tel,75
que,que,83
le,le,71
spectacle,spectacle,21
d',de,81
un,un,71
procès,procès,21
criminel,criminel,30
pour,pour,81
dissiper,dissiper,14
la,le,71
mélancolie,mélancolie,22
",",",",p
tant,tant,60
les,le,71
juges,juge,21
sont,être,17
ordinairement,ordinairement,60
d',de,81
une,un,71
bêtise,bêtise,22
réjouissante,réjouissant,30
/.,/.,P
le,le,71
peuple,peuple,21
auquel,à,81
auquel,lequel,52
il,il,51
s',se,51
était,être,18
mêlé,mêler,12
marchait,marcher,18
et,et,82
se,se,51
coudoyait,coudoyer,18
en,en,81
silence,silence,21
/.,/.,P
après,après,81
un,un,71
lent,lent,30
et,et,82
insipide,insipide,30
piétinement,piétinement,21
sous,sous,81
un,un,71
long,long,30
couloir,couloir,21
sombre,sombre,30
",",",",p
qui,qui,52
serpentait,serpenter,18
dans,dans,81
le,le,71
palais,palais,21
comme,comme,83
le,le,71
canal,canal,21
intestinal,intestinal,30
du,de,81
du,le,71
vieil,vieux,30
édifice,édifice,21
",",",",p
il,il,51
parvint,parvenir,19
auprès,auprès,60
d',de,81
une,un,71
porte,porte,22
basse,bas,30
qui,qui,52
débouchait,déboucher,18
sur,sur,81
une,un,71
salle,salle,22
que,que,52
sa,son,73
haute,haut,30
taille,taille,22
lui,lui,51
permit,permettre,19
d',de,81
explorer,explorer,14
du,de,81
du,le,71
regard,regard,21
par-dessus,par-dessus,60
les,le,71
têtes,tête,22
ondoyantes,ondoyant,30
de,de,81
la,le,71
cohue,cohue,22
/.,/.,P
la,le,71
salle,salle,22
était,être,18
vaste,vaste,30
et,et,82
sombre,sombre,30
",",",",p
ce,ce,52
qui,qui,52
la,le,52
faisait,faire,18
paraître,paraître,14
plus,plus,60
vaste,vaste,30
encore,encore,60
/.,/.,P
le,le,71
jour,jour,21
tombait,tomber,18
;,;,p
les,le,71
longues,long,30
fenêtres,fenêtre,22
ogives,ogive,22
ne,ne,60
laissaient,laisser,18
plus,plus,60
pénétrer,pénétrer,14
qu',que,83
un,un,71
pâle,pâle,30
rayon,rayon,21
qui,qui,52
s',se,51
éteignait,éteindre,18
avant,avant,81
d',de,81
atteindre,atteindre,14
jusqu',jusque,81
à,à,81
la,le,71
voûte,voûte,22
",",",",p
énorme,énorme,30
treillis,treillis,21
de,de,81
charpentes,charpente,22
sculptées,sculpté,31
",",",",p
dont,dont,52
les,le,71
mille,mille,72
figures,figure,22
semblaient,sembler,18
remuer,remuer,14
confusément,confusément,60
dans,dans,81
l',le,71
ombre,ombre,22
/.,/.,P
il,il,51
y,y,52
avait,avoir,18
déjà,déjà,60
plusieurs,plusieurs,75
chandelles,chandelle,22
allumées,allumé,31
çà,çà,60
et,et,82
là,là,60
sur,sur,81
des,de,81
des,le,71
tables,table,22
et,et,82
rayonnant,rayonner,13
sur,sur,81
des,de,81
des,le,71
têtes,tête,22
de,de,81
greffiers,greffier,21
affaissés,affaissé,31
dans,dans,81
des,de,81
des,le,71
paperasses,paperasse,22
/.,/.,P
la,le,71
partie,partie,22
antérieure,antérieur,30
de,de,81
la,le,71
salle,salle,22
était,être,18
occupée,occuper,12
par,par,81
la,le,71
foule,foule,22
;,;,p
à,à,81
droite,droite,22
et,et,82
à,à,81
gauche,gauche,22
il,il,51
y,y,52
avait,avoir,18
des,de,81
des,le,71
hommes,homme,21
de,de,81
robe,robe,22
à,à,81
des,de,81
des,le,71
tables,table,22
;,;,p
au,à,81
au,le,71
fond,fond,21
",",",",p
sur,sur,81
une,un,71
estrade,estrade,22
",",",",p
force,force,60
juges,juge,21
dont,dont,52
les,le,71
dernières,dernier,30
rangées,rangée,22
s',se,51
enfonçaient,enfoncer,18
dans,dans,81
les,le,71
ténèbres,ténèbre,22
;,;,p
faces,face,22
immobiles,immobile,30
et,et,82
sinistres,sinistre,30
/.,/.,P
les,le,71
murs,mur,21
étaient,être,18
semés,semer,12
de,de,81
fleurs de lys,fleur de lys,22
sans,sans,81
nombre,nombre,21
/.,/.,P
on,on,51
distinguait,distinguer,18
vaguement,vaguement,60
un,un,71
grand,grand,30
christ,christ,21
au-dessus,au-dessus,60
des,de,81
des,le,71
juges,juge,21
",",",",p
et,et,82
partout,partout,60
des,de,81
des,le,71
piques,pique,22
et,et,82
des,de,81
des,le,71
hallebardes,hallebarde,22
au,à,81
au,le,71
bout,bout,21
desquelles,de,81
desquelles,lequel,52
la,le,71
lumière,lumière,22
des,de,81
des,le,71
chandelles,chandelle,22
mettait,mettre,18
des,de,81
des,le,71
pointes,pointe,22
de,de,81
feu,feu,21
/.,/.,P
-,-,p
monsieur,monsieur,21
",",",",p
demanda,demander,19
Gringoire,Gringoire,20
à,à,81
l',le,71
un,un,52
de,de,81
ses,son,73
voisins,voisin,21
",",",",p
qu',que,52
est,être,17
ce,ce,52
que,que,52
c',ce,52
est,être,17
donc,donc,82
que,que,83
toutes,tout,75
ces,ce,74
personnes,personne,22
rangées,rangé,31
là-bas,là-bas,60
comme,comme,83
prélats,prélat,21
en,en,81
concile,concile,21
/?,/?,P
monsieur,monsieur,21
",",",",p
dit,dire,19
le,le,71
voisin,voisin,21
",",",",p
ce,ce,52
sont,être,17
les,le,71
conseillers,conseiller,21
de,de,81
la,le,71
grand'chambre,grand-chambre,22
à,à,81
droite,droite,22
",",",",p
et,et,82
les,le,71
conseillers,conseiller,21
des,de,81
des,le,71
enquêtes,enquête,22
à,à,81
gauche,gauche,22
;,;,p
les,le,71
maîtres,maître,21
en,en,81
robes,robe,22
noires,noir,30
",",",",p
et,et,82
les,le,71
messires,messire,21
en,en,81
robes,robe,22
rouges,rouge,30
/.,/.,P
-,-,p
là,là,60
",",",",p
au-dessus,au-dessus,60
d',de,81
eux,ils,51
",",",",p
reprit,reprendre,19
Gringoire,Gringoire,20
",",",",p
qu',que,52
est,être,17
ce,ce,52
que,que,52
c',ce,52
est,être,17
que,que,83
ce,ce,74
gros,gros,30
rouge,rouge,21
qui,qui,52
sue,suer,17
/?,/?,P
c',ce,52
est,être,17
monsieur,monsieur,21
le,le,71
président,président,21
/.,/.,P
-,-,p
et,et,82
ces,ce,74
moutons,mouton,21
derrière,derrière,81
lui,lui,51
?,?,p
poursuivit,poursuivre,19
Gringoire,Gringoire,20
",",",",p
lequel,lequel,52
",",",",p
nous,nous,51
l',le,52
avons,avoir,17
déjà,déjà,60
dit,dire,12
",",",",p
n',ne,60
aimait,aimer,18
pas,pas,60
la,le,71
magistrature,magistrature,22
/.,/.,P
ce,ce,52
qui,qui,52
tenait,tenir,18
peut-être,peut-être,60
à,à,81
la,le,71
rancune,rancune,22
qu',que,52
il,il,51
gardait,garder,18
au,à,81
au,le,71
palais,palais,21
de,de,81
justice,justice,22
depuis,depuis,81
sa,son,73
mésaventure,mésaventure,22
dramatique,dramatique,30
/.,/.,P
-,-,p
ce,ce,52
sont,être,17
messieurs,monsieur,21
les,le,71
maîtres,maître,21
des,de,81
des,le,71
requêtes,requête,22
de,de,81
l',le,71
hôtel,hôtel,21
du,de,81
du,le,71
roi,roi,21
/.,/.,P
-,-,p
et,et,82
devant,devant,81
lui,lui,51
",",",",p
ce,ce,74
sanglier,sanglier,21
/?,/?,P
c',ce,52
est,être,17
monsieur,monsieur,21
le,le,71
greffier,greffier,21
de,de,81
la,le,71
cour,cour,22
de,de,81
parlement,parlement,21
/.,/.,P
-,-,p
et,et,82
à,à,81
droite,droite,22
",",",",p
ce,ce,74
crocodile,crocodile,21
/?,/?,P
maître,maître,21
Philippe,Philippe,20
Lheulier,Lheulier,20
",",",",p
avocat,avocat,21
du,de,81
du,le,71
roi,roi,21
extraordinaire,extraordinaire,30
/.,/.,P
-,-,p
et,et,82
à,à,81
gauche,gauche,22
",",",",p
ce,ce,74
gros,gros,30
chat,chat,21
noir,noir,30
/?,/?,P
maître,maître,21
Jacques,Jacques,20
Charmolue,Charmolue,20
",",",",p
procureur,procureur,21
du,de,81
du,le,71
roi,roi,21
en,en,81
cour,cour,22
d',de,81
église,église,22
",",",",p
avec,avec,81
messieurs,monsieur,21
de,de,81
l',le,71
officialité,officialité,22
/.,/.,P
-,-,p
or,or,82
çà,çà,60
",",",",p
monsieur,monsieur,21
",",",",p
dit,dire,19
Gringoire,Gringoire,20
",",",",p
que,que,52
font,faire,17
donc,donc,82
tous,tout,75
ces,ce,74
braves,brave,30
gens,gens,21
là,là,60
/?,/?,P
ils,ils,51
jugent,juger,17
/.,/.,P
-,-,p
ils,ils,51
jugent,juger,17
qui,qui,52
?,?,p
je,je,51
ne,ne,60
vois,voir,17
pas,pas,60
d',de,81
accusé,accusé,21
/.,/.,P
-,-,p
c',ce,52
est,être,17
une,un,71
femme,femme,22
",",",",p
monsieur,monsieur,21
/.,/.,P
vous,vous,51
ne,ne,60
pouvez,pouvoir,17
la,le,52
voir,voir,14
/.,/.,P
elle,il,51
nous,nous,51
tourne,tourner,17
le,le,71
dos,dos,21
",",",",p
et,et,82
elle,il,51
nous,nous,51
est,être,17
cachée,cacher,12
par,par,81
la,le,71
foule,foule,22
/.,/.,P
tenez,tenir,17
",",",",p
elle,il,51
est,être,17
là,là,60
où,où,60
vous,vous,51
voyez,voir,17
un,un,71
groupe,groupe,21
de,de,81
pertuisanes,pertuisane,22
/.,/.,P
-,-,p
qu',que,52
est,être,17
ce,ce,52
que,que,52
cette,ce,74
femme,femme,22
?,?,p
demanda,demander,19
Gringoire,Gringoire,20
/.,/.,P
savez,savoir,17
vous,vous,51
son,son,73
nom,nom,21
/?,/?,P
non,non,60
",",",",p
monsieur,monsieur,21
/.,/.,P
je,je,51
ne,ne,60
fais,faire,17
que,que,83
d',de,81
arriver,arriver,14
/.,/.,P
je,je,51
présume,présumer,17
seulement,seulement,60
qu',que,83
il,il,51
y,y,52
a,avoir,17
de,de,81
la,le,71
sorcellerie,sorcellerie,22
",",",",p
parce que,parce que,83
l',le,71
official,official,21
assiste,assister,17
au,à,81
au,le,71
procès,procès,21
/.,/.,P
-,-,p
allons,aller,17
!,!,p
dit,dire,19
notre,notre,73
philosophe,philosophe,21
",",",",p
nous,nous,51
allons,aller,17
voir,voir,14
tous,tout,75
ces,ce,74
gens,gens,21
de,de,81
robe,robe,22
manger,manger,14
de,de,81
la,le,71
chair,chair,22
humaine,humain,30
/.,/.,P
c',ce,52
est,être,17
un,un,71
spectacle,spectacle,21
comme,comme,83
un,un,71
autre,autre,52
/.,/.,P
-,-,p
monsieur,monsieur,21
",",",",p
observa,observer,19
le,le,71
voisin,voisin,21
",",",",p
est,être,17
ce,ce,52
que,que,83
vous,vous,51
ne,ne,60
trouvez,trouver,17
pas,pas,60
que,que,83
maître,maître,21
Jacques,Jacques,20
Charmolue,Charmolue,20
a,avoir,17
l',le,71
air,air,21
très,très,60
doux,doux,30
/?,/?,P
hum,hum,93
!,!,p
répondit,répondre,19
Gringoire,Gringoire,20
/.,/.,P
je,je,51
me,je,51
méfie,méfier,17
d',de,81
une,un,71
douceur,douceur,22
qui,qui,52
a,avoir,17
les,le,71
narines,narine,22
pincées,pincé,31
et,et,82
les,le,71
lèvres,lèvre,22
minces,mince,30
/.,/.,P
ici,ici,60
les,le,71
voisins,voisin,21
imposèrent,imposer,19
silence,silence,21
aux,à,81
aux,le,71
deux,deux,72
causeurs,causeur,21
/.,/.,P
on,on,51
écoutait,écouter,18
une,un,71
déposition,déposition,22
importante,important,30
/.,/.,P
-,-,p
messeigneurs,monseigneur,21
",",",",p
disait,dire,18
",",",",p
au,à,81
au,le,71
milieu,milieu,21
de,de,81
la,le,71
salle,salle,22
",",",",p
une,un,71
vieille,vieille,22
dont,dont,52
le,le,71
visage,visage,21
disparaissait,disparaître,18
tellement,tellement,60
sous,sous,81
ses,son,73
vêtements,vêtement,21
qu',que,83
on,on,51
eût,avoir,19
dit,dire,12
un,un,71
monceau,monceau,21
de,de,81
guenilles,guenille,22
qui,qui,52
marchait,marcher,18
",",",",p
messeigneurs,monseigneur,21
",",",",p
la,le,71
chose,chose,22
est,être,17
aussi,aussi,60
vraie,vrai,30
qu',que,83
il,il,51
est,être,17
vrai,vrai,30
que,que,83
c',ce,52
est,être,17
moi,moi,51
qui,qui,52
suis,être,17
la,le,71
Falourdel,Falourdel,20
",",",",p
établie,établi,31
depuis,depuis,81
quarante,quarante,72
ans,an,21
au,à,81
au,le,71
Pont Saint-Michel,Pont Saint-Michel,20
",",",",p
et,et,82
payant,payer,13
exactement,exactement,60
rentes,rente,22
",",",",p
lods,lod,21
et,et,82
censives,censive,22
",",",",p
la,le,71
porte,porte,22
vis-à-vis,vis-à-vis,60
la,le,71
maison,maison,22
de,de,81
Tassin-Caillart,Tassin-Caillart,20
",",",",p
le,le,71
teinturier,teinturier,21
",",",",p
qui,qui,52
est,être,17
du,de,81
du,le,71
côté,côté,21
d',de,81
amont,amont,21
l',le,71
eau,eau,22
/.,/.,P
-,-,p
une,un,71
pauvre,pauvre,30
vieille,vieille,22
à,à,81
présent,présent,21
",",",",p
une,un,71
jolie,joli,30
fille,fille,22
autrefois,autrefois,60
",",",",p
messeigneurs,monseigneur,21
/!,/!,P
on,on,51
me,je,51
disait,dire,18
depuis,depuis,81
quelques,quelque,75
jours,jour,21
:,:,p
la,le,71
Falourdel,Falourdel,20
",",",",p
ne,ne,60
filez,filer,17
pas,pas,60
trop,trop,60
votre,votre,73
rouet,rouet,21
le,le,71
soir,soir,21
",",",",p
le,le,71
diable,diable,21
aime,aimer,17
peigner,peigner,14
avec,avec,81
ses,son,73
cornes,corne,22
la,le,71
quenouille,quenouille,22
des,de,81
des,le,71
vieilles,vieux,30
femmes,femme,22
/.,/.,P
il,il,51
est,être,17
sûr,sûr,30
que,que,83
le,le,71
moine,moine,21
bourru,bourru,30
",",",",p
qui,qui,52
était,être,18
l',le,71
an,an,21
passé,passé,31
du,de,81
du,le,71
côté,côté,21
du,de,81
du,le,71
temple,temple,21
",",",",p
rôde,rôder,17
maintenant,maintenant,60
dans,dans,81
la,le,71
Cité,Cité,20
/.,/.,P
la,le,71
Falourdel,Falourdel,20
",",",",p
prenez,prendre,17
garde,garde,22
qu',que,83
il,il,51
ne,ne,60
cogne,cogner,17
à,à,81
votre,votre,73
porte,porte,22
/.,/.,P
-,-,p
un,un,71
soir,soir,21
",",",",p
je,je,51
filais,filer,18
mon,mon,73
rouet,rouet,21
",",",",p
on,on,51
cogne,cogner,17
à,à,81
ma,mon,73
porte,porte,22
/.,/.,P
je,je,51
demande,demander,17
qui,qui,52
/.,/.,P
on,on,51
jure,jurer,17
/.,/.,P
j',je,51
ouvre,ouvrir,17
/.,/.,P
deux,deux,72
hommes,homme,21
entrent,entrer,17
/.,/.,P
un,un,71
noir,noir,21
avec,avec,81
un,un,71
bel,beau,30
officier,officier,21
/.,/.,P
on,on,51
ne,ne,60
voyait,voir,18
que,que,83
les,le,71
yeux,oeil,21
du,de,81
du,le,71
noir,noir,21
",",",",p
deux,deux,72
braises,braise,22
/.,/.,P
tout,tout,75
le,le,71
reste,reste,21
était,être,18
manteau,manteau,21
et,et,82
chapeau,chapeau,21
/.,/.,P
voilà,voilà,81
qu',que,83
ils,ils,51
me,je,51
disent,dire,17
:,:,p
-,-,p
la,le,71
chambre,chambre,22
à,à,81
Sainte Marthe,Sainte Marthe,20
/.,/.,P
-,-,p
c',ce,52
est,être,17
ma,mon,73
chambre,chambre,22
d',de,81
en,en,81
haut,haut,21
",",",",p
messeigneurs,monseigneur,21
",",",",p
ma,mon,73
plus,plus,60
propre,propre,30
/.,/.,P
ils,ils,51
me,je,51
donnent,donner,17
un,un,71
écu,écu,21
/.,/.,P
je,je,51
serre,serrer,17
l',le,71
écu,écu,21
dans,dans,81
mon,mon,73
tiroir,tiroir,21
",",",",p
et,et,82
je,je,51
dis,dire,17
:,:,p
-,-,p
ce,ce,52
sera,être,15
pour,pour,81
acheter,acheter,14
demain,demain,60
des,de,81
des,le,71
tripes,tripe,22
à,à,81
l',le,71
écorcherie,écorcherie,22
de,de,81
la,le,71
Gloriette,Gloriette,20
/.,/.,P
-,-,p
nous,nous,51
montons,monter,17
/.,/.,P
arrivés,arrivé,31
à,à,81
la,le,71
chambre,chambre,22
d',de,81
en,en,81
haut,haut,21
",",",",p
pendant,pendant,81
que,que,83
je,je,51
tournais,tourner,18
le,le,71
dos,dos,21
",",",",p
l',le,71
homme,homme,21
noir,noir,30
disparaît,disparaître,17
/.,/.,P
cela,cela,52
m',je,51
ébahit,ébahir,17
un,un,71
peu,peu,60
/.,/.,P
l',le,71
officier,officier,21
",",",",p
qui,qui,52
était,être,18
beau,beau,30
comme,comme,83
un,un,71
grand,grand,30
seigneur,seigneur,21
",",",",p
redescend,redescendre,17
avec,avec,81
moi,moi,51
/.,/.,P
il,il,51
sort,sortir,17
/.,/.,P
le,le,71
temps,temps,21
de,de,81
filer,filer,14
un,un,71
quart,quart,21
d',de,81
écheveau,écheveau,21
",",",",p
il,il,51
rentre,rentrer,17
avec,avec,81
une,un,71
belle,beau,30
jeune,jeune,30
fille,fille,22
",",",",p
une,un,71
poupée,poupée,22
qui,qui,52
eût,avoir,19
brillé,briller,12
comme,comme,83
un,un,71
soleil,soleil,21
si,si,83
elle,il,51
eût,avoir,19
été,être,12
coiffée,coiffer,12
/.,/.,P
elle,il,51
avait,avoir,18
avec,avec,81
elle,il,51
un,un,71
bouc,bouc,21
",",",",p
un,un,71
grand,grand,30
bouc,bouc,21
",",",",p
noir,noir,30
ou,ou,82
blanc,blanc,30
",",",",p
je,je,51
ne,ne,60
sais,savoir,17
plus,plus,60
/.,/.,P
voilà,voilà,81
qui,qui,52
me,je,51
fait,faire,17
songer,songer,14
/.,/.,P
la,le,71
fille,fille,22
",",",",p
cela,cela,52
ne,ne,60
me,je,51
regarde,regarder,17
pas,pas,60
",",",",p
mais,mais,82
le,le,71
bouc,bouc,21
!,!,p
/…,/…,P
je,je,51
n',ne,60
aime,aimer,17
pas,pas,60
ces,ce,74
bêtes,bête,22
là,là,60
",",",",p
elles,ils,51
ont,avoir,17
une,un,71
barbe,barbe,22
et,et,82
des,de,81
des,le,71
cornes,corne,22
/.,/.,P
cela,cela,52
ressemble,ressembler,17
à,à,81
un,un,71
homme,homme,21
/.,/.,P
et,et,82
puis,puis,60
",",",",p
cela,cela,52
sent,sentir,17
le,le,71
samedi,samedi,21
/.,/.,P
cependant,cependant,82
",",",",p
je,je,51
ne,ne,60
dis,dire,17
rien,rien,52
/.,/.,P
j',je,51
avais,avoir,18
l',le,71
écu,écu,21
/.,/.,P
c',ce,52
est,être,17
juste,juste,30
",",",",p
n',ne,60
est,être,17
ce,ce,52
pas,pas,60
",",",",p
monsieur,monsieur,21
le,le,71
juge,juge,21
/?,/?,P
je,je,51
fais,faire,17
monter,monter,14
la,le,71
fille,fille,22
et,et,82
le,le,71
capitaine,capitaine,21
à,à,81
la,le,71
chambre,chambre,22
d',de,81
en,en,81
haut,haut,21
",",",",p
et,et,82
je,je,51
les,le,52
laisse,laisser,17
seuls,seul,30
",",",",p
c'est-à-dire,c'est-à-dire,91
avec,avec,81
le,le,71
bouc,bouc,21
/.,/.,P
je,je,51
descends,descendre,17
et,et,82
je,je,51
me,je,51
remets,remettre,17
à,à,81
filer,filer,14
/.,/.,P
-,-,p
il,il,51
faut,falloir,17
vous,vous,51
dire,dire,14
