11426
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Quarante-sixième extrait>,<>,<>
fourrier,fourrier,21
de,de,81
la,le,71
cour,cour,22
",",",",p
aurait,avoir,16
péri,périr,12
sans,sans,81
les,le,71
soins,soin,21
généreux,généreux,30
d',de,81
un,un,71
manant,manant,21
qui,qui,52
paraissait,paraître,18
avoir,avoir,14
de,de,81
grandes,grand,30
connaissances,connaissance,22
en,en,81
médecine,médecine,22
",",",",p
et,et,82
lui,lui,51
a,avoir,17
fait,faire,12
faire,faire,14
des,de,81
des,le,71
remèdes,remède,21
fort,fort,60
singuliers,singulier,30
/.,/.,P
mais,mais,82
on,on,51
ne,ne,60
parle,parler,17
déjà,déjà,60
plus,plus,60
de,de,81
cette,ce,74
mort,mort,22
du,de,81
du,le,71
prince,prince,21
:,:,p
au,à,81
au,le,71
fait,fait,21
",",",",p
c',ce,52
était,être,18
un,un,71
homme,homme,21
cruel,cruel,30
/.,/.,P
lorsque,lorsque,83
je,je,51
suis,suivre,17
parti,parti,31
",",",",p
le,le,71
peuple,peuple,21
se,se,51
rassemblait,rassembler,18
pour,pour,81
massacrer,massacrer,14
le,le,71
fiscal,fiscal,21
général,général,30
Rassi,Rassi,20
:,:,p
on,on,51
voulait,vouloir,18
aussi,aussi,60
aller,aller,14
mettre,mettre,14
le,le,71
feu,feu,21
aux,à,81
aux,le,71
portes,porte,22
de,de,81
la,le,71
citadelle,citadelle,22
",",",",p
pour,pour,81
tâcher,tâcher,14
de,de,81
faire,faire,14
sauver,sauver,14
les,le,71
prisonniers,prisonnier,21
/.,/.,P
mais,mais,82
on,on,51
prétendait,prétendre,18
que,que,83
Fabio,Fabio,20
Conti,Conti,20
tirerait,tirer,16
ses,son,73
canons,canon,21
/.,/.,P
d',de,81
autres,autre,52
assuraient,assurer,18
que,que,83
les,le,71
canonniers,canonnier,21
de,de,81
la,le,71
citadelle,citadelle,22
avaient,avoir,18
jeté,jeter,12
de,de,81
l',le,71
eau,eau,22
sur,sur,81
leur,leur,73
poudre,poudre,22
et,et,82
ne,ne,60
voulaient,vouloir,18
pas,pas,60
massacrer,massacrer,14
leurs,leur,73
concitoyens,concitoyen,21
/.,/.,P
mais,mais,82
voici,voici,81
qui,qui,52
est,être,17
bien,bien,60
plus,plus,60
intéressant,intéressant,30
:,:,p
tandis que,tandis que,83
le,le,71
chirurgien,chirurgien,21
de,de,81
Sandolaro,Sandolaro,20
arrangeait,arranger,18
mon,mon,73
pauvre,pauvre,30
bras,bras,21
",",",",p
un,un,71
homme,homme,21
est,être,17
arrivé,arriver,12
de,de,81
Parme,Parme,20
",",",",p
qui,qui,52
a,avoir,17
dit,dire,12
que,que,83
le,le,71
peuple,peuple,21
ayant,avoir,13
trouvé,trouver,12
dans,dans,81
les,le,71
rues,rue,22
Barbone,Barbone,20
",",",",p
ce,ce,74
fameux,fameux,30
commis,commis,21
de,de,81
la,le,71
citadelle,citadelle,22
",",",",p
l',le,52
a,avoir,17
assommé,assommer,12
",",",",p
et,et,82
ensuite,ensuite,60
on,on,51
est,être,17
allé,aller,12
le,le,52
pendre,pendre,14
à,à,81
l',le,71
arbre,arbre,21
de,de,81
la,le,71
promenade,promenade,22
qui,qui,52
est,être,17
le,le,71
plus,plus,60
voisin,voisin,30
de,de,81
la,le,71
citadelle,citadelle,22
/.,/.,P
le,le,71
peuple,peuple,21
était,être,18
en,en,81
marche,marche,22
pour,pour,81
aller,aller,14
briser,briser,14
cette,ce,74
belle,beau,30
statue,statue,22
du,de,81
du,le,71
prince,prince,21
qui,qui,52
est,être,17
dans,dans,81
les,le,71
jardins,jardin,21
de,de,81
la,le,71
cour,cour,22
/.,/.,P
mais,mais,82
monsieur,monsieur,21
le,le,71
comte,comte,21
a,avoir,17
pris,prendre,12
un,un,71
bataillon,bataillon,21
de,de,81
la,le,71
garde,garde,22
",",",",p
l',le,52
a,avoir,17
rangé,ranger,12
devant,devant,81
la,le,71
statue,statue,22
",",",",p
et,et,82
a,avoir,17
fait,faire,12
dire,dire,14
au,à,81
au,le,71
peuple,peuple,21
qu',que,83
aucun,aucun,52
de,de,81
ceux,celui,52
qui,qui,52
entreraient,entrer,16
dans,dans,81
les,le,71
jardins,jardin,21
n',ne,60
en,en,52
sortirait,sortir,16
vivant,vivant,30
",",",",p
et,et,82
le,le,71
peuple,peuple,21
avait,avoir,18
peur,peur,22
/.,/.,P
mais,mais,82
ce,ce,52
qui,qui,52
est,être,17
bien,bien,60
singulier,singulier,30
",",",",p
et,et,82
que,que,83
cet,ce,74
homme,homme,21
arrivant,arriver,13
de,de,81
Parme,Parme,20
",",",",p
et,et,82
qui,qui,52
est,être,17
un,un,71
ancien,ancien,30
gendarme,gendarme,21
",",",",p
m',je,51
a,avoir,17
répété,répéter,12
plusieurs,plusieurs,75
fois,fois,22
",",",",p
c',ce,52
est,être,17
que,que,83
monsieur,monsieur,21
le,le,71
comte,comte,21
a,avoir,17
donné,donner,12
des,de,81
des,le,71
coups,coup,21
de,de,81
pied,pied,21
au,à,81
au,le,71
général,général,21
P.,P,20
",",",",p
commandant,commander,13
la,le,71
garde,garde,22
du,de,81
du,le,71
prince,prince,21
",",",",p
et,et,82
l',le,52
a,avoir,17
fait,faire,12
conduire,conduire,14
hors,hors,81
du,de,81
du,le,71
jardin,jardin,21
par,par,81
deux,deux,72
fusiliers,fusilier,21
",",",",p
après,après,81
lui,lui,51
avoir,avoir,14
arraché,arracher,12
ses,son,73
épaulettes,épaulette,22
/.,/.,P
-,-,p
je,je,51
reconnais,reconnaître,17
bien,bien,60
là,là,60
le,le,71
comte,comte,21
",",",",p
s',se,51
écria,écrier,19
la,le,71
duchesse,duchesse,22
avec,avec,81
un,un,71
transport,transport,21
de,de,81
joie,joie,22
qu',que,52
elle,il,51
n',ne,60
eût,avoir,19
pas,pas,60
prévu,prévoir,12
une,un,71
minute,minute,22
auparavant,auparavant,60
:,:,p
il,il,51
ne,ne,60
souffrira,souffrir,15
jamais,jamais,60
qu',que,83
on,on,51
outrage,outrager,17
notre,notre,73
princesse,princesse,22
;,;,p
et,et,82
quant,quand,83
au,à,81
au,le,71
général,général,21
P.,P,20
",",",",p
par,par,81
dévouement,dévouement,21
pour,pour,81
ses,son,73
maîtres,maître,21
légitimes,légitime,30
",",",",p
il,il,51
n',ne,60
a,avoir,17
jamais,jamais,60
voulu,vouloir,12
servir,servir,14
l',le,71
usurpateur,usurpateur,21
",",",",p
tandis que,tandis que,83
le,le,71
comte,comte,21
",",",",p
moins,moins,60
délicat,délicat,30
",",",",p
a,avoir,17
fait,faire,12
toutes,tout,75
les,le,71
campagnes,campagne,22
d',de,81
Espagne,Espagne,20
",",",",p
ce,ce,52
qu',que,52
on,on,51
lui,lui,51
a,avoir,17
souvent,souvent,60
reproché,reprocher,12
à,à,81
la,le,71
cour,cour,22
/.,/.,P
la,le,71
duchesse,duchesse,22
avait,avoir,18
ouvert,ouvrir,12
la,le,71
lettre,lettre,22
du,de,81
du,le,71
comte,comte,21
",",",",p
mais,mais,82
en,en,52
interrompait,interrompre,18
la,le,71
lecture,lecture,22
pour,pour,81
faire,faire,14
cent,cent,72
questions,question,22
à,à,81
Bruno,Bruno,20
/.,/.,P
la,le,71
lettre,lettre,22
était,être,18
bien,bien,60
plaisante,plaisant,30
;,;,p
le,le,71
comte,comte,21
employait,employer,18
les,le,71
termes,terme,21
les,le,71
plus,plus,60
lugubres,lugubre,30
",",",",p
et,et,82
cependant,cependant,82
la,le,71
joie,joie,22
la,le,71
plus,plus,60
vive,vif,30
éclatait,éclater,18
à,à,81
chaque,chaque,75
mot,mot,21
;,;,p
il,il,51
évitait,éviter,18
les,le,71
détails,détail,21
sur,sur,81
le,le,71
genre,genre,21
de,de,81
mort,mort,21
du,de,81
du,le,71
prince,prince,21
",",",",p
et,et,82
finissait,finir,18
sa,son,73
lettre,lettre,22
par,par,81
ces,ce,74
mots,mot,21
:,:,p
“,“,p
tu,tu,51
vas,aller,17
revenir,revenir,14
sans,sans,81
doute,doute,21
",",",",p
mon,mon,73
cher,cher,30
ange,ange,21
!,!,p
mais,mais,82
je,je,51
te,tu,51
conseille,conseiller,17
d',de,81
attendre,attendre,14
un,un,71
jour,jour,21
ou,ou,82
deux,deux,72
le,le,71
courrier,courrier,21
que,que,52
la,le,71
princesse,princesse,22
t',tu,51
enverra,envoyer,15
",",",",p
à,à,81
ce,ce,52
que,que,52
j',je,51
espère,espérer,17
",",",",p
aujourd'hui,aujourd'hui,60
ou,ou,82
demain,demain,60
;,;,p
il,il,51
faut,falloir,17
que,que,83
ton,ton,73
retour,retour,21
soit,être,17
magnifique,magnifique,30
comme,comme,83
ton,ton,73
départ,départ,21
a,avoir,17
été,être,12
hardi,hardi,30
/.,/.,P
quant,quand,83
au,à,81
au,le,71
grand,grand,30
criminel,criminel,21
qui,qui,52
est,être,17
auprès,auprès,60
de,de,81
toi,toi,51
",",",",p
je,je,51
compte,compter,17
bien,bien,60
le,le,52
faire,faire,14
juger,juger,14
par,par,81
douze,douze,72
juges,juge,21
appelés,appelé,31
de,de,81
toutes,tout,75
les,le,71
parties,partie,22
de,de,81
cet,ce,74
état,état,21
/.,/.,P
mais,mais,82
",",",",p
pour,pour,81
faire,faire,14
punir,punir,14
ce,ce,74
monstre,monstre,21
là,là,60
comme,comme,83
il,il,51
le,le,52
mérite,mériter,17
",",",",p
il,il,51
faut,falloir,17
d'abord,d'abord,60
que,que,83
je,je,51
puisse,pouvoir,17
faire,faire,14
des,de,81
des,le,71
papillotes,papillote,22
avec,avec,81
la,le,71
première,premier,72
sentence,sentence,22
",",",",p
si,si,83
elle,il,51
existe,exister,17
/.,/.,P
“,“,p
le,le,71
comte,comte,21
avait,avoir,18
rouvert,rouvrir,12
sa,son,73
lettre,lettre,22
:,:,p
“,“,p
voici,voici,81
bien,bien,60
une,un,71
autre,autre,75
affaire,affaire,22
:,:,p
je,je,51
viens,venir,17
de,de,81
faire,faire,14
distribuer,distribuer,14
des,de,81
des,le,71
cartouches,cartouche,22
aux,à,81
aux,le,71
deux,deux,72
bataillons,bataillon,21
de,de,81
la,le,71
garde,garde,22
;,;,p
je,je,51
vais,aller,17
me,je,51
battre,battre,14
et,et,82
mériter,mériter,14
de,de,81
mon,mon,73
mieux,mieux,60
ce,ce,74
surnom,surnom,21
de,de,81
cruel,cruel,30
dont,dont,52
les,le,71
libéraux,libéral,21
m',je,51
ont,avoir,17
gratifié,gratifier,12
depuis,depuis,81
si,si,60
longtemps,longtemps,60
/.,/.,P
cette,ce,74
vieille,vieux,30
momie,momie,22
de,de,81
général,général,21
P.,P,20
a,avoir,17
osé,oser,12
parler,parler,14
dans,dans,81
la,le,71
caserne,caserne,22
d',de,81
entrer,entrer,14
en,en,81
pourparlers,pourparler,21
avec,avec,81
le,le,71
peuple,peuple,21
à,à,81
demi,demi,30
révolté,révolté,31
/.,/.,P
je,je,51
t',tu,51
écris,écrire,17
du,de,81
du,le,71
milieu,milieu,21
de,de,81
la,le,71
rue,rue,22
;,;,p
je,je,51
vais,aller,17
au,à,81
au,le,71
palais,palais,21
",",",",p
où,où,60
l',l',94
on,on,51
ne,ne,60
pénétrera,pénétrer,15
que,que,83
sur,sur,81
mon,mon,73
cadavre,cadavre,21
/.,/.,P
adieu,adieu,21
/!,/!,P
si,si,83
je,je,51
meurs,mourir,17
",",",",p
ce,ce,52
sera,être,15
en,en,81
t',tu,51
adorant,adorer,13
quand,quand,83
même,même,60
",",",",p
ainsi,ainsi,60
que,que,83
j',je,51
ai,avoir,17
vécu,vivre,12
/!,/!,P
n',ne,60
oublie,oublier,17
pas,pas,60
de,de,81
faire,faire,14
prendre,prendre,14
<Nombre 300000 francs>,<>,<>
trois,trois,72
cent,cent,72
mille,mille,72
francs,franc,21
<Fin nombre>,<>,<>
déposés,déposé,31
en,en,81
ton,ton,73
nom,nom,21
chez,chez,81
D.,D,20
à,à,81
Lyon,Lyon,20
/.,/.,P
“,“,p
“,“,p
voilà,voilà,81
ce,ce,74
pauvre,pauvre,30
diable,diable,21
de,de,81
Rassi,Rassi,20
pâle,pâle,30
comme,comme,83
la,le,71
mort,mort,22
",",",",p
et,et,82
sans,sans,81
perruque,perruque,22
;,;,p
tu,tu,51
n',ne,60
as,avoir,17
pas,pas,60
d',de,81
idée,idée,22
de,de,81
cette,ce,74
figure,figure,22
/!,/!,P
le,le,71
peuple,peuple,21
veut,vouloir,17
absolument,absolument,60
le,le,52
pendre,pendre,14
;,;,p
ce,ce,52
serait,être,16
un,un,71
grand,grand,30
tort,tort,21
qu',que,52
on,on,51
lui,lui,51
ferait,faire,16
",",",",p
il,il,51
mérite,mériter,17
d',de,81
être,être,14
écartelé,écarteler,12
/.,/.,P
il,il,51
se,se,51
réfugiait,réfugier,18
à,à,81
mon,mon,73
palais,palais,21
",",",",p
et,et,82
m',je,51
a,avoir,17
couru,courir,12
après,après,81
dans,dans,81
la,le,71
rue,rue,22
;,;,p
je,je,51
ne,ne,60
sais,savoir,17
trop,trop,60
qu',que,83
en,en,52
faire,faire,14
…,…,p
je,je,51
ne,ne,60
veux,vouloir,17
pas,pas,60
le,le,52
conduire,conduire,14
au,à,81
au,le,71
palais,palais,21
du,de,81
du,le,71
prince,prince,21
",",",",p
ce,ce,52
serait,être,16
faire,faire,14
éclater,éclater,14
la,le,71
révolte,révolte,22
de,de,81
ce,ce,74
côté,côté,21
/.,/.,P
F.,F,20
verra,voir,15
si,si,83
je,je,51
l',le,52
aime,aimer,17
;,;,p
mon,mon,73
premier,premier,72
mot,mot,21
à,à,81
Rassi,Rassi,20
a,avoir,17
été,être,12
:,:,p
il,il,51
me,je,51
