11140
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Neuvième extrait>,<>,<>
plaisir,plaisir,21
et,et,82
savoure,savourer,17
d',de,81
avance,avance,22
;,;,p
le,le,71
changement,changement,21
de,de,81
langue,langue,22
",",",",p
de,de,81
visages,visage,21
",",",",p
de,de,81
moeurs,moeurs,22
",",",",p
qui,qui,52
semble,sembler,17
initier,initier,14
l',le,71
intelligence,intelligence,22
à,à,81
un,un,71
monde,monde,21
nouveau,nouveau,30
",",",",p
tout,tout,75
cela,cela,52
fascinait,fasciner,18
mon,mon,73
esprit,esprit,21
/.,/.,P
je,je,51
vécus,vivre,19
dans,dans,81
un,un,71
état,état,21
constant,constant,30
d',de,81
ivresse,ivresse,22
pendant,pendant,81
les,le,71
longs,long,30
jours,jour,21
d',de,81
attente,attente,22
qui,qui,52
précédèrent,précéder,19
le,le,71
départ,départ,21
/.,/.,P
ce,ce,74
délire,délire,21
",",",",p
renouvelé,renouvelé,31
chaque,chaque,75
jour,jour,21
par,par,81
les,le,71
magnificences,magnificence,22
de,de,81
la,le,71
nature,nature,22
en,en,81
Savoie,Savoie,20
",",",",p
en,en,81
Suisse,Suisse,20
",",",",p
sur,sur,81
le,le,71
lac,lac,21
de,de,81
Genève,Genève,20
",",",",p
sur,sur,81
les,le,71
glaciers,glacier,21
du,de,81
du,le,71
Simplon,Simplon,20
",",",",p
au,à,81
au,le,71
lac,lac,21
de,de,81
Côme,Côme,20
",",",",p
à,à,81
Milan,Milan,20
et,et,82
à,à,81
Florence,Florence,20
",",",",p
ne,ne,60
retomba,retomber,19
qu',que,83
à,à,81
mon,mon,73
retour,retour,21
/.,/.,P
les,le,71
affaires,affaire,22
qui,qui,52
avaient,avoir,18
conduit,conduire,12
ma,mon,73
compagne,compagne,22
de,de,81
voyage,voyage,21
à,à,81
Livourne,Livourne,20
se,se,51
prolongeant,prolonger,13
indéfiniment,indéfiniment,60
",",",",p
on,on,51
parla,parler,19
de,de,81
me,je,51
ramener,ramener,14
en,en,81
France,France,20
sans,sans,81
avoir,avoir,14
vu,voir,12
Rome,Rome,20
et,et,82
Naples,Naples,20
/.,/.,P
c',ce,52
était,être,18
m',je,51
arracher,arracher,14
mon,mon,73
rêve,rêve,21
au,à,81
au,le,71
moment,moment,21
où,où,60
j',je,51
allais,aller,18
le,le,52
saisir,saisir,14
/.,/.,P
je,je,51
me,je,51
révoltai,révolter,19
intérieurement,intérieurement,60
contre,contre,81
une,un,71
pareille,pareil,30
idée,idée,22
/.,/.,P
j',je,51
écrivis,écrire,19
à,à,81
mon,mon,73
père,père,21
pour,pour,81
lui,lui,51
demander,demander,14
l',le,71
autorisation,autorisation,22
de,de,81
continuer,continuer,14
seul,seul,30
mon,mon,73
voyage,voyage,21
en,en,81
Italie,Italie,20
",",",",p
et,et,82
",",",",p
sans,sans,81
attendre,attendre,14
la,le,71
réponse,réponse,22
",",",",p
que,que,52
je,je,51
n',ne,60
espérais,espérer,18
guère,guère,60
favorable,favorable,30
",",",",p
je,je,51
résolus,résoudre,19
de,de,81
prévenir,prévenir,14
la,le,71
désobéissance,désobéissance,22
par,par,81
le,le,71
fait,fait,21
/.,/.,P
“,“,p
si,si,83
la,le,71
défense,défense,22
arrive,arriver,17
",",",",p
me,je,51
disais,dire,18
je,je,51
",",",",p
elle,il,51
arrivera,arriver,15
trop,trop,60
tard,tard,60
/.,/.,P
je,je,51
serai,être,16
réprimandé,réprimander,12
",",",",p
mais,mais,82
je,je,51
serai,être,16
pardonné,pardonner,12
;,;,p
je,je,51
reviendrai,revenir,15
",",",",p
mais,mais,82
j',je,51
aurai,avoir,15
vu,voir,12
/.,/.,P
“,“,p
je,je,51
fis,faire,19
la,le,71
revue,revue,22
de,de,81
mes,mon,73
finances,finance,22
très,très,60
restreintes,restreint,31
;,;,p
mais,mais,82
je,je,51
calculai,calculer,19
que,que,83
j',je,51
avais,avoir,18
un,un,71
parent,parent,21
de,de,81
ma,mon,73
mère,mère,22
établi,établi,31
à,à,81
Naples,Naples,20
",",",",p
et,et,82
qu',que,52
il,il,51
ne,ne,60
me,je,51
refuserait,refuser,16
pas,pas,60
quelque,quelque,75
argent,argent,21
pour,pour,81
le,le,71
retour,retour,21
/.,/.,P
je,je,51
partis,partir,19
",",",",p
une,un,71
belle,beau,30
nuit,nuit,22
",",",",p
de,de,81
Livourne,Livourne,20
",",",",p
par,par,81
le,le,71
courrier,courrier,21
de,de,81
Rome,Rome,20
/.,/.,P
j',je,51
y,y,52
passai,passer,19
l',le,71
hiver,hiver,21
seul,seul,30
dans,dans,81
une,un,71
petite,petit,30
chambre,chambre,22
d',de,81
une,un,71
rue,rue,22
obscure,obscur,30
qui,qui,52
débouche,déboucher,17
sur,sur,81
la,le,71
place,place,22
d',de,81
Espagne,Espagne,20
",",",",p
chez,chez,81
un,un,71
peintre,peintre,21
romain,romain,30
qui,qui,52
me,je,51
prit,prendre,19
en,en,81
pension,pension,22
dans,dans,81
sa,son,73
famille,famille,22
/.,/.,P
ma,mon,73
figure,figure,22
",",",",p
ma,mon,73
jeunesse,jeunesse,22
",",",",p
mon,mon,73
enthousiasme,enthousiasme,21
",",",",p
mon,mon,73
isolement,isolement,21
au,à,81
au,le,71
milieu,milieu,21
d',de,81
un,un,71
pays,pays,21
inconnu,inconnu,30
",",",",p
avaient,avoir,18
intéressé,intéresser,12
un,un,52
de,de,81
mes,mon,73
compagnons,compagnon,21
de,de,81
voyage,voyage,21
dans,dans,81
la,le,71
route,route,22
de,de,81
Florence,Florence,20
à,à,81
Rome,Rome,20
/.,/.,P
il,il,51
s',se,51
était,être,18
lié,lier,12
d',de,81
une,un,71
amitié,amitié,22
soudaine,soudain,30
avec,avec,81
moi,moi,51
/.,/.,P
c',ce,52
était,être,18
un,un,71
beau,beau,30
jeune,jeune,30
homme,homme,21
à,à,81
peu,peu,60
près,près,81
de,de,81
mon,mon,73
âge,âge,21
/.,/.,P
il,il,51
paraissait,paraître,18
être,être,14
le,le,71
fils,fils,21
ou,ou,82
le,le,71
neveu,neveu,21
du,de,81
du,le,71
fameux,fameux,30
chanteur,chanteur,21
David,David,20
",",",",p
alors,alors,60
le,le,71
premier,premier,72
ténor,ténor,21
des,de,81
des,le,71
théâtres,théâtre,21
d',de,81
Italie,Italie,20
/.,/.,P
David,David,20
voyageait,voyager,18
aussi,aussi,60
avec,avec,81
nous,nous,51
/.,/.,P
c',ce,52
était,être,18
un,un,71
homme,homme,21
d',de,81
un,un,71
âge,âge,21
déjà,déjà,60
avancé,avancé,31
/.,/.,P
il,il,51
allait,aller,18
chanter,chanter,14
pour,pour,81
la,le,71
dernière,dernier,30
fois,fois,22
sur,sur,81
le,le,71
théâtre,théâtre,21
Saint-Charles,Saint-Charles,20
",",",",p
à,à,81
Naples,Naples,20
/.,/.,P
David,David,20
me,je,51
traitait,traiter,18
en,en,81
père,père,21
",",",",p
et,et,82
son,son,73
jeune,jeune,30
compagnon,compagnon,21
me,je,51
comblait,combler,18
de,de,81
prévenances,prévenance,22
et,et,82
de,de,81
bontés,bonté,22
/.,/.,P
je,je,51
répondais,répondre,18
à,à,81
ces,ce,74
avances,avance,22
avec,avec,81
l',le,71
abandon,abandon,21
et,et,82
la,le,71
naïveté,naïveté,22
de,de,81
mon,mon,73
âge,âge,21
/.,/.,P
nous,nous,51
n',ne,60
étions,être,18
pas,pas,60
encore,encore,60
arrivés,arriver,12
à,à,81
Rome,Rome,20
que,que,83
le,le,71
beau,beau,30
voyageur,voyageur,21
et,et,82
moi,moi,51
nous,nous,51
étions,être,18
déjà,déjà,60
inséparables,inséparable,30
/.,/.,P
le,le,71
courrier,courrier,21
",",",",p
dans,dans,81
ce,ce,74
temps,temps,21
là,là,60
",",",",p
ne,ne,60
mettait,mettre,18
pas,pas,60
moins,moins,60
de,de,81
trois,trois,72
jours,jour,21
pour,pour,81
aller,aller,14
de,de,81
Florence,Florence,20
à,à,81
Rome,Rome,20
/.,/.,P
dans,dans,81
les,le,71
auberges,auberge,22
",",",",p
mon,mon,73
nouvel,nouveau,30
ami,ami,21
était,être,18
mon,mon,73
interprète,interprète,21
;,;,p
à,à,81
table,table,22
",",",",p
il,il,51
me,je,51
servait,servir,18
le,le,71
premier,premier,72
;,;,p
dans,dans,81
la,le,71
voiture,voiture,22
",",",",p
il,il,51
me,je,51
ménageait,ménager,18
à,à,81
côté,côté,21
de,de,81
lui,lui,51
la,le,71
meilleure,meilleur,30
place,place,22
",",",",p
et,et,82
",",",",p
si,si,83
je,je,51
m',je,51
endormais,endormir,18
",",",",p
j',je,51
étais,être,18
sûr,sûr,30
que,que,83
ma,mon,73
tête,tête,22
aurait,avoir,16
son,son,73
épaule,épaule,22
pour,pour,81
oreiller,oreiller,21
/.,/.,P
quand,quand,83
je,je,51
descendais,descendre,18
de,de,81
voiture,voiture,22
aux,à,81
aux,le,71
longues,long,30
montées,montée,22
des,de,81
des,le,71
collines,colline,22
de,de,81
la,le,71
Toscane,Toscane,20
ou,ou,82
de,de,81
la,le,71
Sabine,Sabine,20
",",",",p
il,il,51
descendait,descendre,18
avec,avec,81
moi,moi,51
",",",",p
m',je,51
expliquait,expliquer,18
le,le,71
pays,pays,21
",",",",p
me,je,51
nommait,nommer,18
les,le,71
villes,ville,22
",",",",p
m',je,51
indiquait,indiquer,18
les,le,71
monuments,monument,21
/.,/.,P
il,il,51
cueillait,cueillir,18
même,même,60
de,de,81
belles,beau,30
fleurs,fleur,22
et,et,82
achetait,acheter,18
de,de,81
belles,beau,30
figues,figue,22
et,et,82
de,de,81
beaux,beau,30
raisins,raisin,21
sur,sur,81
la,le,71
route,route,22
;,;,p
il,il,51
remplissait,remplir,18
de,de,81
ces,ce,74
fruits,fruit,21
mes,mon,73
mains,main,22
et,et,82
mon,mon,73
chapeau,chapeau,21
/.,/.,P
David,David,20
semblait,sembler,18
voir,voir,14
avec,avec,81
plaisir,plaisir,21
l',le,71
affection,affection,22
de,de,81
son,son,73
compagnon,compagnon,21
de,de,81
voyage,voyage,21
pour,pour,81
le,le,71
jeune,jeune,30
étranger,étranger,21
/.,/.,P
ils,ils,51
se,se,51
souriaient,sourire,18
quelquefois,quelquefois,60
en,en,81
me,je,51
regardant,regarder,13
d',de,81
un,un,71
air,air,21
d',de,81
intelligence,intelligence,22
",",",",p
de,de,81
finesse,finesse,22
et,et,82
de,de,81
bonté,bonté,22
/.,/.,P
arrivés,arrivé,31
à,à,81
Rome,Rome,20
la,le,52
nuit,nuire,17
",",",",p
je,je,51
descendis,descendre,19
tout,tout,60
naturellement,naturellement,60
dans,dans,81
la,le,71
même,même,75
auberge,auberge,22
qu',que,83
eux,ils,51
/.,/.,P
on,on,51
me,je,51
conduisit,conduire,19
dans,dans,81
ma,mon,73
chambre,chambre,22
;,;,p
je,je,51
ne,ne,60
me,je,51
réveillai,réveiller,19
qu',que,83
à,à,81
la,le,71
voix,voix,22
de,de,81
mon,mon,73
jeune,jeune,30
ami,ami,21
qui,qui,52
frappait,frapper,18
à,à,81
ma,mon,73
porte,porte,22
et,et,82
qui,qui,52
m',je,51
invitait,inviter,18
à,à,81
déjeuner,déjeuner,14
/.,/.,P
je,je,51
m',je,51
habillai,habiller,19
à,à,81
la,le,71
hâte,hâte,22
et,et,82
je,je,51
descendis,descendre,19
dans,dans,81
la,le,71
salle,salle,22
où,où,60
les,le,71
voyageurs,voyageur,21
étaient,être,18
réunis,réunir,12
/.,/.,P
j',je,51
allais,aller,18
serrer,serrer,14
la,le,71
main,main,22
de,de,81
mon,mon,73
compagnon,compagnon,21
de,de,81
voyage,voyage,21
et,et,82
je,je,51
le,le,52
cherchais,chercher,18
en,en,81
vain,vain,30
des,de,81
des,le,71
yeux,oeil,21
parmi,parmi,81
les,le,71
convives,convive,21
",",",",p
quand,quand,83
un,un,71
rire,rire,21
général,général,30
éclata,éclater,19
sur,sur,81
tous,tout,75
les,le,71
visages,visage,21
/.,/.,P
au,à,81
au,le,71
lieu,lieu,21
du,de,81
du,le,71
fils,fils,21
ou,ou,82
du,de,81
du,le,71
neveu,neveu,21
de,de,81
David,David,20
",",",",p
j',je,51
aperçus,apercevoir,19
à,à,81
côté,côté,21
de,de,81
lui,lui,51
une,un,71
charmante,charmant,30
figure,figure,22
de,de,81
jeune,jeune,30
fille,fille,22
romaine,romain,30
élégamment,élégamment,60
vêtue,vêtu,31
et,et,82
dont,dont,52
les,le,71
cheveux,cheveu,21
noirs,noir,30
",",",",p
tressés,tressé,31
en,en,81
bandeaux,bandeau,21
autour,autour,60
du,de,81
du,le,71
front,front,21
",",",",p
étaient,être,18
rattachés,rattacher,12
derrière,derrière,81
par,par,81
deux,deux,72
longues,long,30
épingles,épingle,22
d',de,81
or,or,21
à,à,81
têtes,tête,22
de,de,81
perles,perle,22
",",",",p
comme,comme,83
les,le,52
portent,porter,17
encore,encore,60
les,le,71
paysannes,paysanne,22
de,de,81
Tivoli,Tivoli,20
/.,/.,P
c',ce,52
était,être,18
mon,mon,73
ami,ami,21
qui,qui,52
avait,avoir,18
repris,reprendre,12
",",",",p
en,en,81
arrivant,arriver,13
à,à,81
Rome,Rome,20
",",",",p
son,son,73
costume,costume,21
et,et,82
son,son,73
sexe,sexe,21
/.,/.,P
j',je,51
aurais,avoir,16
dû,devoir,12
m',je,51
en,en,52
douter,douter,14
à,à,81
la,le,71
tendresse,tendresse,22
de,de,81
son,son,73
regard,regard,21
et,et,82
à,à,81
la,le,71
grâce,grâce,22
de,de,81
son,son,73
sourire,sourire,21
/.,/.,P
mais,mais,82
je,je,51
n',ne,60
avais,avoir,18
eu,avoir,12
aucun,aucun,75
soupçon,soupçon,21
/.,/.,P
“,“,p
l',le,71
habit,habit,21
ne,ne,60
change,changer,17
pas,pas,60
le,le,71
coeur,coeur,21
",",",",p
me,je,51
dit,dire,19
en,en,81
rougissant,rougir,13
la,le,71
belle,beau,30
Romaine,Romain,20
;,;,p
seulement,seulement,60
vous,vous,51
ne,ne,60
dormirez,dormir,15
plus,plus,60
sur,sur,81
mon,mon,73
épaule,épaule,22
",",",",p
et,et,82
",",",",p
au,à,81
au,le,71
lieu,lieu,21
de,de,81
recevoir,recevoir,14
de,de,81
moi,moi,51
des,de,81
des,le,71
fleurs,fleur,22
",",",",p
c',ce,52
est,être,17
vous,vous,51
qui,qui,52
m',je,51
en,en,52
donnerez,donner,15
/.,/.,P
cette,ce,74
aventure,aventure,22
vous,vous,51
apprendra,apprendre,15
à,à,81
ne,ne,60
pas,pas,60
vous,vous,51
fier,fier,14
aux,à,81
aux,le,71
apparences,apparence,22
d',de,81
amitié,amitié,22
qu',que,52
on,on,51
aura,avoir,15
pour,pour,81
vous,vous,51
plus,plus,60
tard,tard,60
;,;,p
cela,cela,52
pourrait,pouvoir,16
bien,bien,60
être,être,14
autre,autre,75
chose,chose,22
/.,/.,P
“,“,p
la,le,71
jeune,jeune,30
fille,fille,22
était,être,18
une,un,71
cantatrice,cantatrice,22
",",",",p
élève,élève,22
et,et,82
favorite,favorite,22
de,de,81
David,David,20
/.,/.,P
le,le,71
vieux,vieux,30
chanteur,chanteur,21
la,le,52
conduisait,conduire,18
partout,partout,60
avec,avec,81
lui,lui,51
",",",",p
il,il,51
l',le,52
habillait,habiller,18
en,en,81
homme,homme,21
pour,pour,81
éviter,éviter,14
les,le,71
commentaires,commentaire,21
sur,sur,81
la,le,71
route,route,22
/.,/.,P
il,il,51
la,le,52
traitait,traiter,18
en,en,81
père,père,21
plus,plus,60
qu',que,83
en,en,81
protecteur,protecteur,21
",",",",p
et,et,82
n',ne,60
était,être,18
nullement,nullement,60
jaloux,jaloux,30
des,de,81
des,le,71
douces,doux,30
et,et,82
innocentes,innocent,30
familiarités,familiarité,22
qu',que,52
il,il,51
avait,avoir,18
laissées,laisser,12
lui-même,lui-même,51
s',se,51
établir,établir,14
entre,entre,81
nous,nous,51
/.,/.,P
<II>,<>,<>
David,David,20
et,et,82
son,son,73
élève,élève,21
passèrent,passer,19
quelques,quelque,75
semaines,semaine,22
à,à,81
Rome,Rome,20
/.,/.,P
le,le,71
lendemain,lendemain,21
de,de,81
notre,notre,73
arrivée,arrivée,22
",",",",p
elle,il,51
reprit,reprendre,19
ses,son,73
habits,habit,21
d',de,81
homme,homme,21
et,et,82
me,je,51
conduisit,conduire,19
d'abord,d'abord,60
à,à,81
Saint-Pierre,Saint-Pierre,20
",",",",p
puis,puis,60
au,à,81
au,le,71
Colisée,Colisée,20
",",",",p
à,à,81
Frascati,Frascati,20
",",",",p
à,à,81
Tivoli,Tivoli,20
",",",",p
à,à,81
Albano,Albano,20
;,;,p
j',je,51
évitai,éviter,19
ainsi,ainsi,60
les,le,71
fatigantes,fatigant,30
redites,redite,22
de,de,81
ces,ce,74
démonstrateurs,démonstrateur,21
gagés,gagé,31
qui,qui,52
dissèquent,disséquer,17
aux,à,81
aux,le,71
voyageurs,voyageur,21
le,le,71
cadavre,cadavre,21
de,de,81
Rome,Rome,20
",",",",p
et,et,82
qui,qui,52
",",",",p
en,en,81
jetant,jeter,13
leur,leur,73
monotone,monotone,30
litanie,litanie,22
de,de,81
noms,nom,21
propres,propre,30
et,et,82
de,de,81
dates,date,22
à,à,81
travers,travers,21
vos,votre,73
impressions,impression,22
",",",",p
obsèdent,obséder,17
la,le,71
pensée,pensée,22
et,et,82
déroutent,dérouter,17
le,le,71
sentiment,sentiment,21
des,de,81
des,le,71
belles,beau,30
choses,chose,22
/.,/.,P
la,le,71
Camilla,Camilla,20
n',ne,60
était,être,18
pas,pas,60
savante,savant,30
",",",",p
mais,mais,82
",",",",p
née,né,31
à,à,81
Rome,Rome,20
",",",",p
elle,il,51
savait,savoir,18
d',de,81
instinct,instinct,21
les,le,71
beaux,beau,30
sites,site,21
et,et,82
les,le,71
grands,grand,30
aspects,aspect,21
dont,dont,52
elle,il,51
avait,avoir,18
été,être,12
frappée,frapper,12
dans,dans,81
son,son,73
enfance,enfance,22
/.,/.,P
elle,il,51
me,je,51
conduisait,conduire,18
sans,sans,81
y,y,52
penser,penser,14
aux,à,81
aux,le,71
meilleures,meilleur,30
places,place,22
et,et,82
aux,à,81
aux,le,71
meilleures,meilleur,30
heures,heure,22
",",",",p
pour,pour,81
contempler,contempler,14
les,le,71
restes,reste,21
de,de,81
la,le,71
ville,ville,22
antique,antique,30
:,:,p
le,le,71
matin,matin,21
",",",",p
sous,sous,81
les,le,71
pins,pin,21
aux,à,81
aux,le,71
larges,large,30
dômes,dôme,21
du,de,81
du,le,71
Monte Pincio,Monte Pincio,20
;,;,p
le,le,71
soir,soir,21
",",",",p
sous,sous,81
les,le,71
grandes,grand,30
ombres,ombre,22
des,de,81
des,le,71
colonnades,colonnade,22
de,de,81
Saint-Pierre,Saint-Pierre,20
;,;,p
au,à,81
au,le,71
clair,clair,21
de,de,81
lune,lune,22
",",",",p
dans,dans,81
l',le,71
enceinte,enceinte,22
muette,muet,30
du,de,81
du,le,71
Colisée,Colisée,20
;,;,p
par,par,81
de,de,81
belles,beau,30
journées,journée,22
d',de,81
automne,automne,21
",",",",p
à,à,81
Albano,Albano,20
",",",",p
à,à,81
Frascati,Frascati,20
et,et,82
au,à,81
au,le,71
temple,temple,21
de,de,81
la,le,71
Sibylle,Sibylle,20
tout,tout,60
retentissant,retentir,13
et,et,82
tout,tout,60
ruisselant,ruisseler,13
de,de,81
la,le,71
fumée,fumée,22
des,de,81
des,le,71
cascades,cascade,22
de,de,81
Tivoli,Tivoli,20
/.,/.,P
elle,il,51
était,être,18
gaie,gai,30
et,et,82
folâtre,folâtre,30
comme,comme,83
une,un,71
statue,statue,22
de,de,81
l',le,71
éternelle,éternel,30
jeunesse,jeunesse,22
au,à,81
au,le,71
milieu,milieu,21
de,de,81
ces,ce,74
vestiges,vestige,21
du,de,81
du,le,71
temps,temps,21
et,et,82
de,de,81
la,le,71
mort,mort,22
/.,/.,P
elle,il,51
dansait,danser,18
sur,sur,81
la,le,71
tombe,tombe,22
de,de,81
Cecilia,Cecilia,20
Metella,Metella,20
",",",",p
et,et,82
",",",",p
pendant,pendant,81
que,que,83
je,je,51
rêvais,rêver,18
assis,assis,31
sur,sur,81
une,un,71
pierre,pierre,22
",",",",p
elle,il,51
faisait,faire,18
résonner,résonner,14
des,de,81
des,le,71
éclats,éclat,21
de,de,81
sa,son,73
voix,voix,22
de,de,81
théâtre,théâtre,21
les,le,71
voûtes,voûte,22
sinistres,sinistre,30
du,de,81
du,le,71
palais,palais,21
de,de,81
Dioclétien,Dioclétien,20
/.,/.,P
le,le,71
soir,soir,21
nous,nous,51
revenions,revenir,18
à,à,81
la,le,71
ville,ville,22
",",",",p
notre,notre,73
voiture,voiture,22
remplie,rempli,31
de,de,81
fleurs,fleur,22
et,et,82
de,de,81
débris,débris,21
de,de,81
statues,statue,22
",",",",p
rejoindre,rejoindre,14
le,le,71
vieux,vieux,30
David,David,20
",",",",p
que,que,52
ses,son,73
affaires,affaire,22
retenaient,retenir,18
à,à,81
Rome,Rome,20
",",",",p
et,et,82
qui,qui,52
nous,nous,51
menait,mener,18
finir,finir,14
la,le,71
journée,journée,22
dans,dans,81
sa,son,73
loge,loge,22
au,à,81
au,le,71
théâtre,théâtre,21
/.,/.,P
la,le,71
cantatrice,cantatrice,22
",",",",p
plus,plus,60
âgée,âgé,30
que,que,83
moi,moi,51
de,de,81
quelques,quelque,75
années,année,22
",",",",p
ne,ne,60
me,je,51
témoignait,témoigner,18
pas,pas,60
d',de,81
autres,autre,75
sentiments,sentiment,21
que,que,83
ceux,celui,52
d',de,81
une,un,71
amitié,amitié,22
un,un,71
peu,peu,60
tendre,tendre,30
/.,/.,P
j',je,51
étais,être,18
trop,trop,60
timide,timide,30
pour,pour,81
en,en,52
témoigner,témoigner,14
d',de,81
autres,autre,52
moi-même,moi-même,51
;,;,p
je,je,51
ne,ne,60
les,le,52
ressentais,ressentir,18
même,même,60
pas,pas,60
",",",",p
malgré,malgré,81
ma,mon,73
jeunesse,jeunesse,22
et,et,82
sa,son,73
beauté,beauté,22
/.,/.,P
son,son,73
costume,costume,21
d',de,81
homme,homme,21
",",",",p
sa,son,73
familiarité,familiarité,22
toute,tout,60
virile,viril,30
",",",",p
le,le,71
son,son,21
mâle,mâle,30
de,de,81
sa,son,73
voix,voix,22
de,de,81
contralto,contralto,21
et,et,82
la,le,71
liberté,liberté,22
de,de,81
ses,son,73
manières,manière,22
me,je,51
faisaient,faire,18
une,un,71
telle,tel,75
impression,impression,22
",",",",p
que,que,83
je,je,51
ne,ne,60
voyais,voir,18
en,en,81
elle,il,51
qu',que,83
un,un,71
beau,beau,30
jeune,jeune,30
homme,homme,21
",",",",p
un,un,71
camarade,camarade,21
et,et,82
un,un,71
ami,ami,21
/.,/.,P
<III>,<>,<>
quand,quand,83
Camilla,Camilla,20
fut,être,19
partie,partir,12
",",",",p
je,je,51
restai,rester,19
absolument,absolument,60
seul,seul,30
à,à,81
Rome,Rome,20
",",",",p
sans,sans,81
aucune,aucun,75
lettre,lettre,22
de,de,81
recommandation,recommandation,22
",",",",p
sans,sans,81
aucune,aucun,75
autre,autre,75
connaissance,connaissance,22
que,que,52
les,le,71
sites,site,21
",",",",p
les,le,71
monuments,monument,21
et,et,82
les,le,71
ruines,ruine,22
où,où,60
la,le,71
Camilla,Camilla,20
m',je,51
avait,avoir,18
introduit,introduire,12
/.,/.,P
le,le,71
vieux,vieux,30
peintre,peintre,21
chez,chez,81
lequel,lequel,52
j',je,51
étais,être,18
logé,loger,12
ne,ne,60
sortait,sortir,18
jamais,jamais,60
de,de,81
son,son,73
atelier,atelier,21
que,que,83
pour,pour,81
aller,aller,14
le,le,71
dimanche,dimanche,21
à,à,81
la,le,71
messe,messe,22
avec,avec,81
sa,son,73
femme,femme,22
et,et,82
sa,son,73
fille,fille,22
",",",",p
jeune,jeune,30
personne,personne,22
de,de,81
