11908
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Soixante-deuxième extrait>,<>,<>
perçu,percevoir,12
des,de,81
des,le,71
sons,son,21
sans,sans,81
les,le,52
comprendre,comprendre,14
;,;,p
on,on,51
eût,avoir,19
pu,pouvoir,12
l',le,52
exécuter,exécuter,14
dans,dans,81
ce,ce,74
moment,moment,21
qu',que,52
il,il,51
n',ne,60
eût,avoir,19
pas,pas,60
fait,faire,12
un,un,71
geste,geste,21
pour,pour,81
entreprendre,entreprendre,14
sa,son,73
défense,défense,22
",",",",p
qu',que,52
il,il,51
n',ne,60
eût,avoir,19
pas,pas,60
poussé,pousser,12
un,un,71
cri,cri,21
pour,pour,81
implorer,implorer,14
la,le,71
pitié,pitié,22
/.,/.,P
il,il,51
resta,rester,19
donc,donc,82
ainsi,ainsi,60
sur,sur,81
la,le,71
banquette,banquette,22
",",",",p
le,le,71
dos,dos,21
appuyé,appuyé,31
au,à,81
au,le,71
mur,mur,21
et,et,82
les,le,71
bras,bras,21
pendants,pendant,30
",",",",p
à,à,81
l',le,71
endroit,endroit,21
même,même,30
où,où,60
les,le,71
gardes,garde,21
l',le,52
avaient,avoir,18
déposé,déposer,12
/.,/.,P
cependant,cependant,82
",",",",p
comme,comme,83
",",",",p
en,en,81
regardant,regarder,13
autour,autour,60
de,de,81
lui,lui,51
",",",",p
il,il,51
ne,ne,60
voyait,voir,18
aucun,aucun,75
objet,objet,21
menaçant,menaçant,30
",",",",p
comme,comme,83
rien,rien,52
n',ne,60
indiquait,indiquer,18
qu',que,83
il,il,51
courût,courir,18
un,un,71
danger,danger,21
réel,réel,30
",",",",p
comme,comme,83
la,le,71
banquette,banquette,22
était,être,18
convenablement,convenablement,60
rembourrée,rembourrer,12
",",",",p
comme,comme,83
la,le,71
muraille,muraille,22
était,être,18
recouverte,recouvrir,12
d',de,81
un,un,71
beau,beau,30
cuir,cuir,21
de,de,81
Cordoue,Cordoue,20
",",",",p
comme,comme,83
de,de,81
grands,grand,30
rideaux,rideau,21
de,de,81
damas,damas,21
rouge,rouge,30
flottaient,flotter,18
devant,devant,81
la,le,71
fenêtre,fenêtre,22
",",",",p
retenus,retenu,31
par,par,81
des,de,81
des,le,71
embrasses,embrasse,22
d',de,81
or,or,21
",",",",p
il,il,51
comprit,comprendre,19
peu,peu,60
à,à,81
peu,peu,60
que,que,83
sa,son,73
frayeur,frayeur,22
était,être,18
exagérée,exagérer,12
",",",",p
et,et,82
il,il,51
commença,commencer,19
de,de,81
remuer,remuer,14
la,le,71
tête,tête,22
à,à,81
droite,droite,22
et,et,82
à,à,81
gauche,gauche,22
et,et,82
de,de,81
bas,bas,21
en,en,81
haut,haut,21
/.,/.,P
à,à,81
ce,ce,74
mouvement,mouvement,21
",",",",p
auquel,à,81
auquel,lequel,52
personne,personne,52
ne,ne,60
s',se,51
opposa,opposer,19
",",",",p
il,il,51
reprit,reprendre,19
un,un,71
peu,peu,60
de,de,81
courage,courage,21
et,et,82
se,se,51
risqua,risquer,19
à,à,81
ramener,ramener,14
une,un,71
jambe,jambe,22
",",",",p
puis,puis,60
l',le,71
autre,autre,52
;,;,p
enfin,enfin,60
",",",",p
en,en,81
s',se,51
aidant,aider,13
de,de,81
ses,son,73
deux,deux,72
mains,main,22
",",",",p
il,il,51
se,se,51
souleva,soulever,19
sur,sur,81
sa,son,73
banquette,banquette,22
et,et,82
se,se,51
trouva,trouver,19
sur,sur,81
ses,son,73
pieds,pied,21
/.,/.,P
en,en,81
ce,ce,74
moment,moment,21
",",",",p
un,un,71
officier,officier,21
de,de,81
bonne,bon,30
mine,mine,22
ouvrit,ouvrir,19
une,un,71
portière,portière,22
",",",",p
continua,continuer,19
d',de,81
échanger,échanger,14
encore,encore,60
quelques,quelque,75
paroles,parole,22
avec,avec,81
une,un,71
personne,personne,22
qui,qui,52
se,se,51
trouvait,trouver,18
dans,dans,81
la,le,71
pièce,pièce,22
voisine,voisin,30
",",",",p
et,et,82
se,se,51
retournant,retourner,13
vers,vers,81
le,le,71
prisonnier,prisonnier,21
:,:,p
“,“,p
c',ce,52
est,être,17
vous,vous,51
qui,qui,52
vous,vous,51
nommez,nommer,17
Bonacieux,Bonacieux,20
?,?,p
dit,dire,19
il,il,51
/.,/.,P
-,-,p
oui,oui,60
",",",",p
monsieur,monsieur,21
l',le,71
officier,officier,21
",",",",p
balbutia,balbutier,19
le,le,71
mercier,mercier,21
",",",",p
plus,plus,60
mort,mort,31
que,que,83
vif,vif,30
",",",",p
pour,pour,81
vous,vous,51
servir,servir,14
/.,/.,P
-,-,p
entrez,entrer,17
“,“,p
",",",",p
dit,dire,19
l',le,71
officier,officier,21
/.,/.,P
et,et,82
il,il,51
s',se,51
effaça,effacer,19
pour,pour,81
que,que,83
le,le,71
mercier,mercier,21
pût,pouvoir,18
passer,passer,14
/.,/.,P
celui-ci,celui-ci,52
obéit,obéir,17
sans,sans,81
réplique,réplique,22
",",",",p
et,et,82
entra,entrer,19
dans,dans,81
la,le,71
chambre,chambre,22
où,où,60
il,il,51
paraissait,paraître,18
être,être,14
attendu,attendre,12
/.,/.,P
c',ce,52
était,être,18
un,un,71
grand,grand,30
cabinet,cabinet,21
",",",",p
aux,à,81
aux,le,71
murailles,muraille,22
garnies,garni,31
d',de,81
armes,arme,22
offensives,offensif,30
et,et,82
défensives,défensif,30
",",",",p
clos,clos,31
et,et,82
étouffé,étouffé,31
",",",",p
et,et,82
dans,dans,81
lequel,lequel,52
il,il,51
y,y,52
avait,avoir,18
déjà,déjà,60
du,de,81
du,le,71
feu,feu,21
",",",",p
quoique,quoique,83
l',l',94
on,on,51
fût,être,19
à,à,81
peine,peine,22
à,à,81
la,le,71
fin,fin,22
du,de,81
du,le,71
mois,mois,21
de,de,81
septembre,septembre,21
/.,/.,P
une,un,71
table,table,22
carrée,carré,31
",",",",p
couverte,couvert,31
de,de,81
livres,livre,21
et,et,82
de,de,81
papiers,papier,21
sur,sur,81
lesquels,lequel,52
était,être,18
déroulé,dérouler,12
un,un,71
plan,plan,21
immense,immense,30
de,de,81
la,le,71
ville,ville,22
de,de,81
La Rochelle,La Rochelle,20
",",",",p
tenait,tenir,18
le,le,71
milieu,milieu,21
de,de,81
l',le,71
appartement,appartement,21
/.,/.,P
debout,debout,60
devant,devant,81
la,le,71
cheminée,cheminée,22
était,être,18
un,un,71
homme,homme,21
de,de,81
moyenne,moyen,30
taille,taille,22
",",",",p
à,à,81
la,le,71
mine,mine,22
haute,haut,30
et,et,82
fière,fier,30
",",",",p
aux,à,81
aux,le,71
yeux,oeil,21
perçants,perçant,30
",",",",p
au,à,81
au,le,71
front,front,21
large,large,30
",",",",p
à,à,81
la,le,71
figure,figure,22
amaigrie,amaigri,31
qu',que,52
allongeait,allonger,18
encore,encore,60
une,un,71
royale,royale,22
surmontée,surmonté,31
d',de,81
une,un,71
paire,paire,22
de,de,81
moustaches,moustache,22
/.,/.,P
quoique,quoique,83
cet,ce,74
homme,homme,21
eût,avoir,19
trente,trente,72
six,six,72
à,à,81
trente,trente,72
sept,sept,72
ans,an,21
à,à,81
peine,peine,22
",",",",p
cheveux,cheveu,21
",",",",p
moustache,moustache,22
et,et,82
royale,royal,30
s',se,51
en,en,52
allaient,aller,18
grisonnant,grisonner,13
/.,/.,P
cet,ce,74
homme,homme,21
",",",",p
moins,moins,60
l',le,71
épée,épée,22
",",",",p
avait,avoir,18
toute,tout,75
la,le,71
mine,mine,22
d',de,81
un,un,71
homme,homme,21
de,de,81
guerre,guerre,22
",",",",p
et,et,82
ses,son,73
bottes,botte,22
de,de,81
buffle,buffle,21
encore,encore,60
légèrement,légèrement,60
couvertes,couvert,31
de,de,81
poussière,poussière,22
indiquaient,indiquer,18
qu',que,83
il,il,51
avait,avoir,18
monté,monter,12
à,à,81
cheval,cheval,21
dans,dans,81
la,le,71
journée,journée,22
/.,/.,P
cet,ce,74
homme,homme,21
",",",",p
c',ce,52
était,être,18
Armand,Armand,20
Jean,Jean,20
Duplessis,Duplessis,20
",",",",p
cardinal,cardinal,21
de,de,81
Richelieu,Richelieu,20
",",",",p
non,non,60
point,point,60
tel,tel,75
qu',que,83
on,on,51
nous,nous,51
le,le,52
représente,représenter,17
",",",",p
cassé,cassé,31
comme,comme,83
un,un,71
vieillard,vieillard,21
",",",",p
souffrant,souffrir,13
comme,comme,83
un,un,71
martyr,martyr,21
",",",",p
le,le,71
corps,corps,21
brisé,brisé,31
",",",",p
la,le,71
voix,voix,22
éteinte,éteint,31
",",",",p
enterré,enterré,31
dans,dans,81
un,un,71
grand,grand,30
fauteuil,fauteuil,21
comme,comme,83
dans,dans,81
une,un,71
tombe,tombe,22
anticipée,anticipé,31
",",",",p
ne,ne,60
vivant,vivre,13
plus,plus,60
que,que,83
par,par,81
la,le,71
force,force,22
de,de,81
son,son,73
génie,génie,21
",",",",p
et,et,82
ne,ne,60
soutenant,soutenir,13
plus,plus,60
la,le,71
lutte,lutte,22
avec,avec,81
l',le,71
Europe,Europe,20
que,que,83
par,par,81
l',le,71
éternelle,éternel,30
application,application,22
de,de,81
sa,son,73
pensée,pensée,22
",",",",p
mais,mais,82
tel,tel,75
qu',que,83
il,il,51
était,être,18
réellement,réellement,60
à,à,81
cette,ce,74
époque,époque,22
",",",",p
c'est-à-dire,c'est-à-dire,91
adroit,adroit,30
et,et,82
galant,galant,30
cavalier,cavalier,21
",",",",p
faible,faible,30
de,de,81
corps,corps,21
déjà,déjà,60
",",",",p
mais,mais,82
soutenu,soutenir,12
par,par,81
cette,ce,74
puissance,puissance,22
morale,moral,30
qui,qui,52
a,avoir,17
fait,faire,12
de,de,81
lui,lui,51
un,un,52
des,de,81
des,le,71
hommes,homme,21
les,le,71
plus,plus,60
extraordinaires,extraordinaire,30
qui,qui,52
aient,avoir,17
existé,exister,12
;,;,p
se,se,51
préparant,préparer,13
enfin,enfin,60
",",",",p
après,après,81
avoir,avoir,14
soutenu,soutenir,12
le,le,71
duc,duc,21
de,de,81
Nevers,Nevers,20
dans,dans,81
son,son,73
duché,duché,21
de,de,81
Mantoue,Mantoue,20
",",",",p
après,après,81
avoir,avoir,14
pris,prendre,12
Nîmes,Nîmes,20
",",",",p
Castres,Castres,20
et,et,82
Uzès,Uzès,20
",",",",p
à,à,81
chasser,chasser,14
les,le,71
Anglais,Anglais,20
de,de,81
l',le,71
île,île,22
de,de,81
Ré,Ré,20
et,et,82
à,à,81
faire,faire,14
le,le,71
siège,siège,21
de,de,81
La Rochelle,La Rochelle,20
/.,/.,P
à,à,81
la,le,71
première,premier,72
vue,vue,22
",",",",p
rien,rien,52
ne,ne,60
dénotait,dénoter,18
donc,donc,82
le,le,71
cardinal,cardinal,21
",",",",p
et,et,82
il,il,51
était,être,18
impossible,impossible,30
à,à,81
ceux-là,celui-là,52
qui,qui,52
ne,ne,60
connaissaient,connaître,18
point,point,60
son,son,73
visage,visage,21
de,de,81
deviner,deviner,14
devant,devant,81
qui,qui,52
ils,ils,51
se,se,51
trouvaient,trouver,18
/.,/.,P
le,le,71
pauvre,pauvre,30
mercier,mercier,21
demeura,demeurer,19
debout,debout,60
à,à,81
la,le,71
porte,porte,22
",",",",p
tandis que,tandis que,83
les,le,71
yeux,oeil,21
du,de,81
du,le,71
personnage,personnage,21
que,que,52
nous,nous,51
venons,venir,17
de,de,81
décrire,décrire,14
se,se,51
fixaient,fixer,18
sur,sur,81
lui,lui,51
",",",",p
et,et,82
semblaient,sembler,18
vouloir,vouloir,14
pénétrer,pénétrer,14
jusqu',jusque,81
au,à,81
au,le,71
fond,fond,21
du,de,81
du,le,71
passé,passé,21
/.,/.,P
“,“,p
c',ce,52
est,être,17
là,là,60
ce,ce,74
Bonacieux,Bonacieux,20
?,?,p
demanda,demander,19
t,t,94
il,il,51
après,après,81
un,un,71
moment,moment,21
de,de,81
silence,silence,21
/.,/.,P
-,-,p
oui,oui,60
",",",",p
monseigneur,monseigneur,21
",",",",p
reprit,reprendre,19
l',le,71
officier,officier,21
/.,/.,P
-,-,p
c',ce,52
est,être,17
bien,bien,60
",",",",p
donnez,donner,17
moi,moi,51
ces,ce,74
papiers,papier,21
et,et,82
laissez,laisser,17
nous,nous,51
/.,/.,P
“,“,p
l',le,71
officier,officier,21
prit,prendre,19
sur,sur,81
la,le,71
table,table,22
les,le,71
papiers,papier,21
désignés,désigné,31
",",",",p
les,le,52
remit,remettre,19
à,à,81
celui,celui,52
qui,qui,52
les,le,52
demandait,demander,18
",",",",p
s',se,51
inclina,incliner,19
jusqu',jusque,81
à,à,81
terre,terre,22
",",",",p
et,et,82
sortit,sortir,19
/.,/.,P
Bonacieux,Bonacieux,20
reconnut,reconnaître,19
dans,dans,81
ces,ce,74
papiers,papier,21
ses,son,73
interrogatoires,interrogatoire,21
de,de,81
la,le,71
Bastille,Bastille,20
/.,/.,P
de,de,81
temps,temps,21
en,en,81
temps,temps,21
",",",",p
l',le,71
homme,homme,21
de,de,81
la,le,71
cheminée,cheminée,22
levait,lever,18
les,le,71
yeux,oeil,21
de,de,81
dessus,dessus,60
les,le,71
écritures,écriture,22
",",",",p
et,et,82
les,le,52
plongeait,plonger,18
comme,comme,83
deux,deux,72
poignards,poignard,21
jusqu',jusque,81
au,à,81
au,le,71
fond,fond,21
du,de,81
du,le,71
coeur,coeur,21
du,de,81
du,le,71
pauvre,pauvre,30
mercier,mercier,21
/.,/.,P
au,à,81
au,le,71
bout,bout,21
de,de,81
dix,dix,72
minutes,minute,22
de,de,81
lecture,lecture,22
et,et,82
dix,dix,72
secondes,seconde,22
d',de,81
examen,examen,21
",",",",p
le,le,71
cardinal,cardinal,21
était,être,18
fixé,fixer,12
/.,/.,P
“,“,p
cette,ce,74
tête,tête,22
là,là,60
n',ne,60
a,avoir,17
jamais,jamais,60
conspiré,conspirer,12
“,“,p
",",",",p
murmura,murmurer,19
t,t,94
il,il,51
;,;,p
mais,mais,82
n',ne,60
importe,importer,17
",",",",p
voyons,voir,17
toujours,toujours,60
/.,/.,P
-,-,p
vous,vous,51
êtes,être,17
accusé,accuser,12
de,de,81
haute,haut,30
trahison,trahison,22
",",",",p
dit,dire,19
lentement,lentement,60
le,le,71
cardinal,cardinal,21
/.,/.,P
-,-,p
c',ce,52
est,être,17
ce,ce,52
qu',que,52
on,on,51
m',je,51
a,avoir,17
déjà,déjà,60
appris,apprendre,12
",",",",p
monseigneur,monseigneur,21
",",",",p
s',se,51
écria,écrier,19
Bonacieux,Bonacieux,20
",",",",p
donnant,donner,13
à,à,81
son,son,73
interrogateur,interrogateur,21
le,le,71
titre,titre,21
qu',que,52
il,il,51
avait,avoir,18
entendu,entendre,12
l',le,71
officier,officier,21
lui,lui,51
donner,donner,14
;,;,p
mais,mais,82
je,je,51
vous,vous,51
jure,jurer,17
que,que,83
je,je,51
n',ne,60
en,en,52
savais,savoir,18
rien,rien,52
/.,/.,P
“,“,p
le,le,71
cardinal,cardinal,21
réprima,réprimer,19
un,un,71
sourire,sourire,21
/.,/.,P
“,“,p
vous,vous,51
avez,avoir,17
conspiré,conspirer,12
avec,avec,81
votre,votre,73
femme,femme,22
",",",",p
avec,avec,81
madame,madame,22
de,de,81
Chevreuse,Chevreuse,20
et,et,82
avec,avec,81
milord,milord,21
duc,duc,21
de,de,81
Buckingham,Buckingham,20
/.,/.,P
-,-,p
en,en,81
effet,effet,21
",",",",p
monseigneur,monseigneur,21
",",",",p
répondit,répondre,19
le,le,71
mercier,mercier,21
",",",",p
je,je,51
l',le,52
ai,avoir,17
entendue,entendre,12
prononcer,prononcer,14
tous,tout,75
ces,ce,74
noms,nom,21
là,là,60
/.,/.,P
-,-,p
et,et,82
à,à,81
quelle,quel,75
occasion,occasion,22
/?,/?,P
elle,il,51
disait,dire,18
que,que,83
le,le,71
cardinal,cardinal,21
de,de,81
Richelieu,Richelieu,20
avait,avoir,18
attiré,attirer,12
le,le,71
duc,duc,21
de,de,81
Buckingham,Buckingham,20
à,à,81
Paris,Paris,20
pour,pour,81
le,le,52
perdre,perdre,14
et,et,82
pour,pour,81
perdre,perdre,14
la,le,71
reine,reine,22
avec,avec,81
lui,lui,51
/.,/.,P
-,-,p
elle,il,51
disait,dire,18
cela,cela,52
?,?,p
s',se,51
écria,écrier,19
le,le,71
cardinal,cardinal,21
avec,avec,81
violence,violence,22
/.,/.,P
-,-,p
oui,oui,60
",",",",p
monseigneur,monseigneur,21
;,;,p
mais,mais,82
moi,moi,51
je,je,51
lui,lui,51
ai,avoir,17
dit,dire,12
qu',que,83
elle,il,51
avait,avoir,18
tort,tort,21
de,de,81
tenir,tenir,14
de,de,81
pareils,pareil,30
propos,propos,21
",",",",p
et,et,82
que,que,83
son,son,73
éminence,éminence,22
était,être,18
incapable,incapable,30
/…,/…,P
taisez,taire,17
vous,vous,51
",",",",p
vous,vous,51
êtes,être,17
un,un,71
imbécile,imbécile,21
",",",",p
reprit,reprendre,19
le,le,71
cardinal,cardinal,21
/.,/.,P
-,-,p
c',ce,52
est,être,17
justement,justement,60
ce,ce,52
que,que,52
ma,mon,73
femme,femme,22
m',je,51
a,avoir,17
répondu,répondre,12
",",",",p
monseigneur,monseigneur,21
/.,/.,P
-,-,p
savez,savoir,17
vous,vous,51
qui,qui,52
a,avoir,17
enlevé,enlever,12
votre,votre,73
femme,femme,22
/?,/?,P
non,non,60
",",",",p
monseigneur,monseigneur,21
/.,/.,P
-,-,p
vous,vous,51
avez,avoir,17
des,de,81
des,le,71
soupçons,soupçon,21
",",",",p
cependant,cependant,82
/?,/?,P
oui,oui,60
",",",",p
monseigneur,monseigneur,21
;,;,p
mais,mais,82
ces,ce,74
soupçons,soupçon,21
ont,avoir,17
paru,paraître,12
contrarier,contrarier,14
monsieur,monsieur,21
le,le,71
commissaire,commissaire,21
",",",",p
et,et,82
je,je,51
ne,ne,60
les,le,52
ai,avoir,17
plus,plus,60
/.,/.,P
-,-,p
votre,votre,73
femme,femme,22
s',se,51
est,être,17
échappée,échapper,12
",",",",p
le,le,52
saviez,savoir,18
vous,vous,51
/?,/?,P
non,non,60
",",",",p
monseigneur,monseigneur,21
",",",",p
je,je,51
l',le,52
ai,avoir,17
appris,apprendre,12
depuis,depuis,81
que,que,83
je,je,51
suis,être,17
en,en,81
prison,prison,22
",",",",p
et,et,82
toujours,toujours,60
par,par,81
l',le,71
entremise,entremise,22
de,de,81
monsieur,monsieur,21
le,le,71
commissaire,commissaire,21
",",",",p
un,un,71
homme,homme,21
bien,bien,60
aimable,aimable,30
/!,/!,P
le,le,71
cardinal,cardinal,21
réprima,réprimer,19
un,un,71
second,second,72
sourire,sourire,21
/.,/.,P
“,“,p
alors,alors,60
vous,vous,51
ignorez,ignorer,17
ce,ce,52
que,que,52
votre,votre,73
femme,femme,22
est,être,17
devenue,devenir,12
depuis,depuis,81
sa,son,73
fuite,fuite,22
/?,/?,P
absolument,absolument,60
",",",",p
monseigneur,monseigneur,21
;,;,p
mais,mais,82
elle,il,51
a,avoir,17
dû,devoir,12
rentrer,rentrer,14
au,à,81
au,le,71
Louvre,Louvre,20
/.,/.,P
-,-,p
à,à,81
une,un,71
heure,heure,22
du,de,81
du,le,71
matin,matin,21
elle,il,51
n',ne,60
y,y,52
était,être,18
pas,pas,60
rentrée,rentrer,12
encore,encore,60
/.,/.,P
-,-,p
ah,ah,93
!,!,p
mon,mon,73
dieu,dieu,21
!,!,p
mais,mais,82
qu',que,52
est,être,17
elle,il,51
devenue,devenir,12
alors,alors,60
/?,/?,P
on,on,51
le,le,52
saura,savoir,15
",",",",p
soyez,être,17
tranquille,tranquille,30
;,;,p
on,on,51
ne,ne,60
cache,cacher,17
rien,rien,52
au,à,81
au,le,71
cardinal,cardinal,21
;,;,p
le,le,71
cardinal,cardinal,21
sait,savoir,17
tout,tout,52
/.,/.,P
-,-,p
en,en,81
ce,ce,74
cas,cas,21
",",",",p
monseigneur,monseigneur,21
",",",",p
est,être,17
ce,ce,52
que,que,83
vous,vous,51
croyez,croire,17
que,que,83
le,le,71
cardinal,cardinal,21
consentira,consentir,15
à,à,81
me,je,51
dire,dire,14
ce,ce,52
qu',que,52
est,être,17
devenue,devenir,12
ma,mon,73
femme,femme,22
/?,/?,P
peut-être,peut-être,60
;,;,p
mais,mais,82
il,il,51
faut,falloir,17
d'abord,d'abord,60
que,que,83
vous,vous,51
avouiez,avouer,17
tout,tout,52
ce,ce,52
que,que,52
vous,vous,51
savez,savoir,17
relativement,relativement,60
aux,à,81
aux,le,71
relations,relation,22
de,de,81
votre,votre,73
femme,femme,22
avec,avec,81
madame,madame,22
de,de,81
Chevreuse,Chevreuse,20
/.,/.,P
-,-,p
mais,mais,82
",",",",p
monseigneur,monseigneur,21
",",",",p
je,je,51
n',ne,60
en,en,52
sais,savoir,17
rien,rien,52
;,;,p
je,je,51
ne,ne,60
l',le,52
ai,avoir,17
jamais,jamais,60
vue,voir,12
/.,/.,P
-,-,p
quand,quand,83
vous,vous,51
alliez,aller,17
chercher,chercher,14
votre,votre,73
femme,femme,22
au,à,81
au,le,71
Louvre,Louvre,20
",",",",p
revenait,revenir,18
elle,il,51
directement,directement,60
chez,chez,81
vous,vous,51
/?,/?,P
presque,presque,60
jamais,jamais,60
:,:,p
elle,il,51
avait,avoir,18
affaire,affaire,22
à,à,81
des,de,81
des,le,71
marchands,marchand,21
de,de,81
toile,toile,22
",",",",p
chez,chez,81
lesquels,lequel,52
je,je,51
la,le,52
conduisais,conduire,18
/.,/.,P
-,-,p
et,et,82
combien,combien,60
y,y,52
en,en,52
avait,avoir,18
il,il,51
de,de,81
marchands,marchand,21
de,de,81
toile,toile,22
/?,/?,P
deux,deux,72
",",",",p
monseigneur,monseigneur,21
/.,/.,P
-,-,p
où,où,60
demeurent,demeurer,17
ils,ils,51
/?,/?,P
un,un,52
",",",",p
rue,rue,22
de,de,81
Vaugirard,Vaugirard,20
;,;,p
l',le,71
autre,autre,52
",",",",p
rue,rue,22
de,de,81
La Harpe,La Harpe,20
/.,/.,P
-,-,p
entriez,entrer,18
vous,vous,51
chez,chez,81
eux,ils,51
avec,avec,81
elle,il,51
/?,/?,P
jamais,jamais,60
",",",",p
monseigneur,monseigneur,21
;,;,p
je,je,51
l',le,52
attendais,attendre,18
à,à,81
la,le,71
porte,porte,22
/.,/.,P
-,-,p
et,et,82
quel,quel,75
prétexte,prétexte,21
vous,vous,51
donnait,donner,18
elle,il,51
pour,pour,81
entrer,entrer,14
ainsi,ainsi,60
toute,tout,60
seule,seul,30
/?,/?,P
elle,il,51
ne,ne,60
m',je,51
en,en,52
donnait,donner,18
pas,pas,60
;,;,p
elle,il,51
me,je,51
disait,dire,18
d',de,81
attendre,attendre,14
",",",",p
et,et,82
j',je,51
attendais,attendre,18
/.,/.,P
-,-,p
vous,vous,51
êtes,être,17
un,un,71
mari,mari,21
complaisant,complaisant,30
",",",",p
mon,mon,73
cher,cher,30
monsieur,monsieur,21
Bonacieux,Bonacieux,20
!,!,p
dit,dire,19
le,le,71
cardinal,cardinal,21
“,“,p
il,il,51
m',je,51
appelle,appeler,17
son,son,73
cher,cher,30
monsieur,monsieur,21
!,!,p
dit,dire,19
en,en,81
lui-même,lui-même,51
le,le,71
mercier,mercier,21
/.,/.,P
peste,peste,22
!,!,p
les,le,71
affaires,affaire,22
vont,aller,17
bien,bien,60
/!,/!,P
reconnaîtriez,reconnaître,16
vous,vous,51
ces,ce,74
portes,porte,22
/?,/?,P
oui,oui,60
/.,/.,P
-,-,p
savez,savoir,17
vous,vous,51
les,le,71
numéros,numéro,21
/?,/?,P
oui,oui,60
/.,/.,P
-,-,p
quels,quel,52
sont,être,17
ils,ils,51
/?,/?,P
numéro,numéro,21
<Nombre 25>,<>,<>
vingt,vingt,72
cinq,cinq,72
<Fin nombre>,<>,<>
",",",",p
dans,dans,81
la,le,71
rue,rue,22
de,de,81
Vaugirard,Vaugirard,20
;,;,p
numéro,numéro,21
<Nombre 75>,<>,<>
soixante,soixante,72
quinze,quinze,72
<Fin nombre>,<>,<>
",",",",p
dans,dans,81
la,le,71
rue,rue,22
de,de,81
La Harpe,La Harpe,20
/.,/.,P
-,-,p
c',ce,52
est,être,17
bien,bien,60
“,“,p
",",",",p
dit,dire,12
le,le,71
cardinal,cardinal,21
/.,/.,P
à,à,81
ces,ce,74
mots,mot,21
",",",",p
il,il,51
prit,prendre,19
une,un,71
sonnette,sonnette,22
d',de,81
argent,argent,21
",",",",p
et,et,82
sonna,sonner,19
;,;,p
l',le,71
officier,officier,21
rentra,rentrer,19
/.,/.,P
“,“,p
allez,aller,17
",",",",p
dit,dire,19
il,il,51
à,à,81
demi-voix,demi-voix,22
",",",",p
me,je,51
chercher,chercher,14
Rochefort,Rochefort,20
;,;,p
et,et,82
qu',que,52
il,il,51
vienne,venir,17
à,à,81
l',le,71
instant,instant,21
même,même,30
",",",",p
s',si,83
il,il,51
est,être,17
rentré,rentrer,12
/.,/.,P
-,-,p
le,le,71
comte,comte,21
est,être,17
là,là,60
",",",",p
dit,dire,12
l',le,71
officier,officier,21
",",",",p
il,il,51
demande,demander,17
instamment,instamment,60
à,à,81
parler,parler,14
à,à,81
votre,votre,73
éminence,éminence,22
/!,/!,P
à,à,81
votre,votre,73
éminence,éminence,22
!,!,p
murmura,murmurer,19
Bonacieux,Bonacieux,20
",",",",p
qui,qui,52
savait,savoir,18
que,que,83
tel,tel,52
