11875
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Quatre-vingt-quinzième extrait>,<>,<>
les,le,71
ministres,ministre,21
",",",",p
les,le,71
gens,gens,21
illustrés,illustré,31
en,en,81
tout,tout,75
genre,genre,21
",",",",p
chamarrés,chamarré,31
de,de,81
croix,croix,22
",",",",p
de,de,81
plaques,plaque,22
",",",",p
de,de,81
cordons,cordon,21
multicolores,multicolore,30
",",",",p
se,se,51
pressaient,presser,18
autour,autour,60
de,de,81
la,le,71
vicomtesse,vicomtesse,22
/.,/.,P
l',le,71
orchestre,orchestre,21
faisait,faire,18
résonner,résonner,14
les,le,71
motifs,motif,21
de,de,81
sa,son,73
musique,musique,22
sous,sous,81
les,le,71
lambris,lambris,21
dorés,doré,31
de,de,81
ce,ce,74
palais,palais,21
",",",",p
désert,désert,30
pour,pour,81
sa,son,73
reine,reine,22
/.,/.,P
madame,madame,22
de,de,81
Beauséant,Beauséant,20
se,se,51
tenait,tenir,18
debout,debout,60
devant,devant,81
son,son,73
premier,premier,72
salon,salon,21
pour,pour,81
recevoir,recevoir,14
ses,son,73
prétendus,prétendu,31
amis,ami,21
/.,/.,P
vêtue,vêtu,31
de,de,81
blanc,blanc,21
",",",",p
sans,sans,81
aucun,aucun,75
ornement,ornement,21
dans,dans,81
ses,son,73
cheveux,cheveu,21
simplement,simplement,60
nattés,natté,31
",",",",p
elle,il,51
semblait,sembler,18
calme,calme,30
",",",",p
et,et,82
n',ne,60
affichait,afficher,18
ni,ni,82
douleur,douleur,22
",",",",p
ni,ni,82
fierté,fierté,22
",",",",p
ni,ni,82
fausse,faux,30
joie,joie,22
/.,/.,P
personne,personne,52
ne,ne,60
pouvait,pouvoir,18
lire,lire,14
dans,dans,81
son,son,73
âme,âme,22
/.,/.,P
vous,vous,51
eussiez,avoir,18
dit,dire,12
d',de,81
une,un,71
Niobé,Niobé,20
de,de,81
marbre,marbre,21
/.,/.,P
son,son,73
sourire,sourire,21
à,à,81
ses,son,73
intimes,intime,21
amis,ami,30
fut,être,19
parfois,parfois,60
railleur,railleur,30
;,;,p
mais,mais,82
elle,il,51
parut,paraître,19
à,à,81
tous,tout,52
semblable,semblable,30
à,à,81
elle-même,lui-même,51
",",",",p
et,et,82
se,se,51
montra,montrer,19
si,si,60
bien,bien,60
ce,ce,52
qu',que,52
elle,il,51
était,être,18
quand,quand,83
le,le,71
bonheur,bonheur,21
la,le,52
parait,parer,18
de,de,81
ses,son,73
rayons,rayon,21
",",",",p
que,que,52
les,le,71
plus,plus,60
insensibles,insensible,30
l',le,52
admirèrent,admirer,19
",",",",p
comme,comme,83
les,le,71
jeunes,jeune,30
Romaines,Romain,20
applaudissaient,applaudir,18
le,le,71
gladiateur,gladiateur,21
qui,qui,52
savait,savoir,18
sourire,sourire,14
en,en,81
expirant,expirer,13
/.,/.,P
le,le,71
monde,monde,21
semblait,sembler,18
s',se,51
être,être,14
paré,parer,12
pour,pour,81
faire,faire,14
ses,son,73
adieux,adieu,21
à,à,81
l',le,71
une,un,52
de,de,81
ses,son,73
souveraines,souveraine,22
/.,/.,P
-,-,p
je,je,51
tremblais,trembler,18
que,que,83
vous,vous,51
ne,ne,60
vinssiez,venir,18
pas,pas,60
",",",",p
dit,dire,19
elle,il,51
à,à,81
Rastignac,Rastignac,20
/.,/.,P
-,-,p
madame,madame,22
",",",",p
répondit,répondre,19
il,il,51
d',de,81
une,un,71
voix,voix,22
émue,ému,31
en,en,81
prenant,prendre,13
ce,ce,74
mot,mot,21
pour,pour,81
un,un,71
reproche,reproche,21
",",",",p
je,je,51
suis,être,17
venu,venir,12
pour,pour,81
rester,rester,14
le,le,71
dernier,dernier,21
/.,/.,P
-,-,p
bien,bien,60
",",",",p
dit,dire,19
elle,il,51
en,en,81
lui,lui,51
prenant,prendre,13
la,le,71
main,main,22
/.,/.,P
vous,vous,51
êtes,être,17
peut-être,peut-être,60
ici,ici,60
le,le,71
seul,seul,30
auquel,à,81
auquel,lequel,52
je,je,51
puisse,pouvoir,17
me,je,51
fier,fier,14
/.,/.,P
mon,mon,73
ami,ami,21
",",",",p
aimez,aimer,17
une,un,71
femme,femme,22
que,que,52
vous,vous,51
puissiez,pouvoir,17
aimer,aimer,14
toujours,toujours,60
/.,/.,P
n',ne,60
en,en,52
abandonnez,abandonner,17
aucune,aucun,52
/.,/.,P
elle,il,51
prit,prendre,19
le,le,71
bras,bras,21
de,de,81
Rastignac,Rastignac,20
et,et,82
le,le,52
mena,mener,19
sur,sur,81
un,un,71
canapé,canapé,21
",",",",p
dans,dans,81
le,le,71
salon,salon,21
où,où,60
l',l',94
on,on,51
jouait,jouer,18
/.,/.,P
-,-,p
allez,aller,17
",",",",p
lui,lui,51
dit,dire,19
elle,il,51
",",",",p
chez,chez,81
le,le,71
marquis,marquis,21
/.,/.,P
Jacques,Jacques,20
",",",",p
mon,mon,73
valet,valet,21
de,de,81
chambre,chambre,22
",",",",p
vous,vous,51
y,y,52
conduira,conduire,15
et,et,82
vous,vous,51
remettra,remettre,15
une,un,71
lettre,lettre,22
pour,pour,81
lui,lui,51
/.,/.,P
je,je,51
lui,lui,51
demande,demander,17
ma,mon,73
correspondance,correspondance,22
/.,/.,P
il,il,51
vous,vous,51
la,le,52
remettra,remettre,15
tout,tout,60
entière,entier,30
",",",",p
j',je,51
aime,aimer,17
à,à,81
le,le,52
croire,croire,14
/.,/.,P
si,si,83
vous,vous,51
avez,avoir,17
mes,mon,73
lettres,lettre,22
",",",",p
montez,monter,17
dans,dans,81
ma,mon,73
chambre,chambre,22
/.,/.,P
on,on,51
me,je,51
préviendra,prévenir,15
/.,/.,P
elle,il,51
se,se,51
leva,lever,19
pour,pour,81
aller,aller,14
au-devant,au-devant,60
de,de,81
la,le,71
duchesse,duchesse,22
de,de,81
Langeais,Langeais,20
",",",",p
sa,son,73
meilleure,meilleur,30
amie,amie,22
",",",",p
qui,qui,52
venait,venir,18
aussi,aussi,60
/.,/.,P
Rastignac,Rastignac,20
partit,partir,19
",",",",p
fit,faire,19
demander,demander,14
le,le,71
marquis,marquis,21
d',de,81
Ajuda,Ajuda,20
à,à,81
l',le,71
hôtel,hôtel,21
de,de,81
Rochefide,Rochefide,20
",",",",p
où,où,60
il,il,51
devait,devoir,18
passer,passer,14
la,le,71
soirée,soirée,22
",",",",p
et,et,82
où,où,60
il,il,51
le,le,52
trouva,trouver,19
/.,/.,P
le,le,71
marquis,marquis,21
l',le,52
emmena,emmener,19
chez,chez,81
lui,lui,51
",",",",p
remit,remettre,19
une,un,71
boîte,boîte,22
à,à,81
l',le,71
étudiant,étudiant,21
",",",",p
et,et,82
lui,lui,51
dit,dire,19
:,:,p
“,“,p
elles,ils,51
y,y,52
sont,être,17
toutes,tout,52
/.,/.,P
“,“,p
il,il,51
parut,paraître,19
vouloir,vouloir,14
parler,parler,14
à,à,81
Eugène,Eugène,20
",",",",p
soit,soit,82
pour,pour,81
le,le,52
questionner,questionner,14
sur,sur,81
les,le,71
événements,événement,21
du,de,81
du,le,71
bal,bal,21
et,et,82
sur,sur,81
la,le,71
vicomtesse,vicomtesse,22
",",",",p
soit,soit,82
pour,pour,81
lui,lui,51
avouer,avouer,14
que,que,83
déjà,déjà,60
peut-être,peut-être,60
il,il,51
était,être,18
au,à,81
au,le,71
désespoir,désespoir,21
de,de,81
son,son,73
mariage,mariage,21
",",",",p
comme,comme,83
il,il,51
le,le,52
fut,être,19
plus,plus,60
tard,tard,60
;,;,p
mais,mais,82
un,un,71
éclair,éclair,21
d',de,81
orgueil,orgueil,21
brilla,briller,19
dans,dans,81
ses,son,73
yeux,oeil,21
",",",",p
et,et,82
il,il,51
eut,avoir,19
le,le,71
déplorable,déplorable,30
courage,courage,21
de,de,81
garder,garder,14
le,le,71
secret,secret,21
sur,sur,81
ses,son,73
plus,plus,60
nobles,noble,30
sentiments,sentiment,21
/.,/.,P
“,“,p
ne,ne,60
lui,lui,51
dites,dire,17
rien,rien,52
de,de,81
moi,moi,51
",",",",p
mon,mon,73
cher,cher,30
Eugène,Eugène,20
/.,/.,P
“,“,p
il,il,51
pressa,presser,19
la,le,71
main,main,22
de,de,81
Rastignac,Rastignac,20
par,par,81
un,un,71
mouvement,mouvement,21
affectueusement,affectueusement,60
triste,triste,30
",",",",p
et,et,82
lui,lui,51
fit,faire,19
signe,signe,21
de,de,81
partir,partir,14
/.,/.,P
Eugène,Eugène,20
revint,revenir,19
à,à,81
l',le,71
hôtel,hôtel,21
de,de,81
Beauséant,Beauséant,20
",",",",p
et,et,82
fut,être,19
introduit,introduire,12
dans,dans,81
la,le,71
chambre,chambre,22
de,de,81
la,le,71
vicomtesse,vicomtesse,22
",",",",p
où,où,60
il,il,51
vit,voir,19
les,le,71
apprêts,apprêt,21
d',de,81
un,un,71
départ,départ,21
/.,/.,P
il,il,51
s',se,51
assit,asseoir,19
auprès,auprès,60
du,de,81
du,le,71
feu,feu,21
",",",",p
regarda,regarder,19
la,le,71
cassette,cassette,22
en,en,81
cèdre,cèdre,21
",",",",p
et,et,82
tomba,tomber,19
dans,dans,81
une,un,71
profonde,profond,30
mélancolie,mélancolie,22
/.,/.,P
pour,pour,81
lui,lui,51
",",",",p
madame,madame,22
de,de,81
Beauséant,Beauséant,20
avait,avoir,18
les,le,71
proportions,proportion,22
des,de,81
des,le,71
déesses,déesse,22
de,de,81
l',le,71
Iliade,Iliade,20
/.,/.,P
-,-,p
ah,ah,93
!,!,p
mon,mon,73
ami,ami,21
",",",",p
dit,dire,19
la,le,71
vicomtesse,vicomtesse,22
en,en,81
entrant,entrer,13
et,et,82
appuyant,appuyer,13
sa,son,73
main,main,22
sur,sur,81
l',le,71
épaule,épaule,22
de,de,81
Rastignac,Rastignac,20
/.,/.,P
il,il,51
aperçut,apercevoir,19
sa,son,73
cousine,cousine,22
en,en,81
pleurs,pleur,21
",",",",p
les,le,71
yeux,oeil,21
levés,levé,31
",",",",p
une,un,71
main,main,22
tremblante,tremblant,30
",",",",p
l',le,71
autre,autre,75
levée,levée,22
/.,/.,P
elle,il,51
prit,prendre,19
tout,tout,60
à,à,81
coup,coup,21
la,le,71
boîte,boîte,22
",",",",p
la,le,52
plaça,placer,19
dans,dans,81
le,le,71
feu,feu,21
et,et,82
la,le,52
vit,voir,19
brûler,brûler,14
/.,/.,P
-,-,p
ils,ils,51
dansent,danser,17
!,!,p
ils,ils,51
sont,être,17
venus,venir,12
tous,tout,52
bien,bien,60
exactement,exactement,60
",",",",p
tandis que,tandis que,83
la,le,71
mort,mort,22
viendra,venir,15
tard,tard,60
/.,/.,P
chut,chut,93
!,!,p
mon,mon,73
ami,ami,21
",",",",p
dit,dire,19
elle,il,51
en,en,81
mettant,mettre,13
un,un,71
doigt,doigt,21
sur,sur,81
la,le,71
bouche,bouche,22
de,de,81
Rastignac,Rastignac,20
prêt,prêt,30
à,à,81
parler,parler,14
/.,/.,P
je,je,51
ne,ne,60
verrai,voir,15
plus,plus,60
jamais,jamais,60
ni,ni,82
Paris,Paris,20
ni,ni,82
le,le,71
monde,monde,21
/.,/.,P
à,à,81
cinq,cinq,72
heures,heure,22
du,de,81
du,le,71
matin,matin,21
",",",",p
je,je,51
vais,aller,17
partir,partir,14
pour,pour,81
aller,aller,14
m',je,51
ensevelir,ensevelir,14
au,à,81
au,le,71
fond,fond,21
de,de,81
la,le,71
Normandie,Normandie,20
/.,/.,P
depuis,depuis,81
trois,trois,72
heures,heure,22
après,après,81
midi,midi,21
",",",",p
j',je,51
ai,avoir,17
été,être,12
obligée,obliger,12
de,de,81
faire,faire,14
mes,mon,73
préparatifs,préparatif,21
",",",",p
signer,signer,14
des,de,81
des,le,71
actes,acte,21
",",",",p
voir,voir,14
à,à,81
des,de,81
des,le,71
affaires,affaire,22
;,;,p
je,je,51
ne,ne,60
pouvais,pouvoir,18
envoyer,envoyer,14
personne,personne,52
chez,chez,81
/…,/…,P
elle,il,51
s',se,51
arrêta,arrêter,19
/.,/.,P
il,il,51
était,être,18
sûr,sûr,30
qu',que,83
on,on,51
le,le,52
trouverait,trouver,16
chez,chez,81
/…,/…,P
elle,il,51
s',se,51
arrêta,arrêter,19
encore,encore,60
",",",",p
accablée,accablé,31
de,de,81
douleur,douleur,22
/.,/.,P
en,en,81
ces,ce,74
moments,moment,21
tout,tout,52
est,être,17
souffrance,souffrance,22
",",",",p
et,et,82
certains,certain,75
mots,mot,21
sont,être,17
impossibles,impossible,30
à,à,81
prononcer,prononcer,14
/.,/.,P
-,-,p
enfin,enfin,60
",",",",p
reprit,reprendre,19
elle,il,51
",",",",p
je,je,51
comptais,compter,18
sur,sur,81
vous,vous,51
ce,ce,74
soir,soir,21
pour,pour,81
ce,ce,74
dernier,dernier,30
service,service,21
/.,/.,P
je,je,51
voudrais,vouloir,16
vous,vous,51
donner,donner,14
un,un,71
gage,gage,21
de,de,81
mon,mon,73
amitié,amitié,22
.,.,p
je,je,51
penserai,penser,15
souvent,souvent,60
à,à,81
vous,vous,51
",",",",p
qui,qui,52
m',je,51
avez,avoir,17
paru,paraître,12
bon,bon,30
et,et,82
noble,noble,30
",",",",p
jeune,jeune,30
et,et,82
candide,candide,30
au,à,81
au,le,71
milieu,milieu,21
de,de,81
ce,ce,74
monde,monde,21
où,où,60
ces,ce,74
qualités,qualité,22
sont,être,17
si,si,60
rares,rare,30
/.,/.,P
je,je,51
souhaite,souhaiter,17
que,que,83
vous,vous,51
songiez,songer,17
quelquefois,quelquefois,60
à,à,81
moi,moi,51
/.,/.,P
tenez,tenir,17
",",",",p
dit,dire,19
elle,il,51
en,en,81
jetant,jeter,13
les,le,71
yeux,oeil,21
autour,autour,60
d',de,81
elle,il,51
",",",",p
voici,voici,81
le,le,71
coffret,coffret,21
où,où,60
je,je,51
mettais,mettre,18
mes,mon,73
gants,gant,21
/.,/.,P
toutes,tout,75
les,le,71
fois,fois,22
que,que,83
j',je,51
en,en,52
ai,avoir,17
pris,prendre,12
avant,avant,81
d',de,81
aller,aller,14
au,à,81
au,le,71
bal,bal,21
ou,ou,82
au,à,81
au,le,71
spectacle,spectacle,21
",",",",p
je,je,51
me,je,51
sentais,sentir,18
belle,beau,30
",",",",p
parce que,parce que,83
j',je,51
étais,être,18
heureuse,heureux,30
",",",",p
et,et,82
je,je,51
n',ne,60
y,y,52
touchais,toucher,18
que,que,83
pour,pour,81
y,y,52
laisser,laisser,14
quelque,quelque,75
pensée,pensée,22
gracieuse,gracieux,30
:,:,p
il,il,51
y,y,52
a,avoir,17
beaucoup,beaucoup,60
de,de,81
moi,moi,51
là-dedans,là-dedans,60
",",",",p
il,il,51
y,y,52
a,avoir,17
toute,tout,75
une,un,71
madame,madame,22
de,de,81
Beauséant,Beauséant,20
qui,qui,52
n',ne,60
est,être,17
plus,plus,60
/.,/.,P
acceptez,accepter,17
le,le,52
/.,/.,P
j',je,51
aurai,avoir,15
soin,soin,21
qu',que,52
on,on,51
le,le,52
porte,porter,17
chez,chez,81
vous,vous,51
",",",",p
rue,rue,22
d',de,81
Artois,Artois,20
/.,/.,P
madame,madame,22
de,de,81
Nucingen,Nucingen,20
est,être,17
fort,fort,60
bien,bien,60
ce,ce,74
soir,soir,21
",",",",p
aimez,aimer,17
la,le,52
bien,bien,60
/.,/.,P
si,si,83
nous,nous,51
ne,ne,60
nous,nous,51
voyons,voir,17
plus,plus,60
",",",",p
mon,mon,73
ami,ami,21
",",",",p
soyez,être,17
sûr,sûr,30
que,que,83
je,je,51
ferai,faire,15
des,de,81
des,le,71
voeux,voeu,21
pour,pour,81
vous,vous,51
",",",",p
qui,qui,52
avez,avoir,17
été,être,12
bon,bon,30
pour,pour,81
moi,moi,51
/.,/.,P
descendons,descendre,17
",",",",p
je,je,51
ne,ne,60
veux,vouloir,17
pas,pas,60
leur,leur,52
laisser,laisser,14
croire,croire,14
que,que,83
je,je,51
pleure,pleurer,17
/.,/.,P
j',je,51
ai,avoir,17
l',le,71
éternité,éternité,22
devant,devant,81
moi,moi,51
",",",",p
j',je,51
y,y,52
serai,être,16
seule,seul,30
",",",",p
et,et,82
personne,personne,52
ne,ne,60
m',je,51
y,y,52
demandera,demander,15
compte,compte,21
de,de,81
mes,mon,73
larmes,larme,22
/.,/.,P
encore,encore,60
un,un,71
regard,regard,21
à,à,81
cette,ce,74
chambre,chambre,22
/.,/.,P
elle,il,51
s',se,51
arrêta,arrêter,19
/.,/.,P
puis,puis,60
",",",",p
après,après,81
s',se,51
être,être,14
un,un,71
moment,moment,21
caché,cacher,12
les,le,71
yeux,oeil,21
avec,avec,81
sa,son,73
main,main,22
",",",",p
elle,il,51
se,se,51
les,le,52
essuya,essuyer,19
",",",",p
les,le,52
baigna,baigner,19
d',de,81
eau,eau,22
fraîche,frais,30
",",",",p
et,et,82
prit,prendre,19
le,le,71
bras,bras,21
de,de,81
l',le,71
étudiant,étudiant,21
/.,/.,P
-,-,p
marchons,marcher,17
!,!,p
dit,dire,19
elle,il,51
/.,/.,P
Rastignac,Rastignac,20
n',ne,60
avait,avoir,18
pas,pas,60
encore,encore,60
senti,sentir,12
d',de,81
émotion,émotion,22
aussi,aussi,60
violente,violent,30
que,que,83
fut,être,19
le,le,71
contact,contact,21
de,de,81
cette,ce,74
douleur,douleur,22
si,si,60
noblement,noblement,60
contenue,contenu,31
/.,/.,P
en,en,81
rentrant,rentrer,13
dans,dans,81
le,le,71
bal,bal,21
",",",",p
Eugène,Eugène,20
en,en,52
fit,faire,19
le,le,71
tour,tour,21
avec,avec,81
madame,madame,22
de,de,81
Beauséant,Beauséant,20
",",",",p
dernière,dernier,30
et,et,82
délicate,délicat,30
attention,attention,22
de,de,81
cette,ce,74
gracieuse,gracieux,30
femme,femme,22
/.,/.,P
bientôt,bientôt,60
il,il,51
aperçut,apercevoir,19
les,le,71
deux,deux,72
soeurs,soeur,22
",",",",p
madame,madame,22
de,de,81
Restaud,Restaud,20
et,et,82
madame,madame,22
de,de,81
Nucingen,Nucingen,20
/.,/.,P
la,le,71
comtesse,comtesse,22
était,être,18
magnifique,magnifique,30
avec,avec,81
tous,tout,75
ses,son,73
diamants,diamant,21
étalés,étalé,31
",",",",p
qui,qui,52
",",",",p
pour,pour,81
elle,il,51
",",",",p
étaient,être,18
brûlants,brûlant,30
sans,sans,81
doute,doute,21
",",",",p
elle,il,51
les,le,52
portait,porter,18
pour,pour,81
la,le,71
dernière,dernier,30
fois,fois,22
/.,/.,P
quelque,quelque,75
puissants,puissant,30
que,que,52
fussent,être,18
son,son,73
orgueil,orgueil,21
et,et,82
son,son,73
amour,amour,21
",",",",p
elle,il,51
ne,ne,60
soutenait,soutenir,18
pas,pas,60
bien,bien,60
les,le,71
regards,regard,21
de,de,81
son,son,73
mari,mari,21
/.,/.,P
ce,ce,74
spectacle,spectacle,21
n',ne,60
était,être,18
pas,pas,60
de,de,81
nature,nature,22
à,à,81
rendre,rendre,14
les,le,71
pensées,pensée,22
de,de,81
Rastignac,Rastignac,20
moins,moins,60
tristes,triste,30
/.,/.,P
il,il,51
revit,revoir,19
alors,alors,60
",",",",p
sous,sous,81
les,le,71
diamants,diamant,21
des,de,81
des,le,71
deux,deux,72
soeurs,soeur,22
",",",",p
le,le,71
grabat,grabat,21
sur,sur,81
lequel,lequel,52
gisait,gésir,18
le,le,71
père,père,21
Goriot,Goriot,20
/.,/.,P
son,son,73
attitude,attitude,22
mélancolique,mélancolique,30
ayant,avoir,13
trompé,tromper,12
la,le,71
vicomtesse,vicomtesse,22
",",",",p
elle,il,51
lui,lui,51
retira,retirer,19
son,son,73
bras,bras,21
/.,/.,P
-,-,p
allez,aller,17
!,!,p
je,je,51
ne,ne,60
veux,vouloir,17
pas,pas,60
vous,vous,51
coûter,coûter,14
un,un,71
plaisir,plaisir,21
",",",",p
dit,dire,19
elle,il,51
/.,/.,P
Eugène,Eugène,20
fut,être,19
bientôt,bientôt,60
réclamé,réclamer,12
par,par,81
Delphine,Delphine,20
",",",",p
heureuse,heureux,30
de,de,81
l',le,71
effet,effet,21
qu',que,52
elle,il,51
produisait,produire,18
",",",",p
et,et,82
jalouse,jaloux,30
de,de,81
mettre,mettre,14
aux,à,81
aux,le,71
pieds,pied,21
de,de,81
l',le,71
étudiant,étudiant,21
les,le,71
hommages,hommage,21
qu',que,52
elle,il,51
recueillait,recueillir,18
dans,dans,81
ce,ce,74
monde,monde,21
",",",",p
où,où,60
elle,il,51
espérait,espérer,18
être,être,14
adoptée,adopter,12
/.,/.,P
-,-,p
comment,comment,60
trouvez,trouver,17
vous,vous,51
Nasie,Nasie,20
?,?,p
lui,lui,51
dit,dire,19
elle,il,51
/.,/.,P
-,-,p
elle,il,51
a,avoir,17
",",",",p
dit,dire,12
Rastignac,Rastignac,20
",",",",p
escompté,escompter,12
jusqu',jusque,81
à,à,81
la,le,71
mort,mort,22
de,de,81
son,son,73
père,père,21
/.,/.,P
vers,vers,81
quatre,quatre,72
heures,heure,22
du,de,81
du,le,71
matin,matin,21
",",",",p
la,le,71
foule,foule,22
des,de,81
des,le,71
salons,salon,21
commençait,commencer,18
à,à,81
s',se,51
éclaircir,éclaicir,14
/.,/.,P
bientôt,bientôt,60
la,le,71
musique,musique,22
ne,ne,60
se,se,51
fit,faire,19
plus,plus,60
entendre,entendre,14
/.,/.,P
la,le,71
duchesse,duchesse,22
de,de,81
Langeais,Langeais,20
et,et,82
Rastignac,Rastignac,20
se,se,51
trouvèrent,trouver,19
seuls,seul,30
dans,dans,81
le,le,71
grand,grand,30
salon,salon,21
/.,/.,P
la,le,71
vicomtesse,vicomtesse,22
",",",",p
croyant,croire,13
n',ne,60
y,y,52
rencontrer,rencontrer,14
que,que,83
l',le,71
étudiant,étudiant,21
",",",",p
y,y,52
vint,venir,19
après,après,81
avoir,avoir,14
dit,dire,12
adieu,adieu,21
à,à,81
monsieur,monsieur,21
de,de,81
Beauséant,Beauséant,20
",",",",p
qui,qui,52
s',se,51
alla,aller,19
coucher,coucher,14
en,en,81
lui,lui,51
répétant,répéter,13
:,:,p
“,“,p
vous,vous,51
avez,avoir,17
tort,tort,21
",",",",p
ma,mon,73
chère,cher,30
",",",",p
d',de,81
aller,aller,14
vous,vous,51
enfermer,enfermer,14
à,à,81
votre,votre,73
âge,âge,21
/!,/!,P
restez,rester,17
donc,donc,82
avec,avec,81
nous,nous,51
/.,/.,P
“,“,p
en,en,81
voyant,voir,13
la,le,71
duchesse,duchesse,22
",",",",p
madame,madame,22
de,de,81
Beauséant,Beauséant,20
ne,ne,60
put,pouvoir,19
retenir,retenir,14
une,un,71
exclamation,exclamation,22
/.,/.,P
je,je,51
vous,vous,51
ai,avoir,17
devinée,deviner,12
",",",",p
Clara,Clara,20
",",",",p
dit,dire,19
madame,madame,22
de,de,81
Langeais,Langeais,20
/.,/.,P
vous,vous,51
partez,partir,17
pour,pour,81
ne,ne,60
plus,plus,60
revenir,revenir,14
;,;,p
mais,mais,82
vous,vous,51
ne,ne,60
partirez,partir,15
pas,pas,60
sans,sans,81
m',je,51
avoir,avoir,14
entendue,entendre,12
et,et,82
sans,sans,81
que,que,83
nous,nous,51
nous,nous,51
soyons,être,17
comprises,comprendre,12
/.,/.,P
elle,il,51
prit,prendre,19
son,son,73
amie,amie,22
par,par,81
le,le,71
bras,bras,21
",",",",p
l',le,52
emmena,emmener,19
dans,dans,81
le,le,71
salon,salon,21
voisin,voisin,30
",",",",p
et,et,82
là,là,60
",",",",p
la,le,52
regardant,regarder,13
avec,avec,81
des,de,81
des,le,71
larmes,larme,22
dans,dans,81
les,le,71
yeux,oeil,21
",",",",p
elle,il,51
la,le,52
serra,serrer,19
dans,dans,81
ses,son,73
bras,bras,21
et,et,82
la,le,52
baisa,baiser,19
sur,sur,81
les,le,71
joues,joue,22
/.,/.,P
-,-,p
je,je,51
ne,ne,60
veux,vouloir,17
pas,pas,60
vous,vous,51
quitter,quitter,14
froidement,froidement,60
",",",",p
ma,mon,73
chère,cher,30
",",",",p
ce,ce,52
serait,être,16
un,un,71
remords,remords,21
trop,trop,60
lourd,lourd,30
/.,/.,P
vous,vous,51
pouvez,pouvoir,17
compter,compter,14
sur,sur,81
moi,moi,51
comme,comme,83
sur,sur,81
vous-même,vous-même,51
/.,/.,P
vous,vous,51
avez,avoir,17
été,être,12
grande,grand,30
ce,ce,74
soir,soir,21
",",",",p
je,je,51
me,je,51
suis,être,17
sentie,sentir,12
digne,digne,30
de,de,81
vous,vous,51
",",",",p
et,et,82
veux,vouloir,17
vous,vous,51
le,le,52
prouver,prouver,14
/.,/.,P
j',je,51
ai,avoir,17
eu,avoir,12
des,de,81
des,le,71
torts,tort,21
envers,envers,81
vous,vous,51
",",",",p
je,je,51
n',ne,60
ai,avoir,17
pas,pas,60
toujours,toujours,60
été,être,12
bien,bien,60
",",",",p
pardonnez,pardonner,17
moi,moi,51
",",",",p
ma,mon,73
chère,cher,30
:,:,p
je,je,51
désavoue,désavouer,17
tout,tout,52
ce,ce,52
qui,qui,52
a,avoir,17
pu,pouvoir,12
