11581
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Cinquante-troisième extrait>,<>,<>
les,le,71
branches,branche,22
de,de,81
lauriers-roses,laurier-rose,21
qu',que,83
elle,il,51
déplaçait,déplacer,18
/.,/.,P
à,à,81
peine,peine,22
avait,avoir,18
elle,il,51
fait,faire,12
une,un,71
vingtaine,vingtaine,22
de,de,81
pas,pas,21
",",",",p
que,que,83
la,le,71
main,main,22
verte,vert,30
d',de,81
un,un,71
rameau,rameau,21
",",",",p
comme,comme,83
pour,pour,81
faire,faire,14
une,un,71
espièglerie,espièglerie,22
végétale,végétal,30
",",",",p
saisit,saisir,19
et,et,82
retint,retenir,19
son,son,73
chapeau,chapeau,21
de,de,81
paille,paille,22
en,en,81
l',le,52
élevant,élever,13
si,si,60
haut,haut,60
",",",",p
que,que,52
Paul,Paul,20
ne,ne,60
put,pouvoir,19
le,le,52
reprendre,reprendre,14
/.,/.,P
heureusement,heureusement,60
",",",",p
le,le,71
feuillage,feuillage,21
était,être,18
touffu,touffu,30
",",",",p
et,et,82
le,le,71
soleil,soleil,21
jetait,jeter,18
à,à,81
peine,peine,22
quelques,quelque,75
sequins,sequin,21
d',de,81
or,or,21
sur,sur,81
le,le,71
sable,sable,21
à,à,81
travers,travers,21
les,le,71
interstices,interstice,21
des,de,81
des,le,71
ramures,ramure,22
/.,/.,P
“,“,p
voici,voici,81
ma,mon,73
retraite,retraite,22
favorite,favori,30
",",",",p
“,“,p
dit,dire,17
Alicia,Alicia,20
",",",",p
en,en,81
désignant,désigner,13
à,à,81
Paul,Paul,20
un,un,71
fragment,fragment,21
de,de,81
roche,roche,22
aux,à,81
aux,le,71
cassures,cassure,22
pittoresques,pittoresque,30
",",",",p
que,que,52
protégeait,protéger,18
un,un,71
fouillis,fouillis,21
d',de,81
orangers,oranger,21
",",",",p
de,de,81
cédrats,cédrat,21
",",",",p
de,de,81
lentisques,lentisque,21
et,et,82
de,de,81
myrtes,myrte,21
/.,/.,P
elle,il,51
s',se,51
assit,asseoir,19
dans,dans,81
une,un,71
anfractuosité,anfractuosité,22
taillée,taillé,31
en,en,81
forme,forme,22
de,de,81
siège,siège,21
",",",",p
et,et,82
fit,faire,19
signe,signe,21
à,à,81
Paul,Paul,20
de,de,81
s',se,51
agenouiller,agenouiller,14
devant,devant,81
elle,il,51
sur,sur,81
l',le,71
épaisse,épais,30
mousse,mousse,22
sèche,sec,30
qui,qui,52
tapissait,tapisser,18
le,le,71
pied,pied,21
de,de,81
la,le,71
roche,roche,22
/.,/.,P
“,“,p
mettez,mettre,17
vos,votre,73
deux,deux,72
mains,main,22
dans,dans,81
les,le,71
miennes,mien,52
et,et,82
regardez,regarder,17
moi,moi,51
bien,bien,60
face,face,22
/.,/.,P
dans,dans,81
un,un,71
mois,mois,21
",",",",p
je,je,51
serai,être,16
votre,votre,73
femme,femme,22
/.,/.,P
pourquoi,pourquoi,60
vos,votre,73
yeux,oeil,21
évitent,éviter,17
ils,ils,51
les,le,71
miens,mien,52
/?,/?,P
“,“,p
en,en,81
effet,effet,21
",",",",p
Paul,Paul,20
",",",",p
revenu,revenu,21
à,à,81
ses,son,73
rêveries,rêverie,22
de,de,81
jettature,jettature,92
",",",",p
détournait,détourner,18
la,le,71
vue,vue,22
/.,/.,P
“,“,p
craignez,craindre,17
vous,vous,51
d',de,81
y,y,52
lire,lire,14
une,un,71
pensée,pensée,22
contraire,contraire,30
ou,ou,82
coupable,coupable,30
/?,/?,P
vous,vous,51
savez,savoir,17
que,que,83
mon,mon,73
âme,âme,22
est,être,17
à,à,81
vous,vous,51
depuis,depuis,81
le,le,71
jour,jour,21
où,où,60
vous,vous,51
avez,avoir,17
apporté,apporter,12
à,à,81
mon,mon,73
oncle,oncle,21
la,le,71
lettre,lettre,22
de,de,81
recommandation,recommandation,22
dans,dans,81
le,le,71
parloir,parloir,21
de,de,81
Richmond,Richmond,20
/.,/.,P
je,je,51
suis,être,17
de,de,81
la,le,71
race,race,22
de,de,81
ces,ce,74
Anglaises,Anglais,20
tendres,tendre,30
",",",",p
romanesques,romanesque,30
et,et,82
fières,fier,30
",",",",p
qui,qui,52
prennent,prendre,17
en,en,81
une,un,71
minute,minute,22
un,un,71
amour,amour,21
qui,qui,52
dure,durer,17
toute,tout,75
la,le,71
vie,vie,22
",",",",p
-,-,p
plus,plus,60
que,que,83
la,le,71
vie,vie,22
peut-être,peut-être,60
",",",",p
-,-,p
et,et,82
qui,qui,52
sait,savoir,17
aimer,aimer,14
sait,savoir,17
mourir,mourir,14
/.,/.,P
plongez,plonger,17
vos,votre,73
regards,regard,21
dans,dans,81
les,le,71
miens,mien,52
",",",",p
je,je,51
le,le,52
veux,vouloir,17
;,;,p
n',ne,60
essayez,essayer,17
pas,pas,60
de,de,81
baisser,baisser,14
la,le,71
paupière,paupière,22
",",",",p
ne,ne,60
vous,vous,51
détournez,détourner,17
pas,pas,60
",",",",p
ou,ou,82
je,je,51
penserai,penser,15
qu',que,83
un,un,71
gentleman,gentleman,21
qui,qui,52
ne,ne,60
doit,devoir,17
craindre,craindre,14
que,que,83
dieu,dieu,21
se,se,51
laisse,laisser,17
effrayer,effrayer,14
par,par,81
de,de,81
viles,vil,30
superstitions,superstition,22
/.,/.,P
fixez,fixer,17
sur,sur,81
moi,moi,51
cet,ce,74
oeil,oeil,21
que,que,83
vous,vous,51
croyez,croire,17
si,si,60
terrible,terrible,30
et,et,82
qui,qui,52
m',je,51
est,être,17
si,si,60
doux,doux,30
",",",",p
car,car,82
j',je,51
y,y,52
vois,voir,17
votre,votre,73
amour,amour,21
",",",",p
et,et,82
jugez,juger,17
si,si,83
vous,vous,51
me,je,51
trouvez,trouver,17
assez,assez,60
jolie,joli,30
encore,encore,60
pour,pour,81
me,je,51
mener,mener,14
",",",",p
quand,quand,83
nous,nous,51
serons,être,15
mariés,marier,12
",",",",p
promener,promener,14
à,à,81
Hyde-Park,Hyde Park,20
en,en,81
calèche,calèche,22
découverte,découvert,31
/.,/.,P
“,“,p
Paul,Paul,20
",",",",p
éperdu,éperdu,30
",",",",p
fixait,fixer,18
sur,sur,81
Alicia,Alicia,20
un,un,71
long,long,30
regard,regard,21
plein,plein,30
de,de,81
passion,passion,22
et,et,82
d',de,81
enthousiasme,enthousiasme,21
/.,/.,P
-,-,p
tout,tout,60
à,à,81
coup,coup,21
la,le,71
jeune,jeune,30
fille,fille,22
pâlit,pâlir,19
;,;,p
une,un,71
douleur,douleur,22
lancinante,lancinant,30
lui,lui,51
traversa,traverser,19
le,le,71
coeur,coeur,21
comme,comme,83
un,un,71
fer,fer,21
de,de,81
flèche,flèche,22
:,:,p
il,il,51
sembla,sembler,19
que,que,83
quelque,quelque,75
fibre,fibre,22
se,se,51
rompait,rompre,18
dans,dans,81
sa,son,73
poitrine,poitrine,22
",",",",p
et,et,82
elle,il,51
porta,porter,19
vivement,vivement,60
son,son,73
mouchoir,mouchoir,21
à,à,81
ses,son,73
lèvres,lèvre,22
/.,/.,P
une,un,71
goutte,goutte,22
rouge,rouge,30
tacha,tacher,19
la,le,71
fine,fin,30
batiste,batiste,22
",",",",p
qu',que,52
Alicia,Alicia,20
replia,replier,19
d',de,81
un,un,71
geste,geste,21
rapide,rapide,30
/.,/.,P
“,“,p
oh,oh,93
!,!,p
merci,merci,21
",",",",p
Paul,Paul,20
;,;,p
vous,vous,51
m',je,51
avez,avoir,17
rendue,rendre,12
bien,bien,60
heureuse,heureux,30
",",",",p
car,car,82
je,je,51
croyais,croire,18
que,que,83
vous,vous,51
ne,ne,60
m',je,51
aimiez,aimer,17
plus,plus,60
/!,/!,P
“,“,p
<X>,<>,<>
le,le,71
mouvement,mouvement,21
d',de,81
Alicia,Alicia,20
pour,pour,81
cacher,cacher,14
son,son,73
mouchoir,mouchoir,21
n',ne,60
avait,avoir,18
pu,pouvoir,12
être,être,14
si,si,60
prompt,prompt,30
que,que,83
monsieur,monsieur,21
d',de,81
Aspremont,Aspremont,20
ne,ne,60
l',le,52
aperçût,apercevoir,18
;,;,p
une,un,71
pâleur,pâleur,22
affreuse,affreux,30
couvrit,couvrir,19
les,le,71
traits,trait,21
de,de,81
Paul,Paul,20
",",",",p
car,car,82
une,un,71
preuve,preuve,22
irrécusable,irrécusable,30
de,de,81
son,son,73
fatal,fatal,30
pouvoir,pouvoir,21
venait,venir,18
de,de,81
lui,lui,51
être,être,14
donnée,donner,12
",",",",p
et,et,82
les,le,71
idées,idée,22
les,le,71
plus,plus,60
sinistres,sinistre,30
lui,lui,51
traversaient,traverser,18
la,le,71
cervelle,cervelle,22
;,;,p
la,le,71
pensée,pensée,22
du,de,81
du,le,71
suicide,suicide,21
se,se,51
présenta,présenter,19
même,même,60
à,à,81
lui,lui,51
;,;,p
n',ne,60
était,être,18
il,il,51
pas,pas,60
de,de,81
son,son,73
devoir,devoir,21
de,de,81
se,se,51
supprimer,supprimer,14
comme,comme,83
un,un,71
être,être,21
malfaisant,malfaisant,30
et,et,82
d',de,81
anéantir,anéantir,14
ainsi,ainsi,60
la,le,71
cause,cause,22
involontaire,involontaire,30
de,de,81
tant,tant,60
de,de,81
malheurs,malheur,21
/?,/?,P
il,il,51
eût,avoir,19
accepté,accepter,12
pour,pour,81
son,son,73
compte,compte,21
les,le,71
épreuves,épreuve,22
les,le,71
plus,plus,60
dures,dur,30
et,et,82
porté,porter,12
courageusement,courageusement,60
le,le,71
poids,poids,21
de,de,81
la,le,71
vie,vie,22
;,;,p
mais,mais,82
donner,donner,14
la,le,71
mort,mort,22
à,à,81
ce,ce,52
qu',que,52
il,il,51
aimait,aimer,18
le,le,71
mieux,mieux,60
au,à,81
au,le,71
monde,monde,21
",",",",p
n',ne,60
était,être,18
ce,ce,52
pas,pas,60
aussi,aussi,60
par,par,81
trop,trop,60
horrible,horrible,30
/?,/?,P
l',le,71
héroïque,héroïque,30
jeune,jeune,30
fille,fille,22
avait,avoir,18
dominé,dominer,12
la,le,71
sensation,sensation,22
de,de,81
douleur,douleur,22
",",",",p
suite,suite,22
du,de,81
du,le,71
regard,regard,21
de,de,81
Paul,Paul,20
",",",",p
et,et,82
qui,qui,52
coïncidait,coïncider,18
si,si,60
étrangement,étrangement,60
avec,avec,81
les,le,71
avis,avis,21
du,de,81
du,le,71
comte,comte,21
Altavilla,Altavilla,20
/.,/.,P
-,-,p
un,un,71
esprit,esprit,21
moins,moins,60
ferme,ferme,30
eût,avoir,19
pu,pouvoir,12
se,se,51
frapper,frapper,14
de,de,81
ce,ce,74
résultat,résultat,21
",",",",p
sinon,sinon,83
surnaturel,surnaturel,30
",",",",p
du,de,81
du,le,71
moins,moins,60
difficilement,difficilement,60
explicable,explicable,30
;,;,p
mais,mais,82
",",",",p
nous,nous,51
l',le,52
avons,avoir,17
dit,dire,12
",",",",p
l',le,71
âme,âme,22
d',de,81
Alicia,Alicia,20
était,être,18
religieuse,religieux,30
et,et,82
non,non,60
superstitieuse,superstitieux,30
/.,/.,P
sa,son,73
foi,foi,22
inébranlable,inébranlable,30
en,en,81
ce,ce,52
qu',que,52
il,il,51
faut,falloir,17
croire,croire,14
rejetait,rejeter,18
comme,comme,83
des,de,81
des,le,71
contes,conte,21
de,de,81
nourrice,nourrice,22
toutes,tout,75
ces,ce,74
histoires,histoire,22
d',de,81
influences,influence,22
mystérieuses,mystérieux,30
",",",",p
et,et,82
se,se,51
riait,rire,18
des,de,81
des,le,71
préjugés,préjugé,21
populaires,populaire,30
les,le,71
plus,plus,60
profondément,profondément,60
enracinés,enraciné,31
/.,/.,P
-,-,p
d',de,81
ailleurs,ailleurs,60
",",",",p
eût,avoir,19
elle,il,51
admis,admettre,12
la,le,71
jettature,jettature,92
comme,comme,83
réelle,réel,30
",",",",p
en,en,52
eût,avoir,19
elle,il,51
reconnu,reconnaître,12
chez,chez,81
Paul,Paul,20
les,le,71
signes,signe,21
évidents,évident,30
",",",",p
son,son,73
coeur,coeur,21
tendre,tendre,30
et,et,82
fier,fier,30
n',ne,60
aurait,avoir,16
pas,pas,60
hésité,hésiter,12
une,un,71
seconde,seconde,22
/.,/.,P
Paul,Paul,20
n',ne,60
avait,avoir,18
commis,commettre,12
aucune,aucun,75
action,action,22
où,où,60
la,le,71
susceptibilité,susceptibilité,22
la,le,71
plus,plus,60
délicate,délicat,30
pût,pouvoir,18
trouver,trouver,14
à,à,81
reprendre,reprendre,14
",",",",p
et,et,82
miss,miss,22
Ward,Ward,20
eût,avoir,19
préféré,préférer,12
tomber,tomber,14
morte,mort,31
sous,sous,81
ce,ce,74
regard,regard,21
",",",",p
prétendu,prétendu,31
si,si,60
funeste,funeste,30
",",",",p
à,à,81
reculer,reculer,14
devant,devant,81
un,un,71
amour,amour,21
accepté,accepté,31
par,par,81
elle,il,51
avec,avec,81
le,le,71
consentement,consentement,21
de,de,81
son,son,73
oncle,oncle,21
et,et,82
que,que,83
devait,devoir,18
couronner,couronner,14
bientôt,bientôt,60
le,le,71
mariage,mariage,21
/.,/.,P
miss,miss,22
Alicia,Alicia,20
Ward,Ward,20
ressemblait,ressembler,18
un,un,71
peu,peu,60
à,à,81
ces,ce,74
héroïnes,héroïne,22
de,de,81
Shakespeare,Shakespeare,20
chastement,chastement,60
hardies,hardi,30
",",",",p
virginalement,virginalement,60
résolues,résolu,31
",",",",p
dont,dont,52
l',le,71
amour,amour,21
subit,subit,30
n',ne,60
en,en,52
est,être,17
pas,pas,60
moins,moins,60
pur,pur,30
et,et,82
fidèle,fidèle,30
",",",",p
et,et,82
qu',que,83
une,un,71
seule,seul,30
minute,minute,22
lie,lier,17
pour,pour,81
toujours,toujours,60
;,;,p
sa,son,73
main,main,22
avait,avoir,18
pressé,presser,12
celle,celui,52
de,de,81
Paul,Paul,20
",",",",p
et,et,82
nul,nul,75
homme,homme,21
au,à,81
au,le,71
monde,monde,21
ne,ne,60
devait,devoir,18
plus,plus,60
l',le,52
enfermer,enfermer,14
dans,dans,81
ses,son,73
doigts,doigt,21
/.,/.,P
elle,il,51
regardait,regarder,18
sa,son,73
vie,vie,22
comme,comme,83
enchaînée,enchaîné,31
",",",",p
et,et,82
sa,son,73
pudeur,pudeur,22
se,se,51
fût,être,19
révoltée,révolter,12
à,à,81
l',le,71
idée,idée,22
seule,seul,30
d',de,81
un,un,71
autre,autre,75
hymen,hymen,21
/.,/.,P
elle,il,51
montra,montrer,19
donc,donc,82
une,un,71
gaieté,gaieté,22
réelle,réel,30
",",",",p
ou,ou,82
si,si,60
bien,bien,60
jouée,joué,31
qu',que,83
elle,il,51
eût,avoir,19
trompé,tromper,12
l',le,71
observateur,observateur,21
le,le,71
plus,plus,60
fin,fin,30
",",",",p
et,et,82
",",",",p
relevant,relever,13
Paul,Paul,20
",",",",p
toujours,toujours,60
à,à,81
genoux,genou,21
à,à,81
ses,son,73
pieds,pied,21
",",",",p
elle,il,51
le,le,52
promena,promener,19
à,à,81
travers,travers,21
les,le,71
allées,allée,22
obstruées,obstrué,31
de,de,81
fleurs,fleur,22
et,et,82
de,de,81
plantes,plante,22
de,de,81
son,son,73
jardin,jardin,21
inculte,inculte,30
",",",",p
jusqu',jusque,81
à,à,81
une,un,71
place,place,22
où,où,60
la,le,71
végétation,végétation,22
",",",",p
en,en,81
s',se,51
écartant,écarter,13
",",",",p
laissait,laisser,18
apercevoir,apercevoir,14
la,le,71
mer,mer,22
comme,comme,83
un,un,71
rêve,rêve,21
bleu,bleu,30
d',de,81
infini,infini,21
/.,/.,P
-,-,p
cette,ce,74
sérénité,sérénité,22
lumineuse,lumineux,30
dispersa,disperser,19
les,le,71
pensées,pensée,22
sombres,sombre,30
de,de,81
Paul,Paul,20
:,:,p
Alicia,Alicia,20
s',se,51
appuyait,appuyer,18
sur,sur,81
le,le,71
bras,bras,21
du,de,81
du,le,71
jeune,jeune,30
homme,homme,21
avec,avec,81
un,un,71
abandon,abandon,21
confiant,confiant,30
",",",",p
comme,comme,83
si,si,83
déjà,déjà,60
elle,il,51
eût,avoir,19
été,être,12
sa,son,73
femme,femme,22
/.,/.,P
par,par,81
cette,ce,74
pure,pur,30
et,et,82
muette,muet,30
caresse,caresse,22
",",",",p
insignifiante,insignifiant,30
de,de,81
la,le,71
part,part,22
de,de,81
toute,tout,75
autre,autre,52
",",",",p
décisive,décisif,30
de,de,81
la,le,71
sienne,sien,52
",",",",p
elle,il,51
se,se,51
donnait,donner,18
à,à,81
lui,lui,51
plus,plus,60
formellement,formellement,60
encore,encore,60
",",",",p
le,le,71
rassurant,rassurant,30
contre,contre,81
ses,son,73
terreurs,terreur,22
",",",",p
et,et,82
lui,lui,51
faisant,faire,13
comprendre,comprendre,14
combien,combien,60
peu,peu,60
la,le,52
touchaient,toucher,18
les,le,71
dangers,danger,21
dont,dont,52
on,on,51
la,le,52
menaçait,menacer,18
/.,/.,P
quoiqu',quoique,83
elle,il,51
eût,avoir,19
imposé,imposer,12
silence,silence,21
d'abord,d'abord,60
à,à,81
Vicè,Vicè,20
",",",",p
ensuite,ensuite,60
à,à,81
son,son,73
oncle,oncle,21
",",",",p
et,et,82
que,que,83
le,le,71
comte,comte,21
Altavilla,Altavilla,20
n',ne,60
eût,avoir,19
nommé,nommer,12
personne,personne,52
",",",",p
tout,tout,60
en,en,81
recommandant,recommander,13
de,de,81
se,se,51
préserver,préserver,14
d',de,81
une,un,71
influence,influence,22
mauvaise,mauvais,30
",",",",p
elle,il,51
avait,avoir,18
vite,vite,60
compris,comprendre,12
qu',que,83
il,il,51
s',se,51
agissait,agir,18
de,de,81
Paul,Paul,20
d',de,81
Aspremont,Aspremont,20
;,;,p
les,le,71
obscurs,obscur,30
discours,discours,21
du,de,81
du,le,71
beau,beau,30
Napolitain,Napolitain,20
ne,ne,60
pouvaient,pouvoir,18
faire,faire,14
allusion,allusion,22
qu',que,83
au,à,81
au,le,71
jeune,jeune,30
Français,Français,20
/.,/.,P
elle,il,51
avait,avoir,18
vu,voir,12
aussi,aussi,60
que,que,83
Paul,Paul,20
",",",",p
cédant,céder,13
au,à,81
au,le,71
préjugé,préjugé,21
si,si,60
répandu,répandu,31
à,à,81
Naples,Naples,20
",",",",p
qui,qui,52
fait,faire,17
un,un,71
jettatore,jettatore,92
de,de,81
tout,tout,75
homme,homme,21
d',de,81
une,un,71
physionomie,physionomie,22
un,un,71
peu,peu,60
singulière,singulier,30
",",",",p
se,se,51
croyait,croire,18
",",",",p
par,par,81
une,un,71
inconcevable,inconcevable,30
faiblesse,faiblesse,22
d',de,81
esprit,esprit,21
",",",",p
atteint,atteint,31
du,de,81
du,le,71
fascino,fascino,92
",",",",p
et,et,82
détournait,détourner,18
d',de,81
elle,il,51
ses,son,73
yeux,oeil,21
pleins,plein,30
d',de,81
amour,amour,21
",",",",p
de,de,81
peur,peur,22
de,de,81
lui,lui,51
nuire,nuire,14
par,par,81
un,un,71
regard,regard,21
;,;,p
pour,pour,81
combattre,combattre,14
ce,ce,74
commencement,commencement,21
d',de,81
idée,idée,22
fixe,fixe,30
",",",",p
elle,il,51
avait,avoir,18
provoqué,provoquer,12
la,le,71
scène,scène,22
que,que,52
nous,nous,51
venons,venir,17
de,de,81
décrire,décrire,14
",",",",p
et,et,82
dont,dont,52
