11697
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Soixante-septième extrait>,<>,<>
cette,ce,74
poussée,poussée,22
de,de,81
belle,beau,30
vie,vie,22
claire,clair,30
",",",",p
par,par,81
cette,ce,74
sève,sève,22
de,de,81
jeunesse,jeunesse,22
éclatant,éclater,13
en,en,81
elle,il,51
;,;,p
et,et,82
son,son,73
coeur,coeur,21
",",",",p
plein,plein,30
des,de,81
des,le,71
souvenirs,souvenir,21
de,de,81
sa,son,73
longue,long,30
liaison,liaison,22
avec,avec,81
la,le,71
comtesse,comtesse,22
",",",",p
trouvant,trouver,13
",",",",p
dans,dans,81
l',le,71
extraordinaire,extraordinaire,30
ressemblance,ressemblance,22
d',de,81
Annette,Annette,20
avec,avec,81
sa,son,73
mère,mère,22
",",",",p
un,un,71
rappel,rappel,21
d',de,81
émotions,émotion,22
anciennes,ancien,30
",",",",p
des,de,81
des,le,71
émotions,émotion,22
endormies,endormi,31
du,de,81
du,le,71
début,début,21
de,de,81
son,son,73
amour,amour,21
",",",",p
avait,avoir,18
peut-être,peut-être,60
un,un,71
peu,peu,60
tressailli,tressaillir,12
sous,sous,81
la,le,71
sensation,sensation,22
d',de,81
un,un,71
réveil,réveil,21
/.,/.,P
un,un,71
réveil,réveil,21
/?,/?,P
oui,oui,60
/?,/?,P
c',ce,52
était,être,18
cela,cela,52
/?,/?,P
cette,ce,74
idée,idée,22
l',le,52
illumina,illuminer,19
/.,/.,P
il,il,51
se,se,51
sentait,sentir,18
réveillé,réveillé,31
après,après,81
des,de,81
des,le,71
années,année,22
de,de,81
sommeil,sommeil,21
/.,/.,P
s',si,83
il,il,51
avait,avoir,18
aimé,aimer,12
la,le,71
petite,petite,22
sans,sans,81
s',se,51
en,en,52
douter,douter,14
",",",",p
il,il,51
aurait,avoir,16
éprouvé,éprouver,12
près,près,81
d',de,81
elle,il,51
ce,ce,74
rajeunissement,rajeunissement,21
de,de,81
l',le,71
être,être,21
entier,entier,30
",",",",p
qui,qui,52
crée,créer,17
un,un,71
homme,homme,21
différent,différent,30
dès,dès,81
que,que,83
s',se,51
allume,allumer,17
en,en,81
lui,lui,51
la,le,71
flamme,flamme,22
d',de,81
un,un,71
désir,désir,21
nouveau,nouveau,30
/.,/.,P
non,non,60
",",",",p
cette,ce,74
enfant,enfant,21
n',ne,60
avait,avoir,18
fait,faire,12
que,que,83
souffler,souffler,14
sur,sur,81
l',le,71
ancien,ancien,30
feu,feu,21
/!,/!,P
c',ce,52
était,être,18
bien,bien,60
toujours,toujours,60
la,le,71
mère,mère,22
qu',que,52
il,il,51
aimait,aimer,18
",",",",p
mais,mais,82
un,un,71
peu,peu,60
plus,plus,60
qu',que,83
auparavant,auparavant,60
sans,sans,81
doute,doute,21
",",",",p
à,à,81
cause,cause,22
de,de,81
sa,son,73
fille,fille,22
",",",",p
de,de,81
ce,ce,74
recommencement,recommencement,21
d',de,81
elle-même,lui-même,51
/.,/.,P
et,et,82
il,il,51
formula,formuler,19
cette,ce,74
constatation,constatation,22
par,par,81
ce,ce,74
sophisme,sophisme,21
rassurant,rassurant,30
:,:,p
“,“,p
on,on,51
n',ne,60
aime,aimer,17
qu',que,83
une,un,71
fois,fois,22
/!,/!,P
le,le,71
coeur,coeur,21
peut,pouvoir,17
s',se,51
émouvoir,émouvoir,14
souvent,souvent,60
à,à,81
la,le,71
rencontre,rencontre,22
d',de,81
un,un,71
autre,autre,52
être,être,14
",",",",p
car,car,82
chacun,chacun,52
exerce,exercer,17
sur,sur,81
chacun,chacun,52
des,de,81
des,le,71
attractions,attraction,22
et,et,82
des,de,81
des,le,71
répulsions,répulsion,22
/.,/.,P
toutes,tout,75
ces,ce,74
influences,influence,22
font,faire,17
naître,naître,14
l',le,71
amitié,amitié,22
",",",",p
les,le,71
caprices,caprice,21
",",",",p
les,le,71
envies,envie,22
de,de,81
possession,possession,22
",",",",p
des,de,81
des,le,71
ardeurs,ardeur,22
vives,vif,30
et,et,82
passagères,passager,30
",",",",p
mais,mais,82
non,non,60
pas,pas,60
de,de,81
l',le,71
amour,amour,21
véritable,véritable,30
/.,/.,P
pour,pour,81
qu',que,83
il,il,51
existe,exister,17
",",",",p
cet,ce,74
amour,amour,21
",",",",p
il,il,51
faut,falloir,17
que,que,83
les,le,71
deux,deux,72
êtres,être,21
soient,être,17
tellement,tellement,60
nés,naître,12
l',le,71
un,un,52
pour,pour,81
l',le,71
autre,autre,52
",",",",p
se,se,51
trouvent,trouver,17
accrochés,accroché,31
l',le,71
un,un,52
à,à,81
l',le,71
autre,autre,52
par,par,81
tant,tant,60
de,de,81
points,point,21
",",",",p
par,par,81
tant,tant,60
de,de,81
goûts,goût,21
pareils,pareil,30
",",",",p
par,par,81
tant,tant,60
d',de,81
affinités,affinité,22
de,de,81
la,le,71
chair,chair,22
",",",",p
de,de,81
l',le,71
esprit,esprit,21
",",",",p
du,de,81
du,le,71
caractère,caractère,21
",",",",p
se,se,51
sentent,sentir,17
liés,lié,31
par,par,81
tant,tant,60
de,de,81
choses,chose,22
de,de,81
toute,tout,75
nature,nature,22
",",",",p
que,que,83
cela,cela,52
forme,former,17
un,un,71
faisceau,faisceau,21
d',de,81
attaches,attache,22
/.,/.,P
ce,ce,52
qu',que,52
on,on,51
aime,aimer,17
",",",",p
en,en,81
somme,somme,22
",",",",p
ce,ce,52
n',ne,60
est,être,17
pas,pas,60
tant,tant,60
madame,madame,22
X.,X,20
…,…,p
ou,ou,82
monsieur,monsieur,21
Z.,Z,20
…,…,p
c',ce,52
est,être,17
une,un,71
femme,femme,22
ou,ou,82
un,un,71
homme,homme,21
",",",",p
une,un,71
créature,créature,22
sans,sans,81
nom,nom,21
",",",",p
sortie,sorti,31
de,de,81
la,le,71
nature,nature,22
",",",",p
cette,ce,74
grande,grand,30
femelle,femelle,22
",",",",p
avec,avec,81
des,de,81
des,le,71
organes,organe,21
",",",",p
une,un,71
forme,forme,22
",",",",p
un,un,71
coeur,coeur,21
",",",",p
un,un,71
esprit,esprit,21
",",",",p
une,un,71
manière,manière,22
d',de,81
être,être,14
générale,général,30
qui,qui,52
attirent,attirer,17
comme,comme,83
un,un,71
aimant,aimant,21
nos,notre,73
organes,organe,21
",",",",p
nos,notre,73
yeux,oeil,21
",",",",p
nos,notre,73
lèvres,lèvre,22
",",",",p
notre,notre,73
coeur,coeur,21
",",",",p
notre,notre,73
pensée,pensée,22
",",",",p
tous,tout,75
nos,notre,73
appétits,appétit,21
sensuels,sensuel,30
et,et,82
intelligents,intelligent,30
/.,/.,P
on,on,51
aime,aimer,17
un,un,71
type,type,21
",",",",p
c'est-à-dire,c'est-à-dire,91
la,le,71
réunion,réunion,22
",",",",p
dans,dans,81
une,un,71
seule,seul,30
personne,personne,22
",",",",p
de,de,81
toutes,tout,75
les,le,71
qualités,qualité,22
humaines,humain,30
qui,qui,52
peuvent,pouvoir,17
nous,nous,51
séduire,séduire,14
isolément,isolément,60
dans,dans,81
les,le,71
autres,autre,52
/.,/.,P
“,“,p
pour,pour,81
lui,lui,51
",",",",p
la,le,71
comtesse,comtesse,22
de,de,81
Guilleroy,Guilleroy,20
avait,avoir,18
été,être,12
ce,ce,74
type,type,21
",",",",p
et,et,82
la,le,71
durée,durée,22
de,de,81
leur,leur,73
liaison,liaison,22
",",",",p
dont,dont,52
il,il,51
ne,ne,60
se,se,51
lassait,lasser,18
pas,pas,60
",",",",p
le,le,71
lui,lui,51
prouvait,prouver,18
d',de,81
une,un,71
façon,façon,22
certaine,certain,30
/.,/.,P
or,or,82
Annette,Annette,20
ressemblait,ressembler,18
physiquement,physiquement,60
à,à,81
ce,ce,52
qu',que,52
avait,avoir,18
été,être,12
sa,son,73
mère,mère,22
",",",",p
au,à,81
au,le,71
point,point,21
de,de,81
tromper,tromper,14
les,le,71
yeux,oeil,21
/.,/.,P
il,il,51
n',ne,60
y,y,52
avait,avoir,18
donc,donc,82
rien,rien,52
d',de,81
étonnant,étonnant,30
à,à,81
ce,ce,52
que,que,52
son,son,73
coeur,coeur,21
d',de,81
homme,homme,21
se,se,51
laissât,laisser,18
un,un,71
peu,peu,60
surprendre,surprendre,14
",",",",p
sans,sans,81
se,se,51
laisser,laisser,14
entraîner,entraîner,14
/.,/.,P
il,il,51
avait,avoir,18
adoré,adorer,12
une,un,71
femme,femme,22
/!,/!,P
une,un,71
autre,autre,75
femme,femme,22
naissait,naître,18
d',de,81
elle,il,51
",",",",p
presque,presque,60
pareille,pareil,30
/.,/.,P
il,il,51
ne,ne,60
pouvait,pouvoir,18
vraiment,vraiment,60
se,se,51
défendre,défendre,14
de,de,81
reporter,reporter,14
sur,sur,81
la,le,71
seconde,second,72
un,un,71
léger,léger,30
reste,reste,21
affectueux,affectueux,30
de,de,81
l',le,71
attachement,attachement,21
passionné,passionné,31
qu',que,52
il,il,51
avait,avoir,18
eu,avoir,12
pour,pour,81
la,le,71
première,premier,72
/.,/.,P
il,il,51
n',ne,60
y,y,52
avait,avoir,18
là,là,60
rien,rien,52
de,de,81
mal,mal,30
;,;,p
il,il,51
n',ne,60
y,y,52
avait,avoir,18
là,là,60
aucun,aucun,75
danger,danger,21
/.,/.,P
son,son,73
regard,regard,21
et,et,82
son,son,73
souvenir,souvenir,21
se,se,51
laissaient,laisser,18
seuls,seul,30
illusionner,illusionner,14
par,par,81
cette,ce,74
apparence,apparence,22
de,de,81
résurrection,résurrection,22
;,;,p
mais,mais,82
son,son,73
instinct,instinct,21
ne,ne,60
s',se,51
égarait,égarer,18
pas,pas,60
",",",",p
car,car,82
il,il,51
n',ne,60
avait,avoir,18
jamais,jamais,60
éprouvé,éprouver,12
pour,pour,81
la,le,71
jeune,jeune,30
fille,fille,22
le,le,71
moindre,moindre,30
trouble,trouble,21
de,de,81
désir,désir,21
/.,/.,P
cependant,cependant,82
la,le,71
comtesse,comtesse,22
lui,lui,51
reprochait,reprocher,18
d',de,81
être,être,14
jaloux,jaloux,30
du,de,81
du,le,71
marquis,marquis,21
/.,/.,P
était,être,18
ce,ce,52
vrai,vrai,30
/?,/?,P
il,il,51
fit,faire,19
de,de,81
nouveau,nouveau,21
un,un,71
examen,examen,21
de,de,81
conscience,conscience,22
sévère,sévère,30
et,et,82
constata,constater,19
qu',que,83
en,en,81
réalité,réalité,22
il,il,51
en,en,52
était,être,18
un,un,71
peu,peu,60
jaloux,jaloux,30
/.,/.,P
quoi,quoi,52
d',de,81
étonnant,étonnant,30
à,à,81
cela,cela,52
",",",",p
après,après,81
tout,tout,52
/?,/?,P
n',ne,60
est,être,17
on,on,51
pas,pas,60
jaloux,jaloux,30
à,à,81
chaque,chaque,75
instant,instant,21
d',de,81
hommes,homme,21
qui,qui,52
font,faire,17
la,le,71
cour,cour,22
à,à,81
n',ne,60
importe,importer,17
quelle,quel,75
femme,femme,22
/?,/?,P
n',ne,60
éprouve,éprouver,17
t,t,94
on,on,51
pas,pas,60
dans,dans,81
la,le,71
rue,rue,22
",",",",p
au,à,81
au,le,71
restaurant,restaurant,21
",",",",p
au,à,81
au,le,71
théâtre,théâtre,21
",",",",p
une,un,71
petite,petit,30
inimitié,inimitié,22
contre,contre,81
le,le,71
monsieur,monsieur,21
qui,qui,52
passe,passer,17
ou,ou,82
qui,qui,52
entre,entrer,17
avec,avec,81
une,un,71
belle,beau,30
fille,fille,22
au,à,81
au,le,71
bras,bras,21
/?,/?,P
tout,tout,75
possesseur,possesseur,21
de,de,81
femme,femme,22
est,être,17
un,un,71
rival,rival,21
/.,/.,P
c',ce,52
est,être,17
un,un,71
mâle,mâle,21
satisfait,satisfait,31
",",",",p
un,un,71
vainqueur,vainqueur,21
que,que,52
les,le,71
autres,autre,75
mâles,mâle,21
envient,envier,17
et,et,82
puis,puis,60
",",",",p
sans,sans,81
entrer,entrer,14
dans,dans,81
ces,ce,74
considérations,considération,22
de,de,81
physiologie,physiologie,22
",",",",p
s',si,83
il,il,51
était,être,18
normal,normal,30
qu',que,83
il,il,51
eût,avoir,19
pour,pour,81
Annette,Annette,20
une,un,71
sympathie,sympathie,22
un,un,71
peu,peu,60
surexcitée,surexcité,31
par,par,81
sa,son,73
tendresse,tendresse,22
pour,pour,81
la,le,71
mère,mère,22
",",",",p
ne,ne,60
devenait,devenir,18
il,il,51
pas,pas,60
naturel,naturel,30
qu',que,83
il,il,51
sentît,sentir,18
en,en,81
lui,lui,51
s',se,51
éveiller,éveiller,14
un,un,71
peu,peu,60
de,de,81
haine,haine,22
animale,animal,30
contre,contre,81
le,le,71
mari,mari,21
futur,futur,30
/?,/?,P
il,il,51
dompterait,dompter,16
sans,sans,81
peine,peine,22
ce,ce,74
vilain,vilain,30
sentiment,sentiment,21
/.,/.,P
au,à,81
au,le,71
fond,fond,21
de,de,81
lui,lui,51
",",",",p
cependant,cependant,82
",",",",p
demeurait,demeurer,18
une,un,71
aigreur,aigreur,22
de,de,81
mécontentement,mécontentement,21
contre,contre,81
lui-même,lui-même,51
et,et,82
contre,contre,81
la,le,71
comtesse,comtesse,22
/.,/.,P
leurs,leur,73
rapports,rapport,21
de,de,81
chaque,chaque,75
jour,jour,21
n',ne,60
allaient,aller,18
ils,ils,51
pas,pas,60
être,être,14
gênés,gêner,12
par,par,81
la,le,71
suspicion,suspicion,22
qu',que,52
il,il,51
sentirait,sentir,16
en,en,81
elle,il,51
/?,/?,P
ne,ne,60
devrait,devoir,16
il,il,51
pas,pas,60
veiller,veiller,14
",",",",p
avec,avec,81
une,un,71
attention,attention,22
scrupuleuse,scrupuleux,30
et,et,82
fatigante,fatigant,30
",",",",p
sur,sur,81
toutes,tout,75
ses,son,73
paroles,parole,22
",",",",p
sur,sur,81
tous,tout,75
ses,son,73
actes,acte,21
",",",",p
sur,sur,81
ses,son,73
regards,regard,21
",",",",p
sur,sur,81
ses,son,73
moindres,moindre,30
attitudes,attitude,22
vis-à-vis,vis-à-vis,60
de,de,81
la,le,71
jeune,jeune,30
fille,fille,22
",",",",p
car,car,82
tout,tout,52
ce,ce,52
qu',que,52
il,il,51
ferait,faire,16
",",",",p
tout,tout,52
ce,ce,52
qu',que,52
il,il,51
dirait,dire,16
",",",",p
allait,aller,18
devenir,devenir,14
suspect,suspect,30
à,à,81
la,le,71
mère,mère,22
/.,/.,P
il,il,51
rentra,rentrer,19
chez,chez,81
lui,lui,51
grincheux,grincheux,30
et,et,82
se,se,51
mit,mettre,19
à,à,81
fumer,fumer,14
des,de,81
des,le,71
cigarettes,cigarette,22
",",",",p
avec,avec,81
une,un,71
vivacité,vivacité,22
d',de,81
homme,homme,21
agacé,agacé,31
qui,qui,52
use,user,17
dix,dix,72
allumettes,allumette,22
pour,pour,81
mettre,mettre,14
le,le,71
feu,feu,21
à,à,81
son,son,73
tabac,tabac,21
/.,/.,P
il,il,51
essaya,essayer,19
en,en,81
vain,vain,30
de,de,81
travailler,travailler,14
/.,/.,P
sa,son,73
main,main,22
",",",",p
son,son,73
oeil,oeil,21
et,et,82
son,son,73
esprit,esprit,21
semblaient,sembler,18
déshabitués,déshabitué,31
de,de,81
la,le,71
peinture,peinture,22
",",",",p
comme,comme,83
s',si,83
ils,ils,51
l',le,52
eussent,avoir,18
oubliée,oublier,12
",",",",p
comme,comme,83
si,si,83
jamais,jamais,60
ils,ils,51
n',ne,60
avaient,avoir,18
connu,connaître,12
et,et,82
pratiqué,pratiquer,12
ce,ce,74
métier,métier,21
/.,/.,P
il,il,51
avait,avoir,18
pris,prendre,12
",",",",p
pour,pour,81
la,le,52
finir,finir,14
",",",",p
une,un,71
petite,petit,30
toile,toile,22
commencée,commencé,31
:,:,p
-,-,p
un,un,71
coin,coin,21
de,de,81
rue,rue,22
où,où,60
chantait,chanter,18
un,un,71
aveugle,aveugle,21
",",",",p
-,-,p
et,et,82
il,il,51
la,le,52
regardait,regarder,18
avec,avec,81
une,un,71
indifférence,indifférence,22
invincible,invincible,30
",",",",p
avec,avec,81
une,un,71
telle,tel,75
impuissance,impuissance,22
à,à,81
la,le,52
continuer,continuer,14
qu',que,83
il,il,51
s',se,51
assit,asseoir,19
devant,devant,81
",",",",p
sa,son,73
palette,palette,22
à,à,81
la,le,71
main,main,22
",",",",p
et,et,82
l',le,52
oublia,oublier,19
",",",",p
tout,tout,60
en,en,81
continuant,continuer,13
à,à,81
la,le,52
contempler,contempler,14
avec,avec,81
une,un,71
fixité,fixité,22
attentive,attentif,30
et,et,82
distraite,distrait,31
/.,/.,P
puis,puis,60
",",",",p
soudain,soudain,60
",",",",p
l',le,71
impatience,impatience,22
du,de,81
du,le,71
temps,temps,21
qui,qui,52
ne,ne,60
marchait,marcher,18
pas,pas,60
",",",",p
des,de,81
des,le,71
interminables,interminable,30
minutes,minute,22
",",",",p
commença,commencer,19
à,à,81
le,le,52
ronger,ronger,14
de,de,81
sa,son,73
fièvre,fièvre,22
intolérable,intolérable,30
/.,/.,P
jusqu',jusque,81
à,à,81
son,son,73
dîner,dîner,21
",",",",p
qu',que,52
il,il,51
prendrait,prendre,16
au,à,81
au,le,71
Cercle,Cercle,20
",",",",p
que,que,52
ferait,faire,16
il,il,51
puisqu',puisque,83
il,il,51
ne,ne,60
pouvait,pouvoir,18
travailler,travailler,14
/?,/?,P
l',le,71
idée,idée,22
de,de,81
la,le,71
rue,rue,22
le,le,52
fatiguait,fatiguer,18
d',de,81
avance,avance,22
",",",",p
l',le,52
emplissait,emplir,18
du,de,81
du,le,71
dégoût,dégoût,21
des,de,81
des,le,71
trottoirs,trottoir,21
",",",",p
des,de,81
des,le,71
passants,passant,21
",",",",p
des,de,81
des,le,71
voitures,voiture,22
et,et,82
des,de,81
des,le,71
boutiques,boutique,22
;,;,p
et,et,82
la,le,71
pensée,pensée,22
de,de,81
faire,faire,14
des,de,81
des,le,71
visites,visite,22
ce,ce,74
jour,jour,21
là,là,60
",",",",p
une,un,71
visite,visite,22
",",",",p
à,à,81
n',ne,60
importe,importer,17
qui,qui,52
",",",",p
fit,faire,19
surgir,surgir,14
en,en,81
lui,lui,51
la,le,71
haine,haine,22
instantanée,instantané,30
de,de,81
toutes,tout,75
les,le,71
gens,gens,21
qu',que,52
il,il,51
connaissait,connaître,18
/.,/.,P
alors,alors,60
",",",",p
que,que,52
ferait,faire,16
il,il,51
/?,/?,P
il,il,51
circulerait,circuler,16
dans,dans,81
son,son,73
atelier,atelier,21
de,de,81
long,long,21
en,en,81
large,large,21
",",",",p
en,en,81
regardant,regarder,13
à,à,81
chaque,chaque,75
retour,retour,21
vers,vers,81
la,le,71
pendule,pendule,22
l',le,71
aiguille,aiguille,22
déplacée,déplacé,31
de,de,81
quelques,quelque,75
secondes,seconde,22
/?,/?,P
ah,ah,93
!,!,p
il,il,51
les,le,52
connaissait,connaître,18
ces,ce,74
voyages,voyage,21
de,de,81
la,le,71
porte,porte,22
au,à,81
au,le,71
bahut,bahut,21
chargé,chargé,31
de,de,81
bibelots,bibelot,21
/!,/!,P
aux,à,81
aux,le,71
heures,heure,22
de,de,81
verve,verve,22
",",",",p
d',de,81
élan,élan,21
",",",",p
d',de,81
entrain,entrain,21
",",",",p
d',de,81
exécution,exécution,22
féconde,fécond,30
et,et,82
facile,facile,30
",",",",p
c',ce,52
étaient,être,18
des,de,81
des,le,71
récréations,récréation,22
délicieuses,délicieux,30
",",",",p
ces,ce,74
allées,allée,22
et,et,82
venues,venue,22
à,à,81
travers,travers,21
la,le,71
grande,grand,30
pièce,pièce,22
égayée,égayé,31
",",",",p
animée,animé,31
",",",",p
échauffée,échauffé,31
par,par,81
le,le,71
travail,travail,21
;,;,p
mais,mais,82
",",",",p
aux,à,81
aux,le,71
heures,heure,22
d',de,81
impuissance,impuissance,22
et,et,82
de,de,81
nausée,nausée,22
",",",",p
aux,à,81
aux,le,71
heures,heure,22
misérables,misérable,30
où,où,60
rien,rien,52
ne,ne,60
lui,lui,51
paraissait,paraître,18
valoir,valoir,14
la,le,71
peine,peine,22
d',de,81
un,un,71
effort,effort,21
et,et,82
d',de,81
un,un,71
mouvement,mouvement,21
",",",",p
c',ce,52
était,être,18
la,le,71
promenade,promenade,22
abominable,abominable,30
du,de,81
du,le,71
prisonnier,prisonnier,21
dans,dans,81
son,son,73
cachot,cachot,21
/.,/.,P
si,si,83
seulement,seulement,60
il,il,51
avait,avoir,18
pu,pouvoir,12
dormir,dormir,14
",",",",p
rien,rien,52
qu',que,83
une,un,71
heure,heure,22
",",",",p
sur,sur,81
son,son,73
divan,divan,21
/.,/.,P
mais,mais,82
non,non,60
",",",",p
il,il,51
ne,ne,60
dormirait,dormir,16
pas,pas,60
",",",",p
il,il,51
s',se,51
agiterait,agiter,16
jusqu',jusque,81
à,à,81
trembler,trembler,14
d',de,81
exaspération,exaspération,22
/.,/.,P
d',de,81
où,où,60
lui,lui,51
venait,venir,18
donc,donc,82
cette,ce,74
subite,subit,30
attaque,attaque,22
d',de,81
humeur,humeur,22
noire,noir,30
/?,/?,P
il,il,51
pensa,penser,19
:,:,p
je,je,51
deviens,devenir,17
rudement,rudement,60
nerveux,nerveux,30
pour,pour,81
me,je,51
mettre,mettre,14
dans,dans,81
un,un,71
pareil,pareil,30
état,état,21
sur,sur,81
une,un,71
cause,cause,22
insignifiante,insignifiant,30
/.,/.,P
alors,alors,60
",",",",p
il,il,51
songea,songer,19
à,à,81
prendre,prendre,14
un,un,71
livre,livre,21
/.,/.,P
le,le,71
volume,volume,21
de,de,81
la,le,71
légende,légende,22
des,de,81
des,le,71
siècles,siècle,21
était,être,18
demeuré,demeurer,12
sur,sur,81
la,le,71
chaise,chaise,22
de,de,81
fer,fer,21
où,où,60
Annette,Annette,20
l',le,52
avait,avoir,18
posé,poser,12
/.,/.,P
il,il,51
l',le,52
ouvrit,ouvrir,19
",",",",p
lut,lire,19
deux,deux,72
pages,page,22
de,de,81
vers,vers,21
et,et,82
ne,ne,60
les,le,52
comprit,comprendre,19
pas,pas,60
/.,/.,P
il,il,51
ne,ne,60
les,le,52
comprit,comprendre,19
pas,pas,60
plus,plus,60
que,que,83
s',si,83
ils,ils,51
avaient,avoir,18
été,être,12
écrits,écrire,12
dans,dans,81
une,un,71
langue,langue,22
étrangère,étranger,30
/.,/.,P
il,il,51
s',se,51
acharna,acharner,19
et,et,82
recommença,recommencer,19
pour,pour,81
constater,constater,14
toujours,toujours,60
que,que,83
vraiment,vraiment,60
il,il,51
n',ne,60
en,en,52
pénétrait,pénétrer,18
point,point,60
le,le,71
sens,sens,21
/.,/.,P
“,“,p
allons,aller,17
",",",",p
se,se,51
dit,dire,19
il,il,51
",",",",p
il,il,51
paraît,paraître,17
que,que,83
je,je,51
suis,être,17
sorti,sortir,12
/.,/.,P
“,“,p
mais,mais,82
une,un,71
inspiration,inspiration,22
soudaine,soudain,30
le,le,52
rassura,rassurer,19
sur,sur,81
les,le,71
deux,deux,72
heures,heure,22
qu',que,52
il,il,51
lui,lui,51
fallait,falloir,18
émietter,émietter,14
jusqu',jusque,81
au,à,81
au,le,71
dîner,dîner,21
/.,/.,P
il,il,51
se,se,51
fit,faire,19
chauffer,chauffer,14
un,un,71
bain,bain,21
et,et,82
y,y,52
demeura,demeurer,19
étendu,étendu,31
",",",",p
amolli,amolli,31
",",",",p
soulagé,soulagé,31
par,par,81
l',le,71
eau,eau,22
tiède,tiède,30
",",",",p
jusqu',jusque,81
au,à,81
au,le,71
moment,moment,21
où,où,60
son,son,73
valet,valet,21
de,de,81
chambre,chambre,22
apportant,apporter,13
le,le,71
linge,linge,21
le,le,52
