11516
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Quatre-vingt-unième extrait>,<>,<>
",",",",p
incomplets,incomplet,30
",",",",p
que,que,52
les,le,71
physiologistes,physiologiste,21
observent,observer,17
chez,chez,81
les,le,71
êtres,être,21
ruinés,ruiné,31
par,par,81
les,le,71
chagrins,chagrin,21
/.,/.,P
en,en,81
reconnaissant,reconnaître,13
alors,alors,60
les,le,71
symptômes,symptôme,21
d',de,81
un,un,71
profond,profond,30
abattement,abattement,21
chez,chez,81
son,son,73
client,client,21
",",",",p
Derville,Derville,20
lui,lui,51
dit,dire,19
:,:,p
prenez,prendre,17
courage,courage,21
",",",",p
la,le,71
solution,solution,22
de,de,81
cette,ce,74
affaire,affaire,22
ne,ne,60
peut,pouvoir,17
que,que,83
vous,vous,51
être,être,14
favorable,favorable,30
/.,/.,P
seulement,seulement,60
",",",",p
examinez,examiner,17
si,si,83
vous,vous,51
pouvez,pouvoir,17
me,je,51
donner,donner,14
toute,tout,75
votre,votre,73
confiance,confiance,22
",",",",p
et,et,82
accepter,accepter,14
aveuglément,aveuglément,60
le,le,71
résultat,résultat,21
que,que,52
je,je,51
croirai,croire,15
le,le,71
meilleur,meilleur,30
pour,pour,81
vous,vous,51
/.,/.,P
-,-,p
faites,faire,17
comme,comme,83
vous,vous,51
voudrez,vouloir,15
",",",",p
dit,dire,19
Chabert,Chabert,20
/.,/.,P
-,-,p
oui,oui,60
",",",",p
mais,mais,82
vous,vous,51
vous,vous,51
abandonnez,abandonner,17
à,à,81
moi,moi,51
comme,comme,83
un,un,71
homme,homme,21
qui,qui,52
marche,marcher,17
à,à,81
la,le,71
mort,mort,22
/?,/?,P
-,-,p
ne,ne,60
vais,aller,17
je,je,51
pas,pas,60
rester,rester,14
sans,sans,81
état,état,21
",",",",p
sans,sans,81
nom,nom,21
/?,/?,P
est,être,17
ce,ce,52
tolérable,tolérable,30
/?,/?,P
-,-,p
je,je,51
ne,ne,60
l',le,52
entends,entendre,17
pas,pas,60
ainsi,ainsi,60
",",",",p
dit,dire,19
l',le,71
avoué,avoué,21
/.,/.,P
nous,nous,51
poursuivrons,poursuivre,15
à,à,81
l',le,71
amiable,amiable,30
un,un,71
jugement,jugement,21
pour,pour,81
annuler,annuler,14
votre,votre,73
acte,acte,21
de,de,81
décès,décès,21
et,et,82
votre,votre,73
mariage,mariage,21
",",",",p
afin,afin,81
que,que,83
vous,vous,51
repreniez,reprendre,17
vos,votre,73
droits,droit,21
/.,/.,P
vous,vous,51
serez,être,15
même,même,60
",",",",p
par,par,81
l',le,71
influence,influence,22
du,de,81
du,le,71
comte,comte,21
Ferraud,Ferraud,20
",",",",p
porté,porter,12
sur,sur,81
les,le,71
cadres,cadre,21
de,de,81
l',le,71
armée,armée,22
comme,comme,83
général,général,21
",",",",p
et,et,82
vous,vous,51
obtiendrez,obtenir,15
sans,sans,81
doute,doute,21
une,un,71
pension,pension,22
/.,/.,P
-,-,p
allez,aller,17
donc,donc,82
!,!,p
répondit,répondre,19
Chabert,Chabert,20
",",",",p
je,je,51
me,je,51
fie,fier,17
entièrement,entièrement,60
à,à,81
vous,vous,51
/.,/.,P
-,-,p
je,je,51
vous,vous,51
enverrai,envoyer,15
donc,donc,82
une,un,71
procuration,procuration,22
à,à,81
signer,signer,14
",",",",p
dit,dire,19
Derville,Derville,20
/.,/.,P
adieu,adieu,21
",",",",p
bon,bon,30
courage,courage,21
/!,/!,P
s',si,83
il,il,51
vous,vous,51
faut,falloir,17
de,de,81
l',le,71
argent,argent,21
",",",",p
comptez,compter,17
sur,sur,81
moi,moi,51
/.,/.,P
Chabert,Chabert,20
serra,serrer,19
chaleureusement,chaleureusement,60
la,le,71
main,main,22
de,de,81
Derville,Derville,20
",",",",p
et,et,82
resta,rester,19
le,le,71
dos,dos,21
appuyé,appuyé,31
contre,contre,81
la,le,71
muraille,muraille,22
",",",",p
sans,sans,81
avoir,avoir,14
la,le,71
force,force,22
de,de,81
le,le,52
suivre,suivre,14
autrement,autrement,60
que,que,83
des,de,81
des,le,71
yeux,oeil,21
/.,/.,P
comme,comme,83
tous,tout,75
les,le,71
gens,gens,21
qui,qui,52
comprennent,comprendre,17
peu,peu,60
les,le,71
affaires,affaire,22
judiciaires,judiciaire,30
",",",",p
il,il,51
s',se,51
effrayait,effrayer,18
de,de,81
cette,ce,74
lutte,lutte,22
imprévue,imprévu,30
/.,/.,P
pendant,pendant,81
cette,ce,74
conférence,conférence,22
",",",",p
à,à,81
plusieurs,plusieurs,75
reprises,reprise,22
",",",",p
il,il,51
s',se,51
était,être,18
avancé,avancer,12
",",",",p
hors,hors,81
d',de,81
un,un,71
pilastre,pilastre,21
de,de,81
la,le,71
porte,porte,22
cochère,cocher,30
",",",",p
la,le,71
figure,figure,22
d',de,81
un,un,71
homme,homme,21
posté,posté,31
dans,dans,81
la,le,71
rue,rue,22
pour,pour,81
guetter,guetter,14
la,le,71
sortie,sortie,22
de,de,81
Derville,Derville,20
",",",",p
et,et,82
qui,qui,52
l',le,52
accosta,accoster,19
quand,quand,83
il,il,51
sortit,sortir,19
/.,/.,P
c',ce,52
était,être,18
un,un,71
vieil,vieux,30
homme,homme,21
vêtu,vêtu,31
d',de,81
une,un,71
veste,veste,22
bleue,bleu,30
",",",",p
d',de,81
une,un,71
cotte,cotte,22
blanche,blanc,30
plissée,plissé,31
semblable,semblable,30
à,à,81
celle,celui,52
des,de,81
des,le,71
brasseurs,brasseur,21
",",",",p
et,et,82
qui,qui,52
portait,porter,18
sur,sur,81
la,le,71
tête,tête,22
une,un,71
casquette,casquette,22
de,de,81
loutre,loutre,22
/.,/.,P
sa,son,73
figure,figure,22
était,être,18
brune,brun,30
",",",",p
creusée,creuser,12
",",",",p
ridée,rider,12
",",",",p
mais,mais,82
rougie,rougir,12
sur,sur,81
les,le,71
pommettes,pommette,22
par,par,81
l',le,71
excès,excès,21
du,de,81
du,le,71
travail,travail,21
et,et,82
halée,haler,12
par,par,81
le,le,71
grand,grand,30
air,air,21
/.,/.,P
excusez,excuser,17
",",",",p
monsieur,monsieur,21
",",",",p
dit,dire,19
il,il,51
à,à,81
Derville,Derville,20
en,en,81
l',le,52
arrêtant,arrêter,13
par,par,81
le,le,71
bras,bras,21
",",",",p
si,si,83
je,je,51
prends,prendre,17
la,le,71
liberté,liberté,22
de,de,81
vous,vous,51
parler,parler,14
",",",",p
mais,mais,82
je,je,51
me,je,51
suis,être,17
douté,douter,12
",",",",p
en,en,81
vous,vous,51
voyant,voir,13
",",",",p
que,que,83
vous,vous,51
étiez,être,18
l',le,71
ami,ami,21
de,de,81
notre,notre,73
général,général,21
/.,/.,P
-,-,p
eh,eh,93
bien,bien,60
?,?,p
dit,dire,19
Derville,Derville,20
",",",",p
en,en,81
quoi,quoi,52
vous,vous,51
intéressez,intéresser,17
vous,vous,51
à,à,81
lui,lui,51
/?,/?,P
mais,mais,82
qui,qui,52
êtes,être,17
vous,vous,51
?,?,p
reprit,reprendre,19
le,le,71
défiant,défiant,30
avoué,avoué,21
/.,/.,P
-,-,p
je,je,51
suis,être,17
Louis,Louis,20
Vergniaud,Vergniaud,20
",",",",p
répondit,répondre,19
il,il,51
d'abord,d'abord,60
/.,/.,P
et,et,82
j',je,51
aurais,avoir,16
deux,deux,72
mots,mot,21
à,à,81
vous,vous,51
dire,dire,14
/.,/.,P
-,-,p
et,et,82
c',ce,52
est,être,17
vous,vous,51
qui,qui,52
avez,avoir,17
logé,loger,12
le,le,71
comte,comte,21
Chabert,Chabert,20
comme,comme,83
il,il,51
l',le,52
est,être,17
/?,/?,P
-,-,p
pardon,pardon,21
",",",",p
excuse,excuse,22
",",",",p
monsieur,monsieur,21
",",",",p
il,il,51
a,avoir,17
la,le,71
plus,plus,60
belle,beau,30
chambre,chambre,22
/.,/.,P
je,je,51
lui,lui,51
aurais,avoir,16
donné,donner,12
la,le,71
mienne,mien,52
",",",",p
si,si,83
je,je,51
n',ne,60
en,en,52
avais,avoir,18
eu,avoir,12
qu',que,83
une,un,52
/.,/.,P
j',je,51
aurais,avoir,16
couché,coucher,12
dans,dans,81
l',le,71
écurie,écurie,22
/.,/.,P
un,un,71
homme,homme,21
qui,qui,52
a,avoir,17
souffert,souffrir,12
comme,comme,83
lui,lui,51
",",",",p
qui,qui,52
apprend,apprendre,17
à,à,81
lire,lire,14
à,à,81
mes,mon,73
mioches,mioche,21
",",",",p
un,un,71
général,général,21
",",",",p
un,un,71
égyptien,égyptien,30
",",",",p
le,le,71
premier,premier,72
lieutenant,lieutenant,21
sous,sous,81
lequel,lequel,52
j',je,51
ai,avoir,17
servi,servir,12
…,…,p
faudrait,falloir,16
voir,voir,14
/?,/?,P
du,de,81
du,le,71
tout,tout,21
",",",",p
il,il,51
est,être,17
le,le,71
mieux,mieux,60
logé,loger,12
/.,/.,P
j',je,51
ai,avoir,17
partagé,partager,12
avec,avec,81
lui,lui,51
ce,ce,52
que,que,52
j',je,51
avais,avoir,18
/.,/.,P
malheureusement,malheureusement,60
ce,ce,52
n',ne,60
était,être,18
pas,pas,60
grand-chose,grand-chose,22
",",",",p
du,de,81
du,le,71
pain,pain,21
",",",",p
du,de,81
du,le,71
lait,lait,21
",",",",p
des,de,81
des,le,71
oeufs,oeuf,21
;,;,p
enfin,enfin,60
à,à,81
la,le,71
guerre,guerre,22
comme,comme,83
à,à,81
la,le,71
guerre,guerre,22
/!,/!,P
c',ce,52
est,être,17
de,de,81
bon,bon,30
coeur,coeur,21
/.,/.,P
mais,mais,82
il,il,51
nous,nous,51
a,avoir,17
vexés,vexer,12
/.,/.,P
-,-,p
lui,lui,51
/?,/?,P
-,-,p
oui,oui,60
",",",",p
monsieur,monsieur,21
",",",",p
vexés,vexé,31
",",",",p
là,là,60
ce,ce,52
qui,qui,52
s',se,51
appelle,appeler,17
en,en,81
plein,plein,81
/.,/.,P
j',je,51
ai,avoir,17
pris,prendre,12
un,un,71
établissement,établissement,21
au-dessus,au-dessus,60
de,de,81
mes,mon,73
forces,force,22
",",",",p
il,il,51
le,le,52
voyait,voir,18
bien,bien,60
/.,/.,P
ça,ça,52
vous,vous,51
le,le,52
contrariait,contrarier,18
",",",",p
et,et,82
il,il,51
pansait,panser,18
le,le,71
cheval,cheval,21
/!,/!,P
je,je,51
lui,lui,51
dis,dire,19
:,:,p
mais,mais,82
",",",",p
mon,mon,73
général,général,21
/?,/?,P
-,-,p
bah,bah,93
!,!,p
qui,qui,52
dit,dire,17
",",",",p
je,je,51
ne,ne,60
veux,vouloir,17
pas,pas,60
être,être,14
comme,comme,83
un,un,71
fainéant,fainéant,21
",",",",p
et,et,82
il,il,51
y,y,52
a,avoir,17
longtemps,longtemps,60
que,que,83
je,je,51
sais,savoir,17
brosser,brosser,14
le,le,71
lapin,lapin,21
/.,/.,P
j',je,51
avais,avoir,18
donc,donc,82
fait,faire,12
des,de,81
des,le,71
billets,billet,21
pour,pour,81
le,le,71
prix,prix,21
de,de,81
ma,mon,73
vacherie,vacherie,22
à,à,81
un,un,71
nommé,nommé,31
Grados,Grados,20
/…,/…,P
le,le,52
connaissez,connaître,17
vous,vous,51
",",",",p
monsieur,monsieur,21
/?,/?,P
-,-,p
mais,mais,82
",",",",p
mon,mon,73
cher,cher,30
",",",",p
je,je,51
n',ne,60
ai,avoir,17
pas,pas,60
le,le,71
temps,temps,21
de,de,81
vous,vous,51
écouter,écouter,14
/.,/.,P
seulement,seulement,60
dites,dire,17
moi,moi,51
comment,comment,60
le,le,71
colonel,colonel,21
vous,vous,51
a,avoir,17
vexes,vexer,17
/!,/!,P
-,-,p
il,il,51
nous,nous,51
a,avoir,17
vexés,vexer,12
",",",",p
monsieur,monsieur,21
",",",",p
aussi,aussi,60
vrai,vrai,30
que,que,83
je,je,51
m',je,51
appelle,appeler,17
Louis,Louis,20
Vergniaud,Vergniaud,20
et,et,82
que,que,83
ma,mon,73
femme,femme,22
en,en,52
a,avoir,17
pleuré,pleurer,12
/.,/.,P
il,il,51
a,avoir,17
su,savoir,12
par,par,81
les,le,71
voisins,voisin,21
que,que,83
nous,nous,51
n',ne,60
avions,avoir,18
pas,pas,60
le,le,71
premier,premier,72
sou,sou,21
de,de,81
notre,notre,73
billet,billet,21
/.,/.,P
le,le,71
vieux,vieux,30
grognard,grognard,21
",",",",p
sans,sans,81
rien,rien,52
dire,dire,14
",",",",p
a,avoir,17
amassé,amasser,12
tout,tout,52
ce,ce,52
que,que,52
vous,vous,51
lui,lui,51
donniez,donner,18
",",",",p
a,avoir,17
guetté,guetter,12
le,le,71
billet,billet,21
et,et,82
l',le,52
a,avoir,17
payé,payer,12
/.,/.,P
c'te,ce,74
malice,malice,22
/!,/!,P
que,que,52
ma,mon,73
femme,femme,22
et,et,82
moi,moi,51
nous,nous,51
savions,savoir,18
qu',que,83
il,il,51
n',ne,60
avait,avoir,18
pas,pas,60
de,de,81
tabac,tabac,21
",",",",p
ce,ce,74
pauvre,pauvre,30
vieux,vieux,21
",",",",p
et,et,82
qu',que,83
il,il,51
s',se,51
en,en,52
passait,passer,18
/!,/!,P
oh,oh,93
!,!,p
maintenant,maintenant,60
",",",",p
tous,tout,75
les,le,71
matins,matin,21
il,il,51
a,avoir,17
ses,son,73
cigares,cigare,21
/!,/!,P
je,je,51
me,je,51
vendrais,vendre,16
plutôt,plutôt,60
/…,/…,P
non,non,60
!,!,p
nous,nous,51
sommes,être,17
vexés,vexer,12
/.,/.,P
donc,donc,82
",",",",p
je,je,51
voudrais,vouloir,16
vous,vous,51
proposer,proposer,14
de,de,81
nous,nous,51
prêter,prêter,14
",",",",p
vu,vu,81
qu',que,83
il,il,51
nous,nous,51
a,avoir,17
dit,dire,12
que,que,83
vous,vous,51
étiez,être,18
un,un,71
brave,brave,30
homme,homme,21
",",",",p
une,un,71
centaine,centaine,22
d',de,81
écus,écu,21
sur,sur,81
notre,notre,73
établissement,établissement,21
",",",",p
afin,afin,81
que,que,83
nous,nous,51
lui,lui,51
fassions,faire,17
faire,faire,14
des,de,81
des,le,71
habits,habit,21
",",",",p
que,que,83
nous,nous,51
lui,lui,51
meublions,meubler,17
sa,son,73
chambre,chambre,22
/.,/.,P
il,il,51
a,avoir,17
cru,croire,12
nous,nous,51
acquitter,acquitter,14
",",",",p
pas,pas,60
vrai,vrai,60
/?,/?,P
eh,eh,93
bien,bien,60
",",",",p
au,à,81
au,le,71
contraire,contraire,21
",",",",p
voyez,voir,17
vous,vous,51
",",",",p
l',le,71
ancien,ancien,21
nous,nous,51
a,avoir,17
endettés,endetter,12
…,…,p
et,et,82
vexés,vexer,12
/!,/!,P
il,il,51
ne,ne,60
devait,devoir,18
pas,pas,60
nous,nous,51
faire,faire,14
cette,ce,74
avanie,avanie,22
là,là,60
/.,/.,P
il,il,51
nous,nous,51
a,avoir,17
vexés,vexer,12
!,!,p
et,et,82
des,de,81
des,le,71
amis,ami,21
",",",",p
encore,encore,60
/!,/!,P
foi,foi,22
d',de,81
honnête,honnête,30
homme,homme,21
",",",",p
aussi,aussi,60
vrai,vrai,30
que,que,83
je,je,51
m',je,51
appelle,appeler,17
Louis,Louis,20
Vergniaud,Vergniaud,20
",",",",p
je,je,51
m',je,51
engagerais,engager,16
plutôt,plutôt,60
que,que,83
de,de,81
ne,ne,60
pas,pas,60
vous,vous,51
rendre,rendre,14
cet,ce,74
argent,argent,21
là,là,60
/…,/…,P
Derville,Derville,20
regarda,regarder,19
le,le,71
nourrisseur,nourrisseur,21
",",",",p
et,et,82
fit,faire,19
quelques,quelque,75
pas,pas,21
en,en,81
arrière,arrière,21
pour,pour,81
revoir,revoir,14
la,le,71
maison,maison,22
",",",",p
la,le,71
cour,cour,22
",",",",p
les,le,71
fumiers,fumier,21
",",",",p
l',le,71
étable,étable,22
",",",",p
les,le,71
lapins,lapin,21
",",",",p
les,le,71
enfants,enfant,21
/.,/.,P
par,par,81
ma,mon,73
foi,foi,22
",",",",p
je,je,51
crois,croire,17
qu',que,83
un,un,52
des,de,81
des,le,71
caractères,caractère,21
de,de,81
la,le,71
vertu,vertu,22
est,être,17
de,de,81
ne,ne,60
pas,pas,60
être,être,14
propriétaire,propriétaire,30
",",",",p
se,se,51
dit,dire,19
il,il,51
/.,/.,P
va,aller,17
",",",",p
tu,tu,51
auras,avoir,15
tes,ton,73
cent,cent,72
écus,écu,21
!,!,p
et,et,82
plus,plus,60
même,même,60
/.,/.,P
mais,mais,82
ce,ce,52
ne,ne,60
sera,être,15
pas,pas,60
moi,moi,51
qui,qui,52
te,tu,51
les,le,52
donnerai,donner,15
",",",",p
le,le,71
colonel,colonel,21
sera,être,15
bien,bien,60
assez,assez,60
riche,riche,30
pour,pour,81
t',tu,51
aider,aider,14
",",",",p
et,et,82
je,je,51
ne,ne,60
veux,vouloir,17
pas,pas,60
lui,lui,51
en,en,52
ôter,ôter,14
le,le,71
plaisir,plaisir,21
/.,/.,P
-,-,p
ce,ce,52
sera,être,15
t,t,94
il,il,51
bientôt,bientôt,60
/?,/?,P
-,-,p
mais,mais,82
oui,oui,60
/.,/.,P
-,-,p
ah,ah,93
!,!,p
mon,mon,73
dieu,dieu,21
",",",",p
que,que,52
mon,mon,73
épouse,épouse,22
va,aller,17
t,t,94
être,être,14
contente,content,30
/!,/!,P
et,et,82
la,le,71
figure,figure,22
tannée,tanné,31
du,de,81
du,le,71
nourrisseur,nourrisseur,21
sembla,sembler,19
s',se,51
épanouir,épanouir,14
/.,/.,P
maintenant,maintenant,60
",",",",p
se,se,51
dit,dire,19
Derville,Derville,20
en,en,81
remontant,remonter,13
dans,dans,81
son,son,73
cabriolet,cabriolet,21
",",",",p
allons,aller,17
chez,chez,81
notre,notre,73
adversaire,adversaire,21
/.,/.,P
ne,ne,60
laissons,laisser,17
pas,pas,60
voir,voir,14
notre,notre,73
jeu,jeu,21
",",",",p
tâchons,tâcher,17
de,de,81
connaître,connaître,14
le,le,71
sien,sien,52
",",",",p
et,et,82
gagnons,gagner,17
la,le,71
partie,partie,22
d',de,81
un,un,71
seul,seul,30
coup,coup,21
/.,/.,P
il,il,51
faudrait,falloir,16
l',le,52
effrayer,effrayer,14
/?,/?,P
elle,il,51
est,être,17
femme,femme,22
/.,/.,P
de,de,81
quoi,quoi,52
s',se,51
effraient,effrayer,17
le,le,71
plus,plus,60
les,le,71
femmes,femme,22
/?,/?,P
mais,mais,82
les,le,71
femmes,femme,22
ne,ne,60
s',se,51
effraient,effrayer,17
que,que,83
de,de,81
/…,/…,P
il,il,51
se,se,51
mit,mettre,19
à,à,81
étudier,étudier,14
la,le,71
position,position,22
de,de,81
la,le,71
comtesse,comtesse,22
",",",",p
et,et,82
tomba,tomber,19
dans,dans,81
une,un,52
de,de,81
ces,ce,74
méditations,méditation,22
auxquelles,à,81
auxquelles,lequel,52
se,se,51
livrent,livrer,17
les,le,71
grands,grand,30
politiques,politique,21
en,en,81
concevant,concevoir,13
leurs,leur,73
plans,plan,21
",",",",p
en,en,81
tâchant,tâcher,13
de,de,81
deviner,deviner,14
le,le,71
secret,secret,21
des,de,81
des,le,71
cabinets,cabinet,21
ennemis,ennemi,30
/.,/.,P
les,le,71
avoués,avoué,21
ne,ne,60
sont,être,17
ils,ils,51
pas,pas,60
en,en,81
quelque,quelque,75
sorte,sorte,22
des,de,81
des,le,71
hommes,homme,21
d',de,81
Etat,état,21
chargés,chargé,31
des,de,81
des,le,71
affaires,affaire,22
privées,privé,31
/?,/?,P
un,un,71
coup,coup,21
d',de,81
oeil,oeil,21
jeté,jeté,31
sur,sur,81
la,le,71
situation,situation,22
de,de,81
monsieur,monsieur,21
le,le,71
comte,comte,21
Ferraud,Ferraud,20
et,et,82
de,de,81
sa,son,73
femme,femme,22
est,être,17
ici,ici,60
nécessaire,nécessaire,30
pour,pour,81
faire,faire,14
comprendre,comprendre,14
le,le,71
génie,génie,21
de,de,81
l',le,71
avoué,avoué,21
/.,/.,P
monsieur,monsieur,21
le,le,71
comte,comte,21
Ferraud,Ferraud,20
était,être,18
le,le,71
fils,fils,21
d',de,81
un,un,71
ancien,ancien,30
conseiller,conseiller,21
au,à,81
au,le,71
Parlement,parlement,21
de,de,81
Paris,Paris,20
",",",",p
qui,qui,52
avait,avoir,18
émigré,émigrer,12
pendant,pendant,81
le,le,71
temps,temps,21
de,de,81
la,le,71
terreur,terreur,22
",",",",p
et,et,82
qui,qui,52
",",",",p
s',si,83
il,il,51
sauva,sauver,19
sa,son,73
tête,tête,22
",",",",p
perdit,perdre,19
sa,son,73
fortune,fortune,22
/.,/.,P
il,il,51
rentra,rentrer,19
sous,sous,81
le,le,71
Consulat,Consulat,20
et,et,82
resta,rester,19
constamment,constamment,60
fidèle,fidèle,30
aux,à,81
aux,le,71
intérêts,intérêt,21
de,de,81
Louis XVIII,Louis XVIII,20
",",",",p
dans,dans,81
les,le,71
entours,entour,21
duquel,de,81
duquel,lequel,52
était,être,18
son,son,73
père,père,21
avant,avant,81
la,le,71
révolution,révolution,22
/.,/.,P
il,il,51
appartenait,appartenir,18
donc,donc,82
à,à,81
cette,ce,74
partie,partie,22
du,de,81
du,le,71
faubourg,faubourg,21
Saint-Germain,Saint-Germain,20
qui,qui,52
résista,résister,19
noblement,noblement,60
aux,à,81
aux,le,71
séductions,séduction,22
de,de,81
Napoléon,Napoléon,20
/.,/.,P
la,le,71
réputation,réputation,22
de,de,81
capacité,capacité,22
que,que,52
se,se,51
fit,faire,19
le,le,71
jeune,jeune,30
comte,comte,21
",",",",p
alors,alors,60
simplement,simplement,60
appelé,appelé,31
monsieur,monsieur,21
Ferraud,Ferraud,20
",",",",p
le,le,52
rendit,rendre,19
l',le,71
objet,objet,21
des,de,81
des,le,71
coquetteries,coquetterie,22
de,de,81
l',le,71
empereur,empereur,21
",",",",p
qui,qui,52
souvent,souvent,60
était,être,18
aussi,aussi,60
heureux,heureux,30
de,de,81
ses,son,73
conquêtes,conquête,22
sur,sur,81
l',le,71
aristocratie,aristocratie,22
que,que,83
du,de,81
du,le,71
gain,gain,21
d',de,81
une,un,71
bataille,bataille,22
/.,/.,P
on,on,51
promit,promettre,19
au,à,81
au,le,71
comte,comte,21
la,le,71
restitution,restitution,22
de,de,81
son,son,73
titre,titre,21
",",",",p
celle,celui,52
de,de,81
ses,son,73
biens,bien,21
non,non,60
vendus,vendu,31
",",",",p
on,on,51
lui,lui,51
montra,montrer,19
dans,dans,81
le,le,71
lointain,lointain,21
un,un,71
ministère,ministère,21
",",",",p
une,un,71
sénatorerie,sénatorerie,22
/.,/.,P
l',le,71
empereur,empereur,21
échoua,échouer,19
/.,/.,P
monsieur,monsieur,21
Ferraud,Ferraud,20
était,être,18
",",",",p
lors,lors,60
de,de,81
la,le,71
mort,mort,22
du,de,81
du,le,71
comte,comte,21
Chabert,Chabert,20
",",",",p
un,un,71
jeune,jeune,30
homme,homme,21
de,de,81
vingt,vingt,72
six,six,72
ans,an,21
",",",",p
sans,sans,81
fortune,fortune,22
",",",",p
doué,doué,31
de,de,81
formes,forme,22
agréables,agréable,30
",",",",p
qui,qui,52
avait,avoir,18
des,de,81
des,le,71
succès,succès,21
et,et,82
que,que,52
le,le,71
faubourg,faubourg,21
Saint-Germain,Saint-Germain,20
avait,avoir,18
adopté,adopter,12
comme,comme,83
une,un,52
de,de,81
ses,son,73
gloires,gloire,22
;,;,p
mais,mais,82
madame,madame,22
la,le,71
comtesse,comtesse,22
Chabert,Chabert,20
avait,avoir,18
su,savoir,12
tirer,tirer,14
un,un,71
si,si,60
