11738
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Soixante-dix-septième extrait>,<>,<>
agonie,agonie,22
ou,ou,82
saveur,saveur,22
de,de,81
sève,sève,22
qui,qui,52
renaît,renaître,17
/.,/.,P
en,en,81
franchissant,franchir,13
le,le,71
seuil,seuil,21
du,de,81
du,le,71
Bain Turc,Bain Turc,20
",",",",p
la,le,71
pensée,pensée,22
de,de,81
la,le,71
chaleur,chaleur,22
dont,dont,52
il,il,51
allait,aller,18
pénétrer,pénétrer,14
sa,son,73
chair,chair,22
après,après,81
ce,ce,74
passage,passage,21
dans,dans,81
l',le,71
air,air,21
glacé,glacé,31
des,de,81
des,le,71
rues,rue,22
fit,faire,19
tressaillir,tressaillir,14
le,le,71
coeur,coeur,21
triste,triste,30
d',de,81
Olivier,Olivier,20
d',de,81
un,un,71
frisson,frisson,21
de,de,81
satisfaction,satisfaction,22
/.,/.,P
il,il,51
se,se,51
dévêtit,dévêtir,19
avec,avec,81
prestesse,prestesse,22
",",",",p
roula,rouler,19
autour,autour,60
de,de,81
sa,son,73
taille,taille,22
l',le,71
écharpe,écharpe,22
légère,léger,30
qu',que,52
un,un,71
garçon,garçon,21
lui,lui,51
tendait,tendre,18
et,et,82
disparut,disparaître,19
derrière,derrière,81
la,le,71
porte,porte,22
capitonnée,capitonné,31
ouverte,ouvert,31
devant,devant,81
lui,lui,51
/.,/.,P
un,un,71
souffle,souffle,21
chaud,chaud,30
",",",",p
oppressant,oppressant,30
",",",",p
qui,qui,52
semblait,sembler,18
venir,venir,14
d',de,81
un,un,71
foyer,foyer,21
lointain,lointain,30
",",",",p
le,le,52
fit,faire,19
respirer,respirer,14
comme,comme,83
s',si,83
il,il,51
eût,avoir,19
manqué,manquer,12
d',de,81
air,air,21
en,en,81
traversant,traverser,13
une,un,71
galerie,galerie,22
mauresque,mauresque,30
",",",",p
éclairée,éclairé,31
par,par,81
deux,deux,72
lanternes,lanterne,22
orientales,oriental,30
/.,/.,P
puis,puis,60
un,un,71
nègre,nègre,21
crépu,crépu,30
",",",",p
vêtu,vêtu,31
seulement,seulement,60
d',de,81
une,un,71
ceinture,ceinture,22
",",",",p
le,le,71
torse,torse,21
luisant,luisant,30
",",",",p
les,le,71
membres,membre,21
musculeux,musculeux,30
",",",",p
s',se,51
élança,élancer,19
devant,devant,81
lui,lui,51
pour,pour,81
soulever,soulever,14
une,un,71
portière,portière,22
à,à,81
l',le,71
autre,autre,75
extrémité,extrémité,22
",",",",p
et,et,82
Bertin,Bertin,20
pénétra,pénétrer,19
dans,dans,81
la,le,71
grande,grand,30
étuve,étuve,22
",",",",p
ronde,rond,30
",",",",p
élevée,élevé,31
",",",",p
silencieuse,silencieux,30
",",",",p
presque,presque,60
mystique,mystique,30
comme,comme,83
un,un,71
temple,temple,21
/.,/.,P
le,le,71
jour,jour,21
tombait,tomber,18
d',de,81
en,en,81
haut,haut,21
",",",",p
par,par,81
la,le,71
coupole,coupole,22
et,et,82
par,par,81
des,de,81
des,le,71
trèfles,trèfle,21
en,en,81
verres,verre,21
colorés,coloré,31
",",",",p
dans,dans,81
l',le,71
immense,immense,30
salle,salle,22
circulaire,circulaire,30
et,et,82
dallée,dallé,31
",",",",p
aux,à,81
aux,le,71
murs,mur,21
couverts,couvert,31
de,de,81
faïences,faïence,22
décorées,décoré,31
à,à,81
la,le,71
mode,mode,22
arabe,arabe,30
/.,/.,P
des,de,81
des,le,71
hommes,homme,21
de,de,81
tout,tout,75
âge,âge,21
",",",",p
presque,presque,60
nus,nu,30
",",",",p
marchaient,marcher,18
lentement,lentement,60
",",",",p
à,à,81
pas,pas,21
graves,grave,30
",",",",p
sans,sans,81
parler,parler,14
;,;,p
d',de,81
autres,autre,52
étaient,être,18
assis,asseoir,12
sur,sur,81
des,de,81
des,le,71
banquettes,banquette,22
de,de,81
marbre,marbre,21
",",",",p
les,le,71
bras,bras,21
croisés,croisé,31
;,;,p
d',de,81
autres,autre,52
causaient,causer,18
à,à,81
voix,voix,22
basse,bas,30
/.,/.,P
l',le,71
air,air,21
brûlant,brûlant,30
faisait,faire,18
haleter,haleter,14
dès,dès,81
l',le,71
entrée,entrée,22
/.,/.,P
il,il,51
y,y,52
avait,avoir,18
là-dedans,là-dedans,60
",",",",p
dans,dans,81
ce,ce,74
cirque,cirque,21
étouffant,étouffant,30
et,et,82
décoratif,décoratif,30
",",",",p
où,où,60
l',l',94
on,on,51
chauffait,chauffer,18
de,de,81
la,le,71
chair,chair,22
humaine,humain,30
",",",",p
où,où,60
circulaient,circuler,18
des,de,81
des,le,71
masseurs,masseur,21
noirs,noir,30
et,et,82
maures,maure,30
aux,à,81
aux,le,71
jambes,jambe,22
cuivrées,cuivré,31
",",",",p
quelque,quelque,75
chose,chose,22
d',de,81
antique,antique,30
et,et,82
de,de,81
mystérieux,mystérieux,30
/.,/.,P
la,le,71
première,premier,72
figure,figure,22
aperçue,aperçu,31
par,par,81
le,le,71
peintre,peintre,21
fut,être,19
celle,celui,52
du,de,81
du,le,71
comte,comte,21
de,de,81
Landa,Landa,20
/.,/.,P
il,il,51
circulait,circuler,18
comme,comme,83
un,un,71
lutteur,lutteur,21
romain,romain,30
",",",",p
fier,fier,30
de,de,81
son,son,73
énorme,énorme,30
poitrine,poitrine,22
et,et,82
de,de,81
ses,son,73
gros,gros,30
bras,bras,21
croisés,croisé,31
dessus,dessus,60
/.,/.,P
habitué,habitué,21
des,de,81
des,le,71
étuves,étuve,22
",",",",p
il,il,51
s',se,51
y,y,52
croyait,croire,18
sur,sur,81
la,le,71
scène,scène,22
comme,comme,83
un,un,71
acteur,acteur,21
applaudi,applaudi,31
",",",",p
et,et,82
il,il,51
y,y,52
jugeait,juger,18
en,en,81
expert,expert,21
la,le,71
musculature,musculature,22
discutée,discuté,31
de,de,81
tous,tout,75
les,le,71
hommes,homme,21
forts,fort,30
de,de,81
Paris,Paris,20
/.,/.,P
“,“,p
bonjour,bonjour,21
",",",",p
Bertin,Bertin,20
“,“,p
",",",",p
dit,dire,19
il,il,51
/.,/.,P
ils,ils,51
se,se,51
serrèrent,serrer,19
la,le,71
main,main,22
;,;,p
puis,puis,60
Landa,Landa,20
reprit,reprendre,19
:,:,p
“,“,p
hein,hein,93
",",",",p
bon,bon,30
temps,temps,21
pour,pour,81
la,le,71
sudation,sudation,22
/.,/.,P
-,-,p
oui,oui,60
",",",",p
magnifique,magnifique,30
/.,/.,P
-,-,p
vous,vous,51
avez,avoir,17
vu,voir,12
Rocdiane,Rocdiane,20
/?,/?,P
il,il,51
est,être,17
là-bas,là-bas,60
/.,/.,P
j',je,51
ai,avoir,17
été,être,12
le,le,52
prendre,prendre,14
au,à,81
au,le,71
saut,saut,21
du,de,81
du,le,71
lit,lit,21
/.,/.,P
oh,oh,93
!,!,p
regardez,regarder,17
moi,moi,51
cette,ce,74
anatomie,anatomie,22
/!,/!,P
un,un,71
petit,petit,30
monsieur,monsieur,21
passait,passer,18
",",",",p
aux,à,81
aux,le,71
jambes,jambe,22
cagneuses,cagneux,30
",",",",p
aux,à,81
aux,le,71
bras,bras,21
grêles,grêle,30
",",",",p
au,à,81
au,le,71
flanc,flanc,21
maigre,maigre,30
",",",",p
qui,qui,52
fit,faire,19
sourire,sourire,14
de,de,81
dédain,dédain,21
ces,ce,74
deux,deux,72
vieux,vieux,30
modèles,modèle,21
de,de,81
la,le,71
vigueur,vigueur,22
humaine,humain,30
/.,/.,P
Rocdiane,Rocdiane,20
venait,venir,18
vers,vers,81
eux,ils,51
",",",",p
ayant,avoir,13
aperçu,apercevoir,12
le,le,71
peintre,peintre,21
/.,/.,P
ils,ils,51
s',se,51
assirent,asseoir,19
sur,sur,81
une,un,71
longue,long,30
table,table,22
de,de,81
marbre,marbre,21
et,et,82
se,se,51
mirent,mettre,19
à,à,81
causer,causer,14
comme,comme,83
dans,dans,81
un,un,71
salon,salon,21
/.,/.,P
des,de,81
des,le,71
garçons,garçon,21
de,de,81
service,service,21
circulaient,circuler,18
",",",",p
offrant,offrir,13
à,à,81
boire,boire,14
/.,/.,P
on,on,51
entendait,entendre,18
retentir,retentir,14
les,le,71
claques,claque,22
des,de,81
des,le,71
masseurs,masseur,21
sur,sur,81
la,le,71
chair,chair,22
nue,nu,30
et,et,82
le,le,71
jet,jet,21
subit,subit,30
des,de,81
des,le,71
douches,douche,22
/.,/.,P
un,un,71
clapotis,clapotis,21
d',de,81
eau,eau,22
continu,continu,30
",",",",p
parti,parti,31
de,de,81
tous,tout,75
les,le,71
coins,coin,21
du,de,81
du,le,71
grand,grand,30
amphithéâtre,amphithéâtre,21
",",",",p
l',le,52
emplissait,emplir,18
aussi,aussi,60
d',de,81
un,un,71
bruit,bruit,21
léger,léger,30
de,de,81
pluie,pluie,22
/.,/.,P
à,à,81
tout,tout,75
moment,moment,21
un,un,71
nouveau,nouveau,30
venu,venu,21
saluait,saluer,18
les,le,71
trois,trois,72
amis,ami,21
",",",",p
ou,ou,82
s',se,51
approchait,approcher,18
pour,pour,81
leur,leur,52
serrer,serrer,14
la,le,71
main,main,22
/.,/.,P
c',ce,52
étaient,être,18
le,le,71
gros,gros,30
duc,duc,21
d',de,81
Harisson,Harisson,20
",",",",p
le,le,71
petit,petit,30
prince,prince,21
Epilati,Epilati,20
",",",",p
le,le,71
baron,baron,21
Flach,Flach,20
et,et,82
d',de,81
autres,autre,52
/.,/.,P
Rocdiane,Rocdiane,20
dit,dire,17
tout,tout,60
à,à,81
coup,coup,21
:,:,p
“,“,p
tiens,tenir,17
",",",",p
Farandal,Farandal,20
/!,/!,P
le,le,71
marquis,marquis,21
entrait,entrer,18
",",",",p
les,le,71
mains,main,22
sur,sur,81
les,le,71
hanches,hanche,22
",",",",p
marchant,marcher,13
avec,avec,81
cette,ce,74
aisance,aisance,22
des,de,81
des,le,71
hommes,homme,21
très,très,60
bien,bien,60
faits,faire,12
que,que,83
rien,rien,52
ne,ne,60
gêne,gêner,17
/.,/.,P
Landa,Landa,20
murmura,murmurer,19
:,:,p
“,“,p
c',ce,52
est,être,17
un,un,71
gladiateur,gladiateur,21
",",",",p
ce,ce,74
gaillard,gaillard,21
là,là,60
/!,/!,P
Rocdiane,Rocdiane,20
reprit,reprendre,19
",",",",p
se,se,51
tournant,tourner,13
vers,vers,81
Bertin,Bertin,20
:,:,p
“,“,p
est,être,17
ce,ce,52
vrai,vrai,30
qu',que,83
il,il,51
épouse,épouser,17
la,le,71
fille,fille,22
de,de,81
vos,votre,73
amis,ami,21
/?,/?,P
je,je,51
le,le,52
pense,penser,17
“,“,p
",",",",p
dit,dire,17
le,le,71
peintre,peintre,21
/.,/.,P
mais,mais,82
cette,ce,74
question,question,22
",",",",p
en,en,81
face,face,22
de,de,81
cet,ce,74
homme,homme,21
",",",",p
en,en,81
ce,ce,74
moment,moment,21
",",",",p
en,en,81
cet,ce,74
endroit,endroit,21
",",",",p
fit,faire,19
passer,passer,14
dans,dans,81
le,le,71
coeur,coeur,21
d',de,81
Olivier,Olivier,20
une,un,71
affreuse,affreux,30
secousse,secousse,22
de,de,81
désespoir,désespoir,21
et,et,82
de,de,81
révolte,révolte,22
/.,/.,P
l',le,71
horreur,horreur,22
de,de,81
toutes,tout,75
les,le,71
réalités,réalité,22
entrevues,entrevu,31
lui,lui,51
apparut,apparaître,19
en,en,81
une,un,71
seconde,seconde,22
avec,avec,81
une,un,71
telle,tel,75
acuité,acuité,22
",",",",p
qu',que,83
il,il,51
lutta,lutter,19
pendant,pendant,81
quelques,quelque,75
instants,instant,21
contre,contre,81
une,un,71
envie,envie,22
animale,animal,30
de,de,81
se,se,51
jeter,jeter,14
sur,sur,81
le,le,71
marquis,marquis,21
/.,/.,P
puis,puis,60
il,il,51
se,se,51
leva,lever,19
/.,/.,P
“,“,p
je,je,51
suis,être,17
fatigué,fatiguer,12
",",",",p
dit,dire,19
il,il,51
/.,/.,P
je,je,51
vais,aller,17
tout,tout,60
de,de,81
suite,suite,22
au,à,81
au,le,71
massage,massage,21
/.,/.,P
“,“,p
un,un,71
Arabe,Arabe,20
passait,passer,18
/.,/.,P
“,“,p
Ahmed,Ahmed,20
",",",",p
es,être,17
tu,tu,51
libre,libre,30
/?,/?,P
oui,oui,60
",",",",p
monsieur,monsieur,21
Bertin,Bertin,20
/.,/.,P
“,“,p
et,et,82
il,il,51
partit,partir,19
à,à,81
pas,pas,21
pressés,pressé,31
afin,afin,81
d',de,81
éviter,éviter,14
la,le,71
poignée,poignée,22
de,de,81
main,main,22
de,de,81
Farandal,Farandal,20
qui,qui,52
venait,venir,18
lentement,lentement,60
en,en,81
faisant,faire,13
le,le,71
tour,tour,21
du,de,81
du,le,71
Hammam,Hammam,20
/.,/.,P
à,à,81
peine,peine,22
resta,rester,19
t,t,94
il,il,51
un,un,71
quart,quart,21
d',de,81
heure,heure,22
dans,dans,81
la,le,71
grande,grand,30
salle,salle,22
de,de,81
repos,repos,21
si,si,60
calme,calme,30
en,en,81
sa,son,73
ceinture,ceinture,22
de,de,81
cellules,cellule,22
où,où,60
sont,être,17
les,le,71
lits,lit,21
",",",",p
autour,autour,60
d',de,81
un,un,71
parterre,parterre,21
de,de,81
plantes,plante,22
africaines,africain,30
et,et,82
d',de,81
un,un,71
jet,jet,21
d',de,81
eau,eau,22
qui,qui,52
s',se,51
égrène,égrener,17
au,à,81
au,le,71
milieu,milieu,21
/.,/.,P
il,il,51
avait,avoir,18
l',le,71
impression,impression,22
d',de,81
être,être,14
suivi,suivre,12
",",",",p
menacé,menacer,12
",",",",p
que,que,83
le,le,71
marquis,marquis,21
allait,aller,18
le,le,52
rejoindre,rejoindre,14
et,et,82
qu',que,83
il,il,51
devrait,devoir,16
",",",",p
la,le,71
main,main,22
tendue,tendu,31
",",",",p
le,le,52
traiter,traiter,14
en,en,81
ami,ami,21
avec,avec,81
le,le,71
désir,désir,21
de,de,81
le,le,52
tuer,tuer,14
/.,/.,P
et,et,82
il,il,51
se,se,51
retrouva,retrouver,19
bientôt,bientôt,60
sur,sur,81
le,le,71
boulevard,boulevard,21
couvert,couvert,31
de,de,81
feuilles,feuille,22
mortes,mort,31
/.,/.,P
elles,ils,51
ne,ne,60
tombaient,tomber,18
plus,plus,60
",",",",p
les,le,71
dernières,dernière,22
ayant,avoir,13
été,être,12
détachées,détacher,12
par,par,81
une,un,71
longue,long,30
rafale,rafale,22
/.,/.,P
leur,leur,73
tapis,tapis,21
rouge,rouge,30
et,et,82
jaune,jaune,30
frémissait,frémir,18
",",",",p
remuait,remuer,18
",",",",p
ondulait,onduler,18
d',de,81
un,un,71
trottoir,trottoir,21
à,à,81
l',le,71
autre,autre,52
sous,sous,81
les,le,71
poussées,poussée,22
plus,plus,60
vives,vif,30
de,de,81
la,le,71
brise,brise,22
grandissante,grandissant,30
/.,/.,P
tout,tout,60
à,à,81
coup,coup,21
une,un,71
sorte,sorte,22
de,de,81
mugissement,mugissement,21
glissa,glisser,19
sur,sur,81
les,le,71
toits,toit,21
",",",",p
ce,ce,74
cri,cri,21
de,de,81
bête,bête,22
de,de,81
la,le,71
tempête,tempête,22
qui,qui,52
passe,passer,17
",",",",p
et,et,82
",",",",p
en,en,81
même,même,75
temps,temps,21
",",",",p
un,un,71
souffle,souffle,21
furieux,furieux,30
de,de,81
vent,vent,21
qui,qui,52
semblait,sembler,18
venir,venir,14
de,de,81
la,le,71
Madeleine,Madeleine,20
s',se,51
engouffra,engouffrer,19
dans,dans,81
le,le,71
boulevard,boulevard,21
/.,/.,P
les,le,71
feuilles,feuille,22
",",",",p
toutes,tout,75
les,le,71
feuilles,feuille,22
tombées,tombé,31
qui,qui,52
paraissaient,paraître,18
l',le,52
attendre,attendre,14
",",",",p
se,se,51
soulevèrent,soulever,19
à,à,81
son,son,73
approche,approche,22
/.,/.,P
elles,ils,51
couraient,courir,18
devant,devant,81
lui,lui,51
",",",",p
s',se,51
amassant,amasser,13
et,et,82
tourbillonnant,tourbillonner,13
",",",",p
s',se,51
enlevant,enlever,13
en,en,81
spirales,spirale,22
jusqu',jusque,81
au,à,81
au,le,71
faîte,faîte,21
des,de,81
des,le,71
maisons,maison,22
/.,/.,P
il,il,51
les,le,52
chassait,chasser,18
comme,comme,83
un,un,71
troupeau,troupeau,21
",",",",p
un,un,71
troupeau,troupeau,21
fou,fou,30
qui,qui,52
s',se,51
envolait,envoler,18
",",",",p
qui,qui,52
s',se,51
en,en,52
allait,aller,18
",",",",p
fuyant,fuir,13
vers,vers,81
les,le,71
barrières,barrière,22
de,de,81
Paris,Paris,20
",",",",p
vers,vers,81
le,le,71
ciel,ciel,21
libre,libre,30
de,de,81
la,le,71
banlieue,banlieue,22
/.,/.,P
et,et,82
quand,quand,83
le,le,71
gros,gros,30
nuage,nuage,21
de,de,81
feuilles,feuille,22
et,et,82
de,de,81
poussière,poussière,22
eut,avoir,19
disparu,disparaître,12
sur,sur,81
les,le,71
hauteurs,hauteur,22
du,de,81
du,le,71
quartier,quartier,21
Malesherbes,Malesherbes,20
",",",",p
les,le,71
chaussées,chaussée,22
et,et,82
les,le,71
trottoirs,trottoir,21
demeurèrent,demeurer,19
nus,nu,30
",",",",p
étrangement,étrangement,60
propres,propre,30
et,et,82
balayés,balayé,31
/.,/.,P
Bertin,Bertin,20
songeait,songer,18
:,:,p
“,“,p
que,que,52
vais,aller,17
je,je,51
devenir,devenir,14
/?,/?,P
que,que,52
vais,aller,17
je,je,51
faire,faire,14
/?,/?,P
où,où,60
vais,aller,17
je,je,51
aller,aller,14
/?,/?,P
et,et,82
il,il,51
retournait,retourner,18
chez,chez,81
lui,lui,51
",",",",p
ne,ne,60
pouvant,pouvoir,13
rien,rien,52
imaginer,imaginer,14
/.,/.,P
un,un,71
kiosque,kiosque,21
à,à,81
journaux,journal,21
attira,attirer,19
son,son,73
oeil,oeil,21
/.,/.,P
il,il,51
en,en,52
acheta,acheter,19
sept,sept,72
ou,ou,82
huit,huit,72
",",",",p
espérant,espérer,13
qu',que,83
il,il,51
y,y,52
trouverait,trouver,16
à,à,81
lire,lire,14
peut-être,peut-être,60
pendant,pendant,81
une,un,71
heure,heure,22
ou,ou,82
deux,deux,72
/.,/.,P
“,“,p
je,je,51
déjeune,déjeuner,17
ici,ici,60
“,“,p
",",",",p
dit,dire,19
il,il,51
en,en,81
rentrant,rentrer,13
/.,/.,P
et,et,82
il,il,51
monta,monter,19
dans,dans,81
son,son,73
atelier,atelier,21
/.,/.,P
mais,mais,82
il,il,51
sentit,sentir,19
en,en,81
s',se,51
asseyant,asseoir,13
qu',que,83
il,il,51
n',ne,60
y,y,52
pourrait,pouvoir,16
pas,pas,60
rester,rester,14
",",",",p
car,car,82
il,il,51
avait,avoir,18
en,en,81
tout,tout,75
son,son,73
corps,corps,21
une,un,71
agitation,agitation,22
de,de,81
bête,bête,22
enragée,enragé,31
/.,/.,P
les,le,71
journaux,journal,21
parcourus,parcouru,31
ne,ne,60
purent,pouvoir,19
distraire,distraire,14
une,un,71
minute,minute,22
son,son,73
âme,âme,22
",",",",p
et,et,82
les,le,71
faits,fait,21
qu',que,52
il,il,51
lisait,lire,18
lui,lui,51
restaient,rester,18
dans,dans,81
les,le,71
yeux,oeil,21
sans,sans,81
aller,aller,14
jusqu',jusque,81
à,à,81
sa,son,73
pensée,pensée,22
/.,/.,P
au,à,81
au,le,71
milieu,milieu,21
d',de,81
un,un,71
article,article,21
qu',que,52
il,il,51
ne,ne,60
cherchait,chercher,18
point,point,60
à,à,81
comprendre,comprendre,14
",",",",p
le,le,71
mot,mot,21
Guilleroy,Guilleroy,20
le,le,52
fit,faire,19
tressaillir,tressaillir,14
/.,/.,P
il,il,51
s',se,51
agissait,agir,18
de,de,81
la,le,71
séance,séance,22
de,de,81
la,le,71
chambre,chambre,22
",",",",p
où,où,60
le,le,71
comte,comte,21
avait,avoir,18
prononcé,prononcer,12
quelques,quelque,75
paroles,parole,22
/.,/.,P
son,son,73
attention,attention,22
",",",",p
éveillée,éveillé,31
par,par,81
cet,ce,74
appel,appel,21
",",",",p
rencontra,rencontrer,19
ensuite,ensuite,60
le,le,71
nom,nom,21
du,de,81
du,le,71
célèbre,célèbre,30
ténor,ténor,21
Montrosé,Montrosé,20
",",",",p
qui,qui,52
devait,devoir,18
donner,donner,14
",",",",p
vers,vers,81
la,le,71
fin,fin,22
de,de,81
décembre,décembre,21
",",",",p
une,un,71
représentation,représentation,22
unique,unique,30
au,à,81
au,le,71
grand,grand,30
Opéra,Opéra,20
/.,/.,P
ce,ce,52
serait,être,16
",",",",p
disait,dire,18
le,le,71
journal,journal,21
",",",",p
une,un,71
magnifique,magnifique,30
solennité,solennité,22
musicale,musical,30
",",",",p
car,car,82
le,le,71
ténor,ténor,21
Montrosé,Montrosé,20
qui,qui,52
avait,avoir,18
quitté,quitter,12
Paris,Paris,20
depuis,depuis,81
six,six,72
ans,an,21
",",",",p
venait,venir,18
de,de,81
remporter,remporter,14
",",",",p
dans,dans,81
toute,tout,75
l',le,71
Europe,Europe,20
et,et,82
en,en,81
Amérique,Amérique,20
",",",",p
des,de,81
des,le,71
succès,succès,21
sans,sans,81
précédent,précédent,21
",",",",p
et,et,82
il,il,51
serait,être,16
",",",",p
en,en,81
outre,outre,81
",",",",p
accompagné,accompagner,12
de,de,81
l',le,71
illustre,illustre,30
cantatrice,cantatrice,22
suédoise,suédois,30
Helsson,Helsson,20
",",",",p
qu',que,52
on,on,51
n',ne,60
avait,avoir,18
pas,pas,60
entendue,entendre,12
non,non,60
plus,plus,60
à,à,81
Paris,Paris,20
depuis,depuis,81
cinq,cinq,72
ans,an,21
/!,/!,P
tout,tout,60
à,à,81
coup,coup,21
Olivier,Olivier,20
eut,avoir,19
l',le,71
idée,idée,22
",",",",p
qui,qui,52
sembla,sembler,19
naître,naître,14
au,à,81
au,le,71
fond,fond,21
de,de,81
son,son,73
coeur,coeur,21
",",",",p
de,de,81
donner,donner,14
à,à,81
Annette,Annette,20
le,le,71
plaisir,plaisir,21
de,de,81
ce,ce,74
spectacle,spectacle,21
/.,/.,P
puis,puis,60
il,il,51
songea,songer,19
que,que,83
le,le,71
deuil,deuil,21
de,de,81
la,le,71
comtesse,comtesse,22
mettrait,mettre,16
obstacle,obstacle,21
à,à,81
ce,ce,74
projet,projet,21
",",",",p
et,et,82
il,il,51
chercha,chercher,19
des,de,81
des,le,71
combinaisons,combinaison,22
pour,pour,81
le,le,52
réaliser,réaliser,14
quand,quand,83
même,même,60
/.,/.,P
une,un,71
seule,seul,30
se,se,51
présenta,présenter,19
/.,/.,P
il,il,51
fallait,falloir,18
prendre,prendre,14
une,un,71
loge,loge,22
sur,sur,81
la,le,71
scène,scène,22
où,où,60
l',l',94
on,on,51
était,être,18
presque,presque,60
invisible,invisible,30
",",",",p
et,et,82
",",",",p
si,si,83
la,le,71
comtesse,comtesse,22
néanmoins,néanmoins,60
n',ne,60
y,y,52
voulait,vouloir,18
pas,pas,60
venir,venir,14
",",",",p
faire,faire,14
accompagner,accompagner,14
Annette,Annette,20
par,par,81
son,son,73
père,père,21
et,et,82
par,par,81
la,le,71
duchesse,duchesse,22
/.,/.,P
en,en,81
ce,ce,74
cas,cas,21
",",",",p
c',ce,52
est,être,17
à,à,81
la,le,71
duchesse,duchesse,22
qu',que,83
il,il,51
faudrait,falloir,16
offrir,offrir,14
cette,ce,74
loge,loge,22
/.,/.,P
mais,mais,82
il,il,51
devrait,devoir,16
alors,alors,60
inviter,inviter,14
le,le,71
marquis,marquis,21
/!,/!,P
il,il,51
hésita,hésiter,19
et,et,82
réfléchit,réfléchir,19
