11939
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Quatre-vingt-sixième extrait>,<>,<>
et,et,82
couvert,couvert,31
d',de,81
une,un,71
terrasse,terrasse,22
que,que,52
fermait,fermer,18
une,un,71
balustrade,balustrade,22
en,en,81
bois,bois,21
de,de,81
sycomore,sycomore,21
",",",",p
où,où,60
des,de,81
des,le,71
mâts,mât,21
étaient,être,18
disposés,disposer,12
pour,pour,81
tendre,tendre,14
un,un,71
vélarium,vélarium,21
/.,/.,P
un,un,71
matin,matin,21
",",",",p
avant,avant,81
le,le,71
jour,jour,21
",",",",p
le,le,71
tétrarque,tétrarque,21
Hérode,Hérode,20
Antipas,Antipas,20
vint,venir,19
s',se,51
y,y,52
accouder,accouder,14
",",",",p
et,et,82
regarda,regarder,19
/.,/.,P
les,le,71
montagnes,montagne,22
",",",",p
immédiatement,immédiatement,60
sous,sous,81
lui,lui,51
commençaient,commencer,18
à,à,81
découvrir,découvrir,14
leurs,leur,73
crêtes,crête,22
",",",",p
pendant,pendant,81
que,que,83
leur,leur,73
masse,masse,22
",",",",p
jusqu',jusque,81
au,à,81
au,le,71
fond,fond,21
des,de,81
des,le,71
ravins,ravin,21
",",",",p
était,être,18
encore,encore,60
dans,dans,81
l',le,71
ombre,ombre,22
/.,/.,P
un,un,71
brouillard,brouillard,21
flottait,flotter,18
",",",",p
il,il,51
se,se,51
déchira,déchirer,19
",",",",p
et,et,82
les,le,71
contours,contour,21
de,de,81
la,le,71
Mer Morte,Mer Morte,20
apparurent,apparaître,19
/.,/.,P
l',le,71
aube,aube,22
",",",",p
qui,qui,52
se,se,51
levait,lever,18
derrière,derrière,81
Machaerous,Machaerous,20
",",",",p
épandait,épandre,18
une,un,71
rougeur,rougeur,22
/.,/.,P
elle,il,51
illumina,illuminer,19
bientôt,bientôt,60
les,le,71
sables,sable,21
de,de,81
la,le,52
grèves,grever,17
",",",",p
des,de,81
des,le,71
collines,colline,22
",",",",p
le,le,71
désert,désert,21
",",",",p
et,et,82
",",",",p
plus,plus,60
loin,loin,60
",",",",p
tous,tout,75
les,le,71
monts,mont,21
de,de,81
la,le,71
Judée,Judée,20
",",",",p
inclinant,incliner,13
leurs,leur,73
surfaces,surface,22
raboteuses,raboteuse,22
et,et,82
grises,gris,30
/.,/.,P
Engaddi,Engaddi,20
au,à,81
au,le,71
milieu,milieu,21
",",",",p
traçait,tracer,18
une,un,71
barre,barre,22
noire,noir,30
",",",",p
Hébron,Hébron,20
dans,dans,81
l',le,71
enfoncement,enfoncement,21
s',se,51
arrondissait,arrondir,18
en,en,81
dôme,dôme,21
",",",",p
Esquol,Esquol,20
avait,avoir,18
des,de,81
des,le,71
grenadiers,grenadier,21
",",",",p
Sorek,Sorek,20
des,de,81
des,le,71
vignes,vigne,22
",",",",p
Gazer,Gazer,20
des,de,81
des,le,71
champs,champ,21
de,de,81
sésame,sésame,21
;,;,p
et,et,82
la,le,71
tour,tour,22
Antonia,Antonia,20
",",",",p
de,de,81
son,son,73
cube,cube,21
monstrueux,monstrueux,30
",",",",p
dominait,dominer,18
Jérusalem,Jérusalem,20
/.,/.,P
le,le,71
tétrarque,tétrarque,21
en,en,52
détourna,détourner,19
la,le,71
vue,vue,22
pour,pour,81
contempler,contempler,14
à,à,81
droite,droite,22
les,le,71
palmiers,palmier,21
de,de,81
Jéricho,Jéricho,20
;,;,p
et,et,82
il,il,51
songea,songer,19
aux,à,81
aux,le,71
autres,autre,75
villes,ville,22
de,de,81
sa,son,73
Galilée,Galilée,20
",",",",p
Capharnaüm,Capharnaüm,20
",",",",p
Endor,Endor,20
",",",",p
Nazareth,Nazareth,20
",",",",p
Tibérias,Tibérias,20
où,où,60
peut-être,peut-être,60
il,il,51
ne,ne,60
reviendrait,revenir,16
plus,plus,60
/.,/.,P
cependant,cependant,82
le,le,71
Jourdain,Jourdain,20
coulait,couler,18
sur,sur,81
la,le,71
plaine,plaine,22
aride,aride,30
/.,/.,P
toute,tout,60
blanche,blanc,30
",",",",p
elle,il,51
éblouissait,éblouir,18
comme,comme,83
une,un,71
nappe,nappe,22
de,de,81
neige,neige,22
/.,/.,P
le,le,71
lac,lac,21
",",",",p
maintenant,maintenant,60
",",",",p
semblait,sembler,18
en,en,81
lapis-lazuli,lapis-lazuli,21
;,;,p
-,-,p
et,et,82
à,à,81
sa,son,73
pointe,pointe,22
méridionale,méridional,30
",",",",p
du,de,81
du,le,71
côté,côté,21
de,de,81
l',le,71
Yémen,Yémen,20
;,;,p
Antipas,Antipas,20
reconnut,reconnaître,19
ce,ce,52
qu',que,52
il,il,51
craignait,craindre,18
d',de,81
apercevoir,apercevoir,14
/.,/.,P
des,de,81
des,le,71
tentes,tente,22
brunes,brun,30
étaient,être,18
dispersées,disperser,12
;,;,p
des,de,81
des,le,71
hommes,homme,21
avec,avec,81
des,de,81
des,le,71
lances,lance,22
circulaient,circuler,18
entre,entre,81
les,le,71
chevaux,cheval,21
",",",",p
et,et,82
des,de,81
des,le,71
feux,feu,21
s',se,51
éteignant,éteindre,13
",",",",p
brillaient,briller,18
comme,comme,83
des,de,81
des,le,71
étincelles,étincelle,22
à,à,81
ras,ras,21
du,de,81
du,le,71
sol,sol,21
/.,/.,P
c',ce,52
étaient,être,18
les,le,71
troupes,troupe,22
du,de,81
du,le,71
roi,roi,21
des,de,81
des,le,71
Arabes,Arabe,20
dont,dont,52
il,il,51
avait,avoir,18
répudié,répudier,12
la,le,71
fille,fille,22
pour,pour,81
prendre,prendre,14
Hérodias,Hérodias,20
",",",",p
mariée,mariée,22
à,à,81
l',le,71
un,un,52
de,de,81
ses,son,73
frères,frère,21
",",",",p
qui,qui,52
vivait,vivre,18
en,en,81
Italie,Italie,20
sans,sans,81
prétentions,prétention,22
au,à,81
au,le,71
pouvoir,pouvoir,21
/.,/.,P
Antipas,Antipas,20
attendait,attendre,18
les,le,71
secours,secours,21
des,de,81
des,le,71
Romains,Romain,20
",",",",p
et,et,82
Vitelius,Vitelius,20
gouverneur,gouverneur,21
de,de,81
la,le,71
Syrie,Syrie,20
tardant,tarder,13
à,à,81
paraître,paraître,14
",",",",p
il,il,51
se,se,51
rongeait,ronger,18
d',de,81
inquiétudes,inquiétude,22
/.,/.,P
Agrippa,Agrippa,20
",",",",p
sans,sans,81
doute,doute,21
",",",",p
l',le,52
avait,avoir,18
ruiné,ruiner,12
chez,chez,81
l',le,71
empereur,empereur,21
/.,/.,P
Philippe,Philippe,20
",",",",p
son,son,73
troisième,troisième,72
frère,frère,21
souverain,souverain,30
de,de,81
la,le,71
Batanée,Batanée,20
",",",",p
s',se,51
armait,armer,18
clandestinement,clandestinement,60
/.,/.,P
les,le,71
juifs,juif,21
ne,ne,60
voulaient,vouloir,18
plus,plus,60
de,de,81
ses,son,73
moeurs,moeurs,22
idolâtres,idolâtre,30
",",",",p
tous,tout,75
les,le,71
autres,autre,52
de,de,81
sa,son,73
domination,domination,22
-,-,p
si,si,60
bien,bien,60
qu',que,83
il,il,51
hésitait,hésiter,18
entre,entre,81
deux,deux,72
projets,projet,21
",",",",p
adoucir,adoucir,14
les,le,71
Arabes,Arabe,20
ou,ou,82
conclure,conclure,14
une,un,71
alliance,alliance,22
avec,avec,81
les,le,71
Parthes,Parthe,20
;,;,p
et,et,82
sous,sous,81
le,le,71
prétexte,prétexte,21
de,de,81
fêter,fêter,14
son,son,73
anniversaire,anniversaire,21
",",",",p
il,il,51
avait,avoir,18
convié,convier,12
pour,pour,81
ce,ce,74
jour,jour,21
même,même,30
",",",",p
à,à,81
un,un,71
grand,grand,30
festin,festin,21
",",",",p
les,le,71
chefs,chef,21
de,de,81
ses,son,73
troupes,troupe,22
",",",",p
les,le,71
régisseurs,régisseur,21
de,de,81
ses,son,73
campagnes,campagne,22
et,et,82
les,le,71
principaux,principal,30
de,de,81
la,le,71
Galilée,Galilée,20
/.,/.,P
il,il,51
fouilla,fouiller,19
d',de,81
un,un,71
regard,regard,21
aigu,aigu,30
toutes,tout,75
les,le,71
routes,route,22
/.,/.,P
elles,ils,51
étaient,être,18
vides,vide,30
/.,/.,P
des,de,81
des,le,71
aigles,aigle,21
volaient,voler,18
au-dessus,au-dessus,60
de,de,81
sa,son,73
tête,tête,22
/.,/.,P
les,le,71
soldats,soldat,21
",",",",p
le,le,71
long,long,21
du,de,81
du,le,71
rempart,rempart,21
",",",",p
dormaient,dormir,18
contre,contre,81
les,le,71
murs,mur,21
;,;,p
rien,rien,52
ne,ne,60
bougeait,bouger,18
dans,dans,81
le,le,71
château,château,21
/.,/.,P
tout,tout,60
à,à,81
coup,coup,21
",",",",p
une,un,71
voix,voix,22
lointaine,lointain,30
",",",",p
comme,comme,83
échappée,échappée,22
des,de,81
des,le,71
profondeurs,profondeur,22
de,de,81
la,le,71
terre,terre,22
",",",",p
fit,faire,19
pâlir,pâlir,14
le,le,71
Tétrarque,Tétrarque,20
/.,/.,P
il,il,51
se,se,51
pencha,pencher,19
pour,pour,81
écouter,écouter,14
;,;,p
elle,il,51
avait,avoir,18
disparu,disparaître,12
/.,/.,P
elle,il,51
reprit,reprendre,19
;,;,p
et,et,82
en,en,81
claquant,claquer,13
dans,dans,81
ses,son,73
mains,main,22
",",",",p
il,il,51
cria,crier,19
“,“,p
Mannaëi,Mannaëi,20
/!,/!,P
Mannaëi,Mannaëi,20
/!,/!,P
un,un,71
homme,homme,21
se,se,51
présenta,présenter,19
",",",",p
nu,nu,30
jusqu',jusque,81
à,à,81
la,le,71
ceinture,ceinture,22
comme,comme,83
les,le,71
masseurs,masseur,21
des,de,81
des,le,71
bains,bain,21
/.,/.,P
il,il,51
était,être,18
très,très,60
grand,grand,30
",",",",p
vieux,vieux,30
",",",",p
décharné,décharné,31
",",",",p
et,et,82
portait,porter,18
sur,sur,81
la,le,71
cuisse,cuisse,22
un,un,71
coutelas,coutelas,21
dans,dans,81
une,un,71
gaine,gaine,22
de,de,81
bronze,bronze,21
/.,/.,P
sa,son,73
chevelure,chevelure,22
",",",",p
relevée,relevé,31
par,par,81
un,un,71
peigne,peigne,21
",",",",p
exagérait,exagérer,18
la,le,71
longueur,longueur,22
de,de,81
son,son,73
front,front,21
/.,/.,P
une,un,71
somnolence,somnolence,22
décolorait,décolorer,18
ses,son,73
yeux,oeil,21
/.,/.,P
mais,mais,82
ses,son,73
dents,dent,22
brillaient,briller,18
",",",",p
et,et,82
ses,son,73
orteils,orteil,21
posaient,poser,18
légèrement,légèrement,60
sur,sur,81
les,le,71
dalles,dalle,22
",",",",p
-,-,p
tout,tout,75
son,son,73
corps,corps,21
ayant,avoir,13
la,le,71
souplesse,souplesse,22
d',de,81
un,un,71
singe,singe,21
",",",",p
et,et,82
sa,son,73
figure,figure,22
l',le,71
impassibilité,impassibilité,22
d',de,81
une,un,71
momie,momie,22
/.,/.,P
-,-,p
“,“,p
où,où,60
est,être,17
il,il,51
?,?,p
demanda,demander,19
le,le,71
Tétrarque,Tétrarque,20
/.,/.,P
Mannaëi,Mannaëi,20
répondit,répondre,19
",",",",p
en,en,81
indiquant,indiquer,13
avec,avec,81
son,son,73
pouce,pouce,21
un,un,71
objet,objet,21
derrière,derrière,81
eux,ils,51
:,:,p
-,-,p
“,“,p
là,là,60
!,!,p
toujours,toujours,60
/!,/!,P
j',je,51
avais,avoir,18
cru,croire,12
l',le,52
entendre,entendre,14
!,!,p
et,et,82
Antipas,Antipas,20
",",",",p
quand,quand,83
il,il,51
eut,avoir,19
respiré,respirer,12
largement,largement,60
",",",",p
s',se,51
informa,informer,19
de,de,81
Iaokanann,Iaokanann,20
",",",",p
le,le,71
même,même,52
que,que,52
les,le,71
Latins,Latin,20
appellent,appeler,17
Saint Jean-Baptiste,Saint Jean Baptiste,20
/.,/.,P
avait,avoir,18
on,on,51
revu,revoir,12
ces,ce,74
deux,deux,72
hommes,homme,21
",",",",p
admis,admettre,12
par,par,81
indulgence,indulgence,22
",",",",p
l',le,71
autre,autre,75
mois,mois,21
",",",",p
dans,dans,81
son,son,73
cachot,cachot,21
",",",",p
et,et,82
savait,savoir,18
on,on,51
depuis,depuis,81
lors,lors,60
ce,ce,52
qu',que,52
ils,ils,51
étaient,être,18
venus,venir,12
faire,faire,14
/?,/?,P
Mannaëi,Mannaëi,20
répliqua,répliquer,19
:,:,p
-,-,p
“,“,p
ils,ils,51
ont,avoir,17
échangé,échanger,12
avec,avec,81
lui,lui,51
des,de,81
des,le,71
paroles,parole,22
mystérieuses,mystérieux,30
",",",",p
comme,comme,83
les,le,71
voleurs,voleur,21
le,le,71
soir,soir,21
aux,à,81
aux,le,71
carrefours,carrefour,21
des,de,81
des,le,71
routes,route,22
/.,/.,P
ensuite,ensuite,60
",",",",p
ils,ils,51
sont,être,17
partis,partir,12
vers,vers,81
la,le,71
haute,haut,30
Galilée,Galilée,20
",",",",p
en,en,81
annonçant,annoncer,13
qu',que,83
ils,ils,51
apporteraient,apporter,16
une,un,71
grande,grand,30
nouvelle,nouvelle,22
/.,/.,P
“,“,p
Antipas,Antipas,20
baissa,baisser,19
la,le,71
tête,tête,22
;,;,p
puis,puis,60
d',de,81
un,un,71
air,air,21
d',de,81
épouvante,épouvante,22
:,:,p
-,-,p
“,“,p
garde,garder,17
le,le,52
!,!,p
garde,garder,17
le,le,52
!,!,p
et,et,82
ne,ne,60
laisse,laisser,17
entrer,entrer,14
personne,personne,52
/!,/!,P
ferme,fermer,17
bien,bien,60
la,le,71
porte,porte,22
/!,/!,P
couvre,couvrir,17
la,le,71
fosse,fosse,22
!,!,p
on,on,51
ne,ne,60
doit,devoir,17
pas,pas,60
même,même,60
soupçonner,soupçonner,14
qu',que,83
il,il,51
vit,vivre,17
/!,/!,P
sans,sans,81
avoir,avoir,14
reçu,recevoir,12
ces,ce,74
ordres,ordre,21
",",",",p
Mannaëi,Mannaëi,20
les,le,52
accomplissait,accomplir,18
;,;,p
car,car,82
Iaokanann,Iaokanann,20
était,être,18
Juif,Juif,20
-,-,p
et,et,82
il,il,51
exécrait,exécrer,18
les,le,71
Juifs,Juif,20
comme,comme,83
tous,tout,75
les,le,71
Samaritains,Samaritains,20
/.,/.,P
leur,leur,73
temple,temple,21
de,de,81
Garizzim,Garizzim,20
",",",",p
désigné,désigné,31
par,par,81
Moïse,Moïse,20
pour,pour,81
être,être,14
le,le,71
centre,centre,21
d',de,81
Israël,Israël,20
",",",",p
n',ne,60
existait,exister,18
plus,plus,60
depuis,depuis,81
le,le,71
roi,roi,21
Hyrcan,Hyrcan,20
",",",",p
-,-,p
et,et,82
celui,celui,52
de,de,81
Jérusalem,Jérusalem,20
les,le,52
mettait,mettre,18
dans,dans,81
la,le,71
fureur,fureur,22
d',de,81
un,un,71
outrage,outrage,21
et,et,82
d',de,81
une,un,71
injustice,injustice,22
permanente,permanent,30
/.,/.,P
Mannaëi,Mannaëi,20
s',se,51
y,y,52
était,être,18
introduit,introduire,12
",",",",p
afin,afin,81
d',de,81
en,en,52
souiller,souiller,14
l',le,71
autel,autel,21
avec,avec,81
des,de,81
des,le,71
os,os,21
de,de,81
morts,mort,21
/.,/.,P
ses,son,73
compagnons,compagnon,21
moins,moins,60
rapides,rapide,30
avaient,avoir,18
été,être,12
décapités,décapiter,12
/.,/.,P
il,il,51
l',le,52
aperçut,apercevoir,19
dans,dans,81
l',le,71
écartement,écartement,21
de,de,81
deux,deux,72
collines,colline,22
/.,/.,P
le,le,71
soleil,soleil,21
faisait,faire,18
resplendir,resplendir,14
ses,son,73
murailles,muraille,22
de,de,81
marbre,marbre,21
blanc,blanc,30
et,et,82
les,le,71
lames,lame,22
d',de,81
or,or,21
de,de,81
sa,son,73
toiture,toiture,22
/.,/.,P
c',ce,52
était,être,18
comme,comme,83
une,un,71
montagne,montagne,22
lumineuse,lumineux,30
quelque,quelque,75
chose,chose,22
de,de,81
surhumain,surhumain,30
",",",",p
écrasant,écrasant,30
tout,tout,60
de,de,81
son,son,73
opulence,opulence,22
et,et,82
de,de,81
son,son,73
orgueil,orgueil,21
/.,/.,P
alors,alors,60
il,il,51
étendit,étendre,19
les,le,71
bras,bras,21
du,de,81
du,le,71
côté,côté,21
de,de,81
Sion,Sion,20
",",",",p
et,et,82
",",",",p
la,le,71
taille,taille,22
droite,droit,30
",",",",p
le,le,71
visage,visage,21
en,en,81
arrière,arrière,21
",",",",p
les,le,71
poings,poing,21
fermés,fermé,31
",",",",p
lui,lui,51
jeta,jeter,19
un,un,71
anathème,anathème,21
",",",",p
croyant,croire,13
que,que,83
les,le,71
mots,mot,21
avaient,avoir,18
un,un,71
pouvoir,pouvoir,21
effectif,effectif,30
/.,/.,P
Antipas,Antipas,20
écoutait,écouter,18
sans,sans,81
paraître,paraître,14
scandalisé,scandalisé,31
/.,/.,P
le,le,71
Samaritain,Samaritain,20
dit,dire,19
encore,encore,60
-,-,p
“,“,p
par,par,81
moments,moment,21
il,il,51
s',se,51
agite,agiter,17
",",",",p
il,il,51
voudrait,vouloir,16
fuir,fuir,14
",",",",p
il,il,51
espère,espérer,17
une,un,71
délivrance,délivrance,22
/.,/.,P
d',de,81
autres,autre,75
fois,fois,22
",",",",p
il,il,51
a,avoir,17
l',le,71
air,air,21
tranquille,tranquille,30
d',de,81
une,un,71
bête,bête,22
malade,malade,30
",",",",p
-,-,p
ou,ou,82
bien,bien,60
je,je,51
le,le,52
vois,voir,17
qui,qui,52
marche,marcher,17
dans,dans,81
les,le,71
ténèbres,ténèbre,22
",",",",p
en,en,81
répétant,répéter,13
:,:,p
“,“,p
qu',que,52
importe,importer,17
/!,/!,P
pour,pour,81
qu',que,83
il,il,51
grandisse,grandir,17
",",",",p
il,il,51
faut,falloir,17
que,que,83
je,je,51
diminue,diminuer,17
“,“,p
Antipas,Antipas,20
et,et,82
Mannaëi,Mannaëi,20
se,se,51
regardèrent,regarder,19
/.,/.,P
mais,mais,82
le,le,71
Tétrarque,Tétrarque,20
était,être,18
las,las,30
de,de,81
réfléchir,réfléchir,14
/.,/.,P
tous,tout,75
ces,ce,74
monts,mont,21
autour,autour,60
de,de,81
lui,lui,51
",",",",p
comme,comme,83
des,de,81
des,le,71
étages,étage,21
de,de,81
grands,grand,30
flots,flot,21
pétrifiés,pétrifié,31
les,le,71
gouffres,gouffre,21
noirs,noir,30
sur,sur,81
le,le,71
flanc,flanc,21
des,de,81
des,le,71
falaises,falaise,22
",",",",p
l',le,71
immensité,immensité,22
du,de,81
du,le,71
ciel,ciel,21
bleu,bleu,30
",",",",p
l',le,71
éclat,éclat,21
violent,violent,30
du,de,81
du,le,71
jour,jour,21
",",",",p
la,le,71
profondeur,profondeur,22
des,de,81
des,le,71
abîmes,abîme,21
le,le,52
troublaient,troubler,18
",",",",p
-,-,p
et,et,82
une,un,71
désolation,désolation,22
l',le,52
envahissait,envahir,18
au,à,81
au,le,71
spectacle,spectacle,21
du,de,81
du,le,71
désert,désert,21
",",",",p
qui,qui,52
figure,figurer,17
",",",",p
dans,dans,81
le,le,71
bouleversement,bouleversement,21
de,de,81
ses,son,73
terrains,terrain,21
",",",",p
des,de,81
des,le,71
amphithéâtres,amphithéâtre,21
et,et,82
des,de,81
des,le,71
palais,palais,21
abattus,abattu,31
/.,/.,P
le,le,71
vent,vent,21
chaud,chaud,30
apportait,apporter,18
",",",",p
avec,avec,81
l',le,71
odeur,odeur,22
du,de,81
du,le,71
soufre,soufre,21
",",",",p
comme,comme,83
l',le,71
exhalaison,exhalaison,22
des,de,81
des,le,71
villes,ville,22
maudites,maudit,31
",",",",p
ensevelies,enseveli,31
plus,plus,60
bas,bas,60
que,que,83
le,le,71
rivage,rivage,21
sous,sous,81
les,le,71
eaux,eau,22
pesantes,pesant,30
/.,/.,P
ces,ce,74
marques,marque,22
d',de,81
une,un,71
colère,colère,22
immortelle,immortel,30
effrayaient,effrayer,18
sa,son,73
pensée,pensée,22
;,;,p
et,et,82
il,il,51
restait,rester,18
les,le,71
deux,deux,72
coudes,coude,21
sur,sur,81
la,le,71
balustrade,balustrade,22
",",",",p
les,le,71
yeux,oeil,21
fixes,fixe,30
et,et,82
les,le,71
tempes,tempe,22
dans,dans,81
les,le,71
mains,main,22
/.,/.,P
quelqu'un,quelqu'un,52
l',le,52
avait,avoir,18
touché,toucher,12
/.,/.,P
il,il,51
se,se,51
retourna,retourner,19
/.,/.,P
Hérodias,Hérodias,20
était,être,18
devant,devant,81
lui,lui,51
/.,/.,P
une,un,71
simarre,simarre,22
de,de,81
pourpre,pourpre,22
légère,léger,30
l',le,52
enveloppait,envelopper,18
jusqu',jusque,81
aux,à,81
aux,le,71
sandales,sandale,22
/.,/.,P
sortie,sortie,22
précipitamment,précipitamment,60
de,de,81
sa,son,73
chambre,chambre,22
",",",",p
elle,il,51
n',ne,60
avait,avoir,18
ni,ni,82
collier,collier,21
",",",",p
ni,ni,82
pendants,pendant,21
d',de,81
oreilles,oreille,22
;,;,p
une,un,71
tresse,tresse,22
de,de,81
ses,son,73
cheveux,cheveu,21
noirs,noir,30
lui,lui,51
tombait,tomber,18
sur,sur,81
un,un,71
bras,bras,21
",",",",p
et,et,82
s',se,51
enfonçait,enfoncer,18
",",",",p
par,par,81
le,le,71
bout,bout,21
",",",",p
dans,dans,81
l',le,71
intervalle,intervalle,21
de,de,81
ses,son,73
deux,deux,72
seins,sein,21
/.,/.,P
ses,son,73
narines,narine,22
trop,trop,60
remontées,remonté,31
palpitaient,palpiter,18
/.,/.,P
la,le,71
joie,joie,22
d',de,81
un,un,71
triomphe,triomphe,21
éclairait,éclairer,18
sa,son,73
figure,figure,22
",",",",p
et,et,82
d',de,81
une,un,71
voix,voix,22
forte,fort,30
secouant,secouer,13
le,le,71
Tétrarque,Tétrarque,20
:,:,p
-,-,p
“,“,p
César,César,20
nous,nous,51
aime,aimer,17
/!,/!,P
Agrippa,Agrippa,20
est,être,17
en,en,81
prison,prison,22
/!,/!,P
qui,qui,52
te,tu,51
l',le,52
a,avoir,17
dit,dire,12
/?,/?,P
-,-,p
“,“,p
je,je,51
le,le,52
sais,savoir,17
/!,/!,P
elle,il,51
ajouta,ajouter,19
:,:,p
-,-,p
“,“,p
c',ce,52
est,être,17
pour,pour,81
avoir,avoir,14
souhaité,souhaiter,12
l',le,71
empire,empire,21
à,à,81
Caius,Caius,20
/!,/!,P
tout,tout,60
en,en,81
vivant,vivre,13
de,de,81
leurs,leur,73
aumônes,aumône,22
",",",",p
il,il,51
avait,avoir,18
brigué,briguer,12
le,le,71
titre,titre,21
de,de,81
roi,roi,21
qu',que,52
ils,ils,51
ambitionnaient,ambitionner,18
comme,comme,83
lui,lui,51
/.,/.,P
mais,mais,82
dans,dans,81
l',le,71
avenir,avenir,21
plus,plus,60
de,de,81
craintes,crainte,22
/!,/!,P
les,le,71
cachots,cachot,21
de,de,81
Tibère,Tibère,20
s',se,51
ouvrent,ouvrir,17
difficilement,difficilement,60
",",",",p
et,et,82
quelquefois,quelquefois,60
l',le,71
existence,existence,22
n',ne,60
y,y,52
est,être,17
pas,pas,60
sûre,sûr,30
/.,/.,P
“,“,p
Antipas,Antipas,20
la,le,52
comprit,comprendre,19
;,;,p
et,et,82
",",",",p
bien,bien,60
qu',que,83
elle,il,51
fût,être,19
la,le,71
soeur,soeur,22
d',de,81
Agrippa,Agrippa,20
",",",",p
son,son,73
intention,intention,22
atroce,atroce,30
lui,lui,51
sembla,sembler,19
justifiée,justifié,31
/.,/.,P
ces,ce,74
meurtres,meurtre,21
étaient,être,18
une,un,71
conséquence,conséquence,22
des,de,81
des,le,71
choses,chose,22
",",",",p
une,un,71
fatalité,fatalité,22
des,de,81
des,le,71
maisons,maison,22
royales,royal,30
/.,/.,P
dans,dans,81
celle,celui,52
d',de,81
Hérode,Hérode,20
",",",",p
on,on,51
ne,ne,60
les,le,52
comptait,compter,18
plus,plus,60
/.,/.,P
puis,puis,60
",",",",p
elle,il,51
étala,étaler,19
son,son,73
entreprise,entreprise,22
",",",",p
les,le,71
clients,client,21
achetés,acheté,31
",",",",p
les,le,71
lettres,lettre,22
découvertes,découvert,31
",",",",p
des,de,81
des,le,71
espions,espion,21
à,à,81
toutes,tout,75
les,le,71
portes,porte,22
",",",",p
et,et,82
comment,comment,60
elle,il,51
était,être,18
parvenue,parvenir,12
à,à,81
séduire,séduire,14
Eutychès,Eutychès,20
le,le,71
dénonciateur,dénonciateur,21
/.,/.,P
“,“,p
rien,rien,52
ne,ne,60
me,je,51
coûtait,coûter,18
/!,/!,P
pour,pour,81
toi,toi,51
",",",",p
n',ne,60
ai,avoir,17
je,je,51
pas,pas,60
fait,faire,12
plus,plus,60
?,?,p
/…,/…,P
j',je,51
ai,avoir,17
abandonné,abandonner,12
ma,mon,73
fille,fille,22
/.,/.,P
“,“,p
après,après,81
son,son,73
divorce,divorce,21
",",",",p
elle,il,51
avait,avoir,18
laissé,laisser,12
dans,dans,81
Rome,Rome,20
cet,ce,74
enfant,enfant,21
",",",",p
espérant,espérer,13
bien,bien,60
en,en,52
avoir,avoir,14
d',de,81
autres,autre,52
du,de,81
du,le,71
Tétrarque,Tétrarque,20
/.,/.,P
jamais,jamais,60
elle,il,51
n',ne,60
en,en,52
parlait,parler,18
/.,/.,P
il,il,51
se,se,51
demanda,demander,19
pourquoi,pourquoi,60
son,son,73
accès,accès,21
de,de,81
tendresse,tendresse,22
/.,/.,P
cependant,cependant,82
on,on,51
