12011
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Quatre-vingt-onzième extrait>,<>,<>
mal,mal,60
écrasés,écrasé,31
",",",",p
avez,avoir,17
vous,vous,51
trouvé,trouver,12
une,un,71
montée,montée,22
trop,trop,60
rude,rude,30
",",",",p
pendant,pendant,81
même,même,60
que,que,83
vous,vous,51
pensiez,penser,17
à,à,81
autre,autre,75
chose,chose,22
",",",",p
vous,vous,51
éprouverez,éprouver,15
pour,pour,81
retourner,retourner,14
à,à,81
ce,ce,74
lieu,lieu,21
là,là,60
une,un,71
répugnance,répugnance,22
physique,physique,30
invincible,invincible,30
/.,/.,P
vous,vous,51
causiez,causer,18
avec,avec,81
un,un,71
ami,ami,21
",",",",p
vous,vous,51
n',ne,60
avez,avoir,17
rien,rien,52
remarqué,remarquer,12
des,de,81
des,le,71
légers,léger,30
ennuis,ennui,21
de,de,81
la,le,71
marche,marche,22
",",",",p
vous,vous,51
n',ne,60
avez,avoir,17
rien,rien,52
regardé,regarder,12
",",",",p
rien,rien,52
noté,noter,12
;,;,p
mais,mais,82
vos,votre,73
jambes,jambe,22
",",",",p
vos,votre,73
muscles,muscle,21
",",",",p
vos,votre,73
poumons,poumon,21
",",",",p
votre,votre,73
corps,corps,21
tout,tout,60
entier,entier,30
n',ne,60
ont,avoir,17
pas,pas,60
oublié,oublier,12
",",",",p
eux,ils,51
",",",",p
et,et,82
ils,ils,51
disent,dire,17
à,à,81
l',le,71
esprit,esprit,21
",",",",p
quand,quand,83
l',le,71
esprit,esprit,21
veut,vouloir,17
les,le,52
reconduire,reconduire,14
par,par,81
la,le,71
même,même,75
route,route,22
:,:,p
“,“,p
non,non,60
",",",",p
je,je,51
n',ne,60
irai,aller,15
pas,pas,60
",",",",p
j',je,51
y,y,52
ai,avoir,17
trop,trop,60
souffert,souffrir,12
/.,/.,P
“,“,p
et,et,82
l',le,71
esprit,esprit,21
obéit,obéir,17
à,à,81
ce,ce,74
refus,refus,21
sans,sans,81
le,le,52
discuter,discuter,14
",",",",p
subissant,subir,13
ce,ce,74
langage,langage,21
muet,muet,30
des,de,81
des,le,71
compagnons,compagnon,21
qui,qui,52
le,le,52
portent,porter,17
/.,/.,P
“,“,p
donc,donc,82
",",",",p
il,il,51
nous,nous,51
faut,falloir,17
de,de,81
beaux,beau,30
chemins,chemin,21
",",",",p
cela,cela,52
revient,revenir,17
à,à,81
dire,dire,14
qu',que,83
il,il,51
me,je,51
faut,falloir,17
les,le,71
terres,terre,22
de,de,81
cette,ce,74
bourrique,bourrique,22
de,de,81
père,père,21
Oriol,Oriol,20
/.,/.,P
mais,mais,82
patience,patience,22
/…,/…,P
ah,ah,93
!,!,p
à,à,81
ce,ce,74
propos,propos,21
",",",",p
Mas-Roussel,Mas-Roussel,20
est,être,17
devenu,devenir,12
propriétaire,propriétaire,21
de,de,81
son,son,73
chalet,chalet,21
aux,à,81
aux,le,71
mêmes,même,75
conditions,condition,22
que,que,83
Rémusot,Rémusot,20
/.,/.,P
c',ce,52
est,être,17
un,un,71
petit,petit,30
sacrifice,sacrifice,21
dont,dont,52
il,il,51
nous,nous,51
dédommagera,dédommager,15
largement,largement,60
/.,/.,P
tâchez,tâcher,17
donc,donc,82
de,de,81
savoir,savoir,14
au,à,81
au,le,71
juste,juste,21
les,le,71
intentions,intention,22
de,de,81
Cloche,Cloche,20
/.,/.,P
-,-,p
il,il,51
fera,faire,15
comme,comme,83
les,le,71
autres,autre,52
",",",",p
dit,dire,17
le,le,71
médecin,médecin,21
/.,/.,P
mais,mais,82
il,il,51
y,y,52
a,avoir,17
encore,encore,60
une,un,71
chose,chose,22
à,à,81
laquelle,lequel,52
j',je,51
ai,avoir,17
pensé,penser,12
depuis,depuis,81
quelques,quelque,75
jours,jour,21
et,et,82
que,que,83
nous,nous,51
avons,avoir,17
complètement,complètement,60
oubliée,oublier,12
;,;,p
c',ce,52
est,être,17
le,le,71
bulletin,bulletin,21
météorologique,météorologique,30
/.,/.,P
-,-,p
quel,quel,75
bulletin,bulletin,21
météorologique,météorologique,30
/?,/?,P
dans,dans,81
les,le,71
grands,grand,30
journaux,journal,21
de,de,81
Paris,Paris,20
/!,/!,P
c',ce,52
est,être,17
indispensable,indispensable,30
",",",",p
cela,cela,52
/!,/!,P
il,il,51
faut,falloir,17
que,que,83
la,le,71
température,température,22
d',de,81
une,un,71
station,station,22
thermale,thermal,30
soit,être,17
meilleure,meilleur,30
",",",",p
moins,moins,60
variable,variable,30
",",",",p
plus,plus,60
régulièrement,régulièrement,60
tempérée,tempéré,31
que,que,83
celle,celui,52
des,de,81
des,le,71
stations,station,22
voisines,voisin,30
et,et,82
rivales,rival,30
/.,/.,P
vous,vous,51
prendrez,prendre,15
un,un,71
abonnement,abonnement,21
au,à,81
au,le,71
bulletin,bulletin,21
météorologique,météorologique,30
dans,dans,81
les,le,71
principaux,principal,30
organes,organe,21
de,de,81
l',le,71
opinion,opinion,22
",",",",p
et,et,82
j',je,51
enverrai,envoyer,15
tous,tout,75
les,le,71
soirs,soir,21
",",",",p
par,par,81
télégraphe,télégraphe,21
",",",",p
la,le,71
situation,situation,22
atmosphérique,atmosphérique,30
/.,/.,P
je,je,51
la,le,52
ferai,faire,15
telle,tel,75
que,que,83
la,le,71
moyenne,moyenne,22
constatée,constaté,31
en,en,81
fin,fin,22
d',de,81
année,année,22
soit,être,17
supérieure,supérieur,30
aux,à,81
aux,le,71
meilleures,meilleur,30
moyennes,moyenne,22
des,de,81
des,le,71
environs,environs,21
/.,/.,P
la,le,71
première,premier,72
chose,chose,22
qui,qui,52
nous,nous,51
saute,sauter,17
aux,à,81
aux,le,71
yeux,oeil,21
",",",",p
en,en,81
ouvrant,ouvrir,13
les,le,71
grands,grand,30
journaux,journal,21
",",",",p
c',ce,52
est,être,17
la,le,71
température,température,22
de,de,81
Vichy,Vichy,20
",",",",p
de,de,81
Royat,Royat,20
",",",",p
du,de,81
du,le,71
Mont-Dore,Mont-Dore,20
",",",",p
de,de,81
Châtel-Guyon,Châtel-Guyon,20
",",",",p
etc,et cetera,91
",",",",p
etc,et cetera,91
",",",",p
pendant,pendant,81
la,le,71
saison,saison,22
d',de,81
été,été,21
",",",",p
et,et,82
",",",",p
pendant,pendant,81
la,le,71
saison,saison,22
d',de,81
hiver,hiver,21
",",",",p
la,le,71
température,température,22
de,de,81
Cannes,Cannes,20
",",",",p
Menton,Menton,20
",",",",p
Nice,Nice,20
",",",",p
Saint-Raphaël,Saint Raphaël,20
/.,/.,P
il,il,51
doit,devoir,17
faire,faire,14
toujours,toujours,60
chaud,chaud,21
et,et,82
toujours,toujours,60
beau,beau,30
",",",",p
dans,dans,81
ces,ce,74
pays,pays,21
là,là,60
",",",",p
mon,mon,73
cher,cher,30
directeur,directeur,21
",",",",p
afin,afin,81
que,que,83
le,le,71
Parisien,Parisien,20
se,se,51
dise,dire,17
:,:,p
“,“,p
cristi,cristi,93
",",",",p
ont,avoir,17
ils,ils,51
de,de,81
la,le,71
chance,chance,22
",",",",p
ceux,celui,52
qui,qui,52
vont,aller,17
là-bas,là-bas,60
/!,/!,P
Andermatt,Andermatt,20
s',se,51
écria,écrier,19
:,:,p
“,“,p
sacrebleu,sacrebleu,93
!,!,p
vous,vous,51
avez,avoir,17
raison,raison,22
/.,/.,P
comment,comment,60
",",",",p
je,je,51
n',ne,60
ai,avoir,17
pas,pas,60
pensé,penser,12
à,à,81
cela,cela,52
/?,/?,P
je,je,51
vais,aller,17
m',je,51
en,en,52
occuper,occuper,14
aujourd'hui,aujourd'hui,60
même,même,60
/.,/.,P
en,en,81
fait,fait,21
de,de,81
choses,chose,22
utiles,utile,30
",",",",p
avez,avoir,17
vous,vous,51
écrit,écrire,12
aux,à,81
aux,le,71
professeurs,professeur,21
de,de,81
Larenard,Larenard,20
et,et,82
Pascalis,Pascalis,20
/?,/?,P
en,en,52
voilà,voilà,81
deux,deux,72
que,que,52
je,je,51
voudrais,vouloir,16
bien,bien,60
avoir,avoir,14
ici,ici,60
/.,/.,P
-,-,p
inabordables,inabordable,30
",",",",p
mon,mon,73
cher,cher,30
président,président,21
/…,/…,P
à,à,81
moins,moins,60
/…,/…,P
à,à,81
moins,moins,60
qu',que,83
ils,ils,51
ne,ne,60
s',se,51
assurent,assurer,17
par,par,81
eux-mêmes,eux-mêmes,51
",",",",p
après,après,81
beaucoup,beaucoup,60
d',de,81
expériences,expérience,22
",",",",p
que,que,83
nos,notre,73
eaux,eau,22
sont,être,17
excellentes,excellent,30
/…,/…,P
mais,mais,82
auprès,auprès,60
d',de,81
eux,ils,51
vous,vous,51
ne,ne,60
ferez,faire,15
rien,rien,52
par,par,81
persuasion,persuasion,22
…,…,p
anticipée,anticipé,31
/.,/.,P
“,“,p
ils,ils,51
passaient,passer,18
devant,devant,81
Paul,Paul,20
et,et,82
Gontran,Gontran,20
",",",",p
venus,venu,31
pour,pour,81
prendre,prendre,14
le,le,71
café,café,21
après,après,81
leur,leur,73
déjeuner,déjeuner,21
/.,/.,P
d',de,81
autres,autre,75
baigneurs,baigneur,21
arrivaient,arriver,18
",",",",p
des,de,81
des,le,71
hommes,homme,21
surtout,surtout,60
",",",",p
car,car,82
les,le,71
femmes,femme,22
",",",",p
en,en,81
sortant,sortir,13
de,de,81
table,table,22
",",",",p
montent,monter,17
toujours,toujours,60
une,un,71
heure,heure,22
ou,ou,82
deux,deux,72
dans,dans,81
leurs,leur,73
chambres,chambre,22
/.,/.,P
Petrus Martel,Petrus Martel,20
surveillait,surveiller,18
ses,son,73
garçons,garçon,21
",",",",p
criait,crier,18
:,:,p
“,“,p
un,un,71
kummel,kummel,21
",",",",p
une,un,71
fine,fine,22
",",",",p
une,un,71
anisette,anisette,22
“,“,p
",",",",p
de,de,81
la,le,71
même,même,75
voix,voix,22
roulante,roulant,30
et,et,82
profonde,profond,30
qu',que,52
il,il,51
prendrait,prendre,16
une,un,71
heure,heure,22
plus,plus,60
tard,tard,60
",",",",p
pour,pour,81
diriger,diriger,14
la,le,71
répétition,répétition,22
et,et,82
donner,donner,14
le,le,71
ton,ton,21
à,à,81
la,le,71
jeune,jeune,30
première,premier,72
/.,/.,P
Andermatt,Andermatt,20
s',se,51
arrêta,arrêter,19
quelques,quelque,75
instants,instant,21
à,à,81
causer,causer,14
avec,avec,81
les,le,71
deux,deux,72
jeunes,jeune,30
gens,gens,21
",",",",p
puis,puis,60
il,il,51
reprit,reprendre,19
sa,son,73
promenade,promenade,22
aux,à,81
aux,le,71
côtés,côté,21
de,de,81
l',le,71
inspecteur,inspecteur,21
/.,/.,P
Gontran,Gontran,20
",",",",p
les,le,71
jambes,jambe,22
croisées,croisé,31
",",",",p
les,le,71
bras,bras,21
croisés,croisé,31
",",",",p
renversé,renversé,31
sur,sur,81
sa,son,73
chaise,chaise,22
",",",",p
la,le,71
nuque,nuque,22
appuyée,appuyé,31
au,à,81
au,le,71
dossier,dossier,21
",",",",p
les,le,71
yeux,oeil,21
et,et,82
le,le,71
cigare,cigare,21
au,à,81
au,le,71
ciel,ciel,21
",",",",p
fumait,fumer,18
",",",",p
plongé,plongé,31
dans,dans,81
un,un,71
bonheur,bonheur,21
parfait,parfait,31
/.,/.,P
tout,tout,60
à,à,81
coup,coup,21
",",",",p
il,il,51
demanda,demander,19
:,:,p
“,“,p
veux,vouloir,17
tu,tu,51
faire,faire,14
un,un,71
tour,tour,21
",",",",p
tout,tout,60
à,à,81
l',le,71
heure,heure,22
",",",",p
au,à,81
au,le,71
vallon,vallon,21
de,de,81
sans,sans,81
souci,souci,21
/?,/?,P
les,le,71
petites,petite,22
y,y,52
seront,être,15
/.,/.,P
“,“,p
Paul,Paul,20
hésita,hésiter,19
",",",",p
puis,puis,60
",",",",p
après,après,81
quelque,quelque,75
réflexion,réflexion,22
:,:,p
“,“,p
oui,oui,60
",",",",p
je,je,51
le,le,52
veux,vouloir,17
bien,bien,60
/.,/.,P
“,“,p
puis,puis,60
il,il,51
ajouta,ajouter,19
:,:,p
“,“,p
ça,ça,52
va,aller,17
",",",",p
ton,ton,73
affaire,affaire,22
/?,/?,P
parbleu,parbleu,93
/!,/!,P
oh,oh,93
!,!,p
je,je,51
la,le,52
tiens,tenir,17
:,:,p
elle,il,51
n',ne,60
échappera,échapper,15
pas,pas,60
",",",",p
à,à,81
présent,présent,21
/.,/.,P
“,“,p
Gontran,Gontran,20
avait,avoir,18
pris,prendre,12
maintenant,maintenant,60
son,son,73
ami,ami,21
pour,pour,81
confident,confident,21
",",",",p
et,et,82
lui,lui,51
contait,conter,18
",",",",p
jour,jour,21
par,par,81
jour,jour,21
",",",",p
ses,son,73
progrès,progrès,21
et,et,82
ses,son,73
avantages,avantage,21
/.,/.,P
il,il,51
le,le,52
faisait,faire,18
même,même,60
assister,assister,14
",",",",p
en,en,81
complice,complice,21
",",",",p
à,à,81
ses,son,73
rendez-vous,rendez-vous,21
",",",",p
car,car,82
il,il,51
avait,avoir,18
obtenu,obtenir,12
",",",",p
d',de,81
une,un,71
façon,façon,22
fort,fort,60
ingénieuse,ingénieux,30
",",",",p
des,de,81
des,le,71
rendez-vous,rendez-vous,21
de,de,81
Louise,Louise,20
Oriol,Oriol,20
/.,/.,P
après,après,81
la,le,71
promenade,promenade,22
au,à,81
au,le,71
Puy,Puy,20
de,de,81
la,le,71
Nugère,Nugère,20
",",",",p
Christiane,Christiane,20
",",",",p
mettant,mettre,13
fin,fin,22
aux,à,81
aux,le,71
excursions,excursion,22
",",",",p
ne,ne,60
sortait,sortir,18
plus,plus,60
guère,guère,60
et,et,82
rendait,rendre,18
difficiles,difficile,30
les,le,71
rencontres,rencontre,22
/.,/.,P
le,le,71
frère,frère,21
",",",",p
troublé,troublé,31
d'abord,d'abord,60
par,par,81
cette,ce,74
attitude,attitude,22
de,de,81
sa,son,73
soeur,soeur,22
",",",",p
avait,avoir,18
cherché,chercher,12
les,le,71
moyens,moyen,21
de,de,81
se,se,51
tirer,tirer,14
de,de,81
cet,ce,74
embarras,embarras,21
/.,/.,P
habitué,habitué,21
aux,à,81
aux,le,71
moeurs,moeurs,22
de,de,81
Paris,Paris,20
",",",",p
où,où,60
les,le,71
femmes,femme,22
sont,être,17
considérées,considérer,12
",",",",p
par,par,81
les,le,71
hommes,homme,21
de,de,81
son,son,73
espèce,espèce,22
",",",",p
comme,comme,83
un,un,71
gibier,gibier,21
dont,dont,52
la,le,71
chasse,chasse,22
est,être,17
souvent,souvent,60
difficile,difficile,30
",",",",p
il,il,51
avait,avoir,18
usé,user,12
",",",",p
jadis,jadis,60
",",",",p
de,de,81
bien,bien,21
des,de,81
des,le,71
ruses,ruse,22
pour,pour,81
approcher,approcher,14
de,de,81
celles,celui,52
qu',que,52
il,il,51
convoitait,convoiter,18
/.,/.,P
il,il,51
avait,avoir,18
su,savoir,12
",",",",p
mieux,mieux,60
que,que,83
personne,personne,52
",",",",p
employer,employer,14
les,le,71
intermédiaires,intermédiaire,21
",",",",p
découvrir,découvrir,14
les,le,71
complaisances,complaisance,22
intéressées,intéressé,31
et,et,82
juger,juger,14
",",",",p
d',de,81
un,un,71
coup,coup,21
d',de,81
oeil,oeil,21
",",",",p
ceux,celui,52
ou,ou,82
celles,celui,52
qui,qui,52
favoriseraient,favoriser,16
ses,son,73
intentions,intention,22
/.,/.,P
le,le,71
secours,secours,21
inconscient,inconscient,30
de,de,81
Christiane,Christiane,20
venant,venir,13
soudain,soudain,60
à,à,81
lui,lui,51
manquer,manquer,14
",",",",p
il,il,51
avait,avoir,18
cherché,chercher,12
autour,autour,60
de,de,81
lui,lui,51
le,le,71
trait,trait,21
d',de,81
union,union,22
nécessaire,nécessaire,30
",",",",p
la,le,71
“,“,p
nature,nature,22
souple,souple,30
“,“,p
",",",",p
suivant,suivant,81
son,son,73
mot,mot,21
",",",",p
qui,qui,52
remplacerait,remplacer,16
sa,son,73
soeur,soeur,22
;,;,p
et,et,82
son,son,73
choix,choix,21
s',se,51
était,être,18
arrêté,arrêter,12
bien,bien,60
vite,vite,60
sur,sur,81
la,le,71
femme,femme,22
du,de,81
du,le,71
docteur,docteur,21
Honorat,Honorat,20
/.,/.,P
beaucoup,beaucoup,60
de,de,81
raisons,raison,22
la,le,52
désignaient,désigner,18
/.,/.,P
son,son,73
mari,mari,21
d'abord,d'abord,60
",",",",p
très,très,60
lié,lié,31
avec,avec,81
les,le,71
Oriol,Oriol,20
",",",",p
soignait,soigner,18
cette,ce,74
famille,famille,22
depuis,depuis,81
vingt,vingt,72
ans,an,21
/.,/.,P
il,il,51
avait,avoir,18
vu,voir,12
naître,naître,14
les,le,71
enfants,enfant,21
",",",",p
dînait,dîner,18
chez,chez,81
eux,ils,51
tous,tout,52
les,le,71
dimanches,dimanche,21
",",",",p
et,et,82
les,le,52
recevait,recevoir,18
à,à,81
sa,son,73
table,table,22
tous,tout,75
les,le,71
mardis,mardi,21
/.,/.,P
la,le,71
femme,femme,22
",",",",p
une,un,71
grosse,gros,30
et,et,82
vieille,vieux,30
demi-dame,demi-dame,22
",",",",p
prétentieuse,prétentieux,30
",",",",p
facile,facile,30
à,à,81
conquérir,conquérir,14
par,par,81
la,le,71
vanité,vanité,22
",",",",p
devait,devoir,18
prêter,prêter,14
ses,son,73
deux,deux,72
mains,main,22
à,à,81
tout,tout,75
désir,désir,21
du,de,81
du,le,71
comte,comte,21
de,de,81
Ravenel,Ravenel,20
",",",",p
dont,dont,52
le,le,71
beau-frère,beau-frère,21
possédait,posséder,18
l',le,71
établissement,établissement,21
du,de,81
du,le,71
Mont-Oriol,Mont-Oriol,20
/.,/.,P
Gontran,Gontran,20
",",",",p
d',de,81
ailleurs,ailleurs,60
",",",",p
qui,qui,52
s',se,51
y,y,52
connaissait,connaître,18
en,en,81
proxénètes,proxénète,21
",",",",p
avait,avoir,18
jugé,juger,12
celle-là,celui-là,52
très,très,60
bien,bien,60
douée,doué,31
par,par,81
la,le,71
nature,nature,22
",",",",p
rien,rien,52
qu',que,83
à,à,81
la,le,52
voir,voir,14
passer,passer,14
dans,dans,81
la,le,71
rue,rue,22
/.,/.,P
elle,il,51
en,en,52
a,avoir,17
le,le,71
physique,physique,21
",",",",p
pensait,penser,18
il,il,51
",",",",p
et,et,82
quand,quand,83
on,on,51
a,avoir,17
le,le,71
physique,physique,21
d',de,81
un,un,71
emploi,emploi,21
",",",",p
on,on,51
en,en,52
a,avoir,17
l',le,71
âme,âme,22
/.,/.,P
donc,donc,82
il,il,51
était,être,18
entré,entrer,12
chez,chez,81
elle,il,51
",",",",p
un,un,71
jour,jour,21
",",",",p
en,en,81
reconduisant,reconduire,13
le,le,71
mari,mari,21
jusqu',jusque,81
à,à,81
sa,son,73
porte,porte,22
/.,/.,P
il,il,51
s',se,51
était,être,18
assis,asseoir,12
",",",",p
avait,avoir,18
causé,causer,12
",",",",p
complimenté,complimenter,12
la,le,71
dame,dame,22
",",",",p
et,et,82
comme,comme,83
l',le,71
heure,heure,22
du,de,81
du,le,71
dîner,dîner,21
sonnait,sonner,18
",",",",p
il,il,51
avait,avoir,18
dit,dire,12
en,en,81
se,se,51
levant,lever,13
:,:,p
“,“,p
ça,ça,52
sent,sentir,17
fort,fort,60
bon,bon,60
",",",",p
chez,chez,81
vous,vous,51
/.,/.,P
vous,vous,51
faites,faire,17
de,de,81
meilleure,meilleur,30
cuisine,cuisine,22
qu',que,83
à,à,81
l',le,71
hôtel,hôtel,21
/.,/.,P
“,“,p
madame,madame,22
Honorat,Honorat,20
",",",",p
gonflée,gonflé,31
d',de,81
orgueil,orgueil,21
",",",",p
balbutia,balbutier,19
:,:,p
“,“,p
mon,mon,73
dieu,dieu,21
…,…,p
si,si,83
j',je,51
osais,oser,18
…,…,p
si,si,83
j',je,51
osais,oser,18
",",",",p
monsieur,monsieur,21
le,le,71
Comte,Comte,20
/…,/…,P
-,-,p
si,si,83
vous,vous,51
osiez,oser,17
quoi,quoi,52
",",",",p
chère,cher,30
madame,madame,22
/?,/?,P
vous,vous,51
prier,prier,14
de,de,81
partager,partager,14
notre,notre,73
modeste,modeste,30
repas,repas,21
/.,/.,P
-,-,p
ma,mon,73
foi,foi,22
…,…,p
ma,mon,73
foi,foi,22
…,…,p
je,je,51
dirais,dire,16
oui,oui,60
/.,/.,P
“,“,p
le,le,71
docteur,docteur,21
",",",",p
inquiet,inquiet,30
",",",",p
murmura,murmurer,19
:,:,p
“,“,p
mais,mais,82
nous,nous,51
n',ne,60
avons,avoir,17
rien,rien,52
",",",",p
rien,rien,52
:,:,p
le,le,71
pot-au-feu,pot-au-feu,21
",",",",p
le,le,71
boeuf,boeuf,21
",",",",p
une,un,71
poule,poule,22
",",",",p
voilà,voilà,81
tout,tout,52
/.,/.,P
“,“,p
Gontran,Gontran,20
riait,rire,18
:,:,p
“,“,p
ça,ça,52
me,je,51
suffit,suffire,17
",",",",p
j',je,51
accepte,accepter,17
/.,/.,P
“,“,p
et,et,82
il,il,51
avait,avoir,18
dîné,dîner,12
chez,chez,81
le,le,71
ménage,ménage,21
Honorat,Honorat,20
/.,/.,P
