-
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Quatre-vingt-cinquième extrait>,<>,<>
il,il,51
allait,aller,18
la,le,52
déchirer,déchirer,14
en,en,81
petits,petit,30
morceaux,morceau,21
quand,quand,83
",",",",p
en,en,81
reconnaissant,reconnaître,13
la,le,71
voix,voix,22
de,de,81
Delphine,Delphine,20
",",",",p
il,il,51
ne,ne,60
voulut,vouloir,19
faire,faire,14
aucun,aucun,75
bruit,bruit,21
",",",",p
et,et,82
s',se,51
arrêta,arrêter,19
pour,pour,81
l',le,52
entendre,entendre,14
",",",",p
en,en,81
pensant,penser,13
qu',que,83
elle,il,51
ne,ne,60
devait,devoir,18
avoir,avoir,14
aucun,aucun,75
secret,secret,21
pour,pour,81
lui,lui,51
/.,/.,P
puis,puis,60
",",",",p
dès,dès,81
les,le,71
premiers,premier,72
mots,mot,21
",",",",p
il,il,51
trouva,trouver,19
la,le,71
conversation,conversation,22
entre,entre,81
le,le,71
père,père,21
et,et,82
la,le,71
fille,fille,22
trop,trop,60
intéressante,intéressant,30
pour,pour,81
ne,ne,60
pas,pas,60
l',le,52
écouter,écouter,14
/.,/.,P
-,-,p
ah,ah,93
!,!,p
mon,mon,73
père,père,21
",",",",p
dit,dire,19
elle,il,51
",",",",p
plaise,plaire,17
au,à,81
au,le,71
ciel,ciel,21
que,que,83
vous,vous,51
ayez,avoir,17
eu,avoir,12
l',le,71
idée,idée,22
de,de,81
demander,demander,14
compte,compte,21
de,de,81
ma,mon,73
fortune,fortune,22
assez,assez,60
à,à,81
temps,temps,21
pour,pour,81
que,que,83
je,je,51
ne,ne,60
sois,être,17
pas,pas,60
ruinée,ruiner,12
/!,/!,P
puis,pouvoir,17
je,je,51
parler,parler,14
/?,/?,P
oui,oui,60
",",",",p
la,le,71
maison,maison,22
est,être,17
vide,vide,30
",",",",p
dit,dire,19
le,le,71
père,père,21
Goriot,Goriot,20
d',de,81
une,un,71
voix,voix,22
altérée,altéré,31
/.,/.,P
-,-,p
qu',que,52
avez,avoir,17
vous,vous,51
donc,donc,82
",",",",p
mon,mon,73
père,père,21
?,?,p
reprit,reprendre,19
madame,madame,22
de,de,81
Nucingen,Nucingen,20
/.,/.,P
-,-,p
tu,tu,51
viens,venir,17
",",",",p
répondit,répondre,19
le,le,71
vieillard,vieillard,21
",",",",p
de,de,81
me,je,51
donner,donner,14
un,un,71
coup,coup,21
de,de,81
hache,hache,22
sur,sur,81
la,le,71
tête,tête,22
/.,/.,P
dieu,dieu,21
te,tu,51
pardonne,pardonner,17
",",",",p
mon,mon,73
enfant,enfant,21
/!,/!,P
tu,tu,51
ne,ne,60
sais,savoir,17
pas,pas,60
combien,combien,60
je,je,51
t',tu,51
aime,aimer,17
si,si,83
tu,tu,51
l',le,52
avais,avoir,18
su,savoir,12
",",",",p
tu,tu,51
ne,ne,60
m',je,51
aurais,avoir,16
pas,pas,60
dit,dire,12
brusquement,brusquement,60
de,de,81
semblables,semblable,30
choses,chose,22
",",",",p
surtout,surtout,60
si,si,83
rien,rien,52
n',ne,60
est,être,17
désespéré,désespérer,12
/.,/.,P
qu',que,52
est,être,17
il,il,51
donc,donc,82
arrivé,arriver,12
de,de,81
si,si,60
pressant,pressant,30
pour,pour,81
que,que,83
tu,tu,51
sois,être,17
venue,venir,12
me,je,51
chercher,chercher,14
ici,ici,60
quand,quand,83
dans,dans,81
quelques,quelque,75
instants,instant,21
nous,nous,51
allions,aller,17
être,être,14
rue,rue,22
d',de,81
Artois,Artois,20
/?,/?,P
eh,eh,93
!,!,p
mon,mon,73
père,père,21
",",",",p
est,être,17
on,on,51
maître,maître,30
de,de,81
son,son,73
premier,premier,72
mouvement,mouvement,21
dans,dans,81
une,un,71
catastrophe,catastrophe,22
?,?,p
je,je,51
suis,être,17
folle,fou,30
/!,/!,P
votre,votre,73
avoué,avoué,21
nous,nous,51
a,avoir,17
fait,faire,12
découvrir,découvrir,14
un,un,71
peu,peu,60
plus,plus,60
tôt,tôt,60
le,le,71
malheur,malheur,21
qui,qui,52
sans,sans,81
doute,doute,21
éclatera,éclater,15
plus,plus,60
tard,tard,60
/.,/.,P
votre,votre,73
vieille,vieux,30
expérience,expérience,22
commerciale,commercial,30
va,aller,17
nous,nous,51
devenir,devenir,14
nécessaire,nécessaire,30
et,et,82
je,je,51
suis,être,17
accourue,accourir,12
vous,vous,51
chercher,chercher,14
comme,comme,83
on,on,51
s',se,51
accroche,accrocher,17
à,à,81
une,un,71
branche,branche,22
quand,quand,83
on,on,51
se,se,51
noie,noyer,17
/.,/.,P
lorsque,lorsque,83
monsieur,monsieur,21
Derville,Derville,20
a,avoir,17
vu,voir,12
Nucingen,Nucingen,20
lui,lui,51
opposer,opposer,14
mille,mille,72
chicanes,chicane,22
",",",",p
il,il,51
l',le,52
a,avoir,17
menacé,menacer,12
d',de,81
un,un,71
procès,procès,21
en,en,81
lui,lui,51
disant,dire,13
que,que,83
l',le,71
autorisation,autorisation,22
du,de,81
du,le,71
président,président,21
du,de,81
du,le,71
tribunal,tribunal,21
serait,être,16
promptement,promptement,60
obtenue,obtenir,12
/.,/.,P
Nucingen,Nucingen,20
est,être,17
venu,venir,12
ce,ce,74
matin,matin,21
chez,chez,81
moi,moi,51
pour,pour,81
me,je,51
demander,demander,14
si,si,83
je,je,51
voulais,vouloir,18
sa,son,73
ruine,ruine,22
et,et,82
la,le,71
mienne,mien,52
/.,/.,P
je,je,51
lui,lui,51
ai,avoir,17
répondu,répondre,12
que,que,83
je,je,51
ne,ne,60
me,je,51
connaissais,connaître,18
à,à,81
rien,rien,52
de,de,81
tout,tout,75
cela,cela,52
",",",",p
que,que,83
j',je,51
avais,avoir,18
une,un,71
fortune,fortune,22
",",",",p
que,que,52
je,je,51
devais,devoir,18
être,être,14
en,en,81
possession,possession,22
de,de,81
ma,mon,73
fortune,fortune,22
",",",",p
et,et,82
que,que,83
tout,tout,52
ce,ce,52
qui,qui,52
avait,avoir,18
rapport,rapport,21
à,à,81
ce,ce,74
démêlé,démêlé,21
regardait,regarder,18
mon,mon,73
avoué,avoué,21
",",",",p
que,que,83
j',je,51
étais,être,18
de,de,81
la,le,71
dernière,dernier,30
ignorance,ignorance,22
et,et,82
dans,dans,81
l',le,71
impossibilité,impossibilité,22
de,de,81
rien,rien,52
entendre,entendre,14
à,à,81
ce,ce,74
sujet,sujet,21
/.,/.,P
n',ne,60
était,être,18
ce,ce,52
pas,pas,60
ce,ce,52
que,que,52
vous,vous,51
m',je,51
aviez,avoir,18
recommandé,recommander,12
de,de,81
dire,dire,14
/?,/?,P
bien,bien,60
",",",",p
répondit,répondre,19
le,le,71
père,père,21
Goriot,Goriot,20
/.,/.,P
-,-,p
eh,eh,93
bien,bien,60
!,!,p
reprit,reprendre,19
Delphine,Delphine,20
",",",",p
il,il,51
m',je,51
a,avoir,17
mise,mettre,12
au,à,81
au,le,71
fait,fait,21
de,de,81
ses,son,73
affaires,affaire,22
/.,/.,P
il,il,51
a,avoir,17
jeté,jeter,12
tous,tout,75
ses,son,73
capitaux,capital,21
et,et,82
les,le,71
miens,mien,52
dans,dans,81
des,de,81
des,le,71
entreprises,entreprise,22
à,à,81
peine,peine,22
commencées,commencé,31
",",",",p
et,et,82
pour,pour,81
lesquelles,lequel,52
il,il,51
a,avoir,17
fallu,falloir,12
mettre,mettre,14
de,de,81
grandes,grand,30
sommes,somme,22
en,en,81
dehors,dehors,21
/.,/.,P
si,si,83
je,je,51
le,le,52
forçais,forcer,18
à,à,81
me,je,51
représenter,représenter,14
ma,mon,73
dot,dot,22
",",",",p
il,il,51
serait,être,16
obligé,obliger,12
de,de,81
déposer,déposer,14
son,son,73
bilan,bilan,21
;,;,p
tandis que,tandis que,83
",",",",p
si,si,83
je,je,51
veux,vouloir,17
attendre,attendre,14
un,un,71
an,an,21
",",",",p
il,il,51
s',se,51
engage,engager,17
sur,sur,81
l',le,71
honneur,honneur,21
à,à,81
me,je,51
rendre,rendre,14
une,un,71
fortune,fortune,22
double,double,30
ou,ou,82
triple,triple,30
de,de,81
la,le,71
mienne,mien,52
en,en,81
plaçant,placer,13
mes,mon,73
capitaux,capital,21
dans,dans,81
des,de,81
des,le,71
opérations,opération,22
territoriales,territorial,30
à,à,81
la,le,71
fin,fin,22
desquelles,de,81
desquelles,lequel,52
je,je,51
serai,être,16
maîtresse,maître,30
de,de,81
tous,tout,75
les,le,71
biens,bien,21
/.,/.,P
mon,mon,73
cher,cher,30
père,père,21
",",",",p
il,il,51
était,être,18
sincère,sincère,30
",",",",p
il,il,51
m',je,51
a,avoir,17
effrayée,effrayer,12
/.,/.,P
il,il,51
m',je,51
a,avoir,17
demandé,demander,12
pardon,pardon,21
de,de,81
sa,son,73
conduite,conduite,22
",",",",p
il,il,51
m',je,51
a,avoir,17
rendu,rendre,12
ma,mon,73
liberté,liberté,22
",",",",p
m',je,51
a,avoir,17
permis,permettre,12
de,de,81
me,je,51
conduire,conduire,14
à,à,81
ma,mon,73
guise,guise,22
",",",",p
à,à,81
la,le,71
condition,condition,22
de,de,81
le,le,52
laisser,laisser,14
entièrement,entièrement,60
maître,maître,30
de,de,81
gérer,gérer,14
les,le,71
affaires,affaire,22
sous,sous,81
mon,mon,73
nom,nom,21
/.,/.,P
il,il,51
m',je,51
a,avoir,17
promis,promettre,12
",",",",p
pour,pour,81
me,je,51
prouver,prouver,14
sa,son,73
bonne,bon,30
foi,foi,22
",",",",p
d',de,81
appeler,appeler,14
monsieur,monsieur,21
Derville,Derville,20
toutes,tout,75
les,le,71
fois,fois,22
que,que,83
je,je,51
le,le,52
voudrais,vouloir,16
pour,pour,81
juger,juger,14
si,si,83
les,le,71
actes,acte,21
en,en,81
vertu,vertu,22
desquels,de,81
desquels,lequel,52
il,il,51
m',je,51
instituerait,instituer,16
propriétaire,propriétaire,21
seraient,être,16
convenablement,convenablement,60
rédigés,rédiger,12
/.,/.,P
enfin,enfin,60
il,il,51
s',se,51
est,être,17
remis,remettre,12
entre,entre,81
mes,mon,73
mains,main,22
pieds,pied,21
et,et,82
poings,poing,21
liés,lié,31
/.,/.,P
il,il,51
demande,demander,17
encore,encore,60
pendant,pendant,81
deux,deux,72
ans,an,21
la,le,71
conduite,conduite,22
de,de,81
la,le,71
maison,maison,22
",",",",p
et,et,82
m',je,51
a,avoir,17
suppliée,supplier,12
de,de,81
ne,ne,60
rien,rien,52
dépenser,dépenser,14
pour,pour,81
moi,moi,51
de,de,81
plus,plus,60
qu',que,83
il,il,51
ne,ne,60
m',je,51
accorde,accorder,17
/.,/.,P
il,il,51
m',je,51
a,avoir,17
prouvé,prouver,12
que,que,83
tout,tout,52
ce,ce,52
qu',que,52
il,il,51
pouvait,pouvoir,18
faire,faire,14
était,être,18
de,de,81
conserver,conserver,14
les,le,71
apparences,apparence,22
",",",",p
qu',que,52
il,il,51
avait,avoir,18
renvoyé,renvoyer,12
sa,son,73
danseuse,danseuse,22
",",",",p
et,et,82
qu',que,83
il,il,51
allait,aller,18
être,être,14
contraint,contraindre,12
à,à,81
la,le,71
plus,plus,60
stricte,strict,30
mais,mais,82
à,à,81
la,le,71
plus,plus,60
sourde,sourd,30
économie,économie,22
",",",",p
afin,afin,81
d',de,81
atteindre,atteindre,14
au,à,81
au,le,71
terme,terme,21
de,de,81
ses,son,73
spéculations,spéculation,22
sans,sans,81
altérer,altérer,14
son,son,73
crédit,crédit,21
/.,/.,P
je,je,51
l',le,52
ai,avoir,17
malmené,malmener,12
",",",",p
j',je,51
ai,avoir,17
tout,tout,52
mis,mettre,12
en,en,81
doute,doute,21
afin,afin,81
de,de,81
le,le,52
pousser,pousser,14
à,à,81
bout,bout,21
et,et,82
d',de,81
en,en,52
apprendre,apprendre,14
davantage,davantage,60
:,:,p
il,il,51
m',je,51
a,avoir,17
montré,montrer,12
ses,son,73
livres,livre,21
",",",",p
enfin,enfin,60
il,il,51
a,avoir,17
pleuré,pleurer,12
/.,/.,P
je,je,51
n',ne,60
ai,avoir,17
jamais,jamais,60
vu,voir,12
d',de,81
homme,homme,21
en,en,81
pareil,pareil,30
état,état,21
/.,/.,P
il,il,51
avait,avoir,18
perdu,perdre,12
la,le,71
tête,tête,22
",",",",p
il,il,51
parlait,parler,18
de,de,81
se,se,51
tuer,tuer,14
",",",",p
il,il,51
délirait,délirer,18
/.,/.,P
il,il,51
m',je,51
a,avoir,17
fait,faire,12
pitié,pitié,22
/.,/.,P
-,-,p
et,et,82
tu,tu,51
crois,croire,17
à,à,81
ces,ce,74
sornettes,sornette,22
",",",",p
s',se,51
écria,écrier,19
le,le,71
père,père,21
Goriot,Goriot,20
/.,/.,P
c',ce,52
est,être,17
un,un,71
comédien,comédien,21
/!,/!,P
j',je,51
ai,avoir,17
rencontré,rencontrer,12
des,de,81
des,le,71
Allemands,Allemand,20
en,en,81
affaires,affaire,22
:,:,p
ces,ce,74
gens,gens,21
là,là,60
sont,être,17
presque,presque,60
tous,tout,52
de,de,81
bonne,bon,30
foi,foi,22
",",",",p
pleins,plein,30
de,de,81
candeur,candeur,22
;,;,p
mais,mais,82
",",",",p
quand,quand,83
",",",",p
sous,sous,81
leur,leur,73
air,air,21
de,de,81
franchise,franchise,22
et,et,82
de,de,81
bonhomie,bonhomie,22
",",",",p
ils,ils,51
se,se,51
mettent,mettre,17
à,à,81
être,être,14
malins,malin,30
et,et,82
charlatans,charlatan,21
",",",",p
ils,ils,51
le,le,52
sont,être,17
alors,alors,60
plus,plus,60
que,que,83
les,le,71
autres,autre,52
/.,/.,P
ton,ton,73
mari,mari,21
t',tu,51
abuse,abuser,17
/.,/.,P
il,il,51
se,se,51
sent,sentir,17
serré,serré,31
de,de,81
près,près,81
",",",",p
il,il,51
fait,faire,17
le,le,71
mort,mort,21
",",",",p
il,il,51
veut,vouloir,17
rester,rester,14
plus,plus,60
maître,maître,30
sous,sous,81
ton,ton,73
nom,nom,21
qu',que,83
il,il,51
ne,ne,60
l',le,52
est,être,17
sous,sous,81
le,le,71
sien,sien,52
/.,/.,P
il,il,51
va,aller,17
profiter,profiter,14
de,de,81
cette,ce,74
circonstance,circonstance,22
pour,pour,81
se,se,51
mettre,mettre,14
à,à,81
l',le,71
abri,abri,21
des,de,81
des,le,71
chances,chance,22
de,de,81
son,son,73
commerce,commerce,21
/.,/.,P
il,il,51
est,être,17
aussi,aussi,60
fin,fin,30
que,que,83
perfide,perfide,30
;,;,p
c',ce,52
est,être,17
un,un,71
mauvais,mauvais,30
gars,gars,21
/.,/.,P
non,non,60
",",",",p
non,non,60
",",",",p
je,je,51
ne,ne,60
m',je,51
en,en,52
irai,aller,15
pas,pas,60
au,à,81
au,le,71
Père-Lachaise,Père Lachaise,20
en,en,81
laissant,laisser,13
mes,mon,73
filles,fille,22
dénuées,dénué,30
de,de,81
tout,tout,52
/.,/.,P
je,je,51
me,je,51
connais,connaître,17
encore,encore,60
un,un,71
peu,peu,60
aux,à,81
aux,le,71
affaires,affaire,22
/.,/.,P
il,il,51
a,avoir,17
",",",",p
dit,dire,12
il,il,51
",",",",p
engagé,engager,12
ses,son,73
fonds,fonds,21
dans,dans,81
les,le,71
entreprises,entreprise,22
",",",",p
eh,eh,93
bien,bien,60
!,!,p
ses,son,73
intérêts,intérêt,21
sont,être,17
représentés,représenter,12
par,par,81
des,de,81
des,le,71
valeurs,valeur,22
",",",",p
par,par,81
des,de,81
des,le,71
reconnaissances,reconnaissance,22
",",",",p
par,par,81
des,de,81
des,le,71
traités,traité,21
!,!,p
qu',que,52
il,il,51
les,le,52
montre,montrer,17
",",",",p
et,et,82
liquide,liquider,17
avec,avec,81
toi,toi,51
/.,/.,P
nous,nous,51
choisirons,choisir,15
les,le,71
meilleures,meilleur,30
spéculations,spéculation,22
",",",",p
nous,nous,51
en,en,52
courrons,courir,15
les,le,71
chances,chance,22
",",",",p
et,et,82
nous,nous,51
aurons,avoir,15
les,le,71
titres,titre,21
recognitifs,recognitif,30
en,en,81
notre,notre,73
nom,nom,21
de,de,81
Delphine,Delphine,20
Goriot,Goriot,20
",",",",p
épouse,épouse,22
séparée,séparé,31
quant,quand,83
aux,à,81
aux,le,71
biens,bien,21
du,de,81
du,le,71
baron,baron,21
de,de,81
Nucingen,Nucingen,20
/.,/.,P
mais,mais,82
nous,nous,51
prend,prendre,17
il,il,51
pour,pour,81
des,de,81
des,le,71
imbéciles,imbécile,21
",",",",p
celui-là,celui-là,52
/?,/?,P
croit,croire,17
il,il,51
que,que,83
je,je,51
puisse,pouvoir,17
supporter,supporter,14
pendant,pendant,81
deux,deux,72
jours,jour,21
l',le,71
idée,idée,22
de,de,81
te,tu,51
laisser,laisser,14
sans,sans,81
fortune,fortune,22
",",",",p
sans,sans,81
pain,pain,21
/?,/?,P
je,je,51
ne,ne,60
la,le,52
supporterais,supporter,16
pas,pas,60
un,un,71
jour,jour,21
",",",",p
pas,pas,60
une,un,71
nuit,nuit,22
",",",",p
pas,pas,60
deux,deux,72
heures,heure,22
/!,/!,P
si,si,83
cette,ce,74
idée,idée,22
était,être,18
vraie,vrai,30
",",",",p
je,je,51
n',ne,60
y,y,52
survivrais,survivre,16
pas,pas,60
/.,/.,P
eh,eh,93
quoi,quoi,52
!,!,p
j',je,51
aurai,avoir,15
travaillé,travailler,12
pendant,pendant,81
quarante,quarante,72
ans,an,21
de,de,81
ma,mon,73
vie,vie,22
",",",",p
j',je,51
aurai,avoir,15
porté,porter,12
des,de,81
des,le,71
sacs,sac,21
sur,sur,81
mon,mon,73
dos,dos,21
",",",",p
j',je,51
aurai,avoir,15
sué,suer,12
des,de,81
des,le,71
averses,averse,22
",",",",p
je,je,51
me,je,51
serai,être,16
privé,priver,12
pendant,pendant,81
toute,tout,75
ma,mon,73
vie,vie,22
pour,pour,81
vous,vous,51
",",",",p
mes,mon,73
anges,ange,21
",",",",p
qui,qui,52
me,je,51
rendiez,rendre,18
tout,tout,75
travail,travail,21
",",",",p
tout,tout,75
fardeau,fardeau,21
léger,léger,30
;,;,p
et,et,82
aujourd'hui,aujourd'hui,60
ma,mon,73
fortune,fortune,22
",",",",p
ma,mon,73
vie,vie,22
s',se,51
en,en,52
iraient,aller,16
en,en,81
fumée,fumée,22
/!,/!,P
ceci,ceci,52
me,je,51
ferait,faire,16
mourir,mourir,14
enragé,enragé,31
/.,/.,P
par,par,81
tout,tout,52
ce,ce,52
qu',que,52
il,il,51
y,y,52
a,avoir,17
de,de,81
plus,plus,60
sacré,sacrer,12
sur,sur,81
terre,terre,22
et,et,82
au,à,81
au,le,71
ciel,ciel,21
",",",",p
nous,nous,51
allons,aller,17
tirer,tirer,14
ça,ça,52
au,à,81
au,le,71
clair,clair,21
",",",",p
vérifier,vérifier,14
les,le,71
livres,livre,21
",",",",p
la,le,71
caisse,caisse,22
",",",",p
les,le,71
entreprises,entreprise,22
!,!,p
je,je,51
ne,ne,60
dors,dormir,17
pas,pas,60
",",",",p
je,je,51
ne,ne,60
me,je,51
couche,coucher,17
pas,pas,60
",",",",p
je,je,51
ne,ne,60
mange,manger,17
pas,pas,60
",",",",p
qu',que,83
il,il,51
ne,ne,60
me,je,51
soit,être,17
prouvé,prouver,12
que,que,83
ta,ton,73
fortune,fortune,22
est,être,17
là,là,60
tout,tout,60
entière,entier,30
/.,/.,P
dieu,dieu,21
merci,merci,21
",",",",p
tu,tu,51
es,être,17
séparée,séparer,12
de,de,81
biens,bien,21
;,;,p
tu,tu,51
auras,avoir,15
maître,maître,21
Derville,Derville,20
pour,pour,81
avoué,avoué,21
",",",",p
un,un,71
honnête,honnête,30
homme,homme,21
heureusement,heureusement,60
/.,/.,P
jour,jour,21
de,de,81
dieu,dieu,21
!,!,p
tu,tu,51
garderas,garder,15
ton,ton,73
bon,bon,30
petit,petit,30
million,million,21
",",",",p
tes,ton,73
cinquante,cinquante,72
mille,mille,72
livres,livre,22
de,de,81
rente,rente,22
",",",",p
jusqu',jusque,81
à,à,81
la,le,71
fin,fin,22
de,de,81
tes,ton,73
jours,jour,21
",",",",p
ou,ou,82
je,je,51
fais,faire,17
un,un,71
tapage,tapage,21
dans,dans,81
Paris,Paris,20
",",",",p
ah,ah,93
!,!,p
ah,ah,93
/!,/!,P
mais,mais,82
je,je,51
m',je,51
adresserais,adresser,16
aux,à,81
aux,le,71
chambres,chambre,22
si,si,83
les,le,71
tribunaux,tribunal,21
nous,nous,51
victimaient,victimer,18
/.,/.,P
te,tu,51
savoir,savoir,14
tranquille,tranquille,30
et,et,82
heureuse,heureux,30
du,de,81
du,le,71
côté,côté,21
de,de,81
l',le,71
argent,argent,21
",",",",p
mais,mais,82
cette,ce,74
pensée,pensée,22
allégeait,alléger,18
tous,tout,75
mes,mon,73
maux,mal,21
et,et,82
calmait,calmer,18
mes,mon,73
chagrins,chagrin,21
/.,/.,P
l',le,71
argent,argent,21
",",",",p
c',ce,52
est,être,17
la,le,71
vie,vie,22
/.,/.,P
monnaie,monnaie,22
fait,faire,17
tout,tout,52
/.,/.,P
que,que,52
nous,nous,51
chante,chanter,17
t,t,94
il,il,51
donc,donc,82
",",",",p
cette,ce,74
grosse,gros,30
souche,souche,22
d',de,81
Alsacien,Alsacien,20
/?,/?,P
Delphine,Delphine,20
",",",",p
ne,ne,60
fais,faire,17
pas,pas,60
une,un,71
concession,concession,22
d',de,81
un,un,71
quart,quart,21
de,de,81
liard,liard,21
à,à,81
cette,ce,74
grosse,gros,30
bête,bête,22
",",",",p
qui,qui,52
t',tu,51
a,avoir,17
mise,mettre,12
à,à,81
la,le,71
chaîne,chaîne,22
et,et,82
t',tu,51
a,avoir,17
rendue,rendre,12
malheureuse,malheureux,30
/.,/.,P
s',si,83
il,il,51
a,avoir,17
besoin,besoin,21
de,de,81
toi,toi,51
",",",",p
nous,nous,51
le,le,52
tricoterons,tricoter,15
ferme,ferme,30
",",",",p
et,et,82
nous,nous,51
le,le,52
ferons,faire,15
marcher,marcher,14
droit,droit,60
/.,/.,P
mon,mon,73
dieu,dieu,21
",",",",p
j',je,51
ai,avoir,17
la,le,71
tête,tête,22
en,en,81
feu,feu,21
",",",",p
j',je,51
ai,avoir,17
dans,dans,81
le,le,71
crâne,crâne,21
quelque,quelque,75
chose,chose,22
qui,qui,52
me,je,51
brûle,brûler,17
/.,/.,P
ma,mon,73
Delphine,Delphine,20
sur,sur,81
la,le,71
paille,paille,22
/!,/!,P
oh,oh,93
!,!,p
ma,mon,73
Fifine,Fifine,20
",",",",p
toi,toi,51
/!,/!,P
sapristi,sapristi,93
",",",",p
où,où,60
sont,être,17
mes,mon,73
gants,gant,21
/?,/?,P
allons,aller,17
!,!,p
partons,partir,17
",",",",p
je,je,51
veux,vouloir,17
aller,aller,14
tout,tout,52
voir,voir,14
",",",",p
les,le,71
livres,livre,21
",",",",p
les,le,71
affaires,affaire,22
",",",",p
la,le,71
caisse,caisse,22
",",",",p
la,le,71
correspondance,correspondance,22
",",",",p
à,à,81
l',le,71
instant,instant,21
/.,/.,P
je,je,51
ne,ne,60
serai,être,16
calme,calme,30
que,que,83
quand,quand,83
il,il,51
me,je,51
sera,être,15
prouvé,prouver,12
que,que,83
ta,ton,73
fortune,fortune,22
ne,ne,60
court,courir,17
plus,plus,60
de,de,81
risques,risque,21
",",",",p
et,et,82
que,que,83
je,je,51
la,le,52
verrai,voir,15
de,de,81
mes,mon,73
yeux,oeil,21
/.,/.,P
-,-,p
mon,mon,73
cher,cher,30
père,père,21
!,!,p
allez,aller,17
y,y,52
prudemment,prudemment,60
/.,/.,P
si,si,83
vous,vous,51
mettiez,mettre,18
la,le,71
moindre,moindre,30
velléité,velléité,22
