11735
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Quatre-vingt-quatrième extrait>,<>,<>
clarté,clarté,22
jaune,jaune,30
du,de,81
du,le,71
rat-de-cave,rat-de-cave,21
dessinait,dessiner,18
l',le,71
ombre,ombre,22
de,de,81
nez,nez,21
énormes,énorme,30
et,et,82
de,de,81
mèches,mèche,22
de,de,81
cheveux,cheveu,21
roidies,roidi,31
/.,/.,P
cependant,cependant,82
la,le,71
bande,bande,22
réactionnaire,réactionnaire,30
se,se,51
compta,compter,19
",",",",p
et,et,82
",",",",p
devant,devant,81
son,son,73
petit,petit,30
nombre,nombre,21
",",",",p
elle,il,51
eut,avoir,19
une,un,71
hésitation,hésitation,22
/.,/.,P
on,on,51
n',ne,60
était,être,18
que,que,83
trente,trente,72
neuf,neuf,72
",",",",p
on,on,51
allait,aller,18
bien,bien,60
sûr,sûr,30
se,se,51
faire,faire,14
massacrer,massacrer,14
;,;,p
un,un,71
père,père,21
de,de,81
famille,famille,22
parla,parler,19
de,de,81
ses,son,73
enfants,enfant,21
;,;,p
d',de,81
autres,autre,52
",",",",p
sans,sans,81
alléguer,alléguer,14
de,de,81
prétexte,prétexte,21
",",",",p
se,se,51
dirigèrent,diriger,19
vers,vers,81
la,le,71
porte,porte,22
/.,/.,P
mais,mais,82
deux,deux,72
conjurés,conjuré,21
arrivèrent,arriver,19
encore,encore,60
;,;,p
ceux-là,celui-là,52
demeuraient,demeurer,18
sur,sur,81
la,le,71
place,place,22
de,de,81
l',le,71
Hôtel-de-Ville,Hôtel de Ville,20
",",",",p
ils,ils,51
savaient,savoir,18
qu',que,83
il,il,51
restait,rester,18
",",",",p
à,à,81
la,le,71
mairie,mairie,22
",",",",p
au,à,81
au,le,71
plus,plus,60
une,un,71
vingtaine,vingtaine,22
de,de,81
républicains,républicain,21
/.,/.,P
on,on,51
délibéra,délibérer,19
de,de,81
nouveau,nouveau,21
/.,/.,P
quarante,quarante,72
et,et,82
un,un,71
contre,contre,81
vingt,vingt,72
parut,paraître,19
un,un,71
chiffre,chiffre,21
possible,possible,30
/.,/.,P
la,le,71
distribution,distribution,22
des,de,81
des,le,71
armes,arme,22
se,se,51
fit,faire,19
au,à,81
au,le,71
milieu,milieu,21
d',de,81
un,un,71
petit,petit,30
frémissement,frémissement,21
/.,/.,P
c',ce,52
était,être,18
Rougon,Rougon,20
qui,qui,52
puisait,puiser,18
dans,dans,81
les,le,71
caisses,caisse,22
",",",",p
et,et,82
chacun,chacun,52
",",",",p
en,en,81
recevant,recevoir,13
son,son,73
fusil,fusil,21
",",",",p
dont,dont,52
le,le,71
canon,canon,21
",",",",p
par,par,81
cette,ce,74
nuit,nuit,22
de,de,81
décembre,décembre,21
",",",",p
était,être,18
glacé,glacer,12
",",",",p
sentait,sentir,18
un,un,71
grand,grand,30
froid,froid,21
le,le,52
pénétrer,pénétrer,14
et,et,82
le,le,52
geler,geler,14
jusqu',jusque,81
aux,à,81
aux,le,71
entrailles,entraille,22
/.,/.,P
les,le,71
ombres,ombre,22
",",",",p
sur,sur,81
les,le,71
murs,mur,21
",",",",p
prirent,prendre,19
des,de,81
des,le,71
attitudes,attitude,22
bizarres,bizarre,30
de,de,81
conscrits,conscrit,21
embarrassés,embarrassé,31
",",",",p
écartant,écarter,13
leurs,leur,73
dix,dix,72
doigts,doigt,21
/.,/.,P
Pierre,Pierre,20
referma,refermer,19
les,le,71
caisses,caisse,22
avec,avec,81
regret,regret,21
;,;,p
il,il,51
laissait,laisser,18
là,là,60
cent,cent,72
neuf,neuf,72
fusils,fusil,21
qu',que,52
il,il,51
aurait,avoir,16
distribués,distribuer,12
de,de,81
bon,bon,30
coeur,coeur,21
;,;,p
ensuite,ensuite,60
il,il,51
passa,passer,19
au,à,81
au,le,71
partage,partage,21
des,de,81
des,le,71
cartouches,cartouche,22
/.,/.,P
il,il,51
y,y,52
en,en,52
avait,avoir,18
",",",",p
au,à,81
au,le,71
fond,fond,21
de,de,81
la,le,71
remise,remise,22
",",",",p
deux,deux,72
grands,grand,30
tonneaux,tonneau,21
",",",",p
pleins,plein,30
jusqu',jusque,81
aux,à,81
aux,le,71
bords,bord,21
",",",",p
de,de,81
quoi,quoi,52
défendre,défendre,14
Plassans,Plassans,20
contre,contre,81
une,un,71
armée,armée,22
/.,/.,P
et,et,82
",",",",p
comme,comme,83
ce,ce,74
coin,coin,21
n',ne,60
était,être,18
pas,pas,60
éclairé,éclairer,12
",",",",p
et,et,82
qu',que,52
un,un,52
de,de,81
ces,ce,74
messieurs,monsieur,21
apportait,apporter,18
le,le,71
rat-de-cave,rat-de-cave,21
",",",",p
un,un,71
autre,autre,52
des,de,81
des,le,71
conjurés,conjuré,21
",",",",p
-,-,p
c',ce,52
était,être,18
un,un,71
gros,gros,30
charcutier,charcutier,21
qui,qui,52
avait,avoir,18
des,de,81
des,le,71
poings,poing,21
de,de,81
géant,géant,21
",",",",p
-,-,p
se,se,51
fâcha,fâcher,19
",",",",p
disant,dire,13
qu',que,83
il,il,51
n',ne,60
était,être,18
pas,pas,60
du,de,81
du,le,71
tout,tout,60
prudent,prudent,30
d',de,81
approcher,approcher,14
ainsi,ainsi,60
la,le,71
lumière,lumière,22
/.,/.,P
on,on,51
l',le,52
approuva,approuver,19
fort,fort,60
/.,/.,P
les,le,71
cartouches,cartouche,22
furent,être,19
distribuées,distribuer,12
en,en,81
pleine,plein,30
obscurité,obscurité,22
/.,/.,P
ils,ils,51
s',se,51
en,en,52
emplirent,emplir,19
les,le,71
poches,poche,22
à,à,81
les,le,52
faire,faire,14
crever,crever,14
/.,/.,P
puis,puis,60
",",",",p
quand,quand,83
ils,ils,51
furent,être,19
prêts,prêt,30
",",",",p
quand,quand,83
ils,ils,51
eurent,avoir,19
chargé,charger,12
leurs,leur,73
armes,arme,22
avec,avec,81
des,de,81
des,le,71
précautions,précaution,22
infinies,infini,30
",",",",p
ils,ils,51
restèrent,rester,19
là,là,60
un,un,71
instant,instant,21
",",",",p
à,à,81
se,se,51
regarder,regarder,14
d',de,81
un,un,71
air,air,21
louche,louche,30
",",",",p
en,en,81
échangeant,échanger,13
des,de,81
des,le,71
regards,regard,21
où,où,60
de,de,81
la,le,71
cruauté,cruauté,22
lâche,lâche,30
luisait,luire,18
dans,dans,81
de,de,81
la,le,71
bêtise,bêtise,22
/.,/.,P
dans,dans,81
les,le,71
rues,rue,22
",",",",p
ils,ils,51
s',se,51
avancèrent,avancer,19
le,le,71
long,long,21
des,de,81
des,le,71
maisons,maison,22
",",",",p
muets,muet,30
",",",",p
sur,sur,81
une,un,71
seule,seul,30
file,file,22
",",",",p
comme,comme,83
des,de,81
des,le,71
sauvages,sauvage,21
qui,qui,52
partent,partir,17
pour,pour,81
la,le,71
guerre,guerre,22
/.,/.,P
Rougon,Rougon,20
avait,avoir,18
tenu,tenir,12
