11514
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Soixante-dix-huitième extrait>,<>,<>
-,-,p
comment,comment,60
",",",",p
pas,pas,60
du,de,81
du,le,71
tout,tout,21
?,?,p
jamais,jamais,60
?,?,p
dit,dire,19
Germain,Germain,20
",",",",p
en,en,81
commençant,commencer,13
à,à,81
manger,manger,14
avec,avec,81
un,un,71
appétit,appétit,21
de,de,81
laboureur,laboureur,21
",",",",p
mais,mais,82
coupant,couper,13
les,le,71
meilleurs,meilleur,30
morceaux,morceau,21
pour,pour,81
les,le,52
offrir,offrir,14
à,à,81
sa,son,73
compagne,compagne,22
",",",",p
qui,qui,52
refusa,refuser,19
obstinément,obstinément,60
et,et,82
se,se,51
contenta,contenter,19
de,de,81
quelques,quelque,75
châtaignes,châtaigne,22
/.,/.,P
dis,dire,17
moi,moi,51
donc,donc,82
",",",",p
petite,petit,30
Marie,Marie,20
",",",",p
reprit,reprendre,19
il,il,51
",",",",p
voyant,voir,13
qu',que,83
elle,il,51
ne,ne,60
songeait,songer,18
pas,pas,60
à,à,81
lui,lui,51
répondre,répondre,14
",",",",p
tu,tu,51
n',ne,60
as,avoir,17
pas,pas,60
encore,encore,60
eu,avoir,12
l',le,71
idée,idée,22
du,de,81
du,le,71
mariage,mariage,21
/?,/?,P
tu,tu,51
es,être,17
en,en,81
âge,âge,21
pourtant,pourtant,60
/!,/!,P
-,-,p
peut-être,peut-être,60
",",",",p
dit,dire,19
elle,il,51
;,;,p
mais,mais,82
je,je,51
suis,être,17
trop,trop,60
pauvre,pauvre,30
/.,/.,P
il,il,51
faut,falloir,17
au,à,81
au,le,71
moins,moins,60
cent,cent,72
écus,écu,21
pour,pour,81
entrer,entrer,14
en,en,81
ménage,ménage,21
",",",",p
et,et,82
je,je,51
dois,devoir,17
travailler,travailler,14
cinq,cinq,72
ou,ou,82
six,six,72
ans,an,21
pour,pour,81
les,le,52
amasser,amasser,14
/.,/.,P
-,-,p
pauvre,pauvre,30
fille,fille,22
!,!,p
je,je,51
voudrais,vouloir,16
que,que,83
le,le,71
père,père,21
Maurice,Maurice,20
voulût,vouloir,18
bien,bien,60
me,je,51
donner,donner,14
cent,cent,72
écus,écu,21
pour,pour,81
t',tu,51
en,en,52
faire,faire,14
cadeau,cadeau,21
/.,/.,P
-,-,p
grand,grand,30
merci,merci,21
",",",",p
Germain,Germain,20
/.,/.,P
eh,eh,93
bien,bien,60
!,!,p
qu',que,52
est,être,17
ce,ce,52
qu',que,83
on,on,51
dirait,dire,16
de,de,81
moi,moi,51
/?,/?,P
-,-,p
que,que,52
veux,vouloir,17
tu,tu,51
qu',que,83
on,on,51
dise,dire,17
?,?,p
on,on,51
sait,savoir,17
bien,bien,60
que,que,83
je,je,51
suis,être,17
vieux,vieux,30
et,et,82
que,que,83
je,je,51
ne,ne,60
peux,pouvoir,17
pas,pas,60
t',tu,51
épouser,épouser,14
/.,/.,P
alors,alors,60
on,on,51
ne,ne,60
supposerait,supposer,16
pas,pas,60
que,que,83
je,je,51
...,...,p
que,que,83
tu,tu,51
/.,/.,P
..,/...,P
la,le,71
prière,prière,22
du,de,81
du,le,71
soir,soir,21
/.,/.,P
Petit-Pierre,Petit Pierre,20
s',se,51
était,être,18
soulevé,soulever,12
et,et,82
regardait,regarder,18
autour,autour,60
de,de,81
lui,lui,51
d',de,81
un,un,71
air,air,21
pensif,pensif,30
/.,/.,P
-,-,p
ah,ah,93
!,!,p
il,il,51
n',ne,60
en,en,52
fait,faire,17
jamais,jamais,60
d',de,81
autre,autre,52
quand,quand,83
il,il,51
entend,entendre,17
manger,manger,14
",",",",p
celui-là,celui-là,52
!,!,p
dit,dire,19
Germain,Germain,20
:,:,p
le,le,71
bruit,bruit,21
du,de,81
du,le,71
canon,canon,21
ne,ne,60
le,le,52
réveillerait,réveiller,16
pas,pas,60
;,;,p
mais,mais,82
quand,quand,83
on,on,51
remue,remuer,17
les,le,71
mâchoires,mâchoire,22
auprès,auprès,60
de,de,81
lui,lui,51
",",",",p
il,il,51
ouvre,ouvrir,17
les,le,71
yeux,oeil,21
tout,tout,60
de,de,81
suite,suite,22
/.,/.,P
-,-,p
vous,vous,51
avez,avoir,17
dû,devoir,12
être,être,14
comme,comme,83
ça,ça,52
à,à,81
son,son,73
âge,âge,21
",",",",p
dit,dire,19
la,le,71
petite,petit,30
Marie,Marie,20
avec,avec,81
un,un,71
sourire,sourire,21
malin,malin,30
/.,/.,P
allons,aller,17
",",",",p
mon,mon,73
petit,petit,30
Pierre,Pierre,20
",",",",p
tu,tu,51
cherches,chercher,17
ton,ton,73
ciel,ciel,21
de,de,81
lit,lit,21
/?,/?,P
il,il,51
est,être,17
fait,faire,12
de,de,81
verdure,verdure,22
",",",",p
ce,ce,74
soir,soir,21
",",",",p
mon,mon,73
enfant,enfant,21
;,;,p
mais,mais,82
ton,ton,73
père,père,21
n',ne,60
en,en,52
soupe,souper,17
pas,pas,60
moins,moins,60
/.,/.,P
veux,vouloir,17
tu,tu,51
souper,souper,14
avec,avec,81
lui,lui,51
/?,/?,P
je,je,51
n',ne,60
ai,avoir,17
pas,pas,60
mangé,manger,12
ta,ton,73
part,part,22
;,;,p
je,je,51
me,je,51
doutais,douter,18
bien,bien,60
que,que,83
tu,tu,51
la,le,52
réclamerais,réclamer,16
/!,/!,P
-,-,p
Marie,Marie,20
",",",",p
je,je,51
veux,vouloir,17
que,que,83
tu,tu,51
manges,manger,17
",",",",p
s',se,51
écria,écrier,19
le,le,71
laboureur,laboureur,21
",",",",p
je,je,51
ne,ne,60
mangerai,manger,15
plus,plus,60
/.,/.,P
je,je,51
suis,être,17
un,un,71
vorace,vorace,30
",",",",p
un,un,71
grossier,grossier,30
:,:,p
toi,toi,51
",",",",p
tu,tu,51
te,tu,51
prives,priver,17
pour,pour,81
nous,nous,51
",",",",p
ce,ce,52
n',ne,60
est,être,17
pas,pas,60
juste,juste,30
",",",",p
j',je,51
en,en,52
ai,avoir,17
honte,honte,22
/.,/.,P
tiens,tenir,17
",",",",p
ça,ça,52
m',je,51
ôte,ôter,17
la,le,71
faim,faim,22
;,;,p
je,je,51
ne,ne,60
veux,vouloir,17
pas,pas,60
que,que,83
mon,mon,73
fils,fils,21
soupe,souper,17
",",",",p
si,si,83
tu,tu,51
ne,ne,60
soupes,souper,17
pas,pas,60
/.,/.,P
-,-,p
laissez,laisser,17
nous,nous,51
tranquilles,tranquille,30
",",",",p
répondit,répondre,19
la,le,71
petite,petit,30
Marie,Marie,20
",",",",p
vous,vous,51
n',ne,60
avez,avoir,17
pas,pas,60
la,le,71
clef,clé,22
de,de,81
nos,notre,73
appétits,appétit,21
/.,/.,P
le,le,71
mien,mien,52
est,être,17
fermé,fermer,12
aujourd'hui,aujourd'hui,60
",",",",p
mais,mais,82
celui,celui,52
de,de,81
votre,votre,73
Pierre,Pierre,20
est,être,17
ouvert,ouvrir,12
comme,comme,83
celui,celui,52
d',de,81
un,un,71
petit,petit,30
loup,loup,21
/.,/.,P
tenez,tenir,17
",",",",p
voyez,voir,17
comme,comme,83
il,il,51
s',se,51
y,y,52
prend,prendre,17
/!,/!,P
ôh,oh,93
!,!,p
ce,ce,52
sera,être,15
aussi,aussi,60
un,un,71
rude,rude,30
laboureur,laboureur,21
/!,/!,P
en,en,81
effet,effet,21
",",",",p
Petit-Pierre,Petit Pierre,20
montra,montrer,19
bientôt,bientôt,60
de,de,81
qui,qui,52
il,il,51
était,être,18
fils,fils,21
",",",",p
et,et,82
à,à,81
peine,peine,22
éveillé,éveillé,31
",",",",p
ne,ne,60
comprenant,comprendre,13
ni,ni,82
où,où,60
il,il,51
était,être,18
",",",",p
ni,ni,82
comment,comment,60
il,il,51
y,y,52
était,être,18
venu,venir,12
",",",",p
il,il,51
se,se,51
mit,mettre,19
à,à,81
dévorer,dévorer,14
/.,/.,P
puis,puis,60
",",",",p
quand,quand,83
il,il,51
n',ne,60
eut,avoir,19
plus,plus,60
faim,faim,22
",",",",p
se,se,51
trouvant,trouver,13
excité,excité,31
comme,comme,83
il,il,51
arrive,arriver,17
aux,à,81
aux,le,71
enfants,enfant,21
qui,qui,52
rompent,rompre,17
leurs,leur,73
habitudes,habitude,22
il,il,51
eut,avoir,19
plus,plus,60
d',de,81
esprit,esprit,21
",",",",p
plus,plus,60
de,de,81
curiosité,curiosité,22
et,et,82
plus,plus,60
de,de,81
raisonnement,raisonnement,21
qu',que,83
à,à,81
l',le,71
ordinaire,ordinaire,21
/.,/.,P
il,il,51
se,se,51
fit,faire,19
expliquer,expliquer,14
où,où,60
il,il,51
était,être,18
",",",",p
et,et,82
quand,quand,83
il,il,51
sut,savoir,19
que,que,83
c',ce,52
était,être,18
au,à,81
au,le,71
milieu,milieu,21
d',de,81
un,un,71
bois,bois,21
",",",",p
il,il,51
eut,avoir,19
un,un,71
peu,peu,60
peur,peur,22
/.,/.,P
-,-,p
y,y,52
a,avoir,17
t,t,94
il,il,51
des,de,81
des,le,71
méchantes,méchant,30
bêtes,bête,22
dans,dans,81
ce,ce,74
bois,bois,21
?,?,p
demanda,demander,19
t,t,94
il,il,51
à,à,81
son,son,73
père,père,21
/.,/.,P
-,-,p
non,non,60
",",",",p
fit,faire,19
le,le,71
père,père,21
",",",",p
il,il,51
n',ne,60
y,y,52
en,en,52
a,avoir,17
point,point,60
/.,/.,P
ne,ne,60
crains,craindre,17
rien,rien,52
/.,/.,P
-,-,p
tu,tu,51
as,avoir,17
donc,donc,82
menti,mentir,12
quand,quand,83
tu,tu,51
m',je,51
as,avoir,17
dit,dire,12
que,que,83
si,si,83
j',je,51
allais,aller,18
avec,avec,81
toi,toi,51
dans,dans,81
les,le,71
grands,grand,30
bois,bois,21
les,le,71
loups,loup,21
m',je,51
emporteraient,emporter,16
/?,/?,P
-,-,p
voyez,voir,17
vous,vous,51
ce,ce,74
raisonneur,raisonneur,21
?,?,p
dit,dire,19
Germain,Germain,20
embarrassé,embarrassé,31
/.,/.,P
-,-,p
il,il,51
a,avoir,17
raison,raison,22
",",",",p
reprit,reprendre,19
la,le,71
petite,petit,30
Marie,Marie,20
",",",",p
vous,vous,51
lui,lui,51
avez,avoir,17
dit,dire,12
cela,cela,52
:,:,p
il,il,51
a,avoir,17
bonne,bon,30
mémoire,mémoire,22
",",",",p
il,il,51
s',se,51
en,en,52
souvient,souvenir,17
/.,/.,P
mais,mais,82
apprends,apprendre,17
",",",",p
mon,mon,73
petit,petit,30
Pierre,Pierre,20
",",",",p
que,que,83
ton,ton,73
père,père,21
ne,ne,60
ment,mentir,17
jamais,jamais,60
/.,/.,P
nous,nous,51
avons,avoir,17
passé,passer,12
les,le,71
grands,grand,30
bois,bois,21
pendant,pendant,81
que,que,83
tu,tu,51
dormais,dormir,18
",",",",p
et,et,82
nous,nous,51
sommes,être,17
à,à,81
présent,présent,21
dans,dans,81
les,le,71
petits,petit,30
bois,bois,21
",",",",p
où,où,60
il,il,51
n',ne,60
y,y,52
a,avoir,17
pas,pas,60
de,de,81
méchantes,méchant,30
bêtes,bête,22
/.,/.,P
-,-,p
les,le,71
petits,petit,30
bois,bois,21
sont,être,17
ils,ils,51
bien,bien,60
loin,loin,60
des,de,81
des,le,71
grands,grand,21
/?,/?,P
-,-,p
assez,assez,60
loin,loin,60
;,;,p
d',de,81
ailleurs,ailleurs,60
les,le,71
loups,loup,21
ne,ne,60
sortent,sortir,17
pas,pas,60
des,de,81
des,le,71
grands,grand,30
bois,bois,21
/.,/.,P
et,et,82
puis,puis,60
",",",",p
s',si,83
il,il,51
en,en,52
venait,venir,18
ici,ici,60
",",",",p
ton,ton,73
père,père,21
les,le,52
tuerait,tuer,16
/.,/.,P
-,-,p
et,et,82
toi,toi,51
aussi,aussi,60
",",",",p
petite,petit,30
Marie,Marie,20
/?,/?,P
-,-,p
et,et,82
nous,nous,51
aussi,aussi,60
",",",",p
car,car,82
tu,tu,51
nous,nous,51
aiderais,aider,16
bien,bien,60
",",",",p
mon,mon,73
Pierre,Pierre,20
/?,/?,P
tu,tu,51
n',ne,60
as,avoir,17
pas,pas,60
peur,peur,22
",",",",p
toi,toi,51
/?,/?,P
tu,tu,51
taperais,taper,16
bien,bien,60
dessus,dessus,60
/!,/!,P
-,-,p
oui,oui,60
",",",",p
oui,oui,60
",",",",p
dit,dire,19
l',le,71
enfant,enfant,21
enorgueilli,enorgueilli,31
",",",",p
en,en,81
prenant,prendre,13
une,un,71
pose,pose,22
héroïque,héroïque,30
",",",",p
nous,nous,51
les,le,52
tuerions,tuer,16
/!,/!,P
-,-,p
il,il,51
n',ne,60
y,y,52
a,avoir,17
personne,personne,52
comme,comme,83
toi,toi,51
pour,pour,81
parler,parler,14
aux,à,81
aux,le,71
enfants,enfant,21
",",",",p
dit,dire,19
Germain,Germain,20
à,à,81
la,le,71
petite,petit,30
Marie,Marie,20
",",",",p
et,et,82
pour,pour,81
leur,leur,52
faire,faire,14
entendre,entendre,14
raison,raison,22
/.,/.,P
il,il,51
est,être,17
vrai,vrai,30
qu',que,83
il,il,51
n',ne,60
y,y,52
a,avoir,17
pas,pas,60
longtemps,longtemps,60
que,que,83
tu,tu,51
étais,être,18
toi-même,toi-même,51
un,un,71
petit,petit,30
enfant,enfant,21
et,et,82
tu,tu,51
te,tu,51
souviens,souvenir,17
de,de,81
ce,ce,52
que,que,52
te,tu,51
disait,dire,18
ta,ton,73
mère,mère,22
/.,/.,P
je,je,51
crois,croire,17
bien,bien,60
que,que,83
plus,plus,60
on,on,51
est,être,17
jeune,jeune,30
",",",",p
mieux,mieux,60
on,on,51
s',se,51
entend,entendre,17
avec,avec,81
ceux,celui,52
qui,qui,52
le,le,52
sont,être,17
/.,/.,P
j',je,51
ai,avoir,17
grand',grand,30
peur,peur,22
qu',que,83
une,un,71
femme,femme,22
de,de,81
trente,trente,72
ans,an,21
",",",",p
qui,qui,52
ne,ne,60
sait,savoir,17
pas,pas,60
encore,encore,60
ce,ce,52
que,que,52
c',ce,52
est,être,17
que,que,83
d',de,81
être,être,14
mère,mère,22
",",",",p
n',ne,60
apprenne,apprendre,17
avec,avec,81
peine,peine,22
à,à,81
babiller,babiller,14
et,et,82
à,à,81
raisonner,raisonner,14
avec,avec,81
des,de,81
des,le,71
marmots,marmot,21
/.,/.,P
-,-,p
pourquoi,pourquoi,60
donc,donc,82
pas,pas,60
",",",",p
Germain,Germain,20
/?,/?,P
je,je,51
ne,ne,60
sais,savoir,17
pourquoi,pourquoi,60
vous,vous,51
avez,avoir,17
une,un,71
mauvaise,mauvais,30
idée,idée,22
touchant,toucher,13
cette,ce,74
femme,femme,22
;,;,p
vous,vous,51
en,en,52
reviendrez,revenir,15
/!,/!,P
-,-,p
au,à,81
au,le,71
diable,diable,21
la,le,71
femme,femme,22
!,!,p
dit,dire,19
Germain,Germain,20
/.,/.,P
je,je,51
voudrais,vouloir,16
en,en,52
être,être,14
revenu,revenir,12
pour,pour,81
n',ne,60
y,y,52
plus,plus,60
retourner,retourner,14
/.,/.,P
qu',que,52
ai,avoir,17
je,je,51
besoin,besoin,21
d',de,81
une,un,71
femme,femme,22
que,que,52
je,je,51
ne,ne,60
connais,connaître,17
pas,pas,60
/?,/?,P
-,-,p
mon,mon,73
petit,petit,30
père,père,21
",",",",p
dit,dire,19
l',le,71
enfant,enfant,21
",",",",p
pourquoi,pourquoi,60
donc,donc,82
est,être,17
ce,ce,52
que,que,83
tu,tu,51
parles,parler,17
toujours,toujours,60
de,de,81
ta,ton,73
femme,femme,22
aujourd'hui,aujourd'hui,60
puisqu',puisque,83
elle,il,51
est,être,17
morte,mourir,12
/?,/?,P
-,-,p
hélas,hélas,60
!,!,p
tu,tu,51
ne,ne,60
l',le,52
as,avoir,17
donc,donc,82
pas,pas,60
oubliée,oublier,12
",",",",p
toi,toi,51
",",",",p
ta,ton,73
pauvre,pauvre,30
chère,cher,30
mère,mère,22
/?,/?,P
-,-,p
non,non,60
",",",",p
puisque,puisque,83
je,je,51
l',le,52
ai,avoir,17
vu,voir,12
mettre,mettre,14
dans,dans,81
une,un,71
belle,beau,30
boîte,boîte,22
de,de,81
bois,bois,21
blanc,blanc,30
",",",",p
et,et,82
que,que,83
ma,mon,73
grand'mère,grand-mère,22
m',je,51
a,avoir,17
conduit,conduire,12
auprès,auprès,60
pour,pour,81
l',le,52
embrasser,embrasser,14
et,et,82
lui,lui,51
dire,dire,14
adieu,adieu,21
/!,/!,P
elle,il,51
était,être,18
toute,tout,60
blanche,blanc,30
et,et,82
toute,tout,60
froide,froid,30
",",",",p
et,et,82
tous,tout,75
les,le,71
soirs,soir,21
ma,mon,73
tante,tante,22
me,je,51
fait,faire,17
prier,prier,14
le,le,71
bon,bon,30
dieu,dieu,21
pour,pour,81
qu',que,83
elle,il,51
aille,aller,17
se,se,51
réchauffer,réchauffer,14
avec,avec,81
lui,lui,51
dans,dans,81
le,le,71
ciel,ciel,21
/.,/.,P
crois,croire,17
tu,tu,51
qu',que,83
elle,il,51
y,y,52
soit,être,17
",",",",p
à,à,81
présent,présent,21
/?,/?,P
-,-,p
je,je,51
l',le,52
espère,espérer,17
",",",",p
mon,mon,73
enfant,enfant,21
;,;,p
mais,mais,82
il,il,51
faut,falloir,17
toujours,toujours,60
prier,prier,14
",",",",p
ça,ça,52
fait,faire,17
voir,voir,14
à,à,81
ta,ton,73
mère,mère,22
que,que,83
tu,tu,51
l',le,52
aimes,aimer,17
/.,/.,P
-,-,p
je,je,51
vas,aller,17
dire,dire,14
ma,mon,73
prière,prière,22
",",",",p
reprit,reprendre,19
l',le,71
enfant,enfant,21
;,;,p
je,je,51
n',ne,60
ai,avoir,17
pas,pas,60
pensé,penser,12
à,à,81
la,le,52
dire,dire,14
ce,ce,74
soir,soir,21
/.,/.,P
mais,mais,82
je,je,51
ne,ne,60
peux,pouvoir,17
pas,pas,60
la,le,52
dire,dire,14
tout,tout,60
seul,seul,30
;,;,p
j',je,51
en,en,52
oublie,oublier,17
toujours,toujours,60
un,un,71
peu,peu,60
/.,/.,P
il,il,51
faut,falloir,17
que,que,83
la,le,71
petite,petit,30
Marie,Marie,20
m',je,51
aide,aider,17
/.,/.,P
-,-,p
oui,oui,60
",",",",p
mon,mon,73
Pierre,Pierre,20
",",",",p
je,je,51
vas,aller,17
t',tu,51
aider,aider,14
",",",",p
dit,dire,19
la,le,71
jeune,jeune,30
fille,fille,22
/.,/.,P
viens,venir,17
là,là,60
",",",",p
te,tu,51
mettre,mettre,14
à,à,81
genoux,genou,21
sur,sur,81
moi,moi,51
/.,/.,P
l',le,71
enfant,enfant,21
s',se,51
agenouilla,agenouiller,19
sur,sur,81
la,le,71
jupe,jupe,22
de,de,81
la,le,71
jeune,jeune,30
fille,fille,22
",",",",p
joignit,joindre,19
ses,son,73
petites,petit,30
mains,main,22
",",",",p
et,et,82
se,se,51
mit,mettre,19
à,à,81
réciter,réciter,14
sa,son,73
prière,prière,22
",",",",p
d'abord,d'abord,60
avec,avec,81
attention,attention,22
et,et,82
ferveur,ferveur,22
",",",",p
car,car,82
il,il,51
savait,savoir,18
très,très,60
bien,bien,60
le,le,71
commencement,commencement,21
;,;,p
puis,puis,60
avec,avec,81
plus,plus,60
de,de,81
lenteur,lenteur,22
et,et,82
d',de,81
hésitation,hésitation,22
",",",",p
et,et,82
enfin,enfin,60
répétant,répéter,13
mot,mot,21
à,à,81
mot,mot,21
ce,ce,52
que,que,52
lui,lui,51
dictait,dicter,18
la,le,71
petite,petit,30
Marie,Marie,20
",",",",p
lorsqu',lorsque,83
il,il,51
arriva,arriver,19
à,à,81
cet,ce,74
endroit,endroit,21
de,de,81
son,son,73
oraison,oraison,22
",",",",p
où,où,60
le,le,71
sommeil,sommeil,21
le,le,52
gagnant,gagner,13
chaque,chaque,75
soir,soir,21
",",",",p
il,il,51
n',ne,60
avait,avoir,18
jamais,jamais,60
pu,pouvoir,12
l',le,52
apprendre,apprendre,14
jusqu',jusque,81
au,à,81
au,le,71
bout,bout,21
/.,/.,P
cette,ce,74
fois,fois,22
encore,encore,60
",",",",p
le,le,71
travail,travail,21
de,de,81
l',le,71
attention,attention,22
et,et,82
la,le,71
monotonie,monotonie,22
de,de,81
son,son,73
propre,propre,30
accent,accent,21
produisirent,produire,19
leur,leur,73
effet,effet,21
accoutumé,accoutumé,31
",",",",p
il,il,51
ne,ne,60
prononça,prononcer,19
plus,plus,60
qu',que,83
avec,avec,81
effort,effort,21
les,le,71
dernières,dernier,30
syllabes,syllabe,22
",",",",p
et,et,82
encore,encore,60
après,après,81
se,se,51
les,le,52
être,être,14
fait,faire,12
répéter,répéter,14
trois,trois,72
fois,fois,22
;,;,p
sa,son,73
tête,tête,22
s',se,51
appesantit,appesantir,19
et,et,82
se,se,51
pencha,pencher,19
sur,sur,81
la,le,71
poitrine,poitrine,22
de,de,81
Marie,Marie,20
:,:,p
ses,son,73
mains,main,22
se,se,51
détendirent,détendre,19
",",",",p
se,se,51
séparèrent,séparer,19
et,et,82
retombèrent,retomber,19
ouvertes,ouvert,31
sur,sur,81
ses,son,73
genoux,genou,21
/.,/.,P
à,à,81
la,le,71
lueur,lueur,22
du,de,81
du,le,71
feu,feu,21
du,de,81
du,le,71
bivouac,bivouac,21
",",",",p
Germain,Germain,20
regarda,regarder,19
son,son,73
petit,petit,30
ange,ange,21
assoupi,assoupi,31
sur,sur,81
le,le,71
coeur,coeur,21
de,de,81
la,le,71
jeune,jeune,30
fille,fille,22
",",",",p
qui,qui,52
",",",",p
le,le,52
soutenant,soutenir,13
dans,dans,81
ses,son,73
bras,bras,21
et,et,82
réchauffant,réchauffer,13
ses,son,73
cheveux,cheveu,21
blonds,blond,30
de,de,81
sa,son,73
pure,pur,30
haleine,haleine,22
",",",",p
s',se,51
était,être,18
laissée,laisser,12
aller,aller,14
aussi,aussi,60
à,à,81
une,un,71
rêverie,rêverie,22
pieuse,pieux,30
et,et,82
priait,prier,18
mentalement,mentalement,60
pour,pour,81
l',le,71
âme,âme,22
de,de,81
Catherine,Catherine,20
/.,/.,P
Germain,Germain,20
fut,être,19
attendri,attendrir,12
",",",",p
chercha,chercher,19
ce,ce,52
qu',que,52
il,il,51
pourrait,pouvoir,16
dire,dire,14
à,à,81
la,le,71
petite,petit,30
Marie,Marie,20
pour,pour,81
lui,lui,51
exprimer,exprimer,14
ce,ce,52
qu',que,52
elle,il,51
lui,lui,51
inspirait,inspirer,18
d',de,81
estime,estime,22
et,et,82
de,de,81
reconnaissance,reconnaissance,22
",",",",p
mais,mais,82
ne,ne,60
trouva,trouver,19
rien,rien,52
qui,qui,52
pût,pouvoir,18
rendre,rendre,14
sa,son,73
pensée,pensée,22
/.,/.,P
il,il,51
s',se,51
approcha,approcher,19
d',de,81
elle,il,51
pour,pour,81
embrasser,embrasser,14
son,son,73
fils,fils,21
qu',que,52
elle,il,51
tenait,tenir,18
toujours,toujours,60
pressé,pressé,31
contre,contre,81
son,son,73
sein,sein,21
",",",",p
et,et,82
il,il,51
eut,avoir,19
peine,peine,22
à,à,81
détacher,détacher,14
ses,son,73
lèvres,lèvre,22
du,de,81
du,le,71
front,front,21
du,de,81
du,le,71
petit,petit,30
Pierre,Pierre,20
/.,/.,P
-,-,p
vous,vous,51
l',le,52
embrassez,embrasser,17
trop,trop,60
fort,fort,60
",",",",p
lui,lui,51
dit,dire,19
Marie,Marie,20
en,en,81
repoussant,repousser,13
doucement,doucement,60
la,le,71
tête,tête,22
du,de,81
du,le,71
laboureur,laboureur,21
",",",",p
vous,vous,51
allez,aller,17
le,le,52
réveiller,réveiller,14
/.,/.,P
laissez,laisser,17
moi,moi,51
le,le,52
recoucher,recoucher,14
",",",",p
puisque,puisque,83
le,le,52
voilà,voilà,81
reparti,reparti,31
pour,pour,81
les,le,71
rêves,rêve,21
du,de,81
du,le,71
paradis,paradis,21
/.,/.,P
l',le,71
enfant,enfant,21
se,se,51
laissa,laisser,19
coucher,coucher,14
",",",",p
mais,mais,82
en,en,81
s',se,51
étendant,étendre,13
sur,sur,81
la,le,71
peau,peau,22
de,de,81
chèvre,chèvre,22
du,de,81
du,le,71
bât,bât,21
",",",",p
il,il,51
demanda,demander,19
s',si,83
il,il,51
était,être,18
sur,sur,81
la,le,71
Grise,Grise,20
/.,/.,P
puis,puis,60
",",",",p
ouvrant,ouvrir,13
ses,son,73
grands,grand,30
yeux,oeil,21
bleus,bleu,30
",",",",p
et,et,82
les,le,52
tenant,tenir,13
fixés,fixé,31
vers,vers,81
les,le,71
branches,branche,22
pendant,pendant,81
une,un,71
minute,minute,22
",",",",p
il,il,51
parut,paraître,19
rêver,rêver,14
