11688
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Trente-cinquième extrait>,<>,<>
laissez,laisser,17
vingt,vingt,72
quatre,quatre,72
heures,heure,22
à,à,81
une,un,71
parisienne,parisien,30
aux,à,81
aux,le,71
abois,aboi,21
",",",",p
elle,il,51
bouleverserait,bouleverser,16
un,un,71
ministère,ministère,21
/.,/.,P
cet,ce,74
homme,homme,21
de,de,81
l',le,71
Empire,empire,21
",",",",p
habitué,habitué,31
au,à,81
au,le,71
genre,genre,21
Empire,empire,21
",",",",p
devait,devoir,18
ignorer,ignorer,14
absolument,absolument,60
les,le,71
façons,façon,22
de,de,81
l',le,71
amour,amour,21
moderne,moderne,30
/.,/.,P
les,le,71
nouveaux,nouveau,30
scrupules,scrupule,21
",",",",p
les,le,71
différentes,différent,30
conversations,conversation,22
inventées,inventé,31
depuis,depuis,81
<Nombre 1830>,<>,<>
mille,mille,72
huit,huit,72
cent,cent,72
trente,trente,72
<Fin nombre>,<>,<>
",",",",p
et,et,82
où,où,60
la,le,71
pauvre,pauvre,30
faible,faible,30
femme,femme,22
finit,finir,19
par,par,81
se,se,51
faire,faire,14
considérer,considérer,14
comme,comme,83
la,le,71
victime,victime,22
des,de,81
des,le,71
désirs,désir,21
de,de,81
son,son,73
amant,amant,21
",",",",p
comme,comme,83
une,un,71
soeur,soeur,22
de,de,81
charité,charité,22
qui,qui,52
panse,panser,17
des,de,81
des,le,71
blessures,blessure,22
",",",",p
comme,comme,83
un,un,71
ange,ange,21
qui,qui,52
se,se,51
dévoue,dévouer,17
ce,ce,74
nouvel,nouveau,30
art,art,21
d',de,81
aimer,aimer,14
consomme,consommer,17
énormément,énormément,60
de,de,81
paroles,parole,22
évangéliques,évangélique,30
à,à,81
l',le,71
oeuvre,oeuvre,22
du,de,81
du,le,71
diable,diable,21
/.,/.,P
la,le,71
passion,passion,22
est,être,17
un,un,71
martyre,martyre,21
/.,/.,P
on,on,51
aspire,aspirer,17
à,à,81
l',le,71
idéal,idéal,21
",",",",p
à,à,81
l',le,71
infini,infini,21
",",",",p
de,de,81
part,part,22
et,et,82
d',de,81
autre,autre,52
l',l',94
on,on,51
veut,vouloir,17
devenir,devenir,14
meilleurs,meilleur,30
par,par,81
l',le,71
amour,amour,21
/.,/.,P
toutes,tout,75
ces,ce,74
belles,beau,30
phrases,phrase,22
sont,être,17
un,un,71
prétexte,prétexte,21
à,à,81
mettre,mettre,14
encore,encore,60
plus,plus,60
d',de,81
ardeur,ardeur,22
dans,dans,81
la,le,71
pratique,pratique,22
",",",",p
plus,plus,60
de,de,81
rage,rage,22
dans,dans,81
les,le,71
chutes,chute,22
que,que,83
par,par,81
le,le,71
passé,passé,21
/.,/.,P
cette,ce,74
hypocrisie,hypocrisie,22
",",",",p
le,le,71
caractère,caractère,21
de,de,81
notre,notre,73
temps,temps,21
",",",",p
a,avoir,17
gangrené,gangrener,12
la,le,71
galanterie,galanterie,22
/.,/.,P
on,on,51
est,être,17
deux,deux,72
anges,ange,21
",",",",p
et,et,82
l',l',94
on,on,51
se,se,51
comporte,comporter,17
comme,comme,83
deux,deux,72
démons,démon,21
",",",",p
si,si,83
l',l',94
on,on,51
peut,pouvoir,17
/.,/.,P
l',le,71
amour,amour,21
n',ne,60
avait,avoir,18
pas,pas,60
le,le,71
temps,temps,21
de,de,81
s',se,51
analyser,analyser,14
ainsi,ainsi,60
lui-même,lui-même,51
entre,entre,81
deux,deux,72
campagnes,campagne,22
",",",",p
et,et,82
",",",",p
en,en,81
<Nombre 1809>,<>,<>
mille,mille,72
huit,huit,72
cent,cent,72
neuf,neuf,72
<Fin nombre>,<>,<>
",",",",p
il,il,51
allait,aller,18
aussi,aussi,60
vite,vite,60
que,que,83
l',le,71
Empire,empire,21
",",",",p
en,en,81
succès,succès,21
/.,/.,P
or,or,82
",",",",p
sous,sous,81
la,le,71
restauration,restauration,22
",",",",p
le,le,71
bel,beau,30
Hulot,Hulot,20
",",",",p
en,en,81
redevenant,redevenir,13
homme,homme,21
à,à,81
femmes,femme,22
",",",",p
avait,avoir,18
d'abord,d'abord,60
consolé,consoler,12
quelques,quelque,75
anciennes,ancien,30
amies,amie,22
alors,alors,60
tombées,tombé,31
",",",",p
comme,comme,83
des,de,81
des,le,71
astres,astre,21
éteints,éteint,31
du,de,81
du,le,71
firmament,firmament,21
politique,politique,30
",",",",p
et,et,82
de,de,81
là,là,60
",",",",p
vieillard,vieillard,21
",",",",p
il,il,51
s',se,51
était,être,18
laissé,laisser,12
capturer,capturer,14
par,par,81
les,le,71
Jenny,Jenny,20
Cadine,Cadine,20
et,et,82
les,le,71
Josépha,Josépha,20
/.,/.,P
madame,madame,22
Marneffe,Marneffe,20
avait,avoir,18
dressé,dresser,12
ses,son,73
batteries,batterie,22
en,en,81
apprenant,apprendre,13
les,le,71
antécédents,antécédent,21
du,de,81
du,le,71
directeur,directeur,21
",",",",p
que,que,52
son,son,73
mari,mari,21
lui,lui,51
raconta,raconter,19
longuement,longuement,60
",",",",p
après,après,81
quelques,quelque,75
renseignements,renseignement,21
pris,pris,31
dans,dans,81
les,le,71
bureaux,bureau,21
/.,/.,P
la,le,71
comédie,comédie,22
du,de,81
du,le,71
sentiment,sentiment,21
moderne,moderne,30
pouvant,pouvoir,13
avoir,avoir,14
pour,pour,81
le,le,71
baron,baron,21
le,le,71
charme,charme,21
de,de,81
la,le,71
nouveauté,nouveauté,22
",",",",p
le,le,71
parti,parti,21
de,de,81
Valérie,Valérie,20
était,être,18
pris,prendre,12
",",",",p
et,et,82
",",",",p
disons,dire,17
le,le,52
",",",",p
l',le,71
essai,essai,21
qu',que,52
elle,il,51
fit,faire,19
de,de,81
sa,son,73
puissance,puissance,22
pendant,pendant,81
cette,ce,74
matinée,matinée,22
répondit,répondre,19
à,à,81
toutes,tout,75
ses,son,73
espérances,espérance,22
/.,/.,P
grâce,grâce,22
à,à,81
ces,ce,74
manoeuvres,manoeuvre,22
sentimentales,sentimental,30
",",",",p
romanesques,romanesque,30
et,et,82
romantiques,romantique,30
",",",",p
Valérie,Valérie,20
obtint,obtenir,19
",",",",p
sans,sans,81
avoir,avoir,14
rien,rien,52
promis,promettre,12
",",",",p
la,le,71
place,place,22
de,de,81
sous-chef,sous-chef,21
et,et,82
la,le,71
croix,croix,22
de,de,81
la,le,71
légion,légion,22
d',de,81
honneur,honneur,21
pour,pour,81
son,son,73
mari,mari,21
/.,/.,P
cette,ce,74
petite,petit,30
guerre,guerre,22
n',ne,60
alla,aller,19
pas,pas,60
sans,sans,81
des,de,81
des,le,71
dîners,dîner,21
au,à,81
au,le,71
rocher,rocher,21
de,de,81
Cancale,Cancale,20
",",",",p
sans,sans,81
des,de,81
des,le,71
parties,partie,22
de,de,81
spectacle,spectacle,21
",",",",p
sans,sans,81
beaucoup,beaucoup,60
de,de,81
cadeaux,cadeau,21
en,en,81
mantilles,mantille,22
",",",",p
en,en,81
écharpes,écharpe,22
",",",",p
en,en,81
robes,robe,22
",",",",p
en,en,81
bijoux,bijou,21
/.,/.,P
l',le,71
appartement,appartement,21
de,de,81
la,le,71
rue,rue,22
du,de,81
du,le,71
Doyenné,Doyenné,20
déplaisait,déplaire,18
",",",",p
le,le,71
baron,baron,21
complota,comploter,19
d',de,81
en,en,52
meubler,meubler,14
un,un,52
magnifiquement,magnifiquement,60
",",",",p
rue,rue,22
Vanneau,Vanneau,20
",",",",p
dans,dans,81
une,un,71
charmante,charmant,30
maison,maison,22
moderne,moderne,30
/.,/.,P
monsieur,monsieur,21
Marneffe,Marneffe,20
obtint,obtenir,19
un,un,71
congé,congé,21
de,de,81
quinze,quinze,72
jours,jour,21
",",",",p
à,à,81
prendre,prendre,14
dans,dans,81
un,un,71
mois,mois,21
",",",",p
pour,pour,81
aller,aller,14
régler,régler,14
des,de,81
des,le,71
affaires,affaire,22
d',de,81
intérêt,intérêt,21
dans,dans,81
son,son,73
pays,pays,21
",",",",p
et,et,82
une,un,71
gratification,gratification,22
/.,/.,P
il,il,51
se,se,51
promit,promettre,19
de,de,81
faire,faire,14
un,un,71
petit,petit,30
voyage,voyage,21
en,en,81
Suisse,Suisse,20
pour,pour,81
y,y,52
étudier,étudier,14
le,le,71
beau,beau,30
sexe,sexe,21
/.,/.,P
si,si,83
le,le,71
baron,baron,21
Hulot,Hulot,20
s',se,51
occupa,occuper,19
de,de,81
sa,son,73
protégée,protégée,22
",",",",p
il,il,51
n',ne,60
oublia,oublier,19
pas,pas,60
son,son,73
protégé,protégé,21
/.,/.,P
le,le,71
ministre,ministre,21
du,de,81
du,le,71
commerce,commerce,21
",",",",p
le,le,71
comte,comte,21
Popinot,Popinot,20
",",",",p
aimait,aimer,18
les,le,71
arts,art,21
:,:,p
il,il,51
donna,donner,19
deux,deux,72
mille,mille,72
francs,franc,21
d',de,81
un,un,71
exemplaire,exemplaire,21
du,de,81
du,le,71
groupe,groupe,21
de,de,81
Samson,Samson,20
",",",",p
à,à,81
la,le,71
condition,condition,22
que,que,83
le,le,71
moule,moule,21
serait,être,16
brisé,briser,12
",",",",p
pour,pour,81
qu',que,83
il,il,51
n',ne,60
existât,exister,18
que,que,83
son,son,73
Samson,Samson,20
et,et,82
celui,celui,52
de,de,81
mademoiselle,mademoiselle,22
Hulot,Hulot,20
/.,/.,P
ce,ce,74
groupe,groupe,21
excita,exciter,19
l',le,71
admiration,admiration,22
d',de,81
un,un,71
prince,prince,21
à,à,81
qui,qui,52
l',l',94
on,on,51
porta,porter,19
le,le,71
modèle,modèle,21
de,de,81
la,le,71
pendule,pendule,22
et,et,82
qui,qui,52
la,le,52
commanda,commander,19
;,;,p
mais,mais,82
elle,il,51
devait,devoir,18
être,être,14
unique,unique,30
",",",",p
et,et,82
il,il,51
en,en,52
offrit,offrir,19
trente,trente,72
mille,mille,72
francs,franc,21
/.,/.,P
les,le,71
artistes,artiste,21
consultés,consulté,31
",",",",p
au,à,81
au,le,71
nombre,nombre,21
desquels,de,81
desquels,lequel,52
fut,être,19
Stidmann,Stidmann,20
",",",",p
déclarèrent,déclarer,19
que,que,83
l',le,71
auteur,auteur,21
de,de,81
ces,ce,74
deux,deux,72
oeuvres,oeuvre,22
pouvait,pouvoir,18
faire,faire,14
une,un,71
statue,statue,22
/.,/.,P
aussitôt,aussitôt,60
",",",",p
le,le,71
maréchal,maréchal,21
prince,prince,21
de,de,81
Wissembourg,Wissembourg,20
",",",",p
ministre,ministre,21
de,de,81
la,le,71
guerre,guerre,22
et,et,82
président,président,21
du,de,81
du,le,71
comité,comité,21
de,de,81
souscription,souscription,22
pour,pour,81
le,le,71
monument,monument,21
du,de,81
du,le,71
maréchal,maréchal,21
Montcornet,Montcornet,20
",",",",p
fit,faire,19
prendre,prendre,14
une,un,71
délibération,délibération,22
par,par,81
laquelle,lequel,52
l',le,71
exécution,exécution,22
en,en,52
était,être,18
confiée,confier,12
à,à,81
Steinbock,Steinbock,20
/.,/.,P
le,le,71
comte,comte,21
de,de,81
Rastignac,Rastignac,20
",",",",p
alors,alors,60
sous-secrétaire,sous-secrétaire,21
d',de,81
Etat,état,21
",",",",p
voulut,vouloir,19
une,un,71
oeuvre,oeuvre,22
de,de,81
l',le,71
artiste,artiste,21
dont,dont,52
la,le,71
gloire,gloire,22
surgissait,surgir,18
aux,à,81
aux,le,71
acclamations,acclamation,22
de,de,81
ses,son,73
rivaux,rival,21
/.,/.,P
il,il,51
obtint,obtenir,19
de,de,81
Steinbock,Steinbock,20
le,le,71
délicieux,délicieux,30
groupe,groupe,21
des,de,81
des,le,71
deux,deux,72
petits,petit,30
garçons,garçon,21
couronnant,couronner,13
une,un,71
petite,petit,30
fille,fille,22
",",",",p
et,et,82
il,il,51
lui,lui,51
promit,promettre,19
un,un,71
atelier,atelier,21
au,à,81
au,le,71
dépôt,dépôt,21
des,de,81
des,le,71
marbres,marbre,21
du,de,81
du,le,71
gouvernement,gouvernement,21
",",",",p
situé,situé,31
",",",",p
comme,comme,83
on,on,51
sait,savoir,17
",",",",p
au,à,81
au,le,71
Gros-Caillou,Gros Caillou,20
/.,/.,P
ce,ce,52
fut,être,19
le,le,71
succès,succès,21
",",",",p
mais,mais,82
le,le,71
succès,succès,21
comme,comme,83
il,il,51
vient,venir,17
à,à,81
Paris,Paris,20
",",",",p
c'est-à-dire,c'est-à-dire,91
fou,fou,30
",",",",p
le,le,71
succès,succès,21
à,à,81
écraser,écraser,14
les,le,71
gens,gens,21
qui,qui,52
n',ne,60
ont,avoir,17
pas,pas,60
des,de,81
des,le,71
épaules,épaule,22
et,et,82
des,de,81
des,le,71
reins,rein,21
à,à,81
le,le,52
porter,porter,14
",",",",p
ce,ce,52
qui,qui,52
",",",",p
par,par,81
parenthèse,parenthèse,22
",",",",p
arrive,arriver,17
souvent,souvent,60
/.,/.,P
on,on,51
parlait,parler,18
dans,dans,81
les,le,71
journaux,journal,21
et,et,82
dans,dans,81
les,le,71
revues,revue,22
du,de,81
du,le,71
comte,comte,21
Wenceslas,Wenceslas,20
Steinbock,Steinbock,20
