11862
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Vingt-septième extrait>,<>,<>
-,-,p
pourquoi,pourquoi,60
/?,/?,P
parce que,parce que,83
c',ce,52
est,être,17
inutile,inutile,30
et,et,82
que,que,83
je,je,51
le,le,52
fais,faire,17
comprendre,comprendre,14
tout,tout,60
de,de,81
suite,suite,22
/.,/.,P
si,si,83
vous,vous,51
m',je,51
aviez,avoir,18
raconté,raconter,12
plus,plus,60
tôt,tôt,60
votre,votre,73
crainte,crainte,22
je,je,51
vous,vous,51
aurais,avoir,16
rassuré,rassurer,12
et,et,82
engagé,engager,12
au,à,81
au,le,71
contraire,contraire,21
à,à,81
venir,venir,14
le,le,71
plus,plus,60
possible,possible,30
/.,/.,P
il,il,51
s',se,51
écria,écrier,19
",",",",p
d',de,81
un,un,71
ton,ton,21
pathétique,pathétique,30
:,:,p
-,-,p
avec,avec,81
ça,ça,52
qu',que,52
on,on,51
peut,pouvoir,17
commander,commander,14
aux,à,81
aux,le,71
sentiments,sentiment,21
/!,/!,P
elle,il,51
se,se,51
tourna,tourner,19
vers,vers,81
lui,lui,51
:,:,p
-,-,p
mon,mon,73
cher,cher,30
ami,ami,21
",",",",p
pour,pour,81
moi,moi,51
un,un,71
homme,homme,21
amoureux,amoureux,30
est,être,17
rayé,rayer,12
du,de,81
du,le,71
nombre,nombre,21
des,de,81
des,le,71
vivants,vivant,21
/.,/.,P
il,il,51
devient,devenir,17
idiot,idiot,30
",",",",p
pas,pas,60
seulement,seulement,60
idiot,idiot,30
",",",",p
mais,mais,82
dangereux,dangereux,30
/.,/.,P
je,je,51
cesse,cesser,17
",",",",p
avec,avec,81
les,le,71
gens,gens,21
qui,qui,52
m',je,51
aiment,aimer,17
ou,ou,82
qui,qui,52
le,le,52
prétendent,prétendre,17
",",",",p
toute,tout,75
relation,relation,22
intime,intime,30
",",",",p
parce qu',parce que,83
ils,ils,51
m',je,51
ennuient,ennuyer,17
d'abord,d'abord,60
",",",",p
et,et,82
puis,puis,60
parce qu',parce que,83
ils,ils,51
me,je,51
sont,être,17
suspects,suspect,30
comme,comme,83
un,un,71
chien,chien,21
enragé,enragé,31
qui,qui,52
peut,pouvoir,17
avoir,avoir,14
une,un,71
crise,crise,22
/.,/.,P
je,je,51
les,le,52
mets,mettre,17
donc,donc,82
en,en,81
quarantaine,quarantaine,22
morale,moral,30
jusqu',jusque,81
à,à,81
ce,ce,52
que,que,52
leur,leur,73
maladie,maladie,22
soit,être,17
passée,passer,12
/.,/.,P
ne,ne,60
l',le,52
oubliez,oublier,17
point,point,60
/.,/.,P
je,je,51
sais,savoir,17
bien,bien,60
que,que,83
chez,chez,81
vous,vous,51
l',le,71
amour,amour,21
n',ne,60
est,être,17
autre,autre,75
chose,chose,22
qu',que,83
une,un,71
espèce,espèce,22
d',de,81
appétit,appétit,21
",",",",p
tandis que,tandis que,83
chez,chez,81
moi,moi,51
ce,ce,52
serait,être,16
",",",",p
au,à,81
au,le,71
contraire,contraire,21
",",",",p
une,un,71
espèce,espèce,22
de,de,81
…,…,p
de,de,81
…,…,p
de,de,81
communion,communion,22
des,de,81
des,le,71
âmes,âme,22
qui,qui,52
n',ne,60
entre,entrer,17
pas,pas,60
dans,dans,81
la,le,71
religion,religion,22
des,de,81
des,le,71
hommes,homme,21
/!,/!,P
vous,vous,51
en,en,52
comprenez,comprendre,17
la,le,71
lettre,lettre,22
",",",",p
et,et,82
moi,moi,51
l',le,71
esprit,esprit,21
/.,/.,P
mais,mais,82
…,…,p
regardez,regarder,17
moi,moi,51
bien,bien,60
en,en,81
face,face,22
/…,/…,P
elle,il,51
ne,ne,60
souriait,sourire,18
plus,plus,60
/.,/.,P
elle,il,51
avait,avoir,18
un,un,71
visage,visage,21
calme,calme,30
et,et,82
froid,froid,30
",",",",p
et,et,82
elle,il,51
dit,dire,19
en,en,81
appuyant,appuyer,13
sur,sur,81
chaque,chaque,75
mot,mot,21
:,:,p
-,-,p
je,je,51
ne,ne,60
serai,être,16
jamais,jamais,60
",",",",p
jamais,jamais,60
votre,votre,73
maîtresse,maîtresse,22
",",",",p
entendez,entendre,17
vous,vous,51
/.,/.,P
il,il,51
est,être,17
donc,donc,82
absolument,absolument,60
inutile,inutile,30
",",",",p
il,il,51
serait,être,16
même,même,60
mauvais,mauvais,30
pour,pour,81
vous,vous,51
de,de,81
persister,persister,14
dans,dans,81
ce,ce,74
désir,désir,21
/…,/…,P
et,et,82
maintenant,maintenant,60
que,que,83
…,…,p
l',le,71
opération,opération,22
est,être,17
faite,faire,12
…,…,p
voulez,vouloir,17
vous,vous,51
que,que,83
nous,nous,51
soyons,être,17
amis,ami,30
",",",",p
bons,bon,30
amis,ami,21
",",",",p
mais,mais,82
là,là,60
",",",",p
de,de,81
vrais,vrai,30
amis,ami,21
",",",",p
sans,sans,81
arrière-pensée,arrière-pensée,22
?,?,p
/…,/…,P
il,il,51
avait,avoir,18
compris,comprendre,12
que,que,83
toute,tout,75
tentative,tentative,22
resterait,rester,16
stérile,stérile,30
devant,devant,81
cette,ce,74
sentence,sentence,22
sans,sans,81
appel,appel,21
/.,/.,P
il,il,51
en,en,52
prit,prendre,19
son,son,73
parti,parti,21
tout,tout,60
de,de,81
suite,suite,22
",",",",p
franchement,franchement,60
",",",",p
et,et,82
",",",",p
ravi,ravi,31
de,de,81
pouvoir,pouvoir,14
se,se,51
faire,faire,14
cette,ce,74
alliée,alliée,22
dans,dans,81
l',le,71
existence,existence,22
",",",",p
il,il,51
lui,lui,51
tendit,tendre,19
les,le,71
deux,deux,72
mains,main,22
:,:,p
-,-,p
je,je,51
suis,être,17
à,à,81
vous,vous,51
",",",",p
madame,madame,22
",",",",p
comme,comme,83
il,il,51
vous,vous,51
plaira,plaire,15
/.,/.,P
elle,il,51
sentit,sentir,19
la,le,71
sincérité,sincérité,22
de,de,81
la,le,71
pensée,pensée,22
dans,dans,81
la,le,71
voix,voix,22
",",",",p
et,et,82
elle,il,51
donna,donner,19
ses,son,73
mains,main,22
/.,/.,P
il,il,51
les,le,52
baisa,baiser,19
",",",",p
l',le,71
une,un,52
après,après,81
l',le,71
autre,autre,52
",",",",p
puis,puis,60
il,il,51
dit,dire,19
simplement,simplement,60
en,en,81
relevant,relever,13
la,le,71
tête,tête,22
:,:,p
-,-,p
cristi,cristi,93
",",",",p
si,si,83
j',je,51
avais,avoir,18
trouvé,trouver,12
une,un,71
femme,femme,22
comme,comme,83
vous,vous,51
",",",",p
avec,avec,81
quel,quel,75
bonheur,bonheur,21
je,je,51
l',le,52
aurais,avoir,16
épousée,épouser,12
/!,/!,P
elle,il,51
fut,être,19
touchée,toucher,12
",",",",p
cette,ce,74
fois,fois,22
",",",",p
caressée,caressé,31
par,par,81
cette,ce,74
phrase,phrase,22
comme,comme,83
les,le,71
femmes,femme,22
le,le,52
sont,être,17
par,par,81
les,le,71
compliments,compliment,21
qui,qui,52
trouvent,trouver,17
leur,leur,73
coeur,coeur,21
",",",",p
et,et,82
elle,il,51
lui,lui,51
jeta,jeter,19
un,un,52
de,de,81
ces,ce,74
regards,regard,21
rapides,rapide,30
et,et,82
reconnaissants,reconnaissant,30
qui,qui,52
nous,nous,51
font,faire,17
leurs,leur,73
esclaves,esclave,21
/.,/.,P
puis,puis,60
",",",",p
comme,comme,83
il,il,51
ne,ne,60
trouvait,trouver,18
pas,pas,60
de,de,81
transition,transition,22
pour,pour,81
reprendre,reprendre,14
la,le,71
conversation,conversation,22
",",",",p
elle,il,51
prononça,prononcer,19
",",",",p
d',de,81
une,un,71
voix,voix,22
douce,doux,30
en,en,81
posant,poser,13
un,un,71
doigt,doigt,21
sur,sur,81
son,son,73
bras,bras,21
-,-,p
et,et,82
je,je,51
vais,aller,17
commencer,commencer,14
tout,tout,60
de,de,81
suite,suite,22
mon,mon,73
métier,métier,21
d',de,81
amie,amie,22
/.,/.,P
vous,vous,51
êtes,être,17
maladroit,maladroit,30
",",",",p
mon,mon,73
cher,cher,30
/…,/…,P
elle,il,51
hésita,hésiter,19
",",",",p
et,et,82
demanda,demander,19
:,:,p
-,-,p
puis,pouvoir,17
je,je,51
parler,parler,14
librement,librement,60
/?,/?,P
oui,oui,60
/.,/.,P
-,-,p
tout,tout,60
à,à,81
fait,fait,21
/?,/?,P
tout,tout,60
à,à,81
fait,fait,21
/.,/.,P
eh,eh,93
bien,bien,60
!,!,p
allez,aller,17
donc,donc,82
voir,voir,14
madame,madame,22
Walter,Walter,20
",",",",p
qui,qui,52
vous,vous,51
apprécie,apprécier,17
beaucoup,beaucoup,60
",",",",p
et,et,82
plaisez,plaire,17
lui,lui,51
/.,/.,P
vous,vous,51
trouverez,trouver,15
à,à,81
placer,placer,14
par là,par-là,60
vos,votre,73
compliments,compliment,21
",",",",p
bien,bien,60
qu',que,83
elle,il,51
soit,être,17
honnête,honnête,30
",",",",p
entendez,entendre,17
moi,moi,51
bien,bien,60
",",",",p
tout,tout,60
à,à,81
fait,fait,21
honnête,honnête,30
/.,/.,P
oh,oh,93
/!,/!,P
pas,pas,60
d',de,81
espoir,espoir,21
de,de,81
…,…,p
de,de,81
maraudage,maraudage,21
non,non,60
plus,plus,60
de,de,81
ce,ce,74
côté,côté,21
/.,/.,P
vous,vous,51
y,y,52
pourrez,pouvoir,15
trouver,trouver,14
mieux,mieux,60
",",",",p
en,en,81
vous,vous,51
faisant,faire,13
bien,bien,60
voir,voir,14
/.,/.,P
je,je,51
sais,savoir,17
que,que,83
vous,vous,51
occupez,occuper,17
encore,encore,60
dans,dans,81
le,le,71
journal,journal,21
une,un,71
place,place,22
inférieure,inférieur,30
/.,/.,P
mais,mais,82
ne,ne,60
craignez,craindre,17
rien,rien,52
",",",",p
ils,ils,51
reçoivent,recevoir,17
tous,tout,75
leurs,leur,73
rédacteurs,rédacteur,21
avec,avec,81
la,le,71
même,même,75
bienveillance,bienveillance,22
/.,/.,P
allez,aller,17
y,y,52
",",",",p
croyez,croire,17
moi,moi,51
/.,/.,P
il,il,51
dit,dire,17
",",",",p
en,en,81
souriant,sourire,13
:,:,p
-,-,p
merci,merci,21
",",",",p
vous,vous,51
êtes,être,17
un,un,71
ange,ange,21
…,…,p
un,un,71
ange,ange,21
gardien,gardien,21
/.,/.,P
puis,puis,60
ils,ils,51
parlèrent,parler,19
de,de,81
choses,chose,22
et,et,82
d',de,81
autres,autre,52
/.,/.,P
il,il,51
resta,rester,19
longtemps,longtemps,60
",",",",p
voulant,vouloir,13
prouver,prouver,14
qu',que,83
il,il,51
avait,avoir,18
plaisir,plaisir,21
à,à,81
se,se,51
trouver,trouver,14
près,près,81
d',de,81
elle,il,51
;,;,p
et,et,82
",",",",p
en,en,81
la,le,52
quittant,quitter,13
",",",",p
il,il,51
demanda,demander,19
encore,encore,60
:,:,p
-,-,p
c',ce,52
est,être,17
entendu,entendre,12
",",",",p
nous,nous,51
sommes,être,17
des,de,81
des,le,71
amis,ami,21
/?,/?,P
c',ce,52
est,être,17
entendu,entendre,12
/.,/.,P
comme,comme,83
il,il,51
avait,avoir,18
senti,sentir,12
l',le,71
effet,effet,21
de,de,81
son,son,73
compliment,compliment,21
",",",",p
tout,tout,60
à,à,81
l',le,71
heure,heure,22
",",",",p
il,il,51
l',le,52
appuya,appuyer,19
",",",",p
ajoutant,ajouter,13
:,:,p
-,-,p
et,et,82
si,si,83
vous,vous,51
devenez,devenir,17
jamais,jamais,60
veuve,veuve,22
/.,/.,P
je,je,51
m',je,51
inscris,inscrire,17
/.,/.,P
puis,puis,60
il,il,51
