11796
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Quatre-vingt-seizième extrait>,<>,<>
et,et,82
elle,il,51
se,se,51
donna,donner,19
tout,tout,60
entière,entier,30
à,à,81
son,son,73
fils,fils,21
/.,/.,P
il,il,51
devint,devenir,19
l',le,71
idole,idole,22
",",",",p
l',le,71
unique,unique,30
pensée,pensée,22
des,de,81
des,le,71
trois,trois,72
êtres,être,21
réunis,réuni,31
autour,autour,60
de,de,81
lui,lui,51
;,;,p
et,et,82
il,il,51
régnait,régner,18
en,en,81
despote,despote,21
/.,/.,P
une,un,71
sorte,sorte,22
de,de,81
jalousie,jalousie,22
se,se,51
déclara,déclarer,19
même,même,60
entre,entre,81
ces,ce,74
trois,trois,72
esclaves,esclave,21
qu',que,52
il,il,51
avait,avoir,18
",",",",p
Jeanne,Jeanne,20
regardant,regarder,13
nerveusement,nerveusement,60
les,le,71
grands,grand,30
baisers,baiser,21
donnés,donné,31
au,à,81
au,le,71
baron,baron,21
après,après,81
les,le,71
séances,séance,22
de,de,81
cheval,cheval,21
sur,sur,81
un,un,71
genou,genou,21
/.,/.,P
et,et,82
tante,tante,22
Lison,Lison,20
négligée,négligé,31
par,par,81
lui,lui,51
comme,comme,83
elle,il,51
l',le,52
avait,avoir,18
toujours,toujours,60
été,être,12
par,par,81
tout,tout,75
le,le,71
monde,monde,21
",",",",p
traitée,traité,31
parfois,parfois,60
en,en,81
bonne,bonne,22
par,par,81
ce,ce,74
maître,maître,21
qui,qui,52
ne,ne,60
parlait,parler,18
guère,guère,60
encore,encore,60
",",",",p
s',se,51
en,en,52
allait,aller,18
pleurer,pleurer,14
dans,dans,81
sa,son,73
chambre,chambre,22
en,en,81
comparant,comparer,13
les,le,71
insignifiantes,insignifiant,30
caresses,caresse,22
mendiées,mendié,31
par,par,81
elle,il,51
et,et,82
obtenues,obtenu,31
à,à,81
peine,peine,22
aux,à,81
aux,le,71
étreintes,étreinte,22
qu',que,52
il,il,51
gardait,garder,18
pour,pour,81
sa,son,73
mère,mère,22
et,et,82
pour,pour,81
son,son,73
grand-père,grand-père,21
/.,/.,P
deux,deux,72
années,année,22
tranquilles,tranquille,30
",",",",p
sans,sans,81
aucun,aucun,75
événement,événement,21
",",",",p
passèrent,passer,19
dans,dans,81
la,le,71
préoccupation,préoccupation,22
incessante,incessant,30
de,de,81
l',le,71
enfant,enfant,21
/.,/.,P
au,à,81
au,le,71
commencement,commencement,21
du,de,81
du,le,71
troisième,troisième,72
hiver,hiver,21
",",",",p
on,on,51
décida,décider,19
qu',que,83
on,on,51
irait,aller,16
habiter,habiter,14
Rouen,Rouen,20
jusqu',jusque,81
au,à,81
au,le,71
printemps,printemps,21
;,;,p
et,et,82
toute,tout,75
la,le,71
famille,famille,22
émigra,émigrer,19
/.,/.,P
mais,mais,82
",",",",p
en,en,81
arrivant,arriver,13
dans,dans,81
l',le,71
ancienne,ancien,30
maison,maison,22
abandonnée,abandonné,31
et,et,82
humide,humide,30
",",",",p
Paul,Paul,20
eut,avoir,19
une,un,71
bronchite,bronchite,22
si,si,60
grave,grave,30
qu',que,83
on,on,51
craignit,craindre,19
une,un,71
pleurésie,pleurésie,22
;,;,p
et,et,82
les,le,71
trois,trois,72
parents,parent,21
éperdus,éperdu,30
déclarèrent,déclarer,19
qu',que,83
il,il,51
ne,ne,60
pouvait,pouvoir,18
se,se,51
passer,passer,14
de,de,81
l',le,71
air,air,21
des,de,81
des,le,71
Peuples,Peuple,20
/.,/.,P
on,on,51
l',le,52
y,y,52
ramena,ramener,19
dès,dès,81
qu',que,83
il,il,51
fut,être,19
guéri,guérir,12
/.,/.,P
alors,alors,60
commença,commencer,19
une,un,71
série,série,22
d',de,81
années,année,22
monotones,monotone,30
et,et,82
douces,doux,30
/.,/.,P
toujours,toujours,60
ensemble,ensemble,60
autour,autour,60
du,de,81
du,le,71
petit,petit,21
",",",",p
tantôt,tantôt,60
dans,dans,81
sa,son,73
chambre,chambre,22
",",",",p
tantôt,tantôt,60
dans,dans,81
le,le,71
grand,grand,30
salon,salon,21
",",",",p
tantôt,tantôt,60
dans,dans,81
le,le,71
jardin,jardin,21
",",",",p
ils,ils,51
s',se,51
extasiaient,extasier,18
sur,sur,81
ses,son,73
bégaiements,bégaiement,21
",",",",p
sur,sur,81
ses,son,73
expressions,expression,22
drôles,drôle,30
",",",",p
sur,sur,81
ses,son,73
gestes,geste,21
/.,/.,P
sa,son,73
mère,mère,22
l',le,52
appelait,appeler,18
Paulet,Paulet,20
par,par,81
câlinerie,câlinerie,22
",",",",p
il,il,51
ne,ne,60
pouvait,pouvoir,18
articuler,articuler,14
ce,ce,74
mot,mot,21
et,et,82
le,le,52
prononçait,prononcer,18
Poulet,Poulet,20
",",",",p
ce,ce,52
qui,qui,52
éveillait,éveiller,18
des,de,81
des,le,71
rires,rire,21
interminables,interminable,30
/.,/.,P
le,le,71
surnom,surnom,21
de,de,81
Poulet,Poulet,20
lui,lui,51
resta,rester,19
/.,/.,P
on,on,51
ne,ne,60
le,le,52
désignait,désigner,18
plus,plus,60
autrement,autrement,60
/.,/.,P
comme,comme,83
il,il,51
grandissait,grandir,18
vite,vite,60
",",",",p
une,un,52
des,de,81
des,le,71
passionnantes,passionnant,30
occupations,occupation,22
des,de,81
des,le,71
trois,trois,72
parents,parent,21
que,que,52
le,le,71
baron,baron,21
appelait,appeler,18
“,“,p
ses,son,73
trois,trois,72
mères,mère,22
“,“,p
était,être,18
de,de,81
mesurer,mesurer,14
sa,son,73
taille,taille,22
/.,/.,P
on,on,51
avait,avoir,18
tracé,tracer,12
sur,sur,81
le,le,71
lambris,lambris,21
contre,contre,81
la,le,71
porte,porte,22
du,de,81
du,le,71
salon,salon,21
une,un,71
série,série,22
de,de,81
petits,petit,30
traits,trait,21
au,à,81
au,le,71
canif,canif,21
indiquant,indiquer,13
de,de,81
mois,mois,21
en,en,81
mois,mois,21
sa,son,73
croissance,croissance,22
/.,/.,P
cette,ce,74
échelle,échelle,22
",",",",p
baptisée,baptisé,31
“,“,p
échelle,échelle,22
de,de,81
Poulet,Poulet,20
“,“,p
",",",",p
tenait,tenir,18
une,un,71
place,place,22
considérable,considérable,30
dans,dans,81
l',le,71
existence,existence,22
de,de,81
tout,tout,75
le,le,71
monde,monde,21
/.,/.,P
puis,puis,60
un,un,71
nouvel,nouveau,30
individu,individu,21
vint,venir,19
jouer,jouer,14
un,un,71
rôle,rôle,21
important,important,30
dans,dans,81
la,le,71
famille,famille,22
",",",",p
le,le,71
chien,chien,21
“,“,p
Massacre,Massacre,20
“,“,p
",",",",p
négligé,négligé,21
par,par,81
Jeanne,Jeanne,20
préoccupée,préoccupé,31
uniquement,uniquement,60
de,de,81
son,son,73
fils,fils,21
/.,/.,P
nourri,nourri,31
par,par,81
Ludivine,Ludivine,20
et,et,82
logé,logé,31
dans,dans,81
un,un,71
vieux,vieux,30
baril,baril,21
devant,devant,81
l',le,71
écurie,écurie,22
",",",",p
il,il,51
vivait,vivre,18
solitaire,solitaire,30
",",",",p
toujours,toujours,60
à,à,81
la,le,71
chaîne,chaîne,22
/.,/.,P
Paul,Paul,20
un,un,71
matin,matin,21
le,le,52
remarqua,remarquer,19
",",",",p
et,et,82
se,se,51
mit,mettre,19
à,à,81
crier,crier,14
pour,pour,81
aller,aller,14
l',le,52
embrasser,embrasser,14
/.,/.,P
on,on,51
l',le,52
y,y,52
conduisit,conduire,19
avec,avec,81
des,de,81
des,le,71
craintes,crainte,22
infinies,infini,30
/.,/.,P
le,le,71
chien,chien,21
fit,faire,19
fête,fête,22
à,à,81
l',le,71
enfant,enfant,21
qui,qui,52
beugla,beugler,19
quand,quand,83
on,on,51
voulut,vouloir,19
les,le,52
séparer,séparer,14
/.,/.,P
alors,alors,60
Massacre,Massacre,20
fut,être,19
lâché,lâcher,12
et,et,82
installé,installer,12
dans,dans,81
la,le,71
maison,maison,22
/.,/.,P
il,il,51
devint,devenir,19
l',le,71
inséparable,inséparable,30
de,de,81
Paul,Paul,20
",",",",p
l',le,71
ami,ami,21
de,de,81
tous,tout,75
les,le,71
instants,instant,21
/.,/.,P
ils,ils,51
se,se,51
roulaient,rouler,18
ensemble,ensemble,60
",",",",p
dormaient,dormir,18
côte,côte,22
à,à,81
côte,côte,22
sur,sur,81
le,le,71
tapis,tapis,21
/.,/.,P
puis,puis,60
bientôt,bientôt,60
Massacre,Massacre,20
coucha,coucher,19
dans,dans,81
le,le,71
lit,lit,21
de,de,81
son,son,73
camarade,camarade,21
qui,qui,52
ne,ne,60
consentait,consentir,18
plus,plus,60
à,à,81
le,le,52
quitter,quitter,14
/.,/.,P
Jeanne,Jeanne,20
se,se,51
désolait,désoler,18
parfois,parfois,60
à,à,81
cause,cause,22
des,de,81
des,le,71
puces,puce,22
;,;,p
et,et,82
tante,tante,22
Lison,Lison,20
en,en,52
voulait,vouloir,18
au,à,81
au,le,71
chien,chien,21
de,de,81
prendre,prendre,14
une,un,71
si,si,60
grosse,gros,30
part,part,22
de,de,81
l',le,71
affection,affection,22
du,de,81
du,le,71
petit,petit,21
",",",",p
de,de,81
l',le,71
affection,affection,22
volée,volé,31
par,par,81
cette,ce,74
bête,bête,22
",",",",p
lui,lui,51
semblait,sembler,18
il,il,51
",",",",p
de,de,81
l',le,71
affection,affection,22
qu',que,52
elle,il,51
aurait,avoir,16
tant,tant,60
désirée,désirer,12
/.,/.,P
de,de,81
rares,rare,30
visites,visite,22
étaient,être,18
échangées,échanger,12
avec,avec,81
les,le,71
Briseville,Briseville,20
et,et,82
les,le,71
Coutelier,Coutelier,20
/.,/.,P
le,le,71
maire,maire,21
et,et,82
le,le,71
médecin,médecin,21
troublaient,troubler,18
seuls,seul,30
la,le,71
solitude,solitude,22
du,de,81
du,le,71
vieux,vieux,30
château,château,21
/.,/.,P
Jeanne,Jeanne,20
",",",",p
depuis,depuis,81
le,le,71
meurtre,meurtre,21
de,de,81
la,le,71
chienne,chienne,22
et,et,82
les,le,71
soupçons,soupçon,21
que,que,52
lui,lui,51
avait,avoir,18
inspirés,inspirer,12
le,le,71
prêtre,prêtre,21
lors,lors,60
de,de,81
la,le,71
mort,mort,22
horrible,horrible,30
de,de,81
la,le,71
comtesse,comtesse,22
et,et,82
de,de,81
Julien,Julien,20
",",",",p
n',ne,60
entrait,entrer,18
plus,plus,60
à,à,81
l',le,71
église,église,22
",",",",p
irritée,irrité,31
contre,contre,81
le,le,71
dieu,dieu,21
qui,qui,52
pouvait,pouvoir,18
avoir,avoir,14
de,de,81
pareils,pareil,30
ministres,ministre,21
/.,/.,P
l',le,71
abbé,abbé,21
Tolbiac,Tolbiac,20
",",",",p
de,de,81
temps,temps,21
à,à,81
autre,autre,52
",",",",p
anathématisait,anathématiser,18
en,en,81
des,de,81
des,le,71
allusions,allusion,22
directes,direct,30
le,le,71
château,château,21
hanté,hanté,31
par,par,81
l',le,71
esprit,esprit,21
du,de,81
du,le,71
mal,mal,21
",",",",p
l',le,71
esprit,esprit,21
d',de,81
éternelle,éternel,30
révolte,révolte,22
",",",",p
l',le,71
esprit,esprit,21
d',de,81
erreur,erreur,22
et,et,82
de,de,81
mensonge,mensonge,21
",",",",p
l',le,71
esprit,esprit,21
d',de,81
iniquité,iniquité,22
",",",",p
l',le,71
esprit,esprit,21
de,de,81
corruption,corruption,22
et,et,82
d',de,81
impureté,impureté,22
/.,/.,P
il,il,51
désignait,désigner,18
ainsi,ainsi,60
le,le,71
baron,baron,21
/.,/.,P
son,son,73
église,église,22
d',de,81
ailleurs,ailleurs,60
était,être,18
désertée,déserter,12
;,;,p
et,et,82
",",",",p
quand,quand,83
il,il,51
allait,aller,18
le,le,71
long,long,21
des,de,81
des,le,71
champs,champ,21
où,où,60
les,le,71
laboureurs,laboureur,21
poussaient,pousser,18
leur,leur,73
charrue,charrue,22
",",",",p
les,le,71
paysans,paysan,21
ne,ne,60
s',se,51
arrêtaient,arrêter,18
pas,pas,60
pour,pour,81
lui,lui,51
parler,parler,14
",",",",p
ne,ne,60
se,se,51
détournaient,détourner,18
point,point,60
pour,pour,81
le,le,52
saluer,saluer,14
/.,/.,P
il,il,51
passait,passer,18
en,en,81
outre,outre,81
pour,pour,81
sorcier,sorcier,21
",",",",p
parce qu',parce que,83
il,il,51
avait,avoir,18
chassé,chasser,12
le,le,71
démon,démon,21
d',de,81
une,un,71
femme,femme,22
possédée,possédé,31
/.,/.,P
il,il,51
connaissait,connaître,18
",",",",p
disait,dire,18
on,on,51
",",",",p
des,de,81
des,le,71
paroles,parole,22
mystérieuses,mystérieux,30
pour,pour,81
écarter,écarter,14
les,le,71
sorts,sort,21
",",",",p
qui,qui,52
n',ne,60
étaient,être,18
",",",",p
selon,selon,81
lui,lui,51
",",",",p
que,que,83
des,de,81
des,le,71
espèces,espèce,22
de,de,81
farces,farce,22
de,de,81
Satan,Satan,20
/.,/.,P
il,il,51
imposait,imposer,18
les,le,71
mains,main,22
aux,à,81
aux,le,71
vaches,vache,22
qui,qui,52
donnaient,donner,18
du,de,81
du,le,71
lait,lait,21
bleu,bleu,30
ou,ou,82
qui,qui,52
portaient,porter,18
la,le,71
queue,queue,22
en,en,81
cercle,cercle,21
",",",",p
et,et,82
par,par,81
quelques,quelque,75
mots,mot,21
inconnus,inconnu,30
il,il,51
faisait,faire,18
retrouver,retrouver,14
les,le,71
objets,objet,21
perdus,perdu,31
/.,/.,P
son,son,73
esprit,esprit,21
étroit,étroit,30
et,et,82
fanatique,fanatique,30
s',se,51
adonnait,adonner,18
avec,avec,81
passion,passion,22
à,à,81
l',le,71
étude,étude,22
des,de,81
des,le,71
livres,livre,21
religieux,religieux,30
contenant,contenir,13
l',le,71
histoire,histoire,22
des,de,81
des,le,71
apparitions,apparition,22
du,de,81
du,le,71
diable,diable,21
sur,sur,81
la,le,71
terre,terre,22
",",",",p
les,le,71
diverses,divers,30
manifestations,manifestation,22
de,de,81
son,son,73
pouvoir,pouvoir,21
",",",",p
ses,son,73
influences,influence,22
occultes,occulte,30
et,et,82
variées,varié,31
",",",",p
toutes,tout,75
les,le,71
ressources,ressource,22
qu',que,52
il,il,51
avait,avoir,18
",",",",p
et,et,82
les,le,71
tours,tour,21
ordinaires,ordinaire,30
de,de,81
ses,son,73
ruses,ruse,22
/.,/.,P
et,et,82
comme,comme,83
il,il,51
se,se,51
croyait,croire,18
appelé,appelé,31
particulièrement,particulièrement,60
à,à,81
combattre,combattre,14
cette,ce,74
puissance,puissance,22
mystérieuse,mystérieux,30
et,et,82
fatale,fatal,30
",",",",p
il,il,51
avait,avoir,18
appris,apprendre,12
toutes,tout,75
les,le,71
formules,formule,22
d',de,81
exorcisme,exorcisme,21
indiquées,indiqué,31
dans,dans,81
les,le,71
manuels,manuel,21
ecclésiastiques,ecclésiastique,30
/.,/.,P
il,il,51
croyait,croire,18
sans,sans,81
cesse,cesse,22
sentir,sentir,14
errer,errer,14
dans,dans,81
l',le,71
ombre,ombre,22
le,le,71
Malin,Malin,20
esprit,esprit,21
;,;,p
et,et,82
la,le,71
phrase,phrase,22
latine,latin,30
revenait,revenir,18
à,à,81
tout,tout,75
moment,moment,21
sur,sur,81
ses,son,73
lèvres,lèvre,22
:,:,p
sicut,sicut,92
leo,leo,92
rugiens,rugiens,92
circuit,circuit,21
quaerens,quaerens,92
quem,quem,92
devoret,devoret,92
/.,/.,P
alors,alors,60
une,un,71
crainte,crainte,22
se,se,51
répandit,répandre,19
",",",",p
une,un,71
terreur,terreur,22
de,de,81
sa,son,73
force,force,22
cachée,caché,31
/.,/.,P
ses,son,73
confrères,confrère,21
eux-mêmes,eux-mêmes,51
",",",",p
prêtres,prêtre,21
ignorants,ignorant,30
des,de,81
des,le,71
campagnes,campagne,22
",",",",p
pour,pour,81
qui,qui,52
Belzébuth,Belzébuth,20
est,être,17
article,article,21
de,de,81
foi,foi,22
",",",",p
qui,qui,52
",",",",p
troublés,troublé,31
par,par,81
les,le,71
prescriptions,prescription,22
minutieuses,minutieux,30
des,de,81
des,le,71
rites,rite,21
en,en,81
cas,cas,21
de,de,81
manifestation,manifestation,22
de,de,81
cette,ce,74
puissance,puissance,22
du,de,81
du,le,71
mal,mal,21
",",",",p
en,en,52
arrivent,arriver,17
à,à,81
confondre,confondre,14
la,le,71
religion,religion,22
avec,avec,81
la,le,71
magie,magie,22
",",",",p
considéraient,considérer,18
l',le,71
abbé,abbé,21
Tolbiac,Tolbiac,20
comme,comme,83
un,un,71
peu,peu,60
sorcier,sorcier,30
;,;,p
et,et,82
ils,ils,51
le,le,52
respectaient,respecter,18
autant,autant,60
pour,pour,81
le,le,71
pouvoir,pouvoir,21
obscur,obscur,30
qu',que,52
ils,ils,51
lui,lui,51
supposaient,supposer,18
que,que,83
pour,pour,81
l',le,71
inattaquable,inattaquable,30
austérité,austérité,22
de,de,81
sa,son,73
vie,vie,22
/.,/.,P
quand,quand,83
il,il,51
rencontrait,rencontrer,18
Jeanne,Jeanne,20
",",",",p
il,il,51
ne,ne,60
la,le,52
saluait,saluer,18
pas,pas,60
/.,/.,P
cette,ce,74
situation,situation,22
inquiétait,inquiéter,18
et,et,82
désolait,désoler,18
tante,tante,22
Lison,Lison,20
",",",",p
qui,qui,52
ne,ne,60
comprenait,comprendre,18
point,point,60
",",",",p
en,en,81
son,son,73
âme,âme,22
craintive,craintif,30
de,de,81
vieille,vieux,30
fille,fille,22
",",",",p
qu',que,83
on,on,51
n',ne,60
allât,aller,19
pas,pas,60
à,à,81
l',le,71
église,église,22
/.,/.,P
elle,il,51
était,être,18
pieuse,pieux,30
sans,sans,81
doute,doute,21
",",",",p
sans,sans,81
doute,doute,21
elle,il,51
se,se,51
confessait,confesser,18
et,et,82
communiait,communier,18
;,;,p
mais,mais,82
personne,personne,52
ne,ne,60
le,le,52
savait,savoir,18
",",",",p
ne,ne,60
cherchait,chercher,18
à,à,81
le,le,52
savoir,savoir,14
/.,/.,P
quand,quand,83
elle,il,51
se,se,51
trouvait,trouver,18
seule,seul,30
",",",",p
toute,tout,60
seule,seul,30
avec,avec,81
Paul,Paul,20
",",",",p
elle,il,51
lui,lui,51
parlait,parler,18
",",",",p
tout,tout,60
bas,bas,60
",",",",p
du,de,81
du,le,71
bon,bon,30
dieu,dieu,21
/.,/.,P
il,il,51
l',le,52
écoutait,écouter,18
à,à,81
peu,peu,60
près,près,81
quand,quand,83
elle,il,51
lui,lui,51
racontait,raconter,18
les,le,71
histoires,histoire,22
miraculeuses,miraculeux,30
des,de,81
des,le,71
premiers,premier,72
temps,temps,21
du,de,81
du,le,71
monde,monde,21
;,;,p
mais,mais,82
",",",",p
quand,quand,83
elle,il,51
lui,lui,51
disait,dire,18
qu',que,83
il,il,51
faut,falloir,17
aimer,aimer,14
",",",",p
beaucoup,beaucoup,60
",",",",p
beaucoup,beaucoup,60
le,le,71
bon,bon,30
dieu,dieu,21
",",",",p
il,il,51
répondait,répondre,18
parfois,parfois,60
:,:,p
“,“,p
où,où,60
qu',que,83
il,il,51
est,être,17
",",",",p
tante,tante,22
?,?,p
“,“,p
alors,alors,60
elle,il,51
montrait,montrer,18
le,le,71
ciel,ciel,21
avec,avec,81
son,son,73
doigt,doigt,21
:,:,p
“,“,p
là-haut,là-haut,60
",",",",p
Poulet,Poulet,20
",",",",p
mais,mais,82
il,il,51
ne,ne,60
faut,falloir,17
pas,pas,60
le,le,52
dire,dire,14
/.,/.,P
“,“,p
elle,il,51
avait,avoir,18
peur,peur,22
du,de,81
du,le,71
baron,baron,21
/.,/.,P
mais,mais,82
un,un,71
jour,jour,21
Poulet,Poulet,20
lui,lui,51
déclara,déclarer,19
:,:,p
“,“,p
le,le,71
bon,bon,30
dieu,dieu,21
",",",",p
il,il,51
est,être,17
partout,partout,60
",",",",p
mais,mais,82
il,il,51
est,être,17
pas,pas,60
dans,dans,81
l',le,71
église,église,22
/.,/.,P
“,“,p
il,il,51
avait,avoir,18
parlé,parler,12
à,à,81
son,son,73
grand-père,grand-père,21
des,de,81
des,le,71
révélations,révélation,22
mystérieuses,mystérieux,30
de,de,81
tante,tante,22
/.,/.,P
l',le,71
enfant,enfant,21
prenait,prendre,18
dix,dix,72
ans,an,21
;,;,p
sa,son,73
mère,mère,22
semblait,sembler,18
en,en,52
avoir,avoir,14
quarante,quarante,72
/.,/.,P
il,il,51
était,être,18
fort,fort,30
",",",",p
turbulent,turbulent,30
",",",",p
hardi,hardi,30
pour,pour,81
grimper,grimper,14
dans,dans,81
les,le,71
arbres,arbre,21
",",",",p
mais,mais,82
il,il,51
ne,ne,60
savait,savoir,18
pas,pas,60
grand-chose,grand-chose,22
/.,/.,P
les,le,71
leçons,leçon,22
l',le,52
ennuyant,ennuyer,13
",",",",p
il,il,51
les,le,52
interrompait,interrompre,18
tout,tout,60
de,de,81
suite,suite,22
/.,/.,P
et,et,82
",",",",p
toutes,tout,75
les,le,71
fois,fois,22
que,que,83
le,le,71
baron,baron,21
le,le,52
retenait,retenir,18
un,un,71
peu,peu,60
longtemps,longtemps,60
devant,devant,81
un,un,71
livre,livre,21
",",",",p
Jeanne,Jeanne,20
aussitôt,aussitôt,60
arrivait,arriver,18
",",",",p
disant,dire,13
:,:,p
“,“,p
laisse,laisser,17
le,le,52
donc,donc,82
jouer,jouer,14
maintenant,maintenant,60
/.,/.,P
il,il,51
ne,ne,60
faut,falloir,17
pas,pas,60
le,le,52
fatiguer,fatiguer,14
",",",",p
il,il,51
est,être,17
si,si,60
jeune,jeune,30
/.,/.,P
“,“,p
pour,pour,81
elle,il,51
",",",",p
il,il,51
avait,avoir,18
toujours,toujours,60
six,six,72
mois,mois,21
ou,ou,82
un,un,71
an,an,21
/.,/.,P
c',ce,52
est,être,17
à,à,81
peine,peine,22
si,si,83
elle,il,51
se,se,51
rendait,rendre,18
compte,compte,21
qu',que,83
il,il,51
marchait,marcher,18
",",",",p
courait,courir,18
",",",",p
parlait,parler,18
comme,comme,83
un,un,71
petit,petit,30
homme,homme,21
;,;,p
et,et,82
elle,il,51
vivait,vivre,18
dans,dans,81
une,un,71
peur,peur,22
constante,constant,30
qu',que,83
il,il,51
ne,ne,60
tombât,tomber,18
",",",",p
qu',que,83
il,il,51
n',ne,60
eût,avoir,19
froid,froid,21
",",",",p
qu',que,83
il,il,51
n',ne,60
eût,avoir,19
chaud,chaud,21
en,en,81
s',se,51
agitant,agiter,13
",",",",p
qu',que,83
il,il,51
