12029
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Vingt et unième extrait>,<>,<>
champs,champ,21
par,par,81
une,un,71
“,“,p
valleuse,valleuse,22
“,“,p
que,que,52
Bouvard,Bouvard,20
avait,avoir,18
prise,prendre,12
",",",",p
sans,sans,81
doute,doute,21
/.,/.,P
ce,ce,74
raidillon,raidillon,21
étroit,étroit,30
était,être,18
taillé,tailler,12
à,à,81
grandes,grand,30
marches,marche,22
dans,dans,81
la,le,71
falaise,falaise,22
",",",",p
de,de,81
la,le,71
largeur,largeur,22
de,de,81
deux,deux,72
hommes,homme,21
",",",",p
et,et,82
luisant,luire,13
comme,comme,83
de,de,81
l',le,71
albâtre,albâtre,22
poli,poli,31
/.,/.,P
à,à,81
cinquante,cinquante,72
pieds,pied,21
d',de,81
élévation,élévation,22
",",",",p
Pécuchet,Pécuchet,20
voulut,vouloir,19
descendre,descendre,14
/.,/.,P
la,le,71
mer,mer,22
battait,battre,18
son,son,73
plein,plein,21
/.,/.,P
il,il,51
se,se,51
remit,remettre,19
à,à,81
grimper,grimper,14
/.,/.,P
au,à,81
au,le,71
second,second,72
tournant,tournant,21
",",",",p
quand,quand,83
il,il,51
aperçut,apercevoir,19
le,le,71
vide,vide,21
",",",",p
la,le,71
peur,peur,22
le,le,52
glaça,glacer,19
/.,/.,P
à,à,81
mesure,mesure,22
qu',que,83
il,il,51
approchait,approcher,18
du,de,81
du,le,71
troisième,troisième,72
",",",",p
ses,son,73
jambes,jambe,22
devenaient,devenir,18
molles,mou,30
/.,/.,P
les,le,71
couches,couche,22
de,de,81
l',le,71
air,air,21
vibraient,vibrer,18
autour,autour,60
de,de,81
lui,lui,51
",",",",p
une,un,71
crampe,crampe,22
le,le,52
pinçait,pincer,18
à,à,81
l',le,71
épigastre,épigastre,21
;,;,p
il,il,51
s',se,51
assit,asseoir,19
par,par,81
terre,terre,22
les,le,71
yeux,oeil,21
fermés,fermé,31
",",",",p
n',ne,60
ayant,avoir,13
plus,plus,60
conscience,conscience,22
que,que,83
des,de,81
des,le,71
battements,battement,21
de,de,81
son,son,73
coeur,coeur,21
qui,qui,52
l',le,52
étouffaient,étouffer,18
/.,/.,P
puis,puis,60
",",",",p
il,il,51
jeta,jeter,19
son,son,73
bâton,bâton,21
de,de,81
touriste,touriste,21
",",",",p
et,et,82
avec,avec,81
les,le,71
genoux,genou,21
et,et,82
les,le,71
mains,main,22
reprit,reprendre,19
son,son,73
ascension,ascension,22
/.,/.,P
mais,mais,82
les,le,71
trois,trois,72
marteaux,marteau,21
tenus,tenu,31
à,à,81
la,le,71
ceinture,ceinture,22
lui,lui,51
entraient,entrer,18
dans,dans,81
le,le,71
ventre,ventre,21
",",",",p
les,le,71
cailloux,caillou,21
dont,dont,52
ses,son,73
poches,poche,22
étaient,être,18
bourrées,bourrer,12
tapaient,taper,18
ses,son,73
flancs,flanc,21
;,;,p
la,le,71
visière,visière,22
de,de,81
sa,son,73
casquette,casquette,22
l',le,52
aveuglait,aveugler,18
",",",",p
le,le,71
vent,vent,21
redoublait,redoubler,18
de,de,81
force,force,22
;,;,p
enfin,enfin,60
il,il,51
atteignit,atteindre,19
le,le,71
plateau,plateau,21
et,et,82
y,y,52
trouva,trouver,19
Bouvard,Bouvard,20
qui,qui,52
était,être,18
monté,monter,12
plus,plus,60
loin,loin,60
",",",",p
par,par,81
une,un,71
valleuse,valleuse,22
moins,moins,60
difficile,difficile,30
/.,/.,P
une,un,71
charrette,charrette,22
les,le,52
recueillit,recueillir,19
/.,/.,P
ils,ils,51
oublièrent,oublier,19
Etretat,Etretat,20
/.,/.,P
le,le,71
lendemain,lendemain,21
soir,soir,21
au,à,81
au,le,71
Havre,Havre,20
",",",",p
en,en,81
attendant,attendre,13
le,le,71
paquebot,paquebot,21
",",",",p
ils,ils,51
virent,voir,19
au,à,81
au,le,71
bas,bas,21
d',de,81
un,un,71
journal,journal,21
",",",",p
un,un,71
feuilleton,feuilleton,21
intitulé,intitulé,31
de,de,81
l',le,71
enseignement,enseignement,21
de,de,81
la,le,71
géologie,géologie,22
/.,/.,P
cet,ce,74
article,article,21
",",",",p
plein,plein,21
de,de,81
faits,fait,21
",",",",p
exposait,exposer,18
la,le,71
question,question,22
comme,comme,83
elle,il,51
était,être,18
comprise,comprendre,12
à,à,81
l',le,71
époque,époque,22
/.,/.,P
jamais,jamais,60
il,il,51
n',ne,60
y,y,52
eut,avoir,19
un,un,71
cataclysme,cataclysme,21
complet,complet,30
du,de,81
du,le,71
globe,globe,21
;,;,p
mais,mais,82
la,le,71
même,même,75
espèce,espèce,22
n',ne,60
a,avoir,17
pas,pas,60
toujours,toujours,60
la,le,71
même,même,75
durée,durée,22
",",",",p
et,et,82
s',se,51
éteint,éteindre,17
plus,plus,60
vite,vite,60
dans,dans,81
tel,tel,75
endroit,endroit,21
que,que,83
dans,dans,81
tel,tel,75
autre,autre,52
/.,/.,P
des,de,81
des,le,71
terrains,terrain,21
de,de,81
même,même,75
âge,âge,21
contiennent,contenir,17
des,de,81
des,le,71
fossiles,fossile,21
différents,différent,30
comme,comme,83
des,de,81
des,le,71
dépôts,dépôt,21
très,très,60
éloignés,éloigné,31
en,en,52
renferment,renfermer,17
de,de,81
pareils,pareil,30
/.,/.,P
les,le,71
fougères,fougère,22
d',de,81
autrefois,autrefois,60
sont,être,17
identiques,identique,30
aux,à,81
aux,le,71
fougères,fougère,22
d',de,81
à,à,81
présent,présent,21
/.,/.,P
beaucoup,beaucoup,60
de,de,81
zoophytes,zoophyte,21
contemporains,contemporain,30
se,se,51
retrouvent,retrouver,17
dans,dans,81
les,le,71
couches,couche,22
les,le,71
plus,plus,60
anciennes,ancien,30
/.,/.,P
en,en,81
résumé,résumé,21
",",",",p
les,le,71
modifications,modification,22
actuelles,actuel,30
expliquent,expliquer,17
les,le,71
bouleversements,bouleversement,21
antérieurs,antérieur,30
/.,/.,P
les,le,71
mêmes,même,75
causes,cause,22
agissent,agir,18
toujours,toujours,60
",",",",p
la,le,71
nature,nature,22
ne,ne,60
fait,faire,17
pas,pas,60
de,de,81
sauts,saut,21
",",",",p
et,et,82
les,le,71
périodes,période,22
",",",",p
affirme,affirmer,17
Brongniart,Brongniart,20
",",",",p
ne,ne,60
sont,être,17
après,après,81
tout,tout,52
que,que,83
des,de,81
des,le,71
abstractions,abstraction,22
/.,/.,P
Cuvier,Cuvier,20
jusqu',jusque,81
à,à,81
présent,présent,21
leur,leur,52
avait,avoir,18
apparu,apparaître,12
dans,dans,81
l',le,71
éclat,éclat,21
d',de,81
une,un,71
auréole,auréole,22
",",",",p
au,à,81
au,le,71
sommet,sommet,21
d',de,81
une,un,71
science,science,22
indiscutable,indiscutable,30
/.,/.,P
elle,il,51
était,être,18
sapée,saper,12
/.,/.,P
la,le,71
création,création,22
n',ne,60
avait,avoir,18
plus,plus,60
la,le,71
même,même,75
discipline,discipline,22
;,;,p
et,et,82
leur,leur,73
respect,respect,21
pour,pour,81
ce,ce,74
grand,grand,30
homme,homme,21
diminua,diminuer,19
/.,/.,P
par,par,81
des,de,81
des,le,71
biographies,biographie,22
et,et,82
des,de,81
des,le,71
extraits,extrait,21
",",",",p
ils,ils,51
apprirent,apprendre,19
quelque,quelque,75
chose,chose,22
des,de,81
des,le,71
doctrines,doctrine,22
de,de,81
Lamarck,Lamarck,20
et,et,82
de,de,81
Geoffroy,Geoffroy,20
Saint,Saint,20
Hilaire,Hilaire,20
/.,/.,P
tout,tout,75
cela,cela,52
contrariait,contrarier,18
les,le,71
idées,idée,22
reçues,reçu,31
",",",",p
l',le,71
autorité,autorité,22
de,de,81
l',le,71
Eglise,Eglise,20
/.,/.,P
Bouvard,Bouvard,20
en,en,52
éprouva,éprouver,19
comme,comme,83
l',le,71
allégement,allègement,21
d',de,81
un,un,71
joug,joug,21
brisé,brisé,31
/.,/.,P
-,-,p
“,“,p
je,je,51
voudrais,vouloir,16
voir,voir,14
",",",",p
maintenant,maintenant,60
",",",",p
ce,ce,52
que,que,52
le,le,71
citoyen,citoyen,21
Jeufroy,Jeufroy,20
me,je,51
répondrait,répondre,16
sur,sur,81
le,le,71
déluge,déluge,21
/!,/!,P
ils,ils,51
le,le,52
trouvèrent,trouver,19
dans,dans,81
son,son,73
petit,petit,30
jardin,jardin,21
où,où,60
il,il,51
attendait,attendre,18
les,le,71
membres,membre,21
du,de,81
du,le,71
Conseil,conseil,21
de,de,81
fabrique,fabrique,22
",",",",p
qui,qui,52
devaient,devoir,18
se,se,51
réunir,réunir,14
tout,tout,60
à,à,81
l',le,71
heure,heure,22
",",",",p
pour,pour,81
l',le,71
acquisition,acquisition,22
d',de,81
une,un,71
chasuble,chasuble,22
/.,/.,P
-,-,p
“,“,p
ces,ce,74
messieurs,monsieur,21
souhaitent,souhaiter,17
/…,/…,P
un,un,71
éclaircissement,éclaircissement,21
",",",",p
s',si,83
il,il,51
vous,vous,51
plaît,plaire,17
“,“,p
",",",",p
et,et,82
Bouvard,Bouvard,20
commença,commencer,19
/.,/.,P
que,que,52
signifiaient,signifier,18
dans,dans,81
la,le,71
Genèse,Genèse,20
",",",",p
“,“,p
l',le,71
abîme,abîme,21
qui,qui,52
se,se,51
rompit,rompre,19
“,“,p
et,et,82
“,“,p
les,le,71
cataractes,cataracte,22
du,de,81
du,le,71
ciel,ciel,21
“,“,p
/?,/?,P
car,car,82
un,un,71
abîme,abîme,21
ne,ne,60
se,se,51
rompt,rompre,17
pas,pas,60
",",",",p
et,et,82
le,le,71
ciel,ciel,21
n',ne,60
a,avoir,17
point,point,60
de,de,81
cataractes,cataracte,22
/!,/!,P
l',le,71
abbé,abbé,21
ferma,fermer,19
les,le,71
paupières,paupière,22
",",",",p
puis,puis,60
répondit,répondre,19
qu',que,83
il,il,51
fallait,falloir,18
distinguer,distinguer,14
toujours,toujours,60
entre,entre,81
le,le,71
sens,sens,21
et,et,82
la,le,71
lettre,lettre,22
/.,/.,P
des,de,81
des,le,71
choses,chose,22
qui,qui,52
d'abord,d'abord,60
nous,nous,51
choquent,choquer,17
deviennent,devenir,17
légitimes,légitime,30
en,en,81
les,le,52
approfondissant,approfondir,13
/.,/.,P
-,-,p
“,“,p
très,très,60
bien,bien,60
!,!,p
mais,mais,82
comment,comment,60
expliquer,expliquer,14
la,le,71
pluie,pluie,22
qui,qui,52
dépassait,dépasser,18
les,le,71
plus,plus,60
hautes,haut,30
montagnes,montagne,22
",",",",p
lesquelles,lequel,52
mesurent,mesurer,17
deux,deux,72
lieues,lieue,22
!,!,p
y,y,52
pensez,penser,17
vous,vous,51
",",",",p
deux,deux,72
lieues,lieue,22
!,!,p
une,un,71
épaisseur,épaisseur,22
d',de,81
eau,eau,22
ayant,avoir,13
deux,deux,72
lieues,lieue,22
/!,/!,P
et,et,82
le,le,71
maire,maire,21
",",",",p
survenant,survenir,13
",",",",p
ajouta,ajouter,19
:,:,p
-,-,p
“,“,p
saprelotte,saprelotte,93
",",",",p
quel,quel,75
bain,bain,21
/!,/!,P
convenez,convenir,17
“,“,p
dit,dire,19
Bouvard,Bouvard,20
“,“,p
que,que,83
Moïse,Moïse,20
exagère,exagérer,17
diablement,diablement,60
/.,/.,P
“,“,p
le,le,71
curé,curé,21
avait,avoir,18
lu,lire,12
Bonald,Bonald,20
",",",",p
et,et,82
répliqua,répliquer,19
:,:,p
-,-,p
“,“,p
j',je,51
ignore,ignorer,17
ses,son,73
motifs,motif,21
;,;,p
c',ce,52
était,être,18
",",",",p
sans,sans,81
doute,doute,21
",",",",p
pour,pour,81
imprimer,imprimer,14
un,un,71
effroi,effroi,21
salutaire,salutaire,30
aux,à,81
aux,le,71
peuples,peuple,21
qu',que,83
il,il,51
dirigeait,diriger,18
/!,/!,P
enfin,enfin,60
",",",",p
cette,ce,74
masse,masse,22
d',de,81
eau,eau,22
",",",",p
d',de,81
où,où,60
venait,venir,18
elle,il,51
/?,/?,P
que,que,52
sais,savoir,17
je,je,51
/?,/?,P
l',le,71
air,air,21
s',se,51
était,être,18
changé,changer,12
en,en,81
pluie,pluie,22
",",",",p
comme,comme,83
il,il,51
arrive,arriver,17
tous,tout,75
les,le,71
jours,jour,21
/.,/.,P
“,“,p
par,par,81
la,le,71
porte,porte,22
du,de,81
du,le,71
jardin,jardin,21
",",",",p
on,on,51
vit,voir,19
entrer,entrer,14
monsieur,monsieur,21
Girbal,Girbal,20
",",",",p
directeur,directeur,21
des,de,81
des,le,71
contributions,contribution,22
",",",",p
avec,avec,81
le,le,71
capitaine,capitaine,21
Heurtaux,Heurtaux,20
",",",",p
propriétaire,propriétaire,21
;,;,p
et,et,82
Beljambe,Beljambe,20
l',le,71
aubergiste,aubergiste,21
donnait,donner,18
le,le,71
bras,bras,21
à,à,81
Langlois,Langlois,20
l',le,71
épicier,épicier,21
",",",",p
qui,qui,52
marchait,marcher,18
péniblement,péniblement,60
à,à,81
cause,cause,22
de,de,81
son,son,73
catarrhe,catarrhe,22
/.,/.,P
Pécuchet,Pécuchet,20
",",",",p
sans,sans,81
souci,souci,21
d',de,81
eux,ils,51
",",",",p
prit,prendre,19
la,le,71
parole,parole,22
/.,/.,P
-,-,p
“,“,p
pardon,pardon,21
",",",",p
monsieur,monsieur,21
Jeufroy,Jeufroy,20
/.,/.,P
le,le,71
poids,poids,21
de,de,81
l',le,71
atmosphère,atmosphère,22
(,(,p
la,le,71
science,science,22
nous,nous,51
le,le,52
démontre,démontrer,17
),),p
est,être,17
égal,égal,30
à,à,81
celui,celui,52
d',de,81
une,un,71
masse,masse,22
d',de,81
eau,eau,22
qui,qui,52
ferait,faire,16
autour,autour,60
du,de,81
du,le,71
globe,globe,21
une,un,71
enveloppe,enveloppe,22
de,de,81
dix,dix,72
mètres,mètre,21
/.,/.,P
par,par,81
conséquent,conséquent,30
",",",",p
si,si,83
tout,tout,75
l',le,71
air,air,21
condensé,condensé,31
tombait,tomber,18
dessus,dessus,60
à,à,81
l',le,71
état,état,21
liquide,liquider,17
",",",",p
il,il,51
augmenterait,augmenter,16
bien,bien,60
peu,peu,60
la,le,71
masse,masse,22
des,de,81
des,le,71
eaux,eau,22
existantes,existant,30
/.,/.,P
“,“,p
et,et,82
les,le,71
fabriciens,fabricien,21
ouvraient,ouvrir,18
de,de,81
grands,grand,30
yeux,oeil,21
",",",",p
écoutaient,écouter,18
/.,/.,P
le,le,71
curé,curé,21
s',se,51
impatienta,impatienter,19
/.,/.,P
-,-,p
“,“,p
nierez,nier,15
vous,vous,51
qu',que,83
on,on,51
ait,avoir,17
trouvé,trouver,12
des,de,81
des,le,71
coquilles,coquille,22
sur,sur,81
les,le,71
montagnes,montagne,22
?,?,p
qui,qui,52
les,le,52
y,y,52
a,avoir,17
mises,mettre,12
",",",",p
sinon,sinon,83
le,le,71
déluge,déluge,21
/?,/?,P
elles,ils,51
n',ne,60
ont,avoir,17
pas,pas,60
coutume,coutume,22
",",",",p
je,je,51
crois,croire,17
",",",",p
de,de,81
pousser,pousser,14
toutes,tout,60
seules,seul,30
dans,dans,81
la,le,71
terre,terre,22
comme,comme,83
des,de,81
des,le,71
carottes,carotte,22
/!,/!,P
et,et,82
ce,ce,74
mot,mot,21
ayant,avoir,13
fait,faire,12
rire,rire,14
l',le,71
assemblée,assemblée,22
",",",",p
il,il,51
ajouta,ajouter,19
en,en,81
pinçant,pincer,13
les,le,71
lèvres,lèvre,22
:,:,p
“,“,p
à,à,81
moins,moins,60
que,que,83
ce,ce,52
ne,ne,60
soit,être,17
encore,encore,60
une,un,52
des,de,81
des,le,71
découvertes,découverte,22
de,de,81
la,le,71
science,science,22
/?,/?,P
Bouvard,Bouvard,20
voulut,vouloir,19
répondre,répondre,14
par,par,81
le,le,71
soulèvement,soulèvement,21
des,de,81
des,le,71
montagnes,montagne,22
",",",",p
la,le,71
théorie,théorie,22
d',de,81
Elie,Elie,20
de,de,81
Beaumont,Beaumont,20
/.,/.,P
-,-,p
“,“,p
connais,connaître,17
pas,pas,60
!,!,p
répondit,répondre,19
l',le,71
Abbé,abbé,21
/.,/.,P
Foureau,Foureau,20
s',se,51
empressa,empresser,19
de,de,81
dire,dire,14
:,:,p
-,-,p
“,“,p
il,il,51
est,être,17
de,de,81
Caen,Caen,20
/!,/!,P
je,je,51
l',le,52
ai,avoir,17
vu,voir,12
une,un,71
fois,fois,22
à,à,81
la,le,71
préfecture,préfecture,22
/!,/!,P
mais,mais,82
si,si,83
votre,votre,73
déluge,déluge,21
“,“,p
repartit,repartir,19
Bouvard,Bouvard,20
“,“,p
avait,avoir,18
charrié,charrier,12
des,de,81
des,le,71
coquilles,coquille,22
",",",",p
on,on,51
les,le,52
trouverait,trouver,16
brisées,brisé,31
à,à,81
la,le,71
surface,surface,22
",",",",p
et,et,82
non,non,60
à,à,81
des,de,81
des,le,71
profondeurs,profondeur,22
de,de,81
trois,trois,72
cents,cent,72
mètres,mètre,21
quelquefois,quelquefois,60
/.,/.,P
“,“,p
le,le,71
prêtre,prêtre,21
se,se,51
rejeta,rejeter,19
sur,sur,81
la,le,71
véracité,véracité,22
des,de,81
des,le,71
Ecritures,Ecritures,20
",",",",p
la,le,71
tradition,tradition,22
du,de,81
du,le,71
genre,genre,21
humain,humain,30
et,et,82
les,le,71
animaux,animal,21
découverts,découvert,31
dans,dans,81
de,de,81
la,le,71
glace,glace,22
",",",",p
en,en,81
Sibérie,Sibérie,20
/.,/.,P
cela,cela,52
ne,ne,60
prouve,prouver,17
pas,pas,60
que,que,83
l',le,71
homme,homme,21
ait,avoir,17
vécu,vivre,12
en,en,81
même,même,75
temps,temps,21
qu',que,83
eux,ils,51
/!,/!,P
la,le,71
terre,terre,22
",",",",p
selon,selon,81
Pécuchet,Pécuchet,20
",",",",p
était,être,18
considérablement,considérablement,60
plus,plus,60
vieille,vieux,30
/.,/.,P
-,-,p
“,“,p
le,le,71
Delta,Delta,20
du,de,81
du,le,71
Mississippi,Mississippi,20
remonte,remonter,17
à,à,81
des,de,81
des,le,71
dizaines,dizaine,22
de,de,81
milliers,millier,21
d',de,81
années,année,22
/.,/.,P
l',le,71
époque,époque,22
actuelle,actuel,30
en,en,52
a,avoir,17
cent,cent,72
mille,mille,72
",",",",p
pour,pour,81
le,le,71
moins,moins,60
/.,/.,P
les,le,71
listes,liste,22
de,de,81
Manéthon,Manéthon,20
/…,/…,P
“,“,p
le,le,71
comte,comte,21
de,de,81
Faverges,Faverges,20
s',se,51
avança,avancer,19
/.,/.,P
tous,tout,52
firent,faire,19
silence,silence,21
à,à,81
son,son,73
approche,approche,22
/.,/.,P
-,-,p
“,“,p
continuez,continuer,17
",",",",p
je,je,51
vous,vous,51
prie,prier,17
/!,/!,P
que,que,52
disiez,dire,18
vous,vous,51
/?,/?,P
ces,ce,74
messieurs,monsieur,21
me,je,51
querellaient,quereller,18
“,“,p
répondit,répondre,19
l',le,71
abbé,abbé,21
/.,/.,P
-,-,p
“,“,p
à,à,81
propos,propos,21
de,de,81
quoi,quoi,52
/?,/?,P
sur,sur,81
la,le,71
sainte,saint,30
Ecriture,Ecriture,20
",",",",p
monsieur,monsieur,21
le,le,71
Comte,Comte,20
/!,/!,P
Bouvard,Bouvard,20
",",",",p
de,de,81
suite,suite,22
",",",",p
allégua,alléguer,19
qu',que,83
ils,ils,51
avaient,avoir,18
droit,droit,21
",",",",p
comme,comme,83
géologues,géologue,21
",",",",p
à,à,81
discuter,discuter,14
religion,religion,22
/.,/.,P
-,-,p
“,“,p
prenez,prendre,17
garde,garde,22
“,“,p
dit,dire,19
le,le,71
comte,comte,21
/.,/.,P
“,“,p
vous,vous,51
savez,savoir,17
le,le,71
mot,mot,21
",",",",p
cher,cher,30
monsieur,monsieur,21
",",",",p
un,un,71
peu,peu,60
de,de,81
science,science,22
en,en,52
éloigne,éloigner,17
",",",",p
beaucoup,beaucoup,60
y,y,52
ramène,ramener,17
/.,/.,P
“,“,p
et,et,82
d',de,81
un,un,71
ton,ton,21
à,à,81
la,le,71
fois,fois,22
hautain,hautain,30
et,et,82
paternel,paternel,30
:,:,p
“,“,p
croyez,croire,17
moi,moi,51
!,!,p
vous,vous,51
y,y,52
reviendrez,revenir,15
!,!,p
vous,vous,51
y,y,52
reviendrez,revenir,15
/!,/!,P
peut-être,peut-être,60
!,!,p
mais,mais,82
que,que,52
penser,penser,14
d',de,81
un,un,71
livre,livre,21
",",",",p
où,où,60
l',l',94
on,on,51
prétend,prétendre,17
que,que,83
la,le,71
lumière,lumière,22
a,avoir,17
été,être,12
créée,créer,12
avant,avant,81
le,le,71
soleil,soleil,21
",",",",p
comme,comme,83
si,si,83
le,le,71
soleil,soleil,21
n',ne,60
était,être,18
pas,pas,60
la,le,71
seule,seul,30
cause,cause,22
de,de,81
la,le,71
lumière,lumière,22
/!,/!,P
vous,vous,51
oubliez,oublier,17
celle,celui,52
qu',que,83
on,on,51
appelle,appeler,17
boréale,boréal,30
“,“,p
dit,dire,19
l',le,71
ecclésiastique,ecclésiastique,21
/.,/.,P
Bouvard,Bouvard,20
",",",",p
sans,sans,81
répondre,répondre,14
à,à,81
l',le,71
objection,objection,22
",",",",p
nia,nier,19
fortement,fortement,60
qu',que,83
elle,il,51
ait,avoir,17
pu,pouvoir,12
être,être,14
d',de,81
un,un,71
côté,côté,21
et,et,82
les,le,71
ténèbres,ténèbre,22
de,de,81
l',le,71
autre,autre,52
",",",",p
qu',que,52
il,il,51
y,y,52
ait,avoir,17
eu,avoir,12
un,un,71
soir,soir,21
et,et,82
un,un,71
matin,matin,21
quand,quand,83
les,le,71
astres,astre,21
n',ne,60
existaient,exister,18
pas,pas,60
",",",",p
et,et,82
que,que,83
les,le,71
animaux,animal,21
aient,avoir,17
apparu,apparaître,12
tout,tout,60
à,à,81
coup,coup,21
",",",",p
au,à,81
au,le,71
lieu,lieu,21
de,de,81
se,se,51
former,former,14
par,par,81
cristallisation,cristallisation,22
/.,/.,P
comme,comme,83
les,le,71
allées,allée,22
étaient,être,18
trop,trop,60
petites,petit,30
",",",",p
en,en,81
gesticulant,gesticuler,13
",",",",p
on,on,51
marchait,marcher,18
dans,dans,81
les,le,71
plates-bandes,plate-bande,22
/.,/.,P
Langlois,Langlois,20
fut,être,19
pris,prendre,12
d',de,81
une,un,71
quinte,quinte,22
de,de,81
toux,toux,22
/.,/.,P
le,le,71
capitaine,capitaine,21
criait,crier,18
:,:,p
“,“,p
vous,vous,51
êtes,être,17
des,de,81
des,le,71
révolutionnaires,révolutionnaire,21
/!,/!,P
Girbal,Girbal,20
:,:,p
“,“,p
la,le,71
paix,paix,22
!,!,p
la,le,71
paix,paix,22
/!,/!,P
le,le,71
prêtre,prêtre,21
:,:,p
“,“,p
quel,quel,75
matérialisme,matérialisme,21
/!,/!,P
Foureau,Foureau,20
:,:,p
“,“,p
occupons,occuper,17
nous,nous,51
plutôt,plutôt,60
de,de,81
notre,notre,73
chasuble,chasuble,22
/!,/!,P
hou,hou,93
/!,/!,P
laissez,laisser,17
moi,moi,51
parler,parler,14
/!,/!,P
et,et,82
Bouvard,Bouvard,20
s',se,51
échauffant,échauffer,13
",",",",p
alla,aller,19
jusqu',jusque,81
à,à,81
dire,dire,14
que,que,83
l',le,71
homme,homme,21
descendait,descendre,18
du,de,81
du,le,71
singe,singe,21
/!,/!,P
tous,tout,75
les,le,71
fabriciens,fabricien,21
se,se,51
regardèrent,regarder,19
",",",",p
fort,fort,60
ébahis,ébahi,31
",",",",p
et,et,82
comme,comme,83
pour,pour,81
s',se,51
assurer,assurer,14
qu',que,83
ils,ils,51
n',ne,60
étaient,être,18
pas,pas,60
des,de,81
des,le,71
singes,singe,21
/.,/.,P
Bouvard,Bouvard,20
reprit,reprendre,19
:,:,p
-,-,p
“,“,p
en,en,81
comparant,comparer,13
le,le,71
foetus,foetus,21
d',de,81
une,un,71
femme,femme,22
",",",",p
d',de,81
une,un,71
chienne,chienne,22
",",",",p
d',de,81
un,un,71
oiseau,oiseau,21
/…,/…,P
“,“,p
-,-,p
“,“,p
assez,assez,60
/!,/!,P
moi,moi,51
",",",",p
je,je,51
vais,aller,17
plus,plus,60
loin,loin,60
!,!,p
s',se,51
écria,écrier,19
Pécuchet,Pécuchet,20
/.,/.,P
“,“,p
l',le,71
homme,homme,21
descend,descendre,17
des,de,81
des,le,71
poissons,poisson,21
/!,/!,P
des,de,81
des,le,71
rires,rire,21
éclatèrent,éclater,19
/.,/.,P
mais,mais,82
sans,sans,81
se,se,51
troubler,troubler,14
:,:,p
“,“,p
le,le,71
Telliamed,Telliamed,20
!,!,p
un,un,71
livre,livre,21
arabe,arabe,30
!,!,p
/…,/…,P
“,“,p
-,-,p
“,“,p
allons,aller,17
",",",",p
messieurs,monsieur,21
",",",",p
en,en,81
séance,séance,22
/!,/!,P
et,et,82
on,on,51
entra,entrer,19
dans,dans,81
la,le,71
sacristie,sacristie,22
/.,/.,P
les,le,71
deux,deux,72
compagnons,compagnon,21
n',ne,60
avaient,avoir,18
pas,pas,60
roulé,rouler,12
l',le,71
abbé,abbé,21
Jeufroy,Jeufroy,20
",",",",p
comme,comme,83
ils,ils,51
l',le,52
auraient,avoir,16
cru,croire,12
-,-,p
aussi,aussi,60
Pécuchet,Pécuchet,20
