11663
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Quarante-huitième extrait>,<>,<>
plus,plus,60
profondes,profond,30
rêveries,rêverie,22
de,de,81
la,le,71
science,science,22
;,;,p
puis,puis,60
",",",",p
conduit,conduit,31
par,par,81
leur,leur,73
profondeur,profondeur,22
à,à,81
une,un,71
élévation,élévation,22
plus,plus,60
grande,grand,30
",",",",p
se,se,51
jetait,jeter,18
à,à,81
genoux,genou,21
tout,tout,60
à,à,81
coup,coup,21
devant,devant,81
le,le,71
crucifix,crucifix,21
placé,placé,31
sur,sur,81
la,le,71
cheminée,cheminée,22
",",",",p
parce qu',parce que,83
aux,à,81
aux,le,71
bornes,borne,22
de,de,81
l',le,71
esprit,esprit,21
humain,humain,30
il,il,51
avait,avoir,18
rencontré,rencontrer,12
dieu,dieu,21
/.,/.,P
en,en,81
d',de,81
autres,autre,75
instants,instant,21
",",",",p
il,il,51
s',se,51
enfonçait,enfoncer,18
dans,dans,81
les,le,71
bras,bras,21
de,de,81
son,son,73
grand,grand,30
fauteuil,fauteuil,21
de,de,81
manière,manière,22
à,à,81
être,être,14
presque,presque,60
assis,asseoir,12
sur,sur,81
le,le,71
dos,dos,21
",",",",p
et,et,82
",",",",p
mettant,mettre,13
ses,son,73
deux,deux,72
mains,main,22
sur,sur,81
ses,son,73
yeux,oeil,21
",",",",p
suivait,suivre,18
dans,dans,81
sa,son,73
tête,tête,22
la,le,71
trace,trace,22
des,de,81
des,le,71
raisonnements,raisonnement,21
de,de,81
René,René,20
Descartes,Descartes,20
",",",",p
depuis,depuis,81
cette,ce,74
idée,idée,22
de,de,81
la,le,71
première,premier,72
méditation,méditation,22
:,:,p
“,“,p
supposons,supposer,17
que,que,83
nous,nous,51
sommes,être,17
endormis,endormir,12
",",",",p
et,et,82
que,que,83
toutes,tout,75
ces,ce,74
particularités,particularité,22
",",",",p
savoir,savoir,14
:,:,p
que,que,83
nous,nous,51
ouvrons,ouvrir,17
les,le,71
yeux,oeil,21
",",",",p
remuons,remuer,17
la,le,71
tête,tête,22
",",",",p
étendons,étendre,17
le,le,71
bras,bras,21
",",",",p
ne,ne,60
sont,être,17
que,que,83
de,de,81
fausses,faux,30
illusions,illusion,22
/…,/…,P
“,“,p
jusqu',jusque,81
à,à,81
cette,ce,74
sublime,sublime,30
conclusion,conclusion,22
de,de,81
la,le,71
troisième,troisième,72
:,:,p
“,“,p
il,il,51
ne,ne,60
reste,rester,17
à,à,81
dire,dire,14
qu',que,83
une,un,71
chose,chose,22
:,:,p
c',ce,52
est,être,17
que,que,83
",",",",p
semblable,semblable,30
à,à,81
l',le,71
idée,idée,22
de,de,81
moi-même,moi-même,51
",",",",p
celle,celui,52
de,de,81
dieu,dieu,21
est,être,17
née,naître,12
et,et,82
produite,produire,12
avec,avec,81
moi,moi,51
dès,dès,81
lors,lors,60
que,que,83
j',je,51
ai,avoir,17
été,être,12
créé,créer,12
/.,/.,P
et,et,82
",",",",p
certes,certes,60
",",",",p
on,on,51
ne,ne,60
doit,devoir,17
pas,pas,60
trouver,trouver,14
étrange,étrange,30
que,que,83
dieu,dieu,21
",",",",p
en,en,81
me,je,51
créant,créer,13
",",",",p
ait,avoir,17
mis,mettre,12
en,en,81
moi,moi,51
cette,ce,74
idée,idée,22
pour,pour,81
être,être,14
comme,comme,83
la,le,71
marque,marque,22
de,de,81
l',le,71
ouvrier,ouvrier,21
empreinte,empreint,31
sur,sur,81
son,son,73
ouvrage,ouvrage,21
/.,/.,P
“,“,p
ces,ce,74
pensées,pensée,22
occupaient,occuper,18
entièrement,entièrement,60
l',le,71
âme,âme,22
du,de,81
du,le,71
jeune,jeune,30
conseiller,conseiller,21
",",",",p
lorsqu',lorsque,83
un,un,71
grand,grand,30
bruit,bruit,21
se,se,51
fit,faire,19
entendre,entendre,14
sous,sous,81
ses,son,73
fenêtres,fenêtre,22
;,;,p
il,il,51
crut,croire,19
que,que,83
le,le,71
feu,feu,21
d',de,81
une,un,71
maison,maison,22
excitait,exciter,18
ces,ce,74
cris,cri,21
prolongés,prolongé,31
",",",",p
et,et,82
se,se,51
hâta,hâter,19
de,de,81
regarder,regarder,14
vers,vers,81
l',le,71
aile,aile,22
du,de,81
du,le,71
bâtiment,bâtiment,21
occupé,occupé,31
par,par,81
sa,son,73
mère,mère,22
et,et,82
ses,son,73
soeurs,soeur,22
;,;,p
mais,mais,82
tout,tout,52
y,y,52
paraissait,paraître,18
dormir,dormir,14
",",",",p
et,et,82
les,le,71
cheminées,cheminée,22
ne,ne,60
laissaient,laisser,18
même,même,60
échapper,échapper,14
aucune,aucun,75
fumée,fumée,22
qui,qui,52
attestât,attester,18
le,le,71
réveil,réveil,21
des,de,81
des,le,71
habitants,habitant,21
:,:,p
il,il,51
en,en,52
bénit,bénir,19
le,le,71
ciel,ciel,21
;,;,p
et,et,82
",",",",p
courant,courir,13
à,à,81
une,un,71
autre,autre,75
fenêtre,fenêtre,22
",",",",p
il,il,51
vit,voir,19
le,le,71
peuple,peuple,21
dont,dont,52
nous,nous,51
connaissons,connaître,17
les,le,71
exploits,exploit,21
se,se,51
presser,presser,14
vers,vers,81
les,le,71
rues,rue,22
étroites,étroit,30
qui,qui,52
mènent,mener,17
au,à,81
au,le,71
quai,quai,21
/.,/.,P
après,après,81
avoir,avoir,14
examiné,examiner,12
cette,ce,74
cohue,cohue,22
de,de,81
femmes,femme,22
et,et,82
d',de,81
enfants,enfant,21
",",",",p
l',le,71
enseigne,enseigne,21
ridicule,ridicule,30
qui,qui,52
les,le,52
guidait,guider,18
",",",",p
et,et,82
les,le,71
grossiers,grossier,30
travestissements,travestissement,21
des,de,81
des,le,71
hommes,homme,21
:,:,p
“,“,p
c',ce,52
est,être,17
quelque,quelque,75
fête,fête,22
populaire,populaire,30
ou,ou,82
quelque,quelque,75
comédie,comédie,22
de,de,81
carnaval,carnaval,21
",",",",p
“,“,p
se,se,51
dit,dire,19
il,il,51
;,;,p
et,et,82
",",",",p
s',se,51
étant,être,13
placé,placer,12
de,de,81
nouveau,nouveau,21
au,à,81
au,le,71
coin,coin,21
de,de,81
son,son,73
feu,feu,21
",",",",p
il,il,51
prit,prendre,19
un,un,71
grand,grand,30
almanach,almanach,21
sur,sur,81
la,le,71
table,table,22
et,et,82
se,se,51
mit,mettre,19
à,à,81
chercher,chercher,14
avec,avec,81
beaucoup,beaucoup,60
de,de,81
soin,soin,21
quel,quel,75
saint,saint,21
on,on,51
fêtait,fêter,18
ce,ce,74
jour,jour,21
là,là,60
/.,/.,P
il,il,51
regarda,regarder,19
la,le,71
colonne,colonne,22
du,de,81
du,le,71
mois,mois,21
de,de,81
décembre,décembre,21
",",",",p
et,et,82
",",",",p
trouvant,trouver,13
au,à,81
au,le,71
quatrième,quatrième,72
jour,jour,21
de,de,81
ce,ce,74
mois,mois,21
le,le,71
nom,nom,21
de,de,81
Sainte Barbe,Sainte Barbe,20
",",",",p
il,il,51
se,se,51
rappela,rappeler,19
qu',que,83
il,il,51
venait,venir,18
de,de,81
voir,voir,14
passer,passer,14
des,de,81
des,le,71
espèces,espèce,22
de,de,81
petits,petit,30
canons,canon,21
et,et,82
caissons,caisson,21
",",",",p
et,et,82
",",",",p
parfaitement,parfaitement,60
satisfait,satisfait,31
de,de,81
l',le,71
explication,explication,22
qu',que,52
il,il,51
se,se,51
donnait,donner,18
à,à,81
lui-même,lui-même,51
",",",",p
se,se,51
hâta,hâter,19
de,de,81
chasser,chasser,14
l',le,71
idée,idée,22
qui,qui,52
venait,venir,18
de,de,81
le,le,52
distraire,distraire,14
",",",",p
et,et,82
se,se,51
renfonça,renfoncer,19
dans,dans,81
sa,son,73
douce,doux,30
étude,étude,22
",",",",p
se,se,51
levant,lever,13
seulement,seulement,60
quelquefois,quelquefois,60
pour,pour,81
aller,aller,14
prendre,prendre,14
un,un,71
livre,livre,21
aux,à,81
aux,le,71
rayons,rayon,21
de,de,81
sa,son,73
bibliothèque,bibliothèque,22
",",",",p
et,et,82
",",",",p
après,après,81
y,y,52
avoir,avoir,14
lu,lire,12
une,un,71
phrase,phrase,22
",",",",p
une,un,71
ligne,ligne,22
ou,ou,82
seulement,seulement,60
un,un,71
mot,mot,21
",",",",p
le,le,52
jetait,jeter,18
près,près,81
de,de,81
lui,lui,51
sur,sur,81
sa,son,73
table,table,22
ou,ou,82
sur,sur,81
le,le,71
parquet,parquet,21
",",",",p
encombré,encombré,31
ainsi,ainsi,60
de,de,81
papiers,papier,21
qu',que,52
il,il,51
se,se,51
gardait,garder,18
bien,bien,60
de,de,81
mettre,mettre,14
à,à,81
leur,leur,73
place,place,22
",",",",p
de,de,81
crainte,crainte,22
de,de,81
rompre,rompre,14
le,le,71
fil,fil,21
de,de,81
ses,son,73
rêveries,rêverie,22
/.,/.,P
tout,tout,60
à,à,81
coup,coup,21
on,on,51
annonça,annoncer,19
",",",",p
en,en,81
ouvrant,ouvrir,13
brusquement,brusquement,60
la,le,71
porte,porte,22
",",",",p
un,un,71
nom,nom,21
qu',que,52
il,il,51
avait,avoir,18
distingué,distinguer,12
parmi,parmi,81
tous,tout,75
ceux,celui,52
du,de,81
du,le,71
barreau,barreau,21
",",",",p
et,et,82
un,un,71
homme,homme,21
que,que,52
ses,son,73
relations,relation,22
dans,dans,81
la,le,71
magistrature,magistrature,22
lui,lui,51
avaient,avoir,18
fait,faire,12
connaître,connaître,14
particulièrement,particulièrement,60
;,;,p
-,-,p
eh,eh,93
!,!,p
par,par,81
quel,quel,75
hasard,hasard,21
",",",",p
à,à,81
cinq,cinq,72
heures,heure,22
du,de,81
du,le,71
matin,matin,21
",",",",p
vois,voir,17
je,je,51
entrer,entrer,14
monsieur,monsieur,21
Fournier,Fournier,20
?,?,p
s',se,51
écria,écrier,19
t,t,94
il,il,51
;,;,p
y,y,52
a,avoir,17
t,t,94
il,il,51
quelques,quelque,75
malheureux,malheureux,21
à,à,81
défendre,défendre,14
",",",",p
quelques,quelque,75
familles,famille,22
à,à,81
nourrir,nourrir,14
des,de,81
des,le,71
fruits,fruit,21
de,de,81
son,son,73
talent,talent,21
?,?,p
a,avoir,17
t,t,94
il,il,51
quelque,quelque,75
erreur,erreur,22
à,à,81
détruire,détruire,14
parmi,parmi,81
nous,nous,51
",",",",p
quelque,quelque,75
vertu,vertu,22
à,à,81
réveiller,réveiller,14
dans,dans,81
nos,notre,73
coeurs,coeur,21
?,?,p
car,car,82
ce,ce,52
sont,être,17
là,là,60
de,de,81
ses,son,73
oeuvres,oeuvre,22
accoutumées,accoutumé,31
/.,/.,P
vous,vous,51
venez,venir,17
peut-être,peut-être,60
m',je,51
apprendre,apprendre,14
quelque,quelque,75
nouvelle,nouveau,30
humiliation,humiliation,22
de,de,81
notre,notre,73
parlement,parlement,21
;,;,p
hélas,hélas,60
!,!,p
les,le,71
chambres,chambre,22
secrètes,secret,30
de,de,81
l',le,71
Arsenal,Arsenal,20
sont,être,17
plus,plus,60
puissantes,puissant,30
que,que,83
l',le,71
antique,antique,30
magistrature,magistrature,22
contemporaine,contemporain,30
de,de,81
Clovis,Clovis,20
;,;,p
le,le,71
parlement,parlement,21
s',se,51
est,être,17
mis,mettre,12
à,à,81
genoux,genou,21
",",",",p
tout,tout,52
est,être,17
perdu,perdre,12
",",",",p
à,à,81
moins,moins,60
qu',que,83
il,il,51
ne,ne,60
se,se,51
remplisse,remplir,17
tout,tout,60
à,à,81
coup,coup,21
d',de,81
hommes,homme,21
semblables,semblable,30
à,à,81
vous,vous,51
/.,/.,P
-,-,p
monsieur,monsieur,21
",",",",p
je,je,51
ne,ne,60
mérite,mériter,17
pas,pas,60
vos,votre,73
éloges,éloge,21
",",",",p
dit,dire,19
l',le,71
avocat,avocat,21
en,en,81
entrant,entrer,13
accompagné,accompagné,31
d',de,81
un,un,71
homme,homme,21
grave,grave,30
et,et,82
âgé,âgé,30
",",",",p
enveloppé,enveloppé,31
comme,comme,83
lui,lui,51
d',de,81
un,un,71
grand,grand,30
manteau,manteau,21
;,;,p
je,je,51
mérite,mériter,17
au,à,81
au,le,71
contraire,contraire,21
tout,tout,75
votre,votre,73
blâme,blâme,21
",",",",p
et,et,82
j',je,51
en,en,52
suis,être,17
presque,presque,60
au,à,81
au,le,71
repentir,repentir,21
",",",",p
ainsi,ainsi,60
que,que,83
monsieur,monsieur,21
le,le,71
comte,comte,21
du,de,81
du,le,71
Lude,Lude,20
",",",",p
que,que,83
voici,voici,81
/.,/.,P
nous,nous,51
venons,venir,17
vous,vous,51
demander,demander,14
asile,asile,21
pour,pour,81
la,le,71
journée,journée,22
/.,/.,P
-,-,p
asile,asile,21
!,!,p
et,et,82
contre,contre,81
qui,qui,52
?,?,p
dit,dire,19
de,de,81
Thou,Thou,20
en,en,81
le,le,52
faisant,faire,13
asseoir,asseoir,14
/.,/.,P
-,-,p
contre,contre,81
le,le,71
plus,plus,60
bas,bas,30
peuple,peuple,21
de,de,81
Paris,Paris,20
",",",",p
qui,qui,52
nous,nous,51
veut,vouloir,17
pour,pour,81
chefs,chef,21
",",",",p
et,et,82
que,que,52
nous,nous,51
fuyons,fuir,17
;,;,p
il,il,51
est,être,17
odieux,odieux,30
:,:,p
la,le,71
vue,vue,22
",",",",p
l',le,71
odeur,odeur,22
",",",",p
l',le,71
ouïe,ouïe,22
et,et,82
le,le,71
contact,contact,21
surtout,surtout,60
sont,être,17
par,par,81
trop,trop,60
blessés,blesser,12
",",",",p
dit,dire,19
monsieur,monsieur,21
du,de,81
du,le,71
Lude,Lude,20
avec,avec,81
une,un,71
gravité,gravité,22
comique,comique,30
:,:,p
c',ce,52
est,être,17
trop,trop,60
fort,fort,30
/.,/.,P
-,-,p
ah,ah,93
!,!,p
ah,ah,93
!,!,p
vous,vous,51
dites,dire,17
donc,donc,82
que,que,83
c',ce,52
est,être,17
trop,trop,60
fort,fort,30
?,?,p
dit,dire,19
de,de,81
Thou,Thou,20
très,très,60
étonné,étonné,31
",",",",p
mais,mais,82
ne,ne,60
voulant,vouloir,13
pas,pas,60
en,en,52
faire,faire,14
semblant,semblant,21
/.,/.,P
-,-,p
oui,oui,60
",",",",p
reprit,reprendre,19
l',le,71
avocat,avocat,21
;,;,p
vraiment,vraiment,60
",",",",p
entre,entre,81
nous,nous,51
",",",",p
monsieur,monsieur,21
Le Grand,Le Grand,20
va,aller,17
trop,trop,60
loin,loin,60
/.,/.,P
-,-,p
oui,oui,60
",",",",p
il,il,51
pousse,pousser,17
trop,trop,60
vite,vite,60
les,le,71
choses,chose,22
;,;,p
il,il,51
fera,faire,15
avorter,avorter,14
nos,notre,73
projets,projet,21
",",",",p
ajouta,ajouter,19
son,son,73
compagnon,compagnon,21
/.,/.,P
-,-,p
ah,ah,93
!,!,p
ah,ah,93
!,!,p
vous,vous,51
dites,dire,17
donc,donc,82
qu',que,83
il,il,51
va,aller,17
trop,trop,60
loin,loin,60
?,?,p
répondit,répondre,19
",",",",p
en,en,81
se,se,51
frottant,frotter,13
le,le,71
menton,menton,21
",",",",p
de,de,81
Thou,Thou,20
toujours,toujours,60
plus,plus,60
surpris,surpris,31
",",",",p
il,il,51
y,y,52
avait,avoir,18
trois,trois,72
mois,mois,21
que,que,83
son,son,73
ami,ami,21
Cinq-Mars,Cinq-Mars,20
ne,ne,60
l',le,52
était,être,18
venu,venir,12
voir,voir,14
",",",",p
et,et,82
lui,lui,51
",",",",p
sans,sans,81
s',se,51
inquiéter,inquiéter,14
beaucoup,beaucoup,60
",",",",p
le,le,52
sachant,savoir,13
à,à,81
Saint-Germain,Saint-Germain,20
",",",",p
fort,fort,60
en,en,81
faveur,faveur,22
",",",",p
et,et,82
ne,ne,60
quittant,quitter,13
pas,pas,60
le,le,71
roi,roi,21
",",",",p
était,être,18
très,très,60
reculé,reculer,12
pour,pour,81
les,le,71
nouvelles,nouvelle,22
de,de,81
la,le,71
cour,cour,22
/.,/.,P
livré,livré,31
à,à,81
ses,son,73
graves,grave,30
études,étude,22
",",",",p
il,il,51
ne,ne,60
savait,savoir,18
jamais,jamais,60
les,le,71
événements,événement,21
publics,public,30
que,que,83
lorsqu',lorsque,83
on,on,51
l',le,52
y,y,52
obligeait,obliger,18
à,à,81
force,force,22
de,de,81
bruit,bruit,21
;,;,p
il,il,51
n',ne,60
était,être,18
au,à,81
au,le,71
courant,courant,21
de,de,81
la,le,71
vie,vie,22
qu',que,83
à,à,81
la,le,71
dernière,dernier,30
extrémité,extrémité,22
",",",",p
et,et,82
donnait,donner,18
souvent,souvent,60
un,un,71
spectacle,spectacle,21
assez,assez,60
divertissant,divertissant,30
à,à,81
ses,son,73
amis,ami,21
intimes,intime,30
par,par,81
ses,son,73
étonnements,étonnement,21
naïfs,naïf,30
",",",",p
d'autant,d'autant,60
plus,plus,60
que,que,83
",",",",p
par,par,81
un,un,71
petit,petit,30
amour-propre,amour-propre,21
mondain,mondain,30
",",",",p
il,il,51
voulait,vouloir,18
avoir,avoir,14
l',le,71
air,air,21
de,de,81
s',se,51
entendre,entendre,14
aux,à,81
aux,le,71
choses,chose,22
publiques,public,30
",",",",p
et,et,82
tentait,tenter,18
de,de,81
cacher,cacher,14
la,le,71
surprise,surprise,22
qu',que,52
il,il,51
éprouvait,éprouver,18
â,â,21
chaque,chaque,75
nouvelle,nouvelle,22
/.,/.,P
cette,ce,74
fois,fois,22
il,il,51
était,être,18
encore,encore,60
dans,dans,81
ce,ce,74
cas,cas,21
",",",",p
et,et,82
à,à,81
cet,ce,74
amour-propre,amour-propre,21
se,se,51
joignait,joindre,18
celui,celui,52
de,de,81
l',le,71
amitié,amitié,22
;,;,p
il,il,51
ne,ne,60
voulait,vouloir,18
pas,pas,60
laisser,laisser,14
croire,croire,14
que,que,83
Cinq-Mars,Cinq-Mars,20
y,y,52
eût,avoir,19
manqué,manquer,12
à,à,81
son,son,73
égard,égard,21
",",",",p
et,et,82
",",",",p
pour,pour,81
l',le,71
honneur,honneur,21
même,même,30
de,de,81
son,son,73
ami,ami,21
",",",",p
voulait,vouloir,18
paraître,paraître,14
instruit,instruit,31
de,de,81
ses,son,73
projets,projet,21
/.,/.,P
-,-,p
vous,vous,51
savez,savoir,17
bien,bien,60
où,où,60
nous,nous,51
en,en,52
sommes,être,17
?,?,p
continua,continuer,19
l',le,71
avocat,avocat,21
/.,/.,P
-,-,p
oui,oui,60
",",",",p
sans,sans,81
doute,doute,21
;,;,p
poursuivez,poursuivre,17
/.,/.,P
-,-,p
lié,lié,31
comme,comme,83
vous,vous,51
l',le,52
êtes,être,17
avec,avec,81
lui,lui,51
",",",",p
vous,vous,51
n',ne,60
ignorez,ignorer,17
pas,pas,60
que,que,83
tout,tout,52
s',se,51
organise,organiser,17
depuis,depuis,81
un,un,71
an,an,21
/…,/…,P
-,-,p
certainement,certainement,60
…,…,p
tout,tout,52
s',se,51
organise,organiser,17
…,…,p
mais,mais,82
allez,aller,17
toujours,toujours,60
/…,/…,P
-,-,p
vous,vous,51
conviendrez,convenir,15
avec,avec,81
nous,nous,51
",",",",p
monsieur,monsieur,21
",",",",p
que,que,83
monsieur,monsieur,21
Le Grand,Le Grand,20
est,être,17
dans,dans,81
son,son,73
tort,tort,21
/…,/…,P
-,-,p
ah,ah,93
!,!,p
ah,ah,93
!,!,p
c',ce,52
est,être,17
selon,selon,81
;,;,p
mais,mais,82
expliquez,expliquer,17
?,?,p
vous,vous,51
",",",",p
je,je,51
verrai,voir,15
/…,/…,P
-,-,p
eh,eh,93
bien,bien,60
",",",",p
vous,vous,51
savez,savoir,17
de,de,81
quoi,quoi,52
on,on,51
était,être,18
convenu,convenir,12
à,à,81
la,le,71
dernière,dernier,30
conférence,conférence,22
dont,dont,52
il,il,51
vous,vous,51
a,avoir,17
rendu,rendre,12
compte,compte,21
/?,/?,P
ah,ah,93
!,!,p
c'est-à-dire,c'est-à-dire,91
…,…,p
pardonnez,pardonner,17
moi,moi,51
",",",",p
je,je,51
vois,voir,17
bien,bien,60
à,à,81
peu,peu,60
près,près,81
;,;,p
mais,mais,82
remettez,remettre,17
moi,moi,51
sur,sur,81
la,le,71
voie,voie,22
/.,/.,P
-,-,p
c',ce,52
est,être,17
inutile,inutile,30
;,;,p
vous,vous,51
n',ne,60
avez,avoir,17
pas,pas,60
oublié,oublier,12
sans,sans,81
doute,doute,21
ce,ce,52
que,que,52
lui-même,lui-même,51
nous,nous,51
recommanda,recommander,19
chez,chez,81
Marion,Marion,20
Delorme,Delorme,20
/?,/?,P
de,de,81
n',ne,60
ajouter,ajouter,14
personne,personne,52
à,à,81
notre,notre,73
liste,liste,22
",",",",p
dit,dire,19
monsieur,monsieur,21
du,de,81
du,le,71
Lude,Lude,20
/.,/.,P
-,-,p
ah,ah,93
!,!,p
oui,oui,60
",",",",p
oui,oui,60
",",",",p
j',je,51
entends,entendre,17
",",",",p
dit,dire,19
de,de,81
Thou,Thou,20
;,;,p
cela,cela,52
me,je,51
semble,sembler,17
raisonnable,raisonnable,30
",",",",p
fort,fort,60
raisonnable,raisonnable,30
",",",",p
en,en,81
vérité,vérité,22
/.,/.,P
-,-,p
eh,eh,93
bien,bien,60
",",",",p
poursuivit,poursuivre,19
Fournier,Fournier,20
",",",",p
c',ce,52
est,être,17
lui-même,lui-même,51
qui,qui,52
a,avoir,17
enfreint,enfreindre,12
cette,ce,74
convention,convention,22
;,;,p
car,car,82
",",",",p
ce,ce,74
matin,matin,21
",",",",p
outre,outre,81
les,le,71
drôles,drôle,21
que,que,52
ce,ce,74
furet,furet,21
de,de,81
Gondi,Gondi,20
nous,nous,51
a,avoir,17
amenés,amener,12
",",",",p
on,on,51
a,avoir,17
vu,voir,12
je,je,51
ne,ne,60
sais,savoir,17
quel,quel,75
vagabond,vagabond,30
capitan,capitan,21
qui,qui,52
",",",",p
pendant,pendant,81
la,le,71
nuit,nuit,22
",",",",p
frappait,frapper,18
à,à,81
coups,coup,21
