11767
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Cinquante-cinquième extrait>,<>,<> 
monsieur,monsieur,21
Legris,Legris,20
",",",",p
en,en,81
se,se,51
répétant,répéter,13
avec,avec,81
angoisse,angoisse,22
:,:,p
le,le,71
sermon,sermon,21
est,être,17
sûr,sûr,30
",",",",p
l',le,71
écu,écu,21
est,être,17
douteux,douteux,30
/!,/!,P
il,il,51
arrêta,arrêter,19
un,un,71
bedeau,bedeau,21
qui,qui,52
sortait,sortir,18
du,de,81
du,le,71
cloître,cloître,21
/.,/.,P
-,-,p
où,où,60
est,être,17
monsieur,monsieur,21
l',le,71
archidiacre,archidiacre,21
de,de,81
Josas,Josas,20
/?,/?,P
je,je,51
crois,croire,17
qu',que,83
il,il,51
est,être,17
dans,dans,81
sa,son,73
cachette,cachette,22
de,de,81
la,le,71
tour,tour,22
",",",",p
dit,dire,19
le,le,71
bedeau,bedeau,21
",",",",p
et,et,82
je,je,51
ne,ne,60
vous,vous,51
conseille,conseiller,17
pas,pas,60
de,de,81
l',le,52
y,y,52
déranger,déranger,14
",",",",p
à,à,81
moins,moins,60
que,que,83
vous,vous,51
ne,ne,60
veniez,venir,17
de,de,81
la,le,71
part,part,22
de,de,81
quelqu'un,quelqu'un,52
comme,comme,83
le,le,71
pape,pape,21
ou,ou,82
monsieur,monsieur,21
le,le,71
roi,roi,21
/.,/.,P
Jehan,Jehan,20
frappa,frapper,19
dans,dans,81
ses,son,73
mains,main,22
/.,/.,P
-,-,p
bédiable,bédiable,93
!,!,p
voilà,voilà,81
une,un,71
magnifique,magnifique,30
occasion,occasion,22
de,de,81
voir,voir,14
la,le,71
fameuse,fameux,30
logette,logette,22
aux,à,81
aux,le,71
sorcelleries,sorcellerie,22
/!,/!,P
déterminé,déterminé,31
par,par,81
cette,ce,74
réflexion,réflexion,22
",",",",p
il,il,51
s',se,51
enfonça,enfoncer,19
résolument,résolument,60
sous,sous,81
la,le,71
petite,petit,30
porte,porte,22
noire,noir,30
",",",",p
et,et,82
se,se,51
mit,mettre,19
à,à,81
monter,monter,14
la,le,71
vis,vis,22
de,de,81
Saint-Gilles,Saint-Gilles,20
qui,qui,52
mène,mener,17
aux,à,81
aux,le,71
étages,étage,21
supérieurs,supérieur,30
de,de,81
la,le,71
tour,tour,22
/.,/.,P
-,-,p
je,je,51
vais,aller,17
voir,voir,14
!,!,p
se,se,51
disait,dire,18
il,il,51
chemin,chemin,21
faisant,faire,13
/.,/.,P
par,par,81
les,le,71
corbignolles,corbignolle,22
de,de,81
la,le,71
Sainte Vierge,Sainte Vierge,20
!,!,p
ce,ce,52
doit,devoir,17
être,être,14
chose,chose,22
curieuse,curieux,30
que,que,52
cette,ce,74
cellule,cellule,22
que,que,52
mon,mon,73
révérend,révérend,21
frère,frère,21
cache,cacher,17
comme,comme,83
son,son,73
pudendum,pudendum,92
/!,/!,P
on,on,51
dit,dire,17
qu',que,83
il,il,51
y,y,52
allume,allumer,17
des,de,81
des,le,71
cuisines,cuisine,22
d',de,81
enfer,enfer,21
",",",",p
et,et,82
qu',que,83
il,il,51
y,y,52
fait,faire,17
cuire,cuire,14
à,à,81
gros,gros,30
feu,feu,21
la,le,71
pierre,pierre,22
philosophale,philosophal,30
/.,/.,P
bédieu,bédieu,93
!,!,p
je,je,51
me,je,51
soucie,soucier,17
de,de,81
la,le,71
pierre,pierre,22
philosophale,philosophal,30
comme,comme,83
d',de,81
un,un,71
caillou,caillou,21
",",",",p
et,et,82
j',je,51
aimerais,aimer,16
mieux,mieux,60
trouver,trouver,14
sur,sur,81
son,son,73
fourneau,fourneau,21
une,un,71
omelette,omelette,22
d',de,81
oeufs,oeuf,21
de,de,81
Pâques,Pâque,20
au,à,81
au,le,71
lard,lard,21
que,que,52
la,le,71
plus,plus,60
grosse,gros,30
pierre,pierre,22
philosophale,philosophal,30
du,de,81
du,le,71
monde,monde,21
/!,/!,P
parvenu,parvenu,31
sur,sur,81
la,le,71
galerie,galerie,22
des,de,81
des,le,71
colonnettes,colonnette,22
",",",",p
il,il,51
souffla,souffler,19
un,un,71
moment,moment,21
",",",",p
et,et,82
jura,jurer,19
contre,contre,81
l',le,71
interminable,interminable,30
escalier,escalier,21
par,par,81
je,je,51
ne,ne,60
sais,savoir,17
combien,combien,60
de,de,81
millions,million,21
de,de,81
charretées,charretée,22
de,de,81
diables,diable,21
",",",",p
puis,puis,60
il,il,51
reprit,reprendre,19
son,son,73
ascension,ascension,22
par,par,81
l',le,71
étroite,étroit,30
porte,porte,22
de,de,81
la,le,71
tour,tour,22
septentrionale,septentrional,30
aujourd'hui,aujourd'hui,60
interdite,interdit,31
au,à,81
au,le,71
public,public,21
/.,/.,P
quelques,quelque,75
moments,moment,21
après,après,81
avoir,avoir,14
dépassé,dépasser,12
la,le,71
cage,cage,22
des,de,81
des,le,71
cloches,cloche,22
",",",",p
il,il,51
rencontra,rencontrer,19
un,un,71
petit,petit,30
palier,palier,21
pratiqué,pratiqué,31
dans,dans,81
un,un,71
renfoncement,renfoncement,21
latéral,latéral,30
et,et,82
sous,sous,81
la,le,71
voûte,voûte,22
une,un,71
basse,bas,30
porte,porte,22
ogive,ogive,22
dont,dont,52
une,un,71
meurtrière,meurtrière,22
",",",",p
percée,percé,31
en,en,81
face,face,22
dans,dans,81
la,le,71
paroi,paroi,22
circulaire,circulaire,30
de,de,81
l',le,71
escalier,escalier,21
",",",",p
lui,lui,51
permit,permettre,19
d',de,81
observer,observer,14
l',le,71
énorme,énorme,30
serrure,serrure,22
et,et,82
la,le,71
puissante,puissant,30
armature,armature,22
de,de,81
fer,fer,21
/.,/.,P
les,le,71
personnes,personne,22
qui,qui,52
seraient,être,16
curieuses,curieux,30
aujourd'hui,aujourd'hui,60
de,de,81
visiter,visiter,14
cette,ce,74
porte,porte,22
la,le,52
reconnaîtront,reconnaître,15
à,à,81
cette,ce,74
inscription,inscription,22
",",",",p
gravée,gravé,31
en,en,81
lettres,lettre,22
blanches,blanc,30
dans,dans,81
la,le,71
muraille,muraille,22
noire,noir,30
:,:,p
j',je,51
adore,adorer,17
Coralie,Coralie,20
",",",",p
<Nombre 1823>,<>,<>
mille,mille,72
huit,huit,72
cent,cent,72
vingt,vingt,72
trois,trois,72
<Fin nombre>,<>,<>
/.,/.,P
signé,signé,31
Ugène,Ugène,20
/.,/.,P
signé,signé,31
est,être,17
dans,dans,81
le,le,71
texte,texte,21
/.,/.,P
-,-,p
ouf,ouf,93
!,!,p
dit,dire,19
l',le,71
écolier,écolier,21
;,;,p
c',ce,52
est,être,17
sans,sans,81
doute,doute,21
ici,ici,60
/.,/.,P
la,le,71
clef,clé,22
était,être,18
dans,dans,81
la,le,71
serrure,serrure,22
/.,/.,P
la,le,71
porte,porte,22
était,être,18
tout,tout,60
contre,contre,81
/.,/.,P
il,il,51
la,le,52
poussa,pousser,19
mollement,mollement,60
",",",",p
et,et,82
passa,passer,19
sa,son,73
tête,tête,22
par,par,81
l',le,71
entr'ouverture,entr'ouverture,22
/.,/.,P
le,le,71
lecteur,lecteur,21
n',ne,60
est,être,17
pas,pas,60
sans,sans,81
avoir,avoir,14
feuilleté,feuilleter,12
l',le,71
oeuvre,oeuvre,22
admirable,admirable,30
de,de,81
Rembrandt,Rembrandt,20
",",",",p
ce,ce,74
Shakespeare,Shakespeare,20
de,de,81
la,le,71
peinture,peinture,22
/.,/.,P
parmi,parmi,81
tant,tant,60
de,de,81
merveilleuses,merveilleux,30
gravures,gravure,22
",",",",p
il,il,51
y,y,52
a,avoir,17
en,en,81
particulier,particulier,21
une,un,71
eau-forte,eau-forte,22
qui,qui,52
représente,représenter,17
",",",",p
à,à,81
ce,ce,52
qu',que,52
on,on,51
suppose,supposer,17
",",",",p
le,le,71
docteur,docteur,21
Faust,Faust,20
",",",",p
et,et,82
qu',que,52
il,il,51
est,être,17
impossible,impossible,30
de,de,81
contempler,contempler,14
sans,sans,81
éblouissement,éblouissement,21
/.,/.,P
c',ce,52
est,être,17
une,un,71
sombre,sombre,30
cellule,cellule,22
/.,/.,P
au,à,81
au,le,71
milieu,milieu,21
est,être,17
une,un,71
table,table,22
chargée,chargé,31
d',de,81
objets,objet,21
hideux,hideux,30
",",",",p
têtes,tête,22
de,de,81
mort,mort,21
",",",",p
sphères,sphère,22
",",",",p
alambics,alambic,21
",",",",p
compas,compas,21
",",",",p
parchemins,parchemin,21
hiéroglyphiques,hiéroglyphique,30
/.,/.,P
le,le,71
docteur,docteur,21
est,être,17
devant,devant,81
cette,ce,74
table,table,22
",",",",p
vêtu,vêtu,31
de,de,81
sa,son,73
grosse,gros,30
houppelande,houppelande,22
et,et,82
coiffé,coiffé,31
jusqu',jusque,81
aux,à,81
aux,le,71
sourcils,sourcil,21
de,de,81
son,son,73
bonnet,bonnet,21
fourré,fourré,31
/.,/.,P
on,on,51
ne,ne,60
le,le,52
voit,voir,17
qu',que,83
à mi-corps,à mi-corps,60
/.,/.,P
il,il,51
est,être,17
à,à,81
demi,demi,30
levé,lever,12
de,de,81
son,son,73
immense,immense,30
fauteuil,fauteuil,21
",",",",p
ses,son,73
poings,poing,21
crispés,crispé,31
s',se,51
appuient,appuyer,17
sur,sur,81
la,le,71
table,table,22
",",",",p
et,et,82
il,il,51
considère,considérer,17
avec,avec,81
curiosité,curiosité,22
et,et,82
terreur,terreur,22
un,un,71
grand,grand,30
cercle,cercle,21
lumineux,lumineux,30
",",",",p
formé,formé,31
de,de,81
lettres,lettre,22
magiques,magique,30
",",",",p
qui,qui,52
brille,briller,17
sur,sur,81
le,le,71
mur,mur,21
du,de,81
du,le,71
fond,fond,21
comme,comme,83
le,le,71
spectre,spectre,21
solaire,solaire,30
dans,dans,81
la,le,71
chambre,chambre,22
noire,noir,30
/.,/.,P
ce,ce,74
soleil,soleil,21
cabalistique,cabalistique,30
semble,sembler,17
trembler,trembler,14
à,à,81
l',le,71
oeil,oeil,21
et,et,82
remplit,remplir,17
la,le,71
blafarde,blafard,30
cellule,cellule,22
de,de,81
son,son,73
rayonnement,rayonnement,21
mystérieux,mystérieux,30
/.,/.,P
c',ce,52
est,être,17
horrible,horrible,30
et,et,82
c',ce,52
est,être,17
beau,beau,30
/.,/.,P
quelque,quelque,75
chose,chose,22
d',de,81
assez,assez,60
semblable,semblable,30
à,à,81
la,le,71
cellule,cellule,22
de,de,81
Faust,Faust,20
s',se,51
offrit,offrir,19
à,à,81
la,le,71
vue,vue,22
de,de,81
Jehan,Jehan,20
quand,quand,83
il,il,51
eut,avoir,19
hasardé,hasarder,12
sa,son,73
tête,tête,22
par,par,81
la,le,71
porte,porte,22
entre-bâillée,entre-bâillé,31
/.,/.,P
c',ce,52
était,être,18
de,de,81
même,même,60
un,un,71
réduit,réduit,21
sombre,sombre,30
et,et,82
à,à,81
peine,peine,22
éclairé,éclairé,31
/.,/.,P
il,il,51
y,y,52
avait,avoir,18
aussi,aussi,60
un,un,71
grand,grand,30
fauteuil,fauteuil,21
et,et,82
une,un,71
grande,grand,30
table,table,22
",",",",p
des,de,81
des,le,71
compas,compas,21
",",",",p
des,de,81
des,le,71
alambics,alambic,21
",",",",p
des,de,81
des,le,71
squelettes,squelette,21
d',de,81
animaux,animal,21
pendus,pendu,31
au,à,81
au,le,71
plafond,plafond,21
",",",",p
une,un,71
sphère,sphère,22
roulant,rouler,13
sur,sur,81
le,le,71
pavé,pavé,21
",",",",p
des,de,81
des,le,71
hippocéphales,hippocéphale,21
pêle-mêle,pêle-mêle,60
avec,avec,81
des,de,81
des,le,71
bocaux,bocal,21
où,où,60
tremblaient,trembler,18
des,de,81
des,le,71
feuilles,feuille,22
d',de,81
or,or,21
",",",",p
des,de,81
des,le,71
têtes,tête,22
de,de,81
mort,mort,21
posées,posé,31
sur,sur,81
des,de,81
des,le,71
vélins,vélin,21
bigarrés,bigarré,30
de,de,81
figures,figure,22
et,et,82
de,de,81
caractères,caractère,21
",",",",p
de,de,81
gros,gros,30
manuscrits,manuscrit,21
empilés,empilé,31
tout,tout,60
ouverts,ouvert,31
sans,sans,81
pitié,pitié,22
pour,pour,81
les,le,71
angles,angle,21
cassants,cassant,30
du,de,81
du,le,71
parchemin,parchemin,21
",",",",p
enfin,enfin,60
",",",",p
toutes,tout,75
les,le,71
ordures,ordure,22
de,de,81
la,le,71
science,science,22
",",",",p
et,et,82
partout,partout,60
",",",",p
sur,sur,81
ce,ce,74
fouillis,fouillis,21
",",",",p
de,de,81
la,le,71
poussière,poussière,22
et,et,82
des,de,81
des,le,71
toiles,toile,22
d',de,81
araignée,araignée,22
;,;,p
mais,mais,82
il,il,51
n',ne,60
y,y,52
avait,avoir,18
point,point,60
de,de,81
cercle,cercle,21
de,de,81
lettres,lettre,22
lumineuses,lumineux,30
",",",",p
point,point,60
de,de,81
docteur,docteur,21
en,en,81
extase,extase,22
contemplant,contempler,13
la,le,71
flamboyante,flamboyant,30
vision,vision,22
comme,comme,83
l',le,71
aigle,aigle,21
regarde,regarder,17
son,son,73
soleil,soleil,21
/.,/.,P
pourtant,pourtant,60
la,le,71
cellule,cellule,22
n',ne,60
était,être,18
point,point,60
déserte,désert,30
/.,/.,P
un,un,71
homme,homme,21
était,être,18
assis,asseoir,12
dans,dans,81
le,le,71
fauteuil,fauteuil,21
et,et,82
courbé,courber,12
sur,sur,81
la,le,71
table,table,22
/.,/.,P
Jehan,Jehan,20
",",",",p
auquel,à,81
auquel,lequel,52
il,il,51
tournait,tourner,18
le,le,71
dos,dos,21
",",",",p
ne,ne,60
pouvait,pouvoir,18
voir,voir,14
que,que,83
ses,son,73
épaules,épaule,22
et,et,82
le,le,71
derrière,derrière,21
de,de,81
son,son,73
crâne,crâne,21
;,;,p
mais,mais,82
il,il,51
n',ne,60
eut,avoir,19
pas,pas,60
de,de,81
peine,peine,22
à,à,81
reconnaître,reconnaître,14
cette,ce,74
tête,tête,22
chauve,chauve,30
à,à,81
laquelle,lequel,52
la,le,71
nature,nature,22
avait,avoir,18
fait,faire,12
une,un,71
tonsure,tonsure,22
éternelle,éternel,30
",",",",p
comme,comme,83
si,si,83
elle,il,51
avait,avoir,18
voulu,vouloir,12
marquer,marquer,14
par,par,81
un,un,71
symbole,symbole,21
extérieur,extérieur,30
l',le,71
irrésistible,irrésistible,30
vocation,vocation,22
cléricale,clérical,30
de,de,81
l',le,71
archidiacre,archidiacre,21
/.,/.,P
Jehan,Jehan,20
reconnut,reconnaître,19
donc,donc,82
son,son,73
frère,frère,21
/.,/.,P
mais,mais,82
la,le,71
porte,porte,22
s',se,51
était,être,18
ouverte,ouvrir,12
si,si,60
doucement,doucement,60
que,que,83
rien,rien,52
n',ne,60
avait,avoir,18
averti,avertir,12
dom,dom,21
Claude,Claude,20
de,de,81
sa,son,73
présence,présence,22
/.,/.,P
le,le,71
curieux,curieux,30
écolier,écolier,21
en,en,52
profita,profiter,19
pour,pour,81
examiner,examiner,14
quelques,quelque,75
instants,instant,21
à,à,81
loisir,loisir,21
la,le,71
cellule,cellule,22
/.,/.,P
un,un,71
large,large,30
fourneau,fourneau,21
",",",",p
qu',que,52
il,il,51
n',ne,60
avait,avoir,18
pas,pas,60
remarqué,remarquer,12
au,à,81
au,le,71
premier,premier,72
abord,abord,21
",",",",p
était,être,18
à,à,81
gauche,gauche,22
du,de,81
du,le,71
fauteuil,fauteuil,21
",",",",p
au-dessous,au-dessous,60
de,de,81
la,le,71
lucarne,lucarne,22
/.,/.,P
le,le,71
rayon,rayon,21
de,de,81
jour,jour,21
qui,qui,52
pénétrait,pénétrer,18
par,par,81
cette,ce,74
ouverture,ouverture,22
traversait,traverser,18
une,un,71
ronde,rond,30
toile,toile,22
d',de,81
araignée,araignée,22
",",",",p
qui,qui,52
inscrivait,inscrire,18
avec,avec,81
goût,goût,21
sa,son,73
rosace,rosace,22
délicate,délicat,30
dans,dans,81
l',le,71
ogive,ogive,22
de,de,81
la,le,71
lucarne,lucarne,22
",",",",p
et,et,82
au,à,81
au,le,71
centre,centre,21
de,de,81
laquelle,lequel,52
l',le,71
insecte,insecte,21
architecte,architecte,21
se,se,51
tenait,tenir,18
immobile,immobile,30
comme,comme,83
le,le,71
moyeu,moyeu,21
de,de,81
cette,ce,74
roue,roue,22
de,de,81
dentelle,dentelle,22
/.,/.,P
sur,sur,81
le,le,71
fourneau,fourneau,21
étaient,être,18
accumulés,accumuler,12
en,en,81
désordre,désordre,21
toutes,tout,75
sortes,sorte,22
de,de,81
vases,vase,21
",",",",p
des,de,81
des,le,71
fioles,fiole,22
de,de,81
grès,grès,21
",",",",p
des,de,81
des,le,71
cornues,cornue,22
de,de,81
verre,verre,21
",",",",p
des,de,81
des,le,71
matras,matra,21
de,de,81
charbon,charbon,21
/.,/.,P
Jehan,Jehan,20
observa,observer,19
en,en,81
soupirant,soupirer,13
qu',que,83
il,il,51
n',ne,60
y,y,52
avait,avoir,18
pas,pas,60
un,un,71
poêlon,poêlon,21
/.,/.,P
-,-,p
elle,il,51
est,être,17
fraîche,frais,30
",",",",p
la,le,71
batterie,batterie,22
de,de,81
cuisine,cuisine,22
!,!,p
pensa,penser,19
t,t,94
il,il,51
/.,/.,P
du,de,81
du,le,71
reste,reste,21
",",",",p
il,il,51
n',ne,60
y,y,52
avait,avoir,18
pas,pas,60
de,de,81
feu,feu,21
dans,dans,81
le,le,71
fourneau,fourneau,21
",",",",p
et,et,82
il,il,51
paraissait,paraître,18
même,même,60
qu',que,83
on,on,51
n',ne,60
en,en,52
avait,avoir,18
pas,pas,60
allumé,allumer,12
depuis,depuis,81
longtemps,longtemps,60
/.,/.,P
un,un,71
masque,masque,21
de,de,81
verre,verre,21
",",",",p
que,que,52
Jehan,Jehan,20
remarqua,remarquer,19
parmi,parmi,81
les,le,71
ustensiles,ustensile,21
d',de,81
alchimie,alchimie,22
",",",",p
et,et,82
qui,qui,52
servait,servir,18
sans,sans,81
doute,doute,21
à,à,81
préserver,préserver,14
le,le,71
visage,visage,21
de,de,81
l',le,71
archidiacre,archidiacre,21
lorsqu',lorsque,83
il,il,51
élaborait,élaborer,18
quelque,quelque,75
substance,substance,22
redoutable,redoutable,30
",",",",p
était,être,18
dans,dans,81
un,un,71
coin,coin,21
",",",",p
couvert,couvrir,12
de,de,81
poussière,poussière,22
",",",",p
et,et,82
comme,comme,83
oublié,oublié,31
/.,/.,P
à,à,81
côté,côté,21
gisait,gésir,18
un,un,71
soufflet,soufflet,21
non,non,60
moins,moins,60
poudreux,poudreux,30
",",",",p
et,et,82
dont,dont,52
la,le,71
feuille,feuille,22
supérieure,supérieur,30
portait,porter,18
cette,ce,74
légende,légende,22
incrustée,incrusté,31
en,en,81
lettres,lettre,22
de,de,81
cuivre,cuivre,21
:,:,p
Spira,Spira,20
",",",",p
spera,spera,92
/.,/.,P
d',de,81
autres,autre,75
légendes,légende,22
étaient,être,18
écrites,écrire,12
",",",",p
selon,selon,81
la,le,71
mode,mode,22
des,de,81
des,le,71
hermétiques,hermétique,30
",",",",p
en,en,81
grand,grand,30
nombre,nombre,21
sur,sur,81
les,le,71
murs,mur,21
;,;,p
les,le,71
unes,un,52
tracées,tracé,31
à,à,81
l',le,71
encre,encre,22
",",",",p
les,le,71
autres,autre,52
gravées,gravé,31
avec,avec,81
une,un,71
pointe,pointe,22
de,de,81
métal,métal,21
/.,/.,P
du,de,81
du,le,71
reste,reste,21
",",",",p
lettres,lettre,22
gothiques,gothique,30
",",",",p
lettres,lettre,22
hébraïques,hébraïque,30
",",",",p
lettres,lettre,22
grecques,grec,30
et,et,82
lettres,lettre,22
romaines,romain,30
pêle-mêle,pêle-mêle,60
",",",",p
les,le,71
inscriptions,inscription,22
débordant,déborder,13
au,à,81
au,le,71
hasard,hasard,21
",",",",p
celles-ci,celui-ci,52
sur,sur,81
celles-là,celui-là,52
",",",",p
les,le,71
plus,plus,60
fraîches,frais,30
effaçant,effacer,13
les,le,71
plus,plus,60
anciennes,ancien,30
",",",",p
et,et,82
toutes,tout,52
s',se,51
enchevêtrant,enchevêtrer,13
les,le,71
unes,un,52
dans,dans,81
les,le,71
autres,autre,52
comme,comme,83
les,le,71
branches,branche,22
d',de,81
une,un,71
broussaille,broussaille,22
",",",",p
comme,comme,83
les,le,71
piques,pique,22
d',de,81
une,un,71
mêlée,mêlée,22
/.,/.,P
c',ce,52
était,être,18
",",",",p
en,en,81
effet,effet,21
",",",",p
une,un,71
assez,assez,60
confuse,confus,30
mêlée,mêlée,22
de,de,81
toutes,tout,75
les,le,71
philosophies,philosophie,22
",",",",p
de,de,81
toutes,tout,75
les,le,71
rêveries,rêverie,22
",",",",p
de,de,81
toutes,tout,75
les,le,71
sagesses,sagesse,22
humaines,humain,30
/.,/.,P
il,il,51
y,y,52
en,en,52
avait,avoir,18
une,un,52
çà,çà,60
et,et,82
là,là,60
qui,qui,52
brillait,briller,18
sur,sur,81
les,le,71
autres,autre,52
comme,comme,83
un,un,71
drapeau,drapeau,21
parmi,parmi,81
les,le,71
fers,fer,21
de,de,81
lance,lance,22
/.,/.,P
c',ce,52
était,être,18
",",",",p
la,le,71
plupart,plupart,22
du,de,81
du,le,71
temps,temps,21
",",",",p
une,un,71
brève,bref,30
devise,devise,22
latine,latin,30
ou,ou,82
grecque,grec,30
",",",",p
comme,comme,83
les,le,52
formulait,formuler,18
si,si,60
bien,bien,60
le,le,71
moyen,moyen,30
âge,âge,21
:,:,p
unde,unde,92
?,?,p
inde,inde,92
/?,/?,P
homo,homo,92
homini,homini,92
monstrum,monstrum,92
/.,/.,P
-,-,p
Astra,Astra,20
",",",",p
castra,castra,92
",",",",p
nomen,nomen,92
",",",",p
numen,numen,92
/.,/.,P
-,-,p
monsieur,monsieur,21
-,-,p
sapere,sapere,92
aude,aude,92
/.,/.,P
-,-,p
flat,flat,92
ubi,ubi,92
vult,vult,92
",",",",p
-,-,p
etc,et cetera,91
;,;,p
quelquefois,quelquefois,60
un,un,71
mot,mot,21
dénué,dénué,30
de,de,81
tout,tout,75
sens,sens,21
apparent,apparent,30
:,:,p
ce,ce,52
qui,qui,52
cachait,cacher,18
peut-être,peut-être,60
une,un,71
allusion,allusion,22
amère,amer,30
au,à,81
au,le,71
régime,régime,21
du,de,81
du,le,71
cloître,cloître,21
;,;,p
quelquefois,quelquefois,60
une,un,71
simple,simple,30
maxime,maxime,22
de,de,81
discipline,discipline,22
cléricale,clérical,30
formulée,formulé,31
en,en,81
un,un,71
hexamètre,hexamètre,21
