11488
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Cinquante-septième extrait>,<>,<> 
amour,amour,21
",",",",p
pensa,penser,19
Raymon,Raymon,20
/.,/.,P
et,et,82
",",",",p
se,se,51
levant,lever,13
avec,avec,81
vivacité,vivacité,22
:,:,p
-,-,p
jamais,jamais,60
",",",",p
s',se,51
écria,écrier,19
t,t,94
il,il,51
",",",",p
jamais,jamais,60
je,je,51
n',ne,60
accepterai,accepter,15
de,de,81
tels,tel,75
sacrifices,sacrifice,21
/.,/.,P
quand,quand,83
je,je,51
t',tu,51
ai,avoir,17
dit,dire,12
que,que,83
j',je,51
en,en,52
aurais,avoir,16
la,le,71
force,force,22
",",",",p
je,je,51
me,je,51
suis,être,17
vanté,vanter,12
",",",",p
Indiana,Indiana,20
",",",",p
ou,ou,82
plutôt,plutôt,60
je,je,51
me,je,51
suis,être,17
calomnié,calomnier,12
;,;,p
car,car,82
il,il,51
n',ne,60
est,être,17
qu',que,83
un,un,71
lâche,lâche,21
qui,qui,52
puisse,pouvoir,17
consentir,consentir,14
à,à,81
déshonorer,déshonorer,14
la,le,71
femme,femme,22
qu',que,52
il,il,51
aime,aimer,17
/.,/.,P
dans,dans,81
ton,ton,73
ignorance,ignorance,22
de,de,81
la,le,71
vie,vie,22
",",",",p
tu,tu,51
n',ne,60
as,avoir,17
pas,pas,60
compris,comprendre,12
l',le,71
importance,importance,22
d',de,81
un,un,71
pareil,pareil,30
dessein,dessein,21
",",",",p
et,et,82
moi,moi,51
",",",",p
dans,dans,81
mon,mon,73
désespoir,désespoir,21
de,de,81
te,tu,51
perdre,perdre,14
",",",",p
je,je,51
n',ne,60
ai,avoir,17
pas,pas,60
voulu,vouloir,12
y,y,52
réfléchir,réfléchir,14
/…,/…,P
-,-,p
la,le,71
réflexion,réflexion,22
vous,vous,51
revient,revenir,17
bien,bien,60
vite,vite,60
!,!,p
dit,dire,19
elle,il,51
en,en,81
lui,lui,51
retirant,retirer,13
sa,son,73
main,main,22
qu',que,52
il,il,51
voulait,vouloir,18
prendre,prendre,14
/.,/.,P
-,-,p
Indiana,Indiana,20
",",",",p
reprit,reprendre,19
il,il,51
",",",",p
ne,ne,60
vois,voir,17
tu,tu,51
pas,pas,60
que,que,83
tu,tu,51
m',je,51
imposes,imposer,17
le,le,71
déshonneur,déshonneur,21
en,en,81
te,tu,51
réservant,réserver,13
l',le,71
héroïsme,héroïsme,21
",",",",p
et,et,82
que,que,83
tu,tu,51
me,je,51
condamnes,condamner,17
",",",",p
parce que,parce que,83
je,je,51
veux,vouloir,17
rester,rester,14
digne,digne,30
de,de,81
ton,ton,73
amour,amour,21
/?,/?,P
pourrais,pouvoir,16
tu,tu,51
m',je,51
aimer,aimer,14
encore,encore,60
",",",",p
femme,femme,22
ignorante,ignorant,30
et,et,82
simple,simple,30
",",",",p
si,si,83
je,je,51
sacrifiais,sacrifier,18
ta,ton,73
vie,vie,22
à,à,81
mon,mon,73
plaisir,plaisir,21
",",",",p
ta,ton,73
réputation,réputation,22
à,à,81
mes,mon,73
intérêts,intérêt,21
/?,/?,P
vous,vous,51
dites,dire,17
des,de,81
des,le,71
choses,chose,22
bien,bien,60
contradictoires,contradictoire,30
",",",",p
dit,dire,19
Indiana,Indiana,20
;,;,p
si,si,83
",",",",p
en,en,81
restant,rester,13
près,près,81
de,de,81
vous,vous,51
",",",",p
je,je,51
vous,vous,51
donne,donner,17
du,de,81
du,le,71
bonheur,bonheur,21
",",",",p
que,que,52
craignez,craindre,17
vous,vous,51
de,de,81
l',le,71
opinion,opinion,22
/?,/?,P
tenez,tenir,17
vous,vous,51
plus,plus,60
à,à,81
elle,il,51
qu',que,83
à,à,81
moi,moi,51
/?,/?,P
eh,eh,93
!,!,p
ce,ce,52
n',ne,60
est,être,17
pas,pas,60
pour,pour,81
moi,moi,51
que,que,83
j',je,51
y,y,52
tiens,tenir,17
",",",",p
Indiana,Indiana,20
!,!,p
/…,/…,P
-,-,p
c',ce,52
est,être,17
donc,donc,82
pour,pour,81
moi,moi,51
/?,/?,P
j',je,51
ai,avoir,17
prévu,prévoir,12
vos,votre,73
scrupules,scrupule,21
",",",",p
et,et,82
",",",",p
pour,pour,81
vous,vous,51
affranchir,affranchir,14
de,de,81
tout,tout,75
remords,remords,21
",",",",p
j',je,51
ai,avoir,17
pris,prendre,12
l',le,71
initiative,initiative,22
;,;,p
je,je,51
n',ne,60
ai,avoir,17
pas,pas,60
attendu,attendre,12
que,que,83
vous,vous,51
vinssiez,venir,18
m',je,51
arracher,arracher,14
de,de,81
mon,mon,73
ménage,ménage,21
",",",",p
je,je,51
ne,ne,60
vous,vous,51
ai,avoir,17
pas,pas,60
même,même,60
consulté,consulter,12
pour,pour,81
franchir,franchir,14
à,à,81
jamais,jamais,60
le,le,71
seuil,seuil,21
de,de,81
ma,mon,73
maison,maison,22
/.,/.,P
ce,ce,74
pas,pas,21
décisif,décisif,30
",",",",p
il,il,51
est,être,17
fait,faire,12
",",",",p
et,et,82
votre,votre,73
conscience,conscience,22
ne,ne,60
peut,pouvoir,17
vous,vous,51
le,le,52
reprocher,reprocher,14
/.,/.,P
à,à,81
l',le,71
heure,heure,22
qu',que,52
il,il,51
est,être,17
",",",",p
Raymon,Raymon,20
",",",",p
je,je,51
suis,être,17
déshonorée,déshonorer,12
/.,/.,P
en,en,81
votre,votre,73
absence,absence,22
",",",",p
j',je,51
ai,avoir,17
compté,compter,12
à,à,81
cette,ce,74
pendule,pendule,22
les,le,71
heures,heure,22
qui,qui,52
consommaient,consommer,18
mon,mon,73
opprobre,opprobre,21
;,;,p
et,et,82
maintenant,maintenant,60
",",",",p
quoique,quoique,83
le,le,71
jour,jour,21
naissant,naissant,30
trouve,trouver,17
mon,mon,73
front,front,21
aussi,aussi,60
pur,pur,30
qu',que,83
il,il,51
l',le,52
était,être,18
hier,hier,60
",",",",p
je,je,51
suis,être,17
une,un,71
femme,femme,22
perdue,perdu,31
dans,dans,81
l',le,71
opinion,opinion,22
publique,public,30
/.,/.,P
hier,hier,60
",",",",p
il,il,51
y,y,52
avait,avoir,18
encore,encore,60
de,de,81
la,le,71
compassion,compassion,22
pour,pour,81
moi,moi,51
dans,dans,81
le,le,71
coeur,coeur,21
des,de,81
des,le,71
femmes,femme,22
;,;,p
aujourd'hui,aujourd'hui,60
",",",",p
il,il,51
n',ne,60
y,y,52
aura,avoir,15
plus,plus,60
que,que,83
des,de,81
des,le,71
mépris,mépris,21
/.,/.,P
j',je,51
ai,avoir,17
pesé,peser,12
tout,tout,75
cela,cela,52
avant,avant,81
d',de,81
agir,agir,14
/.,/.,P
-,-,p
abominable,abominable,30
prévoyance,prévoyance,22
de,de,81
femme,femme,22
!,!,p
pensa,penser,19
Raymon,Raymon,20
/.,/.,P
et,et,82
puis,puis,60
",",",",p
luttant,lutter,13
contre,contre,81
elle,il,51
comme,comme,83
il,il,51
eût,avoir,19
fait,faire,12
contre,contre,81
un,un,71
recors,recors,21
qui,qui,52
serait,être,16
venu,venir,12
le,le,52
saisir,saisir,14
dans,dans,81
ses,son,73
meubles,meuble,21
/.,/.,P
-,-,p
vous,vous,51
vous,vous,51
exagérez,exagérer,17
l',le,71
importance,importance,22
de,de,81
votre,votre,73
démarche,démarche,22
",",",",p
lui,lui,51
dit,dire,19
il,il,51
d',de,81
un,un,71
ton,ton,21
caressant,caressant,30
et,et,82
paternel,paternel,30
/.,/.,P
non,non,60
",",",",p
mon,mon,73
amie,amie,22
",",",",p
tout,tout,52
n',ne,60
est,être,17
pas,pas,60
perdu,perdre,12
pour,pour,81
une,un,71
étourderie,étourderie,22
/.,/.,P
j',je,51
imposerai,imposer,15
silence,silence,21
à,à,81
mes,mon,73
gens,gens,21
/…,/…,P
-,-,p
imposerez,imposer,15
vous,vous,51
silence,silence,21
aux,à,81
aux,le,71
miens,mien,52
",",",",p
qui,qui,52
sans,sans,81
doute,doute,21
me,je,51
cherchent,chercher,17
avec,avec,81
anxiété,anxiété,22
dans,dans,81
ce,ce,74
moment,moment,21
ci,ci,60
/?,/?,P
et,et,82
mon,mon,73
mari,mari,21
",",",",p
pensez,penser,17
vous,vous,51
qu',que,83
il,il,51
me,je,51
garde,garder,17
paisiblement,paisiblement,60
le,le,71
secret,secret,21
?,?,p
pensez,penser,17
vous,vous,51
qu',que,83
il,il,51
veuille,vouloir,17
me,je,51
recevoir,recevoir,14
demain,demain,60
",",",",p
quand,quand,83
j',je,51
aurai,avoir,15
passé,passer,12
toute,tout,75
une,un,71
nuit,nuit,22
sous,sous,81
votre,votre,73
toit,toit,21
/?,/?,P
me,je,51
conseillerez,conseiller,15
vous,vous,51
de,de,81
retourner,retourner,14
me,je,51
mettre,mettre,14
à,à,81
ses,son,73
pieds,pied,21
et,et,82
de,de,81
lui,lui,51
demander,demander,14
",",",",p
en,en,52
signe,signer,17
de,de,81
grâce,grâce,22
",",",",p
qu',que,83
il,il,51
veuille,vouloir,17
bien,bien,60
me,je,51
remettre,remettre,14
au,à,81
au,le,71
cou,cou,21
la,le,71
chaîne,chaîne,22
sous,sous,81
laquelle,lequel,52
s',se,51
est,être,17
brisée,briser,12
ma,mon,73
vie,vie,22
et,et,82
flétrie,flétrir,12
ma,mon,73
jeunesse,jeunesse,22
/?,/?,P
vous,vous,51
consentiriez,consentir,16
sans,sans,81
regret,regret,21
à,à,81
voir,voir,14
rentrer,rentrer,14
sous,sous,81
la,le,71
domination,domination,22
d',de,81
un,un,71
autre,autre,52
cette,ce,74
femme,femme,22
que,que,52
vous,vous,51
aimiez,aimer,18
tant,tant,60
",",",",p
quand,quand,83
vous,vous,51
êtes,être,17
maître,maître,21
de,de,81
son,son,73
sort,sort,21
",",",",p
quand,quand,83
vous,vous,51
pouvez,pouvoir,17
la,le,52
garder,garder,14
toute,tout,75
votre,votre,73
vie,vie,22
dans,dans,81
vos,votre,73
bras,bras,21
",",",",p
quand,quand,83
elle,il,51
est,être,17
là,là,60
en,en,81
votre,votre,73
pouvoir,pouvoir,21
",",",",p
vous,vous,51
offrant,offrir,13
d',de,81
y,y,52
rester,rester,14
toujours,toujours,60
/!,/!,P
vous,vous,51
n',ne,60
auriez,avoir,16
pas,pas,60
quelque,quelque,75
répugnance,répugnance,22
",",",",p
quelque,quelque,75
frayeur,frayeur,22
à,à,81
la,le,52
rendre,rendre,14
tout,tout,60
à,à,81
l',le,71
heure,heure,22
à,à,81
ce,ce,74
maître,maître,21
implacable,implacable,30
qui,qui,52
ne,ne,60
l',le,52
attend,attendre,17
peut-être,peut-être,60
que,que,83
pour,pour,81
la,le,52
tuer,tuer,14
/?,/?,P
une,un,71
idée,idée,22
rapide,rapide,30
traversa,traverser,19
le,le,71
cerveau,cerveau,21
de,de,81
Raymon,Raymon,20
/.,/.,P
le,le,71
moment,moment,21
était,être,18
venu,venir,12
de,de,81
dompter,dompter,14
cet,ce,74
orgueil,orgueil,21
de,de,81
femme,femme,22
",",",",p
ou,ou,82
il,il,51
ne,ne,60
viendrait,venir,16
jamais,jamais,60
/.,/.,P
elle,il,51
venait,venir,18
lui,lui,51
offrir,offrir,14
tous,tout,75
les,le,71
sacrifices,sacrifice,21
dont,dont,52
il,il,51
ne,ne,60
voulait,vouloir,18
pas,pas,60
",",",",p
et,et,82
elle,il,51
se,se,51
tenait,tenir,18
là,là,60
devant,devant,81
lui,lui,51
avec,avec,81
la,le,71
confiance,confiance,22
hautaine,hautain,30
qu',que,83
elle,il,51
ne,ne,60
courait,courir,18
d',de,81
autres,autre,75
dangers,danger,21
que,que,83
ceux,celui,52
qu',que,52
elle,il,51
avait,avoir,18
prévus,prévoir,12
/.,/.,P
Raymon,Raymon,20
imaginait,imaginer,18
un,un,71
moyen,moyen,21
de,de,81
se,se,51
débarrasser,débarrasser,14
de,de,81
son,son,73
importun,importun,30
dévouement,dévouement,21
ou,ou,82
d',de,81
en,en,52
tirer,tirer,14
quelque,quelque,75
chose,chose,22
/.,/.,P
il,il,51
était,être,18
trop,trop,60
l',le,71
ami,ami,21
de,de,81
Delmare,Delmare,20
",",",",p
il,il,51
devait,devoir,18
trop,trop,60
d',de,81
égards,égard,21
à,à,81
la,le,71
confiance,confiance,22
de,de,81
cet,ce,74
homme,homme,21
pour,pour,81
lui,lui,51
ravir,ravir,14
sa,son,73
femme,femme,22
;,;,p
il,il,51
devait,devoir,18
se,se,51
contenter,contenter,14
de,de,81
la,le,52
séduire,séduire,14
/.,/.,P
-,-,p
tu,tu,51
as,avoir,17
raison,raison,22
",",",",p
mon,mon,73
Indiana,Indiana,20
",",",",p
s',se,51
écria,écrier,19
t,t,94
il,il,51
avec,avec,81
feu,feu,21
tu,tu,51
me,je,51
rends,rendre,17
à,à,81
moi-même,moi-même,51
",",",",p
tu,tu,51
réveilles,réveiller,17
mes,mon,73
transports,transport,21
",",",",p
que,que,83
l',le,71
idée,idée,22
de,de,81
tes,ton,73
dangers,danger,21
et,et,82
la,le,71
crainte,crainte,22
de,de,81
te,tu,51
nuire,nuire,14
avaient,avoir,18
glacés,glacer,12
/.,/.,P
pardonne,pardonner,17
à,à,81
ma,mon,73
puérile,puéril,30
sollicitude,sollicitude,22
et,et,82
comprends,comprendre,17
tout,tout,52
ce,ce,52
qu',que,52
elle,il,51
renferme,renfermer,17
de,de,81
tendresse,tendresse,22
et,et,82
de,de,81
véritable,véritable,30
amour,amour,21
/.,/.,P
mais,mais,82
ta,ton,73
douce,doux,30
voix,voix,22
fait,faire,17
frémir,frémir,14
tout,tout,75
mon,mon,73
sang,sang,21
",",",",p
tes,ton,73
paroles,parole,22
brûlantes,brûlant,30
versent,verser,17
du,de,81
du,le,71
feu,feu,21
dans,dans,81
mes,mon,73
veines,veine,22
;,;,p
pardonne,pardonner,17
",",",",p
pardonne,pardonner,17
moi,moi,51
d',de,81
avoir,avoir,14
pu,pouvoir,12
songer,songer,14
à,à,81
autre,autre,75
chose,chose,22
qu',que,83
à,à,81
cet,ce,74
ineffable,ineffable,30
instant,instant,21
où,où,60
je,je,51
te,tu,51
possède,posséder,17
/.,/.,P
laisse,laisser,17
moi,moi,51
oublier,oublier,14
tous,tout,75
les,le,71
dangers,danger,21
qui,qui,52
nous,nous,51
pressent,presser,17
et,et,82
te,tu,51
remercier,remercier,14
à,à,81
genoux,genou,21
du,de,81
du,le,71
bonheur,bonheur,21
que,que,52
tu,tu,51
m',je,51
apportes,apporter,17
;,;,p
laisse,laisser,17
moi,moi,51
vivre,vivre,14
tout,tout,60
entier,entier,30
dans,dans,81
cette,ce,74
heure,heure,22
de,de,81
délices,délice,21
que,que,52
je,je,51
passe,passer,17
à,à,81
tes,ton,73
pieds,pied,21
et,et,82
que,que,83
tout,tout,75
mon,mon,73
sang,sang,21
ne,ne,60
payerait,payer,16
pas,pas,60
/.,/.,P
qu',que,52
il,il,51
vienne,venir,17
donc,donc,82
te,tu,51
ravir,ravir,14
à,à,81
mes,mon,73
transports,transport,21
",",",",p
ce,ce,74
mari,mari,21
stupide,stupide,30
qui,qui,52
t',tu,51
enferme,enfermer,17
et,et,82
s',se,51
endort,endormir,17
sur,sur,81
sa,son,73
grossière,grossier,30
violence,violence,22
/!,/!,P
qu',que,52
il,il,51
vienne,venir,17
t',tu,51
arracher,arracher,14
de,de,81
mes,mon,73
bras,bras,21
",",",",p
toi,toi,51
mon,mon,73
bien,bien,21
",",",",p
ma,mon,73
vie,vie,22
/!,/!,P
désormais,désormais,60
tu,tu,51
ne,ne,60
lui,lui,51
appartiens,appartenir,17
plus,plus,60
;,;,p
tu,tu,51
es,être,17
mon,mon,73
amante,amante,22
",",",",p
ma,mon,73
compagne,compagne,22
",",",",p
ma,mon,73
maîtresse,maîtresse,22
/…,/…,P
en,en,81
parlant,parler,13
ainsi,ainsi,60
",",",",p
Raymon,Raymon,20
s',se,51
exalta,exalter,19
peu,peu,60
à,à,81
peu,peu,60
",",",",p
comme,comme,83
il,il,51
avait,avoir,18
coutume,coutume,22
de,de,81
faire,faire,14
en,en,81
plaidant,plaider,13
ses,son,73
passions,passion,22
/.,/.,P
la,le,71
situation,situation,22
était,être,18
puissante,puissant,30
",",",",p
romanesque,romanesque,30
;,;,p
elle,il,51
offrait,offrir,18
des,de,81
des,le,71
dangers,danger,21
/.,/.,P
Raymon,Raymon,20
aimait,aimer,18
le,le,71
péril,péril,21
en,en,81
véritable,véritable,30
descendant,descendant,21
d',de,81
une,un,71
race,race,22
de,de,81
preux,preux,30
/.,/.,P
chaque,chaque,75
bruit,bruit,21
qu',que,52
il,il,51
entendait,entendre,18
dans,dans,81
la,le,71
rue,rue,22
lui,lui,51
semblait,sembler,18
être,être,14
l',le,71
approche,approche,22
du,de,81
du,le,71
mari,mari,21
réclamer,réclamer,14
sa,son,73
femme,femme,22
et,et,82
le,le,71
sang,sang,21
de,de,81
son,son,73
rival,rival,21
/.,/.,P
chercher,chercher,14
les,le,71
voluptés,volupté,22
de,de,81
l',le,71
amour,amour,21
dans,dans,81
les,le,71
émotions,émotion,22
excitantes,excitant,30
d',de,81
une,un,71
telle,tel,75
position,position,22
était,être,18
un,un,71
plaisir,plaisir,21
digne,digne,30
de,de,81
Raymon,Raymon,20
/.,/.,P
pendant,pendant,81
un,un,71
quart,quart,21
d',de,81
heure,heure,22
",",",",p
il,il,51
aima,aimer,19
passionnément,passionnément,60
madame,madame,22
Delmare,Delmare,20
;,;,p
il,il,51
lui,lui,51
prodigua,prodiguer,19
les,le,71
séductions,séduction,22
d',de,81
une,un,71
éloquence,éloquence,22
brûlante,brûlant,30
/.,/.,P
il,il,51
fut,être,19
vraiment,vraiment,60
puissant,puissant,30
dans,dans,81
son,son,73
langage,langage,21
et,et,82
vrai,vrai,30
dans,dans,81
son,son,73
jeu,jeu,21
",",",",p
cet,ce,74
homme,homme,21
dont,dont,52
la,le,71
tête,tête,22
ardente,ardent,30
traitait,traiter,18
l',le,71
amour,amour,21
comme,comme,83
un,un,71
art,art,21
d',de,81
agrément,agrément,21
/.,/.,P
il,il,51
joua,jouer,19
la,le,71
passion,passion,22
à,à,81
s',se,51
y,y,52
tromper,tromper,14
lui-même,lui-même,51
/.,/.,P
honte,honte,22
à,à,81
cette,ce,74
femme,femme,22
imbécile,imbécile,30
/!,/!,P
elle,il,51
s',se,51
abandonna,abandonner,19
avec,avec,81
délices,délice,21
à,à,81
ces,ce,74
trompeuses,trompeur,30
démonstrations,démonstration,22
;,;,p
elle,il,51
se,se,51
sentit,sentir,19
heureuse,heureux,30
",",",",p
elle,il,51
rayonna,rayonner,19
d',de,81
espérance,espérance,22
et,et,82
de,de,81
joie,joie,22
;,;,p
elle,il,51
pardonna,pardonner,19
tout,tout,52
",",",",p
elle,il,51
faillit,faillir,19
tout,tout,52
accorder,accorder,14
/.,/.,P
mais,mais,82
Raymon,Raymon,20
se,se,51
perdit,perdre,19
lui-même,lui-même,51
par,par,81
trop,trop,60
de,de,81
précipitation,précipitation,22
/.,/.,P
s',si,83
il,il,51
eût,avoir,19
porté,porter,12
l',le,71
art,art,21
jusqu',jusque,81
à,à,81
prolonger,prolonger,14
quatre,quatre,72
heures,heure,22
de,de,81
plus,plus,60
la,le,71
situation,situation,22
où,où,60
Indiana,Indiana,20
était,être,18
venue,venir,12
se,se,51
risquer,risquer,14
",",",",p
elle,il,51
était,être,18
à,à,81
lui,lui,51
peut-être,peut-être,60
/.,/.,P
mais,mais,82
le,le,71
jour,jour,21
se,se,51
levait,lever,18
vermeil,vermeil,30
et,et,82
brillant,brillant,30
;,;,p
il,il,51
jetait,jeter,18
des,de,81
des,le,71
torrents,torrent,21
de,de,81
lumière,lumière,22
dans,dans,81
l',le,71
appartement,appartement,21
",",",",p
et,et,82
le,le,71
bruit,bruit,21
du,de,81
du,le,71
dehors,dehors,21
croissait,croître,18
à,à,81
chaque,chaque,75
instant,instant,21
/.,/.,P
Raymon,Raymon,20
lança,lancer,19
un,un,71
regard,regard,21
sur,sur,81
la,le,71
pendule,pendule,22
",",",",p
qui,qui,52
marquait,marquer,18
sept,sept,72
heures,heure,22
/.,/.,P
-,-,p
il,il,51
est,être,17
temps,temps,21
d',de,81
en,en,52
finir,finir,14
",",",",p
pensa,penser,19
t,t,94
il,il,51
;,;,p
d',de,81
un,un,71
instant,instant,21
à,à,81
l',le,71
autre,autre,52
",",",",p
Delmare,Delmare,20
peut,pouvoir,17
arriver,arriver,14
",",",",p
et,et,82
il,il,51
faut,falloir,17
qu',que,83
auparavant,auparavant,60
je,je,51
la,le,52
détermine,déterminer,17
à,à,81
rentrer,rentrer,14
de,de,81
bon,bon,30
gré,gré,21
chez,chez,81
elle,il,51
/.,/.,P
il,il,51
devint,devenir,19
plus,plus,60
pressant,pressant,30
et,et,82
moins,moins,60
tendre,tendre,30
;,;,p
la,le,71
pâleur,pâleur,22
de,de,81
ses,son,73
lèvres,lèvre,22
trahissait,trahir,18
le,le,71
tourment,tourment,21
d',de,81
une,un,71
impatience,impatience,22
plus,plus,60
impérieuse,impérieux,30
que,que,83
délicate,délicat,30
/.,/.,P
il,il,51
y,y,52
avait,avoir,18
de,de,81
la,le,71
brusquerie,brusquerie,22
et,et,82
presque,presque,60
de,de,81
la,le,71
colère,colère,22
dans,dans,81
ses,son,73
baisers,baiser,21
/.,/.,P
Indiana,Indiana,20
eut,avoir,19
peur,peur,22
/.,/.,P
un,un,71
bon,bon,30
ange,ange,21
étendit,étendre,19
ses,son,73
ailes,aile,22
sur,sur,81
cette,ce,74
âme,âme,22
chancelante,chancelant,30
et,et,82
troublée,troublé,31
;,;,p
elle,il,51
se,se,51
réveilla,réveiller,19
et,et,82
repoussa,repousser,19
les,le,71
attaques,attaque,22
du,de,81
du,le,71
vice,vice,21
égoïste,égoïste,30
et,et,82
froid,froid,30
/.,/.,P
-,-,p
laissez,laisser,17
moi,moi,51
",",",",p
dit,dire,19
elle,il,51
;,;,p
je,je,51
ne,ne,60
veux,vouloir,17
pas,pas,60
céder,céder,14
par,par,81
faiblesse,faiblesse,22
ce,ce,52
que,que,52
je,je,51
veux,vouloir,17
pouvoir,pouvoir,14
accorder,accorder,14
par,par,81
amour,amour,21
ou,ou,82
par,par,81
reconnaissance,reconnaissance,22
/.,/.,P
vous,vous,51
ne,ne,60
pouvez,pouvoir,17
pas,pas,60
avoir,avoir,14
besoin,besoin,21
de,de,81
preuves,preuve,22
de,de,81
mon,mon,73
affection,affection,22
;,;,p
c',ce,52
en,en,52
est,être,17
une,un,71
assez,assez,60
grande,grand,30
que,que,52
ma,mon,73
présence,présence,22
ici,ici,60
",",",",p
et,et,82
je,je,51
vous,vous,51
apporte,apporter,17
l',le,71
avenir,avenir,21
avec,avec,81
moi,moi,51
/.,/.,P
mais,mais,82
laissez,laisser,17
moi,moi,51
garder,garder,14
toute,tout,75
la,le,71
force,force,22
de,de,81
ma,mon,73
conscience,conscience,22
pour,pour,81
lutter,lutter,14
contre,contre,81
les,le,71
obstacles,obstacle,21
puissants,puissant,30
qui,qui,52
nous,nous,51
