11637
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Soixante-huitième extrait>,<>,<>
assez,assez,60
sage,sage,30
pour,pour,81
garder,garder,14
les,le,71
bêtes,bête,22
au,à,81
au,le,71
pré,pré,21
",",",",p
et,et,82
assez,assez,60
fort,fort,30
pour,pour,81
mener,mener,14
les,le,71
chevaux,cheval,21
à,à,81
l',le,71
abreuvoir,abreuvoir,21
/.,/.,P
ce,ce,52
n',ne,60
est,être,17
donc,donc,82
pas,pas,60
celui-là,celui-là,52
qui,qui,52
nous,nous,51
gêne,gêner,17
;,;,p
mais,mais,82
les,le,71
deux,deux,72
autres,autre,52
",",",",p
que,que,52
nous,nous,51
aimons,aimer,17
pourtant,pourtant,60
",",",",p
dieu,dieu,21
le,le,52
sait,savoir,17
",",",",p
les,le,71
pauvres,pauvre,30
innocents,innocent,21
/!,/!,P
nous,nous,51
donnent,donner,17
cette,ce,74
année,année,22
beaucoup,beaucoup,60
de,de,81
souci,souci,21
/.,/.,P
ma,mon,73
bru,bru,22
est,être,17
près,près,81
d',de,81
accoucher,accoucher,14
et,et,82
elle,il,51
en,en,52
a,avoir,17
encore,encore,60
un,un,71
tout,tout,60
petit,petit,30
sur,sur,81
les,le,71
bras,bras,21
/.,/.,P
quand,quand,83
celui,celui,52
que,que,52
nous,nous,51
attendons,attendre,17
sera,être,15
venu,venir,12
",",",",p
elle,il,51
ne,ne,60
pourra,pouvoir,15
plus,plus,60
s',se,51
occuper,occuper,14
de,de,81
ta,ton,73
petite,petit,30
Solange,Solange,20
",",",",p
et,et,82
surtout,surtout,60
de,de,81
ton,ton,73
Sylvain,Sylvain,20
",",",",p
qui,qui,52
n',ne,60
a,avoir,17
pas,pas,60
quatre,quatre,72
ans,an,21
et,et,82
qui,qui,52
ne,ne,60
se,se,51
tient,tenir,17
guère,guère,60
en,en,81
repos,repos,21
ni,ni,82
le,le,71
jour,jour,21
ni,ni,82
la,le,71
nuit,nuit,22
/.,/.,P
c',ce,52
est,être,17
un,un,71
sang,sang,21
vif,vif,30
comme,comme,83
toi,toi,51
:,:,p
ça,ça,52
fera,faire,15
un,un,71
bon,bon,30
ouvrier,ouvrier,21
",",",",p
mais,mais,82
ça,ça,52
fait,faire,17
un,un,71
terrible,terrible,30
enfant,enfant,21
",",",",p
et,et,82
ma,mon,73
vieille,vieille,22
ne,ne,60
court,courir,17
plus,plus,60
assez,assez,60
vite,vite,60
pour,pour,81
le,le,52
rattraper,rattraper,14
quand,quand,83
il,il,51
se,se,51
sauve,sauver,17
du,de,81
du,le,71
côté,côté,21
de,de,81
la,le,71
fosse,fosse,22
",",",",p
ou,ou,82
quand,quand,83
il,il,51
se,se,51
jette,jeter,17
sous,sous,81
les,le,71
pieds,pied,21
des,de,81
des,le,71
bêtes,bête,22
/.,/.,P
et,et,82
puis,puis,60
",",",",p
avec,avec,81
cet,ce,74
autre,autre,52
que,que,52
ma,mon,73
bru,bru,22
va,aller,17
mettre,mettre,14
au,à,81
au,le,71
monde,monde,21
",",",",p
son,son,73
avant-dernier,avant-dernier,21
va,aller,17
retomber,retomber,14
pendant,pendant,81
un,un,71
an,an,21
au,à,81
au,le,71
moins,moins,60
sur,sur,81
les,le,71
bras,bras,21
de,de,81
ma,mon,73
femme,femme,22
/.,/.,P
donc,donc,82
tes,ton,73
enfants,enfant,21
nous,nous,51
inquiètent,inquiéter,17
et,et,82
nous,nous,51
surchargent,surcharger,17
/.,/.,P
nous,nous,51
n',ne,60
aimons,aimer,17
pas,pas,60
à,à,81
voir,voir,14
des,de,81
des,le,71
enfants,enfant,21
mal,mal,60
soignés,soigné,31
;,;,p
et,et,82
quand,quand,83
on,on,51
pense,penser,17
aux,à,81
aux,le,71
accidents,accident,21
qui,qui,52
peuvent,pouvoir,17
leur,leur,52
arriver,arriver,14
",",",",p
faute,faute,22
de,de,81
surveillance,surveillance,22
",",",",p
on,on,51
n',ne,60
a,avoir,17
pas,pas,60
la,le,71
tête,tête,22
en,en,81
repos,repos,21
/.,/.,P
il,il,51
te,tu,51
faut,falloir,17
donc,donc,82
une,un,71
autre,autre,75
femme,femme,22
et,et,82
à,à,81
moi,moi,51
une,un,71
autre,autre,75
bru,bru,22
/.,/.,P
songes,songer,17
y,y,52
",",",",p
mon,mon,73
garçon,garçon,21
/.,/.,P
je,je,51
t',tu,51
ai,avoir,17
déjà,déjà,60
averti,avertir,12
plusieurs,plusieurs,75
fois,fois,22
",",",",p
le,le,71
temps,temps,21
se,se,51
passe,passer,17
",",",",p
les,le,71
années,année,22
ne,ne,60
t',tu,51
attendront,attendre,15
point,point,60
/.,/.,P
tu,tu,51
dois,devoir,17
à,à,81
tes,ton,73
enfants,enfant,21
et,et,82
à,à,81
nous autres,nous autres,52
",",",",p
qui,qui,52
voulons,vouloir,17
que,que,83
tout,tout,52
aille,aller,17
bien,bien,60
dans,dans,81
la,le,71
maison,maison,22
",",",",p
de,de,81
te,tu,51
remarier,remarier,14
au,à,81
au,le,71
plus,plus,60
tôt,tôt,60
/.,/.,P
-,-,p
eh,eh,93
bien,bien,60
",",",",p
mon,mon,73
père,père,21
",",",",p
répondit,répondre,19
le,le,71
gendre,gendre,21
",",",",p
si,si,83
vous,vous,51
le,le,52
voulez,vouloir,17
absolument,absolument,60
",",",",p
il,il,51
faudra,falloir,15
donc,donc,82
vous,vous,51
contenter,contenter,14
/.,/.,P
mais,mais,82
je,je,51
ne,ne,60
veux,vouloir,17
pas,pas,60
vous,vous,51
cacher,cacher,14
que,que,83
cela,cela,52
me,je,51
fera,faire,15
beaucoup,beaucoup,60
de,de,81
peine,peine,22
",",",",p
et,et,82
que,que,83
je,je,51
n',ne,60
en,en,52
ai,avoir,17
guère,guère,60
plus,plus,60
d',de,81
envie,envie,22
que,que,83
de,de,81
me,je,51
noyer,noyer,14
/.,/.,P
on,on,51
sait,savoir,17
qui,qui,52
on,on,51
perd,perdre,17
et,et,82
on,on,51
ne,ne,60
sait,savoir,17
pas,pas,60
qui,qui,52
l',l',94
on,on,51
trouve,trouver,17
/.,/.,P
j',je,51
avais,avoir,18
une,un,71
brave,brave,30
femme,femme,22
",",",",p
une,un,71
belle,beau,30
femme,femme,22
",",",",p
douce,doux,30
",",",",p
courageuse,courageux,30
",",",",p
bonne,bon,30
à,à,81
ses,son,73
père,père,21
et,et,82
mère,mère,22
",",",",p
bonne,bon,30
à,à,81
son,son,73
mari,mari,21
",",",",p
bonne,bon,30
à,à,81
ses,son,73
enfants,enfant,21
",",",",p
bonne,bon,30
au,à,81
au,le,71
travail,travail,21
",",",",p
aux,à,81
aux,le,71
champs,champ,21
comme,comme,83
à,à,81
la,le,71
maison,maison,22
",",",",p
adroite,adroit,30
à,à,81
l',le,71
ouvrage,ouvrage,21
",",",",p
bonne,bon,30
à,à,81
tout,tout,52
enfin,enfin,60
;,;,p
et,et,82
quand,quand,83
vous,vous,51
me,je,51
l',le,52
avez,avoir,17
donnée,donner,12
",",",",p
quand,quand,83
je,je,51
l',le,52
ai,avoir,17
prise,prendre,12
",",",",p
nous,nous,51
n',ne,60
avions,avoir,18
pas,pas,60
mis,mettre,12
dans,dans,81
nos,notre,73
conditions,condition,22
que,que,83
je,je,51
viendrais,venir,16
à,à,81
l',le,52
oublier,oublier,14
si,si,83
j',je,51
avais,avoir,18
le,le,71
malheur,malheur,21
de,de,81
la,le,52
perdre,perdre,14
/.,/.,P
-,-,p
ce,ce,52
que,que,52
tu,tu,51
dis,dire,17
là,là,60
est,être,17
d',de,81
un,un,71
bon,bon,30
coeur,coeur,21
",",",",p
Germain,Germain,20
",",",",p
reprit,reprendre,19
le,le,71
père,père,21
Maurice,Maurice,20
;,;,p
je,je,51
sais,savoir,17
que,que,83
tu,tu,51
as,avoir,17
aimé,aimer,12
ma,mon,73
fille,fille,22
",",",",p
que,que,83
tu,tu,51
l',le,52
as,avoir,17
rendue,rendre,12
heureuse,heureux,30
",",",",p
et,et,82
que,que,83
si,si,83
tu,tu,51
avais,avoir,18
pu,pouvoir,12
contenter,contenter,14
la,le,71
mort,mort,22
en,en,81
passant,passer,13
à,à,81
sa,son,73
place,place,22
",",",",p
Catherine,Catherine,20
serait,être,16
en,en,81
vie,vie,22
à,à,81
l',le,71
heure,heure,22
qu',que,52
il,il,51
est,être,17
",",",",p
et,et,82
toi,toi,51
dans,dans,81
le,le,71
cimetière,cimetière,21
/.,/.,P
elle,il,51
méritait,mériter,18
bien,bien,60
d',de,81
être,être,14
aimée,aimer,12
de,de,81
toi,toi,51
à,à,81
ce,ce,74
point,point,21
là,là,60
",",",",p
et,et,82
si,si,83
tu,tu,51
ne,ne,60
t',tu,51
en,en,52
consoles,consoler,17
pas,pas,60
",",",",p
nous,nous,51
ne,ne,60
nous,nous,51
en,en,52
consolons,consoler,17
pas,pas,60
non,non,60
plus,plus,60
/.,/.,P
mais,mais,82
je,je,51
ne,ne,60
te,tu,51
parle,parler,17
pas,pas,60
de,de,81
l',le,52
oublier,oublier,14
/.,/.,P
le,le,71
bon,bon,30
dieu,dieu,21
a,avoir,17
voulu,vouloir,12
qu',que,83
elle,il,51
nous,nous,51
quittât,quitter,18
",",",",p
et,et,82
nous,nous,51
ne,ne,60
passerons,passer,15
pas,pas,60
un,un,71
jour,jour,21
sans,sans,81
lui,lui,51
faire,faire,14
savoir,savoir,14
par,par,81
nos,notre,73
prières,prière,22
",",",",p
nos,notre,73
pensées,pensée,22
",",",",p
nos,notre,73
paroles,parole,22
et,et,82
nos,notre,73
actions,action,22
",",",",p
que,que,83
nous,nous,51
respectons,respecter,17
son,son,73
souvenir,souvenir,21
et,et,82
que,que,83
nous,nous,51
sommes,être,17
fâchés,fâcher,12
de,de,81
son,son,73
départ,départ,21
/.,/.,P
mais,mais,82
si,si,83
elle,il,51
pouvait,pouvoir,18
te,tu,51
parler,parler,14
de,de,81
l',le,71
autre,autre,75
monde,monde,21
et,et,82
te,tu,51
donner,donner,14
à,à,81
connaître,connaître,14
sa,son,73
volonté,volonté,22
",",",",p
elle,il,51
te,tu,51
commanderait,commander,16
de,de,81
chercher,chercher,14
une,un,71
mère,mère,22
pour,pour,81
ses,son,73
petits,petit,30
orphelins,orphelin,21
/.,/.,P
il,il,51
s',se,51
agit,agir,17
donc,donc,82
de,de,81
rencontrer,rencontrer,14
une,un,71
femme,femme,22
qui,qui,52
soit,être,17
digne,digne,30
de,de,81
la,le,52
remplacer,remplacer,14
/.,/.,P
ce,ce,52
ne,ne,60
sera,être,15
pas,pas,60
bien,bien,60
aisé,aisé,30
;,;,p
mais,mais,82
ce,ce,52
n',ne,60
est,être,17
pas,pas,60
impossible,impossible,30
;,;,p
et,et,82
quand,quand,83
nous,nous,51
te,tu,51
l',le,52
aurons,avoir,15
trouvée,trouver,12
",",",",p
tu,tu,51
l',le,52
aimeras,aimer,15
comme,comme,83
tu,tu,51
aimais,aimer,18
ma,mon,73
fille,fille,22
",",",",p
parce que,parce que,83
tu,tu,51
es,être,17
un,un,71
honnête,honnête,30
homme,homme,21
",",",",p
et,et,82
que,que,83
tu,tu,51
lui,lui,51
sauras,savoir,15
gré,gré,21
de,de,81
nous,nous,51
rendre,rendre,14
service,service,21
et,et,82
d',de,81
aimer,aimer,14
tes,ton,73
enfants,enfant,21
/.,/.,P
-,-,p
c',ce,52
est,être,17
bien,bien,60
",",",",p
père,père,21
Maurice,Maurice,20
",",",",p
dit,dire,12
Germain,Germain,20
",",",",p
je,je,51
ferai,faire,15
votre,votre,73
volonté,volonté,22
comme,comme,83
je,je,51
l',le,52
ai,avoir,17
toujours,toujours,60
faite,faire,12
/.,/.,P
-,-,p
c',ce,52
est,être,17
une,un,71
justice,justice,22
à,à,81
te,tu,51
rendre,rendre,14
",",",",p
mon,mon,73
fils,fils,21
",",",",p
que,que,52
tu,tu,51
as,avoir,17
toujours,toujours,60
écouté,écouter,12
l',le,71
amitié,amitié,22
et,et,82
les,le,71
bonnes,bon,30
raisons,raison,22
de,de,81
ton,ton,73
chef,chef,21
de,de,81
famille,famille,22
/.,/.,P
avisons,aviser,17
donc,donc,82
ensemble,ensemble,60
au,à,81
au,le,71
choix,choix,21
de,de,81
ta,ton,73
nouvelle,nouveau,30
femme,femme,22
/.,/.,P
d'abord,d'abord,60
je,je,51
ne,ne,60
suis,être,17
pas,pas,60
d',de,81
avis,avis,21
que,que,83
tu,tu,51
prennes,prendre,17
une,un,71
jeunesse,jeunesse,22
/.,/.,P
ce,ce,52
n',ne,60
est,être,17
pas,pas,60
ce,ce,52
qu',que,83
il,il,51
te,tu,51
faut,falloir,17
/.,/.,P
la,le,71
jeunesse,jeunesse,22
est,être,17
légère,léger,30
;,;,p
et,et,82
comme,comme,83
c',ce,52
est,être,17
un,un,71
fardeau,fardeau,21
d',de,81
élever,élever,14
trois,trois,72
enfants,enfant,21
",",",",p
surtout,surtout,60
quand,quand,83
ils,ils,51
sont,être,17
d',de,81
un,un,71
autre,autre,52
lit,lire,17
",",",",p
il,il,51
faut,falloir,17
une,un,71
bonne,bon,30
âme,âme,22
bien,bien,60
sage,sage,30
",",",",p
bien,bien,60
douce,doux,30
et,et,82
très,très,60
portée,porté,31
au,à,81
au,le,71
travail,travail,21
/.,/.,P
si,si,83
ta,ton,73
femme,femme,22
n',ne,60
a,avoir,17
pas,pas,60
environ,environ,60
le,le,71
même,même,75
âge,âge,21
que,que,52
toi,toi,51
",",",",p
elle,il,51
n',ne,60
aura,avoir,15
pas,pas,60
assez,assez,60
de,de,81
raison,raison,22
pour,pour,81
accepter,accepter,14
un,un,71
pareil,pareil,30
devoir,devoir,21
/.,/.,P
elle,il,51
te,tu,51
trouvera,trouver,15
trop,trop,60
vieux,vieux,30
et,et,82
tes,ton,73
enfants,enfant,21
trop,trop,60
jeunes,jeune,30
/.,/.,P
elle,il,51
se,se,51
plaindra,plaindre,15
et,et,82
tes,ton,73
enfants,enfant,21
pâtiront,pâtir,15
/.,/.,P
-,-,p
voilà,voilà,81
justement,justement,60
ce,ce,52
qui,qui,52
m',je,51
inquiète,inquiéter,17
",",",",p
dit,dire,19
Germain,Germain,20
/.,/.,P
si,si,83
ces,ce,74
pauvres,pauvre,30
petits,petit,21
venaient,venir,18
à,à,81
être,être,14
maltraités,maltraiter,12
",",",",p
haïs,haïr,12
",",",",p
battus,battre,12
?,?,p
-,-,p
à,à,81
dieu,dieu,21
ne,ne,60
plaise,plaire,17
!,!,p
reprit,reprendre,19
le,le,71
vieillard,vieillard,21
/.,/.,P
mais,mais,82
les,le,71
méchantes,méchant,30
femmes,femme,22
sont,être,17
plus,plus,60
rares,rare,30
dans,dans,81
notre,notre,73
pays,pays,21
que,que,83
les,le,71
bonnes,bon,30
",",",",p
et,et,82
il,il,51
faudrait,falloir,16
être,être,14
fou,fou,30
pour,pour,81
ne,ne,60
pas,pas,60
mettre,mettre,14
la,le,71
main,main,22
sur,sur,81
celle,celui,52
qui,qui,52
convient,convenir,17
/.,/.,P
-,-,p
c',ce,52
est,être,17
vrai,vrai,30
",",",",p
mon,mon,73
père,père,21
:,:,p
il,il,51
y,y,52
a,avoir,17
de,de,81
bonnes,bon,30
filles,fille,22
dans,dans,81
notre,notre,73
village,village,21
/.,/.,P
il,il,51
y,y,52
a,avoir,17
la,le,71
Louise,Louise,20
",",",",p
la,le,71
Sylvaine,Sylvaine,20
",",",",p
la,le,71
Claudie,Claudie,20
",",",",p
la,le,71
Marguerite,Marguerite,20
…,…,p
enfin,enfin,60
",",",",p
celle,celui,52
que,que,52
vous,vous,51
voudrez,vouloir,15
/.,/.,P
-,-,p
doucement,doucement,60
",",",",p
doucement,doucement,60
",",",",p
mon,mon,73
garçon,garçon,21
",",",",p
toutes,tout,75
ces,ce,74
filles,fille,22
là,là,60
sont,être,17
trop,trop,60
jeunes,jeune,30
ou,ou,82
trop,trop,60
pauvres,pauvre,30
…,…,p
ou,ou,82
trop,trop,60
jolies,joli,30
filles,fille,22
;,;,p
car,car,82
",",",",p
enfin,enfin,60
",",",",p
il,il,51
faut,falloir,17
penser,penser,14
à,à,81
cela,cela,52
aussi,aussi,60
",",",",p
mon,mon,73
fils,fils,21
/.,/.,P
une,un,71
jolie,joli,30
femme,femme,22
n',ne,60
est,être,17
pas,pas,60
toujours,toujours,60
aussi,aussi,60
rangée,ranger,12
qu',que,83
une,un,71
autre,autre,52
/.,/.,P
-,-,p
vous,vous,51
voulez,vouloir,17
donc,donc,82
que,que,83
j',je,51
en,en,52
prenne,prendre,17
une,un,52
laide,laid,30
?,?,p
dit,dire,19
Germain,Germain,20
un,un,71
peu,peu,60
inquiet,inquiet,30
/.,/.,P
-,-,p
non,non,60
",",",",p
point,point,60
laide,laid,30
",",",",p
car,car,82
cette,ce,74
femme,femme,22
te,tu,51
donnera,donner,15
d',de,81
autres,autre,75
enfants,enfant,21
",",",",p
et,et,82
il,il,51
n',ne,60
y,y,52
a,avoir,17
rien,rien,52
de,de,81
si,si,60
triste,triste,30
que,que,83
d',de,81
avoir,avoir,14
des,de,81
des,le,71
enfants,enfant,21
laids,laid,30
",",",",p
chétifs,chétif,30
",",",",p
et,et,82
malsains,malsain,30
/.,/.,P
mais,mais,82
une,un,71
femme,femme,22
encore,encore,60
fraîche,frais,30
",",",",p
d',de,81
une,un,71
bonne,bon,30
santé,santé,22
et,et,82
qui,qui,52
ne,ne,60
soit,être,17
ni,ni,82
belle,beau,30
ni,ni,82
laide,laid,30
",",",",p
ferait,faire,16
très,très,60
bien,bien,60
ton,ton,73
affaire,affaire,22
/.,/.,P
-,-,p
je,je,51
vois,voir,17
bien,bien,60
",",",",p
dit,dire,19
Germain,Germain,20
en,en,81
souriant,sourire,13
un,un,71
peu,peu,60
tristement,tristement,60
",",",",p
que,que,83
",",",",p
pour,pour,81
l',le,52
avoir,avoir,14
telle,tel,75
que,que,83
vous,vous,51
la,le,52
voulez,vouloir,17
",",",",p
il,il,51
faudra,falloir,15
la,le,52
faire,faire,14
faire,faire,14
exprès,exprès,60
:,:,p
d'autant,d'autant,60
plus,plus,60
que,que,83
vous,vous,51
ne,ne,60
la,le,52
voulez,vouloir,17
point,point,60
pauvre,pauvre,30
",",",",p
et,et,82
que,que,83
les,le,71
riches,riche,21
ne,ne,60
sont,être,17
pas,pas,60
faciles,facile,30
à,à,81
obtenir,obtenir,14
surtout,surtout,60
pour,pour,81
un,un,71
veuf,veuf,21
/.,/.,P
-,-,p
et,et,82
si,si,83
elle,il,51
était,être,18
veuve,veuve,22
elle-même,lui-même,51
",",",",p
Germain,Germain,20
?,?,p
là,là,60
",",",",p
une,un,71
veuve,veuve,22
sans,sans,81
enfants,enfant,21
et,et,82
avec,avec,81
un,un,71
bon,bon,30
bien,bien,21
/?,/?,P
-,-,p
je,je,51
n',ne,60
en,en,52
connais,connaître,17
pas,pas,60
pour,pour,81
le,le,71
moment,moment,21
dans,dans,81
notre,notre,73
paroisse,paroisse,22
/.,/.,P
-,-,p
ni,ni,82
moi,moi,51
non,non,60
plus,plus,60
",",",",p
mais,mais,82
il,il,51
y,y,52
en,en,52
a,avoir,17
ailleurs,ailleurs,60
/.,/.,P
-,-,p
vous,vous,51
avez,avoir,17
quelqu'un,quelqu'un,52
en,en,81
vue,vue,22
",",",",p
mon,mon,73
père,père,21
;,;,p
alors,alors,60
",",",",p
dites,dire,17
le,le,52
tout,tout,60
de,de,81
suite,suite,22
/.,/.,P
Germain,Germain,20
le,le,71
fin,fin,30
laboureur,laboureur,21
-,-,p
oui,oui,60
",",",",p
j',je,51
ai,avoir,17
quelqu'un,quelqu'un,52
en,en,81
vue,vue,22
",",",",p
répondit,répondre,19
le,le,71
père,père,21
Maurice,Maurice,20
/.,/.,P
c',ce,52
est,être,17
une,un,71
Léonard,Léonard,20
",",",",p
veuve,veuve,22
d',de,81
un,un,71
Guérin,Guérin,20
",",",",p
qui,qui,52
demeure,demeurer,17
à,à,81
Fourche,Fourche,20
/.,/.,P
-,-,p
je,je,51
ne,ne,60
connais,connaître,17
ni,ni,82
la,le,71
femme,femme,22
ni,ni,82
l',le,71
endroit,endroit,21
",",",",p
répondit,répondre,19
Germain,Germain,20
résigné,résigné,31
",",",",p
mais,mais,82
de,de,81
plus,plus,60
en,en,81
plus,plus,60
triste,triste,30
/.,/.,P
-,-,p
elle,il,51
s',se,51
appelle,appeler,17
Catherine,Catherine,20
",",",",p
comme,comme,83
ta,ton,73
défunte,défunte,22
/.,/.,P
-,-,p
Catherine,Catherine,20
/?,/?,P
oui,oui,60
",",",",p
ça,ça,52
me,je,51
fera,faire,15
plaisir,plaisir,21
d',de,81
avoir,avoir,14
à,à,81
dire,dire,14
ce,ce,74
nom,nom,21
là,là,60
:,:,p
Catherine,Catherine,20
/!,/!,P
et,et,82
pourtant,pourtant,60
",",",",p
si,si,83
je,je,51
ne,ne,60
peux,pouvoir,17
pas,pas,60
l',le,52
aimer,aimer,14
autant,autant,60
que,que,83
l',le,71
autre,autre,52
",",",",p
ça,ça,52
me,je,51
fera,faire,15
encore,encore,60
plus,plus,60
de,de,81
peine,peine,22
",",",",p
ça,ça,52
me,je,51
la,le,52
rappellera,rappeler,15
plus,plus,60
souvent,souvent,60
/.,/.,P
-,-,p
je,je,51
te,tu,51
dis,dire,17
que,que,83
tu,tu,51
l',le,52
aimeras,aimer,15
:,:,p
c',ce,52
est,être,17
un,un,71
bon,bon,30
sujet,sujet,21
",",",",p
une,un,71
femme,femme,22
de,de,81
grand,grand,30
coeur,coeur,21
;,;,p
je,je,51
ne,ne,60
l',le,52
ai,avoir,17
pas,pas,60
vue,voir,12
depuis,depuis,81
longtemps,longtemps,60
",",",",p
elle,il,51
n',ne,60
était,être,18
pas,pas,60
laide,laid,30
fille,fille,22
alors,alors,60
;,;,p
mais,mais,82
elle,il,51
n',ne,60
est,être,17
plus,plus,60
jeune,jeune,30
",",",",p
elle,il,51
a,avoir,17
trente,trente,72
deux,deux,72
ans,an,21
/.,/.,P
elle,il,51
est,être,17
d',de,81
une,un,71
bonne,bon,30
famille,famille,22
",",",",p
tous,tout,52
braves,brave,30
gens,gens,21
",",",",p
et,et,82
elle,il,51
a,avoir,17
bien,bien,60
pour,pour,81
huit,huit,72
ou,ou,82
dix,dix,72
mille,mille,72
francs,franc,21
de,de,81
terres,terre,22
",",",",p
qu',que,52
elle,il,51
vendrait,vendre,16
volontiers,volontiers,60
pour,pour,81
en,en,52
acheter,acheter,14
d',de,81
autres,autre,52
dans,dans,81
l',le,71
endroit,endroit,21
où,où,60
elle,il,51
s',se,51
établirait,établir,16
;,;,p
car,car,82
elle,il,51
songe,songer,17
aussi,aussi,60
à,à,81
se,se,51
remarier,remarier,14
",",",",p
et,et,82
je,je,51
sais,savoir,17
que,que,83
",",",",p
si,si,83
ton,ton,73
caractère,caractère,21
lui,lui,51
convenait,convenir,18
",",",",p
elle,il,51
ne,ne,60
trouverait,trouver,16
pas,pas,60
ta,ton,73
position,position,22
mauvaise,mauvais,30
/.,/.,P
-,-,p
vous,vous,51
avez,avoir,17
donc,donc,82
déjà,déjà,60
arrangé,arranger,12
tout,tout,75
cela,cela,52
/?,/?,P
-,-,p
oui,oui,60
",",",",p
sauf,sauf,81
votre,votre,73
avis,avis,21
à,à,81
tous,tout,75
les,le,71
deux,deux,72
;,;,p
et,et,82
c',ce,52
est,être,17
ce,ce,52
qu',que,52
il,il,51
faudrait,falloir,16
vous,vous,51
demander,demander,14
l',le,71
un,un,52
à,à,81
l',le,71
autre,autre,52
",",",",p
en,en,81
faisant,faire,13
connaissance,connaissance,22
/.,/.,P
le,le,71
père,père,21
de,de,81
cette,ce,74
femme,femme,22
là,là,60
est,être,17
un,un,71
peu,peu,60
mon,mon,73
parent,parent,21
",",",",p
et,et,82
il,il,51
a,avoir,17
été,être,12
beaucoup,beaucoup,60
mon,mon,73
ami,ami,21
/.,/.,P
tu,tu,51
le,le,52
connais,connaître,17
bien,bien,60
",",",",p
le,le,71
père,père,21
Léonard,Léonard,20
/?,/?,P
-,-,p
oui,oui,60
",",",",p
je,je,51
l',le,52
ai,avoir,17
vu,voir,12
vous,vous,51
parler,parler,14
dans,dans,81
les,le,71
foires,foire,22
",",",",p
et,et,82
à,à,81
la,le,71
dernière,dernière,22
",",",",p
vous,vous,51
avez,avoir,17
déjeuné,déjeuner,12
ensemble,ensemble,60
;,;,p
c',ce,52
est,être,17
donc,donc,82
de,de,81
cela,cela,52
qu',que,52
il,il,51
vous,vous,51
entretenait,entretenir,18
si,si,60
longuement,longuement,60
/?,/?,P
-,-,p
sans,sans,81
doute,doute,21
;,;,p
il,il,51
te,tu,51
regardait,regarder,18
vendre,vendre,14
tes,ton,73
bêtes,bête,22
et,et,82
il,il,51
trouvait,trouver,18
que,que,83
tu,tu,51
t',tu,51
y,y,52
prenais,prendre,18
bien,bien,60
",",",",p
que,que,83
tu,tu,51
étais,être,18
un,un,71
garçon,garçon,21
de,de,81
bonne,bon,30
mine,mine,22
",",",",p
que,que,52
tu,tu,51
paraissais,paraître,18
actif,actif,30
et,et,82
entendu,entendu,31
;,;,p
et,et,82
quand,quand,83
je,je,51
lui,lui,51
eus,avoir,19
dit,dire,12
tout,tout,52
ce,ce,52
que,que,52
tu,tu,51
es,être,17
et,et,82
comme,comme,83
tu,tu,51
te,tu,51
conduis,conduire,17
bien,bien,60
avec,avec,81
nous,nous,51
",",",",p
depuis,depuis,81
huit,huit,72
ans,an,21
que,que,52
nous,nous,51
vivons,vivre,17
et,et,82
travaillons,travailler,17
ensemble,ensemble,60
",",",",p
sans,sans,81
avoir,avoir,14
jamais,jamais,60
eu,avoir,12
un,un,71
mot,mot,21
de,de,81
chagrin,chagrin,21
