11987
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Quatre-vingt-troisième extrait>,<>,<>
j',je,51
espère,espérer,17
que,que,83
tu,tu,51
vas,aller,17
bien,bien,60
/.,/.,P
il,il,51
fait,faire,17
un,un,71
temps,temps,21
superbe,superbe,30
à,à,81
Paris,Paris,20
/.,/.,P
“,“,p
et,et,82
",",",",p
s',se,51
étant,être,13
décoiffé,décoiffer,12
",",",",p
il,il,51
s',se,51
avança,avancer,19
pour,pour,81
l',le,52
embrasser,embrasser,14
/.,/.,P
elle,il,51
s',se,51
éloignait,éloigner,18
vers,vers,81
le,le,71
mur,mur,21
",",",",p
saisie,saisie,22
d',de,81
une,un,71
peur,peur,22
folle,fou,30
",",",",p
d',de,81
une,un,71
peur,peur,22
nerveuse,nerveux,30
de,de,81
ce,ce,74
petit,petit,30
homme,homme,21
rose,rose,30
et,et,82
content,content,30
qui,qui,52
tendait,tendre,18
ses,son,73
lèvres,lèvre,22
vers,vers,81
elle,il,51
/.,/.,P
puis,puis,60
",",",",p
brusquement,brusquement,60
",",",",p
elle,il,51
lui,lui,51
offrit,offrir,19
son,son,73
front,front,21
en,en,81
fermant,fermer,13
les,le,71
yeux,oeil,21
/.,/.,P
il,il,51
y,y,52
posa,poser,19
un,un,71
baiser,baiser,21
calme,calmer,17
",",",",p
et,et,82
demanda,demander,19
:,:,p
“,“,p
tu,tu,51
permets,permettre,17
que,que,83
je,je,51
me,je,51
lave,laver,17
un,un,71
peu,peu,60
dans,dans,81
ton,ton,73
cabinet,cabinet,21
de,de,81
toilette,toilette,22
/?,/?,P
comme,comme,83
on,on,51
ne,ne,60
m',je,51
attendait,attendre,18
pas,pas,60
aujourd'hui,aujourd'hui,60
",",",",p
on,on,51
n',ne,60
a,avoir,17
point,point,60
préparé,préparer,12
ma,mon,73
chambre,chambre,22
/.,/.,P
“,“,p
elle,il,51
balbutia,balbutier,19
:,:,p
“,“,p
mais,mais,82
",",",",p
certainement,certainement,60
/.,/.,P
“,“,p
et,et,82
il,il,51
disparut,disparaître,19
par,par,81
une,un,71
porte,porte,22
",",",",p
au,à,81
au,le,71
pied,pied,21
du,de,81
du,le,71
lit,lit,21
/.,/.,P
elle,il,51
l',le,52
entendait,entendre,18
remuer,remuer,14
",",",",p
clapoter,clapoter,14
",",",",p
siffloter,siffloter,14
;,;,p
puis,puis,60
il,il,51
cria,crier,19
:,:,p
“,“,p
quoi,quoi,52
de,de,81
neuf,neuf,30
ici,ici,60
/?,/?,P
moi,moi,51
",",",",p
j',je,51
ai,avoir,17
des,de,81
des,le,71
nouvelles,nouvelle,22
excellentes,excellent,30
/.,/.,P
l',le,71
analyse,analyse,22
de,de,81
l',le,71
eau,eau,22
a,avoir,17
donné,donner,12
des,de,81
des,le,71
résultats,résultat,21
inespérés,inespéré,30
/.,/.,P
nous,nous,51
pourrons,pouvoir,15
guérir,guérir,14
au,à,81
au,le,71
moins,moins,60
trois,trois,72
maladies,maladie,22
de,de,81
plus,plus,60
qu',que,83
à,à,81
Royat,Royat,20
/.,/.,P
c',ce,52
est,être,17
superbe,superbe,30
/!,/!,P
elle,il,51
s',se,51
était,être,18
assise,asseoir,12
dans,dans,81
son,son,73
lit,lit,21
",",",",p
suffoquant,suffoquer,13
",",",",p
la,le,71
tête,tête,22
égarée,égaré,31
par,par,81
ce,ce,74
retour,retour,21
imprévu,imprévu,30
qui,qui,52
la,le,52
frappait,frapper,18
comme,comme,83
une,un,71
douleur,douleur,22
et,et,82
l',le,52
étreignait,étreindre,18
comme,comme,83
un,un,71
remords,remords,21
/.,/.,P
il,il,51
reparut,reparaître,19
",",",",p
content,content,30
",",",",p
répandant,répandre,13
autour,autour,60
de,de,81
lui,lui,51
une,un,71
forte,fort,30
odeur,odeur,22
de,de,81
verveine,verveine,22
/.,/.,P
alors,alors,60
il,il,51
s',se,51
assit,asseoir,19
familièrement,familièrement,60
sur,sur,81
le,le,71
pied,pied,21
du,de,81
du,le,71
lit,lit,21
et,et,82
demanda,demander,19
:,:,p
“,“,p
et,et,82
le,le,71
paralytique,paralytique,21
/!,/!,P
comment,comment,60
va,aller,17
t,t,94
il,il,51
/?,/?,P
est,être,17
ce,ce,52
qu',que,83
il,il,51
recommence,recommencer,17
à,à,81
marcher,marcher,14
/?,/?,P
il,il,51
n',ne,60
est,être,17
pas,pas,60
possible,possible,30
qu',que,83
il,il,51
ne,ne,60
guérisse,guérir,17
point,point,60
avec,avec,81
ce,ce,52
que,que,52
nous,nous,51
avons,avoir,17
trouvé,trouver,12
dans,dans,81
l',le,71
eau,eau,22
/!,/!,P
elle,il,51
l',le,52
avait,avoir,18
oublié,oublier,12
depuis,depuis,81
plusieurs,plusieurs,75
jours,jour,21
",",",",p
et,et,82
elle,il,51
balbutia,balbutier,19
:,:,p
“,“,p
mais,mais,82
…,…,p
je,je,51
…,…,p
je,je,51
crois,croire,17
qu',que,83
il,il,51
commence,commencer,17
à,à,81
aller,aller,14
mieux,mieux,60
…,…,p
je,je,51
ne,ne,60
l',le,52
ai,avoir,17
pas,pas,60
vu,voir,12
d',de,81
ailleurs,ailleurs,60
cette,ce,74
semaine,semaine,22
…,…,p
je,je,51
…,…,p
je,je,51
suis,être,17
un,un,71
peu,peu,60
souffrante,souffrant,30
/…,/…,P
“,“,p
il,il,51
la,le,52
regarda,regarder,19
avec,avec,81
intérêt,intérêt,21
et,et,82
reprit,reprendre,19
:,:,p
“,“,p
c',ce,52
est,être,17
vrai,vrai,30
",",",",p
tu,tu,51
es,être,17
un,un,71
peu,peu,60
pâle,pâle,30
/…,/…,P
ça,ça,52
te,tu,51
va,aller,17
fort,fort,60
bien,bien,60
",",",",p
d',de,81
ailleurs,ailleurs,60
/…,/…,P
tu,tu,51
es,être,17
charmante,charmant,30
ainsi,ainsi,60
…,…,p
tout,tout,60
à,à,81
fait,fait,21
charmante,charmant,30
/…,/…,P
“,“,p
il,il,51
se,se,51
rapprocha,rapprocher,19
et,et,82
",",",",p
se,se,51
penchant,pencher,13
vers,vers,81
elle,il,51
",",",",p
voulut,vouloir,19
passer,passer,14
un,un,71
bras,bras,21
dans,dans,81
le,le,71
lit,lit,21
",",",",p
sous,sous,81
sa,son,73
taille,taille,22
/.,/.,P
mais,mais,82
elle,il,51
fit,faire,19
en,en,81
arrière,arrière,21
un,un,71
tel,tel,75
mouvement,mouvement,21
de,de,81
terreur,terreur,22
qu',que,83
il,il,51
demeura,demeurer,19
stupéfait,stupéfait,30
",",",",p
les,le,71
mains,main,22
tendues,tendu,31
et,et,82
la,le,71
bouche,bouche,22
en,en,81
avant,avant,21
/.,/.,P
puis,puis,60
il,il,51
demanda,demander,19
:,:,p
“,“,p
qu',que,52
as,avoir,17
tu,tu,51
donc,donc,82
/?,/?,P
on,on,51
ne,ne,60
peut,pouvoir,17
plus,plus,60
te,tu,51
toucher,toucher,14
/!,/!,P
je,je,51
t',tu,51
assure,assurer,17
que,que,83
je,je,51
ne,ne,60
veux,vouloir,17
pas,pas,60
te,tu,51
faire,faire,14
de,de,81
mal,mal,21
/…,/…,P
“,“,p
et,et,82
il,il,51
se,se,51
rapprochait,rapprocher,18
",",",",p
pressant,presser,13
",",",",p
l',le,71
oeil,oeil,21
allumé,allumé,31
d',de,81
un,un,71
désir,désir,21
subit,subit,30
/.,/.,P
alors,alors,60
elle,il,51
balbutia,balbutier,19
:,:,p
“,“,p
non,non,60
…,…,p
laisse,laisser,17
moi,moi,51
…,…,p
laisse,laisser,17
moi,moi,51
/…,/…,P
c',ce,52
est,être,17
que,que,83
…,…,p
c',ce,52
est,être,17
que,que,83
…,…,p
je,je,51
crois,croire,17
…,…,p
je,je,51
crois,croire,17
que,que,83
je,je,51
suis,être,17
enceinte,enceinte,31
!,!,p
/…,/…,P
“,“,p
elle,il,51
avait,avoir,18
dit,dire,12
cela,cela,52
",",",",p
affolée,affolé,31
d',de,81
angoisse,angoisse,22
",",",",p
sans,sans,81
y,y,52
songer,songer,14
",",",",p
pour,pour,81
éviter,éviter,14
son,son,73
contact,contact,21
",",",",p
comme,comme,83
elle,il,51
aurait,avoir,16
dit,dire,12
:,:,p
“,“,p
j',je,51
ai,avoir,17
la,le,71
lèpre,lèpre,22
ou,ou,82
la,le,71
peste,peste,22
/.,/.,P
“,“,p
il,il,51
pâlit,pâlir,19
à,à,81
son,son,73
tour,tour,21
",",",",p
ému,ému,31
d',de,81
une,un,71
joie,joie,22
profonde,profond,30
;,;,p
et,et,82
il,il,51
murmura,murmurer,19
seulement,seulement,60
:,:,p
“,“,p
déjà,déjà,60
/!,/!,P
il,il,51
avait,avoir,18
envie,envie,22
de,de,81
l',le,52
embrasser,embrasser,14
maintenant,maintenant,60
",",",",p
longtemps,longtemps,60
",",",",p
doucement,doucement,60
",",",",p
tendrement,tendrement,60
",",",",p
en,en,81
père,père,21
heureux,heureux,30
et,et,82
reconnaissant,reconnaissant,30
/.,/.,P
puis,puis,60
une,un,71
inquiétude,inquiétude,22
lui,lui,51
vint,venir,19
:,:,p
“,“,p
est,être,17
ce,ce,52
possible,possible,30
?,?,p
/…,/…,P
comment,comment,60
?,?,p
/…,/…,P
tu,tu,51
crois,croire,17
?,?,p
/…,/…,P
si,si,60
tôt,tôt,60
?,?,p
/…,/…,P
“,“,p
elle,il,51
répondit,répondre,19
:,:,p
“,“,p
oui,oui,60
…,…,p
c',ce,52
est,être,17
possible,possible,30
!,!,p
/…,/…,P
“,“,p
alors,alors,60
il,il,51
sauta,sauter,19
dans,dans,81
la,le,71
chambre,chambre,22
et,et,82
s',se,51
écria,écrier,19
en,en,81
se,se,51
frottant,frotter,13
les,le,71
mains,main,22
:,:,p
“,“,p
cristi,cristi,93
",",",",p
cristi,cristi,93
",",",",p
quelle,quel,75
bonne,bon,30
journée,journée,22
/!,/!,P
on,on,51
frappait,frapper,18
de,de,81
nouveau,nouveau,21
à,à,81
la,le,71
porte,porte,22
/.,/.,P
Andermatt,Andermatt,20
l',le,52
ouvrit,ouvrir,19
",",",",p
et,et,82
une,un,71
femme,femme,22
de,de,81
chambre,chambre,22
lui,lui,51
dit,dire,19
:,:,p
“,“,p
c',ce,52
est,être,17
monsieur,monsieur,21
le,le,71
docteur,docteur,21
Latonne,Latonne,20
qui,qui,52
voudrait,vouloir,16
parler,parler,14
tout,tout,60
de,de,81
suite,suite,22
à,à,81
monsieur,monsieur,21
/.,/.,P
-,-,p
c',ce,52
est,être,17
bien,bien,60
/.,/.,P
faites,faire,17
le,le,52
entrer,entrer,14
dans,dans,81
notre,notre,73
salon,salon,21
",",",",p
j',je,51
y,y,52
vais,aller,17
/.,/.,P
“,“,p
il,il,51
retourna,retourner,19
dans,dans,81
la,le,71
pièce,pièce,22
voisine,voisin,30
/.,/.,P
le,le,71
docteur,docteur,21
parut,paraître,19
aussitôt,aussitôt,60
/.,/.,P
il,il,51
avait,avoir,18
un,un,71
visage,visage,21
solennel,solennel,30
",",",",p
une,un,71
allure,allure,22
compassée,compassé,30
et,et,82
froide,froid,30
/.,/.,P
il,il,51
salua,saluer,19
",",",",p
toucha,toucher,19
la,le,71
main,main,22
que,que,52
lui,lui,51
tendait,tendre,18
le,le,71
banquier,banquier,21
un,un,71
peu,peu,60
surpris,surpris,31
",",",",p
s',se,51
assit,asseoir,19
et,et,82
s',se,51
expliqua,expliquer,19
",",",",p
avec,avec,81
le,le,71
ton,ton,21
d',de,81
un,un,71
témoin,témoin,21
dans,dans,81
une,un,71
affaire,affaire,22
d',de,81
honneur,honneur,21
/.,/.,P
“,“,p
il,il,51
m',je,51
arrive,arriver,17
",",",",p
mon,mon,73
cher,cher,30
monsieur,monsieur,21
",",",",p
une,un,71
aventure,aventure,22
fort,fort,60
désagréable,désagréable,30
",",",",p
dont,dont,52
je,je,51
dois,devoir,17
vous,vous,51
rendre,rendre,14
compte,compte,21
pour,pour,81
vous,vous,51
expliquer,expliquer,14
ma,mon,73
conduite,conduite,22
/.,/.,P
quand,quand,83
vous,vous,51
m',je,51
avez,avoir,17
fait,faire,12
l',le,71
honneur,honneur,21
de,de,81
m',je,51
appeler,appeler,14
auprès,auprès,60
de,de,81
madame,madame,22
votre,votre,73
femme,femme,22
",",",",p
je,je,51
suis,être,17
accouru,accourir,12
à,à,81
l',le,71
heure,heure,22
même,même,30
;,;,p
or,or,82
",",",",p
il,il,51
paraît,paraître,17
que,que,83
",",",",p
quelques,quelque,75
minutes,minute,22
avant,avant,81
moi,moi,51
",",",",p
mon,mon,73
confrère,confrère,21
",",",",p
monsieur,monsieur,21
le,le,71
médecin,médecin,21
inspecteur,inspecteur,21
",",",",p
qui,qui,52
inspire,inspirer,17
sans,sans,81
doute,doute,21
plus,plus,60
de,de,81
confiance,confiance,22
à,à,81
madame,madame,22
Andermatt,Andermatt,20
",",",",p
avait,avoir,18
été,être,12
mandé,mander,12
par,par,81
les,le,71
soins,soin,21
de,de,81
monsieur,monsieur,21
le,le,71
marquis,marquis,21
de,de,81
Ravenel,Ravenel,20
/.,/.,P
il,il,51
en,en,52
est,être,17
résulté,résulter,12
que,que,83
",",",",p
venu,venu,31
le,le,71
second,second,72
",",",",p
j',je,51
ai,avoir,17
l',le,71
air,air,21
d',de,81
avoir,avoir,14
enlevé,enlever,12
par,par,81
ruse,ruse,22
à,à,81
monsieur,monsieur,21
le,le,71
docteur,docteur,21
Bonnefille,Bonnefille,20
une,un,71
cliente,cliente,22
qui,qui,52
lui,lui,51
appartenait,appartenir,18
déjà,déjà,60
",",",",p
j',je,51
ai,avoir,17
l',le,71
air,air,21
d',de,81
avoir,avoir,14
commis,commettre,12
un,un,71
acte,acte,21
indélicat,indélicat,30
",",",",p
malséant,malséant,30
",",",",p
inqualifiable,inqualifiable,30
de,de,81
confrère,confrère,21
à,à,81
confrère,confrère,21
/.,/.,P
or,or,82
",",",",p
il,il,51
nous,nous,51
faut,falloir,17
apporter,apporter,14
",",",",p
monsieur,monsieur,21
",",",",p
dans,dans,81
l',le,71
exercice,exercice,21
de,de,81
notre,notre,73
art,art,21
",",",",p
des,de,81
des,le,71
précautions,précaution,22
et,et,82
un,un,71
tact,tact,21
excessifs,excessif,30
pour,pour,81
éviter,éviter,14
tous,tout,75
les,le,71
froissements,froissement,21
",",",",p
qui,qui,52
peuvent,pouvoir,17
avoir,avoir,14
de,de,81
graves,grave,30
conséquences,conséquence,22
/.,/.,P
monsieur,monsieur,21
le,le,71
docteur,docteur,21
Bonnefille,Bonnefille,20
",",",",p
instruit,instruire,17
de,de,81
ma,mon,73
visite,visite,22
ici,ici,60
",",",",p
me,je,51
croyant,croyant,21
coupable,coupable,30
de,de,81
cette,ce,74
