11549
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Quinzième extrait>,<>,<>
avec,avec,81
le,le,71
premier,premier,72
qui,qui,52
le,le,52
fondit,fondre,19
et,et,82
le,le,71
premier,premier,72
qui,qui,52
le,le,52
fora,forer,19
/.,/.,P
tel,tel,52
fut,être,19
le,le,71
noyau,noyau,21
du,de,81
du,le,71
Gun-Club,Gun-Club,20
(,(,p
littéralement,littéralement,60
club,club,21
Canon,Canon,20
),),p
/.,/.,P
un,un,71
mois,mois,21
après,après,81
sa,son,73
formation,formation,22
",",",",p
il,il,51
comptait,compter,18
dix,dix,72
huit,huit,72
cent,cent,72
trente,trente,72
trois,trois,72
membres,membre,21
effectifs,effectif,30
et,et,82
trente,trente,72
mille,mille,72
cinq,cinq,72
cent,cent,72
soixante,soixante,72
quinze,quinze,72
membres,membre,21
correspondants,correspondant,30
/.,/.,P
une,un,71
condition,condition,22
sine qua non,sine qua non,60
était,être,18
imposée,imposer,12
à,à,81
toute,tout,75
personne,personne,22
qui,qui,52
voulait,vouloir,18
entrer,entrer,14
dans,dans,81
l',le,71
association,association,22
",",",",p
la,le,71
condition,condition,22
d',de,81
avoir,avoir,14
imaginé,imaginer,12
ou,ou,82
",",",",p
tout,tout,60
au,à,81
au,le,71
moins,moins,60
",",",",p
perfectionné,perfectionner,12
un,un,71
canon,canon,21
;,;,p
à,à,81
défaut,défaut,21
de,de,81
canon,canon,21
",",",",p
une,un,71
arme,arme,22
à,à,81
feu,feu,21
quelconque,quelconque,30
/.,/.,P
mais,mais,82
",",",",p
pour,pour,81
tout,tout,52
dire,dire,14
",",",",p
les,le,71
inventeurs,inventeur,21
de,de,81
revolvers,revolver,21
à,à,81
quinze,quinze,72
coups,coup,21
",",",",p
de,de,81
carabines,carabine,22
pivotantes,pivotant,30
ou,ou,82
de,de,81
sabres,sabre,21
pistolets,pistolet,21
ne,ne,60
jouissaient,jouir,18
pas,pas,60
d',de,81
une,un,71
grande,grand,30
considération,considération,22
/.,/.,P
les,le,71
artilleurs,artilleur,21
les,le,52
primaient,primer,18
en,en,81
toute,tout,75
circonstance,circonstance,22
/.,/.,P
l',le,71
estime,estime,22
qu',que,52
ils,ils,51
obtiennent,obtenir,17
",",",",p
dit,dire,19
un,un,71
jour,jour,21
un,un,52
des,de,81
des,le,71
plus,plus,60
savants,savant,30
orateurs,orateur,21
du,de,81
du,le,71
Gun-Club,Gun-Club,20
",",",",p
est,être,17
proportionnelle,proportionnel,30
aux,à,81
aux,le,71
masses,masse,22
de,de,81
leur,leur,73
canon,canon,21
",",",",p
et,et,82
en,en,81
raison,raison,22
directe,direct,30
du,de,81
du,le,71
carré,carré,21
des,de,81
des,le,71
distances,distance,22
atteintes,atteint,31
par,par,81
leurs,leur,73
projectiles,projectile,21
/!,/!,P
un,un,71
peu,peu,60
plus,plus,60
",",",",p
c',ce,52
était,être,18
la,le,71
loi,loi,22
de,de,81
Newton,Newton,20
sur,sur,81
la,le,71
gravitation,gravitation,22
universelle,universel,30
transportée,transporté,31
dans,dans,81
l',le,71
ordre,ordre,21
moral,moral,30
/.,/.,P
le,le,71
Gun-Club,Gun-Club,20
fondé,fondé,31
",",",",p
on,on,51
se,se,51
figure,figurer,17
aisément,aisément,60
ce,ce,52
que,que,52
produisit,produire,19
en,en,81
ce,ce,74
genre,genre,21
le,le,71
génie,génie,21
inventif,inventif,30
des,de,81
des,le,71
Américains,Américain,20
/.,/.,P
les,le,71
engins,engin,21
de,de,81
guerre,guerre,22
prirent,prendre,19
des,de,81
des,le,71
proportions,proportion,22
colossales,colossal,30
",",",",p
et,et,82
les,le,71
projectiles,projectile,21
allèrent,aller,19
",",",",p
au-delà,au-delà,60
des,de,81
des,le,71
limites,limite,22
permises,permis,31
",",",",p
couper,couper,14
en,en,81
deux,deux,72
les,le,71
promeneurs,promeneur,21
inoffensifs,inoffensif,30
/.,/.,P
toutes,tout,75
ces,ce,74
inventions,invention,22
laissèrent,laisser,19
loin,loin,60
derrière,derrière,81
elles,ils,51
les,le,71
timides,timide,30
instruments,instrument,21
de,de,81
l',le,71
artillerie,artillerie,22
européenne,européen,30
/.,/.,P
qu',que,52
on,on,51
en,en,52
juge,juger,17
par,par,81
les,le,71
chiffres,chiffre,21
suivants,suivant,30
/.,/.,P
jadis,jadis,60
",",",",p
au,à,81
au,le,71
bon,bon,30
temps,temps,21
",",",",p
un,un,71
boulet,boulet,21
de,de,81
trente,trente,72
six,six,72
",",",",p
à,à,81
une,un,71
distance,distance,22
de,de,81
trois,trois,72
cents,cent,72
pieds,pied,21
",",",",p
traversait,traverser,18
trente,trente,72
six,six,72
chevaux,cheval,21
pris,pris,31
de,de,81
flanc,flanc,21
et,et,82
soixante,soixante,72
huit,huit,72
hommes,homme,21
/.,/.,P
c',ce,52
était,être,18
l',le,71
enfance,enfance,22
de,de,81
l',le,71
art,art,21
/.,/.,P
depuis,depuis,81
lors,lors,60
",",",",p
les,le,71
projectiles,projectile,21
ont,avoir,17
fait,faire,12
du,de,81
du,le,71
chemin,chemin,21
/.,/.,P
le,le,71
canon,canon,21
Rodman,Rodman,20
",",",",p
qui,qui,52
portait,porter,18
à,à,81
sept,sept,72
milles,mille,21
(,(,p
le,le,71
mille,mille,21
vaut,valoir,17
<Nombre 1609 mètres 31 centimètres>,<>,<>
mille,mille,72
six,six,72
cent,cent,72
neuf,neuf,72
mètres,mètre,21
trente,trente,72
et,et,82
un,un,72
centimètres,centimètre,21
<Fin nombre>,<>,<>
/.,/.,P
cela,cela,52
fait,faire,17
donc,donc,82
près,près,81
de,de,81
trois,trois,72
lieues,lieue,22
),),p
un,un,71
boulet,boulet,21
pesant,peser,13
une,un,71
demi-tonne,demi-tonne,22
(,(,p
cinq,cinq,72
cents,cent,72
kilogrammes,kilogramme,21
),),p
aurait,avoir,16
facilement,facilement,60
renversé,renverser,12
cent,cent,72
cinquante,cinquante,72
chevaux,cheval,21
et,et,82
trois,trois,72
cents,cent,72
hommes,homme,21
/.,/.,P
il,il,51
fut,être,19
même,même,60
question,question,22
au,à,81
au,le,71
Gun-Club,Gun-Club,20
d',de,81
en,en,52
faire,faire,14
une,un,71
épreuve,épreuve,22
solennelle,solennel,30
/.,/.,P
mais,mais,82
",",",",p
si,si,83
les,le,71
chevaux,cheval,21
consentirent,consentir,19
à,à,81
tenter,tenter,14
l',le,71
expérience,expérience,22
",",",",p
les,le,71
hommes,homme,21
firent,faire,19
malheureusement,malheureusement,60
défaut,défaut,21
/.,/.,P
quoi,quoi,52
qu',que,52
il,il,51
en,en,52
soit,être,17
",",",",p
l',le,71
effet,effet,21
de,de,81
ces,ce,74
canons,canon,21
était,être,18
très,très,60
meurtrier,meurtrier,30
",",",",p
et,et,82
à,à,81
chaque,chaque,75
décharge,décharge,22
les,le,71
combattants,combattant,21
tombaient,tomber,18
comme,comme,83
des,de,81
des,le,71
épis,épi,21
sous,sous,81
la,le,71
faux,faux,22
/.,/.,P
que,que,52
signifiaient,signifier,18
",",",",p
auprès,auprès,60
de,de,81
tels,tel,75
projectiles,projectile,21
",",",",p
ce,ce,74
fameux,fameux,30
boulet,boulet,21
qui,qui,52
",",",",p
à,à,81
Coutras,Coutras,20
",",",",p
en,en,81
<Nombre 1587>,<>,<>
mille,mille,72
cinq,cinq,72
cent,cent,72
quatre,quatre,72
vingt,vingt,72
sept,sept,72
<Fin nombre>,<>,<>
",",",",p
mit,mettre,19
vingt,vingt,72
cinq,cinq,72
hommes,homme,21
hors,hors,81
de,de,81
combat,combat,21
",",",",p
et,et,82
cet,ce,74
autre,autre,52
qui,qui,52
",",",",p
à,à,81
Zorndoff,Zorndoff,20
",",",",p
en,en,81
<Nombre 1758>,<>,<>
mille,mille,72
sept,sept,72
cent,cent,72
cinquante,cinquante,72
huit,huit,72
<Fin nombre>,<>,<>
",",",",p
tua,tuer,19
quarante,quarante,72
fantassins,fantassin,21
",",",",p
et,et,82
",",",",p
en,en,81
<Nombre 1742>,<>,<>
mille,mille,72
sept,sept,72
cent,cent,72
quarante,quarante,72
deux,deux,72
<Fin nombre>,<>,<>
",",",",p
ce,ce,74
canon,canon,21
autrichien,autrichien,30
de,de,81
Kesselsdorf,Kesselsdorf,20
",",",",p
dont,dont,52
chaque,chaque,75
coup,coup,21
jetait,jeter,18
soixante-dix,soixante-dix,72
ennemis,ennemi,21
par,par,81
terre,terre,22
/?,/?,P
qu',que,52
étaient,être,18
ces,ce,74
feux,feu,21
surprenants,surprenant,30
d',de,81
Iéna,Iéna,20
ou,ou,82
d',de,81
Austerlitz,Austerlitz,20
qui,qui,52
décidaient,décider,18
du,de,81
du,le,71
sort,sort,21
de,de,81
la,le,71
bataille,bataille,22
/?,/?,P
on,on,51
en,en,52
avait,avoir,18
vu,voir,12
bien,bien,60
d',de,81
autres,autre,52
pendant,pendant,81
la,le,71
guerre,guerre,22
fédérale,fédéral,30
/!,/!,P
au,à,81
au,le,71
combat,combat,21
de,de,81
Gettysburg,Gettysburg,20
",",",",p
un,un,71
projectile,projectile,21
conique,conique,30
lancé,lancé,31
par,par,81
un,un,71
canon,canon,21
rayé,rayé,31
atteignit,atteindre,19
cent,cent,72
soixante,soixante,72
treize,treize,72
confédérés,confédéré,21
;,;,p
et,et,82
",",",",p
au,à,81
au,le,71
passage,passage,21
du,de,81
du,le,71
Potomac,Potomac,20
",",",",p
un,un,71
boulet,boulet,21
Rodman,Rodman,20
envoya,envoyer,19
deux,deux,72
cent,cent,72
quinze,quinze,72
Sudistes,Sudiste,20
dans,dans,81
un,un,71
monde,monde,21
évidemment,évidemment,60
meilleur,meilleur,30
/.,/.,P
il,il,51
faut,falloir,17
mentionner,mentionner,14
également,également,60
un,un,71
mortier,mortier,21
formidable,formidable,30
inventé,inventé,31
par,par,81
J-T,J-T,20
Maston,Maston,20
",",",",p
membre,membre,21
distingué,distingué,31
et,et,82
secrétaire,secrétaire,21
perpétuel,perpétuel,30
du,de,81
du,le,71
Gun-Club,Gun-Club,20
",",",",p
dont,dont,52
le,le,71
résultat,résultat,21
fut,être,19
bien,bien,60
autrement,autrement,60
meurtrier,meurtrier,30
",",",",p
puisque,puisque,83
",",",",p
à,à,81
son,son,73
coup,coup,21
d',de,81
essai,essai,21
",",",",p
il,il,51
tua,tuer,19
trois,trois,72
cent,cent,72
trente,trente,72
sept,sept,72
personnes,personne,22
",",",",p
-,-,p
en,en,81
éclatant,éclater,13
",",",",p
il,il,51
est,être,17
vrai,vrai,30
/!,/!,P
qu',que,52
ajouter,ajouter,14
à,à,81
ces,ce,74
nombres,nombre,21
si,si,60
éloquents,éloquent,30
par,par,81
eux mêmes,eux-mêmes,51
/?,/?,P
rien,rien,52
/.,/.,P
aussi,aussi,60
admettra,admettre,15
t,t,94
on,on,51
sans conteste,sans conteste,60
le,le,71
calcul,calcul,21
suivant,suivant,30
",",",",p
obtenu,obtenu,31
par,par,81
le,le,71
statisticien,statisticien,21
Pitcairn,Pitcairn,20
:,:,p
en,en,81
divisant,diviser,13
le,le,71
nombre,nombre,21
des,de,81
des,le,71
victimes,victime,22
tombées,tombé,31
sous,sous,81
les,le,71
boulets,boulet,21
par,par,81
celui,celui,52
des,de,81
des,le,71
membres,membre,21
du,de,81
du,le,71
Gun-Club,Gun-Club,20
",",",",p
il,il,51
trouva,trouver,19
que,que,83
chacun,chacun,52
de,de,81
ceux ci,celui-ci,52
avait,avoir,18
tué,tuer,12
pour,pour,81
son,son,73
compte,compte,21
une,un,71
moyenne,moyenne,22
de,de,81
deux,deux,72
mille,mille,72
trois,trois,72
cent,cent,72
soixante,soixante,72
quinze,quinze,72
hommes,homme,21
et,et,82
une,un,71
fraction,fraction,22
/.,/.,P
à,à,81
considérer,considérer,14
un,un,71
pareil,pareil,30
chiffre,chiffre,21
",",",",p
il,il,51
est,être,17
évident,évident,30
que,que,83
l',le,71
unique,unique,30
préoccupation,préoccupation,22
de,de,81
cette,ce,74
société,société,22
savante,savant,30
fut,être,19
la,le,71
destruction,destruction,22
de,de,81
l',le,71
humanité,humanité,22
dans,dans,81
un,un,71
but,but,21
philanthropique,philanthropique,30
",",",",p
et,et,82
le,le,71
perfectionnement,perfectionnement,21
des,de,81
des,le,71
armes,arme,22
de,de,81
guerre,guerre,22
",",",",p
considérées,considéré,31
comme,comme,83
instruments,instrument,21
de,de,81
civilisation,civilisation,22
/.,/.,P
c',ce,52
était,être,18
une,un,71
réunion,réunion,22
d',de,81
anges,ange,21
exterminateurs,exterminateur,30
",",",",p
au demeurant,au-demeurant,60
les,le,71
meilleurs,meilleur,30
fils,fils,21
du,de,81
du,le,71
monde,monde,21
/.,/.,P
il,il,51
faut,falloir,17
ajouter,ajouter,14
que,que,83
ces,ce,74
Yankees,Yankee,20
",",",",p
braves,brave,21
à,à,81
toute,tout,75
épreuve,épreuve,22
",",",",p
ne,ne,60
s',se,51
en,en,52
tinrent,tenir,19
pas,pas,60
seulement,seulement,60
aux,à,81
aux,le,71
formules,formule,22
et,et,82
qu',que,83
ils,ils,51
payèrent,payer,19
de,de,81
leur,leur,73
personne,personne,22
/.,/.,P
on,on,51
comptait,compter,18
parmi,parmi,81
eux,ils,51
des,de,81
des,le,71
officiers,officier,21
de,de,81
tout,tout,75
grade,grade,21
",",",",p
lieutenants,lieutenant,21
ou,ou,82
généraux,général,21
",",",",p
des,de,81
des,le,71
militaires,militaire,21
de,de,81
tout,tout,75
âge,âge,21
",",",",p
ceux,celui,52
qui,qui,52
débutaient,débuter,18
dans,dans,81
la,le,71
carrière,carrière,22
des,de,81
des,le,71
armes,arme,22
et,et,82
ceux,celui,52
qui,qui,52
vieillissaient,vieillir,18
sur,sur,81
leur,leur,73
affût,affût,21
/.,/.,P
beaucoup,beaucoup,60
restèrent,rester,19
sur,sur,81
le,le,71
champ,champ,21
de,de,81
bataille,bataille,22
dont,dont,52
les,le,71
noms,nom,21
figuraient,figurer,18
au,à,81
au,le,71
livre,livre,21
d',de,81
honneur,honneur,21
du,de,81
du,le,71
Gun-Club,Gun-Club,20
",",",",p
et,et,82
de,de,81
ceux,celui,52
qui,qui,52
revinrent,revenir,19
la,le,71
plupart,plupart,22
portaient,porter,18
les,le,71
marques,marque,22
de,de,81
leur,leur,73
indiscutable,indiscutable,30
intrépidité,intrépidité,22
/.,/.,P
béquilles,béquille,22
",",",",p
jambes,jambe,22
de,de,81
bois,bois,21
",",",",p
bras,bras,21
articulés,articulé,31
",",",",p
mains,main,22
à,à,81
crochets,crochet,21
",",",",p
mâchoires,mâchoire,22
en,en,81
caoutchouc,caoutchouc,21
",",",",p
crânes,crâne,21
en,en,81
argent,argent,21
",",",",p
nez,nez,21
en,en,81
platine,platine,21
",",",",p
rien,rien,52
ne,ne,60
manquait,manquer,18
à,à,81
la,le,71
collection,collection,22
",",",",p
et,et,82
le,le,71
susdit,susdit,30
Pitcairn,Pitcairn,20
calcula,calculer,19
également,également,60
que,que,83
",",",",p
dans,dans,81
le,le,71
Gun-Club,Gun-Club,20
",",",",p
il,il,51
n',ne,60
y,y,52
avait,avoir,18
pas,pas,60
tout,tout,60
à,à,81
fait,fait,21
un,un,71
bras,bras,21
pour,pour,81
quatre,quatre,72
personnes,personne,22
",",",",p
et,et,82
seulement,seulement,60
deux,deux,72
jambes,jambe,22
pour,pour,81
six,six,72
/.,/.,P
mais,mais,82
ces,ce,74
vaillants,vaillant,30
artilleurs,artilleur,21
n',ne,60
y,y,52
regardaient,regarder,18
pas,pas,60
de,de,81
si,si,83
près,près,81
",",",",p
et,et,82
ils,ils,51
se,se,51
sentaient,sentir,18
fiers,fier,30
à,à,81
bon,bon,30
droit,droit,21
",",",",p
quand,quand,83
le,le,71
bulletin,bulletin,21
d',de,81
une,un,71
bataille,bataille,22
relevait,relever,18
un,un,71
nombre,nombre,21
de,de,81
victimes,victime,22
décuple,décupler,17
de,de,81
la,le,71
quantité,quantité,22
de,de,81
projectiles,projectile,21
dépensés,dépensé,31
/.,/.,P
un,un,71
jour,jour,21
",",",",p
pourtant,pourtant,60
",",",",p
triste,triste,30
et,et,82
lamentable,lamentable,30
jour,jour,21
",",",",p
la,le,71
paix,paix,22
fut,être,19
signée,signer,12
par,par,81
les,le,71
survivants,survivant,21
de,de,81
la,le,71
guerre,guerre,22
",",",",p
les,le,71
détonations,détonation,22
cessèrent,cesser,19
peu,peu,60
à,à,81
peu,peu,60
",",",",p
les,le,71
mortiers,mortier,21
se,se,51
turent,taire,19
",",",",p
les,le,71
obusiers,obusier,21
muselés,muselé,31
pour,pour,81
longtemps,longtemps,60
et,et,82
les,le,71
canons,canon,21
",",",",p
la,le,71
tête,tête,22
basse,bas,30
",",",",p
rentrèrent,rentrer,19
aux,à,81
aux,le,71
arsenaux,arsenal,21
",",",",p
les,le,71
boulets,boulet,21
s',se,51
empilèrent,empiler,19
dans,dans,81
les,le,71
parcs,parc,21
",",",",p
les,le,71
souvenirs,souvenir,21
sanglants,sanglant,30
s',se,51
effacèrent,effacer,19
",",",",p
les,le,71
cotonniers,cotonnier,21
poussèrent,pousser,19
magnifiquement,magnifiquement,60
sur,sur,81
les,le,71
champs,champ,21
largement,largement,60
engraissés,engraissé,31
",",",",p
les,le,71
vêtements,vêtement,21
de,de,81
deuil,deuil,21
achevèrent,achever,19
de,de,81
s',se,51
user,user,14
avec,avec,81
les,le,71
douleurs,douleur,22
",",",",p
et,et,82
le,le,71
Gun-Club,Gun-Club,20
demeura,demeurer,19
plongé,plongé,31
dans,dans,81
un,un,71
désoeuvrement,désoeuvrement,21
profond,profond,30
/.,/.,P
certains,certain,75
piocheurs,piocheur,21
",",",",p
des,de,81
des,le,71
travailleurs,travailleur,21
acharnés,acharné,31
",",",",p
se,se,51
livraient,livrer,18
bien,bien,60
encore,encore,60
à,à,81
des,de,81
des,le,71
calculs,calcul,21
de,de,81
balistique,balistique,22
;,;,p
ils,ils,51
rêvaient,rêver,18
toujours,toujours,60
de,de,81
bombes,bombe,22
gigantesques,gigantesque,30
et,et,82
d',de,81
obus,obus,21
incomparables,incomparable,30
/.,/.,P
mais,mais,82
",",",",p
sans,sans,81
la,le,71
pratique,pratique,22
",",",",p
pourquoi,pourquoi,60
ces,ce,74
vaines,vain,30
théories,théorie,22
/?,/?,P
aussi,aussi,60
les,le,71
salles,salle,22
devenaient,devenir,18
désertes,désert,30
",",",",p
les,le,71
domestiques,domestique,21
dormaient,dormir,18
dans,dans,81
les,le,71
antichambres,antichambre,22
",",",",p
les,le,71
journaux,journal,21
moisissaient,moisir,18
sur,sur,81
les,le,71
tables,table,22
",",",",p
les,le,71
coins,coin,21
obscurs,obscur,30
retentissaient,retentir,18
de,de,81
ronflements,ronflement,21
tristes,triste,30
",",",",p
et,et,82
les,le,71
membres,membre,21
du,de,81
du,le,71
Gun-Club,Gun-Club,20
",",",",p
jadis,jadis,60
si,si,60
bruyants,bruyant,30
",",",",p
maintenant,maintenant,60
réduits,réduit,31
au,à,81
au,le,71
silence,silence,21
par,par,81
une,un,71
paix,paix,22
désastreuse,désastreux,30
",",",",p
s',se,51
endormaient,endormir,18
dans,dans,81
les,le,71
rêveries,rêverie,22
de,de,81
l',le,71
artillerie,artillerie,22
platonique,platonique,30
/!,/!,P
c',ce,52
est,être,17
désolant,désolant,30
",",",",p
dit,dire,19
un,un,71
soir,soir,21
le,le,71
brave,brave,30
Tom,Tom,20
Hunter,Hunter,20
",",",",p
pendant,pendant,81
que,que,83
ses,son,73
jambes,jambe,22
de,de,81
bois,bois,21
se,se,51
carbonisaient,carboniser,18
dans,dans,81
la,le,71
cheminée,cheminée,22
du,de,81
du,le,71
fumoir,fumoir,21
/.,/.,P
rien,rien,52
à,à,81
faire,faire,14
!,!,p
rien,rien,52
à,à,81
espérer,espérer,14
