11994
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Quatre-vingt-douzième extrait>,<>,<>
à,à,81
un,un,71
coude,coude,21
du,de,81
du,le,71
chemin,chemin,21
",",",",p
les,le,71
feux,feu,21
reparurent,reparaître,19
près,près,81
de,de,81
lui,lui,51
",",",",p
sans,sans,81
qu',que,83
il,il,51
comprît,comprendre,18
davantage,davantage,60
comment,comment,60
ils,ils,51
brûlaient,brûler,18
si,si,60
haut,haut,60
dans,dans,81
le,le,71
ciel,ciel,21
mort,mort,31
",",",",p
pareils,pareil,30
à,à,81
des,de,81
des,le,71
lunes,lune,22
fumeuses,fumeux,30
/.,/.,P
mais,mais,82
",",",",p
au,à,81
au,le,71
ras,ras,21
du,de,81
du,le,71
sol,sol,21
",",",",p
un,un,71
autre,autre,75
spectacle,spectacle,21
venait,venir,18
de,de,81
l',le,52
arrêter,arrêter,14
/.,/.,P
c',ce,52
était,être,18
une,un,71
masse,masse,22
lourde,lourd,30
",",",",p
un,un,71
tas,tas,21
écrasé,écrasé,31
de,de,81
constructions,construction,22
",",",",p
d',de,81
où,où,60
se,se,51
dressait,dresser,18
la,le,71
silhouette,silhouette,22
d',de,81
une,un,71
cheminée,cheminée,22
d',de,81
usine,usine,22
;,;,p
de,de,81
rares,rare,30
lueurs,lueur,22
sortaient,sortir,18
des,de,81
des,le,71
fenêtres,fenêtre,22
encrassées,encrassé,31
",",",",p
cinq,cinq,72
ou,ou,82
six,six,72
lanternes,lanterne,22
tristes,triste,30
étaient,être,18
pendues,pendre,12
dehors,dehors,60
",",",",p
à,à,81
des,de,81
des,le,71
charpentes,charpente,22
dont,dont,52
les,le,71
bois,bois,21
noircis,noirci,31
alignaient,aligner,18
vaguement,vaguement,60
des,de,81
des,le,71
profils,profil,21
de,de,81
tréteaux,tréteau,21
gigantesques,gigantesque,30
;,;,p
et,et,82
",",",",p
de,de,81
cette,ce,74
apparition,apparition,22
fantastique,fantastique,30
",",",",p
noyée,noyé,31
de,de,81
nuit,nuit,22
et,et,82
de,de,81
fumée,fumée,22
",",",",p
une,un,71
seule,seul,30
voix,voix,22
montait,monter,18
",",",",p
la,le,71
respiration,respiration,22
grosse,gros,30
et,et,82
longue,long,30
d',de,81
un,un,71
échappement,échappement,21
de,de,81
vapeur,vapeur,22
",",",",p
qu',que,52
on,on,51
ne,ne,60
voyait,voir,18
point,point,60
/.,/.,P
alors,alors,60
",",",",p
l',le,71
homme,homme,21
reconnut,reconnaître,19
une,un,71
fosse,fosse,22
/.,/.,P
il,il,51
fut,être,19
repris,reprendre,12
de,de,81
honte,honte,22
:,:,p
à,à,81
quoi,quoi,52
bon,bon,60
?,?,p
il,il,51
n',ne,60
y,y,52
aurait,avoir,16
pas,pas,60
de,de,81
travail,travail,21
/.,/.,P
au,à,81
au,le,71
lieu,lieu,21
de,de,81
se,se,51
diriger,diriger,14
vers,vers,81
les,le,71
bâtiments,bâtiment,21
",",",",p
il,il,51
se,se,51
risqua,risquer,19
enfin,enfin,60
à,à,81
gravir,gravir,14
le,le,71
terri,terril,21
sur,sur,81
lequel,lequel,52
brûlaient,brûler,18
les,le,71
trois,trois,72
feux,feu,21
de,de,81
houille,houille,22
",",",",p
dans,dans,81
des,de,81
des,le,71
corbeilles,corbeille,22
de,de,81
fonte,fonte,22
",",",",p
pour,pour,81
éclairer,éclairer,14
et,et,82
réchauffer,réchauffer,14
la,le,71
besogne,besogne,22
/.,/.,P
les,le,71
ouvriers,ouvrier,21
de,de,81
la,le,71
coupe,coupe,22
à,à,81
terre,terre,22
avaient,avoir,18
dû,devoir,12
travailler,travailler,14
tard,tard,60
",",",",p
on,on,51
sortait,sortir,18
encore,encore,60
les,le,71
débris,débris,21
inutiles,inutile,30
/.,/.,P
maintenant,maintenant,60
",",",",p
il,il,51
entendait,entendre,18
les,le,71
moulineurs,moulineur,21
pousser,pousser,14
les,le,71
trains,train,21
sur,sur,81
les,le,71
tréteaux,tréteau,21
",",",",p
il,il,51
distinguait,distinguer,18
des,de,81
des,le,71
ombres,ombre,22
vivantes,vivant,30
culbutant,culbuter,13
les,le,71
berlines,berline,22
",",",",p
près,près,81
de,de,81
chaque,chaque,75
feu,feu,21
/.,/.,P
-,-,p
bonjour,bonjour,21
",",",",p
dit,dire,19
il,il,51
en,en,81
s',se,51
approchant,approcher,13
d',de,81
une,un,52
des,de,81
des,le,71
corbeilles,corbeille,22
/.,/.,P
tournant,tourner,13
le,le,71
dos,dos,21
au,à,81
au,le,71
brasier,brasier,21
",",",",p
le,le,71
charretier,charretier,21
était,être,18
debout,debout,60
",",",",p
un,un,71
vieillard,vieillard,21
vêtu,vêtu,31
d',de,81
un,un,71
tricot,tricot,21
de,de,81
laine,laine,22
violette,violet,30
",",",",p
coiffé,coiffer,12
d',de,81
une,un,71
casquette,casquette,22
en,en,81
poil,poil,21
de,de,81
lapin,lapin,21
;,;,p
pendant,pendant,81
que,que,83
son,son,73
cheval,cheval,21
",",",",p
un,un,71
gros,gros,30
cheval,cheval,21
jaune,jaune,30
",",",",p
attendait,attendre,18
",",",",p
dans,dans,81
une,un,71
immobilité,immobilité,22
de,de,81
pierre,pierre,22
",",",",p
qu',que,83
on,on,51
eût,avoir,19
vidé,vider,12
les,le,71
six,six,72
berlines,berline,22
montées,monté,31
par,par,81
lui,lui,51
/.,/.,P
le,le,71
manoeuvre,manoeuvre,22
employé,employé,31
au,à,81
au,le,71
culbuteur,culbuteur,21
",",",",p
un,un,71
gaillard,gaillard,21
roux,roux,30
et,et,82
efflanqué,efflanqué,30
",",",",p
ne,ne,60
se,se,51
pressait,presser,18
guère,guère,60
",",",",p
pesait,peser,18
sur,sur,81
le,le,71
levier,levier,21
d',de,81
une,un,71
main,main,22
endormie,endormi,31
/.,/.,P
et,et,82
",",",",p
là-haut,là-haut,60
",",",",p
le,le,71
vent,vent,21
redoublait,redoubler,18
",",",",p
une,un,71
bise,bise,22
glaciale,glacial,30
",",",",p
dont,dont,52
les,le,71
grandes,grand,30
haleines,haleine,22
régulières,régulier,30
passaient,passer,18
comme,comme,83
des,de,81
des,le,71
coups,coup,21
de,de,81
faux,faux,22
/.,/.,P
-,-,p
bonjour,bonjour,21
",",",",p
répondit,répondre,19
le,le,71
vieux,vieux,21
/.,/.,P
un,un,71
silence,silence,21
se,se,51
fit,faire,19
/.,/.,P
l',le,71
homme,homme,21
",",",",p
qui,qui,52
se,se,51
sentait,sentir,18
regardé,regardé,31
d',de,81
un,un,71
oeil,oeil,21
méfiant,méfiant,30
",",",",p
dit,dire,19
son,son,73
nom,nom,21
tout,tout,60
de,de,81
suite,suite,22
/.,/.,P
-,-,p
je,je,51
me,je,51
nomme,nommer,17
Etienne,Etienne,20
Lantier,Lantier,20
",",",",p
je,je,51
suis,être,17
machineur,machineur,21
/…,/…,P
il,il,51
n',ne,60
y,y,52
a,avoir,17
pas,pas,60
de,de,81
travail,travail,21
ici,ici,60
/?,/?,P
les,le,71
flammes,flamme,22
l',le,52
éclairaient,éclairer,18
",",",",p
il,il,51
devait,devoir,18
avoir,avoir,14
vingt,vingt,72
et,et,82
un,un,71
ans,an,21
",",",",p
très,très,60
brun,brun,30
",",",",p
joli,joli,30
homme,homme,21
",",",",p
l',le,71
air,air,21
fort,fort,30
malgré,malgré,81
ses,son,73
membres,membre,21
menus,menu,30
/.,/.,P
rassuré,rassuré,31
",",",",p
le,le,71
charretier,charretier,21
hochait,hocher,18
la,le,71
tête,tête,22
/.,/.,P
-,-,p
du,de,81
du,le,71
travail,travail,21
pour,pour,81
un,un,71
machineur,machineur,21
",",",",p
non,non,60
",",",",p
non,non,60
/…,/…,P
il,il,51
s',se,51
en,en,52
est,être,17
encore,encore,60
présenté,présenter,12
deux,deux,72
hier,hier,60
/.,/.,P
il,il,51
n',ne,60
y,y,52
a,avoir,17
rien,rien,52
/.,/.,P
une,un,71
rafale,rafale,22
leur,leur,52
coupa,couper,19
la,le,71
parole,parole,22
/.,/.,P
puis,puis,60
",",",",p
Etienne,Etienne,20
demanda,demander,19
",",",",p
en,en,81
montrant,montrer,13
le,le,71
tas,tas,21
sombre,sombre,30
des,de,81
des,le,71
constructions,construction,22
",",",",p
au,à,81
au,le,71
pied,pied,21
du,de,81
du,le,71
terri,terril,21
:,:,p
-,-,p
c',ce,52
est,être,17
une,un,71
fosse,fosse,22
",",",",p
n',ne,60
est,être,17
ce,ce,52
pas,pas,60
/?,/?,P
le,le,71
vieux,vieux,21
",",",",p
cette,ce,74
fois,fois,22
",",",",p
ne,ne,60
put,pouvoir,19
répondre,répondre,14
/.,/.,P
un,un,71
violent,violent,30
accès,accès,21
de,de,81
toux,toux,22
l',le,52
étranglait,étrangler,18
/.,/.,P
enfin,enfin,60
",",",",p
il,il,51
cracha,cracher,19
",",",",p
et,et,82
son,son,73
crachat,crachat,21
",",",",p
sur,sur,81
le,le,71
sol,sol,21
empourpré,empourpré,31
",",",",p
laissa,laisser,19
une,un,71
tache,tache,22
noire,noir,30
/.,/.,P
-,-,p
oui,oui,60
",",",",p
une,un,71
fosse,fosse,22
",",",",p
le,le,71
Voreux,Voreux,20
/…,/…,P
tenez,tenir,17
!,!,p
le,le,71
coron,coron,21
est,être,17
tout,tout,52
près,près,81
/.,/.,P
à,à,81
son,son,73
tour,tour,21
",",",",p
de,de,81
son,son,73
bras,bras,21
tendu,tendu,31
",",",",p
il,il,51
désignait,désigner,18
dans,dans,81
la,le,71
nuit,nuit,22
le,le,71
village,village,21
dont,dont,52
le,le,71
jeune,jeune,30
homme,homme,21
avait,avoir,18
deviné,deviner,12
les,le,71
toitures,toiture,22
/.,/.,P
mais,mais,82
les,le,71
six,six,72
berlines,berline,22
étaient,être,18
vides,vide,30
",",",",p
il,il,51
les,le,52
suivit,suivre,19
sans,sans,81
un,un,71
claquement,claquement,21
de,de,81
fouet,fouet,21
",",",",p
les,le,71
jambes,jambe,22
raidies,raidi,31
par,par,81
des,de,81
des,le,71
rhumatismes,rhumatisme,21
;,;,p
tandis que,tandis que,83
le,le,71
gros,gros,30
cheval,cheval,21
jaune,jaune,30
repartait,repartir,18
tout,tout,60
seul,seul,30
",",",",p
tirait,tirer,18
pesamment,pesamment,60
entre,entre,81
les,le,71
rails,rail,21
",",",",p
sous,sous,81
une,un,71
nouvelle,nouveau,30
bourrasque,bourrasque,22
",",",",p
qui,qui,52
lui,lui,51
hérissait,hérisser,18
le,le,71
poil,poil,21
/.,/.,P
le,le,71
Voreux,Voreux,20
",",",",p
à,à,81
présent,présent,21
",",",",p
sortait,sortir,18
du,de,81
du,le,71
rêve,rêve,21
/.,/.,P
Etienne,Etienne,20
",",",",p
qui,qui,52
s',se,51
oubliait,oublier,18
devant,devant,81
le,le,71
brasier,brasier,21
à,à,81
chauffer,chauffer,14
ses,son,73
pauvres,pauvre,30
mains,main,22
saignantes,saignant,30
",",",",p
regardait,regarder,18
",",",",p
retrouvait,retrouver,18
chaque,chaque,75
partie,partie,22
de,de,81
la,le,71
fosse,fosse,22
",",",",p
le,le,71
hangar,hangar,21
goudronné,goudronné,31
du,de,81
du,le,71
criblage,criblage,21
",",",",p
le,le,71
beffroi,beffroi,21
du,de,81
du,le,71
puits,puits,21
",",",",p
la,le,71
vaste,vaste,30
chambre,chambre,22
de,de,81
la,le,71
machine,machine,22
d',de,81
extraction,extraction,22
",",",",p
la,le,71
tourelle,tourelle,22
carrée,carré,31
de,de,81
la,le,71
pompe,pompe,22
d',de,81
épuisement,épuisement,21
/.,/.,P
cette,ce,74
fosse,fosse,22
",",",",p
tassée,tassé,31
au,à,81
au,le,71
fond,fond,21
d',de,81
un,un,71
creux,creux,21
",",",",p
avec,avec,81
ses,son,73
constructions,construction,22
trapues,trapu,30
de,de,81
briques,brique,22
",",",",p
dressant,dresser,13
sa,son,73
cheminée,cheminée,22
comme,comme,83
une,un,71
corne,corne,22
menaçante,menaçant,30
",",",",p
lui,lui,51
semblait,sembler,18
avoir,avoir,14
un,un,71
air,air,21
mauvais,mauvais,30
de,de,81
bête,bête,22
goulue,goulu,30
",",",",p
accroupie,accroupi,31
là,là,60
pour,pour,81
manger,manger,14
le,le,71
monde,monde,21
/.,/.,P
tout,tout,60
en,en,81
l',le,52
examinant,examiner,13
",",",",p
il,il,51
songeait,songer,18
à,à,81
lui,lui,51
",",",",p
à,à,81
son,son,73
existence,existence,22
de,de,81
vagabond,vagabond,21
",",",",p
depuis,depuis,81
huit,huit,72
jours,jour,21
qu',que,83
il,il,51
cherchait,chercher,18
une,un,71
place,place,22
;,;,p
il,il,51
se,se,51
revoyait,revoir,18
dans,dans,81
son,son,73
atelier,atelier,21
du,de,81
du,le,71
chemin,chemin,21
de,de,81
fer,fer,21
",",",",p
giflant,gifler,13
son,son,73
chef,chef,21
",",",",p
chassé,chassé,31
de,de,81
Lille,Lille,20
",",",",p
chassé,chassé,31
de,de,81
partout,partout,60
;,;,p
le,le,71
samedi,samedi,21
",",",",p
il,il,51
était,être,18
arrivé,arriver,12
à,à,81
Marchiennes,Marchiennes,20
",",",",p
où,où,60
l',l',94
on,on,51
disait,dire,18
qu',que,83
il,il,51
y,y,52
avait,avoir,18
du,de,81
du,le,71
travail,travail,21
",",",",p
aux,à,81
aux,le,71
Forges,Forges,20
;,;,p
et,et,82
rien,rien,52
",",",",p
ni,ni,82
aux,à,81
aux,le,71
Forges,Forges,20
",",",",p
ni,ni,82
chez,chez,81
Sonneville,Sonneville,20
",",",",p
il,il,51
avait,avoir,18
dû,devoir,12
passer,passer,14
le,le,71
dimanche,dimanche,21
caché,caché,31
sous,sous,81
les,le,71
bois,bois,21
d',de,81
un,un,71
chantier,chantier,21
de,de,81
charronnage,charronnage,21
",",",",p
dont,dont,52
le,le,71
surveillant,surveillant,21
venait,venir,18
de,de,81
l',le,52
expulser,expulser,14
",",",",p
à,à,81
deux,deux,72
heures,heure,22
de,de,81
la,le,71
nuit,nuit,22
/.,/.,P
rien,rien,52
",",",",p
plus,plus,60
un,un,71
sou,sou,21
",",",",p
pas,pas,60
même,même,60
une,un,71
croûte,croûte,22
:,:,p
qu',que,52
allait,aller,18
il,il,51
faire,faire,14
ainsi,ainsi,60
par,par,81
les,le,71
chemins,chemin,21
",",",",p
sans,sans,81
but,but,21
",",",",p
ne,ne,60
sachant,savoir,13
seulement,seulement,60
où,où,60
s',se,51
abriter,abriter,14
contre,contre,81
la,le,71
bise,bise,22
/?,/?,P
oui,oui,60
",",",",p
c',ce,52
était,être,18
bien,bien,60
une,un,71
fosse,fosse,22
",",",",p
les,le,71
rares,rare,30
lanternes,lanterne,22
éclairaient,éclairer,18
le,le,71
carreau,carreau,21
",",",",p
une,un,71
porte,porte,22
brusquement,brusquement,60
ouverte,ouvert,31
lui,lui,51
avait,avoir,18
permis,permettre,12
d',de,81
entrevoir,entrevoir,14
les,le,71
foyers,foyer,21
des,de,81
des,le,71
générateurs,générateur,21
",",",",p
dans,dans,81
une,un,71
clarté,clarté,22
vive,vif,30
/.,/.,P
il,il,51
s',se,51
expliquait,expliquer,18
jusqu',jusque,81
à,à,81
l',le,71
échappement,échappement,21
de,de,81
la,le,71
pompe,pompe,22
",",",",p
cette,ce,74
respiration,respiration,22
grosse,gros,30
et,et,82
longue,long,30
",",",",p
soufflant,souffler,13
sans,sans,81
relâche,relâche,22
",",",",p
qui,qui,52
était,être,18
comme,comme,83
l',le,71
haleine,haleine,22
engorgée,engorgé,31
du,de,81
du,le,71
monstre,monstre,21
/.,/.,P
le,le,71
manoeuvre,manoeuvre,21
du,de,81
du,le,71
culbuteur,culbuteur,21
",",",",p
gonflant,gonfler,13
le,le,71
dos,dos,21
",",",",p
n',ne,60
avait,avoir,18
pas,pas,60
même,même,60
levé,lever,12
les,le,71
yeux,oeil,21
sur,sur,81
Etienne,Etienne,20
",",",",p
et,et,82
celui-ci,celui-ci,52
allait,aller,18
ramasser,ramasser,14
son,son,73
petit,petit,30
paquet,paquet,21
tombé,tombé,31
à,à,81
terre,terre,22
",",",",p
lorsqu',lorsque,83
un,un,71
accès,accès,21
de,de,81
toux,toux,22
annonça,annoncer,19
le,le,71
retour,retour,21
du,de,81
du,le,71
charretier,charretier,21
/.,/.,P
lentement,lentement,60
",",",",p
on,on,51
le,le,52
vit,voir,19
sortir,sortir,14
de,de,81
l',le,71
ombre,ombre,22
",",",",p
suivi,suivi,31
du,de,81
du,le,71
cheval,cheval,21
jaune,jaune,30
",",",",p
qui,qui,52
montait,monter,18
six,six,72
nouvelles,nouveau,30
berlines,berline,22
pleines,plein,30
/.,/.,P
-,-,p
il,il,51
y,y,52
a,avoir,17
des,de,81
des,le,71
fabriques,fabrique,22
à,à,81
Montsou,Montsou,20
?,?,p
demanda,demander,19
le,le,71
jeune,jeune,30
homme,homme,21
/.,/.,P
le,le,71
vieux,vieux,21
cracha,cracher,19
noir,noir,30
",",",",p
puis,puis,60
répondit,répondre,19
dans,dans,81
le,le,71
vent,vent,21
:,:,p
-,-,p
oh,oh,93
!,!,p
ce,ce,52
ne,ne,60
sont,être,17
pas,pas,60
les,le,71
fabriques,fabrique,22
qui,qui,52
manquent,manquer,17
/.,/.,P
fallait,falloir,18
voir,voir,14
ça,ça,52
",",",",p
il,il,51
y,y,52
a,avoir,17
trois,trois,72
ou,ou,82
quatre,quatre,72
ans,an,21
/!,/!,P
tout,tout,52
ronflait,ronfler,18
",",",",p
on,on,51
ne,ne,60
pouvait,pouvoir,18
trouver,trouver,14
des,de,81
des,le,71
hommes,homme,21
",",",",p
jamais,jamais,60
on,on,51
n',ne,60
avait,avoir,18
tant,tant,60
gagné,gagner,12
/…,/…,P
et,et,82
voilà,voilà,81
qu',que,83
on,on,51
se,se,51
remet,remettre,17
à,à,81
se,se,51
serrer,serrer,14
le,le,71
ventre,ventre,21
/.,/.,P
une,un,71
vraie,vrai,30
pitié,pitié,22
dans,dans,81
le,le,71
pays,pays,21
",",",",p
on,on,51
renvoie,renvoyer,17
le,le,71
monde,monde,21
",",",",p
les,le,71
ateliers,atelier,21
ferment,fermer,17
les,le,71
uns,un,52
après,après,81
les,le,71
autres,autre,52
/…,/…,P
ce,ce,52
n',ne,60
est,être,17
peut-être,peut-être,60
pas,pas,60
la,le,71
faute,faute,22
de,de,81
l',le,71
empereur,empereur,21
;,;,p
mais,mais,82
pourquoi,pourquoi,60
va,aller,17
t,t,94
il,il,51
se,se,51
battre,battre,14
en,en,81
Amérique,Amérique,20
/?,/?,P
sans,sans,81
compter,compter,14
que,que,83
les,le,71
bêtes,bête,22
meurent,mourir,17
du,de,81
du,le,71
choléra,choléra,21
",",",",p
comme,comme,83
les,le,71
gens,gens,21
/.,/.,P
alors,alors,60
",",",",p
en,en,81
courtes,court,30
phrases,phrase,22
",",",",p
l',le,71
haleine,haleine,22
coupée,coupé,31
",",",",p
tous,tout,75
deux,deux,72
continuèrent,continuer,19
à,à,81
se,se,51
plaindre,plaindre,14
/.,/.,P
Etienne,Etienne,20
racontait,raconter,18
ses,son,73
courses,course,22
inutiles,inutile,30
depuis,depuis,81
une,un,71
semaine,semaine,22
;,;,p
il,il,51
fallait,falloir,18
donc,donc,82
crever,crever,14
de,de,81
faim,faim,22
/?,/?,P
bientôt,bientôt,60
les,le,71
routes,route,22
seraient,être,16
pleines,plein,30
de,de,81
mendiants,mendiant,21
/.,/.,P
oui,oui,60
",",",",p
disait,dire,18
le,le,71
vieillard,vieillard,21
",",",",p
ça,ça,52
finirait,finir,16
par,par,81
mal,mal,60
tourner,tourner,14
",",",",p
car,car,82
il,il,51
n',ne,60
était,être,18
pas,pas,60
dieu,dieu,21
permis,permettre,12
de,de,81
jeter,jeter,14
tant,tant,60
de,de,81
chrétiens,chrétien,21
à,à,81
la,le,71
rue,rue,22
/.,/.,P
-,-,p
on,on,51
n',ne,60
a,avoir,17
pas,pas,60
de,de,81
la,le,71
viande,viande,22
tous,tout,75
les,le,71
jours,jour,21
/.,/.,P
-,-,p
encore,encore,60
si,si,83
l',l',94
on,on,51
avait,avoir,18
du,de,81
du,le,71
pain,pain,21
/!,/!,P
c',ce,52
est,être,17
vrai,vrai,30
",",",",p
si,si,83
l',l',94
on,on,51
avait,avoir,18
du,de,81
du,le,71
pain,pain,21
seulement,seulement,60
/!,/!,P
leurs,leur,73
voix,voix,22
se,se,51
perdaient,perdre,18
",",",",p
des,de,81
des,le,71
bourrasques,bourrasque,22
emportaient,emporter,18
les,le,71
mots,mot,21
dans,dans,81
un,un,71
hurlement,hurlement,21
mélancolique,mélancolique,30
/.,/.,P
-,-,p
tenez,tenir,17
!,!,p
reprit,reprendre,19
très,très,60
haut,haut,60
le,le,71
charretier,charretier,21
en,en,81
se,se,51
tournant,tourner,13
vers,vers,81
le,le,71
midi,midi,21
",",",",p
Montsou,Montsou,20
est,être,17
là,là,60
/…,/…,P
et,et,82
",",",",p
de,de,81
sa,son,73
main,main,22
tendue,tendu,31
de,de,81
nouveau,nouveau,21
",",",",p
il,il,51
désigna,désigner,19
dans,dans,81
les,le,71
ténèbres,ténèbre,22
des,de,81
des,le,71
points,point,21
invisibles,invisible,30
",",",",p
à,à,81
mesure,mesure,22
qu',que,83
il,il,51
les,le,52
nommait,nommer,18
/.,/.,P
là-bas,là-bas,60
",",",",p
à,à,81
Montsou,Montsou,20
",",",",p
la,le,71
sucrerie,sucrerie,22
Fauvelle,Fauvelle,20
marchait,marcher,18
encore,encore,60
",",",",p
mais,mais,82
la,le,71
sucrerie,sucrerie,22
Hoton,Hoton,20
venait,venir,18
de,de,81
réduire,réduire,14
son,son,73
personnel,personnel,21
",",",",p
il,il,51
n',ne,60
y,y,52
avait,avoir,18
guère,guère,60
que,que,83
