11751
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Soixante-quinzième extrait>,<>,<>
feuilles,feuille,22
plus,plus,60
tendres,tendre,30
et,et,82
mieux,mieux,60
caressées,caressé,31
du,de,81
du,le,71
ciseau,ciseau,21
/?,/?,P
voici,voici,81
trois,trois,72
rondes,rond,30
bosses,bosse,22
de,de,81
Jean,Jean,20
Maillevin,Maillevin,20
/.,/.,P
ce,ce,52
ne,ne,60
sont,être,17
pas,pas,60
les,le,71
plus,plus,60
belles,beau,30
oeuvres,oeuvre,22
de,de,81
ce,ce,74
grand,grand,30
génie,génie,21
/.,/.,P
néanmoins,néanmoins,60
",",",",p
la,le,71
naïveté,naïveté,22
",",",",p
la,le,71
douceur,douceur,22
des,de,81
des,le,71
visages,visage,21
",",",",p
la,le,71
gaieté,gaieté,22
des,de,81
des,le,71
attitudes,attitude,22
et,et,82
des,de,81
des,le,71
draperies,draperie,22
",",",",p
et,et,82
cet,ce,74
agrément,agrément,21
inexplicable,inexplicable,30
qui,qui,52
se,se,51
mêle,mêler,17
dans,dans,81
tous,tout,75
les,le,71
défauts,défaut,21
",",",",p
rendent,rendre,17
les,le,71
figurines,figurine,22
bien,bien,60
égayées,égayé,31
et,et,82
bien,bien,60
délicates,délicat,30
",",",",p
peut-être,peut-être,60
même,même,60
trop,trop,60
/.,/.,P
-,-,p
vous,vous,51
trouvez,trouver,17
que,que,83
ce,ce,52
n',ne,60
est,être,17
pas,pas,60
divertissant,divertissant,30
/?,/?,P
si,si,60
fait,fait,31
!,!,p
dit,dire,19
le,le,71
prêtre,prêtre,21
/.,/.,P
-,-,p
et,et,82
si,si,83
vous,vous,51
voyiez,voir,17
l',le,71
intérieur,intérieur,21
de,de,81
la,le,71
chapelle,chapelle,22
!,!,p
reprit,reprendre,19
le,le,71
poète,poète,21
avec,avec,81
son,son,73
enthousiasme,enthousiasme,21
bavard,bavard,30
/.,/.,P
partout,partout,60
des,de,81
des,le,71
sculptures,sculpture,22
/.,/.,P
c',ce,52
est,être,17
touffu,touffu,30
comme,comme,83
un,un,71
coeur,coeur,21
de,de,81
chou,chou,21
/!,/!,P
l',le,71
abside,abside,22
est,être,17
d',de,81
une,un,71
façon,façon,22
fort,fort,60
dévote,dévot,30
et,et,82
si,si,60
particulière,particulier,30
que,que,83
je,je,51
n',ne,60
ai,avoir,17
rien,rien,52
vu,voir,12
de,de,81
même,même,60
ailleurs,ailleurs,60
/!,/!,P
dom,dom,21
Claude,Claude,20
l',le,52
interrompit,interrompre,19
:,:,p
-,-,p
vous,vous,51
êtes,être,17
donc,donc,82
heureux,heureux,30
/?,/?,P
Gringoire,Gringoire,20
répondit,répondre,19
avec,avec,81
feu,feu,21
:,:,p
-,-,p
en,en,81
honneur,honneur,21
",",",",p
oui,oui,60
/!,/!,P
j',je,51
ai,avoir,17
d'abord,d'abord,60
aimé,aimer,12
des,de,81
des,le,71
femmes,femme,22
",",",",p
puis,puis,60
des,de,81
des,le,71
bêtes,bête,22
/.,/.,P
maintenant,maintenant,60
j',je,51
aime,aimer,17
des,de,81
des,le,71
pierres,pierre,22
/.,/.,P
c',ce,52
est,être,17
tout,tout,60
aussi,aussi,60
amusant,amusant,30
que,que,83
les,le,71
bêtes,bête,22
et,et,82
les,le,71
femmes,femme,22
",",",",p
et,et,82
c',ce,52
est,être,17
moins,moins,60
perfide,perfide,30
/.,/.,P
le,le,71
prêtre,prêtre,21
mit,mettre,19
sa,son,73
main,main,22
sur,sur,81
son,son,73
front,front,21
/.,/.,P
c',ce,52
était,être,18
son,son,73
geste,geste,21
habituel,habituel,30
/.,/.,P
-,-,p
en,en,81
vérité,vérité,22
/!,/!,P
tenez,tenir,17
!,!,p
dit,dire,19
Gringoire,Gringoire,20
",",",",p
on,on,51
a,avoir,17
des,de,81
des,le,71
jouissances,jouissance,22
/!,/!,P
il,il,51
prit,prendre,19
le,le,71
bras,bras,21
du,de,81
du,le,71
prêtre,prêtre,21
qui,qui,52
se,se,51
laissait,laisser,18
aller,aller,14
",",",",p
et,et,82
le,le,52
fit,faire,19
entrer,entrer,14
sous,sous,81
la,le,71
tourelle,tourelle,22
de,de,81
l',le,71
escalier,escalier,21
du,de,81
du,le,71
For-l'Evêque,For-l'Evêque,20
/.,/.,P
-,-,p
voilà,voilà,81
un,un,71
escalier,escalier,21
!,!,p
chaque,chaque,75
fois,fois,22
que,que,83
je,je,51
le,le,52
vois,voir,17
",",",",p
je,je,51
suis,être,17
heureux,heureux,30
/.,/.,P
c',ce,52
est,être,17
le,le,71
degré,degré,21
de,de,81
la,le,71
manière,manière,22
la,le,71
plus,plus,60
simple,simple,30
et,et,82
la,le,71
plus,plus,60
rare,rare,30
de,de,81
Paris,Paris,20
/.,/.,P
toutes,tout,75
les,le,71
marches,marche,22
sont,être,17
par-dessous,par-dessous,60
délardées,délarder,12
/.,/.,P
sa,son,73
beauté,beauté,22
et,et,82
sa,son,73
simplicité,simplicité,22
consistent,consister,17
dans,dans,81
les,le,71
girons,giron,21
de,de,81
l',le,71
une,un,52
et,et,82
de,de,81
l',le,71
autre,autre,52
",",",",p
portant,porter,13
un,un,71
pied,pied,21
ou,ou,82
environ,environ,60
",",",",p
qui,qui,52
sont,être,17
entrelacés,entrelacer,12
",",",",p
enclavés,enclaver,12
",",",",p
emboîtés,emboîter,12
",",",",p
enchaînés,enchaîner,12
",",",",p
enchâssés,enchâsser,12
",",",",p
entretaillés,entretailler,12
l',le,71
un,un,52
dans,dans,81
l',le,71
autre,autre,52
et,et,82
s',se,51
entre-mordent,entre-mordre,17
d',de,81
une,un,71
façon,façon,22
vraiment,vraiment,60
ferme,ferme,30
et,et,82
gentille,gentil,30
/!,/!,P
et,et,82
vous,vous,51
ne,ne,60
désirez,désirer,17
rien,rien,52
/?,/?,P
non,non,60
/.,/.,P
-,-,p
et,et,82
vous,vous,51
ne,ne,60
regrettez,regretter,17
rien,rien,52
/?,/?,P
ni,ni,82
regret,regret,21
ni,ni,82
désir,désir,21
/.,/.,P
j',je,51
ai,avoir,17
arrangé,arranger,12
ma,mon,73
vie,vie,22
/.,/.,P
-,-,p
ce,ce,52
qu',que,52
arrangent,arranger,17
les,le,71
hommes,homme,21
",",",",p
dit,dire,19
Claude,Claude,20
",",",",p
les,le,71
choses,chose,22
le,le,52
dérangent,déranger,17
/.,/.,P
-,-,p
je,je,51
suis,être,17
un,un,71
philosophe,philosophe,21
pyrrhonien,pyrrhonien,30
",",",",p
répondit,répondre,19
Gringoire,Gringoire,20
",",",",p
et,et,82
je,je,51
tiens,tenir,17
tout,tout,52
en,en,81
équilibre,équilibre,21
/.,/.,P
-,-,p
et,et,82
comment,comment,60
la,le,52
gagnez,gagner,17
vous,vous,51
",",",",p
votre,votre,73
vie,vie,22
/?,/?,P
je,je,51
fais,faire,17
encore,encore,60
çà,çà,60
et,et,82
là,là,60
des,de,81
des,le,71
épopées,épopée,22
et,et,82
des,de,81
des,le,71
tragédies,tragédie,22
;,;,p
mais,mais,82
ce,ce,52
qui,qui,52
me,je,51
rapporte,rapporter,17
le,le,71
plus,plus,60
",",",",p
c',ce,52
est,être,17
l',le,71
industrie,industrie,22
que,que,52
vous,vous,51
me,je,51
connaissez,connaître,17
",",",",p
mon,mon,73
maître,maître,21
/.,/.,P
porter,porter,14
des,de,81
des,le,71
pyramides,pyramide,22
de,de,81
chaises,chaise,22
sur,sur,81
mes,mon,73
dents,dent,22
/.,/.,P
-,-,p
le,le,71
métier,métier,21
est,être,17
grossier,grossier,30
pour,pour,81
un,un,71
philosophe,philosophe,21
/.,/.,P
-,-,p
c',ce,52
est,être,17
encore,encore,60
de,de,81
l',le,71
équilibre,équilibre,21
",",",",p
dit,dire,19
Gringoire,Gringoire,20
/.,/.,P
quand,quand,83
on,on,51
a,avoir,17
une,un,71
pensée,pensée,22
",",",",p
on,on,51
la,le,52
retrouve,retrouver,17
en,en,81
tout,tout,52
/.,/.,P
-,-,p
je,je,51
le,le,52
sais,savoir,17
",",",",p
répondit,répondre,19
l',le,71
archidiacre,archidiacre,21
/.,/.,P
après,après,81
un,un,71
silence,silence,21
",",",",p
le,le,71
prêtre,prêtre,21
reprit,reprendre,19
:,:,p
-,-,p
vous,vous,51
êtes,être,17
néanmoins,néanmoins,60
assez,assez,60
misérable,misérable,30
/?,/?,P
misérable,misérable,30
",",",",p
oui,oui,60
;,;,p
malheureux,malheureux,30
",",",",p
non,non,60
/.,/.,P
en,en,81
ce,ce,74
moment,moment,21
",",",",p
un,un,71
bruit,bruit,21
de,de,81
chevaux,cheval,21
se,se,51
fit,faire,19
entendre,entendre,14
",",",",p
et,et,82
nos,notre,73
deux,deux,72
interlocuteurs,interlocuteur,21
virent,voir,19
défiler,défiler,14
au,à,81
au,le,71
bout,bout,21
de,de,81
la,le,71
rue,rue,22
une,un,71
compagnie,compagnie,22
des,de,81
des,le,71
archers,archer,21
de,de,81
l',le,71
ordonnance,ordonnance,22
du,de,81
du,le,71
roi,roi,21
",",",",p
les,le,71
lances,lance,22
hautes,haut,30
",",",",p
l',le,71
officier,officier,21
en,en,81
tête,tête,22
/.,/.,P
la,le,71
cavalcade,cavalcade,22
était,être,18
brillante,brillant,30
et,et,82
résonnait,résonner,18
sur,sur,81
le,le,71
pavé,pavé,21
/.,/.,P
-,-,p
comme,comme,83
vous,vous,51
regardez,regarder,17
cet,ce,74
officier,officier,21
!,!,p
dit,dire,19
Gringoire,Gringoire,20
à,à,81
l',le,71
archidiacre,archidiacre,21
/.,/.,P
-,-,p
c',ce,52
est,être,17
que,que,83
je,je,51
crois,croire,17
le,le,52
reconnaître,reconnaître,14
/.,/.,P
-,-,p
comment,comment,60
le,le,52
nommez,nommer,17
vous,vous,51
/?,/?,P
je,je,51
crois,croire,17
",",",",p
dit,dire,19
Claude,Claude,20
",",",",p
qu',que,83
il,il,51
s',se,51
appelle,appeler,17
Phoebus,Phoebus,20
de,de,81
Châteaupers,Châteaupers,20
/.,/.,P
-,-,p
Phoebus,Phoebus,20
!,!,p
un,un,71
nom,nom,21
de,de,81
curiosité,curiosité,22
/!,/!,P
il,il,51
y,y,52
a,avoir,17
aussi,aussi,60
Phoebus,Phoebus,20
",",",",p
comte,comte,21
de,de,81
Foix,Foix,20
/.,/.,P
j',je,51
ai,avoir,17
souvenir,souvenir,21
d',de,81
avoir,avoir,14
connu,connaître,12
une,un,71
fille,fille,22
qui,qui,52
ne,ne,60
jurait,jurer,18
que,que,83
par,par,81
Phoebus,Phoebus,20
/.,/.,P
-,-,p
venez,venir,17
vous,vous,51
en,en,52
",",",",p
dit,dire,19
le,le,71
prêtre,prêtre,21
/.,/.,P
j',je,51
ai,avoir,17
quelque,quelque,75
chose,chose,22
à,à,81
vous,vous,51
dire,dire,14
/.,/.,P
depuis,depuis,81
le,le,71
passage,passage,21
de,de,81
cette,ce,74
troupe,troupe,22
",",",",p
quelque,quelque,75
agitation,agitation,22
perçait,percer,18
sous,sous,81
l',le,71
enveloppe,enveloppe,22
glaciale,glacial,30
de,de,81
l',le,71
archidiacre,archidiacre,21
/.,/.,P
il,il,51
se,se,51
mit,mettre,19
à,à,81
marcher,marcher,14
/.,/.,P
Gringoire,Gringoire,20
le,le,52
suivait,suivre,18
",",",",p
habitué,habitué,31
à,à,81
lui,lui,51
obéir,obéir,14
",",",",p
comme,comme,83
tout,tout,52
ce,ce,52
qui,qui,52
avait,avoir,18
approché,approcher,12
une,un,71
fois,fois,22
cet,ce,74
homme,homme,21
plein,plein,30
d',de,81
ascendant,ascendant,21
/.,/.,P
ils,ils,51
arrivèrent,arriver,19
en,en,81
silence,silence,21
jusqu',jusque,81
à,à,81
la,le,71
rue,rue,22
des,de,81
des,le,71
Bernardins,Bernardin,20
qui,qui,52
était,être,18
assez,assez,60
déserte,désert,30
/.,/.,P
dom,dom,21
Claude,Claude,20
s',se,51
y,y,52
arrêta,arrêter,19
/.,/.,P
-,-,p
qu',que,52
avez,avoir,17
vous,vous,51
à,à,81
me,je,51
dire,dire,14
",",",",p
mon,mon,73
maître,maître,21
?,?,p
lui,lui,51
demanda,demander,19
Gringoire,Gringoire,20
/.,/.,P
-,-,p
est,être,17
ce,ce,52
que,que,83
vous,vous,51
ne,ne,60
trouvez,trouver,17
pas,pas,60
",",",",p
répondit,répondre,19
l',le,71
archidiacre,archidiacre,21
d',de,81
un,un,71
air,air,21
de,de,81
profonde,profond,30
réflexion,réflexion,22
",",",",p
que,que,83
l',le,71
habit,habit,21
de,de,81
ces,ce,74
cavaliers,cavalier,21
que,que,52
nous,nous,51
venons,venir,17
de,de,81
voir,voir,14
est,être,17
plus,plus,60
beau,beau,30
que,que,83
le,le,71
vôtre,vôtre,52
et,et,82
que,que,83
le,le,71
mien,mien,52
/?,/?,P
Gringoire,Gringoire,20
hocha,hocher,19
la,le,71
tête,tête,22
/.,/.,P
-,-,p
ma,mon,73
foi,foi,22
!,!,p
j',je,51
aime,aimer,17
mieux,mieux,60
ma,mon,73
gonelle,gonelle,22
jaune,jaune,30
et,et,82
rouge,rouge,30
que,que,83
ces,ce,74
écailles,écaille,22
de,de,81
fer,fer,21
et,et,82
d',de,81
acier,acier,21
/.,/.,P
beau,beau,30
plaisir,plaisir,21
",",",",p
de,de,81
faire,faire,14
en,en,81
marchant,marcher,13
le,le,71
même,même,75
bruit,bruit,21
que,que,52
le,le,71
quai,quai,21
de,de,81
la,le,71
Ferraille,Ferraille,20
par,par,81
un,un,71
tremblement,tremblement,21
de,de,81
terre,terre,22
/!,/!,P
donc,donc,82
",",",",p
Gringoire,Gringoire,20
",",",",p
vous,vous,51
n',ne,60
avez,avoir,17
jamais,jamais,60
porté,porter,12
envie,envie,22
à,à,81
ces,ce,74
beaux,beau,30
fils,fils,21
en,en,81
hoquetons,hoqueton,21
de,de,81
guerre,guerre,22
/?,/?,P
envie,envie,22
de,de,81
quoi,quoi,52
",",",",p
monsieur,monsieur,21
l',le,71
archidiacre,archidiacre,21
?,?,p
de,de,81
leur,leur,73
force,force,22
",",",",p
de,de,81
leur,leur,73
armure,armure,22
",",",",p
de,de,81
leur,leur,73
discipline,discipline,22
/?,/?,P
mieux,mieux,60
valent,valoir,17
la,le,71
philosophie,philosophie,22
et,et,82
l',le,71
indépendance,indépendance,22
en,en,81
guenilles,guenille,22
/.,/.,P
j',je,51
aime,aimer,17
mieux,mieux,60
être,être,14
tête,tête,22
de,de,81
mouche,mouche,22
que,que,52
queue,queue,22
de,de,81
lion,lion,21
/.,/.,P
-,-,p
cela,cela,52
est,être,17
singulier,singulier,30
",",",",p
dit,dire,19
le,le,71
prêtre,prêtre,21
rêveur,rêveur,30
/.,/.,P
une,un,71
belle,beau,30
livrée,livrée,22
est,être,17
pourtant,pourtant,60
belle,beau,30
/.,/.,P
Gringoire,Gringoire,20
",",",",p
le,le,52
voyant,voir,13
pensif,pensif,30
",",",",p
le,le,52
quitta,quitter,19
pour,pour,81
aller,aller,14
admirer,admirer,14
le,le,71
porche,porche,21
d',de,81
une,un,71
maison,maison,22
voisine,voisin,30
/.,/.,P
il,il,51
revint,revenir,19
en,en,81
frappant,frapper,13
des,de,81
des,le,71
mains,main,22
/.,/.,P
-,-,p
si,si,83
vous,vous,51
