11435
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Trente-neuvième extrait>,<>,<>
commande,commande,22
errait,errer,18
sur,sur,81
ses,son,73
lèvres,lèvre,22
moqueuses,moqueur,30
",",",",p
et,et,82
l',l',94
on,on,51
voyait,voir,18
à,à,81
l',le,71
aménité,aménité,22
de,de,81
ses,son,73
manières,manière,22
qu',que,52
il,il,51
vivait,vivre,18
en,en,81
relation,relation,22
perpétuelle,perpétuel,30
avec,avec,81
les,le,71
gens,gens,21
comme,comme,83
il,il,51
faut,falloir,17
;,;,p
ses,son,73
habits,habit,21
achetés,acheté,31
à,à,81
la,le,71
friperie,friperie,22
simulaient,simuler,18
une,un,71
espèce,espèce,22
de,de,81
livrée,livrée,22
dont,dont,52
il,il,51
n',ne,60
était,être,18
pas,pas,60
médiocrement,médiocrement,60
fier,fier,30
et,et,82
qui,qui,52
",",",",p
dans,dans,81
son,son,73
idée,idée,22
",",",",p
mettait,mettre,18
une,un,71
grande,grand,30
distance,distance,22
sociale,social,30
entre,entre,81
lui,lui,51
et,et,82
le,le,71
sauvage,sauvage,30
Timberio,Timberio,20
;,;,p
sa,son,73
conversation,conversation,22
s',se,51
émaillait,émailler,18
de,de,81
mots,mot,21
anglais,anglais,30
et,et,82
français,français,30
qui,qui,52
ne,ne,60
cadraient,cadrer,18
pas,pas,60
toujours,toujours,60
heureusement,heureusement,60
avec,avec,81
le,le,71
sens,sens,21
de,de,81
ce,ce,52
qu',que,52
il,il,51
voulait,vouloir,18
dire,dire,14
",",",",p
mais,mais,82
qui,qui,52
n',ne,60
en,en,52
excitaient,exciter,18
pas,pas,60
moins,moins,60
l',le,71
admiration,admiration,22
des,de,81
des,le,71
filles,fille,22
de,de,81
cuisine,cuisine,22
et,et,82
des,de,81
des,le,71
marmitons,marmiton,21
",",",",p
étonnés,étonné,31
de,de,81
tant,tant,60
de,de,81
science,science,22
/.,/.,P
un,un,71
peu,peu,60
en,en,81
arrière,arrière,21
se,se,51
tenaient,tenir,18
deux,deux,72
jeunes,jeune,30
servantes,servante,22
dont,dont,52
les,le,71
traits,trait,21
rappelaient,rappeler,18
avec,avec,81
moins,moins,60
de,de,81
noblesse,noblesse,22
",",",",p
sans,sans,81
doute,doute,21
",",",",p
ce,ce,74
type,type,21
si,si,60
connu,connu,31
des,de,81
des,le,71
monnaies,monnaie,22
syracusaines,syracusaines,92
:,:,p
front,front,21
bas,bas,30
",",",",p
nez,nez,21
tout,tout,60
d',de,81
une,un,71
pièce,pièce,22
avec,avec,81
le,le,71
front,front,21
",",",",p
lèvres,lèvre,22
un,un,71
peu,peu,60
épaisses,épais,30
",",",",p
menton,menton,21
empâté,empâté,31
et,et,82
fort,fort,30
;,;,p
des,de,81
des,le,71
bandeaux,bandeau,21
de,de,81
cheveux,cheveu,21
d',de,81
un,un,71
noir,noir,21
bleuâtre,bleuâtre,30
allaient,aller,18
se,se,51
rejoindre,rejoindre,14
derrière,derrière,81
leur,leur,73
tête,tête,22
à,à,81
un,un,71
pesant,pesant,30
chignon,chignon,21
traversé,traversé,31
d',de,81
épingles,épingle,22
terminées,terminé,31
par,par,81
des,de,81
des,le,71
boules,boule,22
de,de,81
corail,corail,21
;,;,p
des,de,81
des,le,71
colliers,collier,21
de,de,81
même,même,75
matière,matière,22
cerclaient,cercler,18
à,à,81
triple,triple,30
rang,rang,21
leurs,leur,73
cols,col,21
de,de,81
cariatide,cariatide,22
",",",",p
dont,dont,52
l',le,71
usage,usage,21
de,de,81
porter,porter,14
les,le,71
fardeaux,fardeau,21
sur,sur,81
la,le,71
tête,tête,22
avait,avoir,18
renforcé,renforcer,12
les,le,71
muscles,muscle,21
/.,/.,P
-,-,p
des,de,81
des,le,71
dandies,dandy,21
eussent,avoir,18
à,à,81
coup,coup,21
sûr,sûr,30
méprisé,mépriser,12
ces,ce,74
pauvres,pauvre,30
filles,fille,22
qui,qui,52
conservaient,conserver,18
pur,pur,30
de,de,81
mélange,mélange,21
le,le,71
sang,sang,21
des,de,81
des,le,71
belles,beau,30
races,race,22
de,de,81
la,le,71
grande,grand,30
Grèce,Grèce,20
;,;,p
mais,mais,82
tout,tout,75
artiste,artiste,21
",",",",p
à,à,81
leur,leur,73
aspect,aspect,21
",",",",p
eût,avoir,19
tiré,tirer,12
son,son,73
carnet,carnet,21
de,de,81
croquis,croquis,21
et,et,82
taillé,taillé,31
son,son,73
crayon,crayon,21
/.,/.,P
avez,avoir,17
vous,vous,51
vu,voir,12
à,à,81
la,le,71
galerie,galerie,22
du,de,81
du,le,71
maréchal,maréchal,21
Soult,Soult,20
le,le,71
tableau,tableau,21
de,de,81
Murillo,Murillo,20
où,où,60
des,de,81
des,le,71
chérubins,chérubin,21
font,faire,17
la,le,71
cuisine,cuisine,22
/?,/?,P
si,si,83
vous,vous,51
l',le,52
avez,avoir,17
vu,voir,12
",",",",p
cela,cela,52
nous,nous,51
dispensera,dispenser,15
de,de,81
peindre,peindre,14
ici,ici,60
les,le,71
têtes,tête,22
des,de,81
des,le,71
trois,trois,72
ou,ou,82
quatre,quatre,72
marmitons,marmiton,21
bouclés,bouclé,31
et,et,82
frisés,frisé,31
qui,qui,52
complétaient,compléter,18
le,le,71
groupe,groupe,21
/.,/.,P
le,le,71
conciliabule,conciliabule,21
traitait,traiter,18
une,un,71
question,question,22
grave,grave,30
/.,/.,P
il,il,51
s',se,51
agissait,agir,18
de,de,81
monsieur,monsieur,21
Paul,Paul,20
d',de,81
Aspremont,Aspremont,20
",",",",p
le,le,71
voyageur,voyageur,21
français,français,30
arrivé,arrivé,31
par,par,81
le,le,71
dernier,dernier,30
vapeur,vapeur,21
:,:,p
la,le,71
cuisine,cuisine,22
se,se,51
mêlait,mêler,18
de,de,81
juger,juger,14
l',le,71
appartement,appartement,21
/.,/.,P
Timberio,Timberio,20
le,le,71
portefaix,portefaix,21
avait,avoir,18
la,le,71
parole,parole,22
",",",",p
et,et,82
il,il,51
faisait,faire,18
des,de,81
des,le,71
pauses,pause,22
entre,entre,81
chacune,chacun,52
de,de,81
ses,son,73
phrases,phrase,22
",",",",p
comme,comme,83
un,un,71
acteur,acteur,21
en,en,81
vogue,vogue,22
",",",",p
pour,pour,81
laisser,laisser,14
à,à,81
son,son,73
auditoire,auditoire,21
le,le,71
temps,temps,21
d',de,81
en,en,52
bien,bien,60
saisir,saisir,14
toute,tout,75
la,le,71
portée,portée,22
",",",",p
d',de,81
y,y,52
donner,donner,14
son,son,73
assentiment,assentiment,21
ou,ou,82
d',de,81
élever,élever,14
des,de,81
des,le,71
objections,objection,22
/.,/.,P
“,“,p
suivez,suivre,17
bien,bien,60
mon,mon,73
raisonnement,raisonnement,21
",",",",p
disait,dire,18
l',le,71
orateur,orateur,21
;,;,p
le,le,71
Léopold,Léopold,20
est,être,17
un,un,71
honnête,honnête,30
bateau,bateau,21
à,à,81
vapeur,vapeur,22
toscan,toscan,30
",",",",p
contre,contre,81
lequel,lequel,52
il,il,51
n',ne,60
y,y,52
a,avoir,17
rien,rien,52
à,à,81
objecter,objecter,14
",",",",p
sinon,sinon,83
qu',que,83
il,il,51
transporte,transporter,17
trop,trop,60
d',de,81
hérétiques,hérétique,21
anglais,anglais,30
/…,/…,P
-,-,p
les,le,71
hérétiques,hérétique,21
anglais,anglais,30
paient,payer,17
bien,bien,60
",",",",p
interrompit,interrompre,19
Scazziga,Scazziga,20
",",",",p
rendu,rendu,21
plus,plus,60
tolérant,tolérant,30
par,par,81
les,le,71
pourboires,pourboire,21
/.,/.,P
-,-,p
sans,sans,81
doute,doute,21
;,;,p
c',ce,52
est,être,17
bien,bien,60
le,le,71
moins,moins,60
que,que,83
lorsqu',lorsque,83
un,un,71
hérétique,hérétique,21
fait,faire,17
travailler,travailler,14
un,un,71
chrétien,chrétien,21
",",",",p
il,il,51
le,le,52
récompense,récompenser,17
généreusement,généreusement,60
",",",",p
afin,afin,81
de,de,81
diminuer,diminuer,14
l',le,71
humiliation,humiliation,22
/.,/.,P
-,-,p
je,je,51
ne,ne,60
suis,être,17
pas,pas,60
humilié,humilier,12
de,de,81
conduire,conduire,14
un,un,71
forestiere,forestiere,92
dans,dans,81
ma,mon,73
voiture,voiture,22
;,;,p
je,je,51
ne,ne,60
fais,faire,17
pas,pas,60
",",",",p
comme,comme,83
toi,toi,51
",",",",p
métier,métier,21
de,de,81
bête,bête,22
de,de,81
somme,somme,22
",",",",p
Timberio,Timberio,20
/.,/.,P
-,-,p
est,être,17
ce,ce,52
que,que,83
je,je,51
ne,ne,60
suis,être,17
pas,pas,60
baptisé,baptiser,12
aussi,aussi,60
bien,bien,60
que,que,83
toi,toi,51
?,?,p
répliqua,répliquer,19
le,le,71
portefaix,portefaix,21
en,en,81
fronçant,froncer,13
le,le,71
sourcil,sourcil,21
et,et,82
en,en,81
fermant,fermer,13
les,le,71
poings,poing,21
/.,/.,P
-,-,p
laissez,laisser,17
parler,parler,14
Timberio,Timberio,20
",",",",p
s',se,51
écria,écrier,19
en,en,81
choeur,choeur,21
l',le,71
assemblée,assemblée,22
",",",",p
qui,qui,52
craignait,craindre,18
de,de,81
voir,voir,14
cette,ce,74
dissertation,dissertation,22
intéressante,intéressant,30
tourner,tourner,14
en,en,81
dispute,dispute,22
/.,/.,P
-,-,p
vous,vous,51
m',je,51
accorderez,accorder,15
",",",",p
reprit,reprendre,19
l',le,71
orateur,orateur,21
calmé,calmé,31
",",",",p
qu',que,83
il,il,51
faisait,faire,18
un,un,71
temps,temps,21
superbe,superbe,30
lorsque,lorsque,83
le,le,71
Léopold,Léopold,20
est,être,17
entré,entrer,12
dans,dans,81
le,le,71
port,port,21
/?,/?,P
-,-,p
on,on,51
vous,vous,51
l',le,52
accorde,accorder,17
",",",",p
Timberio,Timberio,20
",",",",p
fit,faire,19
le,le,71
chef,chef,21
avec,avec,81
une,un,71
majesté,majesté,22
condescendante,condescendant,30
/.,/.,P
-,-,p
la,le,71
mer,mer,22
était,être,18
unie,unir,12
comme,comme,83
une,un,71
glace,glace,22
",",",",p
continua,continuer,19
le,le,71
facchino,facchino,92
",",",",p
et,et,82
pourtant,pourtant,60
une,un,71
vague,vague,22
énorme,énorme,30
a,avoir,17
secoué,secouer,12
si,si,60
rudement,rudement,60
la,le,71
barque,barque,22
de,de,81
Gennaro,Gennaro,20
qu',que,52
il,il,51
est,être,17
tombé,tomber,12
à,à,81
l',le,71
eau,eau,22
avec,avec,81
deux,deux,72
ou,ou,82
trois,trois,72
de,de,81
ses,son,73
camarades,camarade,21
/.,/.,P
-,-,p
est,être,17
ce,ce,52
naturel,naturel,30
/?,/?,P
Gennaro,Gennaro,20
a,avoir,17
le,le,71
pied,pied,21
marin,marin,30
cependant,cependant,82
",",",",p
et,et,82
il,il,51
danserait,danser,16
la,le,71
tarentelle,tarentelle,22
sans,sans,81
balancier,balancier,21
sur,sur,81
une,un,71
vergue,vergue,22
/.,/.,P
-,-,p
il,il,51
avait,avoir,18
peut-être,peut-être,60
bu,boire,12
une,un,71
fiasque,fiasque,22
d',de,81
Asprino,Asprino,20
de,de,81
trop,trop,60
",",",",p
objecta,objecter,19
Scazziga,Scazziga,20
",",",",p
le,le,71
rationaliste,rationaliste,21
de,de,81
l',le,71
assemblée,assemblée,22
/.,/.,P
-,-,p
pas,pas,60
même,même,60
un,un,71
verre,verre,21
de,de,81
limonade,limonade,22
",",",",p
poursuivit,poursuivre,19
Timberio,Timberio,20
;,;,p
mais,mais,82
il,il,51
y,y,52
avait,avoir,18
à,à,81
bord,bord,21
du,de,81
du,le,71
bateau,bateau,21
à,à,81
vapeur,vapeur,22
un,un,71
monsieur,monsieur,21
qui,qui,52
le,le,52
regardait,regarder,18
d',de,81
une,un,71
certaine,certain,75
manière,manière,22
",",",",p
-,-,p
vous,vous,51
m',je,51
entendez,entendre,17
/!,/!,P
-,-,p
oh,oh,93
!,!,p
parfaitement,parfaitement,60
",",",",p
répondit,répondre,19
le,le,71
choeur,choeur,21
en,en,81
allongeant,allonger,13
avec,avec,81
un,un,71
ensemble,ensemble,21
admirable,admirable,30
l',le,71
index,index,21
et,et,82
le,le,71
petit,petit,30
doigt,doigt,21
/.,/.,P
-,-,p
et,et,82
ce,ce,74
monsieur,monsieur,21
",",",",p
dit,dire,19
Timberio,Timberio,20
",",",",p
n',ne,60
était,être,18
autre,autre,30
que,que,83
monsieur,monsieur,21
Paul,Paul,20
d',de,81
Aspremont,Aspremont,20
/.,/.,P
-,-,p
celui,celui,52
qui,qui,52
loge,loger,17
au,à,81
au,le,71
numéro,numéro,21
<Nombre 3>,<>,<>
trois,trois,72
<Fin nombre>,<>,<>
",",",",p
demanda,demander,19
le,le,71
chef,chef,21
",",",",p
et,et,82
à,à,81
qui,qui,52
j',je,51
envoie,envoyer,17
son,son,73
dîner,dîner,21
sur,sur,81
un,un,71
plateau,plateau,21
/?,/?,P
-,-,p
précisément,précisément,60
",",",",p
répondit,répondre,19
la,le,71
plus,plus,60
jeune,jeune,30
et,et,82
la,le,71
plus,plus,60
jolie,joli,30
des,de,81
des,le,71
servantes,servante,22
;,;,p
je,je,51
n',ne,60
ai,avoir,17
jamais,jamais,60
vu,voir,12
de,de,81
voyageur,voyageur,21
plus,plus,60
sauvage,sauvage,30
",",",",p
plus,plus,60
désagréable,désagréable,30
et,et,82
plus,plus,60
dédaigneux,dédaigneux,30
;,;,p
il,il,51
ne,ne,60
m',je,51
a,avoir,17
adressé,adresser,12
ni,ni,82
un,un,71
regard,regard,21
ni,ni,82
une,un,71
parole,parole,22
",",",",p
et,et,82
pourtant,pourtant,60
je,je,51
vaux,valoir,17
un,un,71
compliment,compliment,21
",",",",p
disent,dire,17
tous,tout,75
ces,ce,74
messieurs,monsieur,21
/.,/.,P
-,-,p
vous,vous,51
valez,valoir,17
mieux,mieux,60
que,que,83
cela,cela,52
",",",",p
Gelsomina,Gelsomina,20
",",",",p
ma,mon,73
belle,belle,22
",",",",p
dit,dire,17
galamment,galamment,60
Timberio,Timberio,20
;,;,p
mais,mais,82
c',ce,52
est,être,17
un,un,71
bonheur,bonheur,21
pour,pour,81
vous,vous,51
que,que,83
cet,ce,74
étranger,étranger,21
ne,ne,60
vous,vous,51
ait,avoir,17
pas,pas,60
remarquée,remarquer,12
/.,/.,P
-,-,p
tu,tu,51
es,être,17
aussi,aussi,60
par,par,81
trop,trop,60
superstitieux,superstitieux,30
",",",",p
objecta,objecter,19
le,le,71
sceptique,sceptique,30
Scazziga,Scazziga,20
",",",",p
que,que,83
ses,son,73
relations,relation,22
avec,avec,81
les,le,71
étrangers,étranger,21
avaient,avoir,18
rendu,rendre,12
légèrement,légèrement,60
voltairien,voltairien,30
/.,/.,P
-,-,p
à,à,81
force,force,22
de,de,81
fréquenter,fréquenter,14
les,le,71
hérétiques,hérétique,21
tu,tu,51
finiras,finir,15
par,par,81
ne,ne,60
plus,plus,60
même,même,60
croire,croire,14
à,à,81
saint,saint,30
janvier,janvier,21
/.,/.,P
-,-,p
si,si,83
Gennaro,Gennaro,20
s',se,51
est,être,17
laissé,laisser,12
tomber,tomber,14
à,à,81
la,le,71
mer,mer,22
",",",",p
ce,ce,52
n',ne,60
est,être,17
pas,pas,60
une,un,71
raison,raison,22
",",",",p
continua,continuer,19
Scazziga,Scazziga,20
qui,qui,52
défendait,défendre,18
sa,son,73
pratique,pratique,22
",",",",p
pour,pour,81
que,que,83
monsieur,monsieur,21
Paul,Paul,20
d',de,81
Aspremont,Aspremont,20
ait,avoir,17
l',le,71
influence,influence,22
que,que,52
tu,tu,51
lui,lui,51
attribues,attribuer,17
/.,/.,P
-,-,p
il,il,51
te,tu,51
faut,falloir,17
d',de,81
autres,autre,75
preuves,preuve,22
:,:,p
ce,ce,74
matin,matin,21
je,je,51
l',le,52
ai,avoir,17
vu,voir,12
à,à,81
la,le,71
fenêtre,fenêtre,22
",",",",p
l',le,71
oeil,oeil,21
fixé,fixé,31
sur,sur,81
un,un,71
nuage,nuage,21
pas,pas,60
plus,plus,60
gros,gros,30
que,que,83
la,le,71
plume,plume,22
qui,qui,52
s',se,51
échappe,échapper,17
d',de,81
un,un,71
oreiller,oreiller,21
décousu,décousu,31
",",",",p
et,et,82
aussitôt,aussitôt,60
des,de,81
des,le,71
vapeurs,vapeur,22
noires,noir,30
se,se,51
sont,être,17
assemblées,assembler,12
",",",",p
et,et,82
il,il,51
est,être,17
tombé,tomber,12
une,un,71
pluie,pluie,22
si,si,60
forte,fort,30
que,que,83
les,le,71
chiens,chien,21
pouvaient,pouvoir,18
boire,boire,14
debout,debout,60
/.,/.,P
“,“,p
Scazziga,Scazziga,20
n',ne,60
était,être,18
pas,pas,60
convaincu,convaincre,12
et,et,82
hochait,hocher,18
la,le,71
tête,tête,22
d',de,81
un,un,71
air,air,21
de,de,81
doute,doute,21
/.,/.,P
“,“,p
le,le,71
groom,groom,21
ne,ne,60
vaut,valoir,17
d',de,81
ailleurs,ailleurs,60
pas,pas,60
mieux,mieux,60
que,que,83
le,le,71
maître,maître,21
",",",",p
continua,continuer,19
Timberio,Timberio,20
",",",",p
et,et,82
il,il,51
faut,falloir,17
que,que,83
ce,ce,74
singe,singe,21
botté,botté,31
ait,avoir,17
des,de,81
des,le,71
intelligences,intelligence,22
avec,avec,81
le,le,71
diable,diable,21
pour,pour,81
m',je,51
avoir,avoir,14
jeté,jeter,12
par,par,81
terre,terre,22
",",",",p
moi,moi,51
qui,qui,52
le,le,52
tuerais,tuer,16
d',de,81
une,un,71
chiquenaude,chiquenaude,22
/.,/.,P
-,-,p
je,je,51
suis,être,17
de,de,81
l',le,71
avis,avis,21
de,de,81
Timberio,Timberio,20
",",",",p
dit,dit,31
majestueusement,majestueusement,60
le,le,71
chef,chef,21
de,de,81
cuisine,cuisine,22
;,;,p
l',le,71
étranger,étranger,21
mange,manger,17
peu,peu,60
;,;,p
il,il,51
a,avoir,17
renvoyé,renvoyer,12
les,le,71
zuchettes,zuchettes,92
farcies,farci,31
",",",",p
la,le,71
friture,friture,22
de,de,81
poulet,poulet,21
et,et,82
le,le,71
macaroni,macaroni,21
aux,à,81
aux,le,71
tomates,tomate,22
que,que,52
j',je,51
avais,avoir,18
pourtant,pourtant,60
apprêtés,apprêter,12
de,de,81
ma,mon,73
propre,propre,30
main,main,22
/!,/!,P
quelque,quelque,75
secret,secret,21
étrange,étrange,30
se,se,51
cache,cacher,17
sous,sous,81
cette,ce,74
sobriété,sobriété,22
/.,/.,P
pourquoi,pourquoi,60
un,un,71
homme,homme,21
riche,riche,30
se,se,51
priverait,priver,16
il,il,51
de,de,81
mets,mets,21
savoureux,savoureux,30
et,et,82
ne,ne,60
prendrait,prendre,16
il,il,51
qu',que,83
un,un,71
potage,potage,21
aux,à,81
aux,le,71
oeufs,oeuf,21
et,et,82
une,un,71
tranche,tranche,22
de,de,81
viande,viande,22
froide,froid,30
/?,/?,P
-,-,p
il,il,51
a,avoir,17
les,le,71
cheveux,cheveu,21
roux,roux,30
",",",",p
dit,dire,17
Gelsomina,Gelsomina,20
en,en,81
passant,passer,13
les,le,71
doigts,doigt,21
dans,dans,81
la,le,71
noire,noir,30
forêt,forêt,22
de,de,81
ses,son,73
bandeaux,bandeau,21
/.,/.,P
-,-,p
et,et,82
les,le,71
yeux,oeil,21
un,un,71
peu,peu,60
saillants,saillant,30
",",",",p
continua,continuer,19
Pepina,Pepina,20
",",",",p
l',le,71
autre,autre,75
servante,servante,22
/.,/.,P
-,-,p
très,très,60
rapprochés,rapproché,31
du,de,81
du,le,71
nez,nez,21
",",",",p
appuya,appuyer,19
Timberio,Timberio,20
/.,/.,P
-,-,p
et,et,82
la,le,71
ride,ride,22
qui,qui,52
se,se,51
forme,former,17
entre,entre,81
ses,son,73
sourcils,sourcil,21
se,se,51
creuse,creuser,17
en,en,81
fer,fer,21
à,à,81
cheval,cheval,21
",",",",p
dit,dit,31
en,en,81
terminant,terminer,13
l',le,71
instruction,instruction,22
le,le,71
formidable,formidable,30
Virgilio,Virgilio,20
Falsacappa,Falsacappa,20
;,;,p
donc,donc,82
il,il,51
est,être,17
/…,/…,P
-,-,p
ne,ne,60
prononcez,prononcer,17
pas,pas,60
le,le,71
mot,mot,21
",",",",p
c',ce,52
est,être,17
inutile,inutile,30
",",",",p
cria,crier,19
le,le,71
choeur,choeur,21
moins,moins,60
Scazziga,Scazziga,20
",",",",p
toujours,toujours,60
incrédule,incrédule,30
;,;,p
nous,nous,51
nous,nous,51
tiendrons,tenir,15
sur,sur,81
nos,notre,73
gardes,garde,22
/.,/.,P
-,-,p
quand,quand,83
je,je,51
pense,penser,17
que,que,83
la,le,71
police,police,22
me,je,51
tourmenterait,tourmenter,16
",",",",p
dit,dire,19
Timberio,Timberio,20
",",",",p
si,si,83
par,par,81
hasard,hasard,21
je,je,51
lui,lui,51
laissais,laisser,18
tomber,tomber,14
une,un,71
malle,malle,22
de,de,81
trois,trois,72
cents,cent,72
livres,livre,21
sur,sur,81
la,le,71
tête,tête,22
",",",",p
à,à,81
ce,ce,74
forestiere,forestiere,92
de,de,81
malheur,malheur,21
/!,/!,P
-,-,p
Scazziga,Scazziga,20
est,être,17
bien,bien,60
hardi,hardi,30
de,de,81
le,le,52
conduire,conduire,14
",",",",p
dit,dire,17
Gelsomina,Gelsomina,20
/.,/.,P
-,-,p
je,je,51
suis,être,17
sur,sur,81
mon,mon,73
siège,siège,21
",",",",p
il,il,51
ne,ne,60
me,je,51
voit,voir,17
que,que,83
le,le,71
dos,dos,21
",",",",p
et,et,82
ses,son,73
regards,regard,21
ne,ne,60
peuvent,pouvoir,17
faire,faire,14
avec,avec,81
les,le,71
miens,mien,52
l',le,71
angle,angle,21
voulu,voulu,31
/.,/.,P
d',de,81
ailleurs,ailleurs,60
",",",",p
je,je,51
m',je,51
en,en,52
moque,moquer,17
/.,/.,P
-,-,p
vous,vous,51
n',ne,60
avez,avoir,17
pas,pas,60
de,de,81
religion,religion,22
",",",",p
Scazziga,Scazziga,20
",",",",p
dit,dit,31
le,le,71
colossal,colossal,30
Palforio,Palforio,20
",",",",p
le,le,71
cuisinier,cuisinier,21
à,à,81
formes,forme,22
herculéennes,herculéen,30
;,;,p
