11776
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Quatre-vingt-huitième extrait>,<>,<>
toujours,toujours,60
au,à,81
au,le,71
coeur,coeur,21
;,;,p
mais,mais,82
il,il,51
en,en,52
était,être,18
à,à,81
un,un,52
de,de,81
ces,ce,74
moments,moment,21
où,où,60
",",",",p
couché,couché,31
sur,sur,81
le,le,71
dos,dos,21
",",",",p
dans,dans,81
le,le,71
silence,silence,21
",",",",p
on,on,51
se,se,51
dit,dire,17
des,de,81
des,le,71
vérités,vérité,22
dures,dur,30
",",",",p
on,on,51
se,se,51
gronde,gronder,17
de,de,81
ne,ne,60
s',se,51
être,être,14
pas,pas,60
creusé,creuser,12
",",",",p
même,même,60
au,à,81
au,le,71
prix,prix,21
de,de,81
ses,son,73
haines,haine,22
les,le,71
plus,plus,60
chères,cher,30
",",",",p
un,un,71
trou,trou,21
heureux,heureux,30
",",",",p
pour,pour,81
vautrer,vautrer,14
ses,son,73
lâchetés,lâcheté,22
d',de,81
âme,âme,22
et,et,82
de,de,81
corps,corps,21
/.,/.,P
vers,vers,81
le,le,71
soir,soir,21
",",",",p
Antoine,Antoine,20
se,se,51
décida,décider,19
à,à,81
faire,faire,14
appeler,appeler,14
son,son,73
frère,frère,21
le,le,71
lendemain,lendemain,21
/.,/.,P
mais,mais,82
lorsque,lorsque,83
",",",",p
le,le,71
lendemain,lendemain,21
matin,matin,21
",",",",p
il,il,51
vit,voir,19
entrer,entrer,14
Félicité,Félicité,20
",",",",p
il,il,51
comprit,comprendre,19
qu',que,83
on,on,51
avait,avoir,18
besoin,besoin,21
de,de,81
lui,lui,51
/.,/.,P
il,il,51
se,se,51
tint,tenir,19
sur,sur,81
ses,son,73
gardes,garde,22
/.,/.,P
la,le,71
négociation,négociation,22
fut,être,19
longue,long,30
",",",",p
pleine,plein,30
de,de,81
traîtrises,traîtrise,22
",",",",p
menée,mené,31
avec,avec,81
un,un,71
art,art,21
infini,infini,30
/.,/.,P
ils,ils,51
échangèrent,échanger,19
d'abord,d'abord,60
des,de,81
des,le,71
plaintes,plainte,22
vagues,vague,30
/.,/.,P
Félicité,Félicité,20
",",",",p
surprise,surpris,31
de,de,81
trouver,trouver,14
Antoine,Antoine,20
presque,presque,60
poli,poli,31
",",",",p
après,après,81
la,le,71
scène,scène,22
grossière,grossier,30
qu',que,52
il,il,51
avait,avoir,18
faite,faire,12
chez,chez,81
elle,il,51
le,le,71
dimanche,dimanche,21
soir,soir,21
",",",",p
le,le,52
prit,prendre,19
avec,avec,81
lui,lui,51
sur,sur,81
un,un,71
ton,ton,21
de,de,81
doux,doux,30
reproche,reproche,21
/.,/.,P
elle,il,51
déplora,déplorer,19
les,le,71
haines,haine,22
qui,qui,52
désunissent,désunir,17
les,le,71
familles,famille,22
/.,/.,P
mais,mais,82
",",",",p
vraiment,vraiment,60
",",",",p
il,il,51
avait,avoir,18
calomnié,calomnier,12
et,et,82
poursuivi,poursuivre,12
son,son,73
frère,frère,21
avec,avec,81
un,un,71
acharnement,acharnement,21
qui,qui,52
avait,avoir,18
mis,mettre,12
ce,ce,74
pauvre,pauvre,30
Rougon,Rougon,20
hors,hors,81
de,de,81
lui,lui,51
/.,/.,P
-,-,p
parbleu,parbleu,93
!,!,p
mon,mon,73
frère,frère,21
ne,ne,60
s',se,51
est,être,17
jamais,jamais,60
conduit,conduire,12
en,en,81
frère,frère,21
avec,avec,81
moi,moi,51
",",",",p
dit,dire,19
Macquart,Macquart,20
avec,avec,81
une,un,71
violence,violence,22
contenue,contenu,31
/.,/.,P
est,être,17
ce,ce,52
qu',que,83
il,il,51
est,être,17
venu,venir,12
à,à,81
mon,mon,73
secours,secours,21
/?,/?,P
il,il,51
m',je,51
aurait,avoir,16
laissé,laisser,12
crever,crever,14
dans,dans,81
mon,mon,73
taudis,taudis,21
/…,/…,P
quand,quand,83
il,il,51
a,avoir,17
été,être,12
gentil,gentil,30
avec,avec,81
moi,moi,51
",",",",p
vous,vous,51
vous,vous,51
rappelez,rappeler,17
",",",",p
à,à,81
l',le,71
époque,époque,22
des,de,81
des,le,71
deux,deux,72
cents,cent,72
francs,franc,21
",",",",p
je,je,51
crois,croire,17
qu',que,83
on,on,51
ne,ne,60
peut,pouvoir,17
pas,pas,60
me,je,51
reprocher,reprocher,14
d',de,81
avoir,avoir,14
dit,dire,12
du,de,81
du,le,71
mal,mal,21
de,de,81
lui,lui,51
/.,/.,P
je,je,51
répétais,répéter,18
partout,partout,60
que,que,83
c',ce,52
était,être,18
un,un,71
bon,bon,30
coeur,coeur,21
/.,/.,P
ce,ce,52
qui,qui,52
signifiait,signifier,18
clairement,clairement,60
:,:,p
-,-,p
si,si,83
vous,vous,51
aviez,avoir,18
continué,continuer,12
à,à,81
me,je,51
fournir,fournir,14
de,de,81
l',le,71
argent,argent,21
",",",",p
j',je,51
aurais,avoir,16
été,être,12
charmant,charmant,30
pour,pour,81
vous,vous,51
",",",",p
et,et,82
je,je,51
vous,vous,51
aurais,avoir,16
aidés,aider,12
",",",",p
au,à,81
au,le,71
lieu,lieu,21
de,de,81
vous,vous,51
combattre,combattre,14
/.,/.,P
c',ce,52
est,être,17
votre,votre,73
faute,faute,22
/.,/.,P
il,il,51
fallait,falloir,18
m',je,51
acheter,acheter,14
/.,/.,P
Félicité,Félicité,20
le,le,52
comprit,comprendre,19
si,si,60
bien,bien,60
",",",",p
qu',que,83
elle,il,51
répondit,répondre,19
:,:,p
-,-,p
je,je,51
sais,savoir,17
",",",",p
vous,vous,51
nous,nous,51
avez,avoir,17
accusés,accuser,12
de,de,81
dureté,dureté,22
",",",",p
parce qu',parce que,83
on,on,51
s',se,51
imagine,imaginer,17
que,que,83
nous,nous,51
sommes,être,17
à,à,81
notre,notre,73
aise,aise,22
;,;,p
mais,mais,82
on,on,51
se,se,51
trompe,tromper,17
",",",",p
mon,mon,73
cher,cher,30
frère,frère,21
:,:,p
nous,nous,51
sommes,être,17
de,de,81
pauvres,pauvre,30
gens,gens,21
;,;,p
nous,nous,51
n',ne,60
avons,avoir,17
jamais,jamais,60
pu,pouvoir,12
agir,agir,14
envers,envers,81
vous,vous,51
comme,comme,83
notre,notre,73
coeur,coeur,21
l',le,52
aurait,avoir,16
désiré,désirer,12
/.,/.,P
elle,il,51
hésita,hésiter,19
un,un,71
instant,instant,21
",",",",p
puis,puis,60
continua,continuer,19
:,:,p
-,-,p
à,à,81
la,le,71
rigueur,rigueur,22
",",",",p
dans,dans,81
une,un,71
circonstance,circonstance,22
grave,grave,30
",",",",p
nous,nous,51
pourrions,pouvoir,16
faire,faire,14
un,un,71
sacrifice,sacrifice,21
;,;,p
mais,mais,82
",",",",p
vrai,vrai,30
",",",",p
nous,nous,51
sommes,être,17
si,si,60
pauvres,pauvre,30
",",",",p
si,si,60
pauvres,pauvre,30
/!,/!,P
Macquart,Macquart,20
dressa,dresser,19
l',le,71
oreille,oreille,22
/.,/.,P
“,“,p
je,je,51
les,le,52
tiens,tenir,17
!,!,p
pensa,penser,19
t,t,94
il,il,51
/.,/.,P
alors,alors,60
",",",",p
sans,sans,81
paraître,paraître,14
avoir,avoir,14
entendu,entendre,12
l',le,71
offre,offre,22
indirecte,indirect,30
de,de,81
sa,son,73
belle-soeur,belle-soeur,22
",",",",p
il,il,51
étala,étaler,19
sa,son,73
misère,misère,22
d',de,81
une,un,71
voix,voix,22
dolente,dolent,30
",",",",p
il,il,51
raconta,raconter,19
la,le,71
mort,mort,22
de,de,81
sa,son,73
femme,femme,22
",",",",p
la,le,71
fuite,fuite,22
de,de,81
ses,son,73
enfants,enfant,21
/.,/.,P
Félicité,Félicité,20
",",",",p
de,de,81
son,son,73
côté,côté,21
",",",",p
parla,parler,19
de,de,81
la,le,71
crise,crise,22
que,que,52
le,le,71
pays,pays,21
traversait,traverser,18
;,;,p
elle,il,51
prétendit,prétendre,19
que,que,83
la,le,71
république,république,22
avait,avoir,18
achevé,achever,12
de,de,81
les,le,52
ruiner,ruiner,14
/.,/.,P
de,de,81
parole,parole,22
en,en,81
parole,parole,22
",",",",p
elle,il,51
en,en,52
vint,venir,19
à,à,81
maudire,maudire,14
une,un,71
époque,époque,22
qui,qui,52
forçait,forcer,18
le,le,71
frère,frère,21
à,à,81
emprisonner,emprisonner,14
le,le,71
frère,frère,21
/.,/.,P
combien,combien,60
le,le,71
coeur,coeur,21
lui,lui,51
saignerait,saigner,16
",",",",p
si,si,83
la,le,71
justice,justice,22
ne,ne,60
voulait,vouloir,18
pas,pas,60
rendre,rendre,14
sa,son,73
proie,proie,22
/!,/!,P
et,et,82
elle,il,51
lâcha,lâcher,19
le,le,71
mot,mot,21
de,de,81
galères,galère,22
/.,/.,P
-,-,p
ça,ça,52
",",",",p
je,je,51
vous,vous,51
en,en,52
défie,défier,17
",",",",p
dit,dire,19
tranquillement,tranquillement,60
Macquart,Macquart,20
/.,/.,P
mais,mais,82
elle,il,51
se,se,51
récria,récrier,19
:,:,p
-,-,p
je,je,51
rachèterais,racheter,16
plutôt,plutôt,60
de,de,81
mon,mon,73
sang,sang,21
l',le,71
honneur,honneur,21
de,de,81
la,le,71
famille,famille,22
/.,/.,P
ce,ce,52
que,que,52
je,je,51
vous,vous,51
en,en,52
dis,dire,17
",",",",p
c',ce,52
est,être,17
pour,pour,81
vous,vous,51
montrer,montrer,14
que,que,83
nous,nous,51
ne,ne,60
vous,vous,51
abandonnerons,abandonner,15
pas,pas,60
/…,/…,P
je,je,51
viens,venir,17
vous,vous,51
donner,donner,14
les,le,71
moyens,moyen,21
de,de,81
fuir,fuir,14
",",",",p
mon,mon,73
cher,cher,30
Antoine,Antoine,20
/.,/.,P
ils,ils,51
se,se,51
regardèrent,regarder,19
un,un,71
instant,instant,21
dans,dans,81
les,le,71
yeux,oeil,21
",",",",p
se,se,51
tâtant,tâter,13
du,de,81
du,le,71
regard,regard,21
avant,avant,81
d',de,81
engager,engager,14
la,le,71
lutte,lutte,22
/.,/.,P
-,-,p
sans,sans,81
condition,condition,22
?,?,p
demanda,demander,19
t,t,94
il,il,51
enfin,enfin,60
/.,/.,P
-,-,p
sans,sans,81
condition,condition,22
aucune,aucun,52
",",",",p
répondit,répondre,19
elle,il,51
/.,/.,P
elle,il,51
s',se,51
assit,asseoir,19
à,à,81
côté,côté,21
de,de,81
lui,lui,51
sur,sur,81
le,le,71
divan,divan,21
",",",",p
puis,puis,60
continua,continuer,19
d',de,81
une,un,71
voix,voix,22
décidée,décidé,31
:,:,p
-,-,p
et,et,82
même,même,60
",",",",p
avant,avant,81
de,de,81
passer,passer,14
la,le,71
frontière,frontière,22
",",",",p
si,si,83
vous,vous,51
voulez,vouloir,17
gagner,gagner,14
un,un,71
billet,billet,21
de,de,81
mille,mille,72
francs,franc,21
",",",",p
je,je,51
puis,pouvoir,17
vous,vous,51
en,en,52
fournir,fournir,14
les,le,71
moyens,moyen,21
/.,/.,P
il,il,51
y,y,52
eut,avoir,19
un,un,71
nouveau,nouveau,30
silence,silence,21
/.,/.,P
-,-,p
si,si,83
l',le,71
affaire,affaire,22
est,être,17
propre,propre,30
",",",",p
murmura,murmurer,19
Antoine,Antoine,20
",",",",p
qui,qui,52
avait,avoir,18
l',le,71
air,air,21
de,de,81
réfléchir,réfléchir,14
/.,/.,P
vous,vous,51
savez,savoir,17
",",",",p
je,je,51
ne,ne,60
veux,vouloir,17
pas,pas,60
me,je,51
fourrer,fourrer,14
dans,dans,81
vos,votre,73
manigances,manigance,22
/.,/.,P
-,-,p
mais,mais,82
il,il,51
n',ne,60
y,y,52
a,avoir,17
pas,pas,60
de,de,81
manigances,manigance,22
",",",",p
reprit,reprendre,19
Félicité,Félicité,20
",",",",p
souriant,sourire,13
des,de,81
des,le,71
scrupules,scrupule,21
du,de,81
du,le,71
vieux,vieux,30
coquin,coquin,21
/.,/.,P
rien,rien,52
de,de,81
plus,plus,60
simple,simple,30
:,:,p
vous,vous,51
allez,aller,17
sortir,sortir,14
tout,tout,60
à,à,81
l',le,71
heure,heure,22
de,de,81
ce,ce,74
cabinet,cabinet,21
",",",",p
vous,vous,51
irez,aller,15
vous,vous,51
cacher,cacher,14
chez,chez,81
votre,votre,73
mère,mère,22
",",",",p
et,et,82
ce,ce,74
soir,soir,21
",",",",p
vous,vous,51
réunirez,réunir,15
vos,votre,73
amis,ami,21
",",",",p
vous,vous,51
viendrez,venir,15
reprendre,reprendre,14
la,le,71
mairie,mairie,22
/.,/.,P
Macquart,Macquart,20
ne,ne,60
put,pouvoir,19
cacher,cacher,14
une,un,71
surprise,surprise,22
profonde,profond,30
/.,/.,P
il,il,51
ne,ne,60
comprenait,comprendre,18
pas,pas,60
/.,/.,P
-,-,p
je,je,51
croyais,croire,18
",",",",p
dit,dire,19
il,il,51
",",",",p
que,que,83
vous,vous,51
étiez,être,18
victorieux,victorieux,30
/.,/.,P
-,-,p
oh,oh,93
!,!,p
je,je,51
n',ne,60
ai,avoir,17
pas,pas,60
le,le,71
temps,temps,21
de,de,81
vous,vous,51
mettre,mettre,14
au,à,81
