11659
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Centième extrait>,<>,<>
d',de,81
unique,unique,30
héritière,héritière,22
",",",",p
gâtée,gâté,31
par,par,81
ses,son,73
parents,parent,21
",",",",p
gâtée,gâté,31
par,par,81
son,son,73
mari,mari,21
",",",",p
gâtée,gâté,31
par,par,81
la,le,71
ville,ville,22
de,de,81
Strasbourg,Strasbourg,20
",",",",p
et,et,82
toujours,toujours,60
gâtée,gâté,31
par,par,81
ses,son,73
deux,deux,72
filles,fille,22
qui,qui,52
l',le,52
adoraient,adorer,18
",",",",p
la,le,71
baronne,baronne,22
se,se,51
permettait,permettre,18
le,le,71
rose,rose,21
",",",",p
la,le,71
jupe,jupe,22
courte,court,30
",",",",p
le,le,71
noeud,noeud,21
à,à,81
la,le,71
pointe,pointe,22
du,de,81
du,le,71
corset,corset,21
qui,qui,52
lui,lui,51
dessinait,dessiner,18
la,le,71
taille,taille,22
/.,/.,P
quand,quand,83
un,un,71
Parisien,Parisien,20
voit,voir,17
cette,ce,74
baronne,baronne,22
passant,passer,13
sur,sur,81
le,le,71
boulevard,boulevard,21
",",",",p
il,il,51
sourit,sourire,17
",",",",p
la,le,52
condamne,condamner,17
sans,sans,81
admettre,admettre,14
",",",",p
comme,comme,83
le,le,71
jury,jury,21
actuel,actuel,30
",",",",p
les,le,71
circonstances,circonstance,22
atténuantes,atténuant,30
dans,dans,81
un,un,71
fratricide,fratricide,30
/!,/!,P
le,le,71
moqueur,moqueur,21
est,être,17
toujours,toujours,60
un,un,71
être,être,21
superficiel,superficiel,30
et,et,82
conséquemment,conséquemment,60
cruel,cruel,30
",",",",p
le,le,71
drôle,drôle,21
ne,ne,60
tient,tenir,17
aucun,aucun,75
compte,compte,21
de,de,81
la,le,71
part,part,22
qui,qui,52
revient,revenir,17
à,à,81
la,le,71
société,société,22
dans,dans,81
le,le,71
ridicule,ridicule,21
dont,dont,52
il,il,51
rit,rire,17
",",",",p
car,car,82
la,le,71
nature,nature,22
n',ne,60
a,avoir,17
fait,faire,12
que,que,83
des,de,81
des,le,71
bêtes,bête,22
",",",",p
nous,nous,51
devons,devoir,17
les,le,71
sots,sot,21
à,à,81
l',le,71
Etat,état,21
social,social,30
/.,/.,P
-,-,p
ce,ce,52
que,que,52
je,je,51
trouve,trouver,17
de,de,81
beau,beau,30
dans,dans,81
Bixiou,Bixiou,20
",",",",p
dit,dire,19
Blondet,Blondet,20
",",",",p
c',ce,52
est,être,17
qu',que,83
il,il,51
est,être,17
complet,complet,30
:,:,p
quand,quand,83
il,il,51
ne,ne,60
raille,railler,17
pas,pas,60
les,le,71
autres,autre,52
",",",",p
il,il,51
se,se,51
moque,moquer,17
de,de,81
lui-même,lui-même,51
/.,/.,P
-,-,p
Blondet,Blondet,20
",",",",p
je,je,51
te,tu,51
revaudrai,revaloir,15
cela,cela,52
",",",",p
dit,dire,19
Bixiou,Bixiou,20
d',de,81
un,un,71
ton,ton,21
fin,fin,30
/.,/.,P
si,si,83
cette,ce,74
petite,petit,30
baronne,baronne,22
était,être,18
évaporée,évaporer,12
",",",",p
insouciante,insouciant,30
",",",",p
égoïste,égoïste,30
",",",",p
incapable,incapable,30
de,de,81
calcul,calcul,21
",",",",p
la,le,71
responsabilité,responsabilité,22
de,de,81
ses,son,73
défauts,défaut,21
revenait,revenir,18
à,à,81
la,le,71
maison,maison,22
Adolphus,Adolphus,20
et,et,82
compagnie,compagnie,22
de,de,81
Manheim,Manheim,20
",",",",p
à,à,81
l',le,71
amour,amour,21
aveugle,aveugle,30
du,de,81
du,le,71
baron,baron,21
d',de,81
Aldrigger,Aldrigger,20
/.,/.,P
douce,doux,30
comme,comme,83
un,un,71
agneau,agneau,21
",",",",p
cette,ce,74
baronne,baronne,22
avait,avoir,18
le,le,71
coeur,coeur,21
tendre,tendre,30
",",",",p
facile,facile,30
à,à,81
émouvoir,émouvoir,14
",",",",p
mais,mais,82
malheureusement,malheureusement,60
l',le,71
émotion,émotion,22
durait,durer,18
peu,peu,60
et,et,82
conséquemment,conséquemment,60
se,se,51
renouvelait,renouveler,18
souvent,souvent,60
/.,/.,P
quand,quand,83
le,le,71
baron,baron,21
mourut,mourir,19
",",",",p
cette,ce,74
bergère,bergère,22
faillit,faillir,19
le,le,52
suivre,suivre,14
",",",",p
tant,tant,60
sa,son,73
douleur,douleur,22
fut,être,19
violente,violent,30
et,et,82
vraie,vrai,30
;,;,p
mais,mais,82
…,…,p
le,le,71
lendemain,lendemain,21
",",",",p
à,à,81
déjeuner,déjeuner,14
",",",",p
on,on,51
lui,lui,51
servit,servir,19
des,de,81
des,le,71
petits,petit,30
pois,pois,21
qu',que,52
elle,il,51
aimait,aimer,18
",",",",p
et,et,82
ces,ce,74
délicieux,délicieux,30
petits,petit,30
pois,pois,21
calmèrent,calmer,19
la,le,71
crise,crise,22
/.,/.,P
elle,il,51
était,être,18
si,si,60
aveuglément,aveuglément,60
aimée,aimer,12
par,par,81
ses,son,73
deux,deux,72
filles,fille,22
",",",",p
par,par,81
ses,son,73
gens,gens,21
",",",",p
que,que,83
toute,tout,75
la,le,71
maison,maison,22
fut,être,19
heureuse,heureux,30
d',de,81
une,un,71
circonstance,circonstance,22
qui,qui,52
leur,leur,52
permit,permettre,19
de,de,81
dérober,dérober,14
à,à,81
la,le,71
baronne,baronne,22
le,le,71
spectacle,spectacle,21
douloureux,douloureux,30
du,de,81
du,le,71
convoi,convoi,21
/.,/.,P
Isaure,Isaure,20
et,et,82
Malvina,Malvina,20
cachèrent,cacher,19
leurs,leur,73
larmes,larme,22
à,à,81
cette,ce,74
mère,mère,22
adorée,adoré,31
",",",",p
et,et,82
l',le,52
occupèrent,occuper,19
à,à,81
choisir,choisir,14
ses,son,73
habits,habit,21
de,de,81
deuil,deuil,21
",",",",p
à,à,81
les,le,52
commander,commander,14
pendant,pendant,81
que,que,83
l',l',94
on,on,51
chantait,chanter,18
le,le,71
requiem,requiem,21
/.,/.,P
quand,quand,83
un,un,71
cercueil,cercueil,21
est,être,17
placé,placer,12
sous,sous,81
ce,ce,74
grand,grand,30
catafalque,catafalque,21
noir,noir,30
et,et,82
blanc,blanc,30
",",",",p
taché,taché,31
de,de,81
cire,cire,22
",",",",p
qui,qui,52
a,avoir,17
servi,servir,12
à,à,81
trois,trois,72
mille,mille,72
cadavres,cadavre,21
de,de,81
gens,gens,21
comme,comme,83
il,il,51
faut,falloir,17
avant,avant,81
d',de,81
être,être,14
réformé,réformer,12
",",",",p
selon,selon,81
l',le,71
estimation,estimation,22
d',de,81
un,un,71
croquemort,croquemort,21
philosophe,philosophe,30
que,que,52
j',je,51
ai,avoir,17
consulté,consulter,12
sur,sur,81
ce,ce,74
point,point,21
",",",",p
entre,entre,81
deux,deux,72
verres,verre,21
de,de,81
petit,petit,30
blanc,blanc,21
;,;,p
quand,quand,83
un,un,71
bas,bas,30
clergé,clergé,21
très,très,60
indifférent,indifférent,30
braille,brailler,17
le,le,71
dies irae,dies irae,21
",",",",p
quand,quand,83
le,le,71
haut,haut,30
clergé,clergé,21
non,non,60
moins,moins,60
indifférent,indifférent,30
dit,dire,17
l',le,71
office,office,21
",",",",p
savez,savoir,17
vous,vous,51
ce,ce,52
que,que,52
disent,dire,17
les,le,71
amis,ami,21
vêtus,vêtu,31
de,de,81
noir,noir,21
",",",",p
assis,assis,31
ou,ou,82
debout,debout,60
dans,dans,81
l',le,71
église,église,22
?,?,p
(,(,p
voilà,voilà,81
le,le,71
tableau,tableau,21
demandé,demandé,31
),),p
/.,/.,P
tenez,tenir,17
",",",",p
les,le,52
voyez,voir,17
vous,vous,51
/?,/?,P
combien,combien,60
croyez,croire,17
vous,vous,51
que,que,83
laisse,laisser,17
le,le,71
papa,papa,21
d',de,81
Aldrigger,Aldrigger,20
?,?,p
disait,dire,18
Desroches,Desroches,20
à,à,81
Taillefer,Taillefer,20
",",",",p
qui,qui,52
nous,nous,51
a,avoir,17
fait,faire,12
faire,faire,14
avant,avant,81
sa,son,73
mort,mort,22
la,le,71
plus,plus,60
belle,beau,30
orgie,orgie,22
connue,connu,31
/…,/…,P
est,être,17
ce,ce,52
que,que,83
Desroches,Desroches,20
était,être,18
avoué,avouer,12
dans,dans,81
ce,ce,74
temps,temps,21
là,là,60
/?,/?,P
il,il,51
a,avoir,17
traité,traiter,12
en,en,81
<Nombre 1822>,<>,<>
mille,mille,72
huit,huit,72
cent,cent,72
vingt,vingt,72
deux,deux,72
<Fin nombre>,<>,<>
",",",",p
dit,dire,19
Couture,Couture,20
/.,/.,P
et,et,82
c',ce,52
était,être,18
hardi,hardi,30
pour,pour,81
le,le,71
fils,fils,21
d',de,81
un,un,71
pauvre,pauvre,30
employé,employé,21
qui,qui,52
n',ne,60
a,avoir,17
jamais,jamais,60
eu,avoir,12
plus,plus,60
de,de,81
dix,dix,72
huit,huit,72
cents,cent,72
francs,franc,21
",",",",p
et,et,82
dont,dont,52
la,le,71
mère,mère,22
gérait,gérer,18
un,un,71
bureau,bureau,21
de,de,81
papier,papier,21
timbré,timbré,31
/.,/.,P
mais,mais,82
il,il,51
a,avoir,17
rudement,rudement,60
travaillé,travailler,12
de,de,81
<Nombre 1818>,<>,<>
mille,mille,72
huit,huit,72
cent,cent,72
dix,dix,72
huit,huit,72
<Fin nombre>,<>,<>
à,à,81
<Nombre 1822>,<>,<>
mille,mille,72
huit,huit,72
cent,cent,72
vingt,vingt,72
deux,deux,72
<Fin nombre>,<>,<>
/.,/.,P
entré,entré,31
quatrième,quatrième,72
clerc,clerc,21
chez,chez,81
Derville,Derville,20
",",",",p
il,il,51
y,y,52
était,être,18
second,second,72
clerc,clerc,21
en,en,81
<Nombre 1819>,<>,<>
mille,mille,72
huit,huit,72
cent,cent,72
dix,dix,72
neuf,neuf,72
<Fin nombre>,<>,<>
-,-,p
Desroches,Desroches,20
/!,/!,P
oui,oui,60
",",",",p
dit,dire,19
Bixiou,Bixiou,20
/.,/.,P
Desroches,Desroches,20
a,avoir,17
roulé,rouler,12
comme,comme,83
nous,nous,51
sur,sur,81
les,le,71
fumiers,fumier,21
du,de,81
du,le,71
jobisme,jobisme,21
/.,/.,P
ennuyé,ennuyé,31
de,de,81
porter,porter,14
des,de,81
des,le,71
habits,habit,21
trop,trop,60
étroits,étroit,30
et,et,82
à,à,81
manches,manche,22
trop,trop,60
courtes,court,30
",",",",p
il,il,51
avait,avoir,18
dévoré,dévorer,12
le,le,71
droit,droit,21
par,par,81
désespoir,désespoir,21
",",",",p
et,et,82
venait,venir,18
d',de,81
acheter,acheter,14
un,un,71
titre,titre,21
nu,nu,30
/.,/.,P
avoué,avoué,21
sans,sans,81
le,le,71
sou,sou,21
",",",",p
sans,sans,81
clientèle,clientèle,22
",",",",p
sans,sans,81
autres,autre,75
amis,ami,21
que,que,52
nous,nous,51
",",",",p
il,il,51
devait,devoir,18
payer,payer,14
les,le,71
intérêts,intérêt,21
d',de,81
une,un,71
charge,charge,22
et,et,82
d',de,81
un,un,71
cautionnement,cautionnement,21
/.,/.,P
-,-,p
il,il,51
me,je,51
faisait,faire,18
alors,alors,60
l',le,71
effet,effet,21
d',de,81
un,un,71
tigre,tigre,21
sorti,sorti,31
du,de,81
du,le,71
Jardin-des-Plantes,Jardin des Plantes,20
",",",",p
dit,dire,19
Couture,Couture,20
/.,/.,P
maigre,maigre,30
",",",",p
à,à,81
cheveux,cheveu,21
roux,roux,30
",",",",p
les,le,71
yeux,oeil,21
couleur,couleur,22
tabac,tabac,21
d',de,81
Espagne,Espagne,20
",",",",p
un,un,71
teint,teint,21
aigre,aigre,30
",",",",p
l',le,71
air,air,21
froid,froid,30
et,et,82
flegmatique,flegmatique,30
",",",",p
mais,mais,82
âpre,âpre,30
à,à,81
la,le,71
veuve,veuve,22
",",",",p
tranchant,trancher,13
sur,sur,81
l',le,71
orphelin,orphelin,21
",",",",p
travailleur,travailleur,30
",",",",p
la,le,71
terreur,terreur,22
de,de,81
ses,son,73
clercs,clerc,21
qui,qui,52
ne,ne,60
devaient,devoir,18
pas,pas,60
perdre,perdre,14
leur,leur,73
temps,temps,21
",",",",p
instruit,instruit,31
",",",",p
retors,retors,30
",",",",p
double,double,30
",",",",p
d',de,81
une,un,71
élocution,élocution,22
mielleuse,mielleux,30
",",",",p
ne,ne,60
s',se,51
emportant,emporter,13
jamais,jamais,60
",",",",p
haineux,haineux,30
à,à,81
la,le,71
manière,manière,22
de,de,81
l',le,71
homme,homme,21
judiciaire,judiciaire,30
/.,/.,P
-,-,p
et,et,82
il,il,51
a,avoir,17
du,de,81
du,le,71
bon,bon,21
",",",",p
s',se,51
écria,écrier,19
Finot,Finot,20
",",",",p
il,il,51
est,être,17
dévoué,dévouer,12
à,à,81
ses,son,73
amis,ami,21
",",",",p
et,et,82
son,son,73
premier,premier,72
soin,soin,21
fut,être,19
de,de,81
prendre,prendre,14
Godeschal,Godeschal,20
pour,pour,81
maître,maître,21
Clerc,Clerc,20
",",",",p
le,le,71
frère,frère,21
à,à,81
Mariette,Mariette,20
/.,/.,P
-,-,p
à,à,81
Paris,Paris,20
",",",",p
dit,dire,19
Blondet,Blondet,20
",",",",p
l',le,71
avoué,avoué,21
n',ne,60
a,avoir,17
que,que,83
deux,deux,72
nuances,nuance,22
:,:,p
il,il,51
y,y,52
a,avoir,17
l',le,71
avoué,avoué,21
honnête,honnête,30
homme,homme,21
qui,qui,52
demeure,demeurer,17
dans,dans,81
les,le,71
termes,terme,21
de,de,81
la,le,71
loi,loi,22
",",",",p
pousse,pousser,17
les,le,71
procès,procès,21
",",",",p
ne,ne,60
court,courir,17
pas,pas,60
les,le,71
affaires,affaire,22
",",",",p
ne,ne,60
néglige,négliger,17
rien,rien,52
",",",",p
conseille,conseiller,17
ses,son,73
clients,client,21
avec,avec,81
loyauté,loyauté,22
",",",",p
les,le,52
fait,faire,17
transiger,transiger,14
sur,sur,81
les,le,71
points,point,21
douteux,douteux,30
",",",",p
un,un,71
Derville,Derville,20
enfin,enfin,60
/.,/.,P
puis,puis,60
il,il,51
y,y,52
a,avoir,17
l',le,71
avoué,avoué,21
famélique,famélique,30
à,à,81
qui,qui,52
tout,tout,52
est,être,17
bon,bon,30
pourvu,pourvu,81
que,que,83
les,le,71
frais,frais,21
soient,être,17
assurés,assurer,12
;,;,p
qui,qui,52
ferait,faire,16
battre,battre,14
",",",",p
non,non,60
pas,pas,60
des,de,81
des,le,71
montagnes,montagne,22
",",",",p
il,il,51
les,le,52
vend,vendre,17
",",",",p
mais,mais,82
des,de,81
des,le,71
planètes,planète,22
;,;,p
qui,qui,52
se,se,51
charge,charger,17
du,de,81
du,le,71
triomphe,triomphe,21
d',de,81
un,un,71
coquin,coquin,21
sur,sur,81
un,un,71
honnête,honnête,30
homme,homme,21
",",",",p
quand,quand,83
par,par,81
hasard,hasard,21
l',le,71
honnête,honnête,30
homme,homme,21
ne,ne,60
s',se,51
est,être,17
pas,pas,60
mis,mettre,12
en,en,81
règle,règle,22
/.,/.,P
quand,quand,83
un,un,52
de,de,81
ces,ce,74
avoués,avoué,21
là,là,60
fait,faire,17
un,un,71
tour,tour,21
de,de,81
maître,maître,21
Gonin,Gonin,20
un,un,71
peu,peu,60
trop,trop,60
fort,fort,30
",",",",p
la,le,71
chambre,chambre,22
le,le,52
force,forcer,17
à,à,81
vendre,vendre,14
/.,/.,P
Desroches,Desroches,20
",",",",p
notre,notre,73
ami,ami,21
Desroches,Desroches,20
",",",",p
a,avoir,17
compris,comprendre,12
ce,ce,74
métier,métier,21
assez,assez,60
pauvrement,pauvrement,60
fait,fait,31
par,par,81
de,de,81
pauvres,pauvre,30
hères,hère,21
:,:,p
il,il,51
a,avoir,17
acheté,acheter,12
des,de,81
des,le,71
causes,cause,22
aux,à,81
aux,le,71
gens,gens,21
qui,qui,52
tremblaient,trembler,18
de,de,81
les,le,52
perdre,perdre,14
",",",",p
il,il,51
s',se,51
est,être,17
rué,ruer,12
sur,sur,81
la,le,71
chicane,chicane,22
en,en,81
homme,homme,21
déterminé,déterminé,31
à,à,81
sortir,sortir,14
de,de,81
la,le,71
misère,misère,22
/.,/.,P
il,il,51
a,avoir,17
eu,avoir,12
raison,raison,22
",",",",p
il,il,51
a,avoir,17
fait,faire,12
très,très,60
honnêtement,honnêtement,60
son,son,73
métier,métier,21
/.,/.,P
il,il,51
a,avoir,17
trouvé,trouver,12
des,de,81
des,le,71
protecteurs,protecteur,21
dans,dans,81
les,le,71
hommes,homme,21
politiques,politique,30
en,en,81
sauvant,sauver,13
leurs,leur,73
affaires,affaire,22
embarrassées,embarrassé,31
",",",",p
comme,comme,83
pour,pour,81
notre,notre,73
cher,cher,30
des,de,81
des,le,71
Lupeaulx,Lupeaulx,20
",",",",p
dont,dont,52
la,le,71
position,position,22
était,être,18
si,si,60
compromise,compromettre,12
/.,/.,P
il,il,51
lui,lui,51
fallait,falloir,18
cela,cela,52
pour,pour,81
se,se,51
tirer,tirer,14
de,de,81
peine,peine,22
",",",",p
car,car,82
Desroches,Desroches,20
a,avoir,17
commencé,commencer,12
par,par,81
être,être,14
très,très,60
mal,mal,60
vu,voir,12
du,de,81
du,le,71
tribunal,tribunal,21
!,!,p
lui,lui,51
qui,qui,52
rectifiait,rectifier,18
avec,avec,81
tant,tant,60
de,de,81
peine,peine,22
les,le,71
erreurs,erreur,22
de,de,81
ses,son,73
clients,client,21
!,!,p
voyons,voir,17
",",",",p
Bixiou,Bixiou,20
",",",",p
revenons,revenir,17
?,?,p
pourquoi,pourquoi,60
Desroches,Desroches,20
se,se,51
trouvait,trouver,18
il,il,51
dans,dans,81
l',le,71
église,église,22
/?,/?,P
d',de,81
Aldrigger,Aldrigger,20
laisse,laisser,17
sept,sept,72
ou,ou,82
huit,huit,72
cent,cent,72
mille,mille,72
francs,franc,21
!,!,p
répondit,répondre,19
Taillefer,Taillefer,20
à,à,81
Desroches,Desroches,20
/.,/.,P
-,-,p
ah,ah,93
!,!,p
bah,bah,93
!,!,p
il,il,51
n',ne,60
y,y,52
a,avoir,17
qu',que,83
une,un,71
personne,personne,22
qui,qui,52
connaisse,connaître,17
leur,leur,73
fortune,fortune,22
",",",",p
dit,dire,19
Werbrust,Werbrust,20
",",",",p
un,un,71
ami,ami,21
du,de,81
du,le,71
défunt,défunt,21
/.,/.,P
-,-,p
qui,qui,52
/?,/?,P
ce,ce,74
gros,gros,30
matin,matin,21
de,de,81
Nucingen,Nucingen,20
",",",",p
il,il,51
ira,aller,15
jusqu',jusque,81
au,à,81
au,le,71
cimetière,cimetière,21
",",",",p
d',de,81
Aldrigger,Aldrigger,20
a,avoir,17
été,être,12
son,son,73
patron,patron,21
",",",",p
et,et,82
par,par,81
reconnaissance,reconnaissance,22
il,il,51
faisait,faire,18
valoir,valoir,14
les,le,71
fonds,fonds,21
du,de,81
du,le,71
bonhomme,bonhomme,21
/.,/.,P
-,-,p
sa,son,73
veuve,veuve,22
va,aller,17
trouver,trouver,14
une,un,52
bien,bien,60
grande,grand,30
différence,différence,22
/!,/!,P
comment,comment,60
l',le,52
entendez,entendre,17
vous,vous,51
/?,/?,P
mais,mais,82
d',de,81
Aldrigger,Aldrigger,20
aimait,aimer,18
tant,tant,60
sa,son,73
femme,femme,22
/!,/!,P
ne,ne,60
riez,rire,17
donc,donc,82
pas,pas,60
",",",",p
on,on,51
nous,nous,51
regarde,regarder,17
/.,/.,P
-,-,p
tiens,tenir,17
",",",",p
voilà,voilà,81
du,de,81
du,le,71
Tillet,Tillet,20
",",",",p
il,il,51
est,être,17
bien,bien,60
en,en,81
retard,retard,21
",",",",p
il,il,51
arrive,arriver,17
à,à,81
l',le,71
épître,épître,22
/.,/.,P
-,-,p
il,il,51
épousera,épouser,15
sans,sans,81
doute,doute,21
l',le,71
aînée,aînée,22
/.,/.,P
-,-,p
est,être,17
ce,ce,52
possible,possible,30
?,?,p
dit,dire,19
Desroches,Desroches,20
",",",",p
il,il,51
est,être,17
plus,plus,60
que,que,83
jamais,jamais,60
engagé,engager,12
avec,avec,81
madame,madame,22
Roguin,Roguin,20
/.,/.,P
-,-,p
lui,lui,51
!,!,p
engagé,engagé,31
?,?,p
vous,vous,51
ne,ne,60
le,le,52
connaissez,connaître,17
pas,pas,60
/.,/.,P
-,-,p
savez,savoir,17
vous,vous,51
la,le,71
position,position,22
de,de,81
Nucingen,Nucingen,20
et,et,82
de,de,81
du,de,81
du,le,71
Tillet,Tillet,20
?,?,p
demanda,demander,19
Desroches,Desroches,20
/.,/.,P
-,-,p
la,le,52
voici,voici,81
",",",",p
dit,dire,19
Taillefer,Taillefer,20
:,:,p
Nucingen,Nucingen,20
est,être,17
homme,homme,21
à,à,81
dévorer,dévorer,14
le,le,71
capital,capital,21
de,de,81
son,son,73
ancien,ancien,30
patron,patron,21
et,et,82
à,à,81
le,le,52
lui,lui,51
rendre,rendre,14
/…,/…,P
heu,heu,93
!,!,p
heu,heu,93
!,!,p
fit,faire,19
Werbrust,Werbrust,20
/.,/.,P
il,il,51
fait,faire,17
diablement,diablement,60
humide,humide,30
dans,dans,81
les,le,71
églises,église,22
",",",",p
heu,heu,93
!,!,p
heu,heu,93
/!,/!,P
comment,comment,60
le,le,52
rendre,rendre,14
?,?,p
-,-,p
hé,hé,93
!,!,p
bien,bien,21
",",",",p
