11215
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Soixante-quatrième extrait>,<>,<>
l',le,52
empêchait,empêcher,18
seul,seul,30
de,de,81
se,se,51
coucher,coucher,14
dans,dans,81
les,le,71
cendres,cendre,22
/.,/.,P
la,le,71
pièce,pièce,22
où,où,60
Guy,Guy,20
de,de,81
Malivert,Malivert,20
goûtait,goûter,18
ces,ce,74
joies,joie,22
paisibles,paisible,30
tenait,tenir,18
le,le,71
milieu,milieu,21
entre,entre,81
le,le,71
cabinet,cabinet,21
d',de,81
étude,étude,22
et,et,82
l',le,71
atelier,atelier,21
/.,/.,P
c',ce,52
était,être,18
une,un,71
salle,salle,22
vaste,vaste,30
et,et,82
haute,haut,30
de,de,81
plafond,plafond,21
",",",",p
qui,qui,52
occupait,occuper,18
le,le,71
dernier,dernier,30
étage,étage,21
du,de,81
du,le,71
pavillon,pavillon,21
habité,habité,31
par,par,81
Guy,Guy,20
et,et,82
situé,situé,31
entre,entre,81
une,un,71
grande,grand,30
cour,cour,22
et,et,82
un,un,71
jardin,jardin,21
planté,planté,31
de,de,81
ces,ce,74
arbres,arbre,21
séculaires,séculaire,30
dignes,digne,30
d',de,81
une,un,71
forêt,forêt,22
royale,royal,30
",",",",p
et,et,82
qu',que,52
on,on,51
ne,ne,60
trouve,trouver,17
plus,plus,60
que,que,83
dans,dans,81
l',le,71
aristocratique,aristocratique,30
faubourg,faubourg,21
",",",",p
car,car,82
il,il,51
faut,falloir,17
du,de,81
du,le,71
temps,temps,21
pour,pour,81
produire,produire,14
un,un,71
arbre,arbre,21
",",",",p
et,et,82
les,le,71
parvenus,parvenu,21
n',ne,60
en,en,52
peuvent,pouvoir,17
improviser,improviser,14
pour,pour,81
donner,donner,14
de,de,81
l',le,71
ombre,ombre,22
à,à,81
leurs,leur,73
hôtels,hôtel,21
bâtis,bâti,31
avec,avec,81
la,le,71
hâte,hâte,22
d',de,81
une,un,71
fortune,fortune,22
qui,qui,52
craint,craindre,17
la,le,71
banqueroute,banqueroute,22
/.,/.,P
les,le,71
murs,mur,21
étaient,être,18
revêtus,revêtir,12
de,de,81
cuir,cuir,21
fauve,fauve,30
",",",",p
et,et,82
le,le,71
plafond,plafond,21
se,se,51
composait,composer,18
d',de,81
un,un,71
entrecroisement,entrecroisement,21
de,de,81
poutres,poutre,22
en,en,81
vieux,vieux,30
chêne,chêne,21
encadrant,encadrant,30
des,de,81
des,le,71
caissons,caisson,21
de,de,81
sapin,sapin,21
de,de,81
Norvège,Norvège,20
",",",",p
auxquels,à,81
auxquels,lequel,52
on,on,51
avait,avoir,18
laissé,laisser,12
la,le,71
couleur,couleur,22
primitive,primitif,30
du,de,81
du,le,71
bois,bois,21
/.,/.,P
ces,ce,74
teintes,teinte,22
sobres,sobre,30
et,et,82
brunes,brun,30
faisaient,faire,18
valoir,valoir,14
les,le,71
tableaux,tableau,21
",",",",p
les,le,71
esquisses,esquisse,22
et,et,82
les,le,71
aquarelles,aquarelle,22
suspendus,suspendu,31
aux,à,81
aux,le,71
parois,paroi,22
de,de,81
cette,ce,74
espèce,espèce,22
de,de,81
galerie,galerie,22
où,où,60
Malivert,Malivert,20
avait,avoir,18
réuni,réunir,12
ses,son,73
curiosités,curiosité,22
et,et,82
fantaisies,fantaisie,22
d',de,81
art,art,21
/.,/.,P
des,de,81
des,le,71
corps,corps,21
de,de,81
bibliothèque,bibliothèque,22
en,en,81
chêne,chêne,21
",",",",p
assez,assez,60
bas,bas,30
pour,pour,81
ne,ne,60
pas,pas,60
gêner,gêner,14
les,le,71
tableaux,tableau,21
",",",",p
formaient,former,18
autour,autour,60
de,de,81
la,le,71
pièce,pièce,22
comme,comme,83
un,un,71
soubassement,soubassement,21
interrompu,interrompu,31
par,par,81
une,un,71
porte,porte,22
unique,unique,30
/.,/.,P
les,le,71
livres,livre,21
qui,qui,52
chargeaient,charger,18
ces,ce,74
rayons,rayon,21
eussent,avoir,18
surpris,surprendre,12
l',le,71
observateur,observateur,21
par,par,81
leur,leur,73
contraste,contraste,21
;,;,p
on,on,51
eût,avoir,19
dit,dire,12
la,le,71
bibliothèque,bibliothèque,22
d',de,81
un,un,71
artiste,artiste,21
et,et,82
celle,celui,52
d',de,81
un,un,71
savant,savant,30
mêlées,mêlée,22
ensemble,ensemble,60
/.,/.,P
à,à,81
côté,côté,21
des,de,81
des,le,71
poètes,poète,21
classiques,classique,30
de,de,81
tous,tout,75
les,le,71
temps,temps,21
et,et,82
de,de,81
tous,tout,75
les,le,71
pays,pays,21
",",",",p
d',de,81
Homère,Homère,20
",",",",p
d',de,81
Hésiode,Hésiode,20
",",",",p
de,de,81
Virgile,Virgile,20
",",",",p
de,de,81
Dante,Dante,20
",",",",p
d',de,81
Arioste,Arioste,20
",",",",p
de,de,81
Ronsard,Ronsard,20
",",",",p
de,de,81
Shakespeare,Shakespeare,20
",",",",p
de,de,81
Milton,Milton,20
",",",",p
de,de,81
Goethe,Goethe,20
",",",",p
de,de,81
Schiller,Schiller,20
",",",",p
de,de,81
lord,lord,21
Byron,Byron,20
",",",",p
de,de,81
Victor,Victor,20
Hugo,Hugo,20
",",",",p
de,de,81
Sainte-Beuve,Sainte-Beuve,20
",",",",p
d',de,81
Alfred,Alfred,20
de,de,81
Musset,Musset,20
",",",",p
d',de,81
Edgar,Edgar,20
Poe,Poe,20
",",",",p
se,se,51
trouvaient,trouver,18
la,le,71
symbolique,symbolique,22
de,de,81
Creuzer,Creuzer,20
",",",",p
la,le,71
mécanique,mécanique,22
céleste,céleste,30
de,de,81
Laplace,Laplace,20
",",",",p
l',le,71
astronomie,astronomie,22
d',de,81
Arago,Arago,20
",",",",p
la,le,71
physiologie,physiologie,22
de,de,81
Burdach,Burdach,20
",",",",p
le,le,71
Cosmos,Cosmos,20
de,de,81
Humboldt,Humboldt,20
",",",",p
les,le,71
oeuvres,oeuvre,22
de,de,81
Claude,Claude,20
Bernard,Bernard,20
et,et,82
de,de,81
Berthelot,Berthelot,20
",",",",p
et,et,82
autres,autre,75
ouvrages,ouvrage,21
de,de,81
science,science,22
pure,pur,30
/.,/.,P
Guy,Guy,20
de,de,81
Malivert,Malivert,20
n',ne,60
était,être,18
cependant,cependant,82
pas,pas,60
un,un,71
savant,savant,21
/.,/.,P
il,il,51
n',ne,60
avait,avoir,18
guère,guère,60
appris,apprendre,12
que,que,83
ce,ce,52
qu',que,52
on,on,51
montre,montrer,17
au,à,81
au,le,71
collège,collège,21
;,;,p
mais,mais,82
",",",",p
après,après,81
s',se,51
être,être,14
refait,refaire,12
son,son,73
éducation,éducation,22
littéraire,littéraire,30
",",",",p
il,il,51
lui,lui,51
avait,avoir,18
semblé,sembler,12
honteux,honteux,30
d',de,81
ignorer,ignorer,14
toutes,tout,75
les,le,71
belles,beau,30
découvertes,découverte,22
qui,qui,52
font,faire,17
la,le,71
gloire,gloire,22
de,de,81
ce,ce,74
siècle,siècle,21
/.,/.,P
il,il,51
s',se,51
était,être,18
mis,mettre,12
au,à,81
au,le,71
courant,courant,21
de,de,81
son,son,73
mieux,mieux,60
",",",",p
et,et,82
l',l',94
on,on,51
pouvait,pouvoir,18
parler,parler,14
devant,devant,81
lui,lui,51
astronomie,astronomie,22
",",",",p
cosmogonie,cosmogonie,22
",",",",p
électricité,électricité,22
",",",",p
vapeur,vapeur,21
",",",",p
photographie,photographie,22
",",",",p
chimie,chimie,22
",",",",p
micrographie,micrographie,22
",",",",p
génération,génération,22
spontanée,spontané,30
;,;,p
il,il,51
comprenait,comprendre,18
et,et,82
parfois,parfois,60
il,il,51
étonnait,étonner,18
son,son,73
interlocuteur,interlocuteur,21
par,par,81
une,un,71
remarque,remarque,22
ingénieuse,ingénieux,30
et,et,82
neuve,neuf,30
/.,/.,P
tel,tel,52
était,être,18
Guy,Guy,20
de,de,81
Malivert,Malivert,20
à,à,81
l',le,71
âge,âge,21
de,de,81
vingt,vingt,72
huit,huit,72
ou,ou,82
vingt,vingt,72
neuf,neuf,72
ans,an,21
/.,/.,P
sa,son,73
tête,tête,22
",",",",p
un,un,71
peu,peu,60
éclaircie,éclairci,31
sur,sur,81
le,le,71
haut,haut,21
du,de,81
du,le,71
front,front,21
",",",",p
avait,avoir,18
une,un,71
expression,expression,22
ouverte,ouvert,31
et,et,82
franche,franc,30
qui,qui,52
faisait,faire,18
plaisir,plaisir,21
à,à,81
voir,voir,14
;,;,p
le,le,71
nez,nez,21
",",",",p
sans,sans,81
être,être,14
d',de,81
une,un,71
régularité,régularité,22
grecque,grec,30
",",",",p
ne,ne,60
manquait,manquer,18
pas,pas,60
de,de,81
noblesse,noblesse,22
et,et,82
séparait,séparer,18
deux,deux,72
yeux,oeil,21
bruns,brun,30
au,à,81
au,le,71
regard,regard,21
ferme,ferme,30
;,;,p
la,le,71
bouche,bouche,22
",",",",p
un,un,71
peu,peu,60
épaisse,épais,30
",",",",p
annonçait,annoncer,18
une,un,71
bonté,bonté,22
sympathique,sympathique,30
/.,/.,P
les,le,71
cheveux,cheveu,21
",",",",p
d',de,81
un,un,71
brun,brun,30
chaud,chaud,21
",",",",p
se,se,51
massaient,masser,18
en,en,81
petites,petite,22
boucles,boucle,22
fines,fin,30
et,et,82
tordues,tordu,31
qui,qui,52
repoussaient,repousser,18
le,le,71
fer,fer,21
du,de,81
du,le,71
coiffeur,coiffeur,21
",",",",p
et,et,82
une,un,71
moustache,moustache,22
d',de,81
un,un,71
ton,ton,21
d',de,81
or,or,21
roux,roux,30
ombrageait,ombrager,18
la,le,71
lèvre,lèvre,22
supérieure,supérieur,30
/.,/.,P
bref,bref,60
",",",",p
Malivert,Malivert,20
était,être,18
ce,ce,52
qu',que,52
on,on,51
appelle,appeler,17
un,un,71
joli,joli,30
garçon,garçon,21
",",",",p
et,et,82
à,à,81
son,son,73
entrée,entrée,22
dans,dans,81
le,le,71
monde,monde,21
il,il,51
avait,avoir,18
eu,avoir,12
des,de,81
des,le,71
succès,succès,21
sans,sans,81
beaucoup,beaucoup,60
les,le,52
rechercher,rechercher,14
/.,/.,P
les,le,71
mères,mère,22
ornées,orné,31
de,de,81
filles,fille,22
à,à,81
marier,marier,14
étaient,être,18
aux,à,81
aux,le,71
petits,petit,30
soins,soin,21
pour,pour,81
lui,lui,51
",",",",p
car,car,82
il,il,51
avait,avoir,18
<Nombre 40000 francs>,<>,<>
quarante,quarante,72
mille,mille,72
francs,franc,21
<Fin nombre>,<>,<>
de,de,81
rente,rente,22
en,en,81
terres,terre,22
et,et,82
un,un,71
oncle,oncle,21
cacochyme,cacochyme,30
plusieurs,plusieurs,75
fois,fois,22
millionnaire,millionnaire,30
dont,dont,52
il,il,51
devait,devoir,18
hériter,hériter,14
/.,/.,P
position,position,22
admirable,admirable,30
/!,/!,P
cependant,cependant,82
Guy,Guy,20
ne,ne,60
s',se,51
était,être,18
pas,pas,60
marié,marier,12
;,;,p
il,il,51
se,se,51
contentait,contenter,18
de,de,81
faire,faire,14
un,un,71
signe,signe,21
de,de,81
tête,tête,22
approbateur,approbateur,30
aux,à,81
aux,le,71
sonates,sonate,22
que,que,52
les,le,71
jeunes,jeune,30
personnes,personne,22
exécutaient,exécuter,18
en,en,81
sa,son,73
présence,présence,22
;,;,p
il,il,51
les,le,52
reconduisait,reconduire,18
poliment,poliment,60
à,à,81
leur,leur,73
place,place,22
après,après,81
la,le,71
contredanse,contredanse,22
",",",",p
mais,mais,82
son,son,73
entretien,entretien,21
avec,avec,81
elles,ils,51
pendant,pendant,81
les,le,71
repos,repos,21
des,de,81
des,le,71
figures,figure,22
se,se,51
bornait,borner,18
à,à,81
des,de,81
des,le,71
phrases,phrase,22
du,de,81
du,le,71
genre,genre,21
de,de,81
celle-ci,celui-ci,52
:,:,p
“,“,p
il,il,51
fait,faire,17
bien,bien,60
chaud,chaud,30
dans,dans,81
ce,ce,74
salon,salon,21
“,“,p
;,;,p
aphorisme,aphorisme,21
d',de,81
où,où,60
il,il,51
était,être,18
impossible,impossible,30
de,de,81
déduire,déduire,14
la,le,71
moindre,moindre,30
espérance,espérance,22
matrimoniale,matrimonial,30
/.,/.,P
ce,ce,52
n',ne,60
était,être,18
pas,pas,60
que,que,83
Guy,Guy,20
de,de,81
Malivert,Malivert,20
manquât,manquer,18
d',de,81
esprit,esprit,21
;,;,p
il,il,51
aurait,avoir,16
trouvé,trouver,12
aisément,aisément,60
à,à,81
dire,dire,14
quelque,quelque,75
chose,chose,22
de,de,81
moins,moins,60
banal,banal,30
s',si,83
il,il,51
n',ne,60
eût,avoir,19
craint,craindre,12
de,de,81
s',se,51
empêtrer,empêtrer,14
dans,dans,81
ces,ce,74
toiles,toile,22
ourdies,ourdi,31
de,de,81
fils,fils,21
plus,plus,60
ténus,ténu,30
que,que,83
des,de,81
des,le,71
fils,fils,21
d',de,81
araignée,araignée,22
",",",",p
tendues,tendu,31
dans,dans,81
le,le,71
monde,monde,21
autour,autour,60
des,de,81
des,le,71
vierges,vierge,22
nubiles,nubile,30
dont,dont,52
la,le,71
dot,dot,22
n',ne,60
est,être,17
pas,pas,60
considérable,considérable,30
/.,/.,P
lorsqu',lorsque,83
il,il,51
se,se,51
voyait,voir,18
trop,trop,60
bien,bien,60
accueilli,accueilli,31
dans,dans,81
une,un,71
maison,maison,22
",",",",p
il,il,51
cessait,cesser,18
d',de,81
y,y,52
aller,aller,14
",",",",p
ou,ou,82
il,il,51
partait,partir,18
pour,pour,81
un,un,71
grand,grand,30
voyage,voyage,21
",",",",p
et,et,82
à,à,81
son,son,73
retour,retour,21
il,il,51
avait,avoir,18
la,le,71
satisfaction,satisfaction,22
de,de,81
se,se,51
voir,voir,14
parfaitement,parfaitement,60
oublié,oublié,31
/.,/.,P
on,on,51
dira,dire,15
peut-être,peut-être,60
que,que,83
Guy,Guy,20
",",",",p
comme,comme,83
beaucoup,beaucoup,60
de,de,81
jeunes,jeune,30
gens,gens,21
d',de,81
aujourd'hui,aujourd'hui,60
",",",",p
trouvait,trouver,18
dans,dans,81
le,le,71
demi-monde,demi-monde,21
de,de,81
passagères,passager,30
unions,union,22
morganatiques,morganatique,30
qui,qui,52
le,le,52
dispensaient,dispenser,18
d',de,81
un,un,71
mariage,mariage,21
sérieux,sérieux,30
/.,/.,P
il,il,51
n',ne,60
en,en,52
était,être,18
rien,rien,52
/.,/.,P
sans,sans,81
être,être,14
plus,plus,60
rigoriste,rigoriste,30
que,que,83
ne,ne,60
le,le,52
comportait,comporter,18
son,son,73
âge,âge,21
",",",",p
Malivert,Malivert,20
n',ne,60
aimait,aimer,18
pas,pas,60
ces,ce,74
beautés,beauté,22
plâtrées,plâtré,31
",",",",p
coiffées,coiffé,31
comme,comme,83
des,de,81
des,le,71
caniches,caniche,21
et,et,82
ballonnées,ballonné,31
de,de,81
crinolines,crinoline,22
extravagantes,extravagant,30
/.,/.,P
pure,pur,30
affaire,affaire,22
de,de,81
goût,goût,21
/.,/.,P
il,il,51
avait,avoir,18
eu,avoir,12
comme,comme,83
tout,tout,75
le,le,71
monde,monde,21
quelques,quelque,75
bonnes,bon,30
fortunes,fortune,22
/.,/.,P
deux,deux,72
ou,ou,82
trois,trois,72
femmes,femme,22
incomprises,incompris,30
",",",",p
plus,plus,60
ou,ou,82
moins,moins,60
séparées,séparé,31
de,de,81
leurs,leur,73
maris,mari,21
",",",",p
l',le,52
avaient,avoir,18
proclamé,proclamer,12
leur,leur,73
idéal,idéal,21
",",",",p
à,à,81
quoi,quoi,52
il,il,51
avait,avoir,18
répondu,répondre,12
:,:,p
“,“,p
vous,vous,51
êtes,être,17
bien,bien,60
honnêtes,honnête,30
“,“,p
",",",",p
n',ne,60
osant,oser,13
pas,pas,60
leur,leur,52
dire,dire,14
qu',que,83
elles,ils,51
n',ne,60
étaient,être,18
pas,pas,60
du,de,81
du,le,71
tout,tout,21
son,son,73
idéal,idéal,21
à,à,81
lui,lui,51
;,;,p
car,car,82
c',ce,52
était,être,18
un,un,71
garçon,garçon,21
bien,bien,60
élevé,élevé,31
que,que,83
Malivert,Malivert,20
/.,/.,P
une,un,71
petite,petite,22
figurante,figurant,30
des,de,81
des,le,71
Délassements-,Délassements-,20
Comiques,Comiques,20
",",",",p
à,à,81
qui,qui,52
il,il,51
avait,avoir,18
donné,donner,12
quelques,quelque,75
louis,louis,21
et,et,82
un,un,71
talma,talma,92
de,de,81
velours,velours,21
",",",",p
se,se,51
prétendant,prétendre,13
trahie,trahi,31
",",",",p
avait,avoir,18
essayé,essayer,12
de,de,81
s',se,51
asphyxier,asphyxier,14
en,en,81
son,son,73
honneur,honneur,21
;,;,p
mais,mais,82
",",",",p
malgré,malgré,81
ces,ce,74
belles,beau,30
aventures,aventure,22
",",",",p
Guy,Guy,20
de,de,81
Malivert,Malivert,20
",",",",p
sincère,sincère,30
envers,envers,81
lui-même,lui-même,51
",",",",p
reconnaissait,reconnaître,18
qu',que,83
arrivé,arrivé,31
à,à,81
cet,ce,74
âge,âge,21
solennel,solennel,30
de,de,81
vingt,vingt,72
neuf,neuf,72
ans,an,21
",",",",p
où,où,60
le,le,71
jeune,jeune,30
homme,homme,21
va,aller,17
devenir,devenir,14
homme,homme,21
jeune,jeune,30
",",",",p
il,il,51
ignorait,ignorer,18
l',le,71
amour,amour,21
",",",",p
tel,tel,52
du,de,81
du,le,71
moins,moins,60
qu',que,83
il,il,51
est,être,17
dépeint,dépeindre,12
dans,dans,81
les,le,71
poèmes,poème,21
",",",",p
les,le,71
drames,drame,21
",",",",p
les,le,71
romans,roman,21
",",",",p
ou,ou,82
même,même,60
comme,comme,83
le,le,52
représentaient,représenter,18
ses,son,73
camarades,camarade,21
par,par,81
leurs,leur,73
confidences,confidence,22
ou,ou,82
leurs,leur,73
vantardises,vantardise,22
/.,/.,P
il,il,51
se,se,51
consolait,consoler,18
très,très,60
aisément,aisément,60
de,de,81
ce,ce,74
malheur,malheur,21
en,en,81
songeant,songer,13
aux,à,81
aux,le,71
ennuis,ennui,21
",",",",p
aux,à,81
aux,le,71
calamités,calamité,22
et,et,82
aux,à,81
aux,le,71
désastres,désastre,21
qu',que,52
entraîne,entraîner,17
cette,ce,74
passion,passion,22
",",",",p
et,et,82
il,il,51
attendait,attendre,18
avec,avec,81
patience,patience,22
le,le,71
jour,jour,21
où,où,60
devait,devoir,18
paraître,paraître,14
",",",",p
amené,amené,31
par,par,81
le,le,71
hasard,hasard,21
",",",",p
l',le,71
objet,objet,21
décisif,décisif,30
qui,qui,52
le,le,52
devait,devoir,18
fixer,fixer,14
/.,/.,P
cependant,cependant,82
",",",",p
comme,comme,83
souvent,souvent,60
le,le,71
monde,monde,21
