11480
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Onzième extrait>,<>,<>
meurs,mourir,17
/.,/.,P
“,“,p
je,je,51
ne,ne,60
versai,verser,19
pas,pas,60
une,un,71
larme,larme,22
",",",",p
pas,pas,60
un,un,71
sanglot,sanglot,21
ne,ne,60
sortit,sortir,19
de,de,81
mes,mon,73
lèvres,lèvre,22
;,;,p
ma,mon,73
gorge,gorge,22
se,se,51
serra,serrer,19
",",",",p
et,et,82
ma,mon,73
bouche,bouche,22
était,être,18
comme,comme,83
scellée,sceller,12
;,;,p
je,je,51
regardai,regarder,19
mon,mon,73
père,père,21
sans,sans,81
bouger,bouger,14
/.,/.,P
il,il,51
connaissait,connaître,18
ma,mon,73
vie,vie,22
",",",",p
et,et,82
mes,mon,73
désordres,désordre,21
lui,lui,51
avaient,avoir,18
donné,donner,12
plus,plus,60
d',de,81
une,un,71
fois,fois,22
des,de,81
des,le,71
motifs,motif,21
de,de,81
plainte,plainte,22
ou,ou,82
de,de,81
réprimande,réprimande,22
/.,/.,P
je,je,51
ne,ne,60
le,le,52
voyais,voir,18
guère,guère,60
qu',que,83
il,il,51
ne,ne,60
me,je,51
parlât,parler,18
de,de,81
mon,mon,73
avenir,avenir,21
",",",",p
de,de,81
ma,mon,73
jeunesse,jeunesse,22
et,et,82
de,de,81
mes,mon,73
folies,folie,22
/.,/.,P
ses,son,73
conseils,conseil,21
m',je,51
avaient,avoir,18
souvent,souvent,60
arraché,arracher,12
à,à,81
ma,mon,73
mauvaise,mauvais,30
destinée,destinée,22
",",",",p
et,et,82
ils,ils,51
étaient,être,18
d',de,81
une,un,71
grande,grand,30
force,force,22
",",",",p
car,car,82
sa,son,73
vie,vie,22
avait,avoir,18
été,être,12
",",",",p
d',de,81
un,un,71
bout,bout,21
à,à,81
l',le,71
autre,autre,52
",",",",p
un,un,71
modèle,modèle,21
de,de,81
vertu,vertu,22
",",",",p
de,de,81
calme,calme,21
et,et,82
de,de,81
bonté,bonté,22
/.,/.,P
je,je,51
m',je,51
attendais,attendre,18
qu',que,83
avant,avant,81
de,de,81
mourir,mourir,14
il,il,51
avait,avoir,18
souhaité,souhaiter,12
de,de,81
me,je,51
voir,voir,14
pour,pour,81
tenter,tenter,14
une,un,71
fois,fois,22
encore,encore,60
de,de,81
me,je,51
détourner,détourner,14
de,de,81
la,le,71
voie,voie,22
où,où,60
j',je,51
étais,être,18
engagé,engager,12
;,;,p
mais,mais,82
la,le,71
mort,mort,22
était,être,18
venue,venir,12
trop,trop,60
vite,vite,60
;,;,p
il,il,51
avait,avoir,18
tout,tout,60
à,à,81
coup,coup,21
senti,sentir,12
qu',que,83
il,il,51
n',ne,60
avait,avoir,18
plus,plus,60
qu',que,83
un,un,71
mot,mot,21
à,à,81
dire,dire,14
",",",",p
et,et,82
il,il,51
avait,avoir,18
dit,dire,12
qu',que,83
il,il,51
m',je,51
aimait,aimer,18
/.,/.,P
<Chapitre II>,<>,<>
une,un,71
petite,petit,30
grille,grille,22
de,de,81
bois,bois,21
entourait,entourer,18
la,le,71
tombe,tombe,22
de,de,81
mon,mon,73
père,père,21
/.,/.,P
selon,selon,81
sa,son,73
volonté,volonté,22
expresse,exprès,30
",",",",p
manifestée,manifesté,31
depuis,depuis,81
longtemps,longtemps,60
",",",",p
il,il,51
avait,avoir,18
été,être,12
enterré,enterrer,12
dans,dans,81
le,le,71
cimetière,cimetière,21
du,de,81
du,le,71
village,village,21
/.,/.,P
tous,tout,75
les,le,71
jours,jour,21
j',je,51
y,y,52
allais,aller,18
",",",",p
et,et,82
je,je,51
passais,passer,18
une,un,71
partie,partie,22
de,de,81
la,le,71
journée,journée,22
sur,sur,81
un,un,71
petit,petit,30
banc,banc,21
placé,placé,31
dans,dans,81
l',le,71
intérieur,intérieur,21
du,de,81
du,le,71
tombeau,tombeau,21
/.,/.,P
le,le,71
reste,reste,21
du,de,81
du,le,71
temps,temps,21
",",",",p
je,je,51
vivais,vivre,18
seul,seul,30
",",",",p
dans,dans,81
la,le,71
maison,maison,22
même,même,30
où,où,60
il,il,51
était,être,18
mort,mourir,12
",",",",p
et,et,82
je,je,51
n',ne,60
avais,avoir,18
avec,avec,81
moi,moi,51
qu',que,83
un,un,71
seul,seul,30
domestique,domestique,21
/.,/.,P
quelque,quelque,75
douleur,douleur,22
que,que,52
puissent,pouvoir,17
causer,causer,14
les,le,71
passions,passion,22
",",",",p
il,il,51
ne,ne,60
faut,falloir,17
pas,pas,60
comparer,comparer,14
les,le,71
chagrins,chagrin,21
de,de,81
la,le,71
vie,vie,22
avec,avec,81
ceux,celui,52
de,de,81
la,le,71
mort,mort,22
/.,/.,P
la,le,71
première,premier,72
chose,chose,22
que,que,52
j',je,51
avais,avoir,18
sentie,sentir,12
en,en,81
m',je,51
asseyant,asseoir,13
auprès,auprès,60
du,de,81
du,le,71
lit,lit,21
de,de,81
mon,mon,73
père,père,21
",",",",p
c',ce,52
est,être,17
que,que,83
j',je,51
étais,être,18
un,un,71
enfant,enfant,21
sans,sans,81
raison,raison,22
",",",",p
qui,qui,52
ne,ne,60
savait,savoir,18
rien,rien,52
et,et,82
ne,ne,60
connaissait,connaître,18
rien,rien,52
;,;,p
je,je,51
puis,pouvoir,17
dire,dire,14
même,même,60
que,que,83
mon,mon,73
coeur,coeur,21
ressentit,ressentir,19
de,de,81
sa,son,73
mort,mort,22
une,un,71
douleur,douleur,22
physique,physique,30
",",",",p
et,et,82
je,je,51
me,je,51
courbais,courber,18
quelquefois,quelquefois,60
en,en,81
tordant,tordre,13
mes,mon,73
mains,main,22
comme,comme,83
un,un,71
apprenti,apprenti,21
qui,qui,52
s',se,51
éveille,éveiller,17
/.,/.,P
pendant,pendant,81
les,le,71
premiers,premier,72
mois,mois,21
que,que,52
je,je,51
demeurai,demeurer,19
à,à,81
cette,ce,74
campagne,campagne,22
",",",",p
il,il,51
ne,ne,60
me,je,51
vint,venir,19
à,à,81
l',le,71
esprit,esprit,21
de,de,81
songer,songer,14
ni,ni,82
au,à,81
au,le,71
passé,passé,21
ni,ni,82
à,à,81
l',le,71
avenir,avenir,21
/.,/.,P
il,il,51
ne,ne,60
me,je,51
semblait,sembler,18
pas,pas,60
que,que,83
ce,ce,52
fût,être,19
moi,moi,51
qui,qui,52
eusse,avoir,18
vécu,vivre,12
jusqu',jusque,81
alors,alors,60
;,;,p
ce,ce,52
que,que,52
j',je,51
éprouvais,éprouver,18
n',ne,60
était,être,18
pas,pas,60
du,de,81
du,le,71
désespoir,désespoir,21
et,et,82
ne,ne,60
ressemblait,ressembler,18
en,en,81
rien,rien,52
à,à,81
ces,ce,74
douleurs,douleur,22
furieuses,furieux,30
que,que,52
j',je,51
avais,avoir,18
senties,sentir,12
/.,/.,P
ce,ce,52
n',ne,60
était,être,18
que,que,83
de,de,81
la,le,71
langueur,langueur,22
dans,dans,81
toutes,tout,75
mes,mon,73
actions,action,22
",",",",p
comme,comme,83
une,un,71
fatigue,fatigue,22
et,et,82
une,un,71
indifférence,indifférence,22
de,de,81
tout,tout,52
",",",",p
mais,mais,82
avec,avec,81
une,un,71
amertume,amertume,22
poignante,poignant,30
qui,qui,52
me,je,51
rongeait,ronger,18
intérieurement,intérieurement,60
/.,/.,P
je,je,51
tenais,tenir,18
toute,tout,75
la,le,71
journée,journée,22
un,un,71
livre,livre,21
à,à,81
la,le,71
main,main,22
;,;,p
mais,mais,82
je,je,51
ne,ne,60
lisais,lire,18
guère,guère,60
",",",",p
ou,ou,82
",",",",p
pour,pour,81
mieux,mieux,60
dire,dire,14
",",",",p
pas,pas,60
du,de,81
du,le,71
tout,tout,21
",",",",p
et,et,82
je,je,51
ne,ne,60
sais,savoir,17
à,à,81
quoi,quoi,52
je,je,51
rêvais,rêver,18
/.,/.,P
je,je,51
n',ne,60
avais,avoir,18
point,point,60
de,de,81
pensées,pensée,22
;,;,p
tout,tout,52
en,en,81
moi,moi,51
était,être,18
silence,silence,21
;,;,p
j',je,51
avais,avoir,18
reçu,recevoir,12
un,un,71
coup,coup,21
si,si,60
violent,violent,30
",",",",p
et,et,82
en,en,81
même,même,75
temps,temps,21
si,si,60
prolongé,prolongé,31
",",",",p
que,que,83
j',je,51
en,en,52
étais,être,18
resté,rester,12
comme,comme,83
un,un,71
être,être,21
purement,purement,60
passif,passif,30
",",",",p
et,et,82
rien,rien,52
en,en,81
moi,moi,51
ne,ne,60
réagissait,réagir,18
/.,/.,P
mon,mon,73
domestique,domestique,21
",",",",p
qui,qui,52
s',se,51
appelait,appeler,18
Larive,Larive,20
",",",",p
avait,avoir,18
été,être,12
très,très,60
attaché,attacher,12
à,à,81
mon,mon,73
père,père,21
;,;,p
c',ce,52
était,être,18
peut-être,peut-être,60
",",",",p
après,après,81
mon,mon,73
père,père,21
lui-même,lui-même,51
",",",",p
le,le,71
meilleur,meilleur,30
homme,homme,21
que,que,52
j',je,51
aie,avoir,17
jamais,jamais,60
connu,connaître,12
/.,/.,P
il,il,51
était,être,18
de,de,81
la,le,71
même,même,75
taille,taille,22
et,et,82
portait,porter,18
ses,son,73
habits,habit,21
",",",",p
que,que,52
mon,mon,73
père,père,21
lui,lui,51
donnait,donner,18
",",",",p
n',ne,60
ayant,avoir,13
point,point,60
de,de,81
livrée,livrée,22
/.,/.,P
il,il,51
avait,avoir,18
à,à,81
peu,peu,60
près,près,81
le,le,71
même,même,75
âge,âge,21
",",",",p
c'est-à-dire,c'est-à-dire,91
que,que,83
ses,son,73
cheveux,cheveu,21
grisonnaient,grisonner,18
",",",",p
et,et,82
depuis,depuis,81
vingt,vingt,72
ans,an,21
qu',que,83
il,il,51
n',ne,60
avait,avoir,18
pas,pas,60
quitté,quitter,12
mon,mon,73
père,père,21
",",",",p
il,il,51
en,en,52
avait,avoir,18
pris,prendre,12
quelque,quelque,75
chose,chose,22
de,de,81
ses,son,73
manières,manière,22
/.,/.,P
tandis que,tandis que,83
je,je,51
me,je,51
promenais,promener,18
dans,dans,81
la,le,71
chambre,chambre,22
",",",",p
après,après,81
dîner,dîner,21
",",",",p
allant,aller,13
et,et,82
venant,venir,13
de,de,81
long,long,21
en,en,81
large,large,21
",",",",p
je,je,51
l',le,52
entendais,entendre,18
qui,qui,52
en,en,52
faisait,faire,18
autant,autant,60
que,que,83
moi,moi,51
dans,dans,81
l',le,71
antichambre,antichambre,22
;,;,p
quoique,quoique,83
la,le,71
porte,porte,22
fût,être,19
ouverte,ouvrir,12
",",",",p
il,il,51
n',ne,60
entrait,entrer,18
jamais,jamais,60
",",",",p
et,et,82
nous,nous,51
ne,ne,60
nous,nous,51
disions,dire,18
pas,pas,60
un,un,71
mot,mot,21
;,;,p
mais,mais,82
de,de,81
temps,temps,21
en,en,81
temps,temps,21
nous,nous,51
nous,nous,51
regardions,regarder,18
pleurer,pleurer,14
/.,/.,P
les,le,71
soirées,soirée,22
se,se,51
passaient,passer,18
ainsi,ainsi,60
",",",",p
et,et,82
le,le,71
soleil,soleil,21
était,être,18
couché,coucher,12
depuis,depuis,81
longtemps,longtemps,60
lorsque,lorsque,83
je,je,51
pensais,penser,18
à,à,81
demander,demander,14
de,de,81
la,le,71
lumière,lumière,22
",",",",p
ou,ou,82
lui,lui,51
à,à,81
m',je,51
en,en,52
apporter,apporter,14
/.,/.,P
tout,tout,52
était,être,18
resté,rester,12
dans,dans,81
la,le,71
maison,maison,22
dans,dans,81
le,le,71
même,même,75
ordre,ordre,21
qu',que,83
auparavant,auparavant,60
",",",",p
et,et,82
nous,nous,51
n',ne,60
y,y,52
avions,avoir,18
pas,pas,60
dérangé,déranger,12
un,un,71
morceau,morceau,21
de,de,81
papier,papier,21
/.,/.,P
le,le,71
grand,grand,30
fauteuil,fauteuil,21
de,de,81
cuir,cuir,21
dans,dans,81
lequel,lequel,52
s',se,51
asseyait,asseoir,18
mon,mon,73
père,père,21
était,être,18
auprès,auprès,60
de,de,81
la,le,71
cheminée,cheminée,22
;,;,p
sa,son,73
table,table,22
",",",",p
ses,son,73
livres,livre,21
",",",",p
placés,placé,31
de,de,81
même,même,60
;,;,p
je,je,51
respectais,respecter,18
jusqu',jusque,81
à,à,81
la,le,71
poussière,poussière,22
de,de,81
ses,son,73
rayons,rayon,21
",",",",p
qu',que,52
il,il,51
n',ne,60
aimait,aimer,18
pas,pas,60
qu',que,83
on,on,51
lui,lui,51
dérangeât,déranger,18
pour,pour,81
les,le,52
nettoyer,nettoyer,14
/.,/.,P
cette,ce,74
maison,maison,22
solitaire,solitaire,30
",",",",p
habituée,habitué,31
au,à,81
au,le,71
silence,silence,21
et,et,82
à,à,81
la,le,71
vie,vie,22
la,le,71
plus,plus,60
tranquille,tranquille,30
",",",",p
ne,ne,60
s',se,51
était,être,18
aperçue,apercevoir,12
de,de,81
rien,rien,52
;,;,p
il,il,51
me,je,51
semblait,sembler,18
seulement,seulement,60
que,que,83
les,le,71
murailles,muraille,22
me,je,51
regardaient,regarder,18
quelquefois,quelquefois,60
avec,avec,81
pitié,pitié,22
",",",",p
quand,quand,83
je,je,51
m',je,51
enveloppais,envelopper,18
de,de,81
la,le,71
robe,robe,22
de,de,81
chambre,chambre,22
de,de,81
mon,mon,73
père,père,21
et,et,82
que,que,83
je,je,51
m',je,51
asseyais,asseoir,18
dans,dans,81
son,son,73
fauteuil,fauteuil,21
/.,/.,P
une,un,71
voix,voix,22
faible,faible,30
s',se,51
élevait,élever,18
alors,alors,60
des,de,81
des,le,71
rayons,rayon,21
poudreux,poudreux,30
comme,comme,83
pour,pour,81
dire,dire,14
:,:,p
où,où,60
est,être,17
allé,aller,12
le,le,71
père,père,21
/?,/?,P
nous,nous,51
voyons,voir,17
bien,bien,60
que,que,83
c',ce,52
est,être,17
l',le,71
orphelin,orphelin,21
/.,/.,P
je,je,51
reçus,recevoir,19
de,de,81
Paris,Paris,20
plusieurs,plusieurs,75
lettres,lettre,22
",",",",p
et,et,82
je,je,51
fis,faire,19
à,à,81
toutes,tout,52
la,le,71
réponse,réponse,22
que,que,83
je,je,51
voulais,vouloir,18
passer,passer,14
l',le,71
été,été,21
seul,seul,30
à,à,81
la,le,71
campagne,campagne,22
",",",",p
comme,comme,83
mon,mon,73
père,père,21
avait,avoir,18
coutume,coutume,22
de,de,81
faire,faire,14
/.,/.,P
je,je,51
commençais,commencer,18
à,à,81
sentir,sentir,14
cette,ce,74
vérité,vérité,22
",",",",p
que,que,83
dans,dans,81
tous,tout,75
les,le,71
maux,mal,21
il,il,51
y,y,52
a,avoir,17
toujours,toujours,60
quelque,quelque,75
bien,bien,21
",",",",p
et,et,82
qu',que,83
une,un,71
grande,grand,30
douleur,douleur,22
",",",",p
quoi,quoi,52
qu',que,52
on,on,51
en,en,52
dise,dire,17
",",",",p
est,être,17
un,un,71
grand,grand,30
repos,repos,21
/.,/.,P
quelle,quel,52
que,que,52
soit,être,17
la,le,71
nouvelle,nouvelle,22
qu',que,52
ils,ils,51
apportent,apporter,17
",",",",p
lorsque,lorsque,83
les,le,71
envoyés,envoyé,21
de,de,81
dieu,dieu,21
nous,nous,51
frappent,frapper,17
sur,sur,81
l',le,71
épaule,épaule,22
",",",",p
ils,ils,51
font,faire,17
toujours,toujours,60
cette,ce,74
bonne,bon,30
oeuvre,oeuvre,22
de,de,81
nous,nous,51
réveiller,réveiller,14
de,de,81
la,le,71
vie,vie,22
",",",",p
et,et,82
là,là,60
où,où,60
ils,ils,51
parlent,parler,17
tout,tout,52
se,se,51
tait,taire,17
/.,/.,P
les,le,71
douleurs,douleur,22
passagères,passager,30
blasphèment,blasphémer,17
et,et,82
accusent,accuser,17
le,le,71
ciel,ciel,21
;,;,p
les,le,71
grandes,grand,30
douleurs,douleur,22
n',ne,60
accusent,accuser,17
ni,ni,82
ne,ne,60
blasphèment,blasphémer,17
:,:,p
elles,ils,51
écoutent,écouter,17
/.,/.,P
le,le,71
matin,matin,21
",",",",p
je,je,51
passais,passer,18
des,de,81
des,le,71
heures,heure,22
entières,entier,30
en,en,81
contemplation,contemplation,22
devant,devant,81
la,le,71
nature,nature,22
/.,/.,P
mes,mon,73
croisées,croisée,22
donnaient,donner,18
sur,sur,81
une,un,71
vallée,vallée,22
profonde,profond,30
",",",",p
et,et,82
au,à,81
au,le,71
milieu,milieu,21
s',se,51
élevait,élever,18
le,le,71
clocher,clocher,21
du,de,81
du,le,71
village,village,21
;,;,p
tout,tout,52
était,être,18
pauvre,pauvre,30
et,et,82
tranquille,tranquille,30
/.,/.,P
l',le,71
aspect,aspect,21
du,de,81
du,le,71
printemps,printemps,21
",",",",p
des,de,81
des,le,71
fleurs,fleur,22
et,et,82
des,de,81
des,le,71
feuilles,feuille,22
naissantes,naissant,30
ne,ne,60
produisait,produire,18
pas,pas,60
sur,sur,81
moi,moi,51
cet,ce,74
effet,effet,21
sinistre,sinistre,30
dont,dont,52
parlent,parler,17
les,le,71
poètes,poète,21
",",",",p
qui,qui,52
trouvent,trouver,17
dans,dans,81
les,le,71
contrastes,contraste,21
de,de,81
la,le,71
vie,vie,22
une,un,71
raillerie,raillerie,22
de,de,81
la,le,71
mort,mort,22
/.,/.,P
je,je,51
crois,croire,17
que,que,83
cette,ce,74
idée,idée,22
frivole,frivole,30
",",",",p
si,si,83
elle,il,51
n',ne,60
est,être,17
pas,pas,60
une,un,71
simple,simple,30
antithèse,antithèse,22
faite,fait,31
à,à,81
plaisir,plaisir,21
",",",",p
n',ne,60
appartient,appartenir,17
encore,encore,60
en,en,81
réalité,réalité,22
qu',que,83
aux,à,81
aux,le,71
coeurs,coeur,21
qui,qui,52
sentent,sentir,17
à,à,81
demi,demi,30
/.,/.,P
le,le,71
joueur,joueur,21
qui,qui,52
sort,sortir,17
au,à,81
au,le,71
point,point,21
du,de,81
du,le,71
jour,jour,21
",",",",p
les,le,71
yeux,oeil,21
ardents,ardent,30
et,et,82
les,le,71
mains,main,22
vides,vide,30
",",",",p
peut,pouvoir,17
se,se,51
sentir,sentir,14
en,en,81
guerre,guerre,22
avec,avec,81
la,le,71
nature,nature,22
",",",",p
comme,comme,83
le,le,71
flambeau,flambeau,21
d',de,81
une,un,71
veillée,veillée,22
hideuse,hideux,30
;,;,p
mais,mais,82
que,que,52
peuvent,pouvoir,17
dire,dire,14
les,le,71
feuilles,feuille,22
qui,qui,52
poussent,pousser,17
à,à,81
l',le,71
enfant,enfant,21
qui,qui,52
pleure,pleurer,17
son,son,73
père,père,21
/?,/?,P
les,le,71
larmes,larme,22
de,de,81
ses,son,73
yeux,oeil,21
sont,être,17
soeurs,soeur,22
de,de,81
la,le,71
rosée,rosée,22
;,;,p
les,le,71
feuilles,feuille,22
des,de,81
des,le,71
saules,saule,21
sont,être,17
elles-mêmes,eux-mêmes,51
des,de,81
des,le,71
larmes,larme,22
/.,/.,P
c',ce,52
est,être,17
en,en,81
regardant,regarder,13
le,le,71
ciel,ciel,21
",",",",p
les,le,71
bois,bois,21
et,et,82
les,le,71
prairies,prairie,22
que,que,83
je,je,51
compris,comprendre,19
ce,ce,52
que,que,52
c',ce,52
est,être,17
que,que,83
les,le,71
hommes,homme,21
qui,qui,52
s',se,51
imaginent,imaginer,17
de,de,81
se,se,51
consoler,consoler,14
/.,/.,P
Larive,Larive,20
n',ne,60
avait,avoir,18
pas,pas,60
plus,plus,60
d',de,81
envie,envie,22
de,de,81
me,je,51
consoler,consoler,14
que,que,83
de,de,81
se,se,51
consoler,consoler,14
lui-même,lui-même,51
/.,/.,P
au,à,81
au,le,71
moment,moment,21
de,de,81
la,le,71
mort,mort,22
de,de,81
mon,mon,73
père,père,21
",",",",p
il,il,51
avait,avoir,18
eu,avoir,12
peur,peur,22
que,que,83
je,je,51
ne,ne,60
vendisse,vendre,18
la,le,71
maison,maison,22
et,et,82
que,que,83
je,je,51
ne,ne,60
l',le,52
emmenasse,emmener,18
à,à,81
Paris,Paris,20
/.,/.,P
je,je,51
ne,ne,60
sais,savoir,17
s',si,83
il,il,51
était,être,18
au,à,81
au,le,71
fait,fait,21
de,de,81
ma,mon,73
vie,vie,22
passée,passé,31
",",",",p
mais,mais,82
il,il,51
m',je,51
avait,avoir,18
témoigné,témoigner,12
d'abord,d'abord,60
de,de,81
l',le,71
inquiétude,inquiétude,22
",",",",p
et,et,82
quand,quand,83
il,il,51
me,je,51
vit,voir,19
m',je,51
installer,installer,14
",",",",p
son,son,73
premier,premier,72
regard,regard,21
m',je,51
alla,aller,19
jusqu',jusque,81
au,à,81
au,le,71
coeur,coeur,21
/.,/.,P
c',ce,52
était,être,18
un,un,71
jour,jour,21
que,que,52
j',je,51
avais,avoir,18
fait,faire,12
apporter,apporter,14
de,de,81
Paris,Paris,20
un,un,71
grand,grand,30
portrait,portrait,21
de,de,81
mon,mon,73
père,père,21
;,;,p
je,je,51
l',le,52
avais,avoir,18
fait,faire,12
mettre,mettre,14
dans,dans,81
la,le,71
salle,salle,22
à,à,81
manger,manger,14
/.,/.,P
lorsque,lorsque,83
Larive,Larive,20
entra,entrer,19
pour,pour,81
servir,servir,14
",",",",p
il,il,51
le,le,52
vit,voir,19
;,;,p
il,il,51
demeura,demeurer,19
irrésolu,irrésolu,30
",",",",p
regardant,regarder,13
