11073
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Quarante-deuxième extrait>,<>,<>
conquis,conquérir,12
par,par,81
mon,mon,73
propre,propre,30
choix,choix,21
/.,/.,P
ce,ce,52
n',ne,60
était,être,18
pas,pas,60
de,de,81
l',le,71
amour,amour,21
",",",",p
je,je,51
n',ne,60
en,en,52
avais,avoir,18
ni,ni,82
l',le,71
agitation,agitation,22
",",",",p
ni,ni,82
la,le,71
jalousie,jalousie,22
",",",",p
ni,ni,82
la,le,71
préoccupation,préoccupation,22
passionnée,passionné,31
;,;,p
c',ce,52
était,être,18
un,un,71
repos,repos,21
délicieux,délicieux,30
du,de,81
du,le,71
coeur,coeur,21
au,à,81
au,le,71
lieu,lieu,21
d',de,81
être,être,14
une,un,71
fièvre,fièvre,22
douce,doux,30
de,de,81
l',le,71
âme,âme,22
et,et,82
des,de,81
des,le,71
sens,sens,21
/.,/.,P
je,je,51
ne,ne,60
pensais,penser,18
ni,ni,82
à,à,81
aimer,aimer,14
autrement,autrement,60
ni,ni,82
à,à,81
être,être,14
aimé,aimer,12
davantage,davantage,60
/.,/.,P
je,je,51
ne,ne,60
savais,savoir,18
pas,pas,60
si,si,83
elle,il,51
était,être,18
un,un,71
camarade,camarade,21
",",",",p
un,un,71
ami,ami,21
",",",",p
une,un,71
soeur,soeur,22
ou,ou,82
autre,autre,75
chose,chose,22
pour,pour,81
moi,moi,51
;,;,p
je,je,51
savais,savoir,18
seulement,seulement,60
que,que,83
j',je,51
étais,être,18
heureux,heureux,30
avec,avec,81
elle,il,51
et,et,82
elle,il,51
heureuse,heureux,30
avec,avec,81
moi,moi,51
/.,/.,P
je,je,51
ne,ne,60
désirais,désirer,18
rien,rien,52
de,de,81
plus,plus,60
",",",",p
rien,rien,52
autrement,autrement,60
/.,/.,P
je,je,51
n',ne,60
étais,être,18
pas,pas,60
à,à,81
cet,ce,74
âge,âge,21
où,où,60
l',l',94
on,on,51
s',se,51
analyse,analyser,17
à,à,81
soi-même,soi-même,51
ce,ce,52
qu',que,52
on,on,51
éprouve,éprouver,17
",",",",p
pour,pour,81
se,se,51
donner,donner,14
une,un,71
vaine,vain,30
définition,définition,22
de,de,81
son,son,73
bonheur,bonheur,21
/.,/.,P
il,il,51
me,je,51
suffisait,suffire,18
d',de,81
être,être,14
calme,calme,30
",",",",p
attaché,attaché,31
et,et,82
heureux,heureux,30
",",",",p
sans,sans,81
savoir,savoir,14
de,de,81
quoi,quoi,52
ni,ni,82
pourquoi,pourquoi,60
/.,/.,P
la,le,71
vie,vie,22
en,en,81
commun,commun,21
",",",",p
la,le,71
pensée,pensée,22
à,à,81
deux,deux,72
",",",",p
resserraient,resserrer,18
chaque,chaque,75
jour,jour,21
l',le,71
innocente,innocent,30
et,et,82
douce,doux,30
familiarité,familiarité,22
entre,entre,81
nous,nous,51
",",",",p
elle,il,51
aussi,aussi,60
pure,pur,30
dans,dans,81
son,son,73
abandon,abandon,21
que,que,52
j',je,51
étais,être,18
calme,calme,30
dans,dans,81
mon,mon,73
insouciance,insouciance,22
/.,/.,P
<II>,<>,<>
depuis,depuis,81
trois,trois,72
mois,mois,21
que,que,83
j',je,51
étais,être,18
de,de,81
la,le,71
famille,famille,22
",",",",p
que,que,83
j',je,51
habitais,habiter,18
le,le,71
même,même,75
toit,toit,21
",",",",p
que,que,83
je,je,51
faisais,faire,18
",",",",p
pour,pour,81
ainsi,ainsi,60
dire,dire,14
",",",",p
partie,partie,22
de,de,81
sa,son,73
pensée,pensée,22
",",",",p
Graziella,Graziella,20
s',se,51
était,être,18
si,si,60
bien,bien,60
habituée,habituer,12
à,à,81
me,je,51
regarder,regarder,14
comme,comme,83
inséparable,inséparable,30
de,de,81
son,son,73
coeur,coeur,21
",",",",p
qu',que,83
elle,il,51
ne,ne,60
s',se,51
apercevait,apercevoir,18
peut-être,peut-être,60
pas,pas,60
elle-même,lui-même,51
de,de,81
toute,tout,75
la,le,71
place,place,22
que,que,52
j',je,51
y,y,52
tenais,tenir,18
/.,/.,P
elle,il,51
n',ne,60
avait,avoir,18
avec,avec,81
moi,moi,51
aucune,aucun,52
de,de,81
ces,ce,74
craintes,crainte,22
",",",",p
de,de,81
ces,ce,74
réserves,réserve,22
",",",",p
de,de,81
ces,ce,74
pudeurs,pudeur,22
",",",",p
qui,qui,52
s',se,51
interposent,interposer,17
dans,dans,81
les,le,71
relations,relation,22
d',de,81
une,un,71
jeune,jeune,30
fille,fille,22
et,et,82
d',de,81
un,un,71
jeune,jeune,30
homme,homme,21
et,et,82
qui,qui,52
souvent,souvent,60
font,faire,17
naître,naître,14
l',le,71
amour,amour,21
des,de,81
des,le,71
précautions,précaution,22
mêmes,même,30
que,que,52
l',l',94
on,on,51
prend,prendre,17
pour,pour,81
s',se,51
en,en,52
préserver,préserver,14
/.,/.,P
elle,il,51
ne,ne,60
se,se,51
doutait,douter,18
pas,pas,60
et,et,82
je,je,51
me,je,51
doutais,douter,18
à,à,81
peine,peine,22
moi-même,moi-même,51
que,que,83
ses,son,73
pures,pur,30
grâces,grâce,22
d',de,81
enfant,enfant,21
",",",",p
écloses,éclos,31
maintenant,maintenant,60
à,à,81
quelques,quelque,75
soleils,soleil,21
de,de,81
plus,plus,60
",",",",p
dans,dans,81
tout,tout,75
l',le,71
éclat,éclat,21
d',de,81
une,un,71
maturité,maturité,22
précoce,précoce,30
",",",",p
faisaient,faire,18
de,de,81
sa,son,73
beauté,beauté,22
naïve,naïf,30
une,un,71
puissance,puissance,22
pour,pour,81
elle,il,51
",",",",p
une,un,71
admiration,admiration,22
pour,pour,81
tous,tout,52
et,et,82
un,un,71
danger,danger,21
pour,pour,81
moi,moi,51
/.,/.,P
elle,il,51
ne,ne,60
prenait,prendre,18
aucun,aucun,75
souci,souci,21
de,de,81
la,le,52
cacher,cacher,14
ou,ou,82
de,de,81
la,le,52
parer,parer,14
à,à,81
mes,mon,73
yeux,oeil,21
/.,/.,P
elle,il,51
n',ne,60
y,y,52
pensait,penser,18
pas,pas,60
plus,plus,60
qu',que,83
une,un,71
soeur,soeur,22
ne,ne,60
pense,penser,17
si,si,83
elle,il,51
est,être,17
belle,beau,30
ou,ou,82
laide,laid,30
aux,à,81
aux,le,71
yeux,oeil,21
de,de,81
son,son,73
frère,frère,21
/.,/.,P
elle,il,51
ne,ne,60
mettait,mettre,18
pas,pas,60
une,un,71
fleur,fleur,22
de,de,81
plus,plus,60
ou,ou,82
de,de,81
moins,moins,60
pour,pour,81
moi,moi,51
dans,dans,81
ses,son,73
cheveux,cheveu,21
/.,/.,P
elle,il,51
n',ne,60
en,en,52
chaussait,chausser,18
pas,pas,60
plus,plus,60
souvent,souvent,60
ses,son,73
pieds,pied,21
nus,nu,30
quand,quand,83
elle,il,51
habillait,habiller,18
le,le,71
matin,matin,21
ses,son,73
petits,petit,30
frères,frère,21
sur,sur,81
la,le,71
terrasse,terrasse,22
au,à,81
au,le,71
soleil,soleil,21
",",",",p
ou,ou,82
qu',que,52
elle,il,51
aidait,aider,18
sa,son,73
grand-mère,grand-mère,22
à,à,81
balayer,balayer,14
les,le,71
feuilles,feuille,22
sèches,sec,30
tombées,tombé,31
la,le,71
nuit,nuit,22
sur,sur,81
le,le,71
toit,toit,21
/.,/.,P
elle,il,51
entrait,entrer,18
à,à,81
toute,tout,75
heure,heure,22
dans,dans,81
ma,mon,73
chambre,chambre,22
",",",",p
toujours,toujours,60
ouverte,ouvert,31
",",",",p
et,et,82
s',se,51
asseyait,asseoir,18
aussi,aussi,60
innocemment,innocemment,60
que,que,83
Beppino,Beppino,20
sur,sur,81
la,le,71
chaise,chaise,22
au,à,81
au,le,71
pied,pied,21
de,de,81
mon,mon,73
lit,lit,21
/.,/.,P
je,je,51
passais,passer,18
moi-même,moi-même,51
",",",",p
les,le,71
jours,jour,21
de,de,81
pluie,pluie,22
",",",",p
des,de,81
des,le,71
heures,heure,22
entières,entier,30
seul,seul,30
avec,avec,81
elle,il,51
dans,dans,81
la,le,71
chambre,chambre,22
à,à,81
côté,côté,21
",",",",p
où,où,60
elle,il,51
dormait,dormir,18
avec,avec,81
les,le,71
petits,petit,30
enfants,enfant,21
",",",",p
et,et,82
où,où,60
elle,il,51
travaillait,travailler,18
le,le,71
corail,corail,21
/.,/.,P
je,je,51
l',le,52
aidais,aider,18
",",",",p
en,en,81
causant,causer,13
et,et,82
en,en,81
jouant,jouer,13
",",",",p
à,à,81
son,son,73
métier,métier,21
qu',que,52
elle,il,51
m',je,51
apprenait,apprendre,18
/.,/.,P
moins,moins,60
adroit,adroit,30
mais,mais,82
plus,plus,60
fort,fort,30
qu',que,83
elle,il,51
",",",",p
je,je,51
réussissais,réussir,18
mieux,mieux,60
à,à,81
dégrossir,dégrossir,14
les,le,71
morceaux,morceau,21
/.,/.,P
nous,nous,51
faisions,faire,18
ainsi,ainsi,60
double,double,30
ouvrage,ouvrage,21
",",",",p
et,et,82
dans,dans,81
un,un,71
jour,jour,21
elle,il,51
en,en,52
gagnait,gagner,18
deux,deux,72
/.,/.,P
le,le,71
soir,soir,21
",",",",p
au,à,81
au,le,71
contraire,contraire,21
",",",",p
quand,quand,83
les,le,71
enfants,enfant,21
et,et,82
la,le,71
famille,famille,22
étaient,être,18
couchés,coucher,12
",",",",p
c',ce,52
était,être,18
elle,il,51
qui,qui,52
devenait,devenir,18
l',le,71
écolière,écolière,22
et,et,82
moi,moi,51
le,le,71
maître,maître,21
/.,/.,P
je,je,51
lui,lui,51
apprenais,apprendre,18
à,à,81
lire,lire,14
et,et,82
à,à,81
écrire,écrire,14
en,en,81
lui,lui,51
faisant,faire,13
épeler,épeler,14
les,le,71
lettres,lettre,22
sur,sur,81
mes,mon,73
livres,livre,21
et,et,82
en,en,81
lui,lui,51
tenant,tenir,13
la,le,71
main,main,22
pour,pour,81
lui,lui,51
enseigner,enseigner,14
à,à,81
les,le,52
tracer,tracer,14
/.,/.,P
son,son,73
cousin,cousin,21
ne,ne,60
pouvant,pouvoir,13
pas,pas,60
venir,venir,14
tous,tout,75
les,le,71
jours,jour,21
",",",",p
c',ce,52
était,être,18
moi,moi,51
qui,qui,52
le,le,52
remplaçais,remplacer,18
/.,/.,P
soit,soit,82
que,que,83
ce,ce,74
jeune,jeune,30
homme,homme,21
",",",",p
contrefait,contrefait,31
et,et,82
boiteux,boiteux,30
",",",",p
n',ne,60
inspirât,inspirer,18
pas,pas,60
à,à,81
sa,son,73
cousine,cousine,22
assez,assez,60
d',de,81
attrait,attrait,21
et,et,82
de,de,81
respect,respect,21
",",",",p
malgré,malgré,81
sa,son,73
douceur,douceur,22
",",",",p
sa,son,73
patience,patience,22
et,et,82
la,le,71
gravité,gravité,22
de,de,81
ses,son,73
manières,manière,22
;,;,p
soit,soit,82
qu',que,83
elle,il,51
eût,avoir,19
elle-même,lui-même,51
trop,trop,60
de,de,81
distractions,distraction,22
pendant,pendant,81
ses,son,73
leçons,leçon,22
",",",",p
elle,il,51
faisait,faire,18
beaucoup,beaucoup,60
moins,moins,60
de,de,81
progrès,progrès,21
avec,avec,81
lui,lui,51
qu',que,83
avec,avec,81
moi,moi,51
/.,/.,P
la,le,71
moitié,moitié,22
de,de,81
la,le,71
soirée,soirée,22
d',de,81
étude,étude,22
se,se,51
passait,passer,18
à,à,81
badiner,badiner,14
",",",",p
à,à,81
rire,rire,14
",",",",p
à,à,81
contrefaire,contrefaire,14
le,le,71
pédagogue,pédagogue,21
/.,/.,P
le,le,71
pauvre,pauvre,30
jeune,jeune,30
homme,homme,21
était,être,18
trop,trop,60
épris,éprendre,12
de,de,81
son,son,73
élève,élève,21
et,et,82
trop,trop,60
timide,timide,30
devant,devant,81
elle,il,51
pour,pour,81
la,le,52
gronder,gronder,14
/.,/.,P
il,il,51
faisait,faire,18
tout,tout,52
ce,ce,52
qu',que,52
elle,il,51
voulait,vouloir,18
pour,pour,81
que,que,83
les,le,71
beaux,beau,30
sourcils,sourcil,21
de,de,81
la,le,71
jeune,jeune,30
fille,fille,22
ne,ne,60
prissent,prendre,18
pas,pas,60
un,un,71
pli,pli,21
d',de,81
humeur,humeur,22
",",",",p
et,et,82
pour,pour,81
que,que,83
ses,son,73
lèvres,lèvre,22
ne,ne,60
lui,lui,51
fissent,faire,18
pas,pas,60
leur,leur,73
petite,petit,30
moue,moue,22
/.,/.,P
souvent,souvent,60
l',le,71
heure,heure,22
consacrée,consacré,31
à,à,81
lire,lire,14
se,se,51
passait,passer,18
pour,pour,81
lui,lui,51
à,à,81
éplucher,éplucher,14
des,de,81
des,le,71
grains,grain,21
de,de,81
corail,corail,21
",",",",p
à,à,81
dévider,dévider,14
des,de,81
des,le,71
écheveaux,écheveau,21
de,de,81
laine,laine,22
sur,sur,81
le,le,71
bois,bois,21
de,de,81
la,le,71
quenouille,quenouille,22
de,de,81
la,le,71
grand-mère,grand-mère,22
",",",",p
ou,ou,82
à,à,81
raccommoder,raccommoder,14
des,de,81
des,le,71
mailles,maille,22
au,à,81
au,le,71
filet,filet,21
de,de,81
Beppo,Beppo,20
/.,/.,P
tout,tout,52
lui,lui,51
était,être,18
bon,bon,30
",",",",p
pourvu,pourvu,81
qu',que,83
au,à,81
au,le,71
départ,départ,21
Graziella,Graziella,20
lui,lui,51
sourît,sourire,18
avec,avec,81
complaisance,complaisance,22
et,et,82
lui,lui,51
dît,dire,18
addio,addio,92
d',de,81
un,un,71
son,son,21
de,de,81
voix,voix,22
qui,qui,52
voulût,vouloir,18
dire,dire,14
:,:,p
à,à,81
revoir,revoir,14
/!,/!,P
<III>,<>,<>
quand,quand,83
c',ce,52
était,être,18
avec,avec,81
moi,moi,51
",",",",p
au,à,81
au,le,71
contraire,contraire,21
",",",",p
la,le,71
leçon,leçon,22
était,être,18
sérieuse,sérieux,30
/.,/.,P
elle,il,51
se,se,51
prolongeait,prolonger,18
souvent,souvent,60
jusqu',jusque,81
à,à,81
ce,ce,52
que,que,52
nos,notre,73
yeux,oeil,21
fussent,être,18
lourds,lourd,30
de,de,81
sommeil,sommeil,21
/.,/.,P
on,on,51
voyait,voir,18
",",",",p
à,à,81
sa,son,73
tête,tête,22
penchée,penché,31
",",",",p
à,à,81
son,son,73
cou,cou,21
tendu,tendu,31
",",",",p
à,à,81
l',le,71
immobilité,immobilité,22
attentive,attentif,30
de,de,81
son,son,73
attitude,attitude,22
et,et,82
de,de,81
sa,son,73
physionomie,physionomie,22
",",",",p
que,que,83
la,le,71
pauvre,pauvre,30
enfant,enfant,21
faisait,faire,18
tous,tout,75
ses,son,73
efforts,effort,21
pour,pour,81
réussir,réussir,14
/.,/.,P
elle,il,51
appuyait,appuyer,18
son,son,73
coude,coude,21
sur,sur,81
mon,mon,73
épaule,épaule,22
pour,pour,81
lire,lire,14
dans,dans,81
le,le,71
livre,livre,21
où,où,60
mon,mon,73
doigt,doigt,21
traçait,tracer,18
la,le,71
ligne,ligne,22
et,et,82
lui,lui,51
indiquait,indiquer,18
le,le,71
mot,mot,21
à,à,81
prononcer,prononcer,14
quand,quand,83
elle,il,51
écrivait,écrire,18
",",",",p
je,je,51
tenais,tenir,18
ses,son,73
doigts,doigt,21
dans,dans,81
ma,mon,73
main,main,22
pour,pour,81
guider,guider,14
à,à,81
demi,demi,30
sa,son,73
plume,plume,22
/.,/.,P
si,si,83
elle,il,51
faisait,faire,18
une,un,71
faute,faute,22
",",",",p
je,je,51
la,le,52
grondais,gronder,18
d',de,81
un,un,71
air,air,21
sévère,sévère,30
et,et,82
fâché,fâché,31
;,;,p
elle,il,51
ne,ne,60
répondait,répondre,18
pas,pas,60
et,et,82
ne,ne,60
s',se,51
impatientait,impatienter,18
que,que,83
contre,contre,81
elle-même,lui-même,51
/.,/.,P
je,je,51
la,le,52
voyais,voir,18
quelquefois,quelquefois,60
prête,prêt,30
à,à,81
pleurer,pleurer,14
;,;,p
j',je,51
adoucissais,adoucir,18
alors,alors,60
la,le,71
voix,voix,22
et,et,82
je,je,51
l',le,52
encourageais,encourager,18
à,à,81
recommencer,recommencer,14
/.,/.,P
si,si,83
elle,il,51
avait,avoir,18
bien,bien,60
lu,lire,12
et,et,82
bien,bien,60
écrit,écrire,12
",",",",p
au,à,81
au,le,71
contraire,contraire,21
",",",",p
on,on,51
voyait,voir,18
qu',que,83
elle,il,51
cherchait,chercher,18
d',de,81
elle-même,lui-même,51
sa,son,73
récompense,récompense,22
dans,dans,81
mon,mon,73
applaudissement,applaudissement,21
/.,/.,P
elle,il,51
se,se,51
retournait,retourner,18
vers,vers,81
moi,moi,51
en,en,81
rougissant,rougir,13
et,et,82
avec,avec,81
des,de,81
des,le,71
rayons,rayon,21
de,de,81
joie,joie,22
orgueilleuse,orgueilleux,30
sur,sur,81
le,le,71
front,front,21
et,et,82
dans,dans,81
les,le,71
yeux,oeil,21
",",",",p
plus,plus,60
fière,fier,30
du,de,81
du,le,71
plaisir,plaisir,21
qu',que,52
elle,il,51
me,je,51
donnait,donner,18
que,que,83
du,de,81
du,le,71
petit,petit,30
triomphe,triomphe,21
de,de,81
son,son,73
succès,succès,21
/.,/.,P
je,je,51
la,le,52
récompensais,récompenser,18
en,en,81
lui,lui,51
lisant,lire,13
quelques,quelque,75
pages,page,22
de,de,81
Paul,Paul,20
et,et,82
Virginie,Virginie,20
",",",",p
qu',que,52
elle,il,51
préférait,préférer,18
à,à,81
tout,tout,52
;,;,p
ou,ou,82
quelques,quelque,75
belles,beau,30
strophes,strophe,22
du,de,81
du,le,71
Tasse,Tasse,20
",",",",p
quand,quand,83
il,il,51
décrit,décrire,17
la,le,71
vie,vie,22
champêtre,champêtre,30
des,de,81
des,le,71
bergers,berger,21
chez,chez,81
lesquels,lequel,52
Herminie,Herminie,20
habite,habiter,17
",",",",p
ou,ou,82
qu',que,52
il,il,51
chante,chanter,17
les,le,71
plaintes,plainte,22
ou,ou,82
le,le,71
désespoir,désespoir,21
des,de,81
des,le,71
deux,deux,72
amants,amant,21
/.,/.,P
la,le,71
musique,musique,22
de,de,81
ces,ce,74
vers,vers,21
la,le,52
faisait,faire,18
pleurer,pleurer,14
et,et,82
rêver,rêver,14
longtemps,longtemps,60
encore,encore,60
après,après,81
que,que,83
j',je,51
avais,avoir,18
cessé,cesser,12
de,de,81
lire,lire,14
/.,/.,P
la,le,71
poésie,poésie,22
n',ne,60
a,avoir,17
pas,pas,60
d',de,81
écho,écho,21
plus,plus,60
sonore,sonore,30
et,et,82
plus,plus,60
prolongé,prolonger,12
que,que,83
le,le,71
coeur,coeur,21
de,de,81
la,le,71
jeunesse,jeunesse,22
où,où,60
l',le,71
amour,amour,21
va,aller,17
naître,naître,14
/.,/.,P
elle,il,51
est,être,17
comme,comme,83
le,le,71
pressentiment,pressentiment,21
de,de,81
toutes,tout,75
les,le,71
passions,passion,22
/.,/.,P
plus,plus,60
tard,tard,60
",",",",p
elle,il,51
en,en,52
est,être,17
comme,comme,83
le,le,71
souvenir,souvenir,21
et,et,82
le,le,71
deuil,deuil,21
/.,/.,P
elle,il,51
fait,faire,17
pleurer,pleurer,14
ainsi,ainsi,60
aux,à,81
aux,le,71
deux,deux,72
époques,époque,22
extrêmes,extrême,30
de,de,81
la,le,71
vie,vie,22
:,:,p
jeunes,jeune,30
",",",",p
d',de,81
espérances,espérance,22
",",",",p
et,et,82
vieux,vieux,30
",",",",p
de,de,81
regrets,regret,21
/.,/.,P
<IV>,<>,<>
les,le,71
familiarités,familiarité,22
charmantes,charmant,30
de,de,81
ces,ce,74
longues,long,30
et,et,82
douces,doux,30
soirées,soirée,22
à,à,81
la,le,71
lueur,lueur,22
de,de,81
la,le,71
lampe,lampe,22
",",",",p
à,à,81
la,le,71
tiède,tiède,30
chaleur,chaleur,22
du,de,81
du,le,71
brasier,brasier,21
d',de,81
olives,olive,22
sous,sous,81
nos,notre,73
pieds,pied,21
",",",",p
n',ne,60
amenaient,amener,18
jamais,jamais,60
entre,entre,81
nous,nous,51
d',de,81
autres,autre,75
pensées,pensée,22
ni,ni,82
d',de,81
autres,autre,75
intimités,intimité,22
que,que,83
ces,ce,74
intimités,intimité,22
d',de,81
enfants,enfant,21
/.,/.,P
nous,nous,51
étions,être,18
défendus,défendre,12
",",",",p
moi,moi,51
par,par,81
mon,mon,73
insouciance,insouciance,22
presque,presque,60
froide,froid,30
",",",",p
elle,il,51
par,par,81
sa,son,73
candeur,candeur,22
et,et,82
sa,son,73
pureté,pureté,22
/.,/.,P
nous,nous,51
nous,nous,51
séparions,séparer,18
aussi,aussi,60
tranquilles,tranquille,30
que,que,83
nous,nous,51
nous,nous,51
étions,être,18
réunis,réunir,12
",",",",p
et,et,82
un,un,71
moment,moment,21
après,après,81
ces,ce,74
longs,long,30
entretiens,entretien,21
nous,nous,51
dormions,dormir,18
sous,sous,81
le,le,71
même,même,75
toit,toit,21
",",",",p
à,à,81
quelques,quelque,75
pas,pas,21
l',le,71
un,un,52
de,de,81
l',le,71
autre,autre,52
",",",",p
comme,comme,83
deux,deux,72
enfants,enfant,21
qui,qui,52
ont,avoir,17
joué,jouer,12
ensemble,ensemble,60
le,le,71
soir,soir,21
et,et,82
qui,qui,52
ne,ne,60
rêvent,rêver,17
rien,rien,52
au-delà,au-delà,60
de,de,81
leurs,leur,73
simples,simple,30
amusements,amusement,21
/.,/.,P
ce,ce,74
calme,calme,21
des,de,81
des,le,71
sentiments,sentiment,21
qui,qui,52
s',se,51
ignorent,ignorer,17
et,et,82
qui,qui,52
se,se,51
nourrissent,nourrir,17
d',de,81
eux-mêmes,eux-mêmes,51
aurait,avoir,16
duré,durer,12
des,de,81
des,le,71
années,année,22
",",",",p
sans,sans,81
une,un,71
circonstance,circonstance,22
qui,qui,52
changea,changer,19
tout,tout,52
et,et,82
qui,qui,52
nous,nous,51
révéla,révéler,19
à,à,81
nous-mêmes,nous-même,51
la,le,71
nature,nature,22
d',de,81
une,un,71
amitié,amitié,22
qui,qui,52
nous,nous,51
suffisait,suffire,18
pour,pour,81
être,être,14
si,si,60
heureux,heureux,30
/.,/.,P
<V>,<>,<>
Cecco,Cecco,20
",",",",p
c',ce,52
était,être,18
le,le,71
nom,nom,21
du,de,81
du,le,71
cousin,cousin,21
de,de,81
Graziella,Graziella,20
",",",",p
continuait,continuer,18
à,à,81
venir,venir,14
plus,plus,60
assidûment,assidûment,60
de,de,81
jour,jour,21
en,en,81
jour,jour,21
passer,passer,14
les,le,71
soirs,soir,21
d',de,81
hiver,hiver,21
dans,dans,81
la,le,71
famille,famille,22
du,de,81
du,le,71
marinaro,marinaro,92
/.,/.,P
bien,bien,60
que,que,83
la,le,71
jeune,jeune,30
fille,fille,22
ne,ne,60
lui,lui,51
donnât,donner,18
aucune,aucun,75
marque,marque,22
de,de,81
préférence,préférence,22
et,et,82
qu',que,83
il,il,51
fût,être,19
même,même,60
l',le,71
objet,objet,21
habituel,habituel,30
de,de,81
ses,son,73
badinages,badinage,21
et,et,82
un,un,71
peu,peu,60
le,le,71
jouet,jouet,21
de,de,81
sa,son,73
cousine,cousine,22
",",",",p
il,il,51
était,être,18
si,si,60
doux,doux,30
",",",",p
si,si,60
patient,patient,30
et,et,82
si,si,60
humble,humble,30
devant,devant,81
elle,il,51
",",",",p
qu',que,83
elle,il,51
ne,ne,60
pouvait,pouvoir,18
s',se,51
empêcher,empêcher,14
d',de,81
être,être,14
touchée,toucher,12
de,de,81
ses,son,73
complaisances,complaisance,22
et,et,82
de,de,81
lui,lui,51
sourire,sourire,14
quelquefois,quelquefois,60
avec,avec,81
bonté,bonté,22
/.,/.,P
c',ce,52
était,être,18
assez,assez,60
pour,pour,81
lui,lui,51
/.,/.,P
il,il,51
était,être,18
de,de,81
cette,ce,74
nature,nature,22
de,de,81
coeurs,coeur,21
faibles,faible,30
",",",",p
mais,mais,82
aimants,aimant,30
",",",",p
qui,qui,52
",",",",p
se,se,51
sentant,sentir,13
déshérités,déshérité,31
par,par,81
la,le,71
