11681
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Quatre-vingt-dix-septième extrait>,<>,<>
seulement,seulement,60
au,à,81
au,le,71
pied,pied,21
de,de,81
l',le,71
échelle,échelle,22
/.,/.,P
ce,ce,52
n',ne,60
est,être,17
rien,rien,52
que,que,83
d',de,81
avoir,avoir,14
de,de,81
l',le,71
argent,argent,21
",",",",p
et,et,82
un,un,71
parvenu,parvenu,21
ne,ne,60
sait,savoir,17
tout,tout,52
ce,ce,52
qui,qui,52
lui,lui,51
manque,manquer,17
alors,alors,60
qu',que,83
après,après,81
six,six,72
mois,mois,21
de,de,81
flatteries,flatterie,22
/.,/.,P
peu,peu,60
parleur,parleur,21
",",",",p
froid,froid,30
",",",",p
gourmé,gourmé,31
",",",",p
sans,sans,81
esprit,esprit,21
",",",",p
ce,ce,74
parvenu,parvenu,21
nommé,nommé,31
Andoche,Andoche,20
Finot,Finot,20
",",",",p
a,avoir,17
eu,avoir,12
le,le,71
coeur,coeur,21
de,de,81
se,se,51
mettre,mettre,14
à,à,81
plat,plat,21
ventre,ventre,21
devant,devant,81
ceux,celui,52
qui,qui,52
pouvaient,pouvoir,18
le,le,52
servir,servir,14
",",",",p
et,et,82
la,le,71
finesse,finesse,22
d',de,81
être,être,14
insolent,insolent,30
avec,avec,81
ceux,celui,52
dont,dont,52
il,il,51
n',ne,60
avait,avoir,18
plus,plus,60
besoin,besoin,21
/.,/.,P
semblable,semblable,30
à,à,81
l',le,71
un,un,52
des,de,81
des,le,71
grotesques,grotesque,30
du,de,81
du,le,71
ballet,ballet,21
de,de,81
Gustave,Gustave,20
",",",",p
il,il,51
est,être,17
marquis,marquis,21
par derrière,par-derrière,60
et,et,82
vilain,vilain,21
par devant,par-devant,60
/.,/.,P
ce,ce,74
prélat,prélat,21
industriel,industriel,30
entretient,entretenir,17
un,un,71
caudataire,caudataire,21
",",",",p
Emile,Emile,20
Blondet,Blondet,20
",",",",p
rédacteur,rédacteur,21
de,de,81
journaux,journal,21
",",",",p
homme,homme,21
de,de,81
beaucoup,beaucoup,60
d',de,81
esprit,esprit,21
",",",",p
mais,mais,82
décousu,décousu,31
",",",",p
brillant,brillant,30
",",",",p
capable,capable,30
",",",",p
paresseux,paresseux,30
",",",",p
se,se,51
sachant,savoir,13
exploité,exploité,31
",",",",p
se,se,51
laissant,laisser,13
faire,faire,14
",",",",p
perfide,perfide,30
",",",",p
comme,comme,83
il,il,51
est,être,17
bon,bon,30
",",",",p
par,par,81
caprices,caprice,21
;,;,p
un,un,52
de,de,81
ces,ce,74
hommes,homme,21
que,que,52
l',l',94
on,on,51
aime,aimer,17
et,et,82
que,que,52
l',l',94
on,on,51
n',ne,60
estime,estimer,17
pas,pas,60
/.,/.,P
fin,fin,30
comme,comme,83
une,un,71
soubrette,soubrette,22
de,de,81
comédie,comédie,22
",",",",p
incapable,incapable,30
de,de,81
refuser,refuser,14
sa,son,73
plume,plume,22
à,à,81
qui,qui,52
la,le,52
lui,lui,51
demande,demander,17
",",",",p
et,et,82
son,son,73
coeur,coeur,21
à,à,81
qui,qui,52
le,le,52
lui,lui,51
emprunte,emprunter,17
",",",",p
Emile,Emile,20
est,être,17
le,le,71
plus,plus,60
séduisant,séduisant,30
de,de,81
ces,ce,74
hommes,homme,21
filles,fille,22
de,de,81
qui,qui,52
le,le,71
plus,plus,60
fantasque,fantasque,30
de,de,81
nos,notre,73
gens,gens,21
d',de,81
esprit,esprit,21
a,avoir,17
dit,dire,12
:,:,p
“,“,p
je,je,51
les,le,52
aime,aimer,17
mieux,mieux,60
en,en,81
souliers,soulier,21
de,de,81
satin,satin,21
qu',que,83
en,en,81
bottes,botte,22
/.,/.,P
“,“,p
le,le,71
troisième,troisième,72
",",",",p
nommé,nommé,31
Couture,Couture,20
",",",",p
se,se,51
maintient,maintenir,17
par,par,81
la,le,71
spéculation,spéculation,22
/.,/.,P
il,il,51
ente,enter,17
affaire,affaire,22
sur,sur,81
affaire,affaire,22
",",",",p
le,le,71
succès,succès,21
de,de,81
l',le,71
une,un,52
couvre,couvrir,17
l',le,71
insuccès,insuccès,21
de,de,81
l',le,71
autre,autre,52
/.,/.,P
aussi,aussi,60
vit,vivre,17
il,il,51
à,à,81
fleur,fleur,22
d',de,81
eau,eau,22
soutenu,soutenu,31
par,par,81
la,le,71
force,force,22
nerveuse,nerveux,30
de,de,81
son,son,73
jeu,jeu,21
",",",",p
par,par,81
une,un,71
coupe,coupe,22
roide,raide,30
et,et,82
audacieuse,audacieux,30
/.,/.,P
il,il,51
nage,nager,17
de,de,81
ci,ci,60
",",",",p
de,de,81
là,là,60
",",",",p
cherchant,chercher,13
dans,dans,81
l',le,71
immense,immense,30
mer,mer,22
des,de,81
des,le,71
intérêts,intérêt,21
parisiens,parisien,30
un,un,71
îlot,îlot,21
assez,assez,60
contestable,contestable,30
pour,pour,81
pouvoir,pouvoir,14
s',se,51
y,y,52
loger,loger,14
/.,/.,P
évidemment,évidemment,60
",",",",p
il,il,51
n',ne,60
est,être,17
pas,pas,60
à,à,81
sa,son,73
place,place,22
/.,/.,P
quant,quand,83
au,à,81
au,le,71
dernier,dernier,21
",",",",p
le,le,71
plus,plus,60
malicieux,malicieux,30
des,de,81
des,le,71
quatre,quatre,72
",",",",p
son,son,73
nom,nom,21
suffira,suffire,15
:,:,p
Bixiou,Bixiou,20
/!,/!,P
hélas,hélas,60
!,!,p
ce,ce,52
n',ne,60
est,être,17
plus,plus,60
le,le,71
Bixiou,Bixiou,20
de,de,81
<Nombre 1825>,<>,<>
mille,mille,72
huit,huit,72
cent,cent,72
vingt,vingt,72
cinq,cinq,72
<Fin nombre>,<>,<>
",",",",p
mais,mais,82
celui,celui,52
de,de,81
<Nombre 1836>,<>,<>
mille,mille,72
huit,huit,72
cent,cent,72
trente,trente,72
six,six,72
<Fin nombre>,<>,<>
",",",",p
le,le,71
misanthrope,misanthrope,21
bouffon,bouffon,30
à,à,81
qui,qui,52
l',l',94
on,on,51
connaît,connaître,17
le,le,71
plus,plus,60
de,de,81
verve,verve,22
et,et,82
de,de,81
mordant,mordant,21
",",",",p
un,un,71
diable,diable,21
enragé,enragé,31
d',de,81
avoir,avoir,14
dépensé,dépenser,12
tant,tant,60
d',de,81
esprit,esprit,21
en,en,81
pure,pur,30
perte,perte,22
",",",",p
furieux,furieux,30
de,de,81
ne,ne,60
pas,pas,60
avoir,avoir,14
ramassé,ramasser,12
son,son,73
épave,épave,22
dans,dans,81
la,le,71
dernière,dernier,30
révolution,révolution,22
",",",",p
donnant,donner,13
son,son,73
coup,coup,21
de,de,81
pied,pied,21
à,à,81
chacun,chacun,52
en,en,81
vrai,vrai,30
Pierrot,Pierrot,20
des,de,81
des,le,71
funambules,funambule,21
",",",",p
sachant,savoir,13
son,son,73
époque,époque,22
et,et,82
les,le,71
aventures,aventure,22
scandaleuses,scandaleux,30
sur,sur,81
le,le,71
bout,bout,21
de,de,81
son,son,73
doigt,doigt,21
",",",",p
les,le,52
ornant,orner,13
de,de,81
ses,son,73
inventions,invention,22
drôlatiques,drôlatique,30
",",",",p
sautant,sauter,13
sur,sur,81
toutes,tout,75
les,le,71
épaules,épaule,22
comme,comme,83
un,un,71
clown,clown,21
",",",",p
et,et,82
tâchant,tâcher,13
d',de,81
y,y,52
laisser,laisser,14
une,un,71
marque,marque,22
à,à,81
la,le,71
façon,façon,22
du,de,81
du,le,71
bourreau,bourreau,21
/.,/.,P
après,après,81
avoir,avoir,14
satisfait,satisfaire,12
aux,à,81
aux,le,71
premières,premier,72
exigences,exigence,22
de,de,81
la,le,71
gourmandise,gourmandise,22
",",",",p
nos,notre,73
voisins,voisin,21
arrivèrent,arriver,19
où,où,60
nous,nous,51
en,en,52
étions,être,18
de,de,81
notre,notre,73
dîner,dîner,21
",",",",p
au,à,81
au,le,71
dessert,dessert,21
;,;,p
et,et,82
",",",",p
grâce,grâce,22
à,à,81
notre,notre,73
coite,coi,30
tenue,tenue,22
",",",",p
ils,ils,51
se,se,51
crurent,croire,19
seuls,seul,30
/.,/.,P
à,à,81
la,le,71
fumée,fumée,22
des,de,81
des,le,71
cigares,cigare,21
",",",",p
à,à,81
l',le,71
aide,aide,22
du,de,81
du,le,71
vin,vin,21
de,de,81
Champagne,Champagne,20
",",",",p
à,à,81
travers,travers,21
les,le,71
amusements,amusement,21
gastronomiques,gastronomique,30
du,de,81
du,le,71
dessert,dessert,21
",",",",p
il,il,51
s',se,51
entama,entamer,19
donc,donc,82
une,un,71
intime,intime,30
conversation,conversation,22
/.,/.,P
empreinte,empreint,31
de,de,81
cet,ce,74
esprit,esprit,21
glacial,glacial,30
qui,qui,52
roidit,roidir,17
les,le,71
sentiments,sentiment,21
les,le,71
plus,plus,60
élastiques,élastique,30
",",",",p
arrête,arrêter,17
les,le,71
inspirations,inspiration,22
les,le,71
plus,plus,60
généreuses,généreux,30
",",",",p
et,et,82
donne,donner,17
au,à,81
au,le,71
rire,rire,21
quelque,quelque,75
chose,chose,22
d',de,81
aigu,aigu,30
",",",",p
cette,ce,74
causerie,causerie,22
pleine,plein,30
de,de,81
l',le,71
âcre,âcre,30
ironie,ironie,22
qui,qui,52
change,changer,17
la,le,71
gaîté,gaieté,22
en,en,81
ricanerie,ricanerie,22
",",",",p
accusa,accuser,19
l',le,71
épuisement,épuisement,21
d',de,81
âmes,âme,22
livrées,livré,31
à,à,81
elles-mêmes,eux-mêmes,51
",",",",p
sans,sans,81
autre,autre,75
but,but,21
que,que,83
la,le,71
satisfaction,satisfaction,22
de,de,81
l',le,71
égoïsme,égoïsme,21
",",",",p
fruit,fruit,21
de,de,81
la,le,71
paix,paix,22
où,où,60
nous,nous,51
vivons,vivre,17
/.,/.,P
ce,ce,74
pamphlet,pamphlet,21
contre,contre,81
l',le,71
homme,homme,21
que,que,52
Diderot,Diderot,20
n',ne,60
osa,oser,19
pas,pas,60
publier,publier,14
",",",",p
le,le,71
neveu,neveu,21
de,de,81
Rameau,Rameau,20
;,;,p
ce,ce,74
livre,livre,21
",",",",p
débraillé,débraillé,21
tout,tout,60
exprès,exprès,30
pour,pour,81
montrer,montrer,14
des,de,81
des,le,71
plaies,plaie,22
",",",",p
est,être,17
seul,seul,30
comparable,comparable,30
à,à,81
ce,ce,74
pamphlet,pamphlet,21
dit,dit,31
sans,sans,81
aucune,aucun,75
arrière-pensée,arrière-pensée,22
",",",",p
où,où,60
le,le,71
mot,mot,21
ne,ne,60
respecta,respecter,19
même,même,60
point,point,60
ce,ce,52
que,que,52
le,le,71
penseur,penseur,21
discute,discuter,17
encore,encore,60
",",",",p
où,où,60
l',l',94
on,on,51
ne,ne,60
construisit,construire,19
qu',que,83
avec,avec,81
des,de,81
des,le,71
ruines,ruine,22
",",",",p
où,où,60
l',l',94
on,on,51
nia,nier,19
tout,tout,52
",",",",p
où,où,60
l',l',94
on,on,51
n',ne,60
admira,admirer,19
que,que,83
ce,ce,52
que,que,52
le,le,71
scepticisme,scepticisme,21
adopte,adopter,17
:,:,p
l',le,71
omnipotence,omnipotence,22
",",",",p
l',le,71
omniscience,omniscience,22
",",",",p
l',le,71
omniconvenance,omniconvenance,22
de,de,81
l',le,71
argent,argent,21
/.,/.,P
après,après,81
avoir,avoir,14
tiraillé,tirailler,12
dans,dans,81
le,le,71
cercle,cercle,21
des,de,81
des,le,71
personnes,personne,22
de,de,81
connaissance,connaissance,22
",",",",p
la,le,71
médisance,médisance,22
se,se,51
mit,mettre,19
à,à,81
fusiller,fusiller,14
les,le,71
amis,ami,21
intimes,intime,30
/.,/.,P
un,un,71
signe,signe,21
suffit,suffire,17
pour,pour,81
expliquer,expliquer,14
le,le,71
désir,désir,21
que,que,52
j',je,51
avais,avoir,18
de,de,81
rester,rester,14
et,et,82
d',de,81
écouter,écouter,14
au,à,81
au,le,71
moment,moment,21
où,où,60
Bixiou,Bixiou,20
prit,prendre,19
la,le,71
parole,parole,22
",",",",p
comme,comme,83
on,on,51
va,aller,17
le,le,52
voir,voir,14
/.,/.,P
nous,nous,51
entendîmes,entendre,19
alors,alors,60
une,un,52
de,de,81
ces,ce,74
terribles,terrible,30
improvisations,improvisation,22
qui,qui,52
valent,valoir,17
à,à,81
cet,ce,74
artiste,artiste,21
sa,son,73
réputation,réputation,22
auprès,auprès,60
de,de,81
quelques,quelque,75
esprits,esprit,21
blasés,blasé,31
",",",",p
et,et,82
",",",",p
quoique,quoique,83
souvent,souvent,60
interrompue,interrompu,31
",",",",p
prise,pris,31
et,et,82
reprise,repris,31
",",",",p
elle,il,51
fut,être,19
sténographiée,sténographier,12
par,par,81
ma,mon,73
mémoire,mémoire,22
/.,/.,P
opinions,opinion,22
et,et,82
forme,forme,22
",",",",p
tout,tout,52
y,y,52
est,être,17
en,en,81
dehors,dehors,21
des,de,81
des,le,71
conditions,condition,22
littéraires,littéraire,30
/.,/.,P
mais,mais,82
c',ce,52
est,être,17
ce,ce,52
que,que,52
cela,cela,52
fut,être,19
:,:,p
un,un,71
pot-pourri,pot-pourri,21
de,de,81
choses,chose,22
sinistres,sinistre,30
qui,qui,52
peint,peindre,17
notre,notre,73
temps,temps,21
",",",",p
auquel,à,81
auquel,lequel,52
l',l',94
on,on,51
ne,ne,60
devrait,devoir,16
raconter,raconter,14
que,que,83
de,de,81
semblables,semblable,30
histoires,histoire,22
",",",",p
et,et,82
j',je,51
en,en,52
laisse,laisser,17
d',de,81
ailleurs,ailleurs,60
la,le,71
responsabilité,responsabilité,22
au,à,81
au,le,71
narrateur,narrateur,21
principal,principal,30
/.,/.,P
la,le,71
pantomime,pantomime,22
",",",",p
les,le,71
gestes,geste,21
",",",",p
en,en,81
rapport,rapport,21
avec,avec,81
les,le,71
fréquents,fréquent,30
changements,changement,21
de,de,81
voix,voix,22
par,par,81
lesquels,lequel,52
Bixiou,Bixiou,20
peignait,peindre,18
les,le,71
interlocuteurs,interlocuteur,21
mis,mis,31
en,en,81
scène,scène,22
",",",",p
devaient,devoir,18
être,être,14
parfaits,parfaire,12
",",",",p
car,car,82
ses,son,73
trois,trois,72
auditeurs,auditeur,21
laissaient,laisser,18
échapper,échapper,14
des,de,81
des,le,71
exclamations,exclamation,22
approbatives,approbatif,30
et,et,82
des,de,81
des,le,71
interjections,interjection,22
de,de,81
contentement,contentement,21
/.,/.,P
-,-,p
et,et,82
Rastignac,Rastignac,20
t',tu,51
a,avoir,17
refusé,refuser,12
?,?,p
dit,dire,19
Blondet,Blondet,20
à,à,81
Finot,Finot,20
/.,/.,P
-,-,p
net,net,60
/.,/.,P
-,-,p
mais,mais,82
l',le,52
as,avoir,17
tu,tu,51
menacé,menacer,12
des,de,81
des,le,71
journaux,journal,21
",",",",p
demanda,demander,19
Bixiou,Bixiou,20
/.,/.,P
-,-,p
il,il,51
s',se,51
est,être,17
mis,mettre,12
à,à,81
rire,rire,14
",",",",p
répondit,répondre,19
Finot,Finot,20
/.,/.,P
-,-,p
Rastignac,Rastignac,20
est,être,17
l',le,71
héritier,héritier,21
direct,direct,30
de,de,81
feu,feu,21
de,de,81
Marsay,Marsay,20
",",",",p
il,il,51
fera,faire,15
son,son,73
chemin,chemin,21
en,en,81
politique,politique,22
comme,comme,83
dans,dans,81
le,le,71
monde,monde,21
",",",",p
dit,dire,19
Blondet,Blondet,20
/.,/.,P
-,-,p
mais,mais,82
comment,comment,60
a,avoir,17
t,t,94
il,il,51
fait,faire,12
sa,son,73
fortune,fortune,22
",",",",p
demanda,demander,19
Couture,Couture,20
/.,/.,P
il,il,51
était,être,18
en,en,81
<Nombre 1819>,<>,<>
mille,mille,72
huit,huit,72
cent,cent,72
dix,dix,72
neuf,neuf,72
<Fin nombre>,<>,<>
avec,avec,81
l',le,71
illustre,illustre,30
Bianchon,Bianchon,20
",",",",p
dans,dans,81
une,un,71
misérable,misérable,30
pension,pension,22
du,de,81
du,le,71
quartier,quartier,21
latin,latin,30
;,;,p
sa,son,73
famille,famille,22
mangeait,manger,18
des,de,81
des,le,71
hannetons,hanneton,21
rôtis,rôti,31
et,et,82
buvait,boire,18
le,le,71
vin,vin,21
du,de,81
du,le,71
cru,cru,21
",",",",p
pour,pour,81
pouvoir,pouvoir,14
lui,lui,51
envoyer,envoyer,14
cent,cent,72
francs,franc,21
par,par,81
mois,mois,21
;,;,p
le,le,71
domaine,domaine,21
de,de,81
son,son,73
père,père,21
ne,ne,60
valait,valoir,18
pas,pas,60
mille,mille,72
écus,écu,21
;,;,p
il,il,51
avait,avoir,18
deux,deux,72
soeurs,soeur,22
et,et,82
un,un,71
frère,frère,21
sur,sur,81
les,le,71
bras,bras,21
",",",",p
et,et,82
maintenant,maintenant,60
/…,/…,P
maintenant,maintenant,60
",",",",p
il,il,51
a,avoir,17
quarante,quarante,72
mille,mille,72
livres,livre,22
de,de,81
rentes,rente,22
",",",",p
reprit,reprendre,19
Finot,Finot,20
:,:,p
chacune,chacun,52
de,de,81
ses,son,73
soeurs,soeur,22
a,avoir,17
été,être,12
richement,richement,60
dotée,doter,12
",",",",p
noblement,noblement,60
mariée,marier,12
",",",",p
et,et,82
il,il,51
a,avoir,17
laissé,laisser,12
l',le,71
usufruit,usufruit,21
du,de,81
du,le,71
domaine,domaine,21
à,à,81
sa,son,73
mère,mère,22
/…,/…,P
en,en,81
<Nombre 1827>,<>,<>
mille,mille,72
huit,huit,72
cent,cent,72
vingt,vingt,72
sept,sept,72
<Fin nombre>,<>,<>
",",",",p
dit,dire,19
Blondet,Blondet,20
",",",",p
je,je,51
l',le,52
ai,avoir,17
encore,encore,60
vu,voir,12
sans,sans,81
le,le,71
sou,sou,21
/.,/.,P
-,-,p
oh,oh,93
!,!,p
en,en,81
<Nombre 1827>,<>,<>
mille,mille,72
huit,huit,72
cent,cent,72
vingt,vingt,72
sept,sept,72
<Fin nombre>,<>,<>
",",",",p
dit,dire,19
Bixiou,Bixiou,20
/.,/.,P
-,-,p
eh,eh,93
!,!,p
bien,bien,60
",",",",p
reprit,reprendre,19
Finot,Finot,20
",",",",p
aujourd'hui,aujourd'hui,60
nous,nous,51
le,le,52
voyons,voir,17
en,en,81
passe,passe,22
de,de,81
devenir,devenir,14
ministre,ministre,21
",",",",p
pair,pair,21
de,de,81
France,France,20
et,et,82
tout,tout,52
ce,ce,52
qu',que,52
il,il,51
voudra,vouloir,15
être,être,14
/!,/!,P
il,il,51
a,avoir,17
depuis,depuis,81
trois,trois,72
ans,an,21
fini,finir,12
convenablement,convenablement,60
avec,avec,81
Delphine,Delphine,20
",",",",p
il,il,51
ne,ne,60
se,se,51
mariera,marier,15
qu',que,83
à,à,81
bonnes,bon,30
enseignes,enseigne,22
",",",",p
et,et,82
il,il,51
peut,pouvoir,17
épouser,épouser,14
une,un,71
fille,fille,22
noble,noble,30
",",",",p
lui,lui,51
/!,/!,P
le,le,71
gars,gars,21
a,avoir,17
eu,avoir,12
le,le,71
bon,bon,30
esprit,esprit,21
de,de,81
s',se,51
attacher,attacher,14
à,à,81
une,un,71
femme,femme,22
riche,riche,30
/.,/.,P
-,-,p
mes,mon,73
amis,ami,21
",",",",p
tenez,tenir,17
lui,lui,51
compte,compte,21
des,de,81
des,le,71
circonstances,circonstance,22
atténuantes,atténuant,30
",",",",p
dit,dire,19
Blondet,Blondet,20
",",",",p
il,il,51
est,être,17
tombé,tomber,12
dans,dans,81
les,le,71
pattes,patte,22
d',de,81
un,un,71
homme,homme,21
habile,habile,30
en,en,81
sortant,sortir,13
des,de,81
des,le,71
griffes,griffe,22
de,de,81
la,le,71
misère,misère,22
/.,/.,P
-,-,p
tu,tu,51
connais,connaître,17
bien,bien,60
Nucingen,Nucingen,20
",",",",p
dit,dire,19
Bixiou,Bixiou,20
;,;,p
dans,dans,81
les,le,71
premiers,premier,72
temps,temps,21
",",",",p
Delphine,Delphine,20
et,et,82
Rastignac,Rastignac,20
le,le,52
trouvaient,trouver,18
bon,bon,30
;,;,p
une,un,71
femme,femme,22
semblait,sembler,18
être,être,14
",",",",p
pour,pour,81
lui,lui,51
",",",",p
dans,dans,81
sa,son,73
maison,maison,22
",",",",p
un,un,71
joujou,joujou,21
",",",",p
un,un,71
ornement,ornement,21
/.,/.,P
et,et,82
voilà,voilà,81
ce,ce,52
qui,qui,52
",",",",p
pour,pour,81
moi,moi,51
",",",",p
rend,rendre,17
cet,ce,74
homme,homme,21
carré,carré,31
de,de,81
base,base,22
comme,comme,83
de,de,81
hauteur,hauteur,22
:,:,p
Nucingen,Nucingen,20
ne,ne,60
se,se,51
cache,cacher,17
pas,pas,60
pour,pour,81
dire,dire,14
que,que,83
sa,son,73
femme,femme,22
est,être,17
la,le,71
représentation,représentation,22
de,de,81
sa,son,73
fortune,fortune,22
",",",",p
une,un,71
chose,chose,22
indispensable,indispensable,30
",",",",p
mais,mais,82
secondaire,secondaire,30
dans,dans,81
la,le,71
vie,vie,22
à,à,81
haute,haut,30
pression,pression,22
des,de,81
des,le,71
hommes,homme,21
politiques,politique,30
et,et,82
des,de,81
des,le,71
grands,grand,30
financiers,financier,21
/.,/.,P
il,il,51
a,avoir,17
dit,dire,12
",",",",p
devant,devant,81
moi,moi,51
",",",",p
que,que,83
Bonaparte,Bonaparte,20
avait,avoir,18
été,être,12
bête,bête,30
comme,comme,83
un,un,71
bourgeois,bourgeois,21
dans,dans,81
ses,son,73
