11606
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Quarante et unième extrait>,<>,<>
la,le,71
maîtresse,maîtresse,22
de,de,81
l',le,71
hôtel,hôtel,21
entra,entrer,19
/.,/.,P
-,-,p
monsieur,monsieur,21
couche,coucher,17
t,t,94
il,il,51
?,?,p
monsieur,monsieur,21
soupe,souper,17
t,t,94
il,il,51
/?,/?,P
il,il,51
fit,faire,19
un,un,71
signe,signe,21
de,de,81
tête,tête,22
négatif,négatif,30
/.,/.,P
-,-,p
le,le,71
garçon,garçon,21
d',de,81
écurie,écurie,22
dit,dire,19
que,que,83
le,le,71
cheval,cheval,21
de,de,81
monsieur,monsieur,21
est,être,17
bien,bien,60
fatigué,fatiguer,12
/!,/!,P
ici,ici,60
il,il,51
rompit,rompre,19
le,le,71
silence,silence,21
/.,/.,P
-,-,p
est,être,17
ce,ce,52
que,que,83
le,le,71
cheval,cheval,21
ne,ne,60
pourra,pouvoir,15
pas,pas,60
repartir,repartir,14
demain,demain,60
matin,matin,21
/?,/?,P
oh,oh,93
!,!,p
monsieur,monsieur,21
!,!,p
il,il,51
lui,lui,51
faut,falloir,17
au,à,81
au,le,71
moins,moins,60
deux,deux,72
jours,jour,21
de,de,81
repos,repos,21
/.,/.,P
il,il,51
demanda,demander,19
:,:,p
-,-,p
n',ne,60
est,être,17
ce,ce,52
pas,pas,60
ici,ici,60
le,le,71
bureau,bureau,21
de,de,81
poste,poste,22
/?,/?,P
oui,oui,60
",",",",p
monsieur,monsieur,21
/.,/.,P
l',le,71
hôtesse,hôtesse,22
le,le,52
mena,mener,19
à,à,81
ce,ce,74
bureau,bureau,21
;,;,p
il,il,51
montra,montrer,19
son,son,73
passeport,passeport,21
et,et,82
s',se,51
informa,informer,19
s',si,83
il,il,51
y,y,52
avait,avoir,18
moyen,moyen,21
de,de,81
revenir,revenir,14
cette,ce,74
nuit,nuit,22
même,même,30
à,à,81
Montreuil,Montreuil,20
sur-mer,sur-mer,22
par,par,81
la,le,71
malle,malle,22
;,;,p
la,le,71
place,place,22
à,à,81
côté,côté,21
du,de,81
du,le,71
courrier,courrier,21
était,être,18
justement,justement,60
vacante,vacant,30
;,;,p
il,il,51
la,le,52
retint,retenir,19
et,et,82
la,le,52
paya,payer,19
/.,/.,P
-,-,p
monsieur,monsieur,21
",",",",p
dit,dire,19
le,le,71
buraliste,buraliste,21
",",",",p
ne,ne,60
manquez,manquer,17
pas,pas,60
d',de,81
être,être,14
ici,ici,60
pour,pour,81
partir,partir,14
à,à,81
une,un,71
heure,heure,22
précise,précis,30
du,de,81
du,le,71
matin,matin,21
/.,/.,P
cela,cela,52
fait,fait,31
",",",",p
il,il,51
sortit,sortir,19
de,de,81
l',le,71
hôtel,hôtel,21
et,et,82
se,se,51
mit,mettre,19
à,à,81
marcher,marcher,14
dans,dans,81
la,le,71
ville,ville,22
/.,/.,P
il,il,51
ne,ne,60
connaissait,connaître,18
pas,pas,60
Arras,Arras,20
",",",",p
les,le,71
rues,rue,22
étaient,être,18
obscures,obscur,30
",",",",p
et,et,82
il,il,51
allait,aller,18
au,à,81
au,le,71
hasard,hasard,21
/.,/.,P
cependant,cependant,82
il,il,51
semblait,sembler,18
s',se,51
obstiner,obstiner,14
à,à,81
ne,ne,60
pas,pas,60
demander,demander,14
son,son,73
chemin,chemin,21
aux,à,81
aux,le,71
passants,passant,21
/.,/.,P
il,il,51
traversa,traverser,19
la,le,71
petite,petit,30
rivière,rivière,22
Crinchon,Crinchon,20
et,et,82
se,se,51
trouva,trouver,19
dans,dans,81
un,un,71
dédale,dédale,21
de,de,81
ruelles,ruelle,22
étroites,étroit,30
où,où,60
il,il,51
se,se,51
perdit,perdre,19
/.,/.,P
un,un,71
bourgeois,bourgeois,21
cheminait,cheminer,18
avec,avec,81
un,un,71
falot,falot,21
/.,/.,P
après,après,81
quelque,quelque,75
hésitation,hésitation,22
",",",",p
il,il,51
prit,prendre,19
le,le,71
parti,parti,21
de,de,81
s',se,51
adresser,adresser,14
à,à,81
ce,ce,74
bourgeois,bourgeois,21
",",",",p
non,non,60
sans,sans,81
avoir,avoir,14
d'abord,d'abord,60
regardé,regarder,12
devant,devant,81
et,et,82
derrière,derrière,81
lui,lui,51
",",",",p
comme,comme,83
s',si,83
il,il,51
craignait,craindre,18
que,que,83
quelqu'un,quelqu'un,52
n',ne,60
entendit,entendre,19
la,le,71
question,question,22
qu',que,83
il,il,51
allait,aller,18
faire,faire,14
/.,/.,P
-,-,p
monsieur,monsieur,21
",",",",p
dit,dire,19
il,il,51
",",",",p
le,le,71
palais,palais,21
de,de,81
justice,justice,22
",",",",p
s',si,83
il,il,51
vous,vous,51
plaît,plaire,17
/?,/?,P
vous,vous,51
n',ne,60
êtes,être,17
pas,pas,60
de,de,81
la,le,71
ville,ville,22
",",",",p
monsieur,monsieur,21
?,?,p
répondit,répondre,19
le,le,71
bourgeois,bourgeois,21
qui,qui,52
était,être,18
un,un,71
assez,assez,60
vieux,vieux,30
homme,homme,21
",",",",p
eh,eh,93
bien,bien,60
",",",",p
suivez,suivre,17
moi,moi,51
/.,/.,P
je,je,51
vais,aller,17
précisément,précisément,60
du,de,81
du,le,71
côté,côté,21
du,de,81
du,le,71
palais,palais,21
de,de,81
justice,justice,22
",",",",p
c'est-à-dire,c'est-à-dire,91
du,de,81
du,le,71
côté,côté,21
de,de,81
l',le,71
hôtel,hôtel,21
de,de,81
la,le,71
préfecture,préfecture,22
/.,/.,P
car,car,82
on,on,51
répare,réparer,17
en,en,81
ce,ce,74
moment,moment,21
le,le,71
palais,palais,21
",",",",p
et,et,82
provisoirement,provisoirement,60
les,le,71
tribunaux,tribunal,21
ont,avoir,17
leurs,leur,73
audiences,audience,22
à,à,81
la,le,71
préfecture,préfecture,22
/.,/.,P
-,-,p
est,être,17
ce,ce,52
là,là,60
",",",",p
demanda,demander,19
t,t,94
il,il,51
",",",",p
qu',que,83
on,on,51
tient,tenir,17
les,le,71
assises,assise,22
/?,/?,P
sans,sans,81
doute,doute,21
",",",",p
monsieur,monsieur,21
/.,/.,P
voyez,voir,17
vous,vous,51
",",",",p
ce,ce,52
qui,qui,52
est,être,17
la,le,71
préfecture,préfecture,22
aujourd'hui,aujourd'hui,60
était,être,18
l',le,71
évêché,évêché,21
avant,avant,81
la,le,71
révolution,révolution,22
/.,/.,P
monsieur,monsieur,21
de,de,81
Conzié,Conzié,20
",",",",p
qui,qui,52
était,être,18
évêque,évêque,21
en,en,81
quatre,quatre,72
vingt,vingt,72
deux,deux,72
",",",",p
y,y,52
a,avoir,17
fait,faire,12
bâtir,bâtir,14
une,un,71
grande,grand,30
salle,salle,22
/.,/.,P
c',ce,52
est,être,17
dans,dans,81
cette,ce,74
grande,grand,30
salle,salle,22
qu',que,52
on,on,51
juge,juger,17
/.,/.,P
chemin,chemin,21
faisant,faire,13
",",",",p
le,le,71
bourgeois,bourgeois,21
lui,lui,51
dit,dire,19
:,:,p
-,-,p
si,si,83
c',ce,52
est,être,17
un,un,71
procès,procès,21
que,que,83
monsieur,monsieur,21
veut,vouloir,17
voir,voir,14
",",",",p
il,il,51
est,être,17
un,un,71
peu,peu,60
tard,tard,60
/.,/.,P
ordinairement,ordinairement,60
les,le,71
séances,séance,22
finissent,finir,17
à,à,81
six,six,72
heures,heure,22
/.,/.,P
cependant,cependant,82
",",",",p
comme,comme,83
ils,ils,51
arrivaient,arriver,18
sur,sur,81
la,le,71
grande,grand,30
place,place,22
",",",",p
le,le,71
bourgeois,bourgeois,21
lui,lui,51
montra,montrer,19
quatre,quatre,72
longues,long,30
fenêtres,fenêtre,22
éclairées,éclairé,31
sur,sur,81
la,le,71
façade,façade,22
d',de,81
un,un,71
vaste,vaste,30
bâtiment,bâtiment,21
ténébreux,ténébreux,30
/.,/.,P
-,-,p
ma,mon,73
foi,foi,22
",",",",p
monsieur,monsieur,21
",",",",p
vous,vous,51
arrivez,arriver,17
à,à,81
temps,temps,21
",",",",p
vous,vous,51
avez,avoir,17
du,de,81
du,le,71
bonheur,bonheur,21
/.,/.,P
voyez,voir,17
vous,vous,51
ces,ce,74
quatre,quatre,72
fenêtres,fenêtre,22
?,?,p
c',ce,52
est,être,17
la,le,71
cour,cour,22
d',de,81
assises,assise,22
/.,/.,P
il,il,51
y,y,52
a,avoir,17
de,de,81
la,le,71
lumière,lumière,22
/.,/.,P
donc,donc,82
ce,ce,52
n',ne,60
est,être,17
pas,pas,60
fini,finir,12
/.,/.,P
l',le,71
affaire,affaire,22
aura,avoir,15
traîné,traîner,12
en,en,81
longueur,longueur,22
et,et,82
on,on,51
fait,faire,17
une,un,71
audience,audience,22
du,de,81
du,le,71
soir,soir,21
/.,/.,P
vous,vous,51
vous,vous,51
intéressez,intéresser,17
à,à,81
cette,ce,74
affaire,affaire,22
/?,/?,P
est,être,17
ce,ce,52
que,que,83
c',ce,52
est,être,17
un,un,71
procès,procès,21
criminel,criminel,30
/?,/?,P
est,être,17
ce,ce,52
que,que,83
vous,vous,51
êtes,être,17
témoin,témoin,21
/?,/?,P
il,il,51
répondit,répondre,19
:,:,p
-,-,p
je,je,51
ne,ne,60
viens,venir,17
pour,pour,81
aucune,aucun,75
affaire,affaire,22
",",",",p
j',je,51
ai,avoir,17
seulement,seulement,60
à,à,81
parler,parler,14
à,à,81
un,un,71
avocat,avocat,21
/.,/.,P
-,-,p
c',ce,52
est,être,17
différent,différent,30
",",",",p
dit,dire,19
le,le,71
bourgeois,bourgeois,21
/.,/.,P
tenez,tenir,17
",",",",p
monsieur,monsieur,21
",",",",p
voici,voici,81
la,le,71
porte,porte,22
/.,/.,P
où,où,60
est,être,17
le,le,71
factionnaire,factionnaire,21
/.,/.,P
vous,vous,51
n',ne,60
aurez,avoir,15
qu',que,83
à,à,81
monter,monter,14
le,le,71
grand,grand,30
escalier,escalier,21
/.,/.,P
il,il,51
se,se,51
conforma,conformer,19
aux,à,81
aux,le,71
indications,indication,22
du,de,81
du,le,71
bourgeois,bourgeois,21
",",",",p
et,et,82
",",",",p
quelques,quelque,75
minutes,minute,22
après,après,81
",",",",p
il,il,51
était,être,18
dans,dans,81
une,un,71
salle,salle,22
où,où,60
il,il,51
y,y,52
avait,avoir,18
beaucoup,beaucoup,60
de,de,81
monde,monde,21
et,et,82
où,où,60
des,de,81
des,le,71
groupes,groupe,21
mêlés,mêlé,31
d',de,81
avocats,avocat,21
en,en,81
robe,robe,22
chuchotaient,chuchoter,18
çà,çà,60
et,et,82
là,là,60
/.,/.,P
c',ce,52
est,être,17
toujours,toujours,60
une,un,71
chose,chose,22
qui,qui,52
serre,serrer,17
le,le,71
coeur,coeur,21
de,de,81
voir,voir,14
ces,ce,74
attroupements,attroupement,21
d',de,81
hommes,homme,21
vêtus,vêtu,31
de,de,81
noir,noir,21
qui,qui,52
murmurent,murmurer,17
entre,entre,81
eux,ils,51
à,à,81
voix,voix,22
basse,bas,30
sur,sur,81
le,le,71
seuil,seuil,21
des,de,81
des,le,71
chambres,chambre,22
de,de,81
justice,justice,22
/.,/.,P
il,il,51
est,être,17
rare,rare,30
que,que,83
la,le,71
charité,charité,22
et,et,82
la,le,71
pitié,pitié,22
sortent,sortir,17
de,de,81
toutes,tout,75
ces,ce,74
paroles,parole,22
/.,/.,P
ce,ce,52
qui,qui,52
en,en,52
sort,sortir,17
le,le,71
plus,plus,60
souvent,souvent,60
",",",",p
ce,ce,52
sont,être,17
des,de,81
des,le,71
condamnations,condamnation,22
faites,fait,31
d',de,81
avance,avance,22
/.,/.,P
tous,tout,75
ces,ce,74
groupes,groupe,21
semblent,sembler,17
à,à,81
l',le,71
observateur,observateur,21
qui,qui,52
passe,passer,17
et,et,82
qui,qui,52
rêve,rêver,17
autant,autant,60
de,de,81
ruches,ruche,22
sombres,sombre,30
où,où,60
des,de,81
des,le,71
espèces,espèce,22
d',de,81
esprits,esprit,21
bourdonnants,bourdonnant,30
construisent,construire,17
en,en,81
commun,commun,21
toutes,tout,75
sortes,sorte,22
d',de,81
édifices,édifice,21
ténébreux,ténébreux,30
/.,/.,P
cette,ce,74
salle,salle,22
",",",",p
spacieuse,spacieux,30
et,et,82
éclairée,éclairé,31
d',de,81
une,un,71
seule,seul,30
lampe,lampe,22
",",",",p
était,être,18
une,un,71
ancienne,ancien,30
antichambre,antichambre,22
de,de,81
l',le,71
évêché,évêché,21
et,et,82
servait,servir,18
de,de,81
salle,salle,22
des,de,81
des,le,71
pas,pas,60
perdus,perdu,31
/.,/.,P
une,un,71
porte,porte,22
à,à,81
deux,deux,72
battants,battant,21
",",",",p
fermée,fermé,31
en,en,81
ce,ce,74
moment,moment,21
",",",",p
la,le,52
séparait,séparer,18
de,de,81
la,le,71
grande,grand,30
chambre,chambre,22
où,où,60
siégeait,siéger,18
la,le,71
cour,cour,22
d',de,81
assises,assise,22
/.,/.,P
l',le,71
obscurité,obscurité,22
était,être,18
telle,tel,75
qu',que,83
il,il,51
ne,ne,60
craignit,craindre,19
pas,pas,60
de,de,81
s',se,51
adresser,adresser,14
au,à,81
au,le,71
premier,premier,72
avocat,avocat,21
qu',que,83
il,il,51
rencontra,rencontrer,19
/.,/.,P
-,-,p
monsieur,monsieur,21
",",",",p
dit,dire,19
il,il,51
",",",",p
où,où,60
en,en,52
est,être,17
on,on,51
/?,/?,P
c',ce,52
est,être,17
fini,finir,12
",",",",p
dit,dire,19
l',le,71
avocat,avocat,21
/.,/.,P
-,-,p
fini,fini,31
/!,/!,P
ce,ce,74
mot,mot,21
fut,être,19
répété,répéter,12
d',de,81
un,un,71
tel,tel,75
accent,accent,21
que,que,83
l',le,71
avocat,avocat,21
se,se,51
retourna,retourner,19
/.,/.,P
-,-,p
pardon,pardon,21
",",",",p
monsieur,monsieur,21
",",",",p
vous,vous,51
êtes,être,17
peut-être,peut-être,60
un,un,71
parent,parent,21
/?,/?,P
non,non,60
/.,/.,P
je,je,51
ne,ne,60
connais,connaître,17
personne,personne,52
ici,ici,60
/.,/.,P
et,et,82
y,y,52
a,avoir,17
t,t,94
il,il,51
eu,avoir,12
condamnation,condamnation,22
/?,/?,P
sans,sans,81
doute,doute,21
/.,/.,P
cela,cela,52
n',ne,60
était,être,18
guère,guère,60
possible,possible,30
autrement,autrement,60
/.,/.,P
-,-,p
aux,à,81
aux,le,71
travaux,travail,21
forcés,forcé,31
?,?,p
/…,/…,P
-,-,p
à,à,81
perpétuité,perpétuité,22
/.,/.,P
il,il,51
reprit,reprendre,19
d',de,81
une,un,71
voix,voix,22
tellement,tellement,60
faible,faible,30
qu',que,83
on,on,51
l',le,52
entendait,entendre,18
à,à,81
peine,peine,22
:,:,p
-,-,p
l',le,71
identité,identité,22
a,avoir,17
donc,donc,82
été,être,12
constatée,constater,12
/?,/?,P
quelle,quel,75
identité,identité,22
?,?,p
répondit,répondre,19
l',le,71
avocat,avocat,21
/.,/.,P
il,il,51
n',ne,60
y,y,52
avait,avoir,18
pas,pas,60
d',de,81
identité,identité,22
à,à,81
constater,constater,14
/.,/.,P
l',le,71
affaire,affaire,22
était,être,18
simple,simple,30
/.,/.,P
cette,ce,74
femme,femme,22
avait,avoir,18
tué,tuer,12
son,son,73
enfant,enfant,21
",",",",p
l',le,71
infanticide,infanticide,21
a,avoir,17
été,être,12
prouvé,prouver,12
",",",",p
le,le,71
jury,jury,21
a,avoir,17
écarté,écarter,12
la,le,71
préméditation,préméditation,22
",",",",p
on,on,51
l',le,52
a,avoir,17
condamnée,condamner,12
à,à,81
vie,vie,22
/.,/.,P
-,-,p
c',ce,52
est,être,17
donc,donc,82
une,un,71
femme,femme,22
?,?,p
dit,dire,19
il,il,51
/.,/.,P
-,-,p
mais,mais,82
sûrement,sûrement,60
/.,/.,P
la,le,71
fille,fille,22
Limosin,Limosin,20
/.,/.,P
de,de,81
quoi,quoi,52
me,je,51
parlez,parler,17
vous,vous,51
donc,donc,82
/?,/?,P
de,de,81
rien,rien,52
/.,/.,P
mais,mais,82
puisque,puisque,83
c',ce,52
est,être,17
fini,finir,12
",",",",p
comment,comment,60
se,se,51
fait,faire,17
il,il,51
que,que,83
la,le,71
salle,salle,22
soit,être,17
encore,encore,60
éclairée,éclairer,12
/?,/?,P
c',ce,52
est,être,17
pour,pour,81
l',le,71
autre,autre,75
affaire,affaire,22
qu',que,83
on,on,51
a,avoir,17
commencée,commencer,12
il,il,51
y,y,52
a,avoir,17
à,à,81
peu,peu,60
près,près,81
deux,deux,72
heures,heure,22
/.,/.,P
-,-,p
quelle,quel,75
autre,autre,75
affaire,affaire,22
/?,/?,P
oh,oh,93
!,!,p
celle-là,celui-là,52
est,être,17
claire,clair,30
aussi,aussi,60
/.,/.,P
c',ce,52
est,être,17
une,un,71
espèce,espèce,22
de,de,81
gueux,gueux,21
",",",",p
un,un,71
récidiviste,récidiviste,21
",",",",p
un,un,71
galérien,galérien,21
",",",",p
qui,qui,52
a,avoir,17
volé,voler,12
/.,/.,P
je,je,51
ne,ne,60
sais,savoir,17
plus,plus,60
trop,trop,60
son,son,73
nom,nom,21
/.,/.,P
en,en,52
voilà,voilà,81
un,un,52
qui,qui,52
vous,vous,51
a,avoir,17
une,un,71
mine,mine,22
de,de,81
bandit,bandit,21
/.,/.,P
rien,rien,52
que,que,83
pour,pour,81
avoir,avoir,14
cette,ce,74
figure,figure,22
là,là,60
",",",",p
je,je,51
l',le,52
enverrais,envoyer,16
aux,à,81
aux,le,71
galères,galère,22
/.,/.,P
-,-,p
monsieur,monsieur,21
",",",",p
demanda,demander,19
t,t,94
il,il,51
",",",",p
y,y,52
a,avoir,17
t,t,94
il,il,51
moyen,moyen,21
de,de,81
pénétrer,pénétrer,14
dans,dans,81
la,le,71
salle,salle,22
/?,/?,P
je,je,51
ne,ne,60
crois,croire,17
vraiment,vraiment,60
pas,pas,60
/.,/.,P
il,il,51
y,y,52
a,avoir,17
beaucoup,beaucoup,60
de,de,81
foule,foule,22
/.,/.,P
cependant,cependant,82
l',le,71
audience,audience,22
est,être,17
suspendue,suspendre,12
/.,/.,P
il,il,51
y,y,52
a,avoir,17
des,de,81
des,le,71
gens,gens,21
qui,qui,52
sont,être,17
sortis,sortir,12
",",",",p
et,et,82
",",",",p
à,à,81
la,le,71
reprise,reprise,22
de,de,81
l',le,71
audience,audience,22
",",",",p
vous,vous,51
pourrez,pouvoir,15
essayer,essayer,14
/.,/.,P
-,-,p
par,par,81
où,où,60
entre,entrer,17
t,t,94
on,on,51
/?,/?,P
par,par,81
cette,ce,74
grande,grand,30
porte,porte,22
/.,/.,P
l',le,71
avocat,avocat,21
le,le,52
quitta,quitter,19
/.,/.,P
en,en,81
quelques,quelque,75
instants,instant,21
",",",",p
il,il,51
avait,avoir,18
éprouvé,éprouver,12
",",",",p
presque,presque,60
en,en,81
même,même,75
temps,temps,21
",",",",p
presque,presque,60
mêlées,mêlé,31
",",",",p
toutes,tout,75
les,le,71
émotions,émotion,22
possibles,possible,30
/.,/.,P
les,le,71
paroles,parole,22
de,de,81
cet,ce,74
indifférent,indifférent,30
lui,lui,51
avaient,avoir,18
tour,tour,21
à,à,81
tour,tour,21
traversé,traverser,12
le,le,71
coeur,coeur,21
comme,comme,83
des,de,81
des,le,71
aiguilles,aiguille,22
de,de,81
glace,glace,22
et,et,82
comme,comme,83
des,de,81
des,le,71
lames,lame,22
de,de,81
feu,feu,21
/.,/.,P
quand,quand,83
il,il,51
vit,voir,19
que,que,83
rien,rien,52
n',ne,60
était,être,18
terminé,terminer,12
",",",",p
il,il,51
respira,respirer,19
;,;,p
mais,mais,82
il,il,51
n',ne,60
eût,avoir,19
pu,pouvoir,12
dire,dire,14
si,si,83
ce,ce,52
qu',que,52
il,il,51
ressentait,ressentir,18
était,être,18
du,de,81
du,le,71
contentement,contentement,21
ou,ou,82
de,de,81
la,le,71
douleur,douleur,22
/.,/.,P
il,il,51
s',se,51
approcha,approcher,19
de,de,81
plusieurs,plusieurs,75
groupes,groupe,21
et,et,82
il,il,51
écouta,écouter,19
ce,ce,52
qu',que,52
on,on,51
disait,dire,18
/.,/.,P
le,le,71
rôle,rôle,21
de,de,81
la,le,71
session,session,22
étant,être,13
très,très,60
chargé,charger,12
",",",",p
le,le,71
président,président,21
avait,avoir,18
indiqué,indiquer,12
pour,pour,81
ce,ce,74
même,même,75
jour,jour,21
deux,deux,72
affaires,affaire,22
simples,simple,30
et,et,82
courtes,court,30
/.,/.,P
on,on,51
avait,avoir,18
commencé,commencer,12
par,par,81
l',le,71
infanticide,infanticide,21
",",",",p
et,et,82
maintenant,maintenant,60
on,on,51
en,en,52
était,être,18
au,à,81
au,le,71
forçat,forçat,21
",",",",p
au,à,81
au,le,71
récidiviste,récidiviste,21
",",",",p
au,à,81
au,le,71
“,“,p
cheval,cheval,21
de,de,81
retour,retour,21
“,“,p
/.,/.,P
cet,ce,74
homme,homme,21
avait,avoir,18
volé,voler,12
des,de,81
des,le,71
pommes,pomme,22
",",",",p
mais,mais,82
cela,cela,52
ne,ne,60
paraissait,paraître,18
pas,pas,60
bien,bien,60
prouvé,prouver,12
;,;,p
ce,ce,52
qui,qui,52
était,être,18
prouvé,prouver,12
",",",",p
c',ce,52
est,être,17
qu',que,83
il,il,51
avait,avoir,18
été,être,12
déjà,déjà,60
aux,à,81
aux,le,71
galères,galère,22
à,à,81
Toulon,Toulon,20
/.,/.,P
c',ce,52
est,être,17
ce,ce,52
qui,qui,52
faisait,faire,18
son,son,73
affaire,affaire,22
mauvaise,mauvais,30
/.,/.,P
du,de,81
du,le,71
reste,reste,21
",",",",p
l',le,71
interrogatoire,interrogatoire,21
de,de,81
l',le,71
homme,homme,21
était,être,18
terminé,terminer,12
et,et,82
les,le,71
dépositions,déposition,22
des,de,81
des,le,71
témoins,témoin,21
;,;,p
mais,mais,82
il,il,51
y,y,52
avait,avoir,18
encore,encore,60
les,le,71
plaidoiries,plaidoirie,22
de,de,81
l',le,71
avocat,avocat,21
et,et,82
le,le,71
réquisitoire,réquisitoire,21
du,de,81
du,le,71
ministère,ministère,21
public,public,30
;,;,p
cela,cela,52
ne,ne,60
devait,devoir,18
guère,guère,60
finir,finir,14
avant,avant,81
minuit,minuit,21
/.,/.,P
l',le,71
homme,homme,21
serait,être,16
probablement,probablement,60
condamné,condamner,12
;,;,p
l',le,71
avocat,avocat,21
général,général,30
était,être,18
très,très,60
bon,bon,30
-,-,p
et,et,82
ne,ne,60
manquait,manquer,18
pas,pas,60
ses,son,73
accusés,accusé,21
-,-,p
c',ce,52
était,être,18
un,un,71
garçon,garçon,21
d',de,81
esprit,esprit,21
qui,qui,52
faisait,faire,18
des,de,81
des,le,71
vers,vers,21
/.,/.,P
un,un,71
huissier,huissier,21
se,se,51
tenait,tenir,18
debout,debout,60
près,près,81
de,de,81
la,le,71
porte,porte,22
qui,qui,52
communiquait,communiquer,18
avec,avec,81
la,le,71
salle,salle,22
des,de,81
des,le,71
assises,assise,22
/.,/.,P
il,il,51
demanda,demander,19
à,à,81
cet,ce,74
huissier,huissier,21
:,:,p
-,-,p
monsieur,monsieur,21
",",",",p
la,le,71
porte,porte,22
va,aller,17
t,t,94
elle,il,51
bientôt,bientôt,60
s',se,51
ouvrir,ouvrir,14
/?,/?,P
elle,il,51
ne,ne,60
s',se,51
ouvrira,ouvrir,15
pas,pas,60
",",",",p
dit,dire,19
l',le,71
huissier,huissier,21
/.,/.,P
-,-,p
comment,comment,60
!,!,p
on,on,51
ne,ne,60
l',le,52
ouvrira,ouvrir,15
pas,pas,60
à,à,81
la,le,71
reprise,reprise,22
de,de,81
l',le,71
audience,audience,22
?,?,p
est,être,17
ce,ce,52
que,que,83
l',le,71
audience,audience,22
n',ne,60
est,être,17
pas,pas,60
suspendue,suspendre,12
/?,/?,P
l',le,71
audience,audience,22
vient,venir,17
d',de,81
être,être,14
reprise,reprendre,12
",",",",p
répondit,répondre,19
l',le,71
huissier,huissier,21
",",",",p
mais,mais,82
la,le,71
porte,porte,22
ne,ne,60
se,se,51
rouvrira,rouvrir,15
pas,pas,60
/.,/.,P
-,-,p
pourquoi,pourquoi,60
/?,/?,P
parce que,parce que,83
la,le,71
salle,salle,22
est,être,17
pleine,plein,30
/.,/.,P
-,-,p
quoi,quoi,52
?,?,p
il,il,51
n',ne,60
y,y,52
a,avoir,17
plus,plus,60
une,un,71
place,place,22
/?,/?,P
plus,plus,60
une,un,71
seule,seul,30
/.,/.,P
la,le,71
porte,porte,22
est,être,17
fermée,fermer,12
/.,/.,P
personne,personne,52
ne,ne,60
peut,pouvoir,17
plus,plus,60
entrer,entrer,14
/.,/.,P
l',le,71
huissier,huissier,21
ajouta,ajouter,19
après,après,81
un,un,71
silence,silence,21
:,:,p
-,-,p
il,il,51
y,y,52
a,avoir,17
bien,bien,60
encore,encore,60
deux,deux,72
ou,ou,82
trois,trois,72
places,place,22
derrière,derrière,81
monsieur,monsieur,21
le,le,71
président,président,21
",",",",p
mais,mais,82
monsieur,monsieur,21
le,le,71
président,président,21
n',ne,60
y,y,52
admet,admettre,17
que,que,83
les,le,71
fonctionnaires,fonctionnaire,21
publics,public,30
/.,/.,P
cela,cela,52
dit,dit,31
",",",",p
l',le,71
huissier,huissier,21
lui,lui,51
tourna,tourner,19
le,le,71
dos,dos,21
/.,/.,P
il,il,51
se,se,51
retira,retirer,19
la,le,71
tête,tête,22
baissée,baissé,31
