<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Cinquantième extrait>,<>,<>
Birotteau,Birotteau,20
traitait,traiter,18
Popinot,Popinot,20
comme,comme,83
un,un,71
professeur,professeur,21
de,de,81
rhétorique,rhétorique,22
traite,traiter,17
un,un,71
élève,élève,21
",",",",p
il,il,51
se,se,51
défiait,défier,18
de,de,81
ses,son,73
moyens,moyen,21
",",",",p
et,et,82
regrettait,regretter,18
de,de,81
n',ne,60
être,être,14
pas,pas,60
derrière,derrière,81
lui,lui,51
/.,/.,P
le,le,71
coup,coup,21
de,de,81
pied,pied,21
qu',que,52
il,il,51
lui,lui,51
avait,avoir,18
allongé,allonger,12
pour,pour,81
le,le,52
faire,faire,14
taire,taire,14
chez,chez,81
Vauquelin,Vauquelin,20
explique,expliquer,17
les,le,71
craintes,crainte,22
que,que,52
le,le,71
jeune,jeune,30
négociant,négociant,21
inspirait,inspirer,18
au,à,81
au,le,71
parfumeur,parfumeur,21
/.,/.,P
Birotteau,Birotteau,20
se,se,51
gardait,garder,18
bien,bien,60
de,de,81
se,se,51
laisser,laisser,14
deviner,deviner,14
par,par,81
sa,son,73
femme,femme,22
",",",",p
par,par,81
sa,son,73
fille,fille,22
ou,ou,82
par,par,81
son,son,73
commis,commis,21
;,;,p
mais,mais,82
il,il,51
était,être,18
alors,alors,60
comme,comme,83
un,un,71
simple,simple,30
canotier,canotier,21
de,de,81
la,le,71
Seine,Seine,20
à,à,81
qui,qui,52
",",",",p
par,par,81
hasard,hasard,21
",",",",p
un,un,71
ministre,ministre,21
aurait,avoir,16
donné,donner,12
le,le,71
commandement,commandement,21
d',de,81
une,un,71
frégate,frégate,22
/.,/.,P
ces,ce,74
pensées,pensée,22
formaient,former,18
comme,comme,83
un,un,71
brouillard,brouillard,21
dans,dans,81
son,son,73
intelligence,intelligence,22
peu,peu,60
propre,propre,30
à,à,81
la,le,71
méditation,méditation,22
",",",",p
et,et,82
il,il,51
restait,rester,18
debout,debout,60
",",",",p
cherchant,chercher,13
à,à,81
y,y,52
voir,voir,14
clair,clair,60
/.,/.,P
en,en,81
ce,ce,74
moment,moment,21
apparut,apparaître,19
dans,dans,81
la,le,71
rue,rue,22
une,un,71
figure,figure,22
pour,pour,81
laquelle,lequel,52
il,il,51
éprouvait,éprouver,18
une,un,71
violente,violent,30
antipathie,antipathie,22
",",",",p
et,et,82
qui,qui,52
était,être,18
celle,celui,52
de,de,81
son,son,73
deuxième,deuxième,72
propriétaire,propriétaire,21
",",",",p
le,le,71
petit,petit,30
Molineux,Molineux,20
/.,/.,P
tout,tout,75
le,le,71
monde,monde,21
a,avoir,17
fait,faire,12
de,de,81
ces,ce,74
rêves,rêve,21
pleins,plein,30
d',de,81
événements,événement,21
qui,qui,52
représentent,représenter,17
une,un,71
vie,vie,22
entière,entier,30
",",",",p
et,et,82
où,où,60
revient,revenir,17
souvent,souvent,60
un,un,71
être,être,21
fantastique,fantastique,30
chargé,chargé,31
de,de,81
mauvaises,mauvais,30
commissions,commission,22
",",",",p
le,le,71
traître,traître,21
de,de,81
la,le,71
pièce,pièce,22
/.,/.,P
Molineux,Molineux,20
semblait,sembler,18
à,à,81
Birotteau,Birotteau,20
chargé,chargé,31
par,par,81
le,le,71
hasard,hasard,21
d',de,81
un,un,71
rôle,rôle,21
analogue,analogue,30
dans,dans,81
sa,son,73
vie,vie,22
:,:,p
cette,ce,74
figure,figure,22
avait,avoir,18
grimacé,grimacer,12
diaboliquement,diaboliquement,60
au,à,81
au,le,71
milieu,milieu,21
de,de,81
la,le,71
fête,fête,22
",",",",p
en,en,81
en,en,81
regardant,regarder,13
les,le,71
somptuosités,somptuosité,22
d',de,81
un,un,71
oeil,oeil,21
haineux,haineux,30
/.,/.,P
en,en,81
le,le,52
revoyant,revoir,13
",",",",p
César,César,20
se,se,51
souvint,souvenir,19
d'autant,d'autant,60
plus,plus,60
des,de,81
des,le,71
impressions,impression,22
que,que,52
lui,lui,51
avait,avoir,18
causées,causer,12
ce,ce,74
petit,petit,30
pingre,pingre,21
",",",",p
un,un,71
mot,mot,21
de,de,81
son,son,73
vocabulaire,vocabulaire,21
",",",",p
que,que,52
Molineux,Molineux,20
lui,lui,51
fit,faire,19
éprouver,éprouver,14
une,un,71
nouvelle,nouveau,30
répulsion,répulsion,22
en,en,81
se,se,51
montrant,montrer,13
soudain,soudain,30
au,à,81
au,le,71
milieu,milieu,21
de,de,81
sa,son,73
rêverie,rêverie,22
/.,/.,P
-,-,p
monsieur,monsieur,21
",",",",p
dit,dire,19
le,le,71
petit,petit,30
homme,homme,21
de,de,81
sa,son,73
voix,voix,22
atrocement,atrocement,60
anodine,anodin,30
",",",",p
nous,nous,51
avons,avoir,17
bâclé,bâcler,12
si,si,60
lestement,lestement,60
les,le,71
choses,chose,22
que,que,52
vous,vous,51
avez,avoir,17
oublié,oublier,12
d',de,81
approuver,approuver,14
l',le,71
écriture,écriture,22
sur,sur,81
notre,notre,73
petit,petit,60
sous-seing,sous-seing,21
/.,/.,P
Birotteau,Birotteau,20
prit,prendre,19
le,le,71
bail,bail,21
pour,pour,81
réparer,réparer,14
l',le,71
oubli,oubli,21
/.,/.,P
l',le,71
architecte,architecte,21
entra,entrer,19
",",",",p
salua,saluer,19
le,le,71
parfumeur,parfumeur,21
et,et,82
tourna,tourner,19
d',de,81
un,un,71
air,air,21
diplomatique,diplomatique,30
autour,autour,60
de,de,81
lui,lui,51
/.,/.,P
-,-,p
monsieur,monsieur,21
",",",",p
lui,lui,51
dit,dire,19
il,il,51
enfin,enfin,60
à,à,81
l',le,71
oreille,oreille,22
",",",",p
vous,vous,51
savez,savoir,17
combien,combien,60
les,le,71
commencements,commencement,21
d',de,81
un,un,71
métier,métier,21
sont,être,17
difficiles,difficile,30
;,;,p
vous,vous,51
êtes,être,17
content,content,30
de,de,81
moi,moi,51
",",",",p
vous,vous,51
m',je,51
obligeriez,obliger,16
beaucoup,beaucoup,60
en,en,81
me,je,51
comptant,compter,13
mes,mon,73
honoraires,honoraire,21
/.,/.,P
Birotteau,Birotteau,20
",",",",p
qui,qui,52
s',se,51
était,être,18
dégarni,dégarnir,12
en,en,81
donnant,donner,13
son,son,73
portefeuille,portefeuille,21
et,et,82
son,son,73
argent,argent,21
comptant,comptant,30
",",",",p
dit,dire,19
à,à,81
Célestin,Célestin,20
de,de,81
faire,faire,14
un,un,71
effet,effet,21
de,de,81
deux,deux,72
mille,mille,72
francs,franc,21
à,à,81
trois,trois,72
mois,mois,21
d',de,81
échéance,échéance,22
",",",",p
et,et,82
de,de,81
préparer,préparer,14
une,un,71
quittance,quittance,22
/.,/.,P
-,-,p
j',je,51
ai,avoir,17
été,être,12
bien,bien,60
heureux,heureux,30
que,que,83
vous,vous,51
prissiez,prendre,18
à,à,81
votre,votre,73
compte,compte,21
le,le,71
terme,terme,21
du,de,81
du,le,71
voisin,voisin,21
",",",",p
dit,dire,19
Molineux,Molineux,20
d',de,81
un,un,71
air,air,21
sournoisement,sournoisement,60
goguenard,goguenard,30
/.,/.,P
mon,mon,73
portier,portier,21
est,être,17
venu,venir,12
me,je,51
prévenir,prévenir,14
ce,ce,74
matin,matin,21
que,que,83
le,le,71
juge,juge,21
de,de,81
paix,paix,22
apposait,apposer,18
les,le,71
scellés,scellé,21
par,par,81
suite,suite,22
de,de,81
la,le,71
disparition,disparition,22
du,de,81
du,le,71
sieur,sieur,21
Cayron,Cayron,20
/.,/.,P
-,-,p
pourvu,pourvu,81
que,que,83
je,je,51
ne,ne,60
sois,être,17
pas,pas,60
pincé,pincer,12
de,de,81
cinq,cinq,72
mille,mille,72
francs,franc,21
",",",",p
pensa,penser,19
Birotteau,Birotteau,20
/.,/.,P
-,-,p
il,il,51
passait,passer,18
pour,pour,81
très,très,60
bien,bien,60
faire,faire,14
ses,son,73
affaires,affaire,22
",",",",p
dit,dire,19
Lourdois,Lourdois,20
qui,qui,52
venait,venir,18
d',de,81
entrer,entrer,14
pour,pour,81
remettre,remettre,14
son,son,73
mémoire,mémoire,21
au,à,81
au,le,71
parfumeur,parfumeur,21
/.,/.,P
-,-,p
un,un,71
commerçant,commerçant,21
n',ne,60
est,être,17
à,à,81
l',le,71
abri,abri,21
des,de,81
des,le,71
revers,revers,21
que,que,83
quand,quand,83
il,il,51
est,être,17
retiré,retirer,12
",",",",p
dit,dire,19
le,le,71
petit,petit,30
Molineux,Molineux,20
en,en,81
pliant,plier,13
son,son,73
acte,acte,21
avec,avec,81
une,un,71
minutieuse,minutieux,30
régularité,régularité,22
/.,/.,P
l',le,71
architecte,architecte,21
examina,examiner,19
ce,ce,74
petit,petit,30
vieux,vieux,21
avec,avec,81
le,le,71
plaisir,plaisir,21
que,que,52
tout,tout,75
artiste,artiste,21
éprouve,éprouver,17
en,en,81
voyant,voir,13
une,un,71
caricature,caricature,22
qui,qui,52
confirme,confirmer,17
ses,son,73
opinions,opinion,22
sur,sur,81
les,le,71
bourgeois,bourgeois,21
/.,/.,P
-,-,p
quand,quand,83
on,on,51
a,avoir,17
la,le,71
tête,tête,22
sous,sous,81
un,un,71
parapluie,parapluie,21
",",",",p
on,on,51
pense,penser,17
généralement,généralement,60
qu',que,83
elle,il,51
est,être,17
à,à,81
couvert,couvert,21
s',si,83
il,il,51
pleut,pleuvoir,17
",",",",p
dit,dire,19
l',le,71
architecte,architecte,21
/.,/.,P
Molineux,Molineux,20
étudia,étudier,19
beaucoup,beaucoup,60
plus,plus,60
les,le,71
moustaches,moustache,22
et,et,82
la,le,71
royale,royal,30
que,que,83
la,le,71
figure,figure,22
de,de,81
l',le,71
architecte,architecte,21
en,en,81
le,le,52
regardant,regarder,13
",",",",p
et,et,82
il,il,51
le,le,52
méprisa,mépriser,19
tout,tout,60
autant,autant,60
que,que,83
monsieur,monsieur,21
Grindot,Grindot,20
le,le,52
méprisait,mépriser,18
/.,/.,P
puis,puis,60
il,il,51
resta,rester,19
pour,pour,81
lui,lui,51
donner,donner,14
un,un,71
coup,coup,21
de,de,81
griffe,griffe,22
en,en,81
sortant,sortir,13
/.,/.,P
à,à,81
force,force,22
de,de,81
vivre,vivre,14
avec,avec,81
ses,son,73
chats,chat,21
",",",",p
Molineux,Molineux,20
avait,avoir,18
dans,dans,81
sa,son,73
manière,manière,22
comme,comme,83
dans,dans,81
ses,son,73
yeux,oeil,21
quelque,quelque,75
chose,chose,22
de,de,81
la,le,71
race,race,22
féline,félin,30
/.,/.,P
en,en,81
ce,ce,74
moment,moment,21
Ragon,Ragon,20
et,et,82
Pillerault,Pillerault,20
entrèrent,entrer,19
/.,/.,P
-,-,p
nous,nous,51
avons,avoir,17
parlé,parler,12
de,de,81
notre,notre,73
affaire,affaire,22
au,à,81
au,le,71
juge,juge,21
",",",",p
dit,dire,19
Ragon,Ragon,20
à,à,81
l',le,71
oreille,oreille,22
de,de,81
César,César,20
:,:,p
il,il,51
prétend,prétendre,17
que,que,83
",",",",p
dans,dans,81
une,un,71
spéculation,spéculation,22
de,de,81
ce,ce,74
genre,genre,21
",",",",p
il,il,51
nous,nous,51
faudrait,falloir,16
une,un,71
quittance,quittance,22
des,de,81
des,le,71
vendeurs,vendeur,21
et,et,82
réaliser,réaliser,14
les,le,71
actes,acte,21
",",",",p
afin,afin,81
d',de,81
être,être,14
tous,tout,52
réellement,réellement,60
propriétaires,propriétaire,21
indivis,indivis,30
/…,/…,P
ah,ah,93
!,!,p
vous,vous,51
faites,faire,17
l',le,71
affaire,affaire,22
de,de,81
la,le,71
Madeleine,Madeleine,20
",",",",p
dit,dire,19
Lourdois,Lourdois,20
",",",",p
on,on,51
en,en,52
parle,parler,17
",",",",p
il,il,51
y,y,52
aura,avoir,15
des,de,81
des,le,71
maisons,maison,22
à,à,81
construire,construire,14
/!,/!,P
le,le,71
peintre,peintre,21
qui,qui,52
venait,venir,18
se,se,51
faire,faire,14
promptement,promptement,60
régler,régler,14
trouva,trouver,19
son,son,73
intérêt,intérêt,21
à,à,81
ne,ne,60
pas,pas,60
presser,presser,14
le,le,71
parfumeur,parfumeur,21
/.,/.,P
-,-,p
je,je,51
vous,vous,51
ai,avoir,17
remis,remettre,12
mon,mon,73
mémoire,mémoire,21
à,à,81
cause,cause,22
de,de,81
la,le,71
fin,fin,22
de,de,81
l',le,71
année,année,22
",",",",p
dit,dire,19
il,il,51
à,à,81
l',le,71
oreille,oreille,22
de,de,81
César,César,20
",",",",p
je,je,51
n',ne,60
ai,avoir,17
besoin,besoin,21
de,de,81
rien,rien,52
/.,/.,P
-,-,p
eh,eh,93
!,!,p
bien,bien,60
",",",",p
qu',que,52
as,avoir,17
tu,tu,51
César,César,20
?,?,p
dit,dire,19
Pillerault,Pillerault,20
en,en,81
remarquant,remarquer,13
la,le,71
surprise,surprise,22
de,de,81
son,son,73
neveu,neveu,21
qui,qui,52
",",",",p
stupéfait,stupéfait,30
par,par,81
la,le,71
vue,vue,22
du,de,81
du,le,71
mémoire,mémoire,21
",",",",p
ne,ne,60
répondait,répondre,18
ni,ni,82
à,à,81
Ragon,Ragon,20
ni,ni,82
à,à,81
Lourdois,Lourdois,20
/.,/.,P
-,-,p
ah,ah,93
!,!,p
une,un,71
vétille,vétille,22
",",",",p
j',je,51
ai,avoir,17
pris,prendre,12
cinq,cinq,72
mille,mille,72
francs,franc,21
d',de,81
effets,effet,21
au,à,81
au,le,71
marchand,marchand,21
de,de,81
parapluies,parapluie,21
mon,mon,73
voisin,voisin,21
",",",",p
qui,qui,52
fait,faire,17
faillite,faillite,22
/.,/.,P
s',si,83
il,il,51
m',je,51
avait,avoir,18
donné,donner,12
des,de,81
des,le,71
valeurs,valeur,22
mauvaises,mauvais,30
",",",",p
je,je,51
serais,être,16
gobé,gober,12
comme,comme,83
un,un,71
niais,niais,21
/.,/.,P
-,-,p
il,il,51
y,y,52
a,avoir,17
pourtant,pourtant,60
longtemps,longtemps,60
que,que,83
je,je,51
vous,vous,51
l',le,52
ai,avoir,17
dit,dire,12
",",",",p
s',se,51
écria,écrier,19
Ragon,Ragon,20
:,:,p
celui,celui,52
qui,qui,52
se,se,51
noie,noyer,17
s',se,51
accrocherait,accrocher,16
à,à,81
la,le,71
jambe,jambe,22
de,de,81
son,son,73
père,père,21
pour,pour,81
se,se,51
sauver,sauver,14
",",",",p
et,et,82
il,il,51
le,le,52
noie,noyer,17
avec,avec,81
lui,lui,51
/.,/.,P
j',je,51
en,en,52
ai,avoir,17
tant,tant,60
observé,observer,12
",",",",p
de,de,81
faillites,faillite,22
!,!,p
on,on,51
n',ne,60
est,être,17
pas,pas,60
précisément,précisément,60
fripon,fripon,30
au,à,81
au,le,71
commencement,commencement,21
du,de,81
du,le,71
désastre,désastre,21
",",",",p
mais,mais,82
on,on,51
le,le,52
devient,devenir,17
par,par,81
nécessité,nécessité,22
/.,/.,P
-,-,p
c',ce,52
est,être,17
vrai,vrai,30
",",",",p
dit,dire,19
Pillerault,Pillerault,20
/.,/.,P
-,-,p
ah,ah,93
!,!,p
si,si,83
j',je,51
arrive,arriver,17
jamais,jamais,60
à,à,81
la,le,71
chambre,chambre,22
des,de,81
des,le,71
députés,député,21
",",",",p
ou,ou,82
si,si,83
j',je,51
ai,avoir,17
quelque,quelque,75
influence,influence,22
dans,dans,81
le,le,71
gouvernement,gouvernement,21
…,…,p
dit,dire,19
Birotteau,Birotteau,20
se,se,51
dressant,dresser,13
sur,sur,81
ses,son,73
pointes,pointe,22
et,et,82
retombant,retomber,13
sur,sur,81
ses,son,73
talons,talon,21
/.,/.,P
-,-,p
que,que,52
feriez,faire,16
vous,vous,51
?,?,p
dit,dire,19
Lourdois,Lourdois,20
",",",",p
car,car,82
vous,vous,51
êtes,être,17
un,un,71
sage,sage,21
/.,/.,P
Molineux,Molineux,20
",",",",p
que,que,52
toute,tout,75
discussion,discussion,22
sur,sur,81
le,le,71
droit,droit,21
intéressait,intéresser,18
",",",",p
resta,rester,19
dans,dans,81
la,le,71
boutique,boutique,22
;,;,p
et,et,82
comme,comme,83
l',le,71
attention,attention,22
des,de,81
des,le,71
autres,autre,52
rend,rendre,17
attentif,attentif,30
",",",",p
Pillerault,Pillerault,20
et,et,82
Ragon,Ragon,20
",",",",p
qui,qui,52
connaissaient,connaître,18
les,le,71
opinions,opinion,22
de,de,81
César,César,20
",",",",p
l',le,52
écoutèrent,écouter,19
néanmoins,néanmoins,60
aussi,aussi,60
gravement,gravement,60
que,que,83
les,le,71
trois,trois,72
étrangers,étranger,21
/.,/.,P
-,-,p
je,je,51
voudrais,vouloir,16
",",",",p
dit,dire,19
le,le,71
parfumeur,parfumeur,21
",",",",p
un,un,71
tribunal,tribunal,21
de,de,81
juges,juge,21
inamovibles,inamovible,30
avec,avec,81
un,un,71
ministère,ministère,21
public,public,30
jugeant,juger,13
au,à,81
au,le,71
criminel,criminel,21
/.,/.,P
après,après,81
une,un,71
instruction,instruction,22
",",",",p
pendant,pendant,81
laquelle,lequel,52
un,un,71
juge,juge,21
remplirait,remplir,16
immédiatement,immédiatement,60
les,le,71
fonctions,fonction,22
actuelles,actuel,30
des,de,81
des,le,71
agents,agent,21
",",",",p
syndics,syndic,21
et,et,82
juge,juge,21
commissaire,commissaire,21
",",",",p
le,le,71
négociant,négociant,21
serait,être,16
déclaré,déclarer,12
failli,failli,21
réhabilitable,réhabilitable,30
ou,ou,82
banqueroutier,banqueroutier,21
/.,/.,P
failli,failli,21
réhabilitable,réhabilitable,30
",",",",p
il,il,51
serait,être,16
tenu,tenir,12
de,de,81
tout,tout,52
payer,payer,14
;,;,p
il,il,51
serait,être,16
alors,alors,60
le,le,71
gardien,gardien,21
de,de,81
ses,son,73
biens,bien,21
",",",",p
de,de,81
ceux,celui,52
de,de,81
sa,son,73
femme,femme,22
;,;,p
car,car,82
ses,son,73
droits,droit,21
",",",",p
ses,son,73
héritages,héritage,21
",",",",p
tout,tout,52
appartiendrait,appartenir,16
à,à,81
ses,son,73
créanciers,créancier,21
;,;,p
il,il,51
gérerait,gérer,16
pour,pour,81
leur,leur,73
compte,compte,21
et,et,82
sous,sous,81
une,un,71
surveillance,surveillance,22
;,;,p
enfin,enfin,60
",",",",p
il,il,51
continuerait,continuer,16
les,le,71
affaires,affaire,22
en,en,81
signant,signer,13
toutefois,toutefois,60
:,:,p
un,un,71
tel,tel,52
",",",",p
failli,failli,31
",",",",p
jusqu',jusque,81
au,à,81
au,le,71
parfait,parfait,31
remboursement,remboursement,21
/.,/.,P
banqueroutier,banqueroutier,21
",",",",p
il,il,51
serait,être,16
condamné,condamner,12
",",",",p
comme,comme,83
autrefois,autrefois,60
",",",",p
au,à,81
au,le,71
pilori,pilori,21
dans,dans,81
la,le,71
salle,salle,22
de,de,81
la,le,71
bourse,bourse,22
",",",",p
exposé,exposé,31
pendant,pendant,81
deux,deux,72
heures,heure,22
",",",",p
coiffé,coiffé,31
du,de,81
du,le,71
bonnet,bonnet,21
vert,vert,30
/.,/.,P
ses,son,73
biens,bien,21
",",",",p
ceux,celui,52
de,de,81
sa,son,73
femme,femme,22
et,et,82
ses,son,73
droits,droit,21
seraient,être,16
acquis,acquérir,12
aux,à,81
aux,le,71
créanciers,créancier,21
",",",",p
et,et,82
il,il,51
serait,être,16
banni,bannir,12
du,de,81
du,le,71
royaume,royaume,21
/.,/.,P
-,-,p
le,le,71
commerce,commerce,21
serait,être,16
un,un,71
peu,peu,60
plus,plus,60
sûr,sûr,30
",",",",p
dit,dire,19
Lourdois,Lourdois,20
",",",",p
et,et,82
l',l',94
on,on,51
regarderait,regarder,16
à,à,81
deux,deux,72
fois,fois,22
avant,avant,81
de,de,81
faire,faire,14
des,de,81
des,le,71
opérations,opération,22
/.,/.,P
-,-,p
la,le,71
loi,loi,22
actuelle,actuel,30
n',ne,60
est,être,17
point,point,60
suivie,suivre,12
",",",",p
dit,dire,19
César,César,20
exaspéré,exaspéré,31
;,;,p
sur,sur,81
cent,cent,72
négociants,négociant,21
",",",",p
il,il,51
y,y,52
en,en,52
a,avoir,17
plus,plus,60
de,de,81
cinquante,cinquante,72
qui,qui,52
sont,être,17
de,de,81
soixante,soixante,72
quinze,quinze,72
pour,pour,81
cent,cent,72
au-dessous,au-dessous,60
de,de,81
leurs,leur,73
affaires,affaire,22
",",",",p
ou,ou,82
qui,qui,52
vendent,vendre,17
leurs,leur,73
marchandises,marchandise,22
à,à,81
vingt,vingt,72
cinq,cinq,72
pour,pour,81
cent,cent,72
au-dessous,au-dessous,60
du,de,81
du,le,71
prix,prix,21
d',de,81
inventaire,inventaire,21
",",",",p
et,et,82
qui,qui,52
ruinent,ruiner,17
ainsi,ainsi,60
le,le,71
commerce,commerce,21
/.,/.,P
-,-,p
monsieur,monsieur,21
est,être,17
dans,dans,81
le,le,71
vrai,vrai,30
",",",",p
dit,dire,19
Molineux,Molineux,20
",",",",p
la,le,71
loi,loi,22
actuelle,actuel,30
laisse,laisser,17
trop,trop,60
de,de,81
latitude,latitude,22
/.,/.,P
il,il,51
faut,falloir,17
ou,ou,82
l',le,71
abandon,abandon,21
total,total,30
ou,ou,82
l',le,71
infamie,infamie,22
/.,/.,P
-,-,p
eh,eh,93
!,!,p
diantre,diantre,60
",",",",p
dit,dire,19
César,César,20
",",",",p
un,un,71
négociant,négociant,21
",",",",p
au,à,81
au,le,71
train,train,21
dont,dont,52
vont,aller,17
les,le,71
choses,chose,22
",",",",p
va,aller,17
devenir,devenir,14
un,un,71
voleur,voleur,21
patenté,patenté,31
/.,/.,P
avec,avec,81
sa,son,73
signature,signature,22
",",",",p
il,il,51
peut,pouvoir,17
puiser,puiser,14
dans,dans,81
la,le,71
caisse,caisse,22
de,de,81
tout,tout,75
le,le,71
monde,monde,21
/.,/.,P
-,-,p
vous,vous,51
n',ne,60
êtes,être,17
pas,pas,60
tendre,tendre,30
",",",",p
monsieur,monsieur,21
Birotteau,Birotteau,20
",",",",p
dit,dire,19
Lourdois,Lourdois,20
/.,/.,P
-,-,p
il,il,51
a,avoir,17
raison,raison,22
",",",",p
dit,dire,19
le,le,71
vieux,vieux,30
Ragon,Ragon,20
/.,/.,P
-,-,p
tous,tout,75
les,le,71
faillis,failli,21
sont,être,17
suspects,suspect,30
",",",",p
dit,dire,19
César,César,20
exaspéré,exaspéré,31
par,par,81
cette,ce,74
petite,petit,30
perte,perte,22
qui,qui,52
lui,lui,51
sonnait,sonner,18
aux,à,81
aux,le,71
oreilles,oreille,22
comme,comme,83
le,le,71
premier,premier,72
cri,cri,21
de,de,81
l',le,71
hallali,hallali,21
à,à,81
celles,celui,52
d',de,81
un,un,71
cerf,cerf,21
/.,/.,P
en,en,81
ce,ce,74
moment,moment,21
le,le,71
maître,maître,21
d',de,81
hôtel,hôtel,21
apporta,apporter,19
la,le,71
facture,facture,22
de,de,81
Chevet,Chevet,20
/.,/.,P
puis,puis,60
un,un,71
patronnet,patronnet,21
de,de,81
Félix,Félix,20
",",",",p
un,un,71
garçon,garçon,21
du,de,81
du,le,71
café,café,21
de,de,81
Foy,Foy,20
",",",",p
la,le,71
clarinette,clarinette,22
de,de,81
Collinet,Collinet,20
arrivèrent,arriver,19
avec,avec,81
les,le,71
mémoires,mémoire,22
de,de,81
leurs,leur,73
maisons,maison,22
/.,/.,P
-,-,p
le,le,71
quart,quart,21
d',de,81
heure,heure,22
de,de,81
Rabelais,Rabelais,20
",",",",p
dit,dire,19
Ragon,Ragon,20
en,en,81
souriant,sourire,13
/.,/.,P
-,-,p
ma,mon,73
foi,foi,22
",",",",p
vous,vous,51
avez,avoir,17
donné,donner,12
une,un,71
belle,beau,30
fête,fête,22
",",",",p
dit,dire,19
Lourdois,Lourdois,20
/.,/.,P
-,-,p
je,je,51
suis,être,17
occupé,occuper,12
",",",",p
dit,dire,19
César,César,20
à,à,81
tous,tout,75
les,le,71
garçons,garçon,21
qui,qui,52
laissèrent,laisser,19
les,le,71
factures,facture,22
/.,/.,P
-,-,p
monsieur,monsieur,21
Grindot,Grindot,20
",",",",p
dit,dire,19
Lourdois,Lourdois,20
en,en,81
voyant,voir,13
l',le,71
architecte,architecte,21
pliant,plier,13
un,un,71
effet,effet,21
que,que,52
signa,signer,19
Birotteau,Birotteau,20
",",",",p
vous,vous,51
vérifierez,vérifier,15
et,et,82
réglerez,régler,15
mon,mon,73
mémoire,mémoire,21
",",",",p
il,il,51
n',ne,60
y,y,52
a,avoir,17
qu',que,83
à,à,81
toiser,toiser,14
",",",",p
tous,tout,75
les,le,71
prix,prix,21
sont,être,17
convenus,convenir,12
par,par,81
vous,vous,51
au,à,81
au,le,71
nom,nom,21
de,de,81
monsieur,monsieur,21
Birotteau,Birotteau,20
/.,/.,P
Pillerault,Pillerault,20
regarda,regarder,19
Lourdois,Lourdois,20
et,et,82
Grindot,Grindot,20
/.,/.,P
-,-,p
des,de,81
des,le,71
prix,prix,21
convenus,convenu,31
d',de,81
architecte,architecte,21
à,à,81
entrepreneur,entrepreneur,21
",",",",p
dit,dire,19
l',le,71
oncle,oncle,21
à,à,81
l',le,71
