11870
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Quatre-vingt-neuvième extrait>,<>,<>
dans,dans,81
l',le,71
habitude,habitude,22
des,de,81
des,le,71
paupières,paupière,22
",",",",p
le,le,71
je ne sais quoi,je-ne-sais-quoi,21
divin,divin,30
/.,/.,P
ses,son,73
traits,trait,21
",",",",p
les,le,71
contours,contour,21
de,de,81
sa,son,73
tête,tête,22
que,que,52
l',le,71
expression,expression,22
du,de,81
du,le,71
plaisir,plaisir,21
n',ne,60
avait,avoir,18
jamais,jamais,60
ni,ni,82
altérés,altérer,12
ni,ni,82
fatigués,fatiguer,12
",",",",p
ressemblaient,ressembler,18
aux,à,81
aux,le,71
lignes,ligne,22
d',de,81
horizon,horizon,21
si,si,60
doucement,doucement,60
tranchées,tranché,31
dans,dans,81
le,le,71
lointain,lointain,21
des,de,81
des,le,71
lacs,lac,21
tranquilles,tranquille,30
/.,/.,P
cette,ce,74
physionomie,physionomie,22
calme,calme,30
",",",",p
colorée,coloré,31
",",",",p
bordée,bordé,31
de,de,81
lueur,lueur,22
comme,comme,83
une,un,71
jolie,joli,30
fleur,fleur,22
éclose,éclos,31
",",",",p
reposait,reposer,18
l',le,71
âme,âme,22
",",",",p
communiquait,communiquer,18
le,le,71
charme,charme,21
de,de,81
la,le,71
conscience,conscience,22
qui,qui,52
s',se,51
y,y,52
reflétait,refléter,18
",",",",p
et,et,82
commandait,commander,18
le,le,71
regard,regard,21
/.,/.,P
Eugénie,Eugénie,20
était,être,18
encore,encore,60
sur,sur,81
la,le,71
rive,rive,22
de,de,81
la,le,71
vie,vie,22
où,où,60
fleurissent,fleurir,17
les,le,71
illusions,illusion,22
enfantines,enfantin,30
",",",",p
où,où,60
se,se,51
cueillent,cueillir,17
les,le,71
marguerites,marguerite,22
avec,avec,81
des,de,81
des,le,71
délices,délice,21
plus,plus,60
tard,tard,60
inconnues,inconnu,30
/.,/.,P
aussi,aussi,60
se,se,51
dit,dire,17
elle,il,51
en,en,81
se,se,51
mirant,mirer,13
",",",",p
sans,sans,81
savoir,savoir,14
encore,encore,60
ce,ce,52
qu',que,52
était,être,18
l',le,71
amour,amour,21
:,:,p
-,-,p
je,je,51
suis,être,17
trop,trop,60
laide,laid,30
",",",",p
il,il,51
ne,ne,60
fera,faire,15
pas,pas,60
attention,attention,22
à,à,81
moi,moi,51
/.,/.,P
puis,puis,60
elle,il,51
ouvrit,ouvrir,19
la,le,71
porte,porte,22
de,de,81
sa,son,73
chambre,chambre,22
qui,qui,52
donnait,donner,18
sur,sur,81
l',le,71
escalier,escalier,21
",",",",p
et,et,82
tendit,tendre,19
le,le,71
cou,cou,21
pour,pour,81
écouter,écouter,14
les,le,71
bruits,bruit,21
de,de,81
la,le,71
maison,maison,22
/.,/.,P
-,-,p
il,il,51
ne,ne,60
se,se,51
lève,lever,17
pas,pas,60
",",",",p
pensa,penser,19
t,t,94
elle,il,51
en,en,81
entendant,entendre,13
la,le,71
tousserie,tousserie,22
matinale,matinal,30
de,de,81
Nanon,Nanon,20
",",",",p
et,et,82
la,le,71
bonne,bon,30
fille,fille,22
allant,aller,13
",",",",p
venant,venir,13
",",",",p
balayant,balayer,13
la,le,71
salle,salle,22
",",",",p
allumant,allumer,13
son,son,73
feu,feu,21
",",",",p
enchaînant,enchaîner,13
le,le,71
chien,chien,21
et,et,82
parlant,parler,13
à,à,81
ses,son,73
bêtes,bête,22
dans,dans,81
l',le,71
écurie,écurie,22
/.,/.,P
aussitôt,aussitôt,60
Eugénie,Eugénie,20
descendit,descendre,19
et,et,82
courut,courir,19
à,à,81
Nanon,Nanon,20
qui,qui,52
trayait,traire,18
la,le,71
vache,vache,22
/.,/.,P
-,-,p
Nanon,Nanon,20
",",",",p
ma,mon,73
bonne,bon,30
Nanon,Nanon,20
",",",",p
fais,faire,17
donc,donc,82
de,de,81
la,le,71
crème,crème,22
pour,pour,81
le,le,71
café,café,21
de,de,81
mon,mon,73
cousin,cousin,21
/.,/.,P
-,-,p
mais,mais,82
",",",",p
mademoiselle,mademoiselle,22
",",",",p
il,il,51
aurait,avoir,16
fallu,falloir,12
s',se,51
y,y,52
prendre,prendre,14
hier,hier,60
",",",",p
dit,dire,19
Nanon,Nanon,20
qui,qui,52
partit,partir,19
d',de,81
un,un,71
gros,gros,30
éclat,éclat,21
de,de,81
rire,rire,21
/.,/.,P
je,je,51
ne,ne,60
peux,pouvoir,17
pas,pas,60
faire,faire,14
de,de,81
la,le,71
crème,crème,22
/.,/.,P
votre,votre,73
cousin,cousin,21
est,être,17
mignon,mignon,30
",",",",p
mignon,mignon,30
",",",",p
mais,mais,82
vraiment,vraiment,60
mignon,mignon,30
/.,/.,P
vous,vous,51
ne,ne,60
l',le,52
avez,avoir,17
pas,pas,60
vu,voir,12
dans,dans,81
sa,son,73
chambrelouque,chambrelouque,22
de,de,81
soie,soie,22
et,et,82
d',de,81
or,or,21
/.,/.,P
je,je,51
l',le,52
ai,avoir,17
vu,voir,12
",",",",p
moi,moi,51
/.,/.,P
il,il,51
porte,porter,17
du,de,81
du,le,71
linge,linge,21
fin,fin,30
comme,comme,83
celui,celui,52
du,de,81
du,le,71
surplis,surplis,21
à,à,81
monsieur,monsieur,21
le,le,71
curé,curé,21
/.,/.,P
-,-,p
Nanon,Nanon,20
",",",",p
fais,faire,17
nous,nous,51
donc,donc,82
de,de,81
la,le,71
galette,galette,22
/.,/.,P
-,-,p
et,et,82
qui,qui,52
me,je,51
donnera,donner,15
du,de,81
du,le,71
bois,bois,21
pour,pour,81
le,le,71
four,four,21
",",",",p
et,et,82
de,de,81
la,le,71
farine,farine,22
",",",",p
et,et,82
du,de,81
du,le,71
beurre,beurre,21
?,?,p
dit,dire,19
Nanon,Nanon,20
laquelle,lequel,52
en,en,81
sa,son,73
qualité,qualité,22
de,de,81
premier,premier,72
ministre,ministre,21
de,de,81
Grandet,Grandet,20
prenait,prendre,18
parfois,parfois,60
une,un,71
importance,importance,22
énorme,énorme,30
aux,à,81
aux,le,71
yeux,oeil,21
d',de,81
Eugénie,Eugénie,20
et,et,82
de,de,81
sa,son,73
mère,mère,22
/.,/.,P
faut,falloir,17
il,il,51
pas,pas,60
le,le,52
voler,voler,14
",",",",p
cet,ce,74
homme,homme,21
",",",",p
pour,pour,81
fêter,fêter,14
votre,votre,73
cousin,cousin,21
/?,/?,P
demandez,demander,17
lui,lui,51
du,de,81
du,le,71
beurre,beurre,21
",",",",p
de,de,81
la,le,71
farine,farine,22
",",",",p
du,de,81
du,le,71
bois,bois,21
",",",",p
il,il,51
est,être,17
votre,votre,73
père,père,21
",",",",p
il,il,51
peut,pouvoir,17
vous,vous,51
en,en,52
donner,donner,14
/.,/.,P
tenez,tenir,17
",",",",p
le,le,52
voilà,voilà,81
qui,qui,52
descend,descendre,17
pour,pour,81
voir,voir,14
aux,à,81
aux,le,71
provisions,provision,22
/…,/…,P
Eugénie,Eugénie,20
se,se,51
sauva,sauver,19
dans,dans,81
le,le,71
jardin,jardin,21
",",",",p
tout,tout,60
épouvantée,épouvanté,31
en,en,81
entendant,entendre,13
trembler,trembler,14
l',le,71
escalier,escalier,21
sous,sous,81
le,le,71
pas,pas,21
de,de,81
son,son,73
père,père,21
/.,/.,P
elle,il,51
éprouvait,éprouver,18
déjà,déjà,60
les,le,71
effets,effet,21
de,de,81
cette,ce,74
profonde,profond,30
pudeur,pudeur,22
et,et,82
de,de,81
cette,ce,74
conscience,conscience,22
particulière,particulier,30
de,de,81
notre,notre,73
bonheur,bonheur,21
qui,qui,52
nous,nous,51
fait,faire,17
croire,croire,14
",",",",p
non,non,60
sans,sans,81
raison,raison,22
peut-être,peut-être,60
",",",",p
que,que,83
nos,notre,73
pensées,pensée,22
sont,être,17
gravées,graver,12
sur,sur,81
notre,notre,73
front,front,21
et,et,82
sautent,sauter,17
aux,à,81
aux,le,71
yeux,oeil,21
d',de,81
autrui,autrui,21
/.,/.,P
en,en,81
s',se,51
apercevant,apercevoir,13
enfin,enfin,60
du,de,81
du,le,71
froid,froid,30
dénuement,dénuement,21
de,de,81
la,le,71
maison,maison,22
paternelle,paternel,30
",",",",p
la,le,71
pauvre,pauvre,30
fille,fille,22
concevait,concevoir,18
une,un,71
sorte,sorte,22
de,de,81
dépit,dépit,21
de,de,81
ne,ne,60
pouvoir,pouvoir,14
la,le,52
mettre,mettre,14
en,en,81
harmonie,harmonie,22
avec,avec,81
l',le,71
élégance,élégance,22
de,de,81
son,son,73
cousin,cousin,21
/.,/.,P
elle,il,51
éprouva,éprouver,19
un,un,71
besoin,besoin,21
passionné,passionné,31
de,de,81
faire,faire,14
quelque,quelque,75
chose,chose,22
pour,pour,81
lui,lui,51
;,;,p
quoi,quoi,52
?,?,p
elle,il,51
n',ne,60
en,en,52
savait,savoir,18
rien,rien,52
/.,/.,P
naïve,naïf,30
et,et,82
vraie,vrai,30
",",",",p
elle,il,51
se,se,51
laissait,laisser,18
aller,aller,14
à,à,81
sa,son,73
nature,nature,22
angélique,angélique,30
sans,sans,81
se,se,51
défier,défier,14
ni,ni,82
de,de,81
ses,son,73
impressions,impression,22
",",",",p
ni,ni,82
de,de,81
ses,son,73
sentiments,sentiment,21
/.,/.,P
le,le,71
seul,seul,30
aspect,aspect,21
de,de,81
son,son,73
cousin,cousin,21
avait,avoir,18
éveillé,éveiller,12
chez,chez,81
elle,il,51
les,le,71
penchants,penchant,21
naturels,naturel,30
de,de,81
la,le,71
femme,femme,22
",",",",p
et,et,82
ils,ils,51
durent,devoir,19
se,se,51
déployer,déployer,14
d'autant,d'autant,60
plus,plus,60
vivement,vivement,60
",",",",p
qu',que,83
ayant,avoir,13
atteint,atteindre,12
sa,son,73
vingt-troisième,vingt-troisième,72
année,année,22
",",",",p
elle,il,51
se,se,51
trouvait,trouver,18
dans,dans,81
la,le,71
plénitude,plénitude,22
de,de,81
son,son,73
intelligence,intelligence,22
et,et,82
de,de,81
ses,son,73
désirs,désir,21
/.,/.,P
pour,pour,81
la,le,71
première,premier,72
fois,fois,22
",",",",p
elle,il,51
eut,avoir,19
dans,dans,81
le,le,71
coeur,coeur,21
de,de,81
la,le,71
terreur,terreur,22
à,à,81
l',le,71
aspect,aspect,21
de,de,81
son,son,73
père,père,21
",",",",p
vit,voir,19
en,en,81
lui,lui,51
le,le,71
maître,maître,21
de,de,81
son,son,73
sort,sort,21
",",",",p
et,et,82
se,se,51
crut,croire,19
coupable,coupable,30
d',de,81
une,un,71
faute,faute,22
en,en,81
lui,lui,51
taisant,taire,13
quelques,quelque,75
pensées,pensée,22
/.,/.,P
elle,il,51
se,se,51
mit,mettre,19
à,à,81
marcher,marcher,14
à,à,81
pas,pas,21
précipités,précipité,31
en,en,81
s',se,51
étonnant,étonner,13
de,de,81
respirer,respirer,14
un,un,71
air,air,21
plus,plus,60
pur,pur,30
",",",",p
de,de,81
sentir,sentir,14
les,le,71
rayons,rayon,21
du,de,81
du,le,71
soleil,soleil,21
plus,plus,60
vivifiants,vivifiant,30
",",",",p
et,et,82
d',de,81
y,y,52
puiser,puiser,14
une,un,71
chaleur,chaleur,22
morale,moral,30
",",",",p
une,un,71
vie,vie,22
nouvelle,nouveau,30
/.,/.,P
pendant,pendant,81
qu',que,83
elle,il,51
cherchait,chercher,18
un,un,71
artifice,artifice,21
pour,pour,81
obtenir,obtenir,14
la,le,71
galette,galette,22
",",",",p
il,il,51
s',se,51
élevait,élever,18
entre,entre,81
la,le,71
grande,grand,30
Nanon,Nanon,20
et,et,82
Grandet,Grandet,20
une,un,52
de,de,81
ces,ce,74
querelles,querelle,22
aussi,aussi,60
rares,rare,30
entre,entre,81
eux,ils,51
que,que,83
le,le,52
sont,être,17
les,le,71
hirondelles,hirondelle,22
en,en,81
hiver,hiver,21
/.,/.,P
muni,muni,31
de,de,81
ses,son,73
clefs,clé,22
",",",",p
le,le,71
bonhomme,bonhomme,21
était,être,18
venu,venir,12
pour,pour,81
mesurer,mesurer,14
les,le,71
vivres,vivre,21
nécessaires,nécessaire,30
à,à,81
la,le,71
consommation,consommation,22
de,de,81
la,le,71
journée,journée,22
/.,/.,P
-,-,p
reste,rester,17
t,t,94
il,il,51
du,de,81
du,le,71
pain,pain,21
d',de,81
hier,hier,60
?,?,p
dit,dire,19
il,il,51
à,à,81
Nanon,Nanon,20
/.,/.,P
-,-,p
pas,pas,60
une,un,71
miette,miette,22
",",",",p
monsieur,monsieur,21
/.,/.,P
Grandet,Grandet,20
prit,prendre,19
un,un,71
gros,gros,30
pain,pain,21
rond,rond,30
",",",",p
bien,bien,60
enfariné,enfariné,30
",",",",p
moulé,moulé,31
dans,dans,81
un,un,52
de,de,81
ces,ce,74
paniers,panier,21
plats,plat,30
qui,qui,52
servent,servir,17
à,à,81
boulanger,boulanger,14
en,en,81
Anjou,Anjou,20
",",",",p
et,et,82
il,il,51
allait,aller,18
le,le,52
couper,couper,14
",",",",p
quand,quand,83
Nanon,Nanon,20
lui,lui,51
dit,dire,19
:,:,p
-,-,p
nous,nous,51
sommes,être,17
cinq,cinq,72
",",",",p
aujourd'hui,aujourd'hui,60
",",",",p
monsieur,monsieur,21
/.,/.,P
-,-,p
c',ce,52
est,être,17
vrai,vrai,30
",",",",p
répondit,répondre,19
Grandet,Grandet,20
",",",",p
mais,mais,82
ton,ton,73
pain,pain,21
pèse,peser,17
six,six,72
livres,livre,22
",",",",p
il,il,51
en,en,52
restera,rester,15
/.,/.,P
d',de,81
ailleurs,ailleurs,60
",",",",p
ces,ce,74
jeunes,jeune,30
gens,gens,21
de,de,81
Paris,Paris,20
",",",",p
tu,tu,51
verras,voir,15
que,que,83
ça,ça,52
ne,ne,60
mange,manger,17
point,point,60
de,de,81
pain,pain,21
/.,/.,P
-,-,p
ça,ça,52
mangera,manger,15
donc,donc,82
de,de,81
la,le,71
frippe,frippe,22
",",",",p
dit,dire,19
Nanon,Nanon,20
/.,/.,P
en,en,81
Anjou,Anjou,20
",",",",p
la,le,71
frippe,frippe,22
",",",",p
mot,mot,21
du,de,81
du,le,71
lexique,lexique,21
populaire,populaire,30
",",",",p
exprime,exprimer,17
l',le,71
accompagnement,accompagnement,21
du,de,81
du,le,71
pain,pain,21
",",",",p
depuis,depuis,81
le,le,71
beurre,beurre,21
étendu,étendu,31
sur,sur,81
la,le,71
tartine,tartine,22
",",",",p
frippe,frippe,22
vulgaire,vulgaire,30
",",",",p
jusqu',jusque,81
aux,à,81
aux,le,71
confitures,confiture,22
d',de,81
alleberge,alleberge,22
",",",",p
la,le,71
plus,plus,60
distinguée,distingué,31
des,de,81
des,le,71
frippes,frippe,22
;,;,p
et,et,82
tous,tout,75
ceux,celui,52
qui,qui,52
",",",",p
dans,dans,81
leur,leur,73
enfance,enfance,22
",",",",p
ont,avoir,17
léché,lécher,12
la,le,71
frippe,frippe,22
et,et,82
laissé,laisser,12
le,le,71
pain,pain,21
",",",",p
comprendront,comprendre,15
la,le,71
portée,portée,22
de,de,81
cette,ce,74
locution,locution,22
/.,/.,P
-,-,p
non,non,60
",",",",p
répondit,répondre,19
Grandet,Grandet,20
",",",",p
ça,ça,52
ne,ne,60
mange,manger,17
ni,ni,82
frippe,frippe,22
",",",",p
ni,ni,82
pain,pain,21
/.,/.,P
ils,ils,51
sont,être,17
quasiment,quasiment,60
comme,comme,83
des,de,81
des,le,71
filles,fille,22
à,à,81
marier,marier,14
/.,/.,P
enfin,enfin,60
",",",",p
après,après,81
avoir,avoir,14
parcimonieusement,parcimonieusement,60
ordonné,ordonner,12
le,le,71
menu,menu,21
quotidien,quotidien,30
",",",",p
le,le,71
bonhomme,bonhomme,21
allait,aller,18
se,se,51
diriger,diriger,14
vers,vers,81
son,son,73
fruitier,fruitier,21
",",",",p
en,en,81
fermant,fermer,13
néanmoins,néanmoins,60
les,le,71
armoires,armoire,22
de,de,81
sa,son,73
dépense,dépense,22
",",",",p
lorsque,lorsque,83
Nanon,Nanon,20
l',le,52
arrêta,arrêter,19
pour,pour,81
lui,lui,51
dire,dire,14
:,:,p
-,-,p
monsieur,monsieur,21
",",",",p
donnez,donner,17
moi,moi,51
donc,donc,82
alors,alors,60
de,de,81
la,le,71
farine,farine,22
et,et,82
du,de,81
du,le,71
beurre,beurre,21
",",",",p
je,je,51
ferai,faire,15
une,un,71
galette,galette,22
aux,à,81
aux,le,71
enfants,enfant,21
/.,/.,P
-,-,p
ne,ne,60
vas,aller,17
tu,tu,51
pas,pas,60
mettre,mettre,14
la,le,71
maison,maison,22
au,à,81
au,le,71
pillage,pillage,21
à,à,81
cause,cause,22
de,de,81
mon,mon,73
neveu,neveu,21
/?,/?,P
je,je,51
ne,ne,60
pensais,penser,18
pas,pas,60
plus,plus,60
à,à,81
votre,votre,73
neveu,neveu,21
qu',que,83
à,à,81
votre,votre,73
chien,chien,21
",",",",p
pas,pas,60
plus,plus,60
que,que,83
vous,vous,51
n',ne,60
y,y,52
pensez,penser,17
vous-même,vous-même,51
/.,/.,P
ne,ne,60
voilà,voilà,81
t,t,94
il,il,51
pas,pas,60
que,que,83
vous,vous,51
ne,ne,60
m',je,51
avez,avoir,17
aveint,aveindre,12
que,que,83
six,six,72
morceaux,morceau,21
de,de,81
sucre,sucre,21
",",",",p
m',je,51
en,en,52
faut,falloir,17
huit,huit,72
/.,/.,P
-,-,p
ha,ah,93
!,!,p
çà,çà,60
",",",",p
Nanon,Nanon,20
",",",",p
je,je,51
ne,ne,60
t',tu,51
ai,avoir,17
jamais,jamais,60
vue,voir,12
comme,comme,83
ça,ça,52
/.,/.,P
qu',que,52
est,être,17
ce,ce,52
qui,qui,52
te,tu,51
passe,passer,17
donc,donc,82
par,par,81
la,le,71
tête,tête,22
/?,/?,P
es,être,17
tu,tu,51
la,le,71
maîtresse,maîtresse,22
ici,ici,60
/?,/?,P
tu,tu,51
n',ne,60
auras,avoir,15
que,que,83
six,six,72
morceaux,morceau,21
de,de,81
sucre,sucre,21
/.,/.,P
-,-,p
eh,eh,93
!,!,p
bien,bien,60
",",",",p
votre,votre,73
neveu,neveu,21
",",",",p
avec,avec,81
quoi,quoi,52
donc,donc,82
qu',que,83
il,il,51
sucrera,sucrer,15
son,son,73
café,café,21
/?,/?,P
avec,avec,81
deux,deux,72
morceaux,morceau,21
",",",",p
je,je,51
m',je,51
en,en,52
passerai,passer,15
",",",",p
moi,moi,51
/.,/.,P
-,-,p
vous,vous,51
vous,vous,51
passerez,passer,15
de,de,81
sucre,sucre,21
",",",",p
à,à,81
votre,votre,73
âge,âge,21
/!,/!,P
j',je,51
aimerais,aimer,16
mieux,mieux,60
vous,vous,51
en,en,52
acheter,acheter,14
de,de,81
ma,mon,73
poche,poche,22
/.,/.,P
-,-,p
mêle,mêler,17
toi,toi,51
de,de,81
ce,ce,52
qui,qui,52
te,tu,51
regarde,regarder,17
/.,/.,P
malgré,malgré,81
la,le,71
baisse,baisse,22
du,de,81
du,le,71
prix,prix,21
",",",",p
le,le,71
sucre,sucre,21
était,être,18
toujours,toujours,60
",",",",p
aux,à,81
aux,le,71
yeux,oeil,21
du,de,81
du,le,71
tonnelier,tonnelier,21
",",",",p
la,le,71
plus,plus,60
précieuse,précieux,30
des,de,81
des,le,71
denrées,denrée,22
coloniales,colonial,30
",",",",p
il,il,51
valait,valoir,18
toujours,toujours,60
six,six,72
francs,franc,21
la,le,71
livre,livre,22
",",",",p
pour,pour,81
lui,lui,51
/.,/.,P
l',le,71
obligation,obligation,22
de,de,81
le,le,52
ménager,ménager,14
",",",",p
prise,pris,31
sous,sous,81
l',le,71
Empire,empire,21
",",",",p
était,être,18
devenue,devenir,12
la,le,71
plus,plus,60
indélébile,indélébile,30
de,de,81
ses,son,73
habitudes,habitude,22
/.,/.,P
toutes,tout,75
les,le,71
femmes,femme,22
",",",",p
même,même,60
la,le,71
plus,plus,60
niaise,niais,30
",",",",p
savent,savoir,17
ruser,ruser,14
pour,pour,81
arriver,arriver,14
à,à,81
leurs,leur,73
fins,fin,22
",",",",p
Nanon,Nanon,20
abandonna,abandonner,19
la,le,71
question,question,22
du,de,81
du,le,71
sucre,sucre,21
pour,pour,81
obtenir,obtenir,14
la,le,71
galette,galette,22
/.,/.,P
-,-,p
mademoiselle,mademoiselle,22
",",",",p
cria,crier,19
t,t,94
elle,il,51
par,par,81
la,le,71
croisée,croisée,22
",",",",p
est,être,17
ce,ce,52
pas,pas,60
que,que,83
vous,vous,51
voulez,vouloir,17
de,de,81
la,le,71
galette,galette,22
/?,/?,P
non,non,60
",",",",p
non,non,60
",",",",p
répondit,répondre,19
Eugénie,Eugénie,20
/.,/.,P
-,-,p
allons,aller,17
",",",",p
Nanon,Nanon,20
",",",",p
dit,dire,19
Grandet,Grandet,20
