11756
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Quatre-vingt-quatorzième extrait>,<>,<>
pan,pan,21
de,de,81
muraille,muraille,22
à,à,81
demi,demi,30
calciné,calciné,31
se,se,51
dressait,dresser,18
au,à,81
au,le,71
bord,bord,21
de,de,81
la,le,71
route,route,22
/.,/.,P
les,le,71
toits,toit,21
des,de,81
des,le,71
cabanes,cabane,22
s',se,51
effondraient,effondrer,18
",",",",p
et,et,82
",",",",p
dans,dans,81
l',le,71
intérieur,intérieur,21
",",",",p
on,on,51
distinguait,distinguer,18
des,de,81
des,le,71
éclats,éclat,21
de,de,81
poteries,poterie,22
",",",",p
des,de,81
des,le,71
lambeaux,lambeau,21
de,de,81
vêtements,vêtement,21
",",",",p
toutes,tout,75
sortes,sorte,22
d',de,81
ustensiles,ustensile,21
et,et,82
de,de,81
choses,chose,22
brisées,brisé,31
méconnaissables,méconnaissable,30
/.,/.,P
souvent,souvent,60
un,un,71
être,être,21
couvert,couvert,31
de,de,81
haillons,haillon,21
",",",",p
la,le,71
face,face,22
terreuse,terreux,30
et,et,82
les,le,71
prunelles,prunelle,22
flamboyantes,flamboyant,30
",",",",p
sortait,sortir,18
de,de,81
ces,ce,74
ruines,ruine,22
/.,/.,P
mais,mais,82
bien,bien,60
vite,vite,60
il,il,51
se,se,51
mettait,mettre,18
à,à,81
courir,courir,14
ou,ou,82
disparaissait,disparaître,18
dans,dans,81
un,un,71
trou,trou,21
/.,/.,P
Salammbô,Salammbô,20
et,et,82
son,son,73
guide,guide,21
ne,ne,60
s',se,51
arrêtaient,arrêter,18
pas,pas,60
/.,/.,P
les,le,71
plaines,plaine,22
abandonnées,abandonné,31
se,se,51
succédaient,succéder,18
/.,/.,P
sur,sur,81
de,de,81
grands,grand,30
espaces,espace,21
de,de,81
terre,terre,22
toute,tout,60
blonde,blond,30
s',se,51
étalait,étaler,18
",",",",p
par,par,81
traînées,traînée,22
inégales,inégal,30
",",",",p
une,un,71
poudre,poudre,22
de,de,81
charbon,charbon,21
que,que,52
leurs,leur,73
pas,pas,21
soulevaient,soulever,18
derrière,derrière,81
eux,ils,51
/.,/.,P
quelquefois,quelquefois,60
ils,ils,51
rencontraient,rencontrer,18
de,de,81
petits,petit,30
endroits,endroit,21
paisibles,paisible,30
",",",",p
un,un,71
ruisseau,ruisseau,21
qui,qui,52
coulait,couler,18
parmi,parmi,81
de,de,81
longues,long,30
herbes,herbe,22
;,;,p
et,et,82
",",",",p
en,en,81
remontant,remonter,13
sur,sur,81
l',le,71
autre,autre,75
bord,bord,21
",",",",p
Salammbô,Salammbô,20
",",",",p
pour,pour,81
se,se,51
rafraîchir,rafraîchir,14
les,le,71
mains,main,22
",",",",p
arrachait,arracher,18
des,de,81
des,le,71
feuilles,feuille,22
mouillées,mouillé,31
/.,/.,P
au,à,81
au,le,71
coin,coin,21
d',de,81
un,un,71
bois,bois,21
de,de,81
lauriers-roses,laurier-rose,21
",",",",p
son,son,73
cheval,cheval,21
fit,faire,19
un,un,71
grand,grand,30
écart,écart,21
devant,devant,81
le,le,71
cadavre,cadavre,21
d',de,81
un,un,71
homme,homme,21
",",",",p
étendu,étendu,31
par,par,81
terre,terre,22
/.,/.,P
l',le,71
esclave,esclave,21
",",",",p
aussitôt,aussitôt,60
",",",",p
la,le,52
rétablit,rétablir,17
sur,sur,81
les,le,71
coussins,coussin,21
/.,/.,P
c',ce,52
était,être,18
un,un,52
des,de,81
des,le,71
serviteurs,serviteur,21
du,de,81
du,le,71
temple,temple,21
",",",",p
un,un,71
homme,homme,21
que,que,83
Schahabarim,Schahabarim,20
employait,employer,18
dans,dans,81
les,le,71
missions,mission,22
périlleuses,périlleux,30
/.,/.,P
par,par,81
excès,excès,21
de,de,81
précaution,précaution,22
",",",",p
maintenant,maintenant,60
il,il,51
allait,aller,18
à,à,81
pied,pied,21
",",",",p
près,près,81
d',de,81
elle,il,51
entre,entrer,17
les,le,71
chevaux,cheval,21
;,;,p
et,et,82
il,il,51
les,le,52
fouettait,fouetter,18
avec,avec,81
le,le,71
bout,bout,21
d',de,81
un,un,71
lacet,lacet,21
de,de,81
cuir,cuir,21
enroulé,enroulé,31
à,à,81
son,son,73
bras,bras,21
",",",",p
ou,ou,82
bien,bien,60
il,il,51
tirait,tirer,18
d',de,81
une,un,71
panetière,panetière,22
suspendue,suspendu,31
contre,contre,81
sa,son,73
poitrine,poitrine,22
des,de,81
des,le,71
boulettes,boulette,22
de,de,81
froment,froment,21
",",",",p
de,de,81
dattes,datte,22
et,et,82
de,de,81
jaunes,jaune,30
d',de,81
oeufs,oeuf,21
",",",",p
enveloppées,enveloppé,31
dans,dans,81
des,de,81
des,le,71
feuilles,feuille,22
de,de,81
lotus,lotus,21
",",",",p
et,et,82
il,il,51
les,le,52
offrait,offrir,18
à,à,81
Salammbô,Salammbô,20
",",",",p
sans,sans,81
parler,parler,14
",",",",p
tout,tout,60
en,en,81
courant,courir,13
/.,/.,P
au,à,81
au,le,71
milieu,milieu,21
du,de,81
du,le,71
jour,jour,21
",",",",p
trois,trois,72
barbares,barbare,21
",",",",p
vêtus,vêtu,31
de,de,81
peaux,peau,22
de,de,81
bêtes,bête,22
",",",",p
les,le,52
croisèrent,croiser,19
sur,sur,81
le,le,71
sentier,sentier,21
/.,/.,P
peu,peu,60
à,à,81
peu,peu,60
",",",",p
il,il,51
en,en,52
parut,paraître,19
d',de,81
autres,autre,52
",",",",p
vagabondant,vagabonder,13
par,par,81
troupes,troupe,22
de,de,81
dix,dix,72
",",",",p
douze,douze,72
",",",",p
vingt,vingt,72
cinq,cinq,72
hommes,homme,21
;,;,p
plusieurs,plusieurs,75
poussaient,pousser,18
des,de,81
des,le,71
chèvres,chèvre,22
ou,ou,82
quelque,quelque,75
vache,vache,22
qui,qui,52
boitait,boiter,18
/.,/.,P
leurs,leur,73
lourds,lourd,30
bâtons,bâton,21
étaient,être,18
hérissés,hérisser,12
de,de,81
pointes,pointe,22
en,en,81
airain,airain,21
;,;,p
des,de,81
des,le,71
coutelas,coutelas,21
luisaient,luire,18
sur,sur,81
leurs,leur,73
vêtements,vêtement,21
d',de,81
une,un,71
saleté,saleté,22
farouche,farouche,30
",",",",p
et,et,82
ils,ils,51
ouvraient,ouvrir,18
les,le,71
yeux,oeil,21
avec,avec,81
un,un,71
air,air,21
de,de,81
menace,menace,22
et,et,82
d',de,81
ébahissement,ébahissement,21
/.,/.,P
tout,tout,60
en,en,81
passant,passer,13
",",",",p
quelques-uns,quelqu'un,52
envoyaient,envoyer,18
une,un,71
bénédiction,bénédiction,22
banale,banal,30
;,;,p
d',de,81
autres,autre,52
",",",",p
des,de,81
des,le,71
plaisanteries,plaisanterie,22
obscènes,obscène,30
;,;,p
et,et,82
l',le,71
homme,homme,21
de,de,81
Schahabarim,Schahabarim,20
répondait,répondre,18
à,à,81
chacun,chacun,52
dans,dans,81
son,son,73
propre,propre,30
idiome,idiome,21
/.,/.,P
il,il,51
leur,leur,52
disait,dire,18
que,que,83
c',ce,52
était,être,18
un,un,71
jeune,jeune,30
garçon,garçon,21
malade,malade,30
allant,allant,30
pour,pour,81
se,se,51
guérir,guérir,14
vers,vers,81
un,un,71
temple,temple,21
lointain,lointain,30
/.,/.,P
cependant,cependant,82
le,le,71
jour,jour,21
tombait,tomber,18
/.,/.,P
des,de,81
des,le,71
aboiements,aboiement,21
retentirent,retentir,19
;,;,p
ils,ils,51
s',se,51
en,en,52
rapprochèrent,rapprocher,19
/.,/.,P
puis,puis,60
",",",",p
aux,à,81
aux,le,71
clartés,clarté,22
du,de,81
du,le,71
crépuscule,crépuscule,21
",",",",p
ils,ils,51
aperçurent,apercevoir,19
un,un,71
enclos,enclos,21
de,de,81
pierres,pierre,22
sèches,sec,30
",",",",p
enfermant,enfermer,13
une,un,71
vague,vague,30
construction,construction,22
/.,/.,P
un,un,71
chien,chien,21
courait,courir,18
sur,sur,81
le,le,71
mur,mur,21
/.,/.,P
l',le,71
esclave,esclave,21
lui,lui,51
jeta,jeter,19
des,de,81
des,le,71
cailloux,caillou,21
;,;,p
et,et,82
ils,ils,51
entrèrent,entrer,19
dans,dans,81
une,un,71
haute,haut,30
salle,salle,22
voûtée,voûté,31
/.,/.,P
au,à,81
au,le,71
milieu,milieu,21
",",",",p
une,un,71
femme,femme,22
accroupie,accroupi,31
se,se,51
chauffait,chauffer,18
à,à,81
un,un,71
feu,feu,21
de,de,81
broussailles,broussaille,22
dont,dont,52
la,le,71
fumée,fumée,22
s',se,51
envolait,envoler,18
par,par,81
les,le,71
trous,trou,21
du,de,81
du,le,71
plafond,plafond,21
/.,/.,P
ses,son,73
cheveux,cheveu,21
blancs,blanc,30
",",",",p
qui,qui,52
lui,lui,51
tombaient,tomber,18
jusqu',jusque,81
aux,à,81
aux,le,71
genoux,genou,21
",",",",p
la,le,52
cachaient,cacher,18
à,à,81
demi,demi,30
;,;,p
et,et,82
sans,sans,81
vouloir,vouloir,14
répondre,répondre,14
",",",",p
d',de,81
un,un,71
air,air,21
idiot,idiot,30
",",",",p
elle,il,51
marmottait,marmotter,18
des,de,81
des,le,71
paroles,parole,22
de,de,81
vengeance,vengeance,22
contre,contre,81
les,le,71
barbares,barbare,21
et,et,82
contre,contre,81
les,le,71
Carthaginois,Carthaginois,20
/.,/.,P
le,le,71
coureur,coureur,21
furetait,fureter,18
de,de,81
droite,droite,22
et,et,82
de,de,81
gauche,gauche,22
/.,/.,P
puis,puis,60
il,il,51
revint,revenir,19
près,près,81
d',de,81
elle,il,51
",",",",p
en,en,81
réclamant,réclamer,13
à,à,81
manger,manger,14
/.,/.,P
la,le,71
vieille,vieille,22
branlait,branler,18
la,le,71
tête,tête,22
",",",",p
et,et,82
",",",",p
les,le,71
yeux,oeil,21
fixés,fixé,31
sur,sur,81
les,le,71
charbons,charbon,21
",",",",p
murmurait,murmurer,18
:,:,p
-,-,p
“,“,p
j',je,51
étais,être,18
la,le,71
main,main,22
/.,/.,P
les,le,71
dix,dix,72
doigts,doigt,21
sont,être,17
coupés,couper,12
/.,/.,P
la,le,71
bouche,bouche,22
ne,ne,60
mange,manger,17
plus,plus,60
/.,/.,P
“,“,p
l',le,71
esclave,esclave,21
lui,lui,51
montra,montrer,19
une,un,71
poignée,poignée,22
de,de,81
pièces,pièce,22
d',de,81
or,or,21
/.,/.,P
elle,il,51
se,se,51
rua,ruer,19
dessus,dessus,60
",",",",p
mais,mais,82
bientôt,bientôt,60
elle,il,51
reprit,reprendre,19
son,son,73
immobilité,immobilité,22
/.,/.,P
enfin,enfin,60
il,il,51
lui,lui,51
posa,poser,19
sous,sous,81
la,le,71
gorge,gorge,22
un,un,71
poignard,poignard,21
qu',que,83
il,il,51
avait,avoir,18
dans,dans,81
sa,son,73
ceinture,ceinture,22
/.,/.,P
alors,alors,60
",",",",p
en,en,81
tremblant,trembler,13
",",",",p
elle,il,51
alla,aller,19
soulever,soulever,14
une,un,71
large,large,30
pierre,pierre,22
et,et,82
rapporta,rapporter,19
une,un,71
amphore,amphore,22
de,de,81
vin,vin,21
avec,avec,81
des,de,81
des,le,71
poissons,poisson,21
d',de,81
Hippo-Zaryte,Hippo-Zaryte,20
confits,confit,31
dans,dans,81
du,de,81
du,le,71
miel,miel,21
/.,/.,P
Salammbô,Salammbô,20
se,se,51
détourna,détourner,19
de,de,81
cette,ce,74
nourriture,nourriture,22
immonde,immonde,30
",",",",p
et,et,82
elle,il,51
s',se,51
endormit,endormir,19
sur,sur,81
les,le,71
caparaçons,caparaçon,21
des,de,81
des,le,71
chevaux,cheval,21
étendus,étendu,31
dans,dans,81
un,un,71
coin,coin,21
de,de,81
la,le,71
salle,salle,22
/.,/.,P
avant,avant,81
le,le,71
jour,jour,21
",",",",p
il,il,51
la,le,52
réveilla,réveiller,19
/.,/.,P
le,le,71
chien,chien,21
hurlait,hurler,18
/.,/.,P
l',le,71
esclave,esclave,21
s',se,51
en,en,52
approcha,approcher,19
tout,tout,60
doucement,doucement,60
;,;,p
et,et,82
d',de,81
un,un,71
seul,seul,30
coup,coup,21
de,de,81
poignard,poignard,21
",",",",p
lui,lui,51
abattit,abattre,19
la,le,71
tête,tête,22
/.,/.,P
puis,puis,60
il,il,51
frotta,frotter,19
de,de,81
sang,sang,21
les,le,71
naseaux,naseau,21
des,de,81
des,le,71
chevaux,cheval,21
pour,pour,81
les,le,52
ranimer,ranimer,14
/.,/.,P
la,le,71
vieille,vieille,22
lui,lui,51
lança,lancer,19
par-derrière,par-derrière,60
une,un,71
malédiction,malédiction,22
/.,/.,P
Salammbô,Salammbô,20
l',le,52
aperçut,apercevoir,19
",",",",p
et,et,82
elle,il,51
pressa,presser,19
l',le,71
amulette,amulette,22
qu',que,83
elle,il,51
portait,porter,18
sur,sur,81
son,son,73
coeur,coeur,21
/.,/.,P
ils,ils,51
se,se,51
remirent,remettre,19
en,en,81
marche,marche,22
/.,/.,P
de,de,81
temps,temps,21
à,à,81
autre,autre,52
",",",",p
elle,il,51
demandait,demander,18
si,si,83
l',l',94
on,on,51
ne,ne,60
serait,être,16
pas,pas,60
bientôt,bientôt,60
arrivé,arriver,12
/.,/.,P
la,le,71
route,route,22
ondulait,onduler,18
sur,sur,81
de,de,81
petites,petit,30
collines,colline,22
/.,/.,P
on,on,51
n',ne,60
entendait,entendre,18
que,que,83
le,le,71
grincement,grincement,21
des,de,81
des,le,71
cigales,cigale,22
/.,/.,P
le,le,71
soleil,soleil,21
chauffait,chauffer,18
l',le,71
herbe,herbe,22
jaunie,jauni,31
;,;,p
la,le,71
terre,terre,22
était,être,18
toute,tout,60
fendillée,fendiller,12
par,par,81
des,de,81
des,le,71
crevasses,crevasse,22
",",",",p
qui,qui,52
faisaient,faire,18
",",",",p
en,en,81
la,le,52
divisant,diviser,13
",",",",p
comme,comme,83
des,de,81
des,le,71
dalles,dalle,22
monstrueuses,monstrueux,30
/.,/.,P
quelquefois,quelquefois,60
une,un,71
vipère,vipère,22
passait,passer,18
",",",",p
des,de,81
des,le,71
aigles,aigle,21
volaient,voler,18
;,;,p
l',le,71
esclave,esclave,21
courait,courir,18
toujours,toujours,60
;,;,p
Salammbô,Salammbô,20
rêvait,rêver,18
sous,sous,81
ses,son,73
voiles,voile,21
",",",",p
et,et,82
malgré,malgré,81
la,le,71
chaleur,chaleur,22
ne,ne,60
les,le,52
écartait,écarter,18
pas,pas,60
",",",",p
dans,dans,81
la,le,71
crainte,crainte,22
de,de,81
salir,salir,14
ses,son,73
beaux,beau,30
vêtements,vêtement,21
/.,/.,P
à,à,81
des,de,81
des,le,71
distances,distance,22
régulières,régulier,30
",",",",p
des,de,81
des,le,71
tours,tour,21
s',se,51
élevaient,élever,18
",",",",p
bâties,bâti,31
par,par,81
les,le,71
Carthaginois,Carthaginois,20
",",",",p
afin,afin,81
de,de,81
surveiller,surveiller,14
les,le,71
tribus,tribu,22
/.,/.,P
ils,ils,51
entraînaient,entraîner,18
dedans,dedans,60
pour,pour,81
se,se,51
mettre,mettre,14
à,à,81
l',le,71
ombre,ombre,22
",",",",p
puis,puis,60
repartaient,repartir,18
/.,/.,P
la,le,71
veille,veille,22
",",",",p
par,par,81
prudence,prudence,22
",",",",p
ils,ils,51
avaient,avoir,18
fait,faire,12
un,un,71
grand,grand,30
détour,détour,21
/.,/.,P
mais,mais,82
",",",",p
à,à,81
présent,présent,21
",",",",p
on,on,51
ne,ne,60
rencontrait,rencontrer,18
personne,personne,52
;,;,p
la,le,71
région,région,22
étant,être,13
stérile,stérile,30
",",",",p
les,le,71
barbares,barbare,21
n',ne,60
y,y,52
avaient,avoir,18
point,point,60
passé,passer,12
/.,/.,P
la,le,71
dévastation,dévastation,22
peu,peu,60
à,à,81
peu,peu,60
recommença,recommencer,19
/.,/.,P
parfois,parfois,60
",",",",p
au,à,81
au,le,71
milieu,milieu,21
d',de,81
un,un,71
champ,champ,21
",",",",p
une,un,71
mosaïque,mosaïque,22
s',se,51
étalait,étaler,18
",",",",p
seul,seul,30
débris,débris,21
d',de,81
un,un,71
château,château,21
disparu,disparu,31
;,;,p
et,et,82
les,le,71
oliviers,olivier,21
",",",",p
qui,qui,52
n',ne,60
avaient,avoir,18
pas,pas,60
de,de,81
feuilles,feuille,22
",",",",p
semblaient,sembler,18
au,à,81
au,le,71
loin,loin,60
de,de,81
larges,large,30
buissons,buisson,21
d',de,81
épines,épine,22
/.,/.,P
ils,ils,51
traversèrent,traverser,19
un,un,71
bourg,bourg,21
dont,dont,52
les,le,71
maisons,maison,22
étaient,être,18
brûlées,brûler,12
à,à,81
ras,ras,21
du,de,81
du,le,71
sol,sol,21
/.,/.,P
on,on,51
voyait,voir,18
le,le,71
long,long,21
des,de,81
des,le,71
murailles,muraille,22
des,de,81
des,le,71
squelettes,squelette,21
humains,humain,30
/.,/.,P
il,il,51
y,y,52
en,en,52
avait,avoir,18
aussi,aussi,60
de,de,81
dromadaires,dromadaire,21
et,et,82
de,de,81
mulets,mulet,21
/.,/.,P
des,de,81
des,le,71
charognes,charogne,22
à,à,81
demi,demi,30
rongées,rongé,31
barraient,barrer,18
les,le,71
rues,rue,22
/.,/.,P
la,le,71
nuit,nuit,22
descendait,descendre,18
/.,/.,P
le,le,71
ciel,ciel,21
était,être,18
bas,bas,30
et,et,82
couvert,couvrir,12
de,de,81
nuages,nuage,21
/.,/.,P
ils,ils,51
remontèrent,remonter,19
encore,encore,60
pendant,pendant,81
deux,deux,72
heures,heure,22
dans,dans,81
la,le,71
direction,direction,22
de,de,81
l',le,71
occident,occident,21
",",",",p
et,et,82
",",",",p
tout,tout,60
à,à,81
coup,coup,21
",",",",p
devant,devant,81
eux,ils,51
",",",",p
ils,ils,51
aperçurent,apercevoir,19
quantité,quantité,22
de,de,81
petites,petit,30
flammes,flamme,22
/.,/.,P
elles,ils,51
brillaient,briller,18
au,à,81
au,le,71
fond,fond,21
d',de,81
un,un,71
amphithéâtre,amphithéâtre,21
/.,/.,P
çà,çà,60
et,et,82
là,là,60
des,de,81
des,le,71
plaques,plaque,22
d',de,81
or,or,21
miroitaient,miroiter,18
",",",",p
en,en,81
se,se,51
déplaçant,déplacer,13
/.,/.,P
c',ce,52
étaient,être,18
les,le,71
cuirasses,cuirasse,22
des,de,81
des,le,71
Clinabares,Clinabare,20
",",",",p
le,le,71
camp,camp,21
punique,punique,30
;,;,p
puis,puis,60
ils,ils,51
distinguèrent,distinguer,19
aux,à,81
aux,le,71
alentours,alentour,21
d',de,81
autres,autre,75
lueurs,lueur,22
plus,plus,60
nombreuses,nombreux,30
",",",",p
car,car,82
les,le,71
armées,armée,22
des,de,81
des,le,71
mercenaires,mercenaire,21
",",",",p
confondues,confondu,31
maintenant,maintenant,60
",",",",p
s',se,51
étendaient,étendre,18
sur,sur,81
un,un,71
grand,grand,30
espace,espace,21
/.,/.,P
Salammbô,Salammbô,20
fit,faire,19
un,un,71
mouvement,mouvement,21
pour,pour,81
s',se,51
avancer,avancer,14
/.,/.,P
mais,mais,82
l',le,71
homme,homme,21
de,de,81
Schahabarim,Schahabarim,20
l',le,52
entraîna,entraîner,19
plus,plus,60
loin,loin,60
",",",",p
et,et,82
ils,ils,51
longèrent,longer,19
la,le,71
terrasse,terrasse,22
qui,qui,52
fermait,fermer,18
le,le,71
camp,camp,21
des,de,81
des,le,71
barbares,barbare,21
/.,/.,P
une,un,71
brèche,brèche,22
s',se,51
y,y,52
ouvrait,ouvrir,18
",",",",p
l',le,71
esclave,esclave,21
disparut,disparaître,19
/.,/.,P
au,à,81
au,le,71
sommet,sommet,21
du,de,81
du,le,71
retranchement,retranchement,21
",",",",p
une,un,71
sentinelle,sentinelle,22
se,se,51
promenait,promener,18
avec,avec,81
un,un,71
arc,arc,21
à,à,81
la,le,71
main,main,22
et,et,82
une,un,71
pique,pique,22
sur,sur,81
l',le,71
épaule,épaule,22
/.,/.,P
Salammbô,Salammbô,20
se,se,51
rapprochait,rapprocher,18
toujours,toujours,60
;,;,p
le,le,71
barbare,barbare,21
s',se,51
agenouilla,agenouiller,19
",",",",p
et,et,82
une,un,71
longue,long,30
flèche,flèche,22
vint,venir,19
percer,percer,14
le,le,71
bas,bas,21
de,de,81
son,son,73
manteau,manteau,21
/.,/.,P
puis,puis,60
",",",",p
comme,comme,83
elle,il,51
restait,rester,18
immobile,immobile,30
",",",",p
en,en,81
criant,crier,13
",",",",p
il,il,51
lui,lui,51
demanda,demander,19
ce,ce,52
qu',que,52
elle,il,51
voulait,vouloir,18
/.,/.,P
-,-,p
“,“,p
parler,parler,14
à,à,81
Mâtho,Mâtho,20
“,“,p
",",",",p
répondit,répondre,19
elle,il,51
/.,/.,P
“,“,p
je,je,51
suis,être,17
un,un,71
transfuge,transfuge,21
de,de,81
Carthage,Carthage,20
/.,/.,P
“,“,p
il,il,51
poussa,pousser,19
un,un,71
sifflement,sifflement,21
",",",",p
qui,qui,52
se,se,51
répéta,répéter,19
de,de,81
loin,loin,60
en,en,81
loin,loin,60
/.,/.,P
Salammbô,Salammbô,20
attendit,attendre,19
;,;,p
son,son,73
cheval,cheval,21
",",",",p
effrayé,effrayé,31
",",",",p
tournoyait,tournoyer,18
en,en,81
reniflant,renifler,13
/.,/.,P
quand,quand,83
Mâtho,Mâtho,20
arriva,arriver,19
",",",",p
la,le,71
lune,lune,22
se,se,51
levait,lever,18
derrière,derrière,81
elle,il,51
/.,/.,P
mais,mais,82
elle,il,51
avait,avoir,18
sur,sur,81
le,le,71
visage,visage,21
un,un,71
voile,voile,21
jaune,jaune,30
à,à,81
fleurs,fleur,22
noires,noir,30
et,et,82
tant,tant,60
de,de,81
draperies,draperie,22
autour,autour,60
du,de,81
du,le,71
corps,corps,21
qu',que,83
il,il,51
était,être,18
impossible,impossible,30
d',de,81
en,en,52
rien,rien,52
deviner,deviner,14
/.,/.,P
du,de,81
du,le,71
haut,haut,21
de,de,81
la,le,71
terrasse,terrasse,22
",",",",p
il,il,51
considérait,considérer,18
cette,ce,74
forme,forme,22
vague,vague,30
se,se,51
dressant,dresser,13
comme,comme,83
un,un,71
fantôme,fantôme,21
dans,dans,81
les,le,71
pénombres,pénombre,22
du,de,81
du,le,71
soir,soir,21
/.,/.,P
enfin,enfin,60
elle,il,51
lui,lui,51
dit,dire,19
:,:,p
-,-,p
“,“,p
mène,mener,17
moi,moi,51
dans,dans,81
ta,ton,73
tente,tente,22
/!,/!,P
je,je,51
le,le,52
veux,vouloir,17
/!,/!,P
un,un,71
souvenir,souvenir,21
qu',que,52
il,il,51
ne,ne,60
pouvait,pouvoir,18
préciser,préciser,14
lui,lui,51
traversa,traverser,19
la,le,71
mémoire,mémoire,22
/.,/.,P
il,il,51
sentait,sentir,18
battre,battre,14
son,son,73
coeur,coeur,21
/.,/.,P
cet,ce,74
air,air,21
de,de,81
commandement,commandement,21
l',le,52
intimidait,intimider,18
/.,/.,P
-,-,p
“,“,p
suis,suivre,17
moi,moi,51
!,!,p
dit,dire,19
il,il,51
/.,/.,P
la,le,71
barrière,barrière,22
s',se,51
abaissa,abaisser,19
;,;,p
aussitôt,aussitôt,60
elle,il,51
fut,être,19
dans,dans,81
le,le,71
camp,camp,21
des,de,81
des,le,71
barbares,barbare,21
/.,/.,P
un,un,71
grand,grand,30
tumulte,tumulte,21
et,et,82
une,un,71
grande,grand,30
foule,foule,22
l',le,52
emplissaient,emplir,18
/.,/.,P
des,de,81
des,le,71
feux,feu,21
clairs,clair,30
brûlaient,brûler,18
sous,sous,81
des,de,81
des,le,71
marmites,marmite,22
suspendues,suspendu,31
;,;,p
et,et,82
leurs,leur,73
reflets,reflet,21
empourprés,empourpré,31
",",",",p
illuminant,illuminer,13
certaines,certain,75
places,place,22
",",",",p
en,en,52
laissaient,laisser,18
d',de,81
autres,autre,52
dans,dans,81
les,le,71
ténèbres,ténèbre,22
",",",",p
complètement,complètement,60
/.,/.,P
on,on,51
criait,crier,18
",",",",p
on,on,51
appelait,appeler,18
;,;,p
des,de,81
des,le,71
chevaux,cheval,21
attachés,attaché,31
à,à,81
des,de,81
des,le,71
entraves,entrave,22
formaient,former,18
de,de,81
longues,long,30
lignes,ligne,22
droites,droit,30
au,à,81
au,le,71
milieu,milieu,21
des,de,81
des,le,71
tentes,tente,22
;,;,p
elles,ils,51
étaient,être,18
rondes,rond,30
",",",",p
