11574
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Soixante-douzième extrait>,<>,<>
comprit,comprendre,19
/…,/…,P
(,(,p
qu',que,52
est,être,17
ce,ce,52
qu',que,52
il,il,51
comprit,comprendre,19
",",",",p
ce,ce,74
gros,gros,30
farceur,farceur,21
là,là,60
/?,/?,P
),),p
la,le,71
haute,haut,30
mission,mission,22
à,à,81
laquelle,lequel,52
elle,il,51
était,être,18
appelée,appeler,12
par,par,81
la,le,71
divine,divin,30
providence,providence,22
!,!,p
…,…,p
/…,/…,P
(,(,p
point,point,60
admiratif,admiratif,30
et,et,82
six,six,72
points,point,21
:,:,p
on,on,51
est,être,17
assez,assez,60
religieux,religieux,30
au,à,81
au,le,71
palais,palais,21
pour,pour,81
nous,nous,51
les,le,52
passer,passer,14
),),p
",",",",p
et,et,82
sa,son,73
première,premier,72
pensée,pensée,22
fut,être,19
",",",",p
ainsi,ainsi,60
que,que,83
le,le,52
prouve,prouver,17
la,le,71
date,date,22
de,de,81
l',le,71
ordonnance,ordonnance,22
ci-dessous,ci-dessous,60
désignée,désigné,31
",",",",p
de,de,81
réparer,réparer,14
les,le,71
infortunes,infortune,22
causées,causé,31
par,par,81
les,le,71
affreux,affreux,30
et,et,82
tristes,triste,30
désastres,désastre,21
de,de,81
nos,notre,73
temps,temps,21
révolutionnaires,révolutionnaire,30
",",",",p
en,en,81
restituant,restituer,13
à,à,81
ses,son,73
fidèles,fidèle,30
et,et,82
nombreux,nombreux,30
serviteurs,serviteur,21
(,(,p
nombreux,nombreux,30
est,être,17
une,un,71
flatterie,flatterie,22
qui,qui,52
doit,devoir,17
plaire,plaire,14
au,à,81
au,le,71
tribunal,tribunal,21
),),p
tous,tout,75
leurs,leur,73
biens,bien,21
non,non,60
vendus,vendu,31
",",",",p
soit,soit,82
qu',que,83
ils,ils,51
se,se,51
trouvassent,trouver,18
dans,dans,81
le,le,71
domaine,domaine,21
public,public,30
",",",",p
soit,soit,82
qu',que,83
ils,ils,51
se,se,51
trouvassent,trouver,18
dans,dans,81
le,le,71
domaine,domaine,21
ordinaire,ordinaire,30
ou,ou,82
extraordinaire,extraordinaire,30
de,de,81
la,le,71
couronne,couronne,22
",",",",p
soit,soit,82
enfin,enfin,60
qu',que,83
ils,ils,51
se,se,51
trouvassent,trouver,18
dans,dans,81
les,le,71
dotations,dotation,22
d',de,81
établissements,établissement,21
publics,public,30
",",",",p
car,car,82
nous,nous,51
sommes,être,17
et,et,82
nous,nous,51
nous,nous,51
prétendons,prétendre,17
habiles,habile,30
à,à,81
soutenir,soutenir,14
que,que,83
tel,tel,52
est,être,17
l',le,71
esprit,esprit,21
et,et,82
le,le,71
sens,sens,21
de,de,81
la,le,71
fameuse,fameux,30
et,et,82
si,si,60
loyale,loyal,30
ordonnance,ordonnance,22
rendue,rendu,31
en,en,81
/…,/…,P
-,-,p
attendez,attendre,17
",",",",p
dit,dire,19
Godeschal,Godeschal,20
aux,à,81
aux,le,71
trois,trois,72
clercs,clerc,21
",",",",p
cette,ce,74
scélérate,scélérate,22
de,de,81
phrase,phrase,22
a,avoir,17
rempli,remplir,12
la,le,71
fin,fin,22
de,de,81
ma,mon,73
page,page,22
/.,/.,P
eh,eh,93
bien,bien,60
",",",",p
reprit,reprendre,19
il,il,51
en,en,81
mouillant,mouiller,13
de,de,81
sa,son,73
langue,langue,22
le,le,71
dos,dos,21
du,de,81
du,le,71
cahier,cahier,21
afin,afin,81
de,de,81
pouvoir,pouvoir,14
tourner,tourner,14
la,le,71
page,page,22
épaisse,épais,30
de,de,81
son,son,73
papier,papier,21
timbré,timbré,31
",",",",p
eh,eh,93
bien,bien,60
",",",",p
si,si,83
vous,vous,51
voulez,vouloir,17
lui,lui,51
faire,faire,14
une,un,71
farce,farce,22
",",",",p
il,il,51
faut,falloir,17
lui,lui,51
dire,dire,14
que,que,83
le,le,71
patron,patron,21
ne,ne,60
peut,pouvoir,17
parler,parler,14
à,à,81
ses,son,73
clients,client,21
qu',que,83
entre,entre,81
deux,deux,72
et,et,82
trois,trois,72
heures,heure,22
du,de,81
du,le,71
matin,matin,21
:,:,p
nous,nous,51
verrons,voir,15
s',si,83
il,il,51
viendra,venir,15
",",",",p
le,le,71
vieux,vieux,30
malfaiteur,malfaiteur,21
/!,/!,P
et,et,82
Godeschal,Godeschal,20
reprit,reprendre,19
la,le,71
phrase,phrase,22
commencée,commencé,31
:,:,p
-,-,p
rendue,rendu,31
en,en,81
/…,/…,P
y,y,52
êtes,être,17
vous,vous,51
?,?,p
demanda,demander,19
t,t,94
il,il,51
/.,/.,P
-,-,p
oui,oui,60
",",",",p
crièrent,crier,19
les,le,71
trois,trois,72
copistes,copiste,21
/.,/.,P
tout,tout,52
marchait,marcher,18
à,à,81
la,le,71
fois,fois,22
",",",",p
la,le,71
requête,requête,22
",",",",p
la,le,71
causerie,causerie,22
et,et,82
la,le,71
conspiration,conspiration,22
/.,/.,P
-,-,p
rendue,rendu,31
en,en,81
/…,/…,P
hein,hein,93
?,?,p
papa,papa,21
Boucard,Boucard,20
",",",",p
quelle,quel,52
est,être,17
la,le,71
date,date,22
de,de,81
l',le,71
ordonnance,ordonnance,22
?,?,p
il,il,51
faut,falloir,17
mettre,mettre,14
les,le,71
points,point,21
sur,sur,81
les,le,71
i,i,21
",",",",p
saquerlotte,saprelotte,93
/!,/!,P
cela,cela,52
fait,faire,17
des,de,81
des,le,71
pages,page,22
/.,/.,P
-,-,p
saquerlotte,saprelotte,93
!,!,p
répéta,répéter,19
l',le,71
un,un,52
des,de,81
des,le,71
copistes,copiste,21
avant,avant,81
que,que,83
Boucard,Boucard,20
le,le,71
maître,maître,21
clerc,clerc,21
n',ne,60
eût,avoir,19
répondu,répondre,12
/.,/.,P
-,-,p
comment,comment,60
",",",",p
vous,vous,51
avez,avoir,17
écrit,écrire,12
saquerlotte,saprelotte,93
?,?,p
s',se,51
écria,écrier,19
Godeschal,Godeschal,20
en,en,81
regardant,regarder,13
l',le,71
un,un,52
des,de,81
des,le,71
nouveaux,nouveau,30
venus,venu,21
d',de,81
un,un,71
air,air,21
à,à,81
la,le,71
fois,fois,22
sévère,sévère,30
et,et,82
goguenard,goguenard,30
/.,/.,P
-,-,p
mais,mais,82
oui,oui,60
",",",",p
dit,dire,19
Desroches,Desroches,20
le,le,71
quatrième,quatrième,72
clerc,clerc,21
en,en,81
se,se,51
penchant,pencher,13
sur,sur,81
la,le,71
copie,copie,22
de,de,81
son,son,73
voisin,voisin,21
",",",",p
il,il,51
a,avoir,17
écrit,écrire,12
:,:,p
il,il,51
faut,falloir,17
mettre,mettre,14
les,le,52
point,point,60
sur,sur,81
les,le,71
i,i,21
",",",",p
et,et,82
sakerlotte,saprelotte,93
avec,avec,81
un,un,71
k,k,21
/.,/.,P
tous,tout,75
les,le,71
clercs,clerc,21
partirent,partir,19
d',de,81
un,un,71
grand,grand,30
éclat,éclat,21
de,de,81
rire,rire,21
/.,/.,P
-,-,p
comment,comment,60
",",",",p
monsieur,monsieur,21
Huré,Huré,20
",",",",p
vous,vous,51
prenez,prendre,17
saquerlotte,saprelotte,93
pour,pour,81
un,un,71
terme,terme,21
de,de,81
droit,droit,21
",",",",p
et,et,82
vous,vous,51
dites,dire,17
que,que,83
vous,vous,51
êtes,être,17
de,de,81
Mortagne,Mortagne,20
!,!,p
s',se,51
écria,écrier,19
Simonnin,Simonnin,20
/.,/.,P
-,-,p
effacez,effacer,17
bien,bien,60
ça,ça,52
!,!,p
dit,dire,19
le,le,71
principal,principal,30
clerc,clerc,21
/.,/.,P
si,si,83
le,le,71
juge,juge,21
chargé,chargé,31
de,de,81
taxer,taxer,14
le,le,71
dossier,dossier,21
voyait,voir,18
des,de,81
des,le,71
choses,chose,22
pareilles,pareil,30
",",",",p
il,il,51
dirait,dire,16
qu',que,83
on,on,51
se,se,51
moque,moquer,17
de,de,81
la,le,71
barbouillée,barbouillé,31
/!,/!,P
vous,vous,51
causeriez,causer,16
des,de,81
des,le,71
désagréments,désagrément,21
au,à,81
au,le,71
patron,patron,21
/.,/.,P
allons,aller,17
",",",",p
ne,ne,60
faites,faire,17
plus,plus,60
de,de,81
ces,ce,74
bêtises,bêtise,22
là,là,60
",",",",p
monsieur,monsieur,21
Huré,Huré,20
/!,/!,P
un,un,71
Normand,Normand,20
ne,ne,60
doit,devoir,17
pas,pas,60
écrire,écrire,14
insouciamment,insouciamment,60
une,un,71
requête,requête,22
/.,/.,P
c',ce,52
est,être,17
le,le,52
portez,porter,17
arme,arme,22
!,!,p
de,de,81
la,le,71
basoche,basoche,22
/.,/.,P
-,-,p
rendue,rendu,31
en,en,81
…,…,p
en,en,81
?,?,p
/…,/…,P
demanda,demander,19
Godeschal,Godeschal,20
/.,/.,P
dites,dire,17
moi,moi,51
donc,donc,82
quand,quand,83
",",",",p
Boucard,Boucard,20
/?,/?,P
-,-,p
<Nombre juin 1814>,<>,<>
juin,juin,21
mille,mille,72
huit,huit,72
cent,cent,72
quatorze,quatorze,72
<Fin nombre>,<>,<>
",",",",p
répondit,répondre,19
le,le,71
premier,premier,72
clerc,clerc,21
sans,sans,81
quitter,quitter,14
son,son,73
travail,travail,21
/.,/.,P
un,un,71
coup,coup,21
frappé,frappé,31
à,à,81
la,le,71
porte,porte,22
de,de,81
l',le,71
étude,étude,22
interrompit,interrompre,19
la,le,71
phrase,phrase,22
de,de,81
la,le,71
prolixe,prolixe,30
requête,requête,22
/.,/.,P
cinq,cinq,72
clercs,clerc,21
bien,bien,60
endentés,endenté,30
",",",",p
aux,à,81
aux,le,71
yeux,oeil,21
vifs,vif,30
et,et,82
railleurs,railleur,30
",",",",p
aux,à,81
aux,le,71
têtes,tête,22
crépues,crépu,30
",",",",p
levèrent,lever,19
le,le,71
nez,nez,21
vers,vers,81
la,le,71
porte,porte,22
",",",",p
après,après,81
avoir,avoir,14
tous,tout,52
crié,crier,12
d',de,81
une,un,71
voix,voix,22
de,de,81
chantre,chantre,21
:,:,p
-,-,p
entrez,entrer,17
/.,/.,P
Boucard,Boucard,20
resta,rester,19
la,le,71
face,face,22
ensevelie,enseveli,31
dans,dans,81
un,un,71
monceau,monceau,21
d',de,81
actes,acte,21
",",",",p
nommés,nommé,31
broutille,broutille,22
en,en,81
style,style,21
de,de,81
palais,palais,21
",",",",p
et,et,82
continua,continuer,19
de,de,81
dresser,dresser,14
le,le,71
mémoire,mémoire,21
de,de,81
frais,frais,21
auquel,à,81
auquel,lequel,52
il,il,51
travaillait,travailler,18
/.,/.,P
l',le,71
étude,étude,22
était,être,18
une,un,71
grande,grand,30
pièce,pièce,22
ornée,orné,31
du,de,81
du,le,71
poêle,poêle,21
classique,classique,30
qui,qui,52
garnit,garnir,17
tous,tout,75
les,le,71
antres,antre,21
de,de,81
la,le,71
chicane,chicane,22
/.,/.,P
les,le,71
tuyaux,tuyau,21
traversaient,traverser,18
diagonalement,diagonalement,60
la,le,71
chambre,chambre,22
et,et,82
rejoignaient,rejoindre,18
une,un,71
cheminée,cheminée,22
condamnée,condamné,31
sur,sur,81
le,le,71
marbre,marbre,21
de,de,81
laquelle,lequel,52
se,se,51
voyaient,voir,18
divers,divers,30
morceaux,morceau,21
de,de,81
pain,pain,21
",",",",p
des,de,81
des,le,71
triangles,triangle,21
de,de,81
fromage,fromage,21
de,de,81
Brie,Brie,20
",",",",p
des,de,81
des,le,71
côtelettes,côtelette,22
de,de,81
porc,porc,21
frais,frais,30
",",",",p
des,de,81
des,le,71
verres,verre,21
",",",",p
des,de,81
des,le,71
bouteilles,bouteille,22
",",",",p
et,et,82
la,le,71
tasse,tasse,22
de,de,81
chocolat,chocolat,21
du,de,81
du,le,71
maître,maître,21
clerc,clerc,21
/.,/.,P
l',le,71
odeur,odeur,22
de,de,81
ces,ce,74
comestibles,comestible,21
s',se,51
amalgamait,amalgamer,18
si,si,60
bien,bien,60
avec,avec,81
la,le,71
puanteur,puanteur,22
du,de,81
du,le,71
poêle,poêle,21
chauffé,chauffé,31
sans,sans,81
mesure,mesure,22
",",",",p
avec,avec,81
le,le,71
parfum,parfum,21
particulier,particulier,30
aux,à,81
aux,le,71
bureaux,bureau,21
et,et,82
aux,à,81
aux,le,71
paperasses,paperasse,22
",",",",p
que,que,83
la,le,71
puanteur,puanteur,22
d',de,81
un,un,71
renard,renard,21
n',ne,60
y,y,52
aurait,avoir,16
pas,pas,60
été,être,12
sensible,sensible,30
/.,/.,P
le,le,71
plancher,plancher,21
était,être,18
déjà,déjà,60
couvert,couvrir,12
de,de,81
fange,fange,22
et,et,82
de,de,81
neige,neige,22
apportée,apporté,31
par,par,81
les,le,71
clercs,clerc,21
/.,/.,P
près,près,81
de,de,81
la,le,71
fenêtre,fenêtre,22
se,se,51
trouvait,trouver,18
le,le,71
secrétaire,secrétaire,21
à,à,81
cylindre,cylindre,21
du,de,81
du,le,71
principal,principal,21
",",",",p
et,et,82
auquel,à,81
auquel,lequel,52
était,être,18
adossée,adosser,12
la,le,71
petite,petit,30
table,table,22
destinée,destiné,31
au,à,81
au,le,71
second,second,72
clerc,clerc,21
/.,/.,P
le,le,71
second,second,72
faisait,faire,18
en,en,81
ce,ce,74
moment,moment,21
le,le,71
palais,palais,21
/.,/.,P
il,il,51
pouvait,pouvoir,18
être,être,14
de,de,81
huit,huit,72
à,à,81
neuf,neuf,72
heures,heure,22
du,de,81
du,le,71
matin,matin,21
/.,/.,P
l',le,71
étude,étude,22
avait,avoir,18
pour,pour,81
tout,tout,75
ornement,ornement,21
ces,ce,74
grandes,grand,30
affiches,affiche,22
jaunes,jaune,30
qui,qui,52
annoncent,annoncer,17
des,de,81
des,le,71
saisies,saisie,22
immobilières,immobilier,30
",",",",p
des,de,81
des,le,71
ventes,vente,22
",",",",p
des,de,81
des,le,71
licitations,licitation,22
entre,entre,81
majeurs,majeur,30
et,et,82
mineurs,mineur,30
",",",",p
des,de,81
des,le,71
adjudications,adjudication,22
définitives,définitif,30
ou,ou,82
préparatoires,préparatoire,30
",",",",p
la,le,71
gloire,gloire,22
des,de,81
des,le,71
études,étude,22
/!,/!,P
derrière,derrière,81
le,le,71
maître,maître,21
clerc,clerc,21
était,être,18
un,un,71
énorme,énorme,30
casier,casier,21
qui,qui,52
garnissait,garnir,18
le,le,71
mur,mur,21
du,de,81
du,le,71
haut,haut,21
en,en,81
bas,bas,21
",",",",p
et,et,82
dont,dont,52
chaque,chaque,75
compartiment,compartiment,21
était,être,18
bourré,bourrer,12
de,de,81
liasses,liasse,22
d',de,81
où,où,60
pendaient,pendre,18
un,un,71
nombre,nombre,21
infini,infini,30
d',de,81
étiquettes,étiquette,22
et,et,82
de,de,81
bouts,bout,21
de,de,81
fil,fil,21
rouge,rouge,30
qui,qui,52
donnent,donner,17
une,un,71
physionomie,physionomie,22
spéciale,spécial,30
aux,à,81
aux,le,71
dossiers,dossier,21
de,de,81
procédure,procédure,22
/.,/.,P
les,le,71
rangs,rang,21
inférieurs,inférieur,30
du,de,81
du,le,71
casier,casier,21
étaient,être,18
pleins,plein,30
de,de,81
cartons,carton,21
jaunis,jauni,31
par,par,81
l',le,71
usage,usage,21
",",",",p
bordés,bordé,31
de,de,81
papier,papier,21
bleu,bleu,30
",",",",p
et,et,82
sur,sur,81
lesquels,lequel,52
se,se,51
lisaient,lire,18
les,le,71
noms,nom,21
des,de,81
des,le,71
gros,gros,30
clients,client,21
dont,dont,52
les,le,71
affaires,affaire,22
juteuses,juteux,30
se,se,51
cuisinaient,cuisiner,18
en,en,81
ce,ce,74
moment,moment,21
/.,/.,P
les,le,71
sales,sale,30
vitres,vitre,22
de,de,81
la,le,71
croisée,croisée,22
laissaient,laisser,18
passer,passer,14
peu,peu,60
de,de,81
jour,jour,21
/.,/.,P
d',de,81
ailleurs,ailleurs,60
",",",",p
au,à,81
au,le,71
mois,mois,21
de,de,81
février,février,21
",",",",p
il,il,51
existe,exister,17
à,à,81
Paris,Paris,20
très,très,60
peu,peu,60
d',de,81
études,étude,22
où,où,60
l',l',94
on,on,51
puisse,pouvoir,17
écrire,écrire,14
sans,sans,81
le,le,71
secours,secours,21
d',de,81
une,un,71
lampe,lampe,22
avant,avant,81
dix,dix,72
heures,heure,22
",",",",p
car,car,82
elles,ils,51
sont,être,17
toutes,tout,75
l',le,71
objet,objet,21
d',de,81
une,un,71
négligence,négligence,22
assez,assez,60
concevable,concevable,30
:,:,p
tout,tout,75
le,le,71
monde,monde,21
y,y,52
va,aller,17
",",",",p
personne,personne,52
n',ne,60
y,y,52
reste,rester,17
",",",",p
aucun,aucun,75
intérêt,intérêt,21
personnel,personnel,30
ne,ne,60
s',se,51
attache,attacher,17
à,à,81
ce,ce,52
qui,qui,52
est,être,17
si,si,60
banal,banal,30
;,;,p
ni,ni,82
l',le,71
avoué,avoué,21
",",",",p
ni,ni,82
les,le,71
plaideurs,plaideur,21
",",",",p
ni,ni,82
les,le,71
clercs,clerc,21
ne,ne,60
tiennent,tenir,17
à,à,81
l',le,71
élégance,élégance,22
d',de,81
un,un,71
endroit,endroit,21
qui,qui,52
pour,pour,81
les,le,71
uns,un,52
est,être,17
une,un,71
classe,classe,22
",",",",p
pour,pour,81
les,le,71
autres,autre,52
un,un,71
passage,passage,21
",",",",p
pour,pour,81
le,le,71
maître,maître,21
un,un,71
laboratoire,laboratoire,21
/.,/.,P
le,le,71
mobilier,mobilier,21
crasseux,crasseux,30
se,se,51
transmet,transmettre,17
d',de,81
avoués,avoué,21
en,en,81
avoués,avoué,21
avec,avec,81
un,un,71
scrupule,scrupule,21
si,si,60
religieux,religieux,30
que,que,83
certaines,certain,75
études,étude,22
possèdent,posséder,17
encore,encore,60
des,de,81
des,le,71
boîtes,boîte,22
à,à,81
résidus,résidu,21
",",",",p
des,de,81
des,le,71
moules,moule,21
à,à,81
tirets,tiret,21
",",",",p
des,de,81
des,le,71
sacs,sac,21
provenant,provenir,13
des,de,81
des,le,71
procureurs,procureur,21
au,à,81
au,le,71
Chlet,Châtelet,20
",",",",p
abréviation,abréviation,22
du,de,81
du,le,71
mot,mot,21
Châtelet,Châtelet,20
",",",",p
juridiction,juridiction,22
qui,qui,52
représentait,représenter,18
dans,dans,81
l',le,71
ancien,ancien,30
ordre,ordre,21
de,de,81
choses,chose,22
le,le,71
tribunal,tribunal,21
de,de,81
première,premier,72
instance,instance,22
actuel,actuel,30
/.,/.,P
cette,ce,74
étude,étude,22
obscure,obscur,30
",",",",p
grasse,gras,30
de,de,81
poussière,poussière,22
",",",",p
avait,avoir,18
donc,donc,82
",",",",p
comme,comme,83
toutes,tout,75
les,le,71
autres,autre,52
",",",",p
quelque,quelque,75
chose,chose,22
de,de,81
repoussant,repoussant,30
pour,pour,81
les,le,71
plaideurs,plaideur,21
",",",",p
et,et,82
qui,qui,52
en,en,52
faisait,faire,18
une,un,52
des,de,81
des,le,71
plus,plus,60
hideuses,hideux,30
monstruosités,monstruosité,22
parisiennes,parisien,30
/.,/.,P
certes,certes,60
",",",",p
si,si,83
les,le,71
sacristies,sacristie,22
humides,humide,30
où,où,60
les,le,71
prières,prière,22
se,se,51
pèsent,peser,17
et,et,82
se,se,51
payent,payer,17
comme,comme,83
des,de,81
des,le,71
épices,épice,21
",",",",p
si,si,83
les,le,71
magasins,magasin,21
des,de,81
des,le,71
revendeuses,revendeuse,22
où,où,60
flottent,flotter,17
des,de,81
des,le,71
guenilles,guenille,22
qui,qui,52
flétrissent,flétrir,18
toutes,tout,75
les,le,71
illusions,illusion,22
de,de,81
la,le,71
vie,vie,22
en,en,81
nous,nous,51
montrant,montrer,13
où,où,60
aboutissent,aboutir,17
nos,notre,73
fêtes,fête,22
",",",",p
si,si,83
ces,ce,74
deux,deux,72
cloaques,cloaque,21
de,de,81
la,le,71
poésie,poésie,22
n',ne,60
existaient,exister,18
pas,pas,60
",",",",p
une,un,71
étude,étude,22
d',de,81
avoué,avoué,21
serait,être,16
de,de,81
toutes,tout,75
les,le,71
boutiques,boutique,22
sociales,social,30
la,le,71
plus,plus,60
