11897
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Quatre-vingt-treizième extrait>,<>,<>
par,par,81
exemple,exemple,21
",",",",p
défunt,défunt,30
monsieur,monsieur,21
votre,votre,73
frère,frère,21
à,à,81
Paris,Paris,20
/…,/…,P
mon,mon,73
…,…,p
on,on,51
frère,frère,21
",",",",p
oui,oui,60
/.,/.,P
-,-,p
est,être,17
menacé,menacer,12
d',de,81
une,un,71
déconfiture,déconfiture,22
/…,/…,P
caaaa,ça,52
s',se,51
aappelle,appeller,17
dé,dé,21
",",",",p
dé,dé,21
",",",",p
déconfiture,déconfiture,22
/?,/?,P
oui,oui,60
/.,/.,P
que,que,52
sa,son,73
faillite,faillite,22
devient,devenir,17
imminente,imminent,30
",",",",p
le,le,71
tribunal,tribunal,21
de,de,81
commerce,commerce,21
",",",",p
dont,dont,52
il,il,51
est,être,17
justiciable,justiciable,21
(,(,p
suivez,suivre,17
bien,bien,60
),),p
",",",",p
a,avoir,17
la,le,71
faculté,faculté,22
",",",",p
par,par,81
un,un,71
jugement,jugement,21
",",",",p
de,de,81
nommer,nommer,14
",",",",p
à,à,81
sa,son,73
maison,maison,22
de,de,81
commerce,commerce,21
",",",",p
des,de,81
des,le,71
liquidateurs,liquidateur,21
/.,/.,P
liquider,liquider,14
n',ne,60
est,être,17
pas,pas,60
faire,faire,14
faillite,faillite,22
",",",",p
comprenez,comprendre,17
vous,vous,51
/?,/?,P
en,en,81
faisant,faire,13
faillite,faillite,22
",",",",p
un,un,71
homme,homme,21
est,être,17
déshonoré,déshonorer,12
;,;,p
mais,mais,82
en,en,81
liquidant,liquider,13
",",",",p
il,il,51
reste,rester,17
honnête,honnête,30
homme,homme,21
/.,/.,P
-,-,p
c',ce,52
est,être,17
bien,bien,60
di…,différent,30
di…,différent,30
di…,différent,30
différent,différent,30
",",",",p
si,si,83
çaââ,ça,52
ne,ne,60
coû…,coûter,17
ou…ou…oûte,coûter,17
pas,pas,60
…,…,p
pas,pas,60
…,…,p
pas,pas,60
plus,plus,60
cher,cher,60
",",",",p
dit,dire,19
Grandet,Grandet,20
/.,/.,P
-,-,p
mais,mais,82
une,un,71
liquidation,liquidation,22
peut,pouvoir,17
encore,encore,60
se,se,51
faire,faire,14
",",",",p
même,même,60
sans,sans,81
le,le,71
secours,secours,21
du,de,81
du,le,71
tribunal,tribunal,21
de,de,81
commerce,commerce,21
/.,/.,P
car,car,82
",",",",p
dit,dire,19
le,le,71
président,président,21
en,en,81
humant,humer,13
sa,son,73
prise,prise,22
de,de,81
tabac,tabac,21
",",",",p
comment,comment,60
se,se,51
déclare,déclarer,17
une,un,71
faillite,faillite,22
/?,/?,P
oui,oui,60
",",",",p
je,je,51
n',ne,60
y,y,52
ai,avoir,17
jamais,jamais,60
pen…pen…,penser,12
pen…pensé,pen…pensé,31
",",",",p
répondit,répondre,19
Grandet,Grandet,20
/.,/.,P
-,-,p
premièrement,premièrement,60
",",",",p
reprit,reprendre,19
le,le,71
magistrat,magistrat,21
",",",",p
par,par,81
le,le,71
dépôt,dépôt,21
du,de,81
du,le,71
bilan,bilan,21
au,à,81
au,le,71
greffe,greffe,21
du,de,81
du,le,71
tribunal,tribunal,21
",",",",p
que,que,52
fait,faire,17
le,le,71
négociant,négociant,21
lui-même,lui-même,51
",",",",p
ou,ou,82
son,son,73
fondé,fondé,21
de,de,81
pouvoirs,pouvoir,21
",",",",p
dûment,dûment,60
enregistré,enregistré,31
/.,/.,P
deuxièmement,deuxièmement,60
",",",",p
à,à,81
la,le,71
requête,requête,22
des,de,81
des,le,71
créanciers,créancier,21
/.,/.,P
or,or,82
",",",",p
si,si,83
le,le,71
négociant,négociant,21
ne,ne,60
dépose,déposer,17
pas,pas,60
de,de,81
bilan,bilan,21
",",",",p
si,si,83
aucun,aucun,75
créancier,créancier,21
ne,ne,60
requiert,requérir,17
du,de,81
du,le,71
tribunal,tribunal,21
un,un,71
jugement,jugement,21
qui,qui,52
déclare,déclarer,17
le,le,71
susdit,susdit,30
négociant,négociant,21
en,en,81
faillite,faillite,22
",",",",p
qu',que,52
arriverait,arriver,16
il,il,51
/?,/?,P
oui,oui,60
…,…,p
i,i,21
…,…,p
i,i,21
…,…,p
voy…voy…ons,voir,17
/.,/.,P
-,-,p
alors,alors,60
la,le,71
famille,famille,22
du,de,81
du,le,71
décédé,décédé,31
",",",",p
ses,son,73
représentants,représentant,21
",",",",p
son,son,73
hoirie,hoirie,21
;,;,p
ou,ou,82
le,le,71
négociant,négociant,21
",",",",p
s',si,83
il,il,51
n',ne,60
est,être,17
pas,pas,60
mort,mourir,12
;,;,p
ou,ou,82
ses,son,73
amis,ami,21
",",",",p
s',si,83
il,il,51
est,être,17
caché,cacher,12
",",",",p
liquident,liquider,17
/.,/.,P
peut-être,peut-être,60
voulez,vouloir,17
vous,vous,51
liquider,liquider,14
les,le,71
affaires,affaire,22
de,de,81
votre,votre,73
frère,frère,21
?,?,p
demanda,demander,19
le,le,71
président,président,21
/.,/.,P
-,-,p
ah,ah,93
/!,/!,P
Grandet,Grandet,20
",",",",p
s',se,51
écria,écrier,19
le,le,71
notaire,notaire,21
",",",",p
ce,ce,52
serait,être,16
bien,bien,60
/.,/.,P
il,il,51
y,y,52
a,avoir,17
de,de,81
l',le,71
honneur,honneur,21
au,à,81
au,le,71
fond,fond,21
de,de,81
nos,notre,73
provinces,province,22
/.,/.,P
si,si,83
vous,vous,51
sauviez,sauver,18
votre,votre,73
nom,nom,21
",",",",p
car,car,82
c',ce,52
est,être,17
votre,votre,73
nom,nom,21
",",",",p
vous,vous,51
seriez,être,16
un,un,71
homme,homme,21
/…,/…,P
sublime,sublime,30
",",",",p
dit,dire,19
le,le,71
président,président,21
en,en,81
interrompant,interrompre,13
son,son,73
oncle,oncle,21
/.,/.,P
-,-,p
ceertainement,certainement,60
",",",",p
répliqua,répliquer,19
le,le,71
vieux,vieux,30
vigneron,vigneron,21
mon,mon,73
",",",",p
mon,mon,73
fffr,frère,21
",",",",p
fre,frère,21
",",",",p
frère,frère,21
se,se,51
no,no,92
",",",",p
no,no,92
",",",",p
no,no,92
noommait,nommer,18
Grandet,Grandet,20
tou,tout,60
…,…,p
out,tout,60
comme,comme,83
moi,moi,51
/.,/.,P
cé,ce,52
",",",",p
cé,ce,52
",",",",p
c',ce,52
es,être,17
",",",",p
c',ce,52
est,être,17
sûr,sûr,30
et,et,82
certain,certain,30
/.,/.,P
je,je,51
",",",",p
je,je,51
",",",",p
je,je,51
ne,ne,60
",",",",p
ne,ne,60
dis,dire,17
pa,pas,60
",",",",p
pas,pas,60
non,non,60
/.,/.,P
et,et,82
",",",",p
et,et,82
",",",",p
et,et,82
",",",",p
cette,ce,74
li,liquidation,22
",",",",p
li,liquidation,22
",",",",p
li,liquidation,22
",",",",p
liquidation,liquidation,22
pou…pou…rrait,pouvoir,16
dans,dans,81
touous,tout,75
llles,le,71
cas,cas,21
",",",",p
être,être,14
sooous,sous,81
tous,tout,75
lles,le,71
ra,rapport,21
",",",",p
ra,rapport,21
",",",",p
rapports,rapport,21
très,très,60
avanvantatageuse,avantageux,30
aux,à,81
aux,le,71
in,intérêt,21
",",",",p
in,intérêt,21
",",",",p
in,intérêt,21
",",",",p
intérêts,intérêt,21
de,de,81
mon,mon,73
ne,neveu,21
",",",",p
ne,neveu,21
",",",",p
neveu,neveu,21
",",",",p
que,que,52
j',je,51
ai,avoir,17
",",",",p
j',je,51
ai,avoir,17
",",",",p
j',je,51
aime,aimer,17
/.,/.,P
mais,mais,82
faut,falloir,17
voir,voir,14
/.,/.,P
je,je,51
ne,ne,60
co,connaître,17
",",",",p
co,connaître,17
",",",",p
co,connaître,17
",",",",p
connais,connaître,17
pas,pas,60
llles,le,71
malins,malin,21
de,de,81
Paris,Paris,20
/.,/.,P
je,je,51
…,…,p
suis,être,17
à,à,81
Sau,Saumur,20
",",",",p
au,Saumur,20
",",",",p
aumur,Saumur,20
",",",",p
moi,moi,51
",",",",p
voyez,voir,17
vous,vous,51
/!,/!,P
mes,mon,73
prooovins,provin,21
!,!,p
mes,mon,73
fooossés,fossé,21
",",",",p
et,et,82
en,en,81
",",",",p
enfin,enfin,60
j',je,51
ai,avoir,17
mes,mon,73
aaaffaires,affaire,22
/.,/.,P
je,je,51
n',ne,60
ai,avoir,17
jamais,jamais,60
fait,faire,12
de,de,81
bi,billet,21
",",",",p
bi,billet,21
",",",",p
billets,billet,21
/.,/.,P
qu',que,52
est,être,17
ce,ce,52
qu',que,83
un,un,71
billet,billet,21
/?,/?,P
j',je,51
en,en,52
",",",",p
j',je,51
en,en,52
",",",",p
j',je,51
en,en,52
ai,avoir,17
beau,beau,60
",",",",p
beaucoup,beaucoup,60
reçu,recevoir,12
",",",",p
je,je,51
n',ne,60
en,en,52
ai,avoir,17
jamais,jamais,60
si,si,60
",",",",p
si,si,83
",",",",p
signé,signer,12
",",",",p
ça,ça,52
",",",",p
aaa,avoir,17
se,se,51
ssse,se,51
touche,toucher,17
",",",",p
ça,ça,52
s',se,51
essscooompte,escompter,17
voilllà,voilà,60
tooout,tout,52
ce,ce,52
qu,que,52
",",",",p
qu,que,52
",",",",p
que,que,52
je,je,51
sais,savoir,17
/.,/.,P
j',je,51
ai,avoir,17
en,en,81
",",",",p
en,en,81
",",",",p
en,en,81
",",",",p
entendu,entendre,12
di,dire,14
",",",",p
di,dire,14
",",",",p
dire,dire,14
qu',que,83
ooooon,on,51
pou…ou…ouvait,pouvoir,18
rachechecheter,racheter,14
les,le,71
bi,billet,21
",",",",p
bi,billet,21
",",",",p
bi,billet,21
/…,/…,P
oui,oui,60
",",",",p
dit,dire,19
le,le,71
président,président,21
/.,/.,P
l',l',94
on,on,51
peut,pouvoir,17
acquérir,acquérir,14
les,le,71
billets,billet,21
sur,sur,81
la,le,71
place,place,22
",",",",p
moyennant,moyennant,81
tant,tant,60
pour,pour,81
cent,cent,72
/.,/.,P
comprenez,comprendre,17
vous,vous,51
/?,/?,P
Grandet,Grandet,20
se,se,51
fit,faire,19
un,un,71
cornet,cornet,21
de,de,81
sa,son,73
main,main,22
",",",",p
l',le,52
appliqua,appliquer,19
sur,sur,81
son,son,73
oreille,oreille,22
",",",",p
et,et,82
le,le,71
président,président,21
lui,lui,51
répéta,répéter,19
sa,son,73
phrase,phrase,22
/.,/.,P
-,-,p
mais,mais,82
",",",",p
répondit,répondre,19
le,le,71
vigneron,vigneron,21
",",",",p
il,il,51
y,y,52
a,avoir,17
ddddonc,donc,82
à,à,81
boire,boire,14
et,et,82
à,à,81
manger,manger,14
dan,dans,81
",",",",p
dans,dans,81
tout,tout,75
cela,cela,52
/.,/.,P
je,je,51
",",",",p
je,je,51
",",",",p
je,je,51
ne,ne,60
sais,savoir,17
rien,rien,52
",",",",p
à,à,81
mon,mon,73
âââge,âge,21
",",",",p
de,de,81
toooutes,tout,75
ce,ce,74
",",",",p
ce,ce,74
",",",",p
ces,ce,74
choooses,chose,22
là,là,60
/.,/.,P
je,je,51
doi,devoir,17
",",",",p
dois,devoir,17
re,rester,14
",",",",p
ester,rester,14
i,i,21
",",",",p
i,i,21
",",",",p
ici,ici,60
pour,pour,81
ve,veiller,14
",",",",p
ve,veiller,14
",",",",p
veiller,veiller,14
au,à,81
au,le,71
grain,grain,21
/.,/.,P
le,le,71
grain,grain,21
",",",",p
s',se,51
aama,amasser,17
",",",",p
amasse,amasser,17
",",",",p
et,et,82
c',ce,52
e,e,21
",",",",p
c',ce,52
e,e,21
",",",",p
c',ce,52
est,être,17
aaavec,avec,81
le,le,71
grain,grain,21
qu',que,52
on,on,51
pai,payer,17
",",",",p
paye,payer,17
/.,/.,P
aavant,avant,81
",",",",p
tout,tout,52
",",",",p
faut,falloir,17
ve,veiller,14
",",",",p
ve,veiller,14
",",",",p
veiller,veiller,14
aux,à,81
aux,le,71
",",",",p
aux,à,81
aux,le,71
ré,récolte,22
",",",",p
ré,récolte,22
",",",",p
récoltes,récolte,22
/.,/.,P
j',je,51
ai,avoir,17
des,de,81
des,le,71
aaaffaires,affaire,22
ma,mon,73
",",",",p
ma,mon,73
",",",",p
majeures,majeur,30
à,à,81
Froidfond,Froidfond,20
et,et,82
des,de,81
des,le,71
inté,intéressant,30
",",",",p
té,intéressant,30
",",",",p
téressantes,intéressant,30
/.,/.,P
je,je,51
ne,ne,60
puis,pouvoir,17
pas,pas,60
a,avoir,17
",",",",p
a,avoir,17
",",",",p
abandonner,abandonner,14
ma,mon,73
",",",",p
ma,mon,73
",",",",p
ma,mon,73
",",",",p
maison,maison,22
pooour,pour,81
des,de,81
des,le,71
embrrrrououillllami,embrouillamini,21
gentes,gent,30
de,de,81
",",",",p
de,de,81
",",",",p
de,de,81
tooous,tout,75
les,le,71
di,diable,21
",",",",p
diaâblles,diable,21
",",",",p
où,où,60
je,je,51
ne,ne,60
cooompre,comprendre,17
",",",",p
prends,prendre,17
rien,rien,52
/.,/.,P
voous,vous,51
dites,dire,17
que,que,83
",",",",p
que,que,52
je,je,51
devrais,devoir,16
",",",",p
pour,pour,81
li,liquider,14
",",",",p
li,liquider,14
",",",",p
liquider,liquider,14
",",",",p
pour,pour,81
arrêter,arrêter,14
la,le,71
déclaration,déclaration,22
de,de,81
faillite,faillite,22
",",",",p
être,être,14
à,à,81
Paris,Paris,20
/.,/.,P
on,on,51
ne,ne,60
peut,pouvoir,17
pas,pas,60
se,se,51
trooou,trouver,14
",",",",p
ouver,trouver,14
à,à,81
la,le,71
fois,fois,22
en,en,81
",",",",p
en,en,81
",",",",p
en,en,81
deux,deux,72
endroits,endroit,21
",",",",p
à,à,81
moins,moins,60
d',de,81
être,être,14
pe,petit,30
",",",",p
pe,petit,30
",",",",p
pe,petit,30
",",",",p
petit,petit,30
oiseau,oiseau,21
/…,/…,P
et,et,82
/…,/…,P
et,et,82
je,je,51
vous,vous,51
entends,entendre,17
",",",",p
s',se,51
écria,écrier,19
le,le,71
notaire,notaire,21
/.,/.,P
eh,eh,93
!,!,p
bien,bien,60
",",",",p
mon,mon,73
vieil,vieux,30
ami,ami,21
",",",",p
vous,vous,51
avez,avoir,17
des,de,81
des,le,71
amis,ami,21
",",",",p
de,de,81
vieux,vieux,30
amis,ami,21
",",",",p
capables,capable,30
de,de,81
dévouement,dévouement,21
pour,pour,81
vous,vous,51
/.,/.,P
-,-,p
allons,aller,17
donc,donc,82
",",",",p
pensait,penser,18
en,en,81
lui-même,lui-même,51
le,le,71
vigneron,vigneron,21
",",",",p
décidez,décider,17
vous,vous,51
donc,donc,82
/!,/!,P
et,et,82
si,si,83
quelqu'un,quelqu'un,52
partait,partir,18
pour,pour,81
Paris,Paris,20
",",",",p
y,y,52
cherchait,chercher,18
le,le,71
plus,plus,60
fort,fort,60
créancier,créancier,30
de,de,81
votre,votre,73
frère,frère,21
Guillaume,Guillaume,20
",",",",p
lui,lui,51
disait,dire,18
/…,/…,P
mi,minute,22
",",",",p
minutes,minute,22
",",",",p
minute,minute,22
",",",",p
ici,ici,60
",",",",p
reprit,reprendre,19
le,le,71
bonhomme,bonhomme,21
",",",",p
lui,lui,51
disait,dire,18
/.,/.,P
quoi,quoi,52
/?,/?,P
quelque,quelque,75
",",",",p
que,que,52
cho,chose,22
",",",",p
chooo,chose,22
",",",",p
chose,chose,22
ce,ce,74
",",",",p
ce,ce,74
",",",",p
comme,comme,83
ça,ça,52
:,:,p
-,-,p
monsieur,monsieur,21
Grandet,Grandet,20
de,de,81
Saumur,Saumur,20
par ci,par-ci,60
",",",",p
monsieur,monsieur,21
Grandet,Grandet,20
",",",",p
det,de,81
",",",",p
det,de,81
de,de,81
Saumur,Saumur,20
par là,par-là,60
/.,/.,P
il,il,51
aime,aimer,17
son,son,73
frère,frère,21
",",",",p
il,il,51
aime,aimer,17
son,son,73
ne,neveu,21
",",",",p
ne,neveu,21
",",",",p
neveu,neveu,21
/.,/.,P
Grandet,Grandet,20
est,être,17
un,un,71
bon,bon,30
pa,parent,21
",",",",p
pa,parent,21
",",",",p
parent,parent,21
",",",",p
et,et,82
il,il,51
a,avoir,17
de,de,81
très,très,60
bonnes,bon,30
intentions,intention,22
/.,/.,P
il,il,51
a,avoir,17
bien,bien,60
vendu,vendre,12
sa,son,73
ré,récolte,21
",",",",p
ré,récolte,21
",",",",p
récolte,récolte,21
/.,/.,P
ne,ne,60
déclarez,déclarer,17
pas,pas,60
la,la,21
fa,faillite,22
",",",",p
fa,faillite,22
",",",",p
faillite,faillite,22
",",",",p
aaassemblez,assembler,17
vous,vous,51
",",",",p
no,nommer,17
",",",",p
no,nommer,17
",",",",p
nommez,nommer,17
des,de,81
des,le,71
li,liquidateur,21
",",",",p
li,liquidateur,21
",",",",p
liquidateurs,liquidateur,21
/.,/.,P
aaalors,alors,60
Grandet,Grandet,20
ve éé,voir,15
",",",",p
erra,voir,15
/.,/.,P
voous,vous,51
au,avoir,15
",",",",p
au aurez,avoir,15
bien,bien,60
davantage,davantage,60
en,en,81
liquidant,liquider,13
qu',que,83
en,en,81
lai,lai,21
",",",",p
lai,laisser,13
",",",",p
laissant,laisser,13
les,le,71
gens,gens,21
de,de,81
justice,justice,22
y,y,52
mettre,mettre,14
le,le,71
né,nez,21
",",",",p
né,nez,21
",",",",p
nez,nez,21
/…,/…,P
hein,hein,93
!,!,p
pas,pas,60
vrai,vrai,60
/?,/?,P
juste,juste,60
!,!,p
dit,dire,19
le,le,71
président,président,21
/.,/.,P
-,-,p
parce que,parce que,83
",",",",p
voyez,voir,17
vous,vous,51
",",",",p
monsieur,monsieur,21
de,de,81
Bon Bon,Bonfonds,20
",",",",p
Bon fonds,Bonfonds,20
",",",",p
faut,falloir,17
voir,voir,14
avant,avant,81
de,de,81
se,se,51
dé,décider,14
",",",",p
décider,décider,14
/.,/.,P
qui,qui,52
ne,ne,60
",",",",p
ne,ne,60
",",",",p
ne,ne,60
peut,pouvoir,17
",",",",p
ne,ne,60
",",",",p
ne,ne,60
peut,pouvoir,17
/.,/.,P
en,en,81
toute,tout,75
af af,affaire,22
",",",",p
affaire,affaire,22
ooonénéreuse,onéreux,30
",",",",p
poour,pour,81
ne,ne,60
pas,pas,60
se,se,51
ru ru,ruiner,14
",",",",p
rui,ruiner,14
",",",",p
ruiner,ruiner,14
",",",",p
il,il,51
faut,falloir,17
connaître,connaître,14
les,le,71
ressources,ressource,22
et,et,82
les,le,71
charges,charge,22
/.,/.,P
hein,hein,93
!,!,p
pas,pas,60
vrai,vrai,60
/?,/?,P
certainement,certainement,60
",",",",p
dit,dire,19
le,le,71
président,président,21
/.,/.,P
je,je,51
suis,être,17
d',de,81
avis,avis,21
",",",",p
moi,moi,51
",",",",p
qu',que,83
en,en,81
quelques,quelque,75
mois,mois,21
de,de,81
temps,temps,21
l',l',94
on,on,51
pourra,pouvoir,15
racheter,racheter,14
les,le,71
créances,créance,22
pour,pour,81
une,un,71
somme,somme,22
de,de,81
",",",",p
et,et,82
payer,payer,14
intégralement,intégralement,60
par,par,81
arrangement,arrangement,21
/.,/.,P
ha,ah,93
!,!,p
ha,ah,93
!,!,p
l',l',94
on,on,51
mène,mener,17
les,le,71
chiens,chien,21
bien,bien,60
loin,loin,60
en,en,81
leur,leur,52
montrant,montrer,13
un,un,71
morceau,morceau,21
de,de,81
lard,lard,21
/.,/.,P
quand,quand,83
il,il,51
n',ne,60
y,y,52
a,avoir,17
pas,pas,60
eu,avoir,12
de,de,81
déclaration,déclaration,22
de,de,81
faillite,faillite,22
et,et,82
que,que,83
vous,vous,51
tenez,tenir,17
les,le,71
titres,titre,21
de,de,81
créances,créance,22
",",",",p
vous,vous,51
devenez,devenir,17
blanc,blanc,30
comme,comme,83
neige,neige,22
/.,/.,P
-,-,p
comme,comme,83
né,né,31
",",",",p
né,né,31
",",",",p
neige,neige,22
",",",",p
répéta,répéter,19
Grandet,Grandet,20
en,en,81
refaisant,refaire,13
un,un,71
cornet,cornet,21
de,de,81
sa,son,73
main,main,22
/.,/.,P
je,je,51
ne,ne,60
comprends,comprendre,17
pas,pas,60
la,le,71
né,né,31
",",",",p
né,né,31
",",",",p
neige,neige,22
/.,/.,P
-,-,p
mais,mais,82
",",",",p
cria,crier,19
le,le,71
président,président,21
",",",",p
écoutez,écouter,17
moi,moi,51
donc,donc,82
",",",",p
alors,alors,60
/.,/.,P
-,-,p
j',je,51
é,é,21
",",",",p
j',je,51
é,é,21
",",",",p
j',je,51
écoute,écouter,17
/.,/.,P
-,-,p
un,un,71
effet,effet,21
est,être,17
une,un,71
marchandise,marchandise,22
qui,qui,52
peut,pouvoir,17
avoir,avoir,14
sa,son,73
hausse,hausse,22
et,et,82
sa,son,73
baisse,baisse,22
/.,/.,P
ceci,ceci,52
est,être,17
une,un,71
déduction,déduction,22
du,de,81
du,le,71
principe,principe,21
de,de,81
Jérémie,Jérémie,20
Bentham,Bentham,20
sur,sur,81
l',le,71
usure,usure,22
/.,/.,P
ce,ce,74
publiciste,publiciste,21
a,avoir,17
prouvé,prouver,12
que,que,83
le,le,71
préjugé,préjugé,21
qui,qui,52
frappait,frapper,18
de,de,81
réprobation,réprobation,22
les,le,71
usuriers,usurier,21
était,être,18
une,un,71
sottise,sottise,22
/.,/.,P
-,-,p
ouais,ouais,93
!,!,p
fit,faire,19
le,le,71
bonhomme,bonhomme,21
/.,/.,P
-,-,p
attendu,attendu,81
qu',que,83
en,en,81
principe,principe,21
",",",",p
selon,selon,81
Bentham,Bentham,20
",",",",p
l',le,71
argent,argent,21
est,être,17
une,un,71
marchandise,marchandise,22
",",",",p
et,et,82
que,que,83
ce,ce,52
qui,qui,52
représente,représenter,17
l',le,71
argent,argent,21
devient,devenir,17
également,également,60
marchandise,marchandise,22
",",",",p
reprit,reprendre,19
le,le,71
président,président,21
;,;,p
attendu,attendu,81
qu',que,83
il,il,51
est,être,17
notoire,notoire,30
que,que,83
",",",",p
soumise,soumis,31
aux,à,81
aux,le,71
variations,variation,22
habituelles,habituel,30
qui,qui,52
régissent,régir,17
les,le,71
choses,chose,22
commerciales,commercial,30
",",",",p
la,le,71
marchandise,marchandise,22
billet,billet,21
",",",",p
portant,portant,21
telle,tel,52
ou,ou,82
telle,tel,75
signature,signature,22
",",",",p
comme,comme,83
tel,tel,75
ou,ou,82
tel,tel,75
article,article,21
",",",",p
abonde,abonder,17
ou,ou,82
manque,manquer,17
sur,sur,81
la,le,71
place,place,22
",",",",p
qu',que,52
elle,il,51
est,être,17
chère,cher,30
ou,ou,82
tombe,tomber,17
à,à,81
rien,rien,52
",",",",p
le,le,71
tribunal,tribunal,21
ordonne,ordonner,17
…,…,p
(,(,p
tiens,tenir,17
!,!,p
que,que,52
je,je,51
suis,être,17
bête,bête,30
",",",",p
pardon,pardon,21
),),p
",",",",p
je,je,51
suis,être,17
d',de,81
avis,avis,21
que,que,52
vous,vous,51
pourrez,pouvoir,15
racheter,racheter,14
votre,votre,73
frère,frère,21
pour,pour,81
vingt,vingt,72
cinq,cinq,72
du,de,81
du,le,71
cent,cent,21
/.,/.,P
-,-,p
vooous,vous,51
le,le,52
no no,nommer,17
",",",",p
no nommez,nommer,17
Jé Jé,Jérémie,20
",",",",p
Jérémie,Jérémie,20
Ben…,Bentham,20
Bentham,Bentham,20
",",",",p
un,un,71
Anglais,Anglais,20
/.,/.,P
-,-,p
ce,ce,74
Jérémi,Jérémie,20
là,là,60
nous,nous,51
fera,faire,15
éviter,éviter,14
bien,bien,60
des,de,81
des,le,71
lamentations,lamentation,22
dans,dans,81
les,le,71
affaires,affaire,22
",",",",p
dit,dit,31
le,le,71
notaire,notaire,21
en,en,81
riant,rire,13
/.,/.,P
-,-,p
ces,ce,74
Anglais,Anglais,20
ont,avoir,17
qué qué,quelquefois,60
",",",",p
quelquefois,quelquefois,60
du,de,81
du,le,71
bon,bon,21
",",",",p
bon,bon,30
sens,sens,21
",",",",p
dit,dire,19
Grandet,Grandet,20
/.,/.,P
ainsi,ainsi,60
",",",",p
se,se,51
",",",",p
se,se,51
",",",",p
se,se,51
",",",",p
selon,selon,81
Ben,Ben,20
",",",",p
Ben,Ben,20
",",",",p
Ben,Ben,20
",",",",p
Bentham,Bentham,20
",",",",p
si,si,83
les,le,71
effets,effet,21
de,de,81
mon,mon,73
frère,frère,21
…,…,p
va,aller,17
",",",",p
va,aller,17
",",",",p
va,aller,17
",",",",p
va,aller,17
",",",",p
valent,valoir,17
…,…,p
ne,ne,60
valent,valoir,17
pas,pas,60
/.,/.,P
si,si,83
/.,/.,P
je,je,51
",",",",p
je,je,51
",",",",p
je,je,51
",",",",p
dis,dire,17
bien,bien,60
",",",",p
n',ne,60
est,être,17
ce,ce,52
pas,pas,60
/?,/?,P
cela,cela,52
me,je,51
paraît,paraître,17
clair,clair,60
/…,/…,P
les,le,71
créanciers,créancier,21
seraient,être,16
/…,/…,P
non,non,60
",",",",p
ne,ne,60
seraient,être,16
pas,pas,60
/.,/.,P
je,je,51
m',je,51
en… entends,entendre,17
/.,/.,P
-,-,p
laissez,laisser,17
moi,moi,51
vous,vous,51
expliquer,expliquer,14
tout,tout,75
ceci,ceci,52
",",",",p
dit,dire,19
le,le,71
président,président,21
