11727
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Vingt-quatrième extrait>,<>,<>
les,le,71
deux,deux,72
d',de,81
en,en,81
haut,haut,21
/.,/.,P
-,-,p
quelle,quel,75
horreur,horreur,22
!,!,p
s',se,51
écria,écrier,19
Fantine,Fantine,20
/.,/.,P
-,-,p
deux,deux,72
napoléons,napoléon,21
!,!,p
grommela,grommeler,19
une,un,71
vieille,vieille,22
édentée,édenté,30
qui,qui,52
était,être,18
là,là,60
/.,/.,P
qu',que,52
en,en,52
voilà,voilà,81
une,un,52
qui,qui,52
est,être,17
heureuse,heureux,30
/!,/!,P
Fantine,Fantine,20
s',se,51
enfuit,enfuir,19
",",",",p
et,et,82
se,se,51
boucha,boucher,19
les,le,71
oreilles,oreille,22
pour,pour,81
ne,ne,60
pas,pas,60
entendre,entendre,14
la,le,71
voix,voix,22
enrouée,enroué,31
de,de,81
l',le,71
homme,homme,21
qui,qui,52
lui,lui,51
criait,crier,18
:,:,p
réfléchissez,réfléchir,17
",",",",p
la,le,71
belle,belle,22
!,!,p
deux,deux,72
napoléons,napoléon,21
",",",",p
ça,ça,52
peut,pouvoir,17
servir,servir,14
/.,/.,P
si,si,83
le,le,71
coeur,coeur,21
vous,vous,51
en,en,52
dit,dire,17
",",",",p
venez,venir,17
ce,ce,74
soir,soir,21
à,à,81
l',le,71
auberge,auberge,22
du,de,81
du,le,71
Tillac,Tillac,20
d',de,81
argent,argent,21
",",",",p
vous,vous,51
m',je,51
y,y,52
trouverez,trouver,15
/.,/.,P
Fantine,Fantine,20
rentra,rentrer,19
",",",",p
elle,il,51
était,être,18
furieuse,furieux,30
et,et,82
conta,conter,19
la,le,71
chose,chose,22
à,à,81
sa,son,73
bonne,bon,30
voisine,voisiner,17
Marguerite,Marguerite,20
:,:,p
-,-,p
comprenez,comprendre,17
vous,vous,51
cela,cela,52
?,?,p
ne,ne,60
voilà,voilà,81
t,t,94
il,il,51
pas,pas,60
un,un,71
abominable,abominable,30
homme,homme,21
?,?,p
comment,comment,60
laisse,laisser,17
t,t,94
on,on,51
des,de,81
des,le,71
gens,gens,21
comme,comme,83
cela,cela,52
aller,aller,14
dans,dans,81
le,le,71
pays,pays,21
/!,/!,P
m',je,51
arracher,arracher,14
mes,mon,73
deux,deux,72
dents,dent,22
de,de,81
devant,devant,21
!,!,p
mais,mais,82
je,je,51
serais,être,16
horrible,horrible,30
/!,/!,P
les,le,71
cheveux,cheveu,21
repoussent,repousser,17
",",",",p
mais,mais,82
les,le,71
dents,dent,22
/!,/!,P
ah,ah,93
!,!,p
le,le,71
monstre,monstre,21
d',de,81
homme,homme,21
!,!,p
j',je,51
aimerais,aimer,16
mieux,mieux,60
me,je,51
jeter,jeter,14
d',de,81
un,un,71
cinquième,cinquième,72
la,le,71
tête,tête,22
la,le,71
première,premier,72
sur,sur,81
le,le,71
pavé,pavé,21
/!,/!,P
il,il,51
m',je,51
a,avoir,17
dit,dire,12
qu',que,83
il,il,51
serait,être,16
ce,ce,74
soir,soir,21
au,à,81
au,le,71
Tillac,Tillac,20
d',de,81
argent,argent,21
/.,/.,P
-,-,p
et,et,82
qu',que,52
est,être,17
ce,ce,52
qu',que,52
il,il,51
offrait,offrir,18
?,?,p
demanda,demander,19
Marguerite,Marguerite,20
/.,/.,P
-,-,p
deux,deux,72
napoléons,napoléon,21
/.,/.,P
-,-,p
cela,cela,52
fait,faire,17
quarante,quarante,72
francs,franc,21
/.,/.,P
-,-,p
oui,oui,60
",",",",p
dit,dire,19
Fantine,Fantine,20
",",",",p
cela,cela,52
fait,faire,17
quarante,quarante,72
francs,franc,21
/.,/.,P
elle,il,51
resta,rester,19
pensive,pensif,30
",",",",p
et,et,82
se,se,51
mit,mettre,19
à,à,81
son,son,73
ouvrage,ouvrage,21
/.,/.,P
au,à,81
au,le,71
bout,bout,21
d',de,81
un,un,71
quart,quart,21
d',de,81
heure,heure,22
",",",",p
elle,il,51
quitta,quitter,19
sa,son,73
couture,couture,22
et,et,82
alla,aller,19
relire,relire,14
la,le,71
lettre,lettre,22
des,de,81
des,le,71
Thénardier,Thénardier,20
sur,sur,81
l',le,71
escalier,escalier,21
/.,/.,P
en,en,81
rentrant,rentrer,13
",",",",p
elle,il,51
dit,dire,19
à,à,81
Marguerite,Marguerite,20
qui,qui,52
travaillait,travailler,18
près,près,81
d',de,81
elle,il,51
:,:,p
-,-,p
qu',que,52
est,être,17
ce,ce,52
que,que,52
c',ce,52
est,être,17
donc,donc,82
que,que,83
cela,cela,52
",",",",p
une,un,71
fièvre,fièvre,22
miliaire,miliaire,30
/?,/?,P
savez,savoir,17
vous,vous,51
/?,/?,P
oui,oui,60
",",",",p
répondit,répondre,19
la,le,71
vieille,vieux,30
fille,fille,22
",",",",p
c',ce,52
est,être,17
une,un,71
maladie,maladie,22
/.,/.,P
-,-,p
ça,ça,52
a,avoir,17
donc,donc,82
besoin,besoin,21
de,de,81
beaucoup,beaucoup,60
de,de,81
drogues,drogue,22
/?,/?,P
oh,oh,93
!,!,p
des,de,81
des,le,71
drogues,drogue,22
terribles,terrible,30
/.,/.,P
-,-,p
où,où,60
ça,ça,52
vous,vous,51
prend,prendre,17
il,il,51
/?,/?,P
c',ce,52
est,être,17
une,un,71
maladie,maladie,22
qu',que,83
on,on,51
a,avoir,17
comme,comme,83
ça,ça,52
/.,/.,P
-,-,p
cela,cela,52
attaque,attaquer,17
donc,donc,82
les,le,71
enfants,enfant,21
/?,/?,P
surtout,surtout,60
les,le,71
enfants,enfant,21
/.,/.,P
-,-,p
est,être,17
ce,ce,52
qu',que,83
on,on,51
en,en,52
meurt,mourir,17
/?,/?,P
très,très,60
bien,bien,60
",",",",p
dit,dire,19
Marguerite,Marguerite,20
/.,/.,P
Fantine,Fantine,20
sortit,sortir,19
et,et,82
alla,aller,19
encore,encore,60
une,un,71
fois,fois,22
relire,relire,14
la,le,71
lettre,lettre,22
sur,sur,81
l',le,71
escalier,escalier,21
/.,/.,P
le,le,71
soir,soir,21
elle,il,51
descendit,descendre,19
",",",",p
et,et,82
on,on,51
la,le,52
vit,voir,19
qui,qui,52
se,se,51
dirigeait,diriger,18
du,de,81
du,le,71
côté,côté,21
de,de,81
la,le,71
rue,rue,22
de,de,81
Paris,Paris,20
où,où,60
sont,être,17
les,le,71
auberges,auberge,22
/.,/.,P
le,le,71
lendemain,lendemain,21
matin,matin,21
",",",",p
comme,comme,83
Marguerite,Marguerite,20
entrait,entrer,18
dans,dans,81
la,le,71
chambre,chambre,22
de,de,81
Fantine,Fantine,20
avant,avant,81
le,le,71
jour,jour,21
",",",",p
car,car,82
elles,ils,51
travaillaient,travailler,18
toujours,toujours,60
ensemble,ensemble,60
et,et,82
de,de,81
cette,ce,74
façon,façon,22
n',ne,60
allumaient,allumer,18
qu',que,83
une,un,71
chandelle,chandelle,22
pour,pour,81
deux,deux,72
",",",",p
elle,il,51
trouva,trouver,19
Fantine,Fantine,20
assise,assis,31
sur,sur,81
son,son,73
lit,lit,21
",",",",p
pâle,pâle,30
",",",",p
glacée,glacé,31
/.,/.,P
elle,il,51
ne,ne,60
s',se,51
était,être,18
pas,pas,60
couchée,coucher,12
/.,/.,P
son,son,73
bonnet,bonnet,21
était,être,18
tombé,tomber,12
sur,sur,81
ses,son,73
genoux,genou,21
/.,/.,P
la,le,71
chandelle,chandelle,22
avait,avoir,18
brûlé,brûler,12
toute,tout,75
la,le,71
nuit,nuit,22
et,et,82
était,être,18
presque,presque,60
entièrement,entièrement,60
consumée,consumer,12
/.,/.,P
Marguerite,Marguerite,20
s',se,51
arrêta,arrêter,19
sur,sur,81
le,le,71
seuil,seuil,21
",",",",p
pétrifiée,pétrifié,31
de,de,81
cet,ce,74
énorme,énorme,30
désordre,désordre,21
",",",",p
et,et,82
s',se,51
écria,écrier,19
:,:,p
-,-,p
seigneur,seigneur,21
!,!,p
la,le,71
chandelle,chandelle,22
qui,qui,52
est,être,17
toute,tout,60
brûlée,brûler,12
!,!,p
il,il,51
s',se,51
est,être,17
passé,passer,12
des,de,81
des,le,71
événements,événement,21
/!,/!,P
puis,puis,60
elle,il,51
regarda,regarder,19
Fantine,Fantine,20
qui,qui,52
tournait,tourner,18
vers,vers,81
elle,il,51
sa,son,73
tête,tête,22
sans,sans,81
cheveux,cheveu,21
/.,/.,P
Fantine,Fantine,20
depuis,depuis,81
la,le,71
veille,veille,22
avait,avoir,18
vieilli,vieillir,12
de,de,81
dix,dix,72
ans,an,21
/.,/.,P
-,-,p
Jésus,Jésus,20
!,!,p
fit,faire,19
Marguerite,Marguerite,20
",",",",p
qu',que,52
est,être,17
ce,ce,52
que,que,52
vous,vous,51
avez,avoir,17
",",",",p
Fantine,Fantine,20
/?,/?,P
je,je,51
n',ne,60
ai,avoir,17
rien,rien,52
",",",",p
répondit,répondre,19
Fantine,Fantine,20
/.,/.,P
au,à,81
au,le,71
contraire,contraire,21
/.,/.,P
mon,mon,73
enfant,enfant,21
ne,ne,60
mourra,mourir,15
pas,pas,60
de,de,81
cette,ce,74
affreuse,affreux,30
maladie,maladie,22
",",",",p
faute,faute,22
de,de,81
secours,secours,21
/.,/.,P
je,je,51
suis,être,17
contente,content,30
/.,/.,P
en,en,81
parlant,parler,13
ainsi,ainsi,60
",",",",p
elle,il,51
montrait,montrer,18
à,à,81
la,le,71
vieille,vieux,30
fille,fille,22
deux,deux,72
napoléons,napoléon,21
qui,qui,52
brillaient,briller,18
sur,sur,81
la,le,71
table,table,22
/.,/.,P
-,-,p
ah,ah,93
",",",",p
Jésus,Jésus,20
dieu,dieu,21
!,!,p
dit,dire,19
Marguerite,Marguerite,20
/.,/.,P
mais,mais,82
c',ce,52
est,être,17
une,un,71
fortune,fortune,22
/!,/!,P
où,où,60
avez,avoir,17
vous,vous,51
eu,avoir,12
ces,ce,74
louis,louis,21
d',de,81
or,or,21
/?,/?,P
je,je,51
les,le,52
ai,avoir,17
eus,avoir,19
",",",",p
répondit,répondre,19
Fantine,Fantine,20
/.,/.,P
en,en,81
même,même,75
temps,temps,21
elle,il,51
sourit,sourire,19
/.,/.,P
la,le,71
chandelle,chandelle,22
éclairait,éclairer,18
son,son,73
visage,visage,21
/.,/.,P
c',ce,52
était,être,18
un,un,71
sourire,sourire,21
sanglant,sanglant,30
/.,/.,P
une,un,71
salive,salive,22
rougeâtre,rougeâtre,30
lui,lui,51
souillait,souiller,18
le,le,71
coin,coin,21
des,de,81
des,le,71
lèvres,lèvre,22
",",",",p
et,et,82
elle,il,51
avait,avoir,18
un,un,71
trou,trou,21
noir,noir,30
dans,dans,81
la,le,71
bouche,bouche,22
/.,/.,P
les,le,71
deux,deux,72
dents,dent,22
étaient,être,18
arrachées,arracher,12
/.,/.,P
elle,il,51
envoya,envoyer,19
les,le,71
quarante,quarante,72
francs,franc,21
à,à,81
Montfermeil,Montfermeil,20
/.,/.,P
du,de,81
du,le,71
reste,reste,21
c',ce,52
était,être,18
une,un,71
ruse,ruse,22
des,de,81
des,le,71
Thénardier,Thénardier,20
pour,pour,81
avoir,avoir,14
de,de,81
l',le,71
argent,argent,21
/.,/.,P
Cosette,Cosette,20
n',ne,60
était,être,18
pas,pas,60
malade,malade,30
/.,/.,P
Fantine,Fantine,20
jeta,jeter,19
son,son,73
miroir,miroir,21
par,par,81
la,le,71
fenêtre,fenêtre,22
/.,/.,P
depuis,depuis,81
longtemps,longtemps,60
elle,il,51
avait,avoir,18
quitté,quitter,12
sa,son,73
cellule,cellule,22
du,de,81
du,le,71
second,second,72
pour,pour,81
une,un,71
mansarde,mansarde,22
fermée,fermé,31
d',de,81
un,un,71
loquet,loquet,21
sous,sous,81
le,le,71
toit,toit,21
;,;,p
un,un,52
de,de,81
ces,ce,74
galetas,galetas,21
dont,dont,52
le,le,71
plafond,plafond,21
fait,fait,21
angle,angle,21
avec,avec,81
le,le,71
plancher,plancher,21
et,et,82
vous,vous,51
heurte,heurter,17
à,à,81
chaque,chaque,75
instant,instant,21
la,le,71
tête,tête,22
/.,/.,P
le,le,71
pauvre,pauvre,30
ne,ne,60
peut,pouvoir,17
aller,aller,14
au,à,81
au,le,71
fond,fond,21
de,de,81
sa,son,73
chambre,chambre,22
comme,comme,83
au,à,81
au,le,71
fond,fond,21
de,de,81
sa,son,73
destinée,destinée,22
qu',que,52
en,en,81
se,se,51
courbant,courber,13
de,de,81
plus,plus,60
en,en,81
plus,plus,60
/.,/.,P
elle,il,51
n',ne,60
avait,avoir,18
plus,plus,60
de,de,81
lit,lit,21
",",",",p
il,il,51
lui,lui,51
restait,rester,18
une,un,71
loque,loque,22
qu',que,52
elle,il,51
appelait,appeler,18
sa,son,73
couverture,couverture,22
",",",",p
un,un,71
matelas,matelas,21
à,à,81
terre,terre,22
et,et,82
une,un,71
chaise,chaise,22
dépaillée,dépaillé,31
/.,/.,P
un,un,71
petit,petit,30
rosier,rosier,21
qu',que,52
elle,il,51
avait,avoir,18
s',se,51
était,être,18
désséché,déssécher,12
dans,dans,81
un,un,71
coin,coin,21
",",",",p
oublié,oublié,31
/.,/.,P
dans,dans,81
l',le,71
autre,autre,75
coin,coin,21
",",",",p
il,il,51
y,y,52
avait,avoir,18
un,un,71
pot,pot,21
à,à,81
beurre,beurre,21
à,à,81
mettre,mettre,14
l',le,71
eau,eau,22
",",",",p
qui,qui,52
gelait,geler,18
l',le,71
hiver,hiver,21
",",",",p
et,et,82
où,où,60
les,le,71
différents,différent,30
niveaux,niveau,21
de,de,81
l',le,71
eau,eau,22
restaient,rester,18
longtemps,longtemps,60
marqués,marqué,31
par,par,81
des,de,81
des,le,71
cercles,cercle,21
de,de,81
glace,glace,22
/.,/.,P
elle,il,51
avait,avoir,18
perdu,perdre,12
la,le,71
honte,honte,22
",",",",p
elle,il,51
perdit,perdre,19
la,le,71
coquetterie,coquetterie,22
/.,/.,P
dernier,dernier,30
signe,signe,21
/.,/.,P
elle,il,51
sortait,sortir,18
avec,avec,81
des,de,81
des,le,71
bonnets,bonnet,21
sales,sale,30
/.,/.,P
soit,soit,82
faute,faute,22
de,de,81
temps,temps,21
",",",",p
soit,soit,82
indifférence,indifférence,22
",",",",p
elle,il,51
ne,ne,60
raccommodait,raccommoder,18
plus,plus,60
son,son,73
linge,linge,21
/.,/.,P
à,à,81
mesure,mesure,22
que,que,83
les,le,71
talons,talon,21
s',se,51
usaient,user,18
",",",",p
elle,il,51
tirait,tirer,18
ses,son,73
bas,bas,21
dans,dans,81
ses,son,73
souliers,soulier,21
/.,/.,P
cela,cela,52
se,se,51
voyait,voir,18
à,à,81
de,de,81
certains,certain,75
plis,pli,21
perpendiculaires,perpendiculaire,30
/.,/.,P
elle,il,51
rapiéçait,rapiécer,18
son,son,73
corset,corset,21
",",",",p
vieux,vieux,30
et,et,82
usé,usé,31
",",",",p
avec,avec,81
des,de,81
des,le,71
morceaux,morceau,21
de,de,81
calicot,calicot,21
qui,qui,52
se,se,51
déchiraient,déchirer,18
au,à,81
au,le,71
moindre,moindre,30
mouvement,mouvement,21
/.,/.,P
les,le,71
gens,gens,21
auxquels,à,81
auxquels,lequel,52
elle,il,51
devait,devoir,18
",",",",p
lui,lui,51
faisaient,faire,18
“,“,p
des,de,81
des,le,71
scènes,scène,22
“,“,p
",",",",p
et,et,82
ne,ne,60
lui,lui,51
laissaient,laisser,18
aucun,aucun,75
repos,repos,21
/.,/.,P
elle,il,51
les,le,52
trouvait,trouver,18
dans,dans,81
la,le,71
rue,rue,22
",",",",p
elle,il,51
les,le,52
retrouvait,retrouver,18
dans,dans,81
son,son,73
escalier,escalier,21
/.,/.,P
elle,il,51
passait,passer,18
des,de,81
des,le,71
nuits,nuit,22
à,à,81
pleurer,pleurer,14
et,et,82
à,à,81
songer,songer,14
/.,/.,P
elle,il,51
avait,avoir,18
les,le,71
yeux,oeil,21
très,très,60
brillants,brillant,30
",",",",p
et,et,82
elle,il,51
sentait,sentir,18
une,un,71
douleur,douleur,22
fixe,fixer,17
dans,dans,81
l',le,71
épaule,épaule,22
",",",",p
vers,vers,81
le,le,71
haut,haut,30
de,de,81
l',le,71
omoplate,omoplate,22
gauche,gauche,30
/.,/.,P
elle,il,51
toussait,tousser,18
beaucoup,beaucoup,60
/.,/.,P
elle,il,51
haïssait,haïr,18
profondément,profondément,60
le,le,71
père,père,21
Madeleine,Madeleine,20
",",",",p
et,et,82
ne,ne,60
se,se,51
plaignait,plaindre,18
pas,pas,60
/.,/.,P
elle,il,51
cousait,coudre,18
dix,dix,72
sept,sept,72
heures,heure,22
par,par,81
jour,jour,21
;,;,p
mais,mais,82
un,un,71
entrepreneur,entrepreneur,21
du,de,81
du,le,71
travail,travail,21
des,de,81
des,le,71
prisons,prison,22
",",",",p
qui,qui,52
faisait,faire,18
travailler,travailler,14
les,le,71
prisonnières,prisonnière,22
au,à,81
au,le,71
rabais,rabais,21
",",",",p
fit,faire,19
tout,tout,60
à,à,81
coup,coup,21
baisser,baisser,14
les,le,71
prix,prix,21
",",",",p
ce,ce,52
qui,qui,52
réduisit,réduire,19
la,le,71
journée,journée,22
des,de,81
des,le,71
ouvrières,ouvrière,22
libres,libre,30
à,à,81
neuf,neuf,30
sous,sous,81
/.,/.,P
dix-,dix,72
sept,sept,72
heures,heure,22
de,de,81
travail,travail,21
",",",",p
et,et,82
neuf,neuf,72
sous,sou,21
par,par,81
jour,jour,21
/!,/!,P
ses,son,73
créanciers,créancier,21
étaient,être,18
plus,plus,60
impitoyables,impitoyable,30
que,que,83
jamais,jamais,60
/.,/.,P
le,le,71
fripier,fripier,21
",",",",p
qui,qui,52
avait,avoir,18
repris,reprendre,12
presque,presque,60
tous,tout,75
les,le,71
meubles,meuble,21
",",",",p
lui,lui,51
disait,dire,18
sans,sans,81
cesse,cesse,22
:,:,p
quand,quand,83
me,je,51
payeras,payer,15
tu,tu,51
",",",",p
coquine,coquine,22
/?,/?,P
que,que,52
voulait,vouloir,18
on,on,51
d',de,81
elle,il,51
",",",",p
bon,bon,30
dieu,dieu,21
/!,/!,P
elle,il,51
se,se,51
sentait,sentir,18
traquée,traqué,31
et,et,82
il,il,51
se,se,51
développait,développer,18
en,en,81
elle,il,51
quelque,quelque,75
chose,chose,22
de,de,81
la,le,71
bête,bête,22
farouche,farouche,30
/.,/.,P
vers,vers,81
le,le,71
même,même,75
temps,temps,21
",",",",p
le,le,71
Thénardier,Thénardier,20
lui,lui,51
écrivit,écrire,19
que,que,83
décidément,décidément,60
il,il,51
avait,avoir,18
attendu,attendre,12
avec,avec,81
beaucoup,beaucoup,60
trop,trop,60
de,de,81
bonté,bonté,22
",",",",p
et,et,82
qu',que,83
il,il,51
lui,lui,51
fallait,falloir,18
cent,cent,72
francs,franc,21
",",",",p
tout,tout,60
de,de,81
suite,suite,22
;,;,p
sinon,sinon,83
qu',que,83
il,il,51
mettrait,mettre,16
à,à,81
la,le,71
porte,porte,22
la,le,71
petite,petit,30
Cosette,Cosette,20
",",",",p
toute,tout,60
convalescente,convalescent,30
de,de,81
sa,son,73
grande,grand,30
maladie,maladie,22
",",",",p
par,par,81
le,le,71
froid,froid,30
",",",",p
par,par,81
les,le,71
chemins,chemin,21
",",",",p
et,et,82
qu',que,83
elle,il,51
deviendrait,devenir,16
ce,ce,52
qu',que,52
elle,il,51
pourrait,pouvoir,16
",",",",p
et,et,82
qu',que,52
elle,il,51
crèverait,crever,16
",",",",p
si,si,83
elle,il,51
voulait,vouloir,18
/.,/.,P
“,“,p
cent,cent,72
francs,franc,21
",",",",p
songea,songer,19
Fantine,Fantine,20
/!,/!,P
mais,mais,82
où,où,60
y,y,52
a,avoir,17
t,t,94
il,il,51
un,un,71
état,état,21
à,à,81
gagner,gagner,14
cent,cent,72
sous,sou,21
par,par,81
jour,jour,21
/?,/?,P
allons,aller,17
!,!,p
dit,dire,19
elle,il,51
",",",",p
vendons,vendre,17
le,le,71
reste,reste,21
/.,/.,P
l',le,71
infortunée,infortuné,30
se,se,51
fit,faire,19
fille,fille,22
publique,public,30
/.,/.,P
