11881
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Trente-quatrième extrait>,<>,<>
de,de,81
retraite,retraite,22
peur,peur,22
les,le,71
vieillards,vieillard,21
",",",",p
à,à,81
Nice,Nice,20
",",",",p
des,de,81
des,le,71
hospices,hospice,21
",",",",p
des,de,81
des,le,71
cités,cité,22
ouvrières,ouvrier,30
",",",",p
des,de,81
des,le,71
bibliothèques,bibliothèque,22
et,et,82
des,de,81
des,le,71
écoles,école,22
",",",",p
aux,à,81
aux,le,71
quatre,quatre,72
coins,coin,21
de,de,81
la,le,71
France,France,20
;,;,p
sans,sans,81
compter,compter,14
des,de,81
des,le,71
donations,donation,22
considérables,considérable,30
à,à,81
des,de,81
des,le,71
oeuvres,oeuvre,22
de,de,81
charité,charité,22
déjà,déjà,60
existantes,existant,30
/.,/.,P
c',ce,52
était,être,18
",",",",p
d',de,81
ailleurs,ailleurs,60
",",",",p
toujours,toujours,60
la,le,71
même,même,75
volonté,volonté,22
de,de,81
royale,royal,30
restitution,restitution,22
",",",",p
non,non,60
pas,pas,60
le,le,71
morceau,morceau,21
de,de,81
pain,pain,21
jeté,jeté,31
par,par,81
la,le,71
pitié,pitié,22
ou,ou,82
la,le,71
peur,peur,22
aux,à,81
aux,le,71
misérables,misérable,21
",",",",p
mais,mais,82
la,le,71
jouissance,jouissance,22
de,de,81
vivre,vivre,14
",",",",p
le,le,71
superflu,superflu,21
",",",",p
tout,tout,52
ce,ce,52
qui,qui,52
est,être,17
bon,bon,30
et,et,82
beau,beau,30
donné,donné,31
aux,à,81
aux,le,71
humbles,humble,21
qui,qui,52
n',ne,60
ont,avoir,17
rien,rien,52
",",",",p
aux,à,81
aux,le,71
faibles,faible,21
que,que,52
les,le,71
forts,fort,21
ont,avoir,17
volés,voler,12
de,de,81
leur,leur,73
part,part,22
de,de,81
joie,joie,22
",",",",p
enfin,enfin,60
les,le,71
palais,palais,21
des,de,81
des,le,71
riches,riche,21
grands,grand,30
ouverts,ouvert,31
aux,à,81
aux,le,71
mendiants,mendiant,21
des,de,81
des,le,71
routes,route,22
",",",",p
pour,pour,81
qu',que,83
ils,ils,51
dorment,dormir,17
",",",",p
eux,ils,51
aussi,aussi,60
",",",",p
dans,dans,81
la,le,71
soie,soie,22
et,et,82
mangent,manger,17
dans,dans,81
la,le,71
vaisselle,vaisselle,22
d',de,81
or,or,21
/.,/.,P
pendant,pendant,81
dix,dix,72
années,année,22
",",",",p
la,le,71
pluie,pluie,22
des,de,81
des,le,71
millions,million,21
n',ne,60
avait,avoir,18
pas,pas,60
cessé,cesser,12
",",",",p
les,le,71
réfectoires,réfectoire,21
de,de,81
marbre,marbre,21
",",",",p
les,le,71
dortoirs,dortoir,21
égayés,égayé,31
de,de,81
peintures,peinture,22
claires,clair,30
",",",",p
les,le,71
façades,façade,22
monumentales,monumental,30
comme,comme,83
des,de,81
des,le,71
Louvres,Louvre,20
",",",",p
les,le,71
jardins,jardin,21
fleuris,fleuri,31
de,de,81
plantes,plante,22
rares,rare,30
",",",",p
dix,dix,72
années,année,22
de,de,81
travaux,travail,21
superbes,superbe,30
",",",",p
dans,dans,81
un,un,71
gâchis,gâchis,21
incroyable,incroyable,30
d',de,81
entrepreneurs,entrepreneur,21
et,et,82
d',de,81
architectes,architecte,21
;,;,p
et,et,82
elle,il,51
était,être,18
bien,bien,60
heureuse,heureux,30
",",",",p
soulevée,soulever,12
par,par,81
le,le,71
grand,grand,30
bonheur,bonheur,21
d',de,81
avoir,avoir,14
désormais,désormais,60
les,le,71
mains,main,22
nettes,net,30
",",",",p
sans,sans,81
un,un,71
centime,centime,21
/.,/.,P
même,même,60
elle,il,51
venait,venir,18
d',de,81
atteindre,atteindre,14
l',le,71
étonnant,étonnant,30
résultat,résultat,21
de,de,81
s',se,51
endetter,endetter,14
",",",",p
on,on,51
la,le,52
poursuivait,poursuivre,18
pour,pour,81
un,un,71
reliquat,reliquat,21
de,de,81
mémoires,mémoire,21
montant,monter,13
à,à,81
plusieurs,plusieurs,75
centaines,centaine,22
de,de,81
mille,mille,72
francs,franc,21
",",",",p
sans,sans,81
que,que,83
son,son,73
avoué,avoué,21
et,et,82
son,son,73
notaire,notaire,21
pussent,pouvoir,18
réussir,réussir,14
à,à,81
parfaire,parfaire,14
la,le,71
somme,somme,22
",",",",p
dans,dans,81
l',le,71
émiettement,émiettement,21
final,final,30
de,de,81
la,le,71
colossale,colossal,30
fortune,fortune,22
",",",",p
jetée,jeté,31
ainsi,ainsi,60
aux,à,81
aux,le,71
quatre,quatre,72
vents,vent,21
de,de,81
l',le,71
aumône,aumône,22
/.,/.,P
et,et,82
un,un,71
écriteau,écriteau,21
",",",",p
cloué,cloué,31
au-dessus,au-dessus,60
de,de,81
la,le,71
porte,porte,22
cochère,cocher,30
",",",",p
annonçait,annoncer,18
la,le,71
mise,mise,22
en,en,81
vente,vente,22
de,de,81
l',le,71
hôtel,hôtel,21
",",",",p
le,le,71
coup,coup,21
de,de,81
balai,balai,21
suprême,suprême,30
qui,qui,52
emportait,emporter,18
jusqu',jusque,81
aux,à,81
aux,le,71
vestiges,vestige,21
de,de,81
l',le,71
argent,argent,21
maudit,maudit,31
",",",",p
ramassé,ramassé,31
dans,dans,81
la,le,71
boue,boue,22
et,et,82
dans,dans,81
le,le,71
sang,sang,21
du,de,81
du,le,71
brigandage,brigandage,21
financier,financier,30
/.,/.,P
en,en,81
haut,haut,21
",",",",p
la,le,71
vieille,vieux,30
Sophie,Sophie,20
attendait,attendre,18
madame,madame,22
Caroline,Caroline,20
pour,pour,81
l',le,52
introduire,introduire,14
/.,/.,P
elle,il,51
",",",",p
furieuse,furieux,30
",",",",p
grondait,gronder,18
toute,tout,75
la,le,71
journée,journée,22
/.,/.,P
ah,ah,93
!,!,p
elle,il,51
l',le,52
avait,avoir,18
bien,bien,60
dit,dire,12
que,que,83
madame,madame,22
finirait,finir,16
par,par,81
mourir,mourir,14
sur,sur,81
la,le,71
paille,paille,22
/!,/!,P
est,être,17
ce,ce,52
que,que,83
madame,madame,22
n',ne,60
aurait,avoir,16
pas,pas,60
dû,devoir,12
se,se,51
remarier,remarier,14
et,et,82
avoir,avoir,14
des,de,81
des,le,71
enfants,enfant,21
avec,avec,81
un,un,71
autre,autre,75
monsieur,monsieur,21
",",",",p
puisqu',puisque,83
elle,il,51
n',ne,60
aimait,aimer,18
que,que,83
ça,ça,52
au,à,81
au,le,71
fond,fond,21
/?,/?,P
ce,ce,52
n',ne,60
était,être,18
pas,pas,60
qu',que,83
elle,il,51
eût,avoir,19
à,à,81
se,se,51
plaindre,plaindre,14
et,et,82
à,à,81
s',se,51
inquiéter,inquiéter,14
",",",",p
elle,il,51
",",",",p
car,car,82
elle,il,51
avait,avoir,18
reçu,recevoir,12
depuis,depuis,81
longtemps,longtemps,60
une,un,71
rente,rente,22
de,de,81
deux,deux,72
mille,mille,72
francs,franc,21
",",",",p
qu',que,52
elle,il,51
allait,aller,18
manger,manger,14
dans,dans,81
son,son,73
pays,pays,21
",",",",p
du,de,81
du,le,71
côté,côté,21
d',de,81
Angoulême,Angoulême,20
/.,/.,P
mais,mais,82
une,un,71
colère,colère,22
l',le,52
emportait,emporter,18
",",",",p
lorsqu',lorsque,83
elle,il,51
songeait,songer,18
que,que,83
madame,madame,22
ne,ne,60
s',se,51
était,être,18
pas,pas,60
même,même,60
réservé,réserver,12
les,le,71
quelques,quelque,75
sous,sou,21
nécessaires,nécessaire,30
",",",",p
chaque,chaque,75
matin,matin,21
",",",",p
au,à,81
au,le,71
pain,pain,21
et,et,82
au,à,81
au,le,71
lait,lait,21
dont,dont,52
elle,il,51
vivait,vivre,18
maintenant,maintenant,60
/.,/.,P
des,de,81
des,le,71
querelles,querelle,22
sans,sans,81
cesse,cesse,22
éclataient,éclater,18
entre,entre,81
elles,ils,51
/.,/.,P
la,le,71
princesse,princesse,22
souriait,sourire,18
de,de,81
son,son,73
divin,divin,30
sourire,sourire,22
d',de,81
espérance,espérance,22
",",",",p
en,en,81
répondant,répondre,13
qu',que,83
elle,il,51
n',ne,60
aurait,avoir,16
plus,plus,60
besoin,besoin,21
",",",",p
à,à,81
la,le,71
fin,fin,22
du,de,81
du,le,71
mois,mois,21
",",",",p
que,que,83
d',de,81
un,un,71
suaire,suaire,21
",",",",p
lorsqu',lorsque,83
elle,il,51
serait,être,16
entrée,entrer,12
dans,dans,81
le,le,71
couvent,couvent,21
où,où,60
elle,il,51
avait,avoir,18
depuis,depuis,81
longtemps,longtemps,60
marqué,marquer,12
sa,son,73
place,place,22
",",",",p
un,un,71
couvent,couvent,21
de,de,81
carmélites,carmélite,22
muré,muré,31
au,à,81
au,le,71
monde,monde,21
entier,entier,30
/.,/.,P
le,le,71
repos,repos,21
",",",",p
l',le,71
éternel,éternel,30
repos,repos,21
/!,/!,P
telle,tel,75
qu',que,83
elle,il,51
la,le,52
voyait,voir,18
depuis,depuis,81
quatre,quatre,72
années,année,22
",",",",p
madame,madame,22
Caroline,Caroline,20
retrouva,retrouver,19
la,le,71
princesse,princesse,22
",",",",p
vêtue,vêtu,31
de,de,81
son,son,73
éternelle,éternel,30
robe,robe,22
noire,noir,30
",",",",p
les,le,71
cheveux,cheveu,21
cachés,caché,31
sous,sous,81
un,un,71
fichu,fichu,21
de,de,81
dentelle,dentelle,22
",",",",p
jolie,joli,30
encore,encore,60
à,à,81
trente,trente,72
neuf,neuf,72
ans,an,21
",",",",p
avec,avec,81
son,son,73
visage,visage,21
rond,rond,30
aux,à,81
aux,le,71
dents,dent,22
de,de,81
perle,perle,22
",",",",p
mais,mais,82
le,le,71
teint,teint,21
jaune,jaune,30
",",",",p
la,le,71
chair,chair,22
morte,mort,31
",",",",p
comme,comme,83
après,après,81
dix,dix,72
ans,an,21
de,de,81
cloître,cloître,21
/.,/.,P
et,et,82
l',le,71
étroite,étroit,30
pièce,pièce,22
",",",",p
pareille,pareil,30
à,à,81
un,un,71
bureau,bureau,21
d',de,81
huissier,huissier,21
de,de,81
province,province,22
",",",",p
s',se,51
était,être,18
emplie,emplir,12
d',de,81
un,un,71
encombrement,encombrement,21
de,de,81
paperasses,paperasse,22
plus,plus,60
inextricables,inextricable,30
encore,encore,60
",",",",p
des,de,81
des,le,71
plans,plan,21
",",",",p
des,de,81
des,le,71
mémoires,mémoire,21
",",",",p
des,de,81
des,le,71
dossiers,dossier,21
",",",",p
tout,tout,75
le,le,71
papier,papier,21
gâché,gâché,31
d',de,81
un,un,71
gaspillage,gaspillage,21
de,de,81
trois,trois,72
cents,cent,72
millions,million,21
/.,/.,P
“,“,p
madame,madame,22
",",",",p
dit,dire,19
la,le,71
princesse,princesse,22
de,de,81
sa,son,73
voix,voix,22
douce,doux,30
et,et,82
lente,lent,30
",",",",p
qu',que,52
aucune,aucun,75
émotion,émotion,22
ne,ne,60
faisait,faire,18
plus,plus,60
trembler,trembler,14
",",",",p
j',je,51
ai,avoir,17
voulu,vouloir,12
vous,vous,51
apprendre,apprendre,14
une,un,71
nouvelle,nouvelle,22
qui,qui,52
m',je,51
a,avoir,17
été,être,12
apportée,apporter,12
ce,ce,74
matin,matin,21
/…,/…,P
il,il,51
s',se,51
agit,agir,17
de,de,81
Victor,Victor,20
",",",",p
ce,ce,74
garçon,garçon,21
que,que,52
vous,vous,51
avez,avoir,17
placé,placer,12
à,à,81
l',le,71
oeuvre,oeuvre,22
du,de,81
du,le,71
travail,travail,21
/…,/…,P
“,“,p
le,le,71
coeur,coeur,21
de,de,81
madame,madame,22
Caroline,Caroline,20
se,se,51
mit,mettre,19
à,à,81
battre,battre,14
douloureusement,douloureusement,60
/.,/.,P
ah,ah,93
!,!,p
le,le,71
misérable,misérable,30
enfant,enfant,21
",",",",p
que,que,52
son,son,73
père,père,21
n',ne,60
était,être,18
pas,pas,60
même,même,60
allé,aller,12
voir,voir,14
",",",",p
malgré,malgré,81
ses,son,73
formelles,formel,30
promesses,promesse,22
",",",",p
pendant,pendant,81
les,le,71
quelques,quelque,75
mois,mois,21
qu',que,52
il,il,51
avait,avoir,18
connu,connaître,12
son,son,73
existence,existence,22
",",",",p
avant,avant,81
d',de,81
être,être,14
emprisonné,emprisonner,12
à,à,81
la,le,71
Conciergerie,Conciergerie,20
/.,/.,P
que,que,52
deviendrait,devenir,16
il,il,51
désormais,désormais,60
/?,/?,P
et,et,82
elle,il,51
qui,qui,52
se,se,51
défendait,défendre,18
de,de,81
penser,penser,14
à,à,81
Saccard,Saccard,20
",",",",p
était,être,18
continuellement,continuellement,60
ramenée,ramener,12
à,à,81
lui,lui,51
",",",",p
bouleversée,bouleversé,31
dans,dans,81
sa,son,73
maternité,maternité,22
d',de,81
adoption,adoption,22
/.,/.,P
“,“,p
il,il,51
s',se,51
est,être,17
passé,passer,12
hier,hier,60
des,de,81
des,le,71
choses,chose,22
terribles,terrible,30
",",",",p
continua,continuer,19
la,le,71
princesse,princesse,22
",",",",p
tout,tout,75
un,un,71
crime,crime,21
que,que,52
rien,rien,52
ne,ne,60
saurait,savoir,16
réparer,réparer,14
/.,/.,P
“,“,p
et,et,82
elle,il,51
conta,conter,19
",",",",p
de,de,81
son,son,73
air,air,21
glacé,glacé,31
",",",",p
une,un,71
épouvantable,épouvantable,30
aventure,aventure,22
/.,/.,P
depuis,depuis,81
trois,trois,72
jours,jour,21
",",",",p
Victor,Victor,20
s',se,51
était,être,18
fait,faire,12
mettre,mettre,14
à,à,81
l',le,71
infirmerie,infirmerie,22
",",",",p
en,en,81
alléguant,alléguer,13
des,de,81
des,le,71
douleurs,douleur,22
de,de,81
tête,tête,22
insupportables,insupportable,30
/.,/.,P
le,le,71
médecin,médecin,21
avait,avoir,18
bien,bien,60
flairé,flairer,12
une,un,71
simulation,simulation,22
de,de,81
paresseux,paresseux,30
;,;,p
mais,mais,82
l',le,71
enfant,enfant,21
était,être,18
réellement,réellement,60
ravagé,ravager,12
par,par,81
des,de,81
des,le,71
névralgies,névralgie,22
fréquentes,fréquent,30
/.,/.,P
or,or,82
",",",",p
cet,ce,74
après-midi,après-midi,21
",",",",p
Alice,Alice,20
de,de,81
Beauvilliers,Beauvilliers,20
se,se,51
trouvait,trouver,18
à,à,81
l',le,71
oeuvre,oeuvre,22
sans,sans,81
sa,son,73
mère,mère,22
",",",",p
venue,venu,31
pour,pour,81
aider,aider,14
la,le,71
soeur,soeur,22
de,de,81
service,service,21
à,à,81
l',le,71
inventaire,inventaire,21
trimestriel,trimestriel,30
de,de,81
l',le,71
armoire,armoire,22
aux,à,81
aux,le,71
remèdes,remède,21
/.,/.,P
cette,ce,74
armoire,armoire,22
était,être,18
dans,dans,81
la,le,71
pièce,pièce,22
qui,qui,52
séparait,séparer,18
les,le,71
deux,deux,72
dortoirs,dortoir,21
",",",",p
celui,celui,52
des,de,81
des,le,71
filles,fille,22
de,de,81
celui,celui,52
des,de,81
des,le,71
garçons,garçon,21
",",",",p
où,où,60
il,il,51
n',ne,60
y,y,52
avait,avoir,18
en,en,81
ce,ce,74
moment,moment,21
que,que,83
Victor,Victor,20
couché,couché,31
",",",",p
occupant,occuper,13
un,un,52
des,de,81
des,le,71
lits,lit,21
;,;,p
et,et,82
la,le,71
soeur,soeur,22
",",",",p
s',se,51
étant,être,13
absentée,absenter,12
quelques,quelque,75
minutes,minute,22
",",",",p
avait,avoir,18
eu,avoir,12
la,le,71
surprise,surprise,22
de,de,81
ne,ne,60
pas,pas,60
retrouver,retrouver,14
Alice,Alice,20
",",",",p
si,si,60
bien,bien,60
qu',que,83
après,après,81
avoir,avoir,14
attendu,attendre,12
un,un,71
instant,instant,21
",",",",p
elle,il,51
s',se,51
était,être,18
mise,mettre,12
à,à,81
la,le,52
chercher,chercher,14
/.,/.,P
son,son,73
étonnement,étonnement,21
avait,avoir,18
grandi,grandir,12
en,en,81
constatant,constater,13
que,que,83
la,le,71
porte,porte,22
du,de,81
du,le,71
dortoir,dortoir,21
des,de,81
des,le,71
garçons,garçon,21
venait,venir,18
d',de,81
être,être,14
fermée,fermer,12
en,en,81
dedans,dedans,21
/.,/.,P
que,que,52
se,se,51
passait,passer,18
il,il,51
donc,donc,82
/?,/?,P
il,il,51
lui,lui,51
avait,avoir,18
fallu,falloir,12
faire,faire,14
le,le,71
tour,tour,21
par,par,81
le,le,71
couloir,couloir,21
",",",",p
et,et,82
elle,il,51
restait,rester,18
béante,béant,30
",",",",p
terrifiée,terrifié,31
",",",",p
par,par,81
le,le,71
spectacle,spectacle,21
qui,qui,52
s',se,51
offrait,offrir,18
à,à,81
elle,il,51
:,:,p
la,le,71
jeune,jeune,30
fille,fille,22
à,à,81
demi,demi,30
étranglée,étranglé,31
",",",",p
une,un,71
serviette,serviette,22
nouée,noué,31
sur,sur,81
son,son,73
visage,visage,21
pour,pour,81
étouffer,étouffer,14
ses,son,73
cris,cri,21
",",",",p
ses,son,73
jupes,jupe,22
en,en,81
désordre,désordre,21
relevées,relevé,31
",",",",p
étalant,étaler,13
sa,son,73
nudité,nudité,22
pauvre,pauvre,30
de,de,81
vierge,vierge,22
chlorotique,chlorotique,30
",",",",p
violentée,violenté,31
",",",",p
souillée,souillé,31
avec,avec,81
une,un,71
brutalité,brutalité,22
immonde,immonde,30
/.,/.,P
par,par,81
terre,terre,22
",",",",p
gisait,gésir,18
un,un,71
porte-monnaie,porte-monnaie,21
vide,vide,30
/.,/.,P
Victor,Victor,20
avait,avoir,18
disparu,disparaître,12
/.,/.,P
et,et,82
la,le,71
scène,scène,22
se,se,51
reconstruisait,reconstruire,18
:,:,p
Alice,Alice,20
",",",",p
appelée,appelé,31
peut-être,peut-être,60
",",",",p
entrant,entrer,13
pour,pour,81
donner,donner,14
un,un,71
bol,bol,21
de,de,81
lait,lait,21
à,à,81
ce,ce,74
garçon,garçon,21
de,de,81
quinze,quinze,72
ans,an,21
",",",",p
velu,velu,30
comme,comme,83
un,un,71
homme,homme,21
",",",",p
puis,puis,60
la,le,71
brusque,brusque,30
faim,faim,22
du,de,81
du,le,71
monstre,monstre,21
pour,pour,81
cette,ce,74
chair,chair,22
frêle,frêle,30
",",",",p
ce,ce,74
cou,cou,21
trop,trop,60
long,long,30
",",",",p
le,le,71
saut,saut,21
du,de,81
du,le,71
mâle,mâle,21
en,en,81
chemise,chemise,22
",",",",p
la,le,71
fille,fille,22
étouffée,étouffé,31
",",",",p
jetée,jeté,31
sur,sur,81
le,le,71
lit,lit,21
ainsi,ainsi,60
qu',que,83
une,un,71
loque,loque,22
",",",",p
violée,violé,31
",",",",p
volée,volé,31
",",",",p
et,et,82
les,le,71
vêtements,vêtement,21
passés,passé,31
à,à,81
la,le,71
hâte,hâte,22
",",",",p
et,et,82
la,le,71
fuite,fuite,22
/.,/.,P
mais,mais,82
que,que,52
de,de,81
points,point,21
obscurs,obscur,30
",",",",p
que,que,52
de,de,81
questions,question,22
stupéfiantes,stupéfiant,30
et,et,82
insolubles,insoluble,30
/!,/!,P
comment,comment,60
n',ne,60
avait,avoir,18
on,on,51
rien,rien,52
entendu,entendre,12
",",",",p
pas,pas,60
un,un,71
bruit,bruit,21
de,de,81
lutte,lutte,22
",",",",p
pas,pas,60
une,un,71
plainte,plainte,22
/?,/?,P
comment,comment,60
de,de,81
si,si,60
effroyables,effroyable,30
choses,chose,22
s',se,51
étaient,être,18
elles,ils,51
passées,passer,12
si,si,60
vite,vite,60
",",",",p
dix,dix,72
minutes,minute,22
à,à,81
peine,peine,22
/?,/?,P
surtout,surtout,60
",",",",p
comment,comment,60
Victor,Victor,20
avait,avoir,18
il,il,51
pu,pouvoir,12
se,se,51
sauver,sauver,14
",",",",p
s',se,51
évaporer,évaporer,14
pour,pour,81
ainsi,ainsi,60
dire,dire,14
",",",",p
sans,sans,81
laisser,laisser,14
de,de,81
trace,trace,22
?,?,p
car,car,82
",",",",p
après,après,81
les,le,71
plus,plus,60
minutieuses,minutieux,30
recherches,recherche,22
",",",",p
on,on,51
avait,avoir,18
acquis,acquérir,12
la,le,71
certitude,certitude,22
qu',que,83
il,il,51
n',ne,60
était,être,18
plus,plus,60
dans,dans,81
l',le,71
établissement,établissement,21
/.,/.,P
il,il,51
devait,devoir,18
s',se,51
être,être,14
enfui,enfuir,12
par,par,81
la,le,71
salle,salle,22
de,de,81
bains,bain,21
