11921
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Dixième extrait>,<>,<>
eût,avoir,19
vu,voir,12
apporter,apporter,14
/.,/.,P
il,il,51
se,se,51
précipita,précipiter,19
",",",",p
le,le,52
déplia,déplier,19
après,après,81
avoir,avoir,14
jeté,jeter,12
les,le,71
trois,trois,72
sous,sou,21
",",",",p
et,et,82
parcourut,parcourir,19
les,le,71
titres,titre,21
de,de,81
la,le,71
première,premier,72
page,page,22
/.,/.,P
-,-,p
rien,rien,52
/.,/.,P
-,-,p
son,son,73
coeur,coeur,21
se,se,51
mit,mettre,19
à,à,81
battre,battre,14
;,;,p
il,il,51
ouvrit,ouvrir,19
la,le,71
feuille,feuille,22
",",",",p
et,et,82
il,il,51
eut,avoir,19
une,un,71
forte,fort,30
émotion,émotion,22
en,en,81
lisant,lire,13
",",",",p
au,à,81
au,le,71
bas,bas,21
d',de,81
une,un,71
colonne,colonne,22
",",",",p
en,en,81
grosses,gros,30
lettres,lettre,22
:,:,p
“,“,p
Georges,Georges,20
Duroy,Duroy,20
“,“,p
/.,/.,P
ça,ça,52
y,y,52
était,être,18
!,!,p
quelle,quel,75
joie,joie,22
/!,/!,P
il,il,51
se,se,51
mit,mettre,19
à,à,81
marcher,marcher,14
",",",",p
sans,sans,81
penser,penser,14
",",",",p
le,le,71
journal,journal,21
à,à,81
la,le,71
main,main,22
",",",",p
le,le,71
chapeau,chapeau,21
sur,sur,81
le,le,71
côté,côté,21
",",",",p
avec,avec,81
une,un,71
envie,envie,22
d',de,81
arrêter,arrêter,14
les,le,71
passants,passant,21
pour,pour,81
leur,leur,52
dire,dire,14
:,:,p
“,“,p
achetez,acheter,17
ça,ça,52
-,-,p
achetez,acheter,17
ça,ça,52
/!,/!,P
il,il,51
y,y,52
a,avoir,17
un,un,71
article,article,21
de,de,81
moi,moi,51
/.,/.,P
“,“,p
il,il,51
aurait,avoir,16
voulu,vouloir,12
pouvoir,pouvoir,14
crier,crier,14
de,de,81
tous,tout,75
ses,son,73
poumons,poumon,21
",",",",p
comme,comme,83
font,faire,17
certains,certain,75
hommes,homme,21
",",",",p
le,le,71
soir,soir,21
",",",",p
sur,sur,81
les,le,71
boulevards,boulevard,21
:,:,p
“,“,p
lisez,lire,17
la,le,71
Vie Française,Vie Française,20
",",",",p
lisez,lire,17
l',le,71
article,article,21
de,de,81
Georges,Georges,20
Duroy,Duroy,20
:,:,p
les,le,71
souvenirs,souvenirs,21
d',de,81
un,un,71
chasseur,chasseur,21
d',de,81
Afrique,Afrique,20
/!,/!,P
et,et,82
",",",",p
tout,tout,60
à,à,81
coup,coup,21
",",",",p
il,il,51
éprouva,éprouver,19
le,le,71
désir,désir,21
de,de,81
lire,lire,14
lui-même,lui-même,51
cet,ce,74
article,article,21
",",",",p
de,de,81
le,le,52
lire,lire,14
dans,dans,81
un,un,71
endroit,endroit,21
public,public,30
",",",",p
dans,dans,81
un,un,71
café,café,21
",",",",p
bien,bien,60
en,en,81
vue,vue,22
/.,/.,P
et,et,82
il,il,51
chercha,chercher,19
un,un,71
établissement,établissement,21
qui,qui,52
fût,être,19
déjà,déjà,60
fréquenté,fréquenter,12
/.,/.,P
il,il,51
lui,lui,51
fallut,falloir,19
marcher,marcher,14
longtemps,longtemps,60
/.,/.,P
il,il,51
s',se,51
assit,asseoir,19
enfin,enfin,60
devant,devant,81
une,un,71
espèce,espèce,22
de,de,81
marchand,marchand,21
de,de,81
vin,vin,21
où,où,60
plusieurs,plusieurs,75
consommateurs,consommateur,21
étaient,être,18
déjà,déjà,60
installés,installer,12
et,et,82
il,il,51
demanda,demander,19
:,:,p
“,“,p
un,un,71
rhum,rhum,21
“,“,p
",",",",p
comme,comme,83
il,il,51
aurait,avoir,16
demandé,demander,12
:,:,p
“,“,p
une,un,71
absinthe,absinthe,22
“,“,p
",",",",p
sans,sans,81
songer,songer,14
à,à,81
l',le,71
heure,heure,22
/.,/.,P
puis,puis,60
il,il,51
appela,appeler,19
:,:,p
“,“,p
garçon,garçon,21
",",",",p
donnez,donner,17
moi,moi,51
la,le,71
Vie Française,Vie Française,20
/.,/.,P
“,“,p
un,un,71
homme,homme,21
à,à,81
tablier,tablier,21
blanc,blanc,30
accourut,accourir,19
:,:,p
-,-,p
nous,nous,51
ne,ne,60
l',le,52
avons,avoir,17
pas,pas,60
",",",",p
monsieur,monsieur,21
",",",",p
nous,nous,51
ne,ne,60
recevons,recevoir,17
que,que,83
le,le,71
rappel,rappel,21
",",",",p
le,le,71
Siècle,Siècle,20
",",",",p
la,le,71
Lanterne,Lanterne,20
et,et,82
le,le,71
Petit Parisien,Petit Parisien,20
/.,/.,P
Duroy,Duroy,20
déclara,déclarer,19
",",",",p
d',de,81
un,un,71
ton,ton,21
furieux,furieux,30
et,et,82
indigné,indigné,31
:,:,p
-,-,p
en,en,52
voilà,voilà,81
une,un,71
boîte,boîte,22
/!,/!,P
alors,alors,60
",",",",p
allez,aller,17
me,je,51
l',le,52
acheter,acheter,14
/.,/.,P
le,le,71
garçon,garçon,21
y,y,52
courut,courir,19
",",",",p
la,le,52
rapporta,rapporter,19
/.,/.,P
Duroy,Duroy,20
se,se,51
mit,mettre,19
à,à,81
lire,lire,14
son,son,73
article,article,21
;,;,p
et,et,82
plusieurs,plusieurs,75
fois,fois,22
il,il,51
dit,dire,19
",",",",p
tout,tout,60
haut,haut,60
:,:,p
“,“,p
très,très,60
bien,bien,60
",",",",p
très,très,60
bien,bien,60
!,!,p
pour,pour,81
attirer,attirer,14
l',le,71
attention,attention,22
des,de,81
des,le,71
voisins,voisin,21
et,et,82
leur,leur,52
inspirer,inspirer,14
le,le,71
désir,désir,21
de,de,81
savoir,savoir,14
ce,ce,52
qu',que,52
il,il,51
y,y,52
avait,avoir,18
dans,dans,81
cette,ce,74
feuille,feuille,22
/.,/.,P
puis,puis,60
il,il,51
la,le,52
laissa,laisser,19
sur,sur,81
la,le,71
table,table,22
en,en,81
s',se,51
en,en,52
allant,aller,13
/.,/.,P
le,le,71
patron,patron,21
s',se,51
en,en,52
aperçut,apercevoir,19
",",",",p
le,le,52
rappela,rappeler,19
:,:,p
-,-,p
monsieur,monsieur,21
",",",",p
monsieur,monsieur,21
",",",",p
vous,vous,51
oubliez,oublier,17
votre,votre,73
journal,journal,21
/!,/!,P
et,et,82
Duroy,Duroy,20
répondit,répondre,19
:,:,p
-,-,p
je,je,51
vous,vous,51
le,le,52
laisse,laisser,17
",",",",p
je,je,51
l',le,52
ai,avoir,17
lu,lire,12
/.,/.,P
il,il,51
y,y,52
a,avoir,17
d',de,81
ailleurs,ailleurs,60
aujourd'hui,aujourd'hui,60
",",",",p
dedans,dedans,60
",",",",p
une,un,71
chose,chose,22
très,très,60
intéressante,intéressant,30
/.,/.,P
il,il,51
ne,ne,60
désigna,désigner,19
pas,pas,60
la,le,71
chose,chose,22
",",",",p
mais,mais,82
il,il,51
vit,voir,19
",",",",p
en,en,81
s',se,51
en,en,52
allant,aller,13
",",",",p
un,un,52
de,de,81
ses,son,73
voisins,voisin,21
prendre,prendre,14
la,le,71
Vie Française,Vie Française,20
sur,sur,81
la,le,71
table,table,22
où,où,60
il,il,51
l',le,52
avait,avoir,18
laissée,laisser,12
/.,/.,P
il,il,51
pensa,penser,19
:,:,p
“,“,p
que,que,52
vais,aller,17
je,je,51
faire,faire,14
",",",",p
maintenant,maintenant,60
/?,/?,P
et,et,82
il,il,51
se,se,51
décida,décider,19
à,à,81
aller,aller,14
à,à,81
son,son,73
bureau,bureau,21
toucher,toucher,14
son,son,73
mois,mois,21
et,et,82
donner,donner,14
sa,son,73
démission,démission,22
/.,/.,P
il,il,51
tressaillit,tressaillir,17
d',de,81
avance,avance,22
de,de,81
plaisir,plaisir,21
à,à,81
la,le,71
pensée,pensée,22
de,de,81
la,le,71
tête,tête,22
que,que,52
feraient,faire,16
son,son,73
chef,chef,21
et,et,82
ses,son,73
collègues,collègue,21
/.,/.,P
l',le,71
idée,idée,22
de,de,81
l',le,71
effarement,effarement,21
du,de,81
du,le,71
chef,chef,21
",",",",p
surtout,surtout,60
",",",",p
le,le,52
ravissait,ravir,18
/.,/.,P
il,il,51
marchait,marcher,18
lentement,lentement,60
pour,pour,81
ne,ne,60
pas,pas,60
arriver,arriver,14
avant,avant,81
neuf,neuf,72
heures,heure,22
et,et,82
demie,demi,30
",",",",p
la,le,71
caisse,caisse,22
n',ne,60
ouvrant,ouvrir,13
qu',que,83
à,à,81
dix,dix,72
heures,heure,22
/.,/.,P
son,son,73
bureau,bureau,21
était,être,18
une,un,71
grande,grand,30
pièce,pièce,22
sombre,sombre,30
",",",",p
où,où,60
il,il,51
fallait,falloir,18
tenir,tenir,14
le,le,71
gaz,gaz,21
allumé,allumé,31
presque,presque,60
tout,tout,75
le,le,71
jour,jour,21
en,en,81
hivers,hiver,21
/.,/.,P
elle,il,51
donnait,donner,18
sur,sur,81
une,un,71
cour,cour,22
étroite,étroit,30
",",",",p
en,en,81
face,face,22
d',de,81
autres,autre,75
bureaux,bureau,21
/.,/.,P
ils,ils,51
étaient,être,18
huit,huit,72
employés,employé,21
là dedans,là-dedans,60
",",",",p
plus,plus,60
un,un,71
sous-chef,sous-chef,21
dans,dans,81
un,un,71
coin,coin,21
",",",",p
caché,caché,31
derrière,derrière,81
un,un,71
paravent,paravent,21
/.,/.,P
Duroy,Duroy,20
alla,aller,19
d'abord,d'abord,60
chercher,chercher,14
ses,son,73
cent,cent,72
dix,dix,72
huit,huit,72
francs,franc,21
vingt,vingt,72
cinq,cinq,72
centimes,centime,21
",",",",p
enfermés,enfermé,31
dans,dans,81
une,un,71
enveloppe,enveloppe,22
jaune,jaune,30
et,et,82
déposés,déposé,31
dans,dans,81
le,le,71
tiroir,tiroir,21
du,de,81
du,le,71
commis,commis,21
chargé,chargé,31
des,de,81
des,le,71
payements,paiement,21
",",",",p
puis,puis,60
il,il,51
pénétra,pénétrer,19
d',de,81
un,un,71
air,air,21
vainqueur,vainqueur,30
dans,dans,81
la,le,71
vaste,vaste,30
salle,salle,22
de,de,81
travail,travail,21
où,où,60
il,il,51
avait,avoir,18
déjà,déjà,60
passé,passer,12
tant,tant,60
de,de,81
jours,jour,21
/.,/.,P
dès,dès,81
qu',que,83
il,il,51
fut,être,19
entré,entrer,12
",",",",p
le,le,71
sous-chef,sous-chef,21
",",",",p
monsieur,monsieur,21
Pote,Pote,20
",",",",p
l',le,52
appela,appeler,19
:,:,p
-,-,p
ah,ah,93
!,!,p
c',ce,52
est,être,17
vous,vous,51
monsieur,monsieur,21
Duroy,Duroy,20
/?,/?,P
le,le,71
chef,chef,21
vous,vous,51
a,avoir,17
déjà,déjà,60
demandé,demander,12
plusieurs,plusieurs,75
fois,fois,22
/.,/.,P
vous,vous,51
savez,savoir,17
qu',que,83
il,il,51
n',ne,60
admet,admettre,17
pas,pas,60
qu',que,83
on,on,51
soit,être,17
malade,malade,30
deux,deux,72
jours,jour,21
de,de,81
suite,suite,22
sans,sans,81
attestation,attestation,22
du,de,81
du,le,71
médecin,médecin,21
/.,/.,P
Duroy,Duroy,20
",",",",p
qui,qui,52
se,se,51
tenait,tenir,18
debout,debout,60
au,à,81
au,le,71
milieu,milieu,21
du,de,81
du,le,71
bureau,bureau,21
",",",",p
préparant,préparer,13
son,son,73
effet,effet,21
",",",",p
répondit,répondre,19
d',de,81
une,un,71
voix,voix,22
forte,fort,30
:,:,p
-,-,p
je,je,51
m',je,51
en,en,52
fiche,ficher,17
un,un,71
peu,peu,60
;,;,p
par,par,81
exemple,exemple,21
/.,/.,P
il,il,51
y,y,52
eut,avoir,19
parmi,parmi,81
les,le,71
employés,employé,21
un,un,71
mouvement,mouvement,21
de,de,81
stupéfaction,stupéfaction,22
",",",",p
et,et,82
la,le,71
tête,tête,22
de,de,81
monsieur,monsieur,21
Potel,Potel,20
apparut,apparaître,19
",",",",p
effarée,effaré,31
",",",",p
au-dessus,au-dessus,60
du,de,81
du,le,71
paravent,paravent,21
qui,qui,52
l',le,52
enfermait,enfermer,18
comme,comme,83
une,un,71
boîte,boîte,22
/.,/.,P
il,il,51
se,se,51
barricadait,barricader,18
là dedans,là-dedans,60
",",",",p
par,par,81
crainte,crainte,22
des,de,81
des,le,71
courants,courant,21
d',de,81
air,air,21
",",",",p
car,car,82
il,il,51
était,être,18
rhumatisant,rhumatisant,30
/.,/.,P
il,il,51
avait,avoir,18
seulement,seulement,60
percé,percer,12
deux,deux,72
trous,trou,21
dans,dans,81
le,le,71
papier,papier,21
pour,pour,81
surveiller,surveiller,14
son,son,73
personnel,personnel,21
/.,/.,P
on,on,51
entendait,entendre,18
voler,voler,14
les,le,71
mouches,mouche,22
/.,/.,P
le,le,71
sous-chef,sous-chef,21
",",",",p
enfin,enfin,60
",",",",p
demanda,demander,19
avec,avec,81
hésitation,hésitation,22
:,:,p
-,-,p
vous,vous,51
avez,avoir,17
dit,dire,12
/?,/?,P
j',je,51
ai,avoir,17
dit,dire,12
que,que,83
je,je,51
m',je,51
en,en,52
fichais,ficher,18
un,un,71
peu,peu,60
/.,/.,P
je,je,51
ne,ne,60
viens,venir,17
aujourd'hui,aujourd'hui,60
que,que,83
pour,pour,81
donner,donner,14
ma,mon,73
démission,démission,22
/.,/.,P
je,je,51
suis,être,17
entré,entrer,12
comme,comme,83
rédacteur,rédacteur,21
à,à,81
la,le,71
Vie Française,Vie Française,20
avec,avec,81
cinq,cinq,72
cents,cent,72
francs,franc,21
par,par,81
mois,mois,21
",",",",p
plus,plus,60
les,le,71
lignes,ligne,22
/.,/.,P
j',je,51
y,y,52
ai,avoir,17
même,même,60
débuté,débuter,12
ce,ce,74
matin,matin,21
/.,/.,P
il,il,51
s',se,51
était,être,18
pourtant,pourtant,60
promis,promettre,12
de,de,81
faire,faire,14
durer,durer,14
le,le,71
plaisir,plaisir,21
;,;,p
mais,mais,82
il,il,51
n',ne,60
avait,avoir,18
pu,pouvoir,12
résister,résister,14
à,à,81
l',le,71
envie,envie,22
de,de,81
tout,tout,52
lâcher,lâcher,14
d',de,81
un,un,71
seul,seul,30
coup,coup,21
/.,/.,P
l',le,71
effet,effet,21
",",",",p
du,de,81
du,le,71
reste,reste,21
",",",",p
était,être,18
complet,complet,30
/.,/.,P
personne,personne,52
ne,ne,60
bougeait,bouger,18
/.,/.,P
alors,alors,60
Duroy,Duroy,20
déclara,déclarer,19
:,:,p
-,-,p
je,je,51
vais,aller,17
prévenir,prévenir,14
monsieur,monsieur,21
Perthuis,Perthuis,20
",",",",p
puis,puis,60
je,je,51
viendrai,venir,15
vous,vous,51
faire,faire,14
mes,mon,73
adieux,adieu,21
/.,/.,P
et,et,82
il,il,51
sortit,sortir,19
pour,pour,81
aller,aller,14
trouver,trouver,14
le,le,71
chef,chef,21
",",",",p
qui,qui,52
s',se,51
écria,écrier,19
en,en,81
l',le,52
apercevant,apercevoir,13
:,:,p
-,-,p
ah,ah,93
!,!,p
vous,vous,51
voilà,voilà,81
/.,/.,P
vous,vous,51
savez,savoir,17
que,que,83
je,je,51
ne,ne,60
veux,vouloir,17
pas,pas,60
/…,/…,P
l',le,71
employé,employé,21
lui,lui,51
coupa,couper,19
la,le,71
parole,parole,22
:,:,p
-,-,p
ce,ce,52
n',ne,60
est,être,17
pas,pas,60
la,le,71
peine,peine,22
de,de,81
gueuler,gueuler,14
comme,comme,83
ça,ça,52
/…,/…,P
monsieur,monsieur,21
Perthuis,Perthuis,20
",",",",p
un,un,71
gros,gros,30
homme,homme,21
rouge,rouge,30
comme,comme,83
une,un,71
crête,crête,22
de,de,81
coq,coq,21
",",",",p
demeura,demeurer,19
suffoqué,suffoqué,31
par,par,81
la,le,71
surprises,surprise,22
/.,/.,P
Duroy,Duroy,20
reprit,reprendre,19
:,:,p
-,-,p
j',je,51
en,en,52
ai,avoir,17
assez,assez,60
de,de,81
votre,votre,73
boutique,boutique,22
/.,/.,P
j',je,51
ai,avoir,17
débuté,débuter,12
ce,ce,74
matin,matin,21
dans,dans,81
le,le,71
journalisme,journalisme,21
",",",",p
où,où,60
on,on,51
me,je,51
fait,faire,17
une,un,71
très,très,60
belle,beau,30
position,position,22
/.,/.,P
j',je,51
ai,avoir,17
bien,bien,60
l',le,71
honneur,honneur,21
de,de,81
vous,vous,51
saluer,saluer,14
/.,/.,P
et,et,82
il,il,51
sortit,sortir,19
/.,/.,P
il,il,51
était,être,18
vengé,venger,12
/.,/.,P
il,il,51
alla,aller,19
en,en,81
effet,effet,21
serrer,serrer,14
la,le,71
main,main,22
de,de,81
ses,son,73
anciens,ancien,30
collègues,collègue,21
qui,qui,52
osaient,oser,18
à,à,81
peine,peine,22
lui,lui,51
parler,parler,14
",",",",p
par,par,81
peur,peur,22
de,de,81
compromettre,compromettre,14
",",",",p
car,car,82
on,on,51
avait,avoir,18
entendu,entendre,12
sa,son,73
conversation,conversation,22
avec,avec,81
le,le,71
chef,chef,21
",",",",p
la,le,71
porte,porte,22
étant,être,13
restée,rester,12
ouverte,ouvert,31
/.,/.,P
et,et,82
il,il,51
se,se,51
retrouva,retrouver,19
dans,dans,81
la,le,71
rue,rue,22
avec,avec,81
son,son,73
traitement,traitement,21
dans,dans,81
sa,son,73
poche,poche,22
/.,/.,P
il,il,51
se,se,51
paya,payer,19
un,un,71
déjeuner,déjeuner,21
succulent,succulent,30
dans,dans,81
un,un,71
bon,bon,30
restaurant,restaurant,21
à,à,81
prix,prix,21
modérés,modéré,31
",",",",p
qu',que,52
il,il,51
connaissait,connaître,18
;,;,p
puis,puis,60
:,:,p
ayant,avoir,13
encore,encore,60
acheté,acheter,12
et,et,82
laissé,laisser,12
la,le,71
Vie Française,Vie Française,20
sur,sur,81
la,le,71
table,table,22
où,où,60
il,il,51
avait,avoir,18
mangé,manger,12
",",",",p
il,il,51
pénétra,pénétrer,19
dans,dans,81
plusieurs,plusieurs,75
magasins,magasin,21
où,où,60
il,il,51
acheta,acheter,19
de,de,81
menus,menu,30
objets,objet,21
",",",",p
rien,rien,52
que,que,83
pour,pour,81
les,le,52
faire,faire,14
livrer,livrer,14
chez,chez,81
lui,lui,51
et,et,82
donner,donner,14
son,son,73
nom,nom,21
:,:,p
-,-,p
Georges,Georges,20
Duroy,Duroy,20
-,-,p
il,il,51
ajoutait,ajouter,18
:,:,p
“,“,p
je,je,51
suis,être,17
le,le,71
rédacteur,rédacteur,21
de,de,81
la,le,71
Vie Française,Vie Française,20
/.,/.,P
“,“,p
puis,puis,60
il,il,51
indiquait,indiquer,18
la,le,71
rue,rue,22
et,et,82
le,le,71
numéro,numéro,21
",",",",p
en,en,81
ayant,avoir,13
soin,soin,21
de,de,81
stipuler,stipuler,14
:,:,p
“,“,p
vous,vous,51
laisserez,laisser,15
chez,chez,81
le,le,71
concierge,concierge,21
/.,/.,P
“,“,p
comme,comme,83
il,il,51
avait,avoir,18
encore,encore,60
du,de,81
du,le,71
temps,temps,21
",",",",p
il,il,51
entra,entrer,19
chez,chez,81
un,un,71
lithographe,lithographe,21
qui,qui,52
fabriquait,fabriquer,18
des,de,81
des,le,71
cartes,carte,22
de,de,81
visite,visite,22
à,à,81
la,le,71
minute,minute,22
",",",",p
sous,sous,81
les,le,71
yeux,oeil,21
des,de,81
des,le,71
passants,passant,21
;,;,p
et,et,82
s',se,51
en,en,52
fit,faire,19
faire,faire,14
immédiatement,immédiatement,60
une,un,71
centaine,centaine,22
",",",",p
qui,qui,52
portaient,porter,18
",",",",p
imprimée,imprimé,31
sous,sous,81
son,son,73
nom,nom,21
",",",",p
sa,son,73
nouvelle,nouveau,30
qualité,qualité,22
/.,/.,P
puis,puis,60
il,il,51
se,se,51
rendit,rendre,19
au,à,81
au,le,71
journal,journal,21
/.,/.,P
Forestier,Forestier,20
le,le,52
reçut,recevoir,19
de,de,81
haut,haut,21
",",",",p
comme,comme,83
on,on,51
reçoit,recevoir,17
un,un,71
inférieur,inférieur,30
:,:,p
-,-,p
ah,ah,93
!,!,p
te,tu,51
voilà,voilà,81
",",",",p
très,très,60
bien,bien,60
/.,/.,P
j',je,51
ai,avoir,17
justement,justement,60
plusieurs,plusieurs,75
affaires,affaire,22
pour,pour,81
toi,toi,51
/.,/.,P
attends,attendre,17
moi,moi,51
dix,dix,72
minutes,minute,22
/.,/.,P
je,je,51
vais,aller,17
d'abord,d'abord,60
finir,finir,14
ma,mon,73
besogne,besogne,22
/.,/.,P
et,et,82
il,il,51
continua,continuer,19
une,un,71
lettre,lettre,22
commencée,commencé,31
/.,/.,P
à,à,81
l',le,71
autre,autre,75
bout,bout,21
de,de,81
la,le,71
grande,grand,30
table,table,22
",",",",p
un,un,71
petit,petit,30
homme,homme,21
très,très,60
pâle,pâle,30
",",",",p
bouffi,bouffi,30
",",",",p
très,très,60
gras,gras,30
",",",",p
chauve,chauve,30
",",",",p
avec,avec,81
un,un,71
crâne,crâne,21
tout,tout,60
blanc,blanc,30
et,et,82
luisant,luisant,30
",",",",p
écrivait,écrire,18
le,le,71
nez,nez,21
sur,sur,81
son,son,73
papier,papier,21
",",",",p
par,par,81
suite,suite,22
d',de,81
une,un,71
myopie,myopie,22
excessive,excessif,30
/.,/.,P
Forestier,Forestier,20
lui,lui,51
demanda,demander,19
:,:,p
“,“,p
dis,dire,19
donc,donc,82
",",",",p
Saint Potin,Saint Potin,20
",",",",p
à,à,81
quelle,quel,75
heure,heure,22
vas,aller,17
tu,tu,51
interviewer,interviewer,14
nos,notre,73
gens,gens,21
/?,/?,P
à,à,81
quatre,quatre,72
heures,heure,22
/.,/.,P
-,-,p
tu,tu,51
emmèneras,emmener,15
avec,avec,81
le,le,52
toi,toi,51
le,le,71
jeune,jeune,30
Duroy,Duroy,20
ici,ici,60
présent,présent,30
et,et,82
tu,tu,51
lui,lui,51
dévoileras,dévoiler,15
les,le,71
arcanes,arcane,22
du,de,81
du,le,71
métier,métier,21
/.,/.,P
-,-,p
c',ce,52
est,être,17
entendu,entendre,12
/.,/.,P
puis,puis,60
",",",",p
se,se,51
tournant,tourner,13
vers,vers,81
son,son,73
ami,ami,21
",",",",p
Forestier,Forestier,20
ajouta,ajouter,19
:,:,p
-,-,p
as,avoir,17
tu,tu,51
apporté,apporter,12
la,le,71
suite,suite,22
sur,sur,81
l',le,71
Algérie,Algérie,20
/?,/?,P
le,le,71
début,début,21
de,de,81
ce,ce,74
matin,matin,21
a,avoir,17
eu,avoir,12
beaucoup,beaucoup,60
de,de,81
succès,succès,21
/.,/.,P
Duroy,Duroy,20
",",",",p
interdit,interdit,31
",",",",p
balbutia,balbutier,19
:,:,p
-,-,p
non,non,60
",",",",p
-,-,p
j',je,51
avais,avoir,18
cru,croire,12
avoir,avoir,14
le,le,71
temps,temps,21
dans,dans,81
l',le,71
après-midi,après-midi,21
",",",",p
-,-,p
j',je,51
ai,avoir,17
eu,avoir,12
un,un,71
tas,tas,21
de,de,81
choses,chose,22
à,à,81
faire,faire,14
",",",",p
-,-,p
je,je,51
n',ne,60
ai,avoir,17
pas,pas,60
pu,pouvoir,12
/…,/…,P
l',le,71
autre,autre,52
leva,lever,19
les,le,71
épaules,épaule,22
d',de,81
un,un,71
air,air,21
mécontent,mécontent,30
:,:,p
-,-,p
si,si,83
tu,tu,51
n',ne,60
es,être,17
pas,pas,60
plus,plus,60
exact,exact,30
que,que,83
ça,ça,52
",",",",p
tu,tu,51
rateras,rater,15
ton,ton,73
avenir,avenir,21
",",",",p
toi,toi,51
/.,/.,P
le,le,71
père,père,21
Walter,Walter,20
comptait,compter,18
sur,sur,81
ta,ton,73
copie,copie,22
/.,/.,P
je,je,51
vais,aller,17
lui,lui,51
dire,dire,14
que,que,83
ce,ce,52
sera,être,15
pour,pour,81
demain,demain,60
/.,/.,P
si,si,83
tu,tu,51
crois,croire,17
que,que,83
tu,tu,51
seras,être,15
payé,payer,12
pour,pour,81
ne,ne,60
rien,rien,52
faire,faire,14
",",",",p
tu,tu,51
te,tu,51
trompes,tromper,17
/.,/.,P
puis,puis,60
",",",",p
après,après,81
un,un,71
silence,silence,21
",",",",p
il,il,51
ajouta,ajouter,19
:,:,p
-,-,p
on,on,51
doit,devoir,17
battre,battre,14
le,le,71
fer,fer,21
quand,quand,83
il,il,51
est,être,17
chaud,chaud,30
",",",",p
que,que,52
diable,diable,21
/.,/.,P
Saint Potin,Saint Potin,20
se,se,51
leva,lever,19
:,:,p
-,-,p
je,je,51
