12080
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Soixante-treizième extrait>,<>,<>
ses,son,73
ressentiments,ressentiment,21
disparut,disparaître,19
sinon,sinon,83
dans,dans,81
son,son,73
coeur,coeur,21
",",",",p
du,de,81
du,le,71
moins,moins,60
sur,sur,81
son,son,73
visage,visage,21
/.,/.,P
elle,il,51
demanda,demander,19
quel,quel,75
jour,jour,21
cette,ce,74
fête,fête,22
devait,devoir,18
avoir,avoir,14
lieu,lieu,21
",",",",p
mais,mais,82
le,le,71
roi,roi,21
répondit,répondre,19
qu',que,83
il,il,51
fallait,falloir,18
qu',que,83
il,il,51
s',se,51
entendît,entendre,18
sur,sur,81
ce,ce,74
point,point,21
avec,avec,81
le,le,71
cardinal,cardinal,21
/.,/.,P
en,en,81
effet,effet,21
",",",",p
chaque,chaque,75
jour,jour,21
le,le,71
roi,roi,21
demandait,demander,18
au,à,81
au,le,71
cardinal,cardinal,21
à,à,81
quelle,quel,75
époque,époque,22
cette,ce,74
fête,fête,22
aurait,avoir,16
lieu,lieu,21
",",",",p
et,et,82
chaque,chaque,75
jour,jour,21
le,le,71
cardinal,cardinal,21
",",",",p
sous,sous,81
un,un,71
prétexte,prétexte,21
quelconque,quelconque,30
",",",",p
différait,différer,18
de,de,81
la,le,52
fixer,fixer,14
/.,/.,P
dix,dix,72
jours,jour,21
s',se,51
écoulèrent,écouler,19
ainsi,ainsi,60
/.,/.,P
le,le,71
huitième,huitième,72
jour,jour,21
après,après,81
la,le,71
scène,scène,22
que,que,52
nous,nous,51
avons,avoir,17
racontée,raconter,12
",",",",p
le,le,71
cardinal,cardinal,21
reçut,recevoir,19
une,un,71
lettre,lettre,22
",",",",p
au,à,81
au,le,71
timbre,timbre,21
de,de,81
Londres,Londres,20
",",",",p
qui,qui,52
contenait,contenir,18
seulement,seulement,60
ces,ce,74
quelques,quelque,75
lignes,ligne,22
:,:,p
“,“,p
je,je,51
les,le,52
ai,avoir,17
;,;,p
mais,mais,82
je,je,51
ne,ne,60
puis,pouvoir,17
quitter,quitter,14
Londres,Londres,20
",",",",p
attendu,attendu,81
que,que,83
je,je,51
manque,manquer,17
d',de,81
argent,argent,21
;,;,p
envoyez,envoyer,17
moi,moi,51
cinq,cinq,72
cents,cent,72
pistoles,pistole,22
",",",",p
et,et,82
quatre,quatre,72
ou,ou,82
cinq,cinq,72
jours,jour,21
après,après,81
les,le,52
avoir,avoir,14
reçues,recevoir,12
",",",",p
je,je,51
serai,être,16
à,à,81
Paris,Paris,20
/.,/.,P
“,“,p
le,le,71
jour,jour,21
même,même,30
où,où,60
le,le,71
cardinal,cardinal,21
avait,avoir,18
reçu,recevoir,12
cette,ce,74
lettre,lettre,22
",",",",p
le,le,71
roi,roi,21
lui,lui,51
adressa,adresser,19
sa,son,73
question,question,22
habituelle,habituel,30
/.,/.,P
Richelieu,Richelieu,20
compta,compter,19
sur,sur,81
ses,son,73
doigts,doigt,21
et,et,82
se,se,51
dit,dire,19
tout,tout,60
bas,bas,60
:,:,p
“,“,p
elle,il,51
arrivera,arriver,15
",",",",p
dit,dire,19
elle,il,51
",",",",p
quatre,quatre,72
ou,ou,82
cinq,cinq,72
jours,jour,21
après,après,81
avoir,avoir,14
reçu,recevoir,12
l',le,71
argent,argent,21
;,;,p
il,il,51
faut,falloir,17
quatre,quatre,72
ou,ou,82
cinq,cinq,72
jours,jour,21
à,à,81
l',le,71
argent,argent,21
pour,pour,81
aller,aller,14
",",",",p
quatre,quatre,72
ou,ou,82
cinq,cinq,72
jours,jour,21
à,à,81
elle,il,51
pour,pour,81
revenir,revenir,14
",",",",p
cela,cela,52
fait,faire,17
dix,dix,72
jours,jour,21
;,;,p
maintenant,maintenant,60
faisons,faire,17
la,le,71
part,part,22
des,de,81
des,le,71
vents,vent,21
contraires,contraire,30
",",",",p
des,de,81
des,le,71
mauvais,mauvais,30
hasards,hasard,21
",",",",p
des,de,81
des,le,71
faiblesses,faiblesse,22
de,de,81
femme,femme,22
",",",",p
et,et,82
mettons,mettre,17
cela,cela,52
à,à,81
douze,douze,72
jours,jour,21
/.,/.,P
-,-,p
eh,eh,93
bien,bien,60
",",",",p
monsieur,monsieur,21
le,le,71
duc,duc,21
",",",",p
dit,dire,19
le,le,71
roi,roi,21
",",",",p
vous,vous,51
avez,avoir,17
calculé,calculer,12
/?,/?,P
oui,oui,60
",",",",p
sire,sire,21
:,:,p
nous,nous,51
sommes,être,17
aujourd'hui,aujourd'hui,60
le,le,71
<Nombre 20 septembre>,<>,<>
vingt,vingt,72
septembre,septembre,21
<Fin nombre>,<>,<>
;,;,p
les,le,71
échevins,échevin,21
de,de,81
la,le,71
ville,ville,22
donnent,donner,17
une,un,71
fête,fête,22
le,le,71
<Nombre 3 octobre>,<>,<>
trois,trois,72
octobre,octobre,21
<Fin nombre>,<>,<>
/.,/.,P
cela,cela,52
s',se,51
arrangera,arranger,15
à,à,81
merveille,merveille,22
",",",",p
car,car,82
vous,vous,51
n',ne,60
aurez,avoir,15
pas,pas,60
l',le,71
air,air,21
de,de,81
faire,faire,14
un,un,71
retour,retour,21
vers,vers,81
la,le,71
reine,reine,22
/.,/.,P
“,“,p
puis,puis,60
le,le,71
cardinal,cardinal,21
ajouta,ajouter,19
:,:,p
“,“,p
à,à,81
propos,propos,21
",",",",p
sire,sire,21
",",",",p
n',ne,60
oubliez,oublier,17
pas,pas,60
de,de,81
dire,dire,14
à,à,81
sa,son,73
majesté,majesté,22
",",",",p
la,le,71
veille,veille,22
de,de,81
cette,ce,74
fête,fête,22
",",",",p
que,que,83
vous,vous,51
désirez,désirer,17
voir,voir,14
comment,comment,60
lui,lui,51
vont,aller,17
ses,son,73
ferrets,ferret,21
de,de,81
diamants,diamant,21
/.,/.,P
“,“,p
<Chapitre 17>,<>,<>
le,le,71
ménage,ménage,21
Bonacieux,Bonacieux,20
/.,/.,P
c',ce,52
était,être,18
la,le,71
seconde,second,72
fois,fois,22
que,que,83
le,le,71
cardinal,cardinal,21
revenait,revenir,18
sur,sur,81
ce,ce,74
point,point,21
des,de,81
des,le,71
ferrets,ferret,21
de,de,81
diamants,diamant,21
avec,avec,81
le,le,71
roi,roi,21
/.,/.,P
Louis XIII,Louis XIII,20
fut,être,19
donc,donc,82
frappé,frapper,12
de,de,81
cette,ce,74
insistance,insistance,22
",",",",p
et,et,82
pensa,penser,19
que,que,83
cette,ce,74
recommandation,recommandation,22
cachait,cacher,18
un,un,71
mystère,mystère,21
/.,/.,P
plus,plus,60
d',de,81
une,un,71
fois,fois,22
le,le,71
roi,roi,21
avait,avoir,18
été,être,12
humilié,humilier,12
que,que,83
le,le,71
cardinal,cardinal,21
",",",",p
dont,dont,52
la,le,71
police,police,22
",",",",p
sans,sans,81
avoir,avoir,14
atteint,atteindre,12
encore,encore,60
la,le,71
perfection,perfection,22
de,de,81
la,le,71
police,police,22
moderne,moderne,30
",",",",p
était,être,18
excellente,excellent,30
",",",",p
fût,être,19
mieux,mieux,60
instruit,instruire,12
que,que,83
lui-même,lui-même,51
de,de,81
ce,ce,52
qui,qui,52
se,se,51
passait,passer,18
dans,dans,81
son,son,73
propre,propre,30
ménage,ménage,21
/.,/.,P
il,il,51
espéra,espérer,19
donc,donc,82
",",",",p
dans,dans,81
une,un,71
conversation,conversation,22
avec,avec,81
Anne,Anne,20
d',de,81
Autriche,Autriche,20
",",",",p
tirer,tirer,14
quelque,quelque,75
lumière,lumière,22
de,de,81
cette,ce,74
conversation,conversation,22
et,et,82
revenir,revenir,14
ensuite,ensuite,60
près,près,81
de,de,81
son,son,73
éminence,éminence,22
avec,avec,81
quelque,quelque,75
secret,secret,21
que,que,52
le,le,71
cardinal,cardinal,21
sût,savoir,18
ou,ou,82
ne,ne,60
sût,savoir,18
pas,pas,60
",",",",p
ce,ce,52
qui,qui,52
",",",",p
dans,dans,81
l',le,71
un,un,52
ou,ou,82
l',le,71
autre,autre,75
cas,cas,21
",",",",p
le,le,52
rehaussait,rehausser,18
infiniment,infiniment,60
aux,à,81
aux,le,71
yeux,oeil,21
de,de,81
son,son,73
ministre,ministre,21
/.,/.,P
il,il,51
alla,aller,19
donc,donc,82
trouver,trouver,14
la,le,71
reine,reine,22
",",",",p
et,et,82
",",",",p
selon,selon,81
son,son,73
habitude,habitude,22
",",",",p
l',le,52
aborda,aborder,19
avec,avec,81
de,de,81
nouvelles,nouveau,30
menaces,menace,22
contre,contre,81
ceux,celui,52
qui,qui,52
l',le,52
entouraient,entourer,18
/.,/.,P
Anne,Anne,20
d',de,81
Autriche,Autriche,20
baissa,baisser,19
la,le,71
tête,tête,22
",",",",p
laissa,laisser,19
s',se,51
écouler,écouler,14
le,le,71
torrent,torrent,21
sans,sans,81
répondre,répondre,14
et,et,82
espérant,espérer,13
qu',que,83
il,il,51
finirait,finir,16
par,par,81
s',se,51
arrêter,arrêter,14
;,;,p
mais,mais,82
ce,ce,52
n',ne,60
était,être,18
pas,pas,60
cela,cela,52
que,que,52
voulait,vouloir,18
Louis XIII,Louis XIII,20
;,;,p
Louis XIII,Louis XIII,20
voulait,vouloir,18
une,un,71
discussion,discussion,22
de,de,81
laquelle,lequel,52
jaillît,jaillir,18
une,un,71
lumière,lumière,22
quelconque,quelconque,30
",",",",p
convaincu,convaincu,31
qu',que,52
il,il,51
était,être,18
que,que,83
le,le,71
cardinal,cardinal,21
avait,avoir,18
quelque,quelque,75
arrière-pensée,arrière-pensée,22
et,et,82
lui,lui,51
machinait,machiner,18
une,un,71
surprise,surprise,22
terrible,terrible,30
comme,comme,83
en,en,52
savait,savoir,18
faire,faire,14
son,son,73
éminence,éminence,22
/.,/.,P
il,il,51
arriva,arriver,19
à,à,81
ce,ce,74
but,but,21
par,par,81
sa,son,73
persistance,persistance,22
à,à,81
accuser,accuser,14
/.,/.,P
“,“,p
mais,mais,82
",",",",p
s',se,51
écria,écrier,19
Anne,Anne,20
d',de,81
Autriche,Autriche,20
",",",",p
lassée,lassé,31
de,de,81
ces,ce,74
vagues,vague,30
attaques,attaque,22
;,;,p
mais,mais,82
",",",",p
sire,sire,21
",",",",p
vous,vous,51
ne,ne,60
me,je,51
dites,dire,17
pas,pas,60
tout,tout,52
ce,ce,52
que,que,52
vous,vous,51
avez,avoir,17
dans,dans,81
le,le,71
coeur,coeur,21
/.,/.,P
que,que,52
ai,avoir,17
je,je,51
donc,donc,82
fait,faire,12
/?,/?,P
voyons,voir,17
",",",",p
quel,quel,75
crime,crime,21
ai,avoir,17
je,je,51
donc,donc,82
commis,commettre,12
/?,/?,P
il,il,51
est,être,17
impossible,impossible,30
que,que,83
votre,votre,73
majesté,majesté,22
fasse,faire,17
tout,tout,75
ce,ce,74
bruit,bruit,21
pour,pour,81
une,un,71
lettre,lettre,22
écrite,écrit,31
à,à,81
mon,mon,73
frère,frère,21
/.,/.,P
“,“,p
le,le,71
roi,roi,21
",",",",p
attaqué,attaqué,31
à,à,81
son,son,73
tour,tour,21
d',de,81
une,un,71
manière,manière,22
si,si,60
directe,direct,30
",",",",p
ne,ne,60
sut,savoir,19
que,que,83
répondre,répondre,14
;,;,p
il,il,51
pensa,penser,19
que,que,83
c',ce,52
était,être,18
là,là,60
le,le,71
moment,moment,21
de,de,81
placer,placer,14
la,le,71
recommandation,recommandation,22
qu',que,52
il,il,51
ne,ne,60
devait,devoir,18
faire,faire,14
que,que,83
la,le,71
veille,veille,22
de,de,81
la,le,71
fête,fête,22
/.,/.,P
“,“,p
madame,madame,22
",",",",p
dit,dire,19
il,il,51
avec,avec,81
majesté,majesté,22
",",",",p
il,il,51
y,y,52
aura,avoir,15
incessamment,incessamment,60
bal,bal,21
à,à,81
l',le,71
hôtel,hôtel,21
de,de,81
ville,ville,22
;,;,p
j',je,51
entends,entendre,17
que,que,83
",",",",p
pour,pour,81
faire,faire,14
honneur,honneur,21
à,à,81
nos,notre,73
braves,brave,30
échevins,échevin,21
",",",",p
vous,vous,51
y,y,52
paraissiez,paraître,17
en,en,81
habit,habit,21
de,de,81
cérémonie,cérémonie,22
",",",",p
et,et,82
surtout,surtout,60
parée,paré,31
des,de,81
des,le,71
ferrets,ferret,21
de,de,81
diamants,diamant,21
que,que,52
je,je,51
vous,vous,51
ai,avoir,17
donnés,donner,12
pour,pour,81
votre,votre,73
fête,fête,22
/.,/.,P
voici,voici,81
ma,mon,73
réponse,réponse,22
/.,/.,P
“,“,p
la,le,71
réponse,réponse,22
était,être,18
terrible,terrible,30
/.,/.,P
Anne,Anne,20
d',de,81
Autriche,Autriche,20
crut,croire,19
que,que,83
Louis XIII,Louis XIII,20
savait,savoir,18
tout,tout,52
",",",",p
et,et,82
que,que,83
le,le,71
cardinal,cardinal,21
avait,avoir,18
obtenu,obtenir,12
de,de,81
lui,lui,51
cette,ce,74
longue,long,30
dissimulation,dissimulation,22
de,de,81
sept,sept,72
ou,ou,82
huit,huit,72
jours,jour,21
",",",",p
qui,qui,52
était,être,18
au,à,81
au,le,71
reste,reste,21
dans,dans,81
son,son,73
caractère,caractère,21
/.,/.,P
elle,il,51
devint,devenir,19
excessivement,excessivement,60
pâle,pâle,30
",",",",p
appuya,appuyer,19
sur,sur,81
une,un,71
console,console,22
sa,son,73
main,main,22
d',de,81
une,un,71
admirable,admirable,30
beauté,beauté,22
",",",",p
et,et,82
qui,qui,52
semblait,sembler,18
alors,alors,60
une,un,71
main,main,22
de,de,81
cire,cire,22
",",",",p
et,et,82
regardant,regarder,13
le,le,71
roi,roi,21
avec,avec,81
des,de,81
des,le,71
yeux,oeil,21
épouvantés,épouvanté,31
",",",",p
elle,il,51
ne,ne,60
répondit,répondre,19
pas,pas,60
une,un,71
seule,seul,30
syllabe,syllabe,22
/.,/.,P
“,“,p
vous,vous,51
entendez,entendre,17
",",",",p
madame,madame,22
",",",",p
dit,dire,19
le,le,71
roi,roi,21
",",",",p
qui,qui,52
jouissait,jouir,18
de,de,81
cet,ce,74
embarras,embarras,21
dans,dans,81
toute,tout,75
son,son,73
étendue,étendue,22
",",",",p
mais,mais,82
sans,sans,81
en,en,52
deviner,deviner,14
la,le,71
cause,cause,22
",",",",p
vous,vous,51
entendez,entendre,17
/?,/?,P
oui,oui,60
",",",",p
sire,sire,21
",",",",p
j',je,51
entends,entendre,17
",",",",p
balbutia,balbutier,19
la,le,71
reine,reine,22
/.,/.,P
-,-,p
vous,vous,51
paraîtrez,paraître,15
à,à,81
ce,ce,74
bal,bal,21
/?,/?,P
oui,oui,60
/.,/.,P
-,-,p
avec,avec,81
vos,votre,73
ferrets,ferret,21
/?,/?,P
oui,oui,60
/.,/.,P
“,“,p
la,le,71
pâleur,pâleur,22
de,de,81
la,le,71
reine,reine,22
augmenta,augmenter,19
encore,encore,60
",",",",p
s',si,83
il,il,51
était,être,18
possible,possible,30
;,;,p
le,le,71
roi,roi,21
s',se,51
en,en,52
aperçut,apercevoir,19
",",",",p
et,et,82
en,en,52
jouit,jouir,19
avec,avec,81
cette,ce,74
froide,froid,30
cruauté,cruauté,22
qui,qui,52
était,être,18
un,un,52
des,de,81
des,le,71
mauvais,mauvais,30
côtés,côté,21
de,de,81
son,son,73
caractère,caractère,21
/.,/.,P
“,“,p
alors,alors,60
",",",",p
c',ce,52
est,être,17
convenu,convenir,12
",",",",p
dit,dire,19
le,le,71
roi,roi,21
",",",",p
et,et,82
voilà,voilà,81
tout,tout,52
ce,ce,52
que,que,52
j',je,51
avais,avoir,18
à,à,81
vous,vous,51
dire,dire,14
/.,/.,P
-,-,p
mais,mais,82
quel,quel,75
jour,jour,21
ce,ce,74
bal,bal,21
aura,avoir,15
t,t,94
il,il,51
lieu,lieu,21
?,?,p
demanda,demander,19
Anne,Anne,20
d',de,81
Autriche,Autriche,20
/.,/.,P
Louis XIII,Louis XIII,20
sentit,sentir,19
instinctivement,instinctivement,60
qu',que,83
il,il,51
ne,ne,60
devait,devoir,18
pas,pas,60
répondre,répondre,14
à,à,81
cette,ce,74
question,question,22
",",",",p
la,le,71
reine,reine,22
l',le,52
ayant,avoir,13
faite,faire,12
d',de,81
une,un,71
voix,voix,22
presque,presque,60
mourante,mourant,30
/.,/.,P
“,“,p
mais,mais,82
très,très,60
incessamment,incessamment,60
",",",",p
madame,madame,22
",",",",p
dit,dire,19
il,il,51
;,;,p
mais,mais,82
je,je,51
ne,ne,60
me,je,51
rappelle,rappeler,17
plus,plus,60
précisément,précisément,60
la,le,71
date,date,22
du,de,81
du,le,71
jour,jour,21
",",",",p
je,je,51
la,le,52
demanderai,demander,15
au,à,81
au,le,71
cardinal,cardinal,21
/.,/.,P
-,-,p
c',ce,52
est,être,17
donc,donc,82
le,le,71
cardinal,cardinal,21
qui,qui,52
vous,vous,51
a,avoir,17
annoncé,annoncer,12
cette,ce,74
fête,fête,22
?,?,p
s',se,51
écria,écrier,19
la,le,71
reine,reine,22
/.,/.,P
-,-,p
oui,oui,60
",",",",p
madame,madame,22
",",",",p
répondit,répondre,19
le,le,71
roi,roi,21
étonné,étonné,31
;,;,p
mais,mais,82
pourquoi,pourquoi,60
cela,cela,52
/?,/?,P
c',ce,52
est,être,17
lui,lui,51
",",",",p
qui,qui,52
vous,vous,51
a,avoir,17
dit,dire,12
de,de,81
m',je,51
inviter,inviter,14
à,à,81
y,y,52
paraître,paraître,14
avec,avec,81
ces,ce,74
ferrets,ferret,21
/?,/?,P
c'est-à-dire,c'est-à-dire,91
",",",",p
madame,madame,22
/…,/…,P
c',ce,52
est,être,17
lui,lui,51
",",",",p
sire,sire,21
",",",",p
c',ce,52
est,être,17
lui,lui,51
/!,/!,P
eh,eh,93
bien,bien,60
qu',que,83
importe,importer,17
que,que,83
ce,ce,52
soit,être,17
lui,lui,51
ou,ou,82
moi,moi,51
?,?,p
y,y,52
a,avoir,17
t,t,94
il,il,51
un,un,71
crime,crime,21
à,à,81
cette,ce,74
invitation,invitation,22
/?,/?,P
non,non,60
",",",",p
sire,sire,21
/.,/.,P
-,-,p
alors,alors,60
vous,vous,51
paraîtrez,paraître,15
/?,/?,P
oui,oui,60
",",",",p
sire,sire,21
/.,/.,P
-,-,p
c',ce,52
est,être,17
bien,bien,60
",",",",p
dit,dire,12
le,le,71
roi,roi,21
en,en,81
se,se,51
retirant,retirer,13
",",",",p
c',ce,52
est,être,17
bien,bien,60
",",",",p
j',je,51
y,y,52
compte,compter,17
/.,/.,P
“,“,p
la,le,71
reine,reine,22
fit,faire,19
une,un,71
révérence,révérence,22
",",",",p
moins,moins,60
par,par,81
étiquette,étiquette,22
que,que,83
parce que,parce que,83
ses,son,73
genoux,genou,21
se,se,51
dérobaient,dérober,18
sous,sous,81
elle,il,51
/.,/.,P
le,le,71
roi,roi,21
partit,partir,19
enchanté,enchanté,31
/.,/.,P
“,“,p
je,je,51
suis,être,17
perdue,perdre,12
",",",",p
murmura,murmurer,19
la,le,71
reine,reine,22
",",",",p
perdue,perdre,12
",",",",p
car,car,82
le,le,71
cardinal,cardinal,21
sait,savoir,17
tout,tout,52
",",",",p
et,et,82
c',ce,52
est,être,17
lui,lui,51
qui,qui,52
pousse,pousser,17
le,le,71
roi,roi,21
",",",",p
qui,qui,52
ne,ne,60
sait,savoir,17
rien,rien,52
encore,encore,60
",",",",p
mais,mais,82
qui,qui,52
saura,savoir,15
tout,tout,52
bientôt,bientôt,60
/.,/.,P
je,je,51
suis,être,17
perdue,perdre,12
/!,/!,P
mon,mon,73
dieu,dieu,21
!,!,p
mon,mon,73
dieu,dieu,21
!,!,p
mon,mon,73
dieu,dieu,21
/!,/!,P
elle,il,51
s',se,51
agenouilla,agenouiller,19
sur,sur,81
un,un,71
coussin,coussin,21
et,et,82
pria,prier,19
",",",",p
la,le,71
tête,tête,22
enfoncée,enfoncé,31
entre,entre,81
ses,son,73
bras,bras,21
palpitants,palpitant,30
/.,/.,P
en,en,81
effet,effet,21
",",",",p
la,le,71
position,position,22
était,être,18
terrible,terrible,30
/.,/.,P
Buckingham,Buckingham,20
était,être,18
retourné,retourner,12
à,à,81
Londres,Londres,20
",",",",p
madame,madame,22
de,de,81
Chevreuse,Chevreuse,20
était,être,18
à,à,81
Tours,Tours,20
/.,/.,P
plus,plus,60
surveillée,surveillé,31
que,que,83
jamais,jamais,60
",",",",p
la,le,71
reine,reine,22
sentait,sentir,18
sourdement,sourdement,60
qu',que,83
une,un,52
de,de,81
ses,son,73
femmes,femme,22
la,le,52
trahissait,trahir,18
",",",",p
sans,sans,81
savoir,savoir,14
dire,dire,14
laquelle,lequel,52
/.,/.,P
La Porte,La Porte,20
ne,ne,60
pouvait,pouvoir,18
pas,pas,60
quitter,quitter,14
le,le,71
Louvre,Louvre,20
/.,/.,P
elle,il,51
n',ne,60
avait,avoir,18
pas,pas,60
une,un,71
âme,âme,22
au,à,81
au,le,71
monde,monde,21
à,à,81
qui,qui,52
se,se,51
fier,fier,14
/.,/.,P
aussi,aussi,60
",",",",p
en,en,81
présence,présence,22
du,de,81
du,le,71
malheur,malheur,21
qui,qui,52
la,le,52
menaçait,menacer,18
et,et,82
de,de,81
l',le,71
abandon,abandon,21
qui,qui,52
était,être,18
le,le,71
sien,sien,52
",",",",p
éclata,éclater,19
t,t,94
elle,il,51
en,en,81
sanglots,sanglot,21
/.,/.,P
“,“,p
ne,ne,60
puis,pouvoir,17
je,je,51
donc,donc,82
être,être,14
bonne,bon,30
à,à,81
rien,rien,52
à,à,81
votre,votre,73
majesté,majesté,22
?,?,p
dit,dire,19
tout,tout,60
à,à,81
coup,coup,21
une,un,71
voix,voix,22
pleine,plein,30
de,de,81
douceur,douceur,22
et,et,82
de,de,81
pitié,pitié,22
/.,/.,P
la,le,71
reine,reine,22
se,se,51
retourna,retourner,19
vivement,vivement,60
",",",",p
car,car,82
il,il,51
n',ne,60
y,y,52
avait,avoir,18
pas,pas,60
à,à,81
se,se,51
tromper,tromper,14
à,à,81
l',le,71
expression,expression,22
de,de,81
cette,ce,74
voix,voix,22
:,:,p
c',ce,52
était,être,18
une,un,71
amie,amie,22
qui,qui,52
parlait,parler,18
ainsi,ainsi,60
/.,/.,P
en,en,81
effet,effet,21
",",",",p
à,à,81
l',le,71
une,un,52
des,de,81
des,le,71
portes,porte,22
qui,qui,52
donnaient,donner,18
dans,dans,81
l',le,71
appartement,appartement,21
de,de,81
la,le,71
reine,reine,22
apparut,apparaître,19
la,le,71
jolie,joli,30
madame,madame,22
Bonacieux,Bonacieux,20
;,;,p
elle,il,51
était,être,18
occupée,occuper,12
à,à,81
ranger,ranger,14
les,le,71
robes,robe,22
et,et,82
le,le,71
linge,linge,21
dans,dans,81
un,un,71
cabinet,cabinet,21
",",",",p
lorsque,lorsque,83
le,le,71
roi,roi,21
était,être,18
entré,entrer,12
;,;,p
elle,il,51
n',ne,60
avait,avoir,18
pas,pas,60
pu,pouvoir,12
