11536
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Vingt-cinquième extrait>,<>,<>
réparer,réparer,14
",",",",p
l',l',94
on,on,51
recourût,recourir,18
à,à,81
des,de,81
des,le,71
mesures,mesure,22
plus,plus,60
efficaces,efficace,30
",",",",p
ah,ah,93
!,!,p
alors,alors,60
",",",",p
il,il,51
n',ne,60
y,y,52
avait,avoir,18
pas,pas,60
assez,assez,60
de,de,81
prisons,prison,22
",",",",p
pas,pas,60
assez,assez,60
de,de,81
maisons,maison,22
centrales,central,30
",",",",p
pas,pas,60
assez,assez,60
de,de,81
bagnes,bagne,21
",",",",p
pour,pour,81
enfermer,enfermer,14
les,le,71
gens,gens,21
que,que,52
condamnaient,condamner,18
",",",",p
de,de,81
bonne,bon,30
foi,foi,22
",",",",p
du,de,81
du,le,71
reste,reste,21
",",",",p
d',de,81
autres,autre,75
individus,individu,21
qui,qui,52
",",",",p
le,le,71
soir,soir,21
même,même,30
",",",",p
dans,dans,81
le,le,71
lit,lit,21
conjugal,conjugal,30
",",",",p
trichaient,tricher,18
de,de,81
leur,leur,73
mieux,mieux,60
pour,pour,81
ne,ne,60
pas,pas,60
enfanter,enfanter,14
des,de,81
des,le,71
mômes,môme,21
/!,/!,P
la,le,71
supercherie,supercherie,22
elle-même,lui-même,51
n',ne,60
était,être,18
donc,donc,82
pas,pas,60
un,un,71
crime,crime,21
",",",",p
mais,mais,82
la,le,71
réparation,réparation,22
de,de,81
cette,ce,74
supercherie,supercherie,22
en,en,52
était,être,18
un,un,52
/.,/.,P
en,en,81
somme,somme,22
",",",",p
pour,pour,81
la,le,71
société,société,22
",",",",p
était,être,18
réputé,réputer,12
crime,crime,21
l',le,71
acte,acte,21
qui,qui,52
consistait,consister,18
à,à,81
tuer,tuer,14
un,un,71
être,être,21
doué,doué,31
de,de,81
vie,vie,22
;,;,p
et,et,82
cependant,cependant,82
",",",",p
en,en,81
expulsant,expulser,13
un,un,71
foetus,foetus,21
",",",",p
on,on,51
détruisait,détruire,18
un,un,71
animal,animal,21
",",",",p
moins,moins,60
formé,formé,31
",",",",p
moins,moins,60
vivant,vivant,30
",",",",p
et,et,82
",",",",p
à,à,81
coup,coup,21
sûr,sûr,30
",",",",p
moins,moins,60
intelligent,intelligent,30
et,et,82
plus,plus,60
laid,laid,30
qu',que,83
un,un,71
chien,chien,21
ou,ou,82
qu',que,83
un,un,71
chat,chat,21
qu',que,52
on,on,51
peut,pouvoir,17
se,se,51
permettre,permettre,14
impunément,impunément,60
d',de,81
étrangler,étrangler,14
dès,dès,81
sa,son,73
naissance,naissance,22
/!,/!,P
il,il,51
est,être,17
bon,bon,30
d',de,81
ajouter,ajouter,14
",",",",p
pensait,penser,18
des,de,81
des,le,71
Esseintes,Esseintes,20
",",",",p
que,que,83
",",",",p
pour,pour,81
plus,plus,60
d',de,81
équité,équité,22
",",",",p
ce,ce,52
n',ne,60
est,être,17
point,point,60
l',le,71
homme,homme,21
maladroit,maladroit,30
",",",",p
qui,qui,52
s',se,51
empresse,empresser,17
généralement,généralement,60
de,de,81
disparaître,disparaître,14
",",",",p
mais,mais,82
bien,bien,60
la,le,71
femme,femme,22
",",",",p
victime,victime,22
de,de,81
la,le,71
maladresse,maladresse,22
",",",",p
qui,qui,52
expie,expier,17
le,le,71
forfait,forfait,21
d',de,81
avoir,avoir,14
sauvé,sauver,12
de,de,81
la,le,71
vie,vie,22
un,un,71
innocent,innocent,21
/!,/!,P
fallait,falloir,18
il,il,51
",",",",p
tout,tout,60
de,de,81
même,même,60
",",",",p
que,que,83
le,le,71
monde,monde,21
fût,être,19
rempli,remplir,12
de,de,81
préjugés,préjugé,21
pour,pour,81
vouloir,vouloir,14
réprimer,réprimer,14
des,de,81
des,le,71
manoeuvres,manoeuvre,22
si,si,60
naturelles,naturel,30
",",",",p
que,que,83
l',le,71
homme,homme,21
primitif,primitif,30
",",",",p
que,que,83
le,le,71
sauvage,sauvage,21
de,de,81
la,le,71
Polynésie,Polynésie,20
est,être,17
amené,amener,12
à,à,81
les,le,52
pratiquer,pratiquer,14
",",",",p
par,par,81
le,le,71
fait,fait,21
de,de,81
son,son,73
seul,seul,30
instinct,instinct,21
/!,/!,P
le,le,71
domestique,domestique,21
interrompit,interrompre,19
les,le,71
charitables,charitable,30
réflexions,réflexion,22
que,que,52
ruminait,ruminer,18
des,de,81
des,le,71
Esseintes,Esseintes,20
",",",",p
en,en,81
lui,lui,51
apportant,apporter,13
sur,sur,81
un,un,71
plat,plat,21
de,de,81
vermeil,vermeil,21
la,le,71
tartine,tartine,22
qu',que,52
il,il,51
avait,avoir,18
souhaitée,souhaiter,12
/.,/.,P
un,un,71
haut-le-coeur,haut-le-coeur,21
le,le,52
tordit,tordre,19
;,;,p
il,il,51
n',ne,60
eut,avoir,19
pas,pas,60
le,le,71
courage,courage,21
de,de,81
mordre,mordre,14
ce,ce,74
pain,pain,21
",",",",p
car,car,82
l',le,71
excitation,excitation,22
maladive,maladif,30
de,de,81
l',le,71
estomac,estomac,21
avait,avoir,18
cessé,cesser,12
;,;,p
une,un,71
sensation,sensation,22
de,de,81
délabrement,délabrement,21
affreux,affreux,30
lui,lui,51
revenait,revenir,18
;,;,p
il,il,51
dut,devoir,19
se,se,51
lever,lever,14
;,;,p
le,le,71
soleil,soleil,21
tournait,tourner,18
et,et,82
gagnait,gagner,18
peu,peu,60
à,à,81
peu,peu,60
sa,son,73
place,place,22
;,;,p
la,le,71
chaleur,chaleur,22
devenait,devenir,18
à,à,81
la,le,71
fois,fois,22
plus,plus,60
pesante,pesant,30
et,et,82
plus,plus,60
active,actif,30
/.,/.,P
-,-,p
jetez,jeter,17
cette,ce,74
tartine,tartine,22
",",",",p
dit,dire,19
il,il,51
au,à,81
au,le,71
domestique,domestique,21
",",",",p
à,à,81
ces,ce,74
enfants,enfant,21
qui,qui,52
se,se,51
massacrent,massacrer,17
sur,sur,81
la,le,71
route,route,22
;,;,p
que,que,52
les,le,71
plus,plus,60
faibles,faible,30
soient,être,17
estropiés,estropier,12
",",",",p
n',ne,60
aient,avoir,17
part,part,22
à,à,81
aucun,aucun,75
morceau,morceau,21
et,et,82
soient,être,17
",",",",p
de,de,81
plus,plus,60
",",",",p
rossés,rosser,12
d',de,81
importance,importance,22
par,par,81
leurs,leur,73
familles,famille,22
quand,quand,83
ils,ils,51
rentreront,rentrer,15
chez,chez,81
elles,ils,51
les,le,71
culottes,culotte,22
déchirées,déchiré,31
et,et,82
les,le,71
yeux,oeil,21
meurtris,meurtri,31
;,;,p
cela,cela,52
leur,leur,52
donnera,donner,15
un,un,71
aperçu,aperçu,21
de,de,81
la,le,71
vie,vie,22
qui,qui,52
les,le,52
attend,attendre,17
/!,/!,P
et,et,82
il,il,51
rejoignit,rejoindre,19
sa,son,73
maison,maison,22
et,et,82
s',se,51
affaissa,affaisser,19
",",",",p
défaillant,défaillant,30
",",",",p
dans,dans,81
un,un,71
fauteuil,fauteuil,21
/.,/.,P
-,-,p
il,il,51
faut,falloir,17
pourtant,pourtant,60
que,que,83
j',je,51
essaie,essayer,17
de,de,81
manger,manger,14
un,un,71
peu,peu,60
",",",",p
se,se,51
dit,dire,17
il,il,51
/.,/.,P
et,et,82
il,il,51
tenta,tenter,19
de,de,81
tremper,tremper,14
un,un,71
biscuit,biscuit,21
dans,dans,81
un,un,71
vieux,vieux,30
Constantia,Constantia,20
de,de,81
JP,JP,20
Cloete,Cloete,20
",",",",p
dont,dont,52
il,il,51
lui,lui,51
restait,rester,18
en,en,81
cave,cave,22
quelques,quelque,75
bouteilles,bouteille,22
/.,/.,P
ce,ce,74
vin,vin,21
",",",",p
couleur,couleur,22
de,de,81
pelure,pelure,22
d',de,81
oignons,oignon,21
un,un,71
tantinet,tantinet,21
brûlé,brûlé,31
",",",",p
tenant,tenir,13
du,de,81
du,le,71
Malaga,Malaga,20
rassis,rassis,31
et,et,82
du,de,81
du,le,71
Porto,Porto,20
",",",",p
mais,mais,82
avec,avec,81
un,un,71
bouquet,bouquet,21
sucré,sucré,31
",",",",p
spécial,spécial,30
",",",",p
et,et,82
un,un,71
arrière-goût,arrière-goût,21
de,de,81
raisins,raisin,21
aux,à,81
aux,le,71
sucs,suc,21
condensés,condensé,31
et,et,82
sublimés,sublimé,31
par,par,81
d',de,81
ardents,ardent,30
soleils,soleil,21
",",",",p
l',le,52
avait,avoir,18
parfois,parfois,60
réconforté,réconforter,12
",",",",p
et,et,82
souvent,souvent,60
même,même,60
avait,avoir,18
infusé,infuser,12
une,un,71
énergie,énergie,22
nouvelle,nouveau,30
à,à,81
son,son,73
estomac,estomac,21
affaibli,affaibli,31
par,par,81
les,le,71
jeûnes,jeûne,21
forcés,forcé,31
qu',que,52
il,il,51
subissait,subir,18
;,;,p
mais,mais,82
ce,ce,74
cordial,cordial,21
",",",",p
d',de,81
ordinaire,ordinaire,21
si,si,60
fidèle,fidèle,30
",",",",p
échoua,échouer,19
/.,/.,P
alors,alors,60
",",",",p
il,il,51
espéra,espérer,19
qu',que,83
un,un,71
émollient,émollient,21
refroidirait,refroidir,16
peut-être,peut-être,60
les,le,71
fers,fer,21
chauds,chaud,30
qui,qui,52
le,le,52
brûlaient,brûler,18
",",",",p
et,et,82
il,il,51
recourut,recourir,19
au,à,81
au,le,71
Nalifka,Nalifka,20
",",",",p
une,un,71
liqueur,liqueur,22
russe,russe,30
",",",",p
contenue,contenu,31
dans,dans,81
une,un,71
bouteille,bouteille,22
glacée,glacé,31
d',de,81
or,or,21
mat,mat,30
;,;,p
ce,ce,74
sirop,sirop,21
onctueux,onctueux,30
et,et,82
framboisé,framboisé,30
fut,être,19
",",",",p
lui,lui,51
aussi,aussi,60
",",",",p
inefficace,inefficace,30
/.,/.,P
hélas,hélas,60
!,!,p
le,le,71
temps,temps,21
était,être,18
loin,loin,60
",",",",p
où,où,60
",",",",p
jouissant,jouir,13
d',de,81
une,un,71
bonne,bon,30
santé,santé,22
",",",",p
des,de,81
des,le,71
Esseintes,Esseintes,20
montait,monter,18
",",",",p
chez,chez,81
lui,lui,51
",",",",p
en,en,81
pleine,plein,30
canicule,canicule,22
",",",",p
dans,dans,81
un,un,71
traîneau,traîneau,21
",",",",p
et,et,82
",",",",p
là,là,60
",",",",p
enveloppé,enveloppé,31
de,de,81
fourrures,fourrure,22
",",",",p
les,le,52
ramenant,ramener,13
sur,sur,81
sa,son,73
poitrine,poitrine,22
",",",",p
s',se,51
efforçait,efforcer,18
de,de,81
grelotter,grelotter,14
",",",",p
se,se,51
disait,dire,18
",",",",p
en,en,81
s',se,51
étudiant,étudier,13
à,à,81
claquer,claquer,14
des,de,81
des,le,71
dents,dent,22
:,:,p
-,-,p
ah,ah,93
!,!,p
ce,ce,74
vent,vent,21
est,être,17
glacial,glacial,30
",",",",p
mais,mais,82
on,on,51
gèle,geler,17
ici,ici,60
",",",",p
on,on,51
gèle,geler,17
!,!,p
parvenait,parvenir,18
presque,presque,60
à,à,81
se,se,51
convaincre,convaincre,14
qu',que,83
il,il,51
faisait,faire,18
froid,froid,21
/!,/!,P
ces,ce,74
remèdes,remède,21
n',ne,60
agissaient,agir,18
malheureusement,malheureusement,60
plus,plus,60
depuis,depuis,81
que,que,83
ses,son,73
maux,mal,21
devenaient,devenir,18
réels,réel,30
/.,/.,P
il,il,51
n',ne,60
avait,avoir,18
point,point,60
",",",",p
avec,avec,81
cela,cela,52
",",",",p
la,le,71
ressource,ressource,22
d',de,81
employer,employer,14
le,le,71
laudanum,laudanum,21
;,;,p
au,à,81
au,le,71
lieu,lieu,21
de,de,81
l',le,52
apaiser,apaiser,14
",",",",p
ce,ce,74
calmant,calmant,21
l',le,52
irritait,irriter,18
jusqu',jusque,81
à,à,81
le,le,52
priver,priver,14
de,de,81
repos,repos,21
/.,/.,P
jadis,jadis,60
",",",",p
il,il,51
avait,avoir,18
voulu,vouloir,12
se,se,51
procurer,procurer,14
avec,avec,81
l',le,71
opium,opium,21
et,et,82
le,le,71
haschisch,hachich,21
des,de,81
des,le,71
visions,vision,22
",",",",p
mais,mais,82
ces,ce,74
deux,deux,72
substances,substance,22
avaient,avoir,18
amené,amener,12
des,de,81
des,le,71
vomissements,vomissement,21
et,et,82
des,de,81
des,le,71
perturbations,perturbation,22
nerveuses,nerveux,30
intenses,intense,30
;,;,p
il,il,51
avait,avoir,18
dû,devoir,12
",",",",p
tout,tout,60
aussitôt,aussitôt,60
",",",",p
renoncer,renoncer,14
à,à,81
les,le,52
absorber,absorber,14
et,et,82
",",",",p
