11459
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Soixante-dix-neuvième extrait>,<>,<>
avait,avoir,18
repris,reprendre,12
l',le,71
empire,empire,21
sur,sur,81
les,le,71
bouillonnements,bouillonnement,21
du,de,81
du,le,71
sang,sang,21
/.,/.,P
il,il,51
devint,devenir,19
triste,triste,30
",",",",p
sa,son,73
voix,voix,22
fut,être,19
sourde,sourd,30
et,et,82
mélancolique,mélancolique,30
",",",",p
et,et,82
dès,dès,81
sa,son,73
première,premier,72
parole,parole,22
je,je,51
compris,comprendre,19
qu',que,83
il,il,51
était,être,18
dans,dans,81
le,le,71
vrai,vrai,30
",",",",p
et,et,82
que,que,83
ce,ce,74
Protée,Protée,20
",",",",p
dompté,dompté,31
par,par,81
deux,deux,72
mots,mot,21
",",",",p
se,se,51
montrait,montrer,18
lui-même,lui-même,51
/.,/.,P
-,-,p
“,“,p
malheureuse,malheureux,30
vie,vie,22
!,!,p
dit,dire,19
il,il,51
d'abord,d'abord,60
/.,/.,P
-,-,p
puis,puis,60
il,il,51
rêva,rêver,19
",",",",p
déchira,déchirer,19
le,le,71
bord,bord,21
de,de,81
son,son,73
chapeau,chapeau,21
sans,sans,81
parler,parler,14
pendant,pendant,81
une,un,71
minute,minute,22
encore,encore,60
",",",",p
et,et,82
reprit,reprendre,19
",",",",p
se,se,51
parlant,parler,13
à,à,81
lui,lui,51
seul,seul,30
",",",",p
au,à,81
au,le,71
réveil,réveil,21
/.,/.,P
-,-,p
“,“,p
c',ce,52
est,être,17
vrai,vrai,30
/!,/!,P
tragédien,tragédien,21
ou,ou,82
comédien,comédien,21
/.,/.,P
-,-,p
tout,tout,52
est,être,17
rôle,rôle,21
",",",",p
tout,tout,52
est,être,17
costume,costume,21
pour,pour,81
moi,moi,51
depuis,depuis,81
longtemps,longtemps,60
et,et,82
pour,pour,81
toujours,toujours,60
/.,/.,P
quelle,quel,75
fatigue,fatigue,22
!,!,p
quelle,quel,75
petitesse,petitesse,22
/!,/!,P
poser,poser,14
!,!,p
toujours,toujours,60
poser,poser,14
!,!,p
de,de,81
face,face,22
pour,pour,81
ce,ce,74
parti,parti,21
",",",",p
de,de,81
profil,profil,21
pour,pour,81
celui-là,celui-là,52
",",",",p
selon,selon,81
leur,leur,73
idée,idée,22
/.,/.,P
leur,leur,73
paraître,paraître,21
ce,ce,52
qu',que,52
ils,ils,51
aiment,aimer,17
que,que,83
l',l',94
on,on,51
soit,être,17
",",",",p
et,et,82
deviner,deviner,14
juste,juste,60
leurs,leur,73
rêves,rêve,21
d',de,81
imbéciles,imbécile,21
/.,/.,P
les,le,52
placer,placer,14
tous,tout,52
entre,entre,81
l',le,71
espérance,espérance,22
et,et,82
la,le,71
crainte,crainte,22
/.,/.,P
les,le,52
éblouir,éblouir,14
par,par,81
des,de,81
des,le,71
dates,date,22
et,et,82
des,de,81
des,le,71
bulletins,bulletin,21
",",",",p
par,par,81
des,de,81
des,le,71
prestiges,prestige,21
de,de,81
distance,distance,22
et,et,82
des,de,81
des,le,71
prestiges,prestige,21
de,de,81
nom,nom,21
/.,/.,P
être,être,14
leur,leur,73
maître,maître,21
à,à,81
tous,tout,52
et,et,82
ne,ne,60
savoir,savoir,14
qu',que,83
en,en,52
faire,faire,14
/.,/.,P
voilà,voilà,81
tout,tout,52
",",",",p
ma,mon,73
foi,foi,22
/!,/!,P
et,et,82
après,après,81
ce,ce,74
tout,tout,21
",",",",p
s',se,51
ennuyer,ennuyer,14
autant,autant,60
que,que,83
je,je,51
fais,faire,17
",",",",p
c',ce,52
est,être,17
trop,trop,60
fort,fort,30
/.,/.,P
-,-,p
car,car,82
",",",",p
en,en,81
vérité,vérité,22
",",",",p
poursuivit,poursuivre,19
il,il,51
en,en,81
se,se,51
croisant,croiser,13
les,le,71
jambes,jambe,22
et,et,82
en,en,81
se,se,51
couchant,coucher,13
dans,dans,81
un,un,71
fauteuil,fauteuil,21
",",",",p
je,je,51
m',je,51
ennuie,ennuyer,17
énormément,énormément,60
/.,/.,P
-,-,p
sitôt,sitôt,60
que,que,83
je,je,51
m',je,51
assieds,asseoir,17
",",",",p
je,je,51
crève,crever,17
d',de,81
ennui,ennui,21
/.,/.,P
-,-,p
je,je,51
ne,ne,60
chasserais,chasser,16
pas,pas,60
trois,trois,72
jours,jour,21
à,à,81
Fontainebleau,Fontainebleau,20
sans,sans,81
périr,périr,14
de,de,81
langueur,langueur,22
/.,/.,P
-,-,p
moi,moi,51
",",",",p
il,il,51
faut,falloir,17
que,que,83
j',je,51
aille,aller,17
et,et,82
que,que,83
je,je,51
fasse,faire,17
aller,aller,14
/.,/.,P
si,si,83
je,je,51
sais,savoir,17
où,où,60
",",",",p
je,je,51
veux,vouloir,17
être,être,14
pendu,pendre,12
",",",",p
par,par,81
exemple,exemple,21
/.,/.,P
je,je,51
vous,vous,51
parle,parler,17
à,à,81
coeur,coeur,21
ouvert,ouvert,31
/.,/.,P
j',je,51
ai,avoir,17
des,de,81
des,le,71
plans,plan,21
pour,pour,81
la,le,71
vie,vie,22
de,de,81
quarante,quarante,72
empereurs,empereur,21
",",",",p
j',je,51
en,en,52
fais,faire,17
un,un,52
tous,tout,75
les,le,71
matins,matin,21
et,et,82
un,un,52
tous,tout,75
les,le,71
soirs,soir,21
;,;,p
j',je,51
ai,avoir,17
une,un,71
imagination,imagination,22
infatigable,infatigable,30
;,;,p
mais,mais,82
je,je,51
n',ne,60
aurais,avoir,16
pas,pas,60
le,le,71
temps,temps,21
d',de,81
en,en,52
remplir,remplir,14
deux,deux,72
",",",",p
que,que,83
je,je,51
serais,être,16
usé,user,12
de,de,81
corps,corps,21
et,et,82
d',de,81
âme,âme,22
;,;,p
car,car,82
notre,notre,73
pauvre,pauvre,30
lampe,lampe,22
ne,ne,60
brûle,brûler,17
pas,pas,60
longtemps,longtemps,60
/.,/.,P
et,et,82
franchement,franchement,60
",",",",p
quand,quand,83
tous,tout,75
mes,mon,73
plans,plan,21
seraient,être,16
exécutés,exécuter,12
",",",",p
je,je,51
ne,ne,60
jurerais,jurer,16
pas,pas,60
que,que,83
le,le,71
monde,monde,21
s',se,51
en,en,52
trouvât,trouver,18
beaucoup,beaucoup,60
plus,plus,60
heureux,heureux,30
;,;,p
mais,mais,82
il,il,51
serait,être,16
plus,plus,60
beau,beau,30
",",",",p
et,et,82
une,un,71
unité,unité,22
majestueuse,majestueux,30
régnerait,régner,16
sur,sur,81
lui,lui,51
/.,/.,P
-,-,p
je,je,51
ne,ne,60
suis,être,17
pas,pas,60
un,un,71
philosophe,philosophe,21
",",",",p
moi,moi,51
",",",",p
et,et,82
je,je,51
ne,ne,60
sais,savoir,17
que,que,83
notre,notre,73
secrétaire,secrétaire,21
de,de,81
Florence,Florence,20
qui,qui,52
ait,avoir,17
eu,avoir,12
le,le,71
sens,sens,21
commun,commun,30
/.,/.,P
je,je,51
n',ne,60
entends,entendre,17
rien,rien,52
à,à,81
certaines,certain,75
théories,théorie,22
/.,/.,P
la,le,71
vie,vie,22
est,être,17
trop,trop,60
courte,court,30
pour,pour,81
s',se,51
arrêter,arrêter,14
/.,/.,P
sitôt,sitôt,60
que,que,83
j',je,51
ai,avoir,17
pensé,penser,12
",",",",p
j',je,51
exécute,exécuter,17
/.,/.,P
on,on,51
trouvera,trouver,15
assez,assez,60
d',de,81
explications,explication,22
de,de,81
mes,mon,73
actions,action,22
après,après,81
moi,moi,51
pour,pour,81
m',je,51
agrandir,agrandir,14
si,si,83
je,je,51
réussis,réussir,17
et,et,82
me,je,51
rapetisser,rapetisser,14
si,si,83
je,je,51
tombe,tomber,17
/.,/.,P
les,le,71
paradoxes,paradoxe,21
sont,être,17
là,là,60
tout,tout,60
prêts,prêt,30
",",",",p
ils,ils,51
abondent,abonder,17
en,en,81
France,France,20
;,;,p
je,je,51
les,le,52
fais,faire,17
taire,taire,14
de,de,81
mon,mon,73
vivant,vivant,21
",",",",p
mais,mais,82
après,après,81
il,il,51
faudra,falloir,15
voir,voir,14
/.,/.,P
-,-,p
n',ne,60
importe,importer,17
",",",",p
mon,mon,73
affaire,affaire,22
est,être,17
de,de,81
réussir,réussir,14
",",",",p
et,et,82
je,je,51
m',je,51
entends,entendre,17
à,à,81
cela,cela,52
/.,/.,P
je,je,51
fais,faire,17
mon,mon,73
Iliade,Iliade,20
en,en,81
action,action,22
",",",",p
moi,moi,51
",",",",p
et,et,82
tous,tout,75
les,le,71
jours,jour,21
/.,/.,P
“,“,p
ici,ici,60
il,il,51
se,se,51
leva,lever,19
avec,avec,81
une,un,71
promptitude,promptitude,22
gaie,gai,30
et,et,82
quelque,quelque,75
chose,chose,22
d',de,81
alerte,alerte,30
et,et,82
de,de,81
vivant,vivant,30
;,;,p
il,il,51
était,être,18
naturel,naturel,30
et,et,82
vrai,vrai,30
dans,dans,81
ce,ce,74
moment,moment,21
là,là,60
",",",",p
il,il,51
ne,ne,60
songeait,songer,18
point,point,60
à,à,81
se,se,51
dessiner,dessiner,14
comme,comme,83
il,il,51
fit,faire,19
depuis,depuis,81
dans,dans,81
ses,son,73
dialogues,dialogue,21
de,de,81
Sainte-Hélène,Sainte-Hélène,20
;,;,p
il,il,51
ne,ne,60
songeait,songer,18
point,point,60
à,à,81
s',se,51
idéaliser,idéaliser,14
",",",",p
et,et,82
ne,ne,60
composait,composer,18
point,point,60
son,son,73
personnage,personnage,21
de,de,81
manière,manière,22
à,à,81
réaliser,réaliser,14
les,le,71
plus,plus,60
belles,beau,30
conceptions,conception,22
philosophiques,philosophique,30
;,;,p
il,il,51
était,être,18
lui,lui,51
",",",",p
lui-même,lui-même,51
mis,mettre,12
au dehors,au-dehors,60
/.,/.,P
-,-,p
il,il,51
revint,revenir,19
près,près,81
du,de,81
du,le,71
Saint-Père,Saint Père,20
",",",",p
qui,qui,52
n',ne,60
avait,avoir,18
pas,pas,60
fait,faire,12
un,un,71
mouvement,mouvement,21
",",",",p
et,et,82
marcha,marcher,19
devant,devant,81
lui,lui,51
/.,/.,P
là,là,60
",",",",p
s',se,51
enflammant,enflammer,13
",",",",p
riant,rire,13
à,à,81
moitié,moitié,22
avec,avec,81
ironie,ironie,22
",",",",p
il,il,51
débita,débiter,19
ceci,ceci,52
",",",",p
à,à,81
peu,peu,60
près,près,81
",",",",p
tout,tout,60
mêlé,mêlé,31
de,de,81
trivial,trivial,30
et,et,82
de,de,81
grandiose,grandiose,30
",",",",p
selon,selon,81
son,son,73
usage,usage,21
",",",",p
en,en,81
parlant,parler,13
avec,avec,81
une,un,71
volubilité,volubilité,22
inconcevable,inconcevable,30
",",",",p
expression,expression,22
rapide,rapide,30
de,de,81
ce,ce,74
génie,génie,21
facile,facile,30
et,et,82
prompt,prompt,30
qui,qui,52
devinait,deviner,18
tout,tout,52
",",",",p
à,à,81
la,le,71
fois,fois,22
",",",",p
sans,sans,81
étude,étude,22
/.,/.,P
-,-,p
“,“,p
la,le,71
naissance,naissance,22
est,être,17
tout,tout,52
",",",",p
dit,dire,19
il,il,51
;,;,p
ceux,celui,52
qui,qui,52
viennent,venir,17
au,à,81
au,le,71
monde,monde,21
pauvres,pauvre,30
et,et,82
nus,nu,30
sont,être,17
toujours,toujours,60
des,de,81
des,le,71
désespérés,désespéré,21
/.,/.,P
cela,cela,52
tourne,tourner,17
en,en,81
action,action,22
ou,ou,82
en,en,81
suicide,suicide,21
",",",",p
selon,selon,81
le,le,71
caractère,caractère,21
des,de,81
des,le,71
gens,gens,21
/.,/.,P
quand,quand,83
ils,ils,51
ont,avoir,17
le,le,71
courage,courage,21
",",",",p
comme,comme,83
moi,moi,51
",",",",p
de,de,81
mettre,mettre,14
la,le,71
main,main,22
à,à,81
tout,tout,52
",",",",p
ma,mon,73
foi,foi,22
!,!,p
ils,ils,51
font,faire,17
le,le,71
diable,diable,21
/.,/.,P
que,que,52
voulez,vouloir,17
vous,vous,51
/?,/?,P
il,il,51
faut,falloir,17
vivre,vivre,14
/.,/.,P
il,il,51
faut,falloir,17
trouver,trouver,14
sa,son,73
place,place,22
et,et,82
faire,faire,14
son,son,73
trou,trou,21
/.,/.,P
moi,moi,51
",",",",p
j',je,51
ai,avoir,17
fait,faire,12
le,le,71
mien,mien,52
comme,comme,83
un,un,71
boulet,boulet,21
de,de,81
canon,canon,21
/.,/.,P
tant,tant,60
pis,pis,60
pour,pour,81
ceux,celui,52
qui,qui,52
étaient,être,18
devant,devant,81
moi,moi,51
/.,/.,P
-,-,p
que,que,52
y,y,52
faire,faire,14
/?,/?,P
chacun,chacun,52
mange,manger,17
selon,selon,81
son,son,73
appétit,appétit,21
;,;,p
moi,moi,51
",",",",p
j',je,51
avais,avoir,18
grand'faim,grand-faim,22
/!,/!,P
tenez,tenir,17
",",",",p
Saint-Père,Saint Père,20
",",",",p
à,à,81
Toulon,Toulon,20
",",",",p
je,je,51
n',ne,60
avais,avoir,18
pas,pas,60
de,de,81
quoi,quoi,52
acheter,acheter,14
une,un,71
paire,paire,22
d',de,81
épaulettes,épaulette,22
",",",",p
et,et,82
au,à,81
au,le,71
lieu,lieu,21
d',de,81
elles,ils,51
j',je,51
avais,avoir,18
une,un,71
mère,mère,22
et,et,82
je,je,51
ne,ne,60
sais,savoir,17
combien,combien,60
de,de,81
frères,frère,21
sur,sur,81
les,le,71
épaules,épaule,22
/.,/.,P
tout,tout,75
cela,cela,52
est,être,17
placé,placer,12
à,à,81
présent,présent,21
",",",",p
assez,assez,60
convenablement,convenablement,60
",",",",p
j',je,51
espère,espérer,17
/.,/.,P
Joséphine,Joséphine,20
m',je,51
avait,avoir,18
épousé,épouser,12
",",",",p
comme,comme,83
par,par,81
pitié,pitié,22
",",",",p
et,et,82
nous,nous,51
allons,aller,17
la,le,52
couronner,couronner,14
à,à,81
la,le,71
barbe,barbe,22
de,de,81
Raguideau,Raguideau,20
",",",",p
son,son,73
notaire,notaire,21
",",",",p
qui,qui,52
disait,dire,18
que,que,83
je,je,51
n',ne,60
avais,avoir,18
que,que,83
la,le,71
cape,cape,22
et,et,82
l',le,71
épée,épée,22
/.,/.,P
il,il,51
n',ne,60
avait,avoir,18
",",",",p
ma,mon,73
foi,foi,22
!,!,p
pas,pas,60
tort,tort,21
/.,/.,P
-,-,p
manteau,manteau,21
impérial,impérial,30
",",",",p
couronne,couronne,22
",",",",p
qu',que,52
est,être,17
ce,ce,52
que,que,52
tout,tout,52
cela,cela,52
/?,/?,P
est,être,17
ce,ce,52
à,à,81
moi,moi,51
/?,/?,P
costume,costume,21
!,!,p
costume,costume,21
d',de,81
acteur,acteur,21
/!,/!,P
je,je,51
vais,aller,17
l',le,52
endosser,endosser,14
pour,pour,81
une,un,71
heure,heure,22
",",",",p
et,et,82
j',je,51
en,en,52
aurai,avoir,15
assez,assez,60
/.,/.,P
ensuite,ensuite,60
je,je,51
reprendrai,reprendre,15
mon,mon,73
petit,petit,30
habit,habit,21
d',de,81
officier,officier,21
",",",",p
et,et,82
je,je,51
monterai,monter,15
à,à,81
cheval,cheval,21
;,;,p
toute,tout,75
la,le,71
vie,vie,22
à,à,81
cheval,cheval,21
/!,/!,P
je,je,51
ne,ne,60
serai,être,16
pas,pas,60
assis,asseoir,12
un,un,71
jour,jour,21
sans,sans,81
courir,courir,14
le,le,71
risque,risque,21
d',de,81
être,être,14
jeté,jeter,12
à,à,81
bas,bas,21
du,de,81
du,le,71
fauteuil,fauteuil,21
/.,/.,P
est,être,17
ce,ce,52
donc,donc,82
bien,bien,60
à,à,81
envier,envier,14
/?,/?,P
hein,hein,93
/?,/?,P
je,je,51
vous,vous,51
le,le,52
dis,dire,17
",",",",p
Saint-Père,Saint Père,20
;,;,p
il,il,51
n',ne,60
y,y,52
a,avoir,17
au,à,81
au,le,71
monde,monde,21
que,que,83
deux,deux,72
classes,classe,22
d',de,81
hommes,homme,21
:,:,p
ceux,celui,52
qui,qui,52
ont,avoir,17
et,et,82
ceux,celui,52
qui,qui,52
gagnent,gagner,17
/.,/.,P
“,“,p
les,le,71
premiers,premier,72
se,se,51
couchent,coucher,17
",",",",p
les,le,71
autres,autre,52
se,se,51
remuent,remuer,17
/.,/.,P
comme,comme,83
j',je,51
ai,avoir,17
compris,comprendre,12
cela,cela,52
de,de,81
bonne,bon,30
heure,heure,22
et,et,82
à,à,81
propos,propos,21
",",",",p
j',je,51
irai,aller,15
loin,loin,60
",",",",p
voilà,voilà,81
tout,tout,52
/.,/.,P
il,il,51
n',ne,60
y,y,52
en,en,52
a,avoir,17
que,que,83
deux,deux,72
qui,qui,52
soient,être,17
arrivés,arriver,12
en,en,81
commençant,commencer,13
à,à,81
quarante,quarante,72
ans,an,21
:,:,p
Cromwell,Cromwell,20
et,et,82
Jean-Jacques,Jean-Jacques,20
;,;,p
si,si,83
vous,vous,51
aviez,avoir,18
donné,donner,12
à,à,81
l',le,71
un,un,52
une,un,71
ferme,ferme,22
",",",",p
et,et,82
à,à,81
l',le,71
autre,autre,52
douze,douze,72
cents,cent,72
francs,franc,21
et,et,82
sa,son,73
servante,servante,22
",",",",p
ils,ils,51
n',ne,60
auraient,avoir,16
ni,ni,82
prêché,prêcher,12
",",",",p
ni,ni,82
commandé,commander,12
",",",",p
ni,ni,82
écrit,écrire,12
/.,/.,P
il,il,51
y,y,52
a,avoir,17
des,de,81
des,le,71
ouvriers,ouvrier,21
en,en,81
bâtiments,bâtiment,21
",",",",p
en,en,81
couleurs,couleur,22
",",",",p
en,en,81
formes,forme,22
et,et,82
en,en,81
phrases,phrase,22
;,;,p
moi,moi,51
",",",",p
je,je,51
suis,être,17
ouvrier,ouvrier,30
en,en,81
batailles,bataille,22
/.,/.,P
c',ce,52
est,être,17
mon,mon,73
état,état,21
/.,/.,P
-,-,p
à,à,81
trente,trente,72
cinq,cinq,72
ans,an,21
",",",",p
j',je,51
en,en,52
ai,avoir,17
déjà,déjà,60
fabriqué,fabriquer,12
dix,dix,72
huit,huit,72
qui,qui,52
s',se,51
appellent,appeler,17
:,:,p
Victoires,Victoires,20
/.,/.,P
-,-,p
il,il,51
faut,falloir,17
bien,bien,60
qu',que,83
on,on,51
me,je,51
paye,payer,17
mon,mon,73
ouvrage,ouvrage,21
/.,/.,P
et,et,82
le,le,52
payer,payer,14
d',de,81
un,un,71
trône,trône,21
",",",",p
ce,ce,52
n',ne,60
est,être,17
pas,pas,60
trop,trop,60
cher,cher,30
/.,/.,P
-,-,p
d',de,81
ailleurs,ailleurs,60
je,je,51
travaillerai,travailler,15
toujours,toujours,60
/.,/.,P
vous,vous,51
en,en,52
verrez,voir,15
bien,bien,60
d',de,81
autres,autre,52
/.,/.,P
vous,vous,51
verrez,voir,15
toutes,tout,75
les,le,71
dynasties,dynastie,22
dater,dater,14
de,de,81
la,le,71
mienne,mien,52
",",",",p
tout,tout,60
parvenu,parvenu,21
que,que,52
je,je,51
suis,être,17
",",",",p
et,et,82
élu,élire,12
/.,/.,P
élu,élu,31
",",",",p
comme,comme,83
vous,vous,51
",",",",p
Saint-Père,Saint Père,20
",",",",p
et,et,82
tiré,tiré,31
de,de,81
la,le,71
foule,foule,22
/.,/.,P
sur,sur,81
ce,ce,74
point,point,21
nous,nous,51
pouvons,pouvoir,17
nous,nous,51
donner,donner,14
la,le,71
main,main,22
/.,/.,P
“,“,p
et,et,82
",",",",p
s',se,51
approchant,approcher,13
",",",",p
il,il,51
tendit,tendre,19
sa,son,73
main,main,22
blanche,blanc,30
et,et,82
brusque,brusque,30
vers,vers,81
la,le,71
main,main,22
décharnée,décharné,31
et,et,82
timide,timide,30
du,de,81
du,le,71
bon,bon,30
pape,pape,21
",",",",p
qui,qui,52
",",",",p
peut-être,peut-être,60
attendri,attendri,31
par,par,81
le,le,71
ton,ton,21
de,de,81
bonhomie,bonhomie,22
de,de,81
ce,ce,74
dernier,dernier,30
mouvement,mouvement,21
de,de,81
l',le,71
empereur,empereur,21
",",",",p
peut-être,peut-être,60
par,par,81
un,un,71
retour,retour,21
secret,secret,30
sur,sur,81
sa,son,73
propre,propre,30
destinée,destinée,22
et,et,82
une,un,71
triste,triste,30
pensée,pensée,22
sur,sur,81
l',le,71
avenir,avenir,21
des,de,81
des,le,71
sociétés,société,22
chrétiennes,chrétien,30
",",",",p
lui,lui,51
donna,donner,19
doucement,doucement,60
le,le,71
bout,bout,21
de,de,81
ses,son,73
doigts,doigt,21
",",",",p
tremblants,tremblant,30
encore,encore,60
",",",",p
de,de,81
l',le,71
air,air,21
d',de,81
une,un,71
grand'mère,grand-mère,22
qui,qui,52
se,se,51
raccommode,raccommoder,17
avec,avec,81
un,un,71
enfant,enfant,21
qu',que,52
elle,il,51
avait,avoir,18
eu,avoir,12
le,le,71
chagrin,chagrin,21
de,de,81
gronder,gronder,14
trop,trop,60
fort,fort,30
/.,/.,P
cependant,cependant,82
il,il,51
secoua,secouer,19
la,le,71
tête,tête,22
avec,avec,81
tristesse,tristesse,22
",",",",p
et,et,82
je,je,51
vis,voir,19
rouler,rouler,14
de,de,81
ses,son,73
beaux,beau,30
yeux,oeil,21
une,un,71
larme,larme,22
qui,qui,52
glissa,glisser,19
rapidement,rapidement,60
sur,sur,81
sa,son,73
joue,joue,22
livide,livide,30
et,et,82
desséchée,desséché,31
/.,/.,P
elle,il,51
me,je,51
parut,paraître,19
le,le,71
dernier,dernier,30
adieu,adieu,21
du,de,81
du,le,71
christianisme,christianisme,21
mourant,mourant,30
qui,qui,52
abandonnait,abandonner,18
la,le,71
terre,terre,22
à,à,81
l',le,71
égoïsme,égoïsme,21
et,et,82
au,à,81
au,le,71
hasard,hasard,21
/.,/.,P
Bonaparte,Bonaparte,20
jeta,jeter,19
un,un,71
regard,regard,21
furtif,furtif,30
sur,sur,81
cette,ce,74
larme,larme,22
arrachée,arraché,31
à,à,81
ce,ce,74
pauvre,pauvre,30
coeur,coeur,21
",",",",p
et,et,82
je,je,51
surpris,surprendre,19
même,même,60
",",",",p
d',de,81
un,un,71
côté,côté,21
de,de,81
sa,son,73
bouche,bouche,22
",",",",p
un,un,71
mouvement,mouvement,21
rapide,rapide,30
qui,qui,52
ressemblait,ressembler,18
à,à,81
un,un,71
sourire,sourire,21
de,de,81
triomphe,triomphe,21
/.,/.,P
-,-,p
en,en,81
ce,ce,74
moment,moment,21
",",",",p
cette,ce,74
nature,nature,22
toute-puissante,tout-puissant,30
me,je,51
parut,paraître,19
moins,moins,60
élevée,élevé,31
et,et,82
moins,moins,60
exquise,exquis,30
que,que,83
celle,celui,52
de,de,81
son,son,73
saint,saint,30
adversaire,adversaire,21
;,;,p
cela,cela,52
me,je,51
fit,faire,19
rougir,rougir,14
",",",",p
sous,sous,81
mes,mon,73
rideaux,rideau,21
",",",",p
de,de,81
tous,tout,75
mes,mon,73
enthousiasmes,enthousiasme,21
passés,passé,31
;,;,p
je,je,51
sentis,sentir,19
une,un,71
tristesse,tristesse,22
toute,tout,60
nouvelle,nouveau,30
en,en,81
