11269
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Cinquième extrait>,<>,<>
anciennes,ancien,30
/.,/.,P
cet,ce,74
appartement,appartement,21
était,être,18
aussi,aussi,60
confortablement,confortablement,60
meublé,meubler,12
que,que,83
peut,pouvoir,17
l',le,52
être,être,14
une,un,71
garçonnière,garçonnière,22
/.,/.,P
mais,mais,82
comme,comme,83
un,un,71
intérieur,intérieur,21
prend,prendre,17
à,à,81
la,le,71
longue,long,30
la,le,71
physionomie,physionomie,22
et,et,82
peut-être,peut-être,60
la,le,71
pensée,pensée,22
de,de,81
celui,celui,52
qui,qui,52
l',le,52
habite,habiter,17
",",",",p
le,le,71
logis,logis,21
d',de,81
Octave,Octave,20
s',se,51
était,être,18
peu,peu,60
à,à,81
peu,peu,60
attristé,attrister,12
;,;,p
le,le,71
damas,damas,21
des,de,81
des,le,71
rideaux,rideau,21
avait,avoir,18
pâli,pâlir,12
et,et,82
ne,ne,60
laissait,laisser,18
plus,plus,60
filtrer,filtrer,14
qu',que,83
une,un,71
lumière,lumière,22
grise,gris,30
/.,/.,P
les,le,71
grands,grand,30
bouquets,bouquet,21
de,de,81
pivoine,pivoine,22
se,se,51
flétrissaient,flétrir,18
sur,sur,81
le,le,71
fond,fond,21
moins,moins,60
blanc,blanc,30
du,de,81
du,le,71
tapis,tapis,21
:,:,p
l',le,71
or,or,21
des,de,81
des,le,71
bordures,bordure,22
encadrant,encadrer,13
quelques,quelque,75
aquarelles,aquarelle,22
et,et,82
quelques,quelque,75
esquisses,esquisse,22
de,de,81
maîtres,maître,21
avait,avoir,18
lentement,lentement,60
rougi,rougir,12
sous,sous,81
une,un,71
implacable,implacable,30
poussière,poussière,22
;,;,p
le,le,71
feu,feu,21
découragé,découragé,31
s',se,51
éteignait,éteindre,18
et,et,82
fumait,fumer,18
au,à,81
au,le,71
milieu,milieu,21
des,de,81
des,le,71
cendres,cendre,22
/.,/.,P
la,le,71
vieille,vieux,30
pendule,pendule,22
de,de,81
Boule,Boule,20
incrustée,incrusté,31
de,de,81
cuivre,cuivre,21
et,et,82
d',de,81
écaille,écaille,22
verte,vert,30
retenait,retenir,18
le,le,71
bruit,bruit,21
de,de,81
son,son,73
tic-tac,tic-tac,21
",",",",p
et,et,82
le,le,71
timbre,timbre,21
des,de,81
des,le,71
heures,heure,22
ennuyées,ennuyé,31
parlait,parler,18
bas,bas,60
comme,comme,83
on,on,51
fait,faire,17
dans,dans,81
une,un,71
chambre,chambre,22
de,de,81
malade,malade,21
;,;,p
les,le,71
portes,porte,22
retombaient,retomber,18
silencieuses,silencieux,30
",",",",p
et,et,82
les,le,71
pas,pas,21
des,de,81
des,le,71
rares,rare,30
visiteurs,visiteur,21
s',se,51
amortissaient,amortir,18
sur,sur,81
la,le,71
moquette,moquette,22
;,;,p
le,le,71
rire,rire,21
s',se,51
arrêtait,arrêter,18
de,de,81
lui-même,lui-même,51
en,en,81
pénétrant,pénétrer,13
dans,dans,81
ces,ce,74
chambres,chambre,22
mornes,morne,30
",",",",p
froides,froid,30
et,et,82
obscures,obscur,30
",",",",p
où,où,60
cependant,cependant,82
rien,rien,52
ne,ne,60
manquait,manquer,18
du,de,81
du,le,71
luxe,luxe,21
moderne,moderne,30
/.,/.,P
Jean,Jean,20
",",",",p
le,le,71
domestique,domestique,21
d',de,81
Octave,Octave,20
",",",",p
s',se,51
y,y,52
glissait,glisser,18
comme,comme,83
une,un,71
ombre,ombre,22
",",",",p
un,un,71
plumeau,plumeau,21
sous,sous,81
le,le,71
bras,bras,21
",",",",p
un,un,71
plateau,plateau,21
sur,sur,81
la,le,71
main,main,22
",",",",p
car,car,82
",",",",p
impressionné,impressionné,31
à,à,81
son,son,73
insu,insu,21
de,de,81
la,le,71
mélancolie,mélancolie,22
du,de,81
du,le,71
lieu,lieu,21
",",",",p
il,il,51
avait,avoir,18
fini,finir,12
par,par,81
perdre,perdre,14
sa,son,73
loquacité,locacité,22
/.,/.,P
-,-,p
aux,à,81
aux,le,71
murailles,muraille,22
pendaient,pendre,18
en,en,81
trophée,trophée,21
des,de,81
des,le,71
gants,gant,21
de,de,81
boxe,boxe,22
",",",",p
des,de,81
des,le,71
masques,masque,21
et,et,82
des,de,81
des,le,71
fleurets,fleuret,21
;,;,p
mais,mais,82
il,il,51
était,être,18
facile,facile,30
de,de,81
voir,voir,14
qu',que,83
on,on,51
n',ne,60
y,y,52
avait,avoir,18
pas,pas,60
touché,toucher,12
depuis,depuis,81
longtemps,longtemps,60
;,;,p
des,de,81
des,le,71
livres,livre,21
pris,pris,31
et,et,82
jetés,jeté,31
insouciamment,insouciamment,60
traînaient,traîner,18
sur,sur,81
tous,tout,75
les,le,71
meubles,meuble,21
",",",",p
comme,comme,83
si,si,83
Octave,Octave,20
eût,avoir,19
voulu,vouloir,12
",",",",p
par,par,81
cette,ce,74
lecture,lecture,22
machinale,machinal,30
",",",",p
endormir,endormir,14
une,un,71
idée,idée,22
fixe,fixe,30
/.,/.,P
une,un,71
lettre,lettre,22
commencée,commencé,31
",",",",p
dont,dont,52
le,le,71
papier,papier,21
avait,avoir,18
jauni,jaunir,12
",",",",p
semblait,sembler,18
attendre,attendre,14
depuis,depuis,81
des,de,81
des,le,71
mois,mois,21
qu',que,83
on,on,51
l',le,52
achevât,achever,18
",",",",p
et,et,82
s',se,51
étalait,étaler,18
comme,comme,83
un,un,71
muet,muet,30
reproche,reproche,21
au,à,81
au,le,71
milieu,milieu,21
du,de,81
du,le,71
bureau,bureau,21
/.,/.,P
quoique,quoique,83
habité,habité,31
",",",",p
l',le,71
appartement,appartement,21
paraissait,paraître,18
désert,désert,21
/.,/.,P
la,le,71
vie,vie,22
en,en,52
était,être,18
absente,absent,30
",",",",p
et,et,82
en,en,81
y,y,52
entrant,entrer,13
on,on,51
recevait,recevoir,18
à,à,81
la,le,71
figure,figure,22
cette,ce,74
bouffée,bouffée,22
d',de,81
air,air,21
froid,froid,30
qui,qui,52
sort,sortir,17
des,de,81
des,le,71
tombeaux,tombeau,21
quand,quand,83
on,on,51
les,le,52
ouvre,ouvrir,17
/.,/.,P
dans,dans,81
cette,ce,74
lugubre,lugubre,30
demeure,demeurer,17
où,où,60
jamais,jamais,60
une,un,71
femme,femme,22
n',ne,60
aventurait,aventurer,18
le,le,71
bout,bout,21
de,de,81
sa,son,73
bottine,bottine,22
",",",",p
Octave,Octave,20
se,se,51
trouvait,trouver,18
plus,plus,60
à,à,81
l',le,71
aise,aise,22
que,que,83
partout,partout,60
ailleurs,ailleurs,60
",",",",p
-,-,p
ce,ce,74
silence,silence,21
",",",",p
cette,ce,74
tristesse,tristesse,22
et,et,82
cet,ce,74
abandon,abandon,21
lui,lui,51
convenaient,convenir,18
;,;,p
le,le,71
joyeux,joyeux,30
tumulte,tumulte,21
de,de,81
la,le,71
vie,vie,22
l',le,52
effarouchait,effaroucher,18
",",",",p
quoiqu',quoique,83
il,il,51
fît,faire,18
parfois,parfois,60
des,de,81
des,le,71
efforts,effort,21
pour,pour,81
s',se,51
y,y,52
mêler,mêler,14
;,;,p
mais,mais,82
il,il,51
revenait,revenir,18
plus,plus,60
sombre,sombre,30
des,de,81
des,le,71
mascarades,mascarade,22
",",",",p
des,de,81
des,le,71
parties,partie,22
ou,ou,82
des,de,81
des,le,71
soupers,souper,21
où,où,60
ses,son,73
amis,ami,21
l',le,52
entraînaient,entraîner,18
;,;,p
aussi,aussi,60
ne,ne,60
luttait,lutter,18
il,il,51
plus,plus,60
contre,contre,81
cette,ce,74
douleur,douleur,22
mystérieuse,mystérieux,30
",",",",p
et,et,82
laissait,laisser,18
il,il,51
aller,aller,14
les,le,71
jours,jour,21
avec,avec,81
l',le,71
indifférence,indifférence,22
d',de,81
un,un,71
homme,homme,21
qui,qui,52
ne,ne,60
compte,compter,17
pas,pas,60
sur,sur,81
le,le,71
lendemain,lendemain,21
/.,/.,P
il,il,51
ne,ne,60
formait,former,18
aucun,aucun,75
projet,projet,21
",",",",p
ne,ne,60
croyant,croire,13
plus,plus,60
à,à,81
l',le,71
avenir,avenir,21
",",",",p
et,et,82
il,il,51
avait,avoir,18
tacitement,tacitement,60
envoyé,envoyer,12
à,à,81
dieu,dieu,21
sa,son,73
démission,démission,22
de,de,81
la,le,71
vie,vie,22
",",",",p
attendant,attendre,13
qu',que,83
il,il,51
l',le,52
acceptât,accepter,18
/.,/.,P
pourtant,pourtant,60
",",",",p
si,si,83
vous,vous,51
vous,vous,51
imaginiez,imaginer,17
une,un,71
figure,figure,22
amaigrie,amaigri,31
et,et,82
creusée,creusé,31
",",",",p
un,un,71
teint,teint,21
terreux,terreux,30
",",",",p
des,de,81
des,le,71
membres,membre,21
exténués,exténué,31
",",",",p
un,un,71
grand,grand,30
ravage,ravage,21
extérieur,extérieur,30
",",",",p
vous,vous,51
vous,vous,51
tromperiez,tromper,16
;,;,p
tout,tout,60
au,à,81
au,le,71
plus,plus,60
apercevrait,apercevoir,16
on,on,51
quelques,quelque,75
meurtrissures,meurtrissure,22
de,de,81
bistre,bistre,21
sous,sous,81
les,le,71
paupières,paupière,22
",",",",p
quelques,quelque,75
nuances,nuance,22
orangées,orangé,30
autour,autour,60
de,de,81
l',le,71
orbite,orbite,22
",",",",p
quelque,quelque,75
attendrissement,attendrissement,21
aux,à,81
aux,le,71
tempes,tempe,22
sillonnées,sillonné,31
de,de,81
veines,veine,22
bleuâtres,bleuâtre,30
/.,/.,P
seulement,seulement,60
l',le,71
étincelle,étincelle,22
de,de,81
l',le,71
âme,âme,22
ne,ne,60
brillait,briller,18
pas,pas,60
dans,dans,81
l',le,71
oeil,oeil,21
",",",",p
dont,dont,52
la,le,71
volonté,volonté,22
",",",",p
l',le,71
espérance,espérance,22
et,et,82
le,le,71
désir,désir,21
s',se,51
étaient,être,18
envolés,envoler,12
/.,/.,P
ce,ce,74
regard,regard,21
mort,mort,31
dans,dans,81
ce,ce,74
jeune,jeune,30
visage,visage,21
formait,former,18
un,un,71
contraste,contraste,21
étrange,étrange,30
",",",",p
et,et,82
produisait,produire,18
un,un,71
effet,effet,21
plus,plus,60
pénible,pénible,30
que,que,83
le,le,71
masque,masque,21
décharné,décharné,31
",",",",p
aux,à,81
aux,le,71
yeux,oeil,21
allumés,allumé,31
de,de,81
fièvre,fièvre,22
",",",",p
de,de,81
la,le,71
maladie,maladie,22
ordinaire,ordinaire,30
/.,/.,P
Octave,Octave,20
avait,avoir,18
été,être,12
",",",",p
avant,avant,81
de,de,81
languir,languir,14
de,de,81
la,le,71
sorte,sorte,22
",",",",p
ce,ce,52
qu',que,52
on,on,51
nomme,nommer,17
un,un,71
joli,joli,30
garçon,garçon,21
",",",",p
et,et,82
il,il,51
l',le,52
était,être,18
encore,encore,60
:,:,p
d',de,81
épais,épais,30
cheveux,cheveu,21
noirs,noir,30
",",",",p
aux,à,81
aux,le,71
boucles,boucle,22
abondantes,abondant,30
",",",",p
se,se,51
massaient,masser,18
",",",",p
soyeux,soyeux,30
et,et,82
lustrés,lustré,31
",",",",p
de,de,81
chaque,chaque,75
côté,côté,21
de,de,81
ses,son,73
tempes,tempe,22
;,;,p
ses,son,73
yeux,oeil,21
longs,long,30
",",",",p
veloutés,velouté,30
",",",",p
d',de,81
un,un,71
bleu,bleu,30
nocturne,nocturne,21
",",",",p
frangés,frangé,31
de,de,81
cils,cil,21
recourbés,recourbé,31
",",",",p
s',se,51
allumaient,allumer,18
parfois,parfois,60
d',de,81
une,un,71
étincelle,étincelle,22
humide,humide,30
;,;,p
dans,dans,81
le,le,71
repos,repos,21
",",",",p
et,et,82
lorsque,lorsque,83
nulle,nul,75
passion,passion,22
ne,ne,60
les,le,52
animait,animer,18
",",",",p
ils,ils,51
se,se,51
faisaient,faire,18
remarquer,remarquer,14
par,par,81
cette,ce,74
quiétude,quiétude,22
sereine,serein,30
qu',que,52
ont,avoir,17
les,le,71
yeux,oeil,21
des,de,81
des,le,71
Orientaux,Oriental,20
",",",",p
lorsqu',lorsque,83
à,à,81
la,le,71
porte,porte,22
d',de,81
un,un,71
café,café,21
de,de,81
Smyrne,Smyrne,20
ou,ou,82
de,de,81
Constantinople,Constantinople,20
ils,ils,51
font,faire,17
le,le,71
kief,kief,21
après,après,81
avoir,avoir,14
fumé,fumer,12
leur,leur,73
narghilé,narguilé,21
/.,/.,P
son,son,73
teint,teint,21
n',ne,60
avait,avoir,18
jamais,jamais,60
été,être,12
coloré,colorer,12
et,et,82
ressemblait,ressembler,18
à,à,81
ces,ce,74
teints,teint,21
méridionaux,méridional,30
d',de,81
un,un,71
blanc,blanc,21
olivâtre,olivâtre,30
qui,qui,52
ne,ne,60
produisent,produire,17
tout,tout,75
leur,leur,73
effet,effet,21
qu',que,83
aux,à,81
aux,le,71
lumières,lumière,22
;,;,p
sa,son,73
main,main,22
était,être,18
fine,fin,30
et,et,82
délicate,délicat,30
",",",",p
son,son,73
pied,pied,21
étroit,étroit,30
et,et,82
cambré,cambré,31
/.,/.,P
il,il,51
se,se,51
mettait,mettre,18
bien,bien,60
",",",",p
sans,sans,81
précéder,précéder,14
la,le,71
mode,mode,22
ni,ni,82
la,le,52
suivre,suivre,14
en,en,81
retardataire,retardataire,21
",",",",p
et,et,82
savait,savoir,18
à,à,81
merveille,merveille,22
faire,faire,14
valoir,valoir,14
ses,son,73
avantages,avantage,21
naturels,naturel,30
/.,/.,P
quoique,quoique,83
il,il,51
n',ne,60
eût,avoir,19
aucune,aucun,75
prétention,prétention,22
de,de,81
dandy,dandy,21
ou,ou,82
de,de,81
gentleman,gentleman,21
rider,rider,14
",",",",p
s',si,83
il,il,51
se,se,51
fût,être,19
présenté,présenter,12
au,à,81
au,le,71
Jockey-Club,Jockey Club,20
",",",",p
il,il,51
n',ne,60
eût,avoir,19
pas,pas,60
été,être,12
refusé,refuser,12
/.,/.,P
comment,comment,60
se,se,51
faisait,faire,18
il,il,51
que,que,83
",",",",p
jeune,jeune,30
",",",",p
beau,beau,30
",",",",p
riche,riche,30
",",",",p
avec,avec,81
tant,tant,60
de,de,81
raisons,raison,22
d',de,81
être,être,14
heureux,heureux,30
",",",",p
un,un,71
jeune,jeune,30
homme,homme,21
se,se,51
consumât,consumer,18
si,si,60
misérablement,misérablement,60
/?,/?,P
vous,vous,51
allez,aller,17
dire,dire,14
qu',que,83
Octave,Octave,20
était,être,18
blasé,blaser,12
",",",",p
que,que,83
les,le,71
romans,roman,21
à,à,81
la,le,71
mode,mode,22
du,de,81
du,le,71
jour,jour,21
lui,lui,51
avaient,avoir,18
gâté,gâter,12
la,le,71
cervelle,cervelle,22
de,de,81
leurs,leur,73
idées,idée,22
malsaines,malsain,30
",",",",p
qu',que,83
il,il,51
ne,ne,60
croyait,croire,18
à,à,81
rien,rien,52
",",",",p
que,que,52
de,de,81
sa,son,73
jeunesse,jeunesse,22
et,et,82
de,de,81
sa,son,73
fortune,fortune,22
gaspillées,gaspillé,31
en,en,81
folles,fou,30
orgies,orgie,22
il,il,51
ne,ne,60
lui,lui,51
restait,rester,18
que,que,83
des,de,81
des,le,71
dettes,dette,22
;,;,p
-,-,p
toutes,tout,75
ces,ce,74
suppositions,supposition,22
manquent,manquer,17
de,de,81
vérité,vérité,22
/.,/.,P
-,-,p
ayant,avoir,13
fort,fort,60
peu,peu,60
usé,user,12
des,de,81
des,le,71
plaisirs,plaisir,21
",",",",p
Octave,Octave,20
ne,ne,60
pouvait,pouvoir,18
en,en,52
être,être,14
dégoûté,dégoûter,12
;,;,p
il,il,51
n',ne,60
était,être,18
ni,ni,82
splénétique,splénétique,30
",",",",p
ni,ni,82
romanesque,romanesque,30
",",",",p
ni,ni,82
athée,athée,30
",",",",p
ni,ni,82
libertin,libertin,30
",",",",p
ni,ni,82
dissipateur,dissipateur,30
;,;,p
sa,son,73
vie,vie,22
avait,avoir,18
été,être,12
jusqu',jusque,81
alors,alors,60
mêlée,mêler,12
d',de,81
études,étude,22
et,et,82
de,de,81
distractions,distraction,22
comme,comme,83
celle,celui,52
des,de,81
des,le,71
autres,autre,75
jeunes,jeune,30
gens,gens,21
;,;,p
il,il,51
s',se,51
asseyait,asseoir,18
le,le,71
matin,matin,21
au,à,81
au,le,71
cours,cours,21
de,de,81
la,le,71
Sorbonne,Sorbonne,20
",",",",p
et,et,82
le,le,71
soir,soir,21
il,il,51
se,se,51
plantait,planter,18
sur,sur,81
l',le,71
escalier,escalier,21
de,de,81
l',le,71
Opéra,Opéra,20
pour,pour,81
voir,voir,14
s',se,51
écouler,écouler,14
la,le,71
cascade,cascade,22
des,de,81
des,le,71
toilettes,toilette,22
/.,/.,P
on,on,51
ne,ne,60
lui,lui,51
connaissait,connaître,18
ni,ni,82
fille,fille,22
de,de,81
marbre,marbre,21
ni,ni,82
duchesse,duchesse,22
",",",",p
et,et,82
il,il,51
dépensait,dépenser,18
son,son,73
revenu,revenu,21
sans,sans,81
faire,faire,14
mordre,mordre,14
ses,son,73
fantaisies,fantaisie,22
au,à,81
au,le,71
capital,capital,21
",",",",p
-,-,p
son,son,73
notaire,notaire,21
l',le,52
estimait,estimer,18
;,;,p
-,-,p
c',ce,52
était,être,18
donc,donc,82
un,un,71
personnage,personnage,21
tout,tout,60
uni,uni,31
",",",",p
incapable,incapable,30
de,de,81
se,se,51
jeter,jeter,14
au,à,81
au,le,71
glacier,glacier,21
de,de,81
Manfred,Manfred,20
ou,ou,82
d',de,81
allumer,allumer,14
le,le,71
réchaud,réchaud,21
d',de,81
Escousse,Escousse,20
/.,/.,P
quant,quand,83
à,à,81
la,le,71
cause,cause,22
de,de,81
l',le,71
état,état,21
singulier,singulier,30
où,où,60
il,il,51
se,se,51
trouvait,trouver,18
et,et,82
qui,qui,52
mettait,mettre,18
en,en,81
défaut,défaut,21
la,le,71
science,science,22
de,de,81
la,le,71
faculté,faculté,22
",",",",p
nous,nous,51
n',ne,60
osons,oser,17
l',le,52
avouer,avouer,14
",",",",p
tellement,tellement,60
la,le,71
chose,chose,22
est,être,17
invraisemblable,invraisemblable,30
à,à,81
Paris,Paris,20
",",",",p
au,à,81
au,le,71
dix-neuvième,dix-neuvième,72
siècle,siècle,21
",",",",p
et,et,82
nous,nous,51
laissons,laisser,17
le,le,71
soin,soin,21
de,de,81
la,le,52
dire,dire,14
à,à,81
notre,notre,73
héros,héros,21
lui-même,lui-même,51
/.,/.,P
comme,comme,83
les,le,71
médecins,médecin,21
ordinaires,ordinaire,30
n',ne,60
entendaient,entendre,18
rien,rien,52
à,à,81
cette,ce,74
maladie,maladie,22
étrange,étrange,30
",",",",p
car,car,82
on,on,51
n',ne,60
a,avoir,17
pas,pas,60
encore,encore,60
disséqué,disséquer,12
d',de,81
âme,âme,22
aux,à,81
aux,le,71
amphithéâtres,amphithéâtre,21
d',de,81
anatomie,anatomie,22
",",",",p
on,on,51
eut,avoir,19
recours,recours,21
en,en,81
dernier,dernier,30
lieu,lieu,21
à,à,81
un,un,71
docteur,docteur,21
singulier,singulier,30
",",",",p
revenu,revenu,31
des,de,81
des,le,71
Indes,Inde,20
après,après,81
un,un,71
long,long,30
séjour,séjour,21
",",",",p
et,et,82
qui,qui,52
passait,passer,18
pour,pour,81
opérer,opérer,14
des,de,81
des,le,71
cures,cure,22
merveilleuses,merveilleux,30
/.,/.,P
Octave,Octave,20
",",",",p
pressentant,pressentir,13
une,un,71
perspicacité,perspicacité,22
supérieure,supérieur,30
et,et,82
capable,capable,30
de,de,81
pénétrer,pénétrer,14
son,son,73
secret,secret,21
",",",",p
semblait,sembler,18
redouter,redouter,14
la,le,71
visite,visite,22
du,de,81
du,le,71
docteur,docteur,21
",",",",p
et,et,82
ce,ce,52
ne,ne,60
fut,être,19
que,que,83
sur,sur,81
les,le,71
instances,instance,22
réitérées,réitéré,31
de,de,81
sa,son,73
mère,mère,22
qu',que,83
il,il,51
consentit,consentir,19
à,à,81
recevoir,recevoir,14
monsieur,monsieur,21
Balthazar,Balthazar,20
Cherbonneau,Cherbonneau,20
/.,/.,P
quand,quand,83
le,le,71
docteur,docteur,21
entra,entrer,19
",",",",p
Octave,Octave,20
était,être,18
à,à,81
demi,demi,30
couché,coucher,12
sur,sur,81
un,un,71
divan,divan,21
:,:,p
un,un,71
coussin,coussin,21
étayait,étayer,18
sa,son,73
tête,tête,22
",",",",p
un,un,71
autre,autre,52
lui,lui,51
soutenait,soutenir,18
le,le,71
coude,coude,21
",",",",p
un,un,71
troisième,troisième,72
lui,lui,51
couvrait,couvrir,18
les,le,71
pieds,pied,21
;,;,p
une,un,71
gandoura,gandoura,22
l',le,52
enveloppait,envelopper,18
de,de,81
ses,son,73
plis,pli,21
souples,souple,30
et,et,82
moelleux,moelleux,30
;,;,p
il,il,51
lisait,lire,18
ou,ou,82
plutôt,plutôt,60
il,il,51
tenait,tenir,18
un,un,71
livre,livre,21
",",",",p
car,car,82
ses,son,73
yeux,oeil,21
arrêtés,arrêté,31
sur,sur,81
une,un,71
page,page,22
ne,ne,60
regardaient,regarder,18
pas,pas,60
/.,/.,P
sa,son,73
figure,figure,22
était,être,18
pâle,pâle,30
",",",",p
mais,mais,82
",",",",p
comme,comme,83
nous,nous,51
l',le,52
avons,avoir,17
dit,dire,12
",",",",p
ne,ne,60
présentait,présenter,18
pas,pas,60
d',de,81
altération,altération,22
bien,bien,60
sensible,sensible,30
/.,/.,P
une,un,71
observation,observation,22
superficielle,superficiel,30
n',ne,60
aurait,avoir,16
pas,pas,60
cru,croire,12
au,à,81
au,le,71
danger,danger,21
chez,chez,81
ce,ce,74
jeune,jeune,30
malade,malade,21
",",",",p
dont,dont,52
le,le,71
guéridon,guéridon,21
supportait,supporter,18
une,un,71
boîte,boîte,22
à,à,81
cigares,cigare,21
au,à,81
au,le,71
lieu,lieu,21
des,de,81
des,le,71
fioles,fiole,22
",",",",p
des,de,81
des,le,71
louches,louche,21
",",",",p
des,de,81
des,le,71
potions,potion,22
",",",",p
des,de,81
des,le,71
tisanes,tisane,22
",",",",p
et,et,82
autres,autre,75
pharmacopées,pharmacopée,22
de,de,81
rigueur,rigueur,22
en,en,81
pareil,pareil,30
cas,cas,21
/.,/.,P
ses,son,73
traits,trait,21
purs,pur,30
",",",",p
quoiqu',quoique,83
un,un,71
peu,peu,60
fatigués,fatigué,31
",",",",p
n',ne,60
avaient,avoir,18
presque,presque,60
rien,rien,52
