11735
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Seizième extrait>,<>,<>
qui,qui,52
était,être,18
à,à,81
dîner,dîner,14
chez,chez,81
la,le,71
maréchale,maréchale,22
d',de,81
Effiat,Effiat,20
",",",",p
et,et,82
qui,qui,52
a,avoir,17
tout,tout,52
entendu,entendre,12
",",",",p
que,que,83
ce,ce,74
jeune,jeune,30
Cinq-Mars,Cinq-Mars,20
montrait,montrer,18
plus,plus,60
d',de,81
énergie,énergie,22
qu',que,83
on,on,51
ne,ne,60
l',le,52
imaginait,imaginer,18
",",",",p
et,et,82
qu',que,52
il,il,51
tenta,tenter,19
de,de,81
délivrer,délivrer,14
le,le,71
maréchal,maréchal,21
de,de,81
Bassompierre,Bassompierre,20
/.,/.,P
j',je,51
ai,avoir,17
encore,encore,60
le,le,71
rapport,rapport,21
détaillé,détaillé,31
du,de,81
du,le,71
sourd,sourd,21
",",",",p
qui,qui,52
a,avoir,17
très,très,60
bien,bien,60
joué,jouer,12
son,son,73
rôle,rôle,21
;,;,p
l',le,71
éminentissime,éminentissime,30
cardinal,cardinal,21
doit,devoir,17
en,en,52
être,être,14
satisfait,satisfaire,12
/.,/.,P
-,-,p
j',je,51
ai,avoir,17
dit,dire,12
à,à,81
monseigneur,monseigneur,21
",",",",p
recommença,recommencer,19
Joseph,Joseph,20
",",",",p
car,car,82
ces,ce,74
deux,deux,72
séides,séide,21
farouches,farouche,30
alternaient,alterner,18
leurs,leur,73
discours,discours,21
comme,comme,83
les,le,71
pasteurs,pasteur,21
de,de,81
Virgile,Virgile,20
;,;,p
j',je,51
ai,avoir,17
dit,dire,12
qu',que,83
il,il,51
serait,être,16
bon,bon,30
de,de,81
se,se,51
défaire,défaire,14
de,de,81
ce,ce,74
petit,petit,21
d',de,81
Effiat,Effiat,20
",",",",p
et,et,82
que,que,52
je,je,51
m',je,51
en,en,52
chargerais,charger,16
",",",",p
si,si,83
tel,tel,52
était,être,18
son,son,73
bon,bon,30
plaisir,plaisir,21
;,;,p
il,il,51
serait,être,16
facile,facile,30
de,de,81
le,le,52
perdre,perdre,14
dans,dans,81
l',le,71
esprit,esprit,21
du,de,81
du,le,71
roi,roi,21
/.,/.,P
-,-,p
il,il,51
serait,être,16
plus,plus,60
sûr,sûr,30
de,de,81
le,le,52
faire,faire,14
mourir,mourir,14
de,de,81
sa,son,73
blessure,blessure,22
",",",",p
reprit,reprendre,19
Laubardemont,Laubardemont,20
;,;,p
si,si,83
son,son,73
éminence,éminence,22
avait,avoir,18
la,le,71
bonté,bonté,22
de,de,81
m',je,51
en,en,52
donner,donner,14
l',le,71
ordre,ordre,21
",",",",p
je,je,51
connais,connaître,17
intimement,intimement,60
le,le,71
médecin,médecin,21
en,en,81
second,second,72
",",",",p
qui,qui,52
m',je,51
a,avoir,17
guéri,guérir,12
d',de,81
un,un,71
coup,coup,21
au,à,81
au,le,71
front,front,21
",",",",p
et,et,82
qui,qui,52
le,le,52
soigne,soigner,17
/.,/.,P
c',ce,52
est,être,17
un,un,71
homme,homme,21
prudent,prudent,30
",",",",p
tout,tout,60
dévoué,dévoué,31
à,à,81
monseigneur,monseigneur,21
le,le,71
cardinal,cardinal,21
duc,duc,21
",",",",p
et,et,82
dont,dont,52
le,le,71
brelan,brelan,21
a,avoir,17
un,un,71
peu,peu,60
dérangé,déranger,12
les,le,71
affaires,affaire,22
/.,/.,P
-,-,p
je,je,51
crois,croire,17
",",",",p
repartit,repartir,19
Joseph,Joseph,20
avec,avec,81
un,un,71
air,air,21
de,de,81
modestie,modestie,22
mêlé,mêlé,31
d',de,81
un,un,71
peu,peu,60
d',de,81
aigreur,aigreur,22
",",",",p
que,que,83
si,si,83
son,son,73
éminence,éminence,22
avait,avoir,18
quelqu'un,quelqu'un,52
à,à,81
employer,employer,14
à,à,81
ce,ce,74
projet,projet,21
utile,utile,30
",",",",p
ce,ce,52
serait,être,16
plutôt,plutôt,60
son,son,73
négociateur,négociateur,21
habituel,habituel,30
",",",",p
qui,qui,52
a,avoir,17
eu,avoir,12
quelque,quelque,75
succès,succès,21
autrefois,autrefois,60
/.,/.,P
-,-,p
je,je,51
crois,croire,17
pouvoir,pouvoir,14
en,en,52
énumérer,énumérer,14
quelques-uns,quelqu'un,52
assez,assez,60
marquants,marquant,30
",",",",p
reprit,reprendre,19
Laubardemont,Laubardemont,20
",",",",p
et,et,82
très,très,60
nouveaux,nouveau,30
",",",",p
dont,dont,52
la,le,71
difficulté,difficulté,22
était,être,18
grande,grand,30
/.,/.,P
-,-,p
ah,ah,93
!,!,p
sans,sans,81
doute,doute,21
",",",",p
dit,dire,19
le,le,71
père,père,21
avec,avec,81
un,un,71
demi-salut,demi-salut,21
et,et,82
un,un,71
air,air,21
de,de,81
considération,considération,22
et,et,82
de,de,81
politesse,politesse,22
",",",",p
votre,votre,73
mission,mission,22
la,le,71
plus,plus,60
hardie,hardi,30
et,et,82
la,le,71
plus,plus,60
habile,habile,30
fut,être,19
le,le,71
jugement,jugement,21
d',de,81
Urbain,Urbain,20
Grandier,Grandier,20
",",",",p
le,le,71
magicien,magicien,21
/.,/.,P
mais,mais,82
",",",",p
avec,avec,81
l',le,71
aide,aide,21
de,de,81
dieu,dieu,21
",",",",p
on,on,51
peut,pouvoir,17
faire,faire,14
d',de,81
aussi,aussi,60
bonnes,bon,30
et,et,82
fortes,fort,30
choses,chose,22
/.,/.,P
il,il,51
n',ne,60
est,être,17
pas,pas,60
sans,sans,81
quelque,quelque,75
mérite,mérite,21
",",",",p
par,par,81
exemple,exemple,21
",",",",p
ajouta,ajouter,19
t,t,94
il,il,51
en,en,81
baissant,baisser,13
les,le,71
yeux,oeil,21
comme,comme,83
une,un,71
jeune,jeune,30
fille,fille,22
",",",",p
d',de,81
extirper,extirper,14
vigoureusement,vigoureusement,60
une,un,71
branche,branche,22
royale,royal,30
de,de,81
Bourbon,Bourbon,20
/.,/.,P
-,-,p
il,il,51
n',ne,60
était,être,18
pas,pas,60
bien,bien,60
difficile,difficile,30
;,;,p
reprit,reprendre,19
avec,avec,81
amertume,amertume,22
le,le,71
maître,maître,21
des,de,81
des,le,71
requêtes,requête,22
",",",",p
de,de,81
choisir,choisir,14
un,un,71
soldat,soldat,21
aux,à,81
aux,le,71
gardes,garde,21
pour,pour,81
tuer,tuer,14
le,le,71
comte,comte,21
de,de,81
Soissons,Soisson,20
;,;,p
mais,mais,82
présider,présider,14
",",",",p
juger,juger,14
/…,/…,P
-,-,p
et,et,82
exécuter,exécuter,14
soi-même,soi-même,51
",",",",p
interrompit,interrompre,19
le,le,71
capucin,capucin,21
échauffé,échauffé,31
",",",",p
est,être,17
moins,moins,60
difficile,difficile,30
certainement,certainement,60
que,que,83
d',de,81
élever,élever,14
un,un,71
homme,homme,21
",",",",p
dès,dès,81
l',le,71
enfance,enfance,22
",",",",p
dans,dans,81
la,le,71
pensée,pensée,22
d',de,81
accomplir,accomplir,14
de,de,81
grandes,grand,30
choses,chose,22
avec,avec,81
discrétion,discrétion,22
",",",",p
et,et,82
de,de,81
supporter,supporter,14
",",",",p
s',si,83
il,il,51
le,le,52
fallait,falloir,18
",",",",p
toutes,tout,75
les,le,71
tortures,torture,22
pour,pour,81
l',le,71
amour,amour,21
du,de,81
du,le,71
ciel,ciel,21
",",",",p
plutôt,plutôt,60
que,que,83
de,de,81
révéler,révéler,14
le,le,71
nom,nom,21
de,de,81
ceux,celui,52
qui,qui,52
l',le,52
ont,avoir,17
armé,armer,12
de,de,81
leur,leur,73
justice,justice,22
",",",",p
ou,ou,82
de,de,81
mourir,mourir,14
courageusement,courageusement,60
sur,sur,81
le,le,71
corps,corps,21
de,de,81
celui,celui,52
qu',que,52
on,on,51
a,avoir,17
frappé,frapper,12
",",",",p
comme,comme,83
l',le,52
a,avoir,17
fait,faire,12
celui,celui,52
que,que,52
j',je,51
envoyai,envoyer,19
;,;,p
il,il,51
ne,ne,60
jeta,jeter,19
pas,pas,60
un,un,71
cri,cri,21
au,à,81
au,le,71
coup,coup,21
d',de,81
épée,épée,22
de,de,81
Riquemont,Riquemont,20
",",",",p
l',le,71
écuyer,écuyer,21
du,de,81
du,le,71
prince,prince,21
;,;,p
il,il,51
finit,finir,19
comme,comme,83
un,un,71
saint,saint,21
:,:,p
c',ce,52
était,être,18
mon,mon,73
élève,élève,21
/.,/.,P
-,-,p
autre,autre,75
chose,chose,22
est,être,17
d',de,81
ordonner,ordonner,14
ou,ou,82
de,de,81
courir,courir,14
les,le,71
dangers,danger,21
/.,/.,P
-,-,p
et,et,82
n',ne,60
en,en,52
ai,avoir,17
je,je,51
pas,pas,60
couru,courir,12
au,à,81
au,le,71
siège,siège,21
de,de,81
la,le,71
Rochelle,Rochelle,20
/?,/?,P
d',de,81
être,être,14
noyé,noyer,12
dans,dans,81
un,un,71
égout,égout,21
",",",",p
sans,sans,81
doute,doute,21
?,?,p
dit,dire,19
Laubardemont,Laubardemont,20
/.,/.,P
-,-,p
et,et,82
vous,vous,51
",",",",p
dit,dire,19
Joseph,Joseph,20
",",",",p
vos,votre,73
périls,péril,21
ont,avoir,17
ils,ils,51
été,être,12
de,de,81
vous,vous,51
prendre,prendre,14
les,le,71
doigts,doigt,21
dans,dans,81
les,le,71
instruments,instrument,21
de,de,81
torture,torture,22
?,?,p
et,et,82
tout,tout,75
cela,cela,52
parce que,parce que,83
l',le,71
abbesse,abbesse,22
des,de,81
des,le,71
Ursulines,Ursulines,20
est,être,17
votre,votre,73
nièce,nièce,22
/.,/.,P
-,-,p
c',ce,52
était,être,18
bon,bon,30
pour,pour,81
vos,votre,73
frères,frère,21
de,de,81
Saint-François,Saint-François,20
",",",",p
qui,qui,52
tenaient,tenir,18
les,le,71
marteaux,marteau,21
;,;,p
mais,mais,82
moi,moi,51
",",",",p
je,je,51
fus,être,19
frappé,frapper,12
au,à,81
au,le,71
front,front,21
par,par,81
ce,ce,74
même,même,75
Cinq-Mars,Cinq-Mars,20
",",",",p
qui,qui,52
guidait,guider,18
une,un,71
populace,populace,22
effrénée,effréné,30
/.,/.,P
-,-,p
en,en,52
êtes,être,17
vous,vous,51
bien,bien,60
sûr,sûr,30
?,?,p
s',se,51
écria,écrier,19
Joseph,Joseph,20
charmé,charmé,31
;,;,p
osa,oser,19
t,t,94
il,il,51
bien,bien,60
aller,aller,14
ainsi,ainsi,60
contre,contre,81
les,le,71
ordres,ordre,21
du,de,81
du,le,71
roi,roi,21
/?,/?,P
la,le,71
joie,joie,22
qu',que,52
il,il,51
avait,avoir,18
de,de,81
cette,ce,74
découverte,découverte,22
lui,lui,51
faisait,faire,18
oublier,oublier,14
sa,son,73
colère,colère,22
/.,/.,P
-,-,p
impertinents,impertinent,30
!,!,p
s',se,51
écria,écrier,19
le,le,71
cardinal,cardinal,21
",",",",p
rompant,rompre,13
tout,tout,60
à,à,81
coup,coup,21
le,le,71
silence,silence,21
et,et,82
ôtant,ôter,13
de,de,81
ses,son,73
lèvres,lèvre,22
son,son,73
mouchoir,mouchoir,21
taché,taché,31
de,de,81
sang,sang,21
",",",",p
je,je,51
punirais,punir,16
votre,votre,73
sanglante,sanglant,30
dispute,dispute,22
si,si,83
elle,il,51
ne,ne,60
m',je,51
avait,avoir,18
appris,apprendre,12
bien,bien,60
des,de,81
des,le,71
secrets,secret,21
d',de,81
infamie,infamie,22
de,de,81
votre,votre,73
part,part,22
/.,/.,P
on,on,51
a,avoir,17
dépassé,dépasser,12
mes,mon,73
ordres,ordre,21
:,:,p
je,je,51
ne,ne,60
voulais,vouloir,18
point,point,60
de,de,81
torture,torture,22
",",",",p
Laubardemont,Laubardemont,20
;,;,p
c',ce,52
est,être,17
votre,votre,73
seconde,second,72
faute,faute,22
;,;,p
vous,vous,51
me,je,51
ferez,faire,15
haïr,haïr,14
pour,pour,81
rien,rien,52
",",",",p
c',ce,52
était,être,18
inutile,inutile,30
/.,/.,P
mais,mais,82
vous,vous,51
",",",",p
Joseph,Joseph,20
",",",",p
ne,ne,60
négligez,négliger,17
pas,pas,60
les,le,71
détails,détail,21
de,de,81
cette,ce,74
émeute,émeute,22
où,où,60
fut,être,19
Cinq-Mars,Cinq-Mars,20
;,;,p
cela,cela,52
peut,pouvoir,17
servir,servir,14
par,par,81
la,le,71
suite,suite,22
/.,/.,P
-,-,p
j',je,51
ai,avoir,17
tous,tout,75
les,le,71
noms,nom,21
et,et,82
signalements,signalement,21
",",",",p
dit,dire,19
avec,avec,81
empressement,empressement,21
le,le,71
juge,juge,21
secret,secret,30
",",",",p
inclinant,incliner,13
jusqu',jusque,81
au,à,81
au,le,71
fauteuil,fauteuil,21
sa,son,73
grande,grand,30
taille,taille,22
et,et,82
son,son,73
visage,visage,21
olivâtre,olivâtre,30
et,et,82
maigre,maigre,30
",",",",p
que,que,52
sillonnait,sillonner,18
un,un,71
rire,rire,21
servile,servile,30
/.,/.,P
-,-,p
c',ce,52
est,être,17
bon,bon,30
",",",",p
c',ce,52
est,être,17
bon,bon,30
",",",",p
dit,dire,19
le,le,71
ministre,ministre,21
",",",",p
le,le,52
repoussant,repousser,13
;,;,p
il,il,51
ne,ne,60
s',se,51
agit,agir,17
pas,pas,60
encore,encore,60
de,de,81
cela,cela,52
/.,/.,P
vous,vous,51
",",",",p
Joseph,Joseph,20
",",",",p
soyez,être,17
à,à,81
Paris,Paris,20
avant,avant,81
ce,ce,74
jeune,jeune,21
présomptueux,présomptueux,30
qui,qui,52
va,aller,17
être,être,14
favori,favori,30
",",",",p
j',je,51
en,en,52
suis,être,17
certain,certain,30
;,;,p
devenez,devenir,17
son,son,73
ami,ami,21
",",",",p
tirez,tirer,17
en,en,52
parti,parti,21
pour,pour,81
moi,moi,51
",",",",p
ou,ou,82
perdez,perdre,17
le,le,52
;,;,p
qu',que,83
il,il,51
me,je,51
serve,servir,17
ou,ou,82
qu',que,83
il,il,51
tombe,tomber,17
/.,/.,P
mais,mais,82
",",",",p
surtout,surtout,60
",",",",p
envoyez,envoyer,17
moi,moi,51
des,de,81
des,le,71
gens,gens,21
sûrs,sûr,30
",",",",p
et,et,82
tous,tout,75
les,le,71
jours,jour,21
",",",",p
pour,pour,81
me,je,51
rendre,rendre,14
compte,compte,21
verbalement,verbalement,60
;,;,p
jamais,jamais,60
d',de,81
écrits,écrit,21
à,à,81
l',le,71
avenir,avenir,21
/.,/.,P
je,je,51
suis,être,17
très,très,60
mécontent,mécontent,30
de,de,81
vous,vous,51
",",",",p
Joseph,Joseph,20
;,;,p
quel,quel,75
misérable,misérable,30
courrier,courrier,21
avez,avoir,17
vous,vous,51
choisi,choisir,12
pour,pour,81
venir,venir,14
de,de,81
Cologne,Cologne,20
/!,/!,P
il,il,51
ne,ne,60
m',je,51
a,avoir,17
pas,pas,60
su,savoir,12
comprendre,comprendre,14
;,;,p
il,il,51
a,avoir,17
vu,voir,12
le,le,71
roi,roi,21
trop,trop,60
tôt,tôt,60
",",",",p
et,et,82
nous,nous,51
voilà,voilà,81
encore,encore,60
avec,avec,81
une,un,71
disgrâce,disgrâce,22
à,à,81
combattre,combattre,14
/.,/.,P
vous,vous,51
avez,avoir,17
manqué,manquer,12
me,je,51
perdre,perdre,14
entièrement,entièrement,60
/.,/.,P
vous,vous,51
allez,aller,17
voir,voir,14
ce,ce,52
qu',que,52
on,on,51
va,aller,17
faire,faire,14
à,à,81
Paris,Paris,20
;,;,p
on,on,51
ne,ne,60
tardera,tarder,15
pas,pas,60
à,à,81
y,y,52
tramer,tramer,14
une,un,71
conspiration,conspiration,22
contre,contre,81
moi,moi,51
;,;,p
mais,mais,82
ce,ce,52
sera,être,15
la,le,71
dernière,dernière,22
/.,/.,P
je,je,51
reste,rester,17
ici,ici,60
pour,pour,81
les,le,52
laisser,laisser,14
tous,tout,52
plus,plus,60
libres,libre,30
d',de,81
agir,agir,14
/.,/.,P
sortez,sortir,17
tous,tout,75
deux,deux,72
et,et,82
envoyez,envoyer,17
moi,moi,51
mon,mon,73
valet,valet,21
de,de,81
chambre,chambre,22
dans,dans,81
deux,deux,72
heures,heure,22
seulement,seulement,60
:,:,p
je,je,51
veux,vouloir,17
être,être,14
seul,seul,30
/.,/.,P
on,on,51
entendait,entendre,18
encore,encore,60
les,le,71
pas,pas,21
de,de,81
ces,ce,74
deux,deux,72
hommes,homme,21
",",",",p
et,et,82
Richelieu,Richelieu,20
",",",",p
les,le,71
yeux,oeil,21
attachés,attaché,31
sur,sur,81
l',le,71
entrée,entrée,22
de,de,81
sa,son,73
tente,tente,22
",",",",p
semblait,sembler,18
les,le,52
poursuivre,poursuivre,14
de,de,81
ses,son,73
regards,regard,21
irrités,irrité,31
/.,/.,P
-,-,p
misérables,misérable,30
!,!,p
s',se,51
écria,écrier,19
t,t,94
il,il,51
lorsqu',lorsque,83
il,il,51
fut,être,19
seul,seul,30
",",",",p
allez,aller,17
encore,encore,60
accomplir,accomplir,14
quelques,quelque,75
oeuvres,oeuvre,22
secrètes,secret,30
",",",",p
et,et,82
ensuite,ensuite,60
je,je,51
vous,vous,51
briserai,briser,15
vous-mêmes,vous-même,51
",",",",p
ressorts,ressort,21
impurs,impur,30
de,de,81
mon,mon,73
pouvoir,pouvoir,21
/!,/!,P
bientôt,bientôt,60
le,le,71
roi,roi,21
succombera,succomber,15
sous,sous,81
la,le,71
lente,lent,30
maladie,maladie,22
qui,qui,52
le,le,52
consume,consumer,17
;,;,p
je,je,51
serai,être,16
régent,régent,21
alors,alors,60
",",",",p
je,je,51
serai,être,16
roi,roi,21
de,de,81
France,France,20
moi-même,moi-même,51
;,;,p
je,je,51
n',ne,60
aurai,avoir,15
plus,plus,60
à,à,81
redouter,redouter,14
les,le,71
caprices,caprice,21
de,de,81
sa,son,73
faiblesse,faiblesse,22
;,;,p
je,je,51
détruirai,détruire,15
sans,sans,81
retour,retour,21
les,le,71
races,race,22
orgueilleuses,orgueilleux,30
de,de,81
ce,ce,74
pays,pays,21
;,;,p
j',je,51
y,y,52
passerai,passer,15
un,un,71
niveau,niveau,21
terrible,terrible,30
et,et,82
la,le,71
baguette,baguette,22
de,de,81
Tarquin,Tarquin,20
;,;,p
je,je,51
serai,être,16
seul,seul,30
sur,sur,81
eux,ils,51
tous,tout,52
",",",",p
l',le,71
Europe,Europe,20
tremblera,trembler,15
",",",",p
je,je,51
/…,/…,P
ici,ici,60
le,le,71
goût,goût,21
du,de,81
du,le,71
sang,sang,21
qui,qui,52
remplissait,remplir,18
de,de,81
nouveau,nouveau,21
sa,son,73
bouche,bouche,22
le,le,52
força,forcer,19
d',de,81
y,y,52
porter,porter,14
son,son,73
mouchoir,mouchoir,21
/.,/.,P
-,-,p
ah,ah,93
!,!,p
que,que,52
dis,dire,17
je,je,51
?,?,p
malheureux,malheureux,30
que,que,83
je,je,51
suis,être,17
/!,/!,P
me,je,51
voilà,voilà,81
frappé,frappé,31
à,à,81
mort,mort,22
;,;,p
je,je,51
me,je,51
dissous,dissoudre,17
",",",",p
mon,mon,73
sang,sang,21
s',se,51
écoule,écouler,17
",",",",p
et,et,82
mon,mon,73
esprit,esprit,21
veut,vouloir,17
travailler,travailler,14
encore,encore,60
/!,/!,P
pour,pour,81
quoi,quoi,52
?,?,p
pour,pour,81
qui,qui,52
/?,/?,P
est,être,17
ce,ce,52
pour,pour,81
la,le,71
gloire,gloire,22
",",",",p
c',ce,52
est,être,17
un,un,71
mot,mot,21
vide,vide,30
;,;,p
est,être,17
ce,ce,52
pour,pour,81
les,le,71
hommes,homme,21
?,?,p
je,je,51
les,le,52
méprise,mépriser,17
/.,/.,P
pour,pour,81
qui,qui,52
donc,donc,82
",",",",p
puisque,puisque,83
je,je,51
vais,aller,17
mourir,mourir,14
avant,avant,81
deux,deux,72
",",",",p
avant,avant,81
trois,trois,72
ans,an,21
peut-être,peut-être,60
/?,/?,P
est,être,17
ce,ce,52
pour,pour,81
dieu,dieu,21
?,?,p
quel,quel,75
nom,nom,21
!,!,p
…,…,p
je,je,51
n',ne,60
ai,avoir,17
pas,pas,60
marché,marcher,12
avec,avec,81
lui,lui,51
",",",",p
il,il,51
a,avoir,17
tout,tout,52
vu,voir,12
/…,/…,P
ici,ici,60
",",",",p
il,il,51
laissa,laisser,19
tomber,tomber,14
sa,son,73
tête,tête,22
sur,sur,81
sa,son,73
poitrine,poitrine,22
",",",",p
et,et,82
ses,son,73
yeux,oeil,21
rencontrèrent,rencontrer,19
la,le,71
grande,grand,30
croix,croix,22
d',de,81
or,or,21
qu',que,52
il,il,51
portait,porter,18
au,à,81
au,le,71
cou,cou,21
;,;,p
il,il,51
ne,ne,60
put,pouvoir,19
s',se,51
empêcher,empêcher,14
de,de,81
se,se,51
jeter,jeter,14
en,en,81
arrière,arrière,21
jusqu',jusque,81
au,à,81
au,le,71
fond,fond,21
du,de,81
du,le,71
fauteuil,fauteuil,21
;,;,p
mais,mais,82
elle,il,51
le,le,52
suivait,suivre,18
;,;,p
il,il,51
la,le,52
prit,prendre,19
",",",",p
et,et,82
",",",",p
la,le,52
considérant,considérer,13
avec,avec,81
des,de,81
des,le,71
regards,regard,21
fixes,fixe,30
et,et,82
dévorants,dévorant,30
:,:,p
-,-,p
signe,signe,21
terrible,terrible,30
!,!,p
dit,dire,19
il,il,51
tout,tout,52
bas,bas,60
",",",",p
tu,tu,51
me,je,51
poursuis,poursuivre,17
/!,/!,P
vous,vous,51
retrouverai,retrouver,15
je,je,51
encore,encore,60
ailleurs,ailleurs,60
…,…,p
divinité,divinité,22
et,et,82
supplice,supplice,21
!,!,p
que,que,52
suis,être,17
je,je,51
?,?,p
qu',que,52
ai,avoir,17
je,je,51
fait,faire,12
?,?,p
/…,/…,P
pour,pour,81
la,le,71
première,premier,72
fois,fois,22
",",",",p
une,un,71
terreur,terreur,22
singulière,singulier,30
et,et,82
inconnue,inconnu,30
le,le,52
pénétra,pénétrer,19
;,;,p
il,il,51
trembla,trembler,19
",",",",p
glacé,glacé,31
et,et,82
brûlé,brûlé,31
par,par,81
un,un,71
frisson,frisson,21
invincible,invincible,30
;,;,p
il,il,51
n',ne,60
osait,oser,18
lever,lever,14
les,le,71
yeux,oeil,21
",",",",p
de,de,81
crainte,crainte,22
de,de,81
rencontrer,rencontrer,14
quelque,quelque,75
vision,vision,22
effroyable,effroyable,30
;,;,p
il,il,51
n',ne,60
osait,oser,18
appeler,appeler,14
",",",",p
de,de,81
peur,peur,22
d',de,81
entendre,entendre,14
le,le,71
son,son,21
de,de,81
sa,son,73
propre,propre,30
voix,voix,22
;,;,p
il,il,51
demeura,demeurer,19
profondément,profondément,60
enfoncé,enfoncé,31
dans,dans,81
la,le,71
méditation,méditation,22
de,de,81
l',le,71
éternité,éternité,22
",",",",p
si,si,60
terrible,terrible,30
pour,pour,81
lui,lui,51
",",",",p
et,et,82
il,il,51
murmura,murmurer,19
cette,ce,74
sorte,sorte,22
de,de,81
prière,prière,22
:,:,p
-,-,p
grand,grand,30
dieu,dieu,21
",",",",p
si,si,83
tu,tu,51
m',je,51
entends,entendre,17
",",",",p
juge,juger,17
moi,moi,51
donc,donc,82
",",",",p
mais,mais,82
ne,ne,60
m',je,51
isole,isoler,17
pas,pas,60
pour,pour,81
me,je,51
juger,juger,14
/.,/.,P
regarde,regarder,17
moi,moi,51
entouré,entouré,31
des,de,81
des,le,71
hommes,homme,21
de,de,81
mon,mon,73
siècle,siècle,21
;,;,p
regarde,regarder,17
l',le,71
ouvrage,ouvrage,21
immense,immense,30
que,que,52
j',je,51
avais,avoir,18
entrepris,entreprendre,12
;,;,p
fallait,falloir,18
il,il,51
moins,moins,60
qu',que,83
un,un,71
énorme,énorme,30
levier,levier,21
pour,pour,81
remuer,remuer,14
ces,ce,74
masses,masse,22
?,?,p
et,et,82
si,si,83
ce,ce,74
levier,levier,21
écrase,écraser,17
en,en,81
tombant,tomber,13
quelques,quelque,75
misérables,misérable,21
inutiles,inutile,30
",",",",p
suis,être,17
je,je,51
bien,bien,60
coupable,coupable,30
/?,/?,P
je,je,51
semblerai,sembler,15
méchant,méchant,30
aux,à,81
aux,le,71
hommes,homme,21
;,;,p
mais,mais,82
