11643
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Trente-troisième extrait>,<>,<>
en,en,81
loin,loin,60
des,de,81
des,le,71
hommes,homme,21
tombaient,tomber,18
comme,comme,83
frappés,frappé,31
par,par,81
un,un,71
souffle,souffle,21
empoisonné,empoisonné,31
",",",",p
et,et,82
rappelaient,rappeler,18
la,le,71
puissance,puissance,22
invisible,invisible,30
/.,/.,P
Saint Preuil,Saint Preuil,20
",",",",p
l',le,71
un,un,52
des,de,81
des,le,71
ennemis,ennemi,21
de,de,81
Richelieu,Richelieu,20
",",",",p
venait,venir,18
de,de,81
porter,porter,14
sa,son,73
tête,tête,22
de,de,81
fer,fer,21
sur,sur,81
l',le,71
échafaud,échafaud,21
",",",",p
sans,sans,81
honte,honte,22
ni,ni,82
peur,peur,22
",",",",p
comme,comme,83
il,il,51
le,le,52
dit,dire,19
en,en,81
y,y,52
montant,monter,13
/.,/.,P
cependant,cependant,82
la,le,71
France,France,20
semblait,sembler,18
gouvernée,gouverné,31
par,par,81
elle-même,lui-même,51
;,;,p
car,car,82
le,le,71
prince,prince,21
et,et,82
le,le,71
ministre,ministre,21
étaient,être,18
séparés,séparer,12
depuis,depuis,81
longtemps,longtemps,60
:,:,p
et,et,82
",",",",p
de,de,81
ces,ce,74
deux,deux,72
malades,malade,21
",",",",p
qui,qui,52
se,se,51
haïssaient,haïr,18
mutuellement,mutuellement,60
",",",",p
l',le,71
un,un,52
n',ne,60
avait,avoir,18
jamais,jamais,60
tenu,tenir,12
les,le,71
rênes,rêne,22
de,de,81
son,son,73
Etat,état,21
",",",",p
l',le,71
autre,autre,52
n',ne,60
y,y,52
faisait,faire,18
plus,plus,60
sentir,sentir,14
sa,son,73
main,main,22
;,;,p
on,on,51
ne,ne,60
l',le,52
entendait,entendre,18
plus,plus,60
nommer,nommer,14
dans,dans,81
les,le,71
actes,acte,21
publics,public,30
",",",",p
il,il,51
ne,ne,60
paraissait,paraître,18
plus,plus,60
dans,dans,81
le,le,71
gouvernement,gouvernement,21
",",",",p
s',se,51
effaçait,effacer,18
partout,partout,60
;,;,p
il,il,51
dormait,dormir,18
comme,comme,83
l',le,71
araignée,araignée,22
au,à,81
au,le,71
centre,centre,21
de,de,81
ses,son,73
filets,filet,21
/.,/.,P
s',si,83
il,il,51
s',se,51
était,être,18
passé,passer,12
quelques,quelque,75
événements,événement,21
et,et,82
quelques,quelque,75
résolutions,résolution,22
durant,durant,81
ces,ce,74
deux,deux,72
années,année,22
",",",",p
ce,ce,52
devait,devoir,18
donc,donc,82
être,être,14
dans,dans,81
les,le,71
coeurs,coeur,21
;,;,p
ce,ce,52
devait,devoir,18
être,être,14
quelques-uns,quelqu'un,52
de,de,81
ces,ce,74
changements,changement,21
occultes,occulte,30
",",",",p
d',de,81
où,où,60
naissent,naître,17
",",",",p
dans,dans,81
les,le,71
monarchies,monarchie,22
sans,sans,81
base,base,22
",",",",p
des,de,81
des,le,71
bouleversements,bouleversement,21
effroyables,effroyable,30
et,et,82
de,de,81
longues,long,30
et,et,82
sanglantes,sanglant,30
dissensions,dissension,22
/.,/.,P
pour,pour,81
en,en,52
être,être,14
éclaircis,éclaicir,12
",",",",p
portons,porter,17
nos,notre,73
yeux,oeil,21
sur,sur,81
le,le,71
vieux,vieux,30
et,et,82
noir,noir,30
bâtiment,bâtiment,21
du,de,81
du,le,71
Louvre,Louvre,20
inachevé,inachevé,30
",",",",p
et,et,82
prêtons,prêter,17
l',le,71
oreille,oreille,22
aux,à,81
aux,le,71
propos,propos,21
de,de,81
ceux,celui,52
qui,qui,52
l',le,52
habitent,habiter,17
et,et,82
qui,qui,52
l',le,52
environnent,environner,17
/.,/.,P
on,on,51
était,être,18
au,à,81
au,le,71
mois,mois,21
de,de,81
décembre,décembre,21
;,;,p
un,un,71
hiver,hiver,21
rigoureux,rigoureux,30
avait,avoir,18
attristé,attrister,12
Paris,Paris,20
",",",",p
où,où,60
la,le,71
misère,misère,22
et,et,82
l',le,71
inquiétude,inquiétude,22
du,de,81
du,le,71
peuple,peuple,21
étaient,être,18
extrêmes,extrême,30
;,;,p
cependant,cependant,82
sa,son,73
curiosité,curiosité,22
l',le,52
aiguillonnait,aiguillonner,18
encore,encore,60
",",",",p
et,et,82
il,il,51
était,être,18
avide,avide,30
des,de,81
des,le,71
spectacles,spectacle,21
que,que,52
lui,lui,51
donnait,donner,18
la,le,71
cour,cour,22
/.,/.,P
sa,son,73
pauvreté,pauvreté,22
lui,lui,51
était,être,18
moins,moins,60
pesante,pesant,30
lorsqu',lorsque,83
il,il,51
contemplait,contempler,18
les,le,71
agitations,agitation,22
de,de,81
la,le,71
richesse,richesse,22
;,;,p
ses,son,73
larmes,larme,22
moins,moins,60
amères,amer,30
à,à,81
la,le,71
vue,vue,22
des,de,81
des,le,71
combats,combat,21
de,de,81
la,le,71
puissance,puissance,22
;,;,p
et,et,82
le,le,71
sang,sang,21
des,de,81
des,le,71
grands,grand,21
",",",",p
qui,qui,52
arrosait,arroser,18
ses,son,73
rues,rue,22
et,et,82
semblait,sembler,18
alors,alors,60
le,le,71
seul,seul,30
digne,digne,30
d',de,81
être,être,14
répandu,répandre,12
",",",",p
lui,lui,51
faisait,faire,18
bénir,bénir,14
son,son,73
obscurité,obscurité,22
/.,/.,P
déjà,déjà,60
quelques,quelque,75
scènes,scène,22
tumultueuses,tumultueux,30
",",",",p
quelques,quelque,75
assassinats,assassinat,21
éclatants,éclatant,30
",",",",p
avaient,avoir,18
fait,faire,12
sentir,sentir,14
l',le,71
affaiblissement,affaiblissement,21
du,de,81
du,le,71
monarque,monarque,21
",",",",p
l',le,71
absence,absence,22
et,et,82
la,le,71
fin,fin,22
prochaine,prochain,30
du,de,81
du,le,71
ministre,ministre,21
",",",",p
et,et,82
",",",",p
comme,comme,83
une,un,71
sorte,sorte,22
de,de,81
prologue,prologue,21
à,à,81
la,le,71
sanglante,sanglant,30
comédie,comédie,22
de,de,81
la,le,71
fronde,fronde,22
",",",",p
venaient,venir,18
aiguiser,aiguiser,14
la,le,71
malice,malice,22
et,et,82
même,même,60
allumer,allumer,14
les,le,71
passions,passion,22
des,de,81
des,le,71
Parisiens,Parisien,20
/.,/.,P
ce,ce,74
désordre,désordre,21
ne,ne,60
leur,leur,52
déplaisait,déplaire,18
pas,pas,60
;,;,p
indifférents,indifférent,30
aux,à,81
aux,le,71
causes,cause,22
des,de,81
des,le,71
querelles,querelle,22
",",",",p
fort,fort,60
abstraites,abstrait,31
pour,pour,81
eux,ils,51
",",",",p
ils,ils,51
ne,ne,60
l',le,52
étaient,être,18
point,point,60
aux,à,81
aux,le,71
individus,individu,21
",",",",p
et,et,82
commençaient,commencer,18
déjà,déjà,60
à,à,81
prendre,prendre,14
les,le,71
chefs,chef,21
de,de,81
parti,parti,21
en,en,81
affection,affection,22
ou,ou,82
en,en,81
haine,haine,22
",",",",p
non,non,60
à,à,81
cause,cause,22
de,de,81
l',le,71
intérêt,intérêt,21
qu',que,52
ils,ils,51
leur,leur,52
supposaient,supposer,18
pour,pour,81
le,le,71
bien-être,bien-être,21
de,de,81
leur,leur,73
classe,classe,22
",",",",p
mais,mais,82
tout,tout,60
simplement,simplement,60
parce qu',parce que,83
ils,ils,51
plaisaient,plaire,18
ou,ou,82
déplaisaient,déplaire,18
comme,comme,83
des,de,81
des,le,71
acteurs,acteur,21
/.,/.,P
une,un,71
nuit,nuit,22
surtout,surtout,60
",",",",p
des,de,81
des,le,71
coups,coup,21
de,de,81
pistolet,pistolet,21
et,et,82
de,de,81
fusil,fusil,21
avaient,avoir,18
été,être,12
entendus,entendre,12
fréquemment,fréquemment,60
dans,dans,81
la,le,71
Cité,Cité,20
;,;,p
les,le,71
patrouilles,patrouille,22
nombreuses,nombreux,30
des,de,81
des,le,71
Suisses,Suisse,20
et,et,82
des,de,81
des,le,71
gardes,garde,21
du,de,81
du,le,71
corps,corps,21
venaient,venir,18
même,même,60
d',de,81
être,être,14
attaquées,attaquer,12
et,et,82
de,de,81
rencontrer,rencontrer,14
quelques,quelque,75
barricades,barricade,22
dans,dans,81
les,le,71
rues,rue,22
tortueuses,tortueux,30
de,de,81
l',le,71
île,île,22
Notre-Dame,Notre Dame,20
;,;,p
des,de,81
des,le,71
charrettes,charrette,22
enchaînées,enchaîné,31
aux,à,81
aux,le,71
bornes,borne,22
",",",",p
et,et,82
couvertes,couvert,31
de,de,81
tonneaux,tonneau,21
",",",",p
avaient,avoir,18
empêché,empêcher,12
les,le,71
cavaliers,cavalier,21
d',de,81
y,y,52
pénétrer,pénétrer,14
",",",",p
et,et,82
quelques,quelque,75
coups,coup,21
de,de,81
mousquet,mousquet,21
avaient,avoir,18
blessé,blesser,12
des,de,81
des,le,71
chevaux,cheval,21
et,et,82
des,de,81
des,le,71
hommes,homme,21
/.,/.,P
cependant,cependant,82
la,le,71
ville,ville,22
dormait,dormir,18
encore,encore,60
",",",",p
excepté,excepté,81
le,le,71
quartier,quartier,21
qui,qui,52
environnait,environner,18
le,le,71
Louvre,Louvre,20
",",",",p
habité,habité,31
dans,dans,81
ce,ce,74
moment,moment,21
par,par,81
la,le,71
reine,reine,22
et,et,82
monsieur,monsieur,21
",",",",p
duc,duc,21
d',de,81
Orléans,Orléans,20
/.,/.,P
là,là,60
",",",",p
tout,tout,52
annonçait,annoncer,18
une,un,71
expédition,expédition,22
nocturne,nocturne,30
d',de,81
une,un,71
nature,nature,22
très,très,60
grave,grave,30
/.,/.,P
il,il,51
était,être,18
deux,deux,72
heures,heure,22
du,de,81
du,le,71
matin,matin,21
;,;,p
il,il,51
gelait,geler,18
",",",",p
et,et,82
l',le,71
ombre,ombre,22
était,être,18
épaisse,épais,30
",",",",p
lorsqu',lorsque,83
un,un,71
nombreux,nombreux,30
rassemblement,rassemblement,21
s',se,51
arrêta,arrêter,19
sur,sur,81
le,le,71
quai,quai,21
",",",",p
à,à,81
peine,peine,22
pavé,pavé,31
alors,alors,60
",",",",p
et,et,82
occupa,occuper,19
lentement,lentement,60
et,et,82
pur,pur,30
degrés,degré,21
le,le,71
terrain,terrain,21
sablé,sablé,31
qui,qui,52
descendait,descendre,18
en,en,81
pente,pente,22
jusqu',jusque,81
à,à,81
la,le,71
Seine,Seine,20
/.,/.,P
deux,deux,72
cents,cent,72
hommes,homme,21
",",",",p
à,à,81
peu,peu,60
près,près,81
",",",",p
semblaient,sembler,18
composer,composer,14
cet,ce,74
attroupement,attroupement,21
;,;,p
ils,ils,51
étaient,être,18
enveloppés,envelopper,12
de,de,81
grands,grand,30
manteaux,manteau,21
",",",",p
relevés,relevé,31
par,par,81
le,le,71
fourreau,fourreau,21
des,de,81
des,le,71
longues,long,30
épées,épée,22
à,à,81
l',le,71
espagnole,espagnol,30
qu',que,52
ils,ils,51
portaient,porter,18
/.,/.,P
se,se,51
promenant,promener,13
sans,sans,81
ordre,ordre,21
",",",",p
en,en,81
long,long,21
et,et,82
en,en,81
large,large,21
",",",",p
ils,ils,51
semblaient,sembler,18
attendre,attendre,14
les,le,71
événements,événement,21
plutôt,plutôt,60
que,que,83
les,le,52
chercher,chercher,14
/.,/.,P
beaucoup,beaucoup,60
d',de,81
entre,entre,81
eux,ils,51
s',se,51
assirent,asseoir,19
",",",",p
les,le,71
bras,bras,21
croisés,croisé,31
",",",",p
sur,sur,81
les,le,71
pierres,pierre,22
éparses,épars,30
du,de,81
du,le,71
parapet,parapet,21
commencé,commencé,31
;,;,p
ils,ils,51
observaient,observer,18
le,le,71
plus,plus,60
grand,grand,30
silence,silence,21
/.,/.,P
après,après,81
quelques,quelque,75
minutes,minute,22
cependant,cependant,82
",",",",p
un,un,71
homme,homme,21
",",",",p
qui,qui,52
paraissait,paraître,18
sortir,sortir,14
d',de,81
une,un,71
porte,porte,22
voûtée,voûté,31
du,de,81
du,le,71
Louvre,Louvre,20
",",",",p
s',se,51
approcha,approcher,19
lentement,lentement,60
avec,avec,81
une,un,71
lanterne,lanterne,22
sourde,sourd,30
",",",",p
dont,dont,52
il,il,51
portait,porter,18
les,le,71
rayons,rayon,21
au,à,81
au,le,71
visage,visage,21
de,de,81
chaque,chaque,75
individu,individu,21
",",",",p
et,et,82
qu',que,52
il,il,51
souffla,souffler,19
",",",",p
ayant,avoir,13
démêlé,démêler,12
celui,celui,52
qu',que,52
il,il,51
cherchait,chercher,18
entre,entre,81
tous,tout,52
:,:,p
il,il,51
lui,lui,51
parla,parler,19
de,de,81
cette,ce,74
façon,façon,22
",",",",p
à,à,81
demi-voix,demi-voix,22
",",",",p
en,en,81
lui,lui,51
serrant,serrer,13
la,le,71
main,main,22
:,:,p
-,-,p
eh,eh,93
bien,bien,60
",",",",p
Olivier,Olivier,20
",",",",p
que,que,52
vous,vous,51
a,avoir,17
dit,dire,12
monsieur,monsieur,21
Le Grand,Le grand,20
/?,/?,P
cela,cela,52
va,aller,17
t,t,94
il,il,51
bien,bien,60
/?,/?,P
oui,oui,60
",",",",p
oui,oui,60
",",",",p
je,je,51
l',le,52
ai,avoir,17
vu,voir,12
hier,hier,60
à,à,81
Saint-Germain,Saint-Germain,20
;,;,p
le,le,71
vieux,vieux,30
chat,chat,21
est,être,17
bien,bien,60
malade,malade,30
à,à,81
Narbonne,Narbonne,20
",",",",p
il,il,51
va,aller,17
s',se,51
en,en,52
aller,aller,14
ad patres,ad patres,60
;,;,p
mais,mais,82
il,il,51
faut,falloir,17
mener,mener,14
nos,notre,73
affaires,affaire,22
rondement,rondement,60
",",",",p
car,car,82
ce,ce,52
n',ne,60
est,être,17
pas,pas,60
la,le,71
première,premier,72
fois,fois,22
qu',que,83
il,il,51
fait,faire,17
l',le,71
engourdi,engourdi,31
/.,/.,P
avez,avoir,17
vous,vous,51
vu,voir,12
du,de,81
du,le,71
monde,monde,21
pour,pour,81
ce,ce,74
soir,soir,21
",",",",p
mon,mon,73
cher,cher,30
Fontrailles,Fontrailles,20
/?,/?,P
soyez,être,17
tranquille,tranquille,30
",",",",p
Montrésor,Montrésor,20
va,aller,17
venir,venir,14
avec,avec,81
une,un,71
centaine,centaine,22
de,de,81
gentilshommes,gentilhomme,21
de,de,81
monsieur,monsieur,21
;,;,p
vous,vous,51
le,le,52
reconnaîtrez,reconnaître,15
;,;,p
il,il,51
sera,être,15
déguisé,déguiser,12
en,en,81
maître,maître,30
maçon,maçon,21
",",",",p
une,un,71
règle,règle,22
à,à,81
la,le,71
main,main,22
/.,/.,P
mais,mais,82
n',ne,60
oubliez,oublier,17
pas,pas,60
surtout,surtout,60
les,le,71
mots,mot,21
d',de,81
ordre,ordre,21
;,;,p
les,le,52
savez,savoir,17
vous,vous,51
bien,bien,60
tous,tout,52
",",",",p
vous,vous,51
et,et,82
vos,votre,73
amis,ami,21
/?,/?,P
oui,oui,60
",",",",p
tous,tout,52
",",",",p
excepté,excepté,81
l',le,71
abbé,abbé,21
de,de,81
Gondi,Gondi,20
",",",",p
qui,qui,52
n',ne,60
est,être,17
pas,pas,60
arrivé,arriver,12
encore,encore,60
;,;,p
mais,mais,82
",",",",p
dieu,dieu,21
me,je,51
pardonne,pardonner,17
",",",",p
je,je,51
crois,croire,17
que,que,83
le,le,52
voilà,voilà,81
lui-même,lui-même,51
/.,/.,P
qui,qui,52
diable,diable,21
l',le,52
aurait,avoir,16
reconnu,reconnaître,12
/?,/?,P
en,en,81
effet,effet,21
",",",",p
un,un,71
petit,petit,30
homme,homme,21
sans,sans,81
soutane,soutane,22
",",",",p
habillé,habillé,31
en,en,81
soldat,soldat,21
des,de,81
des,le,71
gardes,garde,22
françaises,français,30
",",",",p
et,et,82
portant,porter,13
de,de,81
très,très,60
noires,noir,30
et,et,82
fausses,faux,30
moustaches,moustache,22
",",",",p
se,se,51
glissa,glisser,19
entre,entre,81
eux,ils,51
/.,/.,P
il,il,51
sautait,sauter,18
d',de,81
un,un,71
pied,pied,21
sur,sur,81
l',le,71
autre,autre,52
avec,avec,81
un,un,71
air,air,21
de,de,81
joie,joie,22
",",",",p
et,et,82
se,se,51
frottait,frotter,18
les,le,71
mains,main,22
/.,/.,P
-,-,p
vive,vivre,17
dieu,dieu,21
!,!,p
tout,tout,52
va,aller,17
bien,bien,60
;,;,p
mon,mon,73
ami,ami,21
Fiesque,Fiesque,20
ne,ne,60
faisait,faire,18
pas,pas,60
mieux,mieux,60
/.,/.,P
et,et,82
se,se,51
levant,lever,13
sur,sur,81
la,le,71
pointe,pointe,22
des,de,81
des,le,71
pieds,pied,21
pour,pour,81
frapper,frapper,14
sur,sur,81
l',le,71
épaule,épaule,22
d',de,81
Olivier,Olivier,20
:,:,p
-,-,p
savez,savoir,17
vous,vous,51
que,que,83
",",",",p
pour,pour,81
un,un,71
homme,homme,21
qui,qui,52
sort,sortir,17
presque,presque,60
des,de,81
des,le,71
pages,page,21
",",",",p
vous,vous,51
ne,ne,60
vous,vous,51
conduisez,conduire,17
pas,pas,60
mal,mal,60
",",",",p
sire,sire,21
Olivier,Olivier,20
d',de,81
Entraigues,Entraigues,20
?,?,p
vous,vous,51
serez,être,15
dans,dans,81
nos,notre,73
hommes,homme,21
illustres,illustre,30
",",",",p
si,si,83
nous,nous,51
trouvons,trouver,17
un,un,71
Plutarque,Plutarque,20
/.,/.,P
tout,tout,52
est,être,17
bien,bien,60
organisé,organiser,12
",",",",p
vous,vous,51
arrivez,arriver,17
à,à,81
point,point,21
;,;,p
ni,ni,82
plus,plus,60
tôt,tôt,60
",",",",p
ni,ni,82
plus,plus,60
tard,tard,60
",",",",p
comme,comme,83
un,un,71
vrai,vrai,30
chef,chef,21
de,de,81
parti,parti,21
/.,/.,P
Fontrailles,Fontrailles,20
",",",",p
ce,ce,74
jeune,jeune,30
homme,homme,21
ira,aller,15
loin,loin,60
",",",",p
je,je,51
vous,vous,51
le,le,52
prédis,prédire,17
/.,/.,P
mais,mais,82
dépêchons,dépêcher,17
nous,nous,51
;,;,p
il,il,51
nous,nous,51
viendra,venir,15
dans,dans,81
deux,deux,72
heures,heure,22
des,de,81
des,le,71
paroissiens,paroissien,21
de,de,81
mon,mon,73
oncle,oncle,21
l',le,71
archevêque,archevêque,21
de,de,81
Paris,Paris,20
;,;,p
je,je,51
les,le,52
ai,avoir,17
bien,bien,60
échauffés,échauffer,12
",",",",p
et,et,82
ils,ils,51
crieront,crier,15
:,:,p
vive,vivre,17
monsieur,monsieur,21
!,!,p
vive,vivre,17
la,le,71
Régence,Régence,20
!,!,p
et,et,82
plus,plus,60
de,de,81
cardinal,cardinal,21
!,!,p
comme,comme,83
des,de,81
des,le,71
enragés,enragé,21
/.,/.,P
ce,ce,52
sont,être,17
de,de,81
bonnes,bon,30
dévotes,dévote,22
",",",",p
tout,tout,60
à,à,81
moi,moi,51
",",",",p
qui,qui,52
leur,leur,52
ont,avoir,17
monté,monter,12
la,le,71
tête,tête,22
/.,/.,P
le,le,71
roi,roi,21
est,être,17
fort,fort,60
mal,mal,60
/.,/.,P
oh,oh,93
!,!,p
tout,tout,52
va,aller,17
bien,bien,60
",",",",p
très,très,60
bien,bien,60
/.,/.,P
je,je,51
viens,venir,17
de,de,81
Saint-Germain,Saint-Germain,20
;,;,p
j',je,51
ai,avoir,17
vu,voir,12
l',le,71
ami,ami,21
Cinq-Mars,Cinq-Mars,20
;,;,p
il,il,51
est,être,17
bon,bon,30
",",",",p
très,très,60
bon,bon,30
",",",",p
toujours,toujours,60
ferme,ferme,30
comme,comme,83
un,un,71
roc,roc,21
/.,/.,P
ah,ah,93
!,!,p
voilà,voilà,81
ce,ce,52
que,que,52
j',je,51
appelle,appeler,17
un,un,71
homme,homme,21
/!,/!,P
comme,comme,83
il,il,51
les,le,52
a,avoir,17
joués,jouer,12
avec,avec,81
son,son,73
air,air,21
mélancolique,mélancolique,30
et,et,82
insouciant,insouciant,30
/!,/!,P
il,il,51
est,être,17
le,le,71
maître,maître,21
de,de,81
la,le,71
cour,cour,22
à,à,81
présent,présent,21
/.,/.,P
c',ce,52
est,être,17
fini,finir,12
",",",",p
le,le,71
roi,roi,21
va,aller,17
",",",",p
dit,dire,17
on,on,51
",",",",p
le,le,52
faire,faire,14
duc,duc,21
et,et,82
pair,pair,21
;,;,p
il,il,51
en,en,52
est,être,17
fortement,fortement,60
question,question,22
;,;,p
mais,mais,82
il,il,51
hésite,hésiter,17
encore,encore,60
:,:,p
il,il,51
faut,falloir,17
décider,décider,14
cela,cela,52
par,par,81
notre,notre,73
mouvement,mouvement,21
de,de,81
ce,ce,74
soir,soir,21
:,:,p
le,le,71
voeu,voeu,21
du,de,81
du,le,71
peuple,peuple,21
!,!,p
il,il,51
faut,falloir,17
faire,faire,14
le,le,71
voeu,voeu,21
du,de,81
du,le,71
peuple,peuple,21
absolument,absolument,60
;,;,p
nous,nous,51
allons,aller,17
le,le,52
faire,faire,14
entendre,entendre,14
/.,/.,P
ce,ce,52
sera,être,15
la,le,71
mort,mort,22
de,de,81
Richelieu,Richelieu,20
",",",",p
savez,savoir,17
vous,vous,51
/?,/?,P
surtout,surtout,60
c',ce,52
est,être,17
la,le,71
haine,haine,22
pour,pour,81
lui,lui,51
qui,qui,52
doit,devoir,17
dominer,dominer,14
dans,dans,81
les,le,71
cris,cri,21
",",",",p
car,car,82
c',ce,52
est,être,17
là,là,60
l',le,71
essentiel,essentiel,21
/.,/.,P
cela,cela,52
décidera,décider,15
enfin,enfin,60
notre,notre,73
Gaston,Gaston,20
",",",",p
qui,qui,52
flotte,flotter,17
toujours,toujours,60
",",",",p
n',ne,60
est,être,17
ce,ce,52
pas,pas,60
/?,/?,P
eh,eh,93
!,!,p
que,que,52
peut,pouvoir,17
il,il,51
faire,faire,14
autre,autre,75
chose,chose,22
?,?,p
dit,dire,19
Fontrailles,Fontrailles,20
;,;,p
s',si,83
il,il,51
prenait,prendre,18
une,un,71
résolution,résolution,22
aujourd'hui,aujourd'hui,60
en,en,81
notre,notre,73
faveur,faveur,22
",",",",p
ce,ce,52
serait,être,16
bien,bien,60
fâcheux,fâcheux,30
/.,/.,P
-,-,p
et,et,82
pourquoi,pourquoi,60
/?,/?,P
parce que,parce que,83
nous,nous,51
serions,être,16
bien,bien,60
sûrs,sûr,30
que,que,83
demain,demain,60
",",",",p
au,à,81
au,le,71
jour,jour,21
",",",",p
il,il,51
serait,être,16
contre,contre,81
/.,/.,P
-,-,p
n',ne,60
importe,importer,17
",",",",p
reprit,reprendre,19
l',le,71
abbé,abbé,21
",",",",p
la,le,71
reine,reine,22
a,avoir,17
de,de,81
la,le,71
tête,tête,22
/.,/.,P
-,-,p
et,et,82
du,de,81
du,le,71
coeur,coeur,21
aussi,aussi,60
",",",",p
dit,dire,19
Olivier,Olivier,20
;,;,p
cela,cela,52
me,je,51
donne,donner,17
de,de,81
l',le,71
espoir,espoir,21
pour,pour,81
Cinq-Mars,Cinq-Mars,20
",",",",p
qui,qui,52
me,je,51
semble,sembler,17
avoir,avoir,14
osé,oser,12
faire,faire,14
le,le,71
boudeur,boudeur,30
quelquefois,quelquefois,60
en,en,81
la,le,52
regardant,regarder,13
/.,/.,P
-,-,p
enfant,enfant,21
que,que,52
vous,vous,51
êtes,être,17
!,!,p
que,que,52
vous,vous,51
connaissez,connaître,17
encore,encore,60
mal,mal,60
la,le,71
cour,cour,22
/!,/!,P
rien,rien,52
ne,ne,60
peut,pouvoir,17
le,le,52
soutenir,soutenir,14
que,que,83
la,le,71
main,main,22
du,de,81
du,le,71
roi,roi,21
",",",",p
qui,qui,52
l',le,52
aime,aimer,17
comme,comme,83
son,son,73
fils,fils,21
;,;,p
et,et,82
",",",",p
pour,pour,81
la,le,71
reine,reine,22
",",",",p
si,si,83
son,son,73
coeur,coeur,21
bat,battre,17
",",",",p
c',ce,52
est,être,17
de,de,81
souvenir,souvenir,21
et,et,82
non,non,60
d',de,81
avenir,avenir,21
/.,/.,P
mais,mais,82
il,il,51
ne,ne,60
s',se,51
agit,agir,17
pas,pas,60
de,de,81
ces,ce,74
fadaises,fadaise,22
là,là,60
;,;,p
dites,dire,17
moi,moi,51
",",",",p
moucher,moucher,14
",",",",p
êtes,être,17
vous,vous,51
bien,bien,60
sûr,sûr,30
de,de,81
votre,votre,73
jeune,jeune,30
avocat,avocat,21
que,que,52
je,je,51
vois,voir,17
rôder,rôder,14
là,là,60
?,?,p
pense,penser,17
t,t,94
il,il,51
bien,bien,60
/?,/?,P
parfaitement,parfaitement,60
;,;,p
c',ce,52
est,être,17
un,un,71
excellent,excellent,30
royaliste,royaliste,21
;,;,p
il,il,51
jetterait,jeter,16
le,le,71
cardinal,cardinal,21
à,à,81
la,le,71
rivière,rivière,22
tout,tout,60
à,à,81
l',le,71
heure,heure,22
:,:,p
d',de,81
ailleurs,ailleurs,60
c',ce,52
est,être,17
Fournier,Fournier,20
",",",",p
de,de,81
Loudun,Loudun,20
",",",",p
c',ce,52
est,être,17
tout,tout,52
dire,dire,14
/.,/.,P
-,-,p
bien,bien,60
",",",",p
bien,bien,60
;,;,p
voilà,voilà,81
comme,comme,83
nous,nous,51
les,le,52
aimons,aimer,17
/.,/.,P
mais,mais,82
garde,garder,17
à,à,81
