11443
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Quarante-cinquième extrait>,<>,<>
frappée,frapper,12
de,de,81
ses,son,73
questions,question,22
étranges,étrange,30
et,et,82
maladroites,maladroit,30
/.,/.,P
il,il,51
s',se,51
égarait,égarer,18
dans,dans,81
ses,son,73
paroles,parole,22
pour,pour,81
la,le,71
moindre,moindre,30
affaire,affaire,22
;,;,p
il,il,51
semblait,sembler,18
qu',que,83
il,il,51
fût,être,19
sous,sous,81
le,le,71
poids,poids,21
d',de,81
un,un,71
remords,remords,21
qu',que,52
il,il,51
trahissait,trahir,18
en,en,81
s',se,51
efforçant,efforcer,13
de,de,81
le,le,52
cacher,cacher,14
/.,/.,P
d',de,81
autres,autre,75
fois,fois,22
",",",",p
c',ce,52
était,être,18
dans,dans,81
le,le,71
trouble,trouble,21
de,de,81
Raymon,Raymon,20
lui-même,lui-même,51
qu',que,83
Indiana,Indiana,20
avait,avoir,18
trouvé,trouver,12
ces,ce,74
indices,indice,21
qu',que,52
elle,il,51
ne,ne,60
cherchait,chercher,18
pas,pas,60
et,et,82
qui,qui,52
la,le,52
poursuivaient,poursuivre,18
/.,/.,P
une,un,71
circonstance,circonstance,22
particulière,particulier,30
l',le,52
eût,avoir,19
éclairée,éclairer,12
davantage,davantage,60
si,si,83
elle,il,51
n',ne,60
eût,avoir,19
fermé,fermer,12
son,son,73
âme,âme,22
à,à,81
toute,tout,75
méfiance,méfiance,22
/.,/.,P
on,on,51
avait,avoir,18
trouvé,trouver,12
au,à,81
au,le,71
doigt,doigt,21
de,de,81
Noun,Noun,20
une,un,71
bague,bague,22
fort,fort,60
riche,riche,30
que,que,52
madame,madame,22
Delmare,Delmare,20
lui,lui,51
avait,avoir,18
vu,voir,12
porter,porter,14
quelque,quelque,75
temps,temps,21
avant,avant,81
sa,son,73
mort,mort,22
",",",",p
et,et,82
que,que,52
la,le,71
jeune,jeune,30
fille,fille,22
prétendait,prétendre,18
avoir,avoir,14
trouvée,trouver,12
/.,/.,P
depuis,depuis,81
",",",",p
madame,madame,22
Delmare,Delmare,20
ne,ne,60
quitta,quitter,19
plus,plus,60
ce,ce,74
gage,gage,21
de,de,81
douleur,douleur,22
",",",",p
et,et,82
souvent,souvent,60
elle,il,51
avait,avoir,18
vu,voir,12
pâlir,pâlir,14
Raymon,Raymon,20
au,à,81
au,le,71
moment,moment,21
où,où,60
il,il,51
saisissait,saisir,18
sa,son,73
main,main,22
pour,pour,81
la,le,52
porter,porter,14
à,à,81
ses,son,73
lèvres,lèvre,22
/.,/.,P
une,un,71
fois,fois,22
il,il,51
l',le,52
avait,avoir,18
suppliée,supplier,12
de,de,81
ne,ne,60
lui,lui,51
jamais,jamais,60
parler,parler,14
de,de,81
Noun,Noun,20
",",",",p
parce qu',parce que,83
il,il,51
se,se,51
regardait,regarder,18
comme,comme,83
coupable,coupable,21
de,de,81
sa,son,73
mort,mort,22
;,;,p
et,et,82
",",",",p
comme,comme,83
elle,il,51
cherchait,chercher,18
à,à,81
lui,lui,51
ôter,ôter,14
cette,ce,74
idée,idée,22
douloureuse,douloureux,30
en,en,81
prenant,prendre,13
tout,tout,75
le,le,71
tort,tort,21
sur,sur,81
elle,il,51
",",",",p
il,il,51
lui,lui,51
avait,avoir,18
répondu,répondre,12
:,:,p
-,-,p
non,non,60
",",",",p
pauvre,pauvre,30
Indiana,Indiana,20
",",",",p
ne,ne,60
vous,vous,51
accusez,accuser,17
pas,pas,60
;,;,p
vous,vous,51
ne,ne,60
savez,savoir,17
pas,pas,60
à,à,81
quel,quel,75
point,point,21
je,je,51
suis,être,17
coupable,coupable,30
/.,/.,P
cette,ce,74
parole,parole,22
",",",",p
dite,dit,31
d',de,81
un,un,71
ton,ton,21
amer,amer,30
et,et,82
sombre,sombre,30
",",",",p
avait,avoir,18
effrayé,effrayer,12
madame,madame,22
Delmare,Delmare,20
/.,/.,P
elle,il,51
n',ne,60
avait,avoir,18
pas,pas,60
osé,oser,12
insister,insister,14
",",",",p
et,et,82
",",",",p
maintenant,maintenant,60
qu',que,83
elle,il,51
commençait,commencer,18
à,à,81
s',se,51
expliquer,expliquer,14
tous,tout,75
ces,ce,74
lambeaux,lambeau,21
de,de,81
découvertes,découverte,22
",",",",p
elle,il,51
n',ne,60
avait,avoir,18
pas,pas,60
encore,encore,60
le,le,71
courage,courage,21
de,de,81
s',se,51
y,y,52
attacher,attacher,14
et,et,82
de,de,81
les,le,52
réunir,réunir,14
/.,/.,P
elle,il,51
ouvrit,ouvrir,19
sa,son,73
fenêtre,fenêtre,22
",",",",p
et,et,82
",",",",p
voyant,voir,13
la,le,71
nuit,nuit,22
si,si,60
calme,calme,30
",",",",p
la,le,71
lune,lune,22
si,si,60
pâle,pâle,30
et,et,82
si,si,60
belle,beau,30
derrière,derrière,81
les,le,71
vapeurs,vapeur,22
argentées,argenté,31
de,de,81
l',le,71
horizon,horizon,21
",",",",p
se,se,51
rappelant,rappeler,13
que,que,83
Raymon,Raymon,20
allait,aller,18
venir,venir,14
",",",",p
qu',que,83
il,il,51
était,être,18
peut-être,peut-être,60
dans,dans,81
le,le,71
parc,parc,21
",",",",p
en,en,81
songeant,songer,13
à,à,81
tout,tout,75
le,le,71
bonheur,bonheur,21
qu',que,52
elle,il,51
s',se,51
était,être,18
promis,promettre,12
pour,pour,81
cette,ce,74
heure,heure,22
d',de,81
amour,amour,21
et,et,82
de,de,81
mystère,mystère,21
",",",",p
elle,il,51
maudit,maudire,19
Ralph,Ralph,20
",",",",p
qui,qui,52
d',de,81
un,un,71
mot,mot,21
venait,venir,18
d',de,81
empoisonner,empoisonner,14
son,son,73
espoir,espoir,21
et,et,82
de,de,81
détruire,détruire,14
à,à,81
jamais,jamais,60
son,son,73
repos,repos,21
/.,/.,P
elle,il,51
se,se,51
sentit,sentir,19
même,même,60
de,de,81
la,le,71
haine,haine,22
pour,pour,81
lui,lui,51
",",",",p
pour,pour,81
cet,ce,74
homme,homme,21
malheureux,malheureux,30
qui,qui,52
lui,lui,51
avait,avoir,18
servi,servir,12
de,de,81
père,père,21
",",",",p
et,et,82
qui,qui,52
venait,venir,18
de,de,81
sacrifier,sacrifier,14
son,son,73
avenir,avenir,21
pour,pour,81
elle,il,51
;,;,p
car,car,82
son,son,73
avenir,avenir,21
",",",",p
c',ce,52
était,être,18
l',le,71
amitié,amitié,22
d',de,81
Indiana,Indiana,20
",",",",p
c',ce,52
était,être,18
son,son,73
seul,seul,30
bien,bien,21
",",",",p
et,et,82
il,il,51
se,se,51
résignait,résigner,18
à,à,81
le,le,52
perdre,perdre,14
pour,pour,81
la,le,52
sauver,sauver,14
/.,/.,P
Indiana,Indiana,20
ne,ne,60
pouvait,pouvoir,18
pas,pas,60
lire,lire,14
au,à,81
au,le,71
fond,fond,21
de,de,81
son,son,73
coeur,coeur,21
",",",",p
elle,il,51
n',ne,60
avait,avoir,18
pu,pouvoir,12
pénétrer,pénétrer,14
celui,celui,52
de,de,81
Raymon,Raymon,20
/.,/.,P
elle,il,51
était,être,18
injuste,injuste,30
",",",",p
non,non,60
point,point,60
par,par,81
ingratitude,ingratitude,22
",",",",p
mais,mais,82
par,par,81
ignorance,ignorance,22
/.,/.,P
ce,ce,52
n',ne,60
était,être,18
pas,pas,60
sous,sous,81
l',le,71
influence,influence,22
d',de,81
une,un,71
passion,passion,22
forte,fort,30
qu',que,83
elle,il,51
pouvait,pouvoir,18
ressentir,ressentir,14
faiblement,faiblement,60
l',le,71
atteinte,atteinte,22
qu',que,52
on,on,51
venait,venir,18
de,de,81
lui,lui,51
porter,porter,14
/.,/.,P
un,un,71
instant,instant,21
elle,il,51
rejeta,rejeter,19
tout,tout,75
le,le,71
crime,crime,21
sur,sur,81
Ralph,Ralph,20
",",",",p
aimant,aimer,13
mieux,mieux,60
l',le,52
accuser,accuser,14
que,que,83
de,de,81
soupçonner,soupçonner,14
Raymon,Raymon,20
/.,/.,P
et,et,82
puis,puis,60
elle,il,51
avait,avoir,18
peu,peu,60
de,de,81
temps,temps,21
pour,pour,81
se,se,51
reconnaître,reconnaître,14
",",",",p
pour,pour,81
prendre,prendre,14
un,un,71
parti,parti,21
:,:,p
Raymon,Raymon,20
allait,aller,18
venir,venir,14
/.,/.,P
peut-être,peut-être,60
même,même,60
était,être,18
ce,ce,52
lui,lui,51
qu',que,52
elle,il,51
voyait,voir,18
errer,errer,14
depuis,depuis,81
quelques,quelque,75
instants,instant,21
autour,autour,60
du,de,81
du,le,71
petit,petit,30
pont,pont,21
/.,/.,P
quelle,quel,75
aversion,aversion,22
Ralph,Ralph,20
ne,ne,60
lui,lui,51
eût,avoir,19
il,il,51
pas,pas,60
inspirée,inspirer,12
en,en,81
cet,ce,74
instant,instant,21
si,si,83
elle,il,51
l',le,52
eût,avoir,19
deviné,deviner,12
sous,sous,81
cette,ce,74
forme,forme,22
vague,vague,30
qui,qui,52
se,se,51
perdait,perdre,18
à,à,81
chaque,chaque,75
moment,moment,21
dans,dans,81
le,le,71
brouillard,brouillard,21
",",",",p
et,et,82
qui,qui,52
",",",",p
placée,placé,31
comme,comme,83
une,un,71
ombre,ombre,22
à,à,81
l',le,71
entrée,entrée,22
des,de,81
des,le,71
Champs-Elysées,Champs Elysées,20
",",",",p
cherchait,chercher,18
à,à,81
en,en,52
défendre,défendre,14
l',le,71
approche,approche,22
au,à,81
au,le,71
coupable,coupable,21
/!,/!,P
tout,tout,60
à,à,81
coup,coup,21
il,il,51
lui,lui,51
vint,venir,19
une,un,52
de,de,81
ces,ce,74
idées,idée,22
bizarres,bizarre,30
",",",",p
incomplètes,incomplet,30
",",",",p
que,que,52
les,le,71
êtres,être,21
inquiets,inquiet,30
et,et,82
malheureux,malheureux,30
sont,être,17
seuls,seul,30
capables,capable,30
de,de,81
rencontrer,rencontrer,14
/.,/.,P
elle,il,51
risqua,risquer,19
tout,tout,75
son,son,73
sort,sort,21
sur,sur,81
une,un,71
épreuve,épreuve,22
délicate,délicat,30
et,et,82
singulière,singulier,30
contre,contre,81
laquelle,lequel,75
Raymon,Raymon,20
ne,ne,60
pouvait,pouvoir,18
être,être,14
en,en,81
garde,garde,22
/.,/.,P
elle,il,51
avait,avoir,18
à,à,81
peine,peine,22
préparé,préparer,12
ce,ce,74
mystérieux,mystérieux,30
moyen,moyen,21
",",",",p
qu',que,83
elle,il,51
entendit,entendre,19
les,le,71
pas,pas,21
de,de,81
Raymon,Raymon,20
dans,dans,81
l',le,71
escalier,escalier,21
dérobé,dérobé,31
/.,/.,P
elle,il,51
courut,courir,19
lui,lui,51
ouvrir,ouvrir,14
",",",",p
et,et,82
revint,revenir,19
s',se,51
asseoir,asseoir,14
",",",",p
si,si,60
émue,ému,31
",",",",p
qu',que,83
elle,il,51
se,se,51
sentait,sentir,18
près,près,81
de,de,81
tomber,tomber,14
;,;,p
mais,mais,82
",",",",p
comme,comme,83
dans,dans,81
toutes,tout,75
les,le,71
crises,crise,22
de,de,81
sa,son,73
vie,vie,22
",",",",p
elle,il,51
conservait,conserver,18
une,un,71
grande,grand,30
netteté,netteté,22
de,de,81
jugement,jugement,21
",",",",p
une,un,71
grande,grand,30
force,force,22
d',de,81
esprit,esprit,21
/.,/.,P
Raymon,Raymon,20
était,être,18
encore,encore,60
pâle,pâle,30
et,et,82
haletant,haletant,30
quand,quand,83
il,il,51
poussa,pousser,19
la,le,71
porte,porte,22
",",",",p
impatient,impatient,30
de,de,81
revoir,revoir,14
la,le,71
lumière,lumière,22
",",",",p
de,de,81
ressaisir,ressaisir,14
la,le,71
réalité,réalité,22
/.,/.,P
Indiana,Indiana,20
lui,lui,51
tournait,tourner,18
le,le,71
dos,dos,21
",",",",p
elle,il,51
était,être,18
enveloppée,envelopper,12
d',de,81
une,un,71
pelisse,pelisse,22
doublée,doublé,31
de,de,81
fourrure,fourrure,22
/.,/.,P
par,par,81
un,un,71
étrange,étrange,30
hasard,hasard,21
",",",",p
c',ce,52
était,être,18
la,le,71
même,même,52
que,que,52
Noun,Noun,20
avait,avoir,18
prise,prendre,12
à,à,81
l',le,71
heure,heure,22
du,de,81
du,le,71
dernier,dernier,30
rendez-vous,rendez-vous,21
pour,pour,81
aller,aller,14
à,à,81
sa,son,73
rencontre,rencontre,22
dans,dans,81
le,le,71
parc,parc,21
/.,/.,P
je,je,51
ne,ne,60
sais,savoir,17
pas,pas,60
si,si,83
vous,vous,51
souvenez,souvenir,17
que,que,83
Raymon,Raymon,20
eut,avoir,19
alors,alors,60
pendant,pendant,81
un,un,71
instant,instant,21
l',le,71
idée,idée,22
invraisemblable,invraisemblable,30
que,que,83
cette,ce,74
femme,femme,22
enveloppée,enveloppé,31
et,et,82
cachée,caché,31
était,être,18
madame,madame,22
Delmare,Delmare,20
/.,/.,P
maintenant,maintenant,60
",",",",p
en,en,81
retrouvant,retrouver,13
la,le,71
même,même,75
apparition,apparition,22
tristement,tristement,60
penchée,penché,31
sur,sur,81
une,un,71
chaise,chaise,22
",",",",p
à,à,81
la,le,71
lueur,lueur,22
d',de,81
une,un,71
lampe,lampe,22
vacillante,vacillant,30
et,et,82
pâle,pâle,30
",",",",p
à,à,81
cette,ce,74
même,même,75
place,place,22
où,où,60
tant,tant,60
de,de,81
souvenirs,souvenir,21
l',le,52
attendaient,attendre,18
",",",",p
dans,dans,81
cette,ce,74
chambre,chambre,22
où,où,60
il,il,51
n',ne,60
était,être,18
pas,pas,60
entré,entrer,12
depuis,depuis,81
la,le,71
plus,plus,60
sinistre,sinistre,30
nuit,nuit,22
de,de,81
sa,son,73
vie,vie,22
",",",",p
et,et,82
toute,tout,60
meublée,meublé,31
de,de,81
ses,son,73
remords,remords,21
",",",",p
il,il,51
recula,reculer,19
involontairement,involontairement,60
et,et,82
resta,rester,19
sur,sur,81
le,le,71
seuil,seuil,21
",",",",p
attachant,attacher,13
son,son,73
regard,regard,21
effrayé,effrayé,31
sur,sur,81
cette,ce,74
figure,figure,22
immobile,immobile,30
",",",",p
et,et,82
tremblant,trembler,13
comme,comme,83
un,un,71
poltron,poltron,21
qu',que,83
en,en,81
se,se,51
retournant,retourner,13
elle,il,51
ne,ne,60
lui,lui,51
offrît,offrir,18
les,le,71
traits,trait,21
livides,livide,30
d',de,81
une,un,71
femme,femme,22
noyée,noyé,31
/.,/.,P
madame,madame,22
Delmare,Delmare,20
ne,ne,60
se,se,51
doutait,douter,18
point,point,60
de,de,81
l',le,71
effet,effet,21
qu',que,52
elle,il,51
produisait,produire,18
sur,sur,81
Raymon,Raymon,20
/.,/.,P
elle,il,51
avait,avoir,18
entouré,entourer,12
sa,son,73
tête,tête,22
d',de,81
un,un,71
foulard,foulard,21
des,de,81
des,le,71
Indes,Inde,20
",",",",p
noué,nouer,12
négligemment,négligemment,60
à,à,81
la,le,71
manière,manière,22
des,de,81
des,le,71
créoles,créole,21
;,;,p
c',ce,52
était,être,18
la,le,71
coiffure,coiffure,22
ordinaire,ordinaire,30
de,de,81
Noun,Noun,20
/.,/.,P
Raymon,Raymon,20
",",",",p
vaincu,vaincu,31
par,par,81
la,le,71
peur,peur,22
",",",",p
faillit,faillir,19
tomber,tomber,14
à,à,81
la,le,71
renverse,renverse,22
",",",",p
en,en,81
croyant,croire,13
voir,voir,14
ses,son,73
idées,idée,22
superstitieuses,superstitieux,30
se,se,51
réaliser,réaliser,14
/.,/.,P
mais,mais,82
",",",",p
en,en,81
reconnaissant,reconnaître,13
la,le,71
femme,femme,22
qu',que,52
il,il,51
venait,venir,18
séduire,séduire,14
",",",",p
il,il,51
oublia,oublier,19
celle,celui,52
qu',que,52
il,il,51
avait,avoir,18
séduite,séduire,12
",",",",p
et,et,82
s',se,51
avança,avancer,19
vers,vers,81
elle,il,51
/.,/.,P
elle,il,51
avait,avoir,18
l',le,71
air,air,21
sérieux,sérieux,30
et,et,82
réfléchi,réfléchi,31
;,;,p
elle,il,51
le,le,52
regardait,regarder,18
fixement,fixement,60
",",",",p
mais,mais,82
avec,avec,81
plus,plus,60
d',de,81
attention,attention,22
que,que,83
de,de,81
tendresse,tendresse,22
",",",",p
et,et,82
ne,ne,60
fit,faire,19
pas,pas,60
un,un,71
mouvement,mouvement,21
pour,pour,81
l',le,52
attirer,attirer,14
plus,plus,60
vite,vite,60
auprès,auprès,60
d',de,81
elle,il,51
/.,/.,P
Raymon,Raymon,20
",",",",p
surpris,surpris,31
de,de,81
cet,ce,74
accueil,accueil,21
",",",",p
l',le,52
attribua,attribuer,19
à,à,81
quelque,quelque,75
chaste,chaste,30
scrupule,scrupule,21
",",",",p
à,à,81
quelque,quelque,75
délicate,délicat,30
retenue,retenue,22
de,de,81
jeune,jeune,30
femme,femme,22
/.,/.,P
il,il,51
se,se,51
mit,mettre,19
à,à,81
ses,son,73
genoux,genou,21
en,en,81
lui,lui,51
disant,dire,13
:,:,p
ma,mon,73
bien-aimée,bien-aimé,30
",",",",p
avez,avoir,17
vous,vous,51
donc,donc,82
peur,peur,22
de,de,81
moi,moi,51
/?,/?,P
mais,mais,82
aussitôt,aussitôt,60
il,il,51
remarqua,remarquer,19
que,que,83
madame,madame,22
Delmare,Delmare,20
tenait,tenir,18
quelque,quelque,75
chose,chose,22
qu',que,52
elle,il,51
avait,avoir,18
l',le,71
air,air,21
d',de,81
étaler,étaler,14
devant,devant,81
lui,lui,51
avec,avec,81
une,un,71
badine,badin,30
affectation,affectation,22
de,de,81
gravité,gravité,22
/.,/.,P
il,il,51
se,se,51
pencha,pencher,19
",",",",p
et,et,82
vit,voir,19
une,un,71
masse,masse,22
de,de,81
cheveux,cheveu,21
noirs,noir,30
irrégulièrement,irrégulièrement,60
longs,long,30
qui,qui,52
semblaient,sembler,18
avoir,avoir,14
été,être,12
coupés,couper,12
à,à,81
la,le,71
hâte,hâte,22
et,et,82
qu',que,52
Indiana,Indiana,20
rassemblait,rassembler,18
et,et,82
lissait,lisser,18
dans,dans,81
ses,son,73
mains,main,22
/.,/.,P
-,-,p
les,le,52
reconnaissez,reconnaître,17
vous,vous,51
?,?,p
lui,lui,51
dit,dire,19
elle,il,51
en,en,81
attachant,attacher,13
sur,sur,81
lui,lui,51
ses,son,73
yeux,oeil,21
transparents,transparent,30
",",",",p
d',de,81
où,où,60
s',se,51
échappait,échapper,18
un,un,71
éclat,éclat,21
pénétrant,pénétrant,30
et,et,82
bizarre,bizarre,30
/.,/.,P
Raymon,Raymon,20
hésita,hésiter,19
",",",",p
reporta,reporter,19
son,son,73
regard,regard,21
sur,sur,81
le,le,71
foulard,foulard,21
dont,dont,52
elle,il,51
était,être,18
coiffée,coiffer,12
",",",",p
et,et,82
crut,croire,19
comprendre,comprendre,14
/.,/.,P
-,-,p
méchante,méchant,30
enfant,enfant,21
!,!,p
lui,lui,51
dit,dire,19
il,il,51
en,en,81
prenant,prendre,13
les,le,71
cheveux,cheveu,21
dans,dans,81
sa,son,73
main,main,22
",",",",p
pourquoi,pourquoi,60
donc,donc,82
les,le,52
avoir,avoir,14
coupés,couper,12
/?,/?,P
ils,ils,51
étaient,être,18
si,si,60
beaux,beau,30
",",",",p
je,je,51
les,le,52
aimais,aimer,18
tant,tant,60
/!,/!,P
vous,vous,51
me,je,51
demandiez,demander,18
hier,hier,60
",",",",p
lui,lui,51
dit,dire,19
elle,il,51
avec,avec,81
une,un,71
espèce,espèce,22
de,de,81
sourire,sourire,21
",",",",p
si,si,83
je,je,51
vous,vous,51
en,en,52
ferais,faire,16
bien,bien,60
le,le,71
sacrifice,sacrifice,21
/.,/.,P
-,-,p
o,oh,93
Indiana,Indiana,20
!,!,p
s',se,51
écria,écrier,19
Raymon,Raymon,20
",",",",p
tu,tu,51
sais,savoir,17
bien,bien,60
que,que,83
tu,tu,51
seras,être,15
plus,plus,60
belle,beau,30
encore,encore,60
désormais,désormais,60
pour,pour,81
moi,moi,51
/.,/.,P
donne,donner,17
les,le,52
moi,moi,51
donc,donc,82
;,;,p
je,je,51
ne,ne,60
veux,vouloir,17
pas,pas,60
les,le,52
regretter,regretter,14
à,à,81
ton,ton,73
front,front,21
",",",",p
ces,ce,74
cheveux,cheveu,21
que,que,52
j',je,51
admirais,admirer,18
chaque,chaque,75
jour,jour,21
",",",",p
et,et,82
que,que,52
maintenant,maintenant,60
je,je,51
pourrai,pouvoir,15
chaque,chaque,75
jour,jour,21
baiser,baiser,14
en,en,81
liberté,liberté,22
;,;,p
donne,donner,17
les,le,52
moi,moi,51
pour,pour,81
qu',que,83
ils,ils,51
ne,ne,60
me,je,51
quittent,quitter,17
jamais,jamais,60
/…,/…,P
mais,mais,82
",",",",p
en,en,81
les,le,52
prenant,prendre,13
",",",",p
en,en,81
rassemblant,rassembler,13
dans,dans,81
sa,son,73
main,main,22
cette,ce,74
riche,riche,30
chevelure,chevelure,22
dont,dont,52
quelques,quelque,75
tresses,tresse,22
tombaient,tomber,18
jusqu',jusque,81
à,à,81
terre,terre,22
",",",",p
Raymon,Raymon,20
crut,croire,19
y,y,52
trouver,trouver,14
quelque,quelque,75
chose,chose,22
de,de,81
sec,sec,30
et,et,82
de,de,81
rude,rude,30
que,que,52
ses,son,73
doigts,doigt,21
n',ne,60
avaient,avoir,18
jamais,jamais,60
remarqué,remarquer,12
sur,sur,81
les,le,71
bandeaux,bandeau,21
du,de,81
du,le,71
front,front,21
d',de,81
Indiana,Indiana,20
/.,/.,P
il,il,51
éprouva,éprouver,19
aussi,aussi,60
je,je,51
ne,ne,60
sais,savoir,17
quel,quel,75
frisson,frisson,21
nerveux,nerveux,30
en,en,81
les,le,52
sentant,sentir,13
froids,froid,30
et,et,82
lourds,lourd,30
comme,comme,83
s',si,83
ils,ils,51
eussent,avoir,18
été,être,12
coupés,couper,12
depuis,depuis,81
longtemps,longtemps,60
",",",",p
en,en,81
s',se,51
apercevant,apercevoir,13
qu',que,83
ils,ils,51
avaient,avoir,18
déjà,déjà,60
perdu,perdre,12
leur,leur,73
moiteur,moiteur,22
parfumée,parfumé,31
et,et,82
leur,leur,73
chaleur,chaleur,22
vitale,vital,30
/.,/.,P
et,et,82
puis,puis,60
",",",",p
il,il,51
les,le,52
regarda,regarder,19
de,de,81
près,près,81
",",",",p
et,et,82
leur,leur,52
chercha,chercher,19
en,en,81
vain,vain,30
ce,ce,74
reflet,reflet,21
bleu,bleu,30
qui,qui,52
les,le,52
faisait,faire,18
ressembler,ressembler,14
à,à,81
l',le,71
aile,aile,22
azurée,azuré,31
du,de,81
du,le,71
corbeau,corbeau,21
:,:,p
ceux-là,celui-là,52
étaient,être,18
d',de,81
un,un,71
noir,noir,21
nègre,nègre,30
",",",",p
d',de,81
une,un,71
nature,nature,22
indienne,indien,30
d',de,81
une,un,71
pesanteur,pesanteur,22
morte,mort,31
/…,/…,P
les,le,71
yeux,oeil,21
clairs,clair,30
et,et,82
perçants,perçant,30
d',de,81
Indiana,Indiana,20
suivaient,suivre,18
toujours,toujours,60
ceux,celui,52
de,de,81
Raymon,Raymon,20
/.,/.,P
il,il,51
les,le,52
porta,porter,19
involontairement,involontairement,60
sur,sur,81
une,un,71
cassette,cassette,22
d',de,81
ébène,ébène,21
entr'ouverte,entr'ouvert,31
",",",",p
d',de,81
où,où,60
quelques,quelque,75
mèches,mèche,22
des,de,81
des,le,71
mêmes,même,75
cheveux,cheveu,21
s',se,51
échappaient,échapper,18
encore,encore,60
/.,/.,P
-,-,p
ce,ce,52
ne,ne,60
sont,être,17
pas,pas,60
les,le,71
vôtres,vôtre,52
!,!,p
dit,dire,19
il,il,51
en,en,81
détachant,détacher,13
le,le,71
mouchoir,mouchoir,21
des,de,81
des,le,71
Indes,Inde,20
qui,qui,52
lui,lui,51
cachait,cacher,18
ceux,celui,52
de,de,81
madame,madame,22
Delmare,Delmare,20
/.,/.,P
ils,ils,51
étaient,être,18
dans,dans,81
leur,leur,73
entier,entier,30
et,et,82
tombaient,tomber,18
sur,sur,81
ses,son,73
épaules,épaule,22
dans,dans,81
tout,tout,75
leur,leur,73
luxe,luxe,21
/.,/.,P
mais,mais,82
elle,il,51
fit,faire,19
un,un,71
mouvement,mouvement,21
pour,pour,81
le,le,52
repousser,repousser,14
",",",",p
et,et,82
",",",",p
lui,lui,51
montrant,montrer,13
toujours,toujours,60
les,le,71
cheveux,cheveu,21
coupés,coupé,31
:,:,p
-,-,p
ne,ne,60
reconnaissez,reconnaître,17
vous,vous,51
donc,donc,82
pas,pas,60
ceux-là,celui-là,52
/?,/?,P
lui,lui,51
dit,dire,19
elle,il,51
/.,/.,P
ne,ne,60
les,le,52
avez,avoir,17
vous,vous,51
jamais,jamais,60
admirés,admirer,12
",",",",p
jamais,jamais,60
caressés,caresser,12
/?,/?,P
une,un,71
nuit,nuit,22
humide,humide,30
leur,leur,52
a,avoir,17
t,t,94
elle,il,51
fait,faire,12
perdre,perdre,14
tous,tout,75
leurs,leur,73
parfums,parfum,21
/?,/?,P
n',ne,60
avez,avoir,17
