11347
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Trentième extrait>,<>,<>
",",",",p
ni,ni,82
personne,personne,52
chez,chez,81
nous,nous,51
n',ne,60
a,avoir,17
eu,avoir,12
connaissance,connaissance,22
du,de,81
du,le,71
secours,secours,21
que,que,52
vous,vous,51
m',je,51
avez,avoir,17
déjà,déjà,60
une,un,71
fois,fois,22
donné,donner,12
/.,/.,P
mais,mais,82
pour,pour,81
cette,ce,74
fois,fois,22
ci,ci,60
",",",",p
ils,ils,51
le,le,52
sauront,savoir,15
",",",",p
et,et,82
vous,vous,51
aurez,avoir,15
une,un,71
récompense,récompense,22
telle,tel,75
que,que,83
vous,vous,51
la,le,52
désirerez,désirer,15
/.,/.,P
-,-,p
ah,ah,93
!,!,p
vous,vous,51
voilà,voilà,81
bien,bien,60
orgueilleux,orgueilleux,30
",",",",p
reprit,reprendre,19
la,le,71
petite,petit,30
Fadette,Fadette,20
",",",",p
parce que,parce que,83
vous,vous,51
vous,vous,51
imaginez,imaginer,17
qu',que,83
avec,avec,81
vos,votre,73
présents,présent,21
vous,vous,51
pouvez,pouvoir,17
être,être,14
quitte,quitte,30
envers,envers,81
moi,moi,51
/.,/.,P
vous,vous,51
croyez,croire,17
que,que,83
je,je,51
suis,être,17
pareille,pareil,30
à,à,81
ma,mon,73
grand'mère,grand-mère,22
",",",",p
qui,qui,52
",",",",p
pourvu,pourvu,81
qu',que,83
on,on,51
lui,lui,51
baille,bailler,17
quelque,quelque,75
argent,argent,21
",",",",p
supporte,supporter,17
les,le,71
malhonnêtetés,malhonnêteté,22
et,et,82
les,le,71
insolences,insolence,22
du,de,81
du,le,71
monde,monde,21
/.,/.,P
eh,eh,93
bien,bien,60
",",",",p
moi,moi,51
",",",",p
je,je,51
n',ne,60
ai,avoir,17
besoin,besoin,21
ni,ni,82
envie,envie,22
de,de,81
vos,votre,73
dons,don,21
",",",",p
et,et,82
je,je,51
méprise,mépriser,17
tout,tout,52
ce,ce,52
qui,qui,52
viendrait,venir,16
de,de,81
vous,vous,51
",",",",p
puisque,puisque,83
vous,vous,51
n',ne,60
avez,avoir,17
pas,pas,60
eu,avoir,12
le,le,71
coeur,coeur,21
de,de,81
trouver,trouver,14
un,un,71
pauvre,pauvre,30
mot,mot,21
de,de,81
remerciement,remerciement,21
et,et,82
d',de,81
amitié,amitié,22
à,à,81
me,je,51
dire,dire,14
depuis,depuis,81
tantôt,tantôt,60
un,un,71
an,an,21
que,que,83
je,je,51
vous,vous,51
ai,avoir,17
guéri,guérir,12
d',de,81
une,un,71
grosse,gros,30
peine,peine,22
/.,/.,P
-,-,p
je,je,51
suis,être,17
fautif,fautif,30
",",",",p
je,je,51
l',le,52
ai,avoir,17
confessé,confesser,12
",",",",p
Fadette,Fadette,20
",",",",p
dit,dire,19
Landry,Landry,20
",",",",p
qui,qui,52
ne,ne,60
pouvait,pouvoir,18
s',se,51
empêcher,empêcher,14
d',de,81
être,être,14
étonné,étonner,12
de,de,81
la,le,71
manière,manière,22
dont,dont,52
il,il,51
l',le,52
entendait,entendre,18
raisonner,raisonner,14
pour,pour,81
la,le,71
première,premier,72
fois,fois,22
/.,/.,P
mais,mais,82
c',ce,52
est,être,17
qu',que,83
aussi,aussi,60
il,il,51
y,y,52
a,avoir,17
un,un,71
peu,peu,60
de,de,81
ta,ton,73
faute,faute,22
/.,/.,P
ce,ce,52
n',ne,60
était,être,18
pas,pas,60
bien,bien,60
sorcier,sorcier,30
de,de,81
me,je,51
faire,faire,14
retrouver,retrouver,14
mon,mon,73
frère,frère,21
",",",",p
puisque,puisque,83
tu,tu,51
venais,venir,18
sans,sans,81
doute,doute,21
de,de,81
le,le,52
voir,voir,14
pendant,pendant,81
que,que,83
je,je,51
m',je,51
expliquais,expliquer,18
avec,avec,81
ta,ton,73
grand'mère,grand-mère,22
;,;,p
et,et,82
si,si,83
tu,tu,51
avais,avoir,18
vraiment,vraiment,60
le,le,71
coeur,coeur,21
bon,bon,30
",",",",p
toi,toi,51
qui,qui,52
me,je,51
reproches,reprocher,17
de,de,81
ne,ne,60
l',le,52
avoir,avoir,14
point,point,60
",",",",p
au,à,81
au,le,71
lieu,lieu,21
de,de,81
me,je,51
faire,faire,14
souffrir,souffrir,14
et,et,82
attendre,attendre,14
",",",",p
et,et,82
au,à,81
au,le,71
lieu,lieu,21
de,de,81
me,je,51
faire,faire,14
donner,donner,14
une,un,71
parole,parole,22
qui,qui,52
pouvait,pouvoir,18
me,je,51
mener,mener,14
loin,loin,60
",",",",p
tu,tu,51
m',je,51
aurais,avoir,16
dit,dire,12
tout,tout,60
de,de,81
suite,suite,22
:,:,p
“,“,p
dévale,dévaler,17
le,le,71
pré,pré,21
",",",",p
et,et,82
tu,tu,51
le,le,52
verras,voir,15
au,à,81
au,le,71
rivet,rivet,21
de,de,81
l',le,71
eau,eau,22
/.,/.,P
“,“,p
cela,cela,52
ne,ne,60
t',tu,51
aurait,avoir,16
point,point,60
coûté,coûter,12
beaucoup,beaucoup,60
",",",",p
au,à,81
au,le,71
lieu,lieu,21
que,que,83
tu,tu,51
t',tu,51
es,être,17
fait,faire,12
un,un,71
vilain,vilain,30
jeu,jeu,21
de,de,81
ma,mon,73
peine,peine,22
;,;,p
et,et,82
voilà,voilà,81
ce,ce,52
qui,qui,52
a,avoir,17
mandré,mandrer,12
le,le,71
prix,prix,21
du,de,81
du,le,71
service,service,21
que,que,52
tu,tu,51
m',je,51
as,avoir,17
rendu,rendre,12
/.,/.,P
la,le,71
petite,petit,30
Fadette,Fadette,20
qui,qui,52
avait,avoir,18
pourtant,pourtant,60
la,le,71
répartie,réparti,31
prompte,prompt,30
",",",",p
resta,rester,19
pensive,pensif,30
un,un,71
moment,moment,21
/.,/.,P
puis,puis,60
elle,il,51
dit,dire,19
:,:,p
-,-,p
je,je,51
vois,voir,17
bien,bien,60
que,que,83
tu,tu,51
as,avoir,17
fait,faire,12
ton,ton,73
possible,possible,21
pour,pour,81
écarter,écarter,14
la,le,71
reconnaissance,reconnaissance,22
de,de,81
ton,ton,73
coeur,coeur,21
",",",",p
et,et,82
pour,pour,81
t',tu,51
imaginer,imaginer,14
que,que,83
tu,tu,51
ne,ne,60
m',je,51
en,en,52
devais,devoir,18
point,point,60
",",",",p
à,à,81
cause,cause,22
de,de,81
la,le,71
récompense,récompense,22
que,que,52
je,je,51
m',je,51
étais,être,18
fait,faire,12
promettre,promettre,14
/.,/.,P
mais,mais,82
",",",",p
encore,encore,60
un,un,71
coup,coup,21
",",",",p
il,il,51
est,être,17
dur,dur,30
et,et,82
mauvais,mauvais,30
",",",",p
ton,ton,73
coeur,coeur,21
",",",",p
puisqu',puisque,83
il,il,51
ne,ne,60
t',tu,51
a,avoir,17
point,point,60
fait,faire,12
observer,observer,14
que,que,83
je,je,51
ne,ne,60
réclamais,réclamer,18
rien,rien,52
de,de,81
toi,toi,51
",",",",p
et,et,82
que,que,83
je,je,51
ne,ne,60
te,tu,51
faisais,faire,18
pas,pas,60
même,même,75
reproche,reproche,21
de,de,81
ton,ton,73
ingratitude,ingratitude,22
/.,/.,P
-,-,p
c',ce,52
est,être,17
vrai,vrai,30
",",",",p
ça,ça,52
",",",",p
Fanchon,Fanchon,20
",",",",p
dit,dire,19
Landry,Landry,20
qui,qui,52
était,être,18
la,le,71
bonne,bon,30
foi,foi,22
même,même,30
;,;,p
je,je,51
suis,être,17
dans,dans,81
mon,mon,73
tort,tort,21
",",",",p
je,je,51
l',le,52
ai,avoir,17
senti,sentir,12
",",",",p
et,et,82
j',je,51
en,en,52
ai,avoir,17
eu,avoir,12
de,de,81
la,le,71
honte,honte,22
;,;,p
j',je,51
aurais,avoir,16
dû,devoir,12
te,tu,51
parler,parler,14
;,;,p
j',je,51
en,en,52
ai,avoir,17
eu,avoir,12
l',le,71
intention,intention,22
",",",",p
mais,mais,82
tu,tu,51
m',je,51
as,avoir,17
fait,faire,12
une,un,71
mine,mine,22
si,si,60
courroucée,courroucé,31
que,que,83
je,je,51
n',ne,60
ai,avoir,17
point,point,60
su,savoir,12
m',je,51
y,y,52
prendre,prendre,14
/.,/.,P
-,-,p
et,et,82
si,si,83
vous,vous,51
étiez,être,18
venu,venir,12
le,le,71
lendemain,lendemain,21
de,de,81
l',le,71
affaire,affaire,22
me,je,51
dire,dire,14
une,un,71
parole,parole,22
d',de,81
amitié,amitié,22
",",",",p
vous,vous,51
ne,ne,60
m',je,51
auriez,avoir,16
point,point,60
trouvée,trouver,12
courroucée,courroucé,31
;,;,p
vous,vous,51
auriez,avoir,16
su,savoir,12
tout,tout,60
de,de,81
suite,suite,22
que,que,83
je,je,51
ne,ne,60
voulais,vouloir,18
point,point,60
de,de,81
paiement,paiement,21
",",",",p
et,et,82
nous,nous,51
serions,être,16
amis,ami,30
:,:,p
au,à,81
au,le,71
lieu,lieu,21
qu',que,83
à,à,81
cette,ce,74
heure,heure,22
",",",",p
j',je,51
ai,avoir,17
mauvaise,mauvais,30
opinion,opinion,22
de,de,81
vous,vous,51
",",",",p
et,et,82
j',je,51
aurais,avoir,16
dû,devoir,12
vous,vous,51
laisser,laisser,14
débrouiller,débrouiller,14
avec,avec,81
le,le,71
follet,follet,30
comme,comme,83
vous,vous,51
auriez,avoir,16
pu,pouvoir,12
/.,/.,P
bonsoir,bonsoir,21
",",",",p
Landry,Landry,20
de,de,81
la,le,71
Bessonnière,Bessonnière,20
;,;,p
allez,aller,17
sécher,sécher,14
vos,votre,73
habits,habit,21
;,;,p
allez,aller,17
dire,dire,14
à,à,81
vos,votre,73
parents,parent,21
:,:,p
“,“,p
sans,sans,81
ce,ce,74
petit,petit,30
guenillon,guenillon,21
de,de,81
grelet,grelet,21
",",",",p
j',je,51
aurais,avoir,16
",",",",p
ma,mon,73
foi,foi,22
",",",",p
bu,boire,12
un,un,71
bon,bon,30
coup,coup,21
",",",",p
ce,ce,74
soir,soir,21
",",",",p
dans,dans,81
la,le,71
rivière,rivière,22
/.,/.,P
“,“,p
parlant,parler,13
ainsi,ainsi,60
",",",",p
la,le,71
petite,petit,30
Fadette,Fadette,20
lui,lui,51
tourna,tourner,19
le,le,71
dos,dos,21
",",",",p
et,et,82
marcha,marcher,19
du,de,81
du,le,71
côté,côté,21
de,de,81
sa,son,73
maison,maison,22
en,en,81
chantant,chanter,13
:,:,p
prends,prendre,17
ta,ton,73
leçon,leçon,22
et,et,82
ton,ton,73
paquet,paquet,21
",",",",p
Landry,Landry,20
Barbeau,Barbeau,20
le,le,71
bessonnet,bessonnet,21
/.,/.,P
à,à,81
cette,ce,74
fois,fois,22
",",",",p
Landry,Landry,20
sentit,sentir,19
comme,comme,83
un,un,71
grand,grand,30
repentir,repentir,21
dans,dans,81
son,son,73
âme,âme,22
",",",",p
non,non,60
qu',que,83
il,il,51
fût,être,19
disposé,disposer,12
à,à,81
aucune,aucun,75
sorte,sorte,22
d',de,81
amitié,amitié,22
pour,pour,81
une,un,71
fille,fille,22
qui,qui,52
paraissait,paraître,18
avoir,avoir,14
plus,plus,60
d',de,81
esprit,esprit,21
que,que,83
de,de,81
bonté,bonté,22
",",",",p
et,et,82
dont,dont,52
les,le,71
vilaines,vilain,30
manières,manière,22
ne,ne,60
plaisaient,plaire,18
point,point,60
",",",",p
même,même,60
à,à,81
ceux,celui,52
qui,qui,52
s',se,51
en,en,52
amusaient,amuser,18
/.,/.,P
mais,mais,82
il,il,51
avait,avoir,18
le,le,71
coeur,coeur,21
haut,haut,60
et,et,82
ne,ne,60
voulait,vouloir,18
point,point,60
garder,garder,14
un,un,71
tort,tort,21
sur,sur,81
sa,son,73
conscience,conscience,22
/.,/.,P
il,il,51
courut,courir,19
après,après,81
elle,il,51
",",",",p
et,et,82
la,le,52
rattrapant,rattraper,13
par,par,81
sa,son,73
cape,cape,22
:,:,p
-,-,p
voyons,voir,17
",",",",p
Fanchon,Fanchon,20
Fadet,Fadet,20
",",",",p
lui,lui,51
dit,dire,19
il,il,51
",",",",p
il,il,51
faut,falloir,17
que,que,83
cette,ce,74
affaire,affaire,22
là,là,60
s',se,51
arrange,arranger,17
et,et,82
se,se,51
finisse,finir,17
entre,entre,81
nous,nous,51
/.,/.,P
tu,tu,51
es,être,17
mécontente,mécontent,30
de,de,81
moi,moi,51
",",",",p
et,et,82
je,je,51
ne,ne,60
suis,être,17
pas,pas,60
bien,bien,60
content,content,30
de,de,81
moi-même,moi-même,51
/.,/.,P
il,il,51
faut,falloir,17
que,que,83
tu,tu,51
me,je,51
dises,dire,17
ce,ce,52
que,que,52
tu,tu,51
souhaites,souhaiter,17
et,et,82
pas,pas,60
plus,plus,60
tard,tard,60
que,que,83
demain,demain,60
je,je,51
te,tu,51
l',le,52
apporterai,apporter,15
/.,/.,P
-,-,p
je,je,51
souhaite,souhaiter,17
ne,ne,60
jamais,jamais,60
te,tu,51
voir,voir,14
",",",",p
répondit,répondre,19
la,le,71
Fadette,Fadette,20
très,très,60
durement,durement,60
;,;,p
et,et,82
n',ne,60
importe,importer,17
quelle,quel,75
chose,chose,22
tu,tu,51
m',je,51
apporteras,apporter,15
",",",",p
tu,tu,51
peux,pouvoir,17
bien,bien,60
compter,compter,14
que,que,83
je,je,51
te,tu,51
la,le,52
jetterai,jeter,15
au,à,81
au,le,71
nez,nez,21
/.,/.,P
-,-,p
voilà,voilà,81
des,de,81
des,le,71
paroles,parole,22
trop,trop,60
rudes,rude,30
pour,pour,81
quelqu'un,quelqu'un,52
qui,qui,52
vous,vous,51
offre,offrir,17
réparation,réparation,22
/.,/.,P
si,si,83
tu,tu,51
ne,ne,60
veux,vouloir,17
point,point,60
de,de,81
cadeau,cadeau,21
",",",",p
il,il,51
y,y,52
a,avoir,17
peut-être,peut-être,60
moyen,moyen,21
de,de,81
te,tu,51
rendre,rendre,14
service,service,21
et,et,82
de,de,81
te,tu,51
montrer,montrer,14
par là,par-là,60
qu',que,83
on,on,51
te,tu,51
veut,vouloir,17
du,de,81
du,le,71
bien,bien,60
et,et,82
non,non,60
pas,pas,60
du,de,81
du,le,71
mal,mal,21
/.,/.,P
allons,aller,17
",",",",p
dis,dire,17
moi,moi,51
ce,ce,52
que,que,52
j',je,51
ai,avoir,17
à,à,81
faire,faire,14
pour,pour,81
te,tu,51
contenter,contenter,14
/.,/.,P
-,-,p
vous,vous,51
ne,ne,60
sauriez,savoir,16
donc,donc,82
me,je,51
demander,demander,14
pardon,pardon,21
et,et,82
souhaiter,souhaiter,14
mon,mon,73
amitié,amitié,22
?,?,p
dit,dire,19
la,le,71
Fadette,Fadette,20
en,en,81
s',se,51
arrêtant,arrêter,13
/.,/.,P
-,-,p
pardon,pardon,21
",",",",p
c',ce,52
est,être,17
beaucoup,beaucoup,60
demander,demander,14
",",",",p
répondit,répondre,19
Landry,Landry,20
",",",",p
qui,qui,52
ne,ne,60
pouvait,pouvoir,18
vaincre,vaincre,14
sa,son,73
hauteur,hauteur,22
à,à,81
l',le,71
endroit,endroit,21
d',de,81
une,un,71
fille,fille,22
qui,qui,52
n',ne,60
était,être,18
point,point,60
considérée,considérer,12
en,en,81
proportion,proportion,22
de,de,81
l',le,71
âge,âge,21
qu',que,52
elle,il,51
commençait,commencer,18
à,à,81
avoir,avoir,14
",",",",p
et,et,82
qu',que,52
elle,il,51
ne,ne,60
portait,porter,18
pas,pas,60
toujours,toujours,60
aussi,aussi,60
raisonnablement,raisonnablement,60
qu',que,83
elle,il,51
l',le,52
aurait,avoir,16
dû,devoir,12
;,;,p
quant,quand,83
à,à,81
ton,ton,73
amitié,amitié,22
",",",",p
Fadette,Fadette,20
",",",",p
tu,tu,51
es,être,17
si,si,60
drôlement,drôlement,60
bâtie,bâtir,12
dans,dans,81
ton,ton,73
esprit,esprit,21
",",",",p
que,que,83
je,je,51
ne,ne,60
saurais,savoir,16
y,y,52
avoir,avoir,14
grand',grand,30
fiance,confiance,22
/.,/.,P
demande,demander,17
moi,moi,51
donc,donc,82
une,un,71
chose,chose,22
qui,qui,52
puisse,pouvoir,17
se,se,51
donner,donner,14
tout,tout,60
de,de,81
suite,suite,22
",",",",p
et,et,82
que,que,52
je,je,51
ne,ne,60
sois,être,17
pas,pas,60
obligé,obliger,12
de,de,81
te,tu,51
reprendre,reprendre,14
/.,/.,P
-,-,p
eh,eh,93
bien,bien,60
",",",",p
dit,dire,19
la,le,71
Fadette,Fadette,20
d',de,81
une,un,71
voix,voix,22
claire,clair,30
et,et,82
sèche,sec,30
",",",",p
il,il,51
en,en,52
sera,être,15
comme,comme,83
vous,vous,51
le,le,52
souhaitez,souhaiter,17
",",",",p
besson,besson,21
Landry,Landry,20
/.,/.,P
je,je,51
vous,vous,51
ai,avoir,17
offert,offrir,12
votre,votre,73
pardon,pardon,21
",",",",p
et,et,82
vous,vous,51
n',ne,60
en,en,52
voulez,vouloir,17
point,point,60
/.,/.,P
à,à,81
présent,présent,21
",",",",p
je,je,51
vous,vous,51
réclame,réclamer,17
ce,ce,52
que,que,52
vous,vous,51
m',je,51
avez,avoir,17
promis,promettre,12
",",",",p
qui,qui,52
est,être,17
d',de,81
obéir,obéir,14
à,à,81
mon,mon,73
commandement,commandement,21
",",",",p
le,le,71
jour,jour,21
où,où,60
vous,vous,51
en,en,52
serez,être,15
requis,requérir,12
/.,/.,P
ce,ce,74
jour,jour,21
là,là,60
",",",",p
ce,ce,52
ne,ne,60
sera,être,15
pas,pas,60
plus,plus,60
tard,tard,60
que,que,83
demain,demain,60
à,à,81
la,le,71
Saint-Andoche,Saint-Andoche,20
",",",",p
et,et,82
voici,voici,81
ce,ce,52
que,que,52
je,je,51
veux,vouloir,17
:,:,p
vous,vous,51
me,je,51
ferez,faire,15
danser,danser,14
trois,trois,72
bourrées,bourrée,22
après,après,81
la,le,71
messe,messe,22
",",",",p
deux,deux,72
bourrées,bourrée,22
après,après,81
vêpres,vêpres,22
",",",",p
et,et,82
encore,encore,60
deux,deux,72
bourrées,bourrée,22
après,après,81
l',le,71
Angélus,Angélus,20
",",",",p
ce,ce,52
qui,qui,52
fera,faire,15
sept,sept,72
/.,/.,P
et,et,82
dans,dans,81
toute,tout,75
votre,votre,73
journée,journée,22
",",",",p
depuis,depuis,81
que,que,83
vous,vous,51
serez,être,15
levé,lever,12
jusqu',jusque,81
à,à,81
ce,ce,52
que,que,52
vous,vous,51
soyez,être,17
couché,coucher,12
",",",",p
vous,vous,51
ne,ne,60
danserez,danser,15
aucune,aucun,75
autre,autre,75
bourrée,bourrée,22
avec,avec,81
n',ne,60
importe,importer,17
qui,qui,52
",",",",p
fille,fille,22
ou,ou,82
femme,femme,22
/.,/.,P
si,si,83
vous,vous,51
ne,ne,60
le,le,52
faites,faire,17
",",",",p
je,je,51
saurai,savoir,15
que,que,83
vous,vous,51
avez,avoir,17
trois,trois,72
choses,chose,22
bien,bien,60
laides,laid,30
en,en,81
vous,vous,51
:,:,p
l',le,71
ingratitude,ingratitude,22
