11514
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Cinquante-quatrième extrait>,<>,<>
femme,femme,22
qui,qui,52
lui,lui,51
avait,avoir,18
dit,dire,12
qu',que,83
elle,il,51
s',se,51
abîmerait,abîmer,16
la,le,71
santé,santé,22
à,à,81
boire,boire,14
/.,/.,P
et,et,82
comme,comme,83
dans,dans,81
les,le,71
réactions,réaction,22
qui,qui,52
suivaient,suivre,18
ses,son,73
ivresses,ivresse,22
",",",",p
il,il,51
lui,lui,51
revenait,revenir,18
un,un,71
plus,plus,60
douloureux,douloureux,30
sentiment,sentiment,21
d',de,81
elle-même,lui-même,51
",",",",p
une,un,71
désolation,désolation,22
et,et,82
une,un,71
détestation,détestation,22
plus,plus,60
grandes,grand,30
de,de,81
ses,son,73
fautes,faute,22
et,et,82
de,de,81
ses,son,73
malheurs,malheur,21
",",",",p
elle,il,51
cherchait,chercher,18
des,de,81
des,le,71
alcools,alcool,21
plus,plus,60
forts,fort,30
",",",",p
de,de,81
l',le,71
eau-de-vie,eau-de-vie,22
plus,plus,60
dure,dur,30
",",",",p
elle,il,51
buvait,boire,18
jusqu',jusque,81
à,à,81
de,de,81
l',le,71
absinthe,absinthe,22
pure,pur,30
pour,pour,81
tomber,tomber,14
dans,dans,81
une,un,71
léthargie,léthargie,22
plus,plus,60
inerte,inerte,30
",",",",p
et,et,82
faire,faire,21
plus,plus,60
complet,complet,30
son,son,73
évanouissement,évanouissement,21
à,à,81
toutes,tout,75
choses,chose,22
/.,/.,P
elle,il,51
finit,finir,17
par,par,81
atteindre,atteindre,14
ainsi,ainsi,60
à,à,81
des,de,81
des,le,71
moitiés,moitié,22
de,de,81
journée,journée,22
d',de,81
anéantissement,anéantissement,21
",",",",p
dont,dont,52
elle,il,51
ne,ne,60
sortait,sortir,18
qu',que,83
à,à,81
demi,demi,30
éveillée,éveillé,31
avec,avec,81
une,un,71
intelligence,intelligence,22
stupéfiée,stupéfié,31
",",",",p
des,de,81
des,le,71
perceptions,perception,22
émoussées,émoussé,31
",",",",p
des,de,81
des,le,71
mains,main,22
qui,qui,52
faisaient,faire,18
des,de,81
des,le,71
choses,chose,22
par,par,81
habitude,habitude,22
",",",",p
des,de,81
des,le,71
gestes,geste,21
de,de,81
somnambule,somnambule,21
",",",",p
un,un,71
corps,corps,21
et,et,82
une,un,71
âme,âme,22
où,où,60
la,le,71
pensée,pensée,22
",",",",p
la,le,71
volonté,volonté,22
",",",",p
le,le,71
souvenir,souvenir,21
semblaient,sembler,18
avoir,avoir,14
encore,encore,60
la,le,71
somnolence,somnolence,22
et,et,82
le,le,71
vague,vague,21
des,de,81
des,le,71
heures,heure,22
confuses,confus,30
du,de,81
du,le,71
matin,matin,21
/.,/.,P
<XXXIV.>,<>,<>
une,un,71
demi-heure,demi-heure,22
après,après,81
l',le,71
affreuse,affreux,30
rencontre,rencontre,22
où,où,60
",",",",p
sa,son,73
pensée,pensée,22
touchant,toucher,13
au,à,81
au,le,71
crime,crime,21
comme,comme,83
avec,avec,81
les,le,71
doigts,doigt,21
",",",",p
elle,il,51
avait,avoir,18
voulu,vouloir,12
",",",",p
elle,il,51
avait,avoir,18
cru,croire,12
défigurer,défigurer,14
sa,son,73
rivale,rivale,22
avec,avec,81
du,de,81
du,le,71
vitriol,vitriol,21
",",",",p
Germinie,Germinie,20
rentrait,rentrer,18
rue,rue,22
de,de,81
Laval,Laval,20
",",",",p
en,en,81
remontant,remonter,13
de,de,81
chez,chez,81
l',le,71
épicier,épicier,21
une,un,71
bouteille,bouteille,22
d',de,81
eau-de-vie,eau-de-vie,22
/.,/.,P
depuis,depuis,81
deux,deux,72
semaines,semaine,22
",",",",p
elle,il,51
était,être,18
maîtresse,maître,30
de,de,81
l',le,71
appartement,appartement,21
",",",",p
libre,libre,30
de,de,81
ses,son,73
ivresses,ivresse,22
et,et,82
de,de,81
ses,son,73
abrutissements,abrutissement,21
/.,/.,P
mademoiselle,mademoiselle,22
de,de,81
Varandeuil,Varandeuil,20
",",",",p
qui,qui,52
d',de,81
habitude,habitude,22
ne,ne,60
bougeait,bouger,18
guère,guère,60
",",",",p
était,être,18
",",",",p
par,par,81
extraordinaire,extraordinaire,30
",",",",p
allée,aller,12
passer,passer,14
six,six,72
semaines,semaine,22
chez,chez,81
une,un,52
de,de,81
ses,son,73
vieilles,vieux,30
amies,amie,22
en,en,81
province,province,22
;,;,p
et,et,82
elle,il,51
n',ne,60
avait,avoir,18
pas,pas,60
voulu,vouloir,12
emmener,emmener,14
Germinie,Germinie,20
avec,avec,81
elle,il,51
",",",",p
par,par,81
crainte,crainte,22
de,de,81
donner,donner,14
aux,à,81
aux,le,71
autres,autre,75
domestiques,domestique,21
le,le,71
mauvais,mauvais,30
exemple,exemple,21
et,et,82
la,le,71
jalousie,jalousie,22
d',de,81
une,un,71
bonne,bon,30
habituée,habituée,22
aux,à,81
aux,le,71
douceurs,douceur,22
du,de,81
du,le,71
service,service,21
et,et,82
traitée,traité,31
sur,sur,81
un,un,71
autre,autre,75
pied,pied,21
qu',que,83
eux,ils,51
/.,/.,P
entrée,entrée,22
dans,dans,81
la,le,71
chambre,chambre,22
de,de,81
mademoiselle,mademoiselle,22
",",",",p
Germinie,Germinie,20
ne,ne,60
prit,prendre,19
que,que,83
le,le,71
temps,temps,21
de,de,81
jeter,jeter,14
à,à,81
terre,terre,22
son,son,73
châle,châle,21
et,et,82
son,son,73
chapeau,chapeau,21
",",",",p
et,et,82
elle,il,51
se,se,51
mit,mettre,19
à,à,81
boire,boire,14
",",",",p
le,le,71
goulot,goulot,21
de,de,81
la,le,71
bouteille,bouteille,22
d',de,81
eau-de-vie,eau-de-vie,22
entre,entre,81
les,le,71
dents,dent,22
",",",",p
à,à,81
gorgées,gorgée,22
précipitées,précipité,31
jusqu',jusque,81
à,à,81
ce,ce,52
que,que,52
tout,tout,52
dans,dans,81
la,le,71
chambre,chambre,22
tournât,tourner,18
autour,autour,60
d',de,81
elle,il,51
",",",",p
et,et,82
qu',que,52
il,il,51
n',ne,60
y,y,52
eût,avoir,19
plus,plus,60
rien,rien,52
de,de,81
la,le,71
journée,journée,22
dans,dans,81
sa,son,73
tête,tête,22
/.,/.,P
alors,alors,60
",",",",p
chancelante,chancelant,30
",",",",p
se,se,51
sentant,sentir,13
tomber,tomber,14
",",",",p
elle,il,51
voulut,vouloir,19
se,se,51
mettre,mettre,14
sur,sur,81
le,le,71
lit,lit,21
de,de,81
sa,son,73
maîtresse,maîtresse,22
pour,pour,81
dormir,dormir,14
;,;,p
l',le,71
ivresse,ivresse,22
la,le,52
jeta,jeter,19
de,de,81
côté,côté,21
sur,sur,81
la,le,71
table,table,22
de,de,81
nuit,nuit,22
/.,/.,P
de,de,81
là,là,60
",",",",p
elle,il,51
roula,rouler,19
à,à,81
terre,terre,22
",",",",p
ne,ne,60
remua,remuer,19
plus,plus,60
:,:,p
elle,il,51
ronflait,ronfler,18
/.,/.,P
mais,mais,82
le,le,71
coup,coup,21
avait,avoir,18
été,être,12
si,si,60
violent,violent,30
que,que,83
dans,dans,81
la,le,71
nuit,nuit,22
elle,il,51
eut,avoir,19
une,un,71
fausse,faux,30
couche,couche,22
",",",",p
suivie,suivi,31
d',de,81
une,un,52
de,de,81
ces,ce,74
pertes,perte,22
par,par,81
où,où,60
la,le,71
vie,vie,22
s',se,51
écoule,écouler,17
/.,/.,P
elle,il,51
voulut,vouloir,19
se,se,51
relever,relever,14
",",",",p
aller,aller,14
appeler,appeler,14
sur,sur,81
le,le,71
carré,carré,21
",",",",p
elle,il,51
essaya,essayer,19
de,de,81
se,se,51
mettre,mettre,14
sur,sur,81
ses,son,73
pieds,pied,21
:,:,p
elle,il,51
ne,ne,60
le,le,52
put,pouvoir,19
pas,pas,60
/.,/.,P
elle,il,51
se,se,51
sentait,sentir,18
glisser,glisser,14
à,à,81
la,le,71
mort,mort,22
",",",",p
y,y,52
entrer,entrer,14
",",",",p
y,y,52
descendre,descendre,14
avec,avec,81
une,un,71
lenteur,lenteur,22
molle,mou,30
/.,/.,P
enfin,enfin,60
",",",",p
s',se,51
arrachant,arracher,13
un,un,71
dernier,dernier,30
effort,effort,21
",",",",p
elle,il,51
se,se,51
traîna,traîner,19
jusqu',jusque,81
à,à,81
la,le,71
porte,porte,22
de,de,81
l',le,71
escalier,escalier,21
;,;,p
mais,mais,82
là,là,60
",",",",p
il,il,51
lui,lui,51
fut,être,19
impossible,impossible,30
de,de,81
se,se,51
soulever,soulever,14
jusqu',jusque,81
à,à,81
la,le,71
serrure,serrure,22
",",",",p
impossible,impossible,30
de,de,81
crier,crier,14
/.,/.,P
et,et,82
elle,il,51
aurait,avoir,16
fini,finir,12
d',de,81
y,y,52
mourir,mourir,14
",",",",p
si,si,83
Adèle,Adèle,20
",",",",p
dans,dans,81
la,le,71
matinée,matinée,22
",",",",p
en,en,81
passant,passer,13
",",",",p
inquiète,inquiet,30
d',de,81
entendre,entendre,14
un,un,71
gémissement,gémissement,21
",",",",p
n',ne,60
avait,avoir,18
été,être,12
chercher,chercher,14
un,un,71
serrurier,serrurier,21
pour,pour,81
ouvrir,ouvrir,14
la,le,71
porte,porte,22
",",",",p
et,et,82
une,un,71
sage-femme,sage-femme,22
pour,pour,81
délivrer,délivrer,14
la,le,71
mourante,mourant,30
/.,/.,P
quand,quand,83
",",",",p
au,à,81
au,le,71
bout,bout,21
d',de,81
un,un,71
mois,mois,21
",",",",p
mademoiselle,mademoiselle,22
revint,revenir,19
",",",",p
elle,il,51
trouva,trouver,19
Germinie,Germinie,20
levée,levé,31
",",",",p
mais,mais,82
d',de,81
une,un,71
faiblesse,faiblesse,22
si,si,60
grande,grand,30
qu',que,83
elle,il,51
était,être,18
obligée,obliger,12
de,de,81
s',se,51
asseoir,asseoir,14
à,à,81
tout,tout,75
moment,moment,21
",",",",p
et,et,82
d',de,81
une,un,71
pâleur,pâleur,22
telle,tel,75
qu',que,83
elle,il,51
n',ne,60
avait,avoir,18
plus,plus,60
l',le,71
air,air,21
d',de,81
avoir,avoir,14
de,de,81
sang,sang,21
dans,dans,81
le,le,71
corps,corps,21
/.,/.,P
on,on,51
lui,lui,51
dit,dire,19
qu',que,83
elle,il,51
avait,avoir,18
eu,avoir,12
une,un,71
perte,perte,22
dont,dont,52
elle,il,51
avait,avoir,18
manqué,manquer,12
mourir,mourir,14
:,:,p
mademoiselle,mademoiselle,22
ne,ne,60
soupçonna,soupçonner,19
rien,rien,52
/.,/.,P
<XXXV.>,<>,<>
Germinie,Germinie,20
accueillit,accueillir,19
le,le,71
retour,retour,21
de,de,81
mademoiselle,mademoiselle,22
avec,avec,81
des,de,81
des,le,71
caresses,caresse,22
attendries,attendri,31
",",",",p
mouillées,mouillé,31
de,de,81
larmes,larme,22
/.,/.,P
sa,son,73
tendresse,tendresse,22
ressemblait,ressembler,18
à,à,81
celle,celui,52
d',de,81
un,un,71
enfant,enfant,21
malade,malade,30
;,;,p
elle,il,51
en,en,52
avait,avoir,18
la,le,71
lente,lent,30
douceur,douceur,22
",",",",p
l',le,71
air,air,21
de,de,81
prière,prière,22
",",",",p
la,le,71
tristesse,tristesse,22
de,de,81
souffrance,souffrance,22
peureuse,peureux,30
et,et,82
effarouchée,effarouché,31
/.,/.,P
de,de,81
ses,son,73
mains,main,22
pâles,pâle,30
aux,à,81
aux,le,71
veines,veine,22
bleues,bleu,30
",",",",p
elle,il,51
cherchait,chercher,18
à,à,81
toucher,toucher,14
sa,son,73
maîtresse,maîtresse,22
/.,/.,P
elle,il,51
s',se,51
approchait,approcher,18
d',de,81
elle,il,51
avec,avec,81
une,un,71
sorte,sorte,22
d',de,81
humilité,humilité,22
tremblante,tremblant,30
et,et,82
fervente,fervent,30
/.,/.,P
le,le,71
plus,plus,60
souvent,souvent,60
",",",",p
assise,assise,22
en,en,81
face,face,22
d',de,81
elle,il,51
sur,sur,81
un,un,71
tabouret,tabouret,21
et,et,82
la,le,52
regardant,regarder,13
d',de,81
en,en,81
bas,bas,21
",",",",p
avec,avec,81
les,le,71
yeux,oeil,21
d',de,81
un,un,71
chien,chien,21
",",",",p
elle,il,51
se,se,51
soulevait,soulever,18
de,de,81
temps,temps,21
en,en,81
temps,temps,21
pour,pour,81
aller,aller,14
l',le,52
embrasser,embrasser,14
sur,sur,81
quelque,quelque,75
endroit,endroit,21
de,de,81
sa,son,73
robe,robe,22
",",",",p
revenait,revenir,18
s',se,51
asseoir,asseoir,14
",",",",p
puis,puis,60
un,un,71
instant,instant,21
après,après,81
recommençait,recommencer,18
/.,/.,P
il,il,51
y,y,52
avait,avoir,18
du,de,81
du,le,71
déchirement,déchirement,21
et,et,82
de,de,81
l',le,71
imploration,imploration,22
dans,dans,81
ces,ce,74
caresses,caresse,22
",",",",p
dans,dans,81
ces,ce,74
baisers,baiser,21
de,de,81
Germinie,Germinie,20
/.,/.,P
la,le,71
mort,mort,22
qu',que,52
elle,il,51
avait,avoir,18
entendue,entendre,12
venir,venir,14
à,à,81
elle,il,51
comme,comme,83
une,un,71
personne,personne,22
",",",",p
avec,avec,81
le,le,71
pas,pas,21
de,de,81
quelqu'un,quelqu'un,52
",",",",p
ces,ce,74
heures,heure,22
de,de,81
défaillance,défaillance,22
où,où,60
",",",",p
dans,dans,81
le,le,71
lit,lit,21
",",",",p
seule,seul,30
avec,avec,81
elle-même,lui-même,51
",",",",p
elle,il,51
avait,avoir,18
revu,revoir,12
sa,son,73
vie,vie,22
et,et,82
remonté,remonter,12
son,son,73
passé,passé,21
",",",",p
le,le,71
ressouvenir,ressouvenir,21
et,et,82
la,le,71
honte,honte,22
de,de,81
tout,tout,52
ce,ce,52
qu',que,52
elle,il,51
avait,avoir,18
caché,cacher,12
à,à,81
mademoiselle,mademoiselle,22
de,de,81
Varandeuil,Varandeuil,20
",",",",p
la,le,71
terreur,terreur,22
d',de,81
un,un,71
jugement,jugement,21
de,de,81
dieu,dieu,21
se,se,51
levant,lever,13
du,de,81
du,le,71
fond,fond,21
de,de,81
ses,son,73
anciennes,ancien,30
idées,idée,22
de,de,81
religion,religion,22
",",",",p
tous,tout,75
les,le,71
reproches,reproche,21
",",",",p
toutes,tout,75
les,le,71
peurs,peur,22
qui,qui,52
se,se,51
penchent,pencher,17
à,à,81
l',le,71
oreille,oreille,22
d',de,81
une,un,71
agonie,agonie,22
",",",",p
avaient,avoir,18
fait,faire,12
dans,dans,81
sa,son,73
conscience,conscience,22
une,un,71
suprême,suprême,30
épouvante,épouvante,22
;,;,p
et,et,82
le,le,71
remords,remords,21
",",",",p
le,le,71
remords,remords,21
qu',que,52
elle,il,51
n',ne,60
avait,avoir,18
jamais,jamais,60
pu,pouvoir,12
tuer,tuer,14
en,en,81
elle,il,51
",",",",p
était,être,18
maintenant,maintenant,60
tout,tout,60
vivant,vivant,30
et,et,82
tout,tout,60
criant,criant,30
dans,dans,81
son,son,73
être,être,21
affaibli,affaibli,31
",",",",p
ébranlé,ébranlé,31
",",",",p
encore,encore,60
mal,mal,60
renoué,renoué,31
à,à,81
la,le,71
vie,vie,22
",",",",p
peine,peine,22
rattaché,rattaché,31
à,à,81
la,le,71
croyance,croyance,22
de,de,81
vivre,vivre,14
/.,/.,P
Germinie,Germinie,20
n',ne,60
était,être,18
point,point,60
une,un,52
de,de,81
ces,ce,74
natures,nature,22
heureuses,heureux,30
qui,qui,52
font,faire,17
le,le,71
mal,mal,21
et,et,82
en,en,52
laissent,laisser,17
le,le,71
souvenir,souvenir,21
derrière,derrière,81
elles,ils,51
",",",",p
sans,sans,81
que,que,83
le,le,71
regret,regret,21
de,de,81
leurs,leur,73
pensées,pensée,22
y,y,52
retourne,retourner,17
jamais,jamais,60
/.,/.,P
elle,il,51
n',ne,60
avait,avoir,18
pas,pas,60
",",",",p
comme,comme,83
Adèle,Adèle,20
",",",",p
une,un,52
de,de,81
ces,ce,74
grosses,gros,30
organisations,organisation,22
matérielles,matériel,30
qui,qui,52
ne,ne,60
se,se,51
laissent,laisser,17
traverser,traverser,14
par,par,81
rien,rien,52
que,que,83
par,par,81
des,de,81
des,le,71
impressions,impression,22
animales,animal,30
/.,/.,P
elle,il,51
n',ne,60
avait,avoir,18
pas,pas,60
une,un,52
de,de,81
ces,ce,74
consciences,conscience,22
qui,qui,52
se,se,51
dérobent,dérober,17
à,à,81
la,le,71
souffrance,souffrance,22
par,par,81
l',le,71
abrutissement,abrutissement,21
et,et,82
par,par,81
cette,ce,74
épaisse,épais,30
stupidité,stupidité,22
dans,dans,81
laquelle,lequel,52
une,un,71
femme,femme,22
végète,végéter,17
",",",",p
naïvement,naïvement,60
fautive,fautif,30
/.,/.,P
chez,chez,81
elle,il,51
",",",",p
une,un,71
sensitivité,sensitivité,22
maladive,maladif,30
",",",",p
une,un,71
sorte,sorte,22
d',de,81
éréthisme,éréthisme,21
cérébral,cérébral,30
",",",",p
une,un,71
disposition,disposition,22
de,de,81
tête,tête,22
à,à,81
toujours,toujours,60
travailler,travailler,14
",",",",p
à,à,81
s',se,51
agiter,agiter,14
dans,dans,81
l',le,71
amertume,amertume,22
",",",",p
l',le,71
inquiétude,inquiétude,22
",",",",p
le,le,71
mécontentement,mécontentement,21
d',de,81
elle-même,lui-même,51
",",",",p
un,un,71
sens,sens,21
moral,moral,30
qui,qui,52
s',se,51
était,être,18
comme,comme,83
redressé,redresser,12
en,en,81
elle,il,51
après,après,81
chacune,chacun,52
de,de,81
ses,son,73
déchéances,déchéance,22
",",",",p
tous,tout,75
les,le,71
dons,don,21
de,de,81
délicatesse,délicatesse,22
",",",",p
d',de,81
élection,élection,22
et,et,82
de,de,81
malheur,malheur,21
s',se,51
unissaient,unir,18
pour,pour,81
la,le,52
torturer,torturer,14
",",",",p
et,et,82
retourner,retourner,14
",",",",p
chaque,chaque,75
jour,jour,21
",",",",p
plus,plus,60
avant,avant,81
et,et,82
plus,plus,60
cruellement,cruellement,60
dans,dans,81
son,son,73
désespoir,désespoir,21
",",",",p
le,le,71
tourment,tourment,21
de,de,81
ce,ce,52
qui,qui,52
n',ne,60
aurait,avoir,16
guère,guère,60
mis,mettre,12
de,de,81
si,si,60
longues,long,30
douleurs,douleur,22
chez,chez,81
beaucoup,beaucoup,60
de,de,81
ses,son,73
pareilles,pareil,30
/.,/.,P
Germinie,Germinie,20
cédait,céder,18
à,à,81
l',le,71
entraînement,entraînement,21
de,de,81
la,le,71
passion,passion,22
;,;,p
mais,mais,82
aussitôt,aussitôt,60
qu',que,83
elle,il,51
y,y,52
avait,avoir,18
cédé,céder,12
",",",",p
elle,il,51
se,se,51
prenait,prendre,18
en,en,81
mépris,mépris,21
/.,/.,P
dans,dans,81
le,le,71
plaisir,plaisir,21
même,même,30
",",",",p
elle,il,51
ne,ne,60
pouvait,pouvoir,18
s',se,51
oublier,oublier,14
entièrement,entièrement,60
et,et,82
se,se,51
perdre,perdre,14
/.,/.,P
il,il,51
se,se,51
levait,lever,18
toujours,toujours,60
dans,dans,81
sa,son,73
distraction,distraction,22
l',le,71
image,image,22
de,de,81
mademoiselle,mademoiselle,22
avec,avec,81
son,son,73
austère,austère,30
et,et,82
maternelle,maternelle,22
figure,figurer,17
/.,/.,P
à,à,81
mesure,mesure,22
qu',que,52
elle,il,51
s',se,51
abandonnait,abandonner,18
et,et,82
descendait,descendre,18
de,de,81
son,son,73
honnêteté,honnêteté,22
",",",",p
Germinie,Germinie,20
ne,ne,60
sentait,sentir,18
pas,pas,60
l',le,71
impudeur,impudeur,22
lui,lui,51
venir,venir,14
/.,/.,P
les,le,71
dégradations,dégradation,22
où,où,60
elle,il,51
s',se,51
abîmait,abîmer,18
ne,ne,60
la,le,52
fortifiaient,fortifier,18
point,point,60
contre,contre,81
le,le,71
dégoût,dégoût,21
et,et,82
l',le,71
horreur,horreur,22
d',de,81
elle-même,lui-même,51
/.,/.,P
l',le,71
habitude,habitude,22
ne,ne,60
lui,lui,51
apportait,apporter,18
pas,pas,60
l',le,71
endurcissement,endurcissement,21
/.,/.,P
sa,son,73
conscience,conscience,22
souillée,souillé,31
rejetait,rejeter,18
ses,son,73
souillures,souillure,22
",",",",p
se,se,51
débattait,débattre,18
dans,dans,81
ses,son,73
hontes,honte,22
",",",",p
se,se,51
déchirait,déchirer,18
dans,dans,81
ses,son,73
repentirs,repentir,21
",",",",p
et,et,82
ne,ne,60
lui,lui,51
laissait,laisser,18
pas,pas,60
même,même,60
une,un,71
seconde,seconde,22
la,le,71
pleine,plein,30
jouissance,jouissance,22
du,de,81
du,le,71
vice,vice,21
",",",",p
l',le,71
entier,entier,30
étourdissement,étourdissement,21
de,de,81
la,le,71
chute,chute,22
/.,/.,P
aussi,aussi,60
quand,quand,83
mademoiselle,mademoiselle,22
",",",",p
oubliant,oublier,13
la,le,71
domestique,domestique,22
qu',que,83
elle,il,51
était,être,18
",",",",p
se,se,51
penchait,pencher,18
sur,sur,81
elle,il,51
avec,avec,81
une,un,52
de,de,81
ces,ce,74
familiarités,familiarité,22
brusques,brusque,30
de,de,81
la,le,71
voix,voix,22
et,et,82
du,de,81
du,le,71
geste,geste,21
qui,qui,52
l',le,52
approchaient,approcher,18
tout,tout,60
près,près,81
de,de,81
son,son,73
coeur,coeur,21
",",",",p
Germinie,Germinie,20
confuse,confus,30
",",",",p
prise,pris,31
tout,tout,60
à,à,81
coup,coup,21
de,de,81
timidités,timidité,22
rougissantes,rougissant,30
",",",",p
devenait,devenir,18
muette,muet,30
et,et,82
comme,comme,83
imbécile,imbécile,21
sous,sous,81
l',le,71
horrible,horrible,30
douleur,douleur,22
de,de,81
voir,voir,14
toute,tout,75
son,son,73
indignité,indignité,22
/.,/.,P
elle,il,51
s',se,51
enfuyait,enfuir,18
",",",",p
elle,il,51
s',se,51
arrachait,arracher,18
sous,sous,81
un,un,71
prétexte,prétexte,21
à,à,81
cette,ce,74
affection,affection,22
si,si,60
odieusement,odieusement,60
trompée,trompé,31
et,et,82
qui,qui,52
",",",",p
en,en,81
la,le,52
touchant,toucher,13
",",",",p
remuait,remuer,18
et,et,82
faisait,faire,18
frissonner,frissonner,14
tous,tout,75
ses,son,73
remords,remords,21
/.,/.,P
<XXXVI.>,<>,<>
le,le,71
miracle,miracle,21
de,de,81
cette,ce,74
vie,vie,22
de,de,81
désordre,désordre,21
et,et,82
de,de,81
déchirement,déchirement,21
",",",",p
de,de,81
cette,ce,74
vie,vie,22
honteuse,honteux,30
et,et,82
brisée,brisé,31
",",",",p
fut,être,19
qu',que,83
elle,il,51
n',ne,60
éclatât,éclater,18
pas,pas,60
/.,/.,P
Germinie,Germinie,20
n',ne,60
en,en,52
laissa,laisser,19
rien,rien,52
jaillir,jaillir,14
au dehors,au-dehors,60
",",",",p
elle,il,51
n',ne,60
en,en,52
laissa,laisser,19
rien,rien,52
monter,monter,14
à,à,81
ses,son,73
lèvres,lèvre,22
",",",",p
elle,il,51
n',ne,60
en,en,52
laissa,laisser,19
rien,rien,52
voir,voir,14
dans,dans,81
sa,son,73
physionomie,physionomie,22
",",",",p
rien,rien,52
paraître,paraître,14
dans,dans,81
son,son,73
air,air,21
",",",",p
et,et,82
le,le,71
fond,fond,21
maudit,maudit,31
de,de,81
son,son,73
existence,existence,22
resta,rester,19
toujours,toujours,60
caché,caché,31
à,à,81
sa,son,73
maîtresse,maîtresse,22
/.,/.,P
