11402
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Quatre-vingt-dix-neuvième extrait>,<>,<>
entra,entrer,19
chez,chez,81
sa,son,73
mère,mère,22
",",",",p
dès,dès,81
sept,sept,72
heures,heure,22
du,de,81
du,le,71
matin,matin,21
",",",",p
la,le,52
priant,prier,13
de,de,81
lui,lui,51
permettre,permettre,14
de,de,81
se,se,51
réfugier,réfugier,14
à,à,81
Villequier,Villequier,20
/.,/.,P
la,le,71
marquise,marquise,22
ne,ne,60
daigna,daigner,19
pas,pas,60
même,même,60
lui,lui,51
répondre,répondre,14
",",",",p
et,et,82
lui,lui,51
conseilla,conseiller,19
d',de,81
aller,aller,14
se,se,51
remettre,remettre,14
au,à,81
au,le,71
lit,lit,21
/.,/.,P
ce,ce,52
fut,être,19
le,le,71
dernier,dernier,30
effort,effort,21
de,de,81
la,le,71
sagesse,sagesse,22
vulgaire,vulgaire,30
et,et,82
de,de,81
la,le,71
déférence,déférence,22
aux,à,81
aux,le,71
idées,idée,22
reçues,reçu,31
/.,/.,P
la,le,71
crainte,crainte,22
de,de,81
mal,mal,60
faire,faire,14
et,et,82
de,de,81
heurter,heurter,14
les,le,71
idées,idée,22
tenues,tenu,31
pour,pour,81
sacrées,sacré,31
par,par,81
les,le,71
Caylus,Caylus,20
",",",",p
les,le,71
de,de,81
Luz,Luz,20
",",",",p
les,le,71
Croisenois,Croisenois,20
",",",",p
avait,avoir,18
assez,assez,60
peu,peu,60
d',de,81
empire,empire,21
sur,sur,81
son,son,73
âme,âme,22
;,;,p
de,de,81
tels,tel,75
êtres,être,21
ne,ne,60
lui,lui,51
semblaient,sembler,18
pas,pas,60
faits,fait,31
pour,pour,81
la,le,52
comprendre,comprendre,14
;,;,p
elle,il,51
les,le,52
eût,avoir,19
consultés,consulter,12
s',si,83
il,il,51
eût,avoir,19
été,être,12
question,question,22
d',de,81
acheter,acheter,14
une,un,71
calèche,calèche,22
ou,ou,82
une,un,71
terre,terre,22
/.,/.,P
sa,son,73
véritable,véritable,30
terreur,terreur,22
était,être,18
que,que,83
Julien,Julien,20
ne,ne,60
fût,être,19
mécontent,mécontent,30
d',de,81
elle,il,51
/.,/.,P
peut-être,peut-être,60
aussi,aussi,60
n',ne,60
a,avoir,17
t,t,94
il,il,51
que,que,83
les,le,71
apparences,apparence,22
d',de,81
un,un,71
homme,homme,21
supérieur,supérieur,30
/?,/?,P
elle,il,51
abhorrait,abhorrer,18
le,le,71
manque,manque,21
de,de,81
caractère,caractère,21
",",",",p
c',ce,52
était,être,18
sa,son,73
seule,seul,30
objection,objection,22
contre,contre,81
les,le,71
beaux,beau,30
jeunes,jeune,30
gens,gens,21
qui,qui,52
l',le,52
entouraient,entourer,18
/.,/.,P
plus,plus,60
ils,ils,51
plaisantaient,plaisanter,18
avec,avec,81
grâce,grâce,22
tout,tout,52
ce,ce,52
qui,qui,52
s',se,51
écarte,écarter,17
de,de,81
la,le,71
mode,mode,22
",",",",p
ou,ou,82
la,le,52
suit,suivre,17
mal,mal,60
",",",",p
croyant,croire,13
la,le,52
suivre,suivre,14
",",",",p
plus,plus,60
ils,ils,51
se,se,51
perdaient,perdre,18
à,à,81
ses,son,73
yeux,oeil,21
/.,/.,P
ils,ils,51
étaient,être,18
braves,brave,30
",",",",p
et,et,82
voilà,voilà,81
tout,tout,52
/.,/.,P
et,et,82
encore,encore,60
",",",",p
comment,comment,60
braves,brave,30
?,?,p
se,se,51
disait,dire,18
elle,il,51
:,:,p
en,en,81
duel,duel,21
",",",",p
mais,mais,82
le,le,71
duel,duel,21
n',ne,60
est,être,17
plus,plus,60
qu',que,83
une,un,71
cérémonie,cérémonie,22
/.,/.,P
tout,tout,52
en,en,81
est,être,17
su,savoir,12
d',de,81
avance,avance,22
",",",",p
même,même,60
ce,ce,52
que,que,52
l',l',94
on,on,51
doit,devoir,17
dire,dire,14
en,en,81
tombant,tomber,13
/.,/.,P
étendu,étendu,31
sur,sur,81
le,le,71
gazon,gazon,21
",",",",p
et,et,82
la,le,71
main,main,22
sur,sur,81
le,le,71
coeur,coeur,21
",",",",p
il,il,51
faut,falloir,17
un,un,71
pardon,pardon,21
généreux,généreux,30
pour,pour,81
l',le,71
adversaire,adversaire,21
et,et,82
un,un,71
mot,mot,21
pour,pour,81
une,un,71
belle,belle,22
souvent,souvent,60
imaginaire,imaginaire,30
",",",",p
ou,ou,82
bien,bien,60
qui,qui,52
va,aller,17
au,à,81
au,le,71
bal,bal,21
le,le,71
jour,jour,21
de,de,81
votre,votre,73
mort,mort,22
",",",",p
de,de,81
peur,peur,22
d',de,81
exciter,exciter,14
les,le,71
soupçons,soupçon,21
/.,/.,P
on,on,51
brave,braver,17
le,le,71
danger,danger,21
à,à,81
la,le,71
tête,tête,22
d',de,81
un,un,71
escadron,escadron,21
tout,tout,60
brillant,brillant,30
d',de,81
acier,acier,21
",",",",p
mais,mais,82
le,le,71
danger,danger,21
solitaire,solitaire,30
",",",",p
singulier,singulier,30
",",",",p
imprévu,imprévu,30
",",",",p
vraiment,vraiment,60
laid,laid,30
/?,/?,P
hélas,hélas,60
!,!,p
se,se,51
disait,dire,18
Mathilde,Mathilde,20
",",",",p
c',ce,52
était,être,18
à,à,81
la,le,71
cour,cour,22
de,de,81
Henri III,Henri III,20
que,que,52
l',l',94
on,on,51
trouvait,trouver,18
des,de,81
des,le,71
hommes,homme,21
grands,grand,30
par,par,81
le,le,71
caractère,caractère,21
comme,comme,83
par,par,81
la,le,71
naissance,naissance,22
/!,/!,P
ah,ah,93
!,!,p
si,si,83
Julien,Julien,20
avait,avoir,18
servi,servir,12
à,à,81
Jarnac,Jarnac,20
ou,ou,82
à,à,81
Moncontour,Moncontour,20
",",",",p
je,je,51
n',ne,60
aurais,avoir,16
plus,plus,60
de,de,81
doute,doute,21
/.,/.,P
en,en,81
ces,ce,74
temps,temps,21
de,de,81
vigueur,vigueur,22
et,et,82
de,de,81
force,force,22
",",",",p
les,le,71
Français,Français,20
n',ne,60
étaient,être,18
pas,pas,60
des,de,81
des,le,71
poupées,poupée,22
/.,/.,P
le,le,71
jour,jour,21
de,de,81
la,le,71
bataille,bataille,22
était,être,18
presque,presque,60
celui,celui,52
des,de,81
des,le,71
moindres,moindre,30
perplexités,perplexité,22
/.,/.,P
leur,leur,73
vie,vie,22
n',ne,60
était,être,18
pas,pas,60
emprisonnée,emprisonner,12
comme,comme,83
une,un,71
momie,momie,22
d',de,81
Egypte,Egypte,20
",",",",p
sous,sous,81
une,un,71
enveloppe,enveloppe,22
toujours,toujours,60
commune,commun,30
à,à,81
tous,tout,52
",",",",p
toujours,toujours,60
la,le,71
même,même,52
/.,/.,P
oui,oui,60
",",",",p
ajoutait,ajouter,18
elle,il,51
",",",",p
il,il,51
y,y,52
avait,avoir,18
plus,plus,60
de,de,81
vrai,vrai,30
courage,courage,21
à,à,81
se,se,51
retirer,retirer,14
seul,seul,30
à,à,81
onze,onze,72
heures,heure,22
du,de,81
du,le,71
soir,soir,21
",",",",p
en,en,81
sortant,sortir,13
de,de,81
l',le,71
hôtel,hôtel,21
de,de,81
Soissons,Soissons,20
",",",",p
habité,habité,31
par,par,81
Catherine de Médicis,Catherine de Médicis,20
",",",",p
qu',que,52
aujourd'hui,aujourd'hui,60
à,à,81
courir,courir,14
à,à,81
Alger,Alger,20
/.,/.,P
la,le,71
vie,vie,22
d',de,81
un,un,71
homme,homme,21
était,être,18
une,un,71
suite,suite,22
de,de,81
hasards,hasard,21
/.,/.,P
maintenant,maintenant,60
la,le,71
civilisation,civilisation,22
a,avoir,17
chassé,chasser,12
le,le,71
hasard,hasard,21
",",",",p
plus,plus,60
d',de,81
imprévu,imprévu,21
/.,/.,P
s',si,83
il,il,51
paraît,paraître,17
dans,dans,81
les,le,71
idées,idée,22
",",",",p
il,il,51
n',ne,60
est,être,17
pas,pas,60
assez,assez,60
d',de,81
épigrammes,épigramme,21
pour,pour,81
lui,lui,51
;,;,p
s',si,83
il,il,51
paraît,paraître,17
dans,dans,81
les,le,71
événements,événement,21
",",",",p
aucune,aucun,75
lâcheté,lâcheté,22
n',ne,60
est,être,17
au-dessus,au-dessus,60
de,de,81
notre,notre,73
peur,peur,22
/.,/.,P
quelque,quelque,75
folie,folie,22
que,que,52
nous,nous,51
fasse,faire,17
faire,faire,14
la,le,71
peur,peur,22
",",",",p
elle,il,51
est,être,17
excusée,excuser,12
/.,/.,P
Siècle,Siècle,20
dégénéré,dégénéré,31
et,et,82
ennuyeux,ennuyeux,30
/!,/!,P
qu',que,52
aurait,avoir,16
dit,dire,12
Boniface,Boniface,20
de,de,81
La Mole,La Mole,20
si,si,83
",",",",p
levant,lever,13
hors,hors,81
de,de,81
la,le,71
tombe,tombe,22
sa,son,73
tête,tête,22
coupée,coupé,31
",",",",p
il,il,51
eût,avoir,19
vu,voir,12
",",",",p
en,en,81
<Nombre 1793>,<>,<>
mille,mille,72
sept,sept,72
cent,cent,72
quatre,quatre,72
vingt,vingt,72
treize,treize,72
<Fin nombre>,<>,<>
",",",",p
dix,dix,72
sept,sept,72
de,de,81
ses,son,73
descendants,descendant,21
se,se,51
laisser,laisser,14
prendre,prendre,14
comme,comme,83
des,de,81
des,le,71
moutons,mouton,21
",",",",p
pour,pour,81
être,être,14
guillotinés,guillotiner,12
deux,deux,72
jours,jour,21
après,après,81
/?,/?,P
la,le,71
mort,mort,22
était,être,18
certaine,certain,30
",",",",p
mais,mais,82
il,il,51
eût,avoir,19
été,être,12
de,de,81
mauvais,mauvais,30
ton,ton,21
de,de,81
se,se,51
défendre,défendre,14
et,et,82
de,de,81
tuer,tuer,14
au,à,81
au,le,71
moins,moins,60
un,un,71
jacobin,jacobin,21
ou,ou,82
deux,deux,72
/.,/.,P
ah,ah,93
!,!,p
dans,dans,81
les,le,71
temps,temps,21
héroïques,héroïque,30
de,de,81
la,le,71
France,France,20
",",",",p
au,à,81
au,le,71
siècle,siècle,21
de,de,81
Boniface,Boniface,20
de,de,81
La Mole,La Mole,20
",",",",p
Julien,Julien,20
eût,avoir,19
été,être,12
le,le,71
chef,chef,21
d',de,81
escadron,escadron,21
",",",",p
et,et,82
mon,mon,73
frère,frère,21
",",",",p
le,le,71
jeune,jeune,30
prêtre,prêtre,21
",",",",p
aux,à,81
aux,le,71
moeurs,moeurs,22
convenables,convenable,30
",",",",p
avec,avec,81
la,le,71
sagesse,sagesse,22
dans,dans,81
les,le,71
yeux,oeil,21
et,et,82
la,le,71
raison,raison,22
à,à,81
la,le,71
bouche,bouche,22
/.,/.,P
quelques,quelque,75
mois,mois,21
auparavant,auparavant,60
",",",",p
Mathilde,Mathilde,20
désespérait,désespérer,18
de,de,81
rencontrer,rencontrer,14
un,un,71
être,être,21
un,un,71
peu,peu,60
différent,différent,30
du,de,81
du,le,71
patron,patron,21
commun,commun,30
/.,/.,P
elle,il,51
avait,avoir,18
trouvé,trouver,12
quelque,quelque,75
bonheur,bonheur,21
en,en,81
se,se,51
permettant,permettre,13
d',de,81
écrire,écrire,14
à,à,81
quelques,quelque,75
jeunes,jeune,30
gens,gens,21
de,de,81
la,le,71
société,société,22
/.,/.,P
cette,ce,74
hardiesse,hardiesse,22
si,si,60
inconvenante,inconvenant,30
",",",",p
si,si,60
imprudente,imprudent,30
chez,chez,81
une,un,71
jeune,jeune,30
fille,fille,22
",",",",p
pouvait,pouvoir,18
la,le,52
déshonorer,déshonorer,14
aux,à,81
aux,le,71
yeux,oeil,21
de,de,81
monsieur,monsieur,21
de,de,81
Croisenois,Croisenois,20
",",",",p
du,de,81
du,le,71
duc,duc,21
de,de,81
Chaulnes,Chaulnes,20
son,son,73
père,père,21
",",",",p
et,et,82
de,de,81
tout,tout,75
l',le,71
hôtel,hôtel,21
de,de,81
Chaulnes,Chaulnes,20
",",",",p
qui,qui,52
",",",",p
voyant,voir,13
se,se,51
rompre,rompre,14
le,le,71
mariage,mariage,21
projeté,projeté,31
",",",",p
aurait,avoir,16
voulu,vouloir,12
savoir,savoir,14
pourquoi,pourquoi,60
/.,/.,P
en,en,81
ce,ce,74
temps,temps,21
là,là,60
",",",",p
les,le,71
jours,jour,21
où,où,60
elle,il,51
avait,avoir,18
écrit,écrire,12
une,un,52
de,de,81
ses,son,73
lettres,lettre,22
",",",",p
Mathilde,Mathilde,20
ne,ne,60
pouvait,pouvoir,18
dormir,dormir,14
/.,/.,P
mais,mais,82
ces,ce,74
lettres,lettre,22
n',ne,60
étaient,être,18
que,que,83
des,de,81
des,le,71
réponses,réponse,22
/.,/.,P
ici,ici,60
elle,il,51
osait,oser,18
dire,dire,14
qu',que,83
elle,il,51
aimait,aimer,18
/.,/.,P
elle,il,51
écrivait,écrire,18
la,le,71
première,premier,72
(,(,p
quel,quel,75
mot,mot,21
terrible,terrible,30
!,!,p
),),p
à,à,81
un,un,71
homme,homme,21
placé,placé,31
dans,dans,81
les,le,71
derniers,dernier,30
rangs,rang,21
de,de,81
la,le,71
société,société,22
/.,/.,P
cette,ce,74
circonstance,circonstance,22
assurait,assurer,18
",",",",p
en,en,81
cas,cas,21
de,de,81
découverte,découverte,22
",",",",p
un,un,71
déshonneur,déshonneur,21
éternel,éternel,30
/.,/.,P
laquelle,lequel,52
des,de,81
des,le,71
femmes,femme,22
venant,venir,13
chez,chez,81
sa,son,73
mère,mère,22
eût,avoir,19
osé,oser,12
prendre,prendre,14
son,son,73
parti,parti,21
/?,/?,P
quelle,quel,75
phrase,phrase,22
eût,avoir,19
on,on,51
pu,pouvoir,12
leur,leur,52
donner,donner,14
à,à,81
répéter,répéter,14
pour,pour,81
amortir,amortir,14
le,le,71
coup,coup,21
de,de,81
l',le,71
affreux,affreux,30
mépris,mépris,21
des,de,81
des,le,71
salons,salon,21
/?,/?,P
et,et,82
encore,encore,60
parler,parler,21
était,être,18
affreux,affreux,30
",",",",p
mais,mais,82
écrire,écrire,14
/!,/!,P
il,il,51
est,être,17
des,de,81
des,le,71
choses,chose,22
qu',que,52
on,on,51
n',ne,60
écrit,écrire,17
pas,pas,60
",",",",p
s',se,51
écriait,écrier,18
Napoléon,Napoléon,20
apprenant,apprendre,13
la,le,71
capitulation,capitulation,22
de,de,81
Baylen,Baylen,20
/.,/.,P
et,et,82
c',ce,52
était,être,18
Julien,Julien,20
qui,qui,52
lui,lui,51
avait,avoir,18
conté,conter,12
ce,ce,74
mot,mot,21
!,!,p
comme,comme,83
lui,lui,51
faisant,faire,13
d',de,81
avance,avance,22
une,un,71
leçon,leçon,22
/.,/.,P
mais,mais,82
tout,tout,75
cela,cela,52
n',ne,60
était,être,18
rien,rien,52
encore,encore,60
",",",",p
l',le,71
angoisse,angoisse,22
de,de,81
Mathilde,Mathilde,20
avait,avoir,18
d',de,81
autres,autre,75
causes,cause,22
/.,/.,P
oubliant,oublier,13
l',le,71
effet,effet,21
horrible,horrible,30
sur,sur,81
la,le,71
société,société,22
",",",",p
la,le,71
tache,tache,22
ineffaçable,ineffaçable,30
et,et,82
toute,tout,60
pleine,plein,30
de,de,81
mépris,mépris,21
",",",",p
car,car,82
elle,il,51
outrageait,outrager,18
sa,son,73
caste,caste,22
",",",",p
Mathilde,Mathilde,20
allait,aller,18
écrire,écrire,14
à,à,81
un,un,71
être,être,21
d',de,81
une,un,71
bien,bien,60
autre,autre,75
nature,nature,22
que,que,83
les,le,71
Croisenois,Croisenois,20
",",",",p
les,le,71
de,de,81
Luz,Luz,20
",",",",p
les,le,71
Caylus,Caylus,20
/.,/.,P
la,le,71
profondeur,profondeur,22
",",",",p
l',le,71
inconnu,inconnu,30
du,de,81
du,le,71
caractère,caractère,21
de,de,81
Julien,Julien,20
eussent,avoir,18
effrayé,effrayer,12
",",",",p
même,même,60
en,en,81
nouant,nouer,13
avec,avec,81
lui,lui,51
une,un,71
relation,relation,22
ordinaire,ordinaire,30
/.,/.,P
et,et,82
elle,il,51
en,en,52
allait,aller,18
faire,faire,14
son,son,73
amant,amant,21
",",",",p
peut-être,peut-être,60
son,son,73
maître,maître,21
/!,/!,P
quelles,quel,52
ne,ne,60
seront,être,15
pas,pas,60
ses,son,73
prétentions,prétention,22
",",",",p
si,si,83
jamais,jamais,60
il,il,51
peut,pouvoir,17
tout,tout,52
sur,sur,81
moi,moi,51
/?,/?,P
eh,eh,93
bien,bien,60
!,!,p
je,je,51
me,je,51
dirai,dire,15
comme,comme,83
Médée,Médée,20
:,:,p
au,à,81
au,le,71
milieu,milieu,21
de,de,81
tant,tant,60
de,de,81
périls,péril,21
",",",",p
il,il,51
me,je,51
reste,rester,17
moi,moi,51
/.,/.,P
Julien,Julien,20
n',ne,60
avait,avoir,18
nulle,nul,75
vénération,vénération,22
pour,pour,81
la,le,71
noblesse,noblesse,22
du,de,81
du,le,71
sang,sang,21
",",",",p
croyait,croire,18
elle,il,51
/.,/.,P
bien,bien,60
plus,plus,60
",",",",p
peut-être,peut-être,60
il,il,51
n',ne,60
avait,avoir,18
nul,nul,75
amour,amour,21
pour,pour,81
elle,il,51
/!,/!,P
dans,dans,81
ces,ce,74
derniers,dernier,30
moments,moment,21
de,de,81
doutes,doute,21
affreux,affreux,30
",",",",p
se,se,51
présentèrent,présenter,19
les,le,71
idées,idée,22
d',de,81
orgueil,orgueil,21
féminin,féminin,30
/.,/.,P
tout,tout,52
doit,devoir,17
être,être,14
singulier,singulier,30
dans,dans,81
le,le,71
sort,sort,21
d',de,81
une,un,71
fille,fille,22
comme,comme,83
moi,moi,51
",",",",p
s',se,51
écria,écrier,19
Mathilde,Mathilde,20
impatientée,impatienté,31
/.,/.,P
alors,alors,60
l',le,71
orgueil,orgueil,21
qu',que,83
on,on,51
lui,lui,51
avait,avoir,18
inspiré,inspirer,12
dès,dès,81
le,le,71
berceau,berceau,21
se,se,51
battait,battre,18
contre,contre,81
la,le,71
vertu,vertu,22
/.,/.,P
ce,ce,52
fut,être,19
dans,dans,81
cet,ce,74
instant,instant,21
que,que,83
le,le,71
départ,départ,21
de,de,81
Julien,Julien,20
vint,venir,19
tout,tout,60
précipiter,précipiter,14
/.,/.,P
(,(,p
de,de,81
tels,tel,75
caractères,caractère,21
sont,être,17
heureusement,heureusement,60
fort,fort,60
rares,rare,30
/.,/.,P
),),p
le,le,71
soir,soir,21
",",",",p
fort,fort,60
tard,tard,60
",",",",p
Julien,Julien,20
eut,avoir,19
la,le,71
malice,malice,22
de,de,81
faire,faire,14
descendre,descendre,14
une,un,71
malle,malle,22
très,très,60
pesante,pesant,30
chez,chez,81
le,le,71
portier,portier,21
;,;,p
il,il,51
appela,appeler,19
pour,pour,81
la,le,52
transporter,transporter,14
le,le,71
valet,valet,21
de,de,81
pied,pied,21
qui,qui,52
faisait,faire,18
la,le,71
cour,cour,22
à,à,81
la,le,71
femme,femme,22
de,de,81
chambre,chambre,22
de,de,81
mademoiselle,mademoiselle,22
de,de,81
La Mole,La Mole,20
/.,/.,P
cette,ce,74
manoeuvre,manoeuvre,22
peut,pouvoir,17
n',ne,60
avoir,avoir,14
aucun,aucun,75
résultat,résultat,21
",",",",p
se,se,51
dit,dire,19
il,il,51
",",",",p
mais,mais,82
si,si,83
elle,il,51
réussit,réussir,17
",",",",p
elle,il,51
me,je,51
croit,croire,17
parti,parti,31
/.,/.,P
il,il,51
s',se,51
endormit,endormir,19
fort,fort,60
gai,gai,30
sur,sur,81
cette,ce,74
plaisanterie,plaisanterie,22
/.,/.,P
Mathilde,Mathilde,20
ne,ne,60
ferma,fermer,19
pas,pas,60
l',le,71
oeil,oeil,21
/.,/.,P
le,le,71
lendemain,lendemain,21
",",",",p
de,de,81
fort,fort,60
grand,grand,30
matin,matin,21
",",",",p
Julien,Julien,20
sortit,sortir,19
de,de,81
l',le,71
hôtel,hôtel,21
sans,sans,81
être,être,14
aperçu,apercevoir,12
",",",",p
mais,mais,82
il,il,51
rentra,rentrer,19
avant,avant,81
huit,huit,72
heures,heure,22
/.,/.,P
à,à,81
peine,peine,22
était,être,18
il,il,51
dans,dans,81
la,le,71
bibliothèque,bibliothèque,22
",",",",p
que,que,83
mademoiselle,mademoiselle,22
de,de,81
La Mole,La Mole,20
parut,paraître,19
sur,sur,81
la,le,71
porte,porte,22
/.,/.,P
il,il,51
lui,lui,51
remit,remettre,19
sa,son,73
réponse,réponse,22
/.,/.,P
il,il,51
pensait,penser,18
qu',que,83
il,il,51
était,être,18
de,de,81
son,son,73
devoir,devoir,21
de,de,81
lui,lui,51
parler,parler,14
;,;,p
rien,rien,52
n',ne,60
était,être,18
plus,plus,60
commode,commode,30
",",",",p
du,de,81
du,le,71
moins,moins,60
",",",",p
mais,mais,82
mademoiselle,mademoiselle,22
de,de,81
La Mole,La Mole,20
ne,ne,60
voulut,vouloir,19
pas,pas,60
l',le,52
écouter,écouter,14
et,et,82
disparut,disparaître,19
/.,/.,P
Julien,Julien,20
en,en,52
fut,être,19
charmé,charmer,12
",",",",p
il,il,51
ne,ne,60
savait,savoir,18
que,que,83
lui,lui,51
dire,dire,14
/.,/.,P
si,si,83
tout,tout,75
ceci,ceci,52
n',ne,60
est,être,17
pas,pas,60
un,un,71
jeu,jeu,21
convenu,convenu,31
avec,avec,81
le,le,71
comte,comte,21
Norbert,Norbert,20
",",",",p
il,il,51
est,être,17
clair,clair,30
que,que,83
ce,ce,52
sont,être,17
mes,mon,73
regards,regard,21
pleins,plein,30
de,de,81
froideur,froideur,22
qui,qui,52
ont,avoir,17
allumé,allumer,12
l',le,71
amour,amour,21
baroque,baroque,30
que,que,83
cette,ce,74
fille,fille,22
de,de,81
si,si,60
haute,haut,30
naissance,naissance,22
s',se,51
avise,aviser,17
d',de,81
avoir,avoir,14
pour,pour,81
moi,moi,51
/.,/.,P
je,je,51
serais,être,16
un,un,71
peu,peu,60
plus,plus,60
sot,sot,30
qu',que,83
il,il,51
ne,ne,60
convient,convenir,17
",",",",p
si,si,83
jamais,jamais,60
je,je,51
me,je,51
laissais,laisser,18
entraîner,entraîner,14
à,à,81
avoir,avoir,14
du,de,81
du,le,71
goût,goût,21
pour,pour,81
cette,ce,74
grande,grand,30
poupée,poupée,22
blonde,blond,30
/.,/.,P
ce,ce,74
raisonnement,raisonnement,21
le,le,52
laissa,laisser,19
plus,plus,60
froid,froid,30
et,et,82
plus,plus,60
calculant,calculer,13
qu',que,83
il,il,51
n',ne,60
avait,avoir,18
jamais,jamais,60
été,être,12
/.,/.,P
dans,dans,81
la,le,71
bataille,bataille,22
qui,qui,52
se,se,51
prépare,préparer,17
",",",",p
ajouta,ajouter,19
t,t,94
il,il,51
",",",",p
l',le,71
orgueil,orgueil,21
de,de,81
la,le,71
naissance,naissance,22
sera,être,15
comme,comme,83
une,un,71
colline,colline,22
élevée,élevé,31
",",",",p
formant,formant,30
position,position,22
militaire,militaire,30
entre,entre,81
elle,il,51
et,et,82
moi,moi,51
/.,/.,P
c',ce,52
est,être,17
là-dessus,là-dessus,60
qu',que,83
il,il,51
faut,falloir,17
manoeuvrer,manoeuvrer,14
/.,/.,P
j',je,51
ai,avoir,17
fort,fort,60
mal,mal,60
fait,faire,12
de,de,81
rester,rester,14
à,à,81
Paris,Paris,20
;,;,p
cette,ce,74
remise,remise,22
de,de,81
mon,mon,73
départ,départ,21
m',je,51
avilit,avilir,17
et,et,82
m',je,51
expose,exposer,17
si,si,83
tout,tout,75
ceci,ceci,52
n',ne,60
est,être,17
qu',que,83
un,un,71
jeu,jeu,21
/.,/.,P
quel,quel,75
danger,danger,21
y,y,52
avait,avoir,18
il,il,51
à,à,81
partir,partir,14
/?,/?,P
je,je,51
me,je,51
moquais,moquer,18
d',de,81
eux,ils,51
",",",",p
s',si,83
ils,ils,51
se,se,51
moquent,moquer,17
de,de,81
moi,moi,51
/.,/.,P
si,si,83
son,son,73
intérêt,intérêt,21
pour,pour,81
moi,moi,51
a,avoir,17
quelque,quelque,75
réalité,réalité,22
",",",",p
je,je,51
centuplais,centupler,18
cet,ce,74
intérêt,intérêt,21
/.,/.,P
la,le,71
lettre,lettre,22
de,de,81
mademoiselle,mademoiselle,22
de,de,81
La Mole,La Mole,20
avait,avoir,18
donné,donner,12
à,à,81
Julien,Julien,20
une,un,71
jouissance,jouissance,22
de,de,81
vanité,vanité,22
si,si,60
vive,vif,30
",",",",p
que,que,83
",",",",p
tout,tout,60
en,en,81
