11673
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Quatre-vingt-dixième extrait>,<>,<>
lendemain,lendemain,21
de,de,81
la,le,71
victoire,victoire,22
",",",",p
avait,avoir,18
envoyé,envoyer,12
à,à,81
Carthage,Carthage,20
les,le,71
deux,deux,72
mille,mille,72
captifs,captif,21
faits,fait,31
sur,sur,81
le,le,71
champ,champ,21
de,de,81
bataille,bataille,22
/.,/.,P
ils,ils,51
arrivèrent,arriver,19
par,par,81
longues,long,30
compagnies,compagnie,22
de,de,81
cent,cent,72
hommes,homme,21
chacune,chacun,52
",",",",p
tous,tout,75
les,le,71
bras,bras,21
attachés,attaché,31
sur,sur,81
le,le,71
dos,dos,21
avec,avec,81
une,un,71
barre,barre,22
de,de,81
bronze,bronze,21
qui,qui,52
les,le,52
prenait,prendre,18
à,à,81
la,le,71
nuque,nuque,22
",",",",p
et,et,82
les,le,71
blessés,blessé,21
",",",",p
en,en,81
saignant,saigner,13
",",",",p
couraient,courir,18
aussi,aussi,60
;,;,p
des,de,81
des,le,71
cavaliers,cavalier,21
",",",",p
derrière,derrière,81
eux,ils,51
",",",",p
les,le,52
chassaient,chasser,18
à,à,81
coups,coup,21
de,de,81
fouet,fouet,21
/.,/.,P
ce,ce,52
fut,être,19
un,un,71
délire,délire,21
de,de,81
joie,joie,22
/!,/!,P
on,on,51
se,se,51
répétait,répéter,18
qu',que,83
il,il,51
y,y,52
avait,avoir,18
eu,avoir,12
six,six,72
mille,mille,72
barbares,barbare,21
de,de,81
tués,tué,21
;,;,p
les,le,71
autres,autre,52
ne,ne,60
tiendraient,tenir,16
pas,pas,60
",",",",p
la,le,71
guerre,guerre,22
était,être,18
finie,finir,12
;,;,p
on,on,51
s',se,51
embrassait,embrasser,18
dans,dans,81
les,le,71
rues,rue,22
",",",",p
et,et,82
l',l',94
on,on,51
frotta,frotter,19
de,de,81
beurre,beurre,21
et,et,82
de,de,81
cinnamome,cinnamome,21
la,le,71
figure,figure,22
des,de,81
des,le,71
dieux-,dieu,21
Pataeques,Pataeques,20
pour,pour,81
les,le,52
remercier,remercier,14
/.,/.,P
avec,avec,81
leurs,leur,73
gros,gros,30
yeux,oeil,21
",",",",p
leur,leur,73
gros,gros,60
ventre,ventre,21
et,et,82
leurs,leur,73
deux,deux,72
bras,bras,21
levés,levé,31
jusqu',jusque,81
aux,à,81
aux,le,71
épaules,épaule,22
",",",",p
ils,ils,51
semblaient,sembler,18
vivre,vivre,14
sous,sous,81
leur,leur,73
peinture,peinture,22
plus,plus,60
fraîche,frais,30
et,et,82
participer,participer,14
à,à,81
l',le,71
allégresse,allégresse,22
du,de,81
du,le,71
peuple,peuple,21
/.,/.,P
les,le,71
riches,riche,21
laissaient,laisser,18
leurs,leur,73
portes,porte,22
ouvertes,ouvert,31
;,;,p
la,le,71
ville,ville,22
retentissait,retentir,18
du,de,81
du,le,71
ronflement,ronflement,21
des,de,81
des,le,71
tambourins,tambourin,21
;,;,p
les,le,71
temples,temple,21
toutes,tout,75
les,le,71
nuits,nuit,22
étaient,être,18
illuminés,illuminer,12
",",",",p
et,et,82
les,le,71
servantes,servante,22
de,de,81
la,le,71
déesse,déesse,22
descendues,descendu,31
dans,dans,81
Malqua,Malqua,20
établirent,établir,19
au,à,81
au,le,71
coin,coin,21
des,de,81
des,le,71
carrefours,carrefour,21
des,de,81
des,le,71
tréteaux,tréteau,21
en,en,81
sycomore,sycomore,21
",",",",p
où,où,60
elles,ils,51
se,se,51
prostituaient,prostituer,18
/.,/.,P
on,on,51
vota,voter,19
des,de,81
des,le,71
terres,terre,22
pour,pour,81
les,le,71
vainqueurs,vainqueur,21
",",",",p
des,de,81
des,le,71
holocaustes,holocauste,21
pour,pour,81
Melkarth,Melkarth,20
",",",",p
trois,trois,72
cents,cent,72
couronnes,couronne,22
d',de,81
or,or,21
pour,pour,81
le,le,71
Suffète,Suffète,20
",",",",p
et,et,82
ses,son,73
partisans,partisan,21
proposaient,proposer,18
de,de,81
lui,lui,51
décerner,décerner,14
des,de,81
des,le,71
prérogatives,prérogative,22
et,et,82
des,de,81
des,le,71
honneurs,honneur,21
nouveaux,nouveau,30
/.,/.,P
il,il,51
avait,avoir,18
sollicité,solliciter,12
les,le,71
anciens,ancien,21
de,de,81
faire,faire,14
des,de,81
des,le,71
ouvertures,ouverture,22
à,à,81
Autharite,Autharite,20
pour,pour,81
échanger,échanger,14
contre,contre,81
tous,tout,75
les,le,71
barbares,barbare,21
",",",",p
s',si,83
il,il,51
le,le,52
fallait,falloir,18
",",",",p
le,le,71
vieux,vieux,30
Giscon,Giscon,20
avec,avec,81
les,le,71
autres,autre,75
Carthaginois,Carthaginois,20
détenus,détenu,31
comme,comme,83
lui,lui,51
/.,/.,P
les,le,71
Libyens,Libyen,20
et,et,82
les,le,71
nomades,nomade,21
qui,qui,52
composaient,composer,18
l',le,71
armée,armée,22
d',de,81
Autharite,Autharite,20
connaissaient,connaître,18
à,à,81
peine,peine,22
ces,ce,74
mercenaires,mercenaire,21
",",",",p
hommes,homme,21
de,de,81
race,race,22
italiote,italiote,30
ou,ou,82
grecque,grec,30
;,;,p
et,et,82
puisque,puisque,83
la,le,71
république,république,22
leur,leur,52
offrait,offrir,18
tant,tant,60
de,de,81
barbares,barbare,21
contre,contre,81
si,si,83
peu,peu,60
de,de,81
Carthaginois,Carthaginois,20
",",",",p
c',ce,52
est,être,17
que,que,83
les,le,71
uns,un,52
étaient,être,18
de,de,81
nulle,nul,75
valeur,valeur,22
et,et,82
que,que,83
les,le,71
autres,autre,52
en,en,52
avaient,avoir,18
une,un,71
considérable,considérable,30
/.,/.,P
ils,ils,51
craignaient,craindre,18
un,un,71
piège,piège,21
/.,/.,P
Autharite,Autharite,20
refusa,refuser,19
/.,/.,P
alors,alors,60
les,le,71
anciens,ancien,21
décrétèrent,décréter,19
l',le,71
exécution,exécution,22
des,de,81
des,le,71
captifs,captif,21
",",",",p
bien,bien,60
que,que,83
le,le,71
Suffète,Suffète,20
leur,leur,52
eût,avoir,19
écrit,écrire,12
de,de,81
ne,ne,60
pas,pas,60
les,le,52
mettre,mettre,14
à,à,81
mort,mort,22
/.,/.,P
il,il,51
comptait,compter,18
incorporer,incorporer,14
les,le,71
meilleurs,meilleur,30
dans,dans,81
ses,son,73
troupes,troupe,22
et,et,82
exciter,exciter,14
par là,par-là,60
des,de,81
des,le,71
défections,défection,22
/.,/.,P
mais,mais,82
la,le,71
haine,haine,22
emporta,emporter,19
toute,tout,75
réserve,réserve,22
/.,/.,P
les,le,71
deux,deux,72
mille,mille,72
barbares,barbare,21
furent,être,19
attachés,attacher,12
dans,dans,81
les,le,71
Mappales,Mappales,20
",",",",p
contre,contre,81
les,le,71
stèles,stèle,22
des,de,81
des,le,71
tombeaux,tombeau,21
;,;,p
et,et,82
des,de,81
des,le,71
marchands,marchand,21
",",",",p
des,de,81
des,le,71
goujats,goujat,21
de,de,81
cuisine,cuisine,22
",",",",p
des,de,81
des,le,71
brodeurs,brodeur,21
et,et,82
même,même,60
des,de,81
des,le,71
femmes,femme,22
",",",",p
les,le,71
veuves,veuve,22
des,de,81
des,le,71
morts,mort,21
avec,avec,81
leurs,leur,73
enfants,enfant,21
",",",",p
tous,tout,75
ceux,celui,52
qui,qui,52
voulaient,vouloir,18
",",",",p
vinrent,venir,19
les,le,52
tuer,tuer,14
à,à,81
coups,coup,21
de,de,81
flèche,flèche,22
/.,/.,P
on,on,51
les,le,52
visait,viser,18
lentement,lentement,60
",",",",p
pour,pour,81
mieux,mieux,60
prolonger,prolonger,14
leur,leur,73
supplice,supplice,21
:,:,p
on,on,51
baissait,baisser,18
son,son,73
arme,arme,22
",",",",p
puis,puis,60
on,on,51
la,le,52
relevait,relever,18
tour,tour,21
à,à,81
tour,tour,21
;,;,p
et,et,82
la,le,71
multitude,multitude,22
se,se,51
poussait,pousser,18
en,en,81
hurlant,hurler,13
/.,/.,P
des,de,81
des,le,71
paralytiques,paralytique,21
se,se,51
faisaient,faire,18
amener,amener,14
sur,sur,81
des,de,81
des,le,71
civières,civière,22
;,;,p
beaucoup,beaucoup,60
",",",",p
par,par,81
précaution,précaution,22
",",",",p
apportaient,apporter,18
leur,leur,73
nourriture,nourriture,22
et,et,82
restaient,rester,18
là,là,60
jusqu',jusque,81
au,à,81
au,le,71
soir,soir,21
;,;,p
d',de,81
autres,autre,52
y,y,52
passaient,passer,18
la,le,71
nuit,nuit,22
/.,/.,P
on,on,51
avait,avoir,18
planté,planter,12
des,de,81
des,le,71
tentes,tente,22
où,où,60
l',l',94
on,on,51
buvait,boire,18
/.,/.,P
plusieurs,plusieurs,75
gagnèrent,gagner,19
de,de,81
fortes,fort,30
sommes,somme,22
à,à,81
louer,louer,14
des,de,81
des,le,71
arcs,arc,21
/.,/.,P
puis,puis,60
on,on,51
laissa,laisser,19
debout,debout,60
tous,tout,75
ces,ce,74
cadavres,cadavre,21
crucifiés,crucifié,31
",",",",p
qui,qui,52
semblaient,sembler,18
sur,sur,81
les,le,71
tombeaux,tombeau,21
autant,autant,60
de,de,81
statues,statue,22
rouges,rouge,30
et,et,82
l',le,71
exaltation,exaltation,22
gagnait,gagner,18
jusqu',jusque,81
aux,à,81
aux,le,71
gens,gens,21
de,de,81
Malqua,Malqua,20
",",",",p
issus,issu,30
des,de,81
des,le,71
familles,famille,22
autochtones,autochtone,30
et,et,82
d',de,81
ordinaire,ordinaire,21
indifférents,indifférent,30
aux,à,81
aux,le,71
choses,chose,22
de,de,81
la,le,71
patrie,patrie,22
/.,/.,P
par,par,81
reconnaissance,reconnaissance,22
des,de,81
des,le,71
plaisirs,plaisir,21
qu',que,52
elle,il,51
leur,leur,52
donnait,donner,18
",",",",p
maintenant,maintenant,60
ils,ils,51
s',se,51
intéressaient,intéresser,18
à,à,81
sa,son,73
fortune,fortune,22
",",",",p
se,se,51
sentaient,sentir,18
Puniques,Punique,20
",",",",p
et,et,82
les,le,71
anciens,ancien,21
trouvèrent,trouver,19
habile,habile,30
d',de,81
avoir,avoir,14
ainsi,ainsi,60
fondu,fondre,12
dans,dans,81
une,un,71
même,même,75
vengeance,vengeance,22
le,le,71
peuple,peuple,21
entier,entier,30
/.,/.,P
la,le,71
sanction,sanction,22
des,de,81
des,le,71
dieux,dieu,21
n',ne,60
y,y,52
manqua,manquer,19
pas,pas,60
;,;,p
car,car,82
de,de,81
tous,tout,75
les,le,71
côtés,côté,21
du,de,81
du,le,71
ciel,ciel,21
des,de,81
des,le,71
corbeaux,corbeau,21
s',se,51
abattirent,abattre,19
/.,/.,P
ils,ils,51
volaient,voler,18
en,en,81
tournant,tourner,13
dans,dans,81
l',le,71
air,air,21
avec,avec,81
de,de,81
grands,grand,30
cris,cri,21
rauques,rauque,30
",",",",p
et,et,82
faisaient,faire,18
un,un,71
nuage,nuage,21
énorme,énorme,30
qui,qui,52
roulait,rouler,18
sur,sur,81
soi-même,soi-même,51
continuellement,continuellement,60
/.,/.,P
on,on,51
l',le,52
apercevait,apercevoir,18
de,de,81
Clypéa,Clypéa,20
",",",",p
de,de,81
Rhadès,Rhadès,20
et,et,82
du,de,81
du,le,71
promontoire,promontoire,21
Hermaeum,Hermaeum,20
/.,/.,P
parfois,parfois,60
il,il,51
se,se,51
crevait,crever,18
tout,tout,60
à,à,81
coup,coup,21
",",",",p
élargissant,élargir,13
au,à,81
au,le,71
loin,loin,60
ses,son,73
spirales,spirale,22
noires,noir,30
;,;,p
c',ce,52
était,être,18
un,un,71
aigle,aigle,21
qui,qui,52
fondait,fondre,18
dans,dans,81
le,le,71
milieu,milieu,21
",",",",p
puis,puis,60
repartait,repartir,18
;,;,p
sur,sur,81
les,le,71
terrasses,terrasse,22
",",",",p
sur,sur,81
les,le,71
dômes,dôme,21
",",",",p
à,à,81
la,le,71
pointe,pointe,22
des,de,81
des,le,71
obélisques,obélisque,21
et,et,82
au,à,81
au,le,71
fronton,fronton,21
des,de,81
des,le,71
temples,temple,21
",",",",p
il,il,51
y,y,52
avait,avoir,18
",",",",p
çà,çà,60
et,et,82
là,là,60
",",",",p
de,de,81
gros,gros,30
oiseaux,oiseau,21
qui,qui,52
tenaient,tenir,18
dans,dans,81
leur,leur,73
bec,bec,21
rougi,rougi,31
des,de,81
des,le,71
lambeaux,lambeau,21
humains,humain,30
/.,/.,P
à,à,81
cause,cause,22
de,de,81
l',le,71
odeur,odeur,22
",",",",p
les,le,71
Carthaginois,Carthaginois,20
se,se,51
résignèrent,résigner,19
à,à,81
délier,délier,14
les,le,71
cadavres,cadavre,21
/.,/.,P
on,on,51
en,en,52
brûla,brûler,19
quelques-uns,quelqu'un,52
;,;,p
on,on,51
jeta,jeter,19
les,le,71
autres,autre,52
à,à,81
la,le,71
mer,mer,22
",",",",p
et,et,82
les,le,71
vagues,vague,22
poussées,poussé,31
par,par,81
le,le,71
vent,vent,21
du,de,81
du,le,71
nord,nord,21
",",",",p
en,en,52
déposèrent,déposer,19
sur,sur,81
la,le,71
plage,plage,22
",",",",p
au,à,81
au,le,71
fond,fond,21
du,de,81
du,le,71
golfe,golfe,21
",",",",p
devant,devant,81
le,le,71
camp,camp,21
d',de,81
Autharite,Autharite,20
/.,/.,P
ce,ce,74
châtiment,châtiment,21
avait,avoir,18
terrifié,terrifier,12
les,le,71
barbares,barbare,21
",",",",p
sans,sans,81
doute,doute,21
",",",",p
car,car,82
du,de,81
du,le,71
haut,haut,21
d',de,81
Eschmoûn,Eschmoûn,20
on,on,51
les,le,52
vit,voir,19
abattre,abattre,14
leurs,leur,73
tentes,tente,22
",",",",p
réunir,réunir,14
leurs,leur,73
troupeaux,troupeau,21
",",",",p
hisser,hisser,14
leurs,leur,73
bagages,bagage,21
sur,sur,81
des,de,81
des,le,71
ânes,âne,21
",",",",p
et,et,82
le,le,71
soir,soir,21
du,de,81
du,le,71
même,même,75
jour,jour,21
l',le,71
armée,armée,22
entière,entier,30
s',se,51
éloigna,éloigner,19
/.,/.,P
elle,il,51
devait,devoir,18
",",",",p
en,en,81
se,se,51
portant,porter,13
depuis,depuis,81
la,le,71
montagne,montagne,22
des,de,81
des,le,71
eaux,eau,22
chaudes,chaud,30
jusqu',jusque,81
à,à,81
Hippo-Zaryte,Hippo-Zaryte,20
alternativement,alternativement,60
",",",",p
interdire,interdire,14
au,à,81
au,le,71
Suffète,Suffète,20
l',le,71
approche,approche,22
des,de,81
des,le,71
villes,ville,22
tyriennes,tyrien,30
avec,avec,81
la,le,71
possibilité,possibilité,22
d',de,81
un,un,71
retour,retour,21
sur,sur,81
Carthage,Carthage,20
/.,/.,P
pendant,pendant,81
ce,ce,74
temps,temps,21
là,là,60
",",",",p
les,le,71
deux,deux,72
autres,autre,75
armées,armée,22
tâcheraient,tâcher,16
de,de,81
l',le,52
atteindre,atteindre,14
dans,dans,81
le,le,71
sud,sud,21
",",",",p
Spendius,Spendius,20
par,par,81
l',le,71
Orient,Orient,20
",",",",p
Mâtho,Mâtho,20
par,par,81
l',le,71
occident,occident,21
",",",",p
de,de,81
manière,manière,22
à,à,81
se,se,51
joindre,joindre,14
toutes,tout,75
les,le,71
trois,trois,72
pour,pour,81
le,le,52
surprendre,surprendre,14
et,et,82
l',le,52
enlacer,enlacer,14
/.,/.,P
puis,puis,60
un,un,71
renfort,renfort,21
qu',que,83
ils,ils,51
n',ne,60
espéraient,espérer,18
pas,pas,60
leur,leur,52
survint,survenir,19
:,:,p
Narr'Havas,Narr'Havas,20
reparut,reparaître,19
",",",",p
avec,avec,81
trois,trois,72
cents,cent,72
chameaux,chameau,21
chargés,chargé,31
de,de,81
bitume,bitume,21
",",",",p
vingt,vingt,72
cinq,cinq,72
éléphants,éléphant,21
et,et,82
six,six,72
mille,mille,72
cavaliers,cavalier,21
/.,/.,P
le,le,71
Suffète,Suffète,20
",",",",p
pour,pour,81
affaiblir,affaiblir,14
les,le,71
mercenaires,mercenaire,21
",",",",p
avait,avoir,18
jugé,juger,12
prudent,prudent,30
de,de,81
l',le,52
occuper,occuper,14
au,à,81
au,le,71
loin,loin,60
dans,dans,81
son,son,73
royaume,royaume,21
/.,/.,P
du,de,81
du,le,71
fond,fond,21
de,de,81
Carthage,Carthage,20
",",",",p
il,il,51
s',se,51
était,être,18
entendu,entendre,12
avec,avec,81
Masgaba,Masgaba,20
",",",",p
un,un,71
brigand,brigand,21
gétule,gétule,30
qui,qui,52
cherchait,chercher,18
à,à,81
se,se,51
faire,faire,14
un,un,71
empire,empire,21
/.,/.,P
fort,fort,30
de,de,81
l',le,71
argent,argent,21
punique,punique,30
",",",",p
le,le,71
coureur,coureur,21
d',de,81
aventures,aventure,22
avait,avoir,18
soulevé,soulever,12
les,le,71
Etats,état,21
numides,numide,30
en,en,81
leur,leur,52
promettant,promettre,13
la,le,71
liberté,liberté,22
/.,/.,P
mais,mais,82
Narr'Havas,Narr'Havas,20
",",",",p
prévenu,prévenu,21
par,par,81
le,le,71
fils,fils,21
de,de,81
sa,son,73
nourrice,nourrice,22
",",",",p
était,être,18
tombé,tomber,12
dans,dans,81
Cirta,Cirta,20
",",",",p
avait,avoir,18
empoisonné,empoisonner,12
les,le,71
vainqueurs,vainqueur,21
avec,avec,81
l',le,71
eau,eau,22
des,de,81
des,le,71
citernes,citerne,22
",",",",p
abattu,abattu,31
quelques,quelque,75
têtes,tête,22
",",",",p
tout,tout,60
rétabli,rétabli,31
",",",",p
et,et,82
il,il,51
arrivait,arriver,18
contre,contre,81
le,le,71
Suffète,Suffète,20
plus,plus,60
furieux,furieux,30
que,que,83
les,le,71
barbares,barbare,21
/.,/.,P
les,le,71
chefs,chef,21
des,de,81
des,le,71
quatre,quatre,72
armées,armée,22
s',se,51
entendirent,entendre,19
sur,sur,81
les,le,71
dispositions,disposition,22
de,de,81
la,le,71
guerre,guerre,22
/.,/.,P
elle,il,51
serait,être,16
longue,long,30
:,:,p
il,il,51
fallait,falloir,18
tout,tout,60
prévoir,prévoir,14
/.,/.,P
on,on,51
convint,convenir,19
d'abord,d'abord,60
de,de,81
réclamer,réclamer,14
l',le,71
assistance,assistance,22
des,de,81
des,le,71
Romains,Romain,20
",",",",p
et,et,82
l',l',94
on,on,51
offrit,offrir,19
cette,ce,74
mission,mission,22
à,à,81
Spendius,Spendius,20
;,;,p
comme,comme,83
transfuge,transfuge,21
",",",",p
il,il,51
n',ne,60
osa,oser,19
s',se,51
en,en,52
charger,charger,14
/.,/.,P
douze,douze,72
hommes,homme,21
des,de,81
des,le,71
colonies,colonie,22
grecques,grec,30
s',se,51
embarquèrent,embarquer,19
à,à,81
Annaba,Annaba,20
sur,sur,81
une,un,71
chaloupe,chaloupe,22
des,de,81
des,le,71
Numides,Numides,20
/.,/.,P
puis,puis,60
les,le,71
chefs,chef,21
exigèrent,exiger,19
de,de,81
tous,tout,75
les,le,71
barbares,barbare,21
le,le,71
serment,serment,21
d',de,81
une,un,71
obéissance,obéissance,22
complète,complet,30
/.,/.,P
chaque,chaque,75
jour,jour,21
les,le,71
capitaines,capitaine,21
inspectaient,inspecter,18
les,le,71
vêtements,vêtement,21
",",",",p
les,le,71
chaussures,chaussure,22
;,;,p
on,on,51
défendit,défendre,19
même,même,60
aux,à,81
aux,le,71
sentinelles,sentinelle,22
l',le,71
usage,usage,21
du,de,81
du,le,71
bouclier,bouclier,21
",",",",p
car,car,82
souvent,souvent,60
elles,ils,51
l',le,52
appuyaient,appuyer,18
contre,contre,81
leur,leur,73
lance,lance,22
et,et,82
s',se,51
endormaient,endormir,18
debout,debout,60
;,;,p
ceux,celui,52
qui,qui,52
traînaient,traîner,18
quelque,quelque,75
bagage,bagage,21
furent,être,19
contraints,contraindre,12
de,de,81
s',se,51
en,en,52
défaire,défaire,14
;,;,p
tout,tout,52
",",",",p
à,à,81
la,le,71
mode,mode,22
romaine,romain,30
",",",",p
devait,devoir,18
être,être,14
porté,porter,12
sur,sur,81
le,le,71
dos,dos,21
/.,/.,P
par,par,81
précaution,précaution,22
contre,contre,81
les,le,71
éléphants,éléphant,21
",",",",p
Mâtho,Mâtho,20
institua,instituer,19
un,un,71
corps,corps,21
de,de,81
cavaliers,cavalier,21
cataphractes,cataphracte,30
",",",",p
où,où,60
l',le,71
homme,homme,21
et,et,82
le,le,71
cheval,cheval,21
disparaissaient,disparaître,18
sous,sous,81
une,un,71
cuirasse,cuirasse,22
en,en,81
peau,peau,22
d',de,81
hippopotame,hippopotame,21
hérissée,hérissé,31
de,de,81
clous,clou,21
;,;,p
et,et,82
pour,pour,81
protéger,protéger,14
la,le,71
corne,corne,22
des,de,81
des,le,71
chevaux,cheval,21
",",",",p
on,on,51
leur,leur,52
fit,faire,19
des,de,81
des,le,71
bottines,bottine,22
en,en,81
tresse,tresse,22
de,de,81
sparterie,sparterie,22
/.,/.,P
il,il,51
fut,être,19
interdit,interdire,12
de,de,81
piller,piller,14
les,le,71
bourgs,bourg,21
",",",",p
de,de,81
tyranniser,tyranniser,14
les,le,71
habitants,habitant,21
de,de,81
race,race,22
non,non,60
punique,punique,30
/.,/.,P
mais,mais,82
comme,comme,83
la,le,71
contrée,contrée,22
s',se,51
épuisait,épuiser,18
",",",",p
Mâtho,Mâtho,20
ordonna,ordonner,19
de,de,81
distribuer,distribuer,14
les,le,71
vivres,vivre,21
par,par,81
tête,tête,22
de,de,81
soldat,soldat,21
",",",",p
sans,sans,81
s',se,51
inquiéter,inquiéter,14
des,de,81
des,le,71
femmes,femme,22
/.,/.,P
d'abord,d'abord,60
ils,ils,51
les,le,52
partagèrent,partager,19
avec,avec,81
elles,ils,51
/.,/.,P
faute,faute,22
de,de,81
nourriture,nourriture,22
",",",",p
beaucoup,beaucoup,60
s',se,51
affaiblissaient,affaiblir,18
/.,/.,P
c',ce,52
était,être,18
une,un,71
occasion,occasion,22
incessante,incessant,30
de,de,81
querelles,querelle,22
",",",",p
d',de,81
invectives,invective,22
",",",",p
plusieurs,plusieurs,75
attirant,attirer,13
les,le,71
compagnes,compagne,22
des,de,81
des,le,71
autres,autre,52
par,par,81
l',le,71
appât,appât,21
ou,ou,82
même,même,60
la,le,71
promesse,promesse,22
de,de,81
leur,leur,73
portion,portion,22
/.,/.,P
Mâtho,Mâtho,20
commanda,commander,19
de,de,81
les,le,52
chasser,chasser,14
toutes,tout,52
",",",",p
impitoyablement,impitoyablement,60
/.,/.,P
elles,ils,51
se,se,51
réfugièrent,réfugier,19
dans,dans,81
le,le,71
camp,camp,21
d',de,81
Autharite,Autharite,20
;,;,p
mais,mais,82
les,le,71
Gauloises,Gaulois,20
et,et,82
les,le,71
Libyennes,Libyen,20
",",",",p
à,à,81
force,force,22
d',de,81
outrages,outrage,21
",",",",p
les,le,52
contraignirent,contraindre,19
à,à,81
s',se,51
en,en,52
aller,aller,14
/.,/.,P
enfin,enfin,60
elles,ils,51
vinrent,venir,19
sous,sous,81
les,le,71
murs,mur,21
de,de,81
Carthage,Carthage,20
implorer,implorer,14
la,le,71
protection,protection,22
de,de,81
Cérès,Cérès,20
et,et,82
de,de,81
Proserpine,Proserpine,20
",",",",p
car,car,82
il,il,51
y,y,52
avait,avoir,18
dans,dans,81
Byrsa,Byrsa,20
un,un,71
temple,temple,21
et,et,82
des,de,81
des,le,71
prêtres,prêtre,21
consacrés,consacré,31
à,à,81
ces,ce,74
déesses,déesse,22
",",",",p
en,en,81
expiation,expiation,22
des,de,81
des,le,71
horreurs,horreur,22
commises,commis,31
