11847
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Quarante-neuvième extrait>,<>,<>
",",",",p
l',le,71
arrivée,arrivée,22
brusque,brusque,30
des,de,81
des,le,71
deux,deux,72
hommes,homme,21
l',le,52
avait,avoir,18
surprise,surprendre,12
;,;,p
et,et,82
",",",",p
les,le,71
mains,main,22
tremblantes,tremblant,30
",",",",p
elle,il,51
rattachait,rattacher,18
son,son,73
chignon,chignon,21
roulé,roulé,31
dans,dans,81
son,son,73
cou,cou,21
/.,/.,P
-,-,p
tu,tu,51
ne,ne,60
sais,savoir,17
pas,pas,60
",",",",p
reprit,reprendre,19
Coupeau,Coupeau,20
",",",",p
puisqu',puisque,83
il,il,51
a,avoir,17
eu,avoir,12
la,le,71
délicatesse,délicatesse,22
de,de,81
refuser,refuser,14
dehors,dehors,60
une,un,71
consommation,consommation,22
",",",",p
tu,tu,51
vas,aller,17
nous,nous,51
payer,payer,14
la,le,71
goutte,goutte,22
/…,/…,P
ah,ah,93
!,!,p
tu,tu,51
nous,nous,51
dois,devoir,17
bien,bien,60
ça,ça,52
/!,/!,P
les,le,71
ouvrières,ouvrière,22
étaient,être,18
parties,partir,12
depuis,depuis,81
longtemps,longtemps,60
/.,/.,P
maman,maman,22
Coupeau,Coupeau,20
et,et,82
Nana,Nana,20
venaient,venir,18
de,de,81
se,se,51
coucher,coucher,14
/.,/.,P
alors,alors,60
",",",",p
Gervaise,Gervaise,20
",",",",p
qui,qui,52
tenait,tenir,18
déjà,déjà,60
un,un,71
volet,volet,21
quand,quand,83
ils,ils,51
avaient,avoir,18
paru,paraître,12
",",",",p
laissa,laisser,19
la,le,71
boutique,boutique,22
ouverte,ouvert,31
",",",",p
apporta,apporter,19
sur,sur,81
un,un,71
coin,coin,21
de,de,81
l',le,71
établi,établi,21
des,de,81
des,le,71
verres,verre,21
et,et,82
le,le,71
fond,fond,21
d',de,81
une,un,71
bouteille,bouteille,22
de,de,81
cognac,cognac,21
/.,/.,P
Lantier,Lantier,20
restait,rester,18
debout,debout,60
",",",",p
évitait,éviter,18
de,de,81
lui,lui,51
adresser,adresser,14
directement,directement,60
la,le,71
parole,parole,22
/.,/.,P
pourtant,pourtant,60
",",",",p
quand,quand,83
elle,il,51
le,le,52
servit,servir,19
",",",",p
il,il,51
s',se,51
écria,écrier,19
:,:,p
-,-,p
une,un,71
larme,larme,22
seulement,seulement,60
",",",",p
madame,madame,22
",",",",p
je,je,51
vous,vous,51
prie,prier,17
/.,/.,P
Coupeau,Coupeau,20
les,le,52
regarda,regarder,19
",",",",p
s',se,51
expliqua,expliquer,19
très,très,60
carrément,carrément,60
/.,/.,P
ils,ils,51
n',ne,60
allaient,aller,18
pas,pas,60
faire,faire,14
les,le,71
dindes,dinde,22
",",",",p
peut-être,peut-être,60
/!,/!,P
le,le,71
passé,passé,21
était,être,18
le,le,71
passé,passé,21
",",",",p
n',ne,60
est,être,17
ce,ce,52
pas,pas,60
/?,/?,P
si,si,83
on,on,51
conservait,conserver,18
de,de,81
la,le,71
rancune,rancune,22
après,après,81
des,de,81
des,le,71
neuf,neuf,72
ans,an,21
et,et,82
des,de,81
des,le,71
dix,dix,72
ans,an,21
",",",",p
on,on,51
finirait,finir,16
par,par,81
ne,ne,60
plus,plus,60
voir,voir,14
personne,personne,52
/.,/.,P
non,non,60
",",",",p
non,non,60
",",",",p
il,il,51
avait,avoir,18
le,le,71
coeur,coeur,21
sur,sur,81
la,le,71
main,main,22
",",",",p
lui,lui,51
/!,/!,P
d'abord,d'abord,60
",",",",p
il,il,51
savait,savoir,18
à,à,81
qui,qui,52
il,il,51
avait,avoir,18
affaire,affaire,22
",",",",p
à,à,81
une,un,71
brave,brave,30
femme,femme,22
et,et,82
à,à,81
un,un,71
brave,brave,30
homme,homme,21
",",",",p
à,à,81
deux,deux,72
amis,ami,21
",",",",p
quoi,quoi,52
/!,/!,P
il,il,51
était,être,18
tranquille,tranquille,30
",",",",p
il,il,51
connaissait,connaître,18
leur,leur,73
honnêteté,honnêteté,22
/.,/.,P
-,-,p
oh,oh,93
!,!,p
bien,bien,60
sûr,sûr,30
…,…,p
bien,bien,60
sûr,sûr,30
…,…,p
répétait,répéter,18
Gervaise,Gervaise,20
",",",",p
les,le,71
paupières,paupière,22
baissées,baissé,31
",",",",p
sans,sans,81
comprendre,comprendre,14
ce,ce,52
qu',que,52
elle,il,51
disait,dire,18
/.,/.,P
-,-,p
c',ce,52
est,être,17
une,un,71
soeur,soeur,22
",",",",p
maintenant,maintenant,60
",",",",p
rien,rien,52
qu',que,83
une,un,71
soeur,soeur,22
!,!,p
murmura,murmurer,19
à,à,81
son,son,73
tour,tour,21
Lantier,Lantier,20
/.,/.,P
-,-,p
donnez,donner,17
vous,vous,51
la,le,71
main,main,22
",",",",p
nom,nom,21
de,de,81
dieu,dieu,21
!,!,p
cria,crier,19
Coupeau,Coupeau,20
",",",",p
et,et,82
foutons,foutre,17
nous,nous,51
des,de,81
des,le,71
bourgeois,bourgeois,21
/!,/!,P
quand,quand,83
on,on,51
a,avoir,17
de,de,81
ça,ça,52
dans,dans,81
le,le,71
coco,coco,21
",",",",p
voyez,voir,17
vous,vous,51
",",",",p
on,on,51
est,être,17
plus,plus,60
chouette,chouette,22
que,que,83
les,le,71
millionnaires,millionnaire,21
/.,/.,P
moi,moi,51
",",",",p
je,je,51
mets,mettre,17
l',le,71
amitié,amitié,22
avant,avant,81
tout,tout,52
",",",",p
parce que,parce que,83
l',le,71
amitié,amitié,22
",",",",p
c',ce,52
est,être,17
l',le,71
amitié,amitié,22
",",",",p
et,et,82
qu',que,52
il,il,51
n',ne,60
y,y,52
a,avoir,17
rien,rien,52
au-dessus,au-dessus,60
/.,/.,P
il,il,51
s',se,51
enfonçait,enfoncer,18
de,de,81
grands,grand,30
coups,coup,21
de,de,81
poing,poing,21
dans,dans,81
l',le,71
estomac,estomac,21
",",",",p
l',le,71
air,air,21
si,si,60
ému,ému,31
",",",",p
qu',que,83
ils,ils,51
durent,devoir,19
le,le,52
calmer,calmer,14
/.,/.,P
tous,tout,75
trois,trois,72
",",",",p
en,en,81
silence,silence,21
",",",",p
trinquèrent,trinquer,19
et,et,82
burent,boire,19
leur,leur,73
goutte,goutte,22
/.,/.,P
Gervaise,Gervaise,20
put,pouvoir,19
alors,alors,60
regarder,regarder,14
Lantier,Lantier,20
à,à,81
son,son,73
aise,aise,22
;,;,p
car,car,82
",",",",p
le,le,71
soir,soir,21
de,de,81
la,le,71
fête,fête,22
",",",",p
elle,il,51
l',le,52
avait,avoir,18
vu,voir,12
dans,dans,81
un,un,71
brouillard,brouillard,21
/.,/.,P
il,il,51
s',se,51
était,être,18
épaissi,épaissir,12
",",",",p
gras,gras,30
et,et,82
rond,rond,30
",",",",p
les,le,71
jambes,jambe,22
et,et,82
les,le,71
bras,bras,21
lourds,lourd,30
",",",",p
à,à,81
cause,cause,22
de,de,81
sa,son,73
petite,petit,30
taille,taille,22
/.,/.,P
mais,mais,82
sa,son,73
figure,figure,22
gardait,garder,18
de,de,81
jolis,joli,30
traits,trait,21
sous,sous,81
la,le,71
bouffissure,bouffissure,22
de,de,81
sa,son,73
vie,vie,22
de,de,81
fainéantise,fainéantise,22
;,;,p
et,et,82
comme,comme,83
il,il,51
soignait,soigner,18
toujours,toujours,60
beaucoup,beaucoup,60
ses,son,73
minces,mince,30
moustaches,moustache,22
",",",",p
on,on,51
lui,lui,51
aurait,avoir,16
donné,donner,12
juste,juste,60
son,son,73
âge,âge,21
",",",",p
trente,trente,72
cinq,cinq,72
ans,an,21
/.,/.,P
ce,ce,74
jour,jour,21
là,là,60
",",",",p
il,il,51
portait,porter,18
un,un,71
pantalon,pantalon,21
gris,gris,30
et,et,82
un,un,71
paletot,paletot,21
gros,gros,30
bleu,bleu,30
comme,comme,83
un,un,71
monsieur,monsieur,21
",",",",p
avec,avec,81
un,un,71
chapeau,chapeau,21
rond,rond,30
;,;,p
même,même,60
il,il,51
avait,avoir,18
une,un,71
montre,montre,22
et,et,82
une,un,71
chaîne,chaîne,22
d',de,81
argent,argent,21
",",",",p
à,à,81
laquelle,lequel,52
pendait,pendre,18
une,un,71
bague,bague,22
",",",",p
un,un,71
souvenir,souvenir,21
/.,/.,P
-,-,p
je,je,51
m',je,51
en,en,52
vais,aller,17
",",",",p
dit,dire,19
il,il,51
/.,/.,P
je,je,51
reste,rester,17
au,à,81
au,le,71
diable,diable,21
/.,/.,P
il,il,51
était,être,18
déjà,déjà,60
sur,sur,81
le,le,71
trottoir,trottoir,21
",",",",p
lorsque,lorsque,83
le,le,71
zingueur,zingueur,21
le,le,52
rappela,rappeler,19
pour,pour,81
lui,lui,51
faire,faire,14
promettre,promettre,14
de,de,81
ne,ne,60
plus,plus,60
passer,passer,14
devant,devant,81
la,le,71
porte,porte,22
sans,sans,81
leur,leur,52
dire,dire,14
un,un,71
petit,petit,30
bonjour,bonjour,21
/.,/.,P
cependant,cependant,82
",",",",p
Gervaise,Gervaise,20
",",",",p
qui,qui,52
venait,venir,18
de,de,81
disparaître,disparaître,14
doucement,doucement,60
",",",",p
rentra,rentrer,19
en,en,81
poussant,pousser,13
devant,devant,81
elle,il,51
Etienne,Etienne,20
",",",",p
en,en,81
manches,manche,22
de,de,81
chemise,chemise,22
",",",",p
la,le,71
face,face,22
déjà,déjà,60
endormie,endormi,31
/.,/.,P
l',le,71
enfant,enfant,21
souriait,sourire,18
",",",",p
se,se,51
frottait,frotter,18
les,le,71
yeux,oeil,21
/.,/.,P
mais,mais,82
quand,quand,83
il,il,51
aperçut,apercevoir,19
Lantier,Lantier,20
",",",",p
il,il,51
resta,rester,19
tremblant,tremblant,30
et,et,82
gêné,gêné,31
",",",",p
coulant,couler,13
des,de,81
des,le,71
regards,regard,21
inquiets,inquiet,30
du,de,81
du,le,71
côté,côté,21
de,de,81
sa,son,73
mère,mère,22
et,et,82
de,de,81
Coupeau,Coupeau,20
/.,/.,P
-,-,p
tu,tu,51
ne,ne,60
reconnais,reconnaître,17
pas,pas,60
ce,ce,74
monsieur,monsieur,21
?,?,p
demanda,demander,19
celui-ci,celui-ci,52
/.,/.,P
l',le,71
enfant,enfant,21
baissa,baisser,19
la,le,71
tête,tête,22
sans,sans,81
répondre,répondre,14
/.,/.,P
puis,puis,60
",",",",p
il,il,51
eut,avoir,19
un,un,71
léger,léger,30
signe,signe,21
pour,pour,81
dire,dire,14
qu',que,83
il,il,51
reconnaissait,reconnaître,18
le,le,71
monsieur,monsieur,21
/.,/.,P
-,-,p
eh,eh,93
bien,bien,60
!,!,p
ne,ne,60
fais,faire,17
pas,pas,60
la,le,71
bête,bête,22
",",",",p
va,aller,17
l',le,52
embrasser,embrasser,14
/.,/.,P
Lantier,Lantier,20
",",",",p
grave,grave,30
et,et,82
tranquille,tranquille,30
",",",",p
attendait,attendre,18
/.,/.,P
lorsque,lorsque,83
Etienne,Etienne,20
se,se,51
décida,décider,19
à,à,81
s',se,51
approcher,approcher,14
",",",",p
il,il,51
se,se,51
courba,courber,19
",",",",p
tendit,tendre,19
les,le,71
deux,deux,72
joues,joue,22
",",",",p
puis,puis,60
posa,poser,19
lui-même,lui-même,51
un,un,71
gros,gros,30
baiser,baiser,21
sur,sur,81
le,le,71
front,front,21
du,de,81
du,le,71
gamin,gamin,21
/.,/.,P
alors,alors,60
",",",",p
celui-ci,celui-ci,52
osa,oser,19
regarder,regarder,14
son,son,73
père,père,21
/.,/.,P
mais,mais,82
",",",",p
tout,tout,60
d',de,81
un,un,71
coup,coup,21
",",",",p
il,il,51
éclata,éclater,19
en,en,81
sanglots,sanglot,21
",",",",p
il,il,51
se,se,51
sauva,sauver,19
comme,comme,83
un,un,71
fou,fou,21
",",",",p
débraillé,débraillé,30
",",",",p
grondé,grondé,31
par,par,81
Coupeau,Coupeau,20
qui,qui,52
le,le,52
traitait,traiter,18
de,de,81
sauvage,sauvage,21
/.,/.,P
-,-,p
c',ce,52
est,être,17
l',le,71
émotion,émotion,22
",",",",p
dit,dire,19
Gervaise,Gervaise,20
",",",",p
pâle,pâle,30
et,et,82
secouée,secoué,31
elle-même,lui-même,51
/.,/.,P
-,-,p
oh,oh,93
!,!,p
il,il,51
est,être,17
très,très,60
doux,doux,30
",",",",p
très,très,60
gentil,gentil,30
d',de,81
habitude,habitude,22
",",",",p
expliquait,expliquer,18
Coupeau,Coupeau,20
/.,/.,P
je,je,51
l',le,52
ai,avoir,17
crânement,crânement,60
élevé,élever,12
",",",",p
vous,vous,51
verrez,voir,15
/…,/…,P
il,il,51
s',se,51
habituera,habituer,15
à,à,81
vous,vous,51
/.,/.,P
il,il,51
faut,falloir,17
qu',que,83
il,il,51
connaisse,connaître,17
les,le,71
gens,gens,21
/…,/…,P
enfin,enfin,60
",",",",p
quand,quand,83
il,il,51
n',ne,60
y,y,52
aurait,avoir,16
eu,avoir,12
que,que,83
ce,ce,74
petit,petit,21
",",",",p
on,on,51
ne,ne,60
pouvait,pouvoir,18
pas,pas,60
rester,rester,14
toujours,toujours,60
brouillé,brouillé,31
",",",",p
n',ne,60
est,être,17
ce,ce,52
pas,pas,60
/?,/?,P
nous,nous,51
aurions,avoir,16
dû,devoir,12
faire,faire,14
ça,ça,52
pour,pour,81
lui,lui,51
il,il,51
y,y,52
a,avoir,17
beaux,beau,30
jours,jour,21
",",",",p
car,car,82
je,je,51
donnerais,donner,16
plutôt,plutôt,60
ma,mon,73
tête,tête,22
à,à,81
couper,couper,14
que,que,83
d',de,81
empêcher,empêcher,14
un,un,71
père,père,21
de,de,81
voir,voir,14
son,son,73
enfant,enfant,21
/.,/.,P
là-dessus,là-dessus,60
",",",",p
il,il,51
parla,parler,19
d',de,81
achever,achever,14
la,le,71
bouteille,bouteille,22
de,de,81
cognac,cognac,21
/.,/.,P
tous,tout,75
trois,trois,72
trinquèrent,trinquer,19
de,de,81
nouveau,nouveau,21
/.,/.,P
Lantier,Lantier,20
ne,ne,60
s',se,51
étonnait,étonner,18
pas,pas,60
",",",",p
avait,avoir,18
un,un,71
beau,beau,30
calme,calme,21
/.,/.,P
avant,avant,81
de,de,81
s',se,51
en,en,52
aller,aller,14
",",",",p
pour,pour,81
rendre,rendre,14
ses,son,73
politesses,politesse,22
au,à,81
au,le,71
zingueur,zingueur,21
",",",",p
il,il,51
voulut,vouloir,19
absolument,absolument,60
fermer,fermer,14
la,le,71
boutique,boutique,22
avec,avec,81
lui,lui,51
/.,/.,P
puis,puis,60
",",",",p
tapant,taper,13
dans,dans,81
ses,son,73
mains,main,22
par,par,81
propreté,propreté,22
",",",",p
il,il,51
souhaita,souhaiter,19
une,un,71
bonne,bon,30
nuit,nuit,22
au,à,81
au,le,71
ménage,ménage,21
/.,/.,P
-,-,p
dormez,dormir,17
bien,bien,60
/.,/.,P
je,je,51
vais,aller,17
tâcher,tâcher,14
de,de,81
pincer,pincer,14
l',le,71
omnibus,omnibus,21
/…,/…,P
je,je,51
vous,vous,51
promets,promettre,17
de,de,81
revenir,revenir,14
bientôt,bientôt,60
/.,/.,P
à,à,81
partir,partir,14
de,de,81
cette,ce,74
soirée,soirée,22
",",",",p
Lantier,Lantier,20
se,se,51
montra,montrer,19
souvent,souvent,60
rue,rue,22
de,de,81
la,le,71
Goutte-d'Or,Goutte d'Or,20
/.,/.,P
il,il,51
se,se,51
présentait,présenter,18
quand,quand,83
le,le,71
zingueur,zingueur,21
était,être,18
là,là,60
",",",",p
demandant,demander,13
de,de,81
ses,son,73
nouvelles,nouvelle,22
dès,dès,81
la,le,71
porte,porte,22
",",",",p
affectant,affecter,13
d',de,81
entrer,entrer,14
uniquement,uniquement,60
pour,pour,81
lui,lui,51
/.,/.,P
puis,puis,60
",",",",p
assis,assis,31
contre,contre,81
la,le,71
vitrine,vitrine,22
",",",",p
toujours,toujours,60
en,en,81
paletot,paletot,21
",",",",p
rasé,rasé,31
et,et,82
peigné,peigné,31
",",",",p
il,il,51
causait,causer,18
poliment,poliment,60
",",",",p
avec,avec,81
les,le,71
manières,manière,22
d',de,81
un,un,71
homme,homme,21
qui,qui,52
aurait,avoir,16
reçu,recevoir,12
de,de,81
l',le,71
instruction,instruction,22
/.,/.,P
c',ce,52
est,être,17
ainsi,ainsi,60
que,que,83
les,le,71
Coupeau,Coupeau,20
apprirent,apprendre,19
peu,peu,60
à,à,81
peu,peu,60
des,de,81
des,le,71
détails,détail,21
sur,sur,81
sa,son,73
vie,vie,22
/.,/.,P
pendant,pendant,81
les,le,71
huit,huit,72
dernières,dernier,30
années,année,22
",",",",p
il,il,51
avait,avoir,18
un,un,71
moment,moment,21
dirigé,diriger,12
une,un,71
fabrique,fabrique,22
de,de,81
chapeaux,chapeau,21
;,;,p
et,et,82
quand,quand,83
on,on,51
lui,lui,51
demandait,demander,18
pourquoi,pourquoi,60
il,il,51
s',se,51
était,être,18
retiré,retirer,12
",",",",p
il,il,51
se,se,51
contentait,contenter,18
de,de,81
parler,parler,14
de,de,81
la,le,71
coquinerie,coquinerie,22
d',de,81
un,un,71
associé,associé,21
",",",",p
un,un,71
compatriote,compatriote,21
",",",",p
une,un,71
canaille,canaille,22
qui,qui,52
avait,avoir,18
mangé,manger,12
la,le,71
maison,maison,22
avec,avec,81
les,le,71
femmes,femme,22
/.,/.,P
mais,mais,82
son,son,73
ancien,ancien,30
titre,titre,21
de,de,81
patron,patron,21
restait,rester,18
sur,sur,81
toute,tout,75
sa,son,73
personne,personne,22
comme,comme,83
une,un,71
noblesse,noblesse,22
à,à,81
laquelle,lequel,52
il,il,51
ne,ne,60
pouvait,pouvoir,18
plus,plus,60
déroger,déroger,14
/.,/.,P
il,il,51
se,se,51
disait,dire,18
sans,sans,81
cesse,cesse,22
près,près,81
de,de,81
conclure,conclure,14
une,un,71
affaire,affaire,22
superbe,superbe,30
",",",",p
des,de,81
des,le,71
maisons,maison,22
de,de,81
chapellerie,chapellerie,22
devaient,devoir,18
l',le,52
établir,établir,14
",",",",p
lui,lui,51
confier,confier,14
des,de,81
des,le,71
intérêts,intérêt,21
énormes,énorme,30
/.,/.,P
en,en,81
attendant,attendre,13
",",",",p
il,il,51
ne,ne,60
faisait,faire,18
absolument,absolument,60
rien,rien,52
",",",",p
se,se,51
promenait,promener,18
au,à,81
au,le,71
soleil,soleil,21
",",",",p
les,le,71
mains,main,22
dans,dans,81
les,le,71
poches,poche,22
",",",",p
ainsi,ainsi,60
qu',que,83
un,un,71
bourgeois,bourgeois,21
/.,/.,P
les,le,71
jours,jour,21
où,où,60
il,il,51
se,se,51
plaignait,plaindre,18
",",",",p
si,si,83
l',l',94
on,on,51
se,se,51
risquait,risquer,18
à,à,81
lui,lui,51
indiquer,indiquer,14
une,un,71
manufacture,manufacture,22
demandant,demander,13
des,de,81
des,le,71
ouvriers,ouvrier,21
",",",",p
il,il,51
semblait,sembler,18
pris,pris,31
d',de,81
une,un,71
pitié,pitié,22
souriante,souriant,30
",",",",p
il,il,51
n',ne,60
avait,avoir,18
pas,pas,60
envie,envie,22
de,de,81
crever,crever,14
la,le,71
faim,faim,22
",",",",p
en,en,81
s',se,51
échinant,échiner,13
pour,pour,81
les,le,71
autres,autre,52
/.,/.,P
ce,ce,74
gaillard,gaillard,21
là,là,60
",",",",p
toutefois,toutefois,60
",",",",p
comme,comme,83
disait,dire,18
Coupeau,Coupeau,20
",",",",p
ne,ne,60
vivait,vivre,18
pas,pas,60
de,de,81
l',le,71
air,air,21
du,de,81
du,le,71
temps,temps,21
/.,/.,P
oh,oh,93
!,!,p
c',ce,52
était,être,18
un,un,71
malin,malin,21
",",",",p
il,il,51
savait,savoir,18
s',se,51
arranger,arranger,14
",",",",p
il,il,51
bibelotait,bibeloter,18
quelque,quelque,75
commerce,commerce,21
",",",",p
car,car,82
enfin,enfin,60
il,il,51
montrait,montrer,18
une,un,71
figure,figure,22
de,de,81
prospérité,prospérité,22
",",",",p
il,il,51
lui,lui,51
fallait,falloir,18
bien,bien,60
de,de,81
l',le,71
argent,argent,21
pour,pour,81
se,se,51
payer,payer,14
du,de,81
du,le,71
linge,linge,21
blanc,blanc,30
et,et,82
des,de,81
des,le,71
cravates,cravate,22
de,de,81
fils,fils,21
de,de,81
famille,famille,22
/.,/.,P
un,un,71
matin,matin,21
",",",",p
le,le,71
zingueur,zingueur,21
l',le,52
avait,avoir,18
vu,voir,12
se,se,51
faire,faire,14
cirer,cirer,14
",",",",p
boulevard,boulevard,21
Montmartre,Montmartre,20
/.,/.,P
la,le,71
vraie,vrai,30
vérité,vérité,22
était,être,18
que,que,83
Lantier,Lantier,20
",",",",p
très,très,60
bavard,bavard,30
sur,sur,81
les,le,71
autres,autre,52
",",",",p
se,se,51
taisait,taire,18
ou,ou,82
mentait,mentir,18
quand,quand,83
il,il,51
s',se,51
agissait,agir,18
de,de,81
lui,lui,51
/.,/.,P
il,il,51
ne,ne,60
voulait,vouloir,18
même,même,60
pas,pas,60
dire,dire,14
où,où,60
il,il,51
demeurait,demeurer,18
/.,/.,P
non,non,60
",",",",p
il,il,51
logeait,loger,18
chez,chez,81
un,un,71
ami,ami,21
",",",",p
là-bas,là-bas,60
",",",",p
au,à,81
au,le,71
diable,diable,21
",",",",p
le,le,71
temps,temps,21
de,de,81
trouver,trouver,14
une,un,71
belle,beau,30
situation,situation,22
;,;,p
et,et,82
il,il,51
défendait,défendre,18
aux,à,81
aux,le,71
gens,gens,21
de,de,81
venir,venir,14
le,le,52
voir,voir,14
",",",",p
parce qu',parce que,83
il,il,51
n',ne,60
y,y,52
était,être,18
jamais,jamais,60
/.,/.,P
-,-,p
on,on,51
rencontre,rencontrer,17
dix,dix,72
positions,position,22
pour,pour,81
une,un,52
",",",",p
expliquait,expliquer,18
il,il,51
souvent,souvent,60
/.,/.,P
seulement,seulement,60
",",",",p
ce,ce,52
n',ne,60
est,être,17
pas,pas,60
la,le,71
peine,peine,22
d',de,81
entrer,entrer,14
dans,dans,81
des,de,81
des,le,71
boites,boiter,17
où,où,60
l',l',94
on,on,51
ne,ne,60
restera,rester,15
pas,pas,60
vingt,vingt,72
quatre,quatre,72
heures,heure,22
/…,/…,P
ainsi,ainsi,60
",",",",p
j',je,51
arrive,arriver,17
un,un,71
lundi,lundi,21
chez,chez,81
Champion,Champion,20
",",",",p
à,à,81
Montrouge,Montrouge,20
/.,/.,P
le,le,71
soir,soir,21
",",",",p
Champion,Champion,20
m',je,51
embête,embêter,17
sur,sur,81
la,le,71
politique,politique,22
;,;,p
il,il,51
n',ne,60
avait,avoir,18
pas,pas,60
les,le,71
mêmes,même,75
idées,idée,22
que,que,83
moi,moi,51
/.,/.,P
eh,eh,93
bien,bien,60
!,!,p
le,le,71
mardi,mardi,21
matin,matin,21
",",",",p
je,je,51
filais,filer,18
",",",",p
attendu,attendu,81
que,que,83
nous,nous,51
ne,ne,60
sommes,être,17
plus,plus,60
au,à,81
au,le,71
temps,temps,21
des,de,81
des,le,71
esclaves,esclave,21
et,et,82
que,que,83
je,je,51
ne,ne,60
veux,vouloir,17
pas,pas,60
me,je,51
vendre,vendre,14
pour,pour,81
sept,sept,72
francs,franc,21
par,par,81
jour,jour,21
/.,/.,P
on,on,51
était,être,18
alors,alors,60
dans,dans,81
les,le,71
premiers,premier,72
jours,jour,21
de,de,81
novembre,novembre,21
/.,/.,P
Lantier,Lantier,20
apporta,apporter,19
galamment,galamment,60
des,de,81
des,le,71
bouquets,bouquet,21
de,de,81
violettes,violette,22
",",",",p
qu',que,52
il,il,51
distribuait,distribuer,18
à,à,81
Gervaise,Gervaise,20
et,et,82
aux,à,81
aux,le,71
deux,deux,72
ouvrières,ouvrière,22
/.,/.,P
peu,peu,60
à,à,81
peu,peu,60
",",",",p
il,il,51
multiplia,multiplier,19
ses,son,73
visites,visite,22
",",",",p
il,il,51
vint,venir,19
presque,presque,60
tous,tout,75
les,le,71
jours,jour,21
/.,/.,P
il,il,51
paraissait,paraître,18
vouloir,vouloir,14
faire,faire,14
la,le,71
conquête,conquête,22
de,de,81
la,le,71
maison,maison,22
",",",",p
du,de,81
du,le,71
quartier,quartier,21
entier,entier,30
;,;,p
et,et,82
il,il,51
commença,commencer,19
par,par,81
séduire,séduire,14
Clémence,Clémence,20
et,et,82
madame,madame,22
Putois,Putois,20
",",",",p
auxquelles,à,81
auxquelles,lequel,52
il,il,51
témoignait,témoigner,18
",",",",p
sans,sans,81
distinction,distinction,22
d',de,81
âge,âge,21
",",",",p
les,le,71
attentions,attention,22
les,le,71
plus,plus,60
empressées,empressé,31
/.,/.,P
au,à,81
au,le,71
bout,bout,21
d',de,81
un,un,71
mois,mois,21
",",",",p
les,le,71
deux,deux,72
ouvrières,ouvrière,22
l',le,52
adoraient,adorer,18
