12010
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Trente-huitième extrait>,<>,<>
grands,grand,30
vases,vase,21
de,de,81
verre,verre,21
bleu,bleu,30
",",",",p
et,et,82
disposait,disposer,18
son,son,73
appartement,appartement,21
et,et,82
sa,son,73
personne,personne,22
comme,comme,83
une,un,71
courtisane,courtisane,22
qui,qui,52
attend,attendre,17
un,un,71
prince,prince,21
/.,/.,P
il,il,51
fallait,falloir,18
que,que,83
la,le,71
domestique,domestique,22
fût,être,19
sans,sans,81
cesse,cesse,22
à,à,81
blanchir,blanchir,14
du,de,81
du,le,71
linge,linge,21
;,;,p
et,et,82
",",",",p
de,de,81
toute,tout,75
la,le,71
journée,journée,22
",",",",p
Félicité,Félicité,20
ne,ne,60
bougeait,bouger,18
de,de,81
la,le,71
cuisine,cuisine,22
",",",",p
où,où,60
le,le,71
petit,petit,30
Justin,Justin,20
",",",",p
qui,qui,52
souvent,souvent,60
lui,lui,51
tenait,tenir,18
compagnie,compagnie,22
",",",",p
la,le,52
regardait,regarder,18
travailler,travailler,14
/.,/.,P
le,le,71
coude,coude,21
sur,sur,81
la,le,71
longue,long,30
planche,planche,22
où,où,60
elle,il,51
repassait,repasser,18
",",",",p
il,il,51
considérait,considérer,18
avidement,avidement,60
toutes,tout,75
ces,ce,74
affaires,affaire,22
de,de,81
femmes,femme,22
étalées,étalé,31
autour,autour,60
de,de,81
lui,lui,51
:,:,p
les,le,71
jupons,jupon,21
de,de,81
basin,basin,21
",",",",p
les,le,71
fichus,fichu,31
",",",",p
les,le,71
collerettes,collerette,22
",",",",p
et,et,82
les,le,71
pantalons,pantalon,21
à,à,81
coulisse,coulisse,22
",",",",p
vastes,vaste,30
de,de,81
hanches,hanche,22
et,et,82
qui,qui,52
se,se,51
rétrécissaient,rétrécir,18
par,par,81
le,le,71
bas,bas,21
/.,/.,P
-,-,p
à,à,81
quoi,quoi,52
cela,cela,52
sert,servir,17
il,il,51
?,?,p
demandait,demander,18
le,le,71
jeune,jeune,30
garçon,garçon,21
en,en,81
passant,passer,13
sa,son,73
main,main,22
sur,sur,81
la,le,71
crinoline,crinoline,22
ou,ou,82
les,le,71
agrafes,agrafe,22
/.,/.,P
-,-,p
tu,tu,51
n',ne,60
as,avoir,17
donc,donc,82
jamais,jamais,60
rien,rien,52
vu,voir,12
?,?,p
répondait,répondre,18
en,en,81
riant,rire,13
Félicité,Félicité,20
;,;,p
comme,comme,83
si,si,83
ta,ton,73
patronne,patronne,22
",",",",p
madame,madame,22
Homais,Homais,20
",",",",p
n',ne,60
en,en,52
portait,porter,18
pas,pas,60
de,de,81
pareils,pareil,30
/.,/.,P
-,-,p
ah,ah,93
bien,bien,60
oui,oui,60
!,!,p
madame,madame,22
Homais,Homais,20
/!,/!,P
et,et,82
il,il,51
ajoutait,ajouter,18
d',de,81
un,un,71
ton,ton,21
méditatif,méditatif,30
:,:,p
-,-,p
est,être,17
ce,ce,52
que,que,83
c',ce,52
est,être,17
une,un,71
dame,dame,22
comme,comme,83
madame,madame,22
/?,/?,P
mais,mais,82
Félicité,Félicité,20
s',se,51
impatientait,impatienter,18
de,de,81
le,le,52
voir,voir,14
tourner,tourner,14
ainsi,ainsi,60
tout,tout,60
autour,autour,60
d',de,81
elle,il,51
/.,/.,P
elle,il,51
avait,avoir,18
six,six,72
ans,an,21
de,de,81
plus,plus,60
",",",",p
et,et,82
Théodore,Théodore,20
",",",",p
le,le,71
domestique,domestique,21
de,de,81
monsieur,monsieur,21
Guillaumin,Guillaumin,20
",",",",p
commençait,commencer,18
à,à,81
lui,lui,51
faire,faire,14
la,le,71
cour,cour,22
/.,/.,P
-,-,p
laisse,laisser,17
moi,moi,51
tranquille,tranquille,30
!,!,p
disait,dire,18
elle,il,51
en,en,52
déplaçant,déplacer,13
son,son,73
pot,pot,21
d',de,81
empois,empois,21
/.,/.,P
va,aller,17
t',tu,51
en,en,52
plutôt,plutôt,60
piler,piler,14
des,de,81
des,le,71
amandes,amande,22
;,;,p
tu,tu,51
es,être,17
toujours,toujours,60
à,à,81
fourrager,fourrager,14
du,de,81
du,le,71
côté,côté,21
des,de,81
des,le,71
femmes,femme,22
;,;,p
attends,attendre,17
pour,pour,81
te,tu,51
mêler,mêler,14
de,de,81
ça,ça,52
",",",",p
méchant,méchant,30
mioche,mioche,21
",",",",p
que,que,83
tu,tu,51
aies,avoir,17
de,de,81
la,le,71
barbe,barbe,22
au,à,81
au,le,71
menton,menton,21
/.,/.,P
-,-,p
allons,aller,17
",",",",p
ne,ne,60
vous,vous,51
fâchez,fâcher,17
pas,pas,60
",",",",p
je,je,51
m',je,51
en,en,52
vais,aller,17
vous,vous,51
faire,faire,14
ses,son,73
bottines,bottine,22
/.,/.,P
et,et,82
aussitôt,aussitôt,60
",",",",p
il,il,51
atteignait,atteindre,18
sur,sur,81
le,le,71
chambranle,chambranle,21
les,le,71
chaussures,chaussure,22
d',de,81
Emma,Emma,20
",",",",p
tout,tout,60
empâtées,empâté,31
de,de,81
crotte,crotte,22
-,-,p
la,le,71
crotte,crotte,22
des,de,81
des,le,71
rendez-vous,rendez-vous,21
-,-,p
qui,qui,52
se,se,51
détachait,détacher,18
en,en,81
poudre,poudre,22
sous,sous,81
ses,son,73
doigts,doigt,21
",",",",p
et,et,82
qu',que,52
il,il,51
regardait,regarder,18
monter,monter,14
doucement,doucement,60
dans,dans,81
un,un,71
rayon,rayon,21
de,de,81
soleil,soleil,21
/.,/.,P
-,-,p
comme,comme,83
tu,tu,51
as,avoir,17
peur,peur,22
de,de,81
les,le,52
abîmer,abîmer,14
!,!,p
disait,dire,18
la,le,71
cuisinière,cuisinière,22
",",",",p
qui,qui,52
n',ne,60
y,y,52
mettait,mettre,18
pas,pas,60
tant,tant,60
de,de,81
façons,façon,22
quand,quand,83
elle,il,51
les,le,52
nettoyait,nettoyer,18
elle-même,lui-même,51
",",",",p
parce que,parce que,83
madame,madame,22
",",",",p
dès,dès,81
que,que,83
l',le,71
étoffe,étoffe,22
n',ne,60
était,être,18
plus,plus,60
fraîche,frais,30
",",",",p
les,le,71
lui,lui,51
abandonnait,abandonner,18
/.,/.,P
Emma,Emma,20
en,en,52
avait,avoir,18
une,un,71
quantité,quantité,22
dans,dans,81
son,son,73
armoire,armoire,22
",",",",p
et,et,82
qu',que,52
elle,il,51
gaspillait,gaspiller,18
à,à,81
mesure,mesure,22
",",",",p
sans,sans,81
que,que,83
jamais,jamais,60
Charles,Charles,20
se,se,51
permît,permettre,18
la,le,71
moindre,moindre,30
observation,observation,22
/.,/.,P
c',ce,52
est,être,17
ainsi,ainsi,60
qu',que,83
il,il,51
déboursa,débourser,19
trois,trois,72
cents,cent,72
francs,franc,21
pour,pour,81
une,un,71
jambe,jambe,22
de,de,81
bois,bois,21
dont,dont,52
elle,il,51
jugea,juger,19
convenable,convenable,30
de,de,81
faire,faire,14
cadeau,cadeau,21
à,à,81
Hippolyte,Hippolyte,20
/.,/.,P
le,le,71
pilon,pilon,21
en,en,52
était,être,18
garni,garnir,12
de,de,81
liège,liège,21
",",",",p
et,et,82
il,il,51
y,y,52
avait,avoir,18
des,de,81
des,le,71
articulations,articulation,22
à,à,81
ressort,ressort,21
",",",",p
une,un,71
mécanique,mécanique,22
compliquée,compliqué,31
recouverte,recouvert,31
d',de,81
un,un,71
pantalon,pantalon,21
noir,noir,30
",",",",p
que,que,52
terminait,terminer,18
une,un,71
botte,botte,22
vernie,verni,31
/.,/.,P
mais,mais,82
Hippolyte,Hippolyte,20
",",",",p
n',ne,60
osant,oser,13
à,à,81
tous,tout,75
les,le,71
jours,jour,21
se,se,51
servir,servir,14
d',de,81
une,un,71
si,si,60
belle,beau,30
jambe,jambe,22
",",",",p
supplia,supplier,19
madame,madame,22
Bovary,Bovary,20
de,de,81
lui,lui,51
en,en,52
procurer,procurer,14
une,un,71
autre,autre,52
plus,plus,60
commode,commode,30
/.,/.,P
le,le,71
médecin,médecin,21
",",",",p
bien,bien,60
entendu,entendu,31
",",",",p
fit,faire,19
encore,encore,60
les,le,71
frais,frais,21
de,de,81
cette,ce,74
acquisition,acquisition,22
/.,/.,P
donc,donc,82
",",",",p
le,le,71
garçon,garçon,21
d',de,81
écurie,écurie,22
peu,peu,60
à,à,81
peu,peu,60
recommença,recommencer,19
son,son,73
métier,métier,21
/.,/.,P
on,on,51
le,le,52
voyait,voir,18
comme,comme,83
autrefois,autrefois,60
parcourir,parcourir,14
le,le,71
village,village,21
",",",",p
et,et,82
quand,quand,83
Charles,Charles,20
entendait,entendre,18
de,de,81
loin,loin,60
",",",",p
sur,sur,81
les,le,71
pavés,pavé,21
",",",",p
le,le,71
bruit,bruit,21
sec,sec,30
de,de,81
son,son,73
bâton,bâton,21
",",",",p
il,il,51
prenait,prendre,18
bien,bien,60
vite,vite,60
une,un,71
autre,autre,75
route,route,22
/.,/.,P
c',ce,52
était,être,18
monsieur,monsieur,21
Lheureux,Lheureux,20
",",",",p
le,le,71
marchand,marchand,21
",",",",p
qui,qui,52
s',se,51
était,être,18
chargé,charger,12
de,de,81
la,le,71
commande,commande,22
;,;,p
cela,cela,52
lui,lui,51
fournit,fournir,19
l',le,71
occasion,occasion,22
de,de,81
fréquenter,fréquenter,14
Emma,Emma,20
/.,/.,P
il,il,51
causait,causer,18
avec,avec,81
elle,il,51
des,de,81
des,le,71
nouveaux,nouveau,30
déballages,déballage,21
de,de,81
Paris,Paris,20
",",",",p
de,de,81
mille,mille,72
curiosités,curiosité,22
féminines,féminin,30
",",",",p
se,se,51
montrait,montrer,18
fort,fort,30
complaisant,complaisant,30
",",",",p
et,et,82
jamais,jamais,60
ne,ne,60
réclamait,réclamer,18
d',de,81
argent,argent,21
/.,/.,P
Emma,Emma,20
s',se,51
abandonnait,abandonner,18
à,à,81
cette,ce,74
facilité,facilité,22
de,de,81
satisfaire,satisfaire,14
tous,tout,75
ses,son,73
caprices,caprice,21
/.,/.,P
ainsi,ainsi,60
",",",",p
elle,il,51
voulut,vouloir,19
avoir,avoir,14
",",",",p
pour,pour,81
la,le,52
donner,donner,14
à,à,81
Rodolphe,Rodolphe,20
",",",",p
une,un,52
fort,fort,60
belle,beau,30
cravache,cravache,22
qui,qui,52
se,se,51
trouvait,trouver,18
à,à,81
Rouen,Rouen,20
dans,dans,81
un,un,71
magasin,magasin,21
de,de,81
parapluies,parapluie,21
/.,/.,P
monsieur,monsieur,21
Lheureux,Lheureux,20
",",",",p
la,le,71
semaine,semaine,22
d',de,81
après,après,81
",",",",p
la,le,71
lui,lui,51
posa,poser,19
sur,sur,81
sa,son,73
table,table,22
/.,/.,P
mais,mais,82
le,le,71
lendemain,lendemain,21
il,il,51
se,se,51
présenta,présenter,19
chez,chez,81
elle,il,51
avec,avec,81
une,un,71
facture,facture,22
de,de,81
deux,deux,72
cent,cent,72
soixante,soixante,72
et,et,82
dix,dix,72
francs,franc,21
",",",",p
sans,sans,81
compter,compter,14
les,le,71
centimes,centime,21
/.,/.,P
Emma,Emma,20
fut,être,19
très,très,60
embarrassée,embarrasser,12
:,:,p
tous,tout,75
les,le,71
tiroirs,tiroir,21
du,de,81
du,le,71
secrétaire,secrétaire,21
étaient,être,18
vides,vide,30
;,;,p
on,on,51
devait,devoir,18
plus,plus,60
de,de,81
quinze,quinze,72
jours,jour,21
à,à,81
Lestiboudois,Lestiboudois,20
",",",",p
deux,deux,72
trimestres,trimestre,21
à,à,81
la,le,71
servante,servante,22
",",",",p
quantité,quantité,22
d',de,81
autres,autre,75
choses,chose,22
encore,encore,60
",",",",p
et,et,82
Bovary,Bovary,20
attendait,attendre,18
impatiemment,impatiemment,60
l',le,71
envoi,envoi,21
de,de,81
monsieur,monsieur,21
Derozerays,Derozerays,20
",",",",p
qui,qui,52
avait,avoir,18
coutume,coutume,22
",",",",p
chaque,chaque,75
année,année,22
",",",",p
de,de,81
le,le,52
payer,payer,14
vers,vers,81
la,le,71
Saint-Pierre,Saint-Pierre,20
/.,/.,P
elle,il,51
réussit,réussir,17
d'abord,d'abord,60
à,à,81
éconduire,éconduire,14
Lheureux,Lheureux,20
;,;,p
enfin,enfin,60
il,il,51
perdit,perdre,19
patience,patience,22
;,;,p
on,on,51
le,le,52
poursuivait,poursuivre,18
",",",",p
ses,son,73
capitaux,capital,21
étaient,être,18
absents,absent,30
",",",",p
et,et,82
",",",",p
s',si,83
il,il,51
ne,ne,60
rentrait,rentrer,18
dans,dans,81
quelques-uns,quelqu'un,52
",",",",p
il,il,51
serait,être,16
forcé,forcer,12
de,de,81
lui,lui,51
reprendre,reprendre,14
toutes,tout,75
les,le,71
marchandises,marchandise,22
qu',que,52
elle,il,51
avait,avoir,18
/.,/.,P
-,-,p
eh,eh,93
!,!,p
reprenez,reprendre,17
les,le,52
!,!,p
dit,dire,19
Emma,Emma,20
/.,/.,P
-,-,p
oh,oh,93
!,!,p
c',ce,52
est,être,17
pour,pour,81
rire,rire,14
!,!,p
répliqua,répliquer,19
t,t,94
il,il,51
/.,/.,P
seulement,seulement,60
",",",",p
je,je,51
ne,ne,60
regrette,regretter,17
que,que,83
la,le,71
cravache,cravache,22
/.,/.,P
ma,mon,73
foi,foi,22
!,!,p
je,je,51
la,le,52
redemanderai,redemander,15
à,à,81
monsieur,monsieur,21
/.,/.,P
-,-,p
non,non,60
!,!,p
non,non,60
!,!,p
fit,faire,19
elle,il,51
/.,/.,P
-,-,p
ah,ah,93
!,!,p
je,je,51
te,tu,51
tiens,tenir,17
!,!,p
pensa,penser,19
Lheureux,Lheureux,20
/.,/.,P
et,et,82
",",",",p
sûr,sûr,30
de,de,81
sa,son,73
découverte,découverte,22
",",",",p
il,il,51
sortit,sortir,19
en,en,81
répétant,répéter,13
à,à,81
demi-voix,demi-voix,22
et,et,82
avec,avec,81
son,son,73
petit,petit,30
sifflement,sifflement,21
habituel,habituel,30
:,:,p
-,-,p
soit,soit,82
!,!,p
nous,nous,51
verrons,voir,15
!,!,p
nous,nous,51
verrons,voir,15
/!,/!,P
elle,il,51
rêvait,rêver,18
comment,comment,60
se,se,51
tirer,tirer,14
de,de,81
là,là,60
",",",",p
quand,quand,83
la,le,71
cuisinière,cuisinière,22
entrant,entrer,13
",",",",p
déposa,déposer,19
sur,sur,81
la,le,71
cheminée,cheminée,22
un,un,71
petit,petit,30
rouleau,rouleau,21
de,de,81
papier,papier,21
bleu,bleu,30
",",",",p
de,de,81
la,le,71
part,part,22
de,de,81
monsieur,monsieur,21
Derozerays,Derozerays,20
/.,/.,P
Emma,Emma,20
sauta,sauter,19
dessus,dessus,60
",",",",p
l',le,52
ouvrit,ouvrir,19
/.,/.,P
il,il,51
y,y,52
avait,avoir,18
quinze,quinze,72
napoléons,napoléon,21
/.,/.,P
c',ce,52
était,être,18
le,le,71
compte,compte,21
/.,/.,P
elle,il,51
entendit,entendre,19
Charles,Charles,20
dans,dans,81
l',le,71
escalier,escalier,21
;,;,p
elle,il,51
jeta,jeter,19
l',le,71
or,or,21
au,à,81
au,le,71
fond,fond,21
de,de,81
son,son,73
tiroir,tiroir,21
et,et,82
prit,prendre,19
la,le,71
clef,clé,22
/.,/.,P
trois,trois,72
jours,jour,21
après,après,81
",",",",p
Lheureux,Lheureux,20
reparut,reparaître,19
/.,/.,P
-,-,p
j',je,51
ai,avoir,17
un,un,71
arrangement,arrangement,21
à,à,81
vous,vous,51
proposer,proposer,14
",",",",p
dit,dire,19
il,il,51
;,;,p
si,si,83
",",",",p
au,à,81
au,le,71
lieu,lieu,21
de,de,81
la,le,71
somme,somme,22
convenue,convenu,31
",",",",p
vous,vous,51
vouliez,vouloir,18
prendre,prendre,14
/…,/…,P
-,-,p
la,le,52
voilà,voilà,81
",",",",p
fit,faire,19
elle,il,51
en,en,81
lui,lui,51
plaçant,placer,13
dans,dans,81
la,le,71
main,main,22
quatorze,quatorze,72
napoléons,napoléon,21
/.,/.,P
le,le,71
marchand,marchand,21
fut,être,19
stupéfait,stupéfait,30
/.,/.,P
alors,alors,60
",",",",p
pour,pour,81
dissimuler,dissimuler,14
son,son,73
désappointement,désappointement,21
",",",",p
il,il,51
se,se,51
répandit,répandre,19
en,en,81
excuses,excuse,22
et,et,82
en,en,81
offres,offre,22
de,de,81
service,service,21
qu',que,52
Emma,Emma,20
refusa,refuser,19
toutes,tout,52
;,;,p
puis,puis,60
elle,il,51
resta,rester,19
quelques,quelque,75
minutes,minute,22
palpant,palper,13
dans,dans,81
la,le,71
poche,poche,22
de,de,81
son,son,73
tablier,tablier,21
les,le,71
deux,deux,72
pièces,pièce,22
de,de,81
cent,cent,72
sous,sou,21
qu',que,52
il,il,51
lui,lui,51
avait,avoir,18
rendues,rendre,12
/.,/.,P
elle,il,51
se,se,51
promettait,promettre,18
d',de,81
économiser,économiser,14
",",",",p
afin,afin,81
de,de,81
rendre,rendre,14
plus,plus,60
tard,tard,60
/…,/…,P
-,-,p
ah,ah,93
bah,bah,93
!,!,p
songea,songer,19
t,t,94
elle,il,51
",",",",p
il,il,51
n',ne,60
y,y,52
pensera,penser,15
plus,plus,60
/.,/.,P
outre,outre,81
la,le,71
cravache,cravache,22
à,à,81
pommeau,pommeau,21
de,de,81
vermeil,vermeil,21
",",",",p
Rodolphe,Rodolphe,20
avait,avoir,18
reçu,recevoir,12
un,un,71
cachet,cachet,21
avec,avec,81
cette,ce,74
devise,devise,22
:,:,p
amor,amor,92
nel,nel,92
cor,cor,21
;,;,p
de,de,81
plus,plus,60
",",",",p
une,un,71
écharpe,écharpe,22
pour,pour,81
se,se,51
faire,faire,14
un,un,71
cache-nez,cache-nez,21
",",",",p
et,et,82
enfin,enfin,60
un,un,71
porte-cigares,porte-cigares,21
tout,tout,60
pareil,pareil,30
à,à,81
celui,celui,52
du,de,81
du,le,71
vicomte,vicomte,21
",",",",p
que,que,52
Charles,Charles,20
avait,avoir,18
autrefois,autrefois,60
ramassé,ramasser,12
sur,sur,81
la,le,71
route,route,22
et,et,82
qu',que,52
Emma,Emma,20
conservait,conserver,18
/.,/.,P
cependant,cependant,82
ces,ce,74
cadeaux,cadeau,21
l',le,52
humiliaient,humilier,18
/.,/.,P
il,il,51
en,en,52
refusa,refuser,19
plusieurs,plusieurs,75
;,;,p
elle,il,51
insista,insister,19
",",",",p
et,et,82
Rodolphe,Rodolphe,20
finit,finir,19
par,par,81
obéir,obéir,14
",",",",p
la,le,52
trouvant,trouver,13
tyrannique,tyrannique,30
et,et,82
trop,trop,60
envahissante,envahissant,30
/.,/.,P
puis,puis,60
elle,il,51
avait,avoir,18
d',de,81
étranges,étrange,30
idées,idée,22
:,:,p
-,-,p
quand,quand,83
minuit,minuit,21
sonnera,sonner,15
",",",",p
disait,dire,18
elle,il,51
",",",",p
tu,tu,51
penseras,penser,15
à,à,81
moi,moi,51
/!,/!,P
et,et,82
",",",",p
s',si,83
il,il,51
avouait,avouer,18
n',ne,60
y,y,52
avoir,avoir,14
point,point,60
songé,songer,12
",",",",p
c',ce,52
étaient,être,18
des,de,81
des,le,71
reproches,reproche,21
en,en,81
abondance,abondance,22
",",",",p
et,et,82
qui,qui,52
se,se,51
terminaient,terminer,18
toujours,toujours,60
par,par,81
l',le,71
éternel,éternel,30
mot,mot,21
:,:,p
-,-,p
m',je,51
aimes,aimer,17
tu,tu,51
/?,/?,P
-,-,p
mais,mais,82
oui,oui,60
",",",",p
je,je,51
t',tu,51
aime,aimer,17
!,!,p
répondait,répondre,18
il,il,51
/.,/.,P
-,-,p
beaucoup,beaucoup,60
/?,/?,P
-,-,p
certainement,certainement,60
/!,/!,P
-,-,p
tu,tu,51
n',ne,60
en,en,52
as,avoir,17
pas,pas,60
aimé,aimer,12
d',de,81
autres,autre,52
",",",",p
hein,hein,93
/?,/?,P
-,-,p
crois,croire,17
tu,tu,51
m',je,51
avoir,avoir,14
pris,prendre,12
vierge,vierge,30
?,?,p
exclamait,exclamer,18
il,il,51
en,en,81
riant,rire,13
/.,/.,P
Emma,Emma,20
pleurait,pleurer,18
",",",",p
et,et,82
il,il,51
s',se,51
efforçait,efforcer,18
de,de,81
la,le,52
consoler,consoler,14
",",",",p
enjolivant,enjoliver,13
de,de,81
calembours,calembour,21
ses,son,73
protestations,protestation,22
/.,/.,P
-,-,p
oh,oh,93
!,!,p
c',ce,52
est,être,17
que,que,83
je,je,51
t',tu,51
aime,aimer,17
!,!,p
reprenait,reprendre,18
elle,il,51
",",",",p
je,je,51
t',tu,51
aime,aimer,17
à,à,81
ne,ne,60
pouvoir,pouvoir,14
me,je,51
passer,passer,14
de,de,81
toi,toi,51
",",",",p
sais,savoir,17
tu,tu,51
bien,bien,60
/?,/?,P
j',je,51
ai,avoir,17
quelquefois,quelquefois,60
des,de,81
des,le,71
envies,envie,22
de,de,81
te,tu,51
revoir,revoir,14
où,où,60
toutes,tout,75
les,le,71
colères,colère,22
de,de,81
l',le,71
amour,amour,21
me,je,51
déchirent,déchirer,17
/.,/.,P
je,je,51
me,je,51
demande,demander,17
:,:,p
“,“,p
où,où,60
est,être,17
il,il,51
/?,/?,P
peut-être,peut-être,60
il,il,51
parle,parler,17
à,à,81
d',de,81
autres,autre,75
femmes,femme,22
/?,/?,P
elles,ils,51
lui,lui,51
sourient,sourire,17
",",",",p
il,il,51
s',se,51
approche,approcher,17
/…,/…,P
“,“,p
oh,oh,93
!,!,p
non,non,60
",",",",p
n',ne,60
est,être,17
ce,ce,52
pas,pas,60
