11375
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Soixante-dixième extrait>,<>,<>
ressortir,ressortir,14
à,à,81
nos,notre,73
yeux,oeil,21
/.,/.,P
l',le,71
armée,armée,22
nous,nous,51
semblait,sembler,18
un,un,71
corps,corps,21
sans,sans,81
mouvement,mouvement,21
/.,/.,P
nous,nous,51
étouffions,étouffer,18
enfermés,enfermé,31
dans,dans,81
le,le,71
ventre,ventre,21
de,de,81
ce,ce,74
cheval,cheval,21
de,de,81
bois,bois,21
qui,qui,52
ne,ne,60
s',se,51
ouvrait,ouvrir,18
jamais,jamais,60
dans,dans,81
aucune,aucun,75
Troie,Troie,20
/.,/.,P
vous,vous,51
vous,vous,51
en,en,52
souvenez,souvenir,17
",",",",p
vous,vous,51
",",",",p
mes,mon,73
compagnons,compagnon,21
",",",",p
nous,nous,51
ne,ne,60
cessions,cesser,18
d',de,81
étudier,étudier,14
les,le,71
commentaires,commentaire,21
de,de,81
César,César,20
",",",",p
Turenne,Turenne,20
et,et,82
Frédéric,Frédéric,20
II,II,20
",",",",p
et,et,82
nous,nous,51
lisions,lire,18
sans,sans,81
cesse,cesse,22
la,le,71
vie,vie,22
de,de,81
ces,ce,74
généraux,général,21
de,de,81
la,le,71
république,république,22
si,si,60
purement,purement,60
épris,épris,31
de,de,81
la,le,71
gloire,gloire,22
;,;,p
ces,ce,74
héros,héros,21
candides,candide,30
et,et,82
pauvres,pauvre,30
comme,comme,83
Marceau,Marceau,20
",",",",p
Desaix,Desaix,20
et,et,82
Kléber,Kléber,20
",",",",p
jeunes,jeune,30
gens,gens,21
de,de,81
vertu,vertu,22
antique,antique,30
;,;,p
et,et,82
après,après,81
avoir,avoir,14
examiné,examiner,12
leurs,leur,73
manoeuvres,manoeuvre,22
de,de,81
guerre,guerre,22
et,et,82
leurs,leur,73
campagnes,campagne,22
",",",",p
nous,nous,51
tombions,tomber,18
dans,dans,81
une,un,71
amère,amer,30
tristesse,tristesse,22
en,en,81
mesurant,mesurer,13
notre,notre,73
destinée,destinée,22
à,à,81
la,le,71
leur,leur,52
",",",",p
et,et,82
en,en,81
calculant,calculer,13
que,que,83
leur,leur,73
élévation,élévation,22
était,être,18
devenue,devenir,12
telle,tel,75
parce qu',parce que,83
ils,ils,51
avaient,avoir,18
mis,mettre,12
le,le,71
pied,pied,21
tout,tout,60
d'abord,d'abord,60
",",",",p
et,et,82
à,à,81
vingt,vingt,72
ans,an,21
",",",",p
sur,sur,81
le,le,71
haut,haut,21
de,de,81
cette,ce,74
échelle,échelle,22
de,de,81
grades,grade,21
dont,dont,52
chaque,chaque,75
degré,degré,21
nous,nous,51
coûtait,coûter,18
huit,huit,72
ans,an,21
à,à,81
gravir,gravir,14
/.,/.,P
vous,vous,51
que,que,52
j',je,51
ai,avoir,17
tant,tant,60
vus,voir,12
souffrir,souffrir,14
des,de,81
des,le,71
langueurs,langueur,22
et,et,82
des,de,81
des,le,71
dégoûts,dégoût,21
de,de,81
la,le,71
servitude,servitude,22
militaire,militaire,30
",",",",p
c',ce,52
est,être,17
pour,pour,81
vous,vous,51
surtout,surtout,60
que,que,83
j',je,51
écris,écrire,17
ce,ce,74
livre,livre,21
/.,/.,P
aussi,aussi,60
",",",",p
à,à,81
côté,côté,21
de,de,81
ces,ce,74
souvenirs,souvenir,21
où,où,60
j',je,51
ai,avoir,17
montré,montrer,12
quelques,quelque,75
traits,trait,21
de,de,81
ce,ce,52
qu',que,52
il,il,51
y,y,52
a,avoir,17
de,de,81
bon,bon,30
et,et,82
d',de,81
honnête,honnête,30
dans,dans,81
les,le,71
armées,armée,22
",",",",p
mais,mais,82
où,où,60
j',je,51
ai,avoir,17
détaillé,détailler,12
quelques-unes,quelqu'un,52
des,de,81
des,le,71
petitesses,petitesse,22
pénibles,pénible,30
de,de,81
cette,ce,74
vie,vie,22
",",",",p
je,je,51
veux,vouloir,17
placer,placer,14
les,le,71
souvenirs,souvenir,21
qui,qui,52
peuvent,pouvoir,17
relever,relever,14
nos,notre,73
fronts,front,21
par,par,81
la,le,71
recherche,recherche,22
et,et,82
la,le,71
considération,considération,22
de,de,81
ses,son,73
grandeurs,grandeur,22
/.,/.,P
la,le,71
grandeur,grandeur,22
guerrière,guerrier,30
",",",",p
ou,ou,82
la,le,71
beauté,beauté,22
de,de,81
la,le,71
vie,vie,22
des,de,81
des,le,71
armes,arme,22
",",",",p
me,je,51
semble,sembler,17
être,être,14
de,de,81
deux,deux,72
sortes,sorte,22
:,:,p
il,il,51
y,y,52
a,avoir,17
celle,celui,52
du,de,81
du,le,71
commandement,commandement,21
et,et,82
celle,celui,52
de,de,81
l',le,71
obéissance,obéissance,22
/.,/.,P
l',le,71
une,un,52
",",",",p
tout,tout,60
extérieure,extérieur,30
",",",",p
active,actif,30
",",",",p
brillante,brillant,30
",",",",p
fière,fier,30
",",",",p
égoïste,égoïste,30
",",",",p
capricieuse,capricieux,30
",",",",p
sera,être,15
de,de,81
jour,jour,21
en,en,81
jour,jour,21
plus,plus,60
rare,rare,30
et,et,82
moins,moins,60
désirée,désirer,12
",",",",p
à,à,81
mesure,mesure,22
que,que,83
la,le,71
civilisation,civilisation,22
deviendra,devenir,15
plus,plus,60
pacifique,pacifique,30
;,;,p
l',le,71
autre,autre,52
",",",",p
tout,tout,60
intérieure,intérieur,30
",",",",p
passive,passif,30
",",",",p
obscure,obscur,30
",",",",p
modeste,modeste,30
",",",",p
dévouée,dévoué,31
",",",",p
persévérante,persévérant,30
",",",",p
sera,être,15
chaque,chaque,75
jour,jour,21
plus,plus,60
honorée,honorer,12
;,;,p
car,car,82
",",",",p
aujourd'hui,aujourd'hui,60
que,que,83
dépérit,dépérir,17
l',le,71
esprit,esprit,21
des,de,81
des,le,71
conquêtes,conquête,22
",",",",p
tout,tout,52
ce,ce,52
qu',que,52
un,un,71
caractère,caractère,21
élevé,élevé,31
peut,pouvoir,17
apporter,apporter,14
de,de,81
grand,grand,30
dans,dans,81
le,le,71
métier,métier,21
des,de,81
des,le,71
armes,arme,22
me,je,51
paraît,paraître,17
être,être,14
moins,moins,60
encore,encore,60
dans,dans,81
la,le,71
gloire,gloire,22
de,de,81
combattre,combattre,14
que,que,83
dans,dans,81
l',le,71
honneur,honneur,21
de,de,81
souffrir,souffrir,14
en,en,81
silence,silence,21
et,et,82
d',de,81
accomplir,accomplir,14
avec,avec,81
constance,constance,22
des,de,81
des,le,71
devoirs,devoir,21
souvent,souvent,60
odieux,odieux,30
/.,/.,P
si,si,83
le,le,71
mois,mois,21
de,de,81
<Nombre juillet 1830>,<>,<>
juillet,juillet,21
mille,mille,72
huit,huit,72
cent,cent,72
trente,trente,72
<Fin nombre>,<>,<>
eut,avoir,19
ses,son,73
héros,héros,21
",",",",p
il,il,51
eut,avoir,19
en,en,81
vous,vous,51
ses,son,73
martyrs,martyr,21
",",",",p
ô,oh,93
mes,mon,73
braves,brave,30
compagnons,compagnon,21
/!,/!,P
vous,vous,51
voilà,voilà,81
tous,tout,52
à,à,81
présent,présent,21
séparés,séparé,31
et,et,82
dispersés,dispersé,31
/.,/.,P
beaucoup,beaucoup,60
parmi,parmi,81
vous,vous,51
se,se,51
sont,être,17
retirés,retirer,12
en,en,81
silence,silence,21
",",",",p
après,après,81
l',le,71
orage,orage,21
",",",",p
sous,sous,81
le,le,71
toit,toit,21
de,de,81
leur,leur,73
famille,famille,22
;,;,p
quelque,quelque,75
pauvre,pauvre,30
qu',que,52
il,il,51
fût,être,19
",",",",p
beaucoup,beaucoup,60
l',le,52
ont,avoir,17
préféré,préférer,12
à,à,81
l',le,71
ombre,ombre,22
d',de,81
un,un,71
autre,autre,75
drapeau,drapeau,21
que,que,83
le,le,71
leur,leur,52
/.,/.,P
d',de,81
autres,autre,52
ont,avoir,17
voulu,vouloir,12
chercher,chercher,14
leurs,leur,73
fleurs,fleur,22
de,de,81
lis,lis,21
dans,dans,81
les,le,71
bruyères,bruyère,22
de,de,81
la,le,71
Vendée,Vendée,20
",",",",p
et,et,82
les,le,52
ont,avoir,17
encore,encore,60
une,un,71
fois,fois,22
arrosées,arroser,12
de,de,81
leur,leur,73
sang,sang,21
;,;,p
d',de,81
autres,autre,52
sont,être,17
allés,aller,12
mourir,mourir,14
pour,pour,81
des,de,81
des,le,71
rois,roi,21
étrangers,étranger,30
;,;,p
d',de,81
autres,autre,52
",",",",p
encore,encore,60
saignants,saignant,30
des,de,81
des,le,71
blessures,blessure,22
des,de,81
des,le,71
trois,trois,72
jours,jour,21
",",",",p
n',ne,60
ont,avoir,17
point,point,60
résisté,résister,12
aux,à,81
aux,le,71
tentations,tentation,22
de,de,81
l',le,71
épée,épée,22
:,:,p
ils,ils,51
l',le,52
ont,avoir,17
reprise,reprendre,12
pour,pour,81
la,le,71
France,France,20
",",",",p
et,et,82
lui,lui,51
ont,avoir,17
encore,encore,60
conquis,conquérir,12
des,de,81
des,le,71
citadelles,citadelle,22
/.,/.,P
partout,partout,60
même,même,60
habitude,habitude,22
de,de,81
se,se,51
donner,donner,14
corps,corps,21
et,et,82
âme,âme,22
",",",",p
même,même,75
besoin,besoin,21
de,de,81
se,se,51
dévouer,dévouer,14
",",",",p
même,même,75
désir,désir,21
de,de,81
porter,porter,14
et,et,82
d',de,81
exercer,exercer,14
quelque,quelque,75
part,part,22
l',le,71
art,art,21
de,de,81
bien,bien,60
souffrir,souffrir,14
et,et,82
de,de,81
bien,bien,60
mourir,mourir,14
/.,/.,P
mais,mais,82
partout,partout,60
se,se,51
sont,être,17
trouvés,trouver,12
à,à,81
plaindre,plaindre,14
ceux,celui,52
qui,qui,52
n',ne,60
ont,avoir,17
pas,pas,60
eu,avoir,12
à,à,81
combattre,combattre,14
là,là,60
où,où,60
ils,ils,51
se,se,51
trouvaient,trouver,18
jetés,jeté,31
/.,/.,P
le,le,71
combat,combat,21
est,être,17
la,le,71
vie,vie,22
de,de,81
l',le,71
armée,armée,22
/.,/.,P
où,où,60
il,il,51
commence,commencer,17
",",",",p
le,le,71
rêve,rêve,21
devient,devenir,17
réalité,réalité,22
",",",",p
la,le,71
science,science,22
devient,devenir,17
gloire,gloire,22
",",",",p
et,et,82
la,le,71
servitude,servitude,22
service,service,21
/.,/.,P
la,le,71
guerre,guerre,22
console,consoler,17
par,par,81
son,son,73
éclat,éclat,21
des,de,81
des,le,71
peines,peine,22
inouïes,inouï,30
que,que,52
la,le,71
léthargie,léthargie,22
de,de,81
la,le,71
paix,paix,22
cause,causer,17
aux,à,81
aux,le,71
esclaves,esclave,21
de,de,81
l',le,71
armée,armée,22
;,;,p
mais,mais,82
",",",",p
je,je,51
le,le,52
répète,répéter,17
",",",",p
ce,ce,52
n',ne,60
est,être,17
pas,pas,60
dans,dans,81
les,le,71
combats,combat,21
que,que,52
sont,être,17
ses,son,73
plus,plus,60
pures,pur,30
grandeurs,grandeur,22
/.,/.,P
je,je,51
parlerai,parler,15
de,de,81
vous,vous,51
souvent,souvent,60
aux,à,81
aux,le,71
autres,autre,52
;,;,p
mais,mais,82
je,je,51
veux,vouloir,17
une,un,71
fois,fois,22
",",",",p
avant,avant,81
de,de,81
fermer,fermer,14
ce,ce,74
livre,livre,21
",",",",p
vous,vous,51
parler,parler,14
de,de,81
vous-mêmes,vous-même,51
",",",",p
et,et,82
d',de,81
une,un,71
vie,vie,22
et,et,82
d',de,81
une,un,71
mort,mort,22
qui,qui,52
eurent,avoir,19
à,à,81
mes,mon,73
yeux,oeil,21
un,un,71
grand,grand,30
caractère,caractère,21
de,de,81
force,force,22
et,et,82
de,de,81
candeur,candeur,22
/.,/.,P
<Chapitre II>,<>,<>
la,le,71
vie,vie,22
et,et,82
la,le,71
mort,mort,22
du,de,81
du,le,71
capitaine,capitaine,21
Renaud,Renaud,20
",",",",p
ou,ou,82
la,le,71
canne,canne,22
de,de,81
jonc,jonc,21
/.,/.,P
une,un,71
nuit,nuit,22
mémorable,mémorable,30
/.,/.,P
la,le,71
nuit,nuit,22
du,de,81
du,le,71
<Nombre 27 juillet 1830>,<>,<>
vingt,vingt,72
sept,sept,72
juillet,juillet,21
mille,mille,72
huit,huit,72
cent,cent,72
trente,trente,72
<Fin nombre>,<>,<>
fut,être,19
silencieuse,silencieux,30
et,et,82
solennelle,solennel,30
/.,/.,P
son,son,73
souvenir,souvenir,21
est,être,17
",",",",p
pour,pour,81
moi,moi,51
",",",",p
plus,plus,60
présent,présent,30
que,que,83
celui,celui,52
de,de,81
quelques,quelque,75
tableaux,tableau,21
plus,plus,60
terribles,terrible,30
que,que,83
la,le,71
destinée,destinée,22
m',je,51
a,avoir,17
jetés,jeter,12
sous,sous,81
les,le,71
yeux,oeil,21
/.,/.,P
-,-,p
le,le,71
calme,calme,21
de,de,81
la,le,71
terre,terre,22
et,et,82
de,de,81
la,le,71
mer,mer,22
devant,devant,81
l',le,71
ouragan,ouragan,21
n',ne,60
a,avoir,17
pas,pas,60
plus,plus,60
de,de,81
majesté,majesté,22
que,que,83
n',ne,60
en,en,52
avait,avoir,18
celui,celui,52
de,de,81
Paris,Paris,20
devant,devant,81
la,le,71
révolution,révolution,22
/.,/.,P
les,le,71
boulevards,boulevard,21
étaient,être,18
déserts,désert,30
/.,/.,P
je,je,51
marchais,marcher,18
seul,seul,30
",",",",p
après,après,81
minuit,minuit,21
",",",",p
dans,dans,81
toute,tout,75
leur,leur,73
longueur,longueur,22
",",",",p
regardant,regarder,13
et,et,82
écoutant,écouter,13
avidement,avidement,60
/.,/.,P
le,le,71
ciel,ciel,21
pur,pur,30
étendait,étendre,18
sur,sur,81
le,le,71
sol,sol,21
la,la,21
blanche,blanc,30
lueur,lueur,22
de,de,81
ses,son,73
étoiles,étoile,22
;,;,p
mais,mais,82
les,le,71
maisons,maison,22
étaient,être,18
éteintes,éteindre,12
",",",",p
closes,clos,31
et,et,82
comme,comme,83
mortes,mort,31
/.,/.,P
tous,tout,75
les,le,71
réverbères,réverbère,21
des,de,81
des,le,71
rues,rue,22
étaient,être,18
brisés,briser,12
/.,/.,P
quelques,quelque,75
groupes,groupe,21
d',de,81
ouvriers,ouvrier,21
s',se,51
assemblaient,assembler,18
encore,encore,60
près,près,81
des,de,81
des,le,71
arbres,arbre,21
",",",",p
écoutant,écouter,13
un,un,71
orateur,orateur,21
mystérieux,mystérieux,30
qui,qui,52
leur,leur,52
glissait,glisser,18
des,de,81
des,le,71
paroles,parole,22
secrètes,secret,30
à,à,81
voix,voix,22
basse,bas,30
/.,/.,P
puis,puis,60
ils,ils,51
se,se,51
séparaient,séparer,18
en,en,81
courant,courir,13
",",",",p
et,et,82
se,se,51
jetaient,jeter,18
dans,dans,81
des,de,81
des,le,71
rues,rue,22
étroites,étroit,30
et,et,82
noires,noir,30
/.,/.,P
ils,ils,51
se,se,51
collaient,coller,18
contre,contre,81
des,de,81
des,le,71
petites,petit,30
portes,porte,22
d',de,81
allées,allée,22
qui,qui,52
s',se,51
ouvraient,ouvrir,18
comme,comme,83
des,de,81
des,le,71
trappes,trappe,22
et,et,82
se,se,51
refermaient,refermer,18
sur,sur,81
eux,ils,51
/.,/.,P
alors,alors,60
rien,rien,52
ne,ne,60
remuait,remuer,18
plus,plus,60
",",",",p
et,et,82
la,le,71
ville,ville,22
semblait,sembler,18
n',ne,60
avoir,avoir,14
que,que,83
des,de,81
des,le,71
habitants,habitant,21
morts,mort,31
et,et,82
des,de,81
des,le,71
maisons,maison,22
pestiférées,pestiféré,30
/.,/.,P
on,on,51
rencontrait,rencontrer,18
",",",",p
de,de,81
distance,distance,22
en,en,81
distance,distance,22
",",",",p
une,un,71
masse,masse,22
sombre,sombre,30
",",",",p
inerte,inerte,30
",",",",p
que,que,52
l',l',94
on,on,51
ne,ne,60
reconnaissait,reconnaître,18
qu',que,83
en,en,81
la,le,52
touchant,toucher,13
:,:,p
c',ce,52
était,être,18
un,un,71
bataillon,bataillon,21
de,de,81
la,le,71
garde,garde,22
",",",",p
debout,debout,60
",",",",p
sans,sans,81
mouvement,mouvement,21
",",",",p
sans,sans,81
voix,voix,22
/.,/.,P
plus,plus,60
loin,loin,60
",",",",p
une,un,71
batterie,batterie,22
d',de,81
artillerie,artillerie,22
surmontée,surmonté,31
de,de,81
ses,son,73
mèches,mèche,22
allumées,allumé,31
",",",",p
comme,comme,83
de,de,81
deux,deux,72
étoiles,étoile,22
/.,/.,P
on,on,51
passait,passer,18
impunément,impunément,60
devant,devant,81
ces,ce,74
corps,corps,21
imposants,imposant,30
et,et,82
sombres,sombre,30
",",",",p
on,on,51
tournait,tourner,18
autour,autour,60
d',de,81
eux,ils,51
",",",",p
on,on,51
s',se,51
en,en,52
allait,aller,18
",",",",p
on,on,51
revenait,revenir,18
sans,sans,81
en,en,52
recevoir,recevoir,14
une,un,71
question,question,22
",",",",p
une,un,71
injure,injure,22
",",",",p
un,un,71
mot,mot,21
/.,/.,P
ils,ils,51
étaient,être,18
inoffensifs,inoffensif,30
",",",",p
sans,sans,81
colère,colère,22
",",",",p
sans,sans,81
haine,haine,22
;,;,p
ils,ils,51
étaient,être,18
résignés,résigner,12
et,et,82
ils,ils,51
attendaient,attendre,18
/.,/.,P
comme,comme,83
j',je,51
approchais,approcher,18
de,de,81
l',le,71
un,un,52
des,de,81
des,le,71
bataillons,bataillon,21
les,le,71
plus,plus,60
nombreux,nombreux,30
",",",",p
un,un,71
officier,officier,21
s',se,51
avança,avancer,19
vers,vers,81
moi,moi,51
",",",",p
avec,avec,81
une,un,71
extrême,extrême,30
politesse,politesse,22
",",",",p
et,et,82
me,je,51
demanda,demander,19
si,si,83
les,le,71
flammes,flamme,22
que,que,52
l',l',94
on,on,51
voyait,voir,18
au,à,81
au,le,71
loin,loin,60
éclairer,éclairer,14
la,le,71
porte,porte,22
Saint-Denis,Saint-Denis,20
ne,ne,60
venaient,venir,18
point,point,60
d',de,81
un,un,71
incendie,incendie,21
;,;,p
il,il,51
allait,aller,18
se,se,51
porter,porter,14
en,en,81
avant,avant,21
avec,avec,81
sa,son,73
compagnie,compagnie,22
pour,pour,81
s',se,51
en,en,52
assurer,assurer,14
/.,/.,P
je,je,51
lui,lui,51
dis,dire,19
qu',que,83
elles,ils,51
sortaient,sortir,18
de,de,81
quelques,quelque,75
grands,grand,30
arbres,arbre,21
que,que,52
faisaient,faire,18
abattre,abattre,14
et,et,82
brûler,brûler,14
des,de,81
des,le,71
marchands,marchand,21
",",",",p
profitant,profiter,13
du,de,81
du,le,71
trouble,trouble,21
pour,pour,81
détruire,détruire,14
ces,ce,74
vieux,vieux,30
ormes,orme,21
qui,qui,52
cachaient,cacher,18
leurs,leur,73
boutiques,boutique,22
/.,/.,P
alors,alors,60
",",",",p
s',se,51
asseyant,asseoir,13
sur,sur,81
l',le,71
un,un,52
des,de,81
des,le,71
bancs,banc,21
de,de,81
pierre,pierre,22
du,de,81
du,le,71
boulevard,boulevard,21
",",",",p
il,il,51
se,se,51
mit,mettre,19
à,à,81
faire,faire,14
des,de,81
des,le,71
lignes,ligne,22
et,et,82
des,de,81
des,le,71
ronds,rond,21
sur,sur,81
le,le,71
sable,sable,21
avec,avec,81
une,un,71
canne,canne,22
de,de,81
jonc,jonc,21
/.,/.,P
ce,ce,52
fut,être,19
à,à,81
quoi,quoi,52
je,je,51
le,le,52
reconnus,reconnaître,19
",",",",p
tandis qu',tandis que,83
il,il,51
me,je,51
reconnaissait,reconnaître,18
à,à,81
mon,mon,73
visage,visage,21
/.,/.,P
comme,comme,83
je,je,51
restais,rester,18
debout,debout,60
devant,devant,81
lui,lui,51
",",",",p
il,il,51
me,je,51
serra,serrer,19
la,le,71
main,main,22
et,et,82
me,je,51
pria,prier,19
de,de,81
m',je,51
asseoir,asseoir,14
à,à,81
son,son,73
côté,côté,21
/.,/.,P
le,le,71
capitaine,capitaine,21
Renaud,Renaud,20
était,être,18
un,un,71
homme,homme,21
d',de,81
un,un,71
sens,sens,21
droit,droit,30
et,et,82
sévère,sévère,30
et,et,82
d',de,81
un,un,71
esprit,esprit,21
très,très,60
cultivé,cultivé,31
",",",",p
comme,comme,83
la,le,71
garde,garde,22
en,en,52
renfermait,renfermer,18
beaucoup,beaucoup,60
à,à,81
cette,ce,74
époque,époque,22
/.,/.,P
son,son,73
caractère,caractère,21
et,et,82
ses,son,73
habitudes,habitude,22
nous,nous,51
étaient,être,18
fort,fort,60
connus,connaître,12
",",",",p
et,et,82
ceux,celui,52
qui,qui,52
liront,lire,15
ces,ce,74
souvenirs,souvenir,21
sauront,savoir,15
bien,bien,60
sur,sur,81
quel,quel,75
visage,visage,21
sérieux,sérieux,30
ils,ils,51
doivent,devoir,17
placer,placer,14
son,son,73
nom,nom,21
de,de,81
guerre,guerre,22
donné,donné,31
par,par,81
les,le,71
soldats,soldat,21
",",",",p
adopté,adopté,31
par,par,81
les,le,71
officiers,officier,21
et,et,82
reçu,reçu,31
indifféremment,indifféremment,60
par,par,81
l',le,71
homme,homme,21
/.,/.,P
comme,comme,83
les,le,71
vieilles,vieux,30
familles,famille,22
",",",",p
les,le,71
vieux,vieux,30
régiments,régiment,21
",",",",p
conservés,conservé,31
intacts,intact,30
par,par,81
la,le,71
paix,paix,22
",",",",p
prennent,prendre,17
des,de,81
des,le,71
coutumes,coutume,22
familières,familier,30
et,et,82
inventent,inventer,17
des,de,81
des,le,71
noms,nom,21
caractéristiques,caractéristique,30
pour,pour,81
leurs,leur,73
enfants,enfant,21
/.,/.,P
une,un,71
ancienne,ancien,30
blessure,blessure,22
à,à,81
la,le,71
jambe,jambe,22
droite,droit,30
motivait,motiver,18
cette,ce,74
habitude,habitude,22
du,de,81
du,le,71
capitaine,capitaine,21
de,de,81
s',se,51
appuyer,appuyer,14
toujours,toujours,60
sur,sur,81
cette,ce,74
canne,canne,22
de,de,81
jonc,jonc,21
",",",",p
dont,dont,52
la,le,71
pomme,pomme,22
était,être,18
assez,assez,60
singulière,singulier,30
et,et,82
attirait,attirer,18
l',le,71
attention,attention,22
de,de,81
tous,tout,75
ceux,celui,52
qui,qui,52
la,le,52
voyaient,voir,18
pour,pour,81
la,le,71
première,premier,72
fois,fois,22
/.,/.,P
il,il,51
la,le,52
gardait,garder,18
partout,partout,60
et,et,82
presque,presque,60
toujours,toujours,60
à,à,81
la,le,71
main,main,22
/.,/.,P
il,il,51
n',ne,60
y,y,52
avait,avoir,18
",",",",p
du,de,81
du,le,71
reste,reste,21
",",",",p
nulle,nul,75
affectation,affectation,22
dans,dans,81
cette,ce,74
habitude,habitude,22
:,:,p
ses,son,73
manières,manière,22
étaient,être,18
trop,trop,60
simples,simple,30
et,et,82
sérieuses,sérieux,30
/.,/.,P
cependant,cependant,82
on,on,51
sentait,sentir,18
que,que,83
cela,cela,52
lui,lui,51
tenait,tenir,18
au,à,81
au,le,71
coeur,coeur,21
/.,/.,P
il,il,51
était,être,18
fort,fort,60
honoré,honorer,12
dans,dans,81
la,le,71
garde,garde,22
/.,/.,P
sans,sans,81
ambition,ambition,22
et,et,82
ne,ne,60
voulant,vouloir,13
être,être,14
que,que,83
ce,ce,52
qu',que,52
il,il,51
était,être,18
",",",",p
capitaine,capitaine,21
de,de,81
grenadiers,grenadier,21
",",",",p
il,il,51
lisait,lire,18
toujours,toujours,60
",",",",p
ne,ne,60
parlait,parler,18
que,que,83
le,le,71
moins,moins,60
possible,possible,30
et,et,82
par,par,81
monosyllabes,monosyllabe,22
/.,/.,P
-,-,p
très,très,60
grand,grand,30
",",",",p
très,très,60
pâle,pâle,30
et,et,82
de,de,81
visage,visage,21
mélancolique,mélancolique,30
",",",",p
il,il,51
avait,avoir,18
sur,sur,81
le,le,71
front,front,21
",",",",p
entre,entre,81
les,le,71
sourcils,sourcil,21
",",",",p
une,un,71
petite,petit,30
cicatrice,cicatrice,22
assez,assez,60
profonde,profond,30
",",",",p
qui,qui,52
souvent,souvent,60
",",",",p
de,de,81
bleuâtre,bleuâtre,30
qu',que,52
elle,il,51
était,être,18
",",",",p
devenait,devenir,18
noire,noir,30
",",",",p
et,et,82
quelquefois,quelquefois,60
donnait,donner,18
un,un,71
air,air,21
farouche,farouche,30
à,à,81
son,son,73
visage,visage,21
habituellement,habituellement,60
froid,froid,30
et,et,82
paisible,paisible,30
/.,/.,P
les,le,71
soldats,soldat,21
l',le,52
avaient,avoir,18
en,en,81
grande,grand,30
amitié,amitié,22
;,;,p
et,et,82
surtout,surtout,60
dans,dans,81
la,le,71
campagne,campagne,22
d',de,81
Espagne,Espagne,20
on,on,51
avait,avoir,18
remarqué,remarquer,12
la,le,71
joie,joie,22
avec,avec,81
laquelle,lequel,52
ils,ils,51
partaient,partir,18
quand,quand,83
les,le,71
détachements,détachement,21
étaient,être,18
commandés,commander,12
par,par,81
la,le,71
canne,canne,22
de,de,81
jonc,jonc,21
/.,/.,P
c',ce,52
était,être,18
bien,bien,60
véritablement,véritablement,60
la,le,71
canne,canne,22
de,de,81
jonc,jonc,21
qui,qui,52
les,le,52
commandait,commander,18
;,;,p
car,car,82
le,le,71
capitaine,capitaine,21
Renaud,Renaud,20
ne,ne,60
mettait,mettre,18
jamais,jamais,60
l',le,71
épée,épée,22
à,à,81
la,le,71
main,main,22
",",",",p
même,même,60
lorsque,lorsque,83
",",",",p
à,à,81
la,le,71
tête,tête,22
des,de,81
des,le,71
tirailleurs,tirailleur,21
",",",",p
il,il,51
approchait,approcher,18
assez,assez,60
l',le,71
ennemi,ennemi,21
pour,pour,81
courir,courir,14
le,le,71
hasard,hasard,21
de,de,81
se,se,51
prendre,prendre,14
corps à corps,corps à corps,21
avec,avec,81
