11655
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Quarante-troisième extrait>,<>,<>
prétendant,prétendre,13
que,que,83
je,je,51
me,je,51
compromets,compromettre,17
/.,/.,P
il,il,51
faudra,falloir,15
que,que,83
vous,vous,51
veniez,venir,17
moins,moins,60
souvent,souvent,60
/.,/.,P
mais,mais,82
ne,ne,60
vous,vous,51
troublez,troubler,17
point,point,60
",",",",p
j',je,51
arrangerai,arranger,15
les,le,71
choses,chose,22
/.,/.,P
donc,donc,82
papa,papa,21
m',je,51
a,avoir,17
réprimandée,réprimander,12
et,et,82
m',je,51
a,avoir,17
fait,faire,12
promettre,promettre,14
d',de,81
aller,aller,14
passer,passer,14
dix,dix,72
jours,jour,21
",",",",p
peut-être,peut-être,60
douze,douze,72
",",",",p
à,à,81
Avranches,Avranches,20
/.,/.,P
nous,nous,51
partons,partir,17
mardi,mardi,21
matin,matin,21
/.,/.,P
qu',que,52
en,en,52
dites,dire,17
vous,vous,51
/?,/?,P
je,je,51
dis,dire,17
que,que,83
vous,vous,51
me,je,51
navrez,navrer,17
/.,/.,P
-,-,p
c',ce,52
est,être,17
tout,tout,52
/?,/?,P
que,que,52
voulez,vouloir,17
vous,vous,51
?,?,p
je,je,51
ne,ne,60
peux,pouvoir,17
vous,vous,51
en,en,52
empêcher,empêcher,14
/!,/!,P
vous,vous,51
ne,ne,60
voyez,voir,17
rien,rien,52
à,à,81
faire,faire,14
/?,/?,P
mais,mais,82
…,…,p
mais,mais,82
non,non,60
…,…,p
je,je,51
ne,ne,60
sais,savoir,17
pas,pas,60
moi,moi,51
/!,/!,P
et,et,82
vous,vous,51
/?,/?,P
moi,moi,51
j',je,51
ai,avoir,17
une,un,71
idée,idée,22
",",",",p
que,que,52
voici,voici,81
:,:,p
Avranches,Avranches,20
est,être,17
tout,tout,52
près,près,81
du,de,81
du,le,71
Mont Saint-Michel,Mont Saint-Michel,20
/.,/.,P
connaissez,connaître,17
vous,vous,51
le,le,71
Mont Saint-Michel,Mont Saint-Michel,20
/?,/?,P
non,non,60
",",",",p
madame,madame,22
/.,/.,P
-,-,p
eh,eh,93
bien,bien,60
!,!,p
vous,vous,51
aurez,avoir,15
vendredi,vendredi,21
prochain,prochain,30
",",",",p
l',le,71
inspiration,inspiration,22
d',de,81
aller,aller,14
voir,voir,14
cette,ce,74
merveille,merveille,22
/.,/.,P
vous,vous,51
vous,vous,51
arrêterez,arrêter,15
à,à,81
Avranches,Avranches,20
",",",",p
vous,vous,51
vous,vous,51
promènerez,promener,15
",",",",p
samedi,samedi,21
soir,soir,21
",",",",p
par,par,81
exemple,exemple,21
",",",",p
au,à,81
au,le,71
coucher,coucher,21
du,de,81
du,le,71
soleil,soleil,21
dans,dans,81
le,le,71
jardin,jardin,21
public,public,30
",",",",p
d',de,81
où,où,60
l',l',94
on,on,51
domine,dominer,17
la,le,71
baie,baie,22
/.,/.,P
nous,nous,51
nous,nous,51
y,y,52
rencontrerons,rencontrer,15
par,par,81
hasard,hasard,21
/.,/.,P
papa,papa,21
fera,faire,15
une,un,71
tête,tête,22
",",",",p
mais,mais,82
je,je,51
m',je,51
en,en,52
moque,moquer,17
/.,/.,P
j',je,51
organiserai,organiser,15
une,un,71
partie,partie,22
pour,pour,81
aller,aller,14
tous,tout,52
ensemble,ensemble,60
avec,avec,81
la,le,71
famille,famille,22
",",",",p
le,le,71
lendemain,lendemain,21
",",",",p
à,à,81
l',le,71
abbaye,abbaye,22
/.,/.,P
montrez,montrer,17
de,de,81
l',le,71
enthousiasme,enthousiasme,21
",",",",p
et,et,82
soyez,être,17
charmant,charmant,30
",",",",p
comme,comme,83
vous,vous,51
savez,savoir,17
l',le,52
être,être,14
quand,quand,83
vous,vous,51
voulez,vouloir,17
/.,/.,P
faites,faire,17
la,le,71
conquête,conquête,22
de,de,81
ma,mon,73
tante,tante,22
et,et,82
invitez,inviter,17
nous,nous,51
tous,tout,52
à,à,81
dîner,dîner,14
à,à,81
l',le,71
auberge,auberge,22
où,où,60
nous,nous,51
descendrons,descendre,15
/.,/.,P
on,on,51
y,y,52
couchera,coucher,15
et,et,82
nous,nous,51
ne,ne,60
nous,nous,51
quitterons,quitter,15
ainsi,ainsi,60
que,que,83
le,le,71
lendemain,lendemain,21
/.,/.,P
vous,vous,51
reviendrez,revenir,15
par,par,81
Saint-Malo,Saint-Malo,20
",",",",p
et,et,82
huit,huit,72
jours,jour,21
plus,plus,60
tard,tard,60
je,je,51
serai,être,16
de,de,81
retour,retour,21
à,à,81
Paris,Paris,20
/.,/.,P
est,être,17
ce,ce,52
bien,bien,60
imaginé,imaginer,12
/?,/?,P
suis,être,17
je,je,51
gentille,gentil,30
/?,/?,P
il,il,51
murmura,murmurer,19
dans,dans,81
un,un,71
élan,élan,21
de,de,81
reconnaissance,reconnaissance,22
:,:,p
-,-,p
vous,vous,51
êtes,être,17
tout,tout,52
ce,ce,52
que,que,52
j',je,51
aime,aimer,17
au,à,81
au,le,71
monde,monde,21
/.,/.,P
-,-,p
chut,chut,93
!,!,p
fit,faire,19
elle,il,51
et,et,82
pendant,pendant,81
quelques,quelque,75
instants,instant,21
ils,ils,51
se,se,51
regardèrent,regarder,19
/.,/.,P
elle,il,51
souriait,sourire,18
",",",",p
lui,lui,51
envoyant,envoyer,13
dans,dans,81
ce,ce,74
sourire,sourire,21
toute,tout,75
sa,son,73
reconnaissance,reconnaissance,22
",",",",p
le,le,71
remerciement,remerciement,21
de,de,81
son,son,73
coeur,coeur,21
",",",",p
et,et,82
sa,son,73
sympathie,sympathie,22
aussi,aussi,60
",",",",p
très,très,60
sincère,sincère,30
",",",",p
très,très,60
vive,vif,30
",",",",p
devenue,devenu,31
tendre,tendre,30
/.,/.,P
il,il,51
la,le,52
contemplait,contempler,18
",",",",p
lui,lui,51
",",",",p
avec,avec,81
des,de,81
des,le,71
yeux,oeil,21
qui,qui,52
la,le,52
dévoraient,dévorer,18
/.,/.,P
il,il,51
avait,avoir,18
envie,envie,22
de,de,81
tomber,tomber,14
à,à,81
ses,son,73
pieds,pied,21
",",",",p
de,de,81
s',se,51
y,y,52
rouler,rouler,14
",",",",p
de,de,81
mordre,mordre,14
sa,son,73
robe,robe,22
",",",",p
de,de,81
crier,crier,14
quelque,quelque,75
chose,chose,22
",",",",p
et,et,82
surtout,surtout,60
de,de,81
lui,lui,51
faire,faire,14
voir,voir,14
ce,ce,52
qu',que,52
il,il,51
ne,ne,60
savait,savoir,18
pas,pas,60
dire,dire,14
",",",",p
ce,ce,52
qui,qui,52
était,être,18
en,en,81
lui,lui,51
des,de,81
des,le,71
talons,talon,21
à,à,81
la,le,71
tête,tête,22
",",",",p
dans,dans,81
son,son,73
corps,corps,21
comme,comme,83
dans,dans,81
son,son,73
âme,âme,22
",",",",p
inexprimablement,inexprimablement,60
douloureux,douloureux,30
parce qu',parce que,83
il,il,51
ne,ne,60
le,le,52
pouvait,pouvoir,18
montrer,montrer,14
",",",",p
son,son,73
amour,amour,21
",",",",p
son,son,73
terrible,terrible,30
et,et,82
délicieux,délicieux,30
amour,amour,21
/.,/.,P
mais,mais,82
elle,il,51
le,le,52
comprenait,comprendre,18
sans,sans,81
qu',que,83
il,il,51
s',se,51
exprimât,exprimer,18
",",",",p
comme,comme,83
un,un,71
tireur,tireur,21
devine,deviner,17
que,que,83
sa,son,73
belle,belle,22
a,avoir,17
fait,faire,12
un,un,71
trou,trou,21
juste,juste,30
à,à,81
la,le,71
place,place,22
de,de,81
la,le,71
mouche,mouche,22
noire,noir,30
du,de,81
du,le,71
carton,carton,21
/.,/.,P
il,il,51
n',ne,60
y,y,52
avait,avoir,18
plus,plus,60
rien,rien,52
dans,dans,81
cet,ce,74
homme,homme,21
",",",",p
rien,rien,52
qu',que,83
elle,il,51
/.,/.,P
il,il,51
était,être,18
à,à,81
elle,il,51
plus,plus,60
qu',que,83
elle-même,lui-même,51
/.,/.,P
et,et,82
elle,il,51
était,être,18
contente,content,30
",",",",p
et,et,82
elle,il,51
le,le,52
trouvait,trouver,18
charmant,charmant,30
/.,/.,P
elle,il,51
lui,lui,51
dit,dire,17
",",",",p
avec,avec,81
bonne,bon,30
humeur,humeur,22
:,:,p
-,-,p
alors,alors,60
c',ce,52
est,être,17
entendu,entendre,12
",",",",p
nous,nous,51
faisons,faire,17
cette,ce,74
partie,partie,22
/.,/.,P
il,il,51
balbutia,balbutier,19
",",",",p
la,le,71
voix,voix,22
coupée,coupé,31
par,par,81
l',le,71
émotion,émotion,22
:,:,p
-,-,p
mais,mais,82
oui,oui,60
",",",",p
madame,madame,22
",",",",p
c',ce,52
est,être,17
entendu,entendre,12
/.,/.,P
puis,puis,60
après,après,81
un,un,71
nouveau,nouveau,30
silence,silence,21
",",",",p
elle,il,51
reprit,reprendre,19
",",",",p
sans,sans,81
autre,autre,75
excuse,excuse,22
:,:,p
-,-,p
je,je,51
ne,ne,60
peux,pouvoir,17
vous,vous,51
garder,garder,14
plus,plus,60
longtemps,longtemps,60
aujourd'hui,aujourd'hui,60
/.,/.,P
je,je,51
suis,être,17
rentrée,rentrer,12
uniquement,uniquement,60
pour,pour,81
vous,vous,51
dire,dire,14
cela,cela,52
",",",",p
puisque,puisque,83
je,je,51
pars,partir,17
après,après,81
demain,demain,60
/!,/!,P
toute,tout,75
ma,mon,73
journée,journée,22
de,de,81
demain,demain,60
est,être,17
prise,prendre,12
",",",",p
et,et,82
j',je,51
ai,avoir,17
encore,encore,60
quatre,quatre,72
ou,ou,82
cinq,cinq,72
courses,course,22
à,à,81
faire,faire,14
avant,avant,81
le,le,71
dîner,dîner,21
/.,/.,P
il,il,51
se,se,51
leva,lever,19
tout,tout,60
de,de,81
suite,suite,22
",",",",p
saisi,saisi,31
de,de,81
peine,peine,22
",",",",p
lui,lui,51
qui,qui,52
n',ne,60
avait,avoir,18
d',de,81
autre,autre,75
désir,désir,21
que,que,83
de,de,81
ne,ne,60
la,le,52
plus,plus,60
quitter,quitter,14
;,;,p
et,et,82
",",",",p
lui,lui,51
ayant,avoir,13
baisé,baiser,12
les,le,71
mains,main,22
",",",",p
il,il,51
s',se,51
en,en,52
alla,aller,19
",",",",p
le,le,71
coeur,coeur,21
un,un,71
peu,peu,60
meurtri,meurtri,31
",",",",p
mais,mais,82
plein,plein,30
d',de,81
espoir,espoir,21
/.,/.,P
ce,ce,52
furent,être,19
quatre,quatre,72
jours,jour,21
bien,bien,60
longs,long,30
qu',que,83
il,il,51
eut,avoir,19
à,à,81
passer,passer,14
/.,/.,P
il,il,51
les,le,52
traîna,traîner,19
dans,dans,81
Paris,Paris,20
",",",",p
sans,sans,81
voir,voir,14
personne,personne,52
",",",",p
préférant,préférer,13
le,le,71
silence,silence,21
aux,à,81
aux,le,71
voix,voix,22
et,et,82
la,le,71
solitude,solitude,22
aux,à,81
aux,le,71
amis,ami,21
/.,/.,P
il,il,51
prit,prendre,19
donc,donc,82
",",",",p
le,le,71
vendredi,vendredi,21
matin,matin,21
",",",",p
le,le,71
train,train,21
express,express,30
de,de,81
huit,huit,72
heures,heure,22
/.,/.,P
il,il,51
n',ne,60
avait,avoir,18
guère,guère,60
dormi,dormir,12
",",",",p
enfiévré,enfiévrer,12
par,par,81
l',le,71
attente,attente,22
de,de,81
ce,ce,74
voyage,voyage,21
/.,/.,P
sa,son,73
chambre,chambre,22
noire,noir,30
",",",",p
silencieuse,silencieux,30
",",",",p
où,où,60
passaient,passer,18
seulement,seulement,60
les,le,71
roulements,roulement,21
des,de,81
des,le,71
fiacres,fiacre,21
attardés,attardé,31
",",",",p
évocateurs,évocateur,30
des,de,81
des,le,71
désirs,désir,21
de,de,81
départ,départ,21
",",",",p
l',le,52
avait,avoir,18
",",",",p
durant,durant,81
toute,tout,75
la,le,71
nuit,nuit,22
",",",",p
oppressé,oppresser,12
comme,comme,83
une,un,71
prison,prison,22
/.,/.,P
dès,dès,81
qu',que,83
une,un,71
lueur,lueur,22
apparut,apparaître,19
entre,entre,81
les,le,71
rideaux,rideau,21
fermés,fermé,31
",",",",p
la,le,71
lueur,lueur,22
grise,gris,30
et,et,82
triste,triste,30
du,de,81
du,le,71
tout,tout,60
premier,premier,72
matin,matin,21
",",",",p
il,il,51
sauta,sauter,19
du,de,81
du,le,71
lit,lit,21
",",",",p
ouvrit,ouvrir,19
sa,son,73
fenêtre,fenêtre,22
et,et,82
regarda,regarder,19
le,le,71
ciel,ciel,21
/.,/.,P
la,le,71
peur,peur,22
du,de,81
du,le,71
mauvais,mauvais,30
temps,temps,21
le,le,52
hantait,hanter,18
/.,/.,P
il,il,51
faisait,faire,18
beau,beau,60
/.,/.,P
une,un,71
brume,brume,22
légère,léger,30
flottait,flotter,18
",",",",p
présage,présager,17
de,de,81
chaleur,chaleur,22
/.,/.,P
il,il,51
s',se,51
habilla,habiller,19
plus,plus,60
vite,vite,60
qu',que,83
il,il,51
ne,ne,60
fallait,falloir,18
",",",",p
fut,être,19
prêt,prêt,30
deux,deux,72
heures,heure,22
trop,trop,60
tôt,tôt,60
",",",",p
le,le,71
coeur,coeur,21
rongé,rongé,31
par,par,81
l',le,71
impatience,impatience,22
de,de,81
quitter,quitter,14
la,le,71
maison,maison,22
",",",",p
d',de,81
être,être,14
en,en,81
route,route,22
enfin,enfin,60
;,;,p
et,et,82
son,son,73
domestique,domestique,21
dut,devoir,19
aller,aller,14
chercher,chercher,14
un,un,71
fiacre,fiacre,21
",",",",p
à,à,81
peine,peine,22
sa,son,73
toilette,toilette,22
finie,fini,31
",",",",p
par,par,81
crainte,crainte,22
de,de,81
n',ne,60
en,en,52
point,point,60
trouver,trouver,14
/.,/.,P
les,le,71
premiers,premier,72
cahots,cahot,21
de,de,81
la,le,71
voiture,voiture,22
furent,être,19
pour,pour,81
lui,lui,51
des,de,81
des,le,71
secousses,secousse,22
de,de,81
bonheur,bonheur,21
;,;,p
mais,mais,82
quand,quand,83
il,il,51
pénétra,pénétrer,19
dans,dans,81
la,le,71
gare,gare,22
Montparnasse,Montparnasse,20
",",",",p
un,un,71
énervement,énervement,21
le,le,52
saisit,saisir,19
en,en,81
reconnaissant,reconnaître,13
que,que,83
cinquante,cinquante,72
minutes,minute,22
le,le,52
séparaient,séparer,18
encore,encore,60
du,de,81
du,le,71
départ,départ,21
du,de,81
du,le,71
train,train,21
/.,/.,P
un,un,71
coupé,coupé,21
se,se,51
trouvait,trouver,18
libre,libre,30
;,;,p
il,il,51
le,le,52
loua,louer,19
afin,afin,81
d',de,81
être,être,14
seul,seul,30
et,et,82
de,de,81
pouvoir,pouvoir,14
rêver,rêver,14
à,à,81
son,son,73
aise,aise,22
/.,/.,P
lorsqu',lorsque,83
il,il,51
se,se,51
sentit,sentir,19
en,en,81
marche,marche,22
",",",",p
glissant,glissant,30
vers,vers,81
elle,il,51
",",",",p
emporté,emporté,31
dans,dans,81
le,le,71
roulement,roulement,21
doux,doux,30
et,et,82
rapide,rapide,30
de,de,81
l',le,71
express,express,21
",",",",p
son,son,73
ardeur,ardeur,22
",",",",p
au,à,81
au,le,71
lieu,lieu,21
de,de,81
se,se,51
calmer,calmer,14
",",",",p
grandit,grandir,19
",",",",p
et,et,82
il,il,51
avait,avoir,18
envie,envie,22
",",",",p
une,un,71
envie,envie,22
bête,bête,30
d',de,81
enfant,enfant,21
",",",",p
de,de,81
pousser,pousser,14
à,à,81
deux,deux,72
mains,main,22
",",",",p
de,de,81
toute,tout,75
sa,son,73
force,force,22
",",",",p
la,le,71
cloison,cloison,22
capitonnée,capitonné,31
pour,pour,81
accélérer,accélérer,14
la,le,71
vitesse,vitesse,22
/.,/.,P
pendant,pendant,81
longtemps,longtemps,60
",",",",p
jusqu',jusque,81
au,à,81
au,le,71
milieu,milieu,21
du,de,81
du,le,71
jour,jour,21
",",",",p
il,il,51
demeura,demeurer,19
muré,muré,31
dans,dans,81
son,son,73
attente,attente,22
et,et,82
perclus,perclus,30
d',de,81
espérance,espérance,22
;,;,p
puis,puis,60
peu,peu,60
à,à,81
peu,peu,60
",",",",p
Argentan,Argentan,20
passé,passé,31
",",",",p
ses,son,73
yeux,oeil,21
furent,être,19
attirés,attirer,12
vers,vers,81
les,le,71
portières,portière,22
par,par,81
toute,tout,75
la,le,71
verdure,verdure,22
normande,normand,30
/.,/.,P
le,le,71
convoi,convoi,21
traversait,traverser,18
un,un,71
long,long,30
pays,pays,21
onduleux,onduleux,30
",",",",p
coupé,coupé,31
de,de,81
vallons,vallon,21
",",",",p
où,où,60
les,le,71
domaines,domaine,21
des,de,81
des,le,71
paysans,paysan,21
",",",",p
herbages,herbage,21
et,et,82
prairies,prairie,22
à,à,81
pommiers,pommier,21
",",",",p
étaient,être,18
entourés,entourer,12
de,de,81
grands,grand,30
arbres,arbre,21
dont,dont,52
les,le,71
têtes,tête,22
touffues,touffu,30
semblaient,sembler,18
luisantes,luisant,30
sous,sous,81
les,le,71
rayons,rayon,21
du,de,81
du,le,71
soleil,soleil,21
/.,/.,P
on,on,51
touchait,toucher,18
à,à,81
la,le,71
fin,fin,22
de,de,81
juillet,juillet,21
;,;,p
c',ce,52
était,être,18
la,le,71
saison,saison,22
vigoureuse,vigoureux,30
où,où,60
cette,ce,74
terre,terre,22
",",",",p
nourrice,nourrice,22
puissante,puissant,30
",",",",p
fait,faire,12
épanouir,épanouir,14
sa,son,73
sève,sève,22
et,et,82
sa,son,73
vie,vie,22
/.,/.,P
dans,dans,81
tous,tout,75
les,le,71
enclos,enclos,21
",",",",p
séparés,séparé,31
et,et,82
reliés,relié,31
par,par,81
ces,ce,74
hautes,haut,30
murailles,muraille,22
de,de,81
feuilles,feuille,22
",",",",p
les,le,71
gros,gros,60
boeufs,boeuf,21
blonds,blond,30
",",",",p
les,le,71
vaches,vache,22
aux,à,81
aux,le,71
flancs,flanc,21
tachetés,tacheté,31
de,de,81
vagues,vague,30
dessins,dessin,21
bizarres,bizarre,30
",",",",p
les,le,71
taureaux,taureau,21
roux,roux,30
au,à,81
au,le,71
front,front,21
large,large,30
",",",",p
au,à,81
au,le,71
jabot,jabot,21
de,de,81
chair,chair,22
poilue,poilu,30
",",",",p
à,à,81
l',le,71
air,air,21
provocateur,provocateur,30
et,et,82
fier,fier,30
",",",",p
debout,debout,60
auprès,auprès,60
des,de,81
des,le,71
clôtures,clôture,22
ou,ou,82
couchés,couché,31
dans,dans,81
les,le,71
pâturages,pâturage,21
qui,qui,52
ballonnaient,ballonner,18
leurs,leur,73
ventres,ventre,21
",",",",p
se,se,51
succédaient,succéder,18
indéfiniment,indéfiniment,60
à,à,81
travers,travers,21
la,le,71
fraîche,frais,30
contrée,contrée,22
",",",",p
dont,dont,52
le,le,71
sol,sol,21
semblait,sembler,18
suer,suer,14
du,de,81
du,le,71
cidre,cidre,21
et,et,82
de,de,81
la,le,71
chair,chair,22
/.,/.,P
partout,partout,60
de,de,81
minces,mince,30
rivières,rivière,22
glissaient,glisser,18
au,à,81
au,le,71
pied,pied,21
des,de,81
des,le,71
peupliers,peuplier,21
",",",",p
sous,sous,81
des,de,81
des,le,71
voiles,voile,21
légers,léger,30
de,de,81
saules,saule,21
;,;,p
des,de,81
des,le,71
ruisseaux,ruisseau,21
brillaient,briller,18
dans,dans,81
l',le,71
herbe,herbe,22
une,un,71
seconde,seconde,22
",",",",p
disparaissaient,disparaître,18
pour,pour,81
reparaître,reparaître,14
plus,plus,60
loin,loin,60
",",",",p
baignaient,baigner,18
toute,tout,75
la,le,71
campagne,campagne,22
d',de,81
une,un,71
fraîcheur,fraîcheur,22
féconde,fécond,30
/.,/.,P
et,et,82
Mariolle,Mariolle,20
promenait,promener,18
",",",",p
ravi,ravi,31
",",",",p
et,et,82
distrayait,distraire,18
son,son,73
amour,amour,21
dans,dans,81
le,le,71
rapide,rapide,30
et,et,82
continu,continu,30
défilé,défilé,21
de,de,81
ce,ce,74
beau,beau,30
parc,parc,21
à,à,81
pommiers,pommier,21
habité,habité,31
par,par,81
des,de,81
des,le,71
troupeaux,troupeau,21
/.,/.,P
mais,mais,82
",",",",p
quand,quand,83
il,il,51
eut,avoir,19
changé,changer,12
de,de,81
train,train,21
à,à,81
la,le,71
station,station,22
de,de,81
Folligny,Folligny,20
",",",",p
l',le,71
impatience,impatience,22
d',de,81
arriver,arriver,14
l',le,52
agita,agiter,19
de,de,81
nouveau,nouveau,21
",",",",p
et,et,82
",",",",p
pendant,pendant,81
les,le,71
dernières,dernier,30
quarante,quarante,72
minutes,minute,22
",",",",p
il,il,51
tira,tirer,19
vingt,vingt,72
fois,fois,22
sa,son,73
montre,montre,22
de,de,81
sa,son,73
poche,poche,22
/.,/.,P
à,à,81
tout,tout,75
moment,moment,21
il,il,51
se,se,51
penchait,pencher,18
à,à,81
la,le,71
portière,portière,22
",",",",p
et,et,82
il,il,51
aperçut,apercevoir,19
enfin,enfin,60
",",",",p
sur,sur,81
une,un,71
colline,colline,22
assez,assez,60
élevée,élevé,31
",",",",p
la,le,71
ville,ville,22
où,où,60
elle,il,51
l',le,52
attendait,attendre,18
/.,/.,P
le,le,71
train,train,21
avait,avoir,18
eu,avoir,12
du,de,81
du,le,71
retard,retard,21
",",",",p
et,et,82
une,un,71
heure,heure,22
seulement,seulement,60
le,le,52
séparait,séparer,18
de,de,81
l',le,71
instant,instant,21
où,où,60
il,il,51
devait,devoir,18
la,le,52
retrouver,retrouver,14
",",",",p
par,par,81
hasard,hasard,21
",",",",p
à,à,81
la,le,71
promenade,promenade,22
publique,public,30
/.,/.,P
un,un,71
omnibus,omnibus,21
d',de,81
hôtel,hôtel,21
l',le,52
ayant,avoir,13
recueilli,recueillir,12
",",",",p
seul,seul,30
voyageur,voyageur,21
",",",",p
se,se,51
mit,mettre,19
à,à,81
gravir,gravir,14
",",",",p
au,à,81
au,le,71
pas,pas,21
lent,lent,30
des,de,81
des,le,71
chevaux,cheval,21
",",",",p
la,le,71
route,route,22
escarpée,escarpé,30
d',de,81
Avranches,Avranches,20
",",",",p
à,à,81
qui,qui,52
ses,son,73
maisons,maison,22
",",",",p
couronnant,couronner,13
