12060
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Soixante-et-onzième extrait>,<>,<>
grandes,grand,30
lignes,ligne,22
",",",",p
l',le,71
arrivée,arrivée,22
d',de,81
un,un,71
train,train,21
de,de,81
Mantes,Mantes,20
avait,avoir,18
animé,animer,12
les,le,71
quais,quai,21
;,;,p
et,et,82
il,il,51
suivit,suivre,19
des,de,81
des,le,71
yeux,oeil,21
la,le,71
machine,machine,22
de,de,81
manoeuvre,manoeuvre,22
",",",",p
une,un,71
petite,petit,30
machine,machine,22
tender,tender,21
",",",",p
aux,à,81
aux,le,71
trois,trois,72
roues,roue,22
basses,bas,30
et,et,82
couplées,couplé,31
",",",",p
qui,qui,52
commençait,commencer,18
le,le,71
débranchement,débranchement,21
du,de,81
du,le,71
train,train,21
",",",",p
alerte,alerte,22
besogneuse,besogneux,30
",",",",p
emmenant,emmener,13
",",",",p
refoulant,refouler,13
les,le,71
wagons,wagon,21
sur,sur,81
les,le,71
voies,voie,22
de,de,81
remisage,remisage,21
/.,/.,P
une,un,71
autre,autre,75
machine,machine,22
",",",",p
puissante,puissant,30
celle-là,celui-là,52
",",",",p
une,un,71
machine,machine,22
d',de,81
express,express,21
",",",",p
aux,à,81
aux,le,71
deux,deux,72
grandes,grand,30
roues,roue,22
dévorantes,dévorant,30
",",",",p
stationnait,stationner,18
seule,seul,30
",",",",p
lâchait,lâcher,18
par,par,81
sa,son,73
cheminée,cheminée,22
une,un,71
grosse,gros,30
fumée,fumée,22
noire,noir,30
",",",",p
montant,monter,13
droit,droit,60
",",",",p
très,très,60
lente,lent,30
dans,dans,81
l',le,71
air,air,21
calme,calme,30
/.,/.,P
mais,mais,82
toute,tout,75
son,son,73
attention,attention,22
fut,être,19
prise,prendre,12
par,par,81
le,le,71
train,train,21
de,de,81
trois,trois,72
heures,heure,22
vingt,vingt,72
cinq,cinq,72
",",",",p
à,à,81
destination,destination,22
de,de,81
Caen,Caen,20
",",",",p
empli,empli,31
déjà,déjà,60
de,de,81
ses,son,73
voyageurs,voyageur,21
",",",",p
et,et,82
qui,qui,52
attendait,attendre,18
sa,son,73
machine,machine,22
/.,/.,P
il,il,51
n',ne,60
apercevait,apercevoir,18
pas,pas,60
celle-ci,celui-ci,52
",",",",p
arrêtée,arrêté,31
au-delà,au-delà,60
du,de,81
du,le,71
pont,pont,21
de,de,81
l',le,71
Europe,Europe,20
;,;,p
il,il,51
l',le,52
entendait,entendre,18
seulement,seulement,60
demander,demander,14
la,le,71
voie,voie,22
",",",",p
à,à,81
légers,léger,30
coups,coup,21
de,de,81
sifflet,sifflet,21
pressés,pressé,31
",",",",p
en,en,81
personne,personne,22
que,que,52
l',le,71
impatience,impatience,22
gagne,gagner,17
/.,/.,P
un,un,71
ordre,ordre,21
fut,être,19
crié,crier,12
",",",",p
elle,il,51
répondit,répondre,19
par,par,81
un,un,71
coup,coup,21
bref,bref,30
qu',que,83
elle,il,51
avait,avoir,18
compris,comprendre,12
/.,/.,P
puis,puis,60
",",",",p
avant,avant,81
la,le,71
mise,mise,22
en,en,81
marche,marche,22
",",",",p
il,il,51
y,y,52
eut,avoir,19
un,un,71
silence,silence,21
",",",",p
les,le,71
purgeurs,purgeur,21
furent,être,19
ouverts,ouvrir,12
",",",",p
la,le,71
vapeur,vapeur,22
siffla,siffler,19
au,à,81
au,le,71
ras,ras,30
du,de,81
du,le,71
sol,sol,21
",",",",p
en,en,81
un,un,71
jet,jet,21
assourdissant,assourdissant,30
/.,/.,P
et,et,82
il,il,51
vit,voir,19
alors,alors,60
déborder,déborder,14
du,de,81
du,le,71
pont,pont,21
cette,ce,74
blancheur,blancheur,22
qui,qui,52
foisonnait,foisonner,18
",",",",p
tourbillonnante,tourbillonnant,30
comme,comme,83
un,un,71
duvet,duvet,22
de,de,81
neige,neige,22
",",",",p
envolée,envolé,31
à,à,81
travers,travers,21
les,le,71
charpentes,charpente,22
de,de,81
fer,fer,21
/.,/.,P
tout,tout,75
un,un,71
coin,coin,21
de,de,81
l',le,71
espace,espace,21
en,en,52
était,être,18
blanchi,blanchir,12
",",",",p
tandis que,tandis que,83
les,le,71
fumées,fumée,22
accrues,accru,31
de,de,81
l',le,71
autre,autre,75
machine,machine,22
élargissaient,élargir,18
leur,leur,73
voile,voile,21
noir,noir,30
/.,/.,P
derrière,derrière,81
",",",",p
s',se,51
étouffaient,étouffer,18
des,de,81
des,le,71
sons,son,21
prolongés,prolongé,31
de,de,81
trompe,trompe,22
",",",",p
des,de,81
des,le,71
cris,cri,21
de,de,81
commandement,commandement,21
",",",",p
des,de,81
des,le,71
secousses,secousse,22
de,de,81
plaques,plaque,22
tournantes,tournant,30
/.,/.,P
une,un,71
déchirure,déchirure,22
se,se,51
produisit,produire,19
",",",",p
il,il,51
distingua,distinguer,19
",",",",p
au,à,81
au,le,71
fond,fond,21
",",",",p
un,un,71
train,train,21
de,de,81
Versailles,Versailles,20
et,et,82
un,un,71
train,train,21
d',de,81
Auteuil,Auteuil,20
",",",",p
l',le,71
un,un,52
montant,monter,13
",",",",p
l',le,71
autre,autre,75
descendant,descendant,21
",",",",p
qui,qui,52
se,se,51
croisaient,croiser,18
/.,/.,P
comme,comme,83
Roubaud,Roubaud,20
allait,aller,18
quitter,quitter,14
la,le,71
fenêtre,fenêtre,22
",",",",p
une,un,71
voix,voix,22
qui,qui,52
prononçait,prononcer,18
son,son,73
nom,nom,21
",",",",p
le,le,52
fit,faire,19
se,se,51
pencher,pencher,14
/.,/.,P
et,et,82
il,il,51
reconnut,reconnaître,19
",",",",p
au-dessous,au-dessous,60
",",",",p
sur,sur,81
la,le,71
terrasse,terrasse,22
du,de,81
du,le,71
quatrième,quatrième,72
",",",",p
un,un,71
jeune,jeune,30
homme,homme,21
d',de,81
une,un,71
trentaine,trentaine,22
d',de,81
années,année,22
",",",",p
Henri,Henri,20
Dauvergne,Dauvergne,20
",",",",p
conducteur,conducteur,21
chef,chef,21
",",",",p
qui,qui,52
habitait,habiter,18
là,là,60
en,en,81
compagnie,compagnie,22
de,de,81
son,son,73
père,père,21
",",",",p
chef,chef,21
adjoint,adjoint,31
des,de,81
des,le,71
grandes,grand,30
lignes,ligne,22
",",",",p
et,et,82
de,de,81
ses,son,73
soeurs,soeur,22
",",",",p
Claire,Claire,20
et,et,82
Sophie,Sophie,20
",",",",p
deux,deux,72
blondes,blonde,22
de,de,81
dix,dix,72
huit,huit,72
et,et,82
vingt,vingt,72
ans,an,21
",",",",p
adorables,adorable,30
",",",",p
menant,mener,13
le,le,71
ménage,ménage,21
avec,avec,81
les,le,71
six,six,72
mille,mille,72
francs,franc,21
des,de,81
des,le,71
deux,deux,72
hommes,homme,21
",",",",p
au,à,81
au,le,71
milieu,milieu,21
d',de,81
un,un,71
continuel,continuel,30
éclat,éclat,21
de,de,81
gaieté,gaieté,22
/.,/.,P
on,on,51
entendait,entendre,18
l',le,71
aînée,aînée,22
rire,rire,14
",",",",p
pendant,pendant,81
que,que,83
la,le,71
cadette,cadette,22
chantait,chanter,18
",",",",p
et,et,82
qu',que,83
une,un,71
cage,cage,22
",",",",p
pleine,plein,30
d',de,81
oiseaux,oiseau,21
des,de,81
des,le,71
îles,île,22
",",",",p
rivalisait,rivaliser,18
de,de,81
roulades,roulade,22
/.,/.,P
tiens,tenir,17
!,!,p
monsieur,monsieur,21
Roubaud,Roubaud,20
",",",",p
vous,vous,51
êtes,être,17
donc,donc,82
à,à,81
Paris,Paris,20
/?,/?,P
ah,ah,93
!,!,p
oui,oui,60
",",",",p
pour,pour,81
votre,votre,73
affaire,affaire,22
avec,avec,81
le,le,71
sous-préfet,sous-préfet,21
/!,/!,P
de,de,81
nouveau,nouveau,21
accoudé,accoudé,31
",",",",p
le,le,71
sous-chef,sous-chef,21
de,de,81
gare,gare,22
expliqua,expliquer,19
qu',que,83
il,il,51
avait,avoir,18
dû,devoir,12
quitter,quitter,14
le,le,71
Havre,Havre,20
",",",",p
le,le,71
matin,matin,21
même,même,30
",",",",p
par,par,81
l',le,71
express,express,21
de,de,81
six,six,72
heures,heure,22
quarante,quarante,72
/.,/.,P
un,un,71
ordre,ordre,21
du,de,81
du,le,71
chef,chef,21
de,de,81
l',le,71
exploitation,exploitation,22
l',le,52
appelait,appeler,18
à,à,81
Paris,Paris,20
",",",",p
on,on,51
venait,venir,18
de,de,81
le,le,52
sermonner,sermonner,14
d',de,81
importance,importance,22
/.,/.,P
heureux,heureux,30
encore,encore,60
de,de,81
n',ne,60
y,y,52
avoir,avoir,14
pas,pas,60
laissé,laisser,12
sa,son,73
place,place,22
/.,/.,P
et,et,82
madame,madame,22
?,?,p
demanda,demander,19
Henri,Henri,20
/.,/.,P
madame,madame,22
avait,avoir,18
voulu,vouloir,12
venir,venir,14
",",",",p
elle,il,51
aussi,aussi,60
",",",",p
pour,pour,81
des,de,81
des,le,71
emplettes,emplette,22
/.,/.,P
son,son,73
mari,mari,21
l',le,52
attendait,attendre,18
là,là,60
",",",",p
dans,dans,81
cette,ce,74
chambre,chambre,22
dont,dont,52
la,le,71
mère,mère,22
Victoire,Victoire,20
leur,leur,52
remettait,remettre,18
la,le,71
clef,clé,22
",",",",p
à,à,81
chacun,chacun,52
de,de,81
leurs,leur,73
voyages,voyage,21
",",",",p
et,et,82
où,où,60
ils,ils,51
aimaient,aimer,18
déjeuner,déjeuner,14
",",",",p
tranquilles,tranquille,30
et,et,82
seuls,seul,30
",",",",p
pendant,pendant,81
que,que,83
la,le,71
brave,brave,30
femme,femme,22
était,être,18
retenue,retenir,12
en,en,81
bas,bas,21
",",",",p
à,à,81
son,son,73
poste,poste,21
de,de,81
la,le,71
salubrité,salubrité,22
/.,/.,P
ce,ce,74
jour,jour,21
là,là,60
",",",",p
ils,ils,51
avaient,avoir,18
mangé,manger,12
un,un,71
petit,petit,30
pain,pain,21
à,à,81
Mantes,Mantes,20
",",",",p
voulant,vouloir,13
se,se,51
débarrasser,débarrasser,14
de,de,81
leurs,leur,73
courses,course,22
d'abord,d'abord,60
/.,/.,P
mais,mais,82
trois,trois,72
heures,heure,22
étaient,être,18
sonnées,sonner,12
",",",",p
il,il,51
mourait,mourir,18
de,de,81
faim,faim,22
/.,/.,P
Henri,Henri,20
",",",",p
pour,pour,81
être,être,14
aimable,aimable,30
",",",",p
posa,poser,19
encore,encore,60
une,un,71
question,question,22
:,:,p
et,et,82
vous,vous,51
couchez,coucher,17
à,à,81
Paris,Paris,20
/?,/?,P
non,non,60
",",",",p
non,non,60
!,!,p
ils,ils,51
retournaient,retourner,18
tous,tout,75
deux,deux,72
au,à,81
au,le,71
Havre,Havre,20
le,le,71
soir,soir,21
",",",",p
par,par,81
l',le,71
express,express,21
de,de,81
six,six,72
heures,heure,22
trente,trente,72
/.,/.,P
ah,ah,93
!,!,p
bien,bien,60
!,!,p
oui,oui,60
",",",",p
des,de,81
des,le,71
vacances,vacance,22
/!,/!,P
on,on,51
ne,ne,60
vous,vous,51
dérangeait,déranger,18
que,que,83
pour,pour,81
vous,vous,51
flanquer,flanquer,14
votre,votre,73
paquet,paquet,21
",",",",p
et,et,82
tout,tout,60
de,de,81
suite,suite,22
à,à,81
la,le,71
niche,niche,22
/!,/!,P
un,un,71
moment,moment,21
",",",",p
les,le,71
deux,deux,72
employés,employé,21
se,se,51
regardèrent,regarder,19
",",",",p
en,en,81
hochant,hocher,13
la,le,71
tête,tête,22
/.,/.,P
mais,mais,82
ils,ils,51
ne,ne,60
s',se,51
entendaient,entendre,18
plus,plus,60
",",",",p
un,un,71
piano,piano,21
endiablé,endiablé,30
venait,venir,18
d',de,81
éclater,éclater,14
en,en,81
notes,note,22
sonores,sonore,30
/.,/.,P
les,le,71
deux,deux,72
soeurs,soeur,22
devaient,devoir,18
taper,taper,14
dessus,dessus,60
ensemble,ensemble,60
",",",",p
riant,rire,13
plus,plus,60
haut,haut,60
",",",",p
excitant,exciter,13
les,le,71
oiseaux,oiseau,21
des,de,81
des,le,71
îles,île,22
/.,/.,P
alors,alors,60
",",",",p
le,le,71
jeune,jeune,30
homme,homme,21
",",",",p
qui,qui,52
s',se,51
égayait,égayer,18
à,à,81
son,son,73
tour,tour,21
",",",",p
salua,saluer,19
",",",",p
rentra,rentrer,19
dans,dans,81
l',le,71
appartement,appartement,21
;,;,p
et,et,82
le,le,71
sous-chef,sous-chef,21
",",",",p
seul,seul,30
",",",",p
demeura,demeurer,19
un,un,71
instant,instant,21
les,le,71
yeux,oeil,21
sur,sur,81
la,le,71
terrasse,terrasse,22
",",",",p
d',de,81
où,où,60
montait,monter,18
toute,tout,75
cette,ce,74
gaieté,gaieté,22
de,de,81
jeunesse,jeunesse,22
/.,/.,P
puis,puis,60
",",",",p
les,le,71
regards,regard,21
levés,levé,31
",",",",p
il,il,51
aperçut,apercevoir,19
la,le,71
machine,machine,22
qui,qui,52
avait,avoir,18
fermé,fermer,12
ses,son,73
purgeurs,purgeur,21
",",",",p
et,et,82
que,que,52
l',le,71
aiguilleur,aiguilleur,21
envoyait,envoyer,18
sur,sur,81
le,le,71
train,train,21
de,de,81
Caen,Caen,20
/.,/.,P
les,le,71
derniers,dernier,30
floconnements,floconnement,21
de,de,81
vapeur,vapeur,22
blanche,blanc,30
se,se,51
perdaient,perdre,18
",",",",p
parmi,parmi,81
les,le,52
gros,gros,30
tourbillons,tourbillon,21
de,de,81
fumée,fumée,22
noire,noir,30
",",",",p
salissant,salir,13
le,le,71
ciel,ciel,21
/.,/.,P
et,et,82
il,il,51
rentra,rentrer,19
",",",",p
lui,lui,51
aussi,aussi,60
",",",",p
dans,dans,81
la,le,71
chambre,chambre,22
/.,/.,P
devant,devant,81
le,le,71
coucou,coucou,21
qui,qui,52
marquait,marquer,18
trois,trois,72
heures,heure,22
vingt,vingt,72
",",",",p
Roubaud,Roubaud,20
eut,avoir,19
un,un,71
geste,geste,21
désespéré,désespéré,31
/.,/.,P
à,à,81
quoi,quoi,52
diable,diable,21
Séverine,Séverine,20
pouvait,pouvoir,18
elle,il,51
s',se,51
attarder,attarder,14
ainsi,ainsi,60
/?,/?,P
elle,il,51
n',ne,60
en,en,52
sortait,sortir,18
plus,plus,60
",",",",p
lorsqu',lorsque,83
elle,il,51
était,être,18
dans,dans,81
un,un,71
magasin,magasin,21
/.,/.,P
pour,pour,81
tromper,tromper,14
la,le,71
faim,faim,22
qui,qui,52
lui,lui,51
labourait,labourer,18
l',le,71
estomac,estomac,21
",",",",p
il,il,51
eut,avoir,19
l',le,71
idée,idée,22
de,de,81
mettre,mettre,14
la,le,71
table,table,22
/.,/.,P
la,le,71
vaste,vaste,30
pièce,pièce,22
",",",",p
à,à,81
deux,deux,72
fenêtres,fenêtre,22
",",",",p
lui,lui,51
était,être,18
familière,familier,30
",",",",p
servant,servir,13
à,à,81
la,le,71
fois,fois,22
de,de,81
chambre,chambre,22
à,à,81
coucher,coucher,14
",",",",p
de,de,81
salle,salle,22
à,à,81
manger,manger,14
et,et,82
de,de,81
cuisine,cuisine,22
",",",",p
avec,avec,81
ses,son,73
meubles,meuble,21
de,de,81
noyer,noyer,21
",",",",p
son,son,73
lit,lit,21
drapé,drapé,31
de,de,81
cotonnade,cotonnade,22
rouge,rouge,30
",",",",p
son,son,73
buffet,buffet,21
à,à,81
dressoir,dressoir,21
",",",",p
sa,son,73
table,table,22
ronde,rond,30
",",",",p
son,son,73
armoire,armoire,22
normande,normand,30
/.,/.,P
il,il,51
prit,prendre,19
",",",",p
dans,dans,81
le,le,71
buffet,buffet,21
",",",",p
des,de,81
des,le,71
serviettes,serviette,22
",",",",p
des,de,81
des,le,71
assiettes,assiette,22
",",",",p
des,de,81
des,le,71
fourchettes,fourchette,22
et,et,82
des,de,81
des,le,71
couteaux,couteau,21
",",",",p
deux,deux,72
verres,verre,21
/.,/.,P
tout,tout,52
cela,cela,52
était,être,18
d',de,81
une,un,71
propreté,propreté,22
extrême,extrême,30
",",",",p
et,et,82
il,il,51
s',se,51
amusait,amuser,18
à,à,81
ces,ce,74
soins,soin,21
de,de,81
ménage,ménage,21
",",",",p
comme,comme,83
s',si,83
il,il,51
eût,avoir,19
joué,jouer,12
à,à,81
la,le,71
dînette,dînette,22
",",",",p
heureux,heureux,30
de,de,81
la,le,71
blancheur,blancheur,22
du,de,81
du,le,71
linge,linge,21
",",",",p
très,très,60
amoureux,amoureux,30
de,de,81
sa,son,73
femme,femme,22
",",",",p
riant,rire,13
lui-même,lui-même,51
du,de,81
du,le,71
bon,bon,30
rire,rire,21
frais,frais,30
dont,dont,52
elle,il,51
allait,aller,18
éclater,éclater,14
",",",",p
en,en,81
ouvrant,ouvrir,13
la,le,71
porte,porte,22
/.,/.,P
mais,mais,82
",",",",p
lorsqu',lorsque,83
il,il,51
eut,avoir,19
posé,poser,12
le,le,71
pâté,pâté,21
sur,sur,81
une,un,71
assiette,assiette,22
",",",",p
et,et,82
placé,placer,12
",",",",p
à,à,81
côté,côté,21
",",",",p
la,le,71
bouteille,bouteille,22
de,de,81
vin,vin,21
blanc,blanc,30
",",",",p
il,il,51
s',se,51
inquiéta,inquiéter,19
",",",",p
chercha,chercher,19
des,de,81
des,le,71
yeux,oeil,21
/.,/.,P
puis,puis,60
",",",",p
vivement,vivement,60
",",",",p
il,il,51
tira,tirer,19
de,de,81
ses,son,73
poches,poche,22
deux,deux,72
paquets,paquet,21
oubliés,oublié,31
",",",",p
une,un,71
petite,petit,30
boîte,boîte,22
de,de,81
sardines,sardine,22
et,et,82
du,de,81
du,le,71
fromage,fromage,21
de,de,81
gruyère,gruyère,21
/.,/.,P
la,le,71
demie,demie,22
sonna,sonner,19
/.,/.,P
Roubaud,Roubaud,20
marchait,marcher,18
de,de,81
long,long,21
en,en,81
large,large,21
",",",",p
tournant,tourner,13
",",",",p
au,à,81
au,le,71
moindre,moindre,30
bruit,bruit,21
",",",",p
l',le,71
oreille,oreille,22
vers,vers,81
l',le,71
escalier,escalier,21
/.,/.,P
dans,dans,81
son,son,73
attente,attente,22
désoeuvrée,désoeuvré,30
",",",",p
en,en,81
passant,passer,13
devant,devant,81
la,le,71
glace,glace,22
",",",",p
il,il,51
s',se,51
arrêta,arrêter,19
",",",",p
se,se,51
regarda,regarder,19
/.,/.,P
il,il,51
ne,ne,60
vieillissait,vieillir,18
point,point,60
",",",",p
la,le,71
quarantaine,quarantaine,22
approchait,approcher,18
sans,sans,81
que,que,83
le,le,71
roux,roux,21
ardent,ardent,30
de,de,81
ses,son,73
cheveux,cheveu,21
frisés,frisé,31
eût,avoir,19
pâli,pâlir,12
/.,/.,P
sa,son,73
barbe,barbe,22
",",",",p
qu',que,52
il,il,51
portait,porter,18
entière,entier,30
",",",",p
restait,rester,18
drue,dru,30
",",",",p
elle,il,51
aussi,aussi,60
",",",",p
d',de,81
un,un,71
blond,blond,21
de,de,81
soleil,soleil,21
/.,/.,P
et,et,82
",",",",p
de,de,81
taille,taille,22
moyenne,moyen,30
",",",",p
mais,mais,82
d',de,81
une,un,71
extraordinaire,extraordinaire,30
vigueur,vigueur,22
",",",",p
il,il,51
se,se,51
plaisait,plaire,18
à,à,81
sa,son,73
personne,personne,22
",",",",p
satisfait,satisfaire,17
de,de,81
sa,son,73
tête,tête,22
un,un,71
peu,peu,60
plate,plat,30
",",",",p
au,à,81
au,le,71
front,front,21
bas,bas,30
",",",",p
à,à,81
la,le,71
nuque,nuque,22
épaisse,épais,30
",",",",p
de,de,81
sa,son,73
face,face,22
ronde,rond,30
et,et,82
sanguine,sanguin,30
",",",",p
éclairée,éclairé,31
de,de,81
deux,deux,72
gros,gros,30
yeux,oeil,21
vifs,vif,30
/.,/.,P
ses,son,73
sourcils,sourcil,21
se,se,51
rejoignaient,rejoindre,18
",",",",p
embroussaillant,embroussailler,13
son,son,73
front,front,21
de,de,81
la,le,71
barre,barre,22
des,de,81
des,le,71
jaloux,jaloux,21
/.,/.,P
comme,comme,83
il,il,51
avait,avoir,18
épousé,épouser,12
une,un,71
femme,femme,22
plus,plus,60
jeune,jeune,30
que,que,83
lui,lui,51
de,de,81
quinze,quinze,72
années,année,22
",",",",p
ces,ce,74
coups,coup,21
d',de,81
oeil,oeil,21
fréquents,fréquent,30
",",",",p
donnés,donné,31
aux,à,81
aux,le,71
glaces,glace,22
",",",",p
le,le,52
rassuraient,rassurer,18
/.,/.,P
il,il,51
y,y,52
eut,avoir,19
un,un,71
bruit,bruit,21
de,de,81
pas,pas,21
",",",",p
Roubaud,Roubaud,20
courut,courir,19
entrebâiller,entrebâiller,14
la,le,71
porte,porte,22
/.,/.,P
mais,mais,82
c',ce,52
était,être,18
une,un,71
marchande,marchande,22
de,de,81
journaux,journal,21
de,de,81
la,le,71
gare,gare,22
",",",",p
qui,qui,52
rentrait,rentrer,18
chez,chez,81
elle,il,51
",",",",p
à,à,81
côté,côté,21
/.,/.,P
il,il,51
revint,revenir,19
",",",",p
