11956
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Quatre-vingtième extrait>,<>,<>
quai,quai,21
qui,qui,52
se,se,51
prolongeait,prolonger,18
en,en,81
une,un,71
sorte,sorte,22
de,de,81
jetée,jetée,22
étroite,étroit,30
",",",",p
dans,dans,81
les,le,71
ténèbres,ténèbre,22
d',de,81
un,un,71
ciel,ciel,21
d',de,81
encre,encre,22
",",",",p
où,où,60
la,le,71
file,file,22
des,de,81
des,le,71
quelques,quelque,75
becs,bec,21
de,de,81
gaz,gaz,21
",",",",p
plantés,planté,31
le,le,71
long,long,21
du,de,81
du,le,71
trottoir,trottoir,21
",",",",p
n',ne,60
alignait,aligner,18
que,que,83
des,de,81
des,le,71
étoiles,étoile,22
fumeuses,fumeux,30
/.,/.,P
une,un,71
averse,averse,22
venait,venir,18
de,de,81
cesser,cesser,14
",",",",p
il,il,51
en,en,52
restait,rester,18
un,un,71
souffle,souffle,21
d',de,81
une,un,71
humidité,humidité,22
glaciale,glacial,30
",",",",p
épandu,épandu,31
par,par,81
ce,ce,74
vaste,vaste,30
espace,espace,21
découvert,découvert,31
",",",",p
qu',que,52
une,un,71
brume,brume,22
reculait,reculer,18
jusqu',jusque,81
aux,à,81
aux,le,71
petites,petit,30
lueurs,lueur,22
pâlies,pâli,31
des,de,81
des,le,71
façades,façade,22
de,de,81
la,le,71
rue,rue,22
de,de,81
Rome,Rome,20
/.,/.,P
cela,cela,52
était,être,18
immense,immense,30
et,et,82
triste,triste,30
",",",",p
noyé,noyer,12
d',de,81
eau,eau,22
",",",",p
çà,çà,60
et,et,82
là,là,60
piqué,piquer,12
d',de,81
un,un,71
feu,feu,21
sanglant,sanglant,30
",",",",p
confusément,confusément,60
peuplé,peupler,12
de,de,81
masses,masse,22
opaques,opaque,30
",",",",p
les,le,71
machines,machine,22
et,et,82
les,le,71
wagons,wagon,21
solitaires,solitaire,30
",",",",p
les,le,71
tronçons,tronçon,21
de,de,81
trains,train,21
dormant,dormir,13
sur,sur,81
les,le,71
voies,voie,22
de,de,81
garage,garage,21
;,;,p
et,et,82
",",",",p
du,de,81
du,le,71
fond,fond,21
de,de,81
ce,ce,74
lac,lac,21
d',de,81
ombre,ombre,22
",",",",p
des,de,81
des,le,71
bruits,bruit,21
arrivaient,arriver,18
",",",",p
des,de,81
des,le,71
respirations,respiration,22
géantes,géant,30
",",",",p
haletantes,haletant,30
de,de,81
fièvre,fièvre,22
",",",",p
des,de,81
des,le,71
coups,coup,21
de,de,81
sifflet,sifflet,21
pareils,pareil,30
à,à,81
des,de,81
des,le,71
cris,cri,21
aigus,aigu,30
de,de,81
femmes,femme,22
qu',que,52
on,on,51
violente,violenter,17
",",",",p
des,de,81
des,le,71
trompes,trompe,22
lointaines,lointain,30
sonnant,sonner,13
",",",",p
lamentables,lamentable,30
",",",",p
au,à,81
au,le,71
milieu,milieu,21
du,de,81
du,le,71
grondement,grondement,21
des,de,81
des,le,71
rues,rue,22
voisines,voisin,30
/.,/.,P
il,il,51
y,y,52
eut,avoir,19
des,de,81
des,le,71
ordres,ordre,21
à,à,81
voix,voix,22
haute,haut,30
",",",",p
pour,pour,81
qu',que,83
on,on,51
ajoutât,ajouter,18
une,un,71
voiture,voiture,22
/.,/.,P
immobile,immobile,30
",",",",p
la,le,71
machine,machine,22
de,de,81
l',le,71
express,express,21
perdait,perdre,18
par,par,81
une,un,71
soupape,soupape,22
un,un,71
grand,grand,30
jet,jet,21
de,de,81
vapeur,vapeur,22
qui,qui,52
montait,monter,18
dans,dans,81
tout,tout,75
ce,ce,74
noir,noir,21
",",",",p
où,où,60
elle,il,51
s',se,51
effilochait,effilocher,18
en,en,81
petites,petit,30
fumées,fumée,22
",",",",p
semant,semer,13
de,de,81
larmes,larme,22
blanches,blanc,30
le,le,71
deuil,deuil,21
sans,sans,81
bornes,borne,22
tendu,tendu,31
au,à,81
au,le,71
ciel,ciel,21
/.,/.,P
à,à,81
six,six,72
heures,heure,22
vingt,vingt,72
",",",",p
Roubaud,Roubaud,20
et,et,82
Séverine,Séverine,20
parurent,paraître,19
/.,/.,P
elle,il,51
venait,venir,18
de,de,81
rendre,rendre,14
la,le,71
clef,clé,22
à,à,81
la,le,71
mère,mère,22
Victoire,Victoire,20
",",",",p
en,en,81
passant,passer,13
devant,devant,81
les,le,71
cabinets,cabinet,21
",",",",p
près,près,81
des,de,81
des,le,71
salles,salle,22
d',de,81
attente,attente,22
;,;,p
et,et,82
il,il,51
la,le,52
poussait,pousser,18
",",",",p
de,de,81
l',le,71
air,air,21
pressé,pressé,31
d',de,81
un,un,71
mari,mari,21
que,que,52
sa,son,73
femme,femme,22
attarde,attarder,17
",",",",p
lui,lui,51
impatient,impatient,30
et,et,82
brusque,brusque,30
",",",",p
le,le,71
chapeau,chapeau,21
en,en,81
arrière,arrière,21
",",",",p
elle,il,51
sa,son,73
voilette,voilette,22
serrée,serré,31
au,à,81
au,le,71
visage,visage,21
",",",",p
hésitante,hésitant,30
",",",",p
comme,comme,83
brisée,brisé,31
de,de,81
fatigue,fatigue,22
/.,/.,P
un,un,71
flot,flot,21
de,de,81
voyageurs,voyageur,21
suivait,suivre,18
le,le,71
quai,quai,21
",",",",p
ils,ils,51
s',se,51
y,y,52
mêlèrent,mêler,19
",",",",p
longèrent,longer,19
la,le,71
file,file,22
des,de,81
des,le,71
wagons,wagon,21
",",",",p
cherchant,chercher,13
du,de,81
du,le,71
regard,regard,21
un,un,71
compartiment,compartiment,21
de,de,81
première,premier,72
vide,vide,30
/.,/.,P
le,le,71
trottoir,trottoir,21
s',se,51
animait,animer,18
",",",",p
des,de,81
des,le,71
facteurs,facteur,21
roulaient,rouler,18
au,à,81
au,le,71
fourgon,fourgon,21
de,de,81
tête,tête,22
les,le,71
chariots,chariot,21
de,de,81
bagages,bagage,21
",",",",p
un,un,71
surveillant,surveillant,21
s',se,51
occupait,occuper,18
de,de,81
caser,caser,14
une,un,71
famille,famille,22
nombreuse,nombreux,30
",",",",p
le,le,71
sous-chef,sous-chef,21
de,de,81
service,service,21
donnait,donner,18
un,un,71
coup,coup,21
d',de,81
oeil,oeil,21
aux,à,81
aux,le,71
attelages,attelage,21
",",",",p
sa,son,73
lanterne,lanterne,22
signal,signal,21
à,à,81
la,le,71
main,main,22
",",",",p
pour,pour,81
voir,voir,14
s',si,83
ils,ils,51
étaient,être,18
bien,bien,60
faits,faire,12
",",",",p
serrés,serrer,12
à,à,81
bloc,bloc,21
/.,/.,P
et,et,82
Roubaud,Roubaud,20
avait,avoir,18
enfin,enfin,60
trouvé,trouver,12
un,un,71
compartiment,compartiment,21
vide,vide,30
",",",",p
dans,dans,81
lequel,lequel,52
il,il,51
allait,aller,18
faire,faire,14
monter,monter,14
Séverine,Séverine,20
",",",",p
lorsqu',lorsque,83
il,il,51
fut,être,19
aperçu,apercevoir,12
par,par,81
le,le,71
chef,chef,21
de,de,81
gare,gare,22
",",",",p
monsieur,monsieur,21
Vandorpe,Vandorpe,20
",",",",p
qui,qui,52
se,se,51
promenait,promener,18
là,là,60
",",",",p
en,en,81
compagnie,compagnie,22
de,de,81
son,son,73
chef,chef,21
adjoint,adjoint,31
des,de,81
des,le,71
grandes,grand,30
lignes,ligne,22
",",",",p
monsieur,monsieur,21
Dauvergne,Dauvergne,20
",",",",p
tous,tout,75
les,le,71
deux,deux,72
les,le,71
mains,main,22
derrière,derrière,81
le,le,71
dos,dos,21
",",",",p
suivant,suivre,13
la,le,71
manoeuvre,manoeuvre,22
",",",",p
pour,pour,81
la,le,71
voiture,voiture,22
qu',que,52
on,on,51
ajoutait,ajouter,18
/.,/.,P
il,il,51
y,y,52
eut,avoir,19
des,de,81
des,le,71
saluts,salut,21
",",",",p
il,il,51
fallut,falloir,19
s',se,51
arrêter,arrêter,14
et,et,82
causer,causer,14
/.,/.,P
d'abord,d'abord,60
",",",",p
on,on,51
parla,parler,19
de,de,81
cette,ce,74
histoire,histoire,22
du,de,81
du,le,71
sous-préfet,sous-préfet,21
",",",",p
qui,qui,52
s',se,51
était,être,18
terminée,terminer,12
à,à,81
la,le,71
satisfaction,satisfaction,22
de,de,81
tout,tout,75
le,le,71
monde,monde,21
/.,/.,P
ensuite,ensuite,60
",",",",p
il,il,51
fut,être,19
question,question,22
d',de,81
un,un,71
accident,accident,21
arrivé,arrivé,31
le,le,71
matin,matin,21
au,à,81
au,le,71
Havre,Havre,20
",",",",p
et,et,82
que,que,52
le,le,71
télégraphe,télégraphe,21
avait,avoir,18
transmis,transmettre,12
:,:,p
une,un,71
machine,machine,22
",",",",p
la,le,71
Lison,Lison,20
",",",",p
qui,qui,52
",",",",p
le,le,71
jeudi,jeudi,21
et,et,82
le,le,71
samedi,samedi,21
",",",",p
faisait,faire,18
le,le,71
service,service,21
de,de,81
l',le,71
express,express,21
de,de,81
six,six,72
heures,heure,22
trente,trente,72
",",",",p
avait,avoir,18
eu,avoir,12
sa,son,73
bielle,bielle,22
cassée,cassé,31
",",",",p
juste,juste,30
comme,comme,83
le,le,71
train,train,21
entrait,entrer,18
en,en,81
gare,gare,22
;,;,p
et,et,82
la,le,71
réparation,réparation,22
devait,devoir,18
immobiliser,immobiliser,14
là-bas,là-bas,60
",",",",p
pendant,pendant,81
deux,deux,72
jours,jour,21
",",",",p
le,le,71
mécanicien,mécanicien,21
",",",",p
Jacques,Jacques,20
Lantier,Lantier,20
",",",",p
un,un,71
pays,pays,21
de,de,81
Roubaud,Roubaud,20
",",",",p
et,et,82
son,son,73
chauffeur,chauffeur,21
",",",",p
Pecqueux,Pecqueux,20
",",",",p
l',le,71
homme,homme,21
de,de,81
la,le,71
mère,mère,22
Victoire,Victoire,20
/.,/.,P
debout,debout,60
devant,devant,81
la,le,71
portière,portière,22
du,de,81
du,le,71
compartiment,compartiment,21
",",",",p
Séverine,Séverine,20
attendait,attendre,18
",",",",p
sans,sans,81
monter,monter,14
encore,encore,60
;,;,p
tandis que,tandis que,83
son,son,73
mari,mari,21
affectait,affecter,18
avec,avec,81
ces,ce,74
messieurs,monsieur,21
une,un,71
grande,grand,30
liberté,liberté,22
d',de,81
esprit,esprit,21
",",",",p
haussant,hausser,13
la,le,71
voix,voix,22
",",",",p
riant,rire,13
/.,/.,P
mais,mais,82
il,il,51
y,y,52
eut,avoir,19
un,un,71
choc,choc,21
",",",",p
le,le,71
train,train,21
recula,reculer,19
de,de,81
quelques,quelque,75
mètres,mètre,21
:,:,p
c',ce,52
était,être,18
la,le,71
machine,machine,22
qui,qui,52
refoulait,refouler,18
les,le,71
premiers,premier,72
wagons,wagon,21
sur,sur,81
celui,celui,52
qu',que,52
on,on,51
venait,venir,18
d',de,81
ajouter,ajouter,14
",",",",p
le,le,71
<Nombre 293>,<>,<>
deux,deux,72
cent,cent,72
quatre,quatre,72
vingt,vingt,72
treize,treize,72
<Fin nombre>,<>,<>
",",",",p
pour,pour,81
avoir,avoir,14
un,un,71
coupé,coupé,21
réservé,réservé,31
/.,/.,P
et,et,82
le,le,71
fils,fils,21
Dauvergne,Dauvergne,20
",",",",p
Henri,Henri,20
",",",",p
qui,qui,52
accompagnait,accompagner,18
le,le,71
train,train,21
en,en,81
qualité,qualité,22
de,de,81
conducteur,conducteur,21
chef,chef,21
",",",",p
ayant,avoir,13
reconnu,reconnaître,12
Séverine,Séverine,20
sous,sous,81
sa,son,73
voilette,voilette,22
",",",",p
l',le,52
avait,avoir,18
empêchée,empêcher,12
d',de,81
être,être,14
heurtée,heurter,12
par,par,81
la,le,71
portière,portière,22
grande,grand,30
ouverte,ouvert,31
",",",",p
en,en,81
l',le,52
écartant,écarter,13
d',de,81
un,un,71
geste,geste,21
prompt,prompt,30
;,;,p
puis,puis,60
",",",",p
s',se,51
excusant,excuser,13
",",",",p
très,très,60
aimable,aimable,30
",",",",p
il,il,51
lui,lui,51
expliqua,expliquer,19
que,que,83
le,le,71
coupé,coupé,21
était,être,18
pour,pour,81
un,un,52
des,de,81
des,le,71
administrateurs,administrateur,21
de,de,81
la,le,71
Compagnie,Compagnie,20
",",",",p
qui,qui,52
venait,venir,18
d',de,81
en,en,52
faire,faire,14
la,le,71
demande,demande,22
",",",",p
une,un,71
demi-heure,demi-heure,22
avant,avant,81
le,le,71
départ,départ,21
du,de,81
du,le,71
train,train,21
/.,/.,P
elle,il,51
eut,avoir,19
un,un,71
petit,petit,30
rire,rire,21
nerveux,nerveux,30
",",",",p
sans,sans,81
cause,cause,22
",",",",p
et,et,82
il,il,51
courut,courir,19
à,à,81
son,son,73
service,service,21
",",",",p
il,il,51
la,le,52
quitta,quitter,19
enchanté,enchanté,31
",",",",p
car,car,82
il,il,51
s',se,51
était,être,18
dit,dire,12
souvent,souvent,60
qu',que,83
elle,il,51
ferait,faire,16
une,un,71
maîtresse,maîtresse,22
bien,bien,60
agréable,agréable,30
/.,/.,P
l',le,71
horloge,horloge,22
marquait,marquer,18
six,six,72
heures,heure,22
vingt,vingt,72
sept,sept,72
/.,/.,P
encore,encore,60
trois,trois,72
minutes,minute,22
/.,/.,P
brusquement,brusquement,60
",",",",p
Roubaud,Roubaud,20
",",",",p
qui,qui,52
guettait,guetter,18
au,à,81
au,le,71
loin,loin,60
les,le,71
portes,porte,22
des,de,81
des,le,71
salles,salle,22
d',de,81
attente,attente,22
",",",",p
tout,tout,60
en,en,81
causant,causer,13
avec,avec,81
le,le,71
chef,chef,21
de,de,81
gare,gare,22
",",",",p
quitta,quitter,19
celui-ci,celui-ci,52
",",",",p
pour,pour,81
revenir,revenir,14
près,près,81
de,de,81
Séverine,Séverine,20
/.,/.,P
mais,mais,82
le,le,71
wagon,wagon,21
avait,avoir,18
marché,marcher,12
",",",",p
ils,ils,51
durent,devoir,19
rejoindre,rejoindre,14
le,le,71
compartiment,compartiment,21
vide,vide,30
",",",",p
à,à,81
quelques,quelque,75
pas,pas,21
;,;,p
et,et,82
",",",",p
tournant,tourner,13
le,le,71
dos,dos,21
",",",",p
il,il,51
bousculait,bousculer,18
sa,son,73
femme,femme,22
",",",",p
il,il,51
la,le,52
fit,faire,19
monter,monter,14
d',de,81
un,un,71
effort,effort,21
du,de,81
du,le,71
poignet,poignet,21
",",",",p
tandis que,tandis que,83
",",",",p
dans,dans,81
sa,son,73
docilité,docilité,22
anxieuse,anxieux,30
",",",",p
elle,il,51
regardait,regarder,18
instinctivement,instinctivement,60
en,en,81
arrière,arrière,21
",",",",p
pour,pour,81
savoir,savoir,14
/.,/.,P
c',ce,52
était,être,18
un,un,71
voyageur,voyageur,21
attardé,attardé,31
qui,qui,52
arrivait,arriver,18
",",",",p
n',ne,60
ayant,avoir,13
à,à,81
la,le,71
main,main,22
qu',que,83
une,un,71
couverture,couverture,22
",",",",p
le,le,71
collet,collet,21
de,de,81
son,son,73
gros,gros,30
paletot,paletot,21
bleu,bleu,30
relevé,relevé,31
et,et,82
si,si,60
ample,ample,30
",",",",p
le,le,71
bord,bord,21
de,de,81
son,son,73
chapeau,chapeau,21
rond,rond,30
si,si,60
bas,bas,30
sur,sur,81
les,le,71
sourcils,sourcil,21
",",",",p
qu',que,83
on,on,51
ne,ne,60
distinguait,distinguer,18
de,de,81
la,le,71
face,face,22
",",",",p
aux,à,81
aux,le,71
clartés,clarté,22
vacillantes,vacillant,30
du,de,81
du,le,71
gaz,gaz,21
",",",",p
qu',que,83
un,un,71
peu,peu,60
de,de,81
barbe,barbe,22
blanche,blanc,30
/.,/.,P
pourtant,pourtant,60
monsieur,monsieur,21
Vandorpe,Vandorpe,20
et,et,82
monsieur,monsieur,21
Dauvergne,Dauvergne,20
s',se,51
étaient,être,18
avancés,avancer,12
",",",",p
malgré,malgré,81
le,le,71
désir,désir,21
évident,évident,30
que,que,52
le,le,71
voyageur,voyageur,21
avait,avoir,18
de,de,81
n',ne,60
être,être,14
pas,pas,60
vu,voir,12
/.,/.,P
ils,ils,51
le,le,52
suivirent,suivre,19
",",",",p
il,il,51
ne,ne,60
les,le,52
salua,saluer,19
que,que,83
trois,trois,72
wagons,wagon,21
plus,plus,60
loin,loin,60
",",",",p
devant,devant,81
le,le,71
coupé,coupé,21
réservé,réservé,31
",",",",p
où,où,60
il,il,51
monta,monter,19
en,en,81
hâte,hâte,22
/.,/.,P
c',ce,52
était,être,18
lui,lui,51
/.,/.,P
Séverine,Séverine,20
",",",",p
tremblante,tremblant,30
",",",",p
s',se,51
était,être,18
laissée,laisser,12
tomber,tomber,14
sur,sur,81
la,le,71
banquette,banquette,22
/.,/.,P
son,son,73
mari,mari,21
lui,lui,51
broyait,broyer,18
le,le,71
bras,bras,21
d',de,81
une,un,71
étreinte,étreinte,22
",",",",p
comme,comme,83
une,un,71
prise,prise,22
dernière,dernier,30
de,de,81
possession,possession,22
",",",",p
exultant,exulter,13
",",",",p
maintenant,maintenant,60
qu',que,83
il,il,51
était,être,18
certain,certain,52
de,de,81
faire,faire,14
la,le,71
chose,chose,22
/.,/.,P
dans,dans,81
une,un,71
minute,minute,22
",",",",p
la,le,71
demie,demie,22
sonnerait,sonner,16
/.,/.,P
un,un,71
marchand,marchand,21
s',se,51
entêtait,entêter,18
à,à,81
offrir,offrir,14
les,le,71
journaux,journal,21
du,de,81
du,le,71
soir,soir,21
",",",",p
des,de,81
des,le,71
voyageurs,voyageur,21
se,se,51
promenaient,promener,18
encore,encore,60
sur,sur,81
le,le,71
quai,quai,21
",",",",p
finissant,finir,13
une,un,71
cigarette,cigarette,22
/.,/.,P
mais,mais,82
tous,tout,52
montèrent,monter,19
:,:,p
on,on,51
entendait,entendre,18
venir,venir,14
",",",",p
des,de,81
des,le,71
deux,deux,72
bouts,bout,21
du,de,81
du,le,71
train,train,21
",",",",p
les,le,71
surveillants,surveillant,21
fermant,fermer,13
les,le,71
portières,portière,22
/.,/.,P
et,et,82
Roubaud,Roubaud,20
",",",",p
qui,qui,52
avait,avoir,18
eu,avoir,12
la,le,71
surprise,surprise,22
désagréable,désagréable,30
d',de,81
apercevoir,apercevoir,14
",",",",p
dans,dans,81
ce,ce,74
compartiment,compartiment,21
qu',que,52
il,il,51
croyait,croire,18
vide,vide,30
",",",",p
une,un,71
forme,forme,22
sombre,sombre,30
occupant,occuper,13
un,un,71
coin,coin,21
",",",",p
une,un,71
femme,femme,22
en,en,81
deuil,deuil,21
sans,sans,81
doute,doute,21
",",",",p
muette,muet,30
",",",",p
immobile,immobile,30
",",",",p
ne,ne,60
put,pouvoir,19
retenir,retenir,14
une,un,71
exclamation,exclamation,22
de,de,81
véritable,véritable,30
colère,colère,22
",",",",p
lorsque,lorsque,83
la,le,71
portière,portière,22
fut,être,19
rouverte,rouvrir,12
et,et,82
qu',que,83
un,un,71
surveillant,surveillant,21
jeta,jeter,19
un,un,71
couple,couple,21
",",",",p
un,un,71
gros,gros,30
homme,homme,21
",",",",p
une,un,71
grosse,gros,30
femme,femme,22
",",",",p
qui,qui,52
s',se,51
échouèrent,échouer,19
",",",",p
étouffant,étouffer,13
/.,/.,P
on,on,51
allait,aller,18
partir,partir,14
/.,/.,P
la,le,71
pluie,pluie,22
",",",",p
très,très,60
fine,fin,30
",",",",p
avait,avoir,18
repris,reprendre,12
",",",",p
noyant,noyer,13
le,le,71
vaste,vaste,30
champ,champ,21
ténébreux,ténébreux,30
",",",",p
que,que,52
sans,sans,81
cesse,cesse,22
traversaient,traverser,18
des,de,81
des,le,71
trains,train,21
",",",",p
dont,dont,52
on,on,51
distinguait,distinguer,18
seulement,seulement,60
les,le,71
vitres,vitre,22
éclairées,éclairé,31
",",",",p
une,un,71
file,file,22
de,de,81
petites,petit,30
fenêtres,fenêtre,22
mouvantes,mouvant,30
/.,/.,P
des,de,81
des,le,71
feux,feu,21
verts,vert,30
s',se,51
étaient,être,18
allumés,allumer,12
",",",",p
quelques,quelque,75
lanternes,lanterne,22
dansaient,danser,18
au,à,81
au,le,71
ras,ras,30
du,de,81
du,le,71
sol,sol,21
/.,/.,P
et,et,82
rien,rien,52
d',de,81
autre,autre,52
",",",",p
rien,rien,52
qu',que,52
une,un,71
immensité,immensité,22
noire,noir,30
",",",",p
où,où,60
seules,seul,30
apparaissaient,apparaître,18
les,le,71
marquises,marquise,22
des,de,81
des,le,71
grandes,grand,30
lignes,ligne,22
",",",",p
pâlies,pâli,31
d',de,81
un,un,71
faible,faible,30
reflet,reflet,21
de,de,81
gaz,gaz,21
/.,/.,P
tout,tout,52
avait,avoir,18
sombré,sombrer,12
",",",",p
les,le,71
bruits,bruit,21
eux-mêmes,eux-mêmes,51
s',se,51
assourdissaient,assourdir,18
",",",",p
il,il,51
n',ne,60
y,y,52
avait,avoir,18
plus,plus,60
que,que,83
le,le,71
tonnerre,tonnerre,21
de,de,81
la,le,71
machine,machine,22
",",",",p
ouvrant,ouvrir,13
ses,son,73
purgeurs,purgeur,21
",",",",p
lâchant,lâcher,13
des,de,81
des,le,71
flots,flot,21
tourbillonnants,tourbillonnant,30
de,de,81
vapeur,vapeur,22
blanche,blanc,30
/.,/.,P
une,un,71
nuée,nuée,22
montait,monter,18
",",",",p
déroulant,dérouler,13
comme,comme,83
un,un,71
linceul,linceul,21
d',de,81
apparition,apparition,22
