11714
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Cinquante et unième extrait>,<>,<>
se,se,51
faire,faire,14
une,un,71
écorchure,écorchure,22
/.,/.,P
puis,puis,60
il,il,51
alla,aller,19
aussitôt,aussitôt,60
frapper,frapper,14
à,à,81
la,le,71
porte,porte,22
en,en,81
murmurant,murmurer,13
:,:,p
“,“,p
je,je,51
vais,aller,17
me,je,51
faire,faire,14
prendre,prendre,14
à,à,81
mon,mon,73
tour,tour,21
dans,dans,81
la,le,71
souricière,souricière,22
",",",",p
et,et,82
malheur,malheur,21
aux,à,81
aux,le,71
chats,chat,21
qui,qui,52
se,se,51
frotteront,frotter,15
à,à,81
pareille,pareil,30
souris,souris,22
/.,/.,P
“,“,p
à,à,81
peine,peine,22
le,le,71
marteau,marteau,21
eut,avoir,19
il,il,51
résonné,résonner,12
sous,sous,81
la,le,71
main,main,22
du,de,81
du,le,71
jeune,jeune,30
homme,homme,21
",",",",p
que,que,83
le,le,71
tumulte,tumulte,21
cessa,cesser,19
",",",",p
que,que,83
des,de,81
des,le,71
pas,pas,21
s',se,51
approchèrent,approcher,19
",",",",p
que,que,83
la,le,71
porte,porte,22
s',se,51
ouvrit,ouvrir,19
",",",",p
et,et,82
que,que,83
d',de,81
Artagnan,Artagnan,20
",",",",p
l',le,71
épée,épée,22
nue,nu,30
",",",",p
s',se,51
élança,élancer,19
dans,dans,81
l',le,71
appartement,appartement,21
de,de,81
maître,maître,21
Bonacieux,Bonacieux,20
",",",",p
dont,dont,52
la,le,71
porte,porte,22
",",",",p
sans,sans,81
doute,doute,21
mue,mu,31
par,par,81
un,un,71
ressort,ressort,21
",",",",p
se,se,51
referma,refermer,19
d',de,81
elle-même,lui-même,51
sur,sur,81
lui,lui,51
/.,/.,P
alors,alors,60
ceux,celui,52
qui,qui,52
habitaient,habiter,18
encore,encore,60
la,le,71
malheureuse,malheureux,30
maison,maison,22
de,de,81
Bonacieux,Bonacieux,20
et,et,82
les,le,71
voisins,voisin,21
les,le,71
plus,plus,60
proches,proche,30
entendirent,entendre,19
de,de,81
grands,grand,30
cris,cri,21
",",",",p
des,de,81
des,le,71
trépignements,trépignement,21
",",",",p
un,un,71
cliquetis,cliquetis,21
d',de,81
épées,épée,22
et,et,82
un,un,71
bruit,bruit,21
prolongé,prolongé,31
de,de,81
meubles,meuble,21
/.,/.,P
puis,puis,60
",",",",p
un,un,71
moment,moment,21
après,après,81
",",",",p
ceux,celui,52
qui,qui,52
",",",",p
surpris,surpris,31
par,par,81
ce,ce,74
bruit,bruit,21
",",",",p
s',se,51
étaient,être,18
mis,mettre,12
aux,à,81
aux,le,71
fenêtres,fenêtre,22
pour,pour,81
en,en,52
connaître,connaître,14
la,le,71
cause,cause,22
",",",",p
purent,pouvoir,19
voir,voir,14
la,le,71
porte,porte,22
se,se,51
rouvrir,rouvrir,14
et,et,82
quatre,quatre,72
hommes,homme,21
vêtus,vêtu,31
de,de,81
noir,noir,21
non,non,60
pas,pas,60
en,en,52
sortir,sortir,14
",",",",p
mais,mais,82
s',se,51
envoler,envoler,14
comme,comme,83
des,de,81
des,le,71
corbeaux,corbeau,21
effarouchés,effarouché,31
",",",",p
laissant,laisser,13
par,par,81
terre,terre,22
et,et,82
aux,à,81
aux,le,71
angles,angle,21
des,de,81
des,le,71
tables,table,22
des,de,81
des,le,71
plumes,plume,22
de,de,81
leurs,leur,73
ailes,aile,22
",",",",p
c'est-à-dire,c'est-à-dire,91
des,de,81
des,le,71
loques,loque,22
de,de,81
leurs,leur,73
habits,habit,21
et,et,82
des,de,81
des,le,71
bribes,bribe,22
de,de,81
leurs,leur,73
manteaux,manteau,21
/.,/.,P
d',de,81
Artagnan,Artagnan,20
était,être,18
vainqueur,vainqueur,30
sans,sans,81
beaucoup,beaucoup,60
de,de,81
peine,peine,22
",",",",p
il,il,51
faut,falloir,17
le,le,52
dire,dire,14
",",",",p
car,car,82
un,un,71
seul,seul,30
des,de,81
des,le,71
alguazils,alguazil,21
était,être,18
armé,armer,12
",",",",p
encore,encore,60
se,se,51
défendit,défendre,19
il,il,51
pour,pour,81
la,le,71
forme,forme,22
/.,/.,P
il,il,51
est,être,17
vrai,vrai,30
que,que,83
les,le,71
trois,trois,72
autres,autre,52
avaient,avoir,18
essayé,essayer,12
d',de,81
assommer,assommer,14
le,le,71
jeune,jeune,30
homme,homme,21
avec,avec,81
les,le,71
chaises,chaise,22
",",",",p
les,le,71
tabourets,tabouret,21
et,et,82
les,le,71
poteries,poterie,22
;,;,p
mais,mais,82
deux,deux,72
ou,ou,82
trois,trois,72
égratignures,égratignure,22
faites,fait,31
par,par,81
la,le,71
flamberge,flamberge,22
du,de,81
du,le,71
Gascon,Gascon,20
les,le,52
avaient,avoir,18
épouvantés,épouvanter,12
/.,/.,P
dix,dix,72
minutes,minute,22
avaient,avoir,18
suffi,suffire,12
à,à,81
leur,leur,73
défaite,défaite,22
et,et,82
d',de,81
Artagnan,Artagnan,20
était,être,18
resté,rester,12
maître,maître,30
du,de,81
du,le,71
champ,champ,21
de,de,81
bataille,bataille,22
/.,/.,P
les,le,71
voisins,voisin,21
",",",",p
qui,qui,52
avaient,avoir,18
ouvert,ouvrir,12
leurs,leur,73
fenêtres,fenêtre,22
avec,avec,81
le,le,71
sang-froid,sang-froid,21
particulier,particulier,30
aux,à,81
aux,le,71
habitants,habitant,21
de,de,81
Paris,Paris,20
dans,dans,81
ces,ce,74
temps,temps,21
d',de,81
émeutes,émeute,22
et,et,82
de,de,81
rixes,rixe,21
perpétuelles,perpétuel,30
",",",",p
les,le,52
refermèrent,refermer,19
dès,dès,81
qu',que,83
ils,ils,51
eurent,avoir,19
vu,voir,12
s',se,51
enfuir,enfuir,14
les,le,71
quatre,quatre,72
hommes,homme,21
noirs,noir,30
:,:,p
leur,leur,73
instinct,instinct,21
leur,leur,52
disait,dire,18
que,que,83
",",",",p
pour,pour,81
le,le,71
moment,moment,21
",",",",p
tout,tout,52
était,être,18
fini,finir,12
/.,/.,P
d',de,81
ailleurs,ailleurs,60
il,il,51
se,se,51
faisait,faire,18
tard,tard,60
",",",",p
et,et,82
alors,alors,60
comme,comme,83
aujourd'hui,aujourd'hui,60
on,on,51
se,se,51
couchait,coucher,18
de,de,81
bonne,bon,30
heure,heure,22
dans,dans,81
le,le,71
quartier,quartier,21
du,de,81
du,le,71
Luxembourg,Luxembourg,20
/.,/.,P
d',de,81
Artagnan,Artagnan,20
",",",",p
resté,resté,31
seul,seul,30
avec,avec,81
madame,madame,22
Bonacieux,Bonacieux,20
",",",",p
se,se,51
retourna,retourner,19
vers,vers,81
elle,il,51
:,:,p
la,le,71
pauvre,pauvre,30
femme,femme,22
était,être,18
renversée,renverser,12
sur,sur,81
un,un,71
fauteuil,fauteuil,21
et,et,82
à,à,81
demi,demi,30
évanouie,évanouir,12
/.,/.,P
d',de,81
Artagnan,Artagnan,20
l',le,52
examina,examiner,19
d',de,81
un,un,71
coup,coup,21
d',de,81
oeil,oeil,21
rapide,rapide,30
/.,/.,P
c',ce,52
était,être,18
une,un,71
charmante,charmant,30
femme,femme,22
de,de,81
vingt,vingt,72
cinq,cinq,72
à,à,81
vingt,vingt,72
six,six,72
ans,an,21
",",",",p
brune,brun,30
avec,avec,81
des,de,81
des,le,71
yeux,oeil,21
bleus,bleu,30
",",",",p
ayant,avoir,13
un,un,71
nez,nez,21
légèrement,légèrement,60
retroussé,retroussé,31
",",",",p
des,de,81
des,le,71
dents,dent,22
admirables,admirable,30
",",",",p
un,un,71
teint,teint,21
marbré,marbré,31
de,de,81
rose,rose,22
et,et,82
d',de,81
opale,opale,22
/.,/.,P
là,là,60
cependant,cependant,82
s',se,51
arrêtaient,arrêter,18
les,le,71
signes,signe,21
qui,qui,52
pouvaient,pouvoir,18
la,le,52
faire,faire,14
confondre,confondre,14
avec,avec,81
une,un,71
grande,grand,30
dame,dame,22
/.,/.,P
les,le,71
mains,main,22
étaient,être,18
blanches,blanc,30
",",",",p
mais,mais,82
sans,sans,81
finesse,finesse,22
:,:,p
les,le,71
pieds,pied,21
n',ne,60
annonçaient,annoncer,18
pas,pas,60
la,le,71
femme,femme,22
de,de,81
qualité,qualité,22
/.,/.,P
heureusement,heureusement,60
d',de,81
Artagnan,Artagnan,20
n',ne,60
en,en,52
était,être,18
pas,pas,60
encore,encore,60
à,à,81
se,se,51
préoccuper,préoccuper,14
de,de,81
ces,ce,74
détails,détail,21
/.,/.,P
tandis que,tandis que,83
d',de,81
Artagnan,Artagnan,20
examinait,examiner,18
madame,madame,22
Bonacieux,Bonacieux,20
",",",",p
et,et,82
en,en,52
était,être,18
aux,à,81
aux,le,71
pieds,pied,21
",",",",p
comme,comme,83
nous,nous,51
l',le,52
avons,avoir,17
dit,dire,12
",",",",p
il,il,51
vit,voir,19
à,à,81
terre,terre,22
un,un,71
fin,fin,30
mouchoir,mouchoir,21
de,de,81
batiste,batiste,22
",",",",p
qu',que,83
il,il,51
ramassa,ramasser,19
selon,selon,81
son,son,73
habitude,habitude,22
",",",",p
et,et,82
au,à,81
au,le,71
coin,coin,21
duquel,de,81
duquel,lequel,52
il,il,51
reconnut,reconnaître,19
le,le,71
même,même,75
chiffre,chiffre,21
qu',que,52
il,il,51
avait,avoir,18
vu,voir,12
au,à,81
au,le,71
mouchoir,mouchoir,21
qui,qui,52
avait,avoir,18
failli,faillir,12
lui,lui,51
faire,faire,14
couper,couper,14
la,le,71
gorge,gorge,22
avec,avec,81
Aramis,Aramis,20
/.,/.,P
depuis,depuis,81
ce,ce,74
temps,temps,21
",",",",p
d',de,81
Artagnan,Artagnan,20
se,se,51
méfiait,méfier,18
des,de,81
des,le,71
mouchoirs,mouchoir,21
armoriés,armorié,31
;,;,p
il,il,51
remit,remettre,19
donc,donc,82
sans,sans,81
rien,rien,52
dire,dire,14
celui,celui,52
qu',que,52
il,il,51
avait,avoir,18
ramassé,ramasser,12
dans,dans,81
la,le,71
poche,poche,22
de,de,81
madame,madame,22
Bonacieux,Bonacieux,20
/.,/.,P
en,en,81
ce,ce,74
moment,moment,21
",",",",p
madame,madame,22
Bonacieux,Bonacieux,20
reprenait,reprendre,18
ses,son,73
sens,sens,21
/.,/.,P
elle,il,51
ouvrit,ouvrir,19
les,le,71
yeux,oeil,21
",",",",p
regarda,regarder,19
avec,avec,81
terreur,terreur,22
autour,autour,60
d',de,81
elle,il,51
",",",",p
vit,voir,19
que,que,83
l',le,71
appartement,appartement,21
était,être,18
vide,vide,30
",",",",p
et,et,82
qu',que,52
elle,il,51
était,être,18
seule,seul,30
avec,avec,81
son,son,73
libérateur,libérateur,21
/.,/.,P
elle,il,51
lui,lui,51
tendit,tendre,19
aussitôt,aussitôt,60
les,le,71
mains,main,22
en,en,81
souriant,sourire,13
/.,/.,P
madame,madame,22
Bonacieux,Bonacieux,20
avait,avoir,18
le,le,71
plus,plus,60
charmant,charmant,30
sourire,sourire,21
du,de,81
du,le,71
monde,monde,21
/.,/.,P
“,“,p
ah,ah,93
!,!,p
monsieur,monsieur,21
!,!,p
dit,dire,19
elle,il,51
",",",",p
c',ce,52
est,être,17
vous,vous,51
qui,qui,52
m',je,51
avez,avoir,17
sauvée,sauver,12
;,;,p
permettez,permettre,17
moi,moi,51
que,que,83
je,je,51
vous,vous,51
remercie,remercier,17
/.,/.,P
-,-,p
madame,madame,22
",",",",p
dit,dire,19
d',de,81
Artagnan,Artagnan,20
",",",",p
je,je,51
n',ne,60
ai,avoir,17
fait,faire,12
que,que,83
ce,ce,52
que,que,52
tout,tout,75
gentilhomme,gentilhomme,21
eût,avoir,19
fait,faire,12
à,à,81
ma,mon,73
place,place,22
",",",",p
vous,vous,51
ne,ne,60
me,je,51
devez,devoir,17
donc,donc,82
aucun,aucun,75
remerciement,remerciement,21
/.,/.,P
-,-,p
si,si,60
fait,fait,31
",",",",p
monsieur,monsieur,21
",",",",p
si,si,60
fait,fait,31
",",",",p
et,et,82
j',je,51
espère,espérer,17
vous,vous,51
prouver,prouver,14
que,que,83
vous,vous,51
n',ne,60
avez,avoir,17
pas,pas,60
rendu,rendre,12
service,service,21
à,à,81
une,un,71
ingrate,ingrat,30
/.,/.,P
mais,mais,82
que,que,52
me,je,51
voulaient,vouloir,18
donc,donc,82
ces,ce,74
hommes,homme,21
",",",",p
que,que,52
j',je,51
ai,avoir,17
pris,prendre,12
d'abord,d'abord,60
pour,pour,81
des,de,81
des,le,71
voleurs,voleur,21
",",",",p
et,et,82
pourquoi,pourquoi,60
monsieur,monsieur,21
Bonacieux,Bonacieux,20
n',ne,60
est,être,17
il,il,51
point,point,60
ici,ici,60
/?,/?,P
madame,madame,22
",",",",p
ces,ce,74
hommes,homme,21
étaient,être,18
bien,bien,60
autrement,autrement,60
dangereux,dangereux,30
que,que,83
ne,ne,60
pourraient,pouvoir,16
être,être,14
des,de,81
des,le,71
voleurs,voleur,21
",",",",p
car,car,82
ce,ce,52
sont,être,17
des,de,81
des,le,71
agents,agent,21
de,de,81
monsieur,monsieur,21
le,le,71
cardinal,cardinal,21
",",",",p
et,et,82
quant,quand,83
à,à,81
votre,votre,73
mari,mari,21
",",",",p
monsieur,monsieur,21
Bonacieux,Bonacieux,20
",",",",p
il,il,51
n',ne,60
est,être,17
point,point,60
ici,ici,60
parce qu',parce que,83
hier,hier,60
on,on,51
est,être,17
venu,venir,12
le,le,52
prendre,prendre,14
pour,pour,81
le,le,52
conduire,conduire,14
à,à,81
la,le,71
Bastille,Bastille,20
/.,/.,P
-,-,p
mon,mon,73
mari,mari,21
à,à,81
la,le,71
Bastille,Bastille,20
!,!,p
s',se,51
écria,écrier,19
madame,madame,22
Bonacieux,Bonacieux,20
",",",",p
oh,oh,93
!,!,p
mon,mon,73
dieu,dieu,21
!,!,p
qu',que,52
a,avoir,17
t,t,94
il,il,51
donc,donc,82
fait,faire,12
?,?,p
pauvre,pauvre,30
cher,cher,30
homme,homme,21
!,!,p
lui,lui,51
",",",",p
l',le,71
innocence,innocence,22
même,même,30
/!,/!,P
et,et,82
quelque,quelque,75
chose,chose,22
comme,comme,83
un,un,71
sourire,sourire,21
perçait,percer,18
sur,sur,81
la,le,71
figure,figure,22
encore,encore,60
tout,tout,60
effrayée,effrayé,31
de,de,81
la,le,71
jeune,jeune,30
femme,femme,22
/.,/.,P
“,“,p
ce,ce,52
qu',que,52
il,il,51
a,avoir,17
fait,faire,12
",",",",p
madame,madame,22
?,?,p
dit,dire,19
d',de,81
Artagnan,Artagnan,20
/.,/.,P
je,je,51
crois,croire,17
que,que,83
son,son,73
seul,seul,30
crime,crime,21
est,être,17
d',de,81
avoir,avoir,14
à,à,81
la,le,71
fois,fois,22
le,le,71
bonheur,bonheur,21
et,et,82
le,le,71
malheur,malheur,21
d',de,81
être,être,14
votre,votre,73
mari,mari,21
/.,/.,P
-,-,p
mais,mais,82
",",",",p
monsieur,monsieur,21
",",",",p
vous,vous,51
savez,savoir,17
donc,donc,82
/…,/…,P
je,je,51
sais,savoir,17
que,que,83
vous,vous,51
avez,avoir,17
été,être,12
enlevée,enlever,12
",",",",p
madame,madame,22
/.,/.,P
-,-,p
et,et,82
par,par,81
qui,qui,52
/?,/?,P
le,le,52
savez,savoir,17
vous,vous,51
/?,/?,P
oh,oh,93
!,!,p
si,si,83
vous,vous,51
le,le,52
savez,savoir,17
",",",",p
dites,dire,17
le,le,52
moi,moi,51
/.,/.,P
-,-,p
par,par,81
un,un,71
homme,homme,21
de,de,81
quarante,quarante,72
à,à,81
quarante,quarante,72
cinq,cinq,72
ans,an,21
",",",",p
aux,à,81
aux,le,71
cheveux,cheveu,21
noirs,noir,30
",",",",p
au,à,81
au,le,71
teint,teint,21
basané,basané,30
",",",",p
avec,avec,81
une,un,71
cicatrice,cicatrice,22
à,à,81
la,le,71
tempe,tempe,22
gauche,gauche,30
/.,/.,P
-,-,p
c',ce,52
est,être,17
cela,cela,52
",",",",p
c',ce,52
est,être,17
cela,cela,52
;,;,p
mais,mais,82
son,son,73
nom,nom,21
/?,/?,P
ah,ah,93
!,!,p
son,son,73
nom,nom,21
?,?,p
c',ce,52
est,être,17
ce,ce,52
que,que,52
j',je,51
ignore,ignorer,17
/.,/.,P
-,-,p
et,et,82
mon,mon,73
mari,mari,21
savait,savoir,18
il,il,51
que,que,83
j',je,51
avais,avoir,18
été,être,12
enlevée,enlever,12
/?,/?,P
il,il,51
en,en,52
avait,avoir,18
été,être,12
prévenu,prévenir,12
par,par,81
une,un,71
lettre,lettre,22
que,que,52
lui,lui,51
avait,avoir,18
écrite,écrire,12
le,le,71
ravisseur,ravisseur,21
lui-même,lui-même,51
/.,/.,P
-,-,p
et,et,82
soupçonne,soupçonner,17
t,t,94
il,il,51
",",",",p
demanda,demander,19
madame,madame,22
Bonacieux,Bonacieux,20
avec,avec,81
embarras,embarras,21
",",",",p
la,le,71
cause,cause,22
de,de,81
cet,ce,74
événement,événement,21
/?,/?,P
il,il,51
l',le,52
attribuait,attribuer,18
",",",",p
je,je,51
crois,croire,17
",",",",p
à,à,81
une,un,71
cause,cause,22
politique,politique,30
/.,/.,P
-,-,p
j',je,51
en,en,52
ai,avoir,17
douté,douter,12
d'abord,d'abord,60
",",",",p
et,et,82
maintenant,maintenant,60
je,je,51
le,le,52
pense,penser,17
comme,comme,83
lui,lui,51
/.,/.,P
ainsi,ainsi,60
donc,donc,82
",",",",p
ce,ce,74
cher,cher,30
monsieur,monsieur,21
Bonacieux,Bonacieux,20
ne,ne,60
m',je,51
a,avoir,17
pas,pas,60
soupçonnée,soupçonner,12
un,un,71
seul,seul,30
instant,instant,30
/…,/…,P
-,-,p
ah,ah,93
!,!,p
loin,loin,60
de,de,81
là,là,60
",",",",p
madame,madame,22
",",",",p
il,il,51
était,être,18
trop,trop,60
fier,fier,30
de,de,81
votre,votre,73
sagesse,sagesse,22
et,et,82
surtout,surtout,60
de,de,81
votre,votre,73
amour,amour,21
/.,/.,P
“,“,p
un,un,71
second,second,72
sourire,sourire,21
presque,presque,60
imperceptible,imperceptible,30
effleura,effleurer,19
les,le,71
lèvres,lèvre,22
rosées,rosé,30
de,de,81
la,le,71
belle,beau,30
jeune,jeune,30
femme,femme,22
/.,/.,P
“,“,p
mais,mais,82
",",",",p
continua,continuer,19
d',de,81
Artagnan,Artagnan,20
",",",",p
comment,comment,60
vous,vous,51
êtes,être,17
vous,vous,51
enfuie,enfuir,12
/?,/?,P
j',je,51
ai,avoir,17
profité,profiter,12
d',de,81
un,un,71
moment,moment,21
où,où,60
l',l',94
on,on,51
m',je,51
a,avoir,17
laissée,laisser,12
seule,seul,30
",",",",p
et,et,82
comme,comme,83
je,je,51
savais,savoir,18
depuis,depuis,81
ce,ce,74
matin,matin,21
à,à,81
quoi,quoi,52
m',je,51
en,en,52
tenir,tenir,14
sur,sur,81
mon,mon,73
enlèvement,enlèvement,21
",",",",p
à,à,81
l',le,71
aide,aide,22
de,de,81
mes,mon,73
draps,drap,21
je,je,51
suis,être,17
descendue,descendre,12
par,par,81
la,le,71
fenêtre,fenêtre,22
;,;,p
alors,alors,60
",",",",p
comme,comme,83
je,je,51
croyais,croire,18
mon,mon,73
mari,mari,21
ici,ici,60
",",",",p
je,je,51
suis,être,17
accourue,accourir,12
/.,/.,P
-,-,p
pour,pour,81
vous,vous,51
mettre,mettre,14
sous,sous,81
sa,son,73
protection,protection,22
/?,/?,P
oh,oh,93
!,!,p
non,non,60
",",",",p
pauvre,pauvre,30
cher,cher,30
homme,homme,21
",",",",p
je,je,51
savais,savoir,18
bien,bien,60
qu',que,83
il,il,51
était,être,18
incapable,incapable,30
de,de,81
me,je,51
défendre,défendre,14
;,;,p
mais,mais,82
comme,comme,83
il,il,51
pouvait,pouvoir,18
nous,nous,51
servir,servir,14
à,à,81
autre,autre,75
chose,chose,22
",",",",p
je,je,51
voulais,vouloir,18
le,le,52
prévenir,prévenir,14
/.,/.,P
-,-,p
de,de,81
quoi,quoi,52
/?,/?,P
oh,oh,93
!,!,p
ceci,ceci,52
n',ne,60
est,être,17
pas,pas,60
mon,mon,73
secret,secret,21
",",",",p
je,je,51
ne,ne,60
puis,pouvoir,17
donc,donc,82
pas,pas,60
vous,vous,51
le,le,52
dire,dire,14
/.,/.,P
-,-,p
d',de,81
ailleurs,ailleurs,60
",",",",p
dit,dire,19
d',de,81
Artagnan,Artagnan,20
(,(,p
pardon,pardon,21
",",",",p
madame,madame,22
",",",",p
si,si,83
",",",",p
tout,tout,75
garde,garde,21
que,que,83
je,je,51
suis,être,17
",",",",p
je,je,51
vous,vous,51
rappelle,rappeler,17
à,à,81
la,le,71
prudence,prudence,22
),),p
",",",",p
d',de,81
ailleurs,ailleurs,60
je,je,51
crois,croire,17
que,que,83
nous,nous,51
ne,ne,60
sommes,être,17
pas,pas,60
ici,ici,60
en,en,81
lieu,lieu,21
opportun,opportun,30
pour,pour,81
faire,faire,14
des,de,81
des,le,71
confidences,confidence,22
/.,/.,P
les,le,71
hommes,homme,21
que,que,52
j',je,51
ai,avoir,17
mis,mettre,12
en,en,81
fuite,fuite,22
vont,aller,17
revenir,revenir,14
avec,avec,81
main-forte,main-forte,22
;,;,p
s',si,83
ils,ils,51
nous,nous,51
retrouvent,retrouver,17
ici,ici,60
nous,nous,51
sommes,être,17
perdus,perdre,12
/.,/.,P
j',je,51
ai,avoir,17
bien,bien,60
fait,faire,12
prévenir,prévenir,14
trois,trois,72
de,de,81
mes,mon,73
amis,ami,21
",",",",p
mais,mais,82
qui,qui,52
sait,savoir,17
si,si,83
on,on,51
les,le,52
aura,avoir,15
trouvés,trouver,12
chez,chez,81
eux,ils,51
/!,/!,P
oui,oui,60
",",",",p
oui,oui,60
",",",",p
vous,vous,51
avez,avoir,17
raison,raison,22
",",",",p
s',se,51
écria,écrier,19
madame,madame,22
Bonacieux,Bonacieux,20
effrayée,effrayé,31
;,;,p
fuyons,fuir,17
",",",",p
sauvons,sauver,17
nous,nous,51
/.,/.,P
“,“,p
à,à,81
ces,ce,74
mots,mot,21
",",",",p
elle,il,51
passa,passer,19
son,son,73
bras,bras,21
sous,sous,81
celui,celui,52
de,de,81
d',de,81
Artagnan,Artagnan,20
et,et,82
l',le,52
entraîna,entraîner,19
vivement,vivement,60
/.,/.,P
“,“,p
mais,mais,82
où,où,60
fuir,fuir,14
?,?,p
dit,dire,19
d',de,81
Artagnan,Artagnan,20
",",",",p
où,où,60
nous,nous,51
sauver,sauver,14
/?,/?,P
éloignons,éloigner,17
nous,nous,51
d'abord,d'abord,60
de,de,81
cette,ce,74
maison,maison,22
",",",",p
puis,puis,60
après,après,81
nous,nous,51
verrons,voir,15
/.,/.,P
“,“,p
et,et,82
la,le,71
jeune,jeune,30
femme,femme,22
et,et,82
le,le,71
jeune,jeune,30
homme,homme,21
",",",",p
sans,sans,81
se,se,51
donner,donner,14
la,le,71
peine,peine,22
de,de,81
refermer,refermer,14
la,le,71
porte,porte,22
",",",",p
descendirent,descendre,19
rapidement,rapidement,60
la,le,71
rue,rue,22
des,de,81
des,le,71
fossoyeurs,fossoyeur,21
",",",",p
s',se,51
engagèrent,engager,19
dans,dans,81
la,le,71
rue,rue,22
des,de,81
des,le,71
Fossés-Monsieur-le-Prince,Fossés Monsieur le Prince,20
et,et,82
ne,ne,60
s',se,51
arrêtèrent,arrêter,19
qu',que,83
à,à,81
la,le,71
place,place,22
Saint-Sulpice,Saint-Sulpice,20
/.,/.,P
“,“,p
et,et,82
maintenant,maintenant,60
",",",",p
qu',que,52
allons,aller,17
nous,nous,51
faire,faire,14
",",",",p
demanda,demander,19
d',de,81
Artagnan,Artagnan,20
",",",",p
et,et,82
où,où,60
voulez,vouloir,17
vous,vous,51
que,que,83
je,je,51
vous,vous,51
conduise,conduire,17
/?,/?,P
je,je,51
suis,être,17
fort,fort,30
embarrassée,embarrasser,12
de,de,81
vous,vous,51
répondre,répondre,14
",",",",p
je,je,51
vous,vous,51
l',le,52
avoue,avouer,17
",",",",p
dit,dire,19
madame,madame,22
Bonacieux,Bonacieux,20
;,;,p
mon,mon,73
intention,intention,22
était,être,18
de,de,81
faire,faire,14
prévenir,prévenir,14
monsieur,monsieur,21
de,de,81
La Porte,La Porte,20
par,par,81
mon,mon,73
mari,mari,21
",",",",p
afin,afin,81
que,que,83
monsieur,monsieur,21
de,de,81
La Porte,La Porte,20
